ParlaMint-NO_2013-11-20.ana.ud2544e26	The called alternate of the Eastfold County, Wenche Olsen, has taken the seat.
ParlaMint-NO_2013-11-20.ana.ud2544e1304	I record that the Council of State and the Government believe it is fair that those who are disabled, and who may have been there for the rest of their lives, and who may never have had any opportunity to have income alongside, get full shortening for life, such as those of us who are lucky, healthy and can work all their lives. I'm recording that we deeply disagree with that. SV is very happy that we got a half-screening of the lifestyle adjustment for those who come from disability and into retirement, precisely because the new pension scheme, with the lifestyle adjustment, to which I have previously reported that the Progress Party has been quite critical, affects people who can't work anymore. Yes, the Progress Party has even considered that the adjustment in the standard of living should be eliminated for all, because it was unfair. What is the reason why the Progress Party believes that it is fair for the sickest, but good for the freshest?
ParlaMint-NO_2013-11-20.ana.ud2544e1311	I think we should be clear that we're talking about two very different things here. What Andersen is talking about now are the young people who have gone wrong their whole lives. As I said in my first answer, we're going to carry out an evaluation during this period and look at how to secure the weakest a worthy income, which this government is very concerned about. We're going to find good solutions to that. But the cases I'm talking about here are those that get dissatisfied after they've been in work. For these, it would be right and fair to have the same lifestyle adjustment. That's right, as Andersen's representative says: the Progress Party was anti-life-age adjustment. We were the only party that opposed the pension reform, but it was the representative Andersen and her government that introduced the lifestyle adjustment, and it would be very alarming if I, as the Council of State, had not complied with the decision of the Storting.
ParlaMint-NO_2013-11-20.ana.ud2544e1326	‘In reply to me dated 6 November 2013 on open customer lists, the Prime Minister wrote: ‘I understand that the public wants to see this type of information.’ Various measures, changes in laws, changes in practices in the industry or others may contribute to the understanding of the Prime Minister. Will the Council of State and the Government propose or contribute to measures to ensure the transparency of customer lists to policy-makers?’
ParlaMint-NO_2013-11-20.ana.ud2544e1333	I have received the honourable assignment from the Prime Minister to answer this question. The Public Health Act generally ensures a high level of transparency of the file to public bodies. There is a general consensus that, in some cases, exceptions to transparency are necessary. A special feature here is information which is subject to the obligation of professional secrecy. whereas it is necessary to exempt such information from transparency and infringements of the obligation of professional secrecy may give rise to penalties or service operations; The Administrative Act has general rules on professional secrecy, in the interests of private interests, including professional secrecy, which would be of competitive importance in the interests of the data concerned. The rules of the Administrative Act on professional secrecy are based on thorough and comprehensive assessments. It is necessary to consider in detail whether the individual information is covered by the obligation of professional secrecy. For customer relationships in the communications industry, this may vary, inter alia: by whom the customer is. I refer here to the general leadership of the Department of Justice in the opinion of 6 November 2013. Such a concrete assessment may help to ensure that no exemptions from transparency are made to a greater extent than is necessary to protect legitimate private interests. For the sake of order, I also mention that the Civil Ombudsman currently has to deal with the question of transparency in two specific customer lists. I do not see it as particularly relevant to change the rules on professional secrecy in the administrative law as a result of a desire for increased transparency in one particular industry. The rules of the Administrative Act have a much wider scope. I would otherwise remind you that several professional groups have regulated the confidentiality of information relating to their customer or client relationships. This applies, for example: lawyers and health professionals. Some such more widespread professional secrecy does not apply in the communications industry. Any change of practice in specific industries, in terms of transparency, must be addressed by the industry itself. I would like to encourage the greatest possible degree of transparency for myself.
ParlaMint-NO_2013-11-20.ana.ud2544e1352	I thank you for the answer, which was essentially a review of today's legislation, which was very precise as far as I could judge. I understand the government's satisfaction with today's situation and I don't want to make any changes. Of course, I am aware that there is a difference between the legal obligation to pay and the obligation to pay a fee initiated by the individual company. But my follow-up question is the following: Does this mean that the government is well pleased with today's situation when it concerns openness about customer lists from e.g. The PR business?
ParlaMint-NO_2013-11-20.ana.ud2544e1359	I have dealt with the legal framework resulting from the Administrative Act. That's what I can relate to. It is up to the Storting whether it wants to amend the law in this area or otherwise introduce new regulations or rules for politicians. I record that the question to the representative goes on customer lists to politicians, which is a much broader concept than just members of the government. This is an initiative that the representative himself must be able to take in Stortinget, and then Stortinget will be able to assess these questions. The Government will not take any initiative to amend the general provisions of the Administrative Act on these issues.
ParlaMint-NO_2013-11-20.ana.ud2544e1364	I thank you again for the answer, and I will follow the call on behalf of SV to submit such proposals to Stortinget. I only have one last question. Why does the Prime Minister not want to answer the question himself? Why would she leave it to the Minister of Justice?
ParlaMint-NO_2013-11-20.ana.ud2544e1371	I have been asked to answer that question, and that question has been answered. The assessments behind the Prime Minister's position on this matter, I am not aware of the fact that I have received this assignment. I guess that's because the background to the question, among other things. may be attributed to the opinion delivered by the Legal Service on a question previously put to the Prime Minister by the representative, Mr Solhjell, who has been answered by the Prime Minister.
ParlaMint-NO_2013-11-20.ana.ud2544e1380	‘The agricultural and forestry operational reviews are published by the Norwegian Institute for Agricultural Economic Research. The farm surveys examine economic conditions in which an important part of the family’s total income comes from agriculture. The latest accounting figures, from 2011, include 857 individual uses. Reimbursement of family labour and equity per year The annual work is $200. Do the Council of State agree that the operational reviews show the economic realities of well-driving farms?’
ParlaMint-NO_2013-11-20.ana.ud2544e1387	It is true that the 2011 operational reviews show an average salary for the family's work and equity per year of well NOK 200000. It is not the value of the agricultural deduction, which in this material has an average value of NOK 28 000 per year. This was the situation after six years of red-green majority rule. However, the current performance target is not necessarily the best way to assess the profitability of agriculture or the income situation of agricultural households. However, although the operational reviews represent use above a certain minimum size, in 2011 agriculture only stood for 37 pst. of the family income, according to NILF. The same families as the representative Lundtigen refers to had a total income of well NOK 725000 in 2011, which is roughly on the level of the total income of other families in society. In the performance objective ‘family labour remuneration’, wages and salaries for hired labour are deducted. This means that the user family can hire people to run the utility and in some cases choose to run this goal at zero, while both users themselves take a different job. I agree that this is not a high income for the agricultural part isolated. Although operational review uses are above average, there is also some use with only a few hundred hours of labour input. For some small private traders it can be assumed that the family maximises family welfare as much as profits in industry. Variations in economic performance for similar uses also indicate variation in the quality of operations. If we, for example, looking at average consumption of milk in the East, the best third had an operating surplus of NOK 552,000, while the weakest third had an operating surplus of NOK 203 000. Many adaptations are taking place, and there are many work combinations in the agricultural households. The farmers are entrepreneurs and themselves have a significant influence on – and responsibility for – their own performance through operations and investments. The representative of Lundtigen knows well that among the reasons why only agricultural income trends are assessed in the agricultural negotiations, not the level. So the income of the representative Lundtigen's denominator is the result of the users' adaptation to six years of red-green governance. The government I'm part of will focus on predictability and reforms that can increase profitability, and we will give priority to use that has a resource base to provide a main source of income for users. However, the authorities can only provide business with income through the framework conditions laid down. It's the users themselves that have to create the result.
ParlaMint-NO_2013-11-20.ana.ud2544e1406	I asked the question to a Minister of Industry, to the Minister of Agriculture and Food, not to the Minister of the Family. The answer given here is out of sight – excuse me, President – because it is the income of the business that is the question, documented by what is stated in the agricultural business reviews, which is a data material that has a tradition of over a hundred years and that relates to farm use that is 1.2 years old. Is it really the case that the new government does not want to look at the incomes of the agricultural industry as a basis for both level and development, but on the contrary wants to look at the overall income situation of the family when the incomes of the agricultural business are to be assessed in the future?
ParlaMint-NO_2013-11-20.ana.ud2544e1413	I think it's relevant to look at the family's total income, because that's what the family is going to live on. We know that there are many people in agriculture today who have bijobbers next to farming. What this government has signalled is that we in the agricultural agreement in the future want to give priority to those who run full-time and those who have their income base primarily in agriculture. It will be an important premise when we are now going into the agricultural situation for 2014.
ParlaMint-NO_2013-11-20.ana.ud2544e1418	My question was specifically linked to professionally driven use. It was linked to the best practice. It was linked to the entrepreneurial income. I understand from the Council of State's response that the operational reviews in agriculture are a material that will not be taken into account to a great extent. It reminds me of the former State Council Five, who started this with the operational reviews. This was a government council which was cast in 1935 in the crisis agreement between the Bond Party and the Workers' Party, because the trademark of the Council of State was economic liberalism and productivity progress. One drove so strongly, no matter what the actual ratio in the industry, that one found that it had to get its redemption. Is it really the way – as the answers now provide the basis for claiming – that there are Five here represented by the Council of State, and that she wants to pursue a policy that is then beyond the actual economic development of the industry?
ParlaMint-NO_2013-11-20.ana.ud2544e1425	No, what underlies this Council of State policy is the agreement written between the parties that cooperate – the four parties initially – and the two parties that sit in government. What we want with Norwegian agriculture in the future is to increase profitability and improve the environment for those living in this industry. It's about facilitating the expansion of your business, getting more freedom, and I think it's high time we went in that direction in agriculture. I myself come from a farm and know well all the ways in which a farmer today uses to be able to feed his family. It's e.g. not uncommon to have snowbreeding next to, produce by, so there's a lot of nutrition a farmer has today to be able to feed his family, and it's going to continue to be. We therefore need to look at the total income for the whole household as well, in addition to just the one agreement that NILF is making.
ParlaMint-NO_2013-11-20.ana.ud2544e1443	This issue is postponed to the next Question Time, when the Council of State has left.
ParlaMint-NO_2013-11-20.ana.ud2544e1457	This issue is postponed to the next Question Time, when the Council of State has left.
ParlaMint-NO_2013-11-20.ana.ud2544e1471	This issue is postponed to the next Question Time, when the Council of State has left.
ParlaMint-NO_2013-11-20.ana.ud2544e1485	This issue is postponed to the next Question Time, when the Council of State has left. That being the case, it is no. 2 completed.
ParlaMint-NO_2013-11-20.ana.ud2544e1500	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
