ParlaMint-NO_2013-12-18.ana.ud2341e26	The representative of Ms Olug V. Bollestad will present a proposal for a representative.
ParlaMint-NO_2013-12-18.ana.ud2341e1707	The council says it is not right that the government prioritises cash support in front of kindergarten. Then it is strange that there is an increase in the amount of cash support and the price of nursery facilities, and that there is a reduction in the number of nursery places. Governments also say that equal opportunities for participation in the labour market are important and that it is an important priority. But when we know that there are most women who use cash support, and that fathers take out the leave that constitutes the father's quota, how can the council say that the rhetoric and policy of more expensive kindergartens, cut in paperwork, fewer kindergartens and increased payment to those who opt out of work are related?
ParlaMint-NO_2013-12-18.ana.ud2341e1714	As I have said before, equality is not about four weeks of paperwork and NOK 1000 more in cash support. What this government has done – in cooperation with the Christian People's Party and the Left – is to strengthen the family's flexibility and freedom to choose other solutions. Having a short period of time to be a little more at home with their children – and choosing cash support – is a value that is important for this government. We see that some families need to have their children in kindergarten in order for their children to learn the language. I am very happy that more and more people use kindergarten, so that children can learn the language before they start school. It must be possible to have two thoughts in your head at the same time – thinking integration, having that perspective, but at the same time giving all families in the country freedom of choice for a short period of life.
ParlaMint-NO_2013-12-18.ana.ud2341e1725	Words like «flexibility» and «choice» are fine, but they are even better when they contain something. As in other policy areas, the Council of State's position here testifies to the creation of policies based on what one would want the world to look like, not on what the world looks like. In Norway, men serve more than what women do — also in the same position in the same enterprise and with the same education. Men own more and have more power than women. Does the Council reject the fact that there are structural barriers to genuine freedom of choice and that we need policies to change them?
ParlaMint-NO_2013-12-18.ana.ud2341e1732	I recognise that we have a major challenge in terms of involuntary part-time. We have a challenge in terms of career choices and boys who fall out of high school. It's about making boys think untraditionally about a profession, and not least about getting girls to take higher education. It's a big challenge we have, and that the Stoltenberg II government also had, when it set with government power. That is why this government is betting on school. Getting the girls to take mathematics as an electoral profession and to upgrade and talk up the professions and the care professions, which are typical low-wage professions, women's clubs, so that we get both men and women to apply for these professions, are the major gender equality challenges we have today – not four weeks of father's share and a thousand more in cash support.
ParlaMint-NO_2013-12-18.ana.ud2341e1745	This question, from the representative of Arild Grande to the Minister for Labour and Social Affairs, has been transferred to the Minister for Children, Gender Equality and Inclusion, who is directing him.
ParlaMint-NO_2013-12-18.ana.ud2341e1748	‘The social partners have stated that increased cash support and reduced paper size will weaken the position of women in the labour market, but will also weaken the business environment for important competences. What is the reason why the Council of State does not share the views of the parties on this matter?’
ParlaMint-NO_2013-12-18.ana.ud2341e1755	First of all, thank you for the question. There is no doubt that it is socio-economically profitable for people to work and pay taxes, and that we need both women's and men's skills in working life. It is such that parents have a statutory right to leave during a period when the children are young. It is a good thing that working parents have, and it is very important to give children a safe and good start to life. Parents in Norway have a unique opportunity to combine working life and family life. The government wants to continue the possibility that parents have of prioritising family life for a period of life. As I said earlier, we have a very good parental pension scheme in Norway. We also have a flexible working life and a high level of employment among women. This may help explain that many children are born in Norway. The government will continue to facilitate too high employment and a flexible working life for all. It is wrong that good choices for parents lead to a loss of skills for the business community. Competence of men and women in business today is fairly evenly distributed. We want both parents to take out parental leave, and we suggest that they take advantage of the entire leave. Then either mother or father will be away from work for a short period of time. We have to accept that. For most, there is a limited period of absence before they return to work. I therefore do not share the representative's concern that the changes made by the government in family policy will dampen the business environment for competence. For the government, it is important that parents themselves be able to give priority to how they will devote time to children and participation in the labour market when deciding on something as important as how best to care for their family.
ParlaMint-NO_2013-12-18.ana.ud2341e1770	Thanks for the answer. It is interesting to hear that the Progress Party is not concerned about the impact this has on women's equality in working life. The Progress Party has never been particularly concerned about this, which is why they have always had to be drawn to their hair in relation to equality issues in Norwegian policy. In that case, it is quite remarkable that we are now boasting of the same society we have, with a high birth rate and a good opportunity to combine work and care, when we know that the Progress Party has almost not been involved in any of the progress that has taken place. It's obvious to everyone that women's equality is not a particularly important issue for this government. We can see that through more expensive kindergartens, fewer kindergartens, cash support and cut in the paperwork, which makes it no easier for the families of young children to combine work and care. My question is: What concrete measures does the Council of State plan to promote women's links with the labour market and to promote equal opportunities in the labour market?
ParlaMint-NO_2013-12-18.ana.ud2341e1779	It is, as I said before, good arrangements, which are also initiated by the Progress Party and SV, with the kindergarten agreement, which the Workers' Party came afterwards and supported. We have one of the world's best parental leave schemes today, which the government wants to keep. We're increasing the optional part and we're not reducing the common part. It is true that we have high birth rates, which the Progress Party has also been supporting and supporting all the way. This is not just about women's position in the workplace, it's about both women and men. If the representative believes in his own question, he must also believe that the fathers, when they take leave, will lose business for important competences. What's important to focus on here is to get women out of work, to take higher education, and to make the boys think untraditional. There are two important areas in which I, as the Minister for Gender Equality, will take me along in the further work of the government.
ParlaMint-NO_2013-12-18.ana.ud2341e1786	We know, among other things: that there are many fathers who want to take cardboard and who want to take more than the quota as well but who encounter obstacles either from their mother or from their employer. The fathers remain standing alone with the government's policy with cutbacks in the paperwork. One of the most important measures in the Annual Report on Gender Equality, which has unfortunately been drawn by the government, was the more active use of tripartite cooperation to promote gender equality in the labour market. Although the government believes that this is a choice each must take responsibility for itself, the government cannot be blind to the system of discrimination between women and men in the workplace. Employers’ organisations see it, employers’ organisations see it, researchers see it, a number of European countries see it, by more now establishing a father’s quota. The question then is, Will the government take the initiative to cooperate with the social partners in order to promote equality between women and men in the labour market?
ParlaMint-NO_2013-12-18.ana.ud2341e1795	There is a lot of good equality work going on today. Several have argued that the government has drawn a case, but equality is more than bureaucracy. There is a lot of good work going on in private resource centres, equality centres, out in Norway today, as it is important to take it further. I also think dialogue with the labour market is important. We will continue to have good contact with the employment organisations. If we're going to have an involuntary part time, it's a way to go, to have a dialogue about this. But I also see that very many of the people who have managed to afford involuntary part-time have been open to other tour users. There's something the Stoltenberg II government hasn't been open to. This government wants us to have the opportunity for other tour users, too, when there is agreement among employees.
ParlaMint-NO_2013-12-18.ana.ud2341e1807	‘When US journalist Edward Snowden can access a lot of data, we must take into account that others, including criminals, can also gain the same access to stored data. Is the government still committed to the implementation of the EU Data Storage Directive, in the light of what we now know about the reality of safe and secure data storage?’
ParlaMint-NO_2013-12-18.ana.ud2341e1814	Now, I guess Edward Snowden is not an American journalist. He was an American IT technician who worked in a private company, and was hired to work for the NSA. Thus he had access to the information he has since leaked to various journalists. Like the representative, I am concerned about the need for safe and secure data storage. It is clear that large collections of stored data may also pose a risk of the same data being diverted. However, Norwegian rules impose strict requirements on both the types of data that can be stored, the duration of storage and who can access them. Furthermore, strict rules have been laid down on the authorisation of personnel and encryption. The Norwegian legislation on data storage is stricter than that of many other countries in Europe. In this context, I would also like to point out that the new rules in Norway take greater account of privacy in that area than the current law does. For example, the information is currently stored in the various databases of the individual echo operators without any specific security and access requirements being imposed. In addition, the government is concerned with the Storting decision on the implementation of the Data Storage Directive.
ParlaMint-NO_2013-12-18.ana.ud2341e1823	I understand that the Council of State says the last thing, because I have gone through quite carefully what was the intervention of the representative Anders Anundsen from the debate on the Data Storage Directive. There he says, especially when it comes to storing data, that experience suggests that they're in the wrong hands. It is even so that the representative Anundsen believed that this rocked by the very foundation of the Basic Law § 102. It makes me ask: what is the difference now, with the risk assessments and rules that are now on the ground, than those that were supposed to be on the ground when the representative Anundsen was totally opposed to introducing this legislation because it just did not ensure the storage of data in such a way that they did not get in the wrong hands, nor did it prevent crime?
ParlaMint-NO_2013-12-18.ana.ud2341e1830	I understand that the round of questions today largely deals with the previous statements of representatives, before they became members of the government. It's a festive exercise, but it doesn't spend much time with the debate. I'm a member of a minority government. A minority government must do as Stortinget says, and So Stortinget has decided that the Data Storage Directive should be implemented. There's something this government will deal with. In addition, it is actually the Minister of Transport who is constitutionally responsible for the Data Storage Directive itself.
ParlaMint-NO_2013-12-18.ana.ud2341e1837	I asked my question to the Minister for Transport, but it has been sent to the Minister of Justice. It's not something I've decided. What's interesting is that it's now constantly referred to that you're in a minority government, but that a party that sits in government can have a different opinion. We're familiar with that. We had that when we sat in government and dealt with this matter, and we stood for it. We now have a Minister of Justice who, when he was in Stortinget, believed that the whole point of the Data Storage Directive was to restrict the freedom of citizens. He went on to say that, of course, it was only the most naive people who thought this would help clarify serious crime, that criminals planning illegal activity, of course, know how this works and can take it into account in a special way, and that it is therefore only those with the least resources that will now be monitored and taken by the police. How will the Minister ensure that it does not happen, and that it is those who are really criminals, and who we want to take, who come into the Minister of Justice's search?
ParlaMint-NO_2013-12-18.ana.ud2341e1846	I have to say that I basically appreciate Andersen's commitment to the safe and good storage of different types of data. But so it is that the Storting is the democratically elected body that is to adopt which laws are to apply in this country. The government has to deal with it. I don't think that situation is changing, no matter how many old quotes Andersen's representative draws up.
ParlaMint-NO_2013-12-18.ana.ud2341e1855	‘Both the Crisis Centre Secretariat and the Equality Ombudsman have warned against the Government’s proposal in the Sundvolden Declaration that the requirement for permanent residence permits is raised from three to five years because they fear that violent women will stay longer with the perpetrator. Does the Council share this concern and can we expect it to alert the review of the rules relating to abusers to concrete action?’
ParlaMint-NO_2013-12-18.ana.ud2341e1862	First, I would like to say that this is a very important issue, which the representative Håheim addresses, and on which the government has a strong focus. At the same time, we already have a provision in the Foreign Affairs Act, which is intended to ensure that foreigners do not feel pressured to continue a life of abuse of fear of losing their residence permit in Norway. This provision will not be affected by the suspension of the residence requirement for a permanent residence permit from three to five years. I would therefore like to stress that there should be no negative changes here, and that it should remain the same, low threshold for obtaining a residence permit on an independent basis for mistreated foreigners and their children. Although the provision is now intended to provide the necessary protection, it cannot be excluded that raising the requirement for living may have a negative impact on the individual’s experience of the risk of breaking out of a life of abuse. That is why the Government Declaration also states that we should review these rules and see if there is a need for measures to ensure adequate security for those who experience violence and abuse in close relationships. There's a job I'm going to do.
ParlaMint-NO_2013-12-18.ana.ud2341e1869	Thank you for a good answer. My question was whether the Council of State sees it necessary to introduce further measures on the positive side, precisely because I feel that the Council of State also sees that this can lead to negative consequences. What are the measures taken by the Council of State? Then we also get a message of concern that this abuse clause in the Foreign Affairs Act has a number of evidence requirements that make it difficult for some of these women to be likely to abuse. My further question is: Will the Minister of Justice take the initiative to investigate the practice of this abuse clause when the government has also notified a review of the entire legislation relating to this group?
ParlaMint-NO_2013-12-18.ana.ud2341e1880	The threshold – or the requirement of proof – for this so-called maltreatment provision is very low. It still has to be. In fact, the threshold is often so low as to be based on the sole explanation of the insult. But of course there is an overall assessment. It is also important, not least for those in need of this protection, that this provision is not abused. If the provision is abused, it will again go beyond the trust we can have in the practice of the provision. It is important on the action side to make the scheme known, so that those who are subjected to abuse know that they have the opportunity to make use of this scheme. Based on the enquiries we have, it seems that the determination is quite well known. In the review we're doing now, we're also going through, of course, the percentage of rejections and concessions to see if there's any further things we can do.
ParlaMint-NO_2013-12-18.ana.ud2341e1889	I'm glad that the Council of State attaches importance to making the system known, because this concerns a vulnerable group of people. Some have a lack of Norwegian knowledge, and many are not aware of their rights, making it a challenge. For these women in question, it doesn't help to be right in the law if they don't get it right. In particular, I would like to highlight the importance of voluntary organisations, such as: JURK, which conducts outreach activities and rating information. The Action Plan against violence in close relations, as presented by the previous Government, states that a grant scheme should be established for non-governmental organisations. Will the Minister of Justice follow this up, and will he also consider an increase in the contribution of the voluntary organisations working in this field with very vulnerable women?
ParlaMint-NO_2013-12-18.ana.ud2341e1896	The size has already increased the subsidy schemes in the field of justice, on a government proposal, by 2.5 million. kr in addition to the red-green government proposal for 2014. Some of these funds may also be directed towards non-governmental organisations, which contribute to the provision of information and assistance to persons exposed to violence in close relationships with residents. There has been some variation in the number of applications under this provision. Over and over, the acceptance rate under the red-green government has been quite even, and it seems that it also continues into this year, in 2013, though somewhat lower perhaps. But it is important that we work together to ensure that women and children, who are often exposed to this, have the necessary access to assistance and help when they need it. However, it is also important to ensure that the scheme is not abused.
ParlaMint-NO_2013-12-18.ana.ud2341e1907	I would like to ask the Minister for Justice and Security the following questions: ‘A recent recommendation by Advocate General Pedro Cruz Villalón of the Court of Justice of the European Union states: ‘The Data Protection Directive is completely incompatible with the requirements of the Charter of Fundamental Rights of the European Union’ and ‘The Directive constitutes a serious interference with the fundamental right of privacy of citizens.’. Are the Councils of State in agreement with the recommendation of the Advocate General?’
ParlaMint-NO_2013-12-18.ana.ud2341e1916	The Advocate General's Opinion is a contribution to the Court of Justice so that it cannot be held that the decision of the Court of Justice would be in line with the Advocate General's recommendations. The Data Storage Directive, which the representative Skei Grande is aware of, has been the subject of an engaged and comprehensive debate in Norway, where the balances between privacy considerations on the one hand and the fight against crime on the other have been among the main issues. The representative Skei Grande is now also well aware that after this debate, Stortinget has taken its decision on the implementation of the Data Storage Directive in Norway. In this implementation, Norway has taken into account several of the concerns expressed by the Advocate-General, such as: the storage period in Norway is set at six months, while the Directive allows a storage period of up to two years. In addition, Norway has provided concrete guidance on the criminal offences for which traffic data can be obtained, which is consistent with the comment of the Advocate General that the concept of ‘serious crime’ needs to be further defined. It is also clear in the Advocate General's Opinion that one can repair the shortcomings of the Directive as a whole by means of national legislation. Some of those measures are in many ways within the decision of the Storting. When it comes to the government's view of the Advocate General's opinion, we take it for information. But the government is concerned with the Storting decision to introduce the Data Storage Directive.
ParlaMint-NO_2013-12-18.ana.ud2341e1931	I had not expected the Minister of Justice to refrain from dealing with the Storting decision. However, he is responsible for the overall policy on the legal security of Norwegian citizens. And when the Advocate General says that the Data Storage Directive is not «compatible» with the requirements we set for fundamental human rights, it is an overall assessment, sailor if I believe that the Storting has hit this to a minimum solution. However, it must be possible to get the Minister of Justice to have some opinions on the responsibility he has to prevent monitoring of Norwegian citizens, for example. by foreign powers. It's part of the Minister of Justice's responsibility. The recent revelations show that it is also important to limit attacks on the privacy of Norwegian citizens. So can the Council of State say something about what he considers to be his role in ensuring the privacy of Norwegian citizens?
ParlaMint-NO_2013-12-18.ana.ud2341e1936	This is an important part of the job that the government is doing all the time, and then it is based on the balances that Stortinget also made in its processing of the Data Storage Directive. In a more general perspective, it is right, as the representative Skei Grande points out, that the opportunities for monitoring in today’s society are – I’m not going to say unlimited, but they are very present from both private actors and other actors. It is important that, in every context, we have privacy in the back of our minds when we talk about that kind of regulation and how we should follow up the opportunities to provide our citizens with the necessary security and legal certainty. At the same time, I believe that the Storting was very conscious, even though the party represents Skei Grande, and the party I represent, during that discussion stood together about a different view of the discussions and the framework for the legal certainty of the directive. And it is right that the representative himself points out that what the Stortinge chose is what you might call a minimum solution within the framework of the directive.
ParlaMint-NO_2013-12-18.ana.ud2341e1943	I assume that the Minister of Justice party was also conscious when the conclusion was reached. Now I'm going to ask even more directly about citizens' legal certainty. Today we know that, for example. Norwegian E-service and PST have a clear framework for monitoring Norwegian citizens. Nevertheless, most of Norwegian data traffic passes through Sweden which has a FRA law. How does the Minister of Justice feel that Norwegian E-service and PST can obtain information that will not be lawful to store in Norway but that is lawful to store in Sweden and that they can obtain from the Swedes? Can they use such information, obtained illegally on Norwegian citizens in another country, on Norwegian citizens in Norway?
ParlaMint-NO_2013-12-18.ana.ud2341e1952	As the representative is aware, over time the government has been concerned about the FRA Act and Norwegian traffic across Swedish borders and Swedish cables. It is also mentioned in the Government Declaration, and it is a major and comprehensive issue. Both the Minister of Transport and the Prime Minister have been talking to the Swedish authorities about this issue, and one has wanted to try to find a practical solution. It's not very easy in the situation we're now in, with the cables walking where they're actually going. The same would be true in the case of other types of data traffic. The cables from Norway to the rest of the world must necessarily pass through other countries, so we will be able to face that challenge regardless of whether the cables pass through Sweden or through other countries.
ParlaMint-NO_2013-12-18.ana.ud2341e1965	My question goes to the Minister for Oil and Energy: ‘An important part of the climate solution is increased renewable energy production. Norway has a great potential for the development and production of offshore wind power through a combination of large seas and offshore technologies. What ambitions do the Council of State have for wind power at sea, and how does he see fit to achieve these ambitions?’
ParlaMint-NO_2013-12-18.ana.ud2341e1974	Let me first say that I share Pollestad's view, that it is important to increase the production of renewable energy. That means both the Minister of Oil and Energy and the Government. This is why, with broad political support in Stortinget, a technology-neutral electrical certification system is in place, with the aim of expanding a total of 26.4 TWh renewable energy in Norway and Sweden by 2020. The system is technology-neutral and will therefore allow the most cost-effective technologies to be developed first. In practice, there will be considerable hydropower — unregulatable and adjustable — and land-based wind power. With regard to the development of offshore wind power in Norwegian sea areas, this is further ahead in time. A strategic impact assessment has been carried out for 15 marine areas. It has been consulted and is now being dealt with in the ministry. We have not concluded on how to follow up this investigation, but we support research and development – competence building – in the field of sea wind. At sea wind power is one of the six priority areas of the national R & D strategy in the energy sector, Energy21. The initiative is primarily carried out through the ENERGY research programme, covering everything from basic research projects to industrial research and development and demo. Furthermore, two of the 11 research centres for environmentally friendly energy – the FMEs – are directly focused on the exploitation of wind at sea.
ParlaMint-NO_2013-12-18.ana.ud2341e1985	I thank you for your answer. I am pleased that the Council of State does not set the production of renewable energy on land against offshore production. I want to challenge a little bit of what goes on in the opportunities and future job opportunities of the supplier industry in this area. It's true that these are largely immature technologies. It may be that these investments are going to go primarily beyond Norway's borders, but my question is: does the Council of State see the use of offshore wind as an opportunity to make the Norwegian supplier industry more robust and to give it more legs to stand on?
ParlaMint-NO_2013-12-18.ana.ud2341e1992	Now it is that the export of Norwegian technology is partly under a department other than mine. But let me still try to do some reflections. The Norwegian petroleum supplier industry has been successful with internationalisation. Renewable technology has not been equally successful. I believe that here we have some great opportunities to facilitate that technology from Norway in the field of renewable energy is increasingly coming to international markets. That's why we're now looking at the possibilities of getting good experience from the INTSOK collaboration and trying to transfer it to the INTPOW agent. So helping to spread Norwegian renewable energy technology abroad is definitely something the government thinks makes sense.
ParlaMint-NO_2013-12-18.ana.ud2341e1999	Thank you again for your answer. Then we are also familiar with the fact that an energy message is to be provided. A total accumulation now supports it. Then is my short question: will the Council of State ensure that a broad mention is given and spent time and attention to the question of immature technologies in general and offshore wind, especially in the notified notice when it comes?
ParlaMint-NO_2013-12-18.ana.ud2341e2006	I take note of the funny review of Stortinget's 'now' clear support for energy communication. It was a little different how the red-greens turned to energy messages in the previous eight years. So now there's an energy message. As the representative Pollestad will be familiar with, one of the things that the whole government is doing is supporting its work, increasing the focus on knowledge and competence – on technology development. Of course, it will also be clearly addressed in an energy message. Of course, this also applies to technologies that are approaching the market. Then I want to remind the representative Pollestad that we are already using a lot of resources to move technologies closer to the market – mainly through the Enova work, which of course will also be central in the time until we can provide an energy message.
ParlaMint-NO_2013-12-18.ana.ud2341e2019	‘Norway produces fewer and less cereals. Norway is increasingly consuming cereals. What does this mean for Norway’s agricultural food production?’
ParlaMint-NO_2013-12-18.ana.ud2341e2026	Norwegian cereal production is an important part of Norwegian agricultural production. Feed grain production is the raw material in feed for domestic animals and the production of food grain is the basis of Norwegian food meal production and Norwegian bread and bakery products produced. Cereal production in Norway was strongly increasing from 1970 to 1991, when the Norwegian grain area was at its highest. From 1991 to 2013, the grain area has fallen and has been reduced by a total of about 750000 decare. For the period 2005 to 2013, the cereal area is reduced by 11 pst. or 350 000 deches. The average cereal production for the last decade was for the first time slightly lower than 10 years earlier, especially because of the decrease in the cereal area, but also because the increase in yield per deer has decreased. Due to pollution and run-off challenges in some parts of the grain districts, cereals have been planted. Policies have also been sought to stimulate the production of beef with suckler cows. It has again resulted in a conversion from grain to grass. In the east, over 200,000 deer are replaced by meadows. The aim has been to stimulate increased food grain cultivation in Norway. From a very modest Norwegian proportion of food grain in the 1970s we are now in good harvest years as well as self-sufficient with food grain. The variation in weather conditions means that grain production varies considerably from year to year, both in total and for the food grain percentage in particular. An illustration of this is that Norwegian imports of food grain have been high in recent years due to poor summers in Norway, with low yields and poor quality of grain. Norway will continue to rely on imported feed resources in feed to achieve the objective of efficient and increased Norwegian agricultural production. Increased levels of food grain, increased demand for light meat and increased protein content in feed have led to the need for increased imports of feed raw materials in recent years. The proportion of Norwegian raw materials in the feed has therefore been decreasing. The figure from the Agricultural Budget Item shows 67 pst. Norwegian share in 2003 and 62 pst. in 2011. In 2012, the Norwegian share was some lower – 55 pst. – then due to severe weather conditions in 2011 and 2012, as mentioned earlier. The government wants Norwegian cereal production to continue to play an important role as a contribution to Norwegian food supply and in our work on food security. In order to increase Norwegian cereal production, this will include, inter alia: be important with measures that can improve land productivity. Here, grain producers themselves must take responsibility, but the advisory service and research also have important tasks. Knowledge-building and dissemination are needed to increase productivity, including: through improved plant material, varietal adaptation, measures to improve soil quality and good cultivation practices.
ParlaMint-NO_2013-12-18.ana.ud2341e2049	I thank you for the answer, which I can join in on the actual description. In fact, imports of cereals in 2012 were over 1200000 tonnes, while Norwegian production in the same year was only slightly above 1000 tonnes. In other words, imports of cereals are now much larger than self-production. This means that Norwegian food production is becoming more import dependent on cereals, and Norwegian maritime supply is therefore reduced. Does the Council agree that the degree of maritime supply will be reduced by such a development?
ParlaMint-NO_2013-12-18.ana.ud2341e2058	What I think is that the need for imports increases with increased demand and reduced production. But it's a complex question, because as the representative was also involved, this also has to do with what crop year you have. In 2011 and 2012, what I was about was bad. The harvest year can actually be plus minus 30 pst. In addition, it is important to bring down the rent share. It's high in Norway, it's been growing, and as I've been to earlier Question Time, it's so that you tend to take care of the earth in a different way when a owner instead of renting. It is therefore important to look at measures to reduce the rent share in further work.
ParlaMint-NO_2013-12-18.ana.ud2341e2065	I ask that the Council of State respect the question and answer it, because the question is quite pointed out, and I want to repeat it: when Norwegian grain production goes down, Norwegian consumption of cereals goes up, we import more and more. It's a fact, it might look like any statistics. Does the Council of State agree that in such a development, the Norwegian degree of maritime supply is weakened based on Norwegian plant products?
ParlaMint-NO_2013-12-18.ana.ud2341e2070	It's been like this for very many years, that we've imported parts of what's in the power feed. The degree of self-sufficiency in relation to exactly that will depend on what crops we have in Norway, and how we manage to exploit the land and land in the future. For example, an important action in the future will be taken. looking at research and development, looking at the types of cereals used, and looking at how to increase yields around Norway. Here, for example, plays. Bioscience plays an important role.
ParlaMint-NO_2013-12-18.ana.ud2341e2079	‘Number from the Norwegian Institute of Agricultural Economic Research shows an average income jump for Norwegian farmers in 2012 of 46,200 kroner. Good crops, significant efficiency improvements and policy framework conditions can explain some of the increase. However, the level of employment needs to be further enhanced. Will the Council of State facilitate further growth in revenue in the coming years and, if so, how?’
ParlaMint-NO_2013-12-18.ana.ud2341e2086	Let me first say that I think it is good that we register an increase in income in 2012. I think it is good when self-employed people succeed. At the same time, we should be aware that 2011, which is the basis for comparison, became a poor year, in which the representative was also involved, with a reduction in income due to crop failure, and as a result of an accounting change due to the law on cooperatives and the conduct of back payments. Many of the policy framework conditions for farmers are laid down in the framework of the agricultural agreement. We are in the department preparing for spring negotiations, and I therefore ask for an understanding that I cannot go into detail on how we will prioritise the use of instruments. But it is from the government's political platform that we should focus on predictability and reforms to increase profitability. We will facilitate increased production and give greater priority to the full-time farmer. I will go through the grant schemes to target them better and give priority to schemes that directly benefit the farmer. I want to look at the investment instruments for recruitment, and I want to review and remove unnecessary obstacles to efficient operation. I will also consider measures that can contribute to reducing production costs. This could be done, for example, by: through increased production that makes better use of the equipment, or through guidance. There is, of course, the difference between gross income and costs that the farmer lives on. Lower costs will also increase competitiveness and help Norwegian producers to compete more easily with increasing imports. Then unit costs will also be lower. And as the representative of Storberget refers to in the question, there are many aspects of the formation of income that individual farmers have to deal with themselves. The progress in efficiency must continue. Soil quality and soil productivity need to be improved. The use of resources and technology needs to be better exploited. That's the way it is in all industries. It's continuous improvement work to improve the economic bottom line. And the spread in results for equal use in the NILF operational reviews shows that there is still a lot to pick up in the professionalisation of operations. I look forward to the negotiations and to the work of modernising the policy.
ParlaMint-NO_2013-12-18.ana.ud2341e2101	I thank you for your answer. The question was to a large extent whether the Council of State believes it is right that we should have an income development as we saw in 2012. Now we're going to have to wait and see how 2013 comes out. But in a discussion where we talk a lot about predictability and bringing optimism into the industry, there will be an important signal from the Minister of Agriculture whether she will now confirm that it is a goal that this income development should continue, and not just turn it around in efficiency. I see from the last Bond magazine that e.g. in the case of pigs and milk, we have had an enormously good efficiency development – in the case of milk production, we have almost had a double per year, and in the case of pigs. An important signal to continue such a positive trend is therefore that the government not only talks about predictability and optimism as a general concept, but clearly signals that the growth we have seen in 2012 is a desired growth we would like to continue.
ParlaMint-NO_2013-12-18.ana.ud2341e2108	I very much agree with the representative of Storberget in describing the efficiency that has been in the industry. It's been far above what's been in society, 6 pst. – otherwise in the economy it is 1.5 pst. – so it's just taking off your hat for that. But it's important that it keeps going. So I think the income is important. In order for young people to enter the industry, it must also be possible to live by being a farmer and investing quite a lot of money. It is absolutely a goal for us to increase the profitability of agriculture in the future. I also believe that this is a prerequisite for succeeding in maintaining food production and increasing it, and not least having a living and strong food industry all over the country.
ParlaMint-NO_2013-12-18.ana.ud2341e2115	I would like to thank the Council of State for the answer. I think it is important that what is now said is said. I also use a bit of my speaking time to say that I think we agree that we can wish each other a good Christmas after a strip harvest. During the fall, we have determined that it is important that we have an increase in production, it is important that we have an agricultural policy throughout the country, as the Council of State said in the budget debate, and now it is also said that the growth we have seen — happily enough — in parts of the industry is important. Sees the Council of State that the signals received from the Ministry of Agriculture and the Government concerning, inter alia, soil protection, import protection, cuts in the general budget of the Ministry of Agriculture and signals on future agricultural settlements can help reverse some of the optimism we have seen in the industry over the last few years?
ParlaMint-NO_2013-12-18.ana.ud2341e2124	No, I think on the contrary that we have been very busy signaling that we want to increase profitability in the industry. That's why next year's agricultural settlement becomes incredibly important to be able to prioritize those funds even more rigorously, so that they benefit farmers. It is true that if you look at developments in this sector, the farmers have had the worst income development, while both the food industry and the food chain have had much better times, to put it that way. Finally, I would just like to wish the representative of Storberget a very good Christmas – and we will meet again in the New Year for new questions and new challenges.
ParlaMint-NO_2013-12-18.ana.ud2341e2131	It was a pleasant ending.
ParlaMint-NO_2013-12-18.ana.ud2341e2138	‘The government has notified a new private school law that opens up several private schools. In Sweden, SVT has revealed that a number of private schools systematically outsource low grade students despite the fact that there are vacancies at school, cf. posting in our country on 31 October 2013 and that such siling is contrary to Swedish law.» In Sweden, private schools have far greater features. There are free school choices that researchers point to as one of the reasons why the sorting of students in Sweden has increased.
ParlaMint-NO_2013-12-18.ana.ud2341e2145	The representative must stick to the text of the question submitted.
ParlaMint-NO_2013-12-18.ana.ud2341e2148	‘In what way does the Council of State consider that such a practice can be assured in Norway after the introduction of a new law on private schools?’
ParlaMint-NO_2013-12-18.ana.ud2341e2153	Today’s law requires approved schools to have the whole country as an entrance area and that the admission of students should be non-discriminatory. This government has no plans to change into a new law.
ParlaMint-NO_2013-12-18.ana.ud2341e2160	I thank the Council of State for a short reply. But I think what the government has to take over is that if you have private schools that become very popular and get more applicants than places, the question is how to record them. For example, if a new private school law leads to an increase in the establishment of private schools in Norway, for uncharacterised schools, such as primary and secondary schools, there must be some type of silage to a greater extent than at present. In Sweden, the system of free choice of schools includes: led to increased segregation and decreasing results. The project manager for PISA in Sweden points to, among others: the free choice of schools in Sweden, the system, as a cause of declining results. Then I would like to ask the Minister of Knowledge: does he see that free choice of school, as it is described, among other things. in the Höres programme, can negative results be achieved in Norway, in line with what has happened in Sweden?
ParlaMint-NO_2013-12-18.ana.ud2341e2171	I just want to repeat the answer to the first question: this is strictly regulated in today's private school law – a principle that the red-green parties also support. That principle will also be reflected in a future private school law. If it's that principle isn't strong enough, if there's any examples of it, we might consider tightening it up. But we're going to keep the legislation as it is today, just as it says. So it's not going to be any access to doing anything else there. When it comes to free choice, research points to a little different things. If you can use an anecdotal example instead, Oslo is a municipality that has had free school choices for very many years. At the same time, one of the most successful municipalities in the country has the most social mobility in its school, which is the best way to raise those students who need extra challenges. So it's obvious that there's no contradiction between letting students choose school and having a qualitatively good school that's also good at social cohesion.
