ParlaMint-PL_2020-01-22-sejm-04-1.u1	I promise. So help me God. Mr Jacek Kurzepa.
ParlaMint-PL_2020-01-22-sejm-04-1.u375	Thank you very much, Commissioner, for this detailed report. The Sejm agreed that in the discussion on this item it would listen to the five-minute statements on behalf of the clubs and the circle. I'm opening a discussion. Ms Beata Mateusiak-Pieluch, Parliamentary Club Law and Justice, will be the first to speak. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u376	Mrs. Marshal! High Izbo! Minister! The rapporteur of the committee has discussed this point very comprehensively, because the draft amendment is indeed short. In fact, it concerns only the introduction of a transitional provision to the Act of 11 July 2014 amending the Geological and Mining Law and certain other laws. The project clarifies that the provisions in force as of 31 December 2014 will apply to the procedures for the award of concessions for exploration or recognition of fossil fuels under mining property, excluding hydrocarbon deposits, initiated before 31 December 2014 and not yet completed. This provision is necessary due to the continuing concessions in force before the Ministry of Climate in the second instance as a result of administrative decisions repealing previous decisions. Because of the above. proceedings were initiated prior to the entry into force of the Geological and Mining Law Amendment Act on the basis of the provisions in force at that time and no new regulations can now be applied at the second instance, it should be decided by law that these proceedings should be terminated on the basis of the same regulations on the basis of which they were initiated. Minister for Climate Affairs due to the weight of the above mentioned. concession proceedings must be sure what rules should be applied to these proceedings, and this certainty is given only by statutory regulations. Besides, there are only a few cases - because that was the question. For this reason, the Law and Justice Club recommends that this law be adopted. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u377	Thank you very much, Member. Mr Aleksander Mishalski, Civic Coalition. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u378	Mrs. Marshal! High Izbo! I have the honour to present the position of the Civic Coalition club vis-à-vis the parliamentary draft law amending the Law on the revision of the Geological and Mining Law and some other laws. On the surface, of course, as you have said, this is a short amendment, a clarification of the rules to be applied to proceedings initiated before 31 December. On the other hand, today's committee meeting was held at 3 p.m. 8.30 and lasted 30 minutes, raised a number of concerns for Members and Members on the committee. We asked you a simple question: What entities that submitted their applications before 31 December 2014 will be subject to these changes? What entities will this apply to? For more than half an hour, those questions were probably five or ten in the O.R. We couldn't ask for that answer. Therefore, doubts arise as to which entities will benefit from this amendment. Isn't this an attempt to circumvent the rules that are currently in force after that amendment and to revisit the 2014 provisions? Isn't it also an attempt to circumvent the courts and decide which laws should be applied - whether the ones before the amendment or the ones after the amendment? The Minister himself admitted that this is a de facto attempt to make it easier for specific entrepreneurs to obtain concessions. The question continues to arise as to whether the interests of residents who may have problems in facilitating the acquisition of this concession to businesses will not be affected by this. During the committee's deliberations, we asked for a recess until this information was received, to proceed on this printing only when we have full information, as well as an enumerative list of these actors, those proceedings concerned. This motion has not been voted out. Mrs Paluch's counter-proposal to end the discussion has come. He was overruled, but he was not accepted, sir. He wasn't voted positive, he wasn't accepted. The counterclaim came up. We do not understand why discussion is cut short in such a situation. Moreover, an hour ago, perhaps 1.5 hours ago, we finally received a reply from the Minister, who actually presents, in addition to listing obvious matters, which we understand, a list of subjects, but not those for whom proceedings are pending, only those for which they have already been completed and are requested to re-examine them. Therefore, I'm not sure that this is a complete list. Moreover, the climate minister explicitly acknowledges that we de facto want to apply the provisions before the amendment, i.e. from 2014, to procedures that will be re-examined. I think they should be dealt with in accordance with the new rules now that these new rules have been voted on. Second instance, sir. Here's the question again. We didn't have time because this letter was very late to get to know these particular cases in detail, to see if there would ever be any interest of the residents, in terms of the fact that these proposals would be dealt with in accordance with these old regulations rather than new ones. Finally, I would like to mention the doubts of the Legislative Office, which explicitly states that the proposal to add a new provision in the article raises doubts. 18 laws. This provision is a partial provision. It should be noted that the amendment of the Act entered into force on 1 January 2015. Such a solution raises doubts as to its compatibility with the constitutional principles of legal certainty and the prohibition of retroactivity. In this regard, it seems necessary to consult the Sejm Analysis Office, which we also requested. That's not the opinion we got. Moreover, our doubts are also raised by the fact that the project, which should be proceded in ministerial mode, is proceded in parliamentary mode. You're running away from answering our questions. Therefore, on behalf of the Parliamentary Club, the Civic Coalition - Civic Platform, Modern, Polish Initiative, Greens on the basis of art. Article 45 (1) (b) and (c) of Regulation (EU) No 1303/2013 2 resolutions of the Sejm of the Republic of Poland are proposed to reject in the second reading the draft law amending the Act amending the Geological and Mining Law and some other laws. Thank you very much.
ParlaMint-PL_2020-01-22-sejm-04-1.u379	Thank you very much, sir. Mrs Anita Sowińska, Parliamentary Club Left. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u380	Dear Marshal! High Izbo! This bill looks innocent. The legal act counts about 100 words. There's a short explanation for that. Everything takes up no more than 1.5 pages. Not much, given that the entire draft law, the entire legal act Geological and Mining Law has 266 pages. Seems like everything looks real. The explanatory memorandum states that the bill clarifies administrative procedures and eliminates interpretation uncertainty. This is how it is presented here. For the sake of clarity, you added in the explanatory statement that the bill complies with the principle of citizen's confidence in the state. That's great. It's just that it's cheating citizens. According to the Legislative Office, the project was not assessed by any of the institutions which are set up under various laws, i.e. National Council of Legal Counsels, Chief Bar, National Chamber of Commerce, Social Dialogue Council, Prosecutor General. And you have the audacity to justify this law by the principle of citizen trust in you? And it's not over. The Legislative Office also expressed doubts as to whether this amendment to the Act was in line with the constitutional principles of legal certainty and the prohibition of retroactivity, i.e. the operation of the law backwards. It is recommended that the Office consult the Sejm Analysis Office. We didn't get that opinion. Despite all the rules, you're pushing this project with your knees. Can citizens' confidence in the state be built on this basis? You make fun of us, the messenger and the MPs, you make fun of the citizens. My question is: Why? Why, despite your negative opinion, are you going like a fighter with this bill? Why do you not consult with the institutions that are called upon to do so? We don't know that. It seems that the government is trying to hide something or influence judicial decisions in cases that are still pending. Geological and mining law was created to balance the interests of parties, entrepreneurs and landowners. On the one hand, the rules provide easier access to the deposit and on the other hand protect the owners of the property, ensuring that they can claim. And you want to change that. For unknown reasons, you want to defend corporate rights, not citizens. Why was some of the cases started before 2014 completed in accordance with the new law, and those that have not been resolved, want to end in accordance with the old one? Whose business are you defending? What you're doing is mocking the law process. Members received the bill three days before the vote. Let me remind you, this bill has 266 pages. Of course, it's about the original bill. In addition, at the same time we received a dozen new billings, very important such as the revision of the Act on PPK and IKE, which take the money of citizens and pass on to the financial institution forever, as well as the amendment of the Act on the departments of government administration, which creates additional lucrative positions in supervisory boards of the largest state companies. In this mess, there's no right to make law, and you know it. More than that, that's what you're after, because this mess is easier to hide the mistakes and deliberate destruction of the law, so that it protects you, the rulers, not the citizens. The Left Club will not support a law that is poorly prepared and is not consulted. We're calling for the bill to be rejected. Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u381	Thank you very much, Member. Thank you. On behalf of the parliamentary club of the Polish People's Party - Kukiz15 Mr Andrzej Grzyb. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u382	Mrs. Marshal! High Izbo! Such a small novel and so many emotions as well as critical assessments. Ladies and gentlemen, the law amending the Act amending the Mining and Geological Law, print 159, together with the first reading report, print 175, has been amended several times, as was said. On the part of the rapporteur, there was not a good assessment of both the quality of the law and the need for these changes. However, it also turned out that certain proceedings which were initiated under the law in force until the end of 2014 were not completed. Therefore, decisions at second instance which have been repealed in court proceedings cannot be completed at the moment. In the assessment of applicants, these proceedings cannot be terminated as the provisions in force from 1 January 2015 cannot be applied. This has also been confirmed by the resort of the environment, by the deputy minister of this resort and the main geologist of the country. And this seems to be a serious justification for this very short, two-Article novel. However, there is a problem that stems from the fact that, as has already been said here, there is a raised issue of retroactivity, i.e. a six-year withdrawal, an adaptation of the provisions of the Act, which was in force until 31 December 2014. And it was not even the Members themselves who raised this issue, but the Legislative Office. According to the Legislative Bureau, his opinion is not enough and it would be worth hearing the opinion of the Sejm Analysis Office in order to recognise whether such a proposal, the proposal of such far-reaching retroactivity, is in line with the principles of legislation. The second problem that has already been raised here is the subject of the subject matter of the scope of the amendment in this law. This was due to the lack of information in the explanatory memorandum, but also in the explanations at first reading, which did not bring the expected clarity who would benefit from this change. With such accidental changes, the "or" or "coherences" often played a major role. Therefore, I think that this is not even an intended malice towards applicants, but a matter of real explanation. And we got that explanation. I noted - the Environment and Natural Resources Committee sent this explanation at hours. 18 with minutes - that this applies to five proceedings, with listed concession areas. So we don't really know who the beneficiary of this proposal is, but we know what the concession areas are. So if we want to settle whether it's a deliberate, special action, whether it's really what we're talking about, that there must be legal certainty, both legal persons and individuals, legal certainty is right. Yeah, but that's the explanation we got. I think that if the whole thing had a slightly extended period of procedure, perhaps we would have avoided the questions that were being asked here. Therefore, when voting on the request for admission at first reading, the Members of the Polish People's Party abstained from voting, because we consider that, since it is not possible to settle proceedings in the current legal order, there should be some change here. Since not all the doubts I have mentioned here have been clarified for this time, we have abstained from voting. At the moment, we would still like to make a certain assessment of what we have, including the whole course of the discussion, and then we will decide on our final position. We will certainly announce this position to you (the bell) after the meeting of tomorrow's committee. Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u383	Thank you very much. The position of the Confederacy Circle will be presented by two parliamentarians. First of all, Mr Krystian Kaminski. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u384	As a confidante, we take note of the fact that at the committee meeting it was not revealed, which entities are specifically concerned by this law. Is this because of ignorance, bad will, or is there something else we have to suspect? We don't know that, but we're pretty sure that's why it's a parliamentary project, not a government project, yes. However, we know well that it has been developed in the Ministry, not by Members. The report of the Supreme Audit Chamber clearly shows that it remains above 13% without recognition. applications for or modification of concessions for the exploration and recognition of copper deposits and a further 2.5% are pending cases. In view of the ongoing judicial and administrative proceedings, the copper mining industry is unfortunately paralyzed in a situation where we have a global boom when it comes to the need for copper, which is confirmed by anyone who knows about it. Global extraction is currently based on markets that are either unstable or unstable, or have an unstable political situation, or, like China, are blocking external access. It should be noted that it was the former government that failed to ensure proper inter-temporal rules in the draft amendments to its 2014 law. As a consequence, even proposals submitted 4 years before the 2018 amendment are currently blocked due to the subsequent implementation of EU legislation. Circle of the Polish Confederation is in favour of simplifying procedures concerning concessions for exploration, recognition and extraction of copper deposits to benefit from the economic situation for these natural goods, because today the price of copper is very high, and none of us know how it will be in 10, 15 or 20 years. Therefore, we cannot wait any longer for this precious raw material to be extracted. I, as an envoy from Lubusian land... We particularly care about this because in our district copper deposits are huge and we would like them to be mined as soon as possible, because it would be a guarantee of huge development for the entire Lubuskie voivodship. In addition, we believe that the surpluses arising from or from the taxation of copper ore or from the sale of this raw material should, as a Norwegian example, provide a safeguard against the dramatically deteriorating situation in Poland in the health and social security system. Thank you.
ParlaMint-PL_2020-01-22-sejm-04-1.u385	Thank you very much. Let's move on to asking questions. Five MPs signed up for the questions. I'm closing the list. I'm setting the time for questioning - one minute. Ms Urszula Zielińska, the Civic Coalition, will ask the first question. You're welcome. There isn't? There it is.
ParlaMint-PL_2020-01-22-sejm-04-1.u386	Mrs. Marshal! High Izbo! I think the state of the applicant is using legal tricks. I don't know. I'm asking. And you even want to apply the law backwards, potentially to win further mining concessions at a time when you should close existing mines, existing deposits, and offer mine employees a plan for a fair transition. What kind of money? Meanwhile, the Ministry of Climate issues further concessions for the extraction of even hard coal even in areas of such natural value as the UNESCO Biosphere Reserve Western Polesie in the surroundings of Poleskie National Park, in areas protected by the Ramsar Convention, etc., etc. In the drawer you have another bill still from the previous (Bingle) term, which will allow you to issue concessions in 21 days. Do you really want to... Thank you very much, Member. ...to bring this country to an ecological and climatic disaster? [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u387	Thank you very much. The next question will be asked by Mr Krzysztof Gawkowski, Lewis. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u388	Mrs. Marshal! High Izbo! Minister! I have such doubts about this piece of legislation. What are you hiding in it? Why do you not want to answer the questions that can be asked in the case of every law, but this one from the perspective of the parliamentary initiative should be clear and open. Why don't you make it clear it's about the money? Because it's about the money. But who's gonna benefit from that? Why do you say areas, and you don't give companies that might be privileged to adopt this legislation, which is de facto illegal, because it's a law that's supposed to work backwards. I have a specific question: What entities and what money is involved if this law is adopted and who will benefit from it specifically? Thank you very much.
ParlaMint-PL_2020-01-22-sejm-04-1.u389	Thank you very much, sir. Mrs Małgorzata Janowska, Law and Justice.
ParlaMint-PL_2020-01-22-sejm-04-1.u390	Mrs. Marshal! High Izbo! I have a question for the Minister. Is it possible to resolve late concession proceedings in the second instance without amending the Geological and Mining Law Act of 2014? Thank you very much.
ParlaMint-PL_2020-01-22-sejm-04-1.u391	Thank you very much. Mr Marek Dyduch, Left.
ParlaMint-PL_2020-01-22-sejm-04-1.u392	Mrs. Marshal! High Seym! I have a question for you. The rapporteur, Madam Paluch, said that this was the fault of all those who adopted the amendment in 2014. I wanted to ask what the government did in 2015 and the 2016 governing coalition, the 2017 governing coalition, the 2018 governing coalition and the 2019 governing coalition. Why didn't you settle this? There was a whole list of institutions waiting for a decision. You didn't listen to me at all. I've been listening. I know this is about court... I don't care. I listened carefully. Now you're saying you can consider this after the amendment, because we're going back to the old bill. Well, when we get back to the old bill, why was everything else in the years? What was that for? [[♪ The bell ♪]] I have a second question: how many have these investors lost who are waiting for these decisions to be decided on the concession? [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u393	Thank you very much. Thank you. Mr Grzegorz Lorek, Law and Justice.
ParlaMint-PL_2020-01-22-sejm-04-1.u394	Mrs. Marshal! Minister! High Izbo! I must say, this is a long-awaited bill. I'll give you an example of the Bogatyn. Every wall needs a concession. Every five years, the mine asks for this concession to be issued. I know that a member of the PSL club is an ex-director and he knows very well what fight he had to fight every five years to get this concession. We are still fighting for Złoczew, Member. I think the workers of the brown coal mine They'll be happy to hear your words. On the other hand, I would like to say to you what the rapporteur has said, namely that we finally have a chance to sort this out, those actions which are very long-term in various instances. And a question. Minister, will this change make it easier to process, or do we finally have a chance to close it (the bell) in a few months? Thank you.
ParlaMint-PL_2020-01-22-sejm-04-1.u395	Thank you very much. The list of Members registered in the vote has been exhausted. On behalf of the government, the Secretary of State in the Ministry of Climate will answer the questions asked by Minister Piotr Dziadzio. There you go.
ParlaMint-PL_2020-01-22-sejm-04-1.u396	Mrs. Marshal! High Izbo! Ladies and gentlemen! In response to the discussion, because that is the name of the discussion, which, in some ways, can be regarded as an unnecessary discussion in view of the need for a change, which was prepared by the Law and Justice Members' Club and referred to here by Anna Paluch, rapporteur, whom I thank very much for passing on this information to the High House. Ladies and gentlemen! Maybe I'll refer very holistically to the issues that have been raised. I will try to present this synthetically to you, but the number of charges we have heard here is actually unfounded in terms of preparation, concealing anything. The amendment of the bill, which is proposed, will arrange and allow for the issue of search and exploratory concessions - as has already been done here, you have heard - in the area of rich copper deposits. Ladies and gentlemen! It is a wealth we have also heard about here from the Member... From the Confederation. ...from the Confederation, that's the truth. We must, we should allow entrepreneurs first to obtain licences for exploration and extraction, and secondly only for exploitation. So this process is two-phase. First of all, we should complete the procedures that will enable us to issue search and exploratory concessions, this is the first element, so that we can take a step forward. We can't do this without this step. The cases took place four years first in the United States, then in the NSA, and we didn't get our sentences until last year. Ladies and gentlemen! Last year we got sentencing, hence the long process. Today, so that we can take another step forward, we should adopt this law which will allow those who are seeking concessions - once again - to seek and extract copper ores and silver deposits, to get them. The law does not prejudge - once again: it does not prejudge - to which entity we will issue any concession or concession office will issue it. This is a process that requires all responsibilities and procedures to be met. On the other hand, the Act allows us to introduce the possibility of issuing a concession, once again I repeat to you: the possibility of issuing a concession. In other words, economic operators who are seeking these concessions cannot stand in the way of non-compliance should be given the possibility of concluding and obtaining concessions, exploration and mining concessions. I'm gonna go over some specific questions right now. Again, I admit it and confirm it. This bill has no intention of hiding anything, it is a clear legal solution. The fact is that it comes back to certain solutions, it is retroactive, but it cleans up and allows it to be licensed, issued to the economic operators who are waiting for it. Let us issue these concessions and carry out the concession process. At this legal stage - this was the question - it is not possible to issue or carry out a concession. I can confirm that. There was also a question about the licensing of coal mining. Of course, ladies and gentlemen, this case does not concern the issuance of coal concessions. It doesn't apply to this case, it's an area entirely... We should not combine these two cases, because they have nothing in common, i.e. hard coal or brown coal and mineral resources such as copper, silver and other deposits. Thank you very much to Mr Krystian Kaminski of the Confederation, who supports the adoption of these solutions. I believe that the conscious approach and understanding of the problem we have right now is at the Confederation Club. Copper deposits are important to us, they constitute and will constitute income for local communities if they are exploited. The proposed law is not in any conflict with EU law, it does not jeopardise the safety of citizens and in particular property owners. Affirmative, there's nothing in this that you can do, just like you suggest... Anything to hide. I think that's all I've explained to you. Thank you very much. Secretary of State, Ministry of Climate Piotr Dziadzio: We are all aware of what entities want to obtain concessions. We want to issue these concessions so that we can consciously share and use natural resources. Thank you very much.
ParlaMint-PL_2020-01-22-sejm-04-1.u397	Thank you very much, Minister. The rapporteur of the committee, Anna Paluch, is also asking for the floor. But please, my fellow Member, really, if I may appeal for a short... Because we're two and a half hours behind schedule.
ParlaMint-PL_2020-01-22-sejm-04-1.u398	Mrs. Marshal! It'll be very short. I think I've explained the whole background enough, so I'm not going to repeat it. When it comes to the questions that have been raised, it is more likely that not everyone listened carefully. Ladies and gentlemen! Thank you, sir. PSL for a reasonable position, because it is primarily reason that we need in such strictly technical or procedural laws. This is not an attempt to circumvent the courts. After all, the courts, when deciding, must take into account the laws. It won't hurt the town's business. The proceedings in the second instance are, after all, a continuation of this proposal, which was made years ago. As to the doubts of the Legislative Office, I expect that the Legal Office expressed the same doubts at the time of the proceeding over the Act of 11 July 2014. At that time, the ruling majority, which you represented today from the Civic Platform, did not shake the eye that dozens of applications submitted 3 months before the date of entry into force of the law should be thrown into the basket and, so to speak, no one was worried about retroactivity. And the retroactivity that accompanied it, and it's very distressing and, I'd say, without the consequences, is the source of the problems that we have right now. So, ladies and gentlemen, I would like to thank those clubs and those Members who have shown common sense, because this is what we should be guided by, in particular, by such important laws. Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u399	Thank you very much, Member. And I really am committed to such a brief, brief report. Every wish of your marshal is my command. In that case, the discussion is closed. In the discussion, a motion was made to reject the draft law in its entirety. I propose that the Sejm do not refer this bill back to the committee. If I do not hear opposition, I will think that the Sejm has accepted the offer. There's no objection. Oh, there's an objection. Oh, there's an objection. In that case, we shall proceed to the vote in the voting block. This concludes the agenda items scheduled for 22 January this year. I would like to inform you that Members have come forward to make their statements. Would any of you and your fellow Members like to make a statement? No one's checking in. I therefore consider the list of Members made to be closed. 11 MPs signed up. I'm just asking, too. Perhaps one of you would be willing to make a statement in writing. I'd really be very obliged. But if you decide to make a statement, then the Civic Coalition will be the first to make a statement by Mrs Marta Wcisło. Come on in, my fellow Member.
ParlaMint-PL_2020-01-22-sejm-04-1.u400	Mrs. Marshal! High Izbo! 1 October 2017 PiS introduced a law on setting up a network of hospitals to introduce innovative solutions to improve hospital management. The aim is to improve accessibility for patients, but also to ensure an adequate level of continuity and financial stability in hospitals. In practice, however, the system was completely inefficient. We hear more and more about hundreds of hospitals that are in very serious financial difficulties. Neither the economic situation of hospitals, under this law, nor the availability of patients, or even the opposite, is improving. The so-called work is also very negative. hospital emergency services, as well as patient availability. This law should therefore be assessed as an unthinkable experiment on a living cell, on patients. The basic assumption of this law was to be very flexible money management, as well as the gradual exit of hospitals from debt. Unfortunately, most institutions that had debt before the reform entered into force only enlarged it after the introduction, or actually after the entry into force of the hospital network law. And hospitals that didn't have debt today have a very serious debt. Prior to the entry into force of the Act, before 2017, according to analyses of trade journals and experts, about 75% Hospitals were on the verge of financial problems, liquidity. Today it's 92% hospital facilities which have been covered by the Hospital Network Act. The question therefore needs to be asked what further the government proposes and whether it will take into account the views and, in fact, the suggestions of the Supreme Audit Chamber, which, as a result of the checks after the entry into force of the Hospital Network Act, writes: it was a mistake not to take into account the social aspects of the network, nor the therapeutic and diagnostic possibilities of the individual health services units, nor to take into account demographic, epidemiological or the degree of adaptation of the facilities of the various institutions to the applicable legislation. Unfortunately, the current funding system, ladies and gentlemen, is not keeping pace with the rapidly changing financial realities. Hospitals, according to contracts implemented by the National Health Fund, are in debt because contracts do not take into account avalanche rising costs. These are mainly personnel costs. What's going on? This is the case, ladies and gentlemen, that the voivodship boards, marshals cut costs by eliminating individual hospital departments - oncology, cardiology, health and life salvage units - in order to reduce personal costs, thus restricting patients' access to medical services. It is very sad, because this is the situation in Lublin Voivodeship, in particular in Lublin, where in four hospitals the so-called. reorganization through the elimination of very important, very necessary and very besieged branches, to which are the breast surgery department, where specialists - specialists of national, national, but also international rank - are unfortunately or will actually be released. Today it came to my attention that several chiefs resigned because they were obliged to indicate a list of people to be fired. Ladies and gentlemen! There is no more important thing (the bell) than that which is the health and life of patients, citizens. Please, it's time for the government to take a concrete... Thank you very much. ...actions aimed at... Madame, it's been five minutes. ...to improve the situation of hundreds of hospitals and thousands, millions of patients in our country. Thank you.
ParlaMint-PL_2020-01-22-sejm-04-1.u401	Thank you very much. Mrs Wanda Nowicka, Left. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u402	Thank you, Marshal. My statement concerns one of the biggest environmental problems not to say: an ecological bomb in Upper Silesia. Toxic waste after the elimination of Tarnowskie Góra Chemical Plant is considered one of the biggest ecological problems. Since 1922, the company was one of the largest producers of inorganic chemicals in the country. Its post-production waste for decades has been deposited on the dumps around the plant without adequate protection and has resulted in contamination of both soil and surface and groundwater. This situation is one of the most pronounced examples of how chemical plants, if they do not take remedial measures in time, can have a negative impact on the region's environment. Since 1994, approximately PLN 230 million have already been spent on the decommissioning of the threat, disposing of more than 1 million m For many years, soil and soil observations in these areas have shown very high levels of pollution, which have been confirmed by numerous scientific and technical studies. High concentrations of elements such as arsenic, bar, borb, zinc, cadmium, lead or turpentine were found from the analysis of the results of groundwater monitoring. All post-production waste from chemical plants belongs to a group of waste which is particularly harmful to the environment and human health. It is worth noting that the remaining waste poses a real danger to the residents of the municipalities located within the reach of the main groundwater reservoir No 330 Gliwice, which is a drinking water reservoir for the north-western part of the Upper Silesian agglomeration. In support of the procedures undertaken in this case by the district of Tarnogórski and the board of the communes of Tarnowskie Góry, Świerkliniec, Zbrosławice, Tworog, Wielkieś, Rudziniec, Pyskowice, Gliwice, Zabrze and the management board of the Góry-Zędębiowskie Metropolis, I appeal to the authorities of the Republic of Poland to take immediate and effective measures aimed at the final elimination of the risks posed by waste from the state-owned enterprises of the Tarnów Góry Chemical Plant in Tarnowskie Góra in liquidation. It's time for hazardous waste to stay finally completely removed. I declare, for my part, that I will certainly deal with this problem until this case is completed positively. Thank you.
ParlaMint-PL_2020-01-22-sejm-04-1.u403	Thank you very much, Member. Another statement - Mrs Monica Falej, Left. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u404	Mrs. Marshal! High Izbo! Ladies and gentlemen! Paragraph 1 is replaced by the following: Article 1 10 The Constitution of the Republic of Poland says: The Polish Republic's system is based on the division and balance of legislative power, executive authority and judicial authority. It is said many times, even alarms, that this division in Poland is at risk. Today I want to say to you: lips. Article 1 The 10 Polish constitution is openly violated. In Poland, the Polish authorities break the constitution. On 21 January, a judge of the District Court in Olsztyn arrived at the Sejm's Registry in order to execute the final order of the court, i.e. to review the letter of support of the judges of the new KRS. The Sejm law firm broke the law yesterday, refusing to disclose these letters, also violated one of the articles of the Constitution, precisely the article. 10, referring to the absurd argument that the Head of the District Court in Olsztyn withdraws the delegation to Judge Juszczyszyn. This should sound out loud: The withdrawal of the delegation is not and cannot be a withdrawal of the final order of the court. The Sejm had and still has an obligation to present these letters of support. Another worrying situation is the behaviour of the President of the District Court in Olsztyn - i.e. the withdrawal of the delegation - and, importantly, a member of the new council of Maciej Nowacki, who specifically interrupted his leave to withdraw the delegation to Judge Juszczyszyn, which is a clear obstacle to the performance of his duties by the judge under his command. I would like to draw attention to the fact that President Nowacki probably violates the same article of the Constitution. According to the law, and this is confirmed by the spokesman of the Olsztyn regional court, Judge Juszczyszyn was in the Sejm Registry fully legal and had to be shown letters. I would therefore like to express my deep concern at the evident violation of the law, both by the Sejm Registry and by the President of the District Court, and the attempt by the latter to exert pressure on the independence of the judge's work. This example illustrates the pathology and faculty of the rule of law in Poland. I am pleased, on the one hand, that TVP has created a new intervention programme that raises the issue of irregularities in the functioning of public institutions in Poland. I hope we'll hear about this case soon enough. I will merely remind you of the name of this program so that we can realise how quickly this case should come to light: "Kasta. As you can see, the PiS castes in Poland are doing very well. I also hope that not only television, but above all the Minister of Justice will deal with this case, will check whether this particular article of the Constitution has actually been broken, and will draw consequences for the President of the District Court. Thank you.
ParlaMint-PL_2020-01-22-sejm-04-1.u405	Another statement - Mr Jarosław Rzepa, Polish People's Party - Kukiz15. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u406	Mrs. Marshal! High Izbo! Let me say a few things about the Western Pomerania, and specifically, the maritime economy, because this is very important for us, for this city, for this region. I'm going to start by saying that we have a factory that, ladies and gentlemen, was going to produce marine foundations for wind power plants, which is actually what we're going to need very much in the near future - it seems that this is the way it should be - and the management of this company, in which 80% He's got Mars fund, he's declaring bankruptcy. Ladies and gentlemen! The people in January, at the end of January, they won't have payouts. These people are about to find a job somewhere else, and I'm sure this bet won't come from the knees anymore, and it was so hard, it took us so long to make this bet at all. The second example I wanted to mention - because I am talking about the maritime economy and I will really refer to the activities of the Ministry of Maritime Affairs and Inland Shipping - is Szczecińska Shipyard. Ladies and gentlemen! I myself witnessed the situation when Prime Minister Beata Szydło in Szczecin spoke about the ferry. Today, this keel is still rusting, and there's nothing going on in the yard. Millions spent. During the years of prosperity, 19 vessels were launched in Szczecin Shipyard each year. That's right, ladies and gentlemen. Today there's a hula Just the wind. Another topic - Poland Maritime Shipping. At one time Prime Minister Pawlak said that it was our national silver, and today, I fear, very much threatened, one of the other two state-owned companies. I would very much ask you to look into this case and what's going on. Next topic - Operational Programme.Fishing, Fishing and the sea. One of the smaller EU programmes that we are implementing in this perspective, with a smaller budget and the most vulnerable in terms of the n+3 principle. This is another programme implemented by the Ministry of Maritime Affairs and Inland Shipping. What about the Odrzańska Waterway, so loudly announced a big investment for billions? Nothing's going on, ladies and gentlemen. No talks are being held, and recently 80 million PLN, which were intended in the Międzyodrze, which was intended to protect part of Szczecin from high water, has been shifted to which place. Therefore, let me ask you very much from this point, Prime Minister, to look at the actions of the Minister for Economic Affairs and Inland Navigation and what is happening in the subsidiaries, with particular attention to Szczecin Shipyard, the Maritime Shiprepair Yard, Gryfia, ST The worst, ladies and gentlemen, is that, just as in the case of Szczecin Shipyard, the current government has a problem, because we know how difficult it is to get employees who have found their place in the German and Norwegian shipyards. They don't want to come back so easily. If we lose these people, they won't come to these jobs anymore. In addition, ladies and gentlemen, we are still at risk of returning EU funds because this factory was created, among others. through measures from the European Union, but we were to guarantee jobs and production. I ask the Prime Minister to address this issue, because it is really very difficult. Thank you very much.
ParlaMint-PL_2020-01-22-sejm-04-1.u407	Thank you very much, sir. Mr Jan Szopiński, Left. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u408	Tucholski County Council in Kujawsko-Pomorskie Voivodeship took a position in which it expresses its concern about the situation in which Tucholski Hospital is not able to provide appropriate night and Christmas medical care. The information provided by the President of the Tucholski Hospital at the session of the county council clearly indicates that the problem with proper care implementation is related to the lack of medical staff. In order to increase the number of medical staff in the school year 2018/2019, Tucholska Centre for Vocational Education provided vocational training in the profession of healthcare provider. 37 graduates who were fully prepared for this profession went to the labour market. Unfortunately, in schools at the county level, no other medical staff can be trained. The number of trained doctors and nurses should be increased, but the effect will only take place in a few or a dozen years. We believe that in this situation, the county council states that only organisational changes can contribute to improving the functioning of health services. District hospitals should not themselves pursue night and Christmas health care. The Tucholski County Council calls for action to resolve the problem in a systematic manner, which will improve the situation of ensuring the well-understood health safety of residents. The appeal was signed by the chairman of the district council of Ms Dorota Gromowska. Thank you, Marshal.
