ParlaMint-HR_2018-12-05-0.u101849	Thank you, time. Mr. Marko Vučetić on behalf of the Independent Representatives Club.
ParlaMint-HR_2018-12-05-0.u119696	Replication response.
ParlaMint-HR_2018-12-05-0.u119697	The man was a minister for 100 days, and you, dear sir, defend the interest groups that created empires to the detriment of Croats, Croatian villages. You have told so many lies here that in 100 days, in 100 days, you asked, but all you asked for, you sought out Jozo Petrovic and the consultants. The only thing you were looking for at the time. You absolutely never cared about how to preserve Croatian peasants or telecommunications or INA, you were not interested in anything. That is why the Croatian state is now empty and empty. The Croatian state has been brought to the bottom because of such policies. I don't justify anyone, nor the minister of the former Roma, but he was a man for 100 days and you are now. So ask the former minister of Cobankovic, former ministers, and do not ask, and do not mention, the doves of potatoes for such amounts. Shame on you.
ParlaMint-HR_2018-12-05-0.u119698	Thank you. Infringement of the Rules of Procedure, Mr. Grmoy's representative.
ParlaMint-HR_2018-12-05-0.u119699	The simply respected chairman must react.
ParlaMint-HR_2018-12-05-0.u119700	Representative...
ParlaMint-HR_2018-12-05-0.u119701	Article 238, meaning a representative who means here called a completely unfounded minister who has been minister for 100 days and has convicted criminals who have been gulping potatoes for 5 years who have been ministers and destroyed the Croatian village. For 28 years you have managed Croatia, destroyed Croatian agriculture and you You have the nerve to call a university professor who was a minister for 100 days. [[/Subject Petrov: Thank you, Mr. Grmoja representative, your time is up. Mr. Grmoy's representative.]] Shame on you, you criminals.
ParlaMint-HR_2018-12-05-0.u119702	Mr. Grmoy's representative, your time is up. Mr. Djakic, don't get it. Mr. Djakic, don't earn it, but you have the opportunity to lift the breach of the Rules of Procedure.
ParlaMint-HR_2018-12-05-0.u119703	You destroyed Croatia.
ParlaMint-HR_2018-12-05-0.u119704	Representative Djakic, I ask you to calm down. Mr. Grmoja's representative, Mr. Grmoja, was not injured by the Rules of Procedure, that MPs would speak in their speeches in the Parliament, whether they were telling the truth or not, Parliament Speaker Gordan Jandrokovic said that because if the MPs were to make a lie or not, there was no harm to the Rules of Procedure, he would ask you to stick to it. MP Mikulic, also requested the violation of the Rules of Procedure.
ParlaMint-HR_2018-12-05-0.u119705	I thank you, Vice President. Article 238, I'd like to ask you to warn your colleague Grumo not to insult us, not to call us criminals, and among other things, he's told another lie, there hasn't been 100 days, it's been nine months. ... [[The speaker doesn't understand.]]
ParlaMint-HR_2018-12-05-0.u119706	MP Mikulić, a violation of the Rules of Procedure. I warned you. I'd like the esteemed MPs to be polite. Representative Mikulić, I have warned Representative Grmoy, I cannot remember that he personally called you criminals, or criminals, in such a way that he insulted you. And as he did, I won't warn you, nor did I warn you of anything I consider to be true or false. Your President of the Parliament said that the violation of the Rules of Procedure is not when a parliamentary representative gives a lie, and if those standards do not suit you, consult with him, not with me. Thank you. For individual participation in the debate,.../The speakers speak out loudly, incomprehensiblely./...I would ask that you do not object, I adhere, sir, to MP Šipic, MP Šipic, I adhere to the rules that the President of the Parliament has stated to me personally. For individual participation in the debate, MP Culey reported.
ParlaMint-HR_2018-12-05-0.u119707	Dear Vice President. And I will begin in a strange way, heavily mild with a bad shepherd, and even harder to shepherd with a variety of treasures in his flock that he guards. So I'll generally talk about us like this. We were talking here yesterday, breaking up, chasing, threatening, saying things. The debate before the one that was interrupted was an inspectorate, a very important branch, which was abolished in the past government, especially the state inspectorate, which was supposed to establish various anomalies, robberies and so on, so we wouldn't be discussing agriculture in this way. Like all of us, we want Croatian peasants well and we all know what's going on in the country, what's the problem, but we can't find a solution together. Why? Because this is one bag, and inside they are all horns, and each one would say something of his own that is the best, the most precious, and I will say this again, I will return to the shepherd, the shepherd who guards his treasure is like the Croatian defender who has guarded his people, and who will sooner take care of his people or his treasure than take care of himself, because in the first place his treasure, that he is safe, in the dry, warm, and that he is slowly progressing and reproduced, to get fat. And we like here, many before us,... politicians in the long run, whose only branch they're dealing with and who don't have any other past or future, except political ones, and that's their only way to survive in this cruel world, in which a Croatian peasant, because he's tough, and through centuries learned how to survive, based only on his knowledge and people's dedication, learnt. [[The speaker doesn't understand.]] And he'll survive. And we, as white, shall have on the oak vegetation on his back, and shall use all his good things which he shall provide, more to us than to ourselves. When we go into this story, like any responsible shepherd, or as we in the army knew after a certain success or failure to make an analysis or a breakdown of the entire successful or unsuccessful action, so it was necessary for the same in agriculture, that the wise heads who led this country, not to add up the pluses of the strong and real estates they acquired in their mandate, but to see what they missed to do and what they did not do or what they did to their people, and what is now a reflection as a state in Croatian agriculture and in Croatian society, so that they were able to analyze it, and possibly someone involved with them, because many such benefactors of Croatian agriculture and conditions in society were also followed by the DORH. And that this same DORH would not only be a fox that would come into the henhouse and determine which hens were missing so that he might come another night and pick them up, but that those who had picked up the first hens would bring them to court and that they would pay for what they did not do well. It's necessary. What do you need? Save the village and the peasants. In what way? Round table, analysis of everything that was bad. The analysis where we made a mistake, what we did, how we divided the country, how we shared the incentives of European funds, who got these incentives, how much they got these incentives, how these incentives were spent, whether they were purposefully spent, or whether Mr. Minister with funds from outside became a party mule who wore it and taught a pig to the party in his bank, and through this way dimmed the funds that were not purposefully spent. If that one round table were possible, but of course with the DORH and other institutions, so that everyone would twist their stocking to see who was what and how much revenue he made in his term, where is he now, where is he hiding? Did he spend his resources on the development of agriculture, obtaining a final product from raw materials, Croatian, which will satisfy the needs of Croatian people or end up in the Cayman Islands, in some villas, apartments and I don't know where else? We talk about it and argue here just like horns in a bag proving that we are better than those before us, and then they will prove to us that they are better than us. And it will all be so in the future, until we really get a real shepherd who loves his treasure and true treasure that he loves his shepherd, was in the form of a minister, president or any leader. When you believe in your leader and are ready to help him get to the finish line, then we will succeed in agriculture and life. Thank you. And I won't respond to the replicas, because I have to go to the board.
ParlaMint-HR_2018-12-05-0.u119708	Representative Culey, it is my job to offer representatives who have asked for replicas, whether they will refuse it afterwards. We'll see about that. Agent Kirin, you've reached out to the replica.
ParlaMint-HR_2018-12-05-0.u119709	Dear Vice President of the Parliament, the Honorable Minister of Honor. Agriculture is a strategic economic interest and security interest, is the situation in agriculture satisfactory? Why do we import billions of agricultural products, which you think is possible to revive agriculture and become exporters from importers? Will the national strategy for agriculture development deliver results in your opinion? And do you think it's invested enough in agriculture so far? Thank you.
ParlaMint-HR_2018-12-05-0.u119710	Replication response.
ParlaMint-HR_2018-12-05-0.u119711	Your Honor, Vice President. Agriculture is very much invested, it's just a question of whether the funds have been spent, because we haven't finished all our products, we haven't used all the raw materials, and the resources that we have, that we have our own branded final product, with which we will be united, together, can be rivals and mate to all of you. Thank you.
ParlaMint-HR_2018-12-05-0.u119712	Representative Misic asked for a replica.
ParlaMint-HR_2018-12-05-0.u119713	Thank you, Vice President. Comrade Culey, you're leaving, but this is about how I'm gonna answer you. You were talking about a shepherd. The shepherd is a politician, politics should be moral and responsible, but not necessarily the responsibility of these 20 years. When Culey mentioned the henhouse,... Chicken. [[The speaker doesn't understand.]] Yeah, and we need to close the door so that this fox can't get into the henhouse anymore, we have to build a legal state and the resources that are being allocated to people, we have to control them... Of course it was such a part of the world, for 25 years I would say and I think this government will control it and then out of little control we'll do great wonders. [[The speaker doesn't understand.]] The farmer produces today, but we don't have cattle, we don't have what he primarily lived and sold and his products that he produced through cattle and meat. Now there's a problem, there's been the destruction of that farm, which needs to be restored, and I know it's a process and I think this government is going to work on it, but if it doesn't, then it's unfortunate that we're not even on our way now. Thank you.
ParlaMint-HR_2018-12-05-0.u119714	Representative Pranic, reporting for replication.
ParlaMint-HR_2018-12-05-0.u119715	Thank you, Vice President, colleagues and colleagues. So, Col. Culey mentioned the strategies in his presentation and today we're in the... In 2019, and we know that the programming period for Croatia ends in 2020. There are no round tables, there are no plans in any sector or agriculture sector that will take place in Croatia from 2020-2027. [[The speaker doesn't understand.]] In this rural development, however, there will be so many shortages, and only in the case of kindergartens, which are also necessary for the development of the Croatian village, where new buildings will be built, and local self-government units will not be able to finance pedagogical staff. So when we talk about strategies, I agree that we should not go back to the past, which was, as it was, we can't change much there, but I'm afraid we haven't gone much further to the future either, because here, we're entering the minority in 2019 and we don't have many round tables or polemics or quality debates to define the programming, development guidelines of Croatia in 2027.
ParlaMint-HR_2018-12-05-0.u119716	Thank you. Representative Babic called in a replica.
ParlaMint-HR_2018-12-05-0.u119717	Thank you, well-respected Vice President of the Croatian Parliament. Dear colleague Culey, this may seem naive, which I'm about to say, but I think so, Mr. Culey is not here. And then there's no replica, there's no point. Thank you.
ParlaMint-HR_2018-12-05-0.u119718	Thank you. A representative, Domagoj Mikulić, appeared for individual participation in the debate.
ParlaMint-HR_2018-12-05-0.u119719	I thank you, dear Vice President of the Parliament. Dear State Secretarys with associates, colleagues and fellow parliamentary representatives. Following the Law on Agricultural Land, following the Law on the OPG, the Law on the Agricultural Chamber, today we are discussing the roof law on agriculture, a law that unites several laws, and EU regulations harmonizes the legal property of the EU, with the national legal system. This law defines the objectives and measures of agricultural policy and harmonizes it with the common agricultural policy. This law must also be seen as a framework for national agricultural policy, as it implies the adoption of national strategic and programming documents with national objectives, priorities, measures and mechanisms of action in the programming period 2014-2020, and in this period which we have left. Of course, the law must also be seen through the financial prism, because it allows 7 billion kn to be allocated annually for agriculture, right through rural development, through direct payments, market organisations and the like. What I would like to praise is the return of a green report or an annual report on the state of agriculture in the previous calendar year, which gives us a clearer picture of the situation in our agriculture and only in this way, with one realistic insight, we can work on a basis for a better preparation for the future agricultural period, or until 2027, of the common agricultural policy. This is also important because we see indications in the EU that not all Member States are looking at agriculture equally, and that we can only be firm and clear with our lobbying, attitudes and demands if we have solid foundations and accurate data and they are seen right from the green report. The establishment of an agronomic chamber and strengthening the Agricultural Chamber can create preconditions for the protection of our agronomists but of course also for attracting those new ones. Currently, worrying trends in enrolment for this profession are that should be one of the pillars of our economy in rural areas and certainly should be given a little more attention. And I've already said on several occasions, I'm going to repeat that and now, I think it's important and necessary to design one system, one mechanism, that every economy has a certain number of agronoms employed, because I think that a greater number of qualified agronoms with a well-compromised business of the economy would also result in higher contributions but also the revenues of our agricultural producers while providing young people with new jobs. I want to believe that in this way we will make our agricultural policy more resilient to the future and those challenges that the future brings, I believe that this policy will continue to be a support for farmers and rural communities to lead to sustainable development of agriculture, namely to ensure the sustainability, growth and development of the oily villages and our agricultural economies. And given that this law defines agriculture as a strategic branch of the Republic of Croatia, I believe that this is essentially an introduction to the development of a long-term strategy for the development of agricultural production which, I am sure, would have been a clear signal, an incentive, an encouragement to all farmers, especially those young people who have yet to decide on this profession. Thank you very much.
ParlaMint-HR_2018-12-05-0.u119720	Representative Panenic reported on the replica.
ParlaMint-HR_2018-12-05-0.u119721	Thank you very much. Dear counterpart Mikulić, the very strategic document should be the basis and determination of the policy we will lead in agriculture. We are now entering the period ahead of us, which is the new EU programming period where we see difficulties facing the common agricultural policy. We need to have a quick, quality answer and we need to actually be the ones who are pro-actively withdrawing funds. The strategy has yet to be completed and we will be welcomed by the adoption of the EU budget's feet, we need to work on a national plan, I think we have a lot ahead of us to do, and I'm afraid that somehow we always cough that we will welcome again unprepared. We come out of the cycle in a cycle, we go in unprepared, and then to whom we do the only damage, in fact all of us together here representing a political elite, doing damage to farmers, whether they shepherds, whether they're warlords, or anyone else, so politics has to be faster for us.
ParlaMint-HR_2018-12-05-0.u119722	Replica response, MP Mikulić.
ParlaMint-HR_2018-12-05-0.u119723	Thank you, Vice President. Dear fellow Panenic, I agree with you that the strategy in any business is the basis and it is important but we must all be realistic together and point out that this ministry has already done a lot of things so far so that the situation in agriculture that has really been difficult today, improved and here, it would point out perhaps the Agricultural Chamber, we have also recently had here as a legislative proposal where we have in some way strengthened it and strengthened it, and it is she who represents the interests of our farmers in these European associations. Thank you.
ParlaMint-HR_2018-12-05-0.u119724	Representative Mader called in for a replica.
ParlaMint-HR_2018-12-05-0.u119725	Thank you, Vice President. My friend, you mentioned the Agricultural Land Act. You mentioned the Agricultural Chamber Act. Do you know how many competitions in Croatia have been opened under this new Agricultural Land Act that you consider to be very good? The Law on the Law on the Agricultural Chamber. You've been betting on the agricultural chamber practically, you've choked it. You created it partyically. And you have not given the development of the Agricultural Chamber and how much the Agricultural Chamber has ever helped to develop small, medium and large OPGs. How much she helped develop in rural areas.
ParlaMint-HR_2018-12-05-0.u119726	Replica response, MP Mikulić.
ParlaMint-HR_2018-12-05-0.u119727	A respected colleague, related to the Agricultural Land Act, is partly responsible for our municipalities and counties who have not delivered their plans and we are here to create preconditions for something rather than to solve something. As far as the Agricultural Chamber itself is concerned, membership in the Agricultural Chamber alone brings a large number of benefits to farmers themselves and even through fuel. Thank you.
ParlaMint-HR_2018-12-05-0.u119728	Representative Vlaovic reported on the replica.
ParlaMint-HR_2018-12-05-0.u119729	Thank you, Vice President. A colleague, Mikulic, is a real danger that there will be less money in the implementation of the common agricultural policy in the coming period. The real danger is that Croatia will then withdraw less money with European money for the development of agriculture. And then why are we still reducing this national part and it's shrinking in the budget and you haven't accepted the amendments to help pig farming as well as cattle production from the national budget. And you're moving away from the profession you're talking about, I'm an agronomist, and I'm sorry that fewer of our youngsters are enrolled in the Faculty of Agriculture and Agriculture because you need expertise in agricultural production and you're moving the profession away from the agricultural producers because by abolishing the Agriculture and Forestry Advisory Services and HPA, you'll basically leave the OPGs without professional help and then there will be no withdrawal of EU money or development of European agriculture and no strategy for us. Thank you.
ParlaMint-HR_2018-12-05-0.u119730	Thank you. Replica response, MP Mikulić.
ParlaMint-HR_2018-12-05-0.u119731	Dear fellow, since you have touched on common agricultural policy, just in order to be able to perform there, with concrete examples, it is good that we are now returning this green report which will give us a clear insight into the state of agriculture, so that we can later communicate and create both our and our priorities and the measures that are needed in order for agriculture to change. Thank you.
ParlaMint-HR_2018-12-05-0.u119732	Representative Križanić reported on the replica.
ParlaMint-HR_2018-12-05-0.u119733	Thank you, Mr. President. counterpart Mikulić, you said you should find a way to solve the problem of agronomic employment at the OPGs. And well, now the question is whether each of you can hire an agronomist, but surely that a agricultural firm or agricultural cooperatives should in some way be obliged, have in their composition agronomics and do you think that it is enough that agronomies operate within the agricultural and agronomic chambers and that they should be involved in agricultural pharmacies and I'm interested in how you think it is good to solve this problem of small interest of agronomics, for agronomic studies, then, students for agronomic studies. And how do you solve the problem of enroling future students in agronomic colleges?
ParlaMint-HR_2018-12-05-0.u119734	Replicate reply by MP Mikulić.
ParlaMint-HR_2018-12-05-0.u119735	In view of your question, as far as the OPGs themselves are concerned, I think we need to point out that the OPGs themselves are mostly older persons, so I think it's necessary to activate both young and educated persons who are little, let's say a little faster and have some new knowledge and have some new visions from agricultural economies, and I believe that if they were given the opportunity, they would take their opportunity to justify their stay in certain agricultural economies. And as for reduced enrollment in this profession, I don't know what the consequence is, but I believe that we all have to work on it together, because this is one noble profession and indeed one here now with this law and the strategic part here in Croatia and we all have to work together to change that trend. Thank you.
ParlaMint-HR_2018-12-05-0.u119736	Before we proceed with the replicas, Agent Beljak, you asked for a word.
ParlaMint-HR_2018-12-05-0.u119737	Thank you, well-respected Vice President of the Croatian Parliament. On behalf of the Assembly Clubs, MPs of the HSS, I'm looking for a 10-minute recess. In fact, the reason for that is that we need to consult as much as possible. Now the press, the public, the people who call us, are asking us what's going on. We are discussing one of the most important laws for Croatia's future, there is practically no one in the assembly, the chamber atmosphere.
ParlaMint-HR_2018-12-05-0.u119738	I'm asking you MPs, don't throw away, don't have to teach you culture.
ParlaMint-HR_2018-12-05-0.u119739	What HDZ performs is a farce, all the amendments will be rejected, we can do all the expensive circus, all the people can laugh at us, the whole public, HDZ will do what it intended to do in advance, and that's destroying Croatia. I ask you, Vice President of the Croatian Parliament, to consider terminating the sessions until there is a quorum, not for the vote, but for the debate. What HDZ performs, but also other parties, is simply a disgrace. We are talking or we should discuss and discuss the argument, no insults, people who are part of the government should understand that they are not the government but the servants of the Croatian people and all Croatian citizens and on this subject and those positions should be joined in the making of any proposal, any law, and most of all the Croatian Agricultural Act that the HDZ has just destroyed, in 90%, and now it wants to satisfactory it to the end. And this pitching of colleagues to Babic, these throws, you know, it doesn't lead anywhere, it really doesn't lead anywhere, and that's what we should consult about. You've changed your rules of procedure in a way that forbids people to speak, and then you have circuses, then you have what happens on TV, and then everyone gets insecure together, and you're very serious about HDZ and you, Mr. Babic, are very serious and very well aware of what you're doing, benefiting from your own [[Intruder Petrov: Time's up.]] by the electoral body, you guess big, you destroy not only Croatian agriculture, but rather Croatian agriculture. [[Intruder Petrov: Time's up.]] You're destroying the Croatian state. [[Attack Petrov: Representative Beljak timed out.]]
ParlaMint-HR_2018-12-05-0.u119740	So please do not warn others, for you yourselves are breaking the rules. Before I asked if there were any other advocates who wanted to take a word for it, MP Pernar answered.
ParlaMint-HR_2018-12-05-0.u119741	The Honorable Chairman, I would like to say, is the basic reason why I'm looking for a 10-minute break. is to draw public attention to the fact that this law will not solve problems in agriculture, as it has not been solved by all other laws dealing with agriculture itself. Because the problems in agriculture didn't come from inside, from agriculture itself, but from our monetary policy, which is such that it made food cheaper than domestic. They started by changing customs policy, then, by removing customs duties on cheaper food from imports. And these discussions that are happening here indefinitely, for as many years as God knows, it's all actually said by the Germans... We're wasting time here and the problems stay and don't get solved. [[The speaker doesn't understand.]] Thank you.
ParlaMint-HR_2018-12-05-0.u119742	Would anyone else like to take a word for it? If I don't, I'm setting a 10-minute break. The sequel will be at 12.45. It's 12.35 o'clock. [[CONTINUATION AFTER MEETING IN 12.46 HOURS]] There are two other replicas left for the individual presentation of MP Mikulic. The first is representative Pranic.
ParlaMint-HR_2018-12-05-0.u119744	Thank you, Vice President. My colleague Mikulić, you mentioned the importance of the European Rural Development Fund as a roof fund that should help the Croatian peasant. But I personally believe that these are insufficient funds and that they should have more national resources approved in the state budget, national programmes, help, we must simply define them, not disperse them, so simply say which agricultural branches are strategic branches of Croatia because I will agree with my colleague Bulj at one debate on the amount of wine, because it is an abnormal system where we have an increase in tourism, and they are rapidly reducing the amount of produced wine when you watch 2011 and 409 thousand hectolitres, 2012 and 293 thousand hectolitres, 2013 and 249, all today up to 760 thousand hectolitres, meaning production has been halved, which says today that the National Plan does not have enough national resources to help our farmers, our farmers, above all, our winemakers. concrete Dalmatin burns [[Intruder: Time's up]] For many people it is both primary and secondary activity. [[/Intruder: Thank you.]] Thank you.
ParlaMint-HR_2018-12-05-0.u119745	Thank you, reply to the replica representative Mikulić.
ParlaMint-HR_2018-12-05-0.u119746	Dear colleague Pranic, well, we recently had the Wine Act here in the Parliament, so what you're saying is essentially not the subject of the Law itself, but here I'm just going to tell you one fact that somewhere around 50 percent of the wine envelope has been used, so it's not quite true that the funds are not there, but they're simply not used enough, thank you.
ParlaMint-HR_2018-12-05-0.u119747	Representative Shuker also reported for the replica.
ParlaMint-HR_2018-12-05-0.u119748	Thank you very much, Mr. Vice President of HS, Mr. Minister. My colleague Mikulić, you have very well conceived your debate and perhaps there was just one more cream on the cake, which is to mention that this Law will be as good and as successful as we are preparing and helping our farmers to withdraw funds from the European Funds and I think that the experience from the previous period simply shows us that we have to find ways to help prepare the documentation and prepare for the withdrawal of these funds. And by the way, counterpart Mikulić, has noticed how crowded the hall is today in the debate on the Agriculture Act. Those who stood there yesterday around the pay phone practically have none at the Assembly. So much love and desire to help Croatian agriculture.
ParlaMint-HR_2018-12-05-0.u119749	MP Mikulić, reply to the replica.
ParlaMint-HR_2018-12-05-0.u119750	Thank you, dear fellow Shucker. I agree with you that it is necessary and necessary to inform our farmers, in particular when we talk about withdrawing funds from the European Funds and I also agree with you that what we had here yesterday in the Parliament performance of certain parliamentary representatives was absolutely unnecessary because most of them, in fact only one of those esplanades here is currently here in the Parliament and discussing the law that they were full of mouths yesterday. Thank you.
ParlaMint-HR_2018-12-05-0.u119751	Representative Ivan Lovrinovic reported on the individual participation in the debate.
ParlaMint-HR_2018-12-05-0.u119752	Thank you, Mr. Vice President. First I welcome the Minister of Agriculture with my associates here in the Parliament. And before I begin to say that the Committee on Agriculture of the Party we change Croatia analyzed the proposal of this Law. Our experts, so I'm not going to stay here just for criticism, for we see too many circuses and shows here these days. The opposition must know what it wants, and the Change Party Croatia is the programme leader of the opposition although there are still not so many members. However, in the programming sense, we really offer solutions. I'll talk today, dominantly about solutions. But to talk about solutions, I still need to point out some key problems in the proposal for this Agriculture Act that we are discussing here today. Dear colleagues and colleagues, as you know, the Republic of Croatia has never had and has no strategy to develop agriculture. If I'm wrong, somebody get up and say it right now, you're not telling the truth. If we do not have a strategy, and in order to develop a strategy, we must have a agricultural product balance in every way, of all products. If we have a balance of agricultural products, can citizens see what we're producing, how much, what we're missing, we don't have gentlemen. So if we don't have a balance of agricultural products, production, if we don't have a strategy of agriculture, then we can't, what kind of agricultural policy are we going to be, what kind of agricultural policy are you going to run by the gentlemen of the Ministry of Agriculture? So you can't run any agricultural policy. So this is one very meaningful conclusion. Now you want to turn this law into a agricultural policy, right? Now we know that the law can't be a substitute for agricultural policy. At the beginning of today, the Minister of Agriculture said that he still sees the light at the end of the tunnel, he told the farmers, and I think Mr. Minister that they don't see it and that only you seem to see it. In this context, your objectives set out in the Agriculture Act are general, they are unclear and as such inaccessible or difficult to achieve. And what are the key segments of agriculture that interest each producer? The most important thing is for the peasant to know that he'll be able to sell what he's making. It means that agricultural policy guarantees him the purchase of agricultural products. It's not there. You don't mention it anywhere. What is yet to be a key goal, the next key objective in the opinion of the Party Change Croatia, means, in addition, the increase in production after EU entry in 2013, agricultural production generally fell 20%. Croatia has never had a small agricultural production since independence, it has been devastated and simply certain segments of production have been completely compromised. Which is still a key segment of agricultural policy, and this must have been meant in part to be translated into law. It is the financing of agriculture, because it is essential for the peasant to know that he can sell his product when they produce, so that he can rejoice next year, spring, ora, etc., it is important to him how he will finance that means his work in the field or what he grows in his stables. Finance is simply an obviously secondary area to you. There are no more stories about Agrobanks, you peasants are directed towards commercial banks, these are overpriced loans, you direct them towards HABOR, and these loans are expensive, and those who receive loans from HABOR are dominant, those most must be members of the HDZ and coalition of this government. They set impossible conditions when asking HABOR for loans, asking farmers for guarantees, so that he has guarantees, that he has money he wouldn't come looking for, you understand. You're obviously not in touch with people who have problems. Furthermore, an important segment, a key segment of agricultural policy is tax policy, there has been a lot of talk about it, about which Party Change Croatia had amendments, but all of you refused. The next important segment of agricultural policy is agricultural land, state agricultural land. You see, there's about 850,000 acres of state agricultural land anywhere that's not listed, Mr. Minister. No one knows where it is, it's just certain groups, why they can assign or re-apply to their stakeholders. So it's not meant to be politics. In that sense, I have a specific question for you ministers. Obviously you write messages, you don't get to listen to me, right, you don't have to listen well, but the public listens. Agokor's contract to rent 170,000 hectares of best country in the municipality of Trpinj expired. Since the Russians have taken the meaning of Agrokor, dominantly, will you, what your position is, will you bow down to the land to go to the Russians or will you go to local producers, and in the municipality of Tripinja there are several villages of Brshadin there is this one now, as this one is called, a little I forgot that one, Bobota etc. Or you'll make sure the local community gets land so it doesn't matter if any of your cousins there get a hectare I wouldn't object to at all. So, what's waiting with that, with that contract, what's the attitude that's expired is a five-year lease, you see the Russians have taken over, we don't have an answer to those questions. In this context, to be people very open and clear, the agricultural policy of previous governments and these current governments was in fact, no one will say that publicly, but destroying a small producer and favouring selected and created large producers and foreign trade chains. Well, isn't it clear to anyone that we have such a agricultural policy right now, that means destroying a small producer, and since I never speak without a clue and without arguments, in 2003 you nailed the last nail in the coffin. Why? It is decided that anyone who has under 5 cows or 4 has no support and you have simply destroyed them, the cattle of Croatia. And what else did you do? Well, you drove people out. Ma's key segment and the interest of the agricultural policy that we advocate is that there must be this small producer, one cow, one cow, three, three, you'll get a boost but the milk will also be bought, but you sold the dairy, you sold everything to strangers, and now you'd be running some agricultural policy. You can't lead anything, you can just listen. And that side of the power centers. What we're going to do when we're part of the government, or serving the citizens, is we're going to return the stock reserve instrument, so first we're going to buy home production, then we're going to import what's missing, of course we're going to regulate prices. Stock reserves will be an instrument of price regulation, you have abolished it so it can be manipulated, we will build and encourage an entire chain of coolants in Croatia, to stop at last or to minimise speculation. On the other hand, we will declare Croatia a country of healthy food, so declare you, we will agree not to write below that we have proposed, we will protect domestic products, and thus contribute to health policy because health policy begins with the field and from the barn, gentlemen. It is approaching 2020 when Croatia's agricultural land will be able to be sold, I call on the opposition, I call on you to bring into the Constitution that agricultural land cannot be sold to foreigners. In this context, I could simply conclude, I could talk a lot about it, but citizens already know everything, especially the agricultural producers who listen to me, are already full of our stories, but dear citizens are clear to you, and those who do not need to be clear that the new agricultural policy, which is in your interest, will protect you, who will prefer you to ransom and who will protect you that they can only export and bring new people, new political parties to the scene because these garments, they only take care of their interest groups, are not developed, and we see that agricultural production in Croatia is almost destroyed. Thank you.
ParlaMint-HR_2018-12-05-0.u119753	Before we leave with the replicas, we would like to welcome together students and students of the Veleuciary University in Sibenik. ... Representative Hajdukovic reported on the replica. [[Applause.]]
ParlaMint-HR_2018-12-05-0.u119754	Thank you very much, Mr. Vice President. My colleague Lovrinović, since I am from this region, I will only remind you of the villages that you forgot in the municipality of Trpinj, so, Bobota, Vera,... Ludgins and Chile. [[The speaker doesn't understand.]] But I wanted to look back on something else. What you mentioned about the lack of strategy and that is unfortunately, I repeat it constantly in this House and it is evident not only in agriculture but in most of what we are trying to regulate. And finally, at the beginning of last year, if I'm not mistaken, if not this one, but I think it was past, that the secretary of state assured us that the strategy was about to be gone. And as for the reform, so look, there are reforms. Currently, the Ministry of Agriculture is 13 officials, ministers, 3 state secretaries and 9 assistants, and now by abolishing the Croatian Agricultural Agency, and advisory services where both directors have an coefficient of 3.1 will now become another 2 ministerial assistants with a coefficient of 5.25. So in the Ministry of Agriculture there will be 15 officials, while the time of the SPD was only 9. Then don't say there's no reform and no employment if there's no better pay, there is.
ParlaMint-HR_2018-12-05-0.u119755	Thank you. Replicate response, MP Lovrinović.
ParlaMint-HR_2018-12-05-0.u119756	Dear counterpart Hajdukovic, I have heard this information about strengthening the team at the Ministry of Agriculture and I think in that number that they could prepare an entire EU agricultural policy, by the number of people there who have other coefficients for the benefits they have there. But I would point out, I will take this opportunity to point out another problem, since Croatia's entry into the EU, such a contract has been signed, as much as the EU's funds have been sent, to encourage rural development and the rest, so much to be paid out of the state budget. Do you and the others know that from then on until the end of 2017. 3 billion and 400 million kn, not paid by the Ministry of Agriculture, farmers, and that's about 65% of the missing funds to farmers, so they're being killed financially so they can't take the preparation of crops and everything else. So you're the ones who just destroy agriculture.
ParlaMint-HR_2018-12-05-0.u119757	Thank you. Representative Sagar, reporting for replication.
ParlaMint-HR_2018-12-05-0.u119758	Thank you, Vice President of the Croatian Parliament. Dear fellow Lovrinović, you have opened one important topic and these are indicators that can show us the directions in which we are going. I'm going to say one like this, maybe the data is right, I'm going to point them out now, if no. The domestic waste poultry, the cost of production is also waste, and the processing cut is growing, and the price of poultry on the market is growing, and then someone's stealing our chickens. It's not the market that's going to solve it on its own. It is the ministry that needs to take measures to protect the domestic producer and to increase its competitiveness. Because if we leave it to the market, it won't be good. And because of this, the indicators are what I warned the minister, the Green Paper of the situation in agriculture, which last year was our basis, to make a strategy for further development of Croatian agriculture.
ParlaMint-HR_2018-12-05-0.u119759	Replicate response by Lovrinović.
ParlaMint-HR_2018-12-05-0.u119760	Dear colleague Žagar, I agree with what you said, so there is no protection there, that we understand each other, so let me remind you of 10 tons of meat sold in Croatia, various, is only one ton originating in Croatia. On the other hand, you have former officials, who now have some of their own stables, they import from Romania's calves, they get like they came here, right, and they get incentives for that and they simply live on it, not from what they produce. This country is intertwined with clientism and corruption. We can't do any politics. I as an economist at the university professor, I realized, especially here in the Parliament, that there is no lumen and mind that can spend anything until we deal with clientism and these others. But I can't do that to people who have been so far. Only new people can apply Croatia, and these moments are counting and that time will come I ask the citizens for support to finally deal with all this.
ParlaMint-HR_2018-12-05-0.u119761	Representative Vlaovic reported on the replica.
