ParlaMint-HR_2018-01-18-0.u65678	I'm looking for a break on behalf of the Most about the current political situation.
ParlaMint-HR_2018-01-18-0.u67619	Thank you very much. We've exhausted the replicas. The next speaker is Mr. Zeljko Lackovic.
ParlaMint-HR_2018-01-18-0.u67620	I thank the esteemed Vice President. I welcome Mr. Assistants from the Department of State Property. I want to point out what I think is important in this debate, or in the remarks that I will make, and since Croatia is the largest unused potential in the Republic of Croatia that can contribute to development and that Croatia really is a rich country of exactly property. And then this bill of law is ultimately a very important tool for the competent ministry to carry out its tasks and create a prerequisite for this great property to really come into office and benefit the citizens. I'll go by the points or by the articles of the law. I would like to point out Article 5 of the proposed law, where there is no mention of situations that may occur in river inductions, such as ports, or one type of tourism, river development tourism that could not therefore fit into sports and recreation playgrounds, camps, hotel complexes or other individually-numbered purposes. On the other hand, Article 8 provides for the fact that all units of local self-government are obliged to notify the ministry. I think it's an unnecessary job for this ministry. I think it would be quite enough that if the change of the spatial plan or the adoption of a new spatial plan gets into the state property or the premises on which the property of the Republic of Croatia is located that only in this case they are obliged to notify the ministry that they would not create additional unnecessary work. Article 8 of the Law sets out the principles. Those principles that are seen from the intensities of the law are not listed here, are the principle of purpose or opportunity. It shall be referred to in the explanation of the individual articles. Not specifically indicated. I think it would be good to bring it in for a reason because they're going to wonder why some decision was made for this reason or that reason. This principle can indeed be very useful because the same purpose will be fulfilled if a school on land is built, managed by a local self-government unit and the land is in a state or whatever. I also think that when implementing this law, the ministry should protect itself from one principle of efficiency because it will mean nothing to you if you conduct long-term, endless procedures where 100 decisive and undecided facts will be determined, and you will know how this procedure ultimately ends. So efficiency is one of the essential principles where you can deviate from some of the rules by these other principles of economics or whatever. I see one big hole in Articles 18 and 19 so the State Property Management Strategy and the Annual Management Plan of State Property where the role of the local self-government unit is left out. Here in the Croatian Parliament is a large number of mayors and mayors where you will get the key impulse from them, so what is important to them, what they are planning and why something should be included in the annual plan or to cover it with a strategy. I think one deadline to 30 should be prescribed. 06. if the adoption of the annual plan is up to 30. 09. that all those who are planning certain procedures to inform the competent ministry of these procedures and then to make one buildup, because every mayor knows best what he has of state property, what he needs, which he doesn't need, and that should be known by the ministry when he decides which way he will have the property. Furthermore, Article 37, which states in paragraph 4, the value of an asset that a minister who is estimated at 7 and a half million kuna may decide, I think is extremely low and we must, someone has spoken here, simply face the fact that people in responsible positions must be held accountable for their actions and have free and free hands. I think the 5m-euro limit, which is the small or large supply line towards the EU, is one border that could be applied in a specific case. Now, would there be any need to subsign someone from the government or otherwise, that should still be seen? But I think this decision-making line needs to be lifted, because it's really funny for the government to decide on something worth seven and a half million kuna. So if they took the entire value of real estate in the Republic of Croatia, the government should have a parallel government that would decide on the property in its possession. Furthermore, Article 44, which speaks of the ban on sub-letting and sub-letting, I believe that it will potentially be able to start certain economic activity or activity that is being initiated in a particular situation. You have similar solutions in the concession law where you allow situations to be resolved through subconcessions. Here in this case I think we should leave room for those who are on lease or rent to leave it to someone else, with the consent of the ministry, so if this property is used in the intended way. Article 49 provides that all dwellings for official needs are made available to them, and I think that one fence should be placed so that Article 41(5) does not apply to Article 49, because these people have been in peaceful possession for more than 5 years and would then acquire the right to buy these apartments, but I do not think it is the legislator's intensity that all those who are on duty and use a state apartment for more than 5 years can buy that apartment and buy it. In Article 50, another interesting situation where EU application consent projects will be given, therefore, by the Ministry, but does not want to take over the acquisition of those consents which are part of the legal, public legal body. I think that this obligation should be taken into account by the Ministry with one provision where it would have obtained this consent by requesting an official request, so that if they disobeyed in some 30 or 60 days, they would be deemed to have no objections and that these projects could be realised. Don't forget that Croatian forests, Croatian waters and other bodies are large systems of trompes that take a really long time to answer your requests and thus speed up the position of property. The article 51 mentions that the government will adopt procedural regulations, and what is necessary is that, for this too, the Ministry is worth deadlines, so if we have not set deadlines for this law, then the Government should certainly do so through Article. 51, i.e. procedural solutions where a deadline is set within which the competent ministry is obliged to provide an answer and decide on the application. And final. Article 69 concerning the transfer of ownership to units of local and regional self-government, a positive article on which so far has been significantly exhausted, a large set of certificates has been obtained, procedures have lasted for a year and several days, and such a technical possibility that all of this can be copied by the end of this year is really useful. Therefore, a law that can initiate the Republic of Croatia with the need to put more responsibility into the hands of the ministry through these provisions to obtain all approvals in that ministry and that the minister may decide on a far greater amount than proposed. Thank you.
ParlaMint-HR_2018-01-18-0.u67621	Thank you, too. Let's move on with the debates. Mrs. Romana Jerkovic, please.
ParlaMint-HR_2018-01-18-0.u67622	Thank you very much, Mr. Vice President. My colleagues and colleagues, Mr. Minister with his associates. I view this law as an attempt to bring long-standing chaos and bad practices and abuses down into the frameworks of a regulated and functional state. That's what we'd like to be, it doesn't always work out for us, but to me it's a clear good intensity and good intention of this law, regardless of some imperfections it's visible. Of course, it was necessary to put an end to both free and unlawful use of state property. It's almost impossible to believe how all the abuses of state property and how everything and how much the state budget was damaged, how much income it's left, it can probably be measured in millions, maybe even billions, it's not good for a country that's trying to be organized and functional. You told the ministers, at the very beginning in your opening statement that the most beneficial of this law would be units of local self-government. And I think that's good and so be it, and so be it because it has proved that municipalities and cities and counties can be better masters than the state itself. Let's remember when the process there was about 2002, 2003, the decentralisation process started in primary school, high school, fire department, there was a skepticism about how it would work, whether it would work, and eventually it turned out to be a full hit. We also remember there is no long model by which the issue of first-degree construction permits to counties and large cities is left. There's been a skepticism again, and there's been objective problems. They were crossed and eventually, and it turned out to be a very good move not to say a full hit. The decentralisation that has been done so far and what this law proposes is not only good for local self-government units, for the county, it is good for the state as well. Because when something works, it's simple for everyone and good. The debate has been going on for a very long time, all of what I personally considered controversial and wanted to mention in my individual debate colleagues mentioned in their discussions, therefore, my predecessors. Perhaps the only thing that seemed to me that nobody had touched her is a step up that might have been made for official dwellings in smaller towns and smaller municipalities where the need for civil officials for housing is negligible or almost gone. I think it could be given to local self-government units, therefore, to smaller cities and municipalities for use in order to meet some of their needs for social care or whatever. So we're witnessing that a large number of apartments are staring blank, that they're failing, that their value is falling, and eventually they pose a threat and a threat to both neighboring apartments and the building itself and to people's health. So, I'm gonna bring my argument to an end. After all the years of non-transparent management of state property, the public rightly expects the register of state property to be made public and made available, it is also a tendency in European countries to have general availability and unconditional access to registers present. I realized from the bill that it would not be, but here from a brief discussion with the minister he convinced me that transparency in this sense would exist and that the records would be available. I think it's very important, for example. for local self-government units to have insight into state property records. So let me finish. It may be difficult to hear from the opposition representative that some law is good. I think that this law, along with some of its imperfections, is still a good law, and I hope that by the second reading, the Proposer will show good will and respect the concrete and good proposals of the parliamentary deputies that could be heard today during the debate. Thank you very much.
ParlaMint-HR_2018-01-18-0.u67623	Thank you very much. You have one replica. Two replicas. First Mr. Klaric.
ParlaMint-HR_2018-01-18-0.u67624	Dear colleagues Jerkovic, if we turn over a little debate this morning, you will see that in this assembly the most and the most heated were those who were either presently or were, or are still mayors or mayors but spread throughout Croatia. They all point out to the great majority always the same problem. Exactly what you said, order must be introduced, it must be known who manages what, and it is precisely the greatest virtue of this law at this moment that needs to be done to make it as good as possible in the second reading. So, what I'm saying is, and you know how it was in the area and the city of Rijeka because you were involved in the functioning and city council down there, how many problems and how much in relations with the state stood simply for the reasons of unresolved property-legal relations because the city of Rijeka couldn't go into some kind of project realization because at that point that property was owned by the state or not at all distributed somewhere. What I have come to the debate, because the introduction of this order, unfortunately, regardless of the good law, of all our good will until the catastre of the entire Republic of Croatia is resolved, while the other laws do not adapt to this Law in order to carry out this one more operationally, there will still be problems. So this is one good foundation on which to build a further strategy in which to put these lands, all that property into operation, but always keeping in mind that new values, the processing of these assets take place right down at the base in those units of local self-government. For that reason, I don't want anyone to misread the well-intentioned hearing of the mayor, the mayor. They spoke not exclusively in the interest of their city, but in the interest of the whole of Croatia.
ParlaMint-HR_2018-01-18-0.u67625	Thank you very much. Mrs. Jerkovic's answer.
ParlaMint-HR_2018-01-18-0.u67626	Thank you very much. The state must indeed be a service to all, to all its citizens and citizens, to all units of local and regional self-government. It must be their service in that sense to make their lives easier. It must help local self-government units to ensure maximum good conditions for this good life where people's real lives happen. So far, we have also had the situation that the state has often braked projects in this context, often hampered the development of a specific city, a particular area, a region, a county consciously or unconsciously completely irrelevant. But we've witnessed these things happen. And hopefully, I think we all here hope that this law just opens up a new chapter, a better functionality, efficiency we've been waiting for for a long time and let it come. Thank you.
ParlaMint-HR_2018-01-18-0.u67627	Thank you very much. Mrs. Rostice. Here you go.
ParlaMint-HR_2018-01-18-0.u67628	Thank you, Mr. President. Dear fellow Members, I am pleased that you have pointed out this and I agree with you that it is very important that when we put state property into office that we do not look at the local budget as opposed to the state budget as two separate budgets, because, in fact, putting state property into office needs to further strengthen that local budget, the budget of the units of local self-government, because if we strengthen it, it will enable us to implement some other policies at national level because we know that we have recently reduced income tax which essentially reduces the budget of the units of local self-government. But it will ultimately boost the economy and will again strengthen the budget in general in the Republic of Croatia, i.e. public revenues, both locally and at national level. And that is what is very important to strengthen the local budget so that we can reduce such taxes as labour taxes and other taxes, which in fact sometimes block the development of the economy and entrepreneurship. Thank you.
ParlaMint-HR_2018-01-18-0.u67629	Thank you very much. Reply by Mrs Jerkovic
ParlaMint-HR_2018-01-18-0.u67630	... Excuse me. [[The speaker is not on, you can't hear it.]] I said that I agree and that it would be better if we had more frequent laws in the assembly that we can agree on without forgetting why we are here and whose well-being we have to work on. Thank you very much.
ParlaMint-HR_2018-01-18-0.u67631	I see the Christmas mood continues, we all agree. It's done with the replicas. I didn't see you. You were looking for a replica? Okay. Oh, no, good. No more replicas. Mr. Ivan Šipić has an individual discussion. Here you go.
ParlaMint-HR_2018-01-18-0.u67632	Thank you very much, Mr. Vice President. Honorable ministers with associates, colleagues and colleagues. Here after a full-day debate of many good examples, legislative proposals and certainly what most of us here have had the opportunity to hear is in agreement that this bill is also in the first reading, and I believe that it will be in both the second and the final adoption so achieved one consensus that is needed, which is that it is a step, not a step back. Well, here's a brief review, even though a lot of it's already been said. First, as well as many of my fellow mayors and mayors, I will welcome the provisions of the law which prescribe that the ministry manages other properties whose special law is entrusted to another body if, by means of a spatial plan on these properties, the construction of golf courses, hotels, hotel complexes, campsites and other sports and recreation playgrounds are planned in an open area with accompanying buildings or other similar commercial and other buildings. It is good that the Ministry assumes responsibility for the management and availability of these properties especially for commercial activities. Article 37(2) of the Law provides for the assessment of real estate by court evaluators, we assume, therefore, that it might, and I hear that colleagues have mentioned it many times today and we have commented directly with the minister and discussed it, that it would be good to leave or return already as the tax administration is mentioned. Why would I think that? At least around those properties that are donated to municipalities, cities, counties would be shortened and the procedure cheapened, because so far it's always been to donate real estate and estimate. In paragraph 4, we consider it a good solution to raise power to the minister. In paragraph 6, I find it excellent that the minister always makes a decision on the first purchase, regardless of other considerations. That's good. The same would be good for cities and municipalities and county. That way they wouldn't stop people waiting for city council decisions and congregations. First buyers go everywhere where individuals have properties that are culturally good, which are de facto all old houses like that. Split, Trogir and other cities. Furthermore, when we talk about the availability of property in favour of units of local and regional self-government without compensation, it would certainly be necessary, and in order to avoid interpretations outside the law or supplementary interpretation, certainly this Article 45(3) of the fourth indent of the word ‘implementation of the demographic restoration programme’, add the words ‘for residential zones, family houses, incentive housing, etc.’. I find this extremely important for almost all of our municipalities and cities to enable those who do not have the opportunity to reach their land through their families or those who have moved out that in these areas under favourable conditions they can realise building plots for the construction of family homes and thus we will try to keep the population in the area where they want to live. Of course, this would all be consistent with cities and municipalities in a way that changes and complements spatial plans. In Article 50, it should be welcomed that the Ministry gives prior consent to third parties of public law when applying projects to competitions financed from the European Union funds, which projects are planned on property owned or co-owned by the Republic of Croatia. Unless the granting of consent is based on a specific regulation in the part of the other body or legal person with public authority. In fact, the EU's land-owned projects must be agreed on by the Republic of Croatia. They didn't give it now, so it would often be late for competitions. It is certainly necessary to welcome this proposal within the law. It should also be commended for Article 69, which provides that the properties registered in land books as property of the Republic of Croatia and used on 1 January 2017 as schools, homes of health, hospitals and other institutions which are the founders of units of local and regional self-government and used for educational and health purposes, as well as cemeteries, morgues, monuments, parks, playgrounds, sports and recreation facilities, sports playgrounds, social homes, firehouses and other foundations of this law shall be entered in the ownership of units of local self-government in which they are located, i.e. owned by institutions that use or manage them. Furthermore, that units of local and regional self-government are obliged until 31 December 2018 to submit a request to the Ministry for the issue of a document similar to that of the registration of ownership rights over those properties, and that the Ministry will issue a valid certificate for the registration of ownership rights on those properties to the unit of local and regional self-government in accordance with the timely requirements submitted. Here you should note that you will need to do a lot of elaborates by then which requires both costs and money and time. That maybe we should consider the possibility of extending that deadline. But I know well that the Ministry has already extended that deadline and in this proposal this proposal is available from our perspective of local self-government it is tangible, but it can cause a lot of problems. All in all this proposal of the law as I said in the introduction and I will complete it step forward for units of local self-government and I believe that the Ministry and Minister with all their services and state secretaries who have assisted him and who have been working on this bill for months with all these public debates being conducted that in the second reading, maybe another good proposal will come out, and all of them in the first row of the people on the ground. And on the ground are the leaders of local units, and these are the mayors, the mayors, the mayors of those who are directly responsible for the operation, and I would say to the states, because we in this hierarchy are the rule of executive authorities under the government in the executive body, therefore, the leaders of local self-government, who are the most responsible and co-responsible for creating the lives of individual communities. And in that spirit, it is certainly nice to hear that the opposition also has no major objection to this bill, however, and in these constructive discussions we have heard both how and how interesting proposals. Thank you very much, and I welcome this bill anyway.
ParlaMint-HR_2018-01-18-0.u67633	Thank you, too. You still have one replica, Mr. Prelec.
ParlaMint-HR_2018-01-18-0.u67634	Thank you, Vice President. Well, this isn't really a replica, it's just that here's the answer to your colleagues and support for everything you've said, but not you, but the other leaders of the local self-government unit who know the essence of our problems. But also to support the minister and his associates that this law that is written, which is lacking, we may give suggestions to see what, which would make this law even better. But support to all those who want to implement this law. I said at first that perhaps even the biggest problem in all of this was the people who work in the ministry. The minister has the best intentions and has made one solid law. The secretary of state is probably the same, but those people who are at lower levels from my experience are the problem, the problem and it doesn't work out. The most important thing for us is that the system works, that the law is really being implemented. That's the most important thing, but if it doesn't, then we get these laws or similar laws, and we keep saying that, every law is better. However, the fact that the system is not working. That's what I'm trying to say. Let's get this law in line with the possibilities and the people who work at the ministry. That's the most important thing, and then we'll all be satisfied, especially us leaders who know what the problem is. Thank you.
ParlaMint-HR_2018-01-18-0.u67635	Thank you. Answer.
ParlaMint-HR_2018-01-18-0.u67636	Well, here's what I'm going to do. I'm just going to take a short look at this fellow of yours. So I'm sure the Minister and the Secretary of State are in this for the first time, when I talk about this law, we felt this contact between the local community and those most in charge of managing and ruling state property. So here you can see that we who came from the field came to both the minister and the secretary of state that they understood in fact a good part of the problem that had plagued our local leaders, but of course the minister and the administration, the Ministry of Administration is not only focused on the heads and the cities and municipalities, but the entire leprosy is of these state institutions. Therefore, we will understand if everything was not as we imagined in this regard the responsibility of both the minister and the secretary.
ParlaMint-HR_2018-01-18-0.u67637	Thank you. Next individual debate, Mrs. Dragica Roscic, please.
ParlaMint-HR_2018-01-18-0.u67638	Thank you, Vice President. When the independent Ministry of State Assets and the different management of state property began to discuss, skeptics also appeared, and somehow everyone feared the law, they had already had prejudice. And this morning, when the debate started, I didn't expect and somehow all of them, if I may put it like that, that the minister would essentially charm the opposition and position, that somehow everyone would look favorably at this law and that some of those skeptics that appear would even turn away in today's debate. However, I think you will only convince these commissioners with good and quick implementation of this law. But there's a lot left in sublaws and procedures that go into contact with these officers and tenants every day. And that's what this law is going to have to prove itself in and show what they're all in, and no matter what they've had, they've had these positive things. But simply some of the provisions of these previous acts or laws were not implemented in due time and quickly enough, there was no human capacity for the same. You said that you had implemented the most serious procedure before this law came to the Croatian Parliament, that you were talking to the academic community, the DORH, the trade unions, and that's very important. Of course, every next phase in the implementation and adoption of this law will also require the most serious procedure. And the first thing you've detected at the beginning is that even citizens know what it is the Ministry of State Property and what it's state-owned property, that it's known that they're not foreign reserves, that they're not forests and water. And it is very important that citizens simply know what is being managed by the Ministry of State Property, because I recently saw that the minister is also getting questions about supervision in municipal, municipal and city enterprises, about such questions to answer. And that's what's important, but still when we see that it's called something and in its name it's carrying state property, of course, that every notion looks wider, and that's something I see as a problem on the ground. It's good that you've brought these deadlines for strategic and planning documents, and it's good that they're ambitious and I believe and I hope you'll respect them. It is good that this commission has been abolished which has not been effective and which are for members of the board of directors, means certain ministers, not deputy ministers so far. When anyone who works with some infrastructure and who makes decisions, and that's a good colleague Hrg said they'll reward him for his life's work or they'll want to put that person in jail, simply anyone who's more serious about infrastructure makes some decisions, sells property or puts state property into operation is being challenged and very different attitudes, and it's just hard to control. However, when we see that many properties owned by the Republic of Croatia on 1 January which are in the nature of the school, health homes, hospitals and other institutions are not owned by units of local self-government, we see that all policies have been ineffective so far. And the question is whether it is done now when the cost of legalising such objects or parts of such objects or properties on state-owned properties cannot yet be avoided by the state. Whether such property is now placed on units of local self-government, and what we will appreciate this law is precisely that state property is given to build such buildings on them, i.e. in some way transfer or sell to units of local self-government. And I'd also like to point out the sub-bibe situation, which means that there are land that isn't on the marine good, but often on them, there are frequent demands that some of the facilities be built in a catering and similar manner, and the city has no intention of building them. As far as I know, and as far as I can see from the documents and requests they sent to the Ministry of State Property at the time and the previous DUDI allowed, or gave such land to the management of the city or provided some form of transfer of ownership only in case of construction of some kind of infrastructure. And in such cases, no infrastructure is built, but simply such land stands and has interest in carrying out economic activities, which are not closely related to any physical infrastructure that would be built on such land. Well, there you go. And if those problems were to be considered until the second reading, we could get rid of them. Thank you.
ParlaMint-HR_2018-01-18-0.u67639	Thank you, too. And the last speaker, Mr. Ante Pranic. Here you go.
ParlaMint-HR_2018-01-18-0.u67640	Thank you, Mr. Vice President. Dear Ministers, I have told the great majority in my presentation, i.e. seeing this law through the replicas of certain parliamentary colleagues. I personally think, Minister, that every law is good when it's passed as new and if it brings something new and if it's a step forward. But I'm not suggesting that this law is truly revolutionary, as regards the relationship between the local self-government units and the Ministry of State Property. They solve those crucial things, it's nice to see that you give us the right to manage real estates in the form of morgues, cemeteries, parks, but that's not what brings a new job and that's not what makes the demographic survival of people in our areas. You prepared it for 10 months, you said that you adopted virtually all objections by units of local self-government which we see is not an association of cities, which I actively participate in the work of the association, has ceased 13 remarks, those as such have not been adopted. Indeed, it would be nice if we saw in another reading of this law that certain comments were adopted. The basic problem that arises for us, for all units of local self-government and I see some colleagues have made it clear, today in the talks, they relate to the construction area covering the spatial plans of local self-government units and without giving us the land that was located, and not built, according to the scope of the construction lines until '91. More specifically, by July 24, '91. We can't talk about solving our problems. And that's what we have the right to do, because when we sum up, the municipalities, the cities and the county were authorized to take possession of the property that was within the borders of the construction areas of the municipality or of the city on 24 July 1991. On that date, the Law on Agricultural Land entered into force, where it clearly distinguishes that the agricultural land ex-lega belongs to the Republic of Croatia. In accordance with the provisions of the Law on Local Self-Government, Administration, Municipalities, Cities and County, established by the Law on Areas of Countys, Cities and Municipalities in the Republic of Croatia, were obliged to assume then real estate, movables, financial resources, and the rights and obligations of so far-time municipalities, whose legal sequences were within 6 months, from the day of the establishment of the representative bodies of those units, i.e., by 31 March 1994 at the latest, those cities and municipalities that did so, today, have no problems, those who did not do so, have problems today. Because we can't talk about the development of a city, strategy and development, if really we, with our space in terms of construction lines, don't manage. I will not speak beyond 1991 of other spatial plans, I will focus only on that small area, but it is an area of the heart of the development of all cities and municipalities. In accordance with this, I am disturbing that we will have a very big problem, not us units of local self-government, but all of our citizens, or citizens of the Republic of Croatia, have said this in a single replica, I will now repeat in the debate, based on Article. 41st paragraph, which states, if it is a person who is in the process of legalising an illegally constructed facility, from the competent authority, has come up with solutions on the state of play, and has built on land owned by the Republic of Croatia, and on the property in question, determined the scope of the building particle, that person may be sold the land, which has been identified as a coverage of the building particle. What does that mean in practice? In particular, in the area of Dalmatia, where we have not solved property legal relations, i.e., many people, have built their facilities over grandfatherland, cash, but in the land it is registered to the Republic of Croatia. People have legalized their facilities, are now in the process of forming construction plots, but the situation will happen, that they will have to buy it from the Ministry of State Property, according to what's going on. By any chance, it in my previous paragraph, i.e. the idea that this land belonged to units of local self-government, each unit of local self-government to its representative body, the municipal city council, can make a decision on the availability of real estate and can significantly regulate this relationship differently. This is how he believes that this will not be the case, that practically people will have to pay very large fees when forming their building plots. So, in my opinion, first of all, in the second reading, we should conclude with all representatives of local self-government units, with the association of cities, that this law would be revolutionary, that it would solve all our problems, because I say, from cemeteries, from morgues, from parks, it doesn't live. I am sorry that the isolated construction areas, in which golf courses, hotel accommodation and others can be built, are not yet given in the jurisdiction of local self-government units, and we all know that these facilities must be built by road, and we know that the Law on Roads is the jurisdiction of local self-government units, which means that, based on all the infrastructure, to future content, a future investor will have to build a unit of local self-government, on my own cost, which I really think is unwarranted. I see that in the bill, you said that we can approximately expect a billion and 400 million kunas of income, I personally think, that it would be very good for these revenues to be intended for some part, for new geodetic measurements, for new cadastrian municipalities throughout Croatia, because we currently have a completely unsettled situation, above all in Dalmatia and other parts of Croatia. Thank you.
ParlaMint-HR_2018-01-18-0.u67641	Thank you, too. No replicas, I would ask Mr. Maric, the minister, to address the final word.
ParlaMint-HR_2018-01-18-0.u67642	Thank you very much, Mr. Vice President of the Croatian Parliament, esteemed MPs and MPs. I have to say right now, this is not a proposal for a law on the financing of units of local self-government, this is a proposal for a State Property Management Act. The existing Law on State Property Management does not recognise the interests of local self-government units at all. This new law, however, recognizes that we should all be aware. I don't think it's the kind of argument I'm having that's what my lawyer said, because they usually object to me for being too serious. I hope they've decided the arguments. And I thank this occasion all of you who are here now, who are taking part in the debate and those who have participated in the debate. And a little apology, that sometimes I had to be absent during the debate, but because of the nature of the job. With minimal deviations, but really minimal deviations, which are not common, because they are derogations in Parliament in the Croatian Parliament, much greater, when it comes to other laws, this debate has shown that it does not tolerate estradisation or politicisation and that it has been quite targeted, exclusively to be as high-quality as possible. So I thank all of you who participated in the debate. We have a personal understanding for every statement of opinion. And only arguments will be a provision of what the law will look like on second reading. This law, I said, is not a law of encrypted intent. And there's not a single article behind it. If there is, we'll see tomorrow when we take off the phonograms and when we've examined everything, then we'll clear it up. A few points to what was most important, which was the most highlighted and most often discussed, what can I say, freely, to go into the sphere part of the essradisation of these famous 7.5 million kuna decisions, and we heard here and the proposal that the minister should decide up to 40 million kunas of decision-making. If we want to paralyze the system, then we can reduce that limit. I don't need that limit at all, that I have the right to push more. It's going to be a paralyzed system, I'm saying it from experience, and then the commission should come back to decide these things. But we all agreed here that the commission shouldn't. But as my colleague Bulj, he listed the affairs here, I'm not afraid of the affair. I know how I work, I know what I do and I do it responsibly, professionally ethically and in the interest of the Republic of Croatia, and I'm not afraid of any affair. I don't have to talk to customers, or talk to them. It's all the basis of a public tender. And whoever best offers that, that's gonna be a partner of the Ministry of State Property. And let the buyers report to the competition, and let me not be sought, if necessary. Here, we had a recent tender for four hotel companies, so let little insight into what kind of competition it was, what was sought, as none had ever been in the history of modern Croatia, and therefore we have offers, bindingly as we had, but we have also asked for the guarantee of the first-class bank to be offered for all. Suggestion to be in art. In 69, the ex-lege, giving local self-government units and sports facilities, there's no need, because they're already in place, but someone didn't get a good look at it. Most of the attention was caused by an article. 68th for those properties, i.e. land, which the unit of local self-government had allocated, accused, sold, and later turned out to be the owner of the Republic of Croatia, and in good faith, the trust of the land book was the unit of local self-government, municipality and city, treated as its own, because it was owned. And the fee provided for by this law in 20 years is the biggest rock of encouragement, I think in the debate of this serious rock of encouragement, this whole other bit still for one level unserious. I don't, we're gonna take this very seriously, and I'm personally inclined to decide that the local self-government unit doesn't bear any compensation for it. But we'll have to bear in mind that there have been criminal proceedings in some of these cases. Imagine now, in such procedures, the Republic of Croatia acts and forgives these debts. Now, we're going to have to think very carefully about how this legal framework, where criminal proceedings have been found to have been misused, that possibility is certainly excluded. But in other cases, I will personally try to make it an integral part of the legal proposal in the second reading. And to help the team financially, that is, do not burden the financial units of local self-government. As for housing and demographic restoration, I give absolute support to that. If not yet clearly indicated, we will find and extend the legal framework, because it is a very important segment of the Ministry of State Property, will give its contribution not as much as it can but a maximum contribution to finding a solution to housing especially on these parts that are very endangered. I have to do it again because I heard it now, and in the last one, it's not a secret register, it's public. But I'm afraid some people don't understand what it means to be not a public register. That means when someone prints a document from that register, that document has no importance of a public document like when you click on a catastran, this is not a public document. Everyone has insight into the public register, but what print doesn't have the power of a public document, that's what it is, in that sense, is not a public register. Any law should be in the interest of the Republic of Croatia and the Croatian people. It's the foundation of every law should be, not some group or some. There's been a little guidance that this is only going in one narrow direction. But this law is exclusively in the interest of the Republic of Croatia, the Croatian people. But most of the benefits from its application will be local self-government units. So when it comes to the fact that the building land that we say will be a building plot owned by the Republic of Croatia is located in the area of a municipality. Now all the municipalities would be the happiest if it were theirs. But if that property is in office based on, say, a public tender is being sold to an investor. This goes to the state budget, reduces public debt. The cost of construction goes to local self-government units, is being employed on the project by people in the local self-government units, contributions, taxes, and everything else are being paid. Therefore, it should be looked at as a whole, which is most important not from one angle but from a broader point of view. Therefore, the activation of state assets will most reflect on the state budget and on the budget of the units of local self-government. And that's unequivocal. The Ministry of State Property is by realising one such sale for the first time in history has directly since the sale of state property reduced the public debt of the Republic of Croatia. And that's the aim of the Ministry of State Property. Property is sacred and it is good that it is sacred, but private property is sacred to each of us. But even the state can't be any less sacred. But so far, that's not how it's been. He was working on an almost perfect kidnapping system. You saw even the public attacks of media editors on me when I launched a procedure for evicting an illegal wrongful house user worth 900 thousand euros in Samobor by calling it all kinds of epithets because I'm doing my job. Imagine how much I've made an enemy just because of that one cottage, and it's started and there will be 3,000 proceedings against the lawless and illegal owners. Of course, I also expect to know what awaits me, but it is not my job as Minister to meet these kidnappers and lawless users and those who mock the Republic of Croatia, but to protect the interests of the Republic of Croatia. Only because of one lease contract that had one ministry where we reduced 4 million kunas that the Republic of Croatia paid less than 4 million kuna annually, and we totaled 30 million kunas in last year. There have been hundreds of attempts not to cut that lease. Imagine, then, how much it is, what kind of system it is set up in Croatia. Croatia's property experience has been defeated with state property has been defeated. In the 20th century, the seized property was taken from Communism, and later it was taken from us in front of our eyes. And always the same. This process has been metastasized, but this law will be a tool for although it is very difficult to deal with metastases, but it will be a tool to remove these metastases. I thank everyone once again for the interest, the debate, the attention you've given when it comes to this bill. Thank you all.
ParlaMint-HR_2018-01-18-0.u67643	Thank you, too. But you're not done yet. You have three replicas. First Mr. Klaric.
ParlaMint-HR_2018-01-18-0.u67644	Dear Minister, at the beginning of my presentation, I must admit that I was a little surprised by your findings when you said that you were warning us that this was not the Law on the financing of local self-government units. That's what you said and we're very aware of it. And I've been listening very carefully all day. I didn't realize at any point that either of us who discussed this law thought in such a way that this law should be financed by local self-government units. But you will agree with me that projects since the construction of municipal infrastructure, social infrastructure, the development of the economy are done by units of local self-government. From the very resolution of property-legal relations to the project task, project solution, location permits, building permits to move towards the realization of any project is done down at the base. 99% of all investments are made by local self-government units and cities and municipalities. This whole debate goes only in this direction, and there are hundreds of examples that we can give you, that what should be done now finally by your ministry when it's organized unlike the previous state offices where we had such practice that to solve the least problems, we needed not months but years to solve any particles. And I still have a request in my town four, five years ago for certain particles, so in Bakr, so in Rijeka, so I believe throughout Croatia, I believe in Metkovic and in whatever city in the Republic of Croatia. And the question arises whether your ministry will operationally do all that power and in that part I congratulate you on what you have taken over on your back. And from this side, as we have seen in today's debate, and from the opposition and from us you will have full support.
