ParlaMint-HR_2018-02-13-0.u66031	We're going to take a break. Here you go, Mr. Alexic.
ParlaMint-HR_2018-02-13-0.u70927	Thank you very much. I'd like to conclude a debate on this point. We'll vote when the conditions are met. And now we're gonna take a break by three o'clock. I'm sorry, the closing statement, of course. Secretary of State at the Ministry of Environmental and Energy Protection, dear Mario Šiljeg. Here you go.
ParlaMint-HR_2018-02-13-0.u70928	Thank you very much, Mr. Vice President of the Croatian Parliament. Here is the fact that there were a few questions from respected MPs and MPs so that they did not stay and all the expensive Croatian public did not remain deprived of important answers. So when we look at today's numbers over 4,200 megawatts of installed power more than 50%, more specifically about 52% of electricity production in Croatia comes from hydropower plants. What's the significance of the hydropower plants that we're talking about today, the Zakučac hydropower plant is also saying that over a third of these facilities that were produced in the waste hydropower plants are precisely on this hydro power plant. In her debates, most MPs referred to the environmental aspect of a decision like this before you today. So it is only important to mention once again that the reason for the increase in water flow is the installed power reconstruction, means the replacement of permanent parts and equipment such as turbines, generators and transformers, which, from the very technological aspect, have much better performance and only when we look at it, we pull the parallel between increasing the flow of 20 meters cubic per second and the produced energy production that is significantly higher. So we can say with this economic factor and the environmental factor is definitely more positive. Why do I say it more positive? Because the increase in flow of 20 metres cubic per second refers in a technical sense, first of all, to the rate of draining of water from the accumulation for the purpose of energy production, and thus we have a positive aspect of... i.e. means one of the most negative impacts of hydropower plants on the environment is precisely eutrication in accumulating areas where we have too much and often standing water leading to the reduction of oxygen in the water's oxygen on the one hand and on the other hand the guessing, i.e. the death of such an environmental one. As for the esteemed representative of your findings, I can definitely say that it will have a positive impact on the biological minimum especially when we look at the place of discharge on the Bisca to the mouth of the river Cetina, meaning that increasing this flow will definitely have a positive impact on the biological minimum, especially when it is significant to us, and it is significant in the summer times between 6 and 10 months when and otherwise threatened by the biological minimum of the river Cetina. Two more words mean the finding of a respected representative, Sincic, who referred to the climate change adaptation strategy. So, we can say that Croatia, the Government of the Republic of Croatia, or the Ministry of Environmental Protection, helped to obtain the supercomputer Velebit, which for the first time defined and modified all possible, not possibly but certain climate changes that await us by 2070. Based on this data that we received by modeling on the supercomputer Velebit, we are at the final stage of the meaning of all preparatory actions, the draft adaptation to climate change by 2040, with a view to 2070 and definitely this year is the year which will mark the energy strategic documents of the Ministry of Environment and Energy Protection, i.e. We also coordinate the strategy of low-carbon development and energy strategy and the document on which the esteemed representative Willibor Sinčić, a strategy, or strategy for adaptation to climate change was referred. So to conclude once again what is very important and what most MPs refer to with a positive economic aspect, which is an increase in the annual fee of 145 thousand kuna, and a one-time fee of 1.7 million kuna that goes into the state budget, there is an increase in the amount of water to be used by Croatia's waters, it is also increased by more than one million kuna per year. We also have a positive environmental aspect, which is to reduce electrification areas in hydroelectric accumulations as well as a positive impact on biological minimum, especially the biological minimum in the summer months of the river Cetina. Thank you very much.
ParlaMint-HR_2018-02-13-0.u70929	Thank you very much. I'm really in the middle of a debate right now, and we'll vote when we get the conditions. And we'll have a break by 3:00 when we get back to the next point we still have. Thank you very much. It's a 13:30 stop.
ParlaMint-HR_2018-02-13-0.u70930	Proposal for a decision to amend the concession decision for the use of water power for the production of electricity to the Croatian electricity industry d.d. Zagreb at Hydropower Plant Zakučac. The applicant is the Government of the Republic of Croatia, the debate is closed. The amendment was filed by Agent Arsen Bauk. I would like to ask the proposer's representative to take note of the amendment submitted, with us is Secretary of State at the Ministry of Environmental and Energy Protection, Honored Mario Šiljeg. Here you go.
ParlaMint-HR_2018-02-13-0.u70931	Thank you very much, Mr. President, distinguished parliamentary representatives and MPs. The view of the Government of the Republic of Croatia that the amendment is not accepted. Namely, the construction permit in question for the reconstruction of the Zakučac Hydropower plant, as of 28 March 2012, i.e. the main project which forms part of that building permit, has determined that the only possible installation is the flow of 240 cubic metres per second, which corresponds to the technical characteristics of the turbine and the difusors which are part of the reconstruction of the Zakučac hydropower plant itself. Since this flow is limited by a technical and technological solution, this amendment cannot be accepted. Thank you very much.
ParlaMint-HR_2018-02-13-0.u70932	Comrade Bauk, here you go.
ParlaMint-HR_2018-02-13-0.u70933	Mr. President, I have submitted the amendment to give me the opportunity to warn for two more minutes that, for a biological minimum, it would be desirable to increase the allowed draining of water in order to better preserve flora and fauna in the Cetina Canyon. During the summer, water levels through the Cetina Canyon may be reduced to less than the minimum necessary, thus jeopardizing the biological diversity of canyons and making economic activity more difficult in its lower flow, such as rafting, canoeing and cacaking. Given the reasons for the motion, I am not asking for a vote.
ParlaMint-HR_2018-02-13-0.u70934	Okay. Then we can go to the vote on a proposal for a decision on amendments... You told your colleague you weren't looking. [[You can't hear it.]] Yeah, yeah. I am voting on the proposal for a decision to amend the concession decision for the use of water power for the production of electricity to Croatian electricity companies d.d. [[I'm sorry, I heard wrong.]] Zagreb at the Zakučac hydropower plant. Please, let's vote. I find that that decision was taken by 122 votes in favour and 1 vote abstention.
ParlaMint-HR_2018-02-13-0.u70935	[[CONTINUATION AFTER 15.00 HOURS]] We continue with the session on - Proposal for a Law on Amendment and Completion of the Law on national infrastructure of spatial data, first reading, P.Z. No. The proposal is proposed by the Government of the Republic of Croatia on the basis of Article 85. The Constitution of the Republic of Croatia and Article 172. Rules of Procedure of the Croatian Parliament. When discussing this item of the agenda, the provisions of the Rules of Procedure relating to first reading of the law shall apply. The debate was conducted by the Committee on Legislative Affairs and the Committee on Spatial Planning and Construction. Would the applicant's representative like to give an additional explanation? We have Željko Uhlir, State Secretary. Here you go.
ParlaMint-HR_2018-02-13-0.u70936	Honorable MPs and MPs, the chairman. The establishment and development of the national spatial data infrastructure in the Republic of Croatia are governed by the Law on the National Spatial Data Infrastructure, and the purpose of the national spatial data infrastructure is to make spatial data available to the public authority in a simple and understandable manner. In many areas of human activity, spatial data is the basis on which new or additional values are built. The spatial data in a broader sense shall represent all data which may be directly or indirectly linked to the location. Problems related to availability, quality, organisation, availability and sharing of spatial data are common in many areas, as well as in the system of state administration. Addressing these problems requires measures dealing with standardisation, sharing, sharing and using spatial data. The same or similar spatial data are often collected and maintained at several different addresses in the state administration system, preventing their transparent use with a direct negative impact on national budgets. Similarly, similar problems are addressed by the establishment of national spatial data infrastructures. In order to respond to the above challenges and to speed up development in the field of spatial data, the European Parliament Directive 2007 on the establishment of spatial information infrastructure in the European Community has been adopted. The Directive applies to spatial data owned by public authorities and provides for which spatial data themes, when and how they should be available, not by seeking new data, but by dealing exclusively with existing data. In order to adapt to the provisions of the Directive, and in accordance with the European Commission's notes, it is necessary to amend the provisions of the current law. The main issues of compliance with the Directive which are regulated by the draft law are definitions of spatial data subjects, more specifically the registers of national infrastructures as a register of subjects and a register of source of spatial data, their content, access to data sources for public authorities whose businesses have an environmental impact, and further develop restrictions on access to spatial data through network services, which is also made in 6 proposed articles of these amendments and additions. There you go. Thank you.
ParlaMint-HR_2018-02-13-0.u70937	Thank you. We have one replica of Mr. Uhlir's State Secretary's presentation, that's Ante Babic. Here you go.
ParlaMint-HR_2018-02-13-0.u70938	Thank you, dear Vice President of the Croatian Parliament. Dear Secretary of State, Mr. Uhlir, you have made this brief, but I certainly welcome the adoption of this proposal for a law on national spatial data infrastructure. And the fact is that these spatial data were actually on multiple addresses, they weren't transparent, they weren't connected. And it should also be pointed out that the use of this data so far that has not been possible are the rules for certain damages to different budgets. That's why he must be good at this bill. On the other hand, when you mentioned the directive, and I want to pull one parallel. Not only should we always look at directives, but in our environment we should actually look at the things that happen to us and that we can change as such. It is not only about saving itself, but also about the transparency of these data and their timely use, or expeditionivity in solving the case. So with regard to these national data, the national infrastructure of spatial data should also be considered so that certain data that we have available today at several levels in the Republic of Croatia will only be mentioned by the Ministry of Finance, the Ministry of Demography, family, youth and social policy, the court, the Croatian Pension Insurance Institute, the same thing is happening to us. Maybe this is a path and a clue that we should actually solve some other things where we would have more connected data. And now that you have an OIB on the other hand that didn't actually come into life to the extent that we wanted, I think this example is a good example of how we should move on in the public administration system. Thank you very much.
ParlaMint-HR_2018-02-13-0.u70939	Thank you. Would the committee's reporters like to take the word of counterparts Maria Jelkovac or Bernarda Topolko? No, I don't. Then we can continue the debate. On behalf of the club, since there is no Mr. Bulj, next is counterpart Branko Bacic in front of the HDZ Representatives' Club. Here you go.
ParlaMint-HR_2018-02-13-0.u70940	Thank you, Mr. Vice President. Dear Secretary of State, respected director of the State Geodesy Administration, Assistant Minister of the Croatian Democratic Community Club will support the proposal for a Law on Amendments and Supplements to the Law on National Infrastructure of Spatial Data as proposed by the Government of the Republic of Croatia. The proposed law, as Mr Secretary of State has said, is in line with the Directive of the European Parliament and of the Council in part with the definitions of spatial data and access restrictions by means of network services and is fully transposed into Croatian legislation. What I would like to point out at the outset is that DGU, therefore, as a national contact point for national spatial data infrastructures in the implementation of the directive in the Republic of Croatia, manages the registers of spatial data infrastructures and prescribes the way in which the entire process of registering the very infrastructure of spatial data. What I would only add to Mr. Secretary of State's presentation, Mr. Secretary of State said it was established by the Law on National Infrastructure of Spatial Data, which was passed in 2013. However, there is a small difference in the way in which it was established in 2007 when in the Law on geodetic measurement of real estate, one particular vote referred to this record, and was done parallelly at European Union level with the adoption of a directive, so on. ... a directive that practically prescribes how to establish the very infrastructure of spatial data. What is important here is to say that in this record, which is kept at the national contact point, which is the State Geodetic Authority, it is about data that are either in one way or in one way or rather directly or indirectly linked to the location. So there are a number of problems that we are facing in society where it is important to analyse, carry out in any way operations with data related to locations it is good to establish at country level a one-stop shop containing all possible data that are defined by this record What is important to say is that a geoportal available to all interested users at this point is established at the State Geodetic Administration and is keeping records of 277 different data, which are in the jurisdiction of 39 institutions. Otherwise, they are also inspired by the directive adopted at European Union level that Member States or, as a rule, of the Member State of the European Union have 34 themes or different topics relating to spatial data. We have also introduced 35 topics in the Republic of Croatia relating to mine suspected areas. So when you click on a geoportal you can find all this data on different topics that define certain data from those cartographic, geodetic data on environmental protection, nature protection, so I'm even saying to the data that define mine suspected areas in space. When I mentioned earlier that for the first time in fact, the national infrastructure of spatial data was introduced into the Croatian system, then I must say that the Council, whose entire system I was in 2007 included, was, however, not as comprehensive as it was adopted in 2013, when the law itself was passed by law which then put the whole head of law prescribed by the Law on State Measurement and the Catastrophe of Real Estates was put out of force. So what I might be able to say is that a number of state bodies in the reporting of the Croatian Parliament on the state of the environment, on the state of nature, are data collected at the level of many state bodies and institutions and agencies, and it is good that these data, in parallel with the delivery of the Government, are also delivered to the State Geodetic Authority as a national contact point which would then be all that data and are numerous, huge data collected over the years in a number of state institutions being recorded and recorded in this spatial data infrastructure. I say after the space data infrastructure itself has been established, it is possible for different state bodies but also for citizens to observe, monitor, use or use data that are very important either in the planned, in the work of any state body or in any part of the economy. It is therefore to welcome that these amendments to the Law have now fully implemented the inspirations of the directive although perhaps we should have done so four years ago when the directive itself was incorporated into the Croatian legal system. But here we are right now, and we've accepted it. Given the small changes in the law or since we are in full compliance with this law with the European Directive, perhaps we should have followed the urgent procedure immediately? This way, without amendments, we'll accept these amendments to the law, and then we'll discuss them one more time. Thus, the amendment of the Rules of Procedure which goes in the direction that certain directives are implemented in the legal system of the Republic of Croatia and which are generally of a technical nature and we do not have any specific observations, or the need to amend them, then it is sufficient for the Rules of Procedure to define that such laws are adopted in an emergency procedure. Thank you.
ParlaMint-HR_2018-02-13-0.u70941	Thank you, colleagues, Bacic. We don't have a replica on his exposure. Next up is a colleague of Anka Mrak-Taritash on behalf of the Voice and HSU Representatives Club. Here you go, pals.
ParlaMint-HR_2018-02-13-0.u70942	Thank you very much, Vice President of the Croatian Parliament. Dear Secretary of State, Director, Assistant, colleagues and colleagues. We have before us an amendment to the Law on the National Infrastructure of Spatial Data. In accordance with the inspiration of the Directive and the Law was adopted in 2013. However, he was a pilot of reason, I do not know exactly what he was referring to, but according to the pilot, they obviously decided to make certain changes and additions in order to be clear and unequivocal. The Voice and HSU Club will support these changes and additions. The same way I would agree, today we already had five laws in the debate and I know that the government has made a decision that all the laws go into two readings. I personally think it's good to go in two readings for the simple reason that between the first and second readings there are some things that can be fixed and the rest. Today, however, we still had this set of five laws. We also have this law that really had been suggested to go into emergency procedure, first and second reading, I don't think anyone would mind. Proposed to go into emergency procedure first and second reading. I don't think anyone would mind, but they would actually make it a little easier to work and not have to go twice to the government, twice to the Parliament. However, this points to the fact that this should be considered. This law is extremely important and it shows in the sense that we really have a series of laws that are good, that are correct, that we change according to the changes that are. But now it's a matter of application. I must confess this law to my experience in the following way. We all watch some movies and then you see that there's a transmitter for the GSM network and then you see that all those cell phones know exactly where the cell phone is. And you can detect from that one transmitter where he is and establish a connection. It's about one law. National spatial data infrastructure means contact point is the State Geodetic Authority. In the State Geodetic Authority, you can get information where there is a particular information at the moment you need it, because here is the information that is related to human health, with allergies, with tumors, along with respiratory diseases, of course, that the competent body collects that data, and the contact point warns or has information on where it is. And now we are coming up with a fundamental problem that consists of the following, and that is what is absolutely a characteristic of us, I am not going to enter other EU members whether they are doing the same, but this desire to collect data and then you are collecting data in your backyard, in your agency, in your office, in your municipality, in your municipal company. But you don't want anyone to know that you have that information at all, but let him go to a bit of trouble, so let him do some research. And that's what was the problem and the implementation of this law because you're actually doing research where each data is and then it turns out to be collected by two bodies, to collect three bodies. And we had in this House just as many laws, and then when you ask there, says data collection will especially engage. And then you ask why you're collecting something new that's not already somewhere, which isn't some utility company or something. Then you don't actually get an adequate answer. This law, of course, is not in the House, it calls for no special attention. It's those technical laws that go under the radar. Few people who met or discussed it. They don't cause a debate like the law on archival construction or any other topic where we always enter the last century, so we don't know how long we're going. This is about one good law, a law that is extremely useful, a law that speaks of how important it is to collect all data because we need all that information in the business you do. Before the break today, there was also one point that spoke of increasing the amount of water used by the Zakučac hydropower plant. Let's say the data that needs to be collected and must be collected is for some hydropower plants that have accumulated lakes. How many days have increased that are under the fog after it was before the accumulation lake and behind the accumulation lake. That's where I look at my colleague, Mader, who was talking about the Novo Vira hydropower plant. And there it was when the environmental impact assessment of the basic things were the Repash forest that was located in itself, so in the very procedure that had failed over time. However, the trees adapted, left roots, and came to water. And it was, it was the biggest debate professional how much the Novo Virje hydropower plant would affect the Repas forest, because it was created in the area where the high groundwaters were. However, the plant and animal world adapted to change and the hydropower plant would return to the old ones, but the question is whether returning to the old ones is good. Why am I saying this? I'm talking because what really matters, it's important in planning, it's also important in all the activities that you do have data. And it is important to mention several times that the State Geodetic Authority is the point at which the data is collected, it is important that the board it manages has members from different levels and it is important that it really takes care of itself. And I think that just like everything else should have in life a good PR, so when you're doing something if you have a good PR you hear about it and then you get it important. If you're nice, you're decent, you're doing your job, you're struggling, you're establishing, then you don't get adequate attention. Well, I kind of feel that the State Geodetic Administration should approach all of this in the context of what it does or contact point The State Geodetic Administration may need a little PR-arse access to all of this and point out the importance of data collection that everyone needs and needs everything at some point. And that municipalities and cities are open with their data, that they give information about how much I don't know they spend drinking water, how much discharge has been solved, how much gasification, how much distribution system has been developed. I'm always, of course, talking about those data that are close to me, and that's unequivocal and clear data that are used in spatial planning. But let's just say when you're planning a city, it's extremely important that you know how many newborn children have been born in a particular area, how many young families have settled. Everything important and the importance of data and data collection must not be forgotten. We have to take care of that. And of course everyone collects their data, but somehow that contact is always hard to establish, and that's why I find this one example with one tower and a cell phone, where you actually know where someone with a cell phone is all the time and you can find him. And you know it's actually the law on national spatial data infrastructure. We will support the club GLAS and HSU, and today's pay phone has been used on several occasions, where we estimate that there are really rules that are ready to go by emergency procedure, so first and second reading, and this is one of these regulations. Thank you very much.
ParlaMint-HR_2018-02-13-0.u70943	Thank you, colleague Anki Dark Taritash. We have one replica. This is colleague Irena Vuksanovic, come in.
ParlaMint-HR_2018-02-13-0.u70944	Thank you very much, Vice President. I will agree with my colleague Mrak-Taritash how important this law is and how important this topic is going under the radar, and I will agree with this on the need of the PR regarding geodetic administration and as a united centre. What is important is to say that today there is no functioning of any institution at all, let alone interoperability and security without data. Where it's going well, it needs to go on and on, and these changes are going in that direction. And what's important is to say, and you know it well, we have good geographical coverage about data, but that data needs to be harmonised now. And let's say that the most important problem in the next period will be to you, and to every institution how to connect these data that we collect, how to harmonize them and how to make them network-based because they're now unfortunately barely, I think that about 5% of the institutions are all allowing for the network availability of that data. And that's what you pointed out in your debate that we have a lot of data, but unfortunately they're hidden somewhere under the radar, they're not searchable and they're not online. And then there's this job that's ungrateful because you have something that's not available to you, not only individually, but also to institutions. And the danger of having something, and it wasn't available recently, and there were tsunamis in the world and earthquakes, etc., where interoperability between data and rapid reaction was crucial. So I think we should take care of that too, and I'm sure it'll be run in the next period. Thank you.
ParlaMint-HR_2018-02-13-0.u70945	Thank you. Answer me. Here you go, pals.
ParlaMint-HR_2018-02-13-0.u70946	Thank you very much, Vice President. Dear colleagues Petrijevcanin-Vuksanovic, indeed, the importance of the data is very important and what I am sure of, and it is very good quality and in a very large extent in certain institutions, institutions, municipal enterprises, municipalities, cities, ministries, they are leading you. But then a key problem arises that you know that they are being guided, that you know where they are. And the role of this law on national data infrastructure and the role of the State Geodetic Administration is the contact point that directs you to look here, so he just says there is, everyone has his closet in that closet has a drawer and what's in which drawer, so that's how it's defined. And today when we're all working with smart phones and you don't know anything, then of course you're asking Google right away, which tells you exactly what it is. It would be good and really what I said to my colleagues who work at the State Geodetic Authority and those who need that data in everyday work know where it is and it's not a problem, they feel like everyone knows it. Well, it's not like that. This is what needs to be known that people have no idea that something has gathered somewhere, that somewhere in relation to something they can get information, that when you want to know the number last year how many days there have been with the fog, say on the Zagreb-Karlovac highway, that information exists. But you'll go Google 17 times, and you can get it much simpler. And I'm usually one of the few people who tries to brag, sometimes I do, but I try to praise my colleagues who work in the public administration because I think most of them do a serious and responsible job, and that's all you need if something isn't published, if it's not well packed PR-wski as if it doesn't exist, so in that sense it needs a little advance as in the State Geodetic Administration.
ParlaMint-HR_2018-02-13-0.u70947	Thank you. We continue on behalf of the club of representatives, the next colleague, Mladen Madjer, will be on behalf of the Club of Representatives of the HSS. Here you go, buddy.
ParlaMint-HR_2018-02-13-0.u70948	I thank the Vice President of the Croatian Parliament. Dear Secretary of State. The HSS Club will support the first reading of the amendment and addition of the Law on national spatial data infrastructure. We know that for many years, planners and all those who deal with spatial data have been struggling with incomplete and incorrect bases of spatial affairs. It also came to a good response and to a good suggestion that the law that was passed in 2013 as a pilot project, but it should be a law that can be passed itself it cannot appear to us as high-quality as possible... that the data is easily available, accurate and up-to-date. Of course, the law as such is not enough and will need to work on its application, which means having easy access to the cataster, but unfortunately their data has not been updated for decades, unfortunately and then there are certain problems. These amendments further define spatial data subjects, groups 1, 2 and 3, to more precisely define national spatial data infrastructure registers, as well as the register of original spatial data and their content, access to data sources for public authorities whose businesses have an environmental impact and elaborated restrictions on public access to spatial data. So all of this must be adapted to the European directives and this is clear and we have no objection to the amendment and addition of this law, although there is one remark, and perhaps until the second reading we are asking for an explanation. It is also a matter of paragraph 3 of Article 4 of this Act where there is a restriction on public access to spatial data. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. In each case, the public interest to which they serve detection is compared with interests, which serve limitations or conditions and approaches. So what exactly does it mean when you ask for some business information and how the council, it means national spatial data infrastructures decide what interest prevailed yesterday. So just a little clarification about it, and like I said, we're going to support this law, because it's very important, so we don't, so there's no illegal space management. Here, as a concrete example, in Koprivnica Crossing County, where the waste management centre, which has not been introduced into the spatial plan of neither the county nor the local self-government unit, unfortunately, is being brought waste from all over Croatia and is not listed in the spatial plan. So a part of the spatial plan has been introduced, where it says exactly that waste is being brought from that unit of local self-government, from the town of Koprivnica and a couple of units of local self-government, and it is being brought practically from all over Croatia. And not to believe that the head of the county is silent and allows individuals, i.e. the director of the regional centre, Piškornica, to pay a million-dollar dividend, at the expense of all, primarily the resident of Koprivnica Crossing County, while, at the same time, those, just as amazingly in the Kunsko connection with the head of the county. And that's why we're going to support this law in the first reading, with this item being a little clarification. Thank you.
ParlaMint-HR_2018-02-13-0.u70949	Thank you. We have one replica, here are my colleagues, Irena Vuksanovic.
ParlaMint-HR_2018-02-13-0.u70950	Thank you very much, Vice President. A colleague mentioned investment and infrastructure, and I would add that it is an investment in information communication infrastructure, it is an investment, in fact, in the future of the state and public administration. And just now, we have concluded how important it is to connect Croatia's program to this program. And what is important is to say, which is not irrelevant, counterpart Bačić made it nice to stress the importance of the SPIRE Directive in the context of this law and participation, i.e. a large part of this directive that we must implement. In the event that Croatia violates this INSPIRE Directive or that the public body, its or public entity, does not fulfil the damage to the Republic of Croatia by law and the calculation formula is listed in the clarification of the European Commission, we can bear up to 7.2m euros starting from 2019. It is supposed to be in the case of that reference alternative. So this isn't really irrelevant and it's not meaningless. In this context, maintenance development costs should also be considered, given that they vary in some countries and that depends most on the software platform. I, too, have been in favour of open-source software, i.e. open-source software, and that is what the European Commission stands for. And it will be interesting to see that Croatia will continue to behave in this context, i.e. what will be the problem with the licenses, which has already appeared. Whether this will be settled in due time, in which way it will be resolved, how work will be simplified and savings will be created or going in some other direction, and I hope that all the recommendations of the European Commission will be taken into account, because we have been doing so before.
ParlaMint-HR_2018-02-13-0.u70951	Here's your answer.
ParlaMint-HR_2018-02-13-0.u70952	Thank you. I fully agree with you, and I said that the HSS Club will support it because it is very important to this law and to adapt to European directives, clearly because there will be certain sanctions, unless it is adapted. But at the same time, I only warned of one example that happens specifically in our county and of the clarification of this article. Otherwise I agree entirely with this of yours what you said in your comment, in your replica.
ParlaMint-HR_2018-02-13-0.u70953	Thank you very much, colleague, and that's the end of the debate on behalf of the Representatives' Club. We have one application in an individual debate, this is colleague Irena Vuksanovic. Here you go.
ParlaMint-HR_2018-02-13-0.u70954	Thank you very much, Vice President. Here, very briefly, as we could conclude from previous statements, and I welcome the promoters, this law is one of those, or amendments to the law, and I will talk about the law and perspective and about the problems that will eventually arise in the future. It is one of those laws, which must be applied to other laws at the beginning, since it is related to several other essential laws, and starting from the Constitution of the Republic of Croatia, to the Law on the Right to Access to Information, to the Law on State Measurement and the Cataster of Real Estate, to the Law on State Information Infrastructure. That's what the Croatian legislative framework is about, and you know it well. And as far as the European legislative framework is concerned, there are four European directives, we have heard what is most important, 8 regulations and one regulation, 4 decisions of the European Commission, and I even think of 7 or 8 technical guidelines of the European Commission. We see that this is quite complex matter and requires a lot of adjustment and coordination. This morning, at one lecture, the academics of the legal profession, Jakša Barbić, said brilliantly that it is as right as the apothecary scale, so where you subtract, it is felt somewhere, or, if you take away the left, it is added to the right and always it must be well synchronised. This is actually an example of this law very well seen. So we are aware that everything is being done, and these changes are also harmonising with European legislative practice must be precisely harmonised and what is most important in practice because adoption itself will not bring us anything if it is unfortunately not enforceable in Croatian practice, and we know well here in the Assembly that this is one of the biggest challenges. And now the question needs to be asked, given that the subject is this law, what is the current situation in practice? And the current situation in practice would say experts, so it's not too bad, it's not too good a golden middle of the European average, but I'm going to focus very briefly on the part that would be worse than the average, and that's the part that's below the EU standard, and that this data's usability through network availability, through network services and technology. We know that every year the so-called state of the so-called. Monitoring reports to the European Commission from our report on Croatia turns out that each of these areas that we have heard in previous exhibitions covered by this data infrastructure are not familiar with atmospheric characteristics, geographical, land, population etc. In a way, one body takes care of that data, and somewhere even more bodies worry. But the only thing we don't have was a geographical region nowhere covered as far as I could see and that's interesting. So there's some kind of gap on the map. We know that this INSPIRE directive must be implemented fully until 2021 as much as we know and see that it will be a great challenge. What's interesting to say is this example of using network services, we have some institutions, say the Croatian Geological Institute has 13 sources of spatial data, and you know how many network services it offers? For zero and not only network browsing services, but zero network download services. So zero for review, zero for download. Unfortunately, it needs to be improved. The state geodetic administration commends as much as 26 sources of spatial data, but unfortunately only for five offers a network service review again and for two network download services. The state hydrometeorological office has seven sources of spatial data, and yet zero to download, zero to view. Croatian forests have only one source of spatial data, and no network service or download, nor the possibility of viewing. Plinacro, Adriatic pipeline, HOP therefore Croatian transmission system operator d.o.o., Croatian road, Croatian HZ Infrastructure, HEP believe or do not have only one source of spatial data registered in that register of spatial data sources, and for this one none of these have any network service or review or download. It doesn't require such a great deal of work, it requires certain organizational skills and someone should deal with it and I believe that in due course they will deal with it. And what would be the conclusion? So space data sources someone does a good job of uniting, but these institutions that need to be united at the same time need to do their own work to provide these services to make them online, not just to deliver them to the center of the central point. And according to the so-called. INSPIRE Directives, therefore, and according to that regulation of the Commission on network services, we, as a state, will have to sort of coordinate all these things in a very, very quickly over a few years to fit the average faster because we see that for the past year this network acquisition and the possibility of network visibility for our institutions has been devastatingly low. And what is ultimately important to say, the problem of course is money and the directive, and according to it, the law does not give a commitment to cost-making, and there is the biggest problem with our institutions because the directive in that preamble 16 says implementation should not create excessive costs for Member States, and that is a very general text. At the same time, Article 7 states that the European Commission will make an analysis of the costs and benefits to be implemented before adoption, so they are a little contradictory. And there's been a problem with our national rules because in many cases, even in the cases of these institutions, it's actually difficult to quantify these projects and investments in that network visibility because these are mostly immaterial benefits for that institution. But certainly, apart from the immaterial benefits for the institution, they are a benefit to the state, so before adopting a policy, before adopting a budget plan for any of this institution or public entity should be taken into account, and there should also be possible penalty payments that Croatia may pay in the light of the failure to comply with these provisions. Thank you very much.
ParlaMint-HR_2018-02-13-0.u70955	Thank you. And now, on behalf of the motionary, State Secretary Mr. Zeljko Uhlir. Here you go.
ParlaMint-HR_2018-02-13-0.u70956	Ladies and gentlemen of Parliament and the chairman. I thank, first of all, everyone who participated in the debate on the adoption of amendments and additions to the Law on national spatial data infrastructure. I would also like to point out once again that it is a matter of harmonisation with the existing directive and the existing law adopted in 2013 is being amended in several points, so the following definitions of spatial data themes are more specifically defined by registers and more detailed access restrictions are being developed. What a colleague from the HSS Club asked for was one clarification related to Article 4 of the amendment and supplementation, I can say that in these amendments and additions, what was actually not so elaborated in the current law, so that his question that he was actually looking for clarification for limitations was contained in the whole of this article only read those items that were in front of the one who was problematic to him. There you go. Thank you.
ParlaMint-HR_2018-02-13-0.u70957	Thank you to the Secretary of State for further clarification. That's why we're closing the argument. We'll vote on this point when the conditions are met. This ended all the points that were scheduled for today's agenda, and it continues tomorrow at 9.30 p.m. when the vote follows, and then the final draft of the gas market law. Thank you very much and pleasantly for the rest of the day! Session adjourned at 15.45 hours.
ParlaMint-HR_2018-02-13-0.u70958	Proposal for a law amending and supplementing the Law on national spatial data infrastructure, first reading, P.Z.E. No. 279. The proposal is proposed by the Government of the Republic of Croatia. The debate is closed. In accordance with the proposal of the parliamentary working bodies, I am voting on the next conclusion. Firstly, the proposal for a law amending and supplementing the Law on national spatial data infrastructure is adopted. Secondly, all objections and proposals will be sent to the applicant to consider them when establishing the text of the final draft law. Please, let's vote. I find it unanimous, 124 votes to conclude that it was proposed by the parliamentary working bodies. Good morning, esteemed colleagues and colleagues. Today we will begin work by voting on discussed points and extending before this agenda. Here you go, comrade Grumo.
