ParlaMint-HR_2019-01-23-0.u123900	Now it is the independent representative of Hrvoje Zekanovic's turn, please.
ParlaMint-HR_2019-01-23-0.u125187	Answer? No, well, thank you. And now the closing statement will be given to State Secretary Mr. Mile Horvat. Here you go.
ParlaMint-HR_2019-01-23-0.u125188	I thank the vice president of HS. I thank the distinguished colleagues and respected MPs and MPs who welcomed the adoption of this Law. Clearly, they also expressed certain critical opinions regarding certain provisions, which we respect. The amendments of the esteemed representative of the Grbin will in any case be announced and we will propose to the Government certain solutions or whether or not we will accept them, that we do not now polarise about individual amendments, but there are, we could also talk about the amendments or whether they are based on the provisions that we have laid down, and you have, pointed out them to the Amendments. Cultural goods and ports, i.e. nautical tourism, are absolutely regulated lighting and cultural goods and ports are regulated by this Act, and in particular this lighting regime is foreseen by Article. The 11th of this law. The eco-acceptable lamp, the esteemed representative of Sacha, said, if I correctly understood, therefore, the law has prescribed or the profession has said so, we have in this Law highly consulted the profession and the profession has said that an environmentally acceptable lamp is the one that is up to 3000 Kelvins, therefore, that color and that lighting is defined by the profession as environmentally acceptable. We also have cases, in Brač we have cases of other cases where people have reported to us, they have asked for intervention of our inspections because simply, their committee is threatened or their dream is threatened in a way that the lamps that local self-government has set up in the context of a public debate are inadequately set up, so they light up in their rooms, so they light up in their houses, they don't have a peaceful dream. We followed everything that was happening, we know and what it means from the medical point of view, the inspection came out, etc., so, not to spread the subject, so this Law and prescribed that in public lighting from now on, so that whoever goes into reconstruction of public lighting must apply these standards where the most acceptable lamp is up to 3,000 Kelvins. In national parks, nature parks, for certain reasons that people have pointed out for nature protection, we put that censorship down, so technology down to those lamps up to 2200 kelvins, and that's what the profession said, so we respected the opinion and attitude of the profession. Why do we apply this now, why are we going now to change this law? The basic law was passed in 2011. It has not been applied since then, nor have the Rules of Procedures been adopted, which should have established certain criteria and criteria in the development of these laws, and based on this inspection had very difficult work on the ground because they had no basis for certain measures. So now, after the adoption of this Law, if it is adopted, as we have suggested, we have left a 12-month deadline for the adoption of three basic regulations that require that legal vacuum to be arranged, so to create a certain assumption in the inspection services on which they can act on the ground. We have defined the application of this Act 12 + one year. So, as of today, from the first day of application, it takes 12 years for the left deadline to comply with these technical standards. Those with a public lighting recently reconstructed, the profession said that these light bulbs they installed have a 12-year duration. We respected it, so we said that the moment you came into the new reconstruction phase, you would have to apply the standards of this law. So we're not forcing you to do it now, but when you're technologically aware or when you need it, you want a reconstruction, you're going to have to do a reconstruction by these standards, not by standards like before where you used lamps from 4 to 5 to 6000 Kelvins, which the profession said were harmful, that they were too bright, too blue, etc. So that's the goal of amending these laws. Otherwise, the profession said that the economic viability of these bulbs was in the seventh year and that another five years lasted, therefore, 12 years which is a technological age and we respected that fact when we said that this Law would apply, the deadline of adjustment is 12 years + one year, counting from today, so in 12 months when the Ministry had pledged to bring all the relevant acts. If I left something out, here, that's it. Thank you.
ParlaMint-HR_2019-01-23-0.u125189	Thank you, too. You have three replicas. The first replica was sought by Mr. Pejo Grbin.
ParlaMint-HR_2019-01-23-0.u125190	Thank you, Mr. Vice President. Dear Secretary of State, thank you for taking this amendment into consideration. I would just like to point out, yes, it is true that the ports of nautical tourism and other ports are located in the regime of art. 3.St. 2. where they must apply those prohibitions referred to in Article 2. 11th century 5th, but it's not the only ban. You, for example, in Art. 11. you have other prohibitions, such as the ban on light burning during the day, which will remain for the ports of nautical tourism, so that ban, then ban those 500 nanometer lights, etc. My suggestion is to consider the ports of nautical tourism and sports ports being exempted from any privileged regime at all. For example, perhaps a compromise proposal would be if production plants were then put into the same regime as ports. So that, in my opinion, would be a good solution. Thank you.
ParlaMint-HR_2019-01-23-0.u125191	Thank you very much. There's another replica of Mr. Tomislav Sauch.
ParlaMint-HR_2019-01-23-0.u125192	Thank you very much, Mr. Vice President. Without the intention of offending anyone, I know some. One politician whose waist was one of the, so the profession said, was one of the favorite paroles. When he wanted to push through something that was basically a political decision, which I'm not saying is here. However, it does not make sense to me that if I am the Law but in one of the later articles defines that it is better and healthier, so the temperature of light is 2200 kelvins, then I do not understand why the preceding article tells me about human use. Not for human use, but for urban environments, it's quite fine, 3,000 Kelvins. I mean yourself, try it in practice, the next time you go to some shopping mall where you sell construction equipment or body lighting, ask someone there to turn on a 3,000-chelvine light bulb, it's definitely not the most natural possible spectrum, and I don't think it would be bad for you to once again that waist asks if it's possible to still go with a little warmer light than 3000-kelvins, here, just that, thank you very much.
ParlaMint-HR_2019-01-23-0.u125193	Thank you very much. The third line has a Mrs. Doe. Anka Dark Taritash.
ParlaMint-HR_2019-01-23-0.u125194	Thank you very much, Vice President. I'm just explaining a little bit that to myself maybe, and there's going to be an opportunity for you to answer. The law shall enter into force on 1 April 2019. If it's 12 months, you've given a deadline for making the regulations, it's, I guess, from April 1, 2019, 12 months. This means that on 1 April 2020 and then we are 12 years old, which means, by 1 April 2032, public lighting or lighting must be adapted to the provisions of this Act.
ParlaMint-HR_2019-01-23-0.u125195	Thank you, thank you very much. That concludes the debate, and we'll vote when the conditions are met.
ParlaMint-HR_2019-01-23-0.u125196	We will now move on to a statement on amendments to the Final Proposal for the Law on Protection against Light pollution, a second reading. P.Z. number 407. The applicant is the Government of the Republic of Croatia, the debate is closed. The amendments were submitted by representatives of Peđa Grbin and Damir Tomic. I ask the President of the Proposer to declare the amendments submitted. State Secretary to the Ministry of Environmental and Energy Protection, Mile Horvat. Here you go.
ParlaMint-HR_2019-01-23-0.u125197	The amendment to Article 3 shall not be accepted, economic operators shall define in their production facilities through construction and other projects a technological process that requires the necessary amount of lighting for normal and secure implementation of all processes, meeting the necessary safety and safety standards at work. Furthermore, as the lighting of such installations requires significant costs through project solutions, optimal solutions are provided both from the aspect of environmental protection and from the aspect of energy efficiency.
ParlaMint-HR_2019-01-23-0.u125198	Honorable representative of Peja Grbin.
ParlaMint-HR_2019-01-23-0.u125199	... Thank you, Mr. Vice President, dear colleagues and colleagues, Mr. Secretary of State. [[The speaker is not enabled.]] Enlightenment of more or less each facility causes certain often significant costs, however, there is a problem here that you have provided that industrial plants are not subject to the provisions of this law. Therefore, Article 3(1) of the Treaty provides that industrial plants, regardless of our declared views, will be able to do whatever they want to do to protect against light pollution. Yes, by project, but when we talk about other regulations there are no norms that prevent, for example, excessive direction of light into the sky etc. I believe that this despite all the bonds of law enforcement provided for a 12-year adjustment, you went too far to handle industrial facilities. Industry is usually the largest pollutant, as when we talk about pollution of harmful smoke emissions, etc., as when we talk about sound pollution often and when we talk about light pollution. I believe that it is absolutely unnecessary for all production plants to allow them to break or that they do not have to apply absolutely every provision of this law. We have suggested this, unfortunately, you did not accept why we must ask for a vote on this amendment.
ParlaMint-HR_2019-01-23-0.u125200	2nd Amendment of Representatives Peja Grbin and Damir Tomic.
ParlaMint-HR_2019-01-23-0.u125201	I thank you, Mr. Grbin's 2nd amendment is not accepted. In accordance with the provisions of the Law on protection against light pollution, cultural goods are not fully exempt from the application of this law, since, in accordance with the provisions of Article 3(2), point 1 of this Article, cultural goods are subject to the prohibitions set out in Article 11(5) which define the prohibitions of lighting and thus to this type of facility.
ParlaMint-HR_2019-01-23-0.u125202	Honorable representative of Peja Grbin.
ParlaMint-HR_2019-01-23-0.u125203	As I told you during the debate, especially when I was talking about what would be the subject of the third amendment, that, indeed, Article 3(2) left the application of certain prohibitions, but not all. One of the bans that cultural goods will not apply is, for example, that ban that speaks of objects not being illuminated during the day. So here we're going to be uncritical, and it's going to be similar, and when we talk about the next item, it's going to be possible for the object in question to be lit up for 24 hours, completely unnecessary. On the one hand, unnecessarily because we have light pollution, on the other hand unnecessarily because in the case of cultural goods, it is often about objects that are particularly intensely illuminated, and there is also an excessive consumption of electricity. Therefore, I think that the provision of Article 11(5) where it is written, which, as well as under what conditions, especially when we talk about frontal lighting should be done, is quite sufficient and that the question of cultural goods lighting should not have been put in Article 3(2) where it is referred to in point 1. Since you haven't accepted the amendment, I'm asking for a vote. Thank you.
ParlaMint-HR_2019-01-23-0.u125204	Amendment No. 3. Honored representatives of Peda Grbin and Damir Tomic.
ParlaMint-HR_2019-01-23-0.u125205	Amendment No. 3. is not accepted. In accordance with the provisions of the Law on the Protection against Lightpollution of the Seaport, it is not entirely excluded from the application of this Act, since, in accordance with the provisions of Article 3(2), point 1 of this Article, the prohibitions set out in Article 11(5) which define the prohibitions of lighting and thus apply to this type of objects regardless of the purpose. According to the Law on maritime good and seaports, sports ports and ports of nautical tourism are special purposes. The port of special purpose is also a seaport so that as such it is not subject to the exemption.
ParlaMint-HR_2019-01-23-0.u125206	Honorable representative of Peja Grbin.
ParlaMint-HR_2019-01-23-0.u125207	Thank you, Mr. Vice President. This paragraph, i.e. Article 3(2), point 6 is disputed for two reasons. First, because you allow completely unnecessary sports ports and ports of nautical tourism to be excluded from part of the obligations arising from this law. Of course, certain exemptions would, for example, be made for the port of crossing which is intended for industry, exports, etc., as the port of Rijeka needed such an exemption. But other questions are being asked, why then for ports, I will repeat such as Rijeka Port, such as Luka Ploče, Gagenica, etc., you did not predict the same treatment as you predicted for industrial plants. And I'll ask you the next question. All our shipyards in spatial plans are defined as seaport special purposes of the shipyard. If, at the same time, an industrial plant and port of special purpose are to apply to the shipyard, the seaport shall apply the provision of Article 3(1), point (1) or Article 3(2), point (6). Because you predicted the same, same area of two specific rules, two different rules. I believe this item should have been edited differently. It was certainly necessary to exclude the ports of nautical tourism and sports ports and to accept that amendment that we had on Article 3(1) of the Treaty on the Functioning of the European Union would not result in this misunderstanding and this doubt in the application of the law to take place in the event of a shipyard, since you rejected both amendments. Of course we're asking for a vote on the amendment. Thank you.
ParlaMint-HR_2019-01-23-0.u125208	Amendment No. 4th representative of Peđa Grbin and Damir Tomic.
ParlaMint-HR_2019-01-23-0.u125209	Amendment 4 is not accepted. In accordance with the definition of landscape lighting is an external lighting used to highlight the characteristics of greenery on the public surface, which does not include waterfalls because they are not part of greenery and public surfaces, this is defined in point 12. In Article 11(5), point 9 is replaced by the following: Article 11(5), points 1, 7, 8 and 10 define the prohibitions and conditions of lighting which are also applied to the landscape lighting as well as the lighting of natural water bodies and protected areas in order to preserve eco-systems and biodiversity.
ParlaMint-HR_2019-01-23-0.u125210	Honorable representative of Peja Grbin.
ParlaMint-HR_2019-01-23-0.u125211	To explain to the citizens what this is all about, landscape lighting is something that we can most often see when we see enlightened treetops. We simply believe that there is no excessive reason for such a way of lighting to be allowed in this extent in which the law provides. So it's about lighting up the treetops. It's about lighting up parts of nature that are the habitats of a large number of night animals. And the question is, how much does this law have to do with so many exceptions? Of course we can't accept your argument, which is why we're asking for a vote on this amendment as well. Thank you.
ParlaMint-HR_2019-01-23-0.u125212	Amendment No. 5th Honored representative of Grbin and Tomic.
ParlaMint-HR_2019-01-23-0.u125213	Amendment No. 5 is not accepted. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. While point 3 of the same paragraph refers to housing that are part of immovable cultural goods such as the old city cores declared cultural goods in accordance with the Act on the Protection and Conservation of Cultural Goods. In view of the fact that the property of cultural goods is determined by the Ministry of Culture on the basis of professional evaluation, it was necessary to define the restriction and prohibition of a specific sentence under the Law on Protection against Lightpollution.
ParlaMint-HR_2019-01-23-0.u125214	Honorable representative of Peja Grbin.
ParlaMint-HR_2019-01-23-0.u125215	Thank you, Mr. Vice President. This is a matter close to what we talked about under Amendment No. 2. So as in other cases, in the case of cultural goods, we believe that you have allowed excessive exceptions to the application of this law. We consider that the question set out in point 3 is sufficiently regulated in point 2. We believe that, in this way, other than those exceptions that we have spoken of, too much, the release of lighting into the environment. But also every time we talk about excessive lighting, we need to be aware that we are talking about two aspects of environmental protection because one thing is an excessive amount of light that needs to be prevented and another thing is excessive use of electricity. As in all cases so far and here, we are asking for a vote on this amendment since you do not accept it. Thank you.
ParlaMint-HR_2019-01-23-0.u125216	Amendment No. The 6th Honored Representative of Grbin and Tomic.
ParlaMint-HR_2019-01-23-0.u125217	Amendment No. Six is not accepted. It is also unnecessary to add landscape lighting because, in accordance with the provisions of the protected area, it must be carried out with lamps of a coordinated color of light below 2200 kelvins and meet all other provisions relating to prohibitions.
ParlaMint-HR_2019-01-23-0.u125218	Honorable representative of Peja Grbin.
ParlaMint-HR_2019-01-23-0.u125219	Thank you. It's just that there's one problem here again, it's also protected parts of nature. So we believe that in this case, indeed, it has gone beyond measure and we do not think there was a need for such an exception. If we could even accept that the extensive exceptions of this Law are allowed in the case of otherwise landscape lighting, when we talk about the last protected parts of nature, then it's questionable what it is. So, to be clear, in the National Park, someone will be able to light trees on this basis. The question is whether it is then the National Park, the question is whether it is then the preservation of habitats, the question is whether in such a protected part of nature can be preserved those conditions that need to be preserved in order for something under the law to have the status of the National Park, and not to mention, I don't know, a special reservation or so on. Of course, as in all cases so far, we are asking for a vote on this amendment. Thank you.
ParlaMint-HR_2019-01-23-0.u125220	The 7th Amendment of the Honorable Representative of Grbin and Tomic.
ParlaMint-HR_2019-01-23-0.u125221	The 7th Amendment is not accepted. Art. 11th century 5th wheel. 1st, 5th, 8th and 9th state the prohibition issued by the proposed amendment. However, for the wide definition of a large number of different types of ad panels, it is necessary to define the emissions of light for ad panels through the Regulation of Art. 9th of this Law, which will elaborate the subject matter in detail. Note how the emissions of light are defined in art. 5th century. 6th century.
ParlaMint-HR_2019-01-23-0.u125222	Honorable representative of Peja Grbin.
ParlaMint-HR_2019-01-23-0.u125223	I personally considered this amendment the most banignant of those we have proposed. So this is about something extremely simple. We've got ads, we've got more and more ads lighting up. Most of the time, our citizens have a chance to see them along the highways, along traffic, city roads, etc. This amendment asked for only one thing, not to ban their lighting, but only to order that this lighting cannot come from the bottom. For what? Because in such a situation, which is because of the direction of the beam of light, which due to the physics of the rejection of the beam of light results in a decay of the amount of light that goes away, completely unnecessary, into the environment. So we're holding that at least this could have been the amendment that you're going to accept, the more the existing ad boards aren't going to apply this anyway because I can't imagine that some of the advertising panels that are now set up will be able to last for 12 years. I will repeat once again, this law in its fullness takes effect in 12 years. On the one hand, those who set up new ad panels are on the side of the costs, regardless of whether they light them from below or from above, and for the existing ones they will have to change in 12 years. From the point of view, how environmental protection and impact on nightlife mean birds, mammals, insects, etc. This is quite, quite a serious problem, and it is particularly a serious problem with the aspect of, for example, astronomical observations because these advertising panels that are often located outside the inhabited areas, are those that prevent astronomers from coming out of the cities, and when they come out of the cities, have a view of the completely clean sky. And of course I'm asking for a vote on this amendment. [[Intruder: Thank you]]
ParlaMint-HR_2019-01-23-0.u125224	The last amendment of MPs Peja Grbin and Damir Tomic.
ParlaMint-HR_2019-01-23-0.u125225	Amendment No. Eight is not accepted. When planning, designing, building and maintaining the reconstruction of external lighting defined under the Law governing construction, the applicable norms in all segments shall be taken into account, as well as the applicable standards in the field of lighting. When drawing up the Regulation referred to in Article 1(1), the following shall apply: 9th of this Law, the topic under consideration will be further elaborated, taking into account specific urban environments, protection of human health, the environment and energy efficiency. In accordance with the procedure for the adoption of the rules, the Regulation is of art. 9th of this Law goes through consultation with the interested public, and all the above-mentioned, innovative comments will be analysed and, if necessary, respected.
ParlaMint-HR_2019-01-23-0.u125226	Honorable representative of Peja Grbin.
ParlaMint-HR_2019-01-23-0.u125227	Thank you, Mr. Vice President. First of all, I will use this last amendment that we have submitted, to thank all those associations and all those citizens who helped us prepare this because neither my colleague Tomic nor I have all the expertise needed to deal with this kind of thing, so for me personally, because I have spent years in astronomy and in a particularly interesting topic. However, this amendment was last tied directly to the First Amendment. When you explained the First Amendment, you said that we would leave everything to design and that, through the design of industrial plants, we should deal with this lighting going more or less in the spirit of this Law, but we won't. Why? Because industrial norms are not yet engaged in lighting as provided for by this Law. With this amendment, we've actually suggested that the industrial standards of gravity go to a rule that you as the Ministry should make. So this amendment, in fact, we gave you as the Ministry more importance, which is why I'm surprised you didn't accept it. But this right now raises the question of why Amendment 1. Because simply, at this point, there are no provisions in our industrial norms that would apply in this way to the protection against light pollution. They're only being introduced into our legal system by this law. And that's why calling for standards is wrong, both in the case of industrial plants and in all other cases. The emphasis should be placed on the Regulation to be adopted. After that, it will only eventually become part of the norm, yet it is not. And that's why I'm asking for a vote on this amendment, too, thank you.
ParlaMint-HR_2019-01-23-0.u125228	Thank you. That concludes the statement or the interpretation of the amendment. We'll take a break now because the usual vote, as announced, will be at 12 o'clock, so we'll have a recess by 12 o'clock. The session was interrupted at 11.50 p.m.
ParlaMint-HR_2019-01-23-0.u125229	Final proposal of the Law on protection against light pollution, second reading, P.Z. No. 407, the applicant is the Government of the Republic of Croatia, and the debate is closed. The amendments were submitted by representatives of Peđa Grbin and Damir Tomic. We have agreed on the amendments during today's session, and we will now vote on amendments that the applicant does not accept. So we have eight amendments to the two MPs. We're going to Amendment number one. The government doesn't accept it, so I'm asking that we vote. He didn't get the votes he needed. Amendment number two is also not accepted, please vote. He didn't get the votes he needed. Amendment number 3. The government doesn't accept, please let's vote. He didn't get the votes he needed. Amendment number 4. The government doesn't accept, please let's vote. He didn't get the votes he needed. Amendment number 5. The government doesn't accept, please let's vote. He didn't get the votes he needed. Amendment number 6. The government doesn't accept, please let's vote. He didn't get the votes he needed. Amendment number 7. The government doesn't accept it, so please let's vote. He didn't get the votes he needed. Amendment number eight is also not accepted, please vote. He didn't get the votes he needed. I am now voting on the final proposal of the Law on Protection against Light pollution, please vote. It finds that most of the votes 80 for, 47 abstentions, the Law on Protection against Light pollution has been passed.
ParlaMint-HR_2019-01-23-0.u125230	We move to the next item of the agenda: - Final proposal of the Law on Amendments and Supplements to the Law on Marine Fisheries, second reading, P.Z.E. No. 397. The proposal is proposed by the Government of the Republic of Croatia on the basis of Article 1(1) of the Treaty on the The Constitution of the Republic of Croatia and of the Republic of Croatia in relation to Art. 172. 190. The Rules of Procedure of HS. On the occasion of the debate on this item of the agenda, the provisions of the Rules of Procedure relating to second reading shall apply. The debate was conducted by the Committee on Law and the Committee on Agriculture. Would the applicant's representative like to give an additional explanation? We have the Secretary of State with us. Maria Vuckovic, please. State Secretary at the Ministry of Agriculture, Fisheries, etc., please.
ParlaMint-HR_2019-01-23-0.u125231	Thank you very much, dear vice president of HS. The esteemed lady. Parliamentarians and gentlemen parliamentary representatives. The Maritime Fisheries Act entered into force on 8 July 2017. It was published in NN 62/2017 and was amended by the law on aquaculture in December 2017. In short, I will just say that at national level, this Law sets out the objectives of fisheries policy, the way of management, the protection of renewable biological resources, the way in which the control of body inspections and the way in which the support system is implemented, the regulation of the market, as well as all other important issues for marine fisheries. The necessary legal mechanisms have also been provided for the implementation of the EU's common fisheries policy in the section relating to the establishment of a legal basis for the new operational fisheries and maritime programme, fisheries management plans, as well as annual data collection and management plans. We believe that this Law provides a legal basis for ecologically sustainable and economically and socially justified fisheries that is also in favour of our island and coastal communities. The amendments provided for in this proposal are mostly technical. It is an additional clarification of certain provisions which could have been interpreted twofold. Also, avoiding repeated infringements, allowing the use of recordings of a new unmanned vessel control and control system in fisheries, etc. Also, compared to the first reading, further from the professional organisations, the cooperatives as a transitional form to producer organisations supported by the EU in the common fisheries policy, i.e. Structural funds are provided for by the Ministry of Agriculture to assign instead of the Croatian Agricultural Forest Advisory Service to the State Inspectorate as of 1 April 2019. Thank you very much.
ParlaMint-HR_2019-01-23-0.u125232	Mrs. Devereaux. Vuchkovic, you have two replicas. The first replica was sought by Mr. Ante Bacic.
ParlaMint-HR_2019-01-23-0.u125233	Thank you, Vice President HS. Dear State Secretary with Associates, I am interested in the operational programme that you mentioned in your opening presentation, the operational fisheries programme covering the period from 2014 to 2020, I am interested in the Ministry, how much money we have withdrawn from the European Maritime and Fisheries Fund. We know that a large amount, about 200, 250 million remains in the Fund itself, and I'm interested in plans, so, about those resources for 2019. In 2020, how long do we plan to get out by the end of the term? Thank you.
ParlaMint-HR_2019-01-23-0.u125234	Here you go.
ParlaMint-HR_2019-01-23-0.u125235	Thank you very much. Therefore, the operational programme for maritime and fisheries is worth around EUR 358 million, EUR 348 million, with EUR 252.6 million being financed from the EU. At this point, we have agreed a billion and 240 million kuna, of which 580 million kuna was paid and I am taking the opportunity to say that the previous operational programme that was worth the period from 2007 to 2013, which had to be closed a year earlier on the delivery of the Funds, was not closed. By the end of 2016 we had very short time to verify and close such a programme. That this programme was not accredited, so in 2017 we worked on accreditation and credited it in 2018, the first request for verification was sent in April 2018 and met the M+3 request on 31.12.2018. As far as your question is concerned, how much we expect to use it, I expect we'll use it all.
ParlaMint-HR_2019-01-23-0.u125236	Thank you. The second line has Mr. Miro Bulj.
ParlaMint-HR_2019-01-23-0.u125237	Dear Secretary, you said how much funds have been agreed from EU funds, can you tell me how much it means in implementation, how much has been implemented so far, what is that amount? We have a lot, 10.5 let's say billions of euros and in other things in agriculture, so we haven't achieved so much, I think it's much more important than it's achieved and how it's implemented. My key question is, how threatened our fish fund is, and do you have the opportunity to protect it because this government does not have the courage to declare an exclusive economic belt, regardless of what the right of the Republic of Croatia under international law and under the '72 UN Convention. Mr. and we have the right and the Council of Europe says to protect our Adriatic because simply our damages are great, no one controls foreign fishing fleets because they are very little controlled and, of course, that an exclusive economic belt would extend the section between us and the protection of our fish fund. Thank you very much.
ParlaMint-HR_2019-01-23-0.u125238	Thank you, too. Would you like to answer? Here you go.
ParlaMint-HR_2019-01-23-0.u125239	So again, a billion 240 million kunas were agreed, 580 million kunas were spent, so paid to users, certified slightly more than 41 million euros. The fastest growth in consumption compared to the structural funds used by the Republic of Croatia. As for the protected eco-fishing belt and the protected economic belt, who knows which way, exclusively, forgive the economic belt, who knows which way to identify at least the superficial differences between these two regimes in relation to other economic activities, as regards fisheries, there is no difference. By entering the EU, waters other than the territorial waters of the Republic of Croatia, they would be subject to EU governance measures and would be the same regardless of the protected ecological and fisheries belt or exclusively the economic belt.
ParlaMint-HR_2019-01-23-0.u125240	Thank you. Do the committee's reporters want to take a word for it? No, I don't. We're going to the debate, and first of all by the clubs, Mr. Ante Bačić is first in front of the HDZ Representatives' Club, please.
ParlaMint-HR_2019-01-23-0.u125241	Thank you, Vice President of the Croatian Parliament. One more state secretary with associates, respected colleagues and colleagues. We are facing the Final Proposal for a Law on Amendments and Supplements to the Marine Fisheries Act. In the introduction, we heard from the secretary of state that everything is changing. Most of the technical nature, and we know that only this previous Law on aquaculture, that certain provisions of this law have ceased to apply, and that the law itself has allowed the implementation of new EU regulations and are related to fisheries and introduce new controls and infringements and management systems of fishing capacity, common market organisations and other fisheries products. Frameworks for the adoption of an operational programme for fisheries and the objectives set out by the Republic of Croatia for the fisheries policy, plan and management of the fisheries fund, as well as the way data is collected for the protection and renewal of marine biology, all within the framework of the EU's common fisheries policy. It is important that the law enables responsible and sustainable exploitation of living treasures as we see in the bill itself, as well as in the explanation itself, and in an environmentally balanced and economically and socially justified way through measures to protect and preserve and restore resources... a system with control and supervision of EU rules contributing naturally and to the development of coastal and island communities. [[The speaker doesn't understand.]] As regards the final draft law, I repeat, most of the things and changes in the technical nature are to update the list of regulations which are now in force for the 2017 European Parliament and Council Regulations relating to the collection and use of data from the fisheries sector and the harmonisation of the law in view of the future State Inspectorate. In order to avoid the possibility of double interpretation, changes have been made for example. Article 6 which is prescribed by fishing vessels and articles which have shown ambiguous implementation of practices and have led to certain misunderstandings. With this proposal of the law, i.e. This final draft law also requires the development of provisions relating to the regulation of fishing in protected parts of nature, sports and recreational fisheries, as well as the implementation of expert training for economic fishing at sea, which is now being carried out by the Croatian Agricultural and Forest Advisory Service in the final proposal of the law. professional training for economic fishing at sea remains at the end of the responsibility of the Ministry of Agriculture itself and the compensation for the same is lifted, there was the most debate between these two readings, the State Secretary also mentioned provisions concerning drones. This proposal also allows defence ministry staff to manage those systems. As regards Article 28 of the final draft law, it is amended and reads that the common regulated markets for fisheries and aquaculture products include professional organisations, marketing standards for certain fishery products, consumer information, competition rules and market research. In that section where the very professional organization is mentioned but what I mentioned in the introduction, i.e. in the replica itself, there is also a strong emphasis on the operational fisheries programme covering the period from 2014 to 2020 and it leaves us definitely more money from the European Maritime and Fisheries Fund than some 252m euros in the amount of funds that can be used to meet the objectives of the fisheries policy of the Republic of Croatia. We believe that the withdrawal of these funds can definitely be greater and here we have heard the efforts of the State Secretary himself that the ministry will fully, i.e. seek to make full use of all related EU funds. Finally, the HDZ club supports this bill. Thank you.
ParlaMint-HR_2019-01-23-0.u125242	Thank you, too. Now it's Mrs. Anka Dark Taritash's turn in front of the GLAS and HSU Representatives Club.
ParlaMint-HR_2019-01-23-0.u125243	Thank you, well-respected Vice-President of the Croatian Parliament, distinguished State Secretary with associates, colleagues and colleagues. Here we are in the second reading Final proposal of the Law on Amendments and Supplements to the Marine Fisheries Act. This government really has a custom that I can't say and I can't commend that we're getting bill proposals in two readings, that we have the possibility of discussing, that between the first and second readings, there are other things that can be changed, that some things can be accepted, that some things can be built in, and that's principled for commendation. Unfortunately, the result of all of this is that in the second reading you are relatively, so all we should have said is we exhausted through the first reading and then in the second reading here, all together is a little public, or fellow MPs much less there are active. I have to admit I can't and I can't resist it, it's January is usually a month that's usually a month of depression, and so, with the Assembly session, we started that first day quite energetic and there were raised tones. I must admit that at some point I expected that some colleagues who normally do so would ask for a resolution minister to come and then maybe discuss the shoes or some other things of that minister, but here's a good thing that's been missed and that we're still in the debate and what's the measure, and the measure is this law. I must say, this law is something that we at the GLAS and HSU will support. He's one of those, I call them so-called. technical laws because actually through law enforcement you see things that are bad, things that need to be changed, things that you need to supplement. And you come with one correct change and complement, and through these changes and additions you create a document that is operational to you. And I'm really taking this opportunity, and I don't need to look at any regulation that he's like being carved into stone, so we don't change him. And, of course, those who work under that regulation when they see when there are shortages and some things need to be changed, to change. And if this one, if this law was in both the first and second readings, we wouldn't mind there for the simple reason why it's so-called. the technical law. What is still well mentioned, and what I am about to mention are two topics that we discussed a lot, the first January passed, the agricultural forest advisory service is no longer alive, but the activities have transferred to the ministry. I'd like to know how it works today if the activities have already been done, whether the ministry regulations are ready because you have to define them differently through the regulation, you have to deploy people. And no matter what, whenever you're talking about it, the situation is next that says you won't need new funds, you don't need it directly but it will be indirect. It's the same way we're talking about inspection here. We discussed the Inspectorate. If true, the inspectorate will begin on 1st April 2019. I suppose there are also certain activities in the ministry to see how many inspectors you have, to do, that one, structuredly related to the great inspectorate. Because the point is that it starts with work, the point is that it works. But now, perhaps even in a few sentences, if I just look back at actually sustainable eco systems that are extremely important and extremely important, it's good to talk about them. It is good that this law regulates the possibility of fishing in protected areas. What you need to know when they were even declaring protected areas, so I won't be here right now, I will speak in principle and about 40% of the land in Croatia either in Natura 2000 and 60% of the submarines. We also have national parks that extend on the sea side, and it's good to regulate it. I remember those inscriptions on the paper whether or not fish can be fished in the Kornati or fished. As much as it laughs on Mljet, as much as it laughs, we also have the Lastovo Nature Park, so especially special spaces. And it's good that through the law we have it regulated, that we have through the law defined, it will be good that the inspectors do their job. But we always have to keep in mind, we have one custom that's already kind of alarming and that's that we have regulations that are decent, that are correct and then we come to reality and reality is a little different. The result of this law is when it comes to reality, it should be that really inspection builds its own business and it should be that what we need and energy and everything else we use for this one, one sustainability of this sea world because if we don't worry about it, one day no one will be able to even discuss the Sea Fisheries Act because simply no fish will be. I won't, it's already afternoon, they're all already, a little bit tired, what I really want to do again, we're seeing it as one of the technical regulations through which you're harmonizing with everything that's happened in the meantime, and in that sense we're going to support this amendment and the addition of the law. Thank you.
ParlaMint-HR_2019-01-23-0.u125244	Thank you, too. Mr. Allen Prelec will speak in front of the SDP Representatives' Club. Here you go.
