ParlaMint-NO_1999-03-04-lower.ana.ud2401e37	The representative Sverre J. Hoddevik will present a private legislative proposal.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e957	Ågot Valle has taken up the suggestions she referred to.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e960	The left takes a positive view of most of the changes in the Foreign Affairs Act and the other laws that are being dealt with today. This involves several changes that go in the liberal direction and legislate a liberal practice. However, like the majority of the Committee, the left is critical of several proposed amendments that are going in a restrictive direction. Most of the changes are mainly of a positive nature. By establishing a foreign student, we will have an independent assessment. This is a positive measure, but the Left would stress that this establishment should not lead to a political discharge. The proposal that work and residence permits can now be granted for two and three years rather than earlier only for one year at a time is a clear improvement and will make it easier for many. It is gratifying that the residence permit will no longer automatically lapse after more than two years of continuous residence abroad, and that it will now be sufficient to report a transfer to the People's Register and no longer to the Police. Similarly, it is positive that cohabitants are given the same right to asylum as their spouse and that work permits can now be granted without a specific application, and that the use of expulsions rather than expulsions is open, and that entry bans can be imposed at a rate of less than two years. Although the Left with pleasure joins most of the changes in the Department, it is also right, as the Committee does, to make reservations on some points. The left joins the Committee's critical comments on opening up house surveys to reveal the identity of a foreigner. It is necessary to impose as stringent requirements for investigations under the Foreign Affairs Act as under the Criminal Code. The left is also critical of the proposal that general experience in the field of broadcasts should be given priority in the assessment of the avoidance risk. In the view of the Left, this must not be at the expense of an individual assessment. Like the Committee, the Left believes that particular care should be taken in assessing whether such detention will be a disproportionately strong intervention. The left underlines the need to pay special attention to humanitarian considerations as to whether people suffering from severe psychiatric disorders can be expelled. The left is also concerned that the security provided by the 48-hour rule will be continued through the practice of the administrative law. The left assumes that the Government will provide a liberal interpretation of the legislation to ensure legal certainty.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e983	For the Workers' Party, it is a pleasure to see the Bondevik government come back again with the proposal for a foreign student, in accordance with the proposal put forward by the Harlem Brundtland government in Ot. pp. No 38 for 1995-96. For the Labour Party, it has always been important to take care of the legal protection of the individual refugee or asylum seeker. That was the background to the proposal in 1996, and we have the same principle view today. The fact that with such a system, we facilitate the working pressure in the department in dealing with individual matters also has a lot to say, but is not the priority of the matter. I am pleased with the developments that have been in the parties that are now represented in the Government. The fact that the Christian People's Party and the Central Party have left their bombastic proposal and their argument for a refugee feeling when they are in government premises is evidence that they are our responsible and no longer pursue populist opposition policy. It is the contents of the matter that matter, said the representative of the Christian People's Party earlier in the debate. Why wasn't the contents of the matter important when they were in opposition, is my question. For us in the Labour Party who then put forward the proposal, it was important to have substance in the matter at that time as well. In other words, the limitation of the plural at the time would have led to an unclear distinction as to whether matters were to be handled by the refugee class or by the Ministry of Justice as the Board of Appeal, and with this proposal one would have omitted the expulsion cases, the family matters and the divorce cases and not given them the same handling and equal treatment. It would have opened up that some matters would have got political decision, while others would have been dealt with by the denominator. This view now clearly leaves these games for the benefit of a foreign student who takes up all the categories. I find that in this case, too, government responsibility has outweighed opposition to a sitting government. I would like to stress that there is not such a responsible party that it should work on difficult matters, matters that so strongly affect the individual. The individual who has come to a foreign country with new customs, new language and different culture needs to be treated to ensure the legal security of the individual, where no one has to question the decisions. A complaint subject for all foreign affairs will ensure individual security, and the principle of equality will be followed. The Labour Party sees it as an objective that all decisions in foreign affairs should be as undisputed as decisions taken in a court of law, and therefore it is the Labour Party's view that a neutral and independent one can best take care of legal certainty in such cases. A neutral, independent, court-like body such as the Board of Appeal is likely to be more able to manage a fair and equal handling in line with the rules of the present system. I also believe that fewer cases will be brought before the courts when we have received a court-like body as an appeal body. I am pleased that the Central Party and the Christian People's Party have taken on board the fact that it would be difficult to distinguish between asylum matters and other matters under foreign law, such a distinction would have complicated the relationship between the denominator and the ministry. With today's proposal, one will not get such a borderup, and all parties, both the one seeking a suspension, and not least the powers of government, which may seem equal to handling. This is important in a legal society.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e998	I sat down in the office and listened to the debate. I wasn't going to get involved, but I have to say that when I heard the representative, Mr. Tömerås, what kind of legislation was there to allow the police to enter the houses of the people, ran the debate on the weapons law in my mind. When the police are going to be able to enter the houses without notice and see if they have their legal weapon locked in a locker, shouldn't it at least be the same requirement here, that the police should be able to go into the house and see if there are criminals who have entered the country? Shame on you, Tömerås – if I may say so strongly! I'm sorry, President, it should have gone to you. Once I'm here, I have to tell you a little story about how asylum seekers are set up in this country. I don't think everyone is aware of that. The Ministry of Local Affairs is responsible for the establishment of reception facilities. It is administered by the UDI, which treats operators operating as if they are broadcasts from the UDI. Because they're not. They are contractors who are paid according to the price principle by selling places to the UDI. Then they come to the municipalities and they say, "We're UDI's extended arm. If you protest, there will be media exposure! President, are you aware that the municipalities don't even have a right to information? They do not even have the right to deal with the establishment of an asylum recipient in a foreign municipality. It should have been part of this law. When, in an outlying municipality, in a small town or in a small town, an asylum reception is to be established, you should at least be allowed to deal with this in the local government – but no. I will regard this as a modern slave trade. There's big, big money involved. What is going on is creating racism. It is something that destroys the refugees and asylum seekers in this country. And what's more interesting is that the NOAS completely agrees with me on this. That is why I have already written a private proposal to be promoted – it is imminent – that local authorities must have a right to receive treatment of the establishment of asylum-seekers in the municipalities and that they should have a right to information on what is going on. Today, freedom of establishment is available in a municipality. We are all allowed to move from one municipality to another, and it is used in this case. I have to repeat that it creates racism, and that is NOAS agrees with me. It's obvious that when not even a police officer or a loner is being briefed in local communities or small towns, that's something that's totally hacking, President! This is also about information. There is no doubt that setting up an asylum reception with perhaps a few hundred pieces in a dense place where there are a few thousand people is a heavy burden on both social services, health services, school and, of course, the police. So it happens without being obliged to provide information, without informing the elected representatives of the municipality, and without telling the local people what's going on. It should have been considered by the committee and included in the law. But of course, the Ministry of Local Affairs has the opportunity to make regulations so that municipalities can be informed about what is going on.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1011	The President will confirm that punishment and end-use should also be addressed to the President – but it should be limited!
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1014	It is with satisfaction that I note that the majority is in favour of the creation of a complaint subject in foreign affairs, and that the choice has fallen on a subject which will deal with all complaints concerning decisions under the Foreign Affairs Act taken by the Directorate of Foreign Affairs at first instance. The main reason for the foreign student’s being a better alternative than simply dealing with asylum and related matters is that the same reasons for the removal of asylum cases from the ministry to be dealt with independently also apply to the other complaints. I stress that the denominator will be a court-like body and thus the type of body that is considered best placed to ensure legal certainty in individual cases. When the department is relieved of the individual cases, it will be able to concentrate more on providing an appropriate legal and regulatory system at all times. In other words, the Ministry will be able to put greater emphasis on the actual task of the Department, namely to develop policies in this area. I cannot agree with the claim that this reform contributes to the ambiguity of responsibilities. I'd rather say the opposite. The Ministry will undertake extensive work on establishing the name, including drawing up instructions and proposals for a number of regulatory provisions relating to the new provisions. In this context, it is necessary to consider which humanitarian organisations propose denominators and how many individual organisations should propose. In this context, I have taken note of the Committee's opinion that it should mainly concern organisations dealing with issues related to the area of refugee and asylum. I am also pleased that this is the majority of the other proposals in the motion for a resolution. The changes mean that we get a better and clearer regulation than what we have today. I would particularly like to stress that the legal certainty of foreigners is strengthened not only by the creation of a name, but also by several of the other changes. In this context, I refer to the new rules on competence and procedure to be followed in relation to the provisions of Section 37 on identification. The time frame allows me to limit myself to commenting on one of the paragraphs that do not apply herein, namely Section 37. The new provisions have provided us with a much better tool than we have today for identifying foreigners who want to stay in our country. Although foreigners may have valid reasons to come here without documents showing who they are, there are no protective reasons why they should be able to keep their identity hidden from Norwegian authorities after they have come to the country and are safe here. The new provisions on the obligation to help clarify their identity increase the possibility of individual aliens being registered with the correct identity. Should there be any subsequent reason to believe that the registered identity is not the correct one, the obligation to contribute to a clarification arises again. Specific studies may also be carried out today if the stranger does not help to clarify his identity. However, the new provisions make it clear that this also applies to the examination of the dwelling of the non-resident. In its position, the Judicial Committee states that it considers "as opposed to the Government" ‘the requirement to suspect that the false identity has been provided must be a specific qualified suspicion as strong as that required by the Criminal Procedures Act for other types of house investigations’. That the government should have a different opinion must be due to a misunderstanding. In the proposition, the Ministry writes that the provision in the Constitutional Act § 102 that house surveys may not be carried out ‘without criminal proceedings’, ‘requires probably not as strong suspicion as the legislator has chosen as conditions for, inter alia: search under the Criminal Procedures Act. ‘... However, it is clear from the bill that the Ministry has just chosen to impose as strong a suspicion for house surveys under Section 37 as for criminal proceedings under the Criminal Procedures Act, requiring ‘many suspicions’ under the third paragraph of Section 37. I refer you here to Section 192 of the Criminal Procedures Act. In my opinion, today's decision will mean a great improvement in the procedure in foreign affairs, not least from a point of view of legal certainty. Let me comment briefly on the question of the status of children, which was the subject of a certain exchange of lines earlier in the debate here. The fact that children under the age of 18 who have formed their own family do not have the right to family reunification as suggested by the Government does not mean that they cannot have it. The difference is that they are assessed on an individual basis. As stated by the representative Marthinsen, that is exactly what the Workers' Party wants it to be, it is at the suggestion of the Government. There will be no automatic right to neither family reunification nor derived refugee status, but an individual assessment of applications from these children. Let me also end by saying that the proposal for the possibility of rejecting mentally ill people is an expression of a provision designed to protect people who are unable to care for themselves. That is the purpose of the provision, and that is how it is to be practised.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1053	It's going to be line change.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1056	There are several things the council had in mind that I could intend to challenge him further, but I'm going to limit myself to the last thing he was in, that with people with mental disorders. As the case-rapporteur in the past pointed out, the Workers' Party is very surprised that a government in which the Christian People's Party is the largest party, and in addition has the Justice Council, can propose to expel foreigners on the basis that they have mental disorders. Often this will be about particularly weak people. Such a view as the proposal foreshadows, goes on human dignity. It may also conflict with the European Convention on Human Rights. The majority of those who have expressed their views on the proposal are critical, and several of the hearing bodies have strongly opposed the proposal. Among other things, the contact committee between immigrants and Norwegian authorities, the so-called KIM, has expressed itself very strongly. Furthermore, the Church Council and the Inter-Church Council have expressed themselves very skeptical, and say, among other things.\t\t You can change the settings of the grid. \t\t \t ‘The proposal that has been promoted understands the advice towards a human vision that is graduated from man’s abilities and facilities’. Nor does the Ministry provide any evidence of the need for a proposal like this. And then the question to the Council of State has to be, doesn't the Council of State have any concerns about going behind the proposal? And further, on what human view does the Government base such a suggestion?
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1070	I think parts of this debate have tended to over-dimension the contradictions that exist. Blaming this Government for not caring for mentally ill people falls on its own unreasonableness. To characterize this proposal as a gradation of people based on abilities and facilities, I would characterize it the same way. This is a provision that allows the authorities to take care of people who cannot take care of themselves, based on professional judgement. This is not a provision to be used in general to expel people with mental disorders. The objective is precisely to return to the country of origin as soon as possible in cases where it is in the best interests of those who have to be expelled under this provision. That's how it's supposed to be understood, and that's how it's supposed to be practiced.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1078	We too have been very sceptical, and are going to vote against this proposal that the Council of State now referred to. I can promise that we will follow the practice with the argus eyes. I invited the Minister of Justice to comment on the proposal we have on centres of expertise on the effects of torture. Now he didn't, and I give him another chance. We see this as an important part of improving legal certainty. In our opinion, a human asylum and refugee policy requires that there is sufficient competence for torture – both physical, mental and sexual torture – and that it is used, and used systematically. As far as we know, we have the necessary expertise. One of them is Jørgen Cohn. He lives in Tromsø and is a professor. He can tell us that he repeatedly feels that his expert report is being set aside. He tells quite strongly, I think, that when he goes through these investigations and listens to what asylum seekers have to tell, he gets sick. It's that strong. Then he puts it aside, takes it up again, writes the report and then gets nauseated – and then he feels that he is not believed. It's pretty strong. The result is, as we have seen in several cases, that families or individuals are being sent out, perhaps to another torture. We believe, as I also said in our speech, that knowledge of torture is important to bring with it both in questioning and in subsequent proceedings, because it can manifest itself differently from person to person in interrogation situations and also later, when the exposed ones get strong experiences. I would like to hear what the Minister of Justice thinks about such a proposal.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1091	Let me say that I agree with Mr Ågot Valle that it is important for us in Norwegian society to have competence on the effects of torture and other stresses that refugees and asylum seekers coming to Norway have been exposed, not least through war and war-like conditions. It is important to have such a competence, and it is important to develop the competences, both in the treatment system and in the services and services provided by both municipalities and other agencies. Having said that, I must admit that it is the first time I meet the concrete proposal for such a centre of competence, as the representative Ågot Valle now mentions. I don't think it's right to take a position on this right now, but I see it so that an assessment of it can take place in a different context than in connection with this special legal process. If I have to be so free, it might be appropriate that that proposal was sent.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1098	It was obvious that the Council of State was provoked by the line that I had in place, with regard to people with mental disorders, and that one drew this government's treatment of them in doubt. It could probably also form the basis for a debate. But what strikes me after the answer is that there must be no difference between the person who has mental illness and the Norwegian citizen, or whether he is at the entrance to Norway. These are often people who are in such a state and a constitution that they have difficulties in coming forward with the message of a legitimate need for protection. Then comes another aspect -- we send people back so quickly. How can we be sure what we're sending them back to? Then we're back on it with human dignity, the need and the right that people have to be treated for that kind of suffering. Finally, I would also like to recall the strong statements that I referred to, both from the Council of Churches and the Council of Inter-Church. It's something that should count for a government where the Christian People's Party is the dominant party.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1107	Let me say that the authorities will assess whether a foreigner needs protection in Norway even if he does not explicitly seek asylum. I refer to the third paragraph of Section 27 where it is stated that it is sufficient that the non-resident provides information “which indicates that the protection rules in the first paragraph of Section 15 will apply”. Furthermore, the provision referred to here is linked to an assessment of competent health professionals. This means that there should be a concrete professional assessment and that the purpose of the provision is to take care of the person concerned, because he is unable to care for himself because of his situation. With these leaderships, I believe that this is a provision that is not only sound, but actually also proper. But I allow myself to assume that it will be in very few cases it will be relevant to use this provision. As I said, it should be used for the clear purpose that I have expressed here, namely to care for the individual.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1114	The cord shift is therefore over.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1117	The majority's proposal for a foreign student solves few problems, while creating new and unlucky ambiguity on several points. The proceedings create confusion about the responsibilities of the Government and the Council of State towards Stortinget. At the same time, the majority say that the foreign student must be a ‘court-like body’. Only the concept itself should get the alarm clocks to call and show which grey zone you're deliberately entering here. A good rule of thumb should be that administrative matters should be dealt with by administrative bodies with normal proceedings and normal responsibilities, while legal proceedings should be dealt with by ordinary courts. More and more specialised specialised courts are unlucky and not a good contribution to the whole and coherence of our justice, and should therefore be avoided in the opinion of the Right. It doesn't get any better that we're talking here about a court-like body that's supposed to act like a kind of special court. The proposal for amendments to the Foreign Affairs Act provides otherwise several useful clarifications and clarifications supported by the Right. This applies, inter alia, to: the possibility of using expulsion to persons on short-term visits to Norway. In such cases, it would be more natural to use expulsion than expulsion. The right also supports the possibility of deporting persons sentenced to protection in other countries. The important thing should be that there is hedged and not where it has happened. The government proposes a separate institution for people being imprisoned because there is doubt about their identity. This institution shall carry out tasks which differ from the prison otherwise, on important points, and the Right therefore also supports this proposal. The same applies to the legalisation of an obligation on non-residents to help clarify their own identity. We see in several contexts that people who have received a final rejection of their application for a stay do not help to leave the country, but on the contrary use the 48-hour deadline currently in force to avoid the decision. It may not be reasonable to maintain such a period for persons residing illegally in the country. That period should therefore be removed and it should also be possible to detain persons in order to ensure that they are produced for the representation of the home Member State in order to obtain the necessary travel documents where appropriate. On the other hand, the right does not support the proposals for decoration in the family reunification criteria. There is poor reason to change the legislation that it has not been practiced as it should. The right hand side is also fixed at its position, as we are, among other things. put forward a proposal in the context of the communication on integration, that there should be an absolute requirement for family reunion entertainment, and we therefore oppose the proposal for the decoration of those provisions.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1139	I will make some comments on a matter that is not directly affected in the committee position, but which is related to the practice of law and regulation. I'm thinking about the treatment period for asylum applications. It is apparent from the media today that there are 4,500 asylum seekers and their family members awaiting treatment of their asylum application. Most of them are waiting for first instance treatment. The central parties were strongly critical in the opposition to the long period of proceedings and the resulting waiting period in the reception of asylum. Under the current government, the situation has deteriorated. Has the Government prepared poorly for an increase in the number of asylum seekers and for changes to the legislation that would result? Long stay in asylum recipients has a cost page that is important enough, i.e.: there are resources that could have been used in other areas. But I also want to point to the human dimension. The length of the procedure is an additional burden for those in receipt of asylum. It's limited what it can facilitate by activity. In particular, I am concerned with situations where there are families and children in the picture. The entire asylum seeker process until possible settlement in a municipality cannot be attributed to the responsibility of only one department, but much lies within the responsibility of the Ministry of Justice. However, it is clear that, for example: The first instance treatment in the Directorate for Foreign Affairs has been increased by two months since 1997. Most of the time, as it is described, lies the matter and waits for a free case handler without anything happening to the application. It could be interesting to challenge the effective Minister of Justice and ask if it would lead to the correctness of the Government and the UDI considering reversing the entire asylum procedure and what it might consist of. Today's proceedings are not satisfactory, and the Labour Party believes that improvements need to be accelerated.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1146	I can confirm that we, on the part of the Government, take seriously the increased length of proceedings to which the representative Bjørnstad refers and which is mainly due to the increased influx of refugees and asylum seekers. The Ministry of Justice and the Ministry of Local Affairs assesses measures that can make routines more efficient and contribute to faster treatment, where one looks at bottlenecks, where one looks at how one can reduce the unproductive time to which the representative of Bjørnstad referred. There are also questions in this context about achieving the objective we have of exempting the police from the task of questioning, which is also a major part of the overall procedure. We will come back to concrete measures when this has been properly assessed, but I can therefore confirm that these are issues that we are most seriously looking at and that we want to do something about.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1153	No more people have asked for the floor on case No. 3rd@item: inlistbox [[Footing, see page 349]]
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1161	The President will take note of the fact that the time set by the Rules of Procedure is soon over. However, the President will propose that the meeting continue until the current map has been completed and will be deemed to have been adopted. The odelsting shall vote in case No. 1-3.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1212	The title of the law and the law will be the subject of a vote.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1219	The legislative decision will be sent to the Saving Decision.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1226	In the course of the debate, nine proposals have been put forward. It's: proposal No 1, by Odd Eriksen on behalf of the Labour Party and Socialist Left Party proposal No. 2-4, by Torbjørn Andersen on behalf of the Progress Party and Right-wing proposal No. 5, by Torbjørn Andersen on behalf of the Progress Party proposal No. 6, by Sverre J. Hoddevik on behalf of the Right-wing Proposal No. 7 and 8, by Karin Andersen, on behalf of the Socialist Left Party, proposal No. 9, by Olaf Gedrem on behalf of the Municipal Committee Proposal No. 1-8 is included in the setting, while proposal No. 9 is distributed in the hall. The President first adopts the proposal No. 1 and 7. Proposal No. 1 sounds: ‘The decision asks the Government to come back with proposals to ensure the legal right to influence of the trusted resident representatives. ‘... Proposal No. 7 sounds: ‘The Government asks the Government to design a transitional arrangement for the increase in rent for persons who, in the event of a change in the law, occupy dwellings covered by Chapter II of the Husleiegesetz [[‘the strict regulation’]] Proposal No. 1 and 7 shall be sent to the Stortinget in accordance with the fourth paragraph of Section 30 of the Commercial Order. The President will propose that the remaining minority proposals, the smallest fractions first, and then the setting be contested. But proposal No. 9 will be plotted with the setting. – No objections have been received, and this is what will be done. First, there will be a vote on proposal No. 8, from the Socialist Left Party. The proposal reads as follows:
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1288	Proposal No. 6 from the right. The proposal reads as follows:
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1330	Proposal No. 5, from the Progress Party. The proposal reads as follows:
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1371	Proposal No. 2, 3 and 4, from the Progress Party and the Right. Proposal No. 2 sounds:
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1970	The progress party has announced that they will vote against it.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e1990	This is where the Progress Party and the Right will notify you that they will go counter-clockwise.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e2108	The second sentence of the fifth paragraph is preceded by a proposal, paragraph. 9. from the Committee, presented by Mr Gedrem. The proposal reads as follows:
ParlaMint-NO_1999-03-04-lower.ana.ud2401e2129	The second sentence of the fifth paragraph of the Committee's recommendation shall be replaced by the proposal of the Committee.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e2174	This is where the Progress Party will notify you that they will oppose it.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e2432	Here the Progress Party has notified that they will vote against the third sentence of the first paragraph. It's going to be gravitational over this point first.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e2445	So the remainder of the joint and the sentence in section 9-8 is going to be confused.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e2589	Here the Socialist Left Party has warned that they will go against it.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e2708	This is where the Progress Party will notify you that they will oppose it.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e2834	In the case of § 13-3, second paragraph, no. 1, the Progress Party goes against § 273 new No. Eight.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e2983	When applicable to No. 3, the Socialist Left Party opposes the repeal of § 14, 15, 16 and 17.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e2992	The recommendation from the Committee to the other paragraphs of paragraph 1 is then rejected. 3 and No 4 up to and including Nos. Eight.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3000	The title of the law and the law will be the subject of a vote.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3007	The legislative decision will be sent to the Saving Decision.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3013	Five proposals have been put forward during the debate. It's: proposal No 1, by Ane Sofie Timberås on behalf of the Workers' Party, proposal No. 2, by Jan Simonsen on behalf of the Progress Party and Right-wing Proposal No. 3, by Jan Simonsen on behalf of the Progress Party, proposals No. 4 and 5, from Ågot Valle on behalf of the Socialist Left Party. The President first adopts proposal No. 5th@item: inlistbox The proposal reads as follows: ‘In order to improve the legal certainty of asylum seekers, the Stortinget Government asks the Government to consider establishing a centre of expertise on the effects of torture, as well as on the treatment of trauma and injury caused by torture. ‘... This proposal will be sent to Stortinget in accordance with the fourth paragraph of Section 30 of the Rules of Procedure.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3058	Here there is an aberrant proposal, No. 4, from the Socialist Left Party. The proposal reads as follows: ‘Law of 24 June 1988 No 64 on the access of non-residents to the kingdom and their residence here is amended as follows: the third paragraph of Section 5 is replaced by the following: If it is not specified directly by law, the King shall determine the duties and powers of the various public bodies under the law. ‘... The progress party and the Right have announced that they will vote against it. The proposal of the Socialist Left Party will be put to the vote first, then the recommendation of the Committee.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3149	The progress party and the Right have announced that they will vote against it.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3198	The party of progress has notified that they will oppose it.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3224	The third paragraph of Section 17 contains an aberrant proposal, i.e. no. 1, from the Workers' Party. The right has notice that they are opposed to both the proposal and the recommendation of the committee. The recommendation from the Committee shall be rejected for the purposes of the second paragraph of Section 17.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3235	In the case of the third paragraph of Section 17, the President will first allow the recommendation of the Committee to be put to the vote and, if the recommendation of the Committee falls, the proposal of the Labour Party shall be put to the vote. – No objections have been received, and this is what will be done. The recommendation from the Committee to the third paragraph of Section 17 shall be rejected. The Labour Party, the Progress Party, the Right Party and the Socialist Left Party have warned that they will go against it.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3250	A vote will be taken on the motion by the Working Party. The proposal reads as follows: ‘Law of 24 June 1988 No 64 on the access of foreigners to the kingdom and their residence here, the third paragraph of Section 17 shall be replaced by the following: ‘... The President has understood that the Socialist Left supports the proposal.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3260	Honored President! An explanation of vote.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3267	Mr Sofie Mermås has the floor for an explanation of vote.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3270	I would, of course, recommend that the representatives of the Labour Party vote in favour of our own proposal, but that was not why I asked for the floor. I just want to clarify to those who were a little confused that we took the setting up first and let it fall, before we took up the proposal. Of course, the usual thing is to take up the proposal first, and then it falls, and then we go to the setting. But here, unfortunately, there has been a technical defect when we wrote the setting. So despite the fact that the Workers' Party was the largest fraction and our proposal was to be part of the vote, it was promoted as a proposal instead. Now I hear the president says it's only SV that recommends his group to vote in favour of the proposal. It amazes me, because the proposal for the Workers' Party is identical to the proposal, except for the proposal that was put to the vote and that has now fallen. So this means that if the government parties now vote against the Workers' Party's proposal, it will be the old legal text that gets a majority, and that's not what the proposition promoted. It was...
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3275	The President will recall that there was an explanation of the voice Ane Tömerås asked for the floor.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3278	Yes, it was – and that explanation is that if this proposal from the Workers' Party falls, it is the old legal text that will apply, and that is not what is recommended in the proposal.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3283	Ane Tömerås has been given a chance to give an explanation of the voice. We're going to keep up the voting. A vote will be taken on the motion by the Labour Party.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3415	The party of progress has warned that they are heading towards the lower-case letter e, while the Labour Party and the Socialist Left Party are heading towards the lower-case letter g. It's going to be a little bit over the lower case of e.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3428	So we're going to have a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3438	The other letters in the first paragraph of Section 27 and the second paragraph are rejected.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3517	The Progress Party and the Right have warned that they're going to the third term, the second sentence. And then we're going to add up this point right over here.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3530	The other paragraphs and sentences of Section 29 are then worded.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3673	The Socialist Left Party has warned that they go against § 37, first and third paragraphs, § 37, second paragraph, and § 37, paragraph 37, paragraph (b). These paragraphs and joints are the first to be argued over.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3684	The other sections of § 37 and 37a are contested.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3798	The Progress Party and the Right have warned that they are going against it. But before we go to voting on the recommendation, the President will vote on proposal No. 4, from the Socialist Left Party, to § 38 and § 41. The proposal reads as follows:
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3853	So it's going to be over the recommendation. So the step-by-step and the right-hand side have a warning that they're going against it.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3868	Here the Labour Party and the Socialist Left Party have warned that they are opposed.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3939	The party of progress and the right goes towards the ninth and tenth terms, while the Socialist Left Party goes towards the second term, the fourth paragraph, the second and third sentences, and the fifth paragraph, the second sentence. Paragraph 41, second paragraph, second and third sentences and the fifth paragraph, second sentence are first contested;
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3950	The other sections and the sentences of Section 41 are then contested from the first to the eighth paragraphs.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e3958	So it's going to be over the 41st and 10th paragraphs. This is where the Progress Party and the Right will notify you that they will oppose it.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e4223	There are two different proposals, proposal No. 3, from the Progress Party, to the first paragraph, and proposal No. 2, from the Progress Party and the Right, to the fifth paragraph, second sentence. Paragraph 58, first paragraph, first paragraph - alternatively, between the setting and proposal No. 3, from the Progress Party. The proposal reads as follows: ‘Law of 24 June 1988 No 64 on the admission of non-residents to the State and their residence here, the first paragraph of Section 58 shall be replaced by the following:Foreigners covered by the EEA Agreement may be expelled where public policy, public security or public health so warrants. ‘...
ParlaMint-NO_1999-03-04-lower.ana.ud2401e4241	Paragraph 58, fifth paragraph, second sentence – alternatively, between the setting and proposal No. 2, from the Progress Party and the Right. The proposal reads as follows: ‘Law of 24 June 1988 No 64 on the access of foreigners to the kingdom and their residence here, the second sentence of the fifth paragraph of Section 58 shall be replaced by the following:The prohibition on entry may be made permanent or limited in time, but not for a period of less than two years. ‘...
ParlaMint-NO_1999-03-04-lower.ana.ud2401e4257	So the rest of the joints and the sentences of Section 58 are getting wetter.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e4311	The title of the law and the law will be the subject of a vote.
