ParlaMint-NO_1999-11-24.ana.ud542e27	The representative, Fridtjof Frank Gundersen, will make a private proposal.
ParlaMint-NO_1999-11-24.ana.ud542e1485	The President will state that the default time for posts is exceeded.
ParlaMint-NO_1999-11-24.ana.ud542e1496	This question lapses,
ParlaMint-NO_1999-11-24.ana.ud542e1502	I allow myself to ask the Minister for Health the following questions: ‘In the Pulse program on NRK Monday 15 November 1999, it was claimed that the Nordics have a blood pressure lowering medicine for a billion dollars this year, without these drugs having any particularly documented effects. The medicines are essentially blue prescription medicines and thus paid by all of us. What can the Council of State do to get a practice that is more in line with knowledge-based medicine?’
ParlaMint-NO_1999-11-24.ana.ud542e1511	There is hardly any other area in the medicine where more large controlled studies have been conducted than in the field of blood pressure treatment. This is probably due to two factors: firstly, that cardiovascular disease is the most common cause of death in our part of the world, and secondly, that industry has seen the economic potential of drug prevention. However, there is disagreement in the professional community as to when blood pressure treatment should be started, how much blood pressure should be lowered, and which medicines should be used. Regardless of professional choices at these points, many people have to be treated over several years before one of them takes advantage of the drugs. The main difference is enough that professionals have different opinions about how important it is to achieve this effect and whether the benefits are in relation to costs. About one third of the medicines prescribed on blue prescription in Norway are medicines in the field of cardiovascular diseases. The largest group is blood pressure medicine. We have a prescription policy that differs from the other Nordic countries by Norwegian doctors printing more expensive drugs than Swedish and Danish doctors, but in smaller quantities. Blood pressure treatment is mainly in general practice. The Norwegian Society of General Medicine – NSAM – has been the leader in the Norwegian professional community in developing guidelines for the treatment of blood pressure in general practice. They have, with state support, developed guidelines in cooperation with Folkehelsa, Norsk Medisinaldepot, the State Health Studies and the Institute for Pharmacotherapy. In addition, the State Health Authority has an ongoing dialogue with representatives of both primary and specialist health services in order to reach, if possible, common national guidelines for general medical and specialist health services. It is important to work to ensure that healthcare is based on the most up-to-date knowledge possible. Folkehalsa is an important actor in international cochrane cooperation that summarises knowledge about the effects of all types of healthcare. The Centre for Medical Methodology Assessment at SINTEF-Unimed also produces knowledge summaries. Public health is working to make it easier for health professionals, decision-makers and the public to get access to and use reliable health information. The Ministry has therefore recently initiated a project on Folkehelsa to support general practitioners in a rational prescription. The search will focus on blood pressure medications and cholesterol lowering drugs — two drug groups that constitute significant Community expenditure items. In cooperation with general practitioners, the obstacles to knowledge-based practice will be described. Identifying such obstacles is possible, it is possible to address them and develop tailor-made assistance to general practitioners, who account for most of the prescribed volume, and to patients. In the context of this project, it will be considered to renew national guidelines for such prescriptions in cooperation between Folkehelsa and NSAM. I have a good hope that this review of current guidelines and the development of a new and better form of dissemination of knowledge-based guidelines will lead to a more rational prescription of medicinal products. The project is comprehensive. It will cover the whole next year and could be completed in 2001. I want to orientate the Storting as the project approaches a conclusion.
ParlaMint-NO_1999-11-24.ana.ud542e1530	I am very pleased that the Department has addressed this issue, both in terms of information/knowledge for health professionals and a review of the guidelines to be followed in order to obtain more rational prescriptions. But we know that, fortunately, we have research that gives us more and more effective medicines, unless side effects. We notice here in the house – the council and his department probably notice it too – an increasingly strong pressure to get these new drugs into the blue prescription system. I guess that's good. But what about all the drugs that are already in the system? How can a person get the new medicines that are better and more effective, and get out the medicines that have less effect? This has something to do with spending the public money on what's best for those who need it, even in medicine. So my question is, will one also have a review of this to get routines on it?
ParlaMint-NO_1999-11-24.ana.ud542e1539	The representative of Vihovde is quite right that there is a significantly greater interest in getting medicines into the bladder prescription system than in getting them out, and the means of getting medicines into the bladder prescription system are becoming more and more insightful. In my work on medical questions, I have come to the conclusion that there is a need for a review of the entire pharmaceutical administration. These are the organisational aspects, but also the criteria for admission to the BIP. We are therefore working on such a review, including criteria for admission and the question of when to withdraw medicinal products from the scheme. Let me add that part of the problem is probably solved by itself, in the sense that when new and better medicines come into the system, the turnover of the older and worse drugs will naturally decrease significantly.
ParlaMint-NO_1999-11-24.ana.ud542e1551	I will allow myself to ask the Minister for the Environment the following questions: ‘In response on 25 June 1999 to my written question No. 357 [[1998-99]] How can the Council of State claim that this is not the case, and why has it been manipulated with dates in relation to that time of signature?’
ParlaMint-NO_1999-11-24.ana.ud542e1560	The representative of Rasmussen asked me in June a written question as to why, in a letter dated 27 April 1999, the Ministry informed me that the agreement ‘Memorandum of Understanding – RENC Joint Venture’, MoU, had not been signed when it was subsequently found that the agreement had been signed on 31 December 1998. The Memorandum of Understanding – RENC Joint Venture has been concluded between the Staten Kartverk and the British Maritime Cartwork, the United Kingdom Hydrographic Office, on behalf of its departments. These agencies had for a long time held negotiations with a view to cooperating jointly to run a European Maritime Map Centre. The plans were that this centre should be in operation in Stavanger from 1 January 1999. Therefore, the State Chart and the British Maritime Cartagena Agency dated the agreement for themselves on 31 December 1998. The Ministry carried out a comprehensive assessment of the acceptability of the terms of the agreement, including the collection of opinions from other departments and clarifications both from the Swedish Cartel Office and from the UK Maritime Cartel Office. Not until 27 April 1999 did the Ministry agree to the conclusion of the agreement. The MOU was not to be considered to be signed with definitive effect before the department's agreement was reached. Where the Ministry declares that the contract has not been signed, it will in such a case mean that the department's agreement to conclude the contract is not available. This opinion could have been clarified that the Norwegian and British Maritime Charts Agency had signed a cooperation agreement, but that the Ministry had not agreed to the conclusion of the agreement at that time. In my written reply to the representative, Rasmussen, I referred to the chart editor's statement as to why and how this had been done. It follows that the department has not provided incorrect information or has been manipulated with dates.
ParlaMint-NO_1999-11-24.ana.ud542e1573	When I repeat the question about the formation of ECC AS/PRIMAR, it is because it is of great importance to existing companies that are already in the market, and it is a state monopoly situation. That's the background for this. The Council of State now said in its reply what she could have actually said in June in the written answer, that one should perhaps clarify the actual fact, that there was an agreement, but that it had not yet been approved by the ministry. So there I feel that the Council of State is making a long way to admit it. The council said that this was in the department's response of 27 April, but four times earlier there was also a response on behalf of the Swedish Maritime Cartry, which said the same thing. What I want to ask the Council of State is: Should not the correct thing have been that one in June had clearly said in the answer – then one had avoided a new question – that the agreement was signed, but that a wait for an approval from the Ministry of the Environment?
ParlaMint-NO_1999-11-24.ana.ud542e1582	I do not overlook the fact that something more elegant could have been formulated in this case. It could be said that the agreement was signed, but it was not signed until the department approved it. I want to stress that it doesn't mean that you've given wrong information or manipulated it with numbers. Standard procedures have been followed for when an agreement is considered to be signed. At the same time, I fully agree with the representative that it is important to provide correct information on this matter, because it is of great importance for existing activities. It has therefore also been important for the Government to clarify in the agreement, and not least in the mandate for the establishment of this cooperation, that this should not compete with existing private enterprises such as, inter alia, sells map information in detail. It has been important for us to prevent a state monopoly from competing with private operators.
ParlaMint-NO_1999-11-24.ana.ud542e1589	The answer from the Council of State now tempts me to go further on the matter, whether there is no competition between what is now formed and existing private enterprises. But it has to be for another reason. What also surprises me is that it is said that there has been no change. When the agreement was first released, it was a date, 31 December 1998. But then the Environment Minister wrote in his reply in June that the actual date of signature was 27 January 1999. At best, this is manipulation with dates. My question will then be: Is it common for one in the Ministry of the Environment, and to the extent in the Government, when an agreement with foreign partners can immediately change the date of signature, as has been done in this case?
ParlaMint-NO_1999-11-24.ana.ud542e1596	I'll again strongly distance myself from the fact that it's manipulated with dates. The ministry here has done is to deal with common contract law principles, both in the ministry and in the underlying agencies. I believe it was right for the Ministry of the Environment to use the four months used to approve the wording of the agreement. It was important to have a survey of questions such as: the consequences of the transition from management companies to limited liability companies, from the Ministry of the Environment to the Ministry of Economic Affairs and Trade, the way in which English concepts were to be understood, the organisational consequences and the economic consequences. Having said that, I hope and believe that we can at least meet in the joy of getting this kind of establishment in Norway. There is no doubt that this is a field where we needed European cooperation, and I am proud and happy that we got our head office to Norway.
ParlaMint-NO_1999-11-24.ana.ud542e1608	I will ask the Minister for the Environment the following question: ‘Gården Haughesjen in the municipality of Fromande in Aust-Agder has, as a result of the escalation of the coniferous forest protection, been bound approximately. 25 pst. of the productive forest areas. If such a substantial part of the property is permanently protected, this would greatly impair the operational basis of the farm. The case has had a maximum degree of conflict as the owner is strongly opposed to the holding being deprived of important areas. [[1994-95]] In St.meld. No In addition, 40 states that ‘some areas are out of date due to them. the high degree of conflict»; Shouldn't this be followed?'
ParlaMint-NO_1999-11-24.ana.ud542e1617	I would like to start by stressing that in planning processes under the Nature Conservation Act, the aim is always to minimise conflicts with landowners and other user interests before final protective decisions are taken. This applies both to the protection of coniferous forests and to the protection of other natural habitats. Therefore, the planning process prior to the conservation decisions under the Nature Conservation Act is very extensive through both local and central consultation rounds. The protection proposals promoted in relation to the protection plan for coniferous forests are also addressed in the Regional and Central Barcoque Committee, where the parent organisations are represented. In all protection planning processes, I am concerned that landowners and other local user interests are involved as early as possible, so that any conflicts can be identified and tried out early in the process. Conflicts between protection and other user interests are primarily attempted by adjusting the protection proposal through amended demarcation and through the design of the protection regulations. In St.meld. No 40 for 1994-95, the notification of coniferous forest protection, changes in husbandry are mentioned as possible mitigation measures. Nevertheless, in some areas the degree of conflict may be so high that there is no need for protection. Through the notification of the coniferous forest protection, it was decided to extend the protection of the coniferous forests. The farm Haughey is located within the proposed Haugheysknipen nature reserve, which is one of the proposed sites in the so-called phase 2 of the protection plan coniferous forest of eastern Norway. The plan is expected to be sent to local consultations during the year. The local consultation will take place beyond spring 2000, with consultation deadline early in the summer of next year. The plan will be thoroughly addressed through the local and later the central consultation. In addition, it is dealt with in the regional and central choice of coniferous forests. I am aware that the proposed Haugshjeknipen nature reserve is highly priority in the protection context of the county, while there are forestry interests in the area. I am also aware that work is already in progress to try to bring about a change of model in order to resolve these conflicts. This I think is positive. Before I get the matter dealt with in the department, I can't decide how to resolve any remaining conflicts. However, I would like to ensure that for this area, too, a careful balance is made between protection and forestry interests before any final protection decision is taken by the King in the Council of State.
ParlaMint-NO_1999-11-24.ana.ud542e1628	I thank the Council of State for the answer. I choose to interpret it there until after all there is a hope that the reason will prevail in this case at the end. But if the authorities were to choose to marginalise the very life base of one of the few large farms in the municipality of Fromand, which has its entire existence on a one-sided basis based on forestry, it would be a real scandal that no politician or bureaucrat in that country can be aware of having been involved. For the sake of this case, not only is the fundamental private property right dramatic, but it is also brutally alienated from the government's own national political ambitions by threatening to destroy the nutrient base and the settlement in District Norway. Does not the Council of State clearly see both the regional aspects, the commercial and property aspects as well as the human aspects of this matter? Does she not see it as such heavy arguments against protective interference that the Council of State can state directly that this matter is to be followed with particular care?
ParlaMint-NO_1999-11-24.ana.ud542e1637	I fully share the representative's goal that reason will prevail in this matter, but it may be that we have a somewhat different scale. As I said, I will not go into this matter concretely and conclude with something from Storting's pulpit. It is that this plan will be sent to the hearing, and the consultation will go beyond spring 2000. Among the things that could be relevant is adjusting the limits and the level of protection through regulations. In this case, as in other matters I work with, I want to put great emphasis on working in a way that mitigates the conflicts as much as possible.
ParlaMint-NO_1999-11-24.ana.ud542e1644	In my time here at Stortinget, I have used this pulpit in the Questionnaire in order to take up a whole range of different things for that little man out there. However, this is one of the worst things I have ever done. In this case, the authorities have never notified landowners of investigations, nor have the authorities assessed whether there are equivalent areas or state grounds to protect instead, nor do the authorities appear to have taken into account that the Landfill Communication states that areas with a minimum degree of conflict should be selected. Nor is there any rainforest proposed here. There are areas of plantations and restocking that have been in systematic forestry for the past 70 years. This matter is so important both for those who are involved and also in principle, that I would suggest that the ministry and the government council, even as the prominent stateswoman she is, should consider in their own person to take the trip to Haugseek Farm on the Southland in order to take a closer look at this enterprising and incomprehensible case.
ParlaMint-NO_1999-11-24.ana.ud542e1649	There is no doubt that, among other things. protective matters in a number of contexts may create major conflicts. That's also why this government has been working systematically over the last two years to improve procedures and ensure that we work in a way that creates as little conflict as possible. That means that we've tried to tighten up the requirements for people to get clarification as soon as possible, that means that we've intensified the ownership of the property to get it alerted and be able to participate in the inspection, and that means in some contexts we're trying to run parallel processes under the law of nature protection and the law of planning and building, which ensures local participation early in the process. All of this is important to me. As part of the anti-conflict measures, we are also trying to meet people where it is desirable. And if we're invited there, of course we'll come.
ParlaMint-NO_1999-11-24.ana.ud542e1659	I will ask the Minister for the Environment the following questions: ‘Five weeks ago, a wolf was killed in Svinndal, Eastfold. This wolf was to be retested because more professionals believe that the wolf family in the area is hybrid. If this is true, the wolf shall be killed. Why is this work not yet started?’
ParlaMint-NO_1999-11-24.ana.ud542e1668	In the past, there have been questions about mixed wolf and dog animals in Norway. Among other things, this was addressed in the Questionnaire on 21 October 1998. After the first question was raised, the Ministry immediately took the initiative to further develop genetic methods that can be used to determine whether such mixed animals actually occur. The Directorate for Nature Management has followed up the matter on behalf of the Ministry and the development of methods is well under way. Samples of wolves from previous times and from today's population are routinely sent to a genetic laboratory in Sweden. This was also done when an animal was hit and killed in Eastfold recently. The college in Hedmark later stated in a report to the Directorate of Nature Management that they suspect that the puppy coal to which it was applied could be a mixture of wolf and dog. The Directorate has therefore worked to analyse this animal as quickly as possible, except for the already established analytical plan. The Directorate expects the results of the analysis to be available in January. It is not desirable to have a mixture of wolf and dog in Norwegian fauna. I have previously stated that if we can certainly say that there are such animals in Norway, I will put in place the necessary measures to remove them. The Directorate for Nature Management has therefore launched the planning of measures to follow-up the puppies in question in Eastfold. Among other things, Norway’s veterinary high school is commissioned to prepare for the individualisation of the animals in this wolf group, so that the puppies can be followed up to the time when a decision can be made as to what will happen next.
ParlaMint-NO_1999-11-24.ana.ud542e1675	I thank the Minister for the answer. It is not correct that the tests for genetic testing were carried out as quickly as possible. It took five weeks before there was a clarification between those who were going to do this and the Directorate of Nature Management. It was also about who would pay the bill. I believe that the Minister for the Environment must take on board the fact that this has become a serious matter of urgency. The damage done by the wolf in the area west of Glomma, and especially in the Municipality of Skiptvet, is very great. Therefore, the expectation of this genetic testing was very great, because if it turned out that these were hybrids, the problem was solved. I would therefore like to ask the Minister for the Environment if she agrees that the damage done in the area does not really matter to the Minister for the Environment when this matter has not been brought to normal progress.
ParlaMint-NO_1999-11-24.ana.ud542e1686	I can assure the representative that damage caused by wolves in this area and others is one of the things that currently occupies the Environment Minister most. If you go in the media, you might see that there's also some of the things that I'm currently spending the most time on. I agree that this is a serious matter that is urgent, and I have therefore checked with the Directorate for Nature Management whether there are any misunderstandings. It does not after the information I have received. The matter is dealt with as soon as possible. But it is unfortunately such that it is not done in a few days, among other things. because it is necessary to compare with the available genetic material of the Scandinavian wolf strain in order to determine with certainty whether it is a wolf or not.
ParlaMint-NO_1999-11-24.ana.ud542e1693	Once again, I thank the Council of State for the answer. Radiolabelling must take place before the wolf seeks new territories, and it is going to happen quite quickly. Therefore, it is very important that you now have a device and can start this radio marking immediately. I don't feel sure that it could happen, because if it gets so that this wolf disappears, you won't be able to find it back. Nor can it be desirable for the Minister for the Environment to have a wolf trunk that is used to harvesting sheep and cows, and to stay close to houses and densely built strips. That's what's now happening in this area. At the same time, enough people feel that nothing is happening on the part of the authorities, and therefore I will ask the Minister for the Environment finally: is the Minister for the Environment now interested in addressing the problems of the people there, so that they feel that this is something they can live with?
ParlaMint-NO_1999-11-24.ana.ud542e1702	I am still prepared to take the question seriously. I would like to stress that this is one of the things I'm actually doing most of the time, and it's also that I've put great emphasis on, either myself or represented by my State Secretary, meeting as many of those who are plagued by these problems. That is also why my State Secretary, together with the Director of the Directorate for Nature Management, was at a meeting in the area last night. At the same time, I can assure the representative that the Veterinary College has already been commissioned to prepare radiolabelling of these animals, and we have a common interest in having this done as quickly as possible, because it is also important for the Minister of Environmental Protection to have these animals shot if it turns out that it is not pure wolves.
ParlaMint-NO_1999-11-24.ana.ud542e1709	Question 25 has already been answered.
ParlaMint-NO_1999-11-24.ana.ud542e1722	This issue is postponed to the next Question Time, when the Council of State has left.
ParlaMint-NO_1999-11-24.ana.ud542e1728	‘Aftenposten 14 November 1999 describes how Norsk Tipping AS is developing new gambling that is targeted at younger classes of the year to a greater extent than today. Gambling is a serious problem, and the Stortinget has on several occasions expressed the desire to take measures to protect children and young people against aggressive gambling. Does the Council of State believe that the new games under development in Norwegian Typing AS are in line with the signals the Storting has given in this area?’
ParlaMint-NO_1999-11-24.ana.ud542e1735	In a look-up in the Evening Post on 14 November this year, with NTB as a source, it emerged, among other things. that today's users of the Norwegian Typing game are getting older. The average age of players is well above the average age of the population for most of the company's games. There are already hundreds of international games available to Norwegians via the Internet today. This is an estimated 100 million for the country. gambler’s crowns per game. years, funds that should also benefit Norwegian society. In view of the fact that younger people use the Internet more than older people, younger people are likely to use more internationally available games. Norwegian Typing investigates the possibility that the company will be able to put its current games on the digital market channels of the future, such as the Internet, interactive digital TV, etc. Let me stress that these preparations do not include plans for the launch of new games. I also added that the government has not taken a decision on whether to allow the use of these new market channels. The article mentioned in the Evening Post gives, after what has been explained by Norwegian Typing, a distorted picture of the company's work on renewing its playing concept. The aim of the company’s preparations is to meet the players of the future effectively and to prevent the disappearance of gambling sales from the country. In any case, Norwegian Typing Commission Network, with nearly 4,000 commissioners, will also be central to providing players with personal service in the future. The company has underlined to the Ministry that in the future we will not focus our game concept on children and young people, and that the company will continue to pay great attention to the sober and non-constant marketing of its games. I will already have a meeting with Norsk Tipping on 2 December, and then I will deal with this matter with them, so that there is no doubt about the department's position on marketing to children and young people.
ParlaMint-NO_1999-11-24.ana.ud542e1750	I thank the Council of State for the answer, it was reassuring. I would nevertheless be allowed to point out that the Norwegian Gallup Institute, in cooperation with the Psychiatric Institute in Trondheim, on behalf of Norwegian Lottery, has carried out a survey of children and young people's game passions related to entertainment games on TV, video and data. The study concludes that as many as 4,450 young people have serious gambling problems, even without the possibility of money gain. And it's these kids who are the next generation of games. Does the Minister of Culture not see the danger of the state’s gambling developing new methods of gambling designed to hit this youth group, which basically has a serious problem related to gambling addiction? In the context of the transition to digital television and the opportunities it provides for interactive communication, the Culture Committee has been concerned that the development of new opportunities for communication must also be concerned with putting in place barriers to the prevention of increased gambling problems affecting the population. Does the council share my opinion that the creation of more aggressive interactive games should last until the Storting has dealt with the issue and given signals as to what we will allow by state game forms?
ParlaMint-NO_1999-11-24.ana.ud542e1763	As I explained in my first answer, Norsk Typing is not expected to introduce new games based on the new technology available. The government is definitely busy with the problem of game madness. We have studies that show that this with gambling addiction affects 1-2 pst. by the population. It is worth noting in this regard that gambling addiction among young people is as closely related to entertainment as gambling. But despite the fact that gambling addiction mainly occurs in forms of games other than those represented by Norsk Typing, Norsk Typing also takes this problem seriously and contributes, among other things. with financial support for research in this field.
ParlaMint-NO_1999-11-24.ana.ud542e1768	Now we go back to the questions 5, 6 and 7.
ParlaMint-NO_1999-11-24.ana.ud542e1774	I allow myself to ask the following questions to the Minister for Fisheries: ‘For a number of years, several fishermen from North Norway, including a fishing skipper from Tromsø, have arranged for the stock management of fish to be incorrect, and they have too far predicted the stock situation we are currently facing. The fishermen claim that it is completely wrong to set the quotas in tonnes and not in individuals. Furthermore, they claim that the only solution to today’s population problem is to shut down the growing-up areas. Do the Governments agree to this, and what, if any, is done by the Ministry of Fisheries to evaluate the management systems?’
ParlaMint-NO_1999-11-24.ana.ud542e1783	There is no fundamental difference between allowances granted in the number of individuals and allowances granted in tonnes. An allowance in tonnes is calculated from a fish stock basis. An allowance in the number of individuals was also likely to have to be expressed in expected catch weight, as the quota is to be allocated between parties with different access to large and small fish. In the case of the problem of discarding small fish, the motivation for such behaviour will be increased if only the number of countries are set off against the quota. Today's cod regulations are aiming at the long way to shutting down growing areas. A monitoring programme for fishing grounds, with the opening and closing of fields, closes areas with high incorporation of small fish for long periods. The programme covers both the coast, the Barents Sea and the fishing protection zone of Svalbard. However, this is a long-term measure that only takes effect when the fish we have protected in this way has grown up and contributed to the development of the stock and are ready for fish. We expect this to produce further effects in the future in terms of the protection of fish below minimum targets and thus contribute to the reconstruction of populations. The Ministry of Fisheries is constantly seeking to evaluate the management systems in order to improve them. In particular, experience from previous years’ fishing is one of the elements used in establishing new provisions on participation in and the exercise of fishing activities. In this context, I would also like to refer to the work undertaken by the Ministry of Fisheries in setting up a plan to ensure that the regulations laid down are followed up in practical fisheries. The Norwegian Fisheries Team will now, in cooperation with the National Association of Fisheries and the Fisheries Authorities, initiate a conference in which the search light will focus on the relationship between the different forms of regulation and the problems of control that arise.
ParlaMint-NO_1999-11-24.ana.ud542e1796	I thank the Council of State for the answer. In my question I have referred to the concern that fishermen have long signaled. In autumn 1996, fisherman Håkon Jensen wrote a reading article in the magazine Nordlys, highlighting the high quotas for 1997 and what this means in individual procurement. He traces in the same post that the total quota of cod for this reason can be dramatically reduced from the year 2000, as we now see. Many fishermen now express great concern that the set cod quota is too high. Can we risk creating an insurmountable problem now by not going enough new paths in the management of fish and at the same time taking up the signals of fishermen in a more thorough way?
ParlaMint-NO_1999-11-24.ana.ud542e1805	As I said in my post, ensuring the growth of the young fish is one of the most important administrative measures we have today, with the decoupling of significant areas of the Barents Sea and the Svalbard Zone. In the spring also large parts of the Finnmark coast within the fishing boundary were blocked for operations with spin-throats. It shows that this question is being taken seriously. I'm familiar with the fact that there are different plays coming from the fishermen. Switching to administration in the number of individuals relative to weight has been evaluated. There are recordings that have been made over many years. However, the result of the evaluation is that there will actually be a lower management regime, especially because it provides a basis for even more discards of small fish. The fishermen sell all the fish according to weight, and that is what will be crucial for the response that will be in the fields.
ParlaMint-NO_1999-11-24.ana.ud542e1815	I have the following questions for the Minister for Fisheries: ‘Norway has again submitted proposals to CITES for the listing of wave options. The proposal shall be examined at the COP meeting in Nairobi in March next year. The listing will allow international trade in qualifying products accepted by all CITES countries. The industry is concerned with a positive result, but the result may well be a no to list. If there were to be a yes to listing, then the State Council would open up for export, and how do the State Councils view the situation if there is a refusal to list?’»
ParlaMint-NO_1999-11-24.ana.ud542e1824	Let me first say that CITES stands for the Convention on International Trade in Endangered Species of Animals and Plants. The purpose of the Convention is to protect endangered animals and plants. This is done by regulating trade and the private import and export of such species. Species covered by the Convention are listed in three different lists. List I covers the most endangered species and implies that trade is prohibited in practice. Today, wave whales are on list I – despite the fact that the populations of wave whales in our areas are clearly not threatened by extinction. At the CITES meeting in 1997, Norway received broad support, including: a simple majority of its proposal to authorise trade in wafer products. Unfortunately, we did not get the required 2/3 majority for the removal of wave whales from the list of endangered species. Norway has now sent a new and further revised proposal to CITES to transfer the populations of North-East Atlantic and Central Atlantic wave whales from List I to List II. The matter shall be dealt with at the forthcoming meeting of the Parties in Kenya 10. April 20, 2000. The Norwegian list proposal is justified by the fact that the biological criteria for keeping these two species on List I are not met. The research carried out, among others: within the Scientific Committee of the Whaling Commission, it is clear that there is no basis for keeping list I wavy whales. As for the situation if there were to be a yes to listing, and if I would then open up for export, I would say that this is precisely what the Norwegian authorities are working for. The most important thing now is that we work on a broad front and in different contexts to create understanding and support for the Norwegian list. As far as the proposal is concerned, we have focused on achieving a positive result for Norwegian whaling industry. Regardless of the outcome of the CITES meeting, this is a situation that we must then decide on regarding Norwegian exports. Of course, it will be crucial whether there are markets that are open to imports of wavy products. But the situation needs to be discussed more closely.
ParlaMint-NO_1999-11-24.ana.ud542e1839	I thank you for your answer. But I am not satisfied, because there was no clear signal that it would be opened for export if we got a yes. The answer was that it would be the status quo if the answer were yes or no. CITES also stands for two more words that the Council of State did not mention. CITES stands for the conservation of flora and fauna. The Council of State said that what is on list I is, in fact, forbidden to act with. It shall not be prohibited to trade with the countries which have made reservations under the conventions applicable to CITES. Trade with non-CITES countries is not prohibited, nor is it prohibited to trade with other countries that have also reserved. Norway has reserved, and we have a full right to trade. So the question is equally unanswered. When we get a yes to CITES, if we do, are we going to open up for export? I would like an answer to that question. If we get a pass in CITES, would the department say yes?
ParlaMint-NO_1999-11-24.ana.ud542e1848	In response to the representative, Mr Bastesen, I would like to say that there is a normal administrative procedure and that a political decision assesses any situation on the day on which the decision is to be taken, and not months in advance says what the decision will be, no matter what the situation may be. What I said in my answer was that the work we're doing now, and the purpose of reopening the matter in CITES, is just to get to a normal management of the wave wave wave, so that we can have a normal, allowed opening for export.
ParlaMint-NO_1999-11-24.ana.ud542e1853	I thank you again for the answer. I note that the Government and the Ministry are more restrictive in their positions than CITES should be. I figured it would be a natural consequence if CITES said yes, that the Norwegian government would also say yes. But that's not the case. I have another question that I think is even more important, but has not been so much affected. The countries around CITES – especially from our big friend on the west side with the long hat and beard – are working hard to get fish on the list of endangered species. I would like to ask the question: What is done by Norway to prevent fish from coming on the same list as torment?
ParlaMint-NO_1999-11-24.ana.ud542e1862	This is a new question, it is not in the main question that has been asked, but I will try to answer it. It is every democratic country's right in a democratic organization to address matters. What will be the position on the Norwegian side is to take a decision on the issues raised in CITES, and to have a say in them. Something else I can't say here and now, but if fish were to come within CITES' field of work, I can't see that in our areas there would be fish species that would in that case be the basis for taking up and getting listed in CITES.
ParlaMint-NO_1999-11-24.ana.ud542e1879	I have another question for the Minister for Fisheries: ‘The cod quota of the year has again been dramatically reduced from its peak level a few years ago. There are still allegations about catch data errors, quantities delivered and hidden taxation so that the models the researchers use do not work. It is now necessary to set up an independent group to investigate this problem, instead of now, only concentrate efforts on investigating alleged illegalities. Will the Council of State take the initiative to set up such an independent research group to address the problem?’
ParlaMint-NO_1999-11-24.ana.ud542e1888	Firstly, I would like to inform you that the total quota for Norwegian Arctic cod for the year 2000 is now set at 390,000 tonnes. In addition, 40 000 tonnes of Norwegian coastal cod are added. The Norwegian share will be 193 400 tonnes for the following year, compared with 236 500 tonnes for the current year. Sense of this means a significant reduction, this is much less dramatic than if we had used the option that would have brought the spawning stock up to the level of commodity already in 2001, giving a total catch of 110 000 tonnes next year. Marine research faces major challenges related to the sustainable management of marine resources. The Government, in its 1999 revised national budget, has allocated funds to launch a pre-project for the construction of a new marine research vessel. There are funds in the next year's budget for the start-up of the construction of that ship. A new and top-notch modern vessel with the improvement of its research tool will have a major impact on future marine research. A planning group with participation from the Marine Research Institute, the University of Oslo and the University of Bergen presented this April a report entitled ‘How to improve the estimation and production of fish stocks’. These include: outlined measures to reduce uncertainty and sources of error in catch data and sampling data. This is aimed at generating fishing opportunities independent of official catch statistics. Participation by the Institute for the Exploration of the Sea, the Coast Guard, the Swedish Control Agency, the sales teams and the expertise in statistical surveys has been proposed. Cod in the Barents Sea has a high priority in these plans. An earmarked appropriation for the State budget shall include, inter alia: cover parts of this. Whatever tools we need, we have to be willing to think about new things in relation to marine research. It may be that the marine research community can draw further impetus for its work from other disciplines and from what has been developed by methods and approaches in other areas of society. Seas if marine scientists today have significant cooperation and contact networks both nationally and internationally, further cooperation with other disciplines can be useful to develop the technology and methodology of resource research. In other contexts, we have seen how a critical opposition has driven research in the future, such as: within the IWC Scientific Committee. Perhaps we can use these experiences in a positive way in relation to marine research, seas about the complexity of fishing on the cod stock, which means that it is not comparable to the wave wave. In order to trigger such an opportunity, the Institute of Marine Research has established it before that project, and the possibilities for researchers to go deeper into the problem will be limited by both financial and human resources. In the case of claims that efforts today only concentrate on the investigation of alleged illegalities, this is not correct. Prior to the establishment of the rules governing the practice of fishing, extensive cooperation with the industry is sought to identify regulatory forms which are consistent with practical fishing as far as possible. I would also like to refer here, as in my answer to question 5 from the representative of Arnesen, to the cooperation between the authorities and the fishing industry with the planning of a separate conference such as this. shall focus on compliance with established regulations and control of the practice of fishing. But it will always be that regulations will intervene in the free exercise of fishing. The lower the quotas, the greater the intervention in the fish will feel.
ParlaMint-NO_1999-11-24.ana.ud542e1901	I thank the Council of State for the answer. I record that the cod quota was considerably higher than feared after the negotiations with Russia. When the recommendation was 110 000 tonnes starting from ICES, there is basically enough answer as to what the Council of State said on my previous question, namely that he could not see that there were some species that could be on the list of endangered species in CITES. Well, that's what we can just stand up to when it comes to the cod. With such uncertain stock estimates and such great fluctuations from one year to the next, something dramatic has to be done to find out what's going on. That is why I have outlined a solution in my question. I'm aware that the researchers are doing the best they can, but we're facing a dramatic situation as we don't know for sure what they're doing. When delivery data is used, it is not useful to build a new research vessel.
