ParlaMint-NO_1999-10-20.ana.ud802e27	The called alternate of the Nordland County, Lisbeth Holand, has taken the seat.
ParlaMint-NO_1999-10-20.ana.ud802e1349	I thank the Council of State for your answer. Councils of State, etc. said to Fatherland's friend on 9 October, ‘On the day of competence, I will recognise HiA as a university’. Furthermore, he said, ‘If the university is willing to concentrate and cultivate peak skills in a few more areas, it will certainly be a university.’ What's interesting about the answer is that at this point in time, that is, today, it's not clear what the Mjøs selection means about the question of multiple universities in Norway. That's why we're asking this question: we're going to be able to find out if the Council of State, at the forefront of the Mjøs selection, has defined the university scope and put the list for this. I assume that about the same requirements for competence and width will apply to other higher education institutions that want to become a university.
ParlaMint-NO_1999-10-20.ana.ud802e1363	What I said, and I'm of course firm about, is that when it comes to this, we're going to have a process. At the same time, I have expressed what I want to see as a natural development. So when it comes to those schools that, on a professional basis, are able to get there, that in several, possibly three, areas, they want to have top skills up to a doctorate, I think it's quite unnatural that we don't go the same way that one has done in Sweden, where they actually approve on a narrower basis. The three institutions that have developed this farthest today are the High Sphere of Stavanger, the High Sphere of Agder and the High Sphere of Bodø. Of course, the criterion here must be non-discrimination. It is the professional and not the geography or the name to determine this. I therefore refer to what the bodies I referred to have already said, and look forward to the Mjøs selection's setting. What I have expressed is my view of the future.
ParlaMint-NO_1999-10-20.ana.ud802e1372	I also thank you for this answer, but at the same time see that the Council of State's vision can have some impact. In the same interview, the Council of State also says – and there is a slightly interesting angle to this – that he believes that ‘power money must be injected into a competence fund the sooner the better, than banks and other businesses must know their visitation time. HiA needs external financial assistance, but must also develop in a targeted way.’ It seems that the Council of State here suggests that it would be possible for universities to be brought forward by the fact that the public authorities are assisted by private interests, that one region can jointly help raise a high school, so that this is not just about public funds. Would the Council of State now add more private funding to the polls in order for them to come up in terms of competence, or should there still be a state responsibility? In what direction does the Council of State see developments taking place in the higher education and university sector in Norway?
ParlaMint-NO_1999-10-20.ana.ud802e1381	Historically, a region has always been busy with infrastructure. The most important infrastructure into a new thousand years will be knowledge and competence; it will be the quality of the training provided. I can take that as an example. The highlight of Stavanger and the region where a competence fund has long been invested. There have also been several other regions. I think it's important to have a cooperative in a region. Both the public in the region, such as power plants, and others, of course, have full access to entering and postponing such a development. International sees a exactly the same trend. That's what's happening. That's why I have a little bit of a dogmatic relationship with this. I'll also go in the future to have a central government responsibility for right-wing education, both for universities and colleges, but there must be much more interaction between the public and the private.
ParlaMint-NO_1999-10-20.ana.ud802e1389	Also this question, from the representative Inge Wohnning to the Minister for Church, Education and Research, will be raised by the representative Petter Løvik.
ParlaMint-NO_1999-10-20.ana.ud802e1392	I allow myself to ask the following questions to the Minister for the Church, Education and Research: ‘The availability of fully qualified secondary school teachers is very difficult. Will the State Council take the initiative to facilitate adult education institutions, such as the National University, to launch decentralised provision of practical education in collaboration with universities/high schools?’
ParlaMint-NO_1999-10-20.ana.ud802e1401	Questions about access to qualified learners in further training will be taken up and discussed in the Storing Message on the recruitment of the teacher profession, which I will shortly submit to Stortinget. Practical and pedagogical education is a provision of education at most state universities and at all universities. In 1998 and 1999, the offer of permanent or temporary study provision in practical and educational education was extended to seven governmental or scientific colleges that had not already been offered. As a result, national absorption capacity has increased. In 1999, Hausten developed additional two of the institutions practical and educational training with elements of distance learning. The provision of distance learning facilitates access to such training. Adult education institutions may involve themselves in such education through a right-hand degree, in cooperation with universities and higher education institutions. Applications for such offers will be examined by state education offices in the counties in consultation with colleges and universities. When assessing such applications, one shall include: address the needs of the region. It is natural to give priority to specific training needs which are not covered by higher education institutions and universities. As you can see, I would like to address this kind of question in the upcoming paper on the recruitment of the teacher profession. So, in recent times, we have established practical and educational education in several institutions, thus increasing the overall supply. In addition, several of the offerings made more flexible. I'm busy making access to practical education as easy as possible, and I'd like to see adult training organisations join with universities and colleges to realize plans for decentralised provision where this is natural and desirable.
ParlaMint-NO_1999-10-20.ana.ud802e1412	I thank the Council of State for your answer. I am of course completely in agreement with what was said that this belongs at home in the big message about recruitment that will soon be submitted. I'm not going to go into it, because that time has been discussed several times. What is the background to the question in this context is that we have places where there are people who are interested in getting practical education and who have a professional basis from the past, but who especially because of the distance have problems getting to places where this is possible. We've seen that especially in North Norway with long distances, this is a problem, and we know specifically that the People's University has had problems getting to the necessary cooperation. I wonder if there are concrete measures that can be taken to facilitate and improve communication and cooperation between universities and the University of People's Rights in these areas, because this is a matter that I think it is very important to move on with.
ParlaMint-NO_1999-10-20.ana.ud802e1423	What was well the conclusion in my first answer was that I would like to see such cooperation begin where it is needed, and where it is natural with such a scheme. It is quite obvious that decentralised education, both within health and elsewhere, is a very good way of recruiting for stable and sustainable recruitment. As I said, I am coming back to this, and I am therefore in favour of what the representative's intention is to pay his question, presented by the representative Løvik.
ParlaMint-NO_1999-10-20.ana.ud802e1433	: I would like to ask the Minister for Church, Education and Research the following questions: ‘The report ‘Money slaves with Norwegian diploma’ shows that foreign students who have returned to their country of origin after completing their right-hand education in Norway have not been converted into scholarships but are in possession of a debt note to the State Treasury for Education. [[Tromsø, April 1999]] The basis of the report is students from Ghana. The students went under the old U-country paragraph before the introduction of the new quota system. Will the Council of State give up the loans?’
ParlaMint-NO_1999-10-20.ana.ud802e1442	: Before the 1994-95 academic year, students from developing countries could receive support from the Staten Lending Fund for Education under the so-called u-country paragraph of the regulations of the Loan Fund. Loans were granted on the same terms as to other students. All borrowers had to sign a note of credit, including the following: contained information on the repayment of the debt. It has not been given its own indications of the cancellation of loans granted under the U-country paragraph. These students are covered by the same rules as all other students. This also implies that the payment facilities for social and economic reasons are indebted to them. For example, it will. say that those who have very low income in full-time work will be entitled to an interest-free and deferred payment if they inform the Loan Fund about this. The system of cancellation of student loans for students from developing countries was introduced by the quota system from the 1994-95 academic year. To give up the loan, the student has to return to his home country and stay there permanently. For students staying in Norway, the same rules apply as for other borrowers in the Loan Fund. There is also a rule that the surrender decision may be lifted if the student again busted himself in Norway before 10 years after the debt was repaid. I see clearly that there is a problem that the loan fund does not have the right to write off the debts of students who have received support under the U-country paragraph and who have resided permanently in the home country. I would like to assess whether it is possible to get a similar debt forgiveness scheme for students with support under the u-country paragraph that we have for the allowance students. In that case, such a depreciation scheme must be attached as a leak in the budget management. I have therefore asked the Loan Fund to calculate the total debt of students from developing countries who have returned and settled permanently in their home country. When these numbers are mentioned, I will decide how to proceed with this matter.
ParlaMint-NO_1999-10-20.ana.ud802e1453	I thank you for the answer, which I am also reasonably satisfied with. I think it is good that an initiative has now been taken to clean up these situations. This applies to a limited group of students, and it's a group that doesn't grow. Rather on the contrary, it's a group that gets smaller gradually, so we should be able to clean up this relationship. The actual situation for many of these students is that they have debt certificates, and they get debt collection requirements. There is a system of debt collection requirements for these students, and it is quite unreasonable when these employees – they are no longer students – have a wage that is so low that they have no chance of paying. I am therefore pleased that a work has been started in order to clean up this relationship. But I wish the Council of State could be quite clear that this is unreasonable as it works today, and that he can already signal clearly that we need to clean this up. We need to clear these loans in a fair and proper way, so that these employees do not have to have these collection requirements at regular intervals.
ParlaMint-NO_1999-10-20.ana.ud802e1462	When I was made aware of this matter, I thought that there should be some privacy here in order to do what the representative Rikvam now wants. Turns out it wasn't. Therefore, a work needs to be done. My intention is quite clear the same as the representative of Rikhams, but I have to get an overview of the dimensions and in what way one can handle them. The goal I'm working on is that we should come to the Great Britain as soon as possible with a proposal that allows us to change this slightly meaningless system of sending demands to people who don't have the ability to meet their demands at all.
ParlaMint-NO_1999-10-20.ana.ud802e1469	I am pleased that the Council of State will come back to Stortinget with this. I hope that it can already happen in the autumn, as an additional matter to the State budget. That must be the goal. I would like the Council of State to confirm that the goal is that he will return to this in the autumn, because it must be reasonably easy to get an overview of these peoples. It's going to count pretty quickly how many there are, and then you can also figure out how many loans they have. So you can figure out how much this costs, and then you can come back again pretty quickly. This is not more difficult. I would therefore like to ask the Council of State to confirm that he is able, that he believes he is able, to come back to this during the autumn, so that we can clean it up.
ParlaMint-NO_1999-10-20.ana.ud802e1476	State Council Jon Lilletun – for confirmation.
ParlaMint-NO_1999-10-20.ana.ud802e1479	I record that the representative Reikvam every time he is up in the pulpit and comments on the answer, is reasonably well pleased, but he would like to go a step further, and then the Council of State actually has to meet it and say that my intention is that we should be able to get back to this in the fall. But I also hope that the representative Reikvam has respect for the fact that this could be something more complex than what the representative Reikvam now expressed. But my intention is the same as the intention of the representative of Rikvam.
ParlaMint-NO_1999-10-20.ana.ud802e1494	This question has been withdrawn.
ParlaMint-NO_1999-10-20.ana.ud802e1501	I would like to ask the Minister for Transport the following questions: ‘Through the media, it has become known that Tormod Hermansen will receive a salary of 7 million. SEK in the new Norwegian-Swedish telecommunications company. Does the Council of State think that there is any reasonableness in this, and what will he do to prevent the televisor from getting a salary 10 times higher than the Prime Minister?’
ParlaMint-NO_1999-10-20.ana.ud802e1510	Yesterday, Tormod Hermansen's salary was set by the Board of Directors of the merged Telia-Telenor at 5 million. kr plus any bonus. The remuneration is determined on the basis that the position involves the responsibility of a large international company. I do not think it is right to comment on the board's decision in addition to this.
ParlaMint-NO_1999-10-20.ana.ud802e1517	I understand that the Minister of Transport has the same perception of how a government should operate as the Prime Minister said earlier today, namely that they should live their own lives, regardless of who actually owns them. That means that if the board had determined that Hermansen's salary would not be 5 million. NOK plus bonus, which is up to $7 million. NOK 10, 15 or 20 million. kr, the Minister of Transport would have said the same thing: this is not really our table, there is a mandate for the board that makes it the board to handle it, despite the fact that this is a state company with bonds to the Norwegian state with a pay level that is miles above what they have that has the most responsible positions in Norwegian society, including the director of Statoil, the Norwegian Prime Minister, and even the Minister of Transport, who I will assume has a far greater responsibility than that of the head of a company under his department. That's why I have to be allowed to repeat my question: Is it really the style of the new central government that you're going to wash your hands when a government makes a hairdressing decision, and you don't want to intervene?
ParlaMint-NO_1999-10-20.ana.ud802e1524	Now I'm going to admit that I haven't heard the Prime Minister's answer before today, but I expect that we're in line with this as well. I'm willing to admit that the answer to Øystein Djupedal was something different designed yesterday than it is today. Today, the decision on the board is history. This does not mean that the Council of State wants to enter into the internal assessment of this international company and make wage adjustments, but the Council of State is fully aware that the level of pay also has an infectious effect in international companies in the Nordic region. That means that I take note of the signals in the representative of Djupedal to look at the total salary level – and now we have to say – in the Nordic region.
ParlaMint-NO_1999-10-20.ana.ud802e1531	I have to admit that this gives a very dark perspective. If it really is to be such that a responsible State Council does not want and cannot intervene against decisions in a company under his own department, which makes decisions that are – and most will think – quite hairy, and which involve a salary level so far above what is the usual decent salary level in Norway, what are the prospects for us? This really means that once we've given up Telenor and it's become a Nordic telecommunications company, we have no impact whatsoever on any of the decisions made on the board. That means that if the board says they're going to assign all of the new units, business areas, to Sweden or anywhere else, but not to Norway, the Minister of Transport will say that this is a responsible government that has adopted, we have no intervention, and we don't want to intervene either. It fully confirms the point, that we have now also given away an important instrument of infrastructure policy in Norway, telecommunications policy, and we have a Minister of Transport and a government who will sit and look at those kind of hair-driving decisions and then their hands and say that this is the responsibility of the board of directors, I am the responsible Council of State, but I do not care about it. We're not going to have that kind of ministry. I hope that the minister, when he comes back to his payroll chamber, thinks about the consequences this may have for his position.
ParlaMint-NO_1999-10-20.ana.ud802e1538	The councils have never washed their hands, and will not do so in the future either. He will enter into the processes inherent in a general meeting, attached to a council of states in this context, but has great respect for the tasks and assessments of the board. In this specific case, I would also like to point out that we do not go into the new company with blank sheets. We go into the company with a story, a story that lies both in the Norwegian Telenor and in the Swedish Telia, also in the pay field. But that doesn't mean – and I repeat: it doesn't mean – that we're not going to follow developments closely from the owner's side. But now we're going through a process where the state shares in Norway and Sweden are to be part-privatised, so that private actors also get into the owner's side. That development will also give response in the new board, I think, in a few years.
ParlaMint-NO_1999-10-20.ana.ud802e1548	I have a question for the Social Minister: ‘In the case of a child’s disease, each parent is entitled to 10 days of care. In many cases, for practical and economic reasons, it is impossible for one to take out its 10 days, such as fishermen and North Sea workers. In practice, this means that many children lose the right to half of these days of care. Will the Council of State consider whether, in cases referred to above, the right to transfer care days from one parent to the other may be open?’»
ParlaMint-NO_1999-10-20.ana.ud802e1557	Under the current rules, a worker who is caring for children has the right to care from the employer if he or she is away from work because of the necessary supervision and care of a sick child at home or in a health institution or because the person with the daily child care is ill. This right shall be valid until the calendar year in which the child reaches the age of 12. For a chronically ill or disabled child, the right shall apply until the age of 18 years. The employee is entitled to care allowance for up to 10 social benefits days for each calendar year. If he or she cares for more than two children, care allowance will be given for up to 15 days of benefit. If the employee has a chronically ill or disabled child, he or she may be entitled to care allowance for up to 20 days. When the employee is alone for care, the number of days of benefits is increased to a double. 20, 30 or 40. The employee is considered to have sole care for a child even in cases where the other parent over a long period of time is unable to supervise the child because he or she is disabled, enrolled in a health institution, etc. When an employer has paid the employee care allowance for more than 10 social benefits days in a calendar year, the employer may require reimbursement from the social security for the number of social benefits days greater than 10. Many workers are in such a working situation that it is practically difficult and impossible for anyone to make use of the right to free from the employer’s care allowance. For each employee, it would probably be practical if the other parent could be given extended courses in such cases. In practice, this would mean that the person was given the rights as a sole dependant. But when people's protection laws only open up such a position in exceptional cases, it is based on the fact that in such an assessment there are more concerns to be taken. An extension of the circuit that is entitled to care allowance as a single care provider would, among other things, include: have had an impact on the employers of the person group concerned in terms of production losses, etc. due to increased absences. Such a scheme would also have economic consequences for the population, since the employer, as mentioned earlier, may be refunded for the number of social benefits in excess of 10. Last, but not least let me also point out that it would be practically difficult to limit the cases that would receive such extended dishes. In the context of the increase in the number of social benefits days for single carers as far back as 1978, the Ministry of Local Affairs and Employment suggested that one should look at actual conditions more than formal, and that the rule, for example, should be more formal. should include dependants with spouses at sea, dependants with widowers or travelling spouses, or fish with long absences. The Ministry of Social Affairs thought that it would be very difficult to limit the right to benefits if one were to use such an understanding. So one came to realize that in a special case, even if the caregivers were two caregivers, in the cases that I've done the right thing for the introduction. It is problematic to grant special rights to specific professional groups. I would like to take a closer look at the rules that apply today. The question will include: fishes easily. Let me draw attention to the fact that many fishermen are considered self-employed. Today, self-employed people do not have the right to care money. Therefore, an extension for fishermen also had to have consequences for other operators.
ParlaMint-NO_1999-10-20.ana.ud802e1569	I thank the Council of State for the answer. Although it wasn't very optimistic and full of many problems, there was some hint of understanding the problem. Clearly, what she outlined in terms of demarcation may be a problem. But I don't understand that there's going to be such a big problem, the fishermen are, after all, all registered in the social security register on page B, so there's no problem finding out who they are. Nor would it be difficult to find in the system for North Sea workers and people who work away, so I don't understand that it's going to be so hard to figure this out and get into a system. It's impossible to look after kids when you're up at Svalbard and you're beaming shrimp or you're working on a platform. I hope that the Council of State does not spend too many years assessing whether to get a system. I'm looking forward to this happening quickly.
ParlaMint-NO_1999-10-20.ana.ud802e1576	I believe that the representative Bastesen has every reason to look with optimism at the answer he received today. For me, it's necessary to point to the countermeasures here in relation to an extension. But in spite of that, I want – based on today's professional life and the practical difficulties that this can be for the individual family in relation to a sick child – to take a closer look at the rules we have today. In it is also that I am impatient to look at the scheme and come up with an assessment.
ParlaMint-NO_1999-10-20.ana.ud802e1581	I thank you again for the answer, and I feel that we have a dialogue going on. I just want the Council of State to bring this on the road in terms of what she said about the fishermen being self-employed: it is right that the fishermen should be characterised as self-employed, but we pay something called a product fee, which is equivalent to an employer's fee. In addition, each fisherman pays social security contributions in the same way as all other taxpayers, and that is why we also receive sick pay from the first day, so in social security we are treated as ordinary employees. In this way, it is not quite right when we are to be compared with the self-employed. The only thing we don't have, like other people, is normal unemployment benefits, but we're socially equal to ordinary employees. So there's no point in opposing a plan.
ParlaMint-NO_1999-10-20.ana.ud802e1588	Let me just emphasize that these are different ratios that have to be weighed out. It is both practical and economic, and it is the concern of other groups. But I got a question about whether I want to assess whether it can be opened for the right to transfer care days. I know this is something that not least the fishermen's women's organization have been busy with, and I'm going to sit down so that this assessment gets a quick treatment. It's a difficult, but important question the representative Bastesen has raised here.
ParlaMint-NO_1999-10-20.ana.ud802e1598	I allow myself to ask the following questions to the Minister for Social Affairs: ‘A woman with a disease course from 1990 has finally received a pension through a procedure involving repeated attempts at resettlement, applications for disability pension, refusals and new resettlement measures. However, the basis for the social security payment is set for the 1998 income year. Why do some such cases take so long, and why does the calculation base decrease when the cause of the lower income is long treatment time, and that the applicant at this time has low income due to his disease?’»
ParlaMint-NO_1999-10-20.ana.ud802e1607	When it comes to the specific matter, I don't have enough information to assess whether a woman in this case has got the right performance within a reasonable time. I would therefore like to give a general mention of the legislation in this area. It is a condition for entitlement to a disability pension that the ability to carry out income-giving work is permanently reduced by at least half due to illness, injury or lye. In the assessment of the level of income bias or the level of disability, the income possibilities of any work which may be carried out at the time of disability shall be compared to the income possibilities of the person concerned before the disease, injury or lye occurred. There is a requirement in the promise that the appropriate reintroduction should have been tried before the disability pension can be paid. This is necessary to assess whether or not the work environment has been permanently reduced and to try out all the possibilities for continuing the work. It is not unusual for a replay to extend for several years. After what I understand, the reintroduction in this case has not taken place, and the woman is finally granted a disability pension. Unearned pension is known as a basic and supplementary pension. An additional pension will be calculated on the basis of the actual projected pension points and future pension points credited from the year in which a person is permanently reduced by at least half. This is called the failure time. The default is determining the amount of the pension you receive. This is particularly true because a calculation of future pension points is based on this. A future point value is calculated after the highest of two options: either the average of the pension funds for the last three years before the return on income was reduced, or the average of the pension funds relating to them has been reduced for half of all the years since the year in question reached the age of 17 and even the year before the return on income was reduced. The years with the highest scores will then be added. However, if the revenue gap in the recovery measures is still permanently reduced, the default date may be set to the year before the re-testing was carried out. The condition then is that the person concerned was at least 50 pst. perform the re-entry test. Future pension points will then be calculated from the year before they were reinstated. In the present case, the default date is 1998. Only from this point on has the social security office assessed her working capacity to be down by 50 pst. or more. I notice that if a woman does not agree with this decision, she may appeal to the Social Security Court. According to the current rules, rehabilitation and refurbishment are not included in the calculation base for pensionable income. This is something the Government has requested to do. In Ot.prp. No Therefore, 48 for 1998-99, the Government proposes that rehabilitation and refurbishment funds be retiring income. The beneficiaries will thus be able to obtain better entitlement to pension benefits if the proposal receives a majority in the Stortinget.
ParlaMint-NO_1999-10-20.ana.ud802e1633	I thank you for your answer, which was a review of the current rules. I would also like to mention to the Minister for Social Affairs that I have read what is in the word for people who are long-term ill, that is. have permanently reduced working capacity, which is not eligible for disability benefit for initial health reasons. It's the way they get a client career, and for many of them it'll mean sick reporting, treatment, rehabilitation, rehabilitation, some work and new health reports. The vicious circle is going on. Different social welfare schemes are lower than wages, so the client often becomes a social client. In addition, disease incurs costs that one has to pay seas, e.g. part of the balance and also part of the costs of other necessary medicinal products. I would like to ask the Minister of Social Affairs whether, in order to be set a time of inadequacy, it is actually necessary to go the way of justice. And does the Minister of Social Affairs think that a client with permanent illnesses, and after repeated social security visits that are gradually uncomfortable, has the strength and the money to set such a device in motion?
ParlaMint-NO_1999-10-20.ana.ud802e1642	Let me first point out that the Government wants the time we are talking about here as a starting point for dealing with this matter to be as short as possible, and in recent years, the Social Security Agency itself has focused on this in particular. The process is running low. Secondly, we want to try out new schemes so that more people have more possibilities to work in a job. That is why we propose both wage increases, municipal communication and lower disability rates and attempts to do so. But in addition, I would like to agree with the representative of Reidun Gravdahl that the passage and time usage in this matter did not seem to be reasonable. But I can't go into a matter I don't know.
ParlaMint-NO_1999-10-20.ana.ud802e1649	I thank you for the answer on this with salary subsidies, municipal communication and trials. These are good measures, but if you are ill and too sick to work, that doesn't help. Then one in any case will go back to a medical report all the time. We have to accept that someone is actually so sick that they're going to have a disability, and it's possible that someone might be tried too much before they actually get to know it. We have also heard from labour market companies that they get clients who are actually not fit to be there at all, but really should just be on disability pension. The problem for these clients is: Where are they finally going to go? They feel that they are being bothered about going to the social security office, they finally feel that they are not getting any support or help and really don't know their poor advice. So then the question is, Where should clients address themselves in such cases?
ParlaMint-NO_1999-10-20.ana.ud802e1656	In accordance with today's legislation, the social security office shall provide advice and guidance. This is, of course, a cooperation between the individual patient concerned, the doctor and the social security office. In a disability pension case, it is often appropriate to try to recover before a disability pension can be accepted. This may extend over several years, it may be relapse, and there may yet be a change in medical condition, which in turn requires waiting time, etc. Our aim is that both the social office, the social security office and the employment office should work better together on the individual, in cooperation with the individual and the doctor, and not least get more involved in active health care notifications, so that contact with the workplace in question can be maintained for a period of illness.
ParlaMint-NO_1999-10-20.ana.ud802e1671	This question has been withdrawn.
ParlaMint-NO_1999-10-20.ana.ud802e1677	I have the following questions for the Minister of Health: ‘According to the World Health Organisation’s requirements for the radiation of cancer patients, Norway is able to meet approximately. 50 pst. of these. We are the worst country in Western Europe in this field. Cancer treatment is currently a field of government and expansion, and according to the National Cancer Plan, an extension from today’s 22 jet engines to 36 in 2003 has been adopted. Will we then be up-to-date with the World Health Organisation with its requirements for the radiation of cancer patients?’
ParlaMint-NO_1999-10-20.ana.ud802e1684	The World Health Organization, WHO, has estimated that 50 pst. all cancer patients need radiation treatment during the disease period. The United States and Sweden have also come up with similar figures. In an investigation carried out in 1993, the Health Directorate’s 2-93 investigation series: Radiation therapy in Norway, a need is considered to be around 40 pst. all cancer patients must receive radiation therapy. The underlying assessments are purely medical. The reason why the need for radiation treatment is estimated to be slightly lower than that identified by the WHO and the Swedish and US studies is related to treatment traditions. According to the Health Inspectorate’s investigation, there is a need for 36 jet engines in 2000. IN NOW 1997: 20 «Care and knowledge! Norwegian cancer plan’ is proposed to extend at least 10 jet engines to reach a reasonable level, and this needs to be supplemented by a further five to 10 machines by 2010 in order to follow up the increase in the number of new cancer cases that we know will occur. In the national cancer plan, 1999-2003, an extension from today’s 22 machines to 36 machines has been adopted during the planning period. In the light of the plans in the regions, the Ministry has assumed an average increase in capacity by three machines per year. years during the period. During the period following the treatment of the cancer plan by the Storting in spring 1998, the indications for radiation treatment have increased. The development of mammography screening and thoracic surgical cancer treatment are examples of this. The plans from the health regions have also subsequently shown an overall need for more machinery than the agreed framework of 36 machines. The aim is to fully finance a third jet engine and a third bunker at Ullevål Hospital by the end of 2003 so that Ullevål Hospital has six jet engines at the end of the cancer plan. This involves a machine in addition to the 36 in the cancer plan. This is explained in more detail in the St.prp. No 1 for 1999-2000. In addition, the Ministry will keep under review the development of needs in the light of what I have explained here, and report it to the Stortinget in the annual budgets.
ParlaMint-NO_1999-10-20.ana.ud802e1697	I thank you for the answer, and I am convinced that the Council of State Høybråten and I have the same interest in getting this done. What scares me a little, however, is the situation at Haukeland Hospital, where state health surveillance twice during the spring – it was probably in March and in the summer – had charged the lack of radiation capacity there. They said right away that people are dying in the queue waiting for these jet engines to come into service. Does the Minister of Health have any special plan for Haukeland Hospital? Is Haukeland a special case, or is this a case that reflects the situation elsewhere in the country?
ParlaMint-NO_1999-10-20.ana.ud802e1704	It lies in the escalation plan that Stortinget has adopted, and it is also the basis of my own and the representative Johnsen's strong commitment to this matter, a clear recognition that the capacity today is below what we can be aware of. That is why people who have had a fatal cancer diagnosis actually have to wait before they can start a lifesaving treatment. In such a situation, there should not have been any real waiting time at all. The State Health Authority, through the county doctors, has this issue under supervision, and has dealt with the impositions and warnings of impositions in a few specific cases that I know of. Haukeland Hospital, as the representative Johnsen mentioned, is one of those cases. I would say that it is alarming that the situation is this way, but it is reassuring that we have supervisory authorities that are actually monitoring this, and that are imposing when they see that the situation warrants it, as in the case of Haukeland. There is no general situation as described here, but this has also occurred in other regional hospitals.
ParlaMint-NO_1999-10-20.ana.ud802e1718	I thank you again for the answer, and I think what the minister said was reassuring. However, I have a question that goes directly into the situation as it is now. For a long time, at least in Bergen and possibly elsewhere in the country, radiation has been too low for cancer patients. When you are in arrears, and even though you have now put this on the agenda to get ahead of it, and although there is agreement in the Stortinget that we should get this sorted out, at least I believe that there may have to be something more to do. Does the Minister see any possibility of providing further plans in the national health plan, when we know how cancer patients perceive the situation today?
ParlaMint-NO_1999-10-20.ana.ud802e1725	As it will probably be known to the representative Johnsen, there is a relatively long time between the initial plans for the deployment of a radiation processing unit and its deployment. A planning and implementation period of at least two years is expected. This means that the extension of the machinery already planned is not straightforward. On the other hand, the Government will review the entire needs situation and it is announced in St.prp. No 1st@item: We'll come back next year's government budget with such an assessment of needs, and then we'll have to decide what consequences have to be drawn.
ParlaMint-NO_1999-10-20.ana.ud802e1733	‘The use of natural gas could result in the construction of gas ferries and other means of transport, thereby giving important tasks to the shipbuilding and supply industries. What is the stance of the Council of State on the use of national and environmentally friendly natural gas, which is particularly reflected in the Nature Gas Road project?’»
ParlaMint-NO_1999-10-20.ana.ud802e1740	The use of natural gas in Norway is a subject discussed by the Stortinget on several occasions. In 1996, a gas spill was addressed, it is still on the table and provides an important basis for the use of gas in Norway. The most relevant use of gas for industrial and energy purposes is to be found in relation to the vicinity of the three coastal petroleum landing points. The development of infrastructure to expand the use of gas requires flexible solutions in view of the time required to build up the gas market. It is also important that the use of gas takes place in the most environmentally friendly manner possible. Both in transport and as an alternative to the combustion of oil, the use of natural gas is a very good alternative. Transport, distribution and use of natural gas should be carried out on a commercial basis. The responsibility for starting up infrastructure should therefore lie with industry, and it is also the business community that has to bear the risk of doing so. However, the authorities may provide financial support to promote investment in the gas projects themselves. However, it is important that the project proposals applying for aid are concrete, feasible and follow it up with criteria underlying the existing aid schemes. Municipalities can also facilitate the use of gas through municipal planning and in their own activities. The use of natural gas for stationary purposes has clear interfaces with other sectors, primarily the transport sector. The natural gas road project is an example of this. The project is now being assessed in several departments and in this case coordinated by the Ministry of Transport. Because the matter is being dealt with, it wouldn't be right for me to give some concrete assessments of this particular project.
ParlaMint-NO_1999-10-20.ana.ud802e1751	I would like to thank the Council of State for a good answer. I am pleased with the results of St.meld. No 44 for 1994-95, which I, as a representative, took the initiative. Gas is one of our most important national resources. It is therefore important that the State, with the oil and energy minister who is driving, take proper initiatives and provide the necessary support for environmentally friendly and economically viable uses. In many ways Norway is still in a start-up phase for the exploitation of gas resources. In my opinion, this calls for an active, initiating and coordinating role from the Minister of Oil and Energy. Would the Council have a positive and active hold for the use of natural gas? Does the Council of State think that the integration and use of natural gas in Norway is too late, or is it satisfied with the pace?
ParlaMint-NO_1999-10-20.ana.ud802e1762	As I said, in general, natural gas is a good alternative to transport, even where it comes as an alternative to oil. However, I believe that putting natural gas into use in Norway is going to take time, not least because one has a market that needs to be built from the ground up. We have no history of using natural gas either in households or in business, and we must therefore spend time building up the market. There may be different perceptions of what support is needed by the authorities. I agree that one should be able to support projects, but that should primarily be investment aid for the different projects. Businesses must also provide support by sea, as is the case with any other applicant in relation to State aid schemes.
ParlaMint-NO_1999-10-20.ana.ud802e1771	I thank the Council of State for a positive response especially when it relates to the willingness to look at investment aid for part of the infrastructure. Many of these measures depend on treatment in other departments and directorates, for example: Ministry of Transport, Ministry of Administration, Ministry of Industry and the Ministry of Environment. Will the State Council ensure that the project leading to the use of natural gas will be given priority when environmental considerations and economic considerations provide a basis for this?
ParlaMint-NO_1999-10-20.ana.ud802e1778	The project in question, as I said in my reply, is a project with border surfaces across to the transport sector, and it is today the Ministry of Transport that coordinates the enquiry that has come. There are, as the representative points out, different support schemes which can be applied for. One of them is the so-called Environment Fund, and we have the support schemes established under the Ministry of Oil and Energy in the NVE. However, for these aid schemes, there are very specific criteria, including for gas projects: one must have a good quality of the application and contribute to self-financing, in addition to the State investment aid that can be applied for.
