ParlaMint-NO_1999-06-08-lower.ana.ud224e91	The representative, Kenneth Svendsen, will make a private bill.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1239	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1242	I have particularly noticed in the post of the Right Representative, but also that of the Left Representative. The left is always saying that they're going to be in favour of administrative simplification, that's a principle that they have. That is also the view of the Progress Party. That is why we are proposing a new legislative wording in connection with a new law in this area. I have the feeling that the left in this context is not the best friend of small businesses – which they also like to try to appear like. It is precisely small companies that are hit hard by messy, crunchy and long-term proceedings. For users and small businesses, the legislation must be predictable and simple – it is our starting point. That is why I am disappointed that the Left does not agree with such a general position. Stronger poaching is necessary to get both politicians and the administration to take these problems seriously. And this is far more serious than how the representative Hove is trying to present it as, that it's just individual cases. There are too many negative cases in that way. We have to acknowledge that we have a responsibility to bring about a regulation that is simple and predictable. That is why our proposal also states: ‘If the case has not been settled within three months, the application shall be deemed to have been granted’ — that is the starting point, but an important addition in this way is — ‘unless it would be contrary to the rights of others’. Prescription helmets may be introduced and used.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1259	Several have not asked for the floor on case No. 5th@item: inlistbox [[See page 683]]
ParlaMint-NO_1999-06-08-lower.ana.ud224e1273	The proposal presented has a background in the different convergence of interest payments in the calculation of social security benefits. According to the law today, interest payments may be required on benefits received that are greater than those claimed, but one does not have the right to interest on arrears in the event of underpayment of social security. This question has been raised on several occasions, and in the context of the recommendation of the Social Security Committee in 1990, the sample considered that it should be considered that interest should also be paid to us in the event of arrears in social security benefits, as is done in some other countries. This was also the subject of an overall committee on the treatment of new public protection laws in 1997. The Committee then asked the Government to come back to Stortinget on its own matter. Later, in spite of the wording of today's provisions, the Ombudsman of the Grand Duchy of Luxembourg has raised questions of public interest, which may nevertheless be subject to a certain amount of interest. This is now for investigation in the Ministry of Justice. It shall also be pointed out that, in the light of the views of the Social Committee, the Government has set up a working group to assess these issues and, once this work has been completed, will return to Stortinget with any new legislative proposal. On this basis, a unanimous committee proposes that the motion by Mr T. Nesvik and Mr I. Alvheim be annexed to the Minutes.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1288	The reason why this Document No. The 8-proposal was made, is that there are regular cases where the Swedish National Social Security Agency has paid incorrect social security payments or has not paid anything at all. There is something wrong when you can charge interest of 0.5 pst on the public side. per 1 % the month in which benefits received in violation of fairness and good faith are recovered, see: Section 22-15, first sentence of the National Social Security Act, while, according to Sections 22-17 of the same Act, social security does not provide interest upon the payment of benefits. There is something that is completely wrong here, when, among other things, a widow, as we heard for some time ago, for 11 years did not receive her legal survivor's pension of approx. 1 000 kroner per year. months. When she finally got paid the amount she was entitled to, this had been accumulated to NOK 143 000. Of this, the public taxed NOK 60000, but she did not receive any interest on the same amount. It is a discrimination and it must be brought to an end. Interest should be introduced in the event of a post-payment of benefits from the public sector, and accordingly Sections 22 to 17 of the Swedish Social Security Act must be amended. However, when the Progress Party does not promote concrete proposals in this matter, it is because, according to the letter of the State Council of Meltveit Kleppa of 12 May this year, it refers to the fact that the Ombudsman of the Stortinge for the administration raised questions that, despite the wording of Sections 22-17, people's rights may nevertheless be considered to have a certain obligation to pay interest, and that this question is now to be clarified in the Ministry of Justice. I hope that this clarification will soon be available, and that this discrimination will now be lifted, and that it will be done in such a way that interest will be given on the afterpayment of benefits from popular security.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1305	Several have not asked for the floor on case No. 6th@item: inlistbox [[Fotation, see page 684]]
ParlaMint-NO_1999-06-08-lower.ana.ud224e1319	I would like to make a brief statement to the Right's view on this matter. The right has, in all respects, been opposed to the AFP scheme. Some of our scepticism has been due to the fact that the scheme is becoming expensive for society, and it now turns out that the scheme has become much more expensive than the parties originally expected. We want to refer to the comments from the Right in Innst. O. No 54 for 1993-94 and Innst. S. No 188 for 1992-93, where the Right was opposed to reducing the retirement age of the AFP scheme. In addition, we will show that demographic developments in Norway indicate that as much as possible should be stimulated to remain economically active for as long as possible. The present proposal is moving in the opposite direction. On that basis, the Right will vote against the Government's proposal.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1328	The President assumes that the Advance Party will also oppose this law, as stated in the vote. Several have not asked for the floor on case No. 7th@item: inlistbox [[Fotation, see page 684]]
ParlaMint-NO_1999-06-08-lower.ana.ud224e1344	At the request of the Committee on Family Affairs, Culture and the Administration, the President will propose that the debate be limited to 45 minutes and that the speaking time be allocated to the groups as follows: the working party 10 minutes, the other groups 5 minutes each. In addition, the President will propose that there be no repetitions after the individual speeches, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1351	This case is a follow-up to Storting’s consent to include EU Directive 95/47 on technical standards for TV in Norwegian law. The proposal provides for a transition to the so-called widescreen format for TV, i.e. 16:9 format, or more understandable: a transition to television that looks more like a film canvas in format. In addition, the law imposes requirements on future television receivers to enable them to receive digital broadcasts. The law also requires cable TV companies to install the necessary equipment to pass these signals on to viewers. The Committee shall adopt a unanimous opinion, which shall be in line with the Government’s proposals. However, the Committee points out that several hearing bodies have pointed out that the law has not been up-to-date in relation to technological developments. The EU Directive was adopted in 1995, and four years is a long time in this sector. The Committee therefore calls on the Government to come back with the necessary adaptations and any legislative changes in line with technological developments. The soon-to-present convergence selection will be an important highlight in this respect. The Committee also stresses that the new technology referred to in the law should be made available to as many TV viewers as possible. The issue that has caused the Committee the greatest concern is that cable TV networks with less than 10 000 active connections, or subscribers, should be exempted from the law. This means that very many viewers are not guaranteed to benefit from the changes proposed by the law if the cable TV companies do not follow up and install new technology. The Committee bases the Government's promises to follow developments closely and, at the same time, to set a lower limit through regulations when the Government considers it necessary. The Committee has noted that the Ministry does not consider it necessary to impose penalties. The justification is that legislation will affect a limited number of actors in a transparent market. The Committee endorses this, but would stress the need to follow developments closely and, where appropriate, review this in the context of the review of the law by the Ministry in the follow-up to the Convergence Committee. I would also like to add that if the Government chooses to set a lower limit of connectivity, from 10,000 to 1,000 subscribers, the number of actors will increase considerably, and therefore it would be more natural to have to consider penalties. That is to the extent that an important law we are adopting today. However, it is a law that has been out of date in some areas before its adoption. Of course, it is a cross-thinking that the process of implementing the EU Directive has taken so long that some of the technical standards explicitly mentioned in the law are already technology in the past. This also says something about the rate of change that is in this area, and the development that we are awaiting.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1372	I am pleased that the Committee unanimously endorses the proposal to adopt a separate law on technical standards for the transmission of television signals. I would just like to comment briefly on a couple of points that were also raised by the rapporteur. The Committee notes that several hearing bodies have pointed out that the law is not fully up-to-date in relation to technological developments. This is right. It is related to developments since the adoption of the Directive. Of course, we will come back with amendments when the directive is amended. But we are dealing with the directive that has now been adopted in the EU. We'll look into this when the Convergence Committee's investigation is being processed. Then we will also consider whether the law is going to enter the telecommunications law or the broadcasting law. As I pointed out in my media policy statement, we are in a field of rippling development. We must therefore be prepared to make rapid changes as progress is made. The Committee points out that the requirement of 10000 active connections can appear to be high and asks us to consider whether networks with fewer subscribers can be covered by the law. Of course, we will follow developments closely, and if necessary, we will set a lower limit in the regulation of the law.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1383	Several have not asked for the floor on case No. Eight. The president assumes that there is a need for a short break. [[Fotation, see page 684]] Things are moving too fast!
ParlaMint-NO_1999-06-08-lower.ana.ud224e1399	At the request of the Committee on Family, Cultural and Administrative Affairs, the President will propose that the debate be limited to 1 hour and 15 minutes and that speaking time be allocated to the groups as follows: Working Party 25 minutes, Progress Party 10 minutes, Christian People's Party 10 minutes, Right 10 minutes, Center Party 5 minutes, Socialist Left Party 5 minutes, Left 5 minutes and Twist Party 5 minutes. Furthermore, the President, with strong doubts, as the debaters do not appear to be present in the Chamber, will propose that there be a change of lines of up to three lines with replies from the main speakers of each group and five lines with replies from members of the Government. Furthermore, it will be suggested that those on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – This is deemed to be adopted. The President has assumed that the rapporteur is present. However, she is not. In order to proceed with the proceedings, the President will give the floor to Mr Bredvold.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1412	The Progress Party wonders what the background to this bill may be. Why does a majority in the UK want to restrict the marketing of opinions? Are not opinions on current societal issues one of the most important things we have in society, and should we not, as politicians, help to get them to our citizens in the simplest possible way? The point of view of the Progress Party in this area is quite clear. We want to help make it possible to advertise the democratic processes that are so important to society. The Progress Party sees this as a serious intervention in freedom of expression, and we cannot accept that a restriction such as this is placed on the most important process we have in society, namely the democratic process. It must be a paradox for the majority in this Chamber to be able to advertise for example. washing machines, but not for current societal issues and life views. If you want a ban on this kind of advertising, why don't you have a total ban, so that you can see some logic in the ban, and not as it is now, just have a ban in a type of media? The majority justify the prohibition, inter alia: that the strong groups in society without such a ban will have a better chance of profiling than others will. This is not a valid argument. The resource strengths, regardless of political decisions, will always have greater potential for profiling than others. That's what it is today, and that's how it will always be. The TV media today is not only reserved for the resources. It applies to all forms of advertising. If a nationwide advertising campaign is to be carried out, it will be no more expensive to do so via TV than through other forms of advertising. In addition, the advantage of the TV media comes as a very environmentally friendly way of advertising. New forms of dissemination of political messages can create a new and vital commitment to political work, which is fundamental and important in a democratic country such as Norway. The fact that some other countries have similar prohibitions is by no means a basis for Norway to have such laws. In some areas, Norway must be able to be a leading country. This case also raises some legal issues of a legal nature in relation to the Constitution § 100, the European Convention on Human Rights and the United Nations Convention on Civil and Political Rights. These are difficult and partly unresolved questions, which it is not easy for the Storting to know what a correct interpretation of is. On the other hand, for the Progress Party, it would not be surprising if this prohibition were contrary to both the Constitution § 100 and the international conventions mentioned above. When it is signaled from all sides that there is no clear answer to the questions that can be asked about this, it is a pity, in the opinion of the Progress Party, that it has not been possible to spend any longer time on the matter. For example: To carry out a consultation on these issues, Stortinget could have brought valuable ballast from an independent and highly competent expertise, e.g. the university environments, before the case was finally dealt with. Another question is why it should be allowed to advertise political messages on radio but not on television. The Progress Party cannot see that the Government or the political majority can truthfully justify this. However, the Progress Party is pleased that political advertising on radio is now being opened up and believes that this will help to open up such advertising on television as well. Radio is a very important communication channel in many communities. Local radio will therefore play an important role in the dissemination of political messages and the promotion of life views. Local television is growing in many communities and may be the most important communication channel in the future. Local television is a medium that will be well suited to political advertising, which could increase the involvement of local political processes. This must be a moment for all political parties to agree on. In local television, local political parties and organisations can get to the population with their views and create an engagement around them. Local television channels will be able to receive additional revenues with this option, which will be very important for their continued existence. The party of progress believes, although we now seem to have a ban, that it will not take long before this kind of advertising will be opened up on television as well. In this way, the ban that we are adopting here today will be only of a temporary nature. It's not like those who buy advertising on television can go ahead as they want. All advertisers must stay within reasonable limits and adhere to rules on good marketing ethics and to the laws of the injury. The legal provisions that we already have in these areas will help to keep this kind of advertising within acceptable limits, like other forms of advertising. Finally, I would like to promote the joint motion by the Progressive Party and the Right.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1431	Per Roar Bredvold has taken up the suggestion to which he referred. The next speaker is Grethe G. Fossum, who should have really started the debate. Grethe G. Fossum is the rapporteur on the matter.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1436	President! I am sorry that I was not present when the matter began. Political advertising has never been permitted in ether mediums. Before embellishment of the broadcasting monopoly, there was a general ban on advertising on radio and TV. As media developments speeded up, the issue of advertising on radio and TV was investigated by the Coolings Committee, which gave its position in 1984. I would like to stress that political and religious advertising is not the only form of advertising that is forbidden. It is not allowed to advertise weapons and toys, and advertising aimed at subconsciousness is also illegal. There are many Norwegian editors who are librarians of freedom of expression. They believe that any prohibition regulation, whether in the case of advertising or other publication, is a threat to freedom of expression. The general freedom of expression is provided for in Section 100 of the Constitution, while there are exceptions that affect freedom of expression in many other laws. It has therefore been important to appoint a broad-based freedom of expression Commission under the direction of Francis Sejerstedt. The work of this Commission is likely to be completed in 1999. I don't think it'll be a happy day for the social debate when you open the way for the ether media to show life-view advertising and political advertising. Until now, despite all the political discussions and agendas have been shaped by politicians and the media in a sort of eternal struggle. And no matter how populist – and daunting – we are on each side, it at least guarantees that the standard of the debate is rooted in a social exposure, and not in a fee. We all know that the distinction between advertising and rhetoric, between politicians and PR agents, has become more and more unclear in recent years, and many make money on just this immortality, among other things. the new media agencies. As politicians, we should always be aware that the advertising language must never take over in the public debate. The proposal that Odelstinget is dealing with today has a long history, and there are many parties in this room that have followed history carefully. Both the Central Party, the Christian People's Party and the Workers' Party have always been united to ban political advertising and life-vision advertising in the ether media. What has led the Christian People's Party and the Center Party to make a different choice, they themselves have to explain, but that they have no fundamental justification, I'm pretty sure. I therefore find it difficult that such an important issue, which concerns our whole political life, should almost be a choice that goes on the peace of the government parties with each other. What the Government proposes in the proposition is to allow advertising for life's views and political messages on radio, but to ban it on television. A number of other European countries prohibit or restrict the right to broadcast advertising of life views or political messages on radio and television. Countries with which it is easy to compare, e.g. France, Ireland, Spain and the United Kingdom have such limitations. The reason given by many of these countries is that no special group should be able to use the media to undisputedly express its opinion and, for example, to use it. by means of financial means for the purchase of advertising, preventing the objectors from coming up with a reply. It should be possible for all parties to respond to criticism, whether they have money or not. The Proposition takes on its own Section 100 of the Basic Law, on the protection of freedom of expression, and the majority of the Committee supports the Government's view, namely that a ban on advertising of life's views and political messages can be regarded as an acceptable restriction on freedom of expression, and thus does not conflict with the Basic Law § 100. As regards Article 10 of the European Convention on Human Rights and the United Nations Convention on Civil and Political Rights, Article 19, this majority agrees with the Government's conclusion that a ban does not conflict with our international obligations. The Workers' Party considers it important to prohibit advertising of life views or political messages on television. The background to the ban on advertising for life's views is that religious questions and life's views deeply affect personal feelings, and that advertising in this area can be offensive to many people, whether on TV or on radio. This will affect a number of religious communities and life-vision organisations aimed at promoting uprisings or at preaching a religious message. The term ‘political message’ covers all communications, whatever their form, which are intended to promote accession or influence. The majority of the Committee also supports the fact that State media management, which is currently overseeing the advertising rules of the Broadcasting Act and regulations that are not within the consumer area, takes over the supervision of advertising rules for life views and political messages.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1468	It's going to be line change.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1471	Political advertising and advertising of life views should therefore not be permitted in ether mediums, but this is permitted in all other media and advertising channels. Does the Workers' Party see no problem at all that this kind of advertising is allowed in newspapers, on the Internet, on large posters and in brochures that we get in the mailbox, while it should not be allowed in the ether media? How will Grethe G. Fossum characterise the Workers' Party's numerous and expensive advertising campaigns in the election campaigns – are they stupid or informative? I see that the Workers' Party, after we are now probably opening up access to at least radio advertising today, will consider buying advertising time in connection with the election campaign. How will Grethe G. Fossum deal with it – will she respond by saying that we must avoid this because it will seem daunting to the public debate, or will the Workers' Party now accept that this possibility will be opened and present high-quality, good advertising that will be informative to the Norwegian electorate? Does not Grethe G. Fossum see that it is doubtful in relation to freedom of expression to differentiate between the different types of media mentioned here? The Labour Party sees some problems with humanitarian organisations, nature protection organisations and trade unions, such as LO, shall not have access to the dissemination of their message by means of radio and television advertising? And see Grethe G. Fossum that there may be some danger to democracy and seem daunting if, for example, LO could inform about any of its views on current policy issues through the ether media?
ParlaMint-NO_1999-06-08-lower.ana.ud224e1482	It's actually so that the Workers' Party sees more than what the Right does. We see and see and take the consequence that the ether medium is a very effective medium, which actually has more weight and goes further into people's consciousness than the printed media. So to the question that I expected would come, what will happen when radio advertising is allowed. In fact, the Workers' Party opposes the cash support, but we do not prohibit our members from receiving cash support when the law comes into force. And it's actually also so that even though the Right has passed some laws, something a lot of right-wing people are doing, there's nothing corrupt about it. But the social development that Right wants, with the permission of advertising for life's views and political messages on radio and TV, we believe that we are involved in undermining the democracy we have. It will make the political debate much flatter and much less exciting than it is today.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1489	In the newspaper Our Country of 5 June 1999, University Fellow Kirre Eggen says that it is contrary to the Constitution to keep political advertising and life-vision advertising away from the television screens. He goes on to say: ‘There are no real grounds for distinguishing between radio and television. And political statements are at the heart of freedom of expression.’ How does the representative Fossum want to deal with this?
ParlaMint-NO_1999-06-08-lower.ana.ud224e1499	I have also read what the Kyrre Egg says about political advertising. It's clear that here you have different opinions about how this relates to the Constitution. What the Labour Party is doing is dealing with the assessment of this by the Ministry of Justice and the Government. If the representative of the Progress Party does not think the assessments that have been made are good enough, then he must have a different expertise. It is likely that this expertise will lie in a legal case in which one evaluates the different things, because it is not, in fact, the magnificence representatives who have to judge whether the laws are consistent or not. This is a matter where I think you have to choose which expertise you want to support, and here the Labour Party has chosen to support the Ministry of Justice and the Government in their assessment of whether this is contrary to the Constitution or not. What we've chosen to ignore is the social consequences of removing the ban that we've had so far, and the social consequences that the Progress Party really wants. And the Progress Party is probably the party that has the most money to spend just on political advertising. They may also have the political messages that are best suited to advertising, because they are short and concise and low in content. So it's maybe the Progress Party that's going to make the most out of advertising.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1506	I am happy to hear that the Workers' Party does not prohibit its members from receiving cash support, even if they were against the law. That was a useful piece of information. In the debate on cash support, the representative Fossum was very concerned that we had to have an empirical basis for what we said. The representative Fossum was constantly asking for research when we had the debate on cash support. The representative Fossum says very clearly that TV and radio are so powerful media, they have so much impact, that this would be scary. It would undermine democracy, said the representative Fossum, if we opened up political advertising and advertising of lies in these media. Then I would like to ask the following questions: What kind of research is the representative of Fossum based on? Can she refer to a research report, or maybe two, that underpins this? The Ministry also claims that this is a strong medium, and it also claims the Consumer Ombudsman, but when one goes further into the seams, no one has a report that can justify this. Is it not a cross of thought that large advertisers choose media other than television to advertise their products? Not all advertising for a product is on television. If it had been as the representative Fossum claims, that this is an overwhelming medium, of course, all advertisers would choose the television as their advertising medium. But they don't. Could the representative Fossum explain that?
ParlaMint-NO_1999-06-08-lower.ana.ud224e1516	I called for a lot of research when it came to cash support. It was an area where you had some numbers that could show us what the world would be like when it was introduced, so it might have been easier to get research results in that area. It's true, as Greece says, that we haven't been able to find out for research that shows that the ether media have a strong impact. But what we know is that the advertising industry actually spends $1 billion on TV 2 in a year advertising. I've never seen the advertising industry to be stupid, actually it's pretty smart. And it doesn't throw a billion kroner out of the window, or out of the TV route, if it doesn't believe that advertising has any influence at all. The industry must feel that it is selling something. The strong thing about TV – strong may not be the right word to use – is that it reaches a lot of people in a short time, and it helps to create a common awareness of that particular product when you can afford to broadcast it on TV. So it's maybe only the Right who doesn't believe that the ether media have the impact that the advertising world pays for. And maybe the representative of Greece should listen to the advertisers when they choose to advertise on TV and on radio, which is also very strong.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1523	The cord shift is over.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1526	The debate on political advertising shows that this is a complicated subject and that it is easy to get hurt to simplify the problem. In this context, it may be important to consider that until now we have had a ban on advertising for political parties and life-vision organisations in the ether media. The current regulation, which was laid down in 1997, reads as follows: ‘It may not be advertised for life's views or political messages.’ The background for this was that a majority in the Stortinget had repeatedly stated that this type of advertising should be prohibited. The Ombudsman has then pointed out that a ban should have a clear legal basis. With this in mind, today we are discussing a proposal to allow advertising for life's views and political messages on radio, but to ban it on television. In stating that the Government has chosen to distinguish such advertising on television and its equivalent on radio, it has stressed that television has greater impact and impact than radio. In this context, it has been shown that the European Court of Human Rights has stressed that television is a particularly powerful medium. So of this, the government has stopped that radio is a medium with less influence than television. In addition, the Government has stated that radio advertising is more reasonable to produce and will therefore not favour capital groups or organisations equally. The representatives of the Party and of the Right have commented that the proposal represents a restriction on freedom of expression. Yes, the Progress Party even claims that it is contrary to the Basic Law § 100. To this is to say that the government has carefully assessed this, and the conclusion is that it represents a restriction on freedom of expression, well to note a legitimate restriction, which is not, therefore, contrary to the Basic Law, but is, on the contrary, acceptable, yes even desirable. Now it is not given that full release of all kinds of advertising in all media is the solution to protect freedom of expression. Here I agree with our Minister of Culture, who recently asked a similar question in a newspaper article in the Newspaper on 20 February 1999, pointing out that a limited ban can help to promote freedom of expression, among others. by not giving any advantage to resource-intensive groups in terms of the possibilities to promote broadcasting views’. The Council of State also points out that the experience of now also does not indicate that the current form of advertising ‘has an information value that makes it a source of enrichment for the debate on society. Rather on the contrary. I share the Minister of Culture's views on this matter. It must also be clear that the media are free to promote the interests of weak groups in the media and in the social debate. We still need to protect freedom of expression, but it's important to be clear that it's actually the freedom of expression we're fighting for, and not increasing the impact of commercial interests. A ban on advertising of political parties and life-vision organisations in the ether media does not in any way prevent the public debate on political or religious issues. The prohibition shall be limited both in terms of medium, i.e. television, and in terms of the manner in which the opinions on politics or outlook on life are prohibited, i.e. in the form of advertising. I would also refer to the European Convention on Human Rights, Article 10, which guarantees every right to have their own opinions and to receive and communicate information and ideas without interference by public authorities and irrespective of national borders. However, this right may be restricted if other important considerations warrant it. If one shares the assessment that the ban on advertising of life views or political messages does not conflict with the protection of freedom of expression, then the question of whether or not the ban should be maintained becomes a political issue. And that's what we're going to take a stand for today. The Christian People's Party shares the view of those hearing bodies who consider it to be in breach of the ban on advertising of life's views or political messages. It is important to stress that, through broadcasting, the public should as far as possible be entitled to factual and comprehensive information on the political and life-seeking reality. All groups should also have as much equal opportunities as possible to promote their views. For the Christian People's Party, the consequence of this is that we do not want this information to be transmitted via television advertising. Today, we are experiencing an increasing tabloidisation of the political debate. We do not want any further slippage by allowing television advertising to be broadcast. At the same time, we do not conceal that some of the considerations that advocate a ban on broadcasting advertising for life's views and political messages are less burdensome for advertising on radio than for television advertising. It is with this as a background that we will recommend the Government's proposal. I take up proposal No. 2 from the Christian People's Party and the Center Party.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1550	Ola T. Loans have taken up the proposal to which he referred. It's going to be line change.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1555	The Christian People's Party has always supported the ban on political advertising that we have at least believed we had and that we have believed has been effective. When we try to take the initiative to make it more effective, the Christian People's Party comes back with a slightly different attitude. In this regard, I have some questions: why not allow political advertising on local TV when allowed in P4? Where does the principal distinction between P4 and local TV go? After the representative has shown how problematic it will be to defend it, I can follow up with the following questions: How long does the Christian People's Party believe that their attitude towards political advertising on TV will prevail before taking the consequences of today's first liberalisation and taking the step fully and allowing political advertising also on TV?
ParlaMint-NO_1999-06-08-lower.ana.ud224e1562	The representative Alstad has asked me two questions. He points out that the Christian People's Party has previously taken a stand against the advertising of life's views and political messages in the ether media, and that is true. We still have a restrictive position on this, which I have tried to support in my speech. We don't want a slide in this field. The first question from Alstad was why we won't accept political advertising on local TV when we can allow it in P4. Now we haven't argued in principle at all for the position that we're going in favour of, and that the government has recommended in the proposition. However, we are seeing developments today moving towards an ever-expanding of borders between different media. When you've focused on putting a distinction here, it's because you see it as the most realistic position, the most realistic limit to draw. And when the boundary is drawn between radio and television, the answer to the question from the representative Alstad is natural, because one is about TV, and the other is about radio. So to the question of how long do we think our attitude will be prevailing before we take the consequences and go to a full slide. It's not that it necessarily has to go that way, it can, of course, be possible that we can create a majority for another attitude, that can point the other way. But to be realistic, I think this is a matter of holding a dam, trying to curb as much as possible for a development that we'll probably see shooting speed in time to come. I can't answer what's going to happen tomorrow. Now we're trying to hold this dam and take the consequence that we don't want the political debate to slip out. We do not want an advertising war on television between political parties and organizations. First of all, we want a fair and honest debate that can provide the most information to people.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1571	I find in many ways that Lånken let the cat out of his bag in his last reply when he says that they have not argued at all in principle for their vision. That is quite correct, and I feel that in this case we are in the same situation as we have been in with regard to the cut in the press support, where the government parties have put forward a proposal that is, in our opinion, at least useful, but so they have no will or ability to follow up this with arguments for, but say that one should stand, and that the dam is about to break, etc. Does Lånke see that there may be a problem with regard to the Constitution § 100, with regard to the protection of freedom of expression, that advertising should now be opened on radio, but not on TV? Would it make it even easier for those who are going to sue about this, if necessary, to reach a court order? If it is the case that the Lännk and the Christian People's Party do not have any fundamental arguments in relation to this, why could not the Christian People's Party wait for the position of the Freedom of Speech Commission, which is just around the corner? It would have been interesting to see what the Freedom of Speech Commission actually says about this. The right has not established that this is contrary to the Constitution. We have doubts about it, but we don't get it. I see that the majority is relying on the Justice Department's assessment. There are a number of lawyers who oppose this, and there are a number of press organisations who say that this ban is difficult to defend in relation to freedom of expression. The question, on which Mr Alstad was also concerned, is: why not allow advertising on local television, when we know that the price of local television advertising is much lower than the corresponding one, for example. local viewer, and absolutely much lower than in P4? The loan was concerned that it was not just the resources that were to be released. Could it not be nice if some small parties could get away with local television advertising in connection with the local election campaign we are now going into?
ParlaMint-NO_1999-06-08-lower.ana.ud224e1581	The representative of Greece and the Right says in the recommendation that their position has not been justified in any particular desire to receive such advertising, but they are whole-hearted that this will not happen. It is very much in line with the basic liberal view of the Right, where – in line with the Advance Party – they are fighting to get full transparency in such advertising. The Christian People's Party sees that political and life-seeking messages create feelings in people, and they stir up many emotions. We want this communication to be done in a sober and factual way, not tabloidized or in a poster language, which only speaks in capital letters without being told what you want to say – you say something else. That's the background for us being restrictive and wanting to hold on to this, not least in terms of the strongest and most pervasive of all media, namely TV. As regards Section 100 of the Basic Law, the Ministry of Justice’s Legal Affairs has assessed this, and the Government has come to the conclusion that this is a sound legal platform. We'll have to wait and see what court decisions might come to later, but so far we've found that we're on a safe footing with the background of the assessments made by the Government. With regard to the Committee on the Rules of Procedure, the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, we have also underlined in its position that we have seen no point in waiting for it, all the time when the mandate of the Commission on Freedom of Speech does not contain anything about this. There is therefore no reason to expect the freedom of expression Commission to comment on this particular issue. It would probably be nice if local parties were allowed to advertise political messages on local TV, but now we have set this limit. We'll look at the framework conditions of local TV, and whether we can find other ways to strengthen their economic base. This probably does not represent any great potential either, so I think we need to go other ways to strengthen just local programming.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1594	I think it is very interesting what the representative Lånke here corresponds to the lines. The Central Party, the Christian People's Party and the Workers' Party have always been united on the prohibition of political advertising and the advertising of life's views. Today, the representative Lånker answers that this is not a fundamental question, and then there must be a practical question or a value question for the representative Lånker and the Christian People's Party. He also says that he does not want a slip, but there is no way to control it in relation to the radio. He also says that he would like to assess whether it will be possible to create a majority in the future in favour of banning this type of advertising on radio and TV. But he could have had a majority today! The government, together with the Labour Party, has a majority, and that majority could have been held today. That's why I think it's a bit pathetic when the government parties have probably discussed this between themselves, and the Christian People's Party and the Center Party have lost this case in the Government. I think it is sad that a fundamental question has been made into a practical arrangement to make the government survive. It must be a cross of thought for the representative Lånke that the Right Party and the Advance Party are very happy that they have taken the first step into the misery of political advertising and life - vision advertising on radio. Does not the representative Loan from the Christian People's Party think this is difficult?
