ParlaMint-ES_2015-04-29-CD150429.u1	The meeting was resumed.
ParlaMint-ES_2015-04-29-CD150429.u204	Mr. Sanchez Amor, I'd have to finish.
ParlaMint-ES_2015-04-29-CD150429.u205	I'm done, Madam President. What I want to say is that we have to explore those other avenues that open up the Historical Memory Act, as the Supreme Court said. All measures of the Historical Memory Act are directed towards such reparation. Reparation does not always have to be through criminal proceedings. Let's put in place what that law established. What's the matter with you and me, Mr. Nuet? That there has been a de facto repeal of the Historical Memory Act, due to financial asphyxiation induced by the majority group, and therefore we have blinded, on the one hand, that political path and, on the other, the judicial path, which results in radicalization and frustration of the victims I share with you. What needs to be done is to re-enact the Historical Memory Act, because surely that radicalization and the fact that some victims in Spain...
ParlaMint-ES_2015-04-29-CD150429.u206	Mr. Sánchez Amor, you know you have to finish.
ParlaMint-ES_2015-04-29-CD150429.u207	I'm done. That radicalization and the fact that some victims in Spain are invited to draft the Penal Code and others are wandering around the world to see if any court offers them a guarantee for their rights is what we cannot allow. The solution, therefore, is to re-enact a law of historical memory that can cause such reparation that the criminal track has not achieved. Thank you very much.
ParlaMint-ES_2015-04-29-CD150429.u208	Thank you very much, Mr Sánchez Amor. The Joint Group, Mrs Pérez, has the floor in position-setting.
ParlaMint-ES_2015-04-29-CD150429.u209	Thank you, Madam President. Mr Nuet, regardless of the substance of your initiative, with which we agree and already announce our vote in favour, I would like to show you publicly our displeasure at the way you have presented it. [[The Lord]] And you know perfectly well what I'm talking about. We have consistently criticized Amnesty Law 46/1977 in this House many times. We have even submitted legislative proposals for amendment, because that law has served as an alibi for the non-persecution of crimes and fundamental rights violations protected by the Franco regime and has equated victims and executioners. Even that interpretation had been applied in the margins of the evolution of international norms enacted in the protection of human rights and relating to universal jurisdiction applicable to crimes against humanity. In other words, the application of the Amnesty Act has been applied to acts that may be considered crimes against humanity committed during and by the Franco dictatorship. Ladies and gentlemen, the justice, memory and reparation of the victims caused by the existence of more than 100,000 missing in the Spanish State during the military coup d'état and subsequent Franco dictatorship requires that the criminal acts that caused their disappearance do not go unpunished, contrary to international law, and violating the most elementary democratic principles and defence of human rights. And they also demand that such impunity should not be granted under a legal shield in the Spanish State intended precisely to protect those who had fought to overthrow an illegitimate dictatorial regime and that, however, it has been used to protect those who from that regime, in a totalitarian way, committed serious crimes that violated the human dignity of thousands of people. The Spanish Government is clearly exercising a veto on the investigation and trial of the repression exercised by the Franco regime that is pushing other countries, in particular Argentina, which has had the support of victims and relatives to the lawsuit filed by that country and which you, ladies and gentlemen of the People's Party, persist, almost forty years later, in preventing by all means that it prospers. In this regard, the Government's latest actions, including the agreement of the Council of Ministers of 13 March, deny the request for extradition made by the Argentine judicial authorities of 20 persons accused of crimes against humanity committed in the Franco regime. Ladies and gentlemen, the aspiration to obtain justice in cases of crimes that violate human dignity is permanent and cannot be repressed by laws that are independent of the most basic principles of justice and equity, or by subterfuges or agreements that seek to conceal the truth and avoid subjecting it to an objective, impartial investigation and that end in a fair trial. Ladies and gentlemen, the People's Party has been trying for forty years to keep abducting and taking away from public opinion and general knowledge the deplorable events that have taken place in Francoism and still - I am finishing, Mr President - today, in addition to impunity, they want to impose silence and oblivion on four decades of death and repression. We, ladies and gentlemen, are right on the contrary, for the unconditional defence of international human rights law and for putting an end, definitively, to the absolute contempt of the Government for the rights of the victims. That is why we will vote in favour of this motion by the Plural Left. Thank you, President.
ParlaMint-ES_2015-04-29-CD150429.u210	Thank you, Mrs. Pérez. Mr Errekondo.
ParlaMint-ES_2015-04-29-CD150429.u211	Let us also go ahead with our rejection of the way in which the Plural Left has brought this initiative to the plenary because we understand that the will of the natural impulses, such as Ceaqua, to carry it out jointly among the parties is being skipped. It is our aim to highlight the demagogy and lack of scruples of the People's Party on this issue. That is why we bring here the words that Mr Barreda said last week on behalf of the People's Party when he referred to the end of the Basque political conflict and said that he defends an end with justice in the face of the claims of impunity, an end with memory in the face of oblivion and an end with truth so that the historical facts suffered do not dilute in equidistant accounts. The issue is that the Government should also defend the same in the face of the hundreds of thousands of crimes committed by Francoism, crimes against humanity not only because they have been described by Argentine justice, but also because it is evidenced by the more than 3,500 shipwrecks and shipwrecks that were killed and thrown into the gutters because they were simply suspected of being red in Navarre, where there was not even a battle front. Therefore, you do just the opposite of what the lords of the People's Party preach, impunity for criminals, relying on the Amnesty Act of 1977, rather than doing justice to the victims and their families. You apply oblivion instead of memory and have for forty years prevented the rescue of the acribilated bodies that still flood by hundreds the coves and whose families have yet to put fear into the body. His account is the Francoist account as the only truth: the truth of those who won the war, that of the winners, that of those criminal franchisors of that lineage of which you, the People's Party, are their heirs. Therefore, the truth of those who suffered the genocide is that you have not introduced into the school curriculum but that has been told from mouth to mouth and sung with passion and feeling. That's why we say the truth about Wonders Lamberto, a 14-year-old girl, raped, murdered and thrown at the dogs after forcing her to witness her father's execution in Larraga, Navarre. The truth of the Florentine of Larraga - so they called it -, we know it thanks to the fact that some have overcome fear, and that is why Fermín Valencia can sing us today its truth: Wonders, Wonders, Florentine of Larraga/ death was not able/ to bury your morning/ nor will he be able to paint the watercolor of your soul/ nor will he be able to fill the immensity of your soul with oblivion/ immensity. We support the request made by the Argentine justice system, as well as that of the UN Special Rapporteurs on Human Rights that Spain should extradite or prosecute those responsible for serious human rights violations. Thus, Antonio Carro Martine; Licinio de la Fuente; Antonio Barrera de Irimo; José Quintana Saracibar; José María Sánchez-Ventura Pascual; Alfonso Osorio García; Jesús Quintana Saracibar; Carlos Rey González; José Utrera Molina; Fernando Suárez González; Rodolfo Martín Vill; Jesús Cejas Mohedano; Antonio Troncoso de Castro; Jesús González Reglero; Ricardo Algar Barrón; Félix Criado Sanz; Pascual Honorado de la Fuente; Jesús Martínez Torres; Benjamín Solsona Cortés; Atilano del Valle Oter and Abelardo García Balaguer, accused of crimes against humanity. That is why we say that they must be either tried or extradited. Thank you very much.
ParlaMint-ES_2015-04-29-CD150429.u212	Thank you very much, Mr Errekondo. Mr Esteban has the floor for the Basque PNV Group.
ParlaMint-ES_2015-04-29-CD150429.u213	Thank you very much, Mr President. I now move on to my group's vote: we will vote in favour. Legal issues have been discussed, and I am not going to say that they are not important, much less important, but here we are, above all, on a political issue. Mr. Sánchez Amor was right when he said that the Amnesty Act was an achievement taken from power and that it was the democratic sectors of the country that promoted its adoption. But it is no less true that an inappropriate use has been made of this law, even by the Spanish courts, to protect those people who had responsibilities in the dictatorship - and we are not only talking about the war, because here the complaint refers above all to the Franco dictatorship - and they committed a series of crimes that have then been erased. It is said that there is a need for a condition, that the State has renounced the issue, and that is not exactly the case, although the sentences have unfortunately come to say that they cannot carry it forward, that there is no reason, etc. In the end, what has actually happened in this country is that there has been a renunciation of dealing with these issues in the courts, because the only cases that are open are very specific, very specific cases covered by the Historical Memory Act, but that do not review criminal matters of specific perpetrators of murders, in many collective cases, as mentioned here. He has resigned out of fear, out of fear. It has not been promoted by any Government, either from the right or from the left, for whatever reasons, and judges have tried to move away when they have been able. With regard to preferential jurisdiction and double criminality, I believe that the State has resigned. And if the state has resigned and there is no double incrimination, why don't we attend to the request of the Argentinean justice? A remarkable effort has been made by the current Government to put an end to universal jurisdiction, but the rest of the groups have argued that it has been one of the biggest mistakes of this legislature, which is another reason to support the proposal that is being made to us. The Socialist Group's amendment has led me to a series of reflections to look at the People's Group's bench and tell them that the list of actions requested by the Socialist Group's amendment shows that the Historical Memory Act is not being implemented. And it is a law that is part of the legal system and that has been passed by this House. The victim assistance offices are not functioning, there is no budget provision or action is being taken to, for example, exhumation of graves. Although I also have to say that the responsibility for exhumation lies not only with the State, but also with the autonomous communities and municipalities, and administrations of different colors have also looked elsewhere to face responsibilities in terms of pushing certain files, putting enough money to repair that memory or removing shields, badges, plates, etc. The difficulties faced by researchers - and not just any citizen of this country - in accessing certain documents in the Spanish archives still remain a disgrace, when the amendments included in the Historical Memory Act sought precisely to remove any obstacles to this access. By the way, in the amendment the socialists are braver than in the Historical Memory Law, wanting to get Franco out of the Fallen Valley; it seems very good to me but it could also have been done in the law - now from the opposition things are easier -. The request that this be left here and that the prosecutor's office be interested in the study of the facts contained in the ruling of the Argentine court, so that the remaining criminal responsibilities that may arise may be determined by the Spanish courts, is to make - and they know it - a toast to the sun. They will not enter; they have already said clearly, plainly and plainly that they will not enter, and a perverse interpretation of the Amnesty Law has been made. In this field little or no confidence in Spanish justice, in the defense of universal jurisdiction. I shall conclude, Mr President. Spain has renounced entry into these cases, initiated investigations and cleared up the relevant responsibilities. Our vote will therefore be in favour.
ParlaMint-ES_2015-04-29-CD150429.u214	Thank you very much, Mr. Esteban. For the sake of Progress Union and Democracy, Mr Martínez Gorriaran has the floor.
ParlaMint-ES_2015-04-29-CD150429.u215	Thank you, Mr. President. Our group, unlike the previous ones, is going to abstain in this motion, and is going to abstain instead of voting in favour or against for quite simple reasons to understand. We are not going to vote against it because our group thinks that Francoism was a criminal dictatorship, that there are crimes pending investigation and that there may still be those who should respond by decisions of Franco's and Franco's governments; that is true. But we are not going to vote in favour because it seems to us to be a motion full of double morality and in the field of human rights, in the case of crimes against humanity, there should be no double morality, nor should there be cheating accounts. What do I mean? For example, in his speeches, Mr Nuet, when a motion on support for the opposition in Venezuela was presented here, he referred to Venezuelan political prisoners, political prisoners who are in military prisons without any charge, in the following terms: Do not ask for these criminals to be released. You called criminals political prisoners like Leopoldo López, like Antonio Ledesma, who are elected public officials or opposition leaders who have been imprisoned by a government that dangerously spills into a dictatorship. However, it does consider it very normal, and in addition to basic justice, that a series of former Francoist ministers be extradited to be tried by an Argentine court. Exactly the same thing happens with another matter that fills us with stupefaction. You have consistently opposed, not only you, some of the groups that have also intervened, to any further investigation into crimes against humanity committed by ETA. There are three hundred ETA attacks that have not yet been clarified, it is not even known who the perpetrators were. You have opposed, and also in a very harsh tone, any proposal that is made in this regard because it seems to you that of ETA absolutely nothing has to be investigated, and that there are so many more victims and many of them, thousands of people, alive. In your speech, Mr Nuet, you said: Peace, rationality, dialogue and political normalization have finally opened up and it must be said that both the abertzale left and the victims of all violence today are part of the solution in Euskadi and not of the problem. Do you want to explain to me, one day with great interest that explanation if it comes, why they have to be kept open, contrary to the Amnesty Act of 1977, cases against former members of the Franco administration and, however, absolutely nothing must be done against attacks and crimes against humanity that end, as he says, of committing and whose perpetrators walk quietly on the street without any kind of regret? Let's see when you explain it to me. The only thing I understand is that it follows from this that you believe that there are still human rights of the left and right, that there are victims of the right and left, and that the victims of the left have moral superiority, and we must defend them to the extreme, and those of the right, indeed not. This isn't like that. Human rights are neither right-wing nor left-wing, and the legislation dealing with human rights cannot be the subject of sectarian and partisan use, as we believe your group is constantly doing in this area. The Congress of Deputies is not a court and we should have confidence, no matter how little we remain - at least to the groups that like mine do not participate in the distribution of the judiciary, yours - in the independence of the judiciary; that is, if there is a judicial decision against that request for extradition, some case should be made to you. Furthermore, what you are asking for, and not the first time, is already the third or fourth time, implies de facto the repeal of the Amnesty Act of 1977, and that Amnesty Act not only benefited the Francoists, it also benefited members of ETA, FRAP, Grapo and other groups, anarchists and others, who had committed terrorist attacks. However, no one - nor of course my group - wants to reopen any of these cases because we agree that the Amnesty Act of 1977, which was not a final point law, was the basis of the Constitutional Pact that defeated Francoism. As you seem to think that this defeat is not enough, and that the Civil War must be won by seventy-five years of delay, you are constantly bringing us this reinterpretation and rewriting of historical data which, in our view - we have said many times - are not within the competence of Parliament. History has to be done, of course, by the people who have experienced it - the witnesses with their testimonies and the historians - and not by the Congress of Deputies. If we were to argue why the cases against the members of the Franco Governments should be kept open, it should be applied, also on the basis of the theory of universal jurisdiction, to entire Governments of many years ago from countries such as Cuba, Korea or China, or to many others in eastern Europe, where many crimes were also committed. The other day we had the opportunity to discuss an interesting PNL on Mauthausen of the Socialist Group in the relevant Commission and one of the things we talked about in the past was how the Mauthausen prisoners were twice victims: first, of Franco and Franco who deprived them of their nationality and made them stateless, and second, of systematic extermination by the Nazis. Note, that some of those Mauthausen prisoners, specifically Communist Party cadres, still had to face a third purge and reproach of their party for not having died, and since they had not died in Mauthausen they became suspected of collaborating with the Nazis. These kinds of totalitarian attitudes are aberrant. I do not say that you hold it now, but of course you have too many remains. These kinds of propositions are still in that line. There are no human rights of the right and left, we cannot make a sectarian use of universal jurisdiction, we cannot ask to investigate until the end, until the only Francois dies, the crimes of Francoism and refuse to investigate those of ETA when the authors are alive and many of their victims as well. It is a double morality that our group cannot support and that is why we are going to abstain. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u216	Thank you very much, Mr. Martínez Gorriaran. For the Catalan Parliamentary Group, I have the floor, Mrs Surroca. [[Convergence and Union]]
ParlaMint-ES_2015-04-29-CD150429.u217	Thank you, Mr. President. Ladies and gentlemen, I think it is important in this case that we focus exactly on the subject of the debate. The motion defended today by the Plural Left calls for two questions. First, that the agreement of the Council of Ministers approved on 13 March, which rejected the request for extradition made by the Argentine judicial authorities in respect of 20 persons who committed crimes during the Franco dictatorship, be revoked. By the way, three of these people have already died and some of them were ministers during that time. Secondly, the request for this motion is for the immediate enforcement of the Interpol pre-trial detention order in respect of those persons whose extradition had been requested. In short, the purpose of the debate on this motion is whether or not Argentina's justice should prosecute these people for crimes committed against humanity during Francoism, that is, we are talking here about extraterritorial justice. From what situation do we start in this particular case? What is the basis for the refusal of the Council of Ministers? I think it's interesting to keep that in mind. The agreement of the Council of Ministers, by application of the law, specifically the Law on Passive Extradition, is based on the following principles: First, it refers to the principle of preferential jurisdiction, which would prevent the extradition of Spanish nationals who are in Spain, since by this principle it would be appropriate to bring them before the Spanish courts. In this principle the intervention, and we make it our own, of the spokesman of the Basque Nationalist Party has been very clear. He said it very well: At times the Amnesty Law has been abused. It is not that the Spanish courts have been prevented, there have been cases in which they have been brought, but they have been very specific cases, which has led to the resignation of the Spanish courts. I very much agree with Mr Esteban's speech in this regard. Secondly, what is the basis of this agreement by the Council of Ministers? In the principle of extinguishment of criminal liability by statute of limitations. In this case, too, this principle is questionable because it would be contradictory, like many international conventions signed, and because of the principle of non-prescription of crimes against humanity. We therefore believe that this point in the agreement of the Council of Ministers is also critical. Finally, it is based on the principle of double criminality, according to which crimes have to be criminalized in both countries. I am not going to touch on this issue any more, but I understand that the first two principles on which the agreement of the Council of Ministers is based are very questionable. So what is the Convergence and Union approach from the point of departure that explained the agreement of the Council of Ministers? From Convergence i Unió we understand that the Spanish Government has an obligation to guarantee access to justice for victims of serious human rights violations. In this case, we believe that the Spanish Government must support the request of the Argentine judicial authority and that the legal framework is provided for the Spanish Government to grant extradition. We also have to remember that this same issue was discussed in the Committee on Justice a few months ago and our parliamentary group then voted in favour of the non-legislative proposal which reflected exactly this request, only that at that time there were certain formal defects in the request for extradition by the Argentine judicial authorities. We also demand that these defects be remedied, and we understand that once the legal framework has been met, it would be advisable not to put on wheels in this regard the Argentine judicial authorities and to provide the victims with access to justice, even to Argentine justice. In our speech in the Committee on Justice with regard to this non-legislative proposal, we made two thoughts which I think it is good that we should also do today. With extraterritorial justice, we may have done what we have been unable to do for so many years in the Spanish State, and it is to repair the damage caused to many people. Many of them have died but there are also their relatives and I think it is important that the damage caused be repaired. Secondly, we would like to point out that the Historical Memory Act, which has been promoted by some by a drum and a platter - I am referring here to the Socialist Government at the time - has also failed to achieve the objectives it was pursuing. Some spokesman who preceded me in the use of the floor mentioned this and I think it is important to take it into account. I am not going to go into the amendment tabled by the Socialist Group, I think it is not necessary, but we have to bear in mind the reflection that the Historical Memory Act has not met expectations either, so we have to devote the maximum possible effort on the basis of that instrument...
ParlaMint-ES_2015-04-29-CD150429.u218	Mrs. Surroca, you must finish.
ParlaMint-ES_2015-04-29-CD150429.u219	I'm finishing up, Mr. President. He said that we must make every effort to repair the damage caused to victims who have seen their rights violated. Thank you very much.
ParlaMint-ES_2015-04-29-CD150429.u220	Thank you very much, Mrs. Surroca. For the People's Group, Mr Gómez de la Serna has the floor.
ParlaMint-ES_2015-04-29-CD150429.u221	Thank you, Mr. President. Let us see, Mr Nuet, whether we can introduce certain doses of equanimity here. First of all, I would like to remind the House, in order to make it clear in the "Diario de Sesiones" that the last major genocide that is taking place in Spain, the last continuing crime against humanity that we Spaniards have suffered during forty years of democratic rule, is terrorism, Mr Errekondo, perpetrated by ETA, the terrorism of the Grapo, that of the FRAP, that of the Terra Lliure, that of the Guerrilheiro do Povo Army Galego Ceive, and so on. [[Applauds]] All these groups represented somehow the return to the Civil War and its victims and their renunciation of the exercise of revenge represent coexistence and transition. I want to say this because this initiative is, in my opinion, framed in a political apparatus of questioning that great exercise of coexistence that was the Transition. And I also want to say that last week in this very House the left - not the Socialist Party, the left - and nationalism voted in bloc against a non-law proposal by UPyD, which we naturally support, to investigate whether or not the crimes of ETA in democracy constituted crimes against humanity or crimes of genocide. Therefore, ladies and gentlemen, there is a double morality here that profoundly delegates from the moral point of view and from the democratic point of view the motion that is before us today. [[Applauds]] Let's get to the point. First, this is not a motion on historical memory, it is not in my opinion a motion to condemn Francoism, we have had others and we have participated in them. This is a motion to revoke an agreement of the National High Court and in my opinion admits two approaches, one legal and one policy. The legal has detailed it - therefore I will refer to your intervention - Mr Sánchez Amor with all rigour. I will simply say that there are three reasons that lead the Council of Ministers to refuse extradition: the principle of preferential jurisdiction, the principle of extinguishment of criminal responsibility and the principle of double criminality. As you know that these three principles prevent extradition in any case, we will classify the facts as crimes of genocide or crimes against humanity. But you also know very well that the National Court has ruled on these crimes by saying that in no case - even if the facts were proved, that they are not - would I insist, in no case, be materially constituted crimes of genocide or crimes against humanity. But that doesn't seem to matter to you too much. It seems to me that when we talk about these subjects, which are extremely serious, we are talking with a certain degree of inquisitorial accusatory lightness and there are times when the speeches remind us more of those of a people's court than of the speeches in a Parliament. I am very sorry that certain people have been summoned to charge them with very serious crimes without any evidence, violating their presumption of innocence, violating their right to honour, people who have sometimes provided undoubted services to Spanish democracy, such as Mr Martín Villa and Mr Suárez González, without whose contribution neither you nor I would probably be in this House today, Mr Nuet, and with respect to those who for forty years of democratic rule no Spanish court has opened proceedings. I refuse to think that Argentine justice is of higher quality than Spanish justice and I refuse to think that the moral, ethical and respect for human rights threshold of Judge Servini - with all due respect - is higher than the threshold of the members of the Spanish judiciary. For example, you speak of the famous signatures of death sentences of the ministers of Francoism. It is simply not true, I do not have to defend anyone, but it is that legally it was not so, you do not find a single death sentence signed by a Franco minister. The sentences were signed by the Councils of War and Franco was governed by the organic law of the State - which must be looked at - in the exclusive exercise of the right of grace, and the Council of Ministers was only carrying a communication that, with sinister expression, was called the learned; but you will never find that no Franco government minister has signed a death sentence. That is why I say to you that we must be more careful and respectful of the presumption of innocence and the right to honour people. What's going on here? I used to say it at first. We are faced with a global challenge to the Constitution. And what's done? Two things: first, to enter into the supreme simplification and distortion of history and, secondly, to move from the concept of politics as an exercise of coexistence to a concept of politics as an exercise of confrontation and confrontation. That leads to pure political cainism, and we already know what that attitude leads to in our country. Ladies and gentlemen, my group believes that Spain, that the Spaniards have a perfect right to overcome their past. We do not want a justiciator or justiceist country, we do not want a country where politics serves to confront the Spaniards, but to help them live together. This issue that they bring to us legally is resolved by the National Court and the Council of Ministers. If you ask us, ladies and gentlemen, whether we are in favour of revenge, whether we are in favour of Cainism, whether we are in favour of justiceism, whether we are in favour of inquisition, the answer is no. Thank you very much. [[A lady Member: Very well!-Applause]]
ParlaMint-ES_2015-04-29-CD150429.u222	Thank you very much, Mr Gómez de la Serna. Mr Nuet, as an amendment has been tabled to you, I would like you to tell me what you are doing with it.
ParlaMint-ES_2015-04-29-CD150429.u223	We are going to have a dialogue with the Socialist Group in order to try to reach a compromise.
ParlaMint-ES_2015-04-29-CD150429.u224	Thank you very much, Mr. Nuet. - THE CATALAN PARLIAMENTARY GROUP, ON THE MEASURES TO BE TAKEN BY THE GOVERNMENT TO EXIMATE THE PRESENTATION OF THE TAX ON SOCIETY TO SMALL ENTITIES WITHOUT LIGHT. [[CONVERGENCE OF THE UNION]] [[File number 173/000209]]
ParlaMint-ES_2015-04-29-CD150429.u225	Motion by the Catalan Parliamentary Group on measures to be taken by the Government to exempt small non-profit entities from corporate tax. [[Convergence and Union]] To defend the proposal, Mr Sánchez i Llibre has the floor.
ParlaMint-ES_2015-04-29-CD150429.u226	Thank you very much, Mr President. Ladies and gentlemen, in fact, the Convergence i Unió Parliamentary Group puts before this House a motion for a great social sensitivity which has the fundamental objective of exempting from the presentation of corporation tax all those micro-associations, small foundations that, not for profit, do a great deal of social work and volunteering and that, if we do not reach an agreement in the parliamentary debate that we are going to hold, many of them would be caught up in their disappearance by the bureaucratic problems and the associated cost of the presentation of corporation tax for this type of non-profit associations or foundations, which can come to enter a few thousand euros, having the same approaches and difficulties of presentation as an Ibex company that makes billion euros. Therefore, we are facing a reasonable, common sense situation. It is true that in the parliamentary debate we had with the Minister of Finance and Public Administration the previous week on the question presented by this parliamentary group we all had the feeling - and this Member too - that there was a chance of reaching an agreement and extending it to all political formations to give this feeling that we have sensitivity and social soul towards these thousands of associations that do non-profit work and that do a great service to society. We hope that during this parliamentary debate, despite the fact that no group has tabled amendments to this motion tabled by Convergence i Unió, we will be able to reach an agreement. Many societies are immersed in this complexity. According to our calculations, there are more than 50,000 non-profit associations and foundations that are currently being harmed by the bureaucracy of corporate tax filing. This covers at least two million people who are doing volunteer work, who are working for these non-profit societies and associations or foundations, to which we are making their existence and survival very difficult, unless today we are able to reach an agreement. Within this group of non-profit entities that provide these great social services in their usual work are the parent associations of all Spanish schools, many cultural associations, most of the communities of state owners, sports entities, social entities, youth entities, training workshops for older people... In short, a fabric of the third associative sector that is doing a great job in Spanish civil society. We would like those associations and foundations not to be obliged to submit corporate tax if they meet the following requirements that I will now list. Firstly, that your income does not exceed 100,000 euros. It is true, as was also raised in the debate of the previous week, that today this ceiling has been lowered to 50,000 euros. We had gone to a question of ceilings, but I would say to you that we would be willing to lower this ceiling of 100,000 euros to the current 50,000 euros, provided that the following considerations were maintained. First, that all the revenue that can be incorporated into such associations be allocated solely and exclusively to the carrying out of their activities. What does this mean? That if such associations or foundations have the usual income of their partners, which we all know are exempt from taxation, we can also incorporate within these income those economic activities that they all have to carry out in order to maintain their survival. You know that today any association or foundation which, in addition to its quotas, carries out economic activities in excess of EUR 2000 is obliged to present the company tax. What we want is for all associations whose incomes are all geared towards carrying out their own activities to be exempt and for there to be no such limitation that if an association or an AMPA, in order to improve the services of its social benefits, carries out once a year, for example, a Christmas draw to have complementary income, it will be obliged to present the company tax. We want to fully exempt all income from economic activities in any kind of association or foundation that goes in the same direction. At the same time, we would like to propose another condition in the performance of these functions so that we are all more calm, and it is that all positions, that all members of the governing body work free of charge. Virtually most of the associations or foundations we are talking about meet these requirements: they charge less than 50,000 euros - and, of course, less than 100,000 euros - and have complementary economic activities that can in some cases exceed 2,000 euros, but we understand that this is parrot chocolate for the purposes they are carrying out. We think we should all be able to resolve this situation. Taking up the spirit and feeling of the Minister's statements last week in the question we raised, we are convinced that all parliamentary groups will rise to the occasion and give satisfaction to these thousands of associations that do these voluntary work and to these millions of citizens who are collaborating in social services. I hope that we can reach an agreement without any kind of fissure on all the political formations present in this House. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u227	Thank you very much, Mr Sánchez i Llibre. Position-setting round because no amendments have been tabled. Mr Baldoví has the floor for the Joint Group.
ParlaMint-ES_2015-04-29-CD150429.u228	Thank you very much, Mr President. Before I began my speech I wanted to make a small reminder, because while we are talking here the Bosal workers are demonstrating at the door of the Belgian embassy. Bosal is a company of my land, of the port of Sagunto, and I want to show my solidarity with them and with the workers of Movistar and Coca-Cola, who are in full struggle two days from May 1. This motion is the result of the decree-law that inaugurated this year, a decree-law tout fructuit, tailor's drawer and also with a back-step, a decree-law by which they again denied Parliament the processing, debate and possibility of dialogue and consensus. They marched back half-way when, as I understand it, they realized that they were getting into a big eggplant because they wanted to force all kinds of social, cultural, civic associations and sports clubs to present corporation tax as small as their size and even if they were not for profit. And speaking of the Valencian associative fabric, the commissions of failures, of Moors and Christians, of fires, bands of music, schools of music, the APAs, the small sports clubs or even the sports schools that it costs so much were going to have to keep the accounts up to date and take on administrative and bureaucratic tasks or hire consultants or managers that did it when very, very much these entities are managed by people who voluntarily take care of everything and do everything. Finally, they had no choice but to rectify and re-exempt certain non-profit entities, but Compromís believes that they were short and that this motion of Convergence i Unió is reasonable, because in a country where it is so difficult to build, braid a strong associative fabric, any measure aimed at facilitating the life of our commissions, of our associations, of our small clubs will count on our vote in favour. Before attempting to stifle all this associative fabric, the People's Group should take this into account, rethink it and vote in favour, as it is a reasonable motion. Thank you very much, Mr President.
ParlaMint-ES_2015-04-29-CD150429.u229	Thank you very much, Mr. Baldoví. Mr Anchuelo has the floor on behalf of the Progressive Union and Democracy.
ParlaMint-ES_2015-04-29-CD150429.u230	Thank you, Mr. President. My group believes that this motion has a commendable end: the promotion, the development of civil society. In our country there are many small voluntary, non-profit associations that perform functions of great social interest, in the cultural and sporting fields, and it is appropriate to facilitate the lives of those who already exist and to encourage the emergence of new ones, that is, to promote social spontaneity. It makes no sense, therefore, to impose unnecessary bureaucratic burdens on such associations and to force them to submit corporate tax because they sell lottery or sell T-shirts. As the Minister and other speakers have said, there has been some progress in legislation to avoid these problems, but what the proposing group is asking us is to go beyond and extend those limits. We think that your proposal is reasonable because there are two cautions that are demanding and that will prevent this extension of limits from becoming a collapsible so that they do not present the tax on entities other than those that pursue the motion. As Mr Sánchez i Llibre has pointed out, these two precautions are that management positions are not remunerated and that all income is devoted to the entity's own purposes. We believe that with such caution there is no danger of extending the existing limits in the legislation today, and that is why we will vote in favour of the motion.
ParlaMint-ES_2015-04-29-CD150429.u231	For the Parliamentary Group of the Plural Left, Mr Pérez Moya has the floor.
