ParlaMint-BG_2021-08-19.u1	Good morning, colleagues.
ParlaMint-BG_2021-08-19.u219	Thank you. From the Democratic Republic of Bulgaria come on in.
ParlaMint-BG_2021-08-19.u220	Dear Mr. Dunchev, thank you for the exhibition. It makes it clear that there is a point in the joint-use contracts with private companies when contracts are respected. We see that the state of the game is improving and increasing, but I have questions regarding the state hunting industry.................................... As I understand from your exhibition, there are currently three illegal buildings that are being built in the State Hunting Industry..Iskar, and this is clear to the entire public in Bulgaria. My question is: is the contract with the private company being respected, what are the investments that the private company has made in recent years, actually since the start of the joint-use contract, do these investments correspond to the amounts invested in the construction of these illegal buildings, and what proportion of the amounts are invested by the private company and what part of the state hunting holding? Accordingly, what does the contract provide for: are penalties for failure to comply with the joint-use contract, specifically in "Isker', and what are the possibilities to break this contract? Thank you.
ParlaMint-BG_2021-08-19.u221	Thank you. Here you go.
ParlaMint-BG_2021-08-19.u222	Thank you, Madam President. Mr. Panev, for "Iskar" and "Palamara". "Palamara" is the place where the game is really very good, looking at it in a fence, only it is the will of the private partner that does not respect the principles of hunting and science, but rather the will of the legal person, which is an example of the fact that things do not happen properly there. There are many more animals than you need per unit of area, which means that there is no selective shooting, no one cares about the trophy qualities of animals, but is chasing just to have animals. For "Isker": our inspection showed that on the ground there was a hotel built with a pool in a place where there was never anything but a claim that there was. But there were students from Lesotech with our professors, they also publicly stated that there had never seen a nail. A new warehouse was built at the site of a smaller building, three times smaller than the new warehouse, and a pig farm was built. During our inspection we saw there pet pigs, and it is claimed that this is for the acclimatization of wild pigs. So you see that gradually the farm begins to be used for some other purposes, but not for the care of the game. We've checked who invested in these buildings. Turns out there was no paper trail, one document was never found who put millions of levs into these three buildings on the Hunting Farm. On the paperwork that... [[(Reply from.. Democratic ……]] Who? According to reports provided by a Southwestern enterprise, investments were claimed to have been made by the private partner there, only we didn't see a single document about it. How this happened, no one knows. There's a case going on for one building. The bad news is, there might be a cover-up. For the other two buildings, brand new, in places where there have never been buildings, we have such documents from the Hunting Industry.. even tomorrow I think we have a joint check on the ground with representatives of the National Assembly at 14:00 in the Hunting Farm, to see how brand new buildings are announced for the renovation of existing ones. I think there's perfect evidence, anyone can see with their eyes on the ground that there's nothing left, not even two of the places there were never buildings, let alone they were renovated. And it's getting very interesting why institutions turn a blind eye. The treaty provides to be upset when its clauses are not respected and when a violation of the Forests Act is established, as we are currently trying as a country, to prove it, but it is very difficult because the institutions claim that a brand new illegal construction is a renovation of an existing building, but we will also fight this. We've requested assistance from the police because there's a suspicion of manipulation of data and documents. For example, what funds are invested? In the public consultation that we have uploaded, you will see that the private partner definitely invests and respects its clauses in terms of the necessary investments. lv. The hunting farm invests between 400 and 600 thousand However, revenues are between 100 and 200 thousand. BGN, return between 20, 40, 50%. For several years the contribution was not paid as a donation of 100,000. BGN was paid only when the scandal took place, which was in violation of the contract, but there was no one to track it for years. The interesting thing about this contract is how the competition from the country was won with a promise, which is also a hole in the law, that 15 million out of 19 million will be donated on the 15th year of the contract. We already have cases where contracts are prematurely terminated. Perhaps this was also intended, just to win the competition with an extremely large amount of donation, of the 14th year the private partner to give up, and thus to eliminate the competition at the zero year, another proof that these contracts, their competition procedures, which have always been opaque until the last year, actually create extremely unfair competition and prerequisites for these holdings to be conquered by certain individuals. So the assigned revenue of 380, 340 thousand. lv. per year, 457 thousand. lv. Every year, they don't work out at all. They're really between 100 and 200,000. BGN, which is a prerequisite to break the contract, and we are about to offer this to the Minister.
ParlaMint-BG_2021-08-19.u223	Thank you. From the Movement for Rights and Freedoms.
ParlaMint-BG_2021-08-19.u224	Madam President, honourable Members! Dear Mr. Dunchev, at the beginning I would like to address the importers of this hearing, who put it off hard and hard for three weeks in a row because they had planned to have one such hearing for the exact part of the hunting farms, provided and at a time when the Bulgarian forest is burning. My personal opinion is that it is better to have a hearing of the Minister for Forest Fires and the measures taken by the Ministry than for hunting holdings. Let's get to the point. I very much hope, Mr. Dunchev, that you will be as specifically prepared for my asking as for the previous Hunting Farm, because my question will be specific. As a Member of Parliament from the 19th Multiannual Election Region, Ruse, I have direct observations about the so-called joint activity in the State Hunting Industry. I think you were there, but this campaign trip on hunting farms, a few of them, is not your responsibility. It is the duty of the Agency to report annually on the status of all hunting holdings where there is an agreement on joint activity. So, my specific observations are as follows: the legal person under the contract does not fulfil its financial commitments: raising the costs of the legal person and lowering those of the State hunting holding with false assessments; the lowest share of the costs of a legal person compared to the costs of state hunting holdings throughout the country; gaps in the reporting of real shooting, the so-called organised hunting tourism is carried out by almost the same persons; limiting the clients of the State hunting tourism holding by the legal person; constant conflicts with neighbouring hunting associations, and the tip of the insolence is cadre by the legal person in the structures of the Ministry of Agriculture, in particular in your agency. My question is: what do your checks point to, which you have done at the State Hunting Farm, are these observations confirmed and what measures will you take? Thank you.
ParlaMint-BG_2021-08-19.u225	Thank you. Come in for an answer.
ParlaMint-BG_2021-08-19.u226	I'm looking for protocol, Mr. Abase. There's protocol in here somewhere, but not wasting your time, I'll drive by memory. Thank you for your question, Mr. Abase. Indeed, fires are a key topic, but people who are facing them need protection, and they do not have one. Why? Because the management of forests, frankly, is largely controlled by politics, by the strong of the day that smashes the farm colleagues, the colleagues from the district directorate of forests, they are a kind of subordinate people, as you also said about. We believe that hunting farms are exactly the same place where this power of construction begins in the forest system, and therefore we analyze them to get to the root causes of forest problems. All the problems in the forests, all the illegal logging, all the conflicts stem from the fact that professionals are being forced out, less and less quality personnel work in forests and in hunting farms. They're being pushed out because someone forced themselves! And yesterday I got a call from a gentleman asking if I could replace the director of a holding without even knowing I wasn't in charge of the farms. This construction must stop and protect the professionals. Where does this cadre come from? We saw during the inspections individuals, MPs, judges and so on who hunt in these farms. That's probably where they make their connections, and that's where they come from. So there's almost certainly this because I've been called several times. In DDS, we have actually encountered several interesting problems. There the game is good, it is very, but there is a conflict with farmers, because when it is too much of it, by the will of the legal person who does not give hunting experts to maintain stocks that are eligible, with trophy qualities that are optimal, it comes to animals entering agricultural areas and doing damage. So there's this problem. We found out how the Hunting Farm was pressured not to account as income or to take out his income. For example, a target subsidy received from agricultural payments is considered a profit. It's not a profit, it's a target subsidy. It does not depend, it has nothing to do with the Co-operation Treaty, however, the Hunting Farm is forced to deduct this amount from the costs so that the majority of the profits can be re-distributed to the private legal entity. Under contract, the legal person has to invest every year. However, I have this reference, here it is about 150 thousand. lv. [[shows]] The last five years, on average, is an investee of about 40,000. lv. a year, which means there's a breach of contract. Why hasn't it been terminated? And that's what I'm asking, yes, why isn't it terminated? Besides not being terminated, the more interesting thing is that there the proceeds from the deer hunt are so good that it comes to profit. This is one of the few holdings In most cases, revenue covers one tenth of the costs, i.e. it is absolutely non-profitable all this work from which legal persons earn at the expense of the state. In this case, we have good profits - they are above the target, but these profits also do not cover costs. The hunting farm invests around 400,000. BGN, and the revenues are 300.. simply exceed the target, that is, we also have non-covering of the costs. One smart move, why don't they cover up? They had to invest in hunting grounds. Instead of hunting bases, the legal person has now decided to invest in a mobile wagon, the so-called hunting wagon, to be attributed as a hunting base. We have seen in the treaty that instead of remaining this investment in favour of the hunting farm forever, as is the logic of these contracts, the private party has been prescribed at the end of the contract to collect its wagon. And he's already home! It's the same for cars. Under these contracts, legal persons often invest in equipment that is provided to hunting farms. Here the legal person was tricked and envisaged an investment in SUVs, only for five years. Five years later, he takes them back. [[Replication by National Representative Bürhan Abase.]] What it's worth, what it's worth, we saw it in the spring. It's very interesting there some mouflons, we went and saw them in the fence bought by the Czech Republic, from Poland for 4000 BGN. The count. Every hunter who heard the amount laughed and said: "This is absurd. " Besides being the super expensive price, we went to the fence and saw something more disturbing about the muflons actually were not first-quality trophies, but were suicide trophies, which, as their horns grew, killed them sooner or later. That's where some animals were bought just to be shot. It's this farm and the muflons themselves that disappear. I think the shot is extremely low and even falling. Tell me, how do muflons disappear from a fence, without disease, without anything? This was also observed in other hunting farms, but there was the most pronounced. It's the mooring. Everyone says it, everyone admits it, but no one dares to come out and talk, as I often allow myself, with an apology. Taking it is a serious problem. The conflict with the gangs. We have it in other farms, and there it is. That's because the power of legal entities is such that they allow themselves to take animals from neighboring hunting grounds, put them in fences, most often it's pigs, and hunt secretly in fences. We got this in a few places as secret information, only I can't put it in the reports and grades, because it's just in the ear of people who are conscientious, and I trust them.
ParlaMint-BG_2021-08-19.u227	Your time, Mr. Dunchev.
ParlaMint-BG_2021-08-19.u228	The errors in the reporting of the shooting are not only in the "Danube". And the fact that the same people are hunting not only in "Danube" is also seen in many other farms, this is seen when you look at hunting permits, you can see that they are critical animals, critics are their trophy qualities, so that you can not pay the real prices, that is, we have damage here as well. When I ask my colleagues why this is happening, they say: these people are so rich that even for animals they don't want to pay.
ParlaMint-BG_2021-08-19.u229	Thank you. Get up! Get up! Get up! Get up! We're coming!
ParlaMint-BG_2021-08-19.u230	Dear Madam President, Members of the National Assembly! Mr. Dunchev, in your exhibition, in the speeches and questions of fellow MPs there were some problems in the management of hunting farms, hunting bases, hunting territories. My question is as follows: have you identified a need for certain changes in the country's legislation so as to eliminate certain deficiencies, deficiencies or gaps in the regulatory framework, and if so, what action will the Forest Executive Agency take to address these identified problems through legislative initiatives and, of course, through the law of the Ministry of Legislative Initiative? Thank you.
ParlaMint-BG_2021-08-19.u231	Thank you. Here you go.
ParlaMint-BG_2021-08-19.u232	Here we come to the essence of the problem that the Law on the Hunting and Conservation of Wildlife for the entire college, without being a hunter, just retold the words of all colleagues in the sector, is an archaic law. It is made so as to protect certain interests, and everyone is already ripe for the idea that this law requires consensus, equality. Because I will only give you one example: if the private legal entities in the hunting farms under these joint activities contracts pay 10 BGN. investment per year, the state investment per year, it only next to them has another form of dedication to hunting territories, which proved extremely much more correct. These are the state game farms in the forestry farms. They are about 220 units in Bulgaria, covering three times the size of the hunting holdings if the hunting farms are nearly 4.5% of the country's territory, the game farms cover about 10 percent, the remaining 85% are of the companies, as you know. Something quite different happens in these game areas. There the state wins directly, without any investment, BGN 10 per hectare on average 8, 9, 10 BGN per hectare, without any investment, without any other problems, private countries invest, legal entities around 180 in Bulgaria currently invest about 8, 9, 10 BGN. per hectare, total investment around BGN 20 per hectare, from which the state loses nothing, only earns 10 BGN. per hectare and there is a form where the state does not import any money, the business brings all the money, there is full equality because there is no hidden-covering, there is no private country is stronger, there are certain abuses, but they are solved with transparency, so the market and as an administrative approach in the Law there is a form of dedication to hunting territories much more transparent and clean and defending the interest of the state. And maybe we should go that way, and the hunting farms will solve this with you and with the colleagues who are in the working group. Perhaps there to concentrate entirely on the state interest what we do with the game in Bulgaria. Because of this, the actions we take are as follows. Based on this analysis, as I have already told you, there is a working group, we have had preliminary meetings with 5 of the legal entities. They also believe that if they want to invest money in a way that is not only transparent, but also protects their interest, because they also put money into one, say, a scheme in which very often they are wronged, and we have cases where colleagues from legal entities also have problems, they are also ready to clean up this problem. There is a dialogue and it will have to grow into legislative solutions with which you can help to correct the Law on Hunting and Conservation of Game (WALK). It also requires another urgent solution, it is how to achieve a level playing field between legal entities, hunting farms and companies. At the moment the companies are extremely fragmented, they don't have the financial resources to manage their territories, there the poachers' problems are great. They can't keep up with these guys to fight poachers. For the game, the situation is also very bad. Currently with the University of Lesotechnics with associate professor Mihaylov and Professor Ninov, our professors from the University have developed a concept that we also discuss with all hunting circles, whether the hunting companions should be divided. To exist, but the organizational form with which a country is partner and which is equal to legal entities is not at municipality level, which is much more applied in the population principle, laid down as a primary in the Law, so that at municipality level associations operate much more adequately with financial resources, attract them, invest in hunting specialists, invest better in security and thus have equality with legal entities and protect much more adequately game. In the group territory, the problems are the biggest. In the legal entities in game farms, the averages, in hunting farms and private game partners are better off, except for holdings where the private person is more incorrect and abusive. Such examples, in my opinion, from the data we see, are the "Sherba", the "Source" kind of, so we have farms where things don't happen well.
ParlaMint-BG_2021-08-19.u233	Thank you. Moving on to the second round of questions. There's such a people. Come on in.
ParlaMint-BG_2021-08-19.u234	Thank you, Madam President. Dear colleagues! The 40th National Assembly has decided that the Forest Executive Agency will be only and only assisting the Minister authority and will carry out a check of the so-called joint agreements. It has not given the Executive Agency any other function than to check and report to the Minister because the Minister is the principal. Once the 42nd, 43rd, 44th, 45th, we'll see now the 46th, hasn't changed it, maybe there was a reason for that to happen. My question is as follows: on 18 December 2020, the Forest Executive Agency entered the report on the annual inspection, which is in the order of the WALD to the Minister of Agriculture. I suppose you should be familiar with him in his part concerning the State Hunting Department. The findings are that the contract is not executed. My question is, did you, Mr. Dunchev, do a follow-up check on the DHS? And what does it turn out to be? A moment ago you said that when there was a breach of the contract, which was found, the contract should be broken, whether it was broken, whether the minister then acted as a conscientious owner and a slightly more general question: since you entered the Executive Agency and became executive director under the order of the Hunting and Conservation Act, how many criminal decrees were drawn up and how many of them entered into force? Because, in fact, you're only talking about established violations, violations, violations, I want to know how many of them you sanctioned because you have every right to that. Thank you.
ParlaMint-BG_2021-08-19.u235	Thank you. Come in for an answer.
ParlaMint-BG_2021-08-19.u236	Thank you for your question, Mr. Abrovsky. This is not the annual report that is under the Law, it is not until November. What we have brought to the Minister is a first picture of the situation with the hunting farms. It is not binding, there is no need to make the minister do anything specifically but assess what the next steps are to resolve the problems. It's the easiest way to end their contracts. This will happen sooner or later, because it can't happen any other way, but it will happen after the Annual Report. What we did was not annual inspections, we analyzed the situation in the farms. From these checks in the Izvorika, as you said, I found this report, we see that in recent years we have failed, here is: 2020 with investments of 220 thousand. lv. only 127 thousand were met. BGN, i.e. there is a default. The excuse is that there is a problem with the crown crisis, a lack of customers. It's a contract problem again, because that's a good reason not to be able to meet the contracts, there's no way to get revenue when we're all at home, no one's hunting. The question is, what should be done? A flaw in the contract, that is, we will easily break the contract, but we do not solve the problem. We checked the state of the game. Here it is: the mouflon 260, 200, 200, 180, 190, 2018; 2019 .. 184; 2020.................................................................................. It's slowing down. At the same time, the shooting also falls every year: 2014 The Commission therefore concludes that the measures provided for in this Regulation are in accordance with the opinion of the Standing Committee on Plants, Animals, Food and Feed, 5 animals only shot at both reduces the shot and disappears. The revenue was verified: 2014 was 75, 2015. .. 170, 2020 1 lakh. Turns out revenue doesn't change because it has a private partnership. In other words, the private partnership itself does not lead to much financial benefit for the state economy. The interesting thing about the Izvor was that in addition to the mufflons I told you about, now that our inspection, a contract has been terminated with a related company to which 15% of the revenues as commissions have flown, related companies have purchased feed, including prices that are several times higher than the market company and measures have been taken here by the holding. What we have finally recommended that we do not go into detail. Verification should be carried out on the deficiencies identified and a report should be prepared to the Agency. That is, we are looking for the country's opinion, the legal person and the hunting farm. We have received such a contract, some measures have been taken, but we do not solve the ultimate problem of all this inequality, for all these schemes, because today we have them, tomorrow others will come and everything will continue as before. That is why our goal is not to go to war with all these people, some of them are super correct, extremely good-natured to hunting holdings. This is the case with Vetinya, in a way with Nessebar, the previous owner, so there are conscientious ones. The idea is to solve the problem of how to manage these farms with legal entities, whether without legal entities, so as to protect the state interest as far as possible. Therefore, our proposals to break contracts will not come until we have a solution to the problem. If we tear up the contracts now, we lose the dialogue with all these people. Who are they? You can see for yourself in the Trade Register all companies who are behind them. We've seen some of these people, we see they're understood, we see they're willing, they've brought in heart and money, just because of the lack of rules they've been left behind and they've had the opportunity to abuse, to get on the head of hunting farms and employees. People themselves are not bad, just the lack of rights have created prerequisites for abuses that we need to stop and see in which direction we will lead the hunting farms. I'm just gonna tell you about the punitives, and I'm gonna give you an answer. For there we have references that are also public, on the Agency's Facebook page, but for criminal purposes I am not in class, but I will prepare for next time.
ParlaMint-BG_2021-08-19.u237	Thank you. From the parliamentary group of GERB-SDS. Here you go.
ParlaMint-BG_2021-08-19.u238	Dear President, honourable Members, dear Mr. Dunchev! We all know that according to art. 9, para. 12 state-owned enterprises under the Forest Act may, after a competition, conclude contracts for joint implementation of the activities with legal entities. We understood that contracts were concluded for 15 years, we understood that this practice was introduced in the distant 2008 period, that private participants should offer a programme of investments and activities by years under the control of the IAG and the Minister in the competition documents. And now, in order not to delay the time, my question is: what is your opinion, Mr. Dunchev, for these joint activities, has or has no positive effect on forests and game? And I would very much like you to answer me: did Minister of the Interior Bozukov authorize the announcement of new ones, and if he did, is there a difference in the conditions compared to the previous procedures? Thank you.
ParlaMint-BG_2021-08-19.u239	Thank you, Mrs. Dimova. Here you go, Mr. Dunchev.
ParlaMint-BG_2021-08-19.u240	Thank you for your question, Mrs. Dimova. What is the use of new concessions in hunting farms under art. 9 of the Wildlife Conservation Act? The Forest Agency hasn't been through that kind of information, I don't know. The last two such contracts, such two procedures, are a few months before the end of the previous government's term of office. Interesting are the companies, interesting are the faces. It's more scandalous for Gramatikovo, where against 15,000. lv. An annual investment is made around 30 thousand. the hectare under the control of one legal person. We need to see who it was. The joint activities, their benefits, we walked around for a reason to gain an objective idea of what is useful and what it is. Again, there is a benefit because these are strong people with positions. This enabled either their guards or to encourage the guard of hunting farms, to deal with poachers a little better than it is in the game areas, not to mention in the company territory. So there is some benefit for game there, except for farms, where the opposite economic power is used to abuse and shoot off game. We have several farms like this, I shared them. So the benefits are in some places plus, some minus. What are these benefits, you will ask, but those who are not familiar with the contracts? For buying feed. Some of them are farmers, it is very easy to buy feed, others do it at higher prices, third invest in cars that collect them on the fifth year, fourth invest in buildings. For example, in "Aramliets", in "Cherney Lom" and in "Palamara" the investments where of the holding, where of the legal person, led to the quality of the base to be increased and for the last 2 years these great bases to be sold, privatized by persons related to the legal person, that is, you see that there the investments were then used to acquire the buildings. So this is another example of how useful and useless they are for some, and others are clearly not so useful for these investments. What else is invested in? He's investing in security. I'm giving you an example. In the Black Loms, in the fence, which is a concession, a joint operation contract a fence of several hundred hectares, about 200, if I am not mistaken, for years the investment in security is 60 thousand. BGN, the investment in fuel for security is 60 thousand. lv. Last year, the wild pigs were killed because of the plague, but the investment continued. Someone for the same money as last year saw an empty fence, reported some costs for protecting an empty fence, and we ask: what is the point of these investments? Thank you.
ParlaMint-BG_2021-08-19.u241	Thank you. From the BSP for Bulgaria....second question? Here you go.
ParlaMint-BG_2021-08-19.u242	Thank you, Madam President. Dear colleagues! I'll be as brief as possible. A lot of things have been heard, I think they were important. My specific question is as follows: is there a single state strategy for the development of Bulgarian hunting, what can we, the National Assembly, do in this sense to protect the Bulgarian forest and Bulgarian game? However, if the answer can be specific, first, second, third, fourth. I hope, colleagues, we can all roll up our sleeves together and do what we need to do because we have the ball. Secondly, some farms, especially those who have joint business contracts, do not allow Bulgarian citizens on their territory. Essentially, honourable Members, these are private latifundias. I've lived in Latin America, but believe me, I've never seen anything like it. What measures does the Bulgarian state take? Of course, it is not the person who will answer now, but I would also ask the Minister of Interior: what actions are being taken, the prosecution, to stop? People who want to pick mushrooms, pick berries, if you want to go for a walk in the woods... It's about time this stopped! Thirdly, how can state-owned enterprises improve control of hunting farms in terms of fire safety and the logging of the forest fund? Last week, I had a question for the Prime Minister about fires. This is an extremely sick topic, how much they invested...
ParlaMint-BG_2021-08-19.u243	Mr. Kuminev, the weather.
ParlaMint-BG_2021-08-19.u244	I'm done. What investment does there have to do with fire safety, a very important problem? Thank you.
ParlaMint-BG_2021-08-19.u245	Thank you, too. Procedure.
ParlaMint-BG_2021-08-19.u246	Thank you, Mrs. Vasileva. Ladies and gentlemen, as I see that time is advancing, I do not know if we should ask for an extension to the end of the point by procedure.
ParlaMint-BG_2021-08-19.u247	There are committees scheduled for 2:30, so I'm afraid we're not gonna make it.
ParlaMint-BG_2021-08-19.u248	Too bad, it would have been interesting.
ParlaMint-BG_2021-08-19.u249	Thank you. A declaration on behalf of a group? [[Heckling]] We interrupted Mr. Dunchev's response. Okay, here you go.
ParlaMint-BG_2021-08-19.u250	Madam President, ladies and gentlemen of the House! Currently, two important topics for Bulgaria are being managed in a complete lack of transparency by the caretaker government. One topic is the migrant and refugee crisis in front of Bulgaria. When we alerted the coming crisis a month ago, we weren't heard. Even the caretaker government and many of the parties here in parliament have allowed themselves to approach the issue with irony. Currently, camps are secretly being renovated and new terrains are being prepared to accept refugees and migrants, without any transparency and accountability for this to the Bulgarian society. Ministers in the last few days have been concerned with commenting that there is no means to manage the crisis. They say how the Council of Ministers will propose changes between the two readings of the State Budget Act to provide funds for police, army and reception centers. After you were warned about the coming crisis, why didn't you do so as soon as the update of the budget was submitted at the beginning of this month to the National Assembly, and now the translucent government will want an additional update of the budget already submitted by the government? Is this the professionalism and transparency of Radev's office? Download the budget, update it and submit it again. We in Parliament will act responsibly. Yesterday it became clear from a statement by representatives of the Council of Ministers that we will accept refugees under the European Union and NATO. So far, Bulgarian governments have always been responsible and solidarity within these two alliances. We have helped the other Member States and the Commission because Bulgaria is an external border of the EU and also relies on this solidarity. Precisely because we were honest and open, Prime Minister Borisov managed to negotiate 160 million. EUR additional funds, physical assistance and security equipment at our border in order not to weigh these costs entirely on the Bulgarian budget. He managed to maintain good working relations with the Republic of Turkey, which reduced pressure over the Bulgarian border, which we want to remind, is also an external border of the European Union. Pressure on our border is pressure on all other member states. Radev's caretaker government must immediately insist to the Council of the European Union on targeted funding in order to prepare the external borders of the EU in Bulgaria and Greece for the coming wave; to raise the issue and seek supporters between the Member States for the immediate targeting of EU humanitarian aid funds in order to assist the currently host refugee countries neighbouring Afghanistan, as well as to reach an agreement with these countries by analogy to the 2016 agreement with Turkey to prevent the problem before it reaches our own borders. This is why we need an active foreign policy, we need authority and access, which President Radev does not have. The second topic, which Radev's caretaker government is developing secretly, is the procedure for acquiring another batch of F-16 fighter planes. We know that the governments of Rumen Radev have an affinity for the procedures for acquiring airplanes, and this always happens in the dark. What is really clear that the caretaker government has ended from answering my question to the Minister of Defense? Following a response to the request for prices and stocks during the spring of this year, negotiations on the acquisition of the second eight aircraft continued. The government has now sent a request for a binding offer with exact prices and delivery dates. The answer will in fact constitute a draft contract for the new F-16s. After its receipt, the Council of Ministers will submit to the National Assembly an investment expenditure project with the exact parameters of the supply contract and equipment prices accordingly. Immediately after his possible adoption by the National Assembly, the next cabinet must sign the treaty. It is important to know that this document also has a period of validity, with which the next National Assembly will have to comply. By the way, this is the road map drawn up by the government of GERB, only for the next regular government, so that it can hold its political talks to support this project. However, we are pleased to find that Radev's government has realised that the continuation of this policy is the right approach. However, we welcome that they have decided not to delay and revise the purchase of eight new aircraft, because this is the responsible decision to continue GERB's defence policy. We just don't understand why this is done in total darkness. It even came to the insanity of yesterday's press office of the Ministry of Defense to disprove its own minister. Why all this secrecy when this process has to be public? We can only assume that it is kept secret because of the many harsh words that have been said on the topic in recent years "How the acquisition of F-16 will threaten our entry into the euro area, how their purchase was a search for political indulgence or an umbrella by the US to Borisov and many, many others similar. Rumen Radev must have realized how false all these claims are and that this is the only right approach, because the contrary would be severe irony. And perhaps there are other commitments made that, unlike those made to our allies in Northern Macedonia, have their extension. The topic of acquiring the next F-16 should be public, as it was when buying the previous eight and the place of this debate is here in parliament. The GERB government has always informed in full the MPs as soon as the procedure was planned. We knew where the money was coming from and how it would be provided, and Rumen Radev's caretaker government has a plan? Let them be so kind as to come to the Defence Committee and at least let us know what they have done. Thank you, Madam President. [[Applause from GERB-SDS.]]
ParlaMint-BG_2021-08-19.u251	Thank you, Mr. Gadget. Please answer the question from BSP for Bulgaria. Here you go.
ParlaMint-BG_2021-08-19.u252	Thank you, Madam President. Thanks to Mincho Kuminev, because he raised the main problem, raised a question on the main problem of hunting farms and game conservation in Bulgaria, and that is that the state has no strategy. We have a strategy for forests, but we have no strategy for animals, for game and for their conservation. Why? Because there is no such requirement in the Hunting and Conservation Act. I hope we will soon have, because without a strategy what is happening now is happening instead of defending a state interest with vision, we are actually working on the visions of certain people, and we need to change it and be a common vision of both people and the state. What can the National Assembly do about forest and game? He can do what we have already started with at the Forests Agency -- total transparency -- that is, rules in the laws that guarantee total transparency in forests. We already have public records of everything, and our administration has public information about each employee with a professional biography, so that when he meets with him tomorrow, you can find out who he is, whether he is a random person or a proven expert. The next task is to protect the professionals with us, and this is required by Law. The professionals in the woods, in the hunt, no one protects them, but are the main ones who carry the punishment, by the way. To create conditions for public participation and precisely such participation, for example, we have requested, and it is already required, even though the Law does not require it. As an indication, we have lowered it to regional forest directorates when orders are issued to limit access to hunting grounds, to do so only after public discussion to invite them. We made it a test in two farms. "Vitignia" and "Masalat" and invited the stakeholders and reached a total consensus with all the hunters, tourists, nature conservationists, stood on the same line and made decisions not to limit territory so as to stop poaching but to protect tourist routes and create opportunities for hunters to protect their game. So this consensus is absolutely possible and we have proved it. We have created a requirement: when access is restricted, that is what Mr. Kuminev was talking about, the requirement is to indicate as grounds only hunting-business grounds, which are based on the hunting-business plan, not to suck one of his fingers: there I will hunt and stop access. Here's how the rules can be changed even without changes in the Law, but we do it for good will, but in order for the next ones to be able to change it, we rely on you to further develop it in the laws. On our part, we will cooperate with our experience, which we have already created. Thank you.
ParlaMint-BG_2021-08-19.u253	Thank you. From the Democratic Republic of Bulgaria come on in.
ParlaMint-BG_2021-08-19.u254	Madam President, ladies and gentlemen of the House! Dear Mr. Dunchev, unfortunately, we are at the end of the meeting, you will probably not be able to answer this question, however important this was, but colleagues from GERB decided to make a declaration, part of which contains classified information from yesterday's Committee on Foreign Affairs, but this will probably be the subject of another conversation. And as for the importance of the topic, it is certainly important and as far as parts of the Bulgarian territory for a certain purpose are being remade to a private benefit for people who surround these terrains who have the opportunity to benefit from the state budget, here I have a note to Mr. Dunchev. In fact, there is no return and these are losses, and there is only a return when it is over 100% of the funds invested. These holdings are loss-making and are mainly losses from the state budget, although they are in the form of timber extracted from neighbouring holdings. My question, if you still have the opportunity, is: the way these joint operations contracts are concluded, who is exercising control and what is the capacity to carry out this control? As far as I know, the resources in your office are actually pretty low for that. Thank you.
ParlaMint-BG_2021-08-19.u255	Thank you. Please come in for an answer and we'll be done after that answer.
ParlaMint-BG_2021-08-19.u256	I'll just say that the investment per year is about 4 million for fire-fighting measures, Mr. Sandov. We have now requested two million more for new Jeeps of the Forest Agency and training and equipment and more for helicopters several million. With regard to control in hunting farms, the law requires control to be carried out by the Forest Agency and the Regional Forest Directorates. My assessment is that over the years this has been formally done for a number of reasons. I hope from now on that will change, especially if we change the rules as well, as the Members themselves admit that it is difficult to check people who can call and fire them or send them to another place where they would not want to work. Thank you.
ParlaMint-BG_2021-08-19.u257	Thank you. I don't think there's time for the issue from the Movement for Rights and Freedoms anymore. We'll continue next week, I guess, this hearing. Come in for a procedure.
ParlaMint-BG_2021-08-19.u258	Madam President, as it is the last question, please extend the time for the declaration that colleagues from GERB-SDS read here.
ParlaMint-BG_2021-08-19.u259	First, there is no such procedure and, second, Mr. Abase, then there is five minutes, and six groups of five minutes are 30 minutes, so there are many more until the end of this hearing. If you want, we can save it for next week. Yeah, next week we'll continue with the DPS, plus the expression of attitude. I think it's best if we don't miss the committees today. That concludes today's plenary session. The next meeting is tomorrow at 9:00. [[PHONE RINGING]]
