ParlaMint-NL_2018-10-18-tweedekamer-17.u1	The next item is the continuation of the budget debate on VWS.
ParlaMint-NL_2018-10-18-tweedekamer-17.u514	Mr. Chairman. I'll start with three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that in recent years the focus in hospital care has been on competition rather than cooperation and that hospitals, based on the Competition Act, are not allowed to make agreements in many areas;]] [[believes that not competition but cooperation can improve care;]] [[considers that both the hospital sector and the patient benefit from a strong network of large and smaller hospitals that work well together;]] [[calls on the Government to encourage and facilitate cooperation by removing any obstacles,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the cabinet aims to maximise the number of physical therapy and practice therapy in COPD;]] [[considers that the maximum number of treatments in chronic patients creates an undesirable threshold for access to care;]] [[Calls on the Government not to maximise the number of physiotherapy and practice therapy treatments for COPD patients and to finance this from the downgrading of 500 million as budgeted for 2019,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the cabinet aims to remove heavy paracetamol, vitamins and minerals from the basic package;]] [[noting that this results in additional costs for chronically ill and elderly people;]] [[considers that this is not in line with the cabinet's objective of reducing the accumulation of care costs for people;]] [[Calls on the Government to keep heavy paracetamol, vitamins and minerals in the basic package and to finance this from the under-scoring of 500 million as budgeted for 2019,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Van Gerven, Mr Van der Staaij and Mr Ploumen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-39]] [[This motion has been proposed by Mr Van Gerven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-40]] [[This motion has been proposed by Mr Van Gerven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-41]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u515	Mr President, I would like to conclude. The debate tonight with the Minister and the Cabinet was very disappointing. We see that the system is cracking and that a lot of things are going wrong. I pointed out the consequences in hospital care, for example obstetrics at the Bethesda hospital in Hoogenveen, which is being demolished. And the minister watches, has the helm or the steering wheel in his hands to adjust, but looks away and dives away. If the market fails, the government must act. Unfortunately, this cabinet doesn't. So we have to note that this cabinet is failing.
ParlaMint-NL_2018-10-18-tweedekamer-17.u516	Thank you, Mr. Van Gerven. I now turn to Mrs Bergkamp on behalf of D66.
ParlaMint-NL_2018-10-18-tweedekamer-17.u517	Mr President, thank you. I would like to thank the directors for their comprehensive response and, of course, for their support, which I believe has all worked very hard, as well as the Bureau for Legislation, which has also played an important role in all the amendments. Thank you on behalf of our group. I've got three motions. I'll start with the first one. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having regard to the opinion of the Committee on Budgetary Control,]] [[noting that, through a so-called open house construction, parties meeting the quality criteria can register and conclude a multi-annual contract with the public authorities;]] [[considers that part of these quality requirements should in any case be that the choice is for women and should not be directed, and that the mission and objectives of an organisation should not affect this;]] [[calls on the Government to include this in the quality requirements and to send them to the Chamber by 1 December at the latest;]] [[calls on the Government to draw up quality standards in such a way that they fall within the scope of the Quality Complaints and Disputes Care Act, so that the Health and Youth Inspectorate can monitor the quality of the assistance,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bergkamp and Mr Pia Dijkstra. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-42]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u518	Thank you, Mr. Chairman. I also have a question on this subject. We are very curious when it comes to Siriz whether they are legally, administratively and/or financially connected, intertwined with the VBOK. I have another motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that in the disability sector there are nice residential care arrangements but that there is still much room for improvement as shown by the report published in April 2018 as well as at home of the SCP;]] [[considers that new forms of residential care arrangements will also benefit disabled people;]] [[Considering that in January 2019 the Ministry of Home Affairs and Kingdom Relations, Health; Welfare and Sports and Eachen (in) will launch an investigation into the problem of establishing residential care arrangements for people with disabilities;]] [[calls on the government to explicitly address the specific characteristics of this target group, in particular in the areas of home ownership, income, frequent re-indications for young people with disabilities and the ageing of disabled people, and to inform the Chamber for the Budget Treatment of Health, Welfare and Sport 2020 about the results,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bergkamp and Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-43]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u519	Thank you, Mr. Chairman. I also have a question about this. There is an innovation scheme for residential care arrangements for the elderly in the Langer Home programme. I would like to ask the Minister whether he can see if something like this could be suitable for the disabled sector. That is a supplementary question from me. Then my final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that an ergotherapist can help elderly people to direct their own lives because the treatment of an ergotherapist is aimed at re-executing activities in which the client feels limited, and learning to deal with those limitations in execution;]] [[Considers that such a method, which can be summarised in the phrase "helping yourself," has great added value and can play a role in staying at home for longer;]] [[whereas the occupational therapist has been in the basic package for ten hours a year since 2005, but the care demand has changed since 2005, also in view of demographic developments;]] [[noting that SEO Economic Research in a 2014 study concludes that, in addition to benefits for the patient itself, the ergotherapist also brings social benefits;]] [[calls on the Government to ask the Healthcare Institute to assess whether the current maximum number of treatment hours is still in line with the current care demand and the objective of enabling people to stay at home for as long as possible, taking into account in particular the role that the ergotherapist can play in the context of proper care in the right place and the substitution effects that an ergotherapist can achieve,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Bergkamp. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-44]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u520	Thank you, Mr. Chairman. As I indicated in my speech, people really need to see improvements. Whether that's grandma in the nursing home, the neighborhood nurse with her endless forms, the parents of a handicapped child who have to answer for themselves time and again, the woman with a life-wide limitation who can't be caught in a single health bill or, as my colleague from the SP said, the so-called 'listjesman'. I think it is important that we now move from action programmes to people. I have noticed that these rulers have a lot of passion and drive to make it a real beauty. We'll meet again in a year's time to see if we've actually reached people with those actions. Thank you very much, Mr President.
ParlaMint-NL_2018-10-18-tweedekamer-17.u521	Thank you, Mrs Bergkamp. I call Mr Raemakers. He also speaks for D66.
ParlaMint-NL_2018-10-18-tweedekamer-17.u522	Thank you, Mr President. I think we've had a good debate. I would also like to thank the directors and the support staff very much. I have three motions. The first motion concerns transparency. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the objective is to have outcome information available for 50% of the disease burden by 2022;]] [[noting that differences between patients, such as age, gender or multiple conditions, may lead to different outcomes;]] [[noting that some results can only be seen or measured in the long term;]] [[Considers that differentiation based on patient characteristics and a long-term perspective provides valuable information for patients who can help them make an appropriate choice;]] [[calls on the Government to include in the "Emergency Care" programme differentiation based on patient characteristics and the long-term effects of treatment,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Raemakers. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-45]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u523	Mr President, my second motion concerns digitisation and the digital exchange of data. In the debate, I asked Minister Bruins if he was prepared to make such a master plan. The Minister's answer was very clear. He said a master plan really goes too far. We have just as it is called "stuck the heads together," and we have come with CDA and VVD to the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Court has previously expressed its views on the Minister's approach to a modern electronic exchange of medical information between and between institutions;]] [[whereas the Minister indicated in his letter of 15 October 2018 that he was prepared to take more direction, but did not yet know exactly how to shape it;]] [[whereas KPMG identifies several bottlenecks in the report on "Outcome targets in maps," but notes in particular the lack of an integrated approach;]] [[whereas the Information Board in its response to the KPMG report indicates that it is important to achieve greater coherence, but that this does not (yet) directly result in a master plan, in which all measures return in an integral way;]] [[Notes that the current electronic information exchange of medical data between and between institutions is still not sufficiently modern;]] [[calls on the Minister not only to report on his direction and on the possibilities of legal obligations, but also on his overall vision and direction and to inform the Chamber before 1 April 2019;]] [[calls on the Minister to also indicate the concrete improvement of the exchange of information he intends to achieve in 2019, 2020 and subsequent years and how he is always directing it,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Raemakers, Mr Van den Berg and Mr Arno Rutte. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-46]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u524	I'll take this as a compliment. If you're with three parties, each party wants to bring in something. That's why it couldn't be shorter, unfortunately. My final motion concerns a very important subject, genital mutilation. This evening, too, we had another debate on the matter and earlier written questions were asked about it. We'd like to table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that in 2014 the Minister of Health, Welfare and Sport, in response to parliamentary questions by member Pia Dijkstra, undertook to bring recovery operations of genital mutilation under the Health Insurance Act as soon as the protocol on reconstructive surgery and female genital mutilation was completed;]] [[Considering that the draft "Medical Care for Women and Girls with Genital Mutilation (FGV)" guideline states that there is currently little literature available on what is reconstruction, what is the purpose and what are the possibilities and that there is therefore weak evidence of pain reduction and a need for a clinical trial of good quality;]] [[noting that, once the guidance is authorised by the end of this year, the Minister will ask the Health Institute for an assessment and request that it be carried out quickly;]] [[calls on the Minister to also ask the Healthcare Institute, in consultation with the professional groups, to provide advice on how to organise a clinical trial in order to clarify the safety and effectiveness of reconstruction for the future, and how to connect with existing research programmes,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Raemakers and Mr Sjoerdsma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-47]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u525	Thank you, Mr. Chairman.
ParlaMint-NL_2018-10-18-tweedekamer-17.u526	Thank you, Mr. Raemakers. I call Mrs Ploumen of the Labour Party.
ParlaMint-NL_2018-10-18-tweedekamer-17.u527	Thank you, Mr President. Thank you to the rulers for the answer. I have three motions. Motion one. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas if you are unintendedly pregnant, it is important to have easy and accessible access to information and to be able to ask questions;]] [[noting that there are currently several places for women to go;]] [[Whereas in Germany, among others, there is a central information point which has been widely publicised by means of a public campaign;]] [[calls on the Government to set up a single central information point for questions of unwanted pregnancy and to make it widely known by means of a public campaign,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Ploumen and Mr Ellemeet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-48]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u528	Mr. Chairman. Then there is the question of recovery operations in genital mutilation. We've been talking about it for years. It is high time we had a solution and therefore a motion supported by almost the entire opposition. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas treatment of symptoms resulting from genital mutilation is reimbursed but not repaired;]] [[believes that genital mutilation is a violation of human rights;]] [[Calls on the Government to take a decision on the reimbursement of recovery operations in the event of genital mutilation by 2019 at the latest;]] [[calls on the Government to temporarily pay recovery operations for 2019 from grants for women who are unable to pay for an operation even though they are eligible for it,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Ploumen, Mr Van Gerven, Mr Ellemeet, Mr Sazias, Mr Agema, Mr Van der Staaij and Mr Kuzu.]] [[She's getting No. kst-35000-XVI-49]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u529	Mr. Chairman. My third motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that doctors' assistants have been given more and more tasks and are indispensable in general practitioners' practice;]] [[Whereas it is important for patients to be able to be sure that they are dealing with a competent and competent doctor's assistant;]] [[calls on the Government to protect the title of doctor's assistant,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Ploumen, Mr Sazias, Mr Van Gerven and Mr Kuzu. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-50]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u530	Mr. Chairman. Finally, a question addressed to State Secretary Blokhuis. He himself opened the debate here tonight on the prevention agreement, which we have not yet seen and which we cannot talk about, unfortunately. I would like to know from him what the minimum requirements he has laid down before the various parties have entered into negotiations. What does he want with that package? And when does he think it's enough? Thank you.
ParlaMint-NL_2018-10-18-tweedekamer-17.u531	Thank you, Mrs Ploumen. I call Mr Kerstens, also on behalf of the Labour Party.
ParlaMint-NL_2018-10-18-tweedekamer-17.u532	Thank you, Mr President. I have three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the National Ombudsman, as well as the Vice-President of the General Court and the Director of the Social and Cultural Planning Office, have jointly sounded the alarm clock about the lack of access to the care of vulnerable people, as a result of which they are (threatened to) between shore and ship;]] [[noting that despite previous signals (such as the National Ombudsman's Care for Citizens Report of 14 May 2018), insufficient action has been taken;]] [[considers that this is necessary;]] [[calls on the Government to take concrete action as urgently as possible to address effectively the problems identified (taking into account, inter alia, the recommendations and suggestions made by the National Ombudsman), to inform the Court of Justice of their exact content by the end of this year and subsequently to inform it of the progress made every six months,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the ambition set out in the Working in Care Action Programme to reduce staff shortages in care to (or near) zero is as necessary as it is ambitious;]] [[Whereas this is one of the most important tasks of care for the coming years;]] [[Considering that the government considers that improving salaries and addressing the workload in healthcare (according to employees' main reasons for leaving care) is the responsibility of social partners and employers in the region;]] [[Whereas this does not sufficiently safeguard the necessary progress on these two issues for achieving the ambition set out in the action programme;]] [[calls on the Government to step up its guidance on, in particular, progress on these two issues as well as to inform the Court twice a year on how this is taking place and its effects,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the AMvB "real prices in home care" has a positive impact on the establishment of decent rates in home care;]] [[noting that there is and continues to be a great deal of discussion in the field of youth aid as to whether or not real prices are currently being paid;]] [[Whereas, here too, regulation will clarify what rates are not real or real;]] [[calls on the Government to consider how (possibly, for parts of the youth assistance, by means of regulations such as those referred to above) the creation of real rates in youth aid can be promoted,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Kerstens, Mr Ellemeet, Mr Hijink, Mr Sazias and Mr Kuzu.]] [[She's getting No. kst-35000-XVI-51]] [[This motion has been proposed by Mr Kerstens, Mr Ellemeet and Mr Hijink. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-52]] [[This motion has been proposed by the member Christmas. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-53]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u533	One more comment, Mr President. The people who work in the care sector call the high workload and the low salaries as the main reasons for leaving care prematurely. As far as the latter is concerned, the Minister said this evening in a small debate with me that the people in the care are actually wrong, that it is all okay with those low salaries; nothing to complain about. On Facebook, these comments have led to more than 600 comments in a few hours. I will not repeat them verbatim here, if only because the President will probably call me to order or my words will be deleted from the Acts. But let me put it this way: the people who work in the care sector do not recognize themselves in the words of the minister.
ParlaMint-NL_2018-10-18-tweedekamer-17.u534	Thank you, Mr. Christmas. Mrs Dik-Faber has the floor on behalf of the Christian Union.
ParlaMint-NL_2018-10-18-tweedekamer-17.u535	Thank you, Mr. Chairman. Thank you to the directors and to all the officials who have worked so hard for all the answers. I would also like to thank the directors for their positive opinions on the amendments: the amendment on lifestyle medicine that I tabled together with Mrs Ellemeet, but also the amendment on free registration for children conceived with the help of a donor. Those are really important amendments and I hope for broad support in this Chamber. I would also like to thank you for the commitments. Let me mention one: the palliative approach for patients with an untreatable psychiatric condition. On this subject, the VWS Minister has made a commitment that he will take this with him to the palliative care programmes that are now under way. He will inform us more about this in the first quarter of next year. I look forward to it. I'm gonna read the motions soon. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas breast-feeding occurs in a range of diseases and health problems in both children and mothers, in the short and long term;]] [[Considering that the National Platform Breast-feeding and the National Breast-feeding Council conclude that timely lactation help ensures that women do not stop breast-feeding prematurely, as is currently the case with 65% of mothers;]] [[Whereas breast-feeding care is embedded in youth health care after the maternity period, but the possibilities of lactation care are not adequately addressed in discussions with the youth nurse;]] [[Whereas nursing care is not covered by basic insurance during the maternity period, whereas nursing care as part of youth health care is free of charge;]] [[calls on the Government to improve the integration of lactation into youth health care with a view to improving support for mothers in breast-feeding;]] [[calls on the Government to examine, together with VNG, the possibilities of making lactation care available as part of youth health care from the birth of the child,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is still a great deal of waste in the care sector;]] [[Considering that tackling waste in care is a long-term issue and a great deal of savings can be made here;]] [[Whereas the follow-up actions to the Approach programme have been given a place in various programmes and agreements;]] [[Calls on the Government to review the ongoing actions aimed at reducing waste in healthcare and to report to the Court in spring 2019;]] [[calls on the Government to also consult with health insurers, manufacturers and other relevant parties in order to identify possible additional steps,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas research shows that the financing of mental care is a patchwork;]] [[Considering that the financing of mental care in the home situation in 2019 and 2020 runs through the existing funding scheme for networks of palliative care and that alternatives to structural funding are still being identified from 1 January 2021;]] [[Whereas as from 1 January 2021, 5 million is structurally available for mental care in the home situation;]] [[calls on the Government to identify various options, including advantages and disadvantages for the financing of mental care in the home situation after 2020 and to inform the Chamber before 1 September 2019,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-54]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-55]] [[This motion was tabled by Mr Dik-Faber and Mr Slootweg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-56]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u536	The final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Ministry of VWS provides grants to promote sexual health, including sexual education through schools to children and young people;]] [[Whereas children and young people should be informed about sexual health in an independent manner appropriate to their age;]] [[considers that schools should have the possibility to choose between different teaching methods in the field of sexual health;]] [[calls on the Government]] [[accelerate the independent assessment of sexual health teaching methods for new providers before 1 March 2019;]] [[make available from the existing grant a budget for new teaching methods;]] [[encouraging schools to choose from different teaching methods through the Healthy School,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Dik-Faber and Mr Slootweg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-57]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u537	Then I can ask the Secretary of State one more question in the last second. In the written reply I read that he wants to give the subject of malnutrition a place in the Langer Home programme. That's very good. But the question was also: can we give it a place in the width of the first line? I am thinking, for example, of the position of general practitioners, but no doubt there are other functions in the first line where the subject of malnutrition can get a good place. I would like to receive an answer to that. I stayed right in time. Thank you.
ParlaMint-NL_2018-10-18-tweedekamer-17.u538	Thank you very much, Mrs Dik-Faber. I call Mrs Akerboom on behalf of the Animal Party.
ParlaMint-NL_2018-10-18-tweedekamer-17.u539	Thank you, Mr President. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Q-fever epidemic has so far cost at least 74 people their lives and made thousands of people chronically ill and disabled;]] [[Whereas the maximum compensation of €15,000 per victim does not reflect the serious consequences of the disease;]] [[calls on the government to substantially increase the compensation of €15,000 per victim,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that before the introduction of the UK sugar tax many manufacturers removed sugar from their soft drinks;]] [[Whereas a sugar tax encourages manufacturers to make healthier products and encourages consumers to eat and drink healthier;]] [[calls on the Government to make a sugar tax part of the national prevention agreement,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Akerboom and Mr Van Gerven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-58]] [[This motion has been proposed by Mr Akerboom. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-59]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u540	Don't worry. There's two of them. Mr. Chairman. I thank the rulers for their reply. I also thank the support. As far as oral care is concerned, I am a little disappointed, but let 'a little' go, especially when I read in the written answer that elderly people who are in the Wlz, with a Wlz indication, are assured of oral care. I actually think that is a form of great inequality. So I can tell you that the last word has not yet been said. We will certainly continue to do so, but let me reassure you: I do not have a motion on this now. I would like to thank the Minister for making more publicity for the medication assessment. I'm just curious how he's gonna do that. I am also grateful to the same minister for his support in the bacteriophages, because I think that is really very important and necessary. We are also pleased that attention will be paid to a new vaccine against shingles. I say that again in the direction of the Secretary of State. That vaccine is currently being registered. Shingles is a very nasty disease that is particularly contagious, so I'm glad you're doing that. I'm also happy with the pneumococcal vaccine. I am pleased that the Minister intends to take over the advice of the Health Council. I do have a motion to encourage this. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having regard to the opinion of the Health Council in February last year that people from 60 years of age should be vaccinated against pneumococcal disease;]] [[Whereas the Secretary of State intends to take over the opinion of the Health Council;]] [[Whereas RIVM still needs six months for the execution test;]] [[calls on the government to speed up the implementation test and to clarify as soon as possible the form of public funding for the vaccination against pneumococcal disease,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Sazias, Mr Ploumen and Mr Renkema. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-60]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u541	Malnutrition, that is what we have been talking about, and I often talk about it. It's a huge problem. It turns out that there are a lot of people, caregivers, but also elderly people themselves, who do not know the guidelines, the knowledge and the information. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that malnutrition in the elderly is still a major problem;]] [[Whereas several directives are being developed for food and meal supplies and these directives do not always land in the right places;]] [[calls on the Government, within the framework of the Elder Care Pact and its programmes, and in consultation with the Food Centre, Malnutrition Steering Group, municipalities and insurers, to ensure that the guidelines, knowledge and information reach the elderly and their supporters and caregivers,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Sazias, Mr Kerstens, Mr Agema, Mr Slootweg, Mr Ellemeet, Mr Hermans, Mr Dik-Faber and Mr Bergkamp.]] [[She's getting No. kst-35000-XVI-61]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u542	This is a subject that we also consider important. My question is whether I may also be allowed under your fine motion.
ParlaMint-NL_2018-10-18-tweedekamer-17.u543	I'd love to, Mrs. Bergkamp.
ParlaMint-NL_2018-10-18-tweedekamer-17.u544	That is what has been done here.
ParlaMint-NL_2018-10-18-tweedekamer-17.u545	Finally, I would like to endorse a number of motions.
ParlaMint-NL_2018-10-18-tweedekamer-17.u546	Thank you. Finally, Mr Kuzu. Do you still need a second term? Yes, that's the case. Oh, I'm sorry. That's awful. I forgot Mr Van der Staaij. You're first. I was a little further in my head, but Mr Van der Staaij is, of course, entitled to his second term.
ParlaMint-NL_2018-10-18-tweedekamer-17.u547	Mr. Chairman. For a moment, I thought you were skipping me to say a final word, but I shall now confine myself to tabling the motions, after thanking the rulers for their reply. I've got three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas rigid budget ceilings may hinder citizens' freedom of choice,]] [[Whereas this is particularly distressing in the case of palliative terminal care;]] [[calls on the Government to promote the early detection and effective resolution of existing bottlenecks,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas potential re-enterers may sometimes see the current training programme re-registration of BIG registry as a threshold for re-entry;]] [[calls on the Government to promote the removal of unnecessary thresholds for re-enterers as far as possible, either by providing better information on the training programme or by actually increasing the scope for tailor-made work while maintaining quality,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, from the point of view of public health, a great deal of effort is needed to prevent the normalization of drug use during dating or visiting festivals;]] [[Whereas the production of party drugs is also linked to serious crime and nuisance, such as drug waste, which both make residential areas unsafe and affect nature;]] [[calls on the government to give an extra boost to drug prevention in education and information, but also by effectively enforcing the use of party drugs,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van der Staaij and Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-62]] [[This motion was tabled by Mr Van der Staaij and Mr Sazias. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-63]] [[This motion was tabled by Mr Van der Staaij. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-64]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u548	Thank you, Mr. Chairman.
ParlaMint-NL_2018-10-18-tweedekamer-17.u549	Thank you, Mr. Van der Staaij. He spoke on behalf of the SGP. Mr Kuzu, on behalf of DENK, has the floor as the last speaker.
ParlaMint-NL_2018-10-18-tweedekamer-17.u550	(NL) Mr President, I must now say my final word! Well, I guess I'll do that. Mr. Chairman. I do not think we can escape a short-term discussion of the system, because far too often we read in pieces, and we see that the Dutch concern falls from his pedestal. We no longer have the European lead position, and that is what my first motion is about. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the article "Dutch care falls from its pedestal" in the journal Medical Contact has shown that the Dutch healthcare system does not meet the fundamental objectives of the World Health Organisation;]] [[noting that the article has shown that seven European countries have a higher life expectancy than the Netherlands;]] [[noting that the article also showed that in eight other European countries the difference in life expectancy between high- and low-skilled people is less than in the Netherlands;]] [[noting that Dutch health care is gradually losing ground compared to other modern European countries;]] [[noting that the introduction of market forces in care in 2006 did not lead to lower prices or better quality of care;]] [[considers that the excessive market forces are the main cause of the deterioration in the quality of Dutch health care;]] [[calls on the government to take more care direction and thereby restrict the power of health insurers,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kuzu. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-65]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u551	Mr. Chairman. My second motion concerns one's own risk. The coalition parties and the government have made a clear choice. Unfortunately, our amendment has been dissuaded. I don't expect him to make it, either, but I'm going to file a motion with alternative coverage. I'm not so much expecting this motion to make it, but I'm gonna do it anyway. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the own risk continues to be the towering amount of €385;]] [[Whereas this is a great annoyance for many people, that it is a punishment for being sick, that it leads to care avoidance and ultimately higher costs of care;]] [[considers that the amount released should benefit large sections of the population rather than a handful of multinationals by not abolishing the dividend tax;]] [[calls on the Government to eliminate its own risk and to cover it by not allowing the reduction of corporate tax for large companies to continue,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kuzu. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-66]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u552	Mr. Chairman. Don't worry: I will compensate for my time in the next budget debate. My third motion. In replying to the written questions, the cabinet indicated that they liked our proposal on family care, but then I heard the Minister say that there is no definition of family care. I've checked that out. There are different definitions of care. There is, among other things, one of the Social Cultural Planning Bureau, and I think it would be very useful to implement the proposal we have tabled. That's what my next motion is about. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are a lot of carers in the Netherlands, but at the same time a lot of lonely elderly people no one looks at;]] [[believes that encouraging carers can relieve the burden of regular care and fit well within the participating society;]] [[believes that it would be reasonable for heirs who have provided their parents free of charge for years to pay less inheritance tax than heirs who have not looked back at their parents;]] [[calls on the Government to make a proposal to exempt (partially) long-term carers from the donation and inheritance tax,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kuzu. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-XVI-67]]
ParlaMint-NL_2018-10-18-tweedekamer-17.u553	Thank you all and wish you a good night's sleep.
ParlaMint-NL_2018-10-18-tweedekamer-17.u554	Thank you. The founding word is: hope brings life! I would just like to point out that 44 motions have been tabled. A ten-minute suspension has been requested. Then we continue with the second term of office.
ParlaMint-NL_2018-10-18-tweedekamer-17.u555	We are working on the VWS budget and we are due for the second term of office. The cabinet will also give its opinion on the 44 motions tabled. First of all, the VWS Minister has the floor. Go ahead.
