ParlaMint-NL_2018-10-30-eerstekamer-5.u1	I shall reopen the sitting and the debate on the General Political Reviews.
ParlaMint-NL_2018-10-30-eerstekamer-5.u126	Mr. Chairman. A modern fairy tale tells us that everyone who lives in Lekkerland is making progress. We see a dancing man, who looks a lot like our prime minister and sings that: it's a good thing no one knows that my name is lying animal. It is true that now that economic growth is rising, especially in the coming year, the workers, who have also deteriorated in recent years, are being strongly encouraged to demand substantial increases. In stark and antisocial contrast, pensioners will continue to decline in the coming years and at the end of next year the threat of pension reductions for many Dutch people is a real danger. And that is completely unnecessary. Let us make an objective assessment of what has happened over the last ten years. The First Parliamentary Group of 50PLUS has recently commissioned the Nibud to set out for the last ten years, from 2010 to 2019, how purchasing power has developed. Received a few days ago and full report can be found on the website of 50PLUS. Pensioners with a small pension up to €5,000 per year have improved during this period, but a higher supplementary pension will reduce purchasing power. In most cases, workers are also declining, but less so than pensioners. Over the period 2010-2019, wage increases are 11.3%, compared with a negative indexing of pensions of 0.6%. That's a 12% difference. We also know from other sources that the difference in purchasing power between workers and pensioners is very large. At the request of 50PLUS, the CBS issued a chart covering 2000 to 2017. During this period, the purchasing power of pensioners was around 40% lower than that of workers. The new Nibud report estimates that prices increased by 14.7% and rents by 20.8%. The total missing indexation over the past ten years was about 15%. The most poignant are the groups with the big differences. Take the people with about a modal income. A single worker declined €300 on an annual basis, a single pensioner, on the other hand, over €1,800. Even greater is the difference at one and a half modes. On an annual basis, a working couple lost a fat €800, but a retired couple almost €3,200. It is right that the workers should now benefit from increased prosperity, but it is at least justified that pensioners should continue their missed indexation every year and that they should already share 15% of their wealth and not be cut back on their pensions. That would be unnecessary, unjust and actually insane, as we will prove. Therefore, the clear question to the government: what are you going to do to ensure that the difference with the workers does not increase in the coming years, what are you going to do to repair the purchasing power of pensioners? For it is absurd that pension funds should not be paid on the basis of their long-term return, but on the basis of an artificially low accounting rate of 1%, whereas it should be about actual expenditure and income rather than a strange accounting table. The numbers don't lie. The largest fund, the ABP, had a capital of 216,000 million euros in 2007; in 2017 it was 409,000 million euros and now it is 419,000 million euros. The Health and Well-being Pension Fund doubled well, from 88,000 million euros to 197,000 million euros, and the Construction Fund went down two and a half times, from 26,400 million euros to 63,300 million euros. The metal funds known as weaker brothers doubled about. Total pension assets went from EUR 576,000 million in 2008 to EUR 1,328,000 million in 2017. In all these funds we see an average annual return of over 4% to 8% over ten years. There is no dog in the Netherlands who still understands why these antisocial rules are being applied. The director of the Bouwfonds, David van As, former head of department at De Nederlandsche Bank, openly pleads for fewer rules, because all these rules are too costly and the justified indexation is in the way. The fact that things can be different proves our neighbour Belgium. It takes into account the real facts and the actual return and the expected return on investment. This is based on an interest rate of 3.5% and can be indexed there. There, a coverage rate of 110% may be fully indexed. But in the Netherlands, discounts threaten in the winter of 2019. We therefore urge the government to look again urgently at the 50PLUS initiative proposal tabled by our Dutch MP, Mr Van Rooijen, in order to avoid unnecessary pension reductions due to a temporary 2% bottom interest rate. It is an extremely moderate and fair proposal. One swallow doesn't make a summer yet, we know, but one Koolmies will soon make a harsh winter for the elderly. That is why the question is: is the government prepared to take a serious look at the Belgian model? The downward trend on the stock exchanges has a significant impact on the calculation method used. According to pension fund Aon at the end of last week, the month of October showed a decrease of as much as 3% in the current coverage rate. This government lacks decisiveness and interest in the elderly. Minister Koolmees pretends to be nesting on a new pension system, but in fact he's just sitting still and lame. He just lets Dutch pension funds with their capital leave for much more attractive Belgium. This neighbouring country had a regulatory framework whereby at the end of 2017 the average coverage rate of pension funds was 124%. The consequences will not be met. Large Dutch pension funds of multinationals, such as ExxonMobil, are moving away with 2.6 billion euros, Johnson & Johnson, Aon, Euroclear and so on. Funds left the Netherlands saw their coverage increase by 11% after the move to Belgium. It's ostrich politics not to want to see this. The Belgian pension sector is growing enormously after value transfers from the Netherlands. According to the Belgian regulator FSMA, the assets of cross-border funds doubled in 2016; in 2017 this growth continued with the Netherlands as main sponsor. Can the government give us an overview of all pension funds that have left for Belgium and indicate how much billion this is? And why do we want to offer EUR 2 billion dividend tax with the falsely promised idea of keeping multinationals here, but let the government take billions of pension capital across the border without actually sticking a finger? Mr. Chairman. A separate point is the holiday allowance for AOW'ers. Although it is laid down by law that the holiday allowance should be at least 8% in the Netherlands, it was 6.6% of the annual income for AOW'ers.
ParlaMint-NL_2018-10-30-eerstekamer-5.u127	Mrs. Sent, you're going to have one interruption, given the time.
ParlaMint-NL_2018-10-30-eerstekamer-5.u128	Mr Nagel rightly calls for attention to be paid to problems of indexing, coverage and so on, but as far as I am concerned these are symptoms and there must be an analysis of the underlying problems. This analysis is that we are dealing with a double ageing population, namely more elderly people who are also getting older, and a double hazing, namely fewer young people and fewer young people who end up in the pension system. That is why I tabled the proposal to make participation in the pension system compulsory. I would very much like to hear Mr Nagel's views on this.
ParlaMint-NL_2018-10-30-eerstekamer-5.u129	We are very much in favour of the current pension system with collective responsibility. I just called you numbers to tell you what the actual returns are. The director of the Bouwfonds says: let's start indexing; we can do this for decades without problems, given our return. It's just those weird rules that stop that. Look at Belgium, where there's no problem. I'd like to go over the numbers later. We're going to have a long dinner break.
ParlaMint-NL_2018-10-30-eerstekamer-5.u130	It's just a short dinner break. Anyway, go ahead.
ParlaMint-NL_2018-10-30-eerstekamer-5.u131	The holiday money this year was only 6.3%. A single AOW'er got €15 less holiday money this year and AOW'ers with a partner €22 less. That unjustified reduction was due to a complex tax development the Empire benefited from. A total of 3 million people were affected by this. Not a real policy issue, but, as the chief editor of the Geldgids, Reinout van der Heijden, wrote in the Volkskrant, a consequence of the progressive government machine, insensitive to the consequences and too complex to be corrected by the House of Representatives. A pure mechanical act he calls a blunder. In the long term, the problem will be solved by switching to less tax discs. But that means that next May the AOW'ers will get less holiday money again, because the holiday money will be calculated in the old way over the months of May until December 2018. 50PLUS asks the government to undo this policy unintended pickpocketing and to ensure that the AOW's, who do not already receive 8% holiday money, will not be penalised but will be compensated next May. We hope that the government will make a commitment on this point. Otherwise we will have to table a motion on this. Finally, another point. A recent study by Kantar/NIPO shows that 70% of the 70-plussers avoid public transport as much as possible. ProRail is campaigning for safer travel. One point remains neglected: the overcrowded trains and the situation that young people, who are completely seized by their electronic devices, do not give up their seats to elderly people who are forced to have entire journeys. Couldn't a little awareness even be promoted at this point? We are happy to await the answer of our questions.
ParlaMint-NL_2018-10-30-eerstekamer-5.u132	Thank you, Mr. Nagel. I give the floor to Mr Ten Hoeve.
ParlaMint-NL_2018-10-30-eerstekamer-5.u133	Mr. Chairman. The principles of the OSF, which I have wanted to represent here in recent years, are briefly summarised: human scale, well-being over prosperity, a mutually supportive Europe, the right of majorities and minorities all over the world to be and remain themselves. My reflections today are based on the same principles. Mr. Chairman. We have a rich country with a good locational climate and a thriving economy. But not everyone benefits the same. Wages do not rise hard enough, pensions remain behind, houses are too few and they become too expensive. We do have shrinking areas, but especially cities that burst out of their joints. The roads are clogged. We don't have enough people to do all the work. The companies have job vacancies, care and education much more. And in the meantime, the government is doing its best to improve the locational climate. The dividend tax does not need to be abolished anymore, but instead the tax on profits must be substantially reduced. It stimulates SMEs to a limited extent, but to a much greater extent it benefits large companies and will indeed improve the business environment, say foreign companies. We're not the only ones who want to be. So with all the other countries that want exactly the same thing, it continues to be a case of countering each other in tax cuts. Why is that? Doesn't a more attractive locational environment mean even more demand for workers who aren't there, attracting workers from outside and even more demand for houses that aren't there? There is a category of foreigners that we should receive with more love than we often do in practice: refugees who need a safe place. But do we have to pursue policies that will attract others? Are we really helping ourselves now that we are finally trying to get rid of our reputation as a tax haven, if we want to attract companies that often manage to pay very little tax? Moreover, do we not have a large surplus on the balance of payments, so much so that America is angry about it? Shouldn't we simply reduce the tax on profits extra, spend money on useful things or not spend it, and thus improve the sustainability balance and reduce public debt? Do we serve the human size or the large scale? And is this ever-increasing competition on tariffs the way to be mutually supportive in Europe, to achieve an optimum jointly, or are we pulling each other down at the expense of our people who pay the price? Perhaps the government would like to address the disadvantages of always wanting to become more attractive at the expense of others. Meanwhile, the world around us is getting more and more restless. In that world it is therefore more important to pay attention to defending one's own interests than always to take our values into account. That's not bad. We do not need to sell our democracy to others, nor do we need to impose our ethical standards. But where crooks are in power, clarity is necessary. The case of Saudi Arabia is clear. It was because of the war in Yemen. And where there is injustice, that can also be said clearly. We are doing a lot for good relations with China, and there may be a lot of money to be made there, with all the risks involved. But in addition to the treatment of dissidents, who sometimes want to side-examine a minister, it is also clear that China is making every effort to equalize Tibetan culture, destroy monasteries and imprison cultural carriers. And it is also becoming clear that in Eastern Turkestan, the Chinese province of Sinkiang, camps have been set up where a significant part of the Uighur Muslim population is now interned. That China is not a democracy, we do not need to interfere. The fact that it takes out its minorities hard-handed continues. You can also commit cultural genocide. There are great interests but also good reasons to show the Chinese Prime Minister, when he is here, not only kindness, but also clarity. In addition to individual cases of human rights violations, does the government also wish to raise the issue of the violation of the collective rights of minorities in contacts with Chinese officials? We are talking about the right to self-identity. Identity is also starting to play a bigger role with us, and that is good as long as it means that we want to remain ourselves in an open society, as a Dutchman, as a Limburger, as a Frisian. In the Balkans, identity seems almost all-encompassing and identities, ethnicities, are very easily in a tense relationship with each other, if they are not separated by a wisely drawn state border. Serbia and Kosovo seem to be prepared to adjust their borders to solve problems on both sides. I am surprised that in Western Europe this solution encounters resistance and that border change is seen as a danger rather than a solution. Do we not constantly stress the importance of our nation-states in Western Europe? These are countries where state and nation largely agree and where rights can be guaranteed to limited minorities. Does the Dutch Government have a position in this case, particularly as regards the position of the large and fairly homogeneous Serbian population in northern Kosovo? Finally, Mr President, return to our own country. There are great challenges, because we want to keep our country above water for as long as possible, and we want it to be beautiful again. It is becoming increasingly clear that our agriculture is the crucial factor for this. At the meeting where the States of Zeeland and Friesland were received here in the Chamber, it was noted that we should be grateful for the tremendous achievement that farmers have achieved in converting government policy into the enormous production that we now have, but also that we must now make clear what a tremendous achievement must be achieved in a conversion to agricultural production that also allows nature to flourish. That is a different agriculture from the present one. But in order to achieve that huge achievement, it is necessary for the government to steer with measures. Laisser-faire has led to the phosphate problem and to crisis legislation. We must now give an active direction so that it is clear what is expected of Dutch farmers: not an agriculture that exports as much as possible, but an agriculture that contributes to the health of our own country and soil as much as possible. Trusting good intentions or agreements seems nice, but guarantees less success than government measures. Station money on plastic bottles and cans helps more than with appointments to try a lot to recycle. Without conversion obligations, it does not seem possible to reduce the use of Groningen natural gas. And, in general, if the polluter has to pay then taxation is the most obvious option to make that payment. Mr Koffeman has just said a few very clear things about this. No freedom, happiness, but a steering government is needed at this time with its big problems. Is that how the government wants to rule, or does that scare them back when things get tough?
ParlaMint-NL_2018-10-30-eerstekamer-5.u134	Thank you, Mr. Ten Hoeve. Is there anyone else who would like to speak in the first term? That is not the case. Then I'll suspend the dinner break meeting until 7:45. I would like to ask those who are going to have dinner down in the Noenzaal to give priority, if possible, to the spokesmen, because at a quarter to seven we will continue.
ParlaMint-NL_2018-10-30-eerstekamer-5.u135	May I be the first?
ParlaMint-NL_2018-10-30-eerstekamer-5.u136	And maybe to the Prime Minister, too. Maybe, uh, just maybe.
