ParlaMint-NL_2018-06-12-eerstekamer-4.u1	I would like to welcome the Minister of the Interior and Kingdom Relations to the First Chamber.
ParlaMint-NL_2018-06-12-eerstekamer-4.u252	Thank you, Mr. Lintmeijer. I call Mr Schouwenaar.
ParlaMint-NL_2018-06-12-eerstekamer-4.u253	Thank you, Mr. Chairman. On behalf of the VVD Group, too, I would like to thank the Minister warmly for the answers. After this treatment, we find the law a good law in two terms. It prevents problems in the workplace and brings legal certainty. We also believe that it is the legislator's job to provide legal certainty. Although the law restricts fundamental rights, that is a limited restriction, so to speak. The Minister spoke about the entry into force. I haven't been able to look it up anymore, but is it also in this law that the entry into force of KB takes place at a time to be determined by us? I'm gonna take that as a assumption. It wants to consult with the sectors. That's fine. We only hope that this entry into force will not delay until all sectors have given their full agreement, because we are afraid that the entry into force will be very far away. A third point is that it should have been one more of us on behalf of the VVD that was also expressed in the House of Representatives, especially with regard to the public road, ski masks and helmets. We would very much appreciate it if we could do some research into what is happening in that border area, particularly between this law and the Public Events Act. At the end of the first term, I heard Mr Schalk say some important things about it. I hope he continues on that line. If so, I should like to say that he has the support of our group. Finally, I will advise my group to vote in favour of this bill.
ParlaMint-NL_2018-06-12-eerstekamer-4.u254	Thank you, Mr. Schouwenaar. I call Mrs Bikker.
ParlaMint-NL_2018-06-12-eerstekamer-4.u255	Thank you, Mr President. Thank you to the Minister for the answer, which was clear as far as I am concerned. Perhaps after this debate next week there will be clarity, after a long discussion, about how to proceed with facial clothing. There was a discussion about when this started. I did some searching myself, and I think it was in 2000, when the PvdA first asked Chamber questions whether a woman whose face is almost invisible could participate. The PvdA did pick up the glove in that sense. In this light, the first-term contribution gave rise to some reflection, but that is no longer for this debate. I'd like to talk to the senator about that again. The Minister has just explained that an infringement of fundamental right is freedom of religion and that you should not allow this to depend on house rules. I'm pretty good at that. I share that, perhaps because it is also a question of restricting a fundamental right. Mr. Lintmeijer quite rightly asked: are you happy? No. The restriction of a fundamental right is never necessarily happy, but it is part of the rule of law. Occasionally it collides and then it's looking for what you find a good path and what is the right standard. Mr President, the sun is shining right into my eyes. That's very enlightening, but I hope it's going well in terms of contribution. I have expressed my surprise that a number of facts, in particular as regards the number of women wearing a facial veil, could be known in 2009 and not anymore. I continue to find that remarkable and I mark it, especially since there are a lot of parties here who believe in progress. I do that quite often too, and I would not be able to do that here. So what's the deal? That is why I would like to thank the Minister all the more for making a qualitative commitment to at least improve understanding. I would like to hear from her at what point we will get that insightful and what that qualitative commitment means, so that we will have a moment to really talk about what we intended to do with the legislation and to understand what is going on with growth and with the relationship with society. That is not what this piece of legislation is all about, but it is, of course, a side effect. In this context, I would also like to ask the Minister to answer my question about consultation with the target group concerned. The Minister has done so in the past. How does it see this for the future, precisely because the law is only at a time to be determined? If the Minister evaluates the social impact, I would ask her to see it in a broader context in Europe. After all, we have seen that, where, for example, radicalisation takes place, the impact of legislation is also cross-border. Members of the SGP have rightly pointed out that this bill is more than just the Islamic face-covering. I would like to ask the Minister to make it clear whether the desire to establish a fixed rule in face-cover events lives with mayors yes or no. I can't judge that right now, although I can imagine. That is why I ask the Minister if she can check it out. That must be something to discover at the many moments of consultation. Finally, the scope for action of those most likely to encounter this law, in their office, in the bus or in the train. I share the Minister's confidence in the professionals, but it does require a lot of care, also in terms of implementation. I am glad that the Minister says: I am not going to do it in a very good way, but I am going to do it in consultation so that it can be done in a good and careful way. I would like to thank her for that commitment, but I would ask her to set a deadline for this, otherwise we could be talking for a very long time without having any clarity when the law enters into force. And clarity was precisely one of the arguments of this minister. I shall conclude, Mr President. It has often been about the inconvenience that we feel when people actually shut down from society. We need the other, and also the conversation about our deepest beliefs in order to be a society. This is not a matter entirely of this law, but it is something that says a great deal about our culture, and also about the government's position in it. I would certainly like to encourage the Minister, together with her colleagues, with her colleagues on integration, to continue this discussion, despite any measures that we may be able to agree with here at the moment. If we keep having that conversation, we'll also keep room for those deepest beliefs, even if they annoy us a little.
ParlaMint-NL_2018-06-12-eerstekamer-4.u256	Thank you, Mrs Bikker. I call Mr Köhler.
ParlaMint-NL_2018-06-12-eerstekamer-4.u257	Hey, I'm in the sun here behind the speaker chair. Mr. Chairman. In my opinion, this debate has been a little too much about an alleged Islamic way of dressing. I would therefore like to stress once again: we do not think that is what the nikab is about. According to these estimates, 99.9% of Muslim women in the Netherlands do not wear nikab or burka. I do not think the debate should be about burkas at all, because there are even fewer people who enter a hospital with a burka in the Netherlands than there are people who stop their integral helmet when entering the hospital. Of course, that's not what this is all about; it's about wearing the nikab. That was the real reason, as the Minister clearly stated in the reply.
ParlaMint-NL_2018-06-12-eerstekamer-4.u258	And also that letter from various Islamic organizations, which was not only noticed by Mr Van Hattem but also by me, does not indicate that this has been widely worn in the Islamic community in the Netherlands. What is stated in that letter is that a ban is found to be too far-reaching a violation of that freedom of religion. They think so, but that does not mean that all these organizations call for it to be carried, or inclined to do so, or that their interpretation of Islam is that you have to live with a nikab or a burqa. On the contrary, I know from some of those organisations that they absolutely do not think so. However, Mr Van Hattem, it may seem unlikely to you, but it is sometimes the case that fundamental freedoms are defended by people who do not want to make use of them themselves.
ParlaMint-NL_2018-06-12-eerstekamer-4.u259	Mr. Van Hattem.
ParlaMint-NL_2018-06-12-eerstekamer-4.u260	May I finish this, Mr. Chairman? We are also defending the fundamental freedom of the PVV to say what one wants there, provided that one stays within the law. But that does not mean that I agree with what you are all saying. And yet I keep standing up for that freedom.
ParlaMint-NL_2018-06-12-eerstekamer-4.u261	Yes, freedom of expression is a great asset; I fully share that with Mr Köhler. But it's more about the character of the letter. Apart from the fact that they say it and that they can say it, it's about what's in it. And it does say that it is a joint condemnation of the Law partially prohibiting facial covering clothing. There is even literally above "In the name of Allah, the Most Merciful, the Most Merciful." So it's really a very pronounced Islamic story. And it clearly states that the letter was written by them "as representatives of the Islamic community," and that it is also a "joint concern" they express. Then they talk about wearing face-covering clothing from the Islamic belief. That is what is written here in a text which is also literally 'on behalf of the Islamic community'. And then comes the whole series, from Sheikh Fawaz Jneid, from the As-Soennah mosque and all those mosques that are now hugged with eiftar parties by all those municipalities during Ramadan and so on, where all the mayors sit, where aldermen join...
ParlaMint-NL_2018-06-12-eerstekamer-4.u262	What's your question, Mr. Van Hattem? What's your question?
ParlaMint-NL_2018-06-12-eerstekamer-4.u263	My question is: the SP simply does not want to see the essence of what such a letter means. This letter means that the Islamic organisations jointly issue a statement that wearing facial clothing is part of Islam. I'm not making that up: it's right here in that letter. And Mr Köhler is condoning that here. The SP is condoning what's in here.
ParlaMint-NL_2018-06-12-eerstekamer-4.u264	Again, Mr Van Hattem, what is your question?
ParlaMint-NL_2018-06-12-eerstekamer-4.u265	Well, I am responding to what Mr Köhler has just said. He made a comment in my direction about the letter, so I wanted to respond to that, to clarify the essence of this letter and how the SP looks away again for Islamization.
ParlaMint-NL_2018-06-12-eerstekamer-4.u266	Yes. Mr President, with what I have just said, before Mr Van Hattem's interruption began, I have actually answered his interruption. All these organisations therefore do not believe that it is an Islamic way of dressing that has been prescribed. They just think it's religious freedom that you should dress like that. And that's why they're against that law. That is not our position, by the way.
ParlaMint-NL_2018-06-12-eerstekamer-4.u267	You can now continue with your second term.
ParlaMint-NL_2018-06-12-eerstekamer-4.u268	Yes. If those many organizations whose names are under that letter all thought that women could go through life with a burka or nikab, there were a lot more Muslim women in the Netherlands with a burka or nikab. But that is not the case. Mr President, then the Minister's answers. I do not think that her answer on public transport is very satisfactory. How's that gonna go? She says: yes, we are going to make agreements in that sector, so that people know where they stand. Well, first of all, the companies in question say: don't make those arrangements to us, because things are going well now and we'd rather not. But then, how will that go? Of course, it's not like a bus driver makes those rules himself. It's not now. That misunderstanding appeared to exist with Mr Van Hattem, who talked about the fact that a bus driver should be able to refuse someone in "his bus." Well, Mr. Van Hattem, I've been a collective negotiator in the bus sector for years. It is really not the case that in that sector there is a kind of worker self-government where the bus driver determines the rules in his bus, because that is what the company does. And this will also be the case: I predict the Minister that the directive that is coming will be just like the current directive. In other words: drivers, not escalating conflict, simply letting people board and drive on, otherwise the rest of the passengers will suffer. And the latter is the same. Does the Minister also expect that to become the rule? The Minister replied to the questions on health: yes, there are indeed no concrete problems. That is interesting: it seems as if there would be concrete and non-concrete problems. I assume the Minister means that there are no problems at all. But the Minister thinks that a clear standard is better. Why? Why does the Minister want to overrule the doctors, at least the KNMG, and the boards of institutions that she herself has asked for, by making a general rule, which also goes beyond existing practice? Because the existing practice is that these kinds of rules exist at the counter, in the office and sometimes they do and sometimes they don't in the waiting room. But now the Minister wants to impose on all these institutions that no one with a nikab can enter the hospital at all, not even a visitor or a sick visitor. And that while many large hospitals don't even have a doorman at the entrance who can point that out or stop someone. So the question remains: this can be arranged in its own circle, so why does the Minister insist on a difficult arrangement? Mr. Chairman. The Minister said that he had already entered into consultations with the various sectors and wanted to pursue them further. I'd like to know the results of that. In view of the objections that these institutions now have, I would like to know how you get out. Can that law lead to good and workable rules? And perhaps it would be a good thing if this Chamber were to get the results of that consultation before we finally decide whether to introduce the law in this way. I ask the Minister if she is prepared to do so. Let me turn to Mr Rombouts' comments. I think he has made a very balanced speech. This was about the need for the various social institutions to make and apply their own rules and that there is a culture of their own, which is a good use in the Netherlands. I totally agree with him. It's very nice that SP and CDA both want to emphasize that. But on the other hand, he said, for certain reasons, it would be good to set a legal standard in this case. Well, I don't entirely agree with him on the reasons he mentioned, but that aside. He then said: but this clear regulation in the law is a clear standard, but the professionals in the field can deal with it in practice. He's assuming that's wise. Look, Mr President, the Catholic members of my group, to mention another religion in this debate, have recognized this as a true Catholic answer. It is the usual way Catholics in the Netherlands deal with the papal rules. Maybe that's a very workable way, so I don't think it's a bad argument in itself. However, I would like to ask Mr Rombouts whether he does not agree with me in this respect that it would be very good to know the results of that consultation on the working instructions which the Minister is about to carry out before he finally decides to do so. Because, of course, there is a danger that flexible handling of these further working instructions will be made impossible in practice. So I think it would be very useful, with his reasoning, if we first knew the results of that consultation. I am therefore very interested in the Minister's response, in particular on this point. Thank you.
ParlaMint-NL_2018-06-12-eerstekamer-4.u269	Mr. Köhler, there will be an interruption by Mr. Van Hattem. So if you'd like to go back, I'd love to.
ParlaMint-NL_2018-06-12-eerstekamer-4.u270	I listened with attention to Mr Köhler's speech in the second term. I still have one question, because I hear Mr Köhler say in his second term that a difficult arrangement is now being passed. Does Mr Köhler now distance himself from what his colleague in the House of Representatives, Mr Van Raak, has said, namely that it is a practical solution to practical problems and a wise proposal? Does Mr Köhler distance himself from the SP spokesperson in the Lower House?
ParlaMint-NL_2018-06-12-eerstekamer-4.u271	I'm even more nuanced than our spokesperson is used to doing there. As far as concerns are concerned, I am concerned that it is no longer a practical arrangement if you do more than the existing practice, which works well, to translate into a general rule. That's what's at risk, especially in the health care sector. Because the general rule that is now proposed in the law is that everyone, including visitors or people who come to a care facility, should always take away the cover of their faces. That is a much tighter regulation than the existing, workable practice. In this context, we believe that it may lead to overkill and also to obligations on these institutions to apply rules that they do not need at all.
ParlaMint-NL_2018-06-12-eerstekamer-4.u272	So I note that Mr Köhler has distanced himself from the words of his colleague in the House of Representatives and does not therefore find it a wise proposal, nor a practical solution. That's what you just said. So there's obviously a discrepancy. I am just saying that I notice that the SP Group seems to have chosen a different direction here. Do I conclude that correctly, Mr. Köhler?
ParlaMint-NL_2018-06-12-eerstekamer-4.u273	Well, you can assume in advance for this debate and for all the forthcoming debates that our group operates without burden and backspoke. So we have, and I hope that this is also the case with you, even though I have some doubts about this, no problem with having to follow the House's group. But as far as the content is concerned, I have made a more nuanced speech than you, but perhaps also Mr Van Raak. It is precisely on this point that we have asked whether the legislation on solving a problem which we agree with the government and Mr Van Raak on is best if it is counterproductive in many sectors. We are happy to give the Minister the opportunity to explain to us that this fear is unfounded. But we would like to go a little further on that. Yes, as I said, it is particularly important for us to test subsidiarity.
ParlaMint-NL_2018-06-12-eerstekamer-4.u274	Thank you, Mr. Köhler. I give the floor to Mr Schalk.
ParlaMint-NL_2018-06-12-eerstekamer-4.u275	Mr. Chairman. Thank you. It may be assumed that the SGP raises objections in the case of advertising or behaviour if there is insufficient clothing. But sometimes we object again when too much clothing is worn. That is the case here. Good thing there's a bill. I would like to thank the Minister for his reply. During the debate, I have tried to broaden the point a little bit and to separate it from just the talk about burka and nikab. That's what it was all about. The government does not do that and has opted for a restrictive list of places where the partial ban on facial clothing applies. The Minister argued that this was done on the basis of legitimacy and proportionality versus the Constitution. However, I felt that the emphasis in the answer was often placed on the words "communication" and "uniformity." Only communication would be too soft to find legitimacy and proportionality strong enough to go against the Constitution. But my idea would be that it's really about safety. The Minister has deliberately opted for no general ban. That is why I think it is good to see whether there is no need for more than the exhaustive list that is now available, precisely from the point of view of security. That's why I've gone into it a few times. I think it is important that demonstrations and demonstrations should include a general ban on facial clothing, so that it is crystal clear to every municipality and to the police how to act. I know that's the side of the bill. I have already indicated that my group will vote in favour of the law as it stands. But the point has been raised and it is also important. Hence a motion on this point, which I would like to table. The President shall: Mr Schalk, Mr Diederik van Dijk, Mr Schouwenaar, Mr Klip-Martin and Mr Rombouts proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting the crucial importance of security and transparency, particularly in the event of demonstrations and demonstrations;]] [[noting that facial-covering clothing is regularly detected in situations resulting in public violence or riots;]] [[Whereas, in order to avoid this, municipalities are now required to draw up or issue special regulations where appropriate;]] [[Whereas a general ban on demonstrations and demonstrations provides absolute clarity for police action;]] [[calls on the Government to examine the desirability of banning facial clothing, such as masks, balaclavas, integral helmets and the like, in general in the event of manifestations and demonstrations, unless there is a specific reason to allow it,]] [[and goes to the order of the day.]] [[She's getting No. kst-34349-G]]
ParlaMint-NL_2018-06-12-eerstekamer-4.u276	Thank you.
ParlaMint-NL_2018-06-12-eerstekamer-4.u277	I would like to receive an explanation from Mr Schalk on this motion. Does he believe that the mayors in our country with the powers that are available to them both under the Public Events Act and on the basis of the possibility to issue regulations or emergency orders do not have sufficient material and instruments to exercise their own responsibilities and to make their own decisions? And do you think that this should be national legislation because perhaps the mayors could not be fully trusted in it? Why can't we just rely on our local government and those who are competent about it? Why must this necessarily be national legislation?
ParlaMint-NL_2018-06-12-eerstekamer-4.u278	Thank you for the question. Let me start by saying that it is absolutely not about whether or not to have faith in mayors, the triangle or whatever. That is absolutely not what I am talking about. The reason for my proposal in this motion is that, just when demonstrations and such mischief occur, you often see people wearing facial clothing. If that happens suddenly and if no regulation has been issued, the police are not very easily empowered to act. If a municipal authority or a mayor in all cases at every demonstration requested says that face-covering clothing should not be allowed, this problem would not be raised, but I have already argued during the debate that I recently heard about a situation in which this was not to be expected. Then there was trouble and the police intervened, but the people who demonstrated knew exactly what was or was not ordered. When they didn't listen, the whole demonstration was cancelled. That's just an incident; I know that, but this indicates that this is happening. So it's not my concern that the mayor shouldn't have that authority. The mayor will undoubtedly be able to do many other things. The idea behind this is not: it has to be and it will be. But check this out and ask. Maybe those mayors say it would be great for them to know by default that those ski masks are just not allowed during a demonstration. This would also help the police, which unfortunately is very often used in this sort of thing, because then the police will know what they are doing and then they will be able to intervene immediately.
ParlaMint-NL_2018-06-12-eerstekamer-4.u279	I doubt whether it would be very useful, on the basis of an incident you once heard, to immediately ask for legislation. This leads very quickly to Einzellgesetzgebung. If you don't know exactly what the scale of this problem is, you have once heard about an incident, before we ask for legislation, is it not much wiser to ask the Minister first if there is a problem at all? Isn't that much wiser? I think your motion didn't call for an investigation, but for legislation.
ParlaMint-NL_2018-06-12-eerstekamer-4.u280	Of course, you have not yet seen the motion; you have just heard the motion. What you're proposing is exactly what I'm asking. I am not asking for a law, but for an examination of the desirability of banning facial clothing in general, such as masks, ski masks, integral helmets and the like, at manifestations. It is therefore a question of examining the desirability.
ParlaMint-NL_2018-06-12-eerstekamer-4.u281	Actually, that's not what I asked. I asked that we first identify the problem before we come to the question of whether the desirability should be examined. Is there even a problem? That would be the first thing.
ParlaMint-NL_2018-06-12-eerstekamer-4.u282	The Minister of the Interior undoubtedly has all kinds of lines with the Society of Mayors and the like. My plea would be to raise that problem there. Then we will find out whether the desirability is there or not.
ParlaMint-NL_2018-06-12-eerstekamer-4.u283	I do not think Mr Schalk is from the south, but it says not only 'demonstrations' but also 'events'. Does this mean you want to abolish the carnival?
ParlaMint-NL_2018-06-12-eerstekamer-4.u284	That is a very personal question, but a carnival parade is excluded by this law. Carnival is not a manifestation. This is covered by the terms well defined in the law and in the explanatory statement: these are festivities that belong to religious gatherings.
ParlaMint-NL_2018-06-12-eerstekamer-4.u285	Of course, but we're not talking about the law. We're talking about your motion. It's not about the law at all. With the motion you are asking for a kind of extension of a ban on facial clothing, as Mr De Graaf has just indicated. The motion states "demonstrations and demonstrations." "Manifestations" is a very broad concept. Does this mean that in all cases manifestations and demonstrations... Well, I'm asking for an explanation of the terms in the motion.
ParlaMint-NL_2018-06-12-eerstekamer-4.u286	I get it. Perhaps for the sake of clarity: demonstrations can also be very peaceful and can be for charities and the like. This can of course also be the case in the event of events. In the motion it was added: 'unless there is a specific reason to allow it'.
ParlaMint-NL_2018-06-12-eerstekamer-4.u287	I saw the motion. I wonder whether we should now re-examine the desirability. Who should determine this desirability? What are the frameworks for asking for this desirability? That is very vaguely worded. It seems to me that you yourself indicate that an investigation is taking place and that you then order each motion in the operative part. I can't really go very far with what exactly is the intention of "wishfulness." Could you clarify that, please?
ParlaMint-NL_2018-06-12-eerstekamer-4.u288	Yes. I have just given the suggestion which was also confirmed by Mr De Graaf, perhaps in a different way than he had thought, to ask the mayors, for example, but I assume that the Minister of the Interior, who is concerned with this, has a number of channels through which she has contact with the authorities and the persons involved. The only thing this motion asks for is to examine the desirability. I ask the Minister, through this motion, to investigate that and to come forward with a response. Then we will find out whether this is desirable or not.
ParlaMint-NL_2018-06-12-eerstekamer-4.u289	It remains unclear what you're saying. Desirably from what frame? For whom should it be desirable? 'Cause you said, "for example, with mayors." Then you can start questioning every possible organization and then another answer comes out that you can't go anywhere with. So I really wonder what this motion is going to contribute to if it is tabled with this operative part, because I can hardly imagine what would have to come out of such an investigation into desirability. Desirability is, after all, something that is more politically determined in this context than that it is generally examined or asked out, because there are always pros and cons.
ParlaMint-NL_2018-06-12-eerstekamer-4.u290	I can imagine that mayors and therefore municipalities always have to do with the desirability of this section, when we focus on demonstrations and demonstrations. The line via the Minister of the Interior to municipalities and to mayors is crystal clear. Of course, you do not have to investigate this with all kinds of organisations that have nothing to say about whether or not a demonstration should go through.
ParlaMint-NL_2018-06-12-eerstekamer-4.u291	Mr. Van Hattem, finally at this point.
ParlaMint-NL_2018-06-12-eerstekamer-4.u292	Then I conclude that your motion focuses solely and specifically on the municipal authorities, in order to examine the desirability there.
ParlaMint-NL_2018-06-12-eerstekamer-4.u293	That sounds like a good summary, but maybe I'm missing things. If the Minister of the Interior knows any other gremia that she would like to ask, I welcome it. Madam President, I had come to the end of my speech. I believe that I have already said that my group will endorse the legislative proposal as it stands next week.
ParlaMint-NL_2018-06-12-eerstekamer-4.u294	Thank you, Mr. Schalk. I give the floor to Mr Rombouts.
ParlaMint-NL_2018-06-12-eerstekamer-4.u295	Madam President. What a pity that the facial sun has disappeared by now. I always like that. Others prefer not to shine in their eyes. I would like to thank the Minister for the comprehensive, thorough answer, in particular for her explanation of self-regulation and enforcement. I understand that she has not, and I am sure she is aware of that, gone on the slippery ice of my symbolic order, and I would like to respect that. There are two colleagues who have challenged me to skate on it a little longer. I would like to say to Mr Lintmeijer that your brief summary of the end of my speech was somewhat like the conciseness of a headline. I prefer to choose my own words, and they were in question form: is this law not, in this way, a standard that must be maintained with common sense and a good heart? And I wanted to leave it at that, too. Mr Köhler said: should we not wait first for the Minister's instructions in his reasoning? No, we're not waiting for that. In the first period, I said quite consciously that I did not want to hide in order to make it clear that in the balance of interests we ultimately tend to vote in favour. I am curious whether the SP, which has now heard the Minister's comprehensive reply, is now in a position to express a propensity, because I can see that the SP has also seen good elements in this bill. Finally, I would also like to say a few words about the Schalk motion, which I have already signed up for. In my long-term practice, I have issued an emergency regulation or an emergency order dozens of times. That number alone says something about how many times that is needed in one town with paid football, apart from all the other demonstrations and demonstrations that are being held. With Mr Schalk, I think it is desirable that we ask the government to examine whether it is appropriate, in addition to the legislation that exists, to regulate this uniform, so that it is established in advance that the wearing of ski masks and similar hats is prohibited. You're gonna have to cut me off if I go over the clock. I wanted to tell you that during the riots in the Graafsewijk of Den Bosch I experienced that in the trunk of a car the second night of the riots were sold for €25 ski masks, so that the youngsters could go on throwing stones, because they wouldn't be recognized anyway. In that context, I would like to have signed the Schalk motion.
ParlaMint-NL_2018-06-12-eerstekamer-4.u296	Thank you, Mr. Rombouts. I give the floor to Mr Ten Hoeve.
ParlaMint-NL_2018-06-12-eerstekamer-4.u297	Mr. Chairman. I would like to begin by thanking the Minister for her very clear and efficient response, setting out clearly the purpose and scope of this legislative proposal. I had not actually asked the Minister any questions at first, so I can hardly claim that she still has questions to answer from me. I do have two points from the discussion that I think it makes sense to come back to. Enforcement has been a point in the discussion. The conclusion is that it ultimately depends on what is decided in an organisation how to deal with it and then how staff working in that organisation decides to deal with it for themselves. That means, but I had already noted that it has not been said that it will always be maintained; probably not. The question is, how bad is that? I don't think that's a bad thing, even though I'm not a Catholic, and I'm not the only one who comes to this conclusion anyway. I wouldn't mind. However, it is important that there should be a set of standards that can be backed up. That seems to me to be the point of this law. And the next point. The Minister specifically stated that the law is religiously neutral. Of course he is, in the sense that he is not meant to oppose a specific religion. But it is obvious, of course, that a group that is expressly affected by this law is a particular sect of Islam. This means that there is a restriction on fundamental rights, and that is a serious matter, because any conviction is legitimate in this country, and that can also be discussed and even preached, not a problem. However, society makes certain demands for smooth operation, and they are indeed in the sphere of communication and security. These requirements are normally enforced by a social convention, but in an extreme case by legislation. That is what is happening here, and in the case of legislation, everyone must, in principle, submit to it, I say explicitly, regardless of the reason someone has to change their mind. In this way, the border, but also the usefulness of this legislation, has been indicated as far as I am concerned. So, Mr President, even in this second term, as far as I am concerned, not so much ask the Minister, but some of his own considerations. Thank you.
ParlaMint-NL_2018-06-12-eerstekamer-4.u298	Thank you, Mr. Ten Hoeve. I ask the Minister if she has the opportunity to reply directly. I'm suspending the meeting for five minutes.
ParlaMint-NL_2018-06-12-eerstekamer-4.u299	I give the floor to the Minister of the Interior and Kingdom Relations.
ParlaMint-NL_2018-06-12-eerstekamer-4.u300	Thank you, Mr. Chairman. I will answer the questions in the order in which they were asked in my second term. I will also come back to a number of points from the first term. Moreover, I have noted that the spokesmen have done the same. Mr Van Hattem wanted to have a more precise indication of the date of entry into force. I find that hard to say. I really want to have the consultation with the parties. I expect to need a minimum introduction period of six months. I can assure you that I will inform the Chamber. Then Article 435a and the political pursuit. I really cannot agree with Mr Van Hattem on that point. I see women wearing face-covering clothing as an expression of a religion as far as I can agree with him, but that is of course not at all the same as expressing a political ambition in general. If, in a specific case, this is perhaps the case, which I do not rule out in itself, then the criminal court will be able to examine it in that particular case, but I do not support the general principle as expressed by Mr Van Hattem.
ParlaMint-NL_2018-06-12-eerstekamer-4.u301	You say that it is a religious endeavour, but Islam is an ideological endeavour, in which there is always a political component to set a society fully up with Islamic reading. That's what you also see in what happened to the Taliban in Afghanistan, where all those women were forced to wear a burqa from a political point of view. So if a burqa is worn from that point of view to enforce a political aspect, it seems to me that this legal provision can indeed be applied. It is more a question of whether there is a willingness to apply that article of the law. It seems to me that it can simply be used for that.
ParlaMint-NL_2018-06-12-eerstekamer-4.u302	To start with that last one. The willingness to apply the law is not up to me. It's up to the judge. The law article exists. As far as the first part of your speech is concerned, that is exactly what we differ on, because from the mere fact that someone is carrying a burka or a nikab, I cannot distract, and no one can in fact deduce, that this is intended to express a political ambition. I can tell from it that these people are religious.
ParlaMint-NL_2018-06-12-eerstekamer-4.u303	We must note that in a country such as Afghanistan, the Taliban was indeed a politically institutionalized organisation, and that IS, Islamic State, the name says it already had a political ambition, in which face-covering clothing was really used as a recognizable element of clothing and imposed on women. If that is used in a society to achieve that goal, it seems to me that the lawkeepers in this country are responsible for this and not the judge acting on it.
ParlaMint-NL_2018-06-12-eerstekamer-4.u304	Mr Van Hattem has a different world view than I do, but we already knew that. I think it's important to look at the starting point anyway. My starting point is that there's a bill here that looks like face-covering clothing. This can be about burkas and nikabs, which in the Netherlands are to a very limited extent worn by Muslim women. That's the reasoning I'm holding here. So the reasoning of the Taliban and what might be happening in other countries and imposed on women has nothing to do with that. It's really two different things. The article only looks at expressing the political aim and I cannot draw that conclusion on the basis of the single fact of wearing face-covering clothing. I also note that Mr Van Hattem and I have a difference of opinion about the letter from the Islamic organisations. I continue to believe that they have every right to express their views in the process of drafting this bill. Mrs Nooren has asked whether the legislative proposal is necessary and what message we are sending with it. Perhaps it would be a good idea to repeat what I said about necessity and legitimacy. I believe that we share the principle that individual freedom is essential in our society, that the freedom of one should not lead to a restriction on the rights and freedoms of others and that a restriction, in this case a restriction on everyone's right to carry what one wants, should serve a legitimate purpose and be proportionate. So I think we can all agree on that. The legislative proposal has therefore also been carefully considered. On the one hand, the social importance of communicating and recognizing citizens among themselves and their impact on public services and behaviour, including in the context of security. On the other hand, it is about individual freedom. The conclusion is therefore that there is a legislative proposal which envisages the introduction of a partial legal ban on wearing face-covering clothing and thus legitimizes it. No more and no less. So there is a need to reach a ban, but the ban is limited. The reason for this is the importance attached to communication for services and security. These concepts are also related to each other.
ParlaMint-NL_2018-06-12-eerstekamer-4.u305	In the legal process so far, the government has always taken the view that it cannot achieve the quality of services and safety without a legal ban. That is at the heart of the bill and not the uniformity. It says literally, whatever the normal way of thinking in the context of proportionality and that sort of thing, that the legislator comes forward when house rules are inadequate. That is the necessity. The minister seems to be going down that road. She says: it is not about whether the quality of service and safety is not guaranteed, I want it to be uniform. That's a very different kind of approach. If you want it to be uniform, you have to do other things than when you say: without a legal ban, you cannot guarantee the quality of service and safety.
ParlaMint-NL_2018-06-12-eerstekamer-4.u306	I see no difference in my reasoning compared to the reasoning contained in the documents of my predecessor. I believe that all the concepts mentioned here have always been part of the discussion. In any case, in the light of the years of discussion on this issue and also in order to bring it to a certain conclusion with this legislative proposal, it is important that we state that the need has been sufficiently demonstrated. I believe that this has also been done by limiting the scope of the legislative proposal. The argument is that, in view of the importance of good communication, it is precisely in the places where people interact with each other and people are dealing with aid workers and other professionals, that a legal standard and a legal uniform regulation benefit. So I see those two things as being related and not as two separate, distinct considerations.
ParlaMint-NL_2018-06-12-eerstekamer-4.u307	Finally, Mrs Nooren.
ParlaMint-NL_2018-06-12-eerstekamer-4.u308	In my view, we have a different line of thinking about the need for legislation versus other ways of doing it, where we come to the conclusion that if the field itself regulates it, the legislator must be cautious. I would remind you of last week's debate on fireworks, in which you make a different kind of assessment. Where there are literally deaths if you do not intervene, the cabinet says at that time: yes, but people can still contact each other if firecrackers and fireworks are fired and the police have to do their job. Then I find it strange that the same cabinet, on such an essential matter, where it also deals with fundamental rights and beliefs, makes a different kind of consideration in terms of the quality of service and uniformity. So I'm looking, let me tell you where the ground is underneath.
