ParlaMint-IS_2017-03-02-38.u1	We're expecting lunchtime off the clock. 13 o'clock. 14 today.
ParlaMint-IS_2017-03-02-38.u97	A respectable president. Now it's fun to be in Congress! Really. Hv. paritaprevir Will Bjarnason in a big rush, he's just asking us some pretty good questions. I'm going to ask him back: Has he forgotten the illegal loans given here, the luck loans, and the bank system had to be canceled for them? Has he forgotten all the homes that took these loans and had a negative personal position and had such an excessive problem that people could hardly sleep because of this? Hv. A senator has forgotten all of this. It's not weird because we know him. Everything that's uncomfortable, he just forgets. Regarding the benefits of the undefeated enterprises, it really is. But they're big business, and in some ways they can resist it. But we're also talking about the homes in the country, not showing them that much partiality. [[The president calls.]] But I'm not surprised. paritaprevir Will Bjarnason wants different homes or people. This is certainly true of me and the laymen.
ParlaMint-IS_2017-03-02-38.u98	A respectable president. I refuse to charge myself with any accusations that I've done here to discriminate people. Your board of directors, huh? For a hundred years, there has been discrimination between people and people, and I have not been there. [[Laughter at the Hall of Congress.]] So there is no discrimination on my part. Hv. A senator could not answer a question, and he regressed me with all kinds of difficulty and shame, as was my memory. I have an excellent memory and I know quite a lot about borrowing in the last 15 years, which may not have been in excessive measure because banks behaved like fools because the banking system was a crime in part. That's another story. But I'm gonna ask you, what's the difference between an inflation shot that may be... Has a what? A senator would walk through payment and learn how it is done? I endure such a situation and fully realize that at least men must prove that they can pay. [[The president calls.]]
ParlaMint-IS_2017-03-02-38.u99	A respectable president. It's not possible. paritaprevir Will Bjarnason be any sensitive? Is that possible? Sounds like everything. Here he comes up in a pit with all the sort of claims some of them are, I just want to let myself say, total nonsense. I don't know what to say. Yes, I'll say, what's going on here is that we'll increase the risk of threatening financial stability with this bill. I know it's difficult for you to hear because you normally care about the economy and maybe even oppose it, but because it's a administrative bill you may find it hard to hear some of the things signed up to say, especially in terms of discrimination against the homes of the country.
ParlaMint-IS_2017-03-02-38.u100	Madam President. I'm not going to have an answer like that. paritaprevir Will Bjarnason. I cut it down in a very good speech. paritaprevir Lilja Alfreðsdóttir that she mentioned what I think is a reference to the 10th paragraph. The bill that says, by permission of the President: ▪ The user has the right to change the posts of a loan associated with foreign currency into a loan that is not related to foreign currency. I suppose that's what she meant by perhaps it would be possible for borrowers to consider the risk to others. I think it's kind of a scary idea. I'd like to know what it is. A senator can imagine who is taking that risk when a borrower rolls it away.
ParlaMint-IS_2017-03-02-38.u101	A respectable president. Thank you. A senator for this inquiry. Usually when the individual is unable to carry this risk, it is the banking system or other people who carry it and have to accept it. That, of course, is what we experienced in the financial collapse. I listed to film illegal, I'd like to guarantee the loans. 150 billion birthdays took place. I feel like a lot of senators have already forgotten what it was like and what it was like. It's not just Iceland that's been in trouble because of a successful loan. There are many, many other countries. Not to be overlooked.
ParlaMint-IS_2017-03-02-38.u102	Madam President. Thank you. A senator's answer is that it is creating an incredible risk to the banking system. It is probable that Iceland's Secret Bank will be located in some cases, with a great deal of that risk, as a marine loan agency. It's actually this kind of thing that's being proclaimed by this bill, it's about to put Iceland's economy in grave danger again. Isn't that right? Is it reasonable that the government is offering a proposal that would put the economy in jeopardy again? I know why. A senator is not a part of the government, but I would like to hear her view of it.
ParlaMint-IS_2017-03-02-38.u103	A respectable president. I'm not surprised. A senator asks in this way. This is one of the things we're worried about, that the risk in the system is beginning to increase substantially. There is a tendency to take certain positions, possibly against the crown, to say that they have already taken a foreign loan, and they are concerned that the dollar is becoming seriously ill, and they will leave and take additional loans to protect themselves from it. So, of course, we are increasing our risk of financial stability.
ParlaMint-IS_2017-03-02-38.u104	Madam President. I thank you for the discussions that have taken place on this bill, which may in many ways be good, especially since it is the answer to the threat of EFTA. That institution is a good thing to accept. It's been four years since the threat came up, so I don't think there's a chance we can fix this problem, not so much that we can't take care of other problems first and fix them, especially when the problems are over and when this bill is approved. I agree with the warning as it is. paritaprevir Lára Arnardóttir, from a former council member of Sigurjónsson Siglejonsson, suggested that this creates an inexpensive availability of loans on the fine interest rates of abroad. It is not normal that only wealthy people be allowed access to cheap loans while most Icelanders are trapped in a high - interest environment. In this context, we need to keep in mind what the bill says by permission of a president: ▪ At the end of 2008, less than 50% of homes were allowed by loans associated with foreign currency with negative personal status in housing, but the ratio of over 20% was in homes that had only loans in Icelandic nonsecures, even though banks generally had a lower share of foreign loans. As a result, the risk of gang-changes borrowing foreign currency is considerable.• So says the President's permission: With the increase in the interest of the underlying currency and high risk loads or high risk phobia of markets, loans associated with foreign currency may increase significantly. In response to an earlier discussion, the highest figure was given. The secretary of finance that this was merely allowing this loan form, would not be trying to encourage people to use this loan form. Of course, it's a straight one, Mr. President. Today, the growing environment in Iceland is such that the economy itself encourages everyone who can avoid borrowing dollars to do so and borrow foreign coins. High - quality loans in Britain are currently available on interest to 2.2%, but in Iceland there are a similar loans between 6.5 and 7.5.5%. Then I'm referring to cheating loans, of course, because that is what is going on in general and what happens in the world. The growth rate has grown to such an extent that it simply pays for people to start fighting. But we're not supposed to be planning a crisis system, especially if it only helps rich people. Mr. President. Economics have a well - known phenomenon called trilemman, or the impossibility in English. This is a remarkable sentence for the fact that this is one of the few phrases in economics that have proved both teaching and data. It says that it is not possible to have at the same time a free flow of capital, independent money policy and a steady gang. Any pair of these can be selected, but that rule out the third option. Trilleman forces us to ask ourselves, " Which of these three are the most important and the least of these matters? ' Seems like who, of course. Far off from the republicC, free flow of capital funds has been made available, with the remaining currency heads, but then in the wake of the collapse, all three could be ill - equipped. Of course it didn't work out, the system shook itself apart, of course, with the help of bankers and high - risk investors. The Law actually just describes behavior that will arise. This bill is designed to correct the Icelandic law based on the 2013 Monitoring Institute for EFTA. Here we are dealing with four years too late, but it is also done in a way that offers the dangers of the trillum world. This is simply a matter of taking a stand by independent money policy and a free flow of capital, which means that the march will continue to get all over the place. We know that this has been the case recently, a 10% rise in short periods and a significant rise in the past few years, and this increase is beginning to have a very negative impact on exports in Iceland, which see the decrease in cost of operating and the cost of sales decline. But the danger could be even worse. There are other factors that could lead to greater travel, especially in which foreign investors brought money to the country through the UN Bank investment routes have seen up to a 60% increase in the value of their money in recent years. At some point, trust will disappear, as it always does, especially when the legal environment is in such a way that it cannot be trusted. That's when that money's coming out. Really, a situation that cannot live up to has been created. In fact, it is the result of this dramatic rise that has occurred primarily in the financial policy of the Bank of Iceland. It creates a measure of risk to consumers and reduces the credibility of the economy. In view of all of this, I'd like to warn that the bill will be accepted at this point. It's essential that we accept it in the end. One of the few people I disagreed with was that. paritaprevir Lilja Alfreðsdóttir was that I'm not quite ready to take the court route in this case. I think we're gonna have to fix this and we're gonna have to open this up eventually. But I think we should first fix other things. A measure of stability must be established before this bill is sensible. Although it may be both reasonable and necessary in view of Iceland's international commitments to accept it in the end, we should not rush into it. Mr. President, we're definitely not supposed to be going anywhere. To minimize the risk of related gangs in the country, it would be desirable to move the interest levels in the country in general closer to what goes and goes abroad. This will contribute to some reduction in foreign prognostication and decrease the financial cost of domestic people who may otherwise be seeking a high - risk currency loan, whether due to bone, word - to - word encouragement from the highest level. Secretary of finance or not, because the economy encourages it. At the same time, we're going to need a decision on the future budget of currency in Iceland. Before the election, it was the highest. The secretary of finance does nothing to address a currency scheme, which was said to be the then candidate of the woodlands and many of the current storms. Senators' solution to all of Iceland's problems. So I criticized them at the time. I think it's too costly, and I think there are other ways that might be preferred, such as, e.g. easy access to euro moving along the way Croatia has done and causes long-term fluctuations to occur very slowly while short-term fluctuations are decompressed. It's cheaper and simpler. But it really doesn't matter which way you go, you need to find a way. In itself, a secret arrangement is little more than a decision to prioritize the free flow of capital and constant success at the expense of independent money policy, but it does not result in complete surrender of independence in money policy. It is still there, though there is a certain binding in the regulations. There's some other way to go. In fact, I don't care which way I'm going, but there's gotta be a way, so you can't keep going anywhere. President. We at the government stand have been waiting for over a month for the government to show some sign of a vision. In fact, earlier today there is an excellent advance vision in a report of the highest climate. Environment Minister. This report needs to be followed by action now. Yet, there is still no need for a vision of the future. I've heard of the fact that we're now in the Ministry of Financial Affairs, a lot of bills to be asked. I don't understand why they haven't at least come for distribution, because there is no reason why the council may not be able to look at these documents even though they may not be on the program. I don't know exactly what's going on in the Ministry but I'd love to hear what it is, how many bills there, and what the situation is on them. However, I would also like to see suggestions made on coincutive advice come up or some form of suggestions that would reduce the risk and risk of success. All of this must be considered before this bill is approved. If we were to deal with this, we could solve the problems of high interest in the country, turn around to the point where there is at least a 5% difference between loans on the land and loans abroad, this bill could be submitted without some amazing rule that only rich people could take this loan because it would then be consistent. Then it would be a normal marketing trade that took place between countries. That would be normal. But to present the bill now as some sort of priority, since not many cases have come from the highest level. A government, becomes this image that this is what really matters, to create an environment where only a few rich people can take a good loan while everyone else is going to have to go through. I think it's kind of ridiculous. Not only is this ridiculous but it is also something that poses an enormous risk to the economy of the country, as noted in a series of cases. Senators back there, they're offering the danger home. Mr. President. We have to stop playing roulette with our economy. It's just not available anymore. We've had one collapse. We shouldn't be setting things up for anything else. Although this bill may someday become legal, I think we must seriously talk about setting priorities first.
ParlaMint-IS_2017-03-02-38.u105	A respectable president. The bill mentioned here is actually a loan binding form, i.e. that gangstasy loans can be replaced by the currency bar, which is set in second row only. You may then be able to borrow a loan in a mixture of coins and formalize it. That existing laws allow individuals and companies to borrow in foreign currency to meet certain conditions. These conditions include the ability to earn, as when a person and a company take a loan in Icelandic. There's nothing else going on in this bill. The bill does not involve a challenge to any other person to borrow. Another closer one. Here, like domestic loans, we have a strong or at least a reminder of our ability to provide payment. It is strongly suggested in a talk that only the rich can borrow. Almost today, taking a loan in Iceland is just the more wealthy or the people with a high income. So there is no change. Likewise, to argue that there are only rich people who can take bank loans for low interest: If so, they take a greater risk than the variability that comes with so - called price insurance loans available here, i.e. the benefits may be wiped out. It was stated in a talk earlier that this was the ideal situation for borrowing foreign coins. There's something else. There are ideal conditions today to buy a foreign currency for the crown's funding, and even to keep that currency under the pillow, if there's room. In a speech like that. paritaprevir Lilja Alfreðsdóttir moved back there, as I tried to draw attention. But as for this change in interest of interest laws and consumer loan laws and mortgages, this is only a formalized framework. This does not involve a challenge. And let us remember, too, that it is so strange that only a small portion of mankind can borrow a dollar. It is strange that this small part of mankind, if available, is pressured to borrow this coin. If the person looks outside the landstones in the common European market - we are talking about the EU's internal market and the EEA, the European Economic Areas - they also agree with certain rules and frames. Here, as I have said many times, it is merely a formalizing of the deal frame involved. It has been claimed here that there will be some bad luck. In fact, similar bill has been investigated twice before; it happened twice before the council during the last term. At that time, representatives of a rural group reported that they had done quite well their research and found that only one year of borrowing would have been less successful. It was now all the risks they felt were in and wished to have this authority to borrow foreign rather than to commit it. I was also shocked that I didn't have any memory. I'm just fine memory, and I've also calculated a little loan status and now I'm borrowing. A few years ago, when the gangs of the Crown are strengthened here under abnormal circumstances, foreign loans as never before began to be borrowed, and the banks, now convicted, gave them credit but not with great knowledge. Once the dollar has gone through a long cycle of maintenance, there will be an even greater risk. You may need to look at the time when you look at those loans that are associated with foreign currency. In 8. See, if I remember correctly, I'm a little close to paying off. There, for example, does not say that a person who earns money in a foreign currency needs a lot of money or a lot of money. It is strange, then, to make shoes that taking loans according to these points is only more important: ◯... has passed a pay assessment assuming significant changes in progress and significant increases in interest. It is the equivalent of a law relating to financial loans. There may be a change in the index of consumer prices, and then there will be shots, i.e. The amount of payment may increase, so we need to act. The so - called securities are up, but they may not rise as fast as a gang loan or a loan in foreign currency, since gang changes usually occur much faster than changes in the index price. Then I'm going to step in here, and I've often wondered who makes money in foreign currency. They're catching fur now. Don't sailors make money on foreign coins? The income depends on the price of foreign currency. I think, for example. that sailors make money in foreign currency They're supposed to fall under the 8th team automatically. I simply say that interest laws should be generalized, making a general framework for the agreements of loans. If I know any law, there's only one kind of loan that's very legal, i.e. - What the fuck? But the bonds are a contract that is not dangerous at least to offer to the weak, the borrower, some support in these growth laws, whether in consumer loans, or in the laws on mortgages, or in general interest laws. But I'll repeat what I've said before that I believe this bill is an improvement. It's a frame. It is not a challenge to borrow. The case is likely to be properly treated. I'm looking forward to a financial and business committee.
ParlaMint-IS_2017-03-02-38.u106	Mr. President. Now I've heard of it. paritaprevir Will Bjarnason has a little experience with investments. Hence, it may be reasonable to ask: If you were to do so. A senator's goal of borrowing was to borrow, and especially when we remember that there has been a 2,225% rise in the last year's gang rate in euro. A senator taking foreign loans instead of domestic? I'm just asking. I'd like to ask you, too. A senator is familiar with the main behavioural characteristics of the so-called Brown process.
ParlaMint-IS_2017-03-02-38.u107	A respectable president. I now believe both of these questions are outside the subject of the bill. Later, I'm going to say no. The first team may be a question of my private situation. A senator has nothing to do with anything. However, if we were to reflect on this in theory, after the description given by the senator, it is that once the crown's gang has grown greatly and the walk of the pound has fallen upon other coins and these advantages are available, the poor person would not borrow the coins that have fallen because they could gain strength. If the U.S. dollar has gone up, the others have fallen. In spite of interest, it is the monopoly to take a loan from Icelandic dollars. And even borrowing money from Icelandic dollars and buying foreign coins, as it may be that when you get out of a balance phase, you will benefit. But I repeat, I believe that the subject of the questions has nothing to do with this bill.
ParlaMint-IS_2017-03-02-38.u108	Mr. President. I thank you for the answer, but it's about the way I thought about the last couple of years. But, actually, it was a problem. A senator's behavior is somewhat correct. When the currency has increased considerably, of course, it will eventually look down. This point is exactly what has been talked a lot about. And for the other thing, you might want to wait for the crown's gang to get a little weaker before such a loan, but when we are talking about such differences in terms of growth rates, the motivation is, of course, there. That is exactly why I view the bill as an incentive to borrow foreign coins if economic circumstances are like that. They may not be at this moment, but we know that the crew of the crown will at some point go down against other currency. It's the nature of Brown processes. It is the nature of all things to look for their balance. Of course, I'm not snooping in the private interest of what. paritaprevir But I would like to understand why Vilhjálmur, the son of Bjarnason, feels that there is no motivation in this and no risk to the economy. Because that's exactly the point of the bill, that's exactly what we're talking about here. And that he doesn't see the reason to take a loan at this moment, what if the walk would turn down 20.25% to euro in the near future? Would it not be a little interesting, then, to take such a loan?
ParlaMint-IS_2017-03-02-38.u109	A respectable president. It may be interesting, it just depends on the situation. But I say again and again that the code of law under consideration is not a challenge of any kind. I don't really understand those speculations. I've said and repeated that I believe that if those alleged rich people I don't know exactly who are, they're willing to take a serious success risk on March 2, 2017, they're free. A risk to the economy is always present. Even when I buy a car and buy money to buy the car, it's a risk to the economy. I'm disrupting the market with just as simple a thing. If everyone went out today and bought a car, it would be a major market malfunction. It's a risk. [[Up front.]] And if such shepherding practices are expected in the bill, they are expected to respond. This is simply assumed for national security during the bill. I simply say, every loan movement, every capitalism, carries risks. In this bill, you are simply creating a frame. We never risk it. It's just so simple that there's a risk to humanity. Thank you.
ParlaMint-IS_2017-03-02-38.u110	A respectable president. I'd like to ask you a few questions. paritaprevir Will Bjarnason's son. Of course, when I talk about ideal conditions, I refer to the ideal situation that there is a great deal of interest between the euro and the Icelandic crown. That should be why. A senator who knows very well. I'm just going to point out that the dollar is very strong at the moment. I'd like to ask you what. A senator in charge of it is likely now aware that the Navy bank has been on the market and good if it has not already purchased in the last 24 Source of 400 billion months so that some might ask themselves: " Could the dollar be even stronger than that? ' I would like to ask him what economics tell us in that regard. Then I'd also like to ask him how he appreciates this sentence that is in the bill, I'm just gonna read it back to him, and if he could explain it a little more clearly to the rest of us, because I know exactly how I understand it. It says: The borrower shall only lend loans linked to foreign currency to consumers as: b. has passed a pay assessment that allows for significant changes in order to occur and significant increases in interest of growth. I understand this so that whoever can resist such a situation, of course, has a financial allowance. That's what I'm talking about. A senator disagrees? When you've made financial decisions, doesn't that mean you've got more money? - Three questions.
ParlaMint-IS_2017-03-02-38.u111	I only heard two of them.
ParlaMint-IS_2017-03-02-38.u112	The President would like to remind the senators to request permission for a direct quote.
ParlaMint-IS_2017-03-02-38.u113	A respectable president. I'm just going to go straight to work and say with my first question and the interest and the scholarship phase and buy the Secret Bank and how much I think it will: it's none of this. You should begin to learn it here at a council to address the subject of a bill rather than some elephant societal on something that has nothing to do with it. That's the kind of meditation we need. The senators in questions directed to me, and they don't have anything to do with the bill, I've tried to ignore them, and I have not answered such questions. Regarding the other thing, if you don't mind me asking. A senator from the seat, it was about the 9th team. par.? This is exactly the same as the equivalent of a set of laws and is in the presecure of loans. There may be shock there, and this is what developed four years ago the concept of a negative head chair. A negative head chair just doesn't matter. What really matters is a means of payment. In all loan agreements, it is likely that there is some room or some property to sell if the person's means of payment fall for any other reason, so I can understand it simply as there are a rule on payment. The third question, I haven't gotten it, I've fallen out, I just admit it. But that may be the case next round.
ParlaMint-IS_2017-03-02-38.u114	A respectable president. I'm not surprised. A senator has no answers. He often comes in a pit with all sorts of claims that something is like this, but when it goes wrong. Unfortunately, a senator and he insists on answering, we come to the empty cabin all too often. It's happening here today. That's why I mentioned the ideal situation. I'm a little surprised that when it happened. A senator here presents such statements as this is not prepared to reason with other members of Congress. Just because he doesn't have any answers. This, of course, is not good for a discussion here at the council. I'd like to ask you again, though. Senator, how do you understand the "B" team? Who can survive significant changes and significant increases in growth? We know exactly who they are. It may be hard for you to know that there are only more wealthy people who can survive the crisis, but that's just the fact of it. I would like to have a good time, too. A senator showed me the exact same law on security loans, whether they must be able to pass pay, which includes substantial changes - it does not mean that these are insurance loans - or a significant increase in interest. I would appreciate it if he could refer to it and answer the questions that focus on him. It's just common courtesy.
ParlaMint-IS_2017-03-02-38.u115	The President begs members of the council to direct his case to the President.
ParlaMint-IS_2017-03-02-38.u116	A respectable president. I'm sorry. I'm sorry. I'm sorry. A senator a second time. I believe that again and again, meditation on interest rates and what the late bank will do has nothing to do with this matter. [[Up front.]] And I'm sorry that there's rarely any answers from me, and I'll be in a pit in time. I've been complimenting myself that I don't come in a punk much, and I'll only be in a pit when I have something to say, not to compete with any other person who's trying to get into the speech record. I simply say as an tolerated Icelandic banking system, I have undergone a pay assessment in Icelandic dollars that accounts for significant changes in interest rates, substantial changes in index prices. I don't have the law on my hand, but I don't think that these requirements of payment I've come up with were based on some law, and I don't think they were any unreasonable either. It is quite simply a matter of life that those who have a table for a bag have better credit cards, whether it is a state, a business, or a person. It's just a thing that my views don't change anything. I believe that this box is being set - in fact, someone may say it is absolutely unnecessary because foreign loans can be borrowed that have a second order of variable sizes. [[The president calls.]] So I can't see that these answers are not true. A senator has added something to his wisdom.
ParlaMint-IS_2017-03-02-38.u117	A respectable president. It has been interesting to observe the discussion on this subject today. Those who support the case, members of the government, have striven to come up here and put it down, now that is not a big deal, and now it is not the norm in the capitalistic world. They're right. That's the way life is now. It is also true that this matter is, as we sometimes say at the council, that there are not very many people interested in sitting in a Senate hall or listening or participating in a discussion about it, I do not talk about it when late Thursdays pass. Yet, this is a matter of principle. We've got a case here for EEA's rights. It matters how this arrangement is made in Iceland, in a country with 332 thousand consumers, people with their own coins. So here it is being said to open up an instrument for taking back a successful loan, not many years after we had to go through because it was taken a considerable load of success loans, with the consequences for both the Icelandic economy and many individuals who borrowed such loans. I mentioned earlier that this was the third time the case was presented. They have been submitted twice before, in the 144th and 145th legislature, and are restored in several adjustments. Hv. paritaprevir Lilja Alfreðsdóttir read here from the report, on page 24. 5, chapter 2.2, experience of financial failure in 2008. I encourage interested ones to read it and then wonder what it is like to do this in the bill when a person has studied that chapter. I'm not gonna let a president read it. The reason why the bill is presented here for the third time is that during the last term of the Agency government and the Independence Party, we held forward to this resolution. It was a large part of the assembly that was as worried as we were. However, it never tested whether more was involved, for it did not come to a vote at the end of the season. After all, we progressive people believe that there should be one nation in that land and that it is to sit at the same table. No matter how painful it is to hear what supports this way, when it comes to this matter, the possibility is being opened up and given more material opportunities to borrow with a very different interest level than the loans offered to others. That's why we're against this way. Increasingly, a window on economic instability is being opened. It says that financial standards and the Council has permission to intervene. When do we interrupt? What is the threshold? When do people say that enough is enough and that there is a risk and that there is a need for intervention? Who, then, have had the opportunity to borrow anything other than all the majority of the people of the land? The question may be: Why is this being done? I'm not gonna answer that. I'd much rather see that the government was looking at a positive view of Iceland's growth proposal and if we could not aim for growth here to be lower in the past than they've been here for a long time, where all Icelanders would be seated at the same level if it was possible to reduce growth, including apartment loans to everyone. Six-stage interpretation proposals. But the way we're going here is, so those consumers who pass the law of the b-join 8. g., obtain both payment and be able to anticipate significant improvements in growth and make sufficient money in currency, such loans should be available, others should not. During the last terms, a change in b- team 8 was proposed. g., adding on the basis of the payment and the possibility that men could tolerate significant changes in gang peace and significant increases in interest. Added: And give up foreign assets in the currency associated with the loan insurance, and then: Or c. Self - centered people felt that this was a lot of forethought during the last term and that it was unnecessary to go so far as to ensure that these individuals would take such loans, they would just have to take this risk for themselves. On the other hand, we observed that this was forethought and justice because we borrow a large group of people and they will not be stopped until at the top of the hour there is a risk of economic stability. And where does he land? He strikes all the others who did not have the opportunity to borrow success on lower interest rates. Rather, he has to sit on the soup of securable loans that will raise such instability. Also, it may be wondered whether the cow's bank loses a significant number of people's money and turns them into foreign success loans. Bad borrowers are indeed threatening the stability of the currency. This may increase the fluctuation of the crown's gangs, for, of course, people will try to defend themselves, paving for a great weakness on the crown. It's a question why the government wants to offer that danger back. Then we know that this is where the Navy bank's equipment is called "Aggression. " It was well - known when a very large group of people in Iceland had a foreign gang insurance loan that the steering growth device was not working. In other words, there are some who are to avoid the steering device; others are to live with the device and its resulting growth. As I mentioned earlier, when the damage is done, the question is, Will the well be stopped? Hv. paritaprevir Alfreðsdóttir Alffreddóttir here mentioned that there are not only small countries like Iceland with few residents and special coins that look to the problems of success loans. This has been a reference to Austria. In many countries that have even euro and are in the European Union, there have been a wide range of instruments, such as seagulls, to ensure that there is a greater stability in their economic situation. What a contrast that was during our last term under the leadership of the candidates! That's why this case is not over. It's hard to understand why new things happen. The secretary of finance is so stiff as to open a loan type that can be used as a sign, as it were, from the beginning. In both other times during the last term, the Council warned that this would be opened because of the damage it has done to Iceland in the past and, indeed, in many other countries as well. However, during the last term, the completion of the new release of total mortgage laws was achieved. The plans for the then financial minister were like those of the current minister, allowing the home loan to remain undefeated loans. Then, with a great struggle and mutual solidarity, members of Congress were able to make a change in order to prevent such loans from being granted unattained loans. If this new bill becomes legal, the change is reversed, allowing the wealthy to borrow such a loan. That would certainly be a great return. In other words, the current minister of finance and present government is going to go further, but the current law adopted during the last term reached a solidarity in the council. Finally, Mr. President, it's clear that we need to respond to EU opinion. It is also evident that we, the Icelandic nation, have learned best from the danger of going unwarrantedly about the door of joy where we are opening new loans, new loans, in walked - on loans. I want to encourage the Senate, and trust that it will be done in trouble. The Economic and Business Committee, to take a good look at this matter, and to look at the reviews, especially the Pentateuch, from the last term before a man handles the matter further. I'd like to end this case by repeating my question to the highest level. Secretary of finance: What is the threshold, according to his view? When should financial facilities intervene? What is the amount of money that can be taken out of this loan class before people feel that it is necessary to act?
ParlaMint-IS_2017-03-02-38.u118	A respectable president. I want to thank the senators for this discussion that has been here today. I reiterate that I fully understand the concern of the risks of such loans. I repeat what I said in reply to a previous answer that there is no reason to encourage the public to take a risk of such loans. I'd like to say what, too. paritaprevir The Sigurður of Ingi Jóhannsson that I have no record of when to intervene if it had come at great risk of such loans, but I draw attention to it and repeat what I've said before that here we are talking about allowing in a slightly different way the loans that are already permitted, i.e. It's allowed for the public to borrow in currency. Of course, all of them follow the same dangers that it uses the same payment as the meaning would be used for such loans. So this is not a complete change in form from previously existing levels. It is being opened on a very similar form as already allowed, for example. Allowed in the government as a matter of course. A senator sat in his last term. Here I think we all know that the point is that we've been given this clear recommendation to accept it, to set this kind of law in Icelandic law. The last warning that we have been given has been given. I don't think it's worth a lot of money on our part to accept this change, because here we're not talking about big morphological change, but more morphization of certain loans. But finally, I want to say that I want to say something. paritaprevir Sigurður Ingi son of Jóhannsson, and hoping so. A financial and business committee will consider the matter well, get reviews about it from sources, and find out what this may include because I am convinced that it will come to the conclusion that there is a minor morphological change that is appropriate for Icelanders to take in their own laws.
ParlaMint-IS_2017-03-02-38.u119	A respectable president. I recommend a bill to legalize a European financial monitoring system. This monitoring system is aimed at protecting the interests of the public and the financial market by promoting the stability and health of the financial system on the internal market of the EEA. Iceland became a member of the European financial monitoring system last September, after its resolution by the General Assembly. The three European monitoring agencies are the European Bank Control Agency, known as EBA, the European Life Insurance and Penitentiary Fund, called EIPA, and the European stock market, called the EUMA. All of them are independent of their own budget. Their primary role is to protect public interest and to promote stability and efficiency in the financial systems of the financial markets employed by the institution. The European System Management Board, ESRB, is also part of the system but it does not have binding authority, it is therefore aimed at evaluating and monitoring system risk and detecting potential economic threats in the European Union. The three institutions started in 2011 in the European Union, but after the Regulation was adopted in the EEA Convention, the system reaches the EEA countries as well. The rules are implemented as they have been adapted to the EEA Convention. The EFTA monitoring centre will be undertaken by the EFTA State within the EEA and will have the binding authority warrants of the European Competent Authority in the Member States and, exceptionally, to individuals and to the legislators. The decision of the EFTA monitoring facility will be made to the EFTA Court. Therefore, the EFTA monitoring centre will be made up of financial markets in the EEA, in the same way as the European Observation Centres are on the European Union. The role of ESA, the EFTA monitoring facility, is addressed in the adaptation text to the decisions made by the Joint EEA Committee. It is important to insist that the authority and authority of the expected ESAs are primarily designed for disaster, and the principle remains to be a financial check on national rights, here in the United Nations. The role and authority options are discussed in the Regulation itself, suggested to obtain the legal value. There was considerable coverage of the institutions, their authority and adaptation to the recording of the EU contract at the last legislation meeting. For a detailed discussion of the prehistoric nature of this case, we can find a proposal for the resolution laid before the Council and adopted in September. The draft proposal was accompanied by a panel of administrative sources for the induction of the species. Four main forms of the European monitoring agencies are proposed, i.e. EBA, EIPA and ESMA will be given legislation values as well as types of the European System Risk Management Board. The rules for monitoring are listed in comments to the bill and will be followed by the review of the main policy at the SEC in cooperation with the EFTA monitoring agency. Information from FME to European monitoring institutions is permitted through the bill. The bill contains information from the FME, i.e. The European Commission to ESAs and other EEA institutions. It is requested that the specificity of the EFTA monitoring facility be established in this field. Then there is a change in the law on official control of financial activities that address the information of the UNECE and lead to other aspects of the bill. The bill is provided with an electronic package containing the regulations adapted to the EEA Convention. This document is for information. A respectable president. With legalisation of this bill, Iceland receives access to the European financial monitoring system. I would like to draw special attention to the fact that the implementation of this monitoring system in Icelandic law is essential for continued participation in Iceland's IX. Annex of the EEA Convention for financial services. Iceland's Member States that the system is necessary for financial companies to be able to work at the internal market of the EEA, for financial services, and for cross-border business. Finally, the solution to the recording of the EU contracts, based on the two support systems, was a victory for Iceland and the EEA. This bill is also adopted as a prerequisite for legalization in financial legislation, i.e. improvements in Iceland have committed to enforcing Icelandic legislation on the basis of the EEA Convention and directly linked to the licences of the EFTA and European monitoring centres. Their legalization is important in ensuring the competitiveness of parties in a domestic financial market and promoting a clearer legal environment in accordance with that in neighboring countries. I want to conclude that I believe it is very important that this bill succeeds in strengthening the financial markets in this country and in ensuring the success of Iceland's membership in the EEA Convention. A respectable president. I suggest that the bill be referred to. The Economic and Business Committee and the 2nd Environment. to end this discussion.
ParlaMint-IS_2017-03-02-38.u120	Mr. President. Thank you for your advance. The secretary of finance and the figure that this looks like a very good bill that will improve the financial market management and can't be helped. Still, I want to be curious, and maybe this is really a philosophical question, but it is important for the way we administer the government of our country. This means that there is actually a double development in the surveillance system. EBA, ESMA, and EOIPA belong to the so - called EUsta, but there is an EFTA monitoring agency, who, of course, performs a role as well. There is a match, and even twice. Now I'm very fond of the EFTA deal and things in there. But I'd like to get a little curious and ask the highest. Secretary of finance whether or not he worries about the double. The bill is now referred to as a cost of some 31 million a year, if I don't miss, which is a very insignificant sum for a trust fund. Nevertheless, we are, of course, also paying to finance the EFTA monitoring agency, and I would like to ask, " Is there no room to make better use of the interaction in such a way that there is less double money and less cost, and there will be even more efficiency in the surveillance systems we are on? '
