ParlaMint-NL_2019-04-04-tweedekamer-8.u1	We will continue the debate on social support.
ParlaMint-NL_2019-04-04-tweedekamer-8.u173	Thank you, Mr. Chairman. The last time the VWS Committee signed a parliamentary motion was that of my group on the occupation standard of two out of eight. So I think it is very good that this committee is coming together. I have just said that I do not think it is very concrete what needs to be done if that monitor shows that there is a shortage of financial resources. That is why I, one, tabled an amendment, which says: no AMvB that actually makes it possible for municipalities to try to remove the money for deficits from clients. Two. I have prepared a motion which also says what I think should be done with the financial deficits. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[If the monitor shows that the introduction and implementation of the subscription rate leads to financial deficits, the Government shall retroactively compensate it and find coverage in the expected benefits of care up to 2021,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Agema. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35093-23]]
ParlaMint-NL_2019-04-04-tweedekamer-8.u174	Mr. Chairman. Exactly a week later than planned, we conclude the debate on the subscription rate. That is important, because with this bill, we are making sure that for a large group of people the costs of support go down considerably. And that's just good news. There are also concerns and they have been discussed extensively in the debate last week and again this afternoon. They are recorded in a motion and I too am glad that we were able to put them on paper with Chamberwide support. There are two other things that are important to the VVD. I have heard them in the Minister's extensive speech, but I think there is no harm in taking them out for a while. The first one. This bill regulates the reduction of costs for people, but it doesn't change the starting point of the law, namely customization and appropriate support for people who need it, after a conversation has taken place between the municipalities and the applicant for that support. That conversation between the applicant and the municipality was already important and is perhaps even more important as a result of the introduction of the subscription rate. Mr. Chairman. The second point. It is precisely for this reason that the VVD considers it important that the way municipalities conduct this conversation and thus also implement the Wmo 2015, is part of the monitor. We also need to get a picture of the differences between municipalities, so that, together with all the other information that comes out of the monitor, it gives us input to make that Wmo 2015 ever better. We are doing it in order to organise support more and more for those who need it so that they can continue to live their own lives as much as possible and continue to participate in the ordinary things in life.
ParlaMint-NL_2019-04-04-tweedekamer-8.u175	Thank you. Finally, Mr Geleijne.
ParlaMint-NL_2019-04-04-tweedekamer-8.u176	Thank you, Mr. Chairman. I thank the Minister for the answers he has given, quite comprehensively. In particular, I would like to thank you for the commitment that additional financial resources will not be excluded if this proves necessary. Earlier in this second term, it has been recalled that the great goal is to prevent a accumulation of care costs for people at home. I'm curious how that's going to work out in practice. That's why I'd like to table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that research carried out by the Social and Cultural Planning Bureau in the period 2015 to 2017 shows that 9% of the people who pay their own contribution to Wmo are in financial difficulties;]] [[having noted that a package of measures has been taken from 2018 with the aim of reducing the accumulation of healthcare costs;]] [[Whereas it is important to properly monitor the financial situation of people who have to pay their own contribution;]] [[calls on the Government to provide factual insight into the income effects of the package of measures for different target groups and to inform the Court thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member of the Legion. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35093-24]]
ParlaMint-NL_2019-04-04-tweedekamer-8.u177	Finally, Mr President. I thought the Minister was a little short, but he might be able to say a little more about providing information to clients, both from the Ministry as well as from the municipalities and the CAK. To that end, the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Ombudsman indicates that there is a great deal of uncertainty about the new rate in the Social Support Act;]] [[calls on the Government to encourage municipalities and the Central Administration Office to optimise communication on the new rate;]] [[and also calls on the Government to optimise communication from the Ministry of VWS,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member of the Legion. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35093-25]]
ParlaMint-NL_2019-04-04-tweedekamer-8.u178	Thank you.
ParlaMint-NL_2019-04-04-tweedekamer-8.u179	Thank you. This brings us to the end of the second term of office. The Minister has indicated his intention to suspend for seven minutes, so we'll meet again at half past six.
ParlaMint-NL_2019-04-04-tweedekamer-8.u180	I give the floor to the Minister.
ParlaMint-NL_2019-04-04-tweedekamer-8.u181	Thank you, Mr President. Thank you also for your stretchiness and your bespokeness in the suspension, entirely in the spirit of the debate, because I think I have just taken an extra minute. I would like to go through the motions and the questions put by the Chamber in the second term. I'll start with the Heink c.s. motion. in piece No. 17. There are an impressive number of names under that motion, even names of people who have not taken part in this debate. At least not in a physical sense, but maybe they have chips and coke in front of the tube. Of course you can. I thank the Member Hijink cum suis for this motion. I believe that this motion, in this wording, reflects the balance that we have sought to maintain in the first period and that it actually brings an appropriate conclusion to the first period. We underline that the Minister has to be able to address the implications of a law for implementation practice. We stress that it is important to want to be involved in the effects in practice, and that, of course, no blank cheque, Mr van der Staaij, can be given in advance. Of course not, I'd like to say. At the same time, there is a responsibility to do what we have to do with the elaboration, implementation and results of the monitor, namely to take measures in conjunction with local authorities if there are obvious bottlenecks. These could be financial measures. These could be substantive measures. We don't get ahead of that and we don't run away from that. In my view, this motion in this wording is actually an appropriate conclusion to the debate in the first period. I would therefore like to leave the judgment on this motion. Then there is the question of whether, in the case of the grace provision, the same is true of day-to-day spending. Yeah, that's right. It is true that the same applies to day-to-day expenditure, namely that, in principle, if there is a certain frequency, a certain lasting relationship between aid workers should be regarded as covered by the subscription rate. Very often there will be a tailor-made provision, in which it will be covered by the subscription rate in any case. However, in a single situation, especially in the case of recess care, it may take place once or twice a year, for example. Then again the question is whether someone has been very helpful with it that it is covered by the subscription rate. So, as with day-to-day spending, the question needs to be looked at very precisely in municipalities: what type of care are we talking about here and what is the most logical thing to do here from a client's point of view? Is it always a maximum of €19? No. But is it logical that it becomes part of the definition of a lasting relationship if there is a certain frequency in it? Yes, I do, indeed. This would be covered by the subscription rate. Imagine that it is not covered by the subscription rate and that the own contribution is higher, then again what I mentioned, especially in the direction of Mrs Ellemeet, is true. At that time, the discussion takes place on the question: is this an appropriate form of support? If someone simply cannot afford it, it is therefore not an appropriate form of support and can always be called upon by the municipality in the form of a tailor-made provision. In short, in the end the same applies there and we simply need to ensure that these facilities remain accessible to the people who need them, because that is what this is about. Then I am with Mrs Ellemeet van GroenLinks' questions. She is actually asking again about the minimum regulation. I have said that this bill does not really do anything about it. With the abolition of the Wtcg and the Cer in 2014, municipalities have been provided with a structural allocation of 268 million to enable financial tailor-made work. That was previously contained in regulations. This was then given to municipalities to make minimum regulations. That's what congregations have done to their hearts. We see them in all kinds of forms. This bill does not take away any opportunities to do anything about it. With this bill, those possibilities remain. In 2018, there were 45 municipalities applying minimum policies to the Wmo. In 2019 there are currently 52. Through the monitor we do have the finger on the wrist to keep how this continues. There is no prohibition in the direction of municipalities to deal with this differently. Of course not. Space is here. We need to see how municipalities deal with this in practice. The municipal councils are the move. That is not so much a question as a statement by Mrs Ellemeet. She says that GroenLinks thinks that the strongest shoulders, the broadest shoulders, should carry the biggest shoulders and that I would see that differently. That's not true, because I agree. At the Wmo we see that we want to do something about that part of the people who are reluctant to appeal to the Wmo at all because of their own contribution. We want to do something about the extent to which the accumulation of healthcare costs in people leads to substantial healthcare costs. This will meet people with high care costs. That's one. But who pays for those people with high care costs? That is, of course, still regulated through taxes. We have extremely progressive taxes in the Netherlands. So it is true that the heaviest, the widest or the most muscular shoulders, the most voluminous shoulders, whatever you want to call it, carry the heaviest loads here. This is inherent in our tax system. So I share that statement and I think that this is a wonderful implementation of it. Mr Van der Staaij gives his consideration, a poem of praise, I would say, to the motion that has been tabled. He stressed the willingness of thirteen political groups in this Chamber to cooperate. That's impressive indeed. I spoke this week to my colleague Jens Spahn, who is looking with some concern at the number of political groups that should be taking decisions here in Parliament. Can it actually work with so many groups? My English colleague said earlier: can we cooperate with so many groups? At that time, I said that we can do better than you can do within one party at the moment. Never underestimate the power of the Dutch coalition policy, because we are quite good at that. Then I'll go to the motion in part no. 18, which calls on the government to enter into consultation with the UNG and patient organisations to clarify the concept of "sustainable aid relationship." Let me say that I do not intend to give any further, more legal explanation. I think we just gave that legal explanation to each other. That is the law, the explanatory memorandum and the legal history. That is the legal explanation we are giving at the moment. At the same time, I read the motion, it is about doing what I already intended to do in consultation with municipalities and with client organisations, namely to clarify this, to help in how you communicate about it and to give the clarification at municipal level in all these different implementing modalities. What should you want to see as a lasting aid relationship? I can actually imagine a great deal about this motion. I think it helps to involve client organisations. Under that condition, I would like to give this motion judgment Chamber.
ParlaMint-NL_2019-04-04-tweedekamer-8.u182	The motion in part No. 18 gets judgment Chamber.
ParlaMint-NL_2019-04-04-tweedekamer-8.u183	Then there is a question from Mrs Bergkamp of D66, a complicated question. I hope I understand that. The change in the own contribution system does not affect industrial relations in a pgb-funded institution. There is therefore no change. This is independent of collective agreements and the general declaration of collective agreements.
ParlaMint-NL_2019-04-04-tweedekamer-8.u184	Maybe I can ask the Minister to take another look at this and come back to it in writing. It is about the discussion about whether or not to have a housing component, whether or not to be covered by sheltered housing and the consequences for old initiatives and other pgb-funded initiatives, for example. Maybe I can ask the Minister. There are concerns. We have also been reminded of this by Per Balance. It would be nice to get a little more depth in that. This debate is not entirely appropriate for that. It would be nice if the Minister would come back to that in writing.
ParlaMint-NL_2019-04-04-tweedekamer-8.u185	There was a Christmas debate on parental initiatives and this type of housing initiative. Then I told you I'd come back before the summer with everything we agreed to do there. If I could include that question and then come back to it in your direction, I think that would be wise, because then I can put it in that context too.
ParlaMint-NL_2019-04-04-tweedekamer-8.u186	I don't think that's a problem. In particular, it is important that it no longer falls within the scope of protected housing and what the consequences of its initiatives for pgb-financed with and without a housing component are.
ParlaMint-NL_2019-04-04-tweedekamer-8.u187	Yes. Okay. Then I'll go to the motions of the Labour Party. First of all, the motion in part No. 19, which calls on the Government to ensure that the introduction of the subscription rate does not directly or indirectly lead to the disadvantage, in financial terms or otherwise, of people with a minimum income. When I heard this motion like that, I found the tone quite bleak. So many people are getting ahead of themselves with the subscription rate. The tone of this motion is then very bleak. But more importantly, the balance in the motion in part No. 17 was found better than in the motion in part No. 19. I would also like to discourage the motion for a resolution for that reason. This one is absolutely formulated.
ParlaMint-NL_2019-04-04-tweedekamer-8.u188	The motion in part No. 19 is not recommended.
ParlaMint-NL_2019-04-04-tweedekamer-8.u189	Then the motion to part No. 20, which asks the government to ensure that municipalities go to care providers in the Wmo at a real rate or continue to pay. We just have an AMvB for real rates. An AMvB has power of law, so that AMvB has more power of expression than adopting a motion over it. The assumption in the first recital is that 30% of the municipalities would not pay a real rate. I can't test that assumption. I don't know where it came from. There's gonna be a reading of what's really going on. It will come in the short term: in April or May will be the first measurement I had agreed with you. That measurement is part of the major investigation that we started. In short, it has my attention, but the rule of law is already laid down in the AMvB, which is firmer than recording it by motion. Very soon we will come up with a measurement. I would advise against this motion for a resolution for those reasons.
ParlaMint-NL_2019-04-04-tweedekamer-8.u190	Short. The approximately 30% I mention in the motion is, to be exact, 30.4%. That percentage is mentioned in the recent investigation of Berenschot. The Minister is aware of this, because he replied in writing. This motion is motivated by the fear that almost the whole debate has been about, namely that if municipalities do not have sufficient financial resources to properly implement the subscription rate, the pressure could be placed elsewhere, including at the rates. Municipalities can think: if I have to get my money from somewhere, I'm going to print more on the rates. There is indeed a general measure of governance, but we talk about this regularly for a reason. If you put it on paper, it is not yet settled in practice.
ParlaMint-NL_2019-04-04-tweedekamer-8.u191	But that also applies to a motion. We've already committed it in an AMvB. There is a stronger power of expression than another motion. I would think: we have both the research about the AMvB on real rates and a monitor that also shows the effects in practice. Where it would be about the care about the deterioration of the facilities, that would be evident from the monitor. Where it would be about whether the AMvB is carried out in practice to the mind and the letter, we will know that through the research that has been deported. In fact, we know that in the short term. In short, I really advise against this motion because it does not do justice to those efforts.
ParlaMint-NL_2019-04-04-tweedekamer-8.u192	I disagree, but the Minister's considerations are clear to me. Did I just hear him say in an intermediate sense that this monitoring also looks at possible pressure on the rates as a result of the introduction of the subscription rate? That is just the run-up to the motion as I have tabled.
ParlaMint-NL_2019-04-04-tweedekamer-8.u193	The run-up to your reasoning is actually "because that might lead to disruption." The monitor shows whether there are municipal movements, how municipalities give form and content to the execution of the subscription rate and what measures are being taken there. That's one. The question whether municipalities actually meet that AMvB real price simply arises in the investigation of the AMvB real price; exceptionally straight. So here we come, I fear, to discuss it with each other. But when there are signals, I always like to really exercise them on facts, because I hear many more signals than there are actual facts that justify those signals. Nor can I completely escape the impression that it is sometimes used in a certain lobby. In short, always take a good look at what's really going on. That's the lesson I've learned from all the signals I've had in recent times. And that's why I'm doing the research. I don't recommend the motion. Then the motion to part No. 21, which requests the Government to consider ways in which justice can still be given to those concerned. Then it is about being approached directly or indirectly. Yes, that actually leads to the same answer as in the motion for a resolution on item No. 19. I advise against this motion. I find the motion in part No. 17 more balanced, and we're not doing the monitor for nothing.
ParlaMint-NL_2019-04-04-tweedekamer-8.u194	The motion in part No. 21 is not recommended.
ParlaMint-NL_2019-04-04-tweedekamer-8.u195	Then the motion to part No. 22 which invites the Government, in consultation with patient and disabled organisations, to consider ways of reducing or reducing the level and accumulation of healthcare costs. I'm going to brief you on the request. We have included a rather comprehensive package of measures in the coalition agreement, namely the flat own risk. Its own risk is no longer rising. So we're dealing with a fixed risk of our own. We lower the marginal rate in the Wlz and we lower the capital income add-on in the Wlz. We'll enter the subscription rate if you vote for it in the Wmo. It seems to me that we are taking a number of measures together. So that's really a whole package. In addition, of course, we have the committee on the future of care for the elderly at home. It should take a close look at the whole range of measures in the context of its own contribution to the elderly. Because of course there are differences between the Wmo/Zvw regime and the Wlz regime. This does not always make it easy to ease the transition between these legal systems. The explicit question of how to deal with it has been taken into account. This will not lead to a measure for the shorter term, but it may lead to a new regime in the longer term. So the motion in its present form I advise against.
ParlaMint-NL_2019-04-04-tweedekamer-8.u196	The motion in part No. 22 is not recommended.
ParlaMint-NL_2019-04-04-tweedekamer-8.u197	Then the motion to part No. 23. That's Mrs. Agema's motion. Here again, I say that I am referring to the motion in part No. 17 to be more balanced and to do more justice to our little debate in the first term. So this motion I'm deceiving, too.
ParlaMint-NL_2019-04-04-tweedekamer-8.u198	The motion in part No. 23 is not recommended.
ParlaMint-NL_2019-04-04-tweedekamer-8.u199	Then the motion to part No. 24, which calls on the government to provide factual insight into the income effects of the package of measures for the different target groups, and to inform the Court of Justice accordingly. I'll leave the verdict on this motion to the Chamber. Of course, I would like to show what is being asked, although it is always based on averages. But I would like to outline the impact, how many people, how many of the measures, as far as we can do from here. Because every family situation is different, of course. It is very dependent on the level of care use. But I think we can get that as close as we can. So the verdict on the motion in part No. 24, I'd like to leave it to the Chamber.
ParlaMint-NL_2019-04-04-tweedekamer-8.u200	The motion in part No. 24 gets judgment room. Then the motion to part No. 25.
ParlaMint-NL_2019-04-04-tweedekamer-8.u201	The motion in part No. 25 was initiated by two strange calls which I do not hear very often, namely 1. that the Minister was a little short, and 2. that there should be more intensive communication. Most of the time, the calls are the other way. So I actually like that in that context, that I would like to leave the judgment to the Chamber. And more seriously: the parties we all need to communicate about this law were not all equally fiercely enthusiastic. As soon as the law is passed, we will have to deal with each other again with the question of how we are going to ensure that we make every effort during the second half of this year to ensure that communication is as effective as possible. We also have a number of lessons to learn about the past period. You also pointed that out in the first term. We really have some things to do in preparation for January, so I'd like to move on to this motion.
ParlaMint-NL_2019-04-04-tweedekamer-8.u202	The motion in part No. 25 gets judgment room. Mrs Ellemeet has a question for you.
ParlaMint-NL_2019-04-04-tweedekamer-8.u203	We were all able to read a few weeks or months ago that at VWS there are now 90 or 79 FTEs in the communication department; at least more than ever there were in this ministry in a communication department. We also see this in beautiful vlogs and all kinds of beautiful communication expressions. I would ask the Minister to at least interpret it in such a way that those huge numbers of people sitting in the communication department at the Ministry are going to do an enormous amount of work to do this properly.
ParlaMint-NL_2019-04-04-tweedekamer-8.u204	This is an incentive.
ParlaMint-NL_2019-04-04-tweedekamer-8.u205	Hey, that's too bad, Mr. Chairman. It was such a nice debate and what a pity it has to end like this. It certainly wasn't that much. That would really be a Bible story. That's really gonna be a miraculous multiplication. It's certainly not that many communication people. It had grown quite well, indeed. That's also because we have an extra executive on VWS. It also has to do with the fact that we run a number of communication campaigns that other departments outsource to others, so that is also a reason. Anyway, I'm not gonna be very defensive about it. I see it as an incentive to do even more beautiful things with the people we have, and with whom we are indeed very blessed. That's how I read the motion, and that's how we're gonna get on with it. I won't use this as an excuse to pull any more FTEs on the payroll. We won't. I would like to comment on something that Mrs Hermans raised, with the question of whether she should hear it that way. This was particularly about customization that municipalities have to deal with. The good thing about the whole dispute we've had is that we're rethinking the basic principles or the underlying principles of this law and the Wmo. Of course, we often discuss the space that municipalities have, also in terms of care. What if in one municipality this and in the other municipality that? The principle enshrined in the law is that the municipality as the nearest government is given the task of doing customized work and with residents to sit down and look at what you need; not what do you deserve, but what do you need? That's actually something really nice. Does it always go well in practice? I don't think so. Is it just a starting point that we should want to honour each other? I think so. With this subscription rate, the inhibiting factor that the own contribution previously played on the extent to which people make use of it may fall away. This means that perhaps more emphasis will be placed on the content of the kitchen table conversation. Isn't that actually a very good thing? I would think so, so I very much agree with Mrs Hermans' conclusion. Mr. Chairman. I have come to the end of the answer to the questions. Thank you.
ParlaMint-NL_2019-04-04-tweedekamer-8.u206	This brings us to the end of the treatment of this law.
ParlaMint-NL_2019-04-04-tweedekamer-8.u207	The law itself, the amendments and the motions tabled will be voted on next Tuesday. I thank the Minister for coming to the Chamber and suspending until 6 p.m.
