ParlaMint-NL_2019-10-02-tweedekamer-6.u1	We will continue with the debate on the General Financial Reviews.
ParlaMint-NL_2019-10-02-tweedekamer-6.u183	Of course, Mr Stoffer is not asking this question for nothing. I think he wants more money to be made available from the government. It makes a glowing argument to be a good caretaker when it comes to the state treasury. It's gonna take cover. Then I would also like to hear what cover Mr Stoffer is thinking.
ParlaMint-NL_2019-10-02-tweedekamer-6.u184	That's always very good. Of course, that question comes up more often. You need to see what size you're talking about. But if you ask what this cover could be, for example, I would say: child care allowance for higher incomes. That may not be popular, but something can really be found there as far as I am concerned. I mention the income-dependent combination discount. As far as we're concerned, it could go back. I understand that these are difficult things, which may not be equally popular with everyone, but if we want to go our way in a moment that will also cost money, then we need to make an assessment and then we need to find cover in that direction.
ParlaMint-NL_2019-10-02-tweedekamer-6.u185	Thank you, Mr. Stoffer. I now give the floor to Mr Azarkan on behalf of DENK.
ParlaMint-NL_2019-10-02-tweedekamer-6.u186	Mr. Chairman. Let me start with the purchasing power hangover. "We see and hear that the economy is improving, but we don't notice at all." That's the sentiment in the country. Three years after the end of the financial crisis, which was unnecessarily stretched by the PvdA and the VVD, 76% of the people in the country notice that it is going well economically but that they do not see or hear from it themselves. Only one in ten people think they'll get better next year. In the country people are pessimistic and they notice bitterly little of the usual good news show of the cabinet, the annoying laugh of Mark Rutte and the generous remonstrant smile of Wopke the Crown Prince. Of course, that's not without reason. Mark Rutte has increased the VAT on vegetables, cheese and eggs by 50%, so people are already taken at the cash register in the supermarket. In retrospect, scientists will conclude that this was a hysterical mistake, just like Rutte and Asscher recently admitted about the AOW increase. This cabinet has also set its own risk at the absurd amount of €385 and allowed care premiums to continue to rise, which means that people who are ill are caught and even avoid care. This Minister has allowed the energy bill to increase by hundreds of euros in recent years and rents to rise. If you think it is crazy, I ask the Minister that the people in the country no longer believe the fine talk about improving purchasing power. You can't cheat year in, year out and expect people to dance the polonaise! No wonder consumer confidence has fallen according to CBS. Of course, this cabinet with the policy of fraud is simply responsible for that. No wonder you're waking up with that purchasing power hangover. For 2017, the government promised 1% improvement in purchasing power. It became a poor 0.3%. For 2018, the cabinet promised 0.6. It was going to be 0.2. For 2019, the cabinet promises 1.5%. What's it gonna be? By 2020 it will be 2.1%. Mr. Chairman. This does not help the credibility of politics. Apart from the fact that the people in the country do not notice the growth, this cabinet saddles future generations with a financial shortage. The budget surplus we all have in cash is rapidly falling from 11 billion to 3.5 billion, or 0.2% of GDP. Although this is not quite the same; 0.2% is 1.6 billion. So I'm really curious: is it 3.4 billion or 1.6 billion? The Minister can answer that. Mr. Chairman. This minister is actually a lucky guy. He came in economically good times with low unemployment and budget surpluses. That sounds great to me: being the financial boss when the sun shines. But real leadership doesn't come up until it's tough, when it's raining and when it's blowing. That's coming, because from 2021 we're even going into the minus. In 2021, we are heading towards a deficit of 2.5 billion, by 2022 it will be 4 billion, by 2023 it will be 5 billion and by 2024 it will be 6 billion. That doesn't make DENK cheerful. Didn't this minister ever teach you to spend a euro until you earn it? The cabinet is distributing tax benefits to multinationals and wealthy people at the expense of future generations. It does not even comply with its own budgetary rules, which were included in the starting note of October 2017. The Council of State took that down in response to the Millions Note. Mr. Chairman. The future is uncertain. The world economy is in the grip of many uncertainties. The dramatic duo Trump and Johnson behave like unguided missiles and thereby threaten the world economy. One has emerged as a notorious fighter on the world trade scene and the other wants to drag the United Kingdom out of the EU. It is not excluded that we are moving towards a new period of low growth and low interest rates. This brings with it all kinds of new problems for our pensions and savers. In fact, I have heard too little about this. Perhaps there is a period of ten or fifteen years with low interest rates and low economic growth. What does that mean for our welfare state and our housing market? Have the models of the CPB been calculated on this basis? We understood in a hearing by Mr Knot that he could not have foreseen that interest rates would remain so low for so long. Is this what our pension system is designed to do? Is it wise to deal with the surplus and play for Saint Nicholas if the future is so uncertain? Mr. Chairman. For the long term, this minister is shielding with his so-called investment fund. He actually had to chuckle a little when that greedy Wiebes also claimed the idea of the fund. That wasn't entirely the case with this future CDA leader. While Wiebes has already stumbled into and out of Groningen, this minister has, of course, already begun.
ParlaMint-NL_2019-10-02-tweedekamer-6.u187	I have a question on Mr Azarkan's justified comment on low interest rates. This has a dramatic impact on our savings, but also on our pensions and so on. Mr Knot said he didn't foresee that. That is, of course, interesting, because for many years, for many years, it has been said in Eurocritical circles that the euro coin is by definition incompatible with the kind of savings system we have with pensions and so on, because you have to pay for the debts in southern Europe. Last week I therefore concluded that Klaas Knot simply does not understand the euro. That's shocking, but it's actually the only logical conclusion we can draw. He doesn't understand the euro. Do you agree?
ParlaMint-NL_2019-10-02-tweedekamer-6.u188	No, I don't agree with that. I've known Mr Klaas Knot since he was head of research at the Pension and Insurance Room. He was a direct colleague back then. He's an extremely skilled man. What struck me was that at that hearing, where I did not see you, it became clear that he himself did not foresee this. This has helped me to ask the question: are we now able to estimate on a multiannual basis what this does to our housing market? I was surprised that he didn't foresee this, but I find it very complicated to conclude that Mr Klaas Knot doesn't understand the euro, as far as anyone can understand it. I'm not going along with that.
ParlaMint-NL_2019-10-02-tweedekamer-6.u189	Can you then explain to me on the basis of what assumption someone could reasonably expect interest rates to rise again if you had to save the debt economies, the bankrupt economies of southern Europe, permanently with fake money, with low-priced money? So how are those interest rates going to rise? Who, who understands the euro, could believe that interest rates will rise again if you have to press money endlessly, to the length of years, to save Southern Europe forever? That is what the euro is.
ParlaMint-NL_2019-10-02-tweedekamer-6.u190	I share Mr Baudet's concerns. They are very real concerns, because what we see, also in other places in the world, is that we get a situation where interest rates are really ten, twenty, thirty years at a very low level, sometimes negative, with high public debt, among other things in Japan. The question is how this is going to work out in Europe. I share the concern that it is very difficult for us to get back up again. In my view, this can only happen if inflation increases; that is the only way. I do see a trend, for example now in the United Kingdom, where the Finance Minister has announced that he may have reasons to raise interest rates. I found that very striking. I wonder what reasons he wants to do that.
ParlaMint-NL_2019-10-02-tweedekamer-6.u191	Just a little longer. You say: Klaas Knot understands the euro. And at the same time, he didn't expect interest rates to be so low. That's interesting. How is it possible, in your view, that, first of all, you think someone understands the euro and its consequences and, secondly, that interest rates are going to rise again? What does he understand about the euro? Explain that to me.
ParlaMint-NL_2019-10-02-tweedekamer-6.u192	Mr Baudet's question was: Mr Knot does not understand the euro. I think I said...
ParlaMint-NL_2019-10-02-tweedekamer-6.u193	That's right. He doesn't get the euro. He just doesn't get it.
ParlaMint-NL_2019-10-02-tweedekamer-6.u194	I do not want to say that he understands the euro and all the consequences. I believe that the people responsible for the introduction of the euro could not have foreseen that this could happen.
ParlaMint-NL_2019-10-02-tweedekamer-6.u195	That's demonstrable bullshit. Because when the euro was introduced, even before that, Romano Prodi and other people who were at the heart of that euro said: this is going to lead to a huge economic crisis, but that then makes it possible to move forward and build a European federal state. That was from the beginning of the strategy. If, through a currency union, you tie Northern Europe to bankrupt southern Europe, then you destroy the northern European economies and the southern European economies, and you can build a federal state on that disaster. That was the plan from the beginning. It's been extensively documented. And so you have two categories of proponents of the euro. You've got the fucking federalists and you've got people who don't understand. Which category does Klaas Knot belong to?
ParlaMint-NL_2019-10-02-tweedekamer-6.u196	Mr. Azarkan.
ParlaMint-NL_2019-10-02-tweedekamer-6.u197	Mr. Chairman. I do not agree with Mr Baudet's line, namely that the euro has brought us nothing but misery and economic crisis. That's just not true at all. The euro has also brought a great deal of good. This means that, on balance, we have to look very closely at the current situation of low interest rates, which also has a lot of advantages... I assume that if Mr Baudet had a mortgage, he would also have benefited from it. So it's not all trouble and torment. I think we should be realistic, rather than saying right away: we all have to get out of that euro. I believe that is what your party wants; or one time it does, another time it doesn't. I don't know. Yesterday I was in Helsinki with Mr Otten, a former colleague, who had other ideas. I think it's good to look at this very nuanced. My plea is not that you should get rid of it, as far as possible, but that you should look very closely at how you, as a society, as the Netherlands, deal with this multi-annual low interest rate. What does that mean for our housing market? What does that mean for our economic situation? And what does that mean for our pensions? I'll get to that later.
ParlaMint-NL_2019-10-02-tweedekamer-6.u198	Last time.
ParlaMint-NL_2019-10-02-tweedekamer-6.u199	This is a tragedy for our pensions.
ParlaMint-NL_2019-10-02-tweedekamer-6.u200	Then I suggest you move on.
ParlaMint-NL_2019-10-02-tweedekamer-6.u201	Mr. Chairman. I had arrived at that greedy Wiebes, who wanted to steal that idea a bit from Mr. Hoekstra. Anyway, he was still walking back and forth in Groningen and this minister had already started, because I have the impression that he has the first project. 700 million invested in KLM-Air France. I wonder what's really going on with that. He's a bit of a wait-and-see guy. I can't wait to see what's going on with these returns. And is that an example of how you could spend that money? But let's get back to what I still call the stick horse fund, because that's what it is. It's gonna relieve us of all the problems when I hear the colleagues. I hear D66 say "more public spending." The VVD refers to a higher employment rate, which is already at 80%. "More economic growth," said Mr. Bruins of the Christian Union. And maybe we can use it to solve the nitrogen problem. And perhaps also the entire party program of the PVV, because that is only one A4's after all. In this context, results from the past offer little hope. The Economic Structure Strengthening Fund, once suggested earlier, was originally intended for infrastructure between 1995 and 2010, but the objectives were later formulated so broadly that it was put into many non-profitable and vague projects. Does the Minister include these experiences and other experiences, including from the Juncker Fund? Mr. Chairman. It turns out that the auditors, whether the Court of Auditors or the CPB, are always many times stricter than the creators when it comes to success. And what about the democratic control of such a fund? We cannot have a situation where the minister comes to the Chamber and says: I am not about it; I have invested it externally; there is a board of Commissioners and they make the decisions together with the board. Mr. Chairman. Then there is the question of interest rates and the fund, because I find it striking. If, when carrying out projects, the difference in interest rates is the decisive argument, isn't it just a very weak business case? And does the Minister share the idea that low-interest fixation should not lead to blind staring at other consequences and factors? Mr. Chairman. It is also a pity that this minister creates greater differences in prosperity and a more unequal distribution of income in our country. This is mainly due to the accelerated introduction of the two-disk system. The 60% most earning Dutch people get 2.4% better and the 40% least earning Dutch people only 1.6%. A single person with minimum wage will receive a carte €168 per year, but a single person who earns a ton €840. That is antisocial and unfair! Why treat the people who have contributed to the crisis so harshly and wretchedly? And why are the companies so well rewarded? After all, there is a long-standing trend for more and more money to go to companies and less and less money to people. The labour income ratio has been below 75% for years and the disposable income has not risen since we were Prime Minister Rutte. And the consequences, Mr. Chairman? A million people in poverty, 400,000 children in poverty and a doubling of the number of homeless in ten years! And that despite high economic growth. On the other hand, we see companies being spared. The tax rate for large companies has been falling EU-wide for a long time, partly due to the introduction of that euro. This will lead to a race to the bottom, which will ultimately jeopardise the tax capacity and welfare state. Mr. Chairman. I come to the ECB policy and the disastrous consequences for pensions. According to Mr Knot, the ECB contributes 0.95% to low interest rates, which were already very low. And this again works hard on the so-called calculation rate, now about 1%. It means that pensions have been fixed for years and may even be reduced now. The only logical solution is to really let go of the calculation rate based on risk-free state bond rate. In any case, the term "calculation interest" is misleading. In fact, you should speak of "calculation return" and the expected return is really much higher than that 1%, partly because the government bonds are only part of those assets. Pensions are also in real estate, shares and other assets. Mr. Chairman. So we have to go to a different calculation efficiency. Although the Minister is not strictly speaking speaking about this, his colleague, Mr Koolmees, is doing so, I would like a reply from him. After all, the threatening pension reductions threaten the Dutch financial and economic stability. So it is also up to the Minister of Finance. I'd like a response. The way Dutch pension funds, with EUR 1,500 billion of assets, have to count artificially poor, is truly unique in the world. During the hearing, which I just recalled, I was also very touched by the director of Pension Fund Zorg en Welzijn. He said, "How come I had 85 billion ten years ago and a coverage rate of 108% and now 225 billion and a coverage rate of 95%? The deposit per participant has doubled from €38,500 to almost €80,000." It looks a bit like some sort of Calvinistic self-sustainment and that can be disruptive and harmful. Even Dagobert Duck with his money stores was a piece of guller after all. But perhaps this cabinet wants to go down in history as the cabinet that killed the pensioners. After all, everyone writes their own history in their own way. Thank you.
ParlaMint-NL_2019-10-02-tweedekamer-6.u202	Thank you, Mr. Azarkan. I now give the floor to Mr Baudet on behalf of the Forum for Democracy.
ParlaMint-NL_2019-10-02-tweedekamer-6.u203	Good afternoon.
ParlaMint-NL_2019-10-02-tweedekamer-6.u204	Good afternoon.
ParlaMint-NL_2019-10-02-tweedekamer-6.u205	We hear the government constantly about lower taxes, increasing purchasing power, progress, all kinds of optimistic promises, economic growth, prosperity and vistas. But in practice, many people are given the idea that this government is living in a sort of reversed world. How is it that the so-called education party, D66, abolishes the basic grant and introduces the loan system, which has left young people with tens of thousands of euros of debt for the rest of their lives? How is it that the so-called agricultural party, the CDA, has for decades been dominated by stifling Brussels and The Hague regulations, leaving the agricultural sector completely hollowed out and broken down and yesterday came to the Malieveld with thousands to demonstrate, while the CDA is in the government? How is it that the so-called car party, the VVD, quietly last night, in the hope that no one will notice, reached the 130 kilometer signs of the Dutch highways and is thus now in fact implementing GroenLinkspolicy on almost every level? The reality presented here in The Hague, the image sent out to the outside world, does not rhyme in any way with reality as people experience it. There's a reason for that. There is a clear reason for this, and I would like to talk about that. All these rising costs, the rising care premiums, the rising energy bill, the rising housing costs, come from somewhere, namely from the three major projects with which all the government parties, all the established parties in the Netherlands, have fully embraced: continued immigration, climate transition and European unification. Those three things will swallow up our entire economy, depressing our entire society from the agricultural sector to education, from our healthcare system to our housing. It seems that all these matters are out of sight of the political debate. We're talking percentage points. Here and there we may disagree on 10, 100 million, but where the money really flows away, the tens of billions, the hundreds of billions, nobody really disagrees on that, except the Forum for Democracy and perhaps some other parties outside the established system. The established parties CDA and VVD go along with this as much as GroenLinks. Take the climate alone. In the coming years, I read in the Millions Note, this cabinet will spend 3.7 billion on reducing climate change in energy supply. Rutte is magical with figures because there is another 10.7 billion on top of that; expenditure that is not included in the budget for next year but is already being done. In doing so, this cabinet plays, as it were, a legal hide-and-seek and allocates a total of 14.4 billion. In this way a little bit is hidden, a little bit hidden is hidden how much we spend on the pointless and expensive climate policy. In 2013, the energy agreement was adopted with which the large-scale construction of wind farms and solar panels began. That has already cost us 100 billion, as has been calculated by a number of independent researchers. Over the next six years, many new commitments will follow. Over the past year, a lot has been added to this, such as the Climate Agreement, of course, the Climate Act, and now again the nitrogen statement driven by climate activists. It's a deliberate attack on our way of life. Every time CDA and VVD bend along. Again and again it appears that parties campaigning on ideas about freedom are simply implementing the GroenLinks agenda. The VVD'er Remkes comes with a report on nitrogen emissions in which he says: lower the speed limit and go drastically reduce the livestock. And that while we can also simply choose to take over the German model, the German measurement methods! Because nitrogen bypasses are in no way an environmental problem. It is only an accounting problem that we could also solve by adapting our standards and methods of recording. Not only this absurd climate and environmental policy, this cult of alarmism, is in fact costing us all our prosperity. Because we are talking about hundreds of billions of dollars here: nitrogen, climate, energy agreement and you name it all. No, the massive immigration that goes on and on is costing us an incredible amount of money. In the coming year, the cabinet will spend EUR 134 million extra on this entire asylum chain. Within the current migration system it is necessary, the VVD says, to eliminate the huge backlogs. That is true of course, but this system is also rigged by the VVD. In 2015, the cabinet fell back and left the borders open. As a result, so many people have flowed into our country that extra money has to go. Just take the issue of Syrian status holders. A very large part of those people can just go back. It's about 100,000 people, maybe more. They occupy tens of thousands of homes; according to the Prime Minister, these were more than 70,000 homes. Jordan has sent 150,000 Syrians back. Syrians who are in Scandinavian countries even go on vacation in Syria. You can just go back. 95% of the territory is safe again. But the VVD refuses to actively send those people back, refuses to speed this up. Every week new groups of Syrians now get a permanent residence permit, because five years ago the first people came here. So it is not only a totally irrational asylum policy, it is also disastrous immigration policy. Asylum becomes immigration. This is again something on which one is not honest, on which one does not share the agenda openly with the people. It is said that we have to take people who need it and that we have to be there for them, not telling them that that means that those people can stay here with their families and with their whole family for a long time. That's gotta be different. This could be different, for example with the Australian immigration model. Boris Johnson talked about it this afternoon. If Britain executes the Brexit, then that country will and can set a good example and only let people in where it has something to do with it, just like the Forum for Democracy wants it to do in the Netherlands. And then there's the euro. We have to talk about this very briefly, because the dramatic euro coin will keep interest rates low for a period of days. Because the currency is too strong for the fragile economies of southern Europe, we need to keep up the pressure on cheap money. That will go on for years, just as long as Greeks and Italians become Germans. And since that will never happen, the euro will always have to be maintained with artificial money and our pension funds will therefore evaporate. Anyone who thinks, like Klaas Knot, that interest rates are going to rise again, who does not understand the euro. I repeat: it does not understand the euro. The festive mood that prevails here and which you still feel in the way in which the cabinet presents its plans is therefore based on an unwillingness to see all our money and all our resources eventually evaporated by three mega-projects: continued immigration, climate plans and European unification. These three plans come from a wrong human image, that of Francis Fukuyama of The End of History, that of "All Men became Brüder," that of "all cultures are going to disappear and we are going to go to one world state." That idea dominates these people's heads. They believe that integration and immigration problems are of a temporary nature. "It takes up to one generation!" It turns out that's not true. Research after research shows that the second, third and fourth generation immigrants from Muslim countries feel less connected than their ancestors. So there is no convergence, but divergence. The same is evident from the facts about Europe. It is not the case that these southern European economies are growing towards the northern European economies. On the contrary, there is also divergence there. And finally, there are all these climate plans and the idea that we are going to one world government, where we are all under the authority of a rational, green, sustainable, windmill-like policy. This is not true either, because the rest of the world is not involved. China is not participating, America is not participating, Turkey is not participating, Australia is not participating, Israel is not participating; there are so many big economies that are not participating in all this madness. In fact, we are allowing all our money to evaporate. This explains that purchasing power is not increasing, that house prices continue to rise, that care premiums continue to rise, that the energy bill continues to rise, that the job market does not break open. And that also explains that so many farmers, rightly, came to The Hague yesterday to protest against this policy. There's only one thing we can do to really change this. This is my last sentence. That one thing is to realize that the world view from which these three major projects arise is not right. We must stand up for the Netherlands again. The future is, I quote Donald Trump, not the globalists, but the patriots. Thank you.
ParlaMint-NL_2019-10-02-tweedekamer-6.u206	I have a question for Mr Baudet on those three points. Is that the whole story? Is Mr Baudet not forgetting a group, that of the economic elite, the shareholders, the people who are indeed not rooted in a country but the whole world in private aircraft? Shouldn't we take on that group, too? I believe that this group will make a much greater part of our prosperity disappear. By tackling this group too, that money ends up on the work floors here in the Netherlands and it does not flow away to Panama, the Cayman Islands and that kind of place on this world.
ParlaMint-NL_2019-10-02-tweedekamer-6.u207	No, I don't think so. I think it is a real problem that we have open borders, so we cannot control the products sold on our markets. For example, we are now getting the controversial CETA trade agreement down the throat, which means that we no longer have any control over the meat and other nutrients that will be sold on our soil. But I don't see in itself a problem in the existence of rich people. I think that there are successful people, entrepreneurs, people who make money with their businesses, and that they are generally beneficial to a society, because they will also invest that money in new projects.
ParlaMint-NL_2019-10-02-tweedekamer-6.u208	Shouldn't those rich people be bound by borders, too? These limits are also open to capital. And the money that is made here in the Netherlands on Dutch work floors, for which Dutch workers work hard and with which they try to make a profit, does not flow back into the pockets of those workers, but it is brought across the ocean to Panama and the Cayman Islands. So should we not also impose limits on capital? Would it not have been in line with Mr Baudet's story if he had also said a few sentences about it?
ParlaMint-NL_2019-10-02-tweedekamer-6.u209	You could call it the Rhineland model. I agree that it is very important that we monitor this, in which people are encouraged to look at the longer term too, where family businesses enjoy a certain level of protection and where there is also concern from the State to preserve the manufacturing industry in your own country. If that is what Mr Alkaya is referring to, then I agree with him. But that follows, as it were, in the wake of the weather having control over your own boundaries, the weather having a normal currency, which is not based on air. It follows in the wake of the absence of immigration of an endless stream of cheap labour from third world countries. So I think that's a big part of it. I would like to add one more thing: tax cuts. I am convinced that people will get to work easier if you make it easier for people to work and you also lower the burden on employers, but we may differ fundamentally on the latter. If you do that, I think people will get to work easier and also make more money, and there will be faster growth. Then employers will dare to offer people a permanent contract again. This is often not the case now because employers know that they will face sickness benefits and all kinds of other redundancy allowances. They pose a risk that they simply cannot take.
ParlaMint-NL_2019-10-02-tweedekamer-6.u210	If the cabinet does something that is in the right direction, does Mr Baudet support it?
ParlaMint-NL_2019-10-02-tweedekamer-6.u211	Sure. What I have not yet reported in my speech, but I would like to say now, is that we are very open to directing this cabinet in the right direction with concrete proposals. We have, of course, already tabled many concrete motions, but I will do so in the second term. Since the voting relationships in the First Chamber are now such that coalitions need to be sought, there is an opportunity here for the CDA or the VVD to show that they do not want to implement the agenda of PvdA and GroenLinks at every level, but also open to some more realistic alternatives.
ParlaMint-NL_2019-10-02-tweedekamer-6.u212	Does that also mean something for, for example, the Tax Plan? In the past, you have always argued that there should be a change there. I think you used to call that the "Rute Quotes." I think there's a dent in that now. Can we count on your support in this respect to reverse that?
ParlaMint-NL_2019-10-02-tweedekamer-6.u213	It's a possibility. We may have to look at where the specific area is, because I think it is very dangerous to say that I support this, without having seen the precise proposals. But in principle, there is absolutely no question of talking to us.
ParlaMint-NL_2019-10-02-tweedekamer-6.u214	See, that sounds like a real politician.
ParlaMint-NL_2019-10-02-tweedekamer-6.u215	It's very scary...
ParlaMint-NL_2019-10-02-tweedekamer-6.u216	Don't you ever want to insult me like that again?
ParlaMint-NL_2019-10-02-tweedekamer-6.u217	... how quickly the language becomes the same as that of the party cartel. It is true, it covers a number of pages, but the cabinet has submitted a fairly compact Tax Plan. So I think there are these proposals. My question is: do you support this Tax Plan, which reduces the burden, something you have always argued for?
ParlaMint-NL_2019-10-02-tweedekamer-6.u218	I repeat the answer I just gave, namely that I think it is a step in the right direction. I am in favour of it, but we have a series of conversations behind the scenes, but also in front of the scenes, in this gremium, but also in the First Chamber, and we will have to show exactly what we are going to give our support in the end, because of course we are going to try, also for our constituents and other people, to extend it to the maximum. Again, I'm not going to say "yes" and "the deal is closed," but the enthusiasm is there.
ParlaMint-NL_2019-10-02-tweedekamer-6.u219	One thing is always certain with Mr Baudet, namely that it is often a passionate argument, albeit somewhat confused. I've been able to find out the following in that. That is why he wants us to be so difficult to get out of this country. Why does he want it to be so difficult for us as Dutch to do business abroad? Why does he want to close the Netherlands down?
ParlaMint-NL_2019-10-02-tweedekamer-6.u220	I don't want to.
ParlaMint-NL_2019-10-02-tweedekamer-6.u221	I believe that I have heard Mr Baudet say that we are going to decide who comes in, that we are going to decide that we are going to leave the EU and, as it were, we are going to isolate ourselves, to see from below a kind of dome how we are going to look at the rest of the world, while 70 cents of every euro of our income comes from abroad. We need that urgently. Mr Baudet wants to protect it completely and shut it down and isolate us.
ParlaMint-NL_2019-10-02-tweedekamer-6.u222	No, I'm not. I don't want that at all, on the contrary. I think that the Netherlands can face a fantastic international future, just when we are freeing ourselves from a number of chains that are now clinging to us. The fact that the immigration situation as we now have links us with the world, as you seem to imply, is, of course, shit. You may very well be a country that trades with everyone, that also welcomes all kinds of businesses, and so on, but very carefully look who finally gives you a passport to become a citizen. Those two are completely separate. You can also very well have border controls, or just guard your own borders, and still trade a lot. A good example of this is our port in Rotterdam. That's where tens of thousands, hundreds of thousands of containers come in every day from all over the world. These are all countries that are not in the Schengen area. Yet there is a huge flow. It goes incredibly smoothly because we have all kinds of customs systems to facilitate international trade. So the thought that you should have an open border zone in order to be able to trade is really demonstrable shit.
ParlaMint-NL_2019-10-02-tweedekamer-6.u223	This is exactly what I'm talking about. Suppose you can agree at European level that those containers that enter Rotterdam will be checked once, namely when entering the port. If they meet all the standards, that entrepreneur can head towards Germany, towards Greece, towards the whole of Europe with his merchandise. If he gets back control at every border, that entrepreneur's not gonna be okay either. So I think Mr Baudet is saying exactly what I want to say, namely: to agree, even in the field of medicines..................................................................................................................................................... I don't understand isolationism alone in the world. That's kind of an endeavor I don't understand, because it damages our prosperity.
ParlaMint-NL_2019-10-02-tweedekamer-6.u224	No, that's not true. That's not how customs work. It just doesn't work that way. The moment a cargo arrives in Rotterdam destined for Germany from America, you can simply say: boys listen, this and these are the criteria, this and these are the appointments, stamp on and through. You don't have to be in the EU for that. Get an iPhone. Almost everyone has an iPhone. On the back of it is something like "designed in California, made in China"; such a text. We do not have a trade agreement with the United States, nor do we have a trade agreement with China. They are not in the EU either. Yet we all have that product. So you can trade excellently with each other without having open borders. It's a phantom, it's an illusion of yours that it should go together. It just isn't. This is also apparent when you look at the situation of all kinds of European countries that are not in the EU or other countries that we trade very much with: your beloved Morocco or Israel, Switzerland, Norway, Iceland and so on. There are plenty of countries that are not in the EU but with which you exchange products all the time.
ParlaMint-NL_2019-10-02-tweedekamer-6.u225	Finally... Well, I think it's clear.
ParlaMint-NL_2019-10-02-tweedekamer-6.u226	Thank you. I thought it was clear myself!
ParlaMint-NL_2019-10-02-tweedekamer-6.u227	Then you are the only one who can follow it, Mr President, because it is not clear at all. It's just standardizing...
ParlaMint-NL_2019-10-02-tweedekamer-6.u228	I think you were there.
ParlaMint-NL_2019-10-02-tweedekamer-6.u229	No, this is bullshit. No, no.
ParlaMint-NL_2019-10-02-tweedekamer-6.u230	We went to work at Schiphol. At some point there was a Chief Inspector of Customs or something. There were all these sour faces of MPs who said, and the Brexit, are you really afraid of that? The guy started laughing and said, "No, it's actually kind of fun. We just have a little country to go with it. We now have 198 nation states and 199 later. It's not really a problem. It's just another tick you have to tick." That's it. It's no problem.
ParlaMint-NL_2019-10-02-tweedekamer-6.u231	Finally, Mr Azarkan.
ParlaMint-NL_2019-10-02-tweedekamer-6.u232	I don't think running this country, what the government does, and checking what our government does, can happen with ticks. I also think seriously...
ParlaMint-NL_2019-10-02-tweedekamer-6.u233	No, it's about Customs. The question was about Customs.
ParlaMint-NL_2019-10-02-tweedekamer-6.u234	I'm just asking a question about whether you should withdraw as a country on the square meter and then close all kinds of treaties. Mr Baudet says that we have no treaties at all with the United States. We have other treaties in the European context with the United States. We were able to negotiate them because we have a strong negotiating position. The fact that we can do that gives us a lot of prosperity. It will still be extremely difficult for those English to agree, partly because in America different standards sometimes apply.
ParlaMint-NL_2019-10-02-tweedekamer-6.u235	And what kind of treaties we would have with the United States is Mr Azarkan thinking about?
ParlaMint-NL_2019-10-02-tweedekamer-6.u236	I would like to stay on the subject.
ParlaMint-NL_2019-10-02-tweedekamer-6.u237	Yeah, what treaties? What treaties do we have with...
ParlaMint-NL_2019-10-02-tweedekamer-6.u238	These are the General Financial Reviews. I think this point has been sufficiently changed, Mr. Azarkan. Then I'll go to Mr. Nijboer.
ParlaMint-NL_2019-10-02-tweedekamer-6.u239	Well, can't I just...
ParlaMint-NL_2019-10-02-tweedekamer-6.u240	No.
ParlaMint-NL_2019-10-02-tweedekamer-6.u241	'Cause it's...
ParlaMint-NL_2019-10-02-tweedekamer-6.u242	No, it's okay. Mr. Nijboer.
ParlaMint-NL_2019-10-02-tweedekamer-6.u243	Mr Azarkan's proclamation is nothing more than bullshit.
ParlaMint-NL_2019-10-02-tweedekamer-6.u244	No, no, no, no, no, no, no, no, no, Well, Mr. Azarkan can respond to that. It just went a little...
ParlaMint-NL_2019-10-02-tweedekamer-6.u245	What hundreds of trade agreements do we have with the United States?
ParlaMint-NL_2019-10-02-tweedekamer-6.u246	At the beginning, Mr Baudet gave a huge amount of money on all the money being thrown over the beam, but here is someone who has paid €9,000 for five plants.
ParlaMint-NL_2019-10-02-tweedekamer-6.u247	No, no, no, no!
ParlaMint-NL_2019-10-02-tweedekamer-6.u248	There's someone there, Mr. Chairman. So whether we can entrust it to Mr Baudet, that seems to me...
ParlaMint-NL_2019-10-02-tweedekamer-6.u249	That's not true at all. That's not true at all. Do you...
ParlaMint-NL_2019-10-02-tweedekamer-6.u250	Let's have this debate a little...
ParlaMint-NL_2019-10-02-tweedekamer-6.u251	Oh!
ParlaMint-NL_2019-10-02-tweedekamer-6.u252	Let us just have this debate on today's subject. I think we were doing well and almost done. And then something goes wrong. What are you gonna say, Mr. Nijboer?
ParlaMint-NL_2019-10-02-tweedekamer-6.u253	But let me just say that we are absolutely not against tolerance.
ParlaMint-NL_2019-10-02-tweedekamer-6.u254	You made that clear.
ParlaMint-NL_2019-10-02-tweedekamer-6.u255	The conclusion of treaties is fine. It is the supranational aspect.
ParlaMint-NL_2019-10-02-tweedekamer-6.u256	Yes, you made that clear. Mr. Nijboer.
ParlaMint-NL_2019-10-02-tweedekamer-6.u257	I have another question to ask Mr Baudet, because he just said in a minor sentence: we are also talking behind the scenes with the cabinet about supporting laws and the Tax Plan. Can I ask Mr Baudet to give his commitment there in public, in Parliament, and the conditions that must be met for the support? For that is what this debate is for. I have been very clear about what the PvdA demands of the cabinet. I actually think that this should also be done in parliament in a democracy by a party as a forum for democracy.
