ParlaMint-NL_2019-05-28-eerstekamer-14.u1	I give the floor to the Secretary of State for Infrastructure and Water Management.
ParlaMint-NL_2019-05-28-eerstekamer-14.u134	Madam President. I thank the Secretary of State for answering the many questions. [[Sentence could not be parsed: De CDA-fractie heeft nog een paar aanvullende vragen over punten die wat ons betreft in de beantwoording onvoldoende zijn meegenomen.]] It is good to note that it is difficult to get involved in a discussion about who has spoken on whose behalf. We spoke at the hearing about Aedes and LTO. We may have also talked to individual different delegates who have individually re-spirited a different story, at least some of them, than the IPO. So let us simply stick to the official documents of the organisations; that is the most clear. The Secretary of State said that without the law, the asbestos roofs will not go away. That seems to us to be relative, because shortly afterwards the Secretary of State said: if it is an autonomous process, it will take about 2045. But if I've misunderstood, I'd like to hear it. Let me come back to the statement that without the law the asbestos roofs will not leave. Then why are the first 40 million m repaired? It is precisely because of the rather pleasant incentive arrangements created here and there, whether or not by the government, municipalities, provinces or others. In this sense, I agree with Mr Fiers, Mr Klip and others, who have stressed the importance of continuing the promotion policy in the broadest sense. In the first term, I said that the low-hanging fruit in particular was picked, so it is becoming more and more difficult. However, I am convinced that if the arrangements are good, there are still companies, entrepreneurs and private individuals to seduce. But I do not think it is right to say that, by definition, asbestos roofs do not disappear without this law. I would say that the practice of the last six years contradicts that, because at that time 40 million m has been rebuilt. According to the LTO, we still have 80 million m to be repaired. At first I asked: is that it now; do we have sufficient vision of the number of square meters that still need to be cleaned up? I am convinced that in other sectors too there are still a lot of m which may not have been shown. That is why I repeat my question to the Secretary of State whether she can give a better look at it. If everything is literally visible from the air via the helicopter view, I dare to doubt it. The Secretary of State made the suggestion of differentiation in time and perhaps by municipality. You can discuss the time frame it should ask. You spoke of 2028. You can also talk about 2030, 2040 or 2050 and a link to the Climate Act. You could also link it very specifically to solving the problem in Groningen. That may not be put in time at the moment, but it is clear that a solution needs to be found. My question also focuses on the fact that differentiation by municipality may create very new problems with insurers again, just to take a side step that has come through. I would like another response from the Secretary of State to the question whether that type of differentiation by municipality does not make the insurability of a number of objects extra complex. In short, the CDA Group would like to put a number of questions to the Secretary of State.
ParlaMint-NL_2019-05-28-eerstekamer-14.u135	Thank you, Mr. Atsma. I'm gonna take a look at the Secretary of State. Do you have the opportunity to answer directly or would you like a short suspension? Oh, wait a minute. You don't have a microphone right now. Short suspension? Ten minutes? - Quarter? - Yeah. Then I shall suspend the sitting until 5.30 p.m. Then I hope you can give your answers in half an hour, Secretary of State, because after that we have another subject that has to start at 6 p.m.
ParlaMint-NL_2019-05-28-eerstekamer-14.u136	We will continue to deal with the legislative proposal 34675, removing asbestos and products containing asbestos. I give the floor to the Secretary of State for Infrastructure and Water Management.
ParlaMint-NL_2019-05-28-eerstekamer-14.u137	Thank you very much, Mr President, and thank you very much to the Members for the first-term questions that I will deal with. I'm going back to 2012, to the letter from Secretary of State Atsma, who says: "I want to reduce this source of asbestos in the environment faster than in 2044. I choose to ban asbestos roofs and façade coverings at 2024, because we are then more than 50 years after the peak in the seventies of placing asbestos roofs. The total economic lifetime of these roofs is 30 to 50 years, depending on the sector." Mr. Chairman. The reason for submitting this bill is the following. In fact, many parties have worked on this. The Labour Party has also worked hard on it with various directors. The CDA worked hard on that. Now I'm allowed to defend that here in your chamber. They have always assumed that these roofs are old. We all know that weathering and therefore health risks increase with aging. It is important to say that again in the context of the statements of the Health Council. I understand very well that there are questions about the relationship with the Health Council, which said: strengthen source policy. The recommendation of the Health Council was: take it to a negligible risk. How can you do that? By strengthening the resource policy. What is the last, largest source after the asbestos roads, to which reference was made, and which we have previously repaired? This is the biggest, last source. We know there's a risk that those roofs will age themselves and the risk will increase. So we'll get further away from that negligible risk. The Health Council has therefore recommended that the source policy be strengthened. Then there's one source we can address. Those are rooftops. We know exactly where they are. The SMEA talks about some 250 people's lives. There is talk of 10% to 12% lung cancer. Those are the groups you're talking about, the risks you can avoid if you continue to address the source policy. And I've said it before: we literally know where that source is. 75% of the municipalities have a very precise map. In anticipation of answering a number of other points, my intention is to try to get a map of all the municipalities before the end of the year. We literally know where those roofs are. I have heard many groups say that they support the purpose of this law, namely to improve public health. But they're wondering if we're making it feasible and affordable. Actually, Mrs. Klip said, can't we do it without the law, just with that fund? That's how I interpret her question. But the fund provides support for the less active so that no one gets into trouble. If there is no law, there is no basis for such a fund or for parties to contribute to such a fund. That's gone. There's no date, no deadline. So what is the date for which you must have fixed that and what is the reason to contribute to that?
ParlaMint-NL_2019-05-28-eerstekamer-14.u138	Let me ask you something. You could just make a fund with provinces and municipalities without that law, right? You don't need this law for that, do you?
ParlaMint-NL_2019-05-28-eerstekamer-14.u139	But if there's no obligation to clean up, what do you need that fund for?
ParlaMint-NL_2019-05-28-eerstekamer-14.u140	Stimulation?
ParlaMint-NL_2019-05-28-eerstekamer-14.u141	Well, that could be an opportunity to stimulate. That is true, but there is no obligation, so you cannot say: we link that fund to an obligation.
ParlaMint-NL_2019-05-28-eerstekamer-14.u142	No, no, but for a moment I thought I understood that you said, "I can't do it." I guess it's not that crazy, is it?
ParlaMint-NL_2019-05-28-eerstekamer-14.u143	No, there are funds in all kinds of places, but the foundation for such a fund disappears. A majority may believe that there is no reason for such a ban and that you should use such a fund to make it possible for people to do it before that date. When people ask to replace their roof a little earlier, that's a reason to say you're going to help them. But if no deadline is set, then a little bit of the basis for putting these resources into it will disappear. Mr. Chairman. Mrs. Klip asked how to achieve attractive financial instruments. Through cooperation with local authorities to various instruments, including that fund, through an acceleration approach and by focusing not only on finance but also on process support. In a number of provinces they have worked very hard on this. Then you see that this collaboration in the direction of "we're really going to clean it up together" helps. Outside the fund, too, I am willing to engage in these talks with banks, for example with the banks that are also participating, about: if you are sustainable, can you also ensure that those people can immediately take that asbestos restructuring with them in the loan they then take on? So I say to Mrs Klip that I am certainly prepared to enter into that conversation. She also asked very clearly what additional policy measures you could take if you did that evaluation in 2022 and if you still have sufficient scope for action. I understand that question very well. Those policies must, of course, focus on the fact that you first want to understand where we stand with regard to a whole range of these different buttons. But in addition, they are of course aimed at a further acceleration. If you think it's left behind, how can you speed it up even further to make it feasible? This could include more support for municipalities, further strengthening of this directional role and further sustainability initiatives, but also, for example, in the size of the fund. It is also possible to look ahead to a later point: whether the hardness clause is sufficient for the really poignant cases and whether the deadline you have set for implementing the measures relating to demolition, large-scale sustainability and district approach is correct. That's about the points. So you can adapt to that if we want to do so in order to make it feasible. Mrs Klip asked if there should be more certification bodies. There are now two institutions that certify companies. Ascert is not a certification institution, but manages the schedule and can make proposals for the schedule. SZW determines whether these proposals are accepted and can also make text proposals itself.
ParlaMint-NL_2019-05-28-eerstekamer-14.u144	You were just talking about the evaluation moment. You're gonna look at the pace and the state of things. I don't like the "what if" question, but it comes up a little bit now, because I think it will turn out that especially the difficult objects and the priceless objects move towards the end. I think everyone is a little inclined to put it out for themselves. Is it possible, then, that you are going to move the date, the deadline, to the rear?
ParlaMint-NL_2019-05-28-eerstekamer-14.u145	I said I think it's very important that we... Look, if we have a deadline, we also have a point where I work with each other. I also said that I think you should make sure that you do not make an unreasonable choice for people, for example if you have a renovation plan that falls just a year after. Then there is a plan and then it is clear that it is going to happen. I have also indicated what is about the deadline I am thinking of for the margin that you might still be able to offer. If you do that evaluation in 2022, this is also one of the points I would like to focus on. For example, the preparation of such a district-oriented approach also takes time. I would like to point out in the AMvB that the municipality may make an exception on this point if it would prove that you did not achieve this on 1 January 2025, but on 1 January 2027. That is different from what Mr Atsma suggested, namely that there should be a kind of total freedom for each municipality to determine when the ban applies. No, the ban applies from a certain day, late 2024. In the AMvB I will describe these exceptions very exhaustively, so that we avoid arbitrariness and make it clear that there is an exception, but then there must be a plan. I believe that this meets the point made by Mr Earthema and that on the other hand this avoids some kind of arbitrariness and a great burden of enforcement. That is what Mr Atsma was afraid of in his interpretation of what this might look like. Mr Van Dijk asked about the obligation to clean up asbestos shelters. It's not exposed to wind and weather. There is therefore no obligation to remedy this situation, not least because of the lack of transparency. What about the method of alternative processing? I had indicated that that was another question from the first term. In July 2018, I sent the Dutch Parliament two studies on the possibilities for alternative processing, such as building a factory in Delfzijl to process asbestos-containing steel scrap. With the help of incentive schemes for innovation and investment, I want to help these innovations further. Mrs Fiers asked about the 35 m of TNO. It has been established that 35 m is the average number of square meters of asbestos in a household. This has apparently been an important reason for TNO to draw this up. As a result of the questions raised in this debate, I am going to ask TNO if they see any reason to set that limit differently. Mrs. Fiers says, does it really matter if it's 40 m2 or 45 m2? I will ask whether this is possible within the framework of security, which must of course always apply, because if you are allowed to do it yourself, we must have an estimate that it is safe to do so and whether TNO sees reason to fix this limit on a different number of square metres. Then we are still talking about individuals, because we want to try to make it as easy as possible for people, within security limits. That is how I understood Mrs Fiers' question. Then I'll get to the dumping. Mrs Fiers says: you have no cause from the past, but what about the future? I said I'd definitely talk to State Forestry to see what signals they have. I am also certainly looking at how we can make the best use of the national asbestos monitoring system, which is an important tool for this. I mentioned the fact that it can be delivered free of charge to the landfills and that it is not covered by the landfill tax. Those are all things that contribute to making it easy to turn in legally. We need to close that loop as best we can, so I'm also going to talk to State Forestry about their care. Of course, together with provinces and municipalities, we also keep our finger on the pulse. Mr Binnema asked, now that 75% is in the picture, whether it means that 25% is not yet exactly in the picture. I would like to tell him that it is my ambition to know this before the end of the year for all the municipalities, although there may always be one municipality a little later. But I really want to make sure that we have clarity, because everyone has to get to work and then you have to be the first to know where it is. So I'm gonna speed it up so I can get those inventories around everywhere. Mrs Stienen asked about the costs of the incidents. The costs of incidents have been taken into account only to a limited extent in the SMEA. They can be very different. I gave you the example of the 3 million in Roermond, but also in the Westland there was a figure of 3 million, so that is getting worse, especially if they are large companies or incidents involving large companies. Then there's a lot of secondary damage. You asked for some insights. We will ensure that, in the progress we report on this dossier, we also provide insight into the nature and problems of the incidents, so that this can always be seen in the context of what we do and what we do. Mrs. Fiers asked about the costs. She was talking about the fund: is that really big enough when you look at the size of the fund we're talking about? The SMEA you are referring to has been updated. The cost of the updated estimate is around 880 million, i.e. about half of the 1.6 billion you were talking about, which came from the previous SMEA. This concerns the cost of replacing all roofs, not just the extra costs for asbestos. You're making a multiplication, but actually, we could go to a division. That means that if 25% of the 882 million.......................................................................................................................................................................................................................................................... We expect that 5% to 10% will not be able to repay it. This is also provided for in the fund. Next to the fund with loans we have another game. If no solution can be found within the fund, for example because of the slate roof problems or because people are not allowed to get a loan because of bankruptcy, then we can help them with that jar for the poignant cases.
ParlaMint-NL_2019-05-28-eerstekamer-14.u146	This is a new SMEA, because the SMEA that we have all seen has been updated, but it has raised a cost of 1.6 billion to the end of 2024. I'm starting to get confused. Is this a re-updating SMEA or just updating the ones we have all seen?
ParlaMint-NL_2019-05-28-eerstekamer-14.u147	It is the updated SMEA, which compares the additional costs of the legislative proposal versus the autonomous situation. So it's about the difference. That's where that comes from. Then the measureability of the health effect. I have just indicated that, with all the uncertainty involved, the SMEA has suffered some 250 casualties and lung cancer. These are all reasons why the Health Council advises to tighten standards, strengthen the source approach and ensure that you get closer to the Negligible Risk. All these cases have been weighed by the Health Council in 2010. The Health Council has just said again that they see no reason to amend their advice on this matter. Mr. Chairman. There was the legitimate question of GroenLinks whether the duration of the fund also corresponds to the end date. It is important to have clarity about this. Of course. We will ensure that, where we see the possibilities of joining a logical moment, for example because of demolition, renovation or sustainability, the fund can still be used until that date. Cases should not be excluded from the duration of the fund if there is a delay in using the reorganisation at a logical time, otherwise it would end on the prohibition date. So we will ensure that the fund is involved. That is the issue of the loans. The loans themselves will, of course, run much longer afterwards. Let me add this for the sake of clarity. Mr. Chairman. I will finish the question first and then I will finally come to the motion by Mr Ruers and others. I'd like to come back on the slate roofs, the $5 million. It is important to point out that I see all kinds of opportunities in the market for all kinds of people to finance, but we know that there is a group for which this is difficult. That's what the fund's for. We also know that there is another specific group for which it is even more difficult. In order to prevent people from falling between shore and ship, we have specifically the 5 million. Then I come to the other asbestos issues. You have to clean up asbestos when you're remodeling. When asbestos is a risk, you also need to clean up. These guarantees are thus already in place, outside of this ban. Mr Kuiper asks if I am going to talk to the municipalities for a level playing field. Yeah, I'm gonna do that, of course. At the end of June, I will again talk to provinces, municipalities and banks about this fund in order to achieve it as soon as possible. We are talking about inventory, of course, because we want it by the end of the year. In the meantime, we're just getting started. So it is also important not to say that everything has to wait for everything. No, we're busy, but that fund will of course be important for those who can't get to work right now. I will also press for even better sharing of best practices to enable municipalities to share with each other. I have already mentioned the strengthening of the programme office and the communication campaign. As regards Tata Steel and gaskets containing asbestos, I say the following: if it is a violation or an environmental offence, it must of course be dealt with. But it is already forbidden, of course, and that is the policy that the government has already taken. I find it difficult to judge from here whether there is a crime in this case, but if so, we have the judge to judge. Mr. Atsma asked about the 40 million that's already been cleaned up. Yeah, volunteering and stimulant is part of your goal. But the prospect of the ban, which has been known for a long time, has certainly played a role. The ban is necessary to solve the whole problem. So it also provides the basis, the foundation, for the fund to ensure that those taxpayers' resources that we allocate to that end reach the people who really need it. I think it is always a good principle to ensure that we grant or support those people who need it. That fund is really being set up in such a way that the tax resources that are needed for this end end up there too. Mr Atsma asked about the role of insurers. Some insurers are already asking for a clean-up plan. Then Mr Koffeman asked about the hardness clause. I hope I've just explained that clearly. We have a fund that is really meant for all the people who normally cannot get a loan, because, for example, they have a very small disposable income. For example, their wealth is stuck in their homes or they cannot pay the charges of a loan or its redemption for other reasons. We use that fund to help those people get rid of the problem, while otherwise they would be left with it. So we really want to use the 5 million extra in addition to the fund to ensure that, in those cases where that fund is not yet a solution, a solution can be found. We really want to keep people from falling apart. The combination with sustainability is of course very nice, because you then help people from a minus to a plus situation. If you can make sure that these people have not only replaced their asbestos roof, but also have solar panels or at least an isolated roof, that also means a lower energy bill. With all this together, you can make much more possible for many more people.
ParlaMint-NL_2019-05-28-eerstekamer-14.u148	I told you, math isn't my strong suit. I'm gonna try again. I have here the modified SMEA of January 2015. I think that's what the Secretary of State is referring to. I'm going to quote a little bit from that: "This will cost the owners of the buildings in which asbestos has been incorporated extra money, in total around 1.625 billion euros (net present value 2012) extra compared to the autonomous cleaning of the buildings." This means that there are additional costs in relation to autonomous cleaning. Now I'm curious about the math. I'm still looking for that 10% of the people who can't afford it. I'm trying to get an insight into that. What if we say to each other that there should be a ban in the law and that we should be concerned about the people who can't afford it, how much million or billion should a solution be found? So I would very much like to get an explanation from the Secretary of State for this, as I do, or else in a letter, because we are very worried about the people who can't afford it. How big is this group? What kind of amount are we talking about?
ParlaMint-NL_2019-05-28-eerstekamer-14.u149	The figure I refer to comes from page 5 of the same SMEA. It actually looks at the transfer of compliance costs and the burden of regulation for citizens. The social costs are the extra costs resulting from the ban in the bill. That is the difference with the cost of the zero alternative. 'Cause if we don't do something, there's gonna be costs. Only, then we have nothing to help the people. That's part of the argument, I think. In the table, the updated SMEA, we therefore take the adjusted figures as the basis. The total social costs are 882 million euros over the whole period. So that's the amount we're talking about, the amount that this bill adds to the zero scenario. We expect about 25% of the funds to be used. That is what the fund is set up on, including the expectation that some will not be able to repay it. We have asked Stichting Stimulingsfonds Volkshuizing Nederlandse Gemeenten to give an insight into how big that fund should be. We also had a second opinion on that. That second opinion confirmed that this fund is of sufficient size to cover the expected demand for it.
ParlaMint-NL_2019-05-28-eerstekamer-14.u150	Then maybe we didn't get each other right. So for those 5% or 10% that cannot pay it, you are talking about the fund and the loans. Well, then you're not talking about the $5 million and a fund-raiser for extra emergencies.
ParlaMint-NL_2019-05-28-eerstekamer-14.u151	Yes. That's what I've been trying to tell you. The State contributions in this fund are also intended as a kind of guarantee for the other participants in this fund. We know we're gonna give loans to a group that's just hard. Part of it, 5% to 10%, won't be able to pay it back. So we're gonna be the first to use the rich money to cover that loss, because you know that sometimes this group won't succeed. The estimate will be that it will work. That's how a loan like this is issued. But we know there's a risk. That is then covered with the means put in from the Empire. That is taken into account.
ParlaMint-NL_2019-05-28-eerstekamer-14.u152	And the loan will then be granted to clean up asbestos and replace the roof?
ParlaMint-NL_2019-05-28-eerstekamer-14.u153	Yeah, we don't leave people without a roof. The replacement was definitely included.
ParlaMint-NL_2019-05-28-eerstekamer-14.u154	I just heard the Secretary of State say something about taking care of the people and the finances. I understand it's called $5 million. I just heard you explain to the Labour Party how this fund works. I would like to zoom in on that group of 5,000 owners with asbestos slate roofs and the amount of 5 million extra you mentioned. Just so I'm clear, is that $5 million meant for that group? And if so, if it turns out that it is estimated that about 5,000 people in that group still lack the 5 million, are you prepared to reconsider this and increase the amount? Or do you say, no, they're gonna have to do it with that.
ParlaMint-NL_2019-05-28-eerstekamer-14.u155	With blank cheques you should always be very careful, both in this house and in the other house. The fund is actually a multi-buffer solution, you might say. There are, of course, all kinds of funding opportunities in the market, but that fund is really intended for people who are unable to make use of it, for whom it does not produce any results, who cannot pay the difference with the selling price because of their daily costs. That's what the fund's for. People with asbestos slate roofs are, of course, also eligible for this. For part of that group that will be a solution. The 5 million is really meant to come to a real solution if the fund is insufficient and if the Stichting Stimulingsfonds Volkshuizing Nederlandse Gemeenten says that, with everything she can do within that fund, she does not come out for that homeowner. That's what that jar's for. So that is not only for people with asbestos slate roofs, but I mentioned this group because it is very clear on the retina as a group for which costs are different from the other asbestos slate roofs. I have also mentioned the example of someone who is in bankruptcy and is therefore not allowed to take on a loan. That's one of them. I welcome the fact that the Stichting Stimulingsfonds Volkshuizing Nederlandse Gemeenten has a game with which we can see if we can help people of this kind in a very targeted way. I also said that I would like to look at the evaluation in 2022 to see if we can estimate that this amount of 5 million will be sufficient for the hardship. This is not about the kind of amounts that make a huge gap in the budget. I would therefore like to see whether this is sufficient for that specific group, in addition to all the other measures in 2022.
ParlaMint-NL_2019-05-28-eerstekamer-14.u156	Fine, thank you for that explanation. We now know from the cases of asbestos slate roofs that the cost per home is between €20,000 and even €40,000. Of course, that's the problem: if I share that 5 million-dollar pot a little bit, I'll have about $1,000 per house. So that's not gonna be the solution. So I am glad that you are now saying that I am going to deal with this in this way, and I will have the opportunity to look in the meantime, for example in the course of this evaluation, to see if there is anything else that needs to be done. Let me get this straight.
ParlaMint-NL_2019-05-28-eerstekamer-14.u157	I think that in many places the fund could also be a solution for these people with this problem. It's really meant for the harrowing cases. It's really $5 million for poignant cases. I mentioned the asbestos slate roofs in particular because we see earlier that this might be the case. But I leave that assessment to the Dutch people's housing foundation, because they have all the expertise to assess what we can already do within that fund. I mentioned the cashing out, so you're not gonna pay off until the moment your house is sold. Those are all things they can take with them. If there is still a residual item that they do not get out of with their loan fund, then that is what this game is for. I'm gonna see if that's what we're gonna get out of this in 2022.
ParlaMint-NL_2019-05-28-eerstekamer-14.u158	A completely different question, not intended as a robbery, but I have been thinking about it a few times during the debate. Of course, we talk very often about how this fund will work, with what finances and what aid structures and so on. Has the Secretary of State ever considered, in preparing this AMvB, choosing, for example, a figure like the operation tank stroke, which we had last century? That was about all those empty oil tanks that started leaking and causing soil pollution. This was addressed with payment by the government and payment by owners themselves, under the direction of the municipality and for a decent period of time. Has that approach been considered? You didn't do that. I'm assuming that's what we've been thinking. You may not know the answer directly, but the longer we talk about these complicated financial structures, I keep wondering why you have not chosen such a route.
ParlaMint-NL_2019-05-28-eerstekamer-14.u159	I have already indicated that this process has been carried out by many government officials, since the Health Council's opinion in 2010. At that time, a prohibition date was chosen with an incentive subsidy to achieve some sort of acceleration. In the first instance, this is what was chosen to trigger the market and the acceleration. It was also said at the time: that is EUR 75 million; we are running out. We can see that there is still a big problem. For example, since there is a link to the selling price of houses, we also see that it is not necessarily necessary to have it all paid by the taxpayer. Part of it is taken up in the market. That is why you want to provide tailor-made support, because you do not want to charge other taxpayers with costs that are not really necessary. That's why we're so keen on how we can do that in a good way. One thing is certain, in view of the difference in house prices: with an asbestos-free house you have a better position on the market. We also see that a group of people will probably not be able to achieve that better position independently. We do not want to leave that group in 2040 or 2045 with a house with a very eroded asbestos roof, the fibres of which pose a risk to the environment and the exposure becomes much higher because fibres may be walked in. On the contrary, we want to help the group which cannot actually do it on its own, and may therefore delay it all the time, to take that step. This is where the fund is also specifically set up. Mr. Chairman. Mr Koffeman had another question about Eternit. On the basis of the asbestos roads, it was examined whether Eternit could be held liable. The country's attorney concluded that this could not be done, because the causality could not be proven at the time. This was out of the old box, Mr. Chairman. Then there is Mr Ruers' motion. We've just changed the way I see things sticking together. I saw that Mr Ruers was pleased with that explanation. Is his assessment that the motion based on this explanation is no longer necessary? Or else may I interpret the motion as I indicated in my explanation, so I want to deal with it? If that is the case, then I only see the motion as supporting what I have said about it, namely that there is a construction with the fund and the 5 million behind for the poignant cases, including the slate roofs. I then see the motion as supporting that commitment and I would like to leave it to the Chamber. I would like to hear from Mr Ruers whether I can interpret it that way.
ParlaMint-NL_2019-05-28-eerstekamer-14.u160	As far as I am concerned, I thought that the explanation and explanation you gave was sufficient, in particular because of the moment of 2022. If I understand correctly, that will be an interim moment when we can evaluate and see if more money is needed. Under those circumstances, I'd like to hold the motion.
ParlaMint-NL_2019-05-28-eerstekamer-14.u161	Thank you.
ParlaMint-NL_2019-05-28-eerstekamer-14.u162	At the request of Mr Ruers, I propose that his motion (34675, paragraph I) be retained. That is what is decided.
ParlaMint-NL_2019-05-28-eerstekamer-14.u163	Mr. Chairman. This brings me to the end of my reply. I would like to thank the groups for their great commitment to this issue. I also think that this does justice to the subject and to the difficult questions that there are to be asked. I also understand that it is a difficult balance for groups, because a ban is a ban. On the other hand, we also see that if we do not, the risks are not gone. That's actually what I wanted to say when I said the rooftops wouldn't be gone. If we don't do something about acceleration, we'll bring back the risks, knowing where the risk is, and we know that there are technical measures to deal with it. We also know that we have the tools to help those people who might not otherwise be able to do it themselves. We have that responsibility. I hope that I have indicated how I intend to set it up with that fund and also that jar for the poignant cases. We simply have a chance here together now to put a package in place to prevent the emergence of the risks and to help those who otherwise cannot do it on their own. Otherwise, I fear that these people will eventually be left with an asbestos roof and empty hands. We now have a chance to turn that into a sustainability of those roofs and perhaps a reduction in the energy bill, which will help this particular group for whom it is difficult to solve this problem. Mr President, thank you very much.
ParlaMint-NL_2019-05-28-eerstekamer-14.u164	Thank you.
ParlaMint-NL_2019-05-28-eerstekamer-14.u165	I'm here to deal with the bill. Does one of the Members wish to vote on this bill? I see nodding, the answer is yes. Then I suggest we vote on this bill next week. I understand from Mr Ruers that his motion is being held. So we're not voting on that motion next week. I shall suspend the sitting for a short moment pending the arrival of the Minister for the Interior and Kingdom Relations.
