ParlaMint-NL_2019-01-31-tweedekamer-8.u1	We continue with the treatment of the Labour Market Act in balance, Room 35074.
ParlaMint-NL_2019-01-31-tweedekamer-8.u368	With this bill, we've all been through this route, haven't we? We put this whole proposal in front of all the experts, didn't we? The Court of Justice, the Council of State, the Internet consultation. And yes, different signals have come out of that. There are signs that point in the direction of Mr Gijs van Dijk: do not limit it, because then the judge will have more freedom. There are also people who say: you should not grant any additional compensation at all, because there is a reasonable ground; put it at zero. The cabinet opted for an intermediate route with 50%. Is that based on hard science? No. It is based on an indication: if the canton judge sees that in practice there really is no future for the employment relationship, what could be the room for the canton judge he can use to fire anyway? So these experts have already talked about this. I have a whole package here with all these documents, on which various opinions have been given and after which a percentage has been chosen.
ParlaMint-NL_2019-01-31-tweedekamer-8.u369	And eventually it's...
ParlaMint-NL_2019-01-31-tweedekamer-8.u370	Mr Gijs van Dijk.
ParlaMint-NL_2019-01-31-tweedekamer-8.u371	Thank you, Mr. Chairman. Sorry. In the end, it is a question of political support. If the cabinet wants a broader political basis, including in this Chamber, then I would recommend that we look at it again.
ParlaMint-NL_2019-01-31-tweedekamer-8.u372	Does Mr Gijs van Dijk say that if the percentage is increased, then the PvdA group will support the bill?
ParlaMint-NL_2019-01-31-tweedekamer-8.u373	Oh! Mr. Gijs van Dijk?
ParlaMint-NL_2019-01-31-tweedekamer-8.u374	For the Labour Party, this really is the painful point in the law. It is unnecessary in these times of economic prosperity, in which one is jumping over good people. Employers want those people, too. There's no need. If you go this way, and hence the amendment, then the Labour Party wants that maximation to be released. Then we'll have a conversation.
ParlaMint-NL_2019-01-31-tweedekamer-8.u375	This is complicated to me anyway. I have just explained in detail why I think it should not be abandoned, namely because of the agreement practice, predictability and also the lines of justice. On the contrary, I see the risk that the old canton judge's formula will come back, while we have put an end to it with the Work and Security Act. So I find that complicated in substance.
ParlaMint-NL_2019-01-31-tweedekamer-8.u376	Easier firing and cheaper. It seems like the minister is actually shopping: what good is it for him? I'm just looking for what space the minister offers. That's why I brought in the mouse hole. The Minister replied: I am not going to delete the word'serious'. But I'm just looking, because justice really gave us the signal: give us space now, because there are sometimes very poignant stories. Very often it concerns older workers. The question is: why does this minister not want to give room for that?
ParlaMint-NL_2019-01-31-tweedekamer-8.u377	During the treatment of the Work and Security Act, this mouse hole, this equity fee, came into it for severely culpable situations; the employer is then seriously reproachable, thus creating room for much higher remuneration. Indeed, the term'strongly reproachable' refers to matters such as sexual harassment and discrimination; such examples. I believe that research has been carried out into the use of this land in recent years. I would like to come back to that in the second term. But it is precisely because of the seriousness that this escape route or outlet has arrived, which allows the judge to say: this is so seriously reproachable that I give a high fee for that. But the intention of the Work and Security Act and this mouse hole was that in practice it would be limited to truly exceptional cases. And what I am afraid of now, I say very openly to Mrs Van Brenk, is that if you extend it very much now, it will have a standard canton court formula-like effect. And we just built the system on reasonable grounds of dismissal. I am going to try in the suspension to get those data on the use of that fairness fee out of the table, and then I will give Mrs Van Brenk some illustrations of that.
ParlaMint-NL_2019-01-31-tweedekamer-8.u378	Finally, Mrs Van Brenk.
ParlaMint-NL_2019-01-31-tweedekamer-8.u379	I am indeed interested in that. But it also seems that this minister has little confidence in the judges when it comes to whether they can decide for themselves what is really unfair.
ParlaMint-NL_2019-01-31-tweedekamer-8.u380	No. We have tried to give guidelines of guidance in this law and in the note on the report when it comes to how we should interpret that space between 0% and 50%: how should we put it into practice? My image is the opposite: if you don't put a cap on it, it will only become more insecure. There is therefore a risk of even more rapid dissolution, I shall say even if the land is not fully covered. Mrs. Van Brenk knows what I mean.
ParlaMint-NL_2019-01-31-tweedekamer-8.u381	Good. Please continue.
ParlaMint-NL_2019-01-31-tweedekamer-8.u382	Then it's probation. I can talk about that for a very long time, or very briefly. I think I'll be very brief. You were able to read it in the note following the report, in the bill and in the explanatory memorandum itself: the idea was to find an innovative way to tempt employers to offer more permanent contracts. During the hearing you will hear it, I listen to experts! The probationary period has been extensively questioned. Even today, parties have indicated that they do not see much good in it. There are indeed more risks than opportunities, so I would like to give Mr Smeulders' amendment 'Court of Justice' on this point. So if this amendment is adopted, it will be the probationary extension out of the law. So that is indeed a 50% score for Mr Smeulders; that was just in my text, but it is only now a fact. That is the first amendment tabled by Mr Smeulders. Then I'll get to the transition fee. The transition fee is, of course, intended as compensation for workers who lose their jobs involuntarily and can serve as shelter for the loss of income. The transition fee can also be used as a training budget to facilitate the transition to a new job. As far as I am concerned, the costs of the transition fee for the employer should not determine the contract he offers an employee. This may be the case now, because when a contract is terminated for less than two years, often a temporary contract, there is no transitional fee. Also, the incentive not to dismiss long-term employees due to high redundancy costs does not contribute to a well-functioning labour market. That is why there are two changes in the structure of the transition fee. These measures together create a new balance within this transition fee. Together with the other measures in the legislative proposal, they contribute to creating a new balance on the labour market. Firstly, it is proposed to abolish the two-year reference period, which means that from day one entitlement to transition fee exists. Secondly, it is proposed to abolish the increase in the building-up of ten-year or more jobs. There was an extra step in it and it will be abolished. These changes ensure that the transition fee is a third gross monthly salary per year of service, regardless of the length of the employment. But she's linear, so if you have a long employment, you have higher rights. These measures reduce the impact of dismissal costs on the choice of the form of contract. This eliminates the difference between shorter and longer contracts. Mr Van Weyenberg asked me to address the concerns surrounding the transition fee from day one in sectors with a lot of seasonal work. Together with Mr Wiersma and Mr Heerma, he also asked about the consequences for amateur sport, the football sector. In the case of seasonal work, I see the concerns, in particular about the increase in the cost of the work because each termination of a contract requires payment of a fee, while the employer often takes on the same employee again the following season. It is good to know that there is already an exception in the law. It is settled that employers who hire the same temporary worker each season do not have to pay a transition fee at the end of each season. This can also be used in sport. I do not think that a wider or other exception to the transition fee is desirable, because the purpose of the measure is precisely to reduce differences between long, fixed and short temporary contracts. The starting point is that each employee receives a transition fee, regardless of whether he is employed for a long or short period of time and regardless of the sector in which he works. An exception for sport is also advocated in the chain definition. Here's what I'm gonna do. In particular, the KNVB has expressed its concerns in this regard and these are known about the proposed changes to the chain determination. The current law already provides for an exception for the KNVB to the chain provision for football players and coaches working in paid football. So there are already possibilities under the current law for a special position for the football sector. The chain clause is now being extended so that the interval can be reduced by collective agreement in return for temporary work. This also creates opportunities for the sport sectors. My ministry has discussed these possibilities with the KNVB. It is up to the sports sectors themselves to see whether they can meet the conditions and thus make use of that exception. I do not think that a wider exception is desirable, because the provision is intended to temporarily reduce the differences between long, fixed and short. A number of questions have been asked about abolishing the increase in the structure after ten years of employment or more and its impact on older workers. Mrs Van Brenk and Mr Kuzu asked. Mr Kuzu is right. Older workers with long employment will receive a lower transition fee after 2020, but this is mainly due to the expiry of the temporary scheme for people aged 50 or over with a ten-year or more employment. This is a temporary arrangement introduced in Minister Asscher's Work and Security Act and due to expire in 2020, with the agreement of many of the parties in your Chamber. The bill for the SAB only proposes to set the structure of the transition fee at a third month's salary per year of service, regardless of the length of the employment. This choice is part of a search for a new balance. On the one hand, short and with a right to a transition fee. On the other hand, if it's long, it's less. Together they ensure that the differences between long, solid, short and temporary are removed. The adjustment of the structure also makes it more attractive for employers to offer fixed contracts. Workers, including older workers, will soon return to work. Mr Van Kent has an amendment to point No. The Court of First Instance held that, in order to maintain the increase in the structure in the case of an employment contract of 10 years or more, the transitional arrangements should, as it were, be extended. I would advise against this amendment. As I indicated, the package of measures related to the transition fee is a matter of a new balance sheet. The amendment takes that balance out of the package. The desired effects of the measures, the elimination of differences, are no longer achieved. The equalisation of the structure of the transition fee also promotes the flow of the labour market. This also has the effect that employees generally get to work faster on the basis of a fixed contract. 'Cause that's gonna be more attractive. Moreover, this amendment also involves additional costs of 30 million per year from 2020. It is good to point this out to Mr Van Kent and the Chamber. This has to do with the fact that if you have a higher transition fee, the compensation scheme will also be more expensive. So that 30 million still has to be covered within the budget. All in all, I do not recommend the amendment to item No. 34.
ParlaMint-NL_2019-01-31-tweedekamer-8.u383	I want to know which other amendments you need to discuss.
ParlaMint-NL_2019-01-31-tweedekamer-8.u384	I've got a few more. They're hidden in the text.
ParlaMint-NL_2019-01-31-tweedekamer-8.u385	Okay. Then I'm going to see Mr. Van Kent.
ParlaMint-NL_2019-01-31-tweedekamer-8.u386	Firstly, we are, of course, very pleased that the redundancy allowance will apply from day 1. That's a long-cherished wish from the SP. Secondly, as I have pointed out before, we are concerned about the sharp decline in compensation granted to employees. I've given you some math examples. There's only a third of it left. And it is precisely this measure, which increases that fee after 10 years, that is one of the components that provides for a slightly higher remuneration. Does the Minister recognise that dismissal for employers is becoming increasingly cheaper and that this government's conscious policy is to do so by failing to implement this measure after 2020? Does he recognise that it is therefore extremely cheap for employers to fire people?
ParlaMint-NL_2019-01-31-tweedekamer-8.u387	What I recognize is that by aligning the structure from day 1 onwards, temporary contracts from day 1 onwards also make a third month's salary and no longer make a distinction between age and age, which in fact reduces protection. That's right. I can't get around that. That's just a fact. It was once a month's salary a year above 50. The Work and Security Act has reduced that to half a month's salary and this bill reduces it to a third month's salary. That still means that the fee is linear. If you have a long service, you're still building up a higher transition fee. The note on the report also asked for sums, including by Mr Van Kent. What are the different amounts? There is, of course, converted possibly a cumulation ground. That's just the standard fee. It's true that that's the effect of that. This has to do with making the fixed contract more attractive.
ParlaMint-NL_2019-01-31-tweedekamer-8.u388	That has nothing to do with making the permanent contract more attractive. This simply has to do with first of all relaxing the right of dismissal, so making it easier for employers to fire people, and secondly with the intention to make it even cheaper. By this we recognize a right-wing government, by which we recognize the influence of the VVD, VNO and others. Yeah, well, then the monkey's gonna come out of the sleeve. Then we see that these fine words by the Minister and some good measures are really overshadowed by a harsh measure and a brutal attack on workers' rights, which simply make it easier to get rid of people.
ParlaMint-NL_2019-01-31-tweedekamer-8.u389	I have argued in detail here...
ParlaMint-NL_2019-01-31-tweedekamer-8.u390	No, Mrs. Van Brenk. I see you're trying to interrupt. I'm sorry. However, I would suggest that the Minister conclude this matter first.
ParlaMint-NL_2019-01-31-tweedekamer-8.u391	Mr Stoffer asked a question on the same point. He asked whether, in the context of the expiry of the 50-plus scheme of the transition fee, the judge would be given the opportunity to provide tailor-made services so that people's age and opportunities in the labour market could be taken into account. In fact, that is the question of whether we can go back to the old system of redundancy payments that can be determined entirely by the judge. Then you are going to deviate from the system introduced by the Work and Security Act for the reasonable grounds, because there age is not taken into account. I don't intend to. I have argued in detail what the system is in the Labour Market Act in balance. Mr Stoffer argued that the consequences of dismissal by the judge should be taken into account in determining the level of compensation. The Work and Security Act chose precisely to include the consequences of dismissal in the standard transition fee. In the previous period it was a very conscious choice of Minister Asscher not to do so anymore. That is why there is also a transitional arrangement on this issue, which will end in 2020. Then company shut down. Have any questions been asked about that? Yes. In particular, questions have been asked about compensation for the transition fee in the event of cessation of business and illness. Several parties, such as D66 and 50PLUS, have asked in writing whether the proposed compensation scheme could be extended to include the situation of the death of employers. That wasn't part of the bill. It was brought in by Mrs Van Brenn and Mr Van Weyenberg in the written round. I think it's a good and sympathetic idea. Therefore, the first letter of amendment states that the compensation scheme is to be extended, including for these cases of death. For the compensation scheme in the event of cessation of business, sickness and death, the government agreement estimated an amount of 100 million. That was based on a very rough assessment, because we actually had no idea how many cases were involved. It was found to cost approximately 40 million in practice: 35 million for compensation in the event of cessation of business and in the case of sickness and 5 million for compensation in the event of death. This does indeed mean that money has been left in this scheme. Mr Wiersma and Mr Heerma asked about this. Mr Van Weyenberg also asked for this. They have asked to spend the money on an additional financial boost to stimulate learning culture in SMEs. I fully support the importance of creating a positive and strong learning culture. It is also one of the spearheads of last year's five-track approach, of Life Lang Development. This is particularly true for SMEs, where lifelong development is less developed than for larger companies, where special attention is paid to them. I would therefore very much like to join Mr Wiersma, Mr Van Weyenberg, Mr Heerma and Mr Bruins in thinking about how we can make the best possible use of the additional resources to increase the learning culture in SMEs. The funds are still in the budget, in the supplementary post of the Ministry of Finance. So I have to talk to my colleague in the finance department about this first, but then I will work very hard to make good use of these resources. Mr Heerma asked what scope I see for sectoral customization for seasonal work, including in agriculture and horticulture, but also in the catering industry. It's a broad question: what kind of space is there? There's still financial space in the envelope. I believe that it can also go towards training, precisely to give the sectors a perspective on the training of well-qualified people and on the ability to fill vacancies with them. I think it is an interesting suggestion from Mr Heerma to help employers by investing in training. I am also looking at Mr Heerma for the further implementation of the initiative. I think it's gonna be in the second term. Specific questions have been asked about the compensation of the transition allowance in the event of a two-year employee's illness and about the deduction of training costs. First, I'm gonna go into two years of illness. The employer who creates an employee after two years of illness is compensated for the transition allowance. The law governing this was passed by the Chamber last summer. It was also in the April package of Minister Asscher in the previous period. I think that was then with Mrs Vermeij and Mr Van 't Wout. Mr Van Weyenberg now asks me about the relationship of this law with the WAB. He points out the difference between the dismissal costs for employers before and after 1 January 2020, when the SAB has entered into operation. He asked if I would encourage employers to terminate dormant employment already before 1 January 2020. I agree with Mr Van Weyenberg that it is very important that these dormant employment should be terminated as soon as possible. The compensation scheme removes barriers for employers. Employers also have an interest in putting an end to these dormant employments, because the construction of the transition fee continues until the end of the employment period. However, the counter for compensation stops at 104 weeks, i.e. after the period of pay-as-you-go in case of illness. This means that the employer will not be compensated for the transition fee accumulated over the dormant period between the end of 104 weeks and the actual dismissal. In other words, it is also an incentive to fire, and that is also desirable. I call on all employers to put an end to these dormant employments as soon as possible and I will, of course, also start an information process to bring this point to the fore, in close cooperation with UWV, because it is simply a long and annoying process. Mr Van Dijk asked a question about the deduction of training costs, namely why I am extending the possibility of reducing the cost of the transition fee. He noted that it was not intended that employees should pay the cost of training for their own duties. I fully agree with Mr Van Dijk. The costs of training for one's own job are borne by the employer. The employer is also legally obliged to incur these costs. That is why the extension of the possibility of a deduction of costs does not take this into account either. It's not about one's own function. The expansion is in training for another function. This fits in with the picture of lifelong development and being prepared for changes in the labour market. With enlargement, I want to encourage employers and employees to invest in sustainable, but also wider employability, even outside the current position. That is also the reason for the enlargement. It fits into track one, the lifelong development policy that Mrs Van Brenk asked for. The reason for this increase is not simply to reduce the fees. It is really a sensible use of the compensation to allow people to simply invest preventively in sustainable employability, including in functions outside the current position. Then I come to Mr Van Dijk's question about the five-year deadline. He is concerned that this deadline is too long and asked if I am prepared to look at this deadline. I don't share the concerns. First of all, it is important that employees and employers can always agree on a different period of time. The five-year period is only valid if the parties themselves have not agreed on a time limit at all. If no agreements have been made, I think a period of five years is reasonable. A time limit must be of some size in order to make it interesting for the employer to invest in this sustainable employability. Then you'll need a few years to shape that somewhat. Mr Stoffer asked for the possibility of granting the additional remuneration to be extended to all dismissal grounds. That was actually another point of accumulation that had remained. The aim is not only to allow additional compensation for the use of the cumulation ground, but also for all individual grounds. In view of my speech, Mr Stoffer understands that I do not recommend this amendment. The additional fee is meant in case you accumulate: if you put two grounds together to dissolve. This situation does not apply to the other grounds for dismissal.
ParlaMint-NL_2019-01-31-tweedekamer-8.u392	What amendment was that?
ParlaMint-NL_2019-01-31-tweedekamer-8.u393	The amendment in part No. 21. Contrary to Mr Stoffer's argument, there is no unjustified unequal treatment, because the situations are not the same. In the event of dissolution on the cumulation ground, it has not been possible to base it on one single ground, whereas in the case of the cumulation ground it is really two grounds. The employee will be compensated for this. From that philosophy, I advise against this amendment. Then the second last block: premium differentiation.
ParlaMint-NL_2019-01-31-tweedekamer-8.u394	A brief question, Mrs Van Brenn.
ParlaMint-NL_2019-01-31-tweedekamer-8.u395	I didn't get an answer to my question.
ParlaMint-NL_2019-01-31-tweedekamer-8.u396	Sorry. What question?
ParlaMint-NL_2019-01-31-tweedekamer-8.u397	I asked whether it is reasonable for older workers to be less compensated because they are less likely to be in the labour market, and therefore whether this financial compensation should be included.
ParlaMint-NL_2019-01-31-tweedekamer-8.u398	I understand this question, but this question is working in two directions. One of the problems in recent years has rightly always been the focus of Mrs Van Brenk's attention, namely the position of 50-plussers on the labour market. They're really hard to get back in. One of the reasons why employers are reluctant to rehire older workers was this difference in redundancy payments. They had the image "old is expensive" and therefore they preferred to employ but not an older employee. I think that is a very bad situation, because it simply reduces the chance to get back to work. Apart from the fact that in many cases it is simply not the case, there is also the picture that older workers would be sick more often. That's not true. There are a lot of images and that is why we also have the action plan 50-plus. But the image has existed for a very long time, which is expensive, because they received a high remuneration for dismissal. It is precisely because of this that the opportunities for older workers are being better formulated, for older unemployed people to get back in the way.
ParlaMint-NL_2019-01-31-tweedekamer-8.u399	I would like to come back to the amendment on item No. 21. I understand the Minister's argument very well, of course. There was one more thing in the explanatory statement for me. Of course, I'm trying all kinds of ways to get something in. For that older employee, which Mrs Van Brenk has just mentioned, the finances are one part, but it's also just something that's in society that someone aged 57 years or 62 years... I do not agree, because I have accepted them and I have always been happy with them; let me say that here too. But you can see that it's very difficult in society to get to work. That is why my amendment is 21, because I want to find something that can be taken into account if people fail to get in front of the canton court, i.e. the judge can do something about it. Is that something else the Minister might be able to persuade?
ParlaMint-NL_2019-01-31-tweedekamer-8.u400	I have great sympathy for Mr Stoffer's speech and also for Mrs Van Brenk's speech, because I also see that it is a real social problem. I just don't think the firing system is the right way to do something about this. Indeed, it only leads to making it more unattractive for employers to employ older unemployed people. Earlier this evening, I did say that I agree that offering no-risk policies can help. If you then hire an older employee as an employer, you are simply free from payment of wages in the event of illness. I think that is good tools for challenging and stimulating employers. The same applies to LIV for older people, the wage cost advantage for older unemployed people. From that angle, I find it much more sensible to stimulate and encourage employers to employ older jobseekers. Mr Van Weyenberg has asked a number of times for an overview of all the instruments. It'll be available soon and I'd like to do it along that road. This also fits in with the Action Plan 50-plus, which we are continuing with because we still see, even in these good economic times, that older jobseekers still have a worse position on the labour market. But to solve that through the firing system... I don't think so... In fact, I think it's counterproductive.
ParlaMint-NL_2019-01-31-tweedekamer-8.u401	I very much appreciate that the Minister is also looking for these roads, but that still leaves a group of over 58 or 59 years of age for which this does not help either. And they come between the wheels very annoyingly. Does the Minister see opportunities for this? I don't see any other way but that you're gonna take care of that right of dismissal. But the Minister has much more knowledge of it and maybe he sees opportunities there too. There is a real pain in my mind, because what the Minister is proposing here is no longer working for that group either.
ParlaMint-NL_2019-01-31-tweedekamer-8.u402	However, I would like to argue that the solution to this is, in my view, not in the right of dismissal and not in the compensation for transition, but in the other instruments. These are the tools that employers need to seduce in order to recruit older jobseekers. In the end, it is about the risks that employers face. Again, if you are going to solve this through the dismissal system, this will, especially in the case of an age determination, result in higher costs for the employer or a higher risk of high redundancy compensation if he wants to fire an older employee. So the risk is that he doesn't hire that older employee and that's where we want to remove that obstacle. I see a lot more in a no-riskpolis. I see much more in the subsidies and in the action plans than in the right of dismissal as a solution to this problem.
ParlaMint-NL_2019-01-31-tweedekamer-8.u403	Finally, Mr Stoffer.
ParlaMint-NL_2019-01-31-tweedekamer-8.u404	For me, this remains a little bit of a difference of insight and I think we are not getting there tonight. This really hurts me and it's really a bump for me to get behind this law. So, yes, that concludes me.
ParlaMint-NL_2019-01-31-tweedekamer-8.u405	Then you've made your point, I guess. Proceed, Minister.
ParlaMint-NL_2019-01-31-tweedekamer-8.u406	Mr. Chairman. The fourth block, the premium differentiation. With the WAB we try to reduce the difference between fixed and flexible contracts and the WW premium differentiation is an important instrument. I have also heard this evening in your Chamber that there is broad support for that instrument. The difference in the premium between the high and the low premium is 5 percentage points, which means that the premium for people on a fixed contract will be 2.78 by 2020 and for people on a flexible contract 7.78, 5 percentage points difference. When can the low premium be paid? The main rule is that the low premium is paid by people on a written contract of employment for an indefinite period of time with a fixed number of hours. If there is not a fixed number of hours, it is a call agreement, as I have already pointed out to Mr Gijs van Dijk. However, fixed contracts with a fixed number of hours sometimes also have a flexible component, for example in the area of accessibility services in the healthcare sector. That flexible component means that there is actually a call agreement. The Cabinet intends to exclude such services in the care sector from the definition of the call agreement at AMvB, thus allowing the low premium to be paid if there is a normal written contract for an indefinite period of time. Mr Van Weyenberg, Mr Stoffer and Mrs Van Brenk asked me to respond to the concern expressed by the healthcare workers to exempt the consignment services, the accessibility services and the on-call services from the 30% rule, in which the high premium should be paid retroactively. I understand the concerns of Mr Van Weyenberg, Mr Stoffer and Mrs Van Brenk and also of the healthcare workers. The reason for including these services under the 30% rule is that extra hours due, for example, to consignment services in the policy administration cannot be distinguished from extra hours worked due to a lot of overtime. I am pleased that the healthcare workers write in a letter that they understand the measures taken to combat unbridled overtime. I am therefore talking to the healthcare workers to see how we can achieve that goal and at the same time do justice to the special nature of some services in the care sector. I've asked them for additional facts. There is sufficient time to have that conversation, because the situation that the high premium has to be paid retroactively is laid down in lower regulation and not in the law itself. In addition, an exception has been made for the high premium for temporary contracts for employees in the bbl, the vocational apprenticeship, i.e. work and study combinations. The cabinet wanted to encourage this training route. Moreover, in this case the employer has no option other than a temporary contract and promotion through a high premium therefore has no effect. Several trade associations have pointed out that in many cases young people with side jobs do not want a permanent contract in addition to their training. The cabinet acknowledges this fact and also points out that there are young people who have a regular job at a young age and are dependent on that income. I therefore feel sympathy, perhaps, that Mr Stoffer can now be put in a more positive position for part of Mr Stoffer's amendment, which makes an exception to the high premium for young people under the age of 21 who do not work more than 12 hours a week. Those students, students, additional jobs are exempted from the high premium in the amendment. By setting a ceiling on the number of hours per week, it can be ensured that there are indeed side jobs. Mr Wiersma also suggested this. That seems to me to be a right point of attention to resolve. However, I think that the other parts of the amendment go too far. I'd also like to explain why. The exception for young people under the age of 21 with small jobs to the call measures and the adjustment of the age from 18 to 21 with the exception of the chain determination and the transition fee is based on an age distinction and that is not possible. There is also no justification for the distinction between working hours. This justification weighs heavily because the age limit and the distinction between working hours also affect the worker directly in his rights. The other, of course, is the employer who pays a premium. It's the employee who has rights. That part of the amendment, if Mr Stoffer were to amend it, I would give Chamber judgment, but the other part, about the transition fee and the chain clause, concerns a distinction, private law, which I do not want to make. The members Van Weyenberg, Wiersma, Stoffer, Heerma and Bruins stated that it is difficult for seasonal work to offer permanent contracts. Let me begin by stressing that the aim of the WW premium differentiation according to the nature of the contract is twofold. One is to stimulate fixed contracts and two is to price the inflow into the WW. The damage burden, so to define it, is higher. I acknowledge that entering into permanent contracts for seasonal work is more difficult than for some other activities, but it is not impossible. In order to increase the possibilities, the bill allows the low premium to be paid for contracts with a standard of annual hours. For flexible contracts, the risk of influx into the WW is greater and, as far as I am concerned, this includes a higher WW premium. "The polluter pays" moves into the new system from the sectoral level to the level of the individual employer. I therefore do not intend to make an exception for seasonal work. Besides, it's not feasible. I'd like to explain that. I've had a lot of discussion with the IRS about that. For such an exception, the Tax Administration should check per employee whether seasonal work is carried out and whether such work is covered by an exception under collective agreement. Unfortunately, that cannot be maintained. Such an exception is therefore not justified. I am therefore unable to implement the part of Mr Stoffer's amendment which provides for an exception to the high WW premium for climatic conditions designated by collective agreement. That's why I have to advise against it. Then there are the other elements in Mr Stoffer's amendment. As you know, we are already taking steps in the legislative proposal with regard to the chain clause. For example, it is proposed that the interim period can be reduced by collective agreement in the event of a return to temporary work. This means that parties have a better chance of making sectoral tailor-made possible. A request may also be made here by the Labour Foundation if the collective agreement parties do not come out of this. It is more complicated when it comes to call-up measures. I have tried to find a balance between the employer's need for flexibility and the importance for the employee of greater security. The employee also has the rent and the groceries that have to be paid every month. On the other hand, a farmer or an employer in agriculture and horticulture may also have his hands in the hair if he has to respond to weather forecasts, to changes in climatic conditions. Therefore, in sectors covered by collective agreements, the call and cancellation period can be reduced to 24 hours. So you can take climatic conditions into account. I understand the concerns about jobs in companies in sectors that are highly dependent on these weather conditions. Then there is Mr Stoffer's amendment. I don't know what song that has, because I don't have it right here. Is that 23? That amendment allows for an exception.
ParlaMint-NL_2019-01-31-tweedekamer-8.u407	The amendment in part No. 23 has been replaced by the amendment on item No. 23 has been replaced by the amendment on item No. 23 has been replaced by the amendment on item No. 23 has been replaced by the amendment on item No. 23 has Is that right, Mr. Stoffer? I see that's the case. And 31 you've already been treated, I think.
ParlaMint-NL_2019-01-31-tweedekamer-8.u408	I'll just have to see if this is the right one. I think this is the right one. Which one is it?
ParlaMint-NL_2019-01-31-tweedekamer-8.u409	31, yes. You've already treated it, but it's okay.
ParlaMint-NL_2019-01-31-tweedekamer-8.u410	Yeah, sorry. This amendment allows an exception in the case of collective agreements for all recurring temporary work which can be carried out for a maximum of nine months. This is wider than for jobs where employers are highly dependent on weather conditions. These are functions that can be performed for longer periods of time. I would like to limit this to the group covered by the current seasonal worker scheme under the chain regime. The amendment would also allow the exception for all other recurring temporary work, for example for football trainers and in the cultural sector. There are no climatic conditions such that they require an exception. I therefore find this undesirable, because it is precisely for the functions in which the work depends on climatic conditions that I can imagine in Mr Stoffer's request and the purpose of his amendment, but not in the other, more planned, temporary work. Cao parties are then best able to determine in the consultation between employers and employees whether they need such exceptions to climatic conditions in their sector and whether there should be an exception to the call time and supply after 12 months. I could leave Mr Stoffer's amendment to the Chamber's opinion if the SGP proposed that the collective agreement for functions which could only be carried out on a seasonal basis by climatic conditions should provide for an exception for the call period and the offer after 12 months. The exception to the high WW premium should then be deleted, as this is also regulated in the other amendment. Mr Wiersma also asked to continue thinking about other ways, in particular about long-term flex, a new form. We have also discussed this before, also in connection with the own-initiative paper, I thought Mr Van Kent, Mr Van Dijk and I think Mr Grashoff at the time. At that time, Mr Wiersma also said that he would like to explore flex for a long time. Of course, the current proposal has the charm of simplicity, including implementation practice. It is very complicated to maintain if you have to register different contract forms. But I do understand Mr Wiersma's considerations, because precisely in these contracts there is attention to training, to multi-annual development, to career prospects, to sustainable employability. For example, agreements have been made with the collective agreement of the supermarkets. It does make it more complicated for the execution. We can't do it in the current bill. However, I understand Mr Wiersma's request so that he asks me to explore what could be done in the future. I am prepared to do so, I say to Mr Wiersma. I'm telling him this. I do not think that any questions have been asked about the abolition of the sector classification, but rather about the construction sector and training. The legislative proposal will cancel the sector classification. There are really good reasons for that. The division of the sector is very outdated. There are a lot of lawsuits going on about employers hopping premiums. Such employers prefer to work in a sector where the premium is low. The division of the sector is really out of date. For example, you have three sectors for roofers, namely for sloping roofs, for flat roofs and for sinking roofs. In addition, there is one large business service sector, with 1.2 million employees and hundreds of collective agreements. This simply does not fit anymore and is also increasingly difficult to implement. That is why this sector classification is repealed by the law. This means that there can be surpluses in the sector funds which must now be used up. That is what Mr Heerma, Mr Van Dijk and Mr Van Weyenberg said. That is true of the construction. Construction has a surplus of about 60 million one-off, a surplus in such a way that this year the premium has been set to zero. On the other hand, the contribution to the construction sector is falling considerably in structural terms. That is what Mr Heerma himself said. I do not know exactly what the amount is, but the premium is going to be much lower, for the next few years tens of millions lower. Other sectors leave a deficit in the AWf. They're still there, aren't they? So although I like the proposal from the construction sector to reserve the money for schools, I do not see room for that, because we simply have to supplement the deficits. Moreover, in the long term, there really is an advantage for the sector in the form of a lower premium. In addition, Mr Wiersma, as well as Mr Heerma, has ideas for making use of the money for a lifetime, b.B.L., SME business schools, good initiatives that could include these things. Mr Van Weyenberg had another question about the control and enforcement of this point. That's a fair point, also because you're using the payroll chain. Three ways are included in the legislative proposal to maintain and control the correct contribution. First of all, there is the tax administration's regular book search. It checks whether the correct data has just been included in the administration. We've also deliberately added a new thing, a kind of nudging, something from behavioral sciences. I am referring to the fact that the nature of the contract must be stated on the pay slip. So that means that the employee on the pay slip gets to see what kind of contract he has. That makes sure employees can check it too, because if you have a temporary contract and you have a fixed contract on your paycheck, you know something's going on and then you have a discussion with your boss. A difference between the wage declaration and the pay slip is almost certainly caused by conscious human action, as it is often the same software that provides data. In order to prevent abuse, there are also four situations where the high premium still has to be paid retroactively, for example if the contract is terminated in the probationary period or if many more hours are worked. And if the employer does not correct the premium himself, then he may be forced to do so by the Tax Administration. There are also high fines on frauds with the WW premium. If there is falsehood in writing, and that is what it is all about, then even jail time can be the result. That is also false in writing, and that is a serious criminal offence.
