ParlaMint-NL_2019-11-05-eerstekamer-11.u1	The next item is the continuation of the debate on the Wet experiment closed coffeeshop chain.
ParlaMint-NL_2019-11-05-eerstekamer-11.u120	Thank you, Mr President. Thank you also to the two rulers for their input and their response this evening, also to what I have put forward. On many points, I feel the passion to look for what is good for this country, for the health of its inhabitants and most of all for their safety. At the same time, I also have a number of concerns about this experiment. I think that the President had already made that clear during the first period. Let me begin by saying that the broad commitment to prevention has been taken from my heart. The essence must be, as far as I am concerned, and that is different from Mrs De Boer, that drug use is not normal, that it is harmful and that it has risks. I have heard the Minister clearly say that the stakes are that the use of soft drugs will not increase. I'll put a line on that. He understands that from my point of view I say: reducing the Minister's office would be much more beautiful and much better, especially if we were to focus on that health. Because the implicit message of this experiment must never be that soft drug use is a good thing. It has to be that we map the risks well and find building blocks for a better soft drug policy. That is why I like the fact that the cabinet is working hard with all those concerned. With Secretary of State Blokhuis, too, there is a strong commitment to this Prevention Agreement, even when it comes to smoking, because that has some real connotations with this policy. I also hope that the cabinet will move forward courageously in the next two years. I have heard the Minister say that he will follow developments in other countries and not just the developments in countries that we, or at least a majority of progressive Netherlands, have always welcomed as example states in which legalisation is already in place. I am also concerned about the side effects that we all may not have intended or had estimated differently. I am also concerned about the consumption of other forms of cannabis, such as drugs that are being drunk. What health risks do they pose? What are the consequences? Let's face it honestly. I hope the Minister will include this in the evaluation. For my group has one thing to say: this must not be the path towards standardization. I heard Mr Meijer talking about regulation. That's really something other than normalizing. From my point of view, I also really hope that we will be able to convey this to the outside world, both from the cabinet and from the Chamber. Anyway, everyone's got their own way of thinking about that. You saw this, for example, in terms of the THC content and the appreciation of Mr Knottnerus's opinion. I asked my questions because I see more and more articles, also internationally in really respected magazines, in which people write: the stronger the weed, the greater the chance of a psychosis. And if we do enter into an experiment in which people use weed, then we also have an ethical assessment of what that means for the experiment. Mr. Chairman. The Minister and I did not agree, but perhaps he still wants to reflect very lightly on this. If he changes his mind, he will meet at least one Member of Parliament who is happy and knows who he is! I also said in that regard that prevention is a good thing, and please: let there be no policy moratorium on all other actions in the field of soft drugs policy. I have heard these two rulers clearly say that there is no such thing. This cabinet continues to face the problems. I'm happy about that. I keep my concerns about police strength, but if I listen carefully to the minister, he will accurately map them, along with the police. There may be a problem in the lead time that police strength is falling somewhat, but I understand that the Minister is going to map this so that a Chamber can act on this point. Did I get that correctly? I heard the Minister clearly about the emergency button. In the view of both ministers, this is first and foremost the case where something goes wrong in a municipality, but there is also the possibility that the minister or his successor, if there are any developments that do not actually contribute to finding the building blocks, but which do have an impact on public health or safety, I understand that they must be substantial, and that follows from the law, or use the button. There is no emergency button for any circumstance, but there is one and the cabinet can use it. Mr President, you have already heard in the first place that I have great concerns about growing drug crime. As far as I am concerned, this experiment is not the mercy blow. Unfortunately, that takes much and much more. That is why I signed the Rombouts motion with great agreement. I believe that the broad plan, in which all these facets are well understood, has the means to do so and has the courage to do so for a long time, an important one for society as a whole. I would like to thank the Minister for his generous commitment on this point, to take over this and to implement it in broad terms, both in terms of prevention, resilience and repression, structural and long-term. I'm sure I'll ask you a few questions. That is what we hear the Minister about, but I really want us to work together to ensure that this country becomes a healthy country and that young people learn to deal with soft drugs again. The moment the government launches this experiment, we must make it clear: the use of soft drugs remains wrong, do not start. I am different from some of the other speakers, but I would have liked to have said that here.
ParlaMint-NL_2019-11-05-eerstekamer-11.u121	Thank you. I call Mr Rombouts.
ParlaMint-NL_2019-11-05-eerstekamer-11.u122	Mr. Chairman. I'll be brief. We indicated this morning that we do not want to vote in favour of this bill, because in our opinion the spirit of time requires more, much more. I thank you and my fellow Members for giving me the opportunity to extend this debate beyond the means of experimentation. I would like to thank the Minister for Justice and Security, but I really hope that this will apply to both ministers, namely that they will wholeheartedly accept the motion on the delta plan, in full width, with those four aspects, without excluding the aspects that others may wish to suggest. I am now going to discuss with my group what this means for our final assessment of the legislative proposal.
ParlaMint-NL_2019-11-05-eerstekamer-11.u123	Thank you. I call Mr Meijer.
ParlaMint-NL_2019-11-05-eerstekamer-11.u124	Mr. Chairman. I thank the rulers for their reply. I may not be satisfied with every answer, but there is an intrinsic motivation to work on this subject, to tackle the back door problem and then to tackle the broader, undermining crime. There may have been little movement in the answers compared to the written change, but in terms of the extent of the experiment I noticed that there was something more generous about the position of the G4 and Utrecht than in the written change. I wrote that down for myself. I can tell you that the ministers have to do with the political containment of the coalition agreement when it comes to the extent of the experiment and the follow-up in the sense of: what happens after the experiment? The rulers always fall back on those texts. I said before: we are not bound by the coalition agreement here, but the VVD feels bound by it. I couldn't take that back in every contribution today. There is still a lot to figure out after the regulation. I think it is important what I said at the beginning: show partnership to the participating municipalities and to the participating coffeeshop holders if they encounter problems in the area of supervision and enforcement. The police force has been mentioned. I mentioned the trading stock. Let's pick that up together. I have the feeling that this feeling is present to everyone. Then there's the motion. It was my maiden speech, so I have a lot to learn, but I've noted some wonders today. The motion has nothing to do with the subject. The motion was granted in first time because it was requested, so that other Members could respond to it in second time. Before other members could respond to it in the second term, the Minister responded. Then the motion was taken over and withdrawn, so what shall I say about the motion, except that, of course, there are a lot of good things in it. As far as decision-making is concerned, I find it a little sloppy. I'll keep a sharper eye on it from now on. I also think it is a little sloppy towards the House of Representatives, which is going to debate this issue twice in the next few weeks with the Minister and is then confronted with a commitment in the First Chamber that structural multiannual money is available for a broad offensive, but perhaps not, because the rulers still have a term, and that has to be weighed against other points. I think that's the primacy of the Second and not of the First Chamber. That is what I wanted to say about the motion, with all due respect to Mr Rombouts.
ParlaMint-NL_2019-11-05-eerstekamer-11.u125	Thank you. I call Mr Recourt.
ParlaMint-NL_2019-11-05-eerstekamer-11.u126	Mr. Chairman. Thank you to the rulers for the answers, which were satisfactory in almost all respects. There are always drugs in the Netherlands, always, no matter what we do, no matter what we say here. The Dutch tradition is then to look for a solution to regulate the harmful effects of these drugs as well as possible, in order to keep them as small as possible. It's looking for the optimal form and it's different per drug. We do this differently for alcohol, different for nicotine, different for heroin, different for xtc and therefore also different for cannabis. After all, there is a major problem with the sale of cannabis at the moment and actually for decades. I am pleased that this experiment is in line with the pragmatic solution we have here for the different types of drugs. We are continuing a tradition. The experiment, as we have seen in the endless written documents, is well thought out and detailed in some parts. I am also convinced that the participating municipalities and the growing communities will face surprises that will be resolved again. Sometimes I find it a little naive, too, I have to be honest. Those scooters just keep driving, even in the ten municipalities, but what is well investigated in the experiment, and that is the core of my group, is how you organize the legal, closed chain from seed to end product in the field of cannabis. We very much like to look at the results of the experiment.
ParlaMint-NL_2019-11-05-eerstekamer-11.u127	Thank you. I call Mr Van Dijk.
ParlaMint-NL_2019-11-05-eerstekamer-11.u128	Mr. Chairman. In the first period, I have already made it clear that we are not going to support the legislative proposal. The bill takes a step towards normalising drug use, and this is not the responsibility of the SGP Group, not for hard drugs and not for soft drugs. Colleague De Boer I strongly recommend to dive into Jellinek's website. Then you'll soon find out why a hard separation between soft and hard drugs isn't the way she just did. We do not believe that with a very harsh enforcement we can solve the drug-related problem. At that point, I am a realist: like Minister Grapperhaus, I believe in original sin. I also have no need to put the SGP in a very tough position as a law-and-order party, because we are not buying anything for that either. Then what's the reason? We simply find it unacceptable to expose people, young or old, to drugs. In no way can a government accept this. On the contrary, a government that seeks the good for its citizens will go to extremes to curb drug trafficking and drug use. Therefore, regulation or legalisation of these resources is not acceptable to us because it promotes standardisation. The same goes for an experiment with that. It does not happen so often that the SGP calls on the government to follow the spirit of time, but it is precisely at this point that I feel that there is a shift in society towards tolerance towards drugs. The government's proposal is contrary to this, and that is not good. I would add that I find it really impossible for this experiment to lead to further deterioration of the scarce police capacity. If that cannot be ruled out, that should be enough reason not to start this experiment. Finally, to conclude positively: thank you for the commitment to continue to involve the organisation Brave Mothers in the experiment. Thank you.
ParlaMint-NL_2019-11-05-eerstekamer-11.u129	A few more questions have been asked. The question to the rulers is whether they are able to answer immediately. That's the case. I give the floor to Minister Bruins.
ParlaMint-NL_2019-11-05-eerstekamer-11.u130	Thank you. Thank you for today's debate. You know: it's always a bit more about the broad lines here than on the other side, but you're still curious which broad lines then jump out on such a day. It is interesting and also educational and it gives us the opportunity to place our own emphasis. In my first term, I have done so particularly in the area of prevention, because I think it is very important to emphasise this in this experiment. Two more questions were asked to me. One came from Mrs De Boer about continuing to monitor the international aspect and actively participating in the international debate on the experiment. Ms De Boer was a bit disappointed that I would not like to give a value assessment of developments in the international context. Maybe it's time we distinguished ourselves. I think it is important that we monitor developments in other countries during the experiment. That is what we have done, for example, with the experiences from Canada. If we can learn something from that, in this case on the way of packaging, I think we can use that kind of experience. With this you also immediately express a value judgment on some aspects, but not for all. I believe that the duration of the experiment is necessary to measure the effects now and to draw the political conclusion at the end of it. I would like to say to Mrs Bikker that the broad approach to prevention is indeed important. As far as these international effects are concerned, I want to map not only the upswing, but also the health consequences and unintended side effects. It's really about one thing at a time. Mrs Bikker asked to take a look at that THC level. I am not going to go any further than what I said in the first term. The scientific data on the effects and the risk of that THC content are not unambiguous. I tried to stress in the first term that, if there is a clear understanding of science, there is a hook through the AMvB to set a limit to the THC value. At the same time, I said: I honestly do not expect, in view of the discussions that I have had on this subject during the remainder of the period, that we will see so soon that this discussion will be concluded at that point, about capping, the maximum limit of that THC value. So I've been careful about that. The fact remains that the hook is in the AMvB. Mr President, thank you for the debate. So far.
ParlaMint-NL_2019-11-05-eerstekamer-11.u131	Thank you, Mr Grapperhaus.
ParlaMint-NL_2019-11-05-eerstekamer-11.u132	Mr. Chairman. I wrote down three questions. On Mr Janssen's question, I can promise that the letter sent in the spring will be broader than the points contained in the motion taken over. Let me give you the example of security and surveillance. I'll turn that off. That really is a point that affects our rule of law very much. The fact that we are now heavily guarded by prosecutors, judges and lawyers is something that is unheard of in my 35-year professional life in the rule of law. Mrs De Boer's question centred on tackling hard drugs and soft drugs and asked whether this would not be treated in the same way. I explained in my introduction, and I have come back to that a few times, that on the production and supply side are mainly those undermining serious criminals. In this respect, I would like to say to those of you who said 'yes, this has to do side by side with this subject and with the Rombouts motion'. It is, of course, precisely at that point, as has been said, linked to this undermining crime. I shall now come to the final point. Mr Meijer has rightly pointed out that the House of Representatives has the primacy of course when it comes to discussing budgetary law. I didn't want to suggest in any way that that broader offensive, that Deltaplan that I come up with, included structural money. Let us be very clear: this will not be discussed until spring. But I will also have written that to the House of Representatives, and I am going to extend that to the motion for a resolution, which is exactly what the broad offensive that we as a society need to deal with in the long term is. It is absolutely correct what Mr Meijer says: how it is then dealt with is primarily at the House of Representatives. Thank you very much, Mr President.
ParlaMint-NL_2019-11-05-eerstekamer-11.u133	Thank you.
ParlaMint-NL_2019-11-05-eerstekamer-11.u134	I'm here to deal with the bill. Does one of the Members wish to vote on the bill? That's the case. We shall then vote on it next week.
