ParlaMint-NL_2019-02-19-eerstekamer-11.u1	The next item is the continuation of the policy debate on the state of the rule of law.
ParlaMint-NL_2019-02-19-eerstekamer-11.u170	To begin with, I believe that if we succeed in bringing the number of cases that ultimately lead to a case before the courts with an added lawyer, which we can bring down, we will have an increase in them in the last 15 years. What I want to do is look at each jurisdiction to see if we can make such an overlap: whether we can move from the flat-rate system to a system of legal aid packages. What I see in front of me is that there are several legal aid packages for common problems: some lighter, others heavier. In the heavier will be the help of a lawyer, in a lighter perhaps not. Is it really strange, then, that the seeker in his choice, even in what he pays for his own contribution, will notice anything about it? Not in my eyes. Of course, you always have to take into account the capacity of people, but it is already happening in family matters and divorces. There we see that a few years ago a lower own contribution was introduced for when you follow a mediation process, and you have to pay a higher own contribution if you take on a lawyer. We can also see the immediate effect of this: this has led to a shift to slightly lighter forms of legal aid. I think that is a positive development in itself.
ParlaMint-NL_2019-02-19-eerstekamer-11.u171	Mr. Backer.
ParlaMint-NL_2019-02-19-eerstekamer-11.u172	Finally, I would like to say a few words about this. I was just thinking about the comparison with the care. But I actually understand what's going on here: a doctor's assistant, for which you also need an HBO training these days, will decide which route the assistant will follow. So it also decides whether it is a legal question. If so, then the assistant questioner will go to what you call a "expensive specialist," but we have already taken that into account. I understand that this is the view. In this context, I would like to hear the Minister's opinion on the motion I tabled, because this is really a different route from why I am asking in that motion. This must simply be based on a legal basis.
ParlaMint-NL_2019-02-19-eerstekamer-11.u173	I can go straight to the counseling on that motion. I can leave the judgement to the Chamber, because a lot of what we are doing includes strengthening the first line and that routing can simply be done within the current legal frameworks. So we are going to do a number of things there. We have said, however, that we may want to deal with a number of issues which cannot be dealt with within the legal framework with legal aid packages in certain jurisdictions. We would then like to do so on the basis of the Experiment Law. By the way, we are just working with AMvBs and I always assume that we are going to do that kind of thing with the support of both Chambers. The final conclusion will be a formal legislative amendment. Then I will return to you, so that you may give your blessing on that. In the meantime, I have answered many questions in interruptions. So that's gonna save you a lot. Mrs Van Bijsterveld asked if there was anything we could do to remove the separation between social and commercial law. That is not something we have imposed, it is something that has grown so much in the sector. I myself am in favour of law firms spreading a little more, so that you are not 100% dependent on subsidised legal aid, but that you are also bringing in a part of it commercially. My letter says: I also want to sit down with the commercial agencies to see if there can be a little more solidarity in this sector, where the large agencies which are expensive and work at high rates can also say that they want to offer something to the social lawyer from their social responsibility. I am thinking, for example, of a fine example in Rotterdam, where Houthoff trains people. That's what I'm gonna do. Two further questions have been put by Mrs Strik, who are somewhat more in the area of Mr Harbers, but relate to legal aid. That is, first of all, a question on asylum matters. She asked about the impact assessment. In the coalition agreement we announced a number of measures. In accordance with the adopted Strike motion of 18 December, the consequences of these measures will be determined for both the case law and the IND. That research will be completed this spring. In any event, the request of the First Chamber has been met. This will then lead to an amendment of the Legal Assistance Decision. This amendment will also be consulted and put in place. Then there will also be the possibility for the legal profession to provide views on this. Then there is Mrs Strik's question about the asylum procedure and reception in Aruba and Curaçao, to which I have just received the answer. The protection of refugees is a matter of country. This means that the countries themselves are responsible for this, but the countries within the Kingdom are bound by the ECHR. The Netherlands has now provided support to both countries through mutual work visits. In the short term, the government is looking at how it can respond to requests for assistance recently made by the countries towards the Netherlands. Mr. Chairman. Then I wanted to continue digitizing. Perhaps that could be a little shorter, because there are actually two main themes to distinguish. First of all, digitalisation is, of course, very broad. As with internationalisation, we have a coordinating director for international affairs, the Foreign Minister, but you can see that every colleague and every department is working on it. That's no different with digitalization. Nevertheless, Mrs Duthler said: thank you for the overview of all ongoing investigations, but I actually miss one thing, namely an exploration of or a vision of what she called beautiful "perception control," the phenomenon where information, the news that is being given to us is increasingly determined by algorithms and filters, and how we are being nudged in subtle ways. Furthermore, I call a phenomenon like micro targeting, aimed at behavioral influence and information filtering or manipulation, if you want to explain it negatively. You could say that's different from the traditional way of news garaging, or the traditional way in which producers of products try to approach you with ads. Because it's actually going much more subtle and it's much more focused on individuals. It can also affect fundamental values and freedoms. Think of the principle of equality, the principle of the free media, the sovereignty of the individual. I am prepared, because it insists on this, to identify the effects of such developments and to look at the opportunities, but above all at the risks they pose for specific values and individual freedoms. If you then identify risks, what should you possibly do in the future to mitigate them, so to see if you can do something about them in terms of rules or government supervision. Very briefly, I think that on Mrs Duthler's extensive speech, perhaps in essence, that is what I can do on offer.
ParlaMint-NL_2019-02-19-eerstekamer-11.u174	I thank the Minister for this commitment, as I take it. Can the Minister also indicate that he is also involved in the international dimension, so not only is he looking at what is happening in the Netherlands or Europe, but also worldwide? Is he prepared to include the position of the digital platforms and quasi-monopolys, possibly in cooperation with other ministers? I see the Minister nodding.
ParlaMint-NL_2019-02-19-eerstekamer-11.u175	For the Acts: the answer is yes, because of course this is a phenomenon that does not end at the borders of the Netherlands and is inherently international.
ParlaMint-NL_2019-02-19-eerstekamer-11.u176	Thank you very much.
ParlaMint-NL_2019-02-19-eerstekamer-11.u177	Then I would like to zoom in more specifically on a number of questions that have been asked about Artificial Intelligence (AI), focusing on justice. Mrs Baay asked how transparency would be secured in the future, if there were any comments on the basis of AI. I don't think we've got that far for a while. Apart from that, I do not think it would be desirable for public justice to make it fully dependent on computers and AI. One of the things we do now, for example with the experiments in Den Bosch, is to see how AI can support judges in their work and gain experience, to see what the odds and risks are and to learn from them. With regard to private dispute resolution, where AI is increasingly being used, we are looking at whether we can achieve certification at European level, to give more guidance on the quality of systems that are becoming increasingly available on the market. Mrs Baay also asked about the future financing of such developments. It is still so in its infancy that I do not suspect that this already has a huge impact on the budget of justice. That may be different in the future. Then we must take it back into the price negotiations. I do not think this is going to play a very important role in this round. Then a little bit wider. Ms Strik asked what is being done to facilitate new technologies and how to prevent, for example, errors in the way algorithms work or AI is being built up. For justice, we're working on living labs, as it's called. I gave a number of examples in the letter of 19 December. There too it is experimentally, step by step, trying things out, to see how you do it in a cautious way. We are also learning more and more about what we should, so to speak, legally guarantee. I come this spring with a letter to give a look at how I look at possible legal safeguards in the field of working with big data. Mrs Baay's question concerned transparency and testability of algorithms. The principle is that decision-making by an administrative body must always be subject to judicial review. Then it depends on whether someone goes to court to have a test done, but in principle any government decision must be able to pass that test, so there is basically one measure that we use. There's a lot of algorithms working in a lot of places. We're also working on some sort of inventory. Soon the challenge will be: if an algorithm is established, then it is up to the judge's knowledge and ability to understand it properly, to see if a decision based on algorithms has been made in a good way. What's much more exciting is when those algorithms start learning themselves, when certain forms of machine learning arise, which will also change that algorithm over time. Then we will have to come up with something that will always enable us to figure out how this could have happened in a government decision at the time. That's exciting for a while. Now you see that this kind of machine learning happens much less than the classic form of algorithms, with which, for example, the Tax Administration, the Social Services and other public administrations work. All in all I have a few varia, themes I couldn't accommodate in the three big blocks. That is, first of all, Mr Dercksen's question about the extension of certain rights for victims. The bill goes for advice to the Council of State this spring, so I hope to be able to send it to the House of Representatives later this year. Ms Strik asked about the use of delegation bases, in particular for the timely termination or implementation of EU directives. It is always my intention to do so in such a way that there is sufficient time to discuss it. As far as I am concerned, the primacy of the legislator remains a guideline. There can always be discussion about what you do in the formal legislation and what you delegate, also because there is sometimes a need to keep legislation agile and flexible. I think this will always be the subject of discussion in Parliament. If we have a legislative proposal, we can have the discussion about its desirability here too. Mr. Chairman. I think I have answered all the questions, but I deliberately say that a little slowly.
ParlaMint-NL_2019-02-19-eerstekamer-11.u178	That seems to me, looking at the reactions of some colleagues, a bit premature, but we are going to hear it. Mrs. Vlietstra.
ParlaMint-NL_2019-02-19-eerstekamer-11.u179	I'm sorry, but one question I haven't answered. We have talked about the sharp decline in the number of cases. I asked the Minister if he had any insight into the causes. I have mentioned a number of possible causes. Maybe the Minister doesn't have that insight. Then I would like the undertaking that he will do more research, because I think it is important to have that insight, also in view of the new funding system.
ParlaMint-NL_2019-02-19-eerstekamer-11.u180	Sure. The decline in the number of cases varies a little from one jurisdiction to another, for example in civil and administrative matters. In civil matters, however, there is a feeling that it is partly due to greater payment morals and a attracting economy, which makes it less legal, but also to an incentive introduced a year ago, with the increase in registry fees, especially for small cases, which is reflected in collection. In order to offer some relief there, I have proposed to the House that the Registry fees for the lower category be reduced. If you're asking me where that fall in administrative law came from, I can bring it less home. We also see areas, such as government issues, where there is a significant increase. Perhaps I can say to Mrs Vlietstra that if we start talking about the new price negotiations and it is felt by the courts that we need to know more about them, we will find out where it comes from, because that may be relevant to the agreements we make.
ParlaMint-NL_2019-02-19-eerstekamer-11.u181	Can I come back briefly to the social attorney? In my term, I had expressed concerns about the possible disappearance of the offer. The Minister said between his nose and his lips: that is not going to happen, because we need it very much. However, so far nothing has happened with the recommendations of the Van der Meer Committee, which clearly indicated that there was serious delay in maintaining income. The goal is scale 12 of the government officials, but they are far from achieving that. I haven't heard anything yet about how this is being dealt with. Otherwise, I'm really afraid the offer's gonna go down a lot.
ParlaMint-NL_2019-02-19-eerstekamer-11.u182	My ambition is also to bring that up to level. When I look at the numbers of active lawyers in social law, I do not immediately fear that it will lead to shortages. What I want to do is, by jurisdiction, along with law firms, see if we can make a change. For example, I would like to see whether I can bring together collective social agencies or other providers of legal aid packages that are wider than just the legal part in them. If we succeed, we can buy those legal aid packages more widely. This also has advantages for the lawyer; not only that you can come up with perhaps better funding for lawyers than is currently the case, but also to be more sure about the amount of work you get your way. And we can send a lot more to who the providers are with whom we like to engage. So that is more of a quality aspect.
ParlaMint-NL_2019-02-19-eerstekamer-11.u183	I would like to thank both directors for their detailed reply.
ParlaMint-NL_2019-02-19-eerstekamer-11.u184	I propose that we vote on the motions on 5 March, including the two motions previously tabled.
