ParlaMint-NL_2019-12-11-tweedekamer-11.u1	The next item is the Act on Language and Accessibility.
ParlaMint-NL_2019-12-11-tweedekamer-11.u175	Rounding up.
ParlaMint-NL_2019-12-11-tweedekamer-11.u176	I wonder. I would like to mention a second scenario. Imagine: tomorrow, a technical university says she's going to set up a numerus fixus on an ICT course. In this Chamber, people will then immediately start to rattle about it, you can say so. Oral questions, motions for resolutions: the Minister must use her power to counter this. How do we prevent prior approval from being politicised in this Chamber? That's something I don't think we'd want. You must be able to check whether something is satisfactory or not on the basis of objective criteria. Doesn't the Minister see that risk?
ParlaMint-NL_2019-12-11-tweedekamer-11.u177	Yeah, and that's why we have a committee for that, which gets criteria in a ministerial arrangement. Yeah, this is gonna happen. But then the Minister must also have a straight back, I think, and that is what you should expect from me.
ParlaMint-NL_2019-12-11-tweedekamer-11.u178	As far as accessibility is concerned, I still have a question about the workload. We can see it's already very high. We see the declarations made this week from WoinAction. I would like to hear from the Minister whether she will also consider this high workload when assessing whether it is not time for such a numerus fixus. In other words, what is the need before the Minister takes on either additional funding or the establishment of such a numerus fixus?
ParlaMint-NL_2019-12-11-tweedekamer-11.u179	It's not like I'm going to set up a numerus fixus on my own. It is the institution that requires this, given the lack of physical capacity, lack of capacity in terms of teachers or excessive workload. Then we're gonna test that. There is a committee which weighs that up on the basis of a ministerial arrangement. Of course, irresponsible workload is one of the criteria.
ParlaMint-NL_2019-12-11-tweedekamer-11.u180	Rounding up.
ParlaMint-NL_2019-12-11-tweedekamer-11.u181	That workload is already very high, as we have seen this week. I believe that the numerator of the declarations at the inspection is already above 300. How does the Minister view this in relation to what we are talking about? Is this one of the harsh criteria that should be taken into account? Or is the situation already such that the Minister says that we are not really going to make it anymore? Should there indeed be talk of extra money, since the need is already so high that there are hundreds of declarations already?
ParlaMint-NL_2019-12-11-tweedekamer-11.u182	I know where Mrs Van den Hul is going with this. But once again, it is the institutions that apply for a numerus fixus, considering whether they can guarantee the quality of education in the light of the notifications. Quality of education is always a combination of factors. We will lay down that weighting framework in a ministerial arrangement.
ParlaMint-NL_2019-12-11-tweedekamer-11.u183	Thank you. Then we go to block three, the talent strategy. Can the Minister focus on 6.30 p.m.? I'll keep an eye on the clock. Then it's all just gonna work out.
ParlaMint-NL_2019-12-11-tweedekamer-11.u184	Mr President, I will try to do this very quickly. Talent strategy, as well as the offensive knowledge strategy requested by Mr Wiersma, is part of the strategic agenda. I say a few things about that. Mr Paternotte asked me about the partnerships with British universities. Yes, I say to him, the United Kingdom is a very important partner for us when it comes to cooperation in science, for example. For example, in Horizon Europe, we have incredibly many partnerships with the British. It would be nice if cooperation with British universities would take place more. It is also for this reason that in January I will be talking to British knowledge institutions and British colleagues in London about how we can ensure this cooperation in the future. This of course within the frameworks we agree on for Brexit. So yes, I see that importance and I'm busy working on it. Mr Wiersma had a question about the offensive knowledge strategy. In my answer, I also take the question of what we are doing to increase the stay rate. Both are important. I agree with everyone who says that the stay rate can still be improved, especially for European students, because for non-European students this rate is still around 40%. This improvement must also be part of the talent strategy. Early next year, so in Q1, I'd like to refer it to your Chamber. In the meantime, I am busy talking to the colleagues of EZK, BZ and BuHa-OS to see how we can work well together on this issue. To reassure Mrs Van den Hul: yes, we also work well with Minister Kaag to see if we are sending on the same things. This also plays a role in the entire discussion around the Neso offices. In the ibo it has been said that you should have a much more integrated knowledge strategy. You can see that in international knowledge missions, in the big missions that the Netherlands has, we simply miss opportunities, because knowledge is not well integrated in them. For example, we do have innovation attachés at the embassies, but we do not have knowledge attachés. I want what we all find so valuable from these Neso offices to be integrated into the Dutch missions, into our foreign policy and into that strategy. So we can see very well which countries we want to work with when it comes to knowledge, something Mr Wiersma is right to press. How do we work on reciprocity? How do we ensure that we focus on talent that really complements the Dutch knowledge policy? With you, I think it is very important that we operate smarter. I have a very strong feeling that we are leaving opportunities in there because of the way it is organized now. Hence my proposal. I very much regret that some people have given the impression that what we are doing with the Neso offices would be a cut-back. It is not that, I say very emphatically. Above all, we want to organise things differently and better. We will do that very carefully. We want to ensure that we preserve what is happening now, but that we better integrate it into our entire international knowledge policy. This is something that I think we should do much better anyway. Mr Wiersma has made a really good start on this. We need to think better about which countries we want to cooperate with in the fields of higher education and knowledge exchange, scientific cooperation. Yes, and preferably with reciprocity. That would be very good. Then it's really gonna be a collaboration. I really think we should hurry up on this. So at the beginning of next year, I will come up with that knowledge strategy, in which we will work out how to shape knowledge and talent missions in a good way, preferably on the basis of reciprocity. Mr De Graaf, as well as others, raised the question of how to safeguard safety. We all know the recent examples that show that you sometimes have to be careful with that reciprocity. We're going to do that through the broad knowledge regulation that's coming. It must ensure that we shape cooperation in such a way that we do not run unnecessary and undesirable risks, for example in the field of espionage and the leaking of knowledge. So you will have both next spring: an offensive knowledge strategy, integrated into our foreign policy, preferably based on reciprocity, I say to Mr Wiersma, together with a broad knowledge regime. In addition, some of you have rightly pointed out, in the context of talent strategy, the unbalanced brain circulation in Europe, as we call it. Countries like the Netherlands receive many European students, while other European countries really suffer from too many departing students. The ESC has also pointed this out. I am not going to say at the moment that you have to solve this with money, because countries that suffer from a brain drain will say that their economic damage is much greater than what the Netherlands pays for the training of those students, who also partly make a big contribution to the Dutch economy. With the incoming Croatian Presidency, they are on the other side of the spectrum, I have agreed that we are going to have a good discussion about this in Europe. They will set this up, and I will support them in it. It is also not a good thing for the Union as a whole that this is unbalanced. We also need to see how we can ensure that countries invest more in their knowledge building, in building their universities and in scientific quality. That is actually the innovation strategy that the Netherlands has around the MFF. So yes, we'll bet on that. Hopefully we will also be able to encourage the Commission to come forward with concrete proposals on this issue. I will report to you on this, as we report to the Chamber at every European Council on the agenda and the discussions that have taken place. Mr Bishop had a question about the status of referees. If a university is a referee, does that mean that it has to admit all non-EEA students? Does that even fit in with selective invitation? The principle of funded higher education is that it is accessible and that all students who meet the pre-training requirements or the further pre-training requirements that are required can be admitted to the training. Non-EEA students meeting those admission requirements should therefore be admitted. Whether you're a university referee or not, it doesn't matter at that point. We have arranged it in the WHW in such a way that education to non-EEA students in the Netherlands is part of the law. It's a public task. It wouldn't be my preference, but if you wanted to be able to distinguish between different nationalities and non-EEA students, you really should get it out of the public service. Then it becomes a commercial activity. Then we really need to organise higher education in the Netherlands quite differently. There were also questions about the institution tuition fees in terms of accessibility. In order to avoid a misunderstanding: there is now no maximum amount of institutional tuition fees. However, at the request of the Chamber, if I am correct, we said that a motion by Mr Van Meenen was intended to limit the amount of institutional tuition money for maintaining accessibility in the Netherlands. That must not exceed the real costs. In addition, I think that you should make sure for the non-EEA students that we do not... that it is not a burden for the other students. So we have said: you have to ask at least that, but there is no maximum. There isn't now. Moreover, we can see that different institutions are quite prudent in dealing with this. I tasted the suggestion in the discussion as if not setting a maximum is new, but it is not. In that context, Mr Wiersma asked whether there was room for customisation in the area of institutional tuition fees. I also tasted this question with Mrs Van den Hul and Mrs Westerveld, for example in relation to students from developing countries or non-EEA students with a very tight scholarship. It is not possible to differentiate on the basis of nationality. That is discrimination, and we do not want it. Distinction can only be achieved if there is an objective and reasonable basis for justice. Of course, there are also grants for many groups of students to facilitate them to study in the Netherlands, but the institution tuition fee for non-EEA students is just one rate per programme. It can, of course, be differentiated by training. It's okay. Mr Wiersma asked whether what was happening there could be monitored. Yeah, we're running this into the annual monitor policies. Moreover, I expect the impact of this measure to be limited, because we already see institutions dealing with this very prudently. All rates are now in fact around the maximum, which is therefore the minimum for non-EEA students. In this context, Mr Paternotte asked to see whether these funds really benefit higher education and research. The institution tuition fees are public money and are part of the institution's lump sum. So we cannot see exactly what it is being spent on, but it must be spent in the public domain. That has been established, because this education is part of the public task. Mrs Van den Hul asked: what is the Minister doing to give students from low-wage countries the opportunity to study here? There are a number of scholarship programmes for this, such as the Holland Scolarship and the Sino-Dutch Scolarship. Last year, around 800 students from outside the EEA were given the opportunity to study in the Netherlands with the Holland Scolarship. In addition, Nuffic also manages a number of development cooperation programmes and grants for the Ministry of Foreign Affairs, such as the Orange Knowledge Programme, the MENA Scolarship Programme and StuNed. I understand she wants more of those scholarships. Then there will have to be funding underneath, because within the current financial area, the maximum use is now being made of these grants.
ParlaMint-NL_2019-12-11-tweedekamer-11.u185	Is this the end of the block already?
ParlaMint-NL_2019-12-11-tweedekamer-11.u186	I still have a very small point in this block. It is not a small point, but it is a few questions about its own contribution. What we make possible is that institutions can charge about €100 to a student, indeed in order to prevent foreign students from registering with many institutions. Those institutions must all bear the cost of doing so, and in the end the student chooses one of those institutions. So we also do that to make it clear to that student that he has to make it clear which institution he chooses. We found €100 a reasonable amount for that. In addition, your own contribution can be requested for the language test. If your initial training does not show that you meet the language requirements, a language test can be requested. Why do we think it is reasonable to ask for a contribution to the costs here? That is also because it is very common internationally to do so. What we're gonna get is just test tourism. Then people come here free of charge to do their test to prove that they meet the language level and then study elsewhere. I thought this was reasonable in that sense, also because we are not doing anything here which is very unusual in other institutions in the neighbouring countries. I agree with you that institutions have the mandate to keep these costs as low as possible. That's it.
ParlaMint-NL_2019-12-11-tweedekamer-11.u187	Thank you. I shall look at Mr Paternotte first, because he was the first to answer his question. Go ahead.
ParlaMint-NL_2019-12-11-tweedekamer-11.u188	I have a question for clarification. At some point, the minister talked about the institution tuition fees and said: it has to be in the lump sum. That's clear. Only this law allows tuition fees to arise for non-EEA students who will be much higher. That's not unthinkable. The point is that those non-EEA students in a formal sense also pay a fee for their studies and no tuition fees within the meaning of the law as we do for EEA students. The question to the Minister is whether the whole rate, even if it is €50,000, is subject to exactly the same conditions as the institution tuition fee, i.e. the lump sum. Is she also going to monitor the use of this money for the benefit of education?
ParlaMint-NL_2019-12-11-tweedekamer-11.u189	Yes, look, institutions have revenue, even when it comes to non-EEA students, which fall within their public remit. Then that money should remain in the public domain. In addition, many institutions have a private role, for example when it comes to contract education. They do private education. That is allowed to remain within that domain, but it should include a reasonable Chinese Wall. That is also the reason why you cannot very much select non-EEA students within the public domain in the sense of: that nationality is and is not. Then it must be in the private domain. Then you really have to change a lot in this system. But if a student pays tuition fees in the public domain, even if that is a high institutional tuition fee, then that money must remain in the public domain.
ParlaMint-NL_2019-12-11-tweedekamer-11.u190	Rounding up. Doubt. No? Then I would like to give Mrs Van den Hul the opportunity.
ParlaMint-NL_2019-12-11-tweedekamer-11.u191	We're running off in this room. I would like to come back to the thresholds for students from low-income countries. The Minister says very easily: then Mrs Van den Hul must provide more money for more grants. But does she agree with us that the measures proposed in this law actually raise the threshold for students from low-income countries? After all, we are going to talk about a minimum institution tuition fee for students from non-EEA countries. How does that relate to that low threshold?
ParlaMint-NL_2019-12-11-tweedekamer-11.u192	Mrs van den Hul cannot just say that, because that would mean that she can look into a glass ball and see how tuition fees are developing. What we see now is that they're all moving reasonably around that threshold. Why have we now made this distinction? Precisely because the wish of the Chamber was to ensure that the institution tuition fees for Dutch students do not constitute an unnecessary threshold. That is why we have said: at most only what it costs. We do not think it is justified to impose the same ceiling on non-EEA students. So that's the minimum. But neither you nor I can predict exactly what institutions are going to do there. Yeah, we'll monitor that. By the way, students with a narrow scholarship sometimes come on invitation. That's what special scholarships are for. Many universities also have special funds for this, which they say: we find it valuable to our community that we have these students, so we are meeting them there. But you can't differentiate between nationalities in institution tuition fees. If non-EEA students who have a very large scholarship are prepared to pay very high rates in the United States or the United Kingdom, I do not think it is justified that we should say in the Netherlands: we make it very cheap here. I think it is justified to say to those people: you pay your own costs and perhaps even more.
ParlaMint-NL_2019-12-11-tweedekamer-11.u193	Rounding up.
ParlaMint-NL_2019-12-11-tweedekamer-11.u194	That is precisely where we are concerned, namely that we are going to see an ivy League-setting of our Dutch institutions; I have just mentioned it as "Oxford aan de Maas" for a while. How does this relate to access for students from those low-income countries? I am still not reassured, and not at all when we hear that students are going to have to pay for those language tests and for that diploma evaluation. That sounds small, but that's already a big step for some students. I find it a little too easy for the Minister to say: there are scholarship programmes for that. Or: then they have to arrange alternative financing in a different way. I believe that these concerns are justified.
ParlaMint-NL_2019-12-11-tweedekamer-11.u195	Mrs van den Hul, that ceiling is not here now either. There is no reason to assume that institutions would now suddenly apply much higher rates than before, because we have set a certain ceiling for the Dutch students who are going to pay institutional tuition fees. But even now, in the current situation, institutions for non-EEA students can, if they like, ask for very high institutional tuition fees. But they do not, because I do trust our institutions to be prudent about this, because they look very closely at the diversity of their influx. With your comment on 'Oxford on the Meuse', you really make a caricature of the responsibility that institutions now take to deal with it prudently. If you compare the Dutch rates with those in other countries then you cannot really say that it is very expensive here. You could even say that a lot of these students are coming here, because we provide very good quality education at a very, very reasonable rate.
ParlaMint-NL_2019-12-11-tweedekamer-11.u196	I thought Mrs Westerveld was first. Then Mr Wiersma.
ParlaMint-NL_2019-12-11-tweedekamer-11.u197	In any case, my question concerns this point. The Minister talks about the responsibility of the institutions, but at the same time there will be a legal minimum. That's not consistent, is it? Why can't the Minister take that legal minimum out of this proposal, if we still rely on the responsibility of these institutions?
ParlaMint-NL_2019-12-11-tweedekamer-11.u198	I also have a responsibility to the Dutch taxpayer. I think it is reasonable to ask non-EEA students to pay at least what it costs. I don't think that's such a crazy idea at all. Otherwise, we say to the Dutch taxpayer: you have to pay extra for a very wealthy and purchasing power Korean, Chinese or Indian student coming here to study. They receive very high quality education at a very reasonable rate. I therefore consider it very reasonable to set a minimum. I believe that, given my responsibility for the efficient use of public funds, this is a very reasonable consideration.
ParlaMint-NL_2019-12-11-tweedekamer-11.u199	Finalizing, Mrs Westerveld.
ParlaMint-NL_2019-12-11-tweedekamer-11.u200	We also talked about what non-EEA students give us later. So I do not think that comparison is entirely correct, but that is not what my question is about. Our concern lies precisely in the fact that we, too, would like students from low-wage countries to come and study here. In my contribution, I mentioned as an example the students from Bangladesh, who might take Dutch knowledge with them. I would like to ask the Minister how her policy relates to the policies of her colleague, her own party, for development cooperation. It makes grants available, especially for students from other countries, in order to be able to come here, to gain knowledge that they can sometimes take with them to their own countries.
ParlaMint-NL_2019-12-11-tweedekamer-11.u201	That doesn't bite at all. In the international knowledge strategy, which I will send to you in the coming spring and for which I am working with Minister Kaag, we will also explain this further. Because yes, I think it is reasonable to ask this of non-EEA students, who can pay very well and who sometimes think Dutch tuition is a bit of a joke. At the same time, I agree with you that we should also be aware of the following. It is indeed of added value for the Netherlands when we have students in Wageningen from Bangladesh, for example, who take that knowledge to their country, which is very good for the export of our knowledge. But for both of us, we have eyes. For one thing, we have that tuition money and the other we regulate through scholarships. Sometimes universities have funds for that, too. In the international knowledge strategy, which I also agree with Mr Kaag, we have both eyes.
ParlaMint-NL_2019-12-11-tweedekamer-11.u202	I hear the promise that this point will also be taken into account in this strategy. That sounds good to me. I have a question about the Neso offices. That was a point from among others the CDA, but also the PvdA asked for it. My question to the Minister is whether it is not wise to start with a proper evaluation. There's some unrest about it, including those offices. Let's do an evaluation before we make that final decision.
ParlaMint-NL_2019-12-11-tweedekamer-11.u203	That decision has already been taken, also on the basis of ibo Internationalisation. We are now going to look very carefully at what valuable knowledge has been built up there, because I understand the desire to ensure that we retain that knowledge and take it into account in this integration into foreign policy. But the decision has already been made.
ParlaMint-NL_2019-12-11-tweedekamer-11.u204	In conclusion, Mr Wiersma.
ParlaMint-NL_2019-12-11-tweedekamer-11.u205	Okay, well, let me just say that I hear from the field that there are concerns about how that decision was made. As a Member of Parliament, I would have liked to see an evaluation of that. I do not rule out the fact that I would still like to see it. So I ask the Minister if there is room for evaluation.
ParlaMint-NL_2019-12-11-tweedekamer-11.u206	That actually happened in the ibo. That's one of the things the ibo did. I do not think it is appropriate now to say that we are going to stop all this again. Mr Wiersma asks me to come up with an offensive knowledge strategy as soon as possible. I'm working on that. That's what this part of is. It is one of two: we would then start to evaluate and delay it again, but my whole strategy is precisely to be able to pursue integrated policies here and to get a grip on them. I want to get a grip on where we're going to recruit and where we're going to work together on knowledge, higher education and scientific research. Again, it's not a cutback. We're just gonna use the same resources differently. I understand very well that the Nufic would have preferred to have seen that differently, and I would have liked that if I were that organisation, but I really think that we are making a move here in the smarter organisation of the knowledge strategy as part of Dutch foreign policy, because it has been lacking in recent times.
ParlaMint-NL_2019-12-11-tweedekamer-11.u207	I would ask you to move on to the other block now and, if possible, to deal with it within five minutes.
ParlaMint-NL_2019-12-11-tweedekamer-11.u208	Yes, Mr. Chairman, I'll do my best. Mr Paternotte asked me if I see any opportunities for international students to participate in participation. I can assure you that this is happening on many points. So yes, that succeeds, and in that sense too, the offer that universities must have to have to give foreign students the opportunity to learn Dutch is very present. Mr Wiersma had asked how I deal with the adopted Tielen motion on one entry point for international students. Mrs Tielen really had a point that could improve the registration of international students and that there could be more clarity, for example in administrative procedures. DUO, Studielink and the institutions are currently exploring the possibilities to improve that process. One login point is already there. That's Studielink. In the spring we come back to the knowledge strategy. This must also be part of the knowledge strategy. It's actually the red carpet explaining for students you want. Mr Wiersma also asked: are we prepared to open up our system to foreign universities? Foreign universities can already operate in the Netherlands, but I am not going to open up the funded system. I do not think Mr Wiersma means that either. But they can of course be accredited here and offer an attractive offer. This can also help, for example, to promote cooperation with Dutch universities in the field of education and research. Mr. Chairman. A number of Members, including Mr Wiersma, but I also think Mrs Van den Hul and Mrs Westerveld, said that internationalisation sometimes also affects borders because of housing in cities. You're absolutely right about that. The national action plan for student accommodation under the responsibility of the Minister for Foreign Affairs is also really trying to improve this. That is not going to work overnight, because we all know how complicated this housing market is in the big cities. We also believe that institutions should cooperate better with municipalities. That happens well in a number of places, but it can really be improved. I also think that as an institution you have the responsibility of choosing internationalisation and English-language courses, which you know are going to attract international students, to talk to the municipality about how to house them. I know from my past as alderman at least that you actually had that kind of conversation and also got you to act on it. Here's real room for improvement, I say with you. The Minister for Foreign Affairs will also regularly report to you on this in the implementation of the Action Plan. Mr Paternotte asked what the future of Horizon 2020 was like. That one looks good. We have now also reached a partial agreement in the Council in which the Netherlands sees almost all its wishes realised. We considered it particularly important that excellence and open science are really the criteria. The Academy and NWO also play a role in the discussions we are having, for example, on the question of what are we doing in Europe when it comes to collecting European funds? We cannot say it enough: Horizon Europe is for the Netherlands really the programme where we are big, big net earner. So let us continue to focus on this within the European budget. Mr. Chairman. Mrs Westerveld had the question: what specific problems will this bill solve? I believe that I explained at the beginning that this is the balancing between maintaining the value of internationalisation and maintaining accessibility, equality of opportunity and quality of education. How does this law relate to the Compatibility Act? I understand that Mrs Westerveld is not entirely satisfied with the answer, but we gave that answer in the written preparation. Mr President, I think I have now had all the questions, but I have not yet responded to all the amendments.
ParlaMint-NL_2019-12-11-tweedekamer-11.u209	That's right. We still have the amendments to the Nos. 23, 24, 25, 26 and 27 open. As far as I am concerned, they may also be taken in the second term, unless you have them at hand.
ParlaMint-NL_2019-12-11-tweedekamer-11.u210	I've got them right here. On the amendment to item No. 2 of the motion for a resolution (Doc. 23 I have had it in the debate. That was the amendment we were looking for. This was about anchoring Dutch language development in the accreditation framework. I have explained to Mr Van der Molen that I find that really problematic, so I would advise against this amendment. The amendment in part No. 24 by Mr Van der Molen, on the preliminary procedure for the language proficiency standard of Dutch students, is judged Chamber. The amendment in part No. 26 by Mrs Westerveld, I advise. This is about regulating the level of language control not in the AMvB, but in the law. I made another choice. That's what I stand for. I don't recommend it because I think it's really more careful through the AMvB. Finally, Mr President. I do not think Mr Paternotte was entirely satisfied with the fact that I betrayed his amendment. He asked: what is the difference with the selection in the master phase? In the master phase, institutions have much more freedoms to set admission requirements. Institutions will also have much more scope to impose capacity constraints as long as the selection criteria are clearly defined in the OER and at least two qualitative criteria are used. That is where I think it is indeed more decentralized, because there are more possibilities. But for the bachelor, I think it is really important that this can be managed at institutional level, so my opinion on your amendment is therefore important. Mr President, I think I'm through.
ParlaMint-NL_2019-12-11-tweedekamer-11.u211	I think we are still missing an appreciation of the amendments to the documents. 25 and 27, but I would ask you to take them with you in the second term. I see that Mr Van der Molen has another question. Go ahead.
ParlaMint-NL_2019-12-11-tweedekamer-11.u212	We have just had a discussion on the amendment to item No. 28. This is indeed about accreditation and the test of foreign language. The amendment in part No. 23 has a different scope, namely that accreditation framework. So if the Minister can also take a specific look at this in the second term, we have treated all the amendments neatly.
ParlaMint-NL_2019-12-11-tweedekamer-11.u213	I will.
ParlaMint-NL_2019-12-11-tweedekamer-11.u214	Thank you very much. Then we came to the end of the first term on the part of the cabinet. We'll start with the second term. I would like to ask you if you would confine yourself to merely reading out the motions. I shall then be the first to give the floor to Mr Paternotte. Go ahead.
ParlaMint-NL_2019-12-11-tweedekamer-11.u215	Thank you, Mr President, and thank you for your hard work this afternoon. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Brexit leads to great uncertainty in higher education and science;]] [[Whereas close British-Dutch cooperation is of great value for the exchange of students and researchers and accelerates scientific development;]] [[calls on the Government to identify and actively promote partnerships between Dutch and British universities of applied sciences and universities,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Paternotte and Mr Wiersma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35282-29]]
ParlaMint-NL_2019-12-11-tweedekamer-11.u216	Second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Netherlands has a shortage of talents in many fields of expertise from teachers to IT professionals in the coming years;]] [[Whereas universities, colleges, student organisations and municipalities until 2016 in the Make it in the Netherlands programme! working together to recruit and bind international talents;]] [[calls on the Government to develop an action plan to increase the stay rate of international students in the Netherlands after graduation, and to report on this to the Chamber for the second quarter of 2020,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Paternotte and Mr Bruins. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35282-30]]
ParlaMint-NL_2019-12-11-tweedekamer-11.u217	The final motion, Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that three quarters of the academic master's programmes are English speaking;]] [[calls on the Government to ask colleges and universities to develop optional activities for students who wish to improve their English language skills and to take stock of the existing offer,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Paternotte and Mr Van den Hul. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35282-31]]
ParlaMint-NL_2019-12-11-tweedekamer-11.u218	Mr President, thank you. Thank you to the Minister, the President and all the support. I would just like to make two comments on the amendments. On the amendment to item No. 2 of the motion for a resolution (Doc. 15 The Minister said that she does not want to do a comprehensive front, but would like to offer the Chamber the opportunity to provide input. If we can do that in speed and we can guarantee that the Chamber can really do that, and if the Chamber also has the opportunity to apply for a VSO, I'm fine with that. Then I am prepared to accept the amendment to item No. 15. If the Minister agrees to do so, she has actually already promised it. I am therefore prepared to do so. Thank you for the amendment on item No. 16 on the emergency measure. There will be another amendment on the cap on the number of non-EEA students. The Minister has already responded to that, but not yet here. This amendment follows and I would ask the Minister to reply in writing if necessary. Then there are the motions, Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Economic and Social Council points to a possible disproportionate burden on the budget of our education system by EU students in training in the Netherlands with little added value for our economy, or coming from countries with a low stay rate;]] [[Considering that the Croatian Presidency, starting on 1 January 2020, wishes to pay particular attention to brain circulation;]] [[calls on the government to actively seek out like-minded countries, to explore opportunities in Europe to reach further agreements on student mobility, and to encourage the European Commission to come forward with proposals, and to provide a feedback to the House of Representatives in spring 2020,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Wiersma and Mr Van der Molen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35282-32]]
ParlaMint-NL_2019-12-11-tweedekamer-11.u219	I wonder who the students with a low economic value are that we have to ward off.
ParlaMint-NL_2019-12-11-tweedekamer-11.u220	That part of the motion comes only from the analysis of the Economic and Social Council. They note, they see, that relatively many people come here to study, but they do not always see whether they meet a need in the labour market. The request of this motion is to take this into account in the debate in Europe.
ParlaMint-NL_2019-12-11-tweedekamer-11.u221	Thank you. You continue with the second motion.
ParlaMint-NL_2019-12-11-tweedekamer-11.u222	Yes, Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that many colleges in higher education institutions are now taught in English by teachers who do not have English as their mother tongue;]] [[Whereas both international and Dutch students in surveys indicate that they are not always satisfied with the English language skills of teachers;]] [[Whereas, in order to successfully transfer the teaching material to the student, the teacher must master English at a professional level;]] [[calls on the Government, together with the educational institutions, to draw up a plan of action to increase the English language skills of teachers and to inform the Chamber before the summer of 2020,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Wiersma and Mr Bruins. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35282-33]]
ParlaMint-NL_2019-12-11-tweedekamer-11.u223	Dan, Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Netherlands lacks a concrete talent strategy;]] [[noting that the Minister for Education, Culture and Science indicated in her strategic agenda that she wanted to work on this;]] [[calls on the Minister of Education, Culture and Science, together with the Secretary of State for Justice and Security, to develop both an offensive and competitive international talent strategy for Dutch higher education, which also addresses the improvement of procedures, the chance to stay, education and housing facilities as well as concrete economic perspectives, and to inform the Chamber in the spring of 2020,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that talent acquisition is not currently part of Dutch trade missions;]] [[noting that Dutch higher education institutions do not actively promote Dutch higher education abroad and therefore do not attract foreign talent;]] [[calls on the Government to include the talent component as a standard component in trade missions, where possible, to set up special talent missions on the basis of reciprocity agreements on exchange, business cooperation, diploma recognition, security assurance, and to inform the Chamber about this strategy and its development in the spring,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the internationalisation of the MBO still faces many challenges;]] [[noting that there are still many opportunities for internationalisation within the MBO;]] [[calls on the government to conduct a study on the added value of internationalisation at specific MBO institutions in border regions, specifically taking into account how we can encourage more German MBO students to study in the Netherlands and vice versa, and inform the House of Representatives,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Wiersma and Mr Paternotte. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35282-34]] [[This motion was tabled by Mr Wiersma and Mr Paternotte. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35282-35]] [[This motion was tabled by Mr Wiersma and Mr Van der Molen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35282-36]]
ParlaMint-NL_2019-12-11-tweedekamer-11.u224	Just two motions, Mr. Chairman. I would also like to say a few words about the amendment to item No. 12. I think that's fair. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that in recent years the training committees have been considerably widened in their legal tasks following the Act strengthening administrative strength, quality agreements and now with the legislative proposal language and accessibility, and need to participate and participate in high-level discussions on education;]] [[Considering that facilitating, inter alia, hours' pay, training and support varies considerably from institution to institution and even per training;]] [[considers that all training committees in higher education should be able to carry out their legal tasks properly;]] [[calls on the Government, in consultation with student organisations, to lay down the legal framework for facilitating the training committees,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that colleges and universities are increasingly recruiting international students;]] [[Whereas there is a link between the influx of international students and the current funding system of higher education;]] [[considers that, in the case of internationalisation, the capacity of Dutch higher education is finite;]] [[calls on the Government to engage with the Association of Colleges and the VSNU in order to make arrangements to limit the active recruitment of international students,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Futselaar. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35282-37]] [[This motion has been proposed by Mr Futselaar. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35282-38]]
