ParlaMint-NL_2019-10-09-tweedekamer-8.u1	We continue with the discussion of the budget Agriculture, Nature and Food Quality (35300-XIV).
ParlaMint-NL_2019-10-09-tweedekamer-8.u183	Mr. Chairman. In the coming years, the cabinet will want to invest heavily in Carbon Capture and Storage, but that's what it's called. Capturing and storing carbon; that's what it means. The Ministry of EZK is concerned with this, but of course this subject fits much better with LNV, because LNV has the very best possibilities to extract and store carbon from the air, namely trees. With their leaves, trees extract CO from the sky. They capture them under the influence of sunlight in sugars and then in wood. It's called photosynthesis. In addition, that's a nice encore.... those trees also make oxygen once more. Get yourself killed at an industrial CCS plant. Full-grown trees are a lot more effective in storing CO than young trees because of their large mass. So the very, very best way, with distance, to capture and store CO is not to cut down a tree. The second best way is to plant new trees, especially for the future, because new trees grow old. It is also important for another reason to be thriving on the trees we have, because natural and old forests contain more animal and plant species. They are therefore better for biodiversity and capture much more CO. So when it comes to trees, it's not either-or just and-and. We must cherish, protect, certainly not cut down existing trees and forests, and, in response to Mr von Martels, we must expand the forests by new plantings and by giving new land a natural destination; new land, not forests. So the money that the Cabinet has now reserved for CCS cannot be spent better than on preserving our trees. I would like a response from the Minister. Does she agree with me that trees capture CO in an efficient, very energy-friendly way and that this is also for a period of decades? Does she agree with me that trees are a nature-friendly and climate-friendly variant of CCS and are therefore worth investing in? Mr. Chairman. I'd like to talk about the fight against musk rats, because... I see an interruption by Mr Graus.
ParlaMint-NL_2019-10-09-tweedekamer-8.u184	I have one more question about the trees and the woods. Does Mr Wassenberg agree with me that there should be a lot of woodwalls as well? The PVV is very much in favour of this. For example, at the Oostvaardersplassen, more animals were found dead from cold than from lack of food and drink. So a lot of animals have been killed more by the cold. We would like to see a lot of wood walls in these forests, especially in the case of new plantings, sheltering deer, wild boar and so on.
ParlaMint-NL_2019-10-09-tweedekamer-8.u185	Absolutely, and I don't think it's just woodwalls. You could also think of hedges. There can also be animals nesting in them. So more woodwalls, yes, but not something else. Of course, that's all there is to it. Woodwalls, hedges and so on can also increase biodiversity, so yes.
ParlaMint-NL_2019-10-09-tweedekamer-8.u186	Indeed, the number of bees we are fighting for together. Perhaps Mr. Wassenberg could pass that question on to the Minister. Thank you. A "Grausje," a second "Grausje" today.
ParlaMint-NL_2019-10-09-tweedekamer-8.u187	Okay.
ParlaMint-NL_2019-10-09-tweedekamer-8.u188	I see the Minister paying attention. It could just be that she heard it and her officials did.
ParlaMint-NL_2019-10-09-tweedekamer-8.u189	Please continue.
ParlaMint-NL_2019-10-09-tweedekamer-8.u190	Mr. Chairman. A natural cut: I'm going to talk about the fight against musk rats. It is time for a new alliance between humans and animals. I'm not saying that. Last week the Animal Affairs Council wrote this in its report the State of the Animal. Breaches of animal welfare, according to the council, are becoming less and less accepted. The Council states that much remains to be done on animal welfare. I would like to illustrate this with an example. On 14 June, the Union of Water Councils agreed to reduce the muskrat to the land border. By this they mean: eradicate until there is no muskrat left, the so-called zero-position policy. Underwater storage cages and clamps are used for this purpose. The muskrat would even pose such a great danger to dikes that the animals should be combated with drones, heat cameras and sonar images. Pestilence animals are already being framed as unwanted guests, as intruders and sneaking dangers. The Council considers that a different meaning should be given to these animals. "The framing of animal species as pests is no longer acceptable," says the council's report. "If animals are still being combated," the quote goes on, "for example invasive exotics, it is important to make the control more animal-friendly." Making the fight more animal-friendly: does the Minister support this? Once again, this is the opinion of the Animal Affairs Council. Mr. Chairman. The plan of the waterboards is not exactly animal-friendly or nature-friendly, and then I express myself very softly. Musk rats, but also other animals such as beavers, cause a few minutes of death in underwater cages and clamps. Moreover, the question is whether management is legal. Waterboards are not required to kill animals, but they are obliged to spare animals all possible pain, tension and suffering. That is a European law, which the Netherlands simply has to implement. Can the Minister respond to this in her term? Moreover, according to the law, the killing of animals should only be a last resort. It must be a last resort, and it can only be done if we fail to ward off and drive away. Alternative measures must therefore be taken first; dikes, frameworks and banks of muskratproofing would be such a measure. The field test on which the waterboards base their policies has serious shortcomings. No distinction is made between different areas, the duration of the trial was far too short and preventive measures have hardly been investigated. Despite these shortcomings in the study, the fight against muskrat has been considerably increased; but there is no last resort here, and that is not the right way to do it. I would like to know from the Minister whether the waterboards' management plans have been assessed in accordance with European national laws. And if so, what were the conclusions? Can the Minister explain how much the national extermination of the muskrat will cost the taxpayer? Isn't that money to be spent in a much better way, for example by making important dikes or quays muskratproof? Because the total extermination of the muskrat is, of course, an illusion, because animals will always come from Germany and Belgium. I would like to know from the Minister: is it not the case that poor maintenance, especially in periods of severe drought, is the greatest threat to dikes? Shouldn't we just bet on better control, on better maintenance and strengthening dikes instead of wasting millions of dollars on musk rat control? I want to talk about animal testing. Half a million animal experiments are carried out every year in the Netherlands. Do you know how many of these animal experiments pass the test stage? How much percent is successfully translated into human beings? That's only 10%. 10%! This means that in nine out of ten animal experiments animals suffer and die without purpose. Fortunately, however, a lot of important research is being carried out into new technologies to phase out these animal experiments. That's not only good for animals, it's good for patients as well. The research based on human cells, combinations between biology and ICT cell-on-a-chip, organ-on-a-chip, you even have body-on-a-chip. However, new research methods are still not being applied and we are still stuck with that animal test. In fact, we all want to get rid of that animal test, we all want the research to be done in a better, more reliable, more animal-friendly way, and that is not happening. At the end of 2015, the government expressed the ambition that the Netherlands will be the world leader in experimental animal-free innovations in 2025. Only, as time progressed without the cabinet doing much to bring that objective closer, that ambition was weakened. And the Netherlands doesn't have to be the frontrunner of this cabinet, because "one of the forerunners" is enough. One of the forerunners is quick, for in the land of the blind there is an eye king. In the field of animal-free research methods, there are a lot of hopeful developments, though I mentioned some of them, but yet the animal test remains the golden standard, no matter how unjust it may be. For the time being, the policy remains insufficient to replace the animal test with better and innovative research methods. The fact that the number of animal experiments has not fallen structurally for years, but somewhere between 500,000 and 600,000 animal experiments per year, is the best proof that more really needs to be done. The public funding of innovative research without experimental animals and the development and completion of test methods is small beer compared to the hundreds of millions that go into animal research. For 2020, only 2.1 million euros have been budgeted by the Cabinet for animal-free research. It is therefore relatively small amounts, which are not of a structural nature, but of a maximum of a few years. This does not build a structural structure of animal-free research. We need structural funding, long-term financing and, preferably, increasing funding. That is why I would like to make a proposal. This funding can be achieved by transferring the public budget for animal experiments of a small percentage, 1%, from the research budget with experimental animals to the research programme without experimental animals each year. For example, the proportion of animal-free research increases every year compared to the research carried out with experimental animals. So we achieve what everyone really wants, namely the replacement of the old-fashioned animal test with better, more accurate and more reliable laboratory research. Is the Minister prepared to have that idea of a new form of financing investigated? This means that the amount available each year for research with experimental animals is barely significantly reduced each year, i.e. by 1%. If that's EUR 500 million, it's EUR 5 million. The difference between EUR 500 million and EUR 495 million is hardly noticeable. At the same time, the budget for animal-free research is increasing by EUR 5 million over the same period. From 2.1 million to 7.1 million is a giant step. The following year, another step is being taken. In this way, we can take a very big step in the development of animal-free research in a number of years. Mr. Chairman. Then I have two brief topics. In 1993, the field police were dissolved. The police were then faced with a major austerity blow under the various Rutte Cabinets. As a result, the police have largely disappeared from the outskirts. The consequences are clear and dramatic: increasing problems of drug dumping, poaching, destruction of animal shelters and illegal tree cover. I went to work in Limburg during the recess. There I have seen with my own eyes that there is a handful of boas against the increasing, major crime. I'm glad the VVD realizes that boas in the outskirts are on the lips of the water. Only the solution put forward by the VVD and the hunter lobby is quite wrong as far as I am concerned: using hunters as a boa, because you have cut the police in the outskirts. Hunters are people who are not trained for that and, in my opinion, are not suitable for that. They're not independent. The Animal Party would like to see the police again in the outskirts, because that control and enforcement is very important and must, as far as we are concerned, be done by the police. I'd like a response from the Minister. Mr. Chairman. Then there is my final subject: animal cruelty and animal neglect. I see Mr Graus wants to interrupt.
ParlaMint-NL_2019-10-09-tweedekamer-8.u191	Will you give Mr Graus the floor?
ParlaMint-NL_2019-10-09-tweedekamer-8.u192	Do you want me to tell you? Mr. Graus.
ParlaMint-NL_2019-10-09-tweedekamer-8.u193	The PVV has been asking for the return of the field police since 2006. From 2011 there is an animal police, for which we employ 500 people. It's D66 that turned the neck that made it 500. That animal police would also ensure the return of the field police, because the animal police would also be patrolling, maintaining and detectives in outlying areas, in particular against poaching by heavily armed Eastern bloc gangs. Perhaps Mr Wassenberg should pass on the question in a different way. The number of animal policemen is currently 180. If they become full-timers, you already have some kind of field animal police back in the outskirts. They'll have half more time to do that. You may be able to help with that. This is more feasible. That's why I'd like to ask you that.
ParlaMint-NL_2019-10-09-tweedekamer-8.u194	Mr Graus knows that in me he really has a supporter and a fellow fighter when it comes to the animal police. I would even argue in favour of simply extending the animal police back to the original level. Now it is the so-called task holders who are working on it part of their time. My party is strongly in favour of the animal police returning to full strength. That would indeed be a way of carrying out control in the outside world. If it isn't, it has to be done in a different way. To the left or to the right: this control must also be stronger in the outskirts.
ParlaMint-NL_2019-10-09-tweedekamer-8.u195	Please continue.
ParlaMint-NL_2019-10-09-tweedekamer-8.u196	I was at animal abuse. Almost weekly reports of poignant neglect and serious abuse of animals appear. For example, we are talking about neglected dogs in their own feces or about hundreds of birds in tight cages in a shed in the garden. Convicted animal executioners can keep animals again in the Netherlands after serving their sentence or after paying their fine. We know that the chances of another animal executioner mistreating animals are life-threatening. Since its inception, the Animal Party has been advocating a long-term and possibly life-long restraining ban on people who have committed animal abuse. On animal day last year, the Minister of Justice and this Minister announced that they are finally going to introduce a restraining ban as an independent measure. Bravo, Bravo, This means that the convicted animal abuser is no longer allowed to keep animals for a maximum period of ten years after serving his sentence. So much for the good news. The bad news is that a life-long restraining order is not going to be a possibility for the judge. Ten years isn't very long when you look at what humans can do to animals. My question is whether the Minister can explain why this possibility of a life-long restraining ban is already rejected in advance. The other bad news is that we've been waiting a year for the bill to finally come to the Chamber. Can the Minister explain why this is taking so long and perhaps give us a hint of the veil when we can see that bill? Thank you, Mr. Chairman.
ParlaMint-NL_2019-10-09-tweedekamer-8.u197	Thank you, Mr. Wassenberg. I now give the floor to Mr Stoffer on behalf of the SGP.
ParlaMint-NL_2019-10-09-tweedekamer-8.u198	Mr. Chairman. I am replacing Mr Bishop this afternoon. Tomorrow he hopes to be here himself again. Mr. Chairman. We are at a crossroads: do we continue with sustainable hand in hand with the farmer or over the back of the farmer, side by side with the fisherman or opposite the fisherman? Our farmers and fishermen are now being hit triple. First of all, Europe. Brussels sets requirements for plant protection, the environment and animal welfare. But strangely enough, the same Europe is opening up the door to imports of products from countries where they inject more, grow more genetically modified crops and have less animal welfare requirements. Think of Mercosur's and CETA's trade agreements. It is incomprehensible that the cabinet is so positive about this. My question is: when is that going to change? It is incomprehensible that Commissioner Timmermans is now calling for almost half the agricultural budget. And it's incomprehensible that the pulse cortex should be put under the spell. It is very good that the Minister comes to the European Court to fight this. Then the Netherlands. Our own government is once again making a move on top of Brussels' policy. Germany and Belgium are much more generous with exemptions for plant protection products. Our beet growers are even forced to inject more instead of less. Germany has a threshold of at least 7 moles for nitrogen deposition. Why does the cabinet dare not go beyond a threshold of 0,05 mol, which is 0.01% of the lowest critical deposition value? Will entrepreneurs be given enough room for innovation, even if it goes beyond the framework of Bezuidenhout? Unfortunately, they are still too often running into irresistible ticking lists at the moment. One shovel on top of the rest of Europe and two shovels on top of the rest of the world. Is that what our farmers get paid for? On the contrary. Sales prices remain below the cost price. At the same time, the scope for restrictive agreements is limited and the self-employed, including farmers and gardeners, and the income bonus are reduced. Furthermore, hundreds of farmers' families are still struggling with the introduction of phosphate rights. They've already had to pay huge fines, while they're still waiting for a verdict from the judge to whom they've been referred by the Ministry. Mr. Chairman. How can you be green when you're red and the rest of the world just goes ahead? When a lot of media and politicians, especially on the left side of the spectrum, paint you black all the time, the turnips are cooked and you see what happened last week, you're on the Malieveld. It's, it was a loud echo of frustration at many kitchen tables. For example, that farmer's daughter who told us: why would my parents go on and do their best to join if they get smelly thanks? Again, we are at a crossroads: are we going to continue to be sustainable with the farmer or over the back of the farmer? The SGP strongly opts for the first. Rent mastery calls for further sustainability Let's be clear about that, but not about the back of peasant families. My question is: what is the cabinet going to do? Firstly, the budget. Next year, the budget will rise to 1 billion in relation to the temporary budget for climate and livestock measures. But in the years after, another quarter goes off. However, further sustainability of agriculture is a long-term issue. Can we not agree to keep that budget at EUR 1 billion? This would then be financed from, for example, an increase in the tax on flights; the air transport sector has so far been completely out of control. If we don't want to pull the wallet in the store, we're gonna have to take care of it another way. Mr. Chairman. The Minister would like companies to switch to an even more sustainable way of working. We'd like to facilitate that with her. Companies that switch to, for example, biologically, run into a big dip because they are not allowed to deliver biologically for a few years or because all kinds of childhood diseases occur. We have a system for this: the Guarantee scheme for small and medium-sized enterprises (SMEs) agricultural credits. But I hear from the field that only a handful of entrepreneurs use this. The problem is not a lack of capital but a gap in available liquidity. Will the Minister, in consultation with the sector, see how switches can be supported in those ugly years? Following this, the SGP calls for an agricultural agreement with a ten to fifteen-year horizon to prevent jojo policy, and for a risk and investment fund to support conversion and sustainability in general. The Chamber adopted an SGP motion on this matter for the summer. In the meantime, the Task Force for Earning Capacities is also advocating such a fund. What is the Minister going to do to make this possible? Then nitrogen, Mr. Chairman. In the background I taste a clash between the ivory towers of The Hague and Hilversum and the population in the region. Look at the nitrogen file. Two sizes are measured. That is a proverb, but my real question is: when are we really going to measure the deposition? We made a few calculations ourselves with AERIUS. To our great surprise it appears that on road traffic the deposition is calculated up to a distance of 5 kilometres. In a dairy farm, the model calculates the deposition up to tens of kilometers away. For road traffic, reference is simply made to normal air quality calculations. And rightly so, because the theoretically calculated deposition at great distances is limited and falls away from the background deposition and the margins of uncertainty. Why not draw this line from livestock farms and construction projects? I understand that this might be a bit of a complicated question. I would like the answer to this question at least for next week's debate. The cabinet wants emission reduction without extra money. The Natura 2000 regime remains untouched. Does livestock farming now have to deliver unilaterally in order to eliminate construction and infrastructure projects? What can I say to the farmer's son who has just taken over his father's business and now sees the space he was counting on going up in smoke? Why remove production rights when private parties externally salad? Aviation is also out of the question. I therefore propose that at least the flight tax should be increased and that this budget should be used to a large extent for the financing of emission reduction in the farmer's inheritance. Finally, the fisheries sector, Mr President. Fishing companies fear major chaos following a possible no-dealbrexit and Brussels' disregard of fishing interests. Other fishing Member States are setting up their prime minister. I hardly hear our Prime Minister talking about it. So I'd like some action from the Prime Minister, too. In addition, I would like to congratulate this Deputy Prime Minister, who is committed to doing so. Finally, Mr President. We're at a crossroads. The question is: are we going to be more sustainable with the farmer or over the back of the farmer, with the fisherman or over the back of the fisherman? I understand that this is not an easy task, but let's not punish them but reward them, let's not blackmail them, let's encourage them, let's not stack rules, let's facilitate innovations, let's put our hands on them together. I therefore wish the Minister a great deal of wisdom and compassion for our farmers and our fishermen. Thank you.
ParlaMint-NL_2019-10-09-tweedekamer-8.u199	Thank you, Mr. Stoffer. Finally, I give the floor to Mr Baudet on behalf of the Forum for Democracy.
ParlaMint-NL_2019-10-09-tweedekamer-8.u200	Mr. Chairman. Let me get straight to the point, because today we are discussing the agricultural budget and the distressing situation of farmers in the Netherlands. Despite their hard and honest work and their invaluable value for the Netherlands, they are under heavy pressure. Last week 10,000 farmers were on the Malieveld, because after decades of bullying, suffocating regulations and total contempt, farmers are tired of it. And rightly so. First of all, take the dairy sector. For 30 years, it was cut off by the European milk quota. When this was finally abolished in 2015, farmers were given an equally suffocating phosphate ceiling for it. The European Union has stipulated that the Netherlands may emit up to 85 million kilos of phosphate. Farmers should therefore have phosphate rights for their cows. According to the Dutch calculation method, a cow accounts for 40 kilos of phosphate per year. As the kilo price for phosphate rights currently amounts to approximately €150, a farmer therefore pays over €6,000 for a cow.
ParlaMint-NL_2019-10-09-tweedekamer-8.u201	I wondered for a moment whether Mr Baudet knows why the European Union has made such a demand in the light of the derogation.
ParlaMint-NL_2019-10-09-tweedekamer-8.u202	No, I don't. Can you explain it to me?
ParlaMint-NL_2019-10-09-tweedekamer-8.u203	Yeah, you can. I welcome this invitation. Dutch farmers are allowed to drive more manure onto the land than other farmers in the European Union. It's called a derogation. There is a requirement for this derogation, namely that ceiling. Because the Netherlands, after releasing the milk quota, did not choose to set up another production limiting system, we went through that ceiling. When farmers threatened to lose that derogation, the sector itself asked for a phosphate reduction plan. LTO and NAYK let it get out of hand and then said: we do not want to lose that derogation, so come up with restrictive measures. I was just wondering if Mr Baudet knew.
ParlaMint-NL_2019-10-09-tweedekamer-8.u204	So you are actually saying that it has not been the European Union itself that started all this, but that it is the request of a number of sectors from the Netherlands. Is that what you mean?
ParlaMint-NL_2019-10-09-tweedekamer-8.u205	Not what it all started with. The Party for Animals believes that the Dutch government has an independent duty to protect nature and the environment. That is also stated in the Constitution. The Netherlands does not really do this and only wants to regulate it at European level. Then that has happened, then the Netherlands also has an exception to those European rules and then you have to follow them a little bit.
ParlaMint-NL_2019-10-09-tweedekamer-8.u206	That is precisely the subject of today's debate. There are many ways to interpret such a directive. I'll explain that in a moment in my story. The Belgians charge a lower price for a cow, the Germans measure phosphate at a different depth and so on. The Netherlands is doing exactly the same thing as causing maximum damage to our farmers.
ParlaMint-NL_2019-10-09-tweedekamer-8.u207	Finally.
ParlaMint-NL_2019-10-09-tweedekamer-8.u208	I imagine we're going to hear more of this kind of claims in the argument, but the fact...
ParlaMint-NL_2019-10-09-tweedekamer-8.u209	You bet.
ParlaMint-NL_2019-10-09-tweedekamer-8.u210	The Netherlands has an exception to those European rules, that derogation. There were farmers who asked the Chamber to come up with measures when the milk quota fell because they feared that they would lose the derogation. There were farmers who asked, but the Chamber did not listen. Then things got out of hand as predicted and asked the whole sector: ah, do less phosphate anyway, because we would like to keep that derogation.
ParlaMint-NL_2019-10-09-tweedekamer-8.u211	So it's about nothing but consistency.
ParlaMint-NL_2019-10-09-tweedekamer-8.u212	I would like Mr Baudet to acknowledge this in any case. If it's new to him, okay, but that's the way it is.
ParlaMint-NL_2019-10-09-tweedekamer-8.u213	What you are now saying is about consistency with existing regulations and the conditions under which derogations or dispensations are granted.
ParlaMint-NL_2019-10-09-tweedekamer-8.u214	Please continue.
ParlaMint-NL_2019-10-09-tweedekamer-8.u215	So. In the Netherlands you have to pay €6,000 per cow. Farmers who have expanded their business before 2018 are now in serious trouble because they are suddenly not allowed to keep the number of cows on which they have set up their business. They've made all kinds of investments, and they can't repay them now with returns. This has led to enormous problems and even some suicides. It's a very tragic story. As I have just mentioned in the brief interruption with Mrs Ouwehand: The Netherlands is, as always, much stricter than our neighbouring countries when applying the rules. Belgium and Germany are bound by the same EU directives as the Netherlands, but create all kinds of space for their farmers by smartly implementing those rules, to those directives. For example, phosphate in Germany is measured at a depth of 1.5 meters, while in the Netherlands it is measured at a depth of 15 centimeters, where of course you will find much more phosphate. And according to the Belgian calculation method, a cow emits 10% less phosphate than the same Dutch cow, which means that Belgian farmers need much less phosphate rights per cow. This could also be done in the Netherlands. It would give our farmers so much space, but the minister doesn't. The same applies to the recently manufactured nitrogen crisis. A decision by the Council of State in May 2019 resulted in 18,000 construction projects falling apart, worth a total of 14 billion euros. Farmers are no longer able to expand their farms and cows are no longer allowed to enter pastures in many places. The whole country's standing still to a large extent. Old-VVD Minister Remkes was instructed to come up with a solution, but did the opposite. Two weeks ago he presented a report with the main proposals: 1. lowering the speed limit on motorways in the Netherlands and 2. drastically reducing the livestock. Although Minister Schouten said to those 10,000 farmers on the Malieveld that the livestock would not be halved, she announced only a few days later that Remkes would take over the draconian advice and clean up farms. This means reducing livestock, losing many jobs and probably bankruptcy of many farms. Within one day, the first highways were also stripped of 130 kilometers of signs. That huge sense of freedom that you can have when you finally get to drive at a normal speed: away! With a blazing rush the farmers are bullied away and their precious land is probably used for wind turbines, useless solar panels and biomass forests. Cynic policy of this cabinet, which destroys our beautiful country, our fantastic agricultural sector and our delicious livestock. Because there is no nitrogen crisis at all! The nitrogen emissions in the Netherlands have been sinking for decades, seen here in the graph that I am holding up. Critics say this decline has stagnated in recent years...
ParlaMint-NL_2019-10-09-tweedekamer-8.u216	Mr Baudet has written a fine PhD research.
ParlaMint-NL_2019-10-09-tweedekamer-8.u217	Thank you.
ParlaMint-NL_2019-10-09-tweedekamer-8.u218	It didn't go well, I understand. But when accepting the doctorate in Leiden, the oldest university in the Netherlands, you also made a promise, a promise to the truth. You've been a climate denier before. You were also a phosphate explorer, and now you're also a nitrogen explorer. What else are you gonna deny about what you're not exactly convenient for?
ParlaMint-NL_2019-10-09-tweedekamer-8.u219	I don't deny there's such a thing as a climate. I just don't think it's gonna change dramatically. I don't think it's human to the extent it changes. Thirdly, I do not think that the kind of measures that we want to take now is, in one way or another, useful or useful. But I'm not denying the existence of the climate. I think there is climate.
ParlaMint-NL_2019-10-09-tweedekamer-8.u220	He's a climate crisis denier.
ParlaMint-NL_2019-10-09-tweedekamer-8.u221	Sure.
ParlaMint-NL_2019-10-09-tweedekamer-8.u222	But you do absolutely no justice to the truth, which you have promised. In fact, you should turn in your bul and you do not do justice to the farmers or nature either. And you say you'll stand for it.
ParlaMint-NL_2019-10-09-tweedekamer-8.u223	A little fact-free comment, huh, and then without a question. I can't really do anything with it, so I'm just gonna go on with my story.
ParlaMint-NL_2019-10-09-tweedekamer-8.u224	Please continue.
ParlaMint-NL_2019-10-09-tweedekamer-8.u225	Critics say that this decline has stagnated in recent years, but recently research by the Mesdag Fund showed that RIVM may use impure measurement methods to reach that conclusion. The two main measuring points, which now indicate a slight increase in ammonia emissions, are located above a sewer well and next to a chicken farm. That's like measuring Schiphol's noise in an airplane engine. In addition, RIVM uses bizarre statistical standards. In a normal study, and every scientist will confirm this, something is only assumed when there is at least 90%, 95% certainty. RIVM, on the other hand, uses the unparalleled low value of 44% certainty to achieve the desired result of a slight increase in ammonia emissions. It's not being tested either. No tests are being carried out on the spot to see if these models are actually right. It's a totally fake problem. And even more fundamental: there is no way that there is any more emissions, and so on, of a natural problem or an environmental problem. The Dutch threshold for the authorisation obligation is 0,05 mol nitrogen per hectare. That's about as much as in a package of Pokon plant nutrition. Our rules are so strict: 0.05 moles per hectare, while in Germany it is 7 moles per hectare. The Netherlands is 140 times stricter than our neighbour.
ParlaMint-NL_2019-10-09-tweedekamer-8.u226	You can discuss whether the measurements are good and whether the emission rates are good, but you can also look at the effects in nature. When Mr Baudet says that things are not bad at all, I wonder what his explanation is that we have been warned by scientists on the Veluwe River by scientists that the bees still have so little lime, that the chicks in the nest already break their legs and die. This has to do with the acidification of nature due to ammonia. That's what they say. Mr Baudet says that this is not the case at all and that nature is not bad. But what is his explanation that in the Netherlands there are so few limes that either they break their legs in the nest, or they don't even have enough lime to make the egg?
ParlaMint-NL_2019-10-09-tweedekamer-8.u227	This is a very specific question that I don't have that one-two-three answers to, but I'm offering solace. I am about to propose a hearing on nitrogen, with various experts, before next Thursday's debate. Then this will also be discussed. We know that total emissions of active nitrogen compounds have been falling for decades. It's getting much lower. The second thing we know is that these substances are basically good for nature. It's fertilization. It's Pokon. It creates growth, and so on. We also know that some, quite specific, problems can occur here and there. I do not know the exact details of what you are talking about, but if we zoom in on that, I have no doubt that we can find a solution. I don't think you should put the whole country down to save those few little bugs that are in trouble.
ParlaMint-NL_2019-10-09-tweedekamer-8.u228	It's just an example. I'm asking, apart from any discussion you could have about measuring and whether emissions have fallen: I'm sure they have, but...
ParlaMint-NL_2019-10-09-tweedekamer-8.u229	Huge. I've got the chart right here.
ParlaMint-NL_2019-10-09-tweedekamer-8.u230	... nature suffers from accumulation. I'm a little afraid Mr Baudet doesn't quite know that. Once ammonia has been knocked down in nature, you can't just get it out. If there is even more ammonia, even if it is perhaps less than before, this has an effect. So you could also look at the effects in nature. For example, grasses do much better on those ammonia than species we might have had to protect as the Netherlands. I wonder if Mr Baudet is prepared to look at the effects in nature and perhaps question his point, because the scientific evidence we see in nature does not exactly match his argument that nature is not at all bad at all.
ParlaMint-NL_2019-10-09-tweedekamer-8.u231	If Mrs Ouwehand is also prepared to revise her statements. There may be certain species of mosses or certain species of plants that are slightly less common in the Netherlands. But if you go 150 kilometers across the border to the east, you have a lot of that kind of mosses, plants or animals there. You have to look at it in a big perspective. Is it really a problem for nature, or does there exist a certain romanticized and fixed picture of how it should be and should remain forever and that if anything changes, then immediately the whole economy must be on the shovel? Let us discuss this at length at that hearing, assuming that you will also support it.
ParlaMint-NL_2019-10-09-tweedekamer-8.u232	Proceed, Mr. Baudet.
ParlaMint-NL_2019-10-09-tweedekamer-8.u233	Thank you. I find it really bizarre that in the Netherlands, not only in terms of phosphate, but also in terms of nitrogen, we apply infinitely stricter standards than in our neighbouring countries, for example in Germany. I do not think that can be explained, Mrs Schouten. I find that really incredibly irrational policy, which is disastrous for our economy and what is disastrous for our society.
ParlaMint-NL_2019-10-09-tweedekamer-8.u234	Mrs. Schouten is a minister.
ParlaMint-NL_2019-10-09-tweedekamer-8.u235	Yeah, she's a minister, too. Mr. Chairman. Surely it cannot be that we are making such far-reaching decisions, such as restricting livestock and abruptly lowering the maximum speed, if it is possible, most likely, based on statistical quackery? What needs to be done now is to align the Dutch regulations with the German ones. That is why I make an urgent appeal to Minister Schouten. It does not even require a legislative change, but it is a matter of political will. The Cabinet can now decide to amend the Nature Protection Decision. Then the whole of the Netherlands can go further: then the 18,000 construction projects can start again, then farmers can expand again, then cows can go back into the meadow, then the livestock doesn't have to be halved and then the speed doesn't have to go down anywhere. To support this, I would like to organise a hearing with RIVM, the Mesdagfonds and several other independent parties as soon as possible. This must be done before next Thursday's debate on nitrogen. I have a list of names. I am about to launch an e-mail procedure to set up an additional committee meeting early tomorrow morning, so that we can make this clear next week with different stories, expertise and counter-expertise. Hopefully, on the basis of that information, a motion to amend those nitrogen standards that we shall be tabling in that debate will be supported by the House. Because it is an administrative problem, an accounting problem that is destroying the whole of the Netherlands.
ParlaMint-NL_2019-10-09-tweedekamer-8.u236	We're not gonna have a fraternity here.
ParlaMint-NL_2019-10-09-tweedekamer-8.u237	My friend from D66.
ParlaMint-NL_2019-10-09-tweedekamer-8.u238	Is that mutual? I don't know. But we're not going to talk about that hearing here, because that discussion really belongs on the committee.
ParlaMint-NL_2019-10-09-tweedekamer-8.u239	We've already had a hearing. Maybe it's good to have a look back. That also helps a bit for the factual underpinning of this.
ParlaMint-NL_2019-10-09-tweedekamer-8.u240	Not about these things.
ParlaMint-NL_2019-10-09-tweedekamer-8.u241	We're not gonna talk about the hearing.
ParlaMint-NL_2019-10-09-tweedekamer-8.u242	That's just not true. It's always said, but it's not. It's a smokescreen. If you'd been promoted, you'd have to turn in your bul.
ParlaMint-NL_2019-10-09-tweedekamer-8.u243	We're not gonna talk about the hearing. I just heard from the clerks that there's an extra procedural meeting tomorrow. The hearing on the subject we are discussing today will be discussed there.
ParlaMint-NL_2019-10-09-tweedekamer-8.u244	I got a PhD at Leiden University, but it doesn't matter. It's also about health. What I completely miss in Mr Baudet's speech is that published scientific research shows that in the Netherlands 50 people with asthma are added every day due to excessive nitrogen emissions. They live near highways. I can tell you that one in five children living near a highway or other industrial facility has difficulty breathing and impaired heart function. You can't ignore that with these wild plans, can you?
ParlaMint-NL_2019-10-09-tweedekamer-8.u245	Indeed, I find these figures highly questionable. I have serious doubts about that. That is why it is very important to keep all these things under review.
ParlaMint-NL_2019-10-09-tweedekamer-8.u246	It has been published in scientific, peer-reviewed journals. I do not know where Mr Baudet gets the guts to doubt that.
ParlaMint-NL_2019-10-09-tweedekamer-8.u247	That's exactly...
ParlaMint-NL_2019-10-09-tweedekamer-8.u248	Again, you made a vow.
