ParlaMint-HR_2014-01-23-0.u64071	[[CONTINUE AFTER MEETING IN 11.50 HOURS]] On behalf of Croatian Labourist fellow Tušak, please.
ParlaMint-HR_2014-01-23-0.u66646	Thank you very much, Madam Vice President. Well, I won't, see, it's the same introduction as the proposal for a law on inspections in the economy. So, according to the transformation of the State Inspectorate, etc. What is important, given the supervisory tasks of the administrative area of each of these laws, is defined by the jurisdiction of each individual law in order to be able to carry out the tasks of the State Inspectorate. I mean, that's short.
ParlaMint-HR_2014-01-23-0.u66647	Thank you very much. Do the committee's reporters want to take a word for it? No, I don't. I'm opening a debate. It's the clubs. On behalf of the HDZ Representatives Club, colleagues Ivan Shuker and Davorin Mlakar will speak. Who wants to go first? Here's your colleague, Mlakar.
ParlaMint-HR_2014-01-23-0.u66648	Dear vice presidents, colleagues and colleagues. What do you say we don't repeat everything we said yesterday? So all these laws and the ones we've just done are those we're going to talk about that you didn't want to read or read about, but you've numbered them because of the adoption of the law on amendments and additions to the Law on the establishment of ministries and the detour of the ministry and other central bodies of the state administration. The only problem is that this job is very creamy. In fact, the Law on Amendments and Supplements entered into force on 1 January of this year, but the Proposer did not have time or enough attention to suggest, in a timely manner, these 20 laws that we are now discussing too late in an emergency procedure, and now there is really no need for urgency in view of what you should have seen and bring all these laws by 1st January. So the only explanation for this was almost all the laws, so there wasn't much creativity. The interpretation of the emergency procedure is in order to prevent legal gaps, and this is particularly the reason for the emergency procedure. Since we've missed the time, that we're late with those 20 and some laws, then you've already got a legal gap. Someone is guilty of this legal void, but it could be called a legal void at all. This is not a legal void. This is simply an unturned law. Then it suffers from anomalies that need to be matched by the adoption of these massive changes. This is not the basic meaning of the legal gaps that exist in the regulations, and if they were legal gaps it would not be a reason for these laws to be passed by an emergency procedure. Why do I insist on passing laws by emergency procedure? because I am deeply convinced, and I am probably not the only one that is actually insulting the role of Parliament, that we are insulting the role of all of us who want to work in Parliament, discuss the laws, no matter how much someone likes to give our opinion and say what we think about these laws. I'd like to talk about these laws since yesterday I spoke in a different way, today. These laws also concern concrete human destiny. We're talking about civil servants here and that and those with special powers and responsibilities, but we're talking about them as balvanies. We're coming up here and there's going to be 40 of them, these are going to take over 5 of the inspectors, these are going to take over 7. It is said that this State Inspectorate would have been concluded by a missed institution without analysis of what they were doing, how much supervision they had done, how many measures they had given under inspection, how many fines they had charged, how many in a specific case they had closed if you wanted crafts, trade, catering facilities, and certainly not only did they concern small and medium-sized entrepreneurs, but probably their measures affected the work of those large entrepreneurs. That's not a word of it. But I must warn you colleagues and colleagues from the position in article 12 of the law that has caused all these laws to change, there are provisions on other officials, not only about inspectors. So she says, "On the day of the entry into force of this law of the ministry referred to in paragraph 1 of this article, relatively taken over" that is such a common false phrase "and state officials and deputy state inspectors who have been found at the conduct of non-inspective transactions". As the four departments take over one head of accounting, no one answered that, but it would be very interesting to hear what it would look like. It is about living, concrete people for which solutions, and the question of whether they are of quality, whether they are on time and whether they are done in a way that the legislator should make regulations. And I'm saying that because all of these laws, as proposed by the Government, need to come into effect on the day after the publication in the National Journal. Without a vacacio of 8 days, which is normally reserved only for the most important documents of a country, for the declaration of war or for some extremely important documents. You don't even allow eight days for the law to come into effect because of this urgency when you've already missed deadlines now and you're doing it. And to conclude, as another but very important remark, and it will break everyone in Croatia's head. She can't solve the same body in the first and second degree. In its accession to the EU, the Republic of Croatia amended 127 laws which had specific provisions on the procedure that were not in line with the provisions of the General Administrative Procedure Act. You are now reintroducing a special procedure in this economic inspection law and only... the application of the General Administrative Procedure Act. [[The speaker doesn't understand.]] And at the same time, you prescribe that the same ministry will address citizens' rights in the first and second stages. Today it seems irrelevant, tomorrow when such solutions will come to life, when citizens will begin to complain about the same body that has set for them the first measure that inspection will normally be against the interest of this business community, then we will wonder what regulations we have adopted. Given the urgency of the procedure, there is little time and I suggest to the joint debate that in all these laws at least respects the General Administrative Procedure Act and thus shows that it understands the legislation system in the Republic of Croatia, otherwise it will cause very serious damage that will be difficult to repair later. Thank you very much.
ParlaMint-HR_2014-01-23-0.u66649	Comrade Ivan Shuker, here you go.
ParlaMint-HR_2014-01-23-0.u66650	Thank you very much, Madam Vice President and Mr. Deputy Minister, colleagues and colleagues. So, let me pick up here where my colleague, the young man, stopped. Therefore, the Government's decision in Article 13 states that the Government of the Republic of Croatia will, within 30 days of the entry into force of this law, coordinate the internal body regulation of the central authorities of the state administration that amends the structure or part of the circle. Today is January 23rd, today was a cabinet session, and as I recall the regulation on the formation of the ministry that takes over from the state inspectorate was not at the government. If that is the case, and after that, it is necessary to adopt a regulation on how this will all work together because the heads of the central authorities of the state administration who are changing the structure or in part are obliged to comply with the internal work rules in accordance with the provisions of this Act within 15 days of the entry into force of the Regulations referred to in paragraph 1 of this Article. So, if these regulations are adopted today and let's say that today, let's say, let's say that the internal structure rule can be brought there by the end of the first week in February. Now I'm asking you what I.D.'s on the ground these 40 days. With the credentials signed by the former Chief State Inspector or Prime Minister and on the ground, they go as state inspectors or by the basis of these laws. So I say yes, and that is unfortunately often that when laws like this are passed it simply has to be brought in a package. Because with this decision to abolish the State Inspectorate, these 30 laws were passed, then everything with January 1st would practically be over. And what Mlakar's colleague was saying was that the state inspectorate had his own joint services both in the central office and in his offices. What's going to happen to these people? How are you going to deploy those people from the joint service? 'Cause look at the same kind of joint jobs in the ministry they're gonna have to do somebody else. It's not a pay account, the salary bill is ultimately the least of the problems, but a number of other things. And that's just saying about it, we're saying the State Inspectorate didn't do a good job. We are now decapitated and we expect that, at a moment of practical importance, what is very important to us is when the strongest activities are which are the 4th and 5th months, but for Easter when the tourist season is starting to work and we expect them to work. Practically very difficult. But since these laws are measures to reduce the deficits of the Republic of Croatia, the government really needs to be congratulated because it is likely for some thousand and two kunas to reduce this deficit this year, which will be around 21.22 billion. And this will certainly impress Eurostat leaders, the leaders of the European Commission in particular those in charge of the budget. Because look, we've changed the ones that should in some way introduce order and decapitate them in order to potentially burn a thousand kunas into the state budget. Great. But I repeat, the background of this whole story is exclusively the shift of the leaders and this is the ideal way to do it. In any of these laws, you still don't have the resources needed, it says everywhere that no new funds are needed. It's simply not true because you didn't have these funds in the Ministry of Economy last year, you didn't have them. This year you must secure new funds at the position of the Ministry of Economy. The second thing is that you are in addition, you should note that these funds will be taken from the position of the former state inspectorate because these positions have practically been gone since 1.1. But these laws require new funding because these people will get paid, these people will have some other material costs and you'll simply in that part of it I don't know what you'll call that part in the Ministry of Economy you'll have to secure those funds. And you, in each of these laws, had to write how much money was needed. However, if you stick to what, I hope that such a law, such provisions in the Fiscal Responsibility Act, will then have to be practically done this year, because when you adopt each law, you have to make it a fiscal effect, no matter how much it costs or how much it will bring into the state budget with its measures, or how much the application of that law will cost the state budget. You don't have it here, unfortunately. And that is why this law has nothing to do with reforms or it can be called any reform. Because you can't call something to implement the reform if you don't have the objectives of this reform, if you don't know what you want to do with it except for some flat-rate political evaluations and evaluations. Because I repeat, the reason for all these changes in all these 30 laws is the government's fiscal projections of 26.9 and nothing else. And you didn't even have the courage to write that the State Inspectorate was ineffective. Because if you wrote that the State Inspectorate was ineffective, then you had to argue with some data. And I don't want to say that every service can't be more efficient than it was because it's just never done as well as it can be done. But I repeat, and I will end with this, the HDZ Club can't support this, and come on, the Ministry of Economy at least didn't give its freedom as the Ministry of Agriculture to write that this law will come into force on 1 January 2014 but you wrote the day after the publication in the "National Journal" so the SDP club doesn't have to stamp or club of the HNS, since you are the Ministry belonging to the HNS, it doesn't have to stamp on the quick amendments to correct it. So, because of all this together and because of this circus that's happening with the HDZ State Inspectorate, he's protesting sharply and we're not going to support these proposals for sure.
ParlaMint-HR_2014-01-23-0.u66651	Now we'll hear the replicas, but to the presentation of fellow Mlakar. Branko Box, here you go.
ParlaMint-HR_2014-01-23-0.u66652	Thank you, Madam Vice President. My fellow Mlakar, you've begun your presentation that your work has been done in a crazed manner. One of these eight laws is the amendment of the Mining Act. It seems that in April last year, so in 2013, we passed a new law, an unchanged Mining Act, and it has 175 articles. Of these 175 articles in these amendments, 32 articles are related to the title State Inspectorate so far, and the future mining inspector. So this very fact that every fifth practical article is related to an inspection or inspectorate speaks for itself enough. Let's take an example of the use of stone. So it's a mineral wealth owned by the Republic of Croatia. I ask the question to all of us in what way, or how effective it will be to control the exploitation of stone if permits are issued in the same house and complete exploitation of stone is controlled.
ParlaMint-HR_2014-01-23-0.u66653	Replication response, Davor's Mlakar.
ParlaMint-HR_2014-01-23-0.u66654	Comrade Box, I'm glad you mentioned that very inspection because it was quite burdened with controls, especially because it was very difficult to determine the quantities of exploited raw materials. This is more relevant to the fact that the independent body to be involved in inspection tasks, if it has been suspected of its expertise or political or any other, addiction or independence, may have been able to regulate measures in the State Inspectorate itself. So I also understood the government's strategy that talks about the transformation of the State Inspectorate that is being translated anyway, but not as the abolition and shutdown of an institution. But I'm afraid, because ruling it doesn't want to hear that the problem is actually in something else, in order to say so, I don't say rougher, and that every minister will be the one who decides in every concrete procedure. So, according to complaints from all those who will touch their inspectors, the ministry will decide and that will close the whole circle and the whole story. Not to mention the possible financial effects. I specifically insisted on it, but the ruling can't hear. By joining the European Union, we also had to address this issue which the authorities are responsible for resolving by appeal. Now we're going back 40 or 50 years, and we're leaving all the government in the ministries again, so let them cut and judge us as they please.
ParlaMint-HR_2014-01-23-0.u66655	Miss twilight, replica.
ParlaMint-HR_2014-01-23-0.u66656	Thank you very much, Madam Vice President of the Croatian Parliament. Dear colleague Mlakar, I want tonight no matter what we really say to each other here, but say that too, you spoke of inspectors as people who really have to be professional and their work is hard. What I'm worried about, and from your same part of exposure as Mr. Shucker, that's what it's all about. This is an honor, Deputy Minister of Economy to remain silent. Yesterday night, a little later, about half past nine, and the Minister of Agriculture said like this, first he looked back at '92. One year and he looked back at the former minister to finally accuse this Croatian Parliament because they sent those laws from the government, so we couldn't do it, and finally those who cross from the State Inspectorate are going to get control now in a way that will get GPS trackers and then, as he said, I'll take out the phonograms, once again Jakovina will know where they are and where they're going. It's very ugly, it's kind of awful in that way even talking about that law. Is that true and what it is I don't know now? At least you're quiet, Deputy, and that's good.
ParlaMint-HR_2014-01-23-0.u66657	Davorin Mlakar, reply to the replica.
ParlaMint-HR_2014-01-23-0.u66658	Comrade twilight, I will not fully agree with you, which is why I've replicated. You were just talking about something else, you were talking about a culture of conduct and you were talking about what we're talking about, but nobody hears us, the arrogance of this government that allows itself to teach the Croatian Parliament, all the MPs and impose their political will and theirs as she sees the truth all over this Parliament. She managed to do so by her majority in parliament, so we, apart from losing time to discuss with them, remained in a subordinate position in each of the debates, and then you can't answer Minister Jakovina, as I did the other day to President Milanovic, who also accused me of not reading the Constitution and surprised at the fact that HDZ opposes the establishment of the parliamentary commission, and the poor don't know because he didn't seem to have read not only the Constitution but also certain laws, that the Council should not set up such a commission under the law while the processes continue. But this is already a question that the Croatian public, unfortunately, does not usually have a chance to see. And it's commendable that the deputy minister at least doesn't replicate it that way, and I'm afraid the minister you were talking about is as public as you know it. The results of his work, I'm afraid, will only be seen in the years to come.
ParlaMint-HR_2014-01-23-0.u66659	And what am I supposed to say about this answer? ... What am I supposed to say now to this answer of yours if it doesn't comply with the Rules of Procedure? [[You can't hear me.]]
ParlaMint-HR_2014-01-23-0.u66660	Excuse me, Madam Vice President, you shouldn't say anything because I've replicated my colleague twilight.
ParlaMint-HR_2014-01-23-0.u66661	Yeah, but you didn't replicate, she wasn't talking about the commission or the Constitution. And colleague Lidija Bagaric, replica.
ParlaMint-HR_2014-01-23-0.u66662	Thank you. So here's my colleague, Mlakar, in his presentation, said that it was going to join the transformation of the inspectorate of ama without any analysis, and that we don't know if one person is the director who is going, whether it's being divided in half, which is not true. I agree with you that it could have been in the context of this law, it's true but it's not true that no analysis has been made. Because I'm right here in front of me I have exactly how many procedures are unfinished by the regional units, so we have in the seat of the second-degree 39, first-degree 177, inadmissible 1052, Osijek first-degree 324, non-adjusted 2902 that doesn't add up to all the district units. A total of 39 second-degree, 5167 first-degree, non-administrative 31435. So you can't say there's no analysis done. So this is just one detail. It is also known that in particular here is the Ministry of Economy going 140 inspectors, the number of officials is 16 which is a total of 156 people. It could have stood to reason precisely, specifically, but not to leave the claim that no analysis was made.
ParlaMint-HR_2014-01-23-0.u66663	Replication response, Davor's Mlakar.
ParlaMint-HR_2014-01-23-0.u66664	Excuse me, can I replicate now?
ParlaMint-HR_2014-01-23-0.u66665	I just said that you often warn against speaking in accordance with the Rules of Procedure. You responded to the replica of a colleague of the twilight who spoke neither of the investigation committee, nor of the Parliament, nor of anything else. I'm so much. Here you go.
ParlaMint-HR_2014-01-23-0.u66666	My colleagues, if I have to be limited to two sentences. Here, I'll try. [[Here you go, like I didn't say anything.]] Maybe you didn't understand me very well. I said the State Inspectorate is an institution that exists somewhere in a rough way I'll say 15 years. The analysis of how many checks were made, how many solutions were issued, fines were charged, criminal charges were issued, and we didn't see it anywhere. If you have such an analysis, thank God. We haven't seen her, nor have we received a proposal from these laws based on such an analysis. That's what I was talking about. And that the State Inspectorate was doing that we're aware of if you'd like the information we received in public. I even stood up for us to see the real reasons. I'm not even in favor of having an inspectorate. By the way, I can resort to the idea that all inspections are divided into ministries. Yesterday I don't know if you were listening to me talking about the creation of the inspectorate, the inspectorate didn't want any inspections to have under him or those naturally belong to him or fall under the State Inspectorate. And what you're talking about, irregular objects should know what you're talking about, because irregular objects are not an important part of the work of a state body at all. What is measured is that the subjects are administrative in the first and second degree, and these are the two degrees that you have now combined with this proposal and given the ministry to work. And I don't want to, but if you ever happen to be under the supervision of such a ministry, you'll be the first to complain about when that ministry will bring you the solution you'll complain about, and then they'll solve that complaint for you. That's what I was talking about, but you didn't hear it.
ParlaMint-HR_2014-01-23-0.u66667	On behalf of SDP representative Lidija Bagaric.
ParlaMint-HR_2014-01-23-0.u66668	Thank you, Madam Vice President. Here I won't be long because we expected this debate to be united and these previous points and these. So this is really just about technical changes, or adaptations, where of the 10 laws, meaning that we are discussing 2 is about defining jurisdiction over the law enforcement and the powers of inspectors. So this is in the Law amending the Electricity Market Act, amending the Biofuels Act for transport. In the other eight laws, it is simply that the word "state inspectorate" is replaced by the word "competent inspections". Of course the SDP club will support these bill proposals. Thank you.
ParlaMint-HR_2014-01-23-0.u66669	I on behalf of the club of Croatian Labourists – Labour parties of my colleague Mladen Novak.
ParlaMint-HR_2014-01-23-0.u66670	Dear Vice-President of the Parliament, Your Honor, Deputy Minister. We are now discussing a package of laws that must be changed to comply with another law, a law relating to the inspectorate and I hope that it is not deliberately silenced, but that it is indeed an oversight of the Deputy Minister that this is the only thing that is changing. And I would like to warn you that, in addition to the Electricity Market Act, the erasure of Article 65(3) is foreseen. This item provides for a specific obligation by the competent social care authority. A specific obligation concerns the necessary planning and provision of funds to pay the electricity supplied to the threatened buyer. It's amazing that it goes through one way or even knowing that that provision goes through such a secret in the package here's a technical adjustment to a bunch of laws. I don't know, somebody mentioned I think the 28 laws that he mentioned, and that among other things we put into this one thing that applies to the social part. The reason for erasing this paragraph is that the competent authority has neither planned nor been able to provide funds for the supply of electricity to the threatened buyer. And now watch what it means, the Ministry of Social Policy and Youth and this government are not able to enforce a legal provision that they have prescribed for themselves, and in accordance with the directive that we have included in our laws, so we simply say okay, we are not capable and we have no means, we do not know how to secure them, and then we will change the law. Well, it's out of my mind. I don't mean you, Deputy Minister, nothing personal, but the fact is, in my opinion, this is, so I'm afraid I'm not going to use a word that might not be very suitable for this place. The fact that it is an EU directive has been ignored. Under this Directive, Member States are required to ensure that vulnerable energy customers are privileged in the social security system in order to ensure the necessary supply of sensitive electricity customers. We installed this directive in the Energy Act in November 2012. The government's deadline for the adoption of a regulation defining energy poverty was 6 months from the date of entry into force. More specifically, that deadline expired on May 8th last year. Yesterday at a committee meeting, I am sorry there are no colleagues here, yesterday at a meeting of the Committee on Economy of the Ministry's Representatives said the working body had already met several times and that a full text of the regulation was expected soon. Several times already and the text of the regulation is expected soon. And their deadline was over half a year ago. It is also devastating that one of the members of the working group gave a statement to the media, so the media can read in the media that the adoption of the regulation, according to the members, is not expected before autumn and is also questionable by the end of the year. Do you need an explanation why? Because it requires certain money that the state had to ensure that the socially endangered would provide a minimum, and the same thing is not only when it comes to this law there is more to it. I don't know if it should remind anyone that winter has begun long ago, and now we've also witnessed meteorologists announcing a more significant refrigeration, so the threatened customers of this government can probably only expect what the prime minister said yesterday, on several occasions, that he will appeal to the suppliers who are expected to take the costs but also to implement the social part of the policy for which this government is obviously neither ready nor capable. I don't know if the government members are aware that according to statistics in Croatia 21% of citizens belong to the category at risk of poverty. That's information for, not for concern but for what a colleague just said about why pessimism all the time, I don't know if this is the reason for optimism? Especially the passing of such a law in this way. The Croatian Labour Club has proposed an amendment to this part of the law and I do not know what to say on behalf of these 21% I appeal to the ministry to do something about it. I know it's not just yours, it's primarily about the other ministry, the Ministry of Social Policy and Youth, but I don't expect one ministry to make such a decision on its own. This is still something that applies, which should refer to the entire government. The other laws in this package today have been said a lot, and I have to admit that I've gotten the impression that the opposition has taken full opposition that it's taken the same attitude. Each authority shall have the right to prescribe the structure and part of the competence of the ministries and other central authorities of the state administration as it considers it best to be the most efficient. The government, however, often likes to stress that it introduces order in state institutions with its decisions. We've seen that sometimes they need help, so yesterday, let's say, the CRIM police jumped in to help them get a little work done on the board of directors' board of directors. But well, it's all for living people, so they say prison is for living people. When it comes to this package of laws, but also yesterday's, it's my impression that this government has managed to create complete chaos. On 26.11. last year, we discussed in the evening a final draft of the Law on Amendments and Supplements to the Law on the Construction and Circular of the Ministrys and other central bodies of the State Administration. The same law was passed on 29.11. I wrote this down just because it was 29.11. 78 votes were from which it was seen that the opposition was against and the law was against it and the law came into effect 1.1.What my colleague said, when you go with the preparation of such a law that still covered a wider area, then make some analysis and some plan and I don't know here was said with that first law that I mentioned earlier, postpone and apply until 1.1. and now we almost a month later come to the conclusion that we now need 30 laws to adapt to what we did at the 11th month, and what we did all this time, why we didn't do it, no one has any idea. Now, let's ask a rhetorical question, in that inspectorate there are inspectors for whom, whose work dispute is part-time, he has remained, each of these inspectors has remained in a vacuum because the state inspectorate has stopped working with 1.1. This has not yet been established or has not yet crossed. Is it logical to expect that the inspector in charge of employment contracts or employment relations to address his colleague who is in the same position and to say that I have no basis for doing anything because my employment contract is with an employer who no longer exists. It's a deliberately escalated thing to the max but it's about left-handedness, it's about schlemper, someone used that expression today. I think it's an extremely irresponsible and irresponsible approach, but this is something more serious, at least it should be a job. In the end, I just have to add one more comment to what the HDZ colleagues have been saying today with this way of work, and I have to admit that they are my deep conviction, and I don't know I should contact these people and ask them. I think it's fellow Shuker, that it's about living people, and it's not just about sneaking around with them, and don't you have the impression that now these same people have been living through this whole period of fear, where I'm going to be, what's going to happen to me? Don't you think that these same people are no longer independent than they are most susceptible to those who have proved to them that they can be kicked off with their fates as they please? We're people, it's about living people, so I'm deeply convinced that this will certainly leave an end to it. Otherwise, there is no reason to accept what is here humbly, please accept this amendment because it is in the interest of 21% of the people of the Republic of Croatia who are at risk of poverty, but just to accept that amendment, we cannot support this law because we believe that the law is bad. Thank you very much.
ParlaMint-HR_2014-01-23-0.u66671	I'm closing the debate. We'll vote on the bill later. Final draft law amending the Mining Act, emergency procedure, first and second reading, P.Z. No. 578. The debate on the text of the law is over. The amendment was filed by a representative of Branko Box. I ask Mr. Leveric to plead for the amendment.
ParlaMint-HR_2014-01-23-0.u66673	The amendment shall not be accepted because of Article 76(2). The Mining Act is laid down by the obligation of a mining economic operator to grant a concession for the exploitation of mineral raw materials in the field of exploitation that it is obliged to the authority responsible for mining and, prior to the conclusion of a concession for the exploitation of mineral raw materials, to forward the appointment of a responsible mining director who fulfils the conditions laid down in Article 149. The Mining Act.
ParlaMint-HR_2014-01-23-0.u66674	Who's in favor of an amendment the government doesn't accept? He didn't get the necessary majority. I'm closing the debate. I am voting on the final draft of the law. The law requires a majority of 76 votes. Who's in? Who's against it? Who's restrained? I find that with 76 votes for law No. 578 in the text as proposed by the Proposer. And now we're going to discuss 34. Proposal for a law amending the law on the efficient use of energy in direct consumption, with a final draft law, emergency procedure, first and second reading, P.Z. No. 591. The Proposer of the Law is the Government of the Republic of Croatia. You've received the motion for an act. In accordance with Article 204. The Registrar's emergency procedure combines the first and second readings. Amendments may be submitted by the end of the debate. The debate was conducted by the Committee on Legislative Affairs and the Committee on Economic Affairs. You received their reports at the session. The introduction of the bill will be explained by Deputy Economy Minister Mr. Allen Leveric, please.
ParlaMint-HR_2014-01-23-0.u66932	Thank you very much, Madam Vice President. Therefore, the proposed amendments to the law seek to remove obstacles in the process of implementing public procurement for energy services which existed in relation to the sufficient competence of the Monitoring Centre, the operation of the energy sector of investments, which primarily relate to the necessary capacity to implement the public procurement procedure for energy services, which is available to the Agency for Legal Transport and Real Estate Intermediation and to establish a clear and transparent framework for the financing of energy efficiency measures in the construction sector. This also resulted in assumptions for the implementation of the Energy Reconstruction Programme of the Public Sector Building. For the implementation of the procurement procedure for energy services which do not concern construction, contracting authorities may authorise the monitoring, operation of the energy sector of investments or other contracting entities in the sense of public procurement regulations with regard to the cost of the implementation of the public procurement procedure itself. Following all of this, we propose that those laws on amendments to the Law on the effective use of direct consumption and acceptance are adopted.
ParlaMint-HR_2014-01-23-0.u66933	Do the committee's reporters want to take a word for it? No, I don't. I'm opening a debate. We've only got a single hearing reported by my colleague Mirela Holly, please.
ParlaMint-HR_2014-01-23-0.u66934	Thank you, Vice President. Well, I won't be long since it's already quite late. First, I'm going to look back at something that doesn't appear in the law and should be written in the law. In particular, we should bear in mind that we have recently discussed in this House the second reading of the Construction Act, which in Article 202 of the Treaty, which is the article relating to the termination of the rules, is mentioned amongst others by this Act and the Law on the Effective Use of Energy in Direct Consumption, and in Article 202(2), paragraph 2 shows that the date of entry into force of this Law ceases to apply and the various articles of different laws are now listed, but also Articles 20, 21, 22, 23. And 34. The Commission shall adopt delegated acts in accordance with Article 21(3) of Regulation (EU) No 1306/2013 of the European Parliament and of the Council and of the Council establishing a European Parliament and of the Council on the financial rules applicable to the general budget of the Union. Law amending and supplementing the Act on the efficient use of energy in direct consumption, "National Journal", No. 55/12. So, if the Construction Act had already abolished a whole series of articles of this law, then, in my opinion, other than what you were just talking about, and it actually concerns the transition of jurisdiction from CEI to the Agency for Legal Traffic and Real Estate Intermediation, to include what is actually prescribed by the Construction Act. That would be logical and that would be normal, and it should be kept in mind that the Construction Act has already entered into force, so I hope that this does not lead to certain problems in application. And the other thing, namely a positive intensity to raise energy efficiency especially in public buildings, buildings used by public authorities, but I am afraid that despite the fact that this job has been transferred from the Energy Investments Centre to the Agency for Legal Transport and Real Estate Intermediation, there will be no major improvement in the implementation of the projects themselves, and I would like to mention that CEI has been quite unsuccessful in this work for a number of reasons, and I think the main reason for this failure is that this law actually prescribes that the financing of these projects is carried out by the worker. And here I would remind that the ESCO model in other countries is being implemented in a completely different way, in a way that those who are energy service providers are those who finance these projects, and then they are being returned through return, through the payment of slightly larger accounts, or accounts that would have not been realised by that energy efficiency project. I think it would be good to change the system itself in such a way that the obligation to finance the project is transferred from those who perform the work to those who are service providers because this has proved effective throughout a number of other European countries, so I will also mention the UK, and such projects could also be applied in terms of the fight against energy poverty which was mentioned by a colleague in Labour earlier. That's it.
ParlaMint-HR_2014-01-23-0.u66935	Thank you very much. I'm closing the debate. We'll vote on the bill later. Final draft law amending the Law on the efficient use of energy in direct consumption, emergency procedure, first and second reading, P.Z. No. 591. The debate on the text of the law is over. The amendment was submitted by the Legislative Committee. I ask Mr. Leveric to plead for the amendment.
ParlaMint-HR_2014-01-23-0.u66937	The amendment is accepted.
ParlaMint-HR_2014-01-23-0.u66938	Thank you very much. I'm closing the debate. I am voting on the final draft of the law. Who's in? Who's against it? Who's restrained? I find that, with 76 votes for the adopted draft of Law 591, it is in the text as proposed by the Proposer, together with the amendment adopted. And we will discuss another 35th final draft law amending and supplementing the law on the gas market, emergency procedure, first and second reading, P.Z. No.592; The Proposer of the Law is the Government of the Republic of Croatia, you have received the proposal. In accordance with Article 204. The Rules of Procedure, the emergency procedure unites the first and second readings, the amendments can be submitted by the end of the debate. The debate was conducted by the Committee on Legislative Affairs and the Committee on Economic Affairs. You received their reports at the session. Introducing the draft law, Deputy Economy Minister Mr. Allen Leveric will explain.
ParlaMint-HR_2014-01-23-0.u66940	Thank you very much. The existing legal solution when it comes to the gas supply itself to which a specific gas supplier is determined by the supplier's public service obligation until 31 March 2014, which means that natural gas currently has a obligation to supply public service providers by the end of March. When the gas storage contract with the underground gas storage company expires, it is not sufficient for further gas supply to be provided to the household. So we have a situation where by March 31st, natural gas has this obligation. Given that the necessary preconditions for the full liberalisation of the retail gas market have not yet been met in the Republic of Croatia, certain legal solutions could have a significant impact on the further development of the retail gas market in the Republic of Croatia. Therefore, in order to ensure the security and reliability of the supply of gas to customers in the category of household, this legal solution opens up the possibility of declaring the strategic part of natural gas production on the territory of the Republic of Croatia, i.e. the possibility of a wholesaler who is obliged to buy gas from the natural gas producer and to hand it over to suppliers in public service at regulated price, exclusively for customers in the category of household and gas supplies of those energy operators, legal and natural persons who supply heat from gas to households in accordance with the law governing heat energy is appointed by the Government of the Republic of Croatia. Taking into account all the necessary preconditions for the complete liberalisation of the gas market, i.e. the deregulation of the final gas price for households such as the establishment of a system for the protection of endangered customers, the appropriate level of development of the wholesale market, the achievement of technical preconditions for the efficient change of the gas supplier at household level, the availability of natural gas produced in the Republic of Croatia to participants on the gas market under the same conditions of economic growth and other, which are still not met in the Republic of Croatia, the possibility of introducing a transitional period during which the wholesale end-priced gas component for households would remain regulated. It also currently holds 56 energy entities, 35 of which are mandatory public services, in accordance with the Gas Market Act, in the register of the Head of the Rotten-led Balance Groups, 12 of which 8 actively participate in the gas market. Of the leaders of the balance sheet group, the largest market share currently has natural gas, which in 2011, was 100%, in 2012, 93.3%, while in 2013, it was 82%. By 31 March, natural gas was designated as supplyer for public service obligations to energy providers at the annual level and due to that date, the sole user of the gas storage system. The Government's decision on the price for the supply, and according to the Gas Market Act, is valid until 31 March 2014 and amounts to €0,23756 per kilowatt hour. Thank you.
ParlaMint-HR_2014-01-23-0.u66941	Thank you very much. Do the committee's reporters want to take a word for it? No, I don't. I'm opening a debate. The first is on behalf of the Croatian Labour-Stranke Labour Club, a colleague named Mladen Novak. Here you go.
ParlaMint-HR_2014-01-23-0.u66942	Thank you very much. I'll be brief. I'm going to repeat that intro part of the past law, and it's all about the same again. Article 65(3), again, does not foresee who would assume the obligation to pay gas costs to vulnerable customers. Now, I'm going to be a little naughty, so I'm going to say that it probably means that the supplier will be the one who takes the cardite role, so he's going to play some charity institution and bear those costs and take over the social part of the government's policy as we know it's not true. But I will remind you of the obligation of the Republic of Croatia to define the so-called Energy poverty and that deadline was until 8 May last year and I repeat this story again will be several times the working body met and will be soon and then you hear a member of the working body who says it will not be until autumn, and most likely not until the end of the year. I must stress that in such procedures, the Government of the Republic of Croatia is also being exposed to possible sanctions as it is a violation of the EU directive. So I hope that the representatives of the government will consider that at the end of this money that we could give and which we are obliged to give to these threatened customers, or suppliers, we will not have to invest in a common casino in Brussels. The amendment and this is what we have proposed and I appeal for it to be accepted because this is really a minimum of minimum, and we end up defining ourselves, and this country is even by the Constitution of the social state, I just don't see with such provisions as to what it proves in practice. Thank you very much.
ParlaMint-HR_2014-01-23-0.u66943	Thank you. On behalf of the HDZ Representatives Club, colleague Ivan Shuker. Here you go.
