ParlaMint-HR_2014-02-28-0.u64252	And now I see a colleague of Mile Horvat reporting, no. Mr. Pupovac, come in.
ParlaMint-HR_2014-02-28-0.u73031	Thank you too, Deputy. I thank both my associates and my associate. This concludes the debate. We'll vote later. We continue with a session Wednesday with a proposal for a Law on the Protection of Persons with Mental Disturbation, First Reading, P.Z. No. 612. Have a nice weekend!
ParlaMint-HR_2014-02-28-0.u73032	Now we're going to move to decision-making on the final points of the agenda, discussed here in the Parliament. First is the Proposal for a Law on Amendments and Supplements to the Law on the System of State Administration, first reading, PZ No. 619, the debate is closed. In accordance with the proposals of the working bodies, I am voting on the following conclusion: "1. The proposal for a law amending and supplementing the Law on the System of State Administration is hereby adopted. 2. All objections, proposals and opinions will be addressed to the applicant in order to prepare the final draft law. I'd like to make a statement about the proposed law. Who's in? Thank you. Who's against it? Thank you. Is there someone restrained? What's the score? I find that most votes, 83 votes in favour, 16 votes against and 5 abstentions have been reached. Proposal for a decision to appoint members of the Committee on Fiscal Policy. the proposer of the decision is the Committee on Finance and the State Budget. You've received the motion for an act. When making a decision, the provisions of the Rules of Procedure relating to second reading shall apply, those shall be the provisions of Article 194 to 202. Rules of Procedure. Would the applicant's representative like to further explain the proposal? Yeah. The chairman of the board, Honored Representative Srdjan Gjurkovic. Here you go.
ParlaMint-HR_2014-02-28-0.u73034	Thank you very much, Mr. President. Dear colleagues and colleagues. Committee on Finance and the State Budget of the Croatian Parliament pursuant to paragraph 2. At its 62nd session held on 26 February 2014 following the debate, the Commission decided unanimously to propose to the Croatian Parliament to adopt the next Decision appointing members of the Committee on Fiscal Policy. The members of the Committee for Fiscal Policy are named Master Vesna Kasun, representative of the State Audit Office, Dr Daniel Nestic, representative of the Zagreb Economic Institute, Dr Vjekoslav Bratic, representative of the Institute of Public Finance, Dr Ante Žigman, representative of the Croatian National Bank, professor Dr Saša Drezgić of the Faculty of Economics and Dr Natasa Zunic-Kovačević from the ranks of representatives of the Faculty of Law. In the light of the proposal for a Decision appointing members of the Committee on Fiscal Policy, it is clear that the commission consists of presidents and 6 members of the commission, that members of the commission should be appointed by the Croatian Parliament on a proposal from the Committee on Finance, the state budget for a period of five years and after the term of office may be re-appointed. Members of the commission were elected by secret, public vote and unanimously confirmed because the Faculty of Economics of the University of Zagreb, Osijek, Split in Rijeka proposed their candidates and have the right to one, and the Faculty of Law in Zagreb, Split, Osijek and Rijeka have proposed three candidates and have the right to one. The Committee on Budgets and Finance has therefore unanimously proposed these candidates, so I suggest you support them. Thank you very much.
ParlaMint-HR_2014-02-28-0.u73035	Thank you, too, Mr. President-in-Office of the Committee. I'm opening a debate. There's no interest. I'm closing the debate. I am voting on the proposed decision. Please raise your hand to make a statement. Who's in? Thank you. Who's against it? Does anyone have any abstentions? I'm asking for a result. I note that the proposed decision was taken unanimously by 107 votes in the text as proposed by the applicant. Proposal for a decision appointing a member of the National Attorney's Board of Representatives. The Proposer of the Decision is the Committee on Justice. You've received the motion for an act. The provisions of the Rules of Procedure of the Croatian Parliament relating to the second reading shall apply to the adoption of the Decision. These are the provisions of Articles 194 to 202 of the Rules of Procedure. Does the proposal's representative want to further explain the proposal, which is the chairman of the committee? No, thank you very much. I'm opening a debate on the motion for a decision. There are no interested, there are. Dear Representative Josip Salapic, please be my guest.
ParlaMint-HR_2014-02-28-0.u73037	Thank you very much, Mr. President, members of the State Judicial Council and the State Attorney's Council for the 2010 amendments to the Constitution of the Republic of Croatia are very important places. In Article 125, it reads: "The state's attorney council has 11 members and is composed of 7 deputy state attorneys, two university professors of legal science and two parliamentary representatives of which one of the ranks of opposition.". It says here in the Justice Committee's decision, I don't doubt the committee's good intentions or doubt the proposed candidate, the next thing I know, the place of opposition. It is not only the Croatian Democratic Community but also the HDSSB and laborists and others. He writes: "The Committee launched a procedure for running for a member of the National Attorney's Council at the 31st session of the Committee held on 19 June 2013. A year.". I do not remember a respected colleague and colleagues, do not mind if something has been said to misread it but for important places such as members of the State Judicial Council and the State Attorney's Council should be consulted with members of the opposition because the opposition in the Croatian Parliament represents both HDSSB and Labourists and the Croatian Democratic Community. And I am also saying this on the basis of my own experience because I was a member of the State Judicial Council, and I accepted leaving the former party my shift from that council, and I made an oath before the Croatian Parliament, and afterwards, in consultations with the members of the State Judicial Council, it was said that this place belongs to the opposition under the Constitution of the Republic of Croatia. But I didn't object, and I gave it the right then to have a party with the highest number of MPs, and that doesn't say it in the Constitution, I left for personal reasons, and now that things like this are important for the future, we're asking for these important things to be discussed with the opposition. And Mr. President, we disagree that today's vote is due to the need to consult with all parties of the opposition. Thank you very much.
ParlaMint-HR_2014-02-28-0.u73038	We have replicas. The first replica of the esteemed representative, Ivan Shuker.
ParlaMint-HR_2014-02-28-0.u73039	Thank you very much, Mr. President of the Croatian Parliament. Comrade Salapic, two weeks ago, there was a debate here exclusively about principles, about nothing else. You who then replicated to me on behalf of the HDZ Club have violated those principles. And it's not correct though I agree with what you said that we understand each other because if the place belongs to the opposition then the opposition... I'll make a deal with him. [[The speaker doesn't understand.]] But I'm talking about principles, humanity has survived on principles and on some kind of arrangement. But we can't interpret politics and behave in this High House as it pleases us at what point. So it's about principle. And I said at the time that I was very embarrassed to argue on the human side, but we just have to stick to the principle. And if you were against that principle then, look at this debate then you have no right out of respect for fellow Milicevic to be a different attitude.
ParlaMint-HR_2014-02-28-0.u73040	Replica response, respected representative Josip Salapic.
ParlaMint-HR_2014-02-28-0.u73041	Dear Representative Shuker, if you have now mentioned the principle of the appointment of Mrs Kosor to the Committee on Foreign Policy I was not there at the time, I was in Osijek, to remind you. Next, the Constitution of the Republic of Croatia is not the principle but the basic document and the largest legal act in the country. This Regulation shall enter into force on The Constitution of the Republic of Croatia writes The State Attorney's Council has 11 members and consists of 7 deputy state attorneys, 2 university professors of legal science and 2 parliamentary representatives and one from the ranks of opposition. It's not a principle, it's a fundamental legal document of this country. If the State Attorney's Council and the State Judicial Council are to be referred to as a principle, I'm against it. And to remind you of the other side when you mentioned that you were living on principle, I didn't object to the principle of human beings when you replaced me from the State Judiciary Council because I left the party for human reasons, personal and human. And then I didn't object, and I had the right to be a member of the State Judiciary Council for another two years because I acted with honor in my duty, taking an oath before the Croatian Parliament. I did not object, nor did I ask for it, and the principle is the Constitution, and the Constitution is not the principle but the highest legal act, and if we act as representatives of the Croatian Parliament, then we will respect the Constitution. I stress, I have nothing against Representative Milicevic, I don't know the man, I don't know his qualities and I wish him all the best in life, but this is the Constitution, this is our right, and I, as president of the HDSSB Club, object and ask that this point be removed from the debate because the State's Attorney's Council is not some alternate station but an independent body, one of the very important in the legal order of the Republic of Croatia.
ParlaMint-HR_2014-02-28-0.u73042	Dear colleague, we have received a legal and legitimate proposal from the working body, the competent working body of the Croatian Parliament and I from this position have nothing to add. I don't participate in consultations, nor do I have the right to participate. We can't do this anymore, I'm sorry. We'll get to the bottom of this. Is there anyone else to discuss? ... Thank you very much. [[The intruder doesn't understand.]] I'm closing the debate. There are no others to discuss. I would like to ask the vote to make a statement on the motion for a decision. Who's in? Thank you. Who's against it? Thank you. Who's restrained? Thank you. I'm asking for a result. I note that the proposed decision has been made by a majority of votes, 98 for, 3 votes against and 5 abstentions, in the text proposed by the applicant. Proposal for a decision appointing a member of the HRT Supervisory Board. The decision is proposed by the Committee on Information, Information and Media. The motion for a decision has been made. Does the proposal's representative, the respected representative Branko Vuksic, want to further explain the proposal? Yeah. Here you go, Your Honor.
ParlaMint-HR_2014-02-28-0.u73044	Dear President of the Croatian Parliament, distinguished colleagues and colleagues. Just to clarify, it is the principles that, when we talked about the Programme Council and the Supervisory Board of the HRT, we reached agreement of clubs in the Croatian Parliament and agreed on principles and we stuck to these principles. So, at the previous meeting of the Committee on Information, Information and Media, a decision was taken by majority vote, with one vote abstention, that Mr Mate Radeljic should be the fourth member elected by the Croatian Parliament, member of the Supervisory Board. And I repeat again, all the clubs in the Croatian Parliament agreed on the principles of choosing the Programme Council and choosing the Supervisory Board and the Committee adhered to those principles.
ParlaMint-HR_2014-02-28-0.u73045	Thank you very much. I'm opening a debate. A HDSSB club and respected representative Krešimir Bubalo signed up for discussion.
ParlaMint-HR_2014-02-28-0.u73046	Thank you very much, Your Honor. My colleagues and colleagues. In fact, counterpart Vuksic said that every vote when we talk about this Supervisory Board is a matter of principle. Yeah, especially when it comes to a person. It must be moral, must be responsible, and must be such a résumé to fit all parameters and needs of that demanding place. But we at the HDSSB think it's not a matter of principle here, it's a matter of trade, it's a matter of transferring the HDZ-SDP coalition from the city of Osijek to the HRT Supervisory Board, and I believe in these constituencies tomorrow. In fact, on behalf of the HDSSB Club, I'm going to say a few important things that we think are very important before your decision is made. I believe that HDZ and the SDP have sat down on this and agreed on this, but we in the HDZ are not going to support it, and now I'm going to tell you what the reasons are. Namely, anyone who knows Mata Radeljić, and you have a chance to read and read daily.hr from Thursday 30 January, a pidanteria from the biography of the most powerful man in eastern Zagreb, who is actually a powerful spin doctor who will connect Karamark and Milanović. Mate Radeljić, whom Ossetani is called Matan by character from Vrdoljav and Raos's "Foreign and Sons" after 15 years of serving Glavas, Sanader, Vrkić, returns to Zagreb where he will take care of all HDZ campaigns, European and presidential. In addition, as a member of the Supervisory Board, he will control HRT for both Karamark and Milanovic chiefs. In this text, Mato Radeljic, who is the main character of the text, ideological commissioner for all time and all political options, is mentioned. Namely, when journalists describe him, he is a person with fascinating talent for distorting facts, falsifying events, assembly and construction. I'll leave you to read that text, and I'll read you exactly the letter I got from HRT employees. We address you with genuine hope that you will read this letter and take our reflections into consideration. Very quickly, in accordance with the agenda, you will vote on the election of the fifth member of the HRT Supervisory Board. If you can trust the reports of certain media, which are generally accurate information, you parliamentary representatives will select the former Croatian journalist Matu Radeljić. Namely, the Parliamentary Committee for Information, Information and Media published a conversation with three candidates for member of the HRT Supervisory Board, and I am referring to Radeljic as a safe choice. That former journalist is the reason why I am writing this letter to you, hoping that you will read it carefully and consider it carefully before you raise your hand on this agenda item. You're our only hope right now, and we want to believe you'll listen to us and protect the national TV house. Mate Radelić is primarily without exaggeration and exaggeration of persons of dangerous intent. It's about a man who doesn't follow any methods to achieve his goals. In the best way, the workers of all the media in which he worked and so did we at HRT because, in the same pattern, he managed to fight with each other over a short period of time, which took months after his departure until normal human relations were established. Its unscrupulousness, hypocrisy and insidiousness is probably best spoken of by the fact that Mate Radeljić was fired after he received a letter literally written on the port even entering the premises of the Osijek HTV studio in 2000. There are documents in that TV study about this. From the period Radeljić's bossing in HTV studio Osijek also connects affairs about setting up the apartment through free advertising of certain companies. Namely, Radeljić bought an apartment in Osijek that was to be arranged, and for the next few months in various informative shows, reports from Osijek companies that for the benefit of Radeljić pointed out things to edit the apartment on the street of the Croatian Republic. Radeljic changed several bosses during his journalistic and PR career, but with all of them he kept the same principle of work. First a servant's relationship, then a run to the second camp and a chase at a recent employer. Radeljić served Franji Tudjman, Ivo Sanader, Jadranka Kosor, Branimir Glavas, Anti Djapic, and his last employer, the controversial Osijek entrepreneur Željko Biloš, owner of local Osijek television. Along with the latest Radeljić's boss, affairs about tax evasion at his company Old, but also the leak of information and information for service reasons, which is why he was recently arrested. Radeljic was recently the director of the mentioned Osijek TV, which was the subject of an investigation into the trial of Ivo Sanader in the Fimi-Media case due to the purchase of equipment through black funds. Although Radeljic is currently the head of the Office of Mayors of Ivica Vrkic, it is not a secret that he is preparing to go to Zagreb where he would run HDZ's pre-election campaign for Europarliamentary, presidential and parliamentary elections, and the election at the HRT Supervisory Board will be a bouncy tool for carrying out these campaigns. It is known how Radeljić is one day seen at the site of the editor-in-chief or director of HRT. That, according to our deep conviction, would be the final failure of the public service. We hope that you will take seriously our allegations that you can very easily check by talking to any journalist who has worked with Mato Radeljić at any time. You are our last hope at this time that we will be able to protect HRT from the entry of people whose main way of working is to plant, argue and bring discord between those disrupted relations within the HRT. Croatian Broadcasters. Namely, I want to remind you of the material in front of you. One of the pages is the work booklet Mate Radeljić where he worked at HDZ from 1.11.2004 to 3.2.2005, a man who changed more parties than HDZ, DC, HDZ, HDZ, Djapic, etc. I don't know if he's in HDZ or SDP right now, but he's probably in HDZ. Therefore, he has changed a lot of these parties, but in this material that we have received, which was delivered on 31.12.2013, Mate Radeljić complements the tender documentation and says: "Respected, I am delivering an updated résumé in connection with the selection of members of the HRT Supervisory Board carried out on 16 December 2013 with the tender documentation that I sent on 27 December 2013." So 3 days after Mato Radeljic remembered that he didn't write that he worked at HDZ, and by chance we have a work book where he was seen working at HDZ. Well, I'm curious now whether he works at HDZ, and he needs to get paid in the SDP or what's the reason that we have Mat Radelic on the agenda today. There are a lot of these questions that we're asking ourselves today and what are the reasons why we don't have the names and other candidates listed in the material for this very important place on HRT. After the resignation of Ms Vesna Kusin was submitted on 14 June 2013, only the December 2013 contest was opened, but when we look at this very name that is proposed better that the Supervisory Board should not receive that member, because we are aware of what results HRT will have at the end of this year and especially next year. But we witnessed after discussions and unpaid taxes on HRT during HDZ rule almost 120 million kuna and results at the end of last business year. It's probably in order to make HRT even more scattered, to make HRT even worse, for HRT to really not be a public service, what is needed. Therefore, on behalf of the HDSSB Club, I urge you once again to reconsider your conscience, but also read these texts that I was talking about about Mata Radeljić. The HDSSB won't support this. Here is not just a matter of principle, here is a question of morality and how a person should come to the Croatian Supervisory Board for which we should raise our hands in this Croatian Assembly. Thank you very much.
ParlaMint-HR_2014-02-28-0.u73047	Thank you, Your Honor. Before we go to replicas, I would like to say for your sake and the Croatian public what you read the esteemed representative letter to us unknown letter bearer, you stood behind those words, do you understand, so no one else because we know nothing about the letter, we didn't get it, you gave it to the Croatian public and it is your responsibility. And now we're going to the replicas, the esteemed representative Jasen Mesic.
ParlaMint-HR_2014-02-28-0.u73048	Dear colleague, you have succeeded in bringing HDZ and SDP together in your presentation. The only thing that kills you this time is that you don't have the last word. It means nothing to you, not even practically unanimous decision by the board, but you are not telling the truth that the contest was called within 12 months because the tenders were previously cancelled. You forget that the candidates were invited to present themselves for a conversation, they had the right to talk about it. And you don't say anything about the duties of a candidate who will be elected to the Supervisory Board. Before that, you should consult the HRT Act, see what is being assessed about the proposed candidate, and then say whether someone fulfils the conditions or does not meet the requirements. The main motive for you is that you have old personal accounts related to the proposed candidate and you completely forget that those bodies that have been selected in this House by such consensus as the President of the Committee, which is the Programme Council and the Supervisory Board, have better reports and give better results than those that have not been selected. I also remind you that the HDSSB was involved in inter-party agreements when the selection of individual candidates was organised and it was highly respected what the representatives said. This way to push it, in this way for a payphone as a partial political interest, not to mention neither the duties nor the laws but to talk about something personal, personal life, and from a personal cancer and a personal view, says that you do not care about HRT, but that you only respect HRT when you have the opportunity to judge it. You've been eliminating this choice for weeks, not allowing... on the agenda.
ParlaMint-HR_2014-02-28-0.u73049	Thank you very much. Replicate response, distinguished representative Kresimir Bubalo.
ParlaMint-HR_2014-02-28-0.u73050	Thank you very much. You asked a nice question about the HDZ and SDP Coalition, so it's not just in Osijek, we have an example to see in Dubrovnik and some other areas, it's probably a pilot project for what follows after the next parliamentary elections. But just listening to you and reading the law, Article 22 where the rules are defined and what that applies and what kind of person it must be to really be elected to the HRT Supervisory Board for this reason HDSSB and I, on behalf of the club, have just talked about that it is not a matter of principle but of skill, ability, and above all the morality of a person elected to a particular supervisory board. But the other day we were discussing the HRT report, 120 million kuna of unpaid taxes, just from the time you were Minister and more.
ParlaMint-HR_2014-02-28-0.u73051	The Honorable representative of the Sun's Head.
ParlaMint-HR_2014-02-28-0.u73052	Thank you very much, Mr. President. Comrade Bubalo, I am very surprised by the level or the low level of your debate. I believe you have not heard or disobeyed, so I will repeat to you what the President of the Committee has said, that the proposed candidate has met all the conditions that have been issued by a public invitation. I regret that you are not referred to the authority of the HRT Supervisory Board or that members of the HRT Supervisory Board actually have to work. In a very ugly way, you've allowed yourself to deform a person who may not even know our colleagues or most of them, and they've all agreed on such a decision together, as you've heard. If you knew any of this, then you were guilty of not acting in other situations sooner than when it comes to a political stage this kind of thing so as to politicize it in your own favor and promote only you known interests and desires. Comrade Bubalo, you obviously don't like Mata Radeljić, it's clear to everyone now. You're acting like an abandoned young man and in a jealous outburst here you're talking about Mr. Radelic. That's what it felt like to me. So, you don't like Mate Radeljić, you're jealous, so please refrain from these comments and leave politics for another stage. When you list political parties and you could say a lot about them, who's when, where he's gone and where he's been. Thank you very much.
ParlaMint-HR_2014-02-28-0.u73053	Replicate response, distinguished representative Kresimir Bubalo.
ParlaMint-HR_2014-02-28-0.u73054	Thank you very much. Fellow Members, we do not have what to love or not to love, but just when a person is to be appointed, it is always necessary to look at his life’s path, his morality, and his values in order for someone to reach a certain place. Well, you probably couldn't have been HDZ spokeswoman anymore, but you didn't meet certain criteria. So it's an important thing that man meets certain criteria but you just mentioned that you were surprised by the low level of my debate. So I think it's much more important than who chooses exactly that low level of low passion but also those things and claims that I made in my debate just reading the part that I was talking about when we talk about the articles being presented but also what the journalists say. Anyone who knows that person can accurately confirm that it is the right thing to do.
ParlaMint-HR_2014-02-28-0.u73055	Thank you very much. Now it is up to the respected representative Jasen Mesic on behalf of the HDZ Club. Here you go.
ParlaMint-HR_2014-02-28-0.u73056	Thank you, Mr. President. My colleagues and colleagues, here at the time of Friday's vote, no matter what practically a month ago we had this decision on the Media Committee where it was practically unanimous. I'll remind you why it's important to fill the bodies on HRT. When the 2010 law was amended, based on a political consensus, when amendments and amendments were passed and before them the main motive was not to fill empty spaces on the Supervisory Board and the Programme Council in order to prove that the law was not working, so as to prove that HRT is not doing well, in order to be accused of indifference and crime, regardless of the people who were responsible for the implementation of the business policy afterwards became directors of the state agency, for example for investments or temporary managers in the Croatian Chamber of Commerce. And these people here in the Croatian Parliament have been accused of running unworthy politics on HRT. For 6 months, it was not intended to elect members of the Programme Council and the Supervisory Board to block their work and to go to the amendments and amendments of the law on the platform without discussion of previous reports. If someone here broke the law, then it was the competent ministry and the government because we didn't fill those places and it was a crime compared to the existing law that could change most of the votes in parliament, but while the old ones were in force they had to respect it and they didn't. Why do we want the Supervisory Board to be in full composition and to function? So precisely because, in the previous debate on the HRT, the management of the Programme Council and the Supervisory Board's reports, which were elected to such a consensus and the party parliamentary agreement, were the best reports and, most of them, representatives and representatives of all clubs referred to that part and here sought a foothold for the development of HRT and the calming of the situation on HRT. Why do we want a complete Supervisory Board? So that we may once again come to the opportunity that when the votes of the Supervisory Board show mistrust to the Director, we can discuss this again in Croatia. That's why we want the full composition of the Supervisory Board, because according to the new law on HRT, they are given powers on the basis of which we require them to do so and now is the completion of the Supervisory Board is actually turning their heads from the situation on HRT. Because in its first meeting, the Supervisory Board came into conflict with the Chief Director over the statutes where the increased financial limits on which the Director-General can decide on its own initiative, up to 10 million kuna. Because they are announced by the Ministry of origin that HINA will be financed from the subscription of HRT, i.e. from the fee which is illegal and we want the Supervisory Board on HRT to be able to discuss it and, if necessary, intervene. That's why we want a complete Supervisory Board. Because in the first quarter of 2013, it was raised from 120 million kuna for the purchase of equipment that was to be spent already in the 6th month of 2013, which was not. That's why we want a complete Supervisory Board. Because the restructuring programme was to be implemented in the 5th month 2013 according to the Director-General's programme, and it is not, and that is why we want the Supervisory Board to be complete and to discuss it. Because 31.11. the Director-General announced that it has a profit of 95 million kuna, if so, in accordance with the Financial Business Act and pre-demand settlement, Article 12 is to make all payments within 30 days unless there is a special contract, then up to 60 days. If that's true, then it's all right, and if it's not in accordance with Article 86c of the same law, we're looking for financial supervision on HRT that will first be presented to the Supervisory Board to see it. If someone in plus 95 million kuna is a month before the end of the year, does he meet the legal obligations made by this government? We're looking for financial supervision, that's what we were looking for when there was a report here at HRT. I believe you'll all support us on this. We are also looking for supervision of the increase in pay coefficients for individual journalists in individual newsrooms, above all in the information service. Which is why, why and how when it is called for restructuring at the same time and when correspondence is abolished. That would be something I was expecting to intervene with my colleagues from the HDSSB. 2012, this is just a policy that continues and in mid-2012 when 40 people were changed in 2 weeks and in that second half of 2012, according to the reports we saw we had a drop of 20% of the production of software content, we had a 4% salary increase, which means that without any criteria, the increased salaries were distributed to individual people and we also had the division of office functions, we had a delay in running the third and fourth channels and we had a conflict of statutes. That's why we want to complete the HRT Supervisory Board. So just so it doesn't happen that certain debts that are most created are re-created, they know well what age and period of term of office. Since I deeply believe that the political consensus when it comes to HRT is, for this reason, and we respect from the beginning to the end of the principle that the chairman of the Media Committee has also laid down, which is that we have strictly adhered to the agreements between the parties in Parliament and how to approach the selection of individual members of the Supervisory Board and the Programme Council. And during the Committee's work, we have reviewed the professional criteria that were sought in the competition. Where is the importance of HRT for Croatian society if we absorb only an information programme where we try very often to attach? It is an economic stopper of a fully audiovisual sector because the software content in their production and supply goes to over 300 million kuna every year. If you compare that the entire film production of the state leaves a little over 30 million in the budget, and here 15% of the total fee must go, then you realize what is the possibility and development of audiovisual industry and economic development and economic activity, and thus also a platform for producing something that will preserve cultural identity. It's a taste problem, and that's why, among other things, HRT is important, and not because of this one, this one was here, this one was doing this or this one doing that, we've known him since then, we've known his father, we know his best man and everything. This is our goal, and that is why we are ultimatically seeking to fill in the Board of Supervisors. And we have asked for this before and it has been shown in the programme council whose report was best here in the Croatian Parliament regarding how to work quality on the basis of political consensus and the choice of people who supported different political groups. In this sense, the HDZ club will support this choice, precisely because when you look at the resume that you can see that the criteria are absolutely met. Keep your colleagues and colleagues in mind that we tried to highlight this opportunity so that we would not later be sorry that we were late in some of our activities or because we may not have had opinions such as the Government of the Republic of Croatia which, in its 2012 opinion, was unable to say whether it had a positive or negative opinion and had a neutral opinion. Thank you very much.
ParlaMint-HR_2014-02-28-0.u73057	Thank you, too. Dear Representative Josip Salapic, replica.
ParlaMint-HR_2014-02-28-0.u73058	First, Mr. Mesic, I think you didn't need this at all right now. If you've assessed in the party that Mr. Bubalo has personally spoken to someone in his speech, then personally, it's not HDZ, and now you've shown your speech that it is. And now I'm going to tell you something from principle and every time I answer, and I have experience where I've been and I'm not going to say that I've defected, but I've gone because of the lowest level of humanity and not the principle. First, in principle, where do you get the right to speak in this way and the other candidates who have applied for a member of the Supervisory Board are quality people, and then if the quota is just politics, if politics can tell who is the best quality, no matter what, then let him give a personal assessment that he says what he wants, if you have assessed that he is a personal appraisal. Secondly, let the Supervisory Board and the Government of the Republic of Croatia take care of Croatian television because I was there last night that building, given the principle... that not only Sanader ended up in prison, needed many more, let that building turn into a prison because there will be no place for prison in the Republic of Croatia. That building on Prisavlje is suitable for one great prison for all those who had "principles", and give the money the people pay for a subscription to build an adequate space for all HRT employees. Here's a proposal from the HDSSB. And secondly, when it started out like this today, it went straight to the end. Last week, you discussed with Jadranka Kosor whether the former Prime Minister who put 90% of you here in the House should be a member of a non-paid committee and where he shows his will to work and the principle of the State Attorney's Council. If it says here that you've consulted all the club representatives, and no one's asked us anything, and then it says in a memo from the HDZ Representatives Club, that's what decided. Is that a principle? And now next time we'll talk about the principles we keep quiet about, and there's a lot of them if that's what you're talking about.
ParlaMint-HR_2014-02-28-0.u73059	Thank you very much. Reply to the replica, respected representative Jasen Mesic.
ParlaMint-HR_2014-02-28-0.u73060	My dear colleague, you spoke of something I didn't mention one word. I have told you all the time that our position is related to HRT, I have apostrophe of what is important to us and why we want to fill in, not mentioning any single name and asking you for support for those views, so that the Croatian Supervisory Board will function because Croatian citizens' money is a respected colleague. And I couldn't look as focused as you are, but I tried to list the arguments that you've obviously heard, and they're very important, and they'll be waiting for us in the future, and they'll show up at your desk, sooner or later, maybe in the next HRT report that we need to talk about. You're telling me why you went to me in the replica, I'm telling you about filling out the board of directors. Well, it's a respected colleague of yours, yours in some way and your decision. I really don't think I should discuss it when filling out the HRT Supervisory Board, so I'm sorry, maybe one day a documentary movie or something like that is being made. But that's not the point. Even so, if the subject is the selection of members of the Croatian Board of Supervisors in the Croatian Parliament, do you think HDZ should not report to discuss this after all but rather listen to what you are passing on to us from individual anonymous letters. I have so many from HRT and about many, and many from your party could be read on portals and in individual letters, where they would arrive. We want to fill out the supervisory board for the arguments I presented to you. And I believe you'll appreciate it if you don't want to understand.
ParlaMint-HR_2014-02-28-0.u73061	Thank you very much. Honorable representative Kresimir Bubalo, replica.
ParlaMint-HR_2014-02-28-0.u73062	Thank you very much. You said that the decision was reached unanimously. The Committee has not made a unanimous decision and it would be logical to see the life of other opponents, that the Croatian Parliament can make better decisions on these names. However, you spoke in your discussion and on the restructuring of HRT, and that was exactly what should have been done during your term of office while you were Minister of Culture or at least started in that term. But what's important, there's no expertise here, we see failure here. I thought in your presentation you might say something about Fimi-media and what I mentioned, and I also said in my debate. But what I can say based on your discussion will certainly make you a good actor in this film you were talking about.
ParlaMint-HR_2014-02-28-0.u73063	Reply to the replica, respected representative Jasen Mesic.
ParlaMint-HR_2014-02-28-0.u73064	My dear colleague and against some of your members, I expected you to mention in your debate some procedures that are being conducted and investigative actions if you already have an account clearance. The restructuring is never carried out in the last year of the term of office, especially not in one of the biggest public enterprises that is extremely sensitive. And imagine that about six months before the elections, someone started to restructure Croatian radio television. Imagine he started it. What would that... and political recommendations are caused in public, so of course, because that's not how it's done at the time. [[The speaker doesn't understand.]] I've only quoted you as the director-general's program, which you're protecting from the supervisory board. Don't you let the board of directors, the board of directors, discuss it in full, because it's obviously in your best interests. So his program clearly lists these dates for which, by the way, the 120 million kuna loans that were on the monitoring board for which we have no information, and I guess we'll get them when we have the 2013 schedule. As far as the board is concerned, I repeat my colleague to you, interviews have been held for each function. There are résumés, you can get them, there have been good candidates and who have failed to pass any previous elections or current elections. But simply mostly, I said almost unanimously, I think there were six votes for and one abstention, almost unanimous, I apologize if I said it wrong. Therefore, the next candidate was proposed in this regard.
ParlaMint-HR_2014-02-28-0.u73065	Thank you very much. We're continuing the debate. On behalf of the Social Democratic Party Club, the respected Vice President of the House Nenad Stazic.
ParlaMint-HR_2014-02-28-0.u73066	After coming forward, respected counterpart Krešimir Bubal and after his finding that Mr Mate Radeljić is a proposal stemming from HDZ and SDP's co-operation, I am obliged to say the following, what I am saying, I am speaking for the public to know the truth, primarily because of the SDP voters. So they don't stay confused after this finding. Mate Radeljic has absolutely nothing to do with the SDP or any co-operation between the SDP and HDZ. It is elected as a member of the supervisory board from the ranks and on a parliamentary minority proposal. The parliamentary minority in this House is made up of HDZ, HDSSB and Labourists. The SDP has never been and will not arbitration within the parliamentary minority they will propose. They won't do it because of democratic principles. Because if the parliamentary minority has the right to make its proposal, it is because the parliamentary minority can never vote on that proposal unless the parliamentary majority agrees. Therefore, as long as the SDP is parliamentary, the majority will respect the democratic right of the parliamentary minority to present, it proposes its candidate. It is about like when it is elected, not roughly, but exactly the same as when the vice-presidents of the parliamentary minority are elected. The SDP may have no objection to the proposals but will vote on those proposed by the parliamentary minority. We had, we could have had reasons to, for example. We are not voting for Mr. Culk because in his last term as parliamentary representative he threw a bottle at his colleague today's Minister Bauk. One completely unparliamentary behavior and enough reason for this man to never be elected Vice President of the Parliament, we have not arbitration. We haven't arbitration because it's a proposal for a parliamentary minority and it can suggest whoever it wants. So you gentlemen from the parliamentary minority, HDZ, HDSSB, Labourists, please choose to agree on whom you propose, we will accept it. But Mr. Bubalo, in the public interest and in the interest of defending the dignity of the SDP and democratic principles, don't do it because you had a fight with the HDZ, don't transfer it to the SDP, it's just not fair and it's not true. It's not fair, it's not true. Therefore, agree, we as the parliamentary majority of each of your candidates will accept but do not force us into arbitration and do not force us when the legitimate proposal of a parliamentary minority comes and when we accept it do not accuse us of some kind of cooperation,... It has absolutely nothing to do with HDZ. [[The speaker doesn't understand.]] I'm saying this first of all for the public. Thank you very much.
ParlaMint-HR_2014-02-28-0.u73067	Now on behalf of the Croatian Labour Club, respected representative Branko Vuksic.
