ParlaMint-NL_2021-10-28-tweedekamer-10.u1	The next item is the follow-up to the budgetary treatment of Health, Welfare and Sport.
ParlaMint-NL_2021-10-28-tweedekamer-10.u306	Yeah, that could be true. I have tabled the motion here because I find healthy life essential. We already have the Healthy School, but it's very wide. Healthy food really starts in school. The Minister said just now that every minister should be a little Minister of Health. I can only agree with that. That's a pretty good idea. I also think that every minister should be a little Minister of Agriculture, so we agree on that. What Mrs Westerveld is saying is indeed worth considering, but I ask in this motion only to investigate it. So I'm not saying it has to happen now. But I'll say check it out. Then the Ministry of Agriculture and the Ministry of Education can work together with the Ministry of Agriculture and the Ministry of Education.
ParlaMint-NL_2021-10-28-tweedekamer-10.u307	Clear. Thank you, Mrs Van der Plas. Then I give the floor to Mrs Simons from BET1.
ParlaMint-NL_2021-10-28-tweedekamer-10.u308	Thank you, Mr. Chairman. First of all, I would like to say a few words about dissuading the amendment I tabled. If I understand correctly, the Minister would like to wait for the evaluation of the standard of care. This was about transgender care. But that evaluation isn't due until 2024. In the meantime, we will not do enough to shorten the waiting lists. I wonder whether the proposed coverage will allow other measures to be taken to shorten those waiting lists more quickly than only three years from now. Then I'm gonna rattle on three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that the Ministry of Health Insurance in the Netherlands has appointed a quarter of an hour by the end of 2018 to reduce waiting times in gender care, promote cooperation between providers and work on future-proof gender care;]] [[noting that the VWS Ministry had set itself the target of reducing the waiting times for transgender care by 50% at the beginning of 2022, but the waiting lists have increased considerably and this puts enormous pressure on the mental and physical well-being of transgender persons in the Netherlands;]] [[Whereas the quarter-timer is currently in talks with health insurers to increase the supply and consider whether the role of general practitioners can be increased in the provision of hormones, but this is not enough to reduce long waiting times;]] [[Whereas it is also necessary to invest in peripheral hospitals and independent treatment centres, guidance and conversion funds for (psychological) care providers in gender care, informed consent and triage protocols, self-help groups, and the coordination of waiting lists by an independent party;]] [[noting that the contract was extended to the quartermaster until 1 October 2022;]] [[Whereas the necessary measures to make gender care more accessible cannot be achieved before that time;]] [[Calls on the Government, in cooperation with Health Insurance Officers Netherlands, to hold the order to the quartermaster at least until 31 December 2022 and, if necessary, to extend it further;]] [[invites the government to involve clients and caregivers from gender care in the steering group and to examine whether the quartermaster has sufficient perseverance to implement the necessary measures,]] [[and goes to the order of the day.]] The Chamber, heard the debate, Whereas there is no guarantee that funds will go to youth care for young people; Whereas large organisations are in severe weather and other youth care organisations are unable to cope with the collapse of the large system organisations; Whereas this is likely to have a domino effect, with job losses likely to result in an already dramatically worrying labour market; noting that municipalities indicate that the funds for youth care can also be used elsewhere; noting that negotiations between employers and trade unions have failed because employers are not sure of additional income and are therefore unable to raise wages; calls on the Government to: all funds for youth care should be earmarked; to facilitate and finance sound business operations nationwide; ensure that employers and trade unions can reach a collective agreement as soon as possible; and goes to the order of the day. The: This motion has been proposed by Mr Simons. She's getting No. 93 (). [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas youth care is an essential provision determining the future of our youth;]] [[Whereas youth care is under pressure, which is at the expense of providing good assistance to young people and, in cases, even leads to excrement if locked up in isolation cells;]] [[Whereas we are facing a very acute labour market problem due to structural lack of attention for the (right) position of employees;]] [[Whereas the "hard cut" currently maintained between care for young people under the age of 18 and just above the age of 18 causes enormous problems, and youth care should not cease until the "big five" of security of life for young people has been regulated;]] [[Whereas the Youth Journey initiative of the FNV should be taken into account;]] [[having noted that at the time of the COVID-19 pandemic, the use of youth care has increased;]] [[noting that the reform agenda will be presented in February 2022;]] [[calls on the government to bring about drastic improvements in youth care and to include the following in the reform agenda:]] [[an end to confinement in solitary cells;]] [[a formal role of experience experts and social partners such as trade unions at the reform table;]] [[the abolition of the "hard cut" in youth care at the age of 18 if the big five is not reached at that time;]] [[improved (right) position of employees;]] [[and to provide the Chamber with a regular interim update of developments,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Simons and Mr Gündoğan.]] [[She's getting No. kst-35925-XVI-92]] [[This motion has been proposed by Mr Simons.]] [[She's getting No. kst-35925-XVI-94]]
ParlaMint-NL_2021-10-28-tweedekamer-10.u309	I have a minute left on the counter, Chairman, and I'm secretly very proud of that.
ParlaMint-NL_2021-10-28-tweedekamer-10.u310	You can take it back to another budget. Finally, I give the floor to Mr Van Haga of the Van Haga Group.
ParlaMint-NL_2021-10-28-tweedekamer-10.u311	Thank you, Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government to ensure that unvaccinated people will not be refused hospital treatment,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[decides to conduct a parliamentary survey on the Dutch government's approach to the corona crisis,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Netherlands has six ic-beds per 100,000 inhabitants;]] [[Whereas in Europe the average is 11.5 ic-beds per 100 000 inhabitants;]] [[calls on the government to scale the number of ic-beds per 100,000 inhabitants to the European average,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a test certificate at this time is valid for only 24 hours for the corona pass;]] [[Whereas the incubation period of COVID-19 is five to six days;]] [[requests the Government to examine whether the validity of the test certificate can be extended,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a recovery certificate is currently valid for 180 days;]] [[Whereas the OMT recommends a period of validity of one year;]] [[calls on the Government to extend this period of validity with retroactive effect,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Haga and Mr Van der Plas.]] [[She's getting No. kst-35925-XVI-95]] [[This motion was tabled by Mr Van Haga and Mr Van der Plas.]] [[She's getting No. kst-35925-XVI-96]] [[This motion was tabled by Mr Van Haga and Mr Van der Plas.]] [[She's getting No. kst-35925-XVI-97]] [[This motion was tabled by Mr Van Haga and Mr Van der Plas.]] [[She's getting No. kst-35925-XVI-98]] [[This motion was tabled by Mr Van Haga and Mr Van der Plas.]] [[She's getting No. kst-35925-XVI-99]]
ParlaMint-NL_2021-10-28-tweedekamer-10.u312	And then the final motion. That's Mrs. Agema's motion. I don't know if it's Van Haga/Agema.
ParlaMint-NL_2021-10-28-tweedekamer-10.u313	It's Van Haga/Agema.
ParlaMint-NL_2021-10-28-tweedekamer-10.u314	It is actually Mrs Agema's motion, which is equally clear. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the (temporary) closure of emergency services is a typical Dutch phenomenon;]] [[calls on the Government to legally prohibit (temporary) closures of emergency services,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Haga and Mr Agema.]] [[She's getting No. kst-35925-XVI-100]]
ParlaMint-NL_2021-10-28-tweedekamer-10.u315	It was also tabled by Mrs Agema, or actually tabled by Mrs Agema, and I am delighted to do so.
ParlaMint-NL_2021-10-28-tweedekamer-10.u316	Thank you, Mr. Van Haga. This brings us to the end of the second term of office. We'll suspend for about 15 to 20 minutes. I'm suspending the meeting until about 7:45. In terms of expectations, I asked the cabinet to give the appreciation quickly, because there is also a budget for Home Affairs. There is little or no time for further discussion, but there are a lot of motions. I'll have the Cabinet prepare and suspend the meeting until 7.45 p.m.
ParlaMint-NL_2021-10-28-tweedekamer-10.u317	The next item is the second term of office. I give the floor to the Minister of Health, Welfare and Sport.
ParlaMint-NL_2021-10-28-tweedekamer-10.u318	Mr. Chairman. A single question, a lot of motions and, finally, two points on my part. I'll try to do it all as briefly as possible. First of all, the VVD's question: how does the Pandemic & Disaster Preparedness Center fit into the pandemic preparedness plans? Well, we really have to look at how that fits in best, but I can only imagine that a very good cooperation is to work on the multidisciplinary knowledge development that is needed and the innovation that is of great importance for pandemic preparedness. I went to work there. We talk to them a lot. I think that cooperation will certainly come about. The judgment on the De Vries motion on item No. 41 on labour-saving innovation I leave to the Chamber with reference to the debate. On the Tellegen motion in part No. 43 on personal funding, I leave the judgment to the Chamber with reference to the debate. The vote will be taken at the next voting time. 45 on prevention in the long-term care system, I leave the judgement to the Chamber with reference to the debate. Then the motion of the SP in part No. 46 over additional resources, only 2.1 billion. Of course, I do not leave the opinion to the Chamber. I would advise against this motion by reference to the debate. The motion-Hijink in part No. 47. I really need to explain this. I share the intention to do the redesign on the policy side, so on the legislative side, together with something that you actually try out in practice. What I have promised you is that I would very much like to make sure that the whole policy movement that is being made in a legal sense is accompanied by an actual redesign in practice, so that you can make the practice feel the law and vice versa. What this motion does, however, is quite apart from the commitment I already made to you. I think if I supported that motion, I would sit on my successor's chair. And I won't. I could go both ways. I wouldn't advise her for that reason. But that may be a little faint, because we do not yet know what the content of the next coalition agreement will be, so my successor has to get to work. So I think it would be wiser to hold the motion. Then it might just get close. But I'm really gonna leave that to the next cabinet. So for that reason I would like to say: embrace the commitment I made and hold the motion for a moment. Mr. Chairman. Then the motion to part No. 49.
ParlaMint-NL_2021-10-28-tweedekamer-10.u319	I shall come back to the motion on part No. 47. Is Mr Hijink going to hold the motion or not?
ParlaMint-NL_2021-10-28-tweedekamer-10.u320	I find it difficult, because I think I have just written down what we have sort of exchanged in the debate. So I find that difficult. Look, the minister actually says, "Do it with that promise." But the commitment was to do so. I do not see exactly what the objection is or what text the Minister is stumbled upon. On the one hand, he says: we do want to examine whether this could be done and how it could be done, and it would also be a good idea to try in practice whether it could work in a few places. I think that's how we discussed it this afternoon, and that's why I wrote it down this way.
ParlaMint-NL_2021-10-28-tweedekamer-10.u321	Well, I think it's a little different. Maybe I'll see it a little too sharp, but I see it a little bit differently. What I read here is: to organize as much as possible at district and village level with less competition, to adapt the laws and regulations accordingly and to apply them in parallel as an experiment. Look, we just have the current, standing policy. That's one. Two. There will be a new cabinet that will make new choices, including in the redesign of care for the elderly. Well, if that redesign is to be put on the mat in the sense of system adjustment and so on, then at the same time we need to put in practice a testing ground in which you also show it. That's what I promised you. We are already testing what affects current policy practice and current policy development in all kinds of places in the country. What I believe you are proposing is to focus more on redesigning elderly care, the neighbourhood and the neighborhood in parallel. I have said that I am very much in favour of this way of working: putting legislation and regulation and adaptation together in practice. But the order is "with less competition" et cetera. Yes, I have to stick to the mandate of the present cabinet.
ParlaMint-NL_2021-10-28-tweedekamer-10.u322	Mr. Hijink, do you want to hold the motion or not?
ParlaMint-NL_2021-10-28-tweedekamer-10.u323	Then I think I should simply amend the motion, because the Minister apparently stumbles over the word 'competition'. I'd be happy to write down the contradiction of "cooperation" if he likes it more. I like that, too. Then we do it in such a way that at the moment we are going to talk about a different way of organizing, we are also going to work on... If I rewrite the motion in this way now, would that judgment get Chamber?
ParlaMint-NL_2021-10-28-tweedekamer-10.u324	I guess that's just the commitment I made. So that's consistent. Sure.
ParlaMint-NL_2021-10-28-tweedekamer-10.u325	Then that's how we're gonna do it.
ParlaMint-NL_2021-10-28-tweedekamer-10.u326	Then the motion to part No. 49.
ParlaMint-NL_2021-10-28-tweedekamer-10.u327	You rewrite the motion and I'll see if I can see any reason to embrace it. So I will respond in writing to the modified motion. Mr. Chairman. The motion in part No. 49 "calls on the Government to investigate the extent to which occasional investments should be made in the exchange of information." I leave the judgment to the Chamber, because that is indeed in line with what we are doing at the point of the Roadiz. Then the motion to part No. 50 of Paulusma and Bikker. I shall leave the judgement to the Chamber, referring to the debate we have had on this subject. Then the motion to part No. 51 from Chicken and Agema. Despite the exotic cooperation I am going to discourage this motion, because it would require a huge adjustment of the surcharge system. Then the motion to part No. 52 from Chicken and Hijink. I think that is a very nice motion, which is also in line with the contributions of a number of other Members of Parliament. I think that's a very nice motion. The request to the NZa, from the second part of the operative part, can be given to her anyway. The first part of the operative part is really intended to achieve a scaling-up. That's, I think, a very nice assignment to get on with. That's what we're gonna do. Judgment Room. Then the motion to part No. 53 of Van den Berg, CDA, and Van der Staaij on the exchange of information. I leave the judgment to the Chamber on that. Then the motion to part No. 54 on the effects of regulatory pressure. In this wording, I can leave the judgement to the Chamber, also with reference to the debate we have had on this subject. Then the motion to part No. 55 on the dentists. I would advise against this by referring to the debate we did not have at the AO on the labour market two weeks ago. Then the motion to part No. 56 on the cross-domain concern of the member Werner. I would like to leave the judgment to the Chamber.
ParlaMint-NL_2021-10-28-tweedekamer-10.u328	So the motion in part No. 56 gets judgment, Room. There is another question by Mrs van den Berg on the motion for a resolution on item No. 55.
ParlaMint-NL_2021-10-28-tweedekamer-10.u329	Yes, because the Minister refers to the debate on the labour market, but I did not mention it there at all. It is precisely because of the response we received in last Monday's letter that we made another request. That's not even mentioned at all, so I find it amazing that it's then...
ParlaMint-NL_2021-10-28-tweedekamer-10.u330	Excuse me. You're absolutely right. For a second there, I thought it was to make money available for dental school. I thought that was the point. We have had a wide-ranging debate on this, but here we are talking about shortening training. The explanation is thus: in 2007 dental training was extended from five to six years in order to increase quality. It is possible to look at this in such a time, but that is... Mr President, I apologise. I'm going to reconsider this motion. I would like to return to that in writing. I do not like the argument. So I will return to it in writing. Then I'll come back with a judgment that I'm giving at this point.
ParlaMint-NL_2021-10-28-tweedekamer-10.u331	This is about the motion in part No. 55 by Mrs van den Berg and Mrs Paulusma.
ParlaMint-NL_2021-10-28-tweedekamer-10.u332	Excuse me, I say in the direction of Mrs Van den Berg. That's not good. Then the motion to part No. 58. Let's see.
ParlaMint-NL_2021-10-28-tweedekamer-10.u333	The motion in part No. 57, I think, is for the Secretary of State. It's about the public campaign.
ParlaMint-NL_2021-10-28-tweedekamer-10.u334	I think so, too. Yes. The motion in part No. 58 I do not recommend it with reference to the lively debate on this issue. Then the motion to part No. 61 on climate and health. I'd advise against it. You know our commitment. Of course, we also encourage CO reduction, but making all the necessary resources available is very rugged and spacious. Then the motion to part No. 62. I don't know. I don't know. I don't know. I am particularly concerned about this obligation; I do not feel that much about it. We stimulate everything and everything. Then the motion to part No. 63 on necessary investments. I'd advise against it. There's no room for that right now. Then the motion to part No. 67 on the hospital records. We talked about that. I am not going to cooperate in undermining confidence in the main institution that is helping us through the crisis. Of course I'm not gonna do that. That's really weird.
ParlaMint-NL_2021-10-28-tweedekamer-10.u335	Mr. Van Houwelingen, very briefly.
ParlaMint-NL_2021-10-28-tweedekamer-10.u336	Yeah, short. But this is the other way around, isn't it? I'm giving you a chance to restore confidence by giving us the figures so we can check it out ourselves. You're turning the argument around!
ParlaMint-NL_2021-10-28-tweedekamer-10.u337	No. We have really had that debate very comprehensively.
ParlaMint-NL_2021-10-28-tweedekamer-10.u338	Yes, you have discussed this at length.
ParlaMint-NL_2021-10-28-tweedekamer-10.u339	Then the motion to part No. 69 of Van Houwelingen. No. No, because that is really based on the assumption that Mr Van Houwelingen has put forward in the debate. That is what we have had the debate on. With reference to that debate, I therefore advise against this motion. Then the motion to part No. 70. I also advise against it, referring to the debate. Then the motion to part No. 71. I also advise against this, referring to what I have said about it and referring to the debate that we will have next week. It has nothing, but nothing at all, to do with Article 1 of the Constitution. Then the motion to part No. 76. I do not agree with that first observation, but you could skip that observation that the ic capacity is structurally inadequate compared to other countries and so on, because I would not like to say that at all. That international comparison is not so easy to make either. Yes, we have had ic-capacity shortages in the crisis time, like all other countries, but should that actually lead to a much higher level of ic-capacity? I don't know if the payer's party thinks that's a good idea. So I am not just going along with this observation, but the active commitment to the influx and training of nurses is simply a real support for the policy. In the end, therefore, I am going to leave the judgement to the Chamber, because it is policy support. I'm doing that on this U-turn. I'll do it like this. Then I'm going to move on to the motion in part No. 77. For the sake of simplicity, I am going to discourage them by referring to the first-term discussion we have had on this subject. Then the motion to part No. 78 by Bishop of the SGP and Tellegen on palliative care. I'm going to leave this motion to the Chamber. Then the motion to part No. 79. I am going to discourage it, referring to everything I have said about it in the direction of Mr De Vries and Mr Van den Berg. Then the motion to part No. 80. I'm going to dissuade that motion. Yeah, I'm gonna dissuade them. Then the motion to part No. 83, about culturally sensitive care. It will surprise Mr Kuzu, but I am going to leave that judgment to the Chamber, because I think it would be wise to do so. Oh, you'd rather not, Mr. Kuzu? That's amazing, too. I'm gonna do it anyway. I'm going to leave the judgment to the Chamber.
ParlaMint-NL_2021-10-28-tweedekamer-10.u340	I think there is another question about the motion in part No. 80 was, namely, what was the reason for the dissuade. I give the floor to Mr Kuzu van Denk.
ParlaMint-NL_2021-10-28-tweedekamer-10.u341	It's a good thing the Minister's motion in part No. 81 judgment of the Court of Justice. But the motion in part No. 80...
ParlaMint-NL_2021-10-28-tweedekamer-10.u342	That was the motion in part No. 83.
ParlaMint-NL_2021-10-28-tweedekamer-10.u343	Oh, the motion in part No. 83. That's very good, too. But the Minister said about the motion in part No. 80 that he was going to dissuade these. And then he thought for a long time before he did anyway, but there was no argument.
ParlaMint-NL_2021-10-28-tweedekamer-10.u344	No, because I thought: that's going to be a very long story, and then the chairman is going to look at me more and more grumpy. The motion states: "calls on the government to consider how to adjust the legal options for supplementary health insurance to allow people to take care of the supplementary package." That's pretty crazy, isn't it? That's not how our system works, is it? You can't do that like that, can you? I just don't see why that's a meaningful thought. I just don't see how I should. It's not unethical at all that the existence of supplementary health insurance is just available? That's just the way it is, isn't it? Why should we want to fight that?
ParlaMint-NL_2021-10-28-tweedekamer-10.u345	If the Minister reads the observations and the recitals, he will also see that when there are defaulters, they will not be able to claim any care from the supplementary package. This causes a person's health situation to deteriorate. As a result, there is ultimately a loss of health. And when it comes to care later, it's only gonna be more expensive. The motion asks to explore the possibilities of letting people who are in the pay-as-you-go scheme get necessary care from the supplementary package. That is something that needs to be looked at again. I don't think that's that crazy.
ParlaMint-NL_2021-10-28-tweedekamer-10.u346	Here's a bit of a revenge here. If you have not had the debate on a particular point and then a motion is tabled on it, then that debate will only take place when the motion is tabled. Fortunately, in the Netherlands, we have fewer and fewer contributors. We are working very hard to ensure that there are fewer and fewer. Insurance companies do a really good job. That's one. That's very nice. Two is that we really have a very broad basic package in the Netherlands. That really is a very wide package. If you enjoy that basic package of care, you will receive a lot of care. Yes, there are a number of things in the supplementary insurance. But it's not like if you can't claim that, you're gonna go all the way through your hooves. It's not. It is good that we remain a little strict and that people have to pay the bill before they can get supplementary health insurance. Once again, fortunately, the number of defaulters is falling very much. So fortunately, the number of people affected by the motion is falling very much. Is that unethical, as it says here in the recital? No, that's not unethical. That's just a sensible policy.
ParlaMint-NL_2021-10-28-tweedekamer-10.u347	Finally, Mr Kuzu.
ParlaMint-NL_2021-10-28-tweedekamer-10.u348	There are still a lot of people who are involved in the pay-as-you-go scheme. Luckily, there are getting fewer and fewer, but there are still a lot of them. At the same time, the basic package has been very different in recent years. There really are a number of things in an additional package that can really be necessary for people. Think of dental treatments where their own contribution can increase considerably. I think the Minister knows the examples very well. So what the motion requires is to look again at the people who really need care from the supplementary package and adjust the situation a little bit. I don't think that's so crazy. I think it is also very ethical to do so for people who need that care very much.
ParlaMint-NL_2021-10-28-tweedekamer-10.u349	No, we're really not gonna do that. By the way, oral surgery hasn't been in the package for a long time. The package has not deteriorated at all in recent years. The package is always getting wider. So it's not so shady at all. And by the way, for people with a really low income you still have the city policy. It's much more lucrative of everything and some of it. In short, we're not gonna do it. Then the motion to part No. 84 on non-contracted community nursing services. The motion says it's about the indication, but I think it's about the authorization. If I may understand the motion in this way, I'd like to leave it to the Chamber. It's a lot of technique, but I think I understand what's meant. Then the motion to part No. 85 in which the government is asked to urge health insurers not to make a distinction in rates. Yeah, of course I do. We have to do that for a lot of reasons. So I'm not suggesting this motion. Let's see.
ParlaMint-NL_2021-10-28-tweedekamer-10.u350	The motion in part No. 86 by Mrs Den Haan and Mr Kuzu.
ParlaMint-NL_2021-10-28-tweedekamer-10.u351	Yeah, I spotted that set! But first things first. Mrs Den Haan asks me to take one last look at the amendment. Actually, I think that's a good trade. If you look at the coverage one more time, I will look at the content of the amendment and come back to it in writing. Then the motion to part No. 86 on what is needed to initiate social dialogue.
ParlaMint-NL_2021-10-28-tweedekamer-10.u352	You were just talking about the amendment to item No. 26.
ParlaMint-NL_2021-10-28-tweedekamer-10.u353	Yeah, excuse me. That was a bit of a snack indeed. We have just had a very large journey, for example with the whole dialog paper on ageing. To be honest, I think we should not do the requested thing now. Suppose there is a very exciting assignment in the next coalition agreement around the future of care, then I can very well imagine that you will do it again. But for this reason, I'd like to dissuade her now. Then the birth care and the babysitters.
ParlaMint-NL_2021-10-28-tweedekamer-10.u354	Are you referring to the motion in part No. 87, isn't it? No.
ParlaMint-NL_2021-10-28-tweedekamer-10.u355	That's the motion in part No. 89 on the internship fund. Choices about the internship fund, also with a financial implication, I would like to leave to the next cabinet. So I'm not suggesting this motion.
ParlaMint-NL_2021-10-28-tweedekamer-10.u356	Let's see, which one...
ParlaMint-NL_2021-10-28-tweedekamer-10.u357	That was the motion in part No. 89, I've got it. It was the motion in part number 90, correct. Oh, oh.
ParlaMint-NL_2021-10-28-tweedekamer-10.u358	Yeah, the motion to part No. 90.
ParlaMint-NL_2021-10-28-tweedekamer-10.u359	Yeah, I made a mistake.
ParlaMint-NL_2021-10-28-tweedekamer-10.u360	And what's the appreciation?
ParlaMint-NL_2021-10-28-tweedekamer-10.u361	Dissuade. The motion in part No. Ninety-two, I'm telling you, too. It is very detailed and really focused on the content of the care. That's just not our job. But I also read the suggestion to extend the quartermaster if necessary. Can I do it in such a way that I dissuade the motion as such, but that I do make a commitment that I am sympathetic to that idea myself, and I am therefore going to ask the farmer to see if that is also desirable by the parties? In any case, I could accept part of the motion for a resolution with that commitment.
ParlaMint-NL_2021-10-28-tweedekamer-10.u362	I am very pleased with that offer. I'm sure I can go along with that. Just because I like to learn: the Minister says that the motion is too much about the concern. I should like to hear very briefly what part of the motion he is referring to.
ParlaMint-NL_2021-10-28-tweedekamer-10.u363	Yes. I'll come back to that in a minute. Because there is room for improvement in the argumentation, as with Mrs Van den Berg's motion. I'll come back to that in a moment for those two motions. Then the motion to part No. 95. That's what I think of the difficult motions. That's a motion stating the obvious; that's just the way it is. Everyone really likes this. If I betrayed her because everyone finds this, you'd exude that you'd be against it or something. But if her judgment gives Chamber, it's like something's really being decided here. That's not true. Everyone's gonna find this. Okay, well, with that comment, I think it's just the judgment of the Chamber. You yourself are responsible for the parliamentary inquiry. That was the motion in part No. 96. The motion in part No. 97, referring to what I have already said about scaling up ic-care. Then the motion to part No. 98. I do not recommend it with reference to the debate on this subject. Then the motion to part No. 99. I'd like to ask you to hold on to it. I also want this period of validity to be extended, but it will take real consultation, including at European level. So I can't just do that for a second. But I want to, too. I would therefore like to ask whether you would like to keep it until I can inform you about it, hopefully as soon as possible.
ParlaMint-NL_2021-10-28-tweedekamer-10.u364	In many areas, we are different from the European average. I do not quite understand why we have to wait for Europe in this area.
ParlaMint-NL_2021-10-28-tweedekamer-10.u365	If you say in the Netherlands "yes, fine, do more than 180 days" and all foreign people say "no, don't think so" you don't come across the border so easily. That's kind of annoying. This is where we really need coordination with the rest of Europe. It's just gonna take a while.
ParlaMint-NL_2021-10-28-tweedekamer-10.u366	Mr Van Haga, finally.
ParlaMint-NL_2021-10-28-tweedekamer-10.u367	The validity of a test certificate is with us 24 hours and in all our surrounding countries 72 hours. So this argument does not go along, but if you promise me that you will take a good look at it, I would like to continue the motion, but I cannot go along with the argument you put forward. I think it's really weird.
ParlaMint-NL_2021-10-28-tweedekamer-10.u368	At the request of Mr Van Haga, I propose his motion (35925-XVI, No. 99). That is what is decided.
ParlaMint-NL_2021-10-28-tweedekamer-10.u369	Then let's settle down that result. Then there is the Van Haga/Agema motion on item No. 100, on banning the closure of emergency services. We are not going to do that, because it may be that the quality at some point simply cannot be guaranteed. If you then ban a closure, you may suddenly have a quality problem. So we can't do that way. So I'm gonna advise against that motion. Then I have two more motions that require me to check the argumentation. I also had two final comments, but first I will deal with the motions.
ParlaMint-NL_2021-10-28-tweedekamer-10.u370	Then you can make your final remarks.
ParlaMint-NL_2021-10-28-tweedekamer-10.u371	Then Mr Blokhuis can get to work first and I will report back in a moment.
ParlaMint-NL_2021-10-28-tweedekamer-10.u372	Thank you. I give the floor to the Secretary of State for Health, Welfare and Sport.
ParlaMint-NL_2021-10-28-tweedekamer-10.u373	Thank you, Mr. Chairman. I hope I have the right motions left, which Mr De Jonge has not taken on board, but otherwise I will hear. I'll start with the motion in part No. 42 of the VVD. I give it as an appreciation judgment room. Then I'll go to the motion in part no. 48 by Mr Hijink. I don't have to judge it, because it's a ruling from the Chamber. The motion in part No. 57 requires a little more attention. This motion is very sympathetic: calling attention to menopause and breaking the taboo on it. These are the good things that Mrs Ellemeet brings to the attention of the House. We should have done that 30 years ago. I find what she asks in the operative part very comprehensive. It's quite the world remodeling, with a lot of approaches. If I had to read the motion so literally, I'd really like to dissuade her. I would like to do a hand-out, namely to talk to the parties that she is talking about, to see what we can do: to put a little more focus instead of shooting a cannon right now, I say disrespectfully. I'm not saying, in that light, if she's interpreted like that: Judgement Chamber. I dissuade her sec as she lies there, but I am therefore willing to do what I just said, namely to engage with the relevant parties. The motion in part No. 59 members of Westerveld and Werner I like to give as an appreciation judgment Chamber. I'd like to add one thing. Part of this is a request to a subsequent cabinet. I'm going to say that with other appreciations. April 1st is fast, if you see what the homework is. I would like to make the point that more time may be needed. In that light, I give the motion judgment Chamber. The motion in part No. 60 I'd like to dissuade. This motion by Mrs Westerveld is also about those gz-spots. I dissuade her because it's some kind of amendment. Coverage comes from Article 4 of the budget. I just decided it can't be paid out of that. It's got to come from bounty money. So I'm deceiving the motion. Then the motion to part No. 64 by Mrs Van Esch. I'm just waiting for an interruption.
ParlaMint-NL_2021-10-28-tweedekamer-10.u374	Yes. Mrs. Westerveld.
ParlaMint-NL_2021-10-28-tweedekamer-10.u375	I understand the Secretary of State's point. We made a little mistake here with the cover. That also had to do with the fact that we had to write this motion rather quickly. I'd like to ask the Secretary of State if he can give the motion, if we change the cover, Chamber.
