ParlaMint-NL_2021-12-14-eerstekamer-8.u1	The next item is the continuation of the government's first-term response.
ParlaMint-NL_2021-12-14-eerstekamer-8.u197	Just a little more precise, though. Whether the Council of State uses the term "reacting force" or not, I do not remember exactly. Perhaps Mr Van Apeldoorn will forgive me for that. But the Council of State recommends that this bill should enter into force and come into force from the date on which the bill begins and not two years earlier. So I'm already going beyond the Council of State's argument. That seems to me to be a fact. But I don't know what it's called exactly. I would like to be clear that in this case you may not have to call that a'reacting force', but I don't care about the date. That's what the Council of State argues. Let me now turn to Mr Van Apeldoorn's first comment. If he has read in my words that I do not want to debate with this Chamber something that has been dealt with in the House of Representatives, then he has missed the last eight hours, because I do so all the time.
ParlaMint-NL_2021-12-14-eerstekamer-8.u198	Perhaps just to avoid a misunderstanding: I like to debate with this Secretary of State, but I respond to the remark he just made. I know the opinion of the Council of State, and that's what it says. I think it is up to the government, parliament and co-legislators to follow that up or not. I want to get rid of that. However, I would like to ask the Secretary of State, Mr President, in my second term, whether, in addition to the advice of the Council of State, the advice or, if you like, the lobby of the Dutch Order of Tax Advisors, has played a role in the revision of the date.
ParlaMint-NL_2021-12-14-eerstekamer-8.u199	Not for me. My officials will no doubt have read the work of the NOB. I hope they do, too. They will have taken their arguments into account. But Mr Van Apeldoorn should know me well enough by now to know everyone who knows me knows that I am very well advised, but difficult by people who have an interest. So don't worry about that, I'd like to say. Mr. Chairman. That brings me to tax governance. Mrs Geerdink and Mr Ester asked questions about tax governance. I actually saw Mr Essers' contribution as an encouragement. I would like to come back to two parts in general, because I promised. I would like to come back to the question of what it actually means for taxpayers and for tax advisers. I promised Mrs Geerdink earlier that I would come back to exactly what VNO is doing. VNO is in the final phase of designing that code. Mrs Geerdink referred to the idea in the United Kingdom, where there is an independent institution that is testing this. Let me say it loosely. I'd be happy to give it to my successor to look into it. I think that's a good idea, so I'd be happy to. I thought we had sufficiently discussed Mr Ester's point about the possibility of an oath. In the first term, I said that I find it an interesting idea to do so, because it fits the idea of self-regulation. I think self-regulation is a bit of a bad word, but let me use it again. I find it a bad word because in practice things often don't work without a bat behind self-regulation, I say just finely. Which brings me to my ability to act. Mrs Geerdink asked about that. It is clear from the reply that the capacity for action has not been assessed. To the extent that there is capacity for large companies, no action is required from people in technical approximation of laws and regulations. This refers to adjustments which do not aim at policy changes. Such changes do not result in additional taxation, neither of citizens nor of entrepreneurs. So we don't do that kind of test. Mrs Geerdink also asked whether the adaptation of the home scheme in partnership situations in the event of death is a predominantly technical or predominantly political adjustment. This scheme has been assessed and is characterised as relatively manageable. What does a judgment like that say? These changes, although they can be considered to be substantive as rather complex and also technical, are predominantly of a policy nature. Indeed, some of the policy changes are taking place, such as, from 2022 onwards, the loss of the own-house reserve or the redemption stand on death. In this way an assessment of the ability to act has been made. Mr Vendrik asked me an interesting question, namely whether the Secretary of State insisted on the feasibility of the coalition agreement. I can give Mr Vendrik a tip from the shutter about the process within my own party, D66. In that process, I have always urged the negotiators to look at the feasibility of fiscal changes. In the formation process, I thought, for the first time, the two or three major executives, at least the Tax Administration DG, the Supplements DG and the UWV DG, visited. Of course, the measures menu for a new coalition had already been considered on the implementation of the Building Blocks. At the very beginning of my term of office, we had a meeting in the First Chamber. At that time Mr Vendrik asked whether it would not be good if a coalition agreement was simply tested for feasibility. That is what is going to happen in practice now. There's a paragraph. That's what the Tax Administration can look into to see if the government agreement is enforceable. I have played a part in my own party at this point. That's actually all I can say about that. Mr Van Rooijen states that the Tax Plan package consists of many policy proposals. He asks whether the Tax Office is actually well protected.......................................................................................................................................................................................................................................................... It's gotta be possible. Mr Ester said the same thing. Shouldn't the rulers be more fervent against the Chambers? I do not feel that Mrs Van Huffelen and I have not been strong enough against the two Chambers. In this Chamber of reflection and reflection, we have had debates on the Tax Administration, which can nevertheless be designated as firm. We always try, if possible and if appropriate, to protect our performers. That's not because... First of all, we do that because we love them very much, but that is not the most important reason. The main reason is that things have to be feasible. Mr Van Rooijen can assume that I will press the heart of my successor, whoever he is.
ParlaMint-NL_2021-12-14-eerstekamer-8.u200	If my memory's right, I didn't make that remark. I have already shown in confidence to the two rulers that I consider them husbands and wives enough to carry out this task well. Let me get this straight.
ParlaMint-NL_2021-12-14-eerstekamer-8.u201	It was Mr. Ester. That had gotten confused in my set with an infinite amount of questions. Mrs Geerdink of the VVD asked how the Tax Administration takes account of the burden. During the cabinet period, the cabinet controls the burden with the income framework. This means increases in charges if the reliefs are compensated with each other. We are, of course, always keen to ensure that this is balanced. Mr Vendrik asked, in the context of income policy, do the people who need it really get enough to be fully compensated? I have already said that it is never quite possible to say that with the €200. That is what I am saying to Mr Vendrik. Secretary of State Wiersma has indicated on behalf of the cabinet that he will keep his finger on the pulse on this point, so that people are really helped with this extra support in relation to energy prices. Mr Van Rooijen asked the following question. That must have been Mr Van Rooijen. There's no other way, because this is about people with only AOW or with a small pension. Then we think directly of Mr Van Rooijen. It's basically designed for the minima. It is therefore intended for an AOW person without a supplementary pension, but municipalities have a policy area, as is the case with the special assistance. If municipalities want to apply this more widely, they can do so to some extent of course. But this is meant for the minima. I think Mr Van Rooijen and I are not going to agree on where they start and end. That's what I'm guessing. But there's some room. Mr. Chairman. Mr Van Rooijen's next question is real entrapment. Can the Cabinet exclude that an increase in the minimum wage will not fully link the AOW benefit? With all the love I feel for Mr Van Rooijen, I cannot answer that. I cannot rule out what a forthcoming cabinet is going to do. Of course, Mr Van Rooijen knows that too.
ParlaMint-NL_2021-12-14-eerstekamer-8.u202	I read from the letter of Secretary of State Wiersma literally this sentence, which I now repeat: "To reach those groups, including working poor, IOW beneficiaries, AOW beneficiaries without supplementary pension and low-income self-employed people, too..." In other words, the letter literally states "AOW'ers without a pension." So if you have a few euros of pension, the municipality might say, well, that's okay. But I'm not distracting from the arrangement. Do I now understand from the Secretary of State that there is a margin, a policy space, to apply it more broadly? That would be nice for the people with the smallest pension. But my question, as well as the one in the motion, is, of course, considerably wider.
ParlaMint-NL_2021-12-14-eerstekamer-8.u203	I was afraid I'd end up in this discussion. You always do when you're trying to think with it. Then you'll get this. I was trying to tell you what the rule is. The Secretary of State wrote that down. It's designed for minimums. Minima doesn't have a supplementary pension. Mr Van Rooijen just gave an example of a few euros of extra pension. Then I said that, of course, municipalities have some discretion to take that into account. At that time I thought he would start negotiating: what is "a few euros"? And we're not gonna do that. At least I'm not going to do that with Mr Van Rooijen. That's not gonna work.
ParlaMint-NL_2021-12-14-eerstekamer-8.u204	My comment was not intended to be negotiated. I also gave an example of what the Secretary of State said. That was not the example of a few euros, because that was a little faint. I was talking about €50 and €100 and more. My motion is much broader, because of the flying inflation at a pension that is not indexed. I indicated that there is a median of €8,000 in healthcare, so that means really only €600 every month. Those people do not get that €200, while with that small pension they cannot pay this flying inflation. Anyway, that's in my motion.
ParlaMint-NL_2021-12-14-eerstekamer-8.u205	Mr President, I was just about to get there, but I am going to respond to that in a broader way. Mr Schalk asked me to reflect on ways in which you could prevent the single earner and the two earner from growing apart. He even made his assessment of the Tax Plan. I can, of course, stop freezing the portability of the general tax rebate. Yeah, that helps. The withdrawal of the draft freeze indexing of family allowances, doing something for earners at the bottom: it can all be done, but Mr Schalk will not fail to point out to me that I am not going to make this kind of commitment here in the First Chamber at one afternoon. In my opinion, this Tax Plan is not a tax plan that works badly for sole earners. I can't find that in there. Mr Schalk has a problem, which I recognize or recognise, with the distortion between single and two-earners. That is his right, but rejecting this Tax Plan on the grounds that it does not do anything about it... I had that discussion with Mr Schalk last year. Then it was sharper than it is now. Mr Schalk is now milder than last year or I am in better shape than last year; I do not know what it is. But I don't think you can accuse this Tax Plan of doing that. There are even a few small measures in the reduction of discounts and so on, but then it's all hypertechnically helpful. But these things help in themselves. If Mr Schalk wishes to hear from me that I will say to my successor again: I see that there are concerns about this in the Chamber. It is not just Mr Schalk. In the Lower House, Mr Omtzigt has previously argued that. I even had a full report on it. If that helps, I'd like to do it. If that helps in our good relations, I would like to do so, but I am not going to announce the third policy changes of an extremely outgoing cabinet. Mr Schalk will understand that.
ParlaMint-NL_2021-12-14-eerstekamer-8.u206	Mr President, especially that 'extremely outgoing cabinet'... Of course I understand the position of the Secretary of State. I understand from him that we are at least in agreement that there is a distortion of growth. I also understand from him that he would at least like to raise with his successor that something might have to be done about this. Let me now turn to the current Tax Plan. I argued yesterday, and I tried to do so as clearly as possible, that there was a slight change from 6.95 times as much tax to 6.91 times. That gets half a sandwich a week for a family of two adults and two children, in the calculation I received from the Secretary of State himself. That is so extremely little that I honestly could not see it as a strong improvement.
ParlaMint-NL_2021-12-14-eerstekamer-8.u207	It's an interesting debate, but I don't think I said it was an improvement. I was just saying, there are very small technical things in there that make it a little bit better. You cannot say that this Tax Plan 2022 is so bad for the sole earners in itself. I said at the time: I recognise the problem that Mr Schalk points out. He now uses the word "screep growth," and the word "screep growth" sounds of course like something you don't want. But, Mr President, I come from a political party, which we are not going to agree on. So if I were to say here: I agree with Mr Schalk, this is distorted growth... What I can do is, as I have just said, to discuss the stretch of my possibilities with my successor, and I will do so, that there is a report on a earner, I think the report was called 'Draagkracht', which I had made last year on the occasion of Mr Omtzigt in the Second Chamber. I will also convey to him or her the concerns on this point. That's pretty much what I've got in the pocket.
ParlaMint-NL_2021-12-14-eerstekamer-8.u208	In this Chamber of reflection a final remark on the word "screep growth." I argued in my second term that you can make a political choice that has also been made, among other things by the party of the Secretary of State, but that in its further development there may be years of distortion due to that choice and that it may even change a moral judgment. That's what I've been trying to argue. In any case, I am pleased that the Secretary of State wishes to pass on the concerns of my party to his successor.
ParlaMint-NL_2021-12-14-eerstekamer-8.u209	That brings me to Mr Van Rooijen. It has made an extensive speech on the income position of older people. That's the same thing. I would like to say: wait for the actions of the new coalition. This is the tax plan ahead of us. This is what the cabinet is now proposing. I recognize Mr Van Rooijen's points, but for the clarity of the viewer of this debate I say that it is not the case that we have all done so without any regard for what has happened. We did it on purpose. Mr Van Rooijen considers that we have done it consciously to be an even greater problem. It's not a policy error or anything. These income relationships are so designed by this coalition, the outgoing cabinet. For the future, I really have to refer to tomorrow. Every sentence I put behind that is already wrong. This is what I have on offer.
ParlaMint-NL_2021-12-14-eerstekamer-8.u210	So that's nothing at all. Luckily, then, we agree on that. That is perhaps the point of reference for what Mr Schalk said, namely that the least I can ask of the rulers is that they take with them the concerns that I have shared extensively in this Chamber today, including in their political groups. In this case, both are of the same party. That's one. Two. I am not going to repeat the story, but I am very concerned about the image that is already emerging that it is going to the workers and the salt to the elderly. I said it very carefully today, because I don't know what it says. That has been the case for a long time and I should like to convey the message that this tax burden and tax discrimination must be brought to an end. You don't increase pensions for 20 years, even from primary education and care, which have a pension from €500 to €600 gross. If you think it's normal that that isn't increased by accounting rules of politics... Then it is said that there is nothing we can do about it, because the rate of calculation is low. The calculation rate is low, because the first and second financial review framework states that market interest rates must be taken into account, even if they are zero and even if they are 10%. Everyone feels that this is unfair and those voices are getting stronger and stronger. I predict that if this policy is not adjusted, the pension agreement will come under great pressure. The FNV says: if these pensions are not increased, we demand that the AOW goes up. The Van Dijk motion didn't help. This will probably happen if the minimum wage goes up in structural terms. I won't say anything about it, and neither will you, of course. That's the problem. If you don't raise pensions...
ParlaMint-NL_2021-12-14-eerstekamer-8.u211	Thank you, Mr. Van Rooijen.
ParlaMint-NL_2021-12-14-eerstekamer-8.u212	... then you have to do something about the AOW, especially if that indexation is 5% or 6% instead of 1%.
ParlaMint-NL_2021-12-14-eerstekamer-8.u213	Mr. Van Rooijen.
ParlaMint-NL_2021-12-14-eerstekamer-8.u214	Mr President, I am not getting an answer at all. I would be happy not to burden colleagues with my concerns any further. But I do want to put it here, the shorter the better.
ParlaMint-NL_2021-12-14-eerstekamer-8.u215	Thank you. It's very much appreciated. Mr Crone.
ParlaMint-NL_2021-12-14-eerstekamer-8.u216	I want to get the gloom out of the debate a little bit. The Secretary of State says I can't do much anymore. Well, that's fine. I understand that very well, because he's literally at a starting point. At the same time, Mr Van Rooijen should not be so negative, because he is also at a starting point, because we are going to a new coalition. He hears what's going on here, doesn't he? A new coalition therefore knows that in order to have a majority here, more is needed than the parties of the coalition. I am therefore entirely pleased with everything that the Secretary of State has not promised, because the following can do so. We're gonna go on with the fight, aren't we? We're not gonna pretend the First Chamber doesn't matter anymore, are we?
ParlaMint-NL_2021-12-14-eerstekamer-8.u217	Thank you, Mr Crone, for this third term.
ParlaMint-NL_2021-12-14-eerstekamer-8.u218	Do you agree? I mean, does the Secretary of State agree? I'm not disgruntled at all.
ParlaMint-NL_2021-12-14-eerstekamer-8.u219	No, that's clear. You look happy, too. The Secretary of State.
ParlaMint-NL_2021-12-14-eerstekamer-8.u220	As a member of the House of Representatives, I very much agree with Mr Crone. Mr President, I have a few small things left. I have another question from Mr Van der Voort. It was about the situation ofzzp'ers and how it works out with tax debts. I have just explained the generous five-year repayment scheme. I forgot to mention earlier that we are also keeping the recovery interest on debts low. This also applies to the tax debts ofzzp'ers. The above measures focus in particular on business debts of the entrepreneur. Entrepreneurs can also be personally liable for corporate debts. In order to settle these personal debts, these entrepreneurs can in turn call on municipal debt relief. Of course, my arrangements focus on the corporate debts ofzzp'ers. But I share Mr Van der Voort's concerns about the position ofzzp'ers in this crisis at all, but actually broader. We have noticed that the buffers were very low in this crisis. Mr. Chairman. Mr Ester pointed out that, in his view, taxpayers rightly felt that the box 3 levy was very unreasonable, not on actual returns but on fictitious returns. I have a whole answer here explaining the current system, but I understand that Mr Ester is not very enthusiastic about it. I'm not, so I'm not gonna do that. I shall now go into Mr Crone's frame. For the first time, there is a new cabinet, and I repeat my point a few hours ago, there is a real perspective ready to apply the capital efficiency levy in the Netherlands on the basis of actual returns. That took 20 years. That's way too long. I agree. But I repeat what Minister Zalm said when the standard rate of return was introduced. This Chamber knows very well; there was one of the members of your Chamber who said that yesterday. Minister Zalm said, "You must be a huge loser if you're not gonna make it to 4%." That situation has changed. It's been too long. I agree with that, but in my honour and conscience I have done what I can to do about it, namely by preparing this plan. Finally, the question of the SGP, but also the VVD, I thought: where is the burden of proof for the anti-cooperation clause, for employers or employees? The targeted exemption for homework costs and the targeted exemption for travel to the fixed place of work cannot be applied on the same day. The burden of proof that there is no coincidence lies, in principle, with the employer. This means that the employer's administration must show the distinction between home working days and days on which they have travelled to a fixed place of work. This can be demonstrated by an agreement between the employee and the employer. It is not necessary for you to record separately for each day what you have done. Here again I am full circle back to my dilemmas, the curse of good intentions, because this is a complicated arrangement. But, yes, this complicated arrangement was widely requested. We tried to shape him as best we could. Mr. Chairman. I therefore hope that I have now responded a little better to the feelings of the Chamber with regard to the questions. I shall now turn to the assessment of the motions.
ParlaMint-NL_2021-12-14-eerstekamer-8.u221	I would also be given an answer on the Council of State's policy rules.
ParlaMint-NL_2021-12-14-eerstekamer-8.u222	I believe that the answer to this question is "but I have lost it for a moment in my set; excuse that we will follow the advice of the Council of State, so if Mr Schalk would like to accept it, then I am grateful to him. Mr. Chairman. I am in favour of the motion by Mr Otten and Mr de Vries, 35927, letter G, who asks that the current state attorney should not be involved in tax and surcharge matters. I had a rather solid debate in the House of Representatives with Mr Omtzigt on a similar motion. That doesn't really have much to do with the content, but that simply has to do with the fact that this is not in my remit. There's a window contract. The government as a whole has a contract with the state attorney. The Minister of Justice and Security, who is responsible for this, and so it should be, has given a research mission to see if this should continue in this way. That assignment is broader than "is this a good lawyer?'. It's going wider. I think Mr Otten, when I listened to him like that, is happy with that in itself. The research assignment is broader, because it is also about the question: is this the right way to do it? But in this form, I must discourage this motion.
ParlaMint-NL_2021-12-14-eerstekamer-8.u223	The Secretary of State now says: it is in the Ministry of Justice, because it has a framework contract. If this kind of thing happens like it happened with the county attorney, it seems to me that you're ending that window contract, but that aside. It is, of course, entirely up to this Secretary of State to give orders to this office or not. It is also possible to say that this motion, which we have tabled in the context of the Tax Plan, should at least stop using this office for tax and surcharge matters. If Mr Grapperhaus wants to continue with the Justice Department, that is another matter. This motion does not specifically reflect that. We can at least frame it in this area. That was the background to the motion.
ParlaMint-NL_2021-12-14-eerstekamer-8.u224	I tried to argue that, unfortunately, it does not work that way. The government as a whole has a contract with Pels Rijcken. We sometimes use the state attorney in tax and surcharge cases, so now we are going to promise that we will no longer use this country's lawyer but another, is simply breach of contract. It can't be like that. This really is a rule of law, where we conclude contracts with each other. This is not about whether this is the right country lawyer and whether this is a good way of awarding contracts. You must have that discussion with Mr Grapperhaus. That's exactly what he's investigating. I thought your question went deeper than just worrying about this office. So I thought your question went deeper than that, and that is what Mr Grapperhaus is going to investigate. But I really can't promise that we or that our successors will not be using the state's attorney from now on. That is what you are asking us to do, and that seems to me to be an irresponsible statement. So I'd really like to discourage the motion.
ParlaMint-NL_2021-12-14-eerstekamer-8.u225	When I hear the word "contract breach" in relation to a firm where the top man over a period of twenty years...
ParlaMint-NL_2021-12-14-eerstekamer-8.u226	No, we just agreed that we're not going to talk about people who aren't here, especially not in a negative way. We're not talking about you if you're not here. We do not, and you will not be given the floor. You can talk about something else. You don't wish that. Then we shall return to the Secretary of State.
ParlaMint-NL_2021-12-14-eerstekamer-8.u227	This brings me to the next motion, the motion by Mr Vendrik, Mr Crone, Mr Van Apeldoorn, Mrs Prast and Mr Van Rooijen on the extension of the first disc. I explained in detail that this was made law last year. We've all shared this. Mr President, in order to reduce the suffering on this point, I would like to advise against this motion. Mr. Chairman. I have Isaac and Jacob here; it's really getting biblical. I have Mrs. Prast's motion here. I think that's 35927, letter I, so with the I of Isaac.
ParlaMint-NL_2021-12-14-eerstekamer-8.u228	Yeah, that's right, about fictional returns.
ParlaMint-NL_2021-12-14-eerstekamer-8.u229	Sure. We are going to work as quickly as possible to bring about a real return. I have had a dozen motions in the House of Representatives asking: can you do something else for savings? My reaction to that dozen ranged from "I'm gonna investigate" to "I really can't." We've really been watching this. It can't be. It's gonna be a mess. The only thing I can say to Mrs. Prast is this. If we can already interpret the motion in such a way that "as soon as possible" means "as soon as we introduce a system based on real return in 2025" "I'm not going to sell sweet sandwiches," then the verdict is Chamber. But if "as soon as possible" means "next year or year after," then that is not going to work and I have to discourage the motion. Then I come to Mr Van Rooijen's motion of 50PLUS. What does Mr Van Rooijen say? He says that inflation is higher than expected by Mrs Squarcialupi. At least that's true now. He says: we expect this to be the case in 2022. We do not know that yet, but there is a discussion going on, I think we have had a good discussion in this debate about whether inflation will be temporary or not. It requests that a one-off AOW allowance be paid to the AOW beneficiaries in 2022. I am going to discourage this motion and I think Mr Van Rooijen would have expected it. We've done a number of things. I'm gonna... Otherwise, the viewer of this debate could take the view that we do not want to do anything, but that is not true at all. We have partly compensated for the increase in energy prices, including for pensioners. We've taken a hell of a lot of action in there. Let me remind you that we nailed 3.2 billion dollars there, so let me get that straight to you. In addition, we have the concession low income for energy. In the debate on his budget last week, Secretary of State Wiersma also promised the House of Representatives that he would monitor closely the development of purchasing power. He has also said that a committee will be set up to look at the level of the social minimum, and this is also about the elderly. So I think the cabinet is doing a lot, but this motion, this afternoon, I have to advise against it.
ParlaMint-NL_2021-12-14-eerstekamer-8.u230	Fortunately, the Secretary of State called it himself. It's in the motion and he read it to me: it's a one-time thing. In other words, it does not matter whether the hyperinflation of this moment... In Germany inflation has never been this high and in America it is also 7%. I am concerned that this hyperpeak is a major purchasing power blow at the moment, especially for the elderly, because they do not receive an increase in income. Fortunately, working people get an average of 2.5% increase, the elderly get nothing at all. Of course they get something from the 3.2 billion, which I mentioned this afternoon, but nothing else. That's the concern. For that inflation blow we want a one-time small increase in the AOW, a concession. There is. It's $26 a month. Our motion calls for a one-off, short increase of €16. €16! The AOW goes up by a few tens on an annual basis and I ask once to add €16. €16!
ParlaMint-NL_2021-12-14-eerstekamer-8.u231	Thank you. It's €16. The Secretary of State.
ParlaMint-NL_2021-12-14-eerstekamer-8.u232	I think it's €16, Mr. President. No, I'm teasing Mr. Van Rooijen, but he knows that too. No, I'm going to keep dissuading this motion. It is simply the case that a new coalition agreement will be announced tomorrow. Then there will be a new cabinet. That's gonna start in January. That cabinet will, of course, take action if the purchasing power picture gives rise to it. That seems inevitable to me. I thought this cabinet showed that it is willing and able to do so very quickly with energy. Over $3 billion, I'll repeat it again. I think a next cabinet, if that inflation is real... I'm going to say it one more time: with those inflation rates, you have to be a little careful. Mr Van Rooijen talks about hyperinflation, but 5% is not hyperinflation, just to be clear. He's talking about figures from Germany that were much higher yesterday. Just so we're clear, those are the numbers in the wholesale trade. They are not output prices, but they are figures in the wholesale trade. They go up very much, not only because of pressure on the demand side, but also because there are supply problems in the economy, because of the corona crisis, and Mr Van Rooijen knows that too. He looks at me like "it's gonna be a pain in the ass where it comes from, as long as it's compensated" to fill in his thoughts, no, Mr. Chairman. It has the attention of the cabinet, but right now I have to discourage this motion. There really is no other flavor.
ParlaMint-NL_2021-12-14-eerstekamer-8.u233	Finally, Mr. Van Rooijen.
ParlaMint-NL_2021-12-14-eerstekamer-8.u234	I'm not talking about mess. Luckily, you're not suggesting that, I suppose, although I heard something like that. I am not concerned about whether inflation is temporary or not. The point is that this week there's a short peak of 6%, I think. I'm just asking for a short-term, one-time support. I am not asking for a structural increase, because I do not know what inflation is going to do, but you should not talk about longer inflation when I talk about today's inflation. For a moment there, I would like a small allowance for people with a small pension.
ParlaMint-NL_2021-12-14-eerstekamer-8.u235	Mr President, I have already said what I wanted to say. I'm on motion 35927-K. I'm actually going to give them the same treatment as motion 35927-L. Mr van der Linden's motion is a sympathetic and sensible motion, but at a very, very strange time. There's like a new team waiting, later, with a new chord. You do not know the content of that agreement. And then it's kind of crazy to be here judging Chamber to a motion that actually suggests that it's gonna be nothing again. I can't do that. Mr Van der Linden did not expect that either. What I can do is to do the same with Mr Otten's motion, both to ask Mr Van der Linden and Mr Otten to hold this motion until you know what is happening, what is in the coalition agreement. Mr Otten is looking at me very displeased, but I mean it really well. If you think there is reason to do something bigger than the coalition agreement, whether it is Mr Van der Linden's broad plan or Mr Otten's personal tax allowance, which I can imagine in terms of content, then you can give a much better judgment. Otherwise, I'm going to dissuade them both, but that's also so unfriendly in my very last debate.
ParlaMint-NL_2021-12-14-eerstekamer-8.u236	We will not ask to vote on it today, but we will vote on it next week, when we have read that agreement. If there is any reason to say that this is being filled out spectacularly, we will, of course, withdraw this motion. If not, we can vote on it next week.
ParlaMint-NL_2021-12-14-eerstekamer-8.u237	Thank you. Mr. Otten.
ParlaMint-NL_2021-12-14-eerstekamer-8.u238	Van der Linden is now setting the bar very high with "spectacular." Now that's...
ParlaMint-NL_2021-12-14-eerstekamer-8.u239	Perhaps that is what is spectacular for Mr Van der Linden for us. The difference between Mr Van der Linden's motion and our motion is that our motion builds on an adopted motion in the First Chamber of 2019, about that investigation coming about. Nor are we going to ask for a vote on this motion today. We would like to wait and see what comes with the coalition agreement, but it is a fundamentally different matter, because this is a motion that builds on an adopted motion. Well, that's another point. But again, we don't have a problem waiting for it. Then we can take a look, as Mr Van der Linden just said, at how that all works out and we can decide on it next week.
ParlaMint-NL_2021-12-14-eerstekamer-8.u240	Thank you, Mr. Otten.
ParlaMint-NL_2021-12-14-eerstekamer-8.u241	I appreciate that waiting time. We may also be able to use it to check history, because I have now been informed on the app that your proposal was addressed in the reply in November 2020. But I don't remember it like that. Perhaps Mr. Otten will.
ParlaMint-NL_2021-12-14-eerstekamer-8.u242	Well, I do. A kind of commitment was made there, but we also dealt with it in the Committee on Finance. The conclusion was actually that that commitment was not fulfilled properly, so this is not adequate. That is why we raised this issue on 16 November with a new motion. So we have now withdrawn it and replaced it with the new motion with letter M, I say out of my mind.
ParlaMint-NL_2021-12-14-eerstekamer-8.u243	L.
ParlaMint-NL_2021-12-14-eerstekamer-8.u244	Yes, L. It is true that this was discussed at the time, but at least that commitment was not sufficiently fulfilled in the opinion of the Committee on Finance.
ParlaMint-NL_2021-12-14-eerstekamer-8.u245	So the verdict remains the same, namely the question of holding the motion. Mr President, this brings me to the end of my reply. Maybe I can still thank the Members of the Chamber for a very pleasant debate. I've appreciated it very much. It was a debate in a series of debates I had with the First Chamber, which I have all appreciated. Thank you for your input.
ParlaMint-NL_2021-12-14-eerstekamer-8.u246	Thank you. Then I will give the floor to the Secretary of State for Finance - Supplements and Customs.
ParlaMint-NL_2021-12-14-eerstekamer-8.u247	Mr. Chairman. Answering three questions. The first question was raised by Mr Crone of the PvdA, whether the one-off energy compensation will be tax-free. That's what he's gonna be. This means that it does not go through with the taxable income and does not have any effect on any increases. Then there is the question of Mr Ester of the Christian Union, how I see the role of parliament in preventing future affairs. Of course, that's quite a big question. You also asked my colleague whether Parliament should not be addressed with exhortation and whether the limits of implementation have been reached. I have already said a little bit more about how I look at the issue of this issue and the importance that there is for all parties to keep looking at the question: if we then make a new law or rule, does it really do something good for people? Or rather: can we by regularly evaluating... We also said in the cabinet response to the POK that it is not only necessary to do execution tests, but that you also have to do input tests. You have to look carefully at whether a particular law or rule actually achieves what you want. I think it is important that your Chamber should continue to look at this, not only once, but also think about how it will work out in practice. I also think that the subject I have mentioned is very important: speak to those for whom this policy is intended, keep doing so, and continue to talk to other parties about it. Then I'll talk about that admonishing speech. We do, although sometimes the word "mandatory" is not so much the issue. Recently, at the request of the Chamber, the Secretary of State for Social Affairs and I said that in that case we do not consider further compensation wise because it would be an enormous task in the implementation. That was about loan assistance. Perhaps that will also be the subject of discussion in your Chamber. We have said very clearly there that we do not consider it wise, even on the basis of the execution tests, to do any more compensation, however hard and annoying that may be for those who are concerned. That, I think, is also an important lesson to continue to do, and at the same time, of course, to ensure that if there are distressing situations there are other ways to resolve them. Then there is the question of the SGP. That is really what it is about whether you should not wait for additional compensation to be paid when it comes to those arrangements for children, for ex-partners, for parents abroad and also for the other allowances. I have indicated that my priority is to ensure that we work out those arrangements as soon as possible, including the implementation tests, so that we also know what we decide when to start. That starting moment will of course be discussed both in the Lower House and here. I am keen not to wait, especially with this child scheme, to ensure that it can be implemented as soon as possible. But I agree with you that we need to ensure that there is not just some kind of cannibalization effect with the arrangements that are currently being implemented. I think that this is a good time to decide what the right time is for us to put in place arrangements when the implementation tests have also been carried out. They'll be here in a few months. In the first months of next year we are going to do so, in combination with the recalibrate. Then I think I have answered the questions I have been asked.
ParlaMint-NL_2021-12-14-eerstekamer-8.u248	Thank you, Secretary of State.
ParlaMint-NL_2021-12-14-eerstekamer-8.u249	I will close the debate and deal with the five legislative proposals. Then I come to the point of the motions. I see Mr Vendrik walking to the interrupting microphone. I actually wanted to deal with the five legislative proposals first. I don't know if it's about the legislative proposals. No. First of all, I would like to list the legislative proposals separately. Then I'll come to the motions, to keep it apart for a while. 35927, Amendment of some tax laws and some other laws. Does one of the Members wish to vote on this bill? That's the case. Then I suggest that we vote on the bill next week. 35928, Other fiscal measures 2022. Does one of the Members wish to vote on this bill? That's the case. Then I suggest that we vote on the bill next week. 35931, Law implementing tax-duty measure from the second EU Anti-Tax Avoidance Directive. Does one of the Members wish to vote on this bill? That's the case. Then I suggest we vote on the bill next week. 35933, Act against mismatches in the application of business principle. Does one of the Members wish to vote on this bill? That's the case. Then I suggest that we vote on the bill next week. 35873, Amendment to the Tax Reduction Act on Wages and Social Insurance and the Income Tax Act 2001 repealing the Job-related Investment Discount. Does one of the Members wish to vote on this bill? That's the case. Then I suggest we vote on the bill next week. Firstly, Mr Otten has asked for his motion 35927, letter G on the amendment of some tax laws and some other laws. I shall be voting on the other motions today. I give the floor to Mr Otten for a brief explanation of his procedural proposal.
ParlaMint-NL_2021-12-14-eerstekamer-8.u250	Mr. Chairman. In replying to the Secretary of State that this should be seen in a broader context with the framework contract with the Ministry of Justice, we decided to hold the motion until the debate can be held with Minister Grapperhaus or his successor, because that is more appropriate, we think. So we will waive the vote and hold the motion until further notice.
