ParlaMint-NL_2021-02-09-eerstekamer-11.u1	We need the response of the initiators and the government in the first term.
ParlaMint-NL_2021-02-09-eerstekamer-11.u145	Thank you, Mr. Chairman. I know Mr Van Hattem is fine on his own, but I think I should get out of my chair now. Because I have to say that on a subject like today's, I have to observe that there are no equal monks, equal hoods. Mr. Raven can tell us all about the PVV, because I think freedom of speech is a very good thing. So Mr Raven can tell me all kinds of things about the PVV, but that was completely out of the order of the debate. Anyway, again, the PVV can take a hit. But if Mr. Van Hattem comes up with certain statements, he will be called to order. I think that should apply: equal monks, equal hoods, especially in a debate like this. I mean, everybody's equal. Mr Van Hattem also says: we do not want to delete Article 1 at all, but we want to change it; but we want it so that everyone is equal before the law. And then I see that here, in our house, which is always so sweetly called the "chambre de réflexion" is judged in different ways. I think I should say that here anyway.
ParlaMint-NL_2021-02-09-eerstekamer-11.u146	Thank you. Go ahead, Mr. Van Hattem. You have two minutes to speak.
ParlaMint-NL_2021-02-09-eerstekamer-11.u147	Thank you, Mr. Chairman. I welcome the observation made by Mrs Faber. Mr. Chairman. The rule of law is important. The PVV Group is also extremely constitutional by saying that Article 1 and its scope can simply be adapted. I'd like to quote a quote on the state of law. "If we already declare people guilty in the Netherlands while they have just been charged, it is time for me to stand up for the Dutch rule of law." Thus the then alderman of Geleen Raven, when he was drunk by the police. Then, indeed, you do not use ME, and do not abuse your Article 1 of the Constitution to advocate it, just to give an example. Mr. Chairman. I come to the points advocated by the initiators. We had an extensive exchange of views on why it would be of added value to include these categories in the Constitution. The PVV Group is really not convinced that this brings some added value in a practical sense. I have just noticed in the interrupting debate with Mr Verkerk that very little can actually be said about what this adds in practice for people with different sexual orientations or for people with disabilities. It is already clearly regulated in laws, in treaties, in case law. So this bill offers very little perspective. I would say that Article 1 of the Constitution should not, as the initiators say, be a flag on a ship. No, the Constitution is the flag we have. There's not one article out of it that has a specific extra flag on the ship. No, the State's ship is based on the Constitution. And we just have to keep doing it on that. We should not highlight one article there if that would be a flag. In short, the PVV Group will vote against this proposal.
ParlaMint-NL_2021-02-09-eerstekamer-11.u148	Thank you, Mr. Van Hattem. I call Mr Rombouts of the CDA Group.
ParlaMint-NL_2021-02-09-eerstekamer-11.u149	Thank you, Mr President. I would like to thank the authors for their competent and sympathetic answers to our questions. Happiness radiates from the faces, so they must already feel the rash. I would like to say to the Minister: thank you, thank you, thank you for the competent answer. I didn't like it that much this time, but that's probably because I'm not satisfied with the answer. I'm kidding. More seriously, could this minister perhaps reconsider whether she would like to tell her grandchildren in her after-hours, in missionary status, about those two aspects that I mentioned? I have taken very good note of all that she has already done. Do not investigate or visualize, no, promote that it actually happens decisively. Two, and you have hardly gone into that: consider whether there is any reason to punish this violence more severely, not only because there is not only beating, but also because there is discrimination. In fact, that's a pile-up of business. Such a pervert, think of the late Hans de Boer, Steven van Eijck, who did that kind of thing for the Dutch government. Finally, Mr President. The word "symbolical" has been mentioned very often here today. Actually, we're all not happy about that. I do not know the solution either, but I do not think that a constitution and this proposal is symbolic. That's a degraded word, isn't it? In my opinion, it's of iconic value. Our Constitution lays down a number of icons, on which we must all create public value. The government every day, but in the Constitution we anchor the most important core values of our rule of law. Thank you.
ParlaMint-NL_2021-02-09-eerstekamer-11.u150	Thank you, Mr. Rombouts. I call Mr Schalk of the Group of the European People's Party (Christian Democrats) and European Democrats.
ParlaMint-NL_2021-02-09-eerstekamer-11.u151	Thank you, Mr. Chairman. Let me start by mentioning the good things we've been through today. That is, for example, the certainty with which both the proposers and the minister have expressed their views on the scope of what is ahead. What is criminal is still criminal and what the proposers are trying to do is to combat discrimination as much as possible. Of course, I do have a few more questions. I would very much like to ask Mrs Bergkamp whether she would like to clarify the fact that there can and may be room for distinction if this is an essential and legitimate professional requirement. Mrs van den Hul has made very clear statements as to why age should not be included. I've picked that up mainly because it can sometimes be functional. But what about color? That seems very complicated to me. 'Cause that's one of those characters you can't beat. Black Lives Matter also has a bit of constitutional maturity, if I could rely on that, because I'm a little critical about that, so I have to be careful with that. But I just want to mention it and ask the question again. Mrs Özütok has not answered my question very clearly about unborn children. I can tell by her body language that that's gonna happen. She would come back to it in the second term; I am very curious. That brings me to a few questions and a motion. Is it an unborn child about a child, so a human being? If this human being can get a name in the Basic Registration Persons, shouldn't it be given more protection? Can the Minister confirm what I have argued, namely that children who die or are killed in the mother's womb are indeed included in that basic registration? I refer to the answers to questions in the Lower House, meeting year 2018-2019, number 3439. And a child with a disability can therefore now be aborted. Isn't that discrimination? That's my last question. To make that clear, this motion. The: Mr Schalk and Mr Van Dijk proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there is a broad sense of non-discrimination on grounds of disability;]] [[noting that prenatal screening leads to abortions of children with disabilities;]] [[Whereas the right to include the name of aborted and lifeless children in the Basic Registration Persons underlines the protection of their human dignity;]] [[considers that disability-based abortion discriminates against children without disabilities;]] [[calls on the Government to promote the prevention of abortion on grounds of disability,]] [[and goes to the order of the day.]] [[It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32411-I]]
ParlaMint-NL_2021-02-09-eerstekamer-11.u152	Isaac's I, a nice name. Mr President, thank you. I must state at the end of my second term that the SGP will not support this bill. Not because discrimination should not be countered; I think I have made the intentions of my party and of me personally clear. I hope, however, that the motion I tabled will lead to the fight against any form of discrimination. Thank you, Mr. Chairman.
ParlaMint-NL_2021-02-09-eerstekamer-11.u153	Thank you, Mr. Schalk. I call Mrs Teunissen, on behalf of the Group of the Party of European Socialists.
ParlaMint-NL_2021-02-09-eerstekamer-11.u154	Thank you, Mr. Chairman. I should like to congratulate Mr Baljeu on his maiden speech. I found the answers of the proposers and the Minister very convincing and thorough. I also found the answer to the question of why these groups should be included, to my question about the limitative nature, convincing. Handicap and sexual orientation are logical in terms of the nature and history of the legislation, specifically with regard to these groups. And making it explicit is also an important step towards an inclusive society. We just heard about the symbolic value. It may be the connotation, but my group believes that this is very important. Symbols are part of the soul of society, and in that sense we also see this as an important symbolic step. But it also, as we have heard, has an important social significance through awareness. And it also has an important legal significance, because it can lead to additional legal protection. And these grounds, which have been incorporated into legislation for a long time, are now enshrined in a law that is above all laws, and that, as far as we are concerned, leads us to a next chapter in the fight against discrimination. However, we are far from there, and we must now, above all, give these grounds more meaning in practice. Because discrimination, discrimination and exclusion are the order of the day. Mr. Chairman. I wish the initiators every success in continuing this serious process. The Animal Party wholeheartedly supports this bill. Thank you.
ParlaMint-NL_2021-02-09-eerstekamer-11.u155	Thank you, Mrs Teunissen. Then I give the floor to Mr Raven on behalf of the OSF Group.
ParlaMint-NL_2021-02-09-eerstekamer-11.u156	Mr. Chairman. I agree with the congratulations to the initiators, to Mr Baljeu for his maiden speech and to the chairman and others who are having their birthday today. Mr. Chairman. I had made two appeals at the end of my speech, which was not really addressed in the reply. I had called on the Minister to break the vicious procedural circle and adapt legal procedures to protect victims of discrimination and to punish perpetrators more quickly. I do not have the impression that I have heard anything about this. Secondly, I had challenged the initiators to draw up, as soon as possible, a follow-up initiative law to criminalise discrimination, including on grounds of disability and sexual orientation, with a direct minimum prison sentence of several years and substantial compensation for the victims. I understood from Mr Dittrich that the word'minimum' could lead to discussion, but you may remove that. My challenge to the initiators is to pay attention to this in the future. I also said that discrimination does not belong in a legal society. The OSF will support any initiative aimed at combating this behaviour.
ParlaMint-NL_2021-02-09-eerstekamer-11.u157	Thank you, Mr. Raven. Finally, Mr Kox has the floor on behalf of the SP Group.
ParlaMint-NL_2021-02-09-eerstekamer-11.u158	Thank you, Mr. Chairman. I am glad that Mr Baljeu has been able to deliver his maiden speech and not on an everyday subject, but on a very special subject. Congratulations for that. I would also particularly like to thank the Minister and the defenders of the bill. I believe that this long debate has made it convincingly clear that this is a responsible addition to this very important article in our Constitution. I am not going to discuss constitutional maturity, because that is just a figment that has been given a certain status. I have a lot of feelings for what Mr Koole says about it. If you have such a procedure, it has to be ripe, otherwise it won't get much further. After all, it's a whole process. I believe that the authors, supported by the Minister, have made it clear that this is a responsible addition, because it concerns large groups of people who are long and often still lagging behind on the basis of the situation in which they find themselves. It is very good that we say that by this addition the people involved know and are recognized. In this context, I would also like to thank those people and organisations who have worked so long to recognise that they are no less because they are different. It is very nice that we can see that a whole development has already been made in this society. In 1983, colleagues said at the time that homosexuality should be included. That was a bridge too far back then. I couldn't do that at the time. That doesn't mean it was reasonable to discriminate against gay people back then. It couldn't have been done then. We should be pleased that there is now such a broad majority in this Chamber to include it now. It's been a long fight. That is why I believe that this debate requires respect. I remember in Tilburg 30 years ago Pink Monday was conceived. Henk Krol and someone else from the Gaykrant were there. Then in Tilburg you got that phenomenon that ordinary people were going to look at those weird people who just walked hand in hand there, girls with girls, boys with boys, old men with old men, young women with some older women. After a few years, everyone realized they look like normal people, they look like ordinary people. And in the meantime it has become a popular festival, where everyone, regardless of his sexual orientation, experiences a beautiful, beautiful and crowded Monday at the Tilburg fair. Gradually, through the actions that were carried out then, we have achieved that people understand that being otherwise has nothing to do with being less. That is why such a debate, to which politics has made an important contribution, fits in with respect for the fact that people who were disadvantaged because of their disability or a sexual orientation other than mainstream, who fought in times when it was very difficult and very brave. I'll take my hat off for that. Congratulations again to the authors. Let's go to round two!
ParlaMint-NL_2021-02-09-eerstekamer-11.u159	Thank you, Mr. Kox. Does one of the Members still wish to speak in the second term? That is not the case. Initiators and Minister, are you able to respond directly to the questions of the Chamber? I understand that Mrs Özütok will be the first to speak. Or Mrs. Bergkamp first?
ParlaMint-NL_2021-02-09-eerstekamer-11.u160	Mr. Chairman. We would like to reply briefly to all three questions. Mrs Özütok will say the final word.
ParlaMint-NL_2021-02-09-eerstekamer-11.u161	In what order do you wish to speak?
ParlaMint-NL_2021-02-09-eerstekamer-11.u162	I am first, then Mrs Van den Hul and then Mrs Özütok.
ParlaMint-NL_2021-02-09-eerstekamer-11.u163	Mrs. Bergkamp, the cathedral is coming to you.
ParlaMint-NL_2021-02-09-eerstekamer-11.u164	Thank you, Mr. Chairman. A number of questions have been asked to me. First of all by the PvdA. That was about the value of land that wasn't mentioned. Let me confirm once again that not explicitly stated grounds are no less important than those mentioned. Discrimination must not be allowed, not even on the grounds not mentioned. The difference is that these grounds are suspicious grounds in advance, where there is a greater presumption of discrimination. By adding two grounds, none of the grounds, whatever, loses meaning. I think the Minister will be able to confirm that later. Mr Raven has asked twice whether we are prepared to come up with a new initiative law. We are already very happy when this reading comes to a successful conclusion. Then we are going to do the second reading with great enthusiasm. But who knows? We continue to look critically at all developments. It's one of the best things for a Member of Parliament to come up with an initiative law. We have played well with each other, and that offers confidence and hope for the future. But thank you for the encouragement. I would like to add my thanks to those civil society organisations that have been fighting for this for a very long time. Without their support and participation, we wouldn't have succeeded. For example, we think of Elke(in), who works for people with disabilities and chronically ill and also for the COC. It's important to mention them. Mr Schalk of the SGP has asked to what extent having a certain sexual orientation can be an essential and determining professional requirement as provided for in equal treatment legislation. Let me be clear about that. No, you can't. The General Law on Equal Treatment states that only sex and in some cases race are essential and determining professional requirements. In the case of race, for example, this applies to the selection of certain actors. In gender, for example, these are professions where there is a little bit of a "how can I express this neatly', i.e. there is physical contact, for example personal caregivers, which allows you to select sex in a sauna. A limited list of excluded professions is included in the Decision on equal treatment and also in the Decision on occupational activities for which sex may determine. In addition, in certain cases the political conviction can be an essential and determining requirement for a profession. Think of political functions. I hope that I have been able to answer the questions adequately in this way. So there are possibilities on the basis of gender. To a limited extent there are for variety, but not for the other grounds.
ParlaMint-NL_2021-02-09-eerstekamer-11.u165	I referred to the letter from the minister we received. On page 3 there is an example of a horizontal legal relationship to which the AWGB applies: according to the AWGB, an institution on a religious or philosophical basis "may, in respect of persons who work for it, make a distinction on the basis of religion, belief or political orientation, to the extent that these characteristics constitute, by reason of the nature of the specific professional activity concerned or the context in which it is exercised, an essential, legitimate and justified professional requirement, in view of the foundation of the institution." My question is whether the authors are at least in agreement on this. If you answer that positively, this question has been answered very quickly.
ParlaMint-NL_2021-02-09-eerstekamer-11.u166	I think that's a fair question. You can make a distinction when it comes to political orientation in selecting a political party. You just can't make a distinction on the grounds of sexual orientation. Your question was to what extent you can select based on sexual orientation, and to what extent that is an essential and determining professional requirement. That is not the case. It is true that there is a possibility of making a distinction on other grounds, such as the professional requirement relating to political orientation. I'm happy with the question, because I can tighten this up a little bit. Perhaps the Minister would also like to respond in the affirmative later. Mr. Chairman. That was the end of my input. There is another question to be answered by Mrs Van den Hul.
ParlaMint-NL_2021-02-09-eerstekamer-11.u167	Thank you. Then I give the floor to Mrs Van den Hul.
ParlaMint-NL_2021-02-09-eerstekamer-11.u168	Thank you, Mr. Chairman. The concept of race, as already mentioned in Article 1 of the Constitution, I say in reply to the question put by Mr Schalk, has its effects in the AWGB and in criminal law, among other things. As I have just said, albeit in a minor way, this is in line with the broader definition of the International Convention on the Elimination of All Forms of Racial Discrimination. It was closed in New York on March 7, 1966. That was almost 55 years ago. That Convention explicitly targets discrimination based on race, nationality or ethnic origin, but also on colour. I looked that up for you. So that's what that's supposed to mean. That is also the fundamental right that has already been secured in the current wording.
ParlaMint-NL_2021-02-09-eerstekamer-11.u169	Thank you very much, Mrs Van den Hul. Mrs Özütok has the floor.
ParlaMint-NL_2021-02-09-eerstekamer-11.u170	Thank you, Mr. Chairman. Mr Van Schalk indeed owed me an answer to his question as to when an unborn bearer of rights was. In general, an unborn person is not a carrier of rights and duties. This affects the limits of right-wing subjectivity. It is difficult to give a simple answer. It often depends on the circumstances and on the legal domain at stake. For example, Article 1 of the UN Convention on the Rights of the Child states: "For the purposes of this Convention, a child shall mean any person under 18 years of age unless, under the law applicable to the child, the age of majority is reached earlier." The European Court of Human Rights does not consider the right to life in Article 2 ECHR to apply to unborn persons. That doesn't mean he's not protective. The Court leaves this to the national Member States. Article 2, Book 1 of the Civil Code provides that the child is to be regarded as being born as often as his interest progresses. The child is not yet a legal subject, but his interests must be taken into account. A stillborn child is supposed to have never existed before the law. In this sense, inclusion in the BRP has no legal effect or value. It's about recognizing the suffering of the parents.
ParlaMint-NL_2021-02-09-eerstekamer-11.u171	I have become a little quiet from the remark that a stillborn child is deemed not to have existed. I'm afraid this is a blow to the face of a lot of people who have had a stillborn baby. That child is an essential element within a family. I know families that carry it years later. So I would really like to ask you to take this away or to nuance it in one way or another, otherwise we will get into a very wrong, emotional interpretation of what is very important for families. That's the first thing. The second is...
ParlaMint-NL_2021-02-09-eerstekamer-11.u172	Perhaps Mrs Özütok can answer this question first and then ask your second question.
ParlaMint-NL_2021-02-09-eerstekamer-11.u173	I'd love to, Mr. Chairman.
ParlaMint-NL_2021-02-09-eerstekamer-11.u174	Go ahead.
ParlaMint-NL_2021-02-09-eerstekamer-11.u175	When it comes to emotions and the interpretation of a child, it can of course be very different per individual and per family. I don't want to take anything away from that. But the text I have just put forward is a legal translation of what is in the law. [[Sentence could not be parsed: De wet is zoals die is.]] We are discussing a law today, a constitutional change. So I think it is very logical that I repeat that text here.
ParlaMint-NL_2021-02-09-eerstekamer-11.u176	I think we should be careful that we get involved in this discussion. I've already indicated how I feel about it. As far as I am concerned, that is enough at the moment. I'll just say that an abortion isn't allowed. There must be an emergency situation or something like that on the basis of the law. If you don't, it's just a criminal offence, because you apparently kill a human being. Secondly, perhaps the Minister will be able to clarify this in a moment, so that we have indicated that a child, even if stillborn, has died in the mother's womb, or even has been aborted, can be registered in the Basic Registration Persons. They are, in my humble opinion, people. If we see that together, there will be consequences.
ParlaMint-NL_2021-02-09-eerstekamer-11.u177	And that question is addressed to the Minister?
ParlaMint-NL_2021-02-09-eerstekamer-11.u178	Mrs Özütok may still want to respond to it, but I would like the Minister's reaction to it as well. It will undoubtedly do so because it will also give an appreciation of the motion.
ParlaMint-NL_2021-02-09-eerstekamer-11.u179	Our initiative proposal is not about the abortion law. I think that's the confusion that's happening right now. Our bill has no legal consequence for embryo rights. That's what our discussion started about. So in that sense, I keep repeating that our law has no influence whatsoever on or changes the situation of embryo rights. The BRP registration, I keep saying, is about institutional recognition of suffering, with no legal value. I'm not saying that to make the pain even more painful. That recognition is very important to the parents. However, the fact that registration takes place in the BRP has no legal effect or value.
ParlaMint-NL_2021-02-09-eerstekamer-11.u180	The observation that parents' children will always be their children, I keep holding. I also understand that the initiative law does not address this situation. But this is the Chamber of Reflection. There are three things that must be taken into account: legality, feasibility and enforcement. This means that sometimes you also take the hit in society to make it clear what the consequences may be. That was why I brought this up in the written reply and also today.
ParlaMint-NL_2021-02-09-eerstekamer-11.u181	For the sake of clarity, I would like to put this question to Mrs Özütok, but he may also address Mr Schalk. Am I right that Mrs Özütok literally read out Article 2 of Book 1 of the Civil Code: "The child of which a woman is pregnant is considered already born, so often his interest progresses. If it comes into the world, it's never supposed to exist." Mr Schalk was shocked, because it is the law. So I ask Mrs Özütok: you said nothing but what the law said?
ParlaMint-NL_2021-02-09-eerstekamer-11.u182	That's right. That's right, Mr. Koole.
ParlaMint-NL_2021-02-09-eerstekamer-11.u183	Well, that's a short answer. Mr Schalk.
ParlaMint-NL_2021-02-09-eerstekamer-11.u184	Reading in context, the first sentence is also very explicit. Let us at least keep mentioning them forever. Indeed, if it is in the law, then it is there and then it is not Mrs Özütok's words. I didn't think it was Mrs Özütok's words either, because she was quoting. I had that figured out. I would like to see it in the breadth of that context, and I would also like to emphasise the compassion with parents, even if there is something in the law that hurts us all, perhaps even at this time.
ParlaMint-NL_2021-02-09-eerstekamer-11.u185	Thank you. Mrs Özütok, do you still wish to speak?
ParlaMint-NL_2021-02-09-eerstekamer-11.u186	Yes. Compassion with parents is certainly there, because in my family I have also experienced the situation of a deceased born child. That was someone who had gone before me, my brother. I never knew that. It wasn't until years later that I heard my mother call him in her prayers. That is why I say: what a child is depends very much on a culture, but also on a personal experience and how it is done in a family. Good thing you pointed us again on that empathic side of the motion. Mr. Chairman. I think we have now answered all the questions. That leaves me with a final word. Article 1 of the Constitution still has the same wording since the 1983 Constitutional Amendment. Article 1 really has a special meaning for many people. Not only because it is the first article of the Constitution, but because it reflects fundamental standards, namely that everyone is equal and that discrimination is prohibited in the Netherlands.
ParlaMint-NL_2021-02-09-eerstekamer-11.u187	May I have some rest in the Chamber, Members? Your final word, Mrs Özütok.
ParlaMint-NL_2021-02-09-eerstekamer-11.u188	It is extremely important for people who have been waiting a long time for constitutional recognition that we can, hopefully, take a real step here today. A constitutional change is a long-term process. If, as we fervently hope, the First Chamber agrees to the proposal, a second reading will follow. I would like to thank all the civil society organisations that have been working hard for years for this bill. Without their support and commitment, we could not have got this far. I would also like to thank our supporters once again. They have also played a very important role in bringing this bill forward, until now, in the Upper House. I would also like to thank the senators for their comments and support. Thank you.
ParlaMint-NL_2021-02-09-eerstekamer-11.u189	Thank you, Mrs Özütok. Let me see if the Minister for the Interior and Kingdom Relations still wishes to speak. That's the case. I shall then give the floor to the Minister for the Interior and Kingdom Relations.
ParlaMint-NL_2021-02-09-eerstekamer-11.u190	Mr President, thank you. A few more questions have been asked to me. Of course, he'd like to answer. I would like to thank the initiators once again and congratulate Mrs Özütok for her last words. I would also like to thank the spokesmen, such as Mrs Karimi, who have expressed support for the outgoing cabinet to continue in full in this area as well. That's a nice backrest. Once again, I would like to say that the cabinet, through its colleague for Medical Care and the foreign minister, will return to the state of play regarding the optional protocol. I will convey the explicit desire to add a timetable to this. Mr Koole asked me to deal with the non-explicit grounds and the legal functioning of them. I would also like to mention Mr Verkerk's question. He himself had a reflection on the moral dimension of this, which I liked. It has to do with each other, as far as I'm concerned. On balance, I think that is also a bit of the abstinence of the debate here, which means that some of the grounds have been replicated in the Constitution, and that this also has a social signal and a social function. I think that is what Mr Verkerk was referring to when he talked about the moral side of this, because it is actually a kind of moral apple, which you do with each other. This also applies to the government itself, because the government is of course expected to set an example. That is something that has not gone quite well lately. See the whole, rightful, discussion about the childcare allowance and the report that has been written about it. So the cabinet and the ministries must also learn from this and take action to do so. I mentioned that in my first term. But it also has an effect as a review framework for the legislator, i.e. when making new legislation. The latter is, I think, also important if you include it in the debate on the childcare allowance. This has also been proposed in the debate and a motion has also been adopted in the House of Representatives in order to examine the draft legislation even more intensively on its discriminatory effect. So that's the second part. Finally, the non-mentioned grounds for the application by the court do not necessarily make any difference. They may be equally important or even, where appropriate, of greater importance on a case-by-case basis. The Court is concerned with the material gravity of the infringement of the principle of equality and not necessarily with the fact that it is referred to in Article 1 of the Constitution. So the judges have to weigh interests; they are not always the same, nor of the same heaviness. So you cannot say in advance in legislation what that is about, but it requires a judgment, and therefore confidence in the judge's judgment.
ParlaMint-NL_2021-02-09-eerstekamer-11.u191	I hear the Minister say that it may be important for the considerations made by the legislator. Then I'm wondering something. At the moment, as we have just exchanged in the debate, a great deal has already been laid down in existing legislation, but also, for example, in the ECHR and other treaties. Then I ask the Minister: what does this add? And can we not just say, if it is to be recorded in this way, "we will just step out of the ECHR," as we have just discussed in the discussion? Then this would also be a good solution. Can we get rid of that if this is recorded in this way?
ParlaMint-NL_2021-02-09-eerstekamer-11.u192	No. I don't think that's a good idea. The debate is not about the ECHR; it is about our own Constitution. But I wouldn't like to conclude this. I do not agree with the PVV that we should have a very short and sober Article 1, because I believe that the PVV ultimately wants that, and I certainly do not agree with the PVV that it would help to get out of the ECHR. I think, on the contrary, that it is the combination of our own Constitution, our own legislation and the international treaties, which means that we, in this democratic rule of law, enjoy the protection that we also like. So once again, the cabinet has also fully supported the initiative proposal of the initiators. So I disagree.
ParlaMint-NL_2021-02-09-eerstekamer-11.u193	But then the Minister actually says: up until now it may not have been sufficiently taken into account. So what does it add to including this in the Constitution, while at the same time the Minister says: all these treaties and the ECHR are very important to us, and we cannot get rid of them? Then it is true that it should be settled at the moment, and it should not have to be added?
ParlaMint-NL_2021-02-09-eerstekamer-11.u194	I almost feel like we haven't been debating this point all day. I started my first term, a few hours ago, by saying that equal treatment, also on these grounds, is a characteristic of Dutch society. This applies both to the ground disability and to the ground sexual orientation. I have also said that this has been a discussion in our society for decades. It has not been allowed to discriminate on these grounds for decades. We are now ready to conclude that we would like to ensure this through an explicit inclusion in Article 1. Hence the support for the initiative proposal. I do not understand where Mr Van Hattem gets the idea that we would not have discussed it sufficiently. I hope that I have made it clear on behalf of the cabinet how we stand in this regard. Mr. Chairman. I would have stayed with Mr Koole's remarks. I think I've answered it now. I also answered Mr Verkerk's question. I've taken note of the fact that he's been converted. I don't have much experience with that myself, but I understand very well what he means. I, too, was impressed by the committee's report on the legal effects and the reasoning behind them. I am glad that this has also played a positive role for him. Then I come to Mr Rombouts. Since our last debate, I have always been very careful in replying to Mr Rombouts. He has not been able to convince me entirely that his comment here should lead to even more action on the part of the cabinet. Personally, of course, I am very motivated to act against discrimination and especially against violence against gays and lesbians, but I am also convinced that on that point, precisely by doing so... In itself, the inclusion in Article 1 will not have a direct effect on things that unfortunately occur on the streets, but the fact that we are speaking out here, that the legislator pronounces it, does indeed have the social function that Mr Koole mentioned. I wanted to underline this in the debate with Mr Koole. All the other actions I have just explained also contribute to this. It is also important, of course, to be aware of this every day in all sectors, in education, in the police force, as Mr Dietrich pointed out, and in fact in all parts of our society, to be very, very alert. That's what we have to stand for and fight for. I believe that my colleague, Mr Grapperhaus, should answer the question as to whether this should be punished more severely. I myself am convinced that punishment is important, but it is only part of the whole approach. As I have just argued, it is also about education, education and all kinds of other issues that need to be addressed. So it's wider than that. But I will convey the wish, or suggestion. Mr. Chairman. Then I come to Mr Schalk and what has just been answered by Mrs Özütok, because I would like to comment on the motion. This is also addressed to the government. The motion concerns the position of an unborn child and possibly even of a disabled unborn child. First of all, I would like to underline what Mrs Özütok also said. She said that the purpose of the law amendment of the Law BRP is primarily to recognise the position of the parents. It is therefore a question of the right to recognise that there was a pregnancy. That's very important. That's what it was all about. It wasn't about anything else. The motion calls on the government to promote the prevention of abortion as a result of disability. I see that Mr Schalk, through another legislative amendment, namely that of the BRP and this constitutional revision, is sparking another debate. That's okay, of course. You can always do that. I think this is also a position we know from the SGP. So it's no surprise at all. I do wonder if this is the discussion we should be having here. The amendment of the BRP Act and the present amendment of the Constitution have also had some purpose to change the current legal and social situation surrounding abortion. So I do not share Mr Schalk's conclusion. I'm dissuading the motion. Finally. I've heard everyone, but I've heard a question from the OSF that had remained in the first term. The question was about promoting the punishment of perpetrators and protecting victims. Of course I agree with that. I said something about that to Mr Rombouts. It has to be done anyway. If we can do it faster, we have to do it faster. But I think it's especially important that victims feel invited to be heard. That's what we've been talking about today. It is also important that this should be done in an appropriate manner, either by declaration or by knocking on the door of the Human Rights College, as I have just said. They must be able to be helped, because we must not tolerate what is happening to them.
ParlaMint-NL_2021-02-09-eerstekamer-11.u195	I won't try to change the advisement of the motion. I don't think that's gonna work right away. I just want to ask a very simple question. Surely it is not wrong for laws to be linked and even interlocked? I think it is our right to look at this law in this way and also to bring in another law, so that we can check here for legality, enforcement and feasibility.
ParlaMint-NL_2021-02-09-eerstekamer-11.u196	I would like to repeat that to Mr Schalk. As I said, it is in any case his right to say so and to express this position, which is known as the SGP. It is also common to connect certain laws. However, I found it useful to make it clear that the examination of this initiative proposal, and also at the time the amendment of the BRP, was not intended by the legislator to change anything in relation to abortion. I think it's a fact that the SGP is different. (NL) Mr President, that brought me to the end of the reply.
ParlaMint-NL_2021-02-09-eerstekamer-11.u197	Thank you, Minister.
ParlaMint-NL_2021-02-09-eerstekamer-11.u198	I shall close the debate and come to the conclusion of the initiative proposal. Does one of the Members wish to vote on the bill? That's the case. Then I suggest that we vote on the bill immediately today, in accordance with the previous agreement. Before that, I will suspend for a few minutes, so that you can discuss it in your group if you wish, and also in order to cut and ring the bell. I also propose that we vote on the motion tabled in two weeks' time.
