ParlaMint-NL_2021-11-18-tweedekamer-4.u1	We shall then proceed with the examination of the Foreign Affairs budget.
ParlaMint-NL_2021-11-18-tweedekamer-4.u224	Thank you, Mrs Mulder. I call Mr Van der Lee, GroenLinks.
ParlaMint-NL_2021-11-18-tweedekamer-4.u225	Thank you, Mr. Chairman. Thanks also to the Minister. I very much appreciate that he does not shy away from the debate and is willing to move towards opposition parties as well. At one point I have missed that, namely the guards, which we have said a lot about. I hope that in the second term the Minister will promise to look at that again, because it cannot be that we now have a different interpretation of criteria that we have agreed with the Chamber. There are two points on which I would like to make a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the rule of law is under pressure in several Member States;]] [[Whereas the European Union's core values on the rule of law, fundamental rights and the strengthening of democracy are vital and should be continuously promoted;]] [[Whereas civil society, NGOs and lawyers' collectives in these Member States who promote freedom of the press, democracy and the rule of law play an important role in these Member States;]] [[calls on the Government to support these types of organisations in these Member States with additional financial resources,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van der Lee and Mr Piri.]] [[She's getting No. kst-35925-V-34]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u226	Next move. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the illegal settlements in the West Bank and East Jerusalem constitute a serious obstacle to the two-state solution;]] [[Whereas companies active in illegal settlements contribute to the maintenance and expansion of the settlement economy;]] [[Considering that the UN database makes an important contribution to raising awareness and research on the impact of illegal settlements;]] [[calls on the government to commit political and financial support to the UN database,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Van der Lee, Mr Piri, Mr Jasper van Dijk, Mr Kuzu and Mr Dassen.]] [[She's getting No. kst-35925-V-35]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u227	I have also signed a number of motions from colleagues. I'm not going to explain them all. They're doing just fine. With one exception, I believe that Mr Kuzu is going to table another motion on the NGOs that Israel has designated as terrorist organisations. I hope the Minister is prepared to take a positive view of this. Thanks to his staff and again to Theo. I conclude my words. Thank you.
ParlaMint-NL_2021-11-18-tweedekamer-4.u228	Thank you. Mr Cedar, Christian Union. You have the floor.
ParlaMint-NL_2021-11-18-tweedekamer-4.u229	Thank you, Mr. Chairman. Thank you for exchanging views. I have a number of motions and a supplementary question. First of all, on Papua. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas Amnesty International has reported, in the last three years alone, 96 deaths due to violence by Indonesian security forces or police in Papua;]] [[Whereas journalists and human rights organisations have not yet been granted access to the area;]] [[Considering that in 2018 Indonesian President Widodo promised to allow the UN High Commissioner for Human Rights to visit West Papua, but that this has not yet been done, nor does the UN Human Rights Organisation have access to it;]] [[calls on the government to facilitate a visit of the UN High Commissioner for Human Rights Bachelet to West Papua bilaterally and in EU contacts with Indonesia and to draw attention to human rights in West Papua in the UN (Universal Periodic Review) of Indonesia in the Human Rights Council,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Ceder, Mr Piri and Mr Agnes Mulder.]] [[She's getting No. kst-35925-V-36]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u230	Then to Azerbaijan. We have noted from the written answer that it is still unclear for our Minister exactly what is happening. That's why we're making a motion on a fact-finding investigation. But we do know what is happening in Azerbaijan itself, not what is happening at the border, but in the country itself. There will soon be discussions on the Eastern Partnership. I do wonder whether, in the context of more for more for more and less for less, we can impose targeted sanctions here too or draw consequences for human rights violations. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the Minister states that the facts concerning the conflict between Armenia and Azerbaijan are not clear;]] [[Whereas it is necessary for an objective and impartial assessment of the conflict to have the correct information on the actual events and situation;]] [[calls on the Government to commit itself within the European Union to an independent investigation into the facts of the conflict between Armenia and Azerbaijan and to inform the Court as soon as possible of the outcome of this effort,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Ceder, Mr Van der Staaij and Mr Agnes Mulder.]] [[She's getting No. kst-35925-V-37]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u231	With regard to more for more and less for less with regard to the Eastern Partnership, I have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the EU is a community of values;]] [[Considering that Azerbaijan has significant human rights, freedom of expression, freedom of the press, etc. shortages, and continues to slip;]] [[Whereas Azerbaijan is still holding Armenian prisoners of war;]] [[Whereas, on 15 December, Azerbaijan's progress in the EU-Eastern Partnership is on the agenda, but the values of the EU and Azerbaijan are far apart from those of the above;]] [[calls on the Government to make an impact on the negotiations under the Eastern Partnership between the EU and Azerbaijan,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Ceder and Mr Van der Staaij.]] [[She's getting No. kst-35925-V-38]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u232	That's it, Mr. Chairman. Thank you.
ParlaMint-NL_2021-11-18-tweedekamer-4.u233	Thank you, Mr Ceder. Mr Van Houwelingen has the floor on behalf of the Forum for Democracy.
ParlaMint-NL_2021-11-18-tweedekamer-4.u234	I see no less than ten minutes, thank you for that, Mr President, but I will not make it that long. First of all, I would like to thank the Minister for the answers he has given. For the past three days we have actually crossed the swords a little bit about, what I would like to mention, the Latvian issue. I had the impression that it wasn't on his retina at first, but given the written answers we received, hopefully that has changed. I am also very much looking forward to the further answers he is going to give to our written questions in about a week's time. I have three motions. I also brought a present for my colleague Sjoerd Sjoerdsma and that concerns the book he referred to yesterday. That's the first book I've written, titled Incontemporary, with the beautiful cover of Caspar David Friedrich. Mr Sjoerdsma had some unkind words to say about it that I will not repeat here now. I do not blame him, because he bases himself on a piece in the NRC. Perhaps it is equally relevant to quote this in the second term. Don't worry, I won't be long, Mr. Chairman. Why is that relevant? We have also discussed democracy and freedom of the press. NRC wrote that piece five years ago. Mr Sjoerdsma and I knew each other at that time, although he may have forgotten that. That piece was about the referendum on the Association Treaty. We won that referendum and our movement emerged from it. The NRC wasn't too happy about that and then started digging. They wrote a really disgusting piece about this book that didn't add up. It's not the first time they've done that. They have done the same to another colleague of ours, Mr Omtzigt. They also wrote such a piece about him and it was then removed from the MH17 file. That was also very well refuted by the GeenStijl website. I myself rejected it with a piece I wrote entitled "The Stasi Techniques of the NRC." That piece is also on our website and I will add it for Mr Sjoerd Sjoerdsma. That piece sums it up well; what the NRC is doing is extremely bad, namely trying to demonise critical voices and thus expressing them out of the debate. I'll add that piece for you to the book, Mr. Sjoerdsma. I also wrote a nice piece for you in the front of the book. I'll bring it to you or maybe the messenger can pass it along. I now come to my three motions for resolutions on the debate. The first two motions are intended to encourage the Minister on the Latvian issue. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that Latvian parliamentarians have expelled their unvaccinated fellow parliamentarians from Parliament;]] [[Whereas these parliamentarians cannot now vote, cannot participate in the democratic process for which they have been elected and no longer receive salary;]] [[whereas there has thus been a massive violation of parliamentary democracy in an EU Member State;]] [[calls on the Minister for Foreign Affairs to refer his Latvian colleague to the General Affairs Council next week and to report back to the Chamber,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Houwelingen.]] [[She's getting No. kst-35925-V-39]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u235	Then I have a second motion. The recital is the same, so I am not going to read it again. The motion ends with: calls on the Government to summon the Latvian Ambassador as soon as possible. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to summon the Latvian Ambassador as soon as possible,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Houwelingen.]] [[She's getting No. kst-35925-V-40]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u236	Then there is the last motion, a more general motion to emphasize that we believe that foreign policy should be based on the Dutch interest. We consider this to be extremely important, and in our opinion it has been very little discussed yesterday and today. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[states that, even as regards Dutch policy abroad, there is no greater importance than the Dutch interest,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Houwelingen.]] [[She's getting No. kst-35925-V-41]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u237	Thank you, Mr. Chairman.
ParlaMint-NL_2021-11-18-tweedekamer-4.u238	Thank you. Mr Dassen van Volt has the floor.
ParlaMint-NL_2021-11-18-tweedekamer-4.u239	Thank you, Mr. Chairman. Thank you to the Minister for answering all the questions. Unfortunately, in the area of journalists and press freedom, which is under pressure worldwide, the answer is not satisfactory to me. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that journalists are becoming increasingly involved in life-threatening situations;]] [[noting that the Netherlands currently does not offer a solution to journalists in acute life-threatening situations;]] [[Considering that in 2022 the Netherlands, together with Canada, is chairman of the Media Freedom Coalition, and Canada has already committed to providing protection to 250 human rights defenders per year, including journalists;]] [[calls on the Government to provide protection to 50 journalists in acute danger of life plus their family members per year, and to consider, per case, when the danger of life has passed and they can return to their home country,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Dassen and Mr Van der Lee.]] [[She's getting No. kst-35925-V-42]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u240	Thank you to Mr Dassen. Mr Eppink, JA21.
ParlaMint-NL_2021-11-18-tweedekamer-4.u241	Mr. Chairman. I will not complain about reviews by the NRC Handelsblad. They must always be free and sometimes there are truths in them. I thank the Minister for the pleasant debate we have had, very informative as well. There was one question left about NGOs and the Ministry. I don't think it's been answered. For the sake of time, I will include them in a written question. Mr. Chairman. I have one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that it is in the Dutch interest that the Polish-White-Russian border is adequately monitored;]] [[calls on the government to support the Polish Government in relation to the migration crisis at the Polish-Russian border,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Eppink.]] [[She's getting No. kst-35925-V-43]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u242	Thank you.
ParlaMint-NL_2021-11-18-tweedekamer-4.u243	Thank you, Mr Eppink. I call Mr Van der Staaij, SGP.
ParlaMint-NL_2021-11-18-tweedekamer-4.u244	Thank you, Mr. Chairman. I would like to thank the Minister for the answer and put two motions for resolutions and ask one more question. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that fundamental human rights are widely and grossly violated in North Korea, including in the form of arbitrary detention, torture and slave labour;]] [[calls on the Government to continue its efforts at international level to combat this injustice, while exploring, at European level, the possibilities of putting more pressure on or holding to account those responsible for these human rights violations,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas Taiwan has a legitimate desire for meaningful participation in international organisations, and the Court has asked the Government to seek support in the EU for Taiwan's participation in international organisations;]] [[whereas Taiwan is not only an important business partner of the Netherlands and the EU, but also an ally in the fight against international (cyber) crime;]] [[calls on the Government, together with similar countries, to explore the possibilities of supporting Taiwan's request to be an observer at the General Assembly and to participate in Interpol meetings and training programmes,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van der Staaij and Mr Ceder.]] [[She's getting No. kst-35925-V-44]] [[This motion was tabled by Mr Van der Staaij and Mr Agnes Mulder.]] [[She's getting No. kst-35925-V-45]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u245	My supplementary question concerns the mandate of the Committee of Inquiry set up in May on Israel's action. We agree that there is a great deal to be said about this mandate, that it is not balanced and that the duration is different from what is customary. The Minister says in his reply: the decision has been taken, and we must accept it. My question is: when, in the opinion of the Cabinet, is the time to call that mandate into question again? Thank you.
ParlaMint-NL_2021-11-18-tweedekamer-4.u246	Thank you to Mr Van der Staaij. Finally, Mr Kuzu. Go ahead.
ParlaMint-NL_2021-11-18-tweedekamer-4.u247	Mr. Chairman. I would also like to thank the Minister for his reply in the first term. If you're gonna close the line, you're gonna have to come up with some really good moves. We made it. I'll read them right away. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the civil area for human rights organisations is under global pressure;]] [[Whereas the Netherlands plays an international leading role in supporting and financing human rights organisations, including in Israel and the occupied Palestinian territories;]] [[noting that Israel has recently identified six Palestinian NGOs, including three supported by the Netherlands, as "terrorist organisations";]] [[Whereas, in view of the seriousness and possible consequences of the accusation of support to terrorism, the Government considers "very important to support a possible accusation with evidence that is understandable to the accused and his or her lawyers and is reviewed by a judge";]] [[calls on the Government to stick to this democratic and constitutional starting point in supporting and financing humanitarian and human rights organisations in Israel and the occupied Palestinian territories and to continue to be guided by it,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Kuzu, Mr Jasper van Dijk, Mr Simons, Mr Sjoerdsma, Mr Piri, Mr Van der Lee, Mr Dassen, Mr Agnes Mulder and Mr Den Haan.]] [[She's getting No. kst-35925-V-46]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u248	Second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Bosnian-Serbian President Milorad Dodik recently said that the genocide in Srebrenica never took place in the period 11 July to 18 July 1995 and called Bosnia a "miscarriage";]] [[Whereas tension is increasing in Bosnia, as Dodik is taking more and more concrete steps to separate the Serbian part of Bosnia;]] [[calls on the Foreign Minister to make an urgent plea at EU level in which he calls on his colleagues to renounce Dodik's statements;]] [[calls on the cabinet to advocate in the European Union a sanction package aimed directly at Milorad Dodik and his power circle to keep pressure on the Bosnian-Serbian section without affecting the people of Bosnia,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Kuzu, Mr Sjoerdsma, Mr Van der Lee, Mr Jasper van Dijk, Mr Piri, Mr Dassen, Mr Simons, Mr Ceder and Mr Den Haan.]] [[She's getting No. kst-35925-V-47]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u249	Mr. Chairman. Then I have one final motion. I can imagine the Minister saying that he belongs to the external trade and development cooperation budget. Then I would like to hear it; then I will keep it and put it to the vote after the debate on Foreign Trade and Development Cooperation. I will compensate for the time with another budget. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas Dutch companies provide products and services to China, which are used for the genocide on Uighurs;]] [[Calls on the Government to make an inventory of companies providing products and services to China that are directly or indirectly related to the execution of ethnic cleansing on Uighurs;]] [[calls on the Government to take stock of a package of measures including, on the one hand, preventive measures informing companies about what their products and services are used for and, on the other hand, repressive measures such as an export ban on those products and services;]] [[calls on the Government to find support within the European Union for the adoption of similar measures,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kuzu.]] [[She's getting No. kst-35925-V-48]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u250	Thank you, Mr. Chairman.
ParlaMint-NL_2021-11-18-tweedekamer-4.u251	Thank you, Mr Kuzu. 34 motions have been tabled. The Minister has to give those 34 motions a ruling, so I'm suspending until 3:05 p.m. Then we're gonna listen to the minister.
ParlaMint-NL_2021-11-18-tweedekamer-4.u252	I give the floor to the Minister.
ParlaMint-NL_2021-11-18-tweedekamer-4.u253	Mr President, thank you very much. Thank you for all the input, the questions, the motions and the thinking. Mr. Chairman. I try to answer the questions briefly and then pass the motions. There are a lot of them these days, I understand. Sorry, first the amendments and then the motions. The questions. Mr Brekelmans asked if I could be more specific about the further criminalisation of espionage. When's that gonna happen? I can only say "early 2022," if only because our department is not about it. We depend on Justice and Security, and they must therefore state that date. But this does help to speed things up. Mr. Chairman. Mr Van Dijk asked when there would be clarity about the investigation into 20 years of Afghanistan, the major investigation. We have already said a few things about this in the state of play letter. We're working on that. That sounds like a death killer, but it is. You have to do that right, because an investigation over such a long period of time is a really great job. Before someone, an institution, is going to commit to something like this, it's going to take some time, because it just means a huge breach of the time seizure of a large number of people. So it's not settled overnight. But it seems that it might be possible to clarify this quickly. Then Mr Van der Lee asked if we could look again at the subject of the guards of our embassy in Afghanistan. We have, of course, looked at this in detail. In my view, the criteria are clear and I do not really have much to add to what we have exchanged in the first period.
ParlaMint-NL_2021-11-18-tweedekamer-4.u254	I expected Mr Van der Lee earlier, Mrs Piri.
ParlaMint-NL_2021-11-18-tweedekamer-4.u255	I didn't have time to go through with this in my two minutes, Mr. Chairman.
ParlaMint-NL_2021-11-18-tweedekamer-4.u256	Okay.
ParlaMint-NL_2021-11-18-tweedekamer-4.u257	I find that disappointing, and so does the Minister. Together with me, many political groups here in the Chamber think so. I would therefore ask you not to make the decision final until we have discussed this before Christmas as a Chamber in the forthcoming plenary debate on Afghanistan. That's my request.
ParlaMint-NL_2021-11-18-tweedekamer-4.u258	Two things. Of course, the Chamber is about its own agenda, so who am I to interfere? However, I should like to make it clear that my answer to Mr Van der Lee was not intended to be a death-killer either. As far as defence is concerned and as far as the military mission is concerned, it is about... Look, our Defense has been active in the field for 20 years, militarily visible in the field. Here too, we are talking about a select group, to quote Mr Kamp in the debate. He said there that people with a particular monitoring function could be included. It concerns people who were also visible to the public and people who also meet a number of other criteria. So it's a select group. The 195 guards of our embassy are still important to the Taliban at the moment, because the embassy building simply needs to be guarded. That's guarded by those people, too. That Volkskrant article referred to the asylum agency, which gives opinions, otherwise non-binding ones. This has also highlighted the risk to guards from military institutions. We have therefore looked into this, but of course the Chamber is going over its own agenda.
ParlaMint-NL_2021-11-18-tweedekamer-4.u259	Another question on this point, because it comes very precisely and because language in this matter is essential and also the interpretation of what has been agreed. I believe that an agreement has already been made that there will be a further plenary debate. My request to the Minister is that he writes down the criteria and what is the literal interpretation of the cabinet. Then we in the Chamber know exactly what the cabinet thinks and we can relate more precisely to it than we do now.
ParlaMint-NL_2021-11-18-tweedekamer-4.u260	That seems to me to be a request for clarity in the debate and for efficiency, so I am happy to do so. Mr. Chairman. Mr Van Dijk had another question following that motion on Qatar. I made the amateur mistake of talking about arresting this, when that motion was adopted a long time ago. Sorry about that. What was agreed at the time is to keep it under consideration. I think that, given the fact that we have another year to go, I would also like to give you the suggestion in reply, although I understand that Mr Van Dijk could not agree with that.
ParlaMint-NL_2021-11-18-tweedekamer-4.u261	That's what we're gonna hear. Mr Van Dijk.
ParlaMint-NL_2021-11-18-tweedekamer-4.u262	It is funny, because the government said at first: we are going to take this under consideration, because the Netherlands is not yet qualified.
ParlaMint-NL_2021-11-18-tweedekamer-4.u263	That doesn't apply anymore.
ParlaMint-NL_2021-11-18-tweedekamer-4.u264	That bump, as everyone knows, passed the day before yesterday. So this looks a little like "what excuse is being thought of again not taking a position?" Minister, the Chamber has been clear. I'd say run it.
ParlaMint-NL_2021-11-18-tweedekamer-4.u265	Without wanting to have a long debate, because then I repeat, I do not consider it an excuse, because I have indicated what criteria there are, what considerations there may be and what can change between now and November, which we also have to take into account. That is why my suggestion is to do what my predecessor said here, namely to keep it under consideration. Mr. Chairman. Mr Eppink had asked for my opinion on NGOs. He quoted me ten years ago. Once upon a time there was a writer who said: never remind me of the words I wrote, but in this case I still agree with myself, I will just give Mr Eppink a moment. I discovered, when I last had the portfolio of development cooperation, that we gave money to non-governmental organisations of a size that allowed you to leave out "non-" because they no longer had a basis. The strength, charm and legitimacy of NGOs is that they are supported and paid for by people, by citizens in the country. Sometimes, on that basis, they need additional resources from the government to do something else that doesn't work, and that's fine. Above all, we must continue to do so. But their I.D. isn't in the government subsidy flow. I've never found that, and I don't think so. Mr. Chairman. Mr Van der Staaij had a question about the Israel Committee of Inquiry in the Human Rights Council. When will we have this discussion now? That investigation is currently under way, and if this committee comes up with results, we will, of course, look at it. That is probably also the time to reconsider what was so troubling about us, namely the permanent nature of that mandate, because that is what it was all about in the end. But that does require a new resolution, and as we both know, the chance that it will succeed, while we are doing our best, is not so great, because the balance of power is such that we are not so terribly optimistic about it. But that doesn't matter, we'll just make our point and we want to make that clear. Mr. Chairman. I've answered the questions, I think. No, I got something else. I misinformed the Chamber. That's something. I said to Mr De Roon that we know that there are no Afghan funds in Dutch bank accounts that you could possibly link to the Taliban. Now I've been corrected. There was an account with a Dutch bank between 2015 and 2020, with €176,62. I'm just passing it along, to be complete and correct. I come to the amendments. The Omtzigt group calls for fewer informers. I could keep a whole story about that, but we don't. I would advise against this amendment. We have dealt with Mrs Mulder's amendment. I am merely doing the amendments that we have not dealt with. I come now to the amendment tabled by Mr Ceder, on point No. 13, on protecting victims of religious persecution. That's what I'm judging, Room. Let me see if I have had all the amendments. To Mr Brekelmans' amendment, No. 12, on the phasing-out of dependencies has been responded.
ParlaMint-NL_2021-11-18-tweedekamer-4.u266	Did you leave that judgment to the Chamber?
ParlaMint-NL_2021-11-18-tweedekamer-4.u267	Judgement Room, yes. I already told you that. The opinion on Mr Sjoerdsma's amendment, No. 14, I also left to the Chamber.
ParlaMint-NL_2021-11-18-tweedekamer-4.u268	The amendment in part No. 14 also has Judgment Room.
ParlaMint-NL_2021-11-18-tweedekamer-4.u269	Mr. Chairman. Then I get to the motions. The first motion, in part No. 15, belongs to Mr De Roon. That motion is about moving the embassy to the capital Jerusalem. That's an evergreen. And also the reaction is probably an evergreen: we advise against that motion. Mr De Roon's second motion, No. 16, about taking back subjects, we also advise against. We have just sent a letter to the Chamber following the Eerdmans motion on this matter. There's an explanation in there. For us, this issue, the return policy and the withdrawal of displaced asylum seekers, is part of an integral policy, and not the dominant cornerstone of Dutch foreign policy. That's why we're dissuading the motion. In the third motion by Mr De Roon, in part No. 17, the government is called upon to oppose the Strategic Compass. We do not, so we advise against this motion. The fourth motion tabled by Mr De Roon, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 18, calls for all ongoing aid programmes to be stopped in Islamic countries. We don't recommend that. The fifth motion, in part No. 19, is also Mr De Roon's. He asked the government to seek support from other European countries for similar sanctions against Iran because of the disruptive drone policy. I'd like to give this motion a ruling, Chamber. Then I come to the motion on part No. 20. That's Mr. Brekelmans'. It's about the secondary sanctions vis-à-vis Belarus. Can we read the motion as follows? It's basically secondary sanctions. These are not possible in the EU because of the possible conflict with international law and European principles of law in the areas of proportionality and legal certainty. However, since the last IAB, we can impose sanctions in response to migration problems. If I may explain the motion as an appeal to commit myself to implementing such sanctions, then I can give this motion judgment Chamber.
ParlaMint-NL_2021-11-18-tweedekamer-4.u270	I see Mr Brekelmans nodding in agreement.
ParlaMint-NL_2021-11-18-tweedekamer-4.u271	Then there's the motion in part No. 21, also by Mr Brekelmans. It's about the threat picture, and making scripts with scenarios. That's a motion I'd be happy to pass on to Chamber. The motion in part No. 22 by Mr Brekelmans calls on the government to work with America to prevent terrorist bases in Afghanistan. I'd like to give that motion, too, to judge Chamber. The motion in part No. 23, also by Mr Brekermans, is the motion on the agents of foreign influence and to establish such a register. I'm giving that judgment room. We are prepared to look again at those Australian experiences, although for the sake of fairness, because we live in a European context, there are some comments that do not automatically make this the brilliant idea. Anyway, we'll get back to that. Judgment Room.
ParlaMint-NL_2021-11-18-tweedekamer-4.u272	Mr. Brekelmans on the motion in part No. 23.
ParlaMint-NL_2021-11-18-tweedekamer-4.u273	Yes. I will submit a slightly modified version of this because the motion as it has been tabled has a slightly different wording. But my question is indeed exactly what the Minister is now saying: indicate whether the Australian example would be applicable in the European context, given the rules we have. That is exactly what the motion seeks to ask for. I'll change the wording a little bit.
ParlaMint-NL_2021-11-18-tweedekamer-4.u274	I'd love to. Then it's fine.
ParlaMint-NL_2021-11-18-tweedekamer-4.u275	Good.
ParlaMint-NL_2021-11-18-tweedekamer-4.u276	Then the motion to part No. 24 by Mr Van Dijk. I'm gonna have to dissuade him. The Strategic Compass is a confidential document of the High Representative. So it's not up to me to make it public. I fully understand the inconvenience in that regard. We've talked about that before. I can feel it myself. We will do our utmost to give an appreciation of this as publicly as possible and then discuss it. The target date was therefore 10 December, as I indicated to Mr Van Dijk in committee.
ParlaMint-NL_2021-11-18-tweedekamer-4.u277	I really had the idea that this motion was an easy one. We're not gonna decide on a document we don't know, are we? That is what it would imply if my motion did not pass: a document on European defence that we do not know about. My motion calls for it to be made public, for it to be debated, and then we can decide.
ParlaMint-NL_2021-11-18-tweedekamer-4.u278	Now Mr Van Dijk skips a few steps. It is not the case, if the Council has adopted a proposal later, that this is the case. It is a commitment on the basis of which the other institutions also have a role to play. Eventually, it'll come back to us. Only, I give Mr Van Dijk that we are discussing the commitment we have on the basis of an appreciation. That appreciation is based on a piece that we should not exaggerate a certain degree, but has a certain degree of confidentiality. I'm not authorized to break that.
ParlaMint-NL_2021-11-18-tweedekamer-4.u279	Mr Van Dijk, briefly.
ParlaMint-NL_2021-11-18-tweedekamer-4.u280	But that only makes me more suspicious towards that Strategic Compass, and a good parliamentarians should be too. We need to know what it says before we decide.
ParlaMint-NL_2021-11-18-tweedekamer-4.u281	I hear very clearly what Mr Van Dijk is saying. After all, the floor is not for me. It's just advice. You're the boss, not me.
ParlaMint-NL_2021-11-18-tweedekamer-4.u282	The motion in part No. 25.
ParlaMint-NL_2021-11-18-tweedekamer-4.u283	The motion in part No. 25 is a motion I need to consider. It is about being present at the first conference in Vienna on the Nuclear Test Ban Treaty. That motion was tabled earlier by Mr Van Dijk and then dissuaded by my predecessor. Norse participation is still uncertain, but that does not matter, because that is not the main argument. We took part in these negotiations. Our wishes were not met at that time. The Netherlands voted against. The cabinet has also extensively motivated this and shared it with your Chamber. International law is contested by non-signatories. Hence there are also what is called "persistent objectors," such as the United States, France and the United Kingdom. For us, it is the non-proliferation treaty that is the most important instrument. We are fully committed to that. That is why I must discourage this motion, like my predecessor. Then there is the motion on no government participation in the Olympic Games. I am referring here to what I said about this in the first term, on the basis of which I would like to discourage this motion. Then the motion to part No. 27 by Mr Sjoerdsma on the Human Rights Fund. I consider it an encouragement and I like to give it a Chamber of Judgement. Then the motion to part No. 28 by Mr Sjoerdsma on an arms embargo on Ethiopia. I just want to be clear about what we're saying. If we can interpret this motion in such a way that I am supposed to advocate the establishment of an arms embargo at European level, addressing all the parties involved in the military conflict, then I fully agree with the thrust of this motion. Then I'd like to make that a wish of the Chamber at the next RBZ.
ParlaMint-NL_2021-11-18-tweedekamer-4.u284	That would have been a better operative part, so heartfelt.
ParlaMint-NL_2021-11-18-tweedekamer-4.u285	Okay. Yes.
ParlaMint-NL_2021-11-18-tweedekamer-4.u286	That was the motion in part No. 28.
ParlaMint-NL_2021-11-18-tweedekamer-4.u287	Yes. Then the motion to part No. 29 on the evidence bank. I'd like to give it to you, Room. That is Mrs Piri's motion. Then the motion to part No. 30 on the penalty packages. My request is for this motion to be put to the vote, and I would refer you to what I said about it in the first term. We have to find out first. Once we've figured it out, we'll share it with you and we'll have to talk to each other about how we handle it, depending on what exactly comes out. So holding on would be my suggestion, but I also look in the direction of Mrs Piri.
ParlaMint-NL_2021-11-18-tweedekamer-4.u288	Is Mrs Piri prepared to do so?
ParlaMint-NL_2021-11-18-tweedekamer-4.u289	Yes, provided she doesn't have to be arrested for a year and we do see something within a few months.
ParlaMint-NL_2021-11-18-tweedekamer-4.u290	That goes without saying. There is an emergency situation in Belarus, so I wouldn't talk about it in terms of years and, frankly, months.
ParlaMint-NL_2021-11-18-tweedekamer-4.u291	Okay.
ParlaMint-NL_2021-11-18-tweedekamer-4.u292	The motion in part No. 31 on the offensive for the Istanbul Treaty, I'd like to judge Chamber. The motion in part No. 32 on the reform of Rule 42.7 is a motion by Mrs Piri. I'd be happy to give that one, too, "Room of Judgement." Then there's the motion in part No. 33 by Mrs Mulder and many others on aid to and a hand to civil society and opposition in exile in Belarus. I'll pass judgment on that, Room. Then the motion to part No. 34 by Van der Lee on aid to civil society, NGOs and lawyers' collectives in a number of Member States that we were talking about here. I'd be happy to give that one, too, "Room of Judgement." The motion-Van der Lee c.s. on a UN database for companies in the Palestinian territories, but I would also like to explain why. We were not in favour of this database because it is primarily up to the countries themselves and not the United Nations to make companies aware of the importance of corporate social responsibility. Also, the Netherlands was never in favour of the database, because the Netherlands wanted a general approach and not a list that would only cover the territories occupied by Israel. These are the two reasons why we want to discourage this motion this time too. Mr. Chairman. Then I come to the motion on human rights and West Papua.
ParlaMint-NL_2021-11-18-tweedekamer-4.u293	Just a moment before you move on. Mr. Brekelmans, do you have a question about Mr. Van der Lee's motion in part No. 35?
