ParlaMint-NL_2021-03-16-eerstekamer-15.u1	I give the floor to the initiator, Mr Nijboer.
ParlaMint-NL_2021-03-16-eerstekamer-15.u143	Thank you, Mr. Chairman. Thanks to the Minister and also to Mr Nijboer for his reply. I had indeed not asked a question about your draft law, so the initiative proposal, but that is actually a compliment. That is the way you should consider it, because if there are no further questions, everything is clear. It is also a good thing. I have also concluded my contribution in the first period that it is a necessary correction, just like both other proposals that are before us today. Mr. Chairman. In my contribution, I particularly zoomed in on the letter from the Minister of 21 February last. That letter was called Middle Segment Living Opportunities. I understand from the VVD Group that it has been examined whether my contribution is appropriate to what is going on here today. I think it's appropriate. Perhaps you have not taken note of the content of the letter, but a number of these matters do have a direct connection with what is being discussed here today. In that letter, building is a main theme. We have explained this and the Minister has explained it. Also the designing and keeping of houses affordable is a theme. I have made a plea to add: use. So take another look at that empty position. After all, it is quite a number of homes that are empty, and that could be part of the policy we are pursuing. In particular, the vacancy of more than 12 months is substantial.
ParlaMint-NL_2021-03-16-eerstekamer-15.u144	Do you think about time?
ParlaMint-NL_2021-03-16-eerstekamer-15.u145	Yes. At the same time, I have called for attention to be paid to the redistribution of, in particular, new housing. Look at it in a broader context. Look at it all over the Netherlands and don't just look at the Randstad. The Randstad is already overloaded and the villages and cores are threatening to become non-viable in the future. They're gonna need backup. It can lead to a positive result in both cases if we do not do something on the one hand that we do on the other hand. Thank you.
ParlaMint-NL_2021-03-16-eerstekamer-15.u146	Thank you. Finally, Mr Van der Burg of the VVD Group has the floor.
ParlaMint-NL_2021-03-16-eerstekamer-15.u147	Mr. Chairman. First, to Mr Raven: no, my reaction was to the fact that you advocated less housing in the Randstad. That's a way of thinking that's hard for me to make myself. Having said that, Mr President, I note that I have only been a member of the First Chamber for two years and that I do not have as much experience as Mr Kox, who was already in the First Chamber when I was playing with blocks. But in those two years I have experienced many debates, both with ministers and with initiators. You can see that initiators are often a little more enthusiastic than ministers, because it is really their law, which they have worked hard on themselves. But the way Mr. Nijboer defended his law today is one to run through a ring. If things don't go well here, you have to say it, and if things go well here, you have to say it. It was a pleasure to listen to Mr Nijboer. Too bad we can't do it more often. Thank you.
ParlaMint-NL_2021-03-16-eerstekamer-15.u148	Thank you. Well, those seem to me to be wonderful words to the initiator. A few questions have been asked. Can you answer it right away, Minister? Yeah, I see. There are no questions for Mr Nijboer. In the meantime, I would like to ask whether one of the Members would like to speak in the second term. That is not the case. Then the Minister for the Interior and Kingdom Relations has the floor.
ParlaMint-NL_2021-03-16-eerstekamer-15.u149	Mr. Chairman. There were a few questions after all. There were also, if I have counted correctly, three motions, on which I naturally like to respond in second term. There were also a few questions that I left behind in the first term or which I would come back to, so I will do that first. Then I will pass by the speakers and then I will make the motions. The first question I wanted to come back to was Mrs De Boer's question about the Koerhuis amendment in the Temporary Rental Discount Act. Had a good time, was actually her question. I took a look at the schedule. The amendment provides that a lease may be renewed for one or more months and until 1 July at the latest. It is also possible to extend this part of the Act by KB until 1 January 2022. The law will enter into force as soon as possible. I'm aiming for April 1st, like I said. So the answer is yes. Another question that was asked in the first period was Mr Raven's question on vacancy. He came back to it just in the second term. I think that Mr Raven and I should take a good look at what he is basing himself on, because my data on vacancy is very different from the figures he is using. If he says there's a lot of emptiness, he's talking about 150,000 homes where it's going to be over 12 months, I'll put the data on that. This is about an empty position of around 90,000 homes, but often less than a year. Part of that's friction emptiness due to relocations. These are two different data, and we need to compare them. However, I would like to return to the commitment I made just now, namely that we are paying attention to shrinking areas and regions other than the Randstad. A motion has also been passed on a national transformation plan, which I am working on. So I think we can find each other on many points. Mr President, I will pass by the speakers. I have taken good note of Mrs De Boer's comments about the flying start and construction, but also about the housing and affordability and so on. That's actually totally in line with what I was trying to say. I have noted Mr Kox's points of substance. I do appreciate what he has just said about the famous Kox motion, which will, of course, be engraved in my memory forever. Like I said back then, it's nice to write history, but maybe not necessarily that way. I am very grateful to him for his words today about the finish line. And perhaps to conclude this subject completely: Mr Crone also said something about my successor. If they ask if there is a body in the closet, I will say that it is not, but it is a motion, namely the Kox motion. Indeed, there is, but it is now mainly feed for historians and our archives. I believe that Mr Van Hattem has framed it; all that is allowed. At least it's a nice place for that motion. I am very glad that we were able to conclude this in this way in good atmosphere and in good harmony with each other. Mr. Chairman. Then I will go to Mr Van Rooijen. He still quoted his amendment. There's a motion on that, too, so I'll get right to that. I am also grateful to him for his fine words. It's very special, but I'm counting on coming back here in the future. It almost sounded like a kind of goodbye, but it sounded very friendly. Thank you very much for that. Then there is Mr Van der Linden from the Nanninga Group. I did not, by mistake, mention him and his group. In the many discussions on the Housing Fund, Mr Van der Linden and his group have also paid a great deal of attention to the neighbourhoods where, through restructuring, you could improve quality of life and safety. So I would like to underline what he said on that point. Mr Van der Linden made a number of substantive points, not real questions. I would therefore just like to say a few words about his point that all those involved in the housing issue, or in the housing crisis as he called it, blame each other. Well, that's not fertile at all. What we have learned from the past few years is that we really need to do it together. Building houses is not an easy task. It's not like one person can do that. A minister can't do that alone. Alderman Schaefer couldn't do that at the time. He needed other parties to do that, too. You can drive it. You can direct it. But you need lots of parties, from the developers and the housing corporations to the city. It makes no sense to point at each other, but you have to talk and make agreements about it. You have to be able to hold on to each other. That's how I got to know the sector in recent years. In that respect, I am positive about where we stand now, even if you look at the great task ahead of us. Mr Van Hattem apparently sniffed something out of this evening's debate; I did not. I do not think that is a bad thing either, because the debates that Mr Wilders is having are at least as gray as Mr Van Hattem's record in this Chamber. I'm really sorry. I am also sorry that I have to say something about it every time, because I think that setting people up against each other and pretending that there is a "we against them" in the Netherlands is a bad thing. It's about people. You can't put people away. It's about status holders who have rights. We cannot put them away as second-class citizens who are not entitled to anything. They have rights and they also have the right to a home, just like everyone else in the Netherlands does.
ParlaMint-NL_2021-03-16-eerstekamer-15.u150	I understand that Mr Van Hattem here...
ParlaMint-NL_2021-03-16-eerstekamer-15.u151	Yes, Mr President, I would like to respond to that. The minister says to dismiss status holders as second-class citizens. Now Dutch house-seekers are being dismissed as second-class citizens. They're on waiting lists for years. They do not have the priority position of the status holders. That's the crux. That's the problem we're running into here. I would like to ask the Minister that question just in the second term, Mr President, to come up with a vision of mass immigration that is continuing. I told you, this cabinet is an immigration addict. This is a mass immigration junk cabinet. Come up with a vision to do something about the housing shortage, because if this continues in this way, you can keep up with so many houses, but then it stops. This country is just full. I would like a response from the Minister to that. How does she feel about that? I'm not asking that question alone. The former chief CBS demographer has also seriously denounced this last week.
ParlaMint-NL_2021-03-16-eerstekamer-15.u152	I think Minister has just given her vision, but perhaps she wants to repeat it.
ParlaMint-NL_2021-03-16-eerstekamer-15.u153	I have, of course, already done this in the first period and, moreover, in all the other debates I have had on this subject. At one point, we agree. It would be good if there were more housing so that municipalities could provide different target groups with housing. That is not the case now, and that is a bottleneck. But I really distance myself from all the terms used by Mr Van Hattem, including the term'mass immigration'. The image he evokes with it does not do justice to reality in any way. Mr Van Hattem also knows that it is mainly about labour migration, about Europeans, about knowledge migrants and about students. In short, these are all the groups that keep our society dynamic and that are also necessary for our knowledge-based economy. So that's where we're not gonna agree, I guess.
ParlaMint-NL_2021-03-16-eerstekamer-15.u154	Shortly, just a minute. Before you start, may I remind you that your shoelace has been loose for some time. Maybe it'll be useful to tie it up later. Shortly, just a minute.
ParlaMint-NL_2021-03-16-eerstekamer-15.u155	It's not loose, it's a little long.
ParlaMint-NL_2021-03-16-eerstekamer-15.u156	Okay. I don't see that from this distance.
ParlaMint-NL_2021-03-16-eerstekamer-15.u157	That shoelace's a little spacious. That is also the problem, because the Netherlands is not widely measured. The Netherlands is only a small, tight and full of land. The Minister says that we all need it and that there are all rights and so on, but if you're sitting on the 22 million people at some point, there's a threat it's going to go there, then it's gonna stop. My question is simply whether there is no vision of immigration on the one hand, which keeps going on and on, and on the other hand, the country that needs to be built more and more fully, so that at some point there is literally no room for even more housing. As a result, rents will also rise, because that is what we are talking about today.
ParlaMint-NL_2021-03-16-eerstekamer-15.u158	Mr. Van Hattem, you repeat yourself, I must say. The Minister.
ParlaMint-NL_2021-03-16-eerstekamer-15.u159	Mr President, thank you. Thank you also for paying attention to the loose shoelace, because there is a party that says: in the Netherlands we release everyone, but nobody falls. And we won't trip anyone if it's a loose shoelace. I've just explained my vision. That is also the vision of the cabinet. And it's different from the PVV's. Mr. Chairman. I'm going to see Mr Crone. I'd already thanked him for his words on the motion. Houdini always had help, so I think you need cooperation. The cooperation with Mr Nijboer does indeed taste like more, I would also like to say to Mr Crone. I shall return to the Koerhuis amendment. I will prepare myself along the lines that Mr Crone has just asked for. I hope that we will soon be able to discuss the House Act here. I heard him right. Mr Rietkerk had just in his second term a rather substantive story about the Climate Agreement, about the neutrality of housing costs and about the task for housing corporations. I am not so concerned about what is going on here in the negative, because we are making an exception for rent increases if they are linked to housing improvement and sustainability. I think that the time is too short to go into the bigger picture that he called attention to. He asked to return to a number of points in writing. I'd like to do that. I think that deserves a more detailed answer than I can give here. It's obviously the subject of conversation with Aedes. I shall be happy to return in writing to the points he has just made. I would also like to thank Mr Pijlman for his comments on the housing impulse...................................................................................................................................................................................................................... I will indeed take care of its transmission, as he asked. I think I answered Mr Raven's question from OSF, because it was mainly about the issue of vacancy. Mr. Chairman. Then I guess I just have the motions. I have to see if the motion that was tabled in the first term is indeed the motion under letter D. I think so. That is Mr Van Hattem's motion, which deals with housing status holders. I said about this what I just said: that it is ultimately a choice that belongs at local level. I'm dissuading the motion. The motion under letter E, by Mr Van Rooijen, is actually the continuation of his question. He referred to an amendment before the House about the AOW and the income-dependent rent increase. I must dissuade her, with the arguments that Mr Van Rooijen has just outlined. He looks at that differently. I mentioned my arguments in the first term. I'm dissuading the motion. Finally, if I have my administration in order, the motion under letter F. That is the motion by Mr Van der Linden cum suis, who is asking for an investigation into the extension of the grant waiver for his own home. He's asking for an investigation. I would like to tell him that I can give the motion judgment chamber, also because it's an investigative motion. I note, however, that, when using a grant exemption for the home of up to €150,000, it is allowed to spread the donation over three years. The motion requests that we examine whether we can change that so that it will be more than three years. Of course you can. There will also be a response to the evaluation of the grant exemption for the home. We are expected to be able to send them to both chambers before the summer. So I'd like to give the motion judgment room. I am just saying that, of course, we should always look closely at the implementation implications and possible complications for the Tax Administration. Mr. Chairman. That brings me to the end of my second term.
ParlaMint-NL_2021-03-16-eerstekamer-15.u160	Thank you.
ParlaMint-NL_2021-03-16-eerstekamer-15.u161	I have come to deal with the legislative proposals. I'll list all three separately. Does one of the members wish to vote on the bill 35488, Proposal of the law of the member Nijboer amending Book 7 of the Civil Code and the Implementing Law on rental prices housing, the Law on maximation rent increases liberalised rental agreements? That's the case. I propose that we vote on the initiative proposal next week. Would one of the members like to vote on the legislative proposal 35516, Amendment of Book 7 of the Civil Code, the Implementing Act rents accommodation and the Housing Act (temporary rental discount)? That's the case. Then I suggest that we vote on the bill next week. Would one of the members like to vote on the legislative proposal 35518, Amendment of Book 7 of the Civil Code, of the Implementing Law rental prices housing and of the Housing Act (change of rental possibilities and income limits Housing Act)? That's the case. Then I suggest that we vote on the bill next week. I also propose that we vote next week on the motions tabled. You're okay with that. Then we have come to the end of this sitting. I would like to thank all the Members, Mr Nijboer, the Minister for the Interior and Kingdom Relations and the staff who made this meeting possible. I wish you all the best at home and good luck in the election tomorrow.
