ParlaMint-RS_2001-12-06-0.u14854	It's a business thing.
ParlaMint-RS_2001-12-06-0.u15015	The word is by MP Zlatan Jovanovic, followed by MP Bora Drakulovic.
ParlaMint-RS_2001-12-06-0.u15016	Dear citizens of Serbia, I address you, especially those who have entrusted your vote to DOS in the December elections. I hope in the last few days you've realized how much error you've been in when you believed DOS lies about a better life under their authority. I hope, too, that in these few days you've realized the true character of the current government. On Monday, the parliamentary majority tried to steal votes in the National Assembly, in the highest authority of government, to vote on the proposed labour law. Brutal and faceless theft was made by those who exercise power in this country, in the light of all the MPs present in the Assembly, as well as the entire Serbian public. In Serbian, those who steal are called thieves. And those who help them, knowingly and deliberately, do not deserve a different name. That -- stealing, thieving, crime -- is the essence of the current DOS government. Respected Serbian citizens, Serbia is in a political parliamentary crisis. The only way out is early elections. Think carefully about what has happened in the Serbian Parliament these days, whether you, Serbia, deserve such power. I hope we're not so sinful and not so rich, Docs, that we let an adventure called DOS rule last four years.
ParlaMint-RS_2001-12-06-0.u15017	The word has the People's MP Bora Drakulovic, followed by MP Bojana Aleksic.
ParlaMint-RS_2001-12-06-0.u15018	My fellow MPs, I would prefer to water all of Serbia, for the reason it is guided by who leads it. For I am that after this day and the next days, when the people realize that these threads will lead, neither can they lead, that they will shine upon us. I'll explain why I went out, I thought I'd stay out, this is what I missed to tell you: Mr. President of the Martians needs to be removed and in a package with his personal secretary, Maric. He always referred to them as legalists, actually, they're real thugs. Most of the time, they've been engaged in abolishing the rights of political insinuators and the entire opposition, and above all, the Socialists. Last night, on TV, the Martian publicly boasted that his party had personally replaced Slobodan Milosevic and his party. I purposely speak of the president and his secretary, and what the secretary followed in his desire to reduce all rights of the opposition, of course the Socialists first, to take members of the DSS and other parties from the opposition. Unfortunately, the secretary did not follow him only when the president of the Martians tried to catch a false vote. In fact, the secretary now signed that the invisible MP Novakovic voted fairly and directly, found himself on the side of legalists and thus revealed his real bully face. The president and secretary must go in the package, because they are the true character of a negative Serbia. Also, I think there are a lot of reasons to leave, but not because of what the Democratic Party is looking for, that's not a reason. Because they discovered this thief, they should be commended. Because of what I said earlier, they really deserve to be replaced by both the president and the secretary. Thank you.
ParlaMint-RS_2001-12-06-0.u15019	The word is Bojana Aleksic, followed by National MP Natasa Jovanovic.
ParlaMint-RS_2001-12-06-0.u15020	Dear fellow Members, I would like to remind you that today is the day of the shift of National Assembly President Dragan Marsicanin. Starting with the promoter himself and the inaugural speech of the promoter, through everyone else who spoke here today, I have not noticed that anyone made any mistakes in the work of Mr. Marsican, as president of the National Assembly. At least not some big mistake in the work that would require him to be replaced today. It's more like we want to change the truth here today. Mr. Martian's biggest mistake, in the opinion of the work of our coalition parathners, is that he was advocating for the truth. After all, since the DSS and its President Vojislav Kostunica have mentioned a lot of DOS and the way the DOS has even been joined in the first place, let's say a little bit about it too, to remind ourselves that the creation of DOS has occurred in the first place, why it even happened and who it was that DOS did at first. The DSS was created in June 1992 to fight against a totalitarian regime, to fight for what are true values, which are above all politics. For values such as truth and virtue, honor and honesty. The DSS has never advocated materialism in politics and has always wanted democratic rather than violent means to reach power, in order to establish a rule of law in this unfortunate and distressed country and perform something called essential, not just declarative reforms. Looks like that's why the DSS has to pay today. If that is the reason, Dragan Marscanin, all DSS MPs, all officials, directors, members of the DSS boards, municipal and municipal government presidents, will be happy to be the victims of truth, consistency and principle. I just don't know what's gonna stay with those other people in that case. The DSS has not sinned for a moment on the DOS coalition agreement. The DSS has advocated and will continue to advocate democracy and democratic institutions, for the rule of the majority. Will the rest of the DOS without the DSS be able to rise to have most of this people? Let's just remind ourselves of the time from just over a year ago, to remind ourselves of September 2000, when everyone noticed, everyone who participated in the vote counting from the election results, that SRJ President Vojislav Kostunica had already had some 400,000 votes more than the list of Greater Citizens for the Federal Assembly, led by Mr Dragoljub Micunovic, who, on the other hand, had, I don't know, but a lot more votes than the list for the Greater Republic, whose first place was Mr. Zoran Djindjic. Although it is said that the Democratic Centre is small and the Democratic Party is a large party. It was known by then, as was known by the number of DOS supporters who went to the rallys organised by the Democratic Party of Serbia and President Kostunica, that there were significantly more people coming here than those rallys organised by the DOS caravan, as they were organised with incomparably less money and marketing, because the Democratic Party of Serbia never had money and never fought for its principles by means of money and power. Her power was in her idea and in the belief of her members, who were completely broke, very often delivered the mail personally to save for the postage stamp, went and applied for their ideas. I'd ask myself, why are you silenced today by the MPs of DOS parties? Why don't they come out and say their opinions about the point on the agenda? Which is why they do not go out and say what the Democratic Party of Serbia has done and what coalition agreement it has wronged. I know and believe that there are many MPs in this room of the Democratic Opposition of Serbia who have both honor and conscience, and who disagree deeply with what is happening here today. I want all of them to wonder -- we were already eyewitnesses of what happened to one part of the Democratic Serbia Movement MPs, as they passed, what happened to the MPs of some other parties -- that everyone was wondering what would happen to them at the time when in the name of their party's programme, which was partly contained in the DOS, and in the name of their ideas, they would oppose what is currently pragmatism and the current struggle for all those ideas that the Democratic Party of Serbia advocated when it was founded. The Democratic Party of Serbia was founded among other things to bring down a totalitarian regime, to bring the rule of violence and tyranny to an end and to establish the rule of law. Is this what the rest of the Democratic opposition of Serbia stands for at this time and in this way.
ParlaMint-RS_2001-12-06-0.u15021	The word has a folk MP, Natasa Jovanovic.
ParlaMint-RS_2001-12-06-0.u15022	Ladies and gentlemen of Parliament, since the constitution of this call for the National Assembly, in which you on the DOS-Vojislav Kostunica list have gained the trust of the people from 176 parliamentary seats, the Serbian Parliament has been abound with various affairs, violations of Rules of Procedure, abuse and terror over the MPs of the Serbian Radical Party, and in all this is the Democratic Party of Serbia, together with the current rest of the DOS, with the help of Mr Dragan Marsicin, still the current National Assembly president. But today we need to ask ourselves - what is the reason for this bloodthirsty struggle between the rest of the DOS and the Democratic Party of Serbia, and what is the reason for the replacement of Mr Marsican? The theft, with the counterfeiting of the vote using Mr. Novakovic's identification card and your current detour from the so-called. the reform course in the labour law, which will completely destroy workers in Serbia and our overall economy, to what is now most important to you at this point - to be accounted for among yourselves and, in the right sense, to be spoken of as bloodthirsty beasts, to be torn down in front of MPs, who should observe and should be determined for one or the other. Unlike those in your fight, the Serbian Radical Party will continue to point out what is wrong with either party, which has marked the past year and a few days, because you are all together, and from the Democratic Party, with those attached to you, from the Democratic Party of Serbia, with Kostunica and Djindjic, have done enormous damage to the Serbian people and to all of us. However, this brief presentation will end with a review of your candidate for National Assembly President. If it was up to you to deal with the Democratic Party of Serbia at the end, did it have to come to this, the DOS gentlemen, Mr Jovanovic, to propose to the candidate from the most enthusiastic party, if it can be found among you who is the most anti-Serbian, the civil union of Serbia, the person who is synonym for passion, haughtiness, and who, in a year's time, with the help of Mr Marsican, did not want or could not learn how to address me as a national MP among other things. Thank you.
ParlaMint-RS_2001-12-06-0.u15023	The word is made by MP Joca Arsic.
ParlaMint-RS_2001-12-06-0.u15024	Dear fellow Members, allow me to say a few words about this point, which is on the agenda of this session of the Assembly, which is included in a non-business manner. An even more beautiful thing - two points have been combined that are completely different in nature and cannot be discussed both at the same time, talk about resolution and at the same time talk about appointment, as suggested in the proposal for this agenda point. I say on purpose - appointment, because this is not the first time the Assembly has appointed those to choose. This happened with the choice of judicial office holders, i.e. by appointing, if you remember, the holders of judicial functions in Belgrade's district, municipal and other courts; this happened several times after that, and today when we talk about the resolution of the current president of the Assembly, we again violate the Rules of Procedure, we do not respect the procedure of choice, nor the procedure of resolution. I have no intention of believing what you said. I don't know how the people have believed you so far, the stories you've told, because you've turned these stories around many times and your election promises, one by one, have abandoned you, and this is what you've brought before the Parliament today. It is certain that people who sign something cannot be trusted, and then say that there is a higher interest, and here they criticise macaroveism, criticise jacobs, criticise the totalitarian regime, and forget about their behavior that is exactly the same or much worse than what is being criticised. When the former period is criticised, the rule of the communists, as you say, totalitarian rule, do not forget that in your government you have at least half of the former communists in your vice presidents. Don't forget that. Do not forget that there are many MPs in this assembly in the opposition, in DOS, who are former communists. Don't just attribute it to the socialists, who are at least, according to their programme and definition, that they are heirs and bearers of these ideas, and that they still want to do so. We have today received one conclusion from the Administrative Committee here in the Assembly. This is a small threat or a little warning to the MPs, since it is the opposition that should carry the majority, i.e. to secure the quorum, the opposition in your opinion, and it is in our position that the opposition is to sit here in the Assembly that there is always at least 126 to begin in time and to organise an adequate debate in the Assembly. The opposition should also include its opinion on the draft laws on the topic of debate. However, you are using, since you have not been able to discipline your MPs so far to be here in the number needed for the smooth and regular work of the Assembly, and this conclusion of the Administrative Committee, where it is said that you must and report, and that you must be in the electronic system, is only a matter of what time. Because according to the Rules of Procedure, a man who comes out of this room, an MP, of course, has to take out his card, according to the Rules of Procedure, and when he comes back to put it in. When this intersection is going to be done to determine the quorum by the electronic system, whether it suits someone, whether it sums up how many MPs were in the O.R. and whether it's meant for those who need to get away from this room, not to list who they are. Therefore, I think this is one of the pressures that is being put on the MPs, that they are being disciplined by force. For discipline, one who has a majority in this room should be held accountable. This raises the question of the president's resolution, with the explanation of a few sentences, I will not quote them, they have been quite said, and it has previously been forgotten that mistakes have been made in the violations of the Rules of Procedure before; that what was to be considered has not been discussed; that what was proposed has not been included in the agenda, in the time foreseen for the regular procedure; that I do not list here, starting from the Survey Committee, from the proposal for various resolutions of ministers, to determine the responsibilities of ministers, and police, and agriculture, etc. It didn't come to the agenda, it wasn't the reason that we were here to discuss it and it was the president's responsibility not to put it on the agenda, but the president's responsibility is that whoever left, and you say he was driving in the one-seater, probably didn't know he was coming back from where he was, because it's probably impossible, or he couldn't get here in time to identify himself. And as for this story about who has what and how he has, I don't mind people having and riding horses. Better them than the people. Thank you.
ParlaMint-RS_2001-12-06-0.u15025	The word has a People's MP, Miodrag Jacimovic.
ParlaMint-RS_2001-12-06-0.u15026	Dear MPs, we have a dangerous situation here today - we are replacing the president of parliament who caught him in the act of thieves. Instead of being punished, the thief is punished. We all know in the O.R. that Ambassador Novakovic was not in this hall on Monday, and Kobajagi voted. He is president of Serbia's second or third city, i.e. Yugoslavia, and is allowed to claim something that is impossible. This is all a distraction from thieving and falsifying. Has he ever, and where, replaced the President of Parliament because he told the truth? Are we aware of what we're doing right now? Is there more embarrassing for this assembly and for the state of Serbia? I cannot understand that Ambassador Novakovic did not apologize to this assembly and admit what we all know - that he could not have been in the assembly on December 3rd, when he was in Thessaloniki. You can't trade with his voice like that. Something like this never happened. So, can he still be president of the New Sad Assembly? I guess he'll resign, because anyone else would respect him in that place, especially his fellow citizens. I think this was supposed to be talked about all the time, not talking about many other things that are beyond this subject. Thank you.
ParlaMint-RS_2001-12-06-0.u15027	There is a word from MP Petar Jojic.
ParlaMint-RS_2001-12-06-0.u15028	Ladies and gentlemen of the People's Parliament, it's been a year and several days since the DOS came to power, the SRS has been responsible to tell you that since the 1804s, since the start of the new state, there has been no more incompetent, irresponsible political strain than the DOS has been in power. Gentlemen of the DOS, you're trying to pass a labour law, which you're going to hang up on the workers. The people, if you adopt this law, will tell you: we have a state - we do not know; we have lost freedom - we have learned, we have lost the state - we have learned. The people ask -- is there justice, the DOS says -- there, the people asks -- if there's a law, the DOS says -- there, the people asks -- if there's morality, the DOS says -- there is. The people ask DOS - whether there is a God, and the people say in the end - there is God. Ladies and gentlemen of the DOS, you have delivered The Hague to Slobodan Milosevic, and you are preparing an even bigger noise of patriots, Serbs, so you are searching all over Serbia and Serbia's countries where you will catch Ratko Mladic and Karadzic, and many other Serbian patriots. Slobodan Milosevic was delivered without regents, with five million dollars at Tuzla airport; you delivered him against the Constitution of the Federal Republic of Yugoslavia, the Constitution of the Republic of Serbia, and the Code of Criminal Procedure. You know, ladies and gentlemen of the People's Parliament, that the Serbian people were not so angry with Milos Obrenovic for killing Karadjord, but he was more angry that he delivered Karadjordje's head to the Sultan. This is how it will happen to you, gentlemen of the DOS, who do not respect the Constitution and the laws and cooperate with The Hague tribunal without the Constitution and without the law. You didn't ask the Americans how they dealt with terrorists. The Americans dealt with separatists and enemies, allegedly the American people, by killing thousands and thousands in Texas and condemning many to 99 years in prison. So, ladies and gentlemen, the SRS estimates that all your promises, which you made during the election campaign, were false. Ladies and gentlemen of the People's Parliament, the new government is pushing Serbia into a break-in. The DOS must fall apart because it is twice as rotten and as such cannot save Serbia, I am afraid, ladies and gentlemen of the MPs, that Serbia will be ruled by the Ottoman Empire, if the Serbs are in southern Serbia, and in southern Kosovo has represented and defended Nebojsa Covic. Ladies and gentlemen, because of your well-known Rules of Procedure, I am not in a position to complete my lecture. Ladies and gentlemen of the Parliament, let me tell you DOS, the road is wide, but it seems to have become narrow for DOS.
ParlaMint-RS_2001-12-06-0.u15029	Dear People's MPs, I am reminded by the chairman that I have 30 seconds left. But what will you do when you've voted such a Rules of Procedure where no one can say anything? I asked her to allow at least four sentences. I can't go any faster. The SPS also pointed out last year in a pre-election campaign, and all this time while you are in power, that 18 parties, a variety of 18 parties, with different ideological programmes, with different attitudes towards the people, according to the sovereignty of the country, cannot lead the country. Nothing good can bring such a coalition.
ParlaMint-RS_2001-12-06-0.u15030	Please, MP, the time of the parliamentary group is up. I ask the People's Messengers to hear from each other. The SPS, as the last speaker from its parliamentary group, had a National MP, Radet Bajic, on the list. He had 30 seconds. When it was one minute, I warned that the time for the SPS parliamentary group was over.
ParlaMint-RS_2001-12-06-0.u15031	That's what happened today. So there were many reasons for Mr. Marsican's vote of mistrust. But I'm not going to say a single negative word personally about Mr. Marsican, but just as the president of the assembly, because anyone who was president of the DOS Assembly, that's how we'd treat it. He was here when tax laws were passed that taxed everything, even children's diapers, children's toys and school supplies. (President: I ask the MP to bring an end to the discussion, because of the business rules. ) When it was the Law on Privatisation, the new Rules of Procedure, which never put South Serbia on the agenda and the fateful negotiations of Covic, which led the Serbian people to ruin; which never asked how to free the Shipatarian terrorists from our prisons without setting a condition for one, even if one of our 1,300 people were free. (President: National MP, 2.33 minutes. Please bring the discussion to an end. ) What he said behind his back here, when we said something was going on in Užičko and that President Milosevic's arrest was ahead, to deceive the Serbian public. But since I have to finish, we won't stand on either side because of what we got today, which is that it violates the DOS agreement, nor will we vote in any way, not for, not for, not for, not for, not for, not for, not for, not for, not for, not for, not for, not for, not for, not for, not for, not for, not for, not for, not for, not for.
ParlaMint-RS_2001-12-06-0.u15032	I ask the People's Parliament not to put in an unequal position the MPs of other parliamentary groups. I've allowed 30 seconds for you to finish. What they wrote in their explanation, we will not participate in it. The word has a folk MP, Stevan Kesejic, and after that, MP Ljubomir Kragovic. The SRS parliamentary group has 2.15 minutes in total.
ParlaMint-RS_2001-12-06-0.u15033	Ladies and gentlemen of the People's Parliament, while the president of the National Assembly used the laws and regulations of DOS politburo, until then everything was fine. As soon as the president of the National Assembly held back and turned to the Rules of Procedure, he was immediately attacked because he was not in line with the DOS majority, or the rest of the dosmanium, who were keeping an eye on the mistakes of all opposition SRS MPs. What happened? On Monday, the reincarnation of Baron Minhauzen took place. There was a reincarnation because it flew on Mr. Novkovic's cannon, because how different to interpret when we found out, we heard it from the president of the National Assembly, that there were no plane flights, and he showed up here anyway. So either the real Baron Minhausen was present here in the National Assembly or they were some vampires. These vampires are here today, who will try in every way that what they did not accept, what the SRS asked for with a lot of arguments, civilized and in the right way, saying and pointing to a violation of the Rules of Procedure by the president of the National Assembly, today as vampires of the Ottoman vote.
ParlaMint-RS_2001-12-06-0.u15034	The word is by MP Ljubomir Kragovic, followed by MP Lazar Marjanski.
ParlaMint-RS_2001-12-06-0.u15035	The Honorable Presidency, ladies and gentlemen of the People's Parliament, we have not yet adopted the labour law as a whole, and we already have our first victim; it is Mr. Martian; and not because of his unhappiness, not because of the poor and biased conduct of the session, which was pointed out by Serbian radicals in their proposal to replace the president, but because he discovered a constant theft by the dosmanium, which he had not overlooked as those before and therefore must be replaced. Why did Mr. Martian deserve a shift? The main reason is that, contrary to the resolution and the declarations we adopted in this parliament, the Serbs were invited to the occupation elections, he urged Serbs to the unseen mud, shame, humiliation and shame, to the terrible humiliation that today's so-called Hekerup MPs are being exposed. There was talk of a boycott of choice. The Democratic Party has not boycotted the election. Marko Jaksic was the only one who boycotted the elections, but the Serbian Radicals boycotted those elections, and today we are absolutely right when we point out this, given the fact that we are experiencing the embarrassment and shame of Serbia and the Serb race by the new so-called. Hackerup's MPs. Given the weather, I thank you.
ParlaMint-RS_2001-12-06-0.u15036	At 1.26 minutes, the total time for the SRS parliamentary group expired. National MP Kragovic spoke for 1.26 minutes, and the parliamentary group had 1.10 minutes. The word has the People's MP Marko Jaksic. The basis for the replica - is mentioned in the presentation of the previous speaker.
ParlaMint-RS_2001-12-06-0.u15037	Unfortunately, Mr. Kragovic, that's what happened. However, we have had opportunities to listen here to Mr Jovanovic's crocodile tears over Kosovo, over a pre-election campaign. I'm sorry, I don't know how many times anything else has been done, except for that circus that DS put on that border, that's when they wouldn't let their friends in. That's all Mr. Jovanovic thinks and cares about Kosovo at all. Unfortunately, I think I'm right. The next day after the election, Desanka Milosavljevic was killed, and then every day they breach the northern part of Kosovo's Mitrovica, Serbian doctors are being expelled from Gracanica. That's that beautiful pre-election cappella that pretty Chad invited us to. On the other hand, I unfortunately did not listen to my master, unlike Mr Jovanovic.
ParlaMint-RS_2001-12-06-0.u15038	With this, we have exhausted a list of the people's messengers reported to be involved in the debate. Of course, the heads of parliament have the right to take part in the debate. Who's answering for a word? Mr. Michael's word.
ParlaMint-RS_2001-12-06-0.u15039	Dear Chairman, ladies and gentlemen of Parliament, here we are entering the afternoon section in the already not knowing which hour of debate on what is on the agenda today and probably to no one in this room, who has any respect for what is DOS, which is the promises we made to the citizens, is not dear. I would like each of the MPs from DOS to vote to look us in the eye, as we can look the citizens of Serbia in the eyes, as we could do on 24 September and 23 December and as we will always be able to do. And if they looked at us, and looked at the citizens, and said, it was a fair vote, no one had taken any votes. Just to say, nothing else; and to say - Mr. Martian, you have violated the Rules of Procedure here and here. Is all this happening just a distraction from one abuse that's more than evident? Is this a way for someone to try to hide the smaller one from a bigger media bomb? Is this a way to discredit Skuština? Yes, it is. Is this a way to discredit yourself and you gentlemen MPs? This is what you discredit yourselves first, and one of you wants to build a voting machine, and the apparatus in his hands, rather than the apparatus and the executive authority being yours, and that you control them, they govern you. Do you want to be puppets in a theatre play, to be dolls of a dictatorial authority, who will rule from the cabinet, who will rule the regulations, and in which the directors of the agency will be more powerful than any MP, than any parliamentary group and anything that exists in this country. Is that what you want? Did you promise that to the citizens? We're not, neither are you. Is that what you're doing? Do it, gentlemen. Why does someone need to destabilise the state now? We are going into the process of restoring talks with the parties in Montenegro, in the process of redefining relations in the Federation. We have good cooperation with the international community. The Democratic Party of Serbia announced a proposal for co-operation with The Hague tribunal. The charges and attacks against the Democratic Party of Serbia followed. Who minds the co-operation law with The Hague? To those who want to use Hague indictments for various petty squishy interests and blackmail. They are bothered that they could make a variety of promises that they will not be delivered, that they have protection because there is no regulated legal system of co-operation with The Hague tribunal, where this state will stand behind everyone, not a particular lobby and a certain group of people. That bothers them. Because someone's bothered to change the system, but they're okay with a system where there's no system and there's only rule that there's no rules, that the rule is stronger, that the rules can change during the game. It is a system where those who do not want Serbia well are best equipped in Serbia. Who is responsible for destabilising Serbia and Serbia's international destabilising, bringing new discord into the parliamentary majority, fostering secessionist movements in Montenegro. Who does that suit? Is that going to the hands of Serbian citizens? It's not working. Why call for a coalition agreement: to hear what stands in such a famous coalition agreement. If someone's already breaking the coalition agreement, you're breaking it today. The seat of Parliament's president belongs to the Democratic Party of Serbia and you know it well, but you are doing the opposite again; and it is not sacred. What is it but personal and party interest? What can be called the government that has seen a decline in production since the beginning of its rule, a rise in the rate of crime, a failure to implement system reforms. Is that a successful government? Is that the reform government? Can reforms be carried out on these grounds? Do we want to build a state and change the system of abuse in the congregation, to abuse in the most sacred legislative home? If that happens in front of millions of people, in front of cameras, what happens when someone talks to someone in four eyes? Many of you know well how to talk in four eyes, so maybe that's why they'll vote. But have you fought for such a state, where in four eyes things will end, where there will be no guarantee of any right. Have you fought for a country where political processes against political insolents will continue, where I will wave criminal charges? Have you fought for a country where certain services will work to create files for the discredition and compromise of each of you MPs and that will keep waiting for the right moment. Did you fight for such a country? These days, all the halls, all the files are collapsing. He's messing with the history and family tragedies of many of you here, but he's waiting for the right moment. Did you fight for such a country? Did you fight for a police state, a state where absolute control has executive authority? Is that what you've been fighting for? Did you fight for a country full of affairs, for a state of undiscovered crime, for the country's biggest robbery in Europe this year? Did you fight for such a country? Ladies and gentlemen, we all know what's going on, that this is the cause of a more serious argument that follows us in the country, for the calculation of two concepts. One key concept of safe and fundamental reforms, change of system and establishment of the rule of law. It is the concept of a partnership relationship with the international community, trust and return of trust in institutions; institution building. The second concept is one whose nothing is sacred, nor agreements, nor laws, but which is sacred to him only what is his personal and party interest. That's two concepts. You have the right to choose. Don't say you don't. You know very well and the citizens know. It's your responsibility, ladies and gentlemen. You need to look yourself in the eye and look the people in the eyes. I don't know why many of you are looking away from us from the Democratic Party of Serbia today, I don't know why you're doing this. I will conclude with the quote by Borislav Pekic, founder of the Democratic Party and the Democratic Party of Serbia, who said "Ladies and gentlemen, the most important thing in the world is a peaceful dream. Ask the communists, they haven't closed their eyes in 50 years." I'm afraid if you continue like this, you won't have a peaceful dream either.
ParlaMint-RS_2001-12-06-0.u15040	Are any of the heads of Parliament answering for a word? Here you go, Mr. Petrovich.
ParlaMint-RS_2001-12-06-0.u15041	Dear colleagues, here's the debate at the end. What we least wanted, which is that our DOS problems and the joint coalition, which won the maximum citizens' trust last September, are being brought here before those who have lost to Serbia's citizens. It happens, but what we can do, it's like that. I repeat what I said this afternoon: our greatest desire, for us from New Serbia, is that tomorrow at the DOS college, there is some reconciliation, a convergence of attitudes. Of course, someone here doesn't want it, especially from these people, colleagues who are in opposition, and I totally understand that. But you must understand, too, those of us who speak with a voice of reason, and I am convinced that even the people of both MP groups, who are at first sight most confronted here, do not lose hope that this can happen. We'd like to do it the most. That is why before the vote to resolve the president and elect the new speaker of the assembly, since the vote goes one after another without discussion between us, we will explain the New Serbia position that we will vote, precisely for the reason that someone will not manipulate or say anything tomorrow. All seven MPs present here - and the eight New Serbia MP, who was elected here yesterday, will not be able to vote because she had a death certificate in the nearest family and today is absent, but I am convinced that she would vote similarly - will vote to continue to give Mr Marsican confidence, i.e. We'll vote against Mr. Martian's motion for a shift. This is about New Serbia and its vote, which is for a simple reason because we believe that decisions like this should not have been made here, but on those bodies that will be held tomorrow, and hopefully later. However, gentlemen of the Parliament, it is very important to ask what will be further? Our best wish is for this parliament and for the next vote to be the political structure that gained citizens' confidence last September. Unless Ms. Natasa Micic is elected and gets most of those present here in the hall, according to the Rules of Procedure of the National Assembly that we voted on a few months ago, the oldest vice president of the Assembly will be acting as president of the Assembly. That is, I must remind you, Mr Ljubisa Maravić of the SPS. He, I was present in Kosovo Mitrovica in August last year, stoned Mr. Kostunica at a pre-election rally. At no cost, we mentioned this, and I repeat the words of the MPs when he was elected Vice-President of the Assembly, we did not want to vote for him, although the DOS parliamentary group, at the highest percentage, and particularly the Democratic Party, voted for him. We didn't vote then either, and I don't think the Democratic Party of Serbia either. What's going on in the meantime? In the meantime, if we do not declare Mrs. Natasa Micic, we will have the president of the SPS-like Assembly; a man who has shown his anger in the worst possible way towards people who have trusted citizens; we will also have across the way from Mr. Milan Milutinovic, president of Serbia who also sits, we do not know where and what is, which is on The Hague's pursuit; we will have for the president of the Assembly and President of the Republic, people who are from the defeated structures. What happens next, gentlemen? We will also vote here for Mrs. Natasa Micic, courageously and honestly, unlike those who wanted this to happen. There's going to be a jumble, but on Sima Street, in DOS rooms, when it's necessary and when we decide, not when these people sitting here in row five or six decide. Therefore, I thank you and our attitude is extremely simple. Mr. Marsicanin has our full support, Mrs. Micic also has our full support. If you are careful, Mr. Marsican, as we best wish, Mrs. Natasa Micic, as our MP, also enjoys still our trust at the post of Vice-President of the Assembly.
ParlaMint-RS_2001-12-06-0.u15042	Here you go, pal, replica, Mr. Maravić.
ParlaMint-RS_2001-12-06-0.u15043	Dear fellow MPs, honourable MPs, my predecessor, counterpart Petrovic, from New Serbia, has today brought out of this booth the notorious lies concerning my name, related to a pre-election campaign that was held last year on the territory of the Autonomous Region of Kosovo and Metohija. I am determined to deny any involvement in everything that happened during that incident and any member of the SPS involved in these events. I think it's about rough insinuations, very thought-out and directed against the SPS, which in Kosovo Mitrovica in all the past elections in the last 10 years has won convincingly. She won convincingly, which she also proved in last September's 24th elections, when she received 52 per cent of the vote in December's elections, when she received 44 per cent of the vote. Therefore, I ask you to take this seriously in the interest of the truth because I firmly deny it, and in some ways these words can also reflect the unity of the Serbian people, which we create in the territory of Kosovo and Metohija, in Kosovo Mitrovica, no matter what political option they belong to. Thank you.
ParlaMint-RS_2001-12-06-0.u15044	Mr. Nikolic, you asked for a word? Here you go.
