ParlaMint-IS_2015-05-27-113.u1	The program suggested at a meeting yesterday from Jón Þór Ólafsson, etc. is called again.
ParlaMint-IS_2015-05-27-113.u101	A respectable president. First thing I want to do is thank you. The welfare committee for her review of this case, of social security accidents, who may not give up much, and in many ways especially in the form of this legislation and management. It has discussed various factors that are more important and that have long since come to grips with the council and its administration. This includes the interaction between different factors in this complex system and, in fact, a fundamental part of the social security system, i.e. The basic benefits of self-imperience or that of those who need to rely on both accident insurance and insurance insurance insurance insurance, to improve it enough to advance the way it is at any given time. It is also the second major subject at present for social security purposes that prevent people from being locked up in the system or the system so that people are trapped there in some sort of reformal or organized poverty and should not return. It is known in itself the discussion of the growth of disability in this relationship, and this aspect of the matter was merely evident in the answers to the chairman of the welfare committee. The day's coins have been part of that discussion because they can change the form and the set of day - to - day coins, but this does not change the daily coins themselves to be ignominiously low and not merely ignominiously unconvincingly low. The amount of money available to people is that it cannot be saved unless it has other incomes as well as support from other systems. The small amount of money may help people not to look for the short - term help that may have been needed when they entered the system at its beginning but, in fact, before they have tried to see if only temporary problems, temporary problems, temporary illnesses, and such, after going into the rehabilitation and disability process. It is a savings that if this has been the case, that much of the short - term support in the form of day money is not properly available and people are literally pushed in on fixed pensions for an extended period of time, from which it may be difficult to earn a living. However, it is not just a amount of money in our day's money that is meant to be discussed at the council; it is not only the total combination in our complex improved systems, and then the bases itself and what people are meant to live on, and especially, as I did about this morning's work, in connection with the agreements that are now being done, we hope. Of course, when it comes to dealing with what I trust to become the highest payings in the labour market, it is inevitable for us at the council to handle the money that people are meant for in the social security system, whether it is accident insurance, pensions, or disability pensions. There must be the same requirement as that of a labour market, and it must also move on to those who are temporarily relying on daily funds, that in this legislation they have the minimum amount of money available to minimal progress. I think everyone knows that the money that's under here is not going to do it. For some 30 to 40 years, I believe that since the complex network of social security with us and the interaction between different types of credit and expansive payments, I believe that humans have recently lost the figure on the number of committees appointed to achieve a complete review of the system and the interaction between its different factors and how humans move from one of them to another with no results. This is unlike the number of committees appointed to review the constitution, most of which have never been found, for they were merely appointed to form in order to meet standards for the council and were never intended to cover the change in constitution at the time referred to. The above mentioned have been going on for over 30 years, and none of them have been able to make total suggestions on the revision of the system that will be carried out and taken into account by law. It was quite near during the last term of a committee appointed by the then welfare minister and under the prehumanity of Gunnarsson's Árni. It concluded its terms on a review of the aspects of social security that make it possible for the elderly and the pensions and the attempts to simplify that system and, in itself, were subject to ideas of further simplicity on other factors and, in fact, all aspects of the social security end up, as they were heading toward them. Sadly, these suggestions did not get past the end of the season, but they could not pass through the council in time to comply with the law. Then there was a new administrative body, and a global review of this complex system of ours was still under the direction of the Committee under the Head of Árni House of Gunnarsson, and another committee before it and another committee before it. I want to use this opportunity to sharpen all the people involved at work now to let nothing happen once in completing the suggestions for achieving a simple system and more efficiency. It's been a long time, and thousands of people are involved in the complexity and inexhaustibleness of the system after beating along and taking some minor changes or events over the years without ever having the overall picture. Unfortunately, the system has become so big and complex that there is hardly any man who fully knows it. There have been some stories, however, that there is one employee in a insurance institution that they do, but he does not know the full scope of all the problems that have become available on the system, and that alone makes it difficult for people to attend their rights, if the system is so complicated that they are not in a position to know their rights and neither to get enough information about the rights. It is very important to ensure that the equality of the citizens is being avoided by such changes so that people can properly study their own rights that they are not so complex and unscrupulous that it is difficult to recognize them. Of course, it is possible for some to receive and others not, and that is discrimination. At this job now we have agents, including From each council at the Council, who work together on committees for a reason. A member of the Eygló Harðardóttir, together with representatives from the labour market, various trade unions, the Microcollar Union, the National Association of older citizens and other sources. It's a big, big group, but I think there's a reason to put up with the hopes that it will succeed in achieving a fairly complete review of this system. I think it's true that there is good reason to take up a discussion of the day's coins that are listed in that context and to see if that whole proposal would come to the problem they have been and the small amount of money in it. This is then linked to a number of things, as well as trying to make the system more efficient and to reduce the organized poverty in which it involves a lot of income transfers of various types and income limits and what it is that humans have developed through the time to complicate the system, not without cause, but because of the lack of funds into the system, and because of this, humans have had to make a wide variety of additional rules to direct the money to those who have, at any time, needed the most. Surely, it is long ago time for a little winding down and a simple system. Mainly, the system must ensure that people make a decent living. I'll take it to a smaller level, but I think there's a 3.5% improvement in budgets for the current year and that's up to less than 200 yous. By K., so we can be talking about 6hs. K. increase for taxes, over 3 yous. K. increase in monthly income from tax to tax. Now, as the decision seems to be in progress in the general labour market, and then it is likely to follow in the public labour market, that there will be substantial increases in the lowest paid groups beyond this, a great deal of joy and time to be settled, so it is extremely important not to repeat what happened here in the 1990s that pensioners, desperates, and those who have to rely on a health-day insurance agency and other means of living, unemployment insurance, and so forth, will not be left with the ever - increasing price change, a few thousand years. increase, as all others on the country's lowest salary increase considerably more money. It is clear from the national budget under consideration at the council that this has in no way been expected in that program. There are no budgets, neither for the increase in the daily budget in the health and accidents insurance, nor for the increase in disability in pensions, pensions, unemployment improvements, nor for other factors in line with the pay raise we probably see in general labour market. I think our greatest project in the private affairs of the people of the country must be guaranteed by these collective agreements that the larger groups of people who have to rely on the social insurance, government insurance, on the pension system there, on unemployment benefits, and other such items for their implementation, get comparable compensation to other groups in the country. Of course, this does not change the fact that even if we succeed, we especially need to handle the daily allowances considered here, since they are not in any relation to the lowest wage or compensation. I believe that there is good reason to be careful and to make sure that the practical tips of the Labour Board revealed the necessary changes to the law. One thing is, of course, to get a description of things that would be needed to be changed into a work programme, which is not being handled by the Commission because they are not making changes in the law. However, it must be observed, and the Council must carry out its role in providing the whole range of proposals for the revision of the Law issued and for which the work programme points out, since it is those who are aware of what needs to be done to reduce accidents and reduce job related diseases. To reduce accidents and disease in human work is the key to the matter, for although progress is extremely important and a decent life, only health, life, and limb consume money. Like I said in my exchange of words to what? The head of a former welfare committee is my conviction that we can in this area, despite the great and good work that the work there has done, and especially if we heed and follow the indications and advice given in the workforce, have become even more effective than we have been doing, and in fact, much better results. I think that there is really little limit to how much accidents and diseases can be reduced in any area. I think that's what people have done, and we have the examples in many places to learn from. I mentioned earlier that in 2008, there was the first year when there was no death at sea, and the result of the wanton and tireless activity of people is that of marine accidents for years, including many. with the schoolship Seabjörg and courses for sailors and much better equipment and so on. Men would have thought it quite amazing not long ago that that year, in Iceland, no one would move to sea. Of course, the same can be done on land. I remind myself of the concerns Paul O'Neill, former U.S. secretary of finance, laid down in his work for Alcoa, for their factories high in 100 countries in a highly organized and hard fight against international work accidents, which were serious and damaging to tens of countries, and achieved remarkable results. I think that's why we're supposed to follow the work board's proposal to make changes in the law.
ParlaMint-IS_2015-05-27-113.u102	Mr. President. Hv. A senator entered it, if I understood it correctly, that the system we have is incredibly large pieces. This has been changed over the years, and few will understand if any overall. He correctly stated that this meant that the rights of those who are to receive improvements from the system are not guaranteed. Hv. paritaprevir Pétur Blöndal, and his committee, like a oar. A senator mentioned, bringing these pieces into a universal arrangement. I'd like to ask the senator what he thinks, if he knows something about the work of that group, and how he seems to be doing, and how far it is going and how far it is going to take these pieces into a whole system. This is important because the overall pressure on the safety network and on the welfare system will increase dramatically in the coming decades. That's two big reasons. One is that the nation's average age is rising. The other is that computers and paddles are taking over jobs. We are already in the position of growth without any new work to a far greater extent than we have known. This trend will be much faster and much addressed, so that such a whole system, which handles and makes all this improvement system and welfare system and the security network more efficient, is something that will become a major pressure to create. I'd like to ask the senator if he'd like to see the Peter Blandals committee moving it in the right direction from the buttocks in a more complete system and how he himself would like to see this system evolve.
ParlaMint-IS_2015-05-27-113.u103	A respectable president. That's right. A candidate for a growing project in modern societies is economic growth without employment, and many evidence suggests that self - efficiency will increasingly eliminate various traditional functions we know. There is also an increase in life expectancy, and all of this will increase the pressures on the welfare system. It is true that a committee under the leadership of Pétur Blöndalur has discussed this matter, but in his permission, it is now a work that has been led by Seystein, Sæmundsson. I'm pretty optimistic about it being able to do good things. The problem is that humans have not got the system out of an evil mind but because they had limited resources and therefore tried to set some rules to direct them to the most important groups needed at any given time, e.g. those with no income or no income from a pension fund. In one way or another, special arrangements were made to direct money to the right places. To simplify such a system, money has to be more involved in the simple system than it was in that complex one. If there is success in such a system, it is inevitable. I think that as these projects are increasing in the developed nations, what is more successful is that the wealth of the nations grows and as a result their potential for coping with these new challenges.
ParlaMint-IS_2015-05-27-113.u104	Mr. President. I don't think I've ever had a better answer to a question here on the platform. The Senator is incredibly expressive. He's talking about automation, that's exactly the word I always need in this discussion when I'm talking about these things. He answered the questions I wanted to bring. That's a pleasant surprise for me. This is exactly this: Valuables are limited; money means that people must somehow set priorities for them - that is just what they are - with the increase in the wealth of the nations. I'd like to ask the senator, he's such a lot of cops. I've been looking at it the other day and I've had a lot of money on a man in Iceland. If I do the right number, in the last 20 years, he could have been twice as big. Does the senator have a feeling about this? This will continue, and it is exactly this self - efficiency with computers and robotics that are being discussed today. I read a Oxford 2013 report on this subject, which says that over the next 20 years there is a good chance that 50% of the jobs will be taken from these companies and new jobs will not be available to the same extent that the pressure will be excessive. There is such an overwhelming call that people can find more efficient ways, but the value is just higher to go in more efficient ways. I'd like to hear more of the senator's mind on these matters, he's very clear in this regard. What does he foresee, as it is now, when there is a strong plea for irreprehensible progress? The Economist says that we are not quite there to be able to afford it, but it is time for them to do our jobs and computers, or half of them, in the next 20 years, to become valuable to make this possible. What does the senator say about this? Is there any value today so that, at least, accident insurance would depend on everyone's loyalty, so we don't have to go through all these complicated rules? [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2015-05-27-113.u105	A respectable president. I'm glad I managed to answer what was directed to me. I want to say about the second questions that I think we may well be at the point where some development is in order to find that what has been called a civilian wage or some measure of activity in such cases may be realistic or at least worth the discussion. I think the primary challenge over the next few decades will be the result of growth, the growth of production, of automatic growth. Where do all the valuables created without the need for working hand? If they go to society, the community will make a lot more valuable after 10 years and even more valuable after 20 years than it does today and divide the valuables and then try to share the work that is available. But if any international corporation or 1% of mankind, the highest in the world, reaches out to them the results of automatic development, the valuables that will develop there, the economy that will be without employment, we will face tremendous social problems in a few decades's time.
ParlaMint-IS_2015-05-27-113.u106	Mr. President. Most of the things I wanted to discuss in this talk have made me very clear. paritaprevir Helgi Hjörvar. I'd still like to get together and go a little deeper into those things. We're talking accident insurance. You go through the bill and there's hooks and creases there, exceptions, etc. As the senator mentioned earlier, when it comes to the welfare system, priorities must be set, to the improvement system, to the security network, and that is what has been done. That's why this system is complicated, and to a large extent, it's a piece of butt. Like what? A senator named them few, if any, fully understand. Like what? A senator named it natural when people don't understand the system, that people's rights go courtyards; people feel that the system is arbitrary and that it's a fraud. It's not good to build a community, so people feel that the system is always betraying themselves. One of the things I've noticed in this job is that people are extremely unhappy with an insurance agency, for example, always feel that they are cheating. Last year, along with members of all groups, I asked for a report on the path of disability within the government if they felt violated. The report arrived, and the organization of invalids, a number of my contacts, were not satisfied with the summary. There seems to be no one who has a general view of these matters, just as the Minister's report on the petition was to be submitted. Why is this so important? When we have this kind of twitting system, which no one knows properly what's due, it's not just rights that go in the courtyards, it's the superfluous sums that go in the courtyards. There's excessive incorruption, bilocation and charges, etc. so that the system becomes overly expensive. It's gonna be a vicious circle. They get started in butts because they don't have enough money to do anything but because of the buttocks, the system becomes a complicated system that is always more costly and costly; it is a fixed cycle that can in reality be explained by the saying, "It's expensive to be poor, and it's expensive. There is, like us, me and what. paritaprevir In our conversation just before, on the contrary, the Hjörvar of the Hjörrvar committees is getting bigger and more valuable, and it's a question of how it ends. The increased treasure creation will include the fact that we no longer have to be so poor and that we no longer have to be in these pieces and that we can go on a more complete system. For example, a 2013 Oxford report on automation - I think it's called Automation of Job; it was adopted twice as a project in The Economist - over how computers and paddles will take over up to 50% of their jobs, as we know them, over the next 50 years while new jobs are getting started. Today, this is going to increase, which will mean that if people's jobs are not strengthened by computers and composing, they will be out of work or they will have to accept less money because they are always competing with computers or cooling outs that could take the job. This depends on certain factors, as explained in the report, the cost of money and cost of the labor; and the labor must always reduce the demands until the end of work is lost and for unemployment. You can imagine in 20 years, even though it was 25 years, the pressure because half of the workers had unemployment bills; and it will take longer than it is now for those people to get back into the labour market. The pressure generated by this means an appeal and a demand for greater efficiency in controlling the system. Then we'll have to get richer, so we'll no longer be in this same poverty trap as a system, we don't have to be in pieces anymore. We can go to the complete solution and one of the solutions mentioned by The Economist is a conditional framework, i.e. ... that everybody'semployeredwith a certain amount of citizen's salary. This is an idea that people on both the left and the right side are beginning to think seriously. The Economist will take this before and have many paragraphs on this, that this will be one of the solutions that will be considered. This has been checked in Switzerland. This is one of the factors that the dissident movement in Spain - now political movement - was winning a great victory - had its own policy, so this requirement has come to be. The more valuable things come into existence, the more self - activity it becomes possible. It will be possible to have a system that allows everyone to get just a basic wage. Like I said before, right and left men like this. Left men like this, it's communism's wet dream that everyone gets a basic move and a basic service. Right men like this because this means that we no longer need all of this ◯brokraice, we don't need all these exceptions anymore, we don't need these overexcited complications that we've come here to have to accept because we've been poor. This is what we can face. As for the accident insurance we're discussing right now, so I'll introduce them into it in big context, it's complicated and with exceptions, etc. But what I would like to know is if we don't have today - even if we can't afford to pay the basics today, we could do it in 20 years. The Economist says it's still too expensive. I recently saw an article, I think it was before the weekend, on Friday last, where they took it together and said, "No, we can't afford it right away. But it's gonna happen, maybe after 10 years, maybe 15. The requirement is also great, when the pressures on the welfare system, on the safety network, that what becomes above, we start to see it in the other countries and in these countries. But instead of having these complicated rules around all these accident insurance, do we not today have the means to afford it? I'm bringing in the health system. We pay a lot of taxes in the country, so why do people need to worry financially if they get sick? It shouldn't be like that, we can afford not to have it that way. But then there's a question about the accident insurance, if we can afford it if everyone gets hurt. I've been taking the home insurance and insurance package all through for the first time - I've been life insurance for the children for a long time, but I took other guarantees through Christmas. I was looking at it together with the Board of Health, how much it costs if you have to worry financially and what you really can guarantee about health in Iceland. This is not too much money if it was taken through everyone's taxes, and it would be integrated, and it would be a whole thing. I think the Icelandic community can afford it today, that everyone is just an accident, doesn't have to worry financially about the health, the physical condition of their bodies, that there is no guarantee, the insurance companies can handle what they do today. This is something I'm going to look at and continue to ask the senators that in this matter, but the future can be pretty good in this regard. We're getting richer as a nation. But it matters, and it's one of the things we notice - everyone talking about the death of the right/left, and it's certainly in a certain low right now - that what happens with self - activity in all of these, when the jobs go away, is that more people will be unemployed and less pay; the pay goes up to those who can take advantage of this self - activity, all the development of self - control. This is all reflected in The Economist, the summary of this, and the ◯return of capital, what investors get back, goes up because of this, you buy this high-tech automation for this, so that there's going to be a change in the way they did in the industrial revolution. The difference will increase and the right/left will come back in. It may be 10 years before we begin to feel it. At the same time, we are, I think, much better now to deal with this. We're much more informed. We're much better connected. We're a lot of political aquaculture. We have much more demands on being involved. We have much better access to information about who is in control and who is mistaking our money, so I am optimistic.
ParlaMint-IS_2015-05-27-113.u107	V.E.G. President. I'd like to start by saying thank you. A senator for the speech. He came there on many points that I found very interesting. I'm not necessarily sure that I agree everywhere. A senator, yet still, thought that this important thing is worth discussing and in longer time than is available in those answers, which can be started at least here. You see, I think I and what. A senator will agree that we want to improve the interests of those who have fallen asleep, this is only a matter of implementation. That's why I'd like to ask the senator about his irreprehensible basic progress or the civilian salary, which I know he's studied well. What's happening in me is whether it's a reasonable distribution of money, because it's going to go up the entire business. Many people will receive money because they do not really need it because they earn money. Then my question is, Isn't it more reasonable to spend all the money on those who can't finance their own progress and they have more to trade? I'd like to hear what a senator's thought of it.
ParlaMint-IS_2015-05-27-113.u108	Mr. President. This is the only criticism that has been observed in this regard, but if everyone gets it, they can also take more of the top, which gets even. If a person receives a high salary, he will pay more into the common pendulum, which will then bring it in. That means it's the same money there. The above items are taken on other grounds, e.g. of capital, land, resources and the other, of companies, etc., so that money returns. What we gain is that all the waste in the inefficiency, this inseparably irregularity, which has just been necessary to do so, as the senator says, is to install all kinds of systems and systems to ensure that money is returning to the most needed, but there are all kinds of side effects of that system. It's very uninstallable, it's opaque, and it also means that there are many conditions that those who need to use their safety net need to meet. We have noted that, for example, the way their privacy is handled is totally insane. There are many rights to be sacrificed. We don't have to worry about that anymore with the civilian salary.
ParlaMint-IS_2015-05-27-113.u109	V.E.G. President. I'd like to start by saying thank you. A senator for the answer. Okay, so somehow we need to finance the system. I'd like to see if I understand why. One of the ways to put some kind of high-pay tax on the top scale is to get the money into the system. I ask because I want to understand how the system is financed. Then there's something else. A senator entered his talk, which turns toward self - activity. I think it's true that there are a lot of things that can make us feel better about life but I also wonder if there's some balance that needs to be achieved there, whether it's actually socially good to be working on machines too much because, while they can do some particular job, the jobs that machines take over and on the other hand, the jobs that the machines take over and human relations, where individuals are dealing with other people, and hence on some sort of involvement, and perhaps especially if we view disabled people in the context of this discussion, which in part of which may be at risk the possibility of social isolation, we don't have to be on guard there, although technology may not be too much of life.
ParlaMint-IS_2015-05-27-113.u110	Mr. President. Exactly how the tax system is, I don't know. I don't know enough of any possible taxes. One tax I've studied something and I'm a little impressed with is tax on land, it's hard to cheat on, it's efficient and transparent, and it's not causing economic damage, but it's something that people will have to take overall against this trend. For not going too far, naturally, no one is going too far, only a question about what you think is too much. In some cases it is good to go too far and burn yourself, etc. but maybe not in this case. As for social isolation, I think this technology will enable disabled people to be much more efficient. I think it's just 20 to 25 years for people to come up with a family plot that's going around. Today, hands can be bought in 4 billion. K. who are already in the kitchen and are cooking for you. You can buy today. Though this is still certain, the senses, the senses of the robot, have become much more powerful. So they are moving much more into a human environment without our being afraid of them. After 20How 25 years, such composing will be in most homes, as if most of us are going to have a three - dimensional printer in five years. That is something you can imagine. It can also be imagined when the robot technology has become powerful and is an external skeleton, running all over comfy ground. It may be 10 years before it's a little more sustainable. So I think technology will help people move better, what they can't do today. I don't think I've been able to answer everything, but it's a very beautiful prospect.
ParlaMint-IS_2015-05-27-113.u111	V.E.G. President. I thank the senator for his speech. It is a joy to see that accident insurance can become such a source of inspiration that we witnessed here. I wanted to say first - because of it. A senator spoke a lot about buttocks and complex systems, and I'm not going to reduce the fact that the social security system has been maintained over the years - that these are so important systems and they are very effective. They would need more money, but having these systems is very valuable. In terms of civilian pay, I find that very interesting. I have many warnings about this, but it was a real disappointment that a political arrangement proposed by Halldóra Mogensen, the Pier of Pirata, has not been established yet. I had been looking forward to getting her on the welfare committee because I think it's a very interesting discussion. We'll see in the discussion, where certain elements in the community are willing to pay financial support to all the poorest people who go to the countryside, that this is the ◯tendens, in the whole of the West World. Since there are changes in the economy, the problem is placed on the individual that he just needs to do more and be more active and we'll work it out. As in Sweden, it has been shown that about 100 of you. low - paying jobs have been lost in the past ten years, and the people who would have won them are in constant efficiency and degradation. During the civil pay, these people would be doing something upbuilding and enjoyable. I wanted to ask the senator: " Does he think it's a realistic possibility to try some sort of induction, to start experimenting with some kind of experiment?
ParlaMint-IS_2015-05-27-113.u112	Mr. President. The induction - this has been tested in many places. In the council arrangement. Consider the case of Pirata's deputy Halldóra Mogensen, and the results have been very good. They have been saying that professional activities have increased. That's exactly what I've heard recently - I've talked about this several times in the platform, I need to find that study - that if the welfare system is strong, it's going up to the job. That's exactly what you've always heard. I need to go find this investigation, if the Senator knows what the investigation is, I'd be very happy to hear it. It's going to be invented to a greater degree. This is one of the policies of the resistance movement that just won the election in two cities in Spain. It was a call in Switzerland for this to be paid nationally. The power is all this way. When unemployment begins to grow so immensely, press so overwhelmingly - it's not just a question of whether it will happen, it's just a question of when it will happen, i.e. when these self-activity takes place. It's just a matter of time. It's just a matter of how expensive and how small a salary is. It's a question about the bottlenecks, such as the number of programs that enable automatic development, and other such technical factors. This is gonna happen, 20 years maybe, 25 years maybe, I don't know exactly, this is gonna happen. The pressure will become so intense on the welfare system that various solutions will be examined. Is civil pay the right to respond? I don't know, but it's Porta's synopsis proposal, okay? paritaprevir Halldóra Mogensen is called for an investigation. I think we're going to figure out how much this will cost. Then we will also see a time frame into the future, when we will be able to afford it.
ParlaMint-IS_2015-05-27-113.u113	V.E.G. President. Yes, I encourage the senator and will be with him in making sure that this matter will be brought back and established because I find this very exciting discussion. I'm not saying that I'm directly into this, but I'm against the ideologies. As for this investigation, I saw just what I saw, and the wonderful field of information for the Generals wasn't long to spell it out. This was a major assessment, European, many European countries - I don't remember whether it was 18,000 people or what, but it showed that the much more powerful welfare systems in the state, the more people want to work. It was asked: Would you want to work if you didn't have to, even if that wasn't an economic necessity for you? It's very interesting that there's a direct link to this. As people feel secure, social responsibility may increase because you know how valuable it is to have a strong and good society. Changes to the structure of the economy and production and all of this will require a high degree of social change. And we've already witnessed the disparagement of a property that is becoming, so it's almost intolerable. Rather than being able to make money from the resources, we may be able to fund it to a small number of individuals, as Canada does in some way. This, of course, is what should come. This is what the Icelandic public calls for, including the requirement to change the constitution and resource directive. Even if it's a little far apart, it smells like the idea of civilian pay.
ParlaMint-IS_2015-05-27-113.u114	Mr. President. It's really stolen from me what I was going to say. Yeah. The good point about--no, now it's stolen from me again. I've got too much in my head.
ParlaMint-IS_2015-05-27-113.u115	Yeah.
ParlaMint-IS_2015-05-27-113.u116	[[It's all about, like, "exciting."]] This is so exciting.
ParlaMint-IS_2015-05-27-113.u117	The accident insurance?
ParlaMint-IS_2015-05-27-113.u118	The accident insurance - no, but in the larger context, it is important to discuss all these factors in the larger context. We often have that to fall into some of the things we're floundering on and lose the overall context. We also have this part of our council, falling into our own world here. We're in here at a council and we can't see what's going on outside. This is a management problem Peter Drucker brings up on the subject in advance, i.e. not being able to see what's going on. And as he mentions, in all organizational works, results are measured only outside the organizational integrity, results are not from within, that is just efficiency, results are out of place. The organization is always serving its environment. Just as the Council is supposed to be doing. No, it's totally stolen from me what I was going to say to the senator, but I'm just gonna make it work.
