ParlaMint-HR_2016-11-30-0.u17819	Here's my colleague Branimir Bunjac.
ParlaMint-HR_2016-11-30-0.u20314	Thank you, Mr. Minister. We have a replica of your exposure. Honorable representative of Peja Grbin.
ParlaMint-HR_2016-11-30-0.u20315	Thank you, Madam Vice President, Your Honor. I'm going to ask you for an explanation. So, I listened carefully to your debate. At one point, you said that the self-determining tax fraud sector needed professionalization. I hope with that statement you ran a little bit, so please explain whether this means that the sector in question is now not working professionally or otherwise. Thank you.
ParlaMint-HR_2016-11-30-0.u20316	Thank you, Mr. Representative. Minister Maric's reply.
ParlaMint-HR_2016-11-30-0.u20317	Thank you, well-respected representative, for your comment, that is, if I have said something wrong, my apologies, but I certainly did not intend to run into you. I therefore said complete depoliticalisation and further professionalisation in terms of the work of this service, i.e. the sector exactly as proposed. Therefore, it will be a direct establishment unit within the IRS whose head person will also be assistant director of the IRS. All people working in this sector today, or services, of course, continue their work. We can, of course, talk about further teaming and staff reinforcements. I also mentioned that the provision in the bill itself is prescribed and defined that each employee, as are the existing ones, must pass the mandatory security check, the category as already provided for. So, the simple idea, that is, of this bill itself and what will follow in terms of the Internal Design Regulation of the Ministry of Finance is, in fact, just a confirmation of our own thesis from the very beginning, so there has never been any talk of any termination but of the fact, strengthening that service, but of course other services of the Ministry of Finance. I will re-separate that as much as she has initiated for us both in the parliamentary debate and in general in the general public, the topic that we are talking about now and the two of us are discussing within the replicas, I cannot miss again the opportunity to say that this structure must also be very well connected horizontally, so with all the other bodies and structural units of the Ministry of Finance, and, of course, vertically with the other structural units of the other law enforcement bodies. And some recent cases, and here I repeat once again, and this one today is a confirmation of that. My role is also my job as Minister of Finance and all those who are responsible for this, and finally the Government that proposed this law to the Croatian Parliament to ensure conditions, infrastructure and all that is needed to ensure that this body of the building unit does its job effectively and well. Thank you very much.
ParlaMint-HR_2016-11-30-0.u20318	Thank you, Mr. Minister, for your reply. We're moving on to debates on behalf of clubs. The first club is the Club of Representatives Let's change Croatia and SNAGA distinguished representative Ivan Lovrinović. Since he's not here, he's losing his right to debate. The second club to come forward for discussion is the club MOST of Independent Lists Mr. Maro Kristic.
ParlaMint-HR_2016-11-30-0.u20319	I thank the esteemed vice president. Ministers with co-workers, colleagues and fellow MPs. Here I am, on behalf of the Most Independent Lists, going to give our attention to this second package of nine tax laws. First of all, I would like to commend this debate in the second reading that we have shared in several packages because in this way MPs can be much more focused on the subject and put forward their proposals in a much better way. To start with the additions to the Tax Administration Act, we welcome and consider it a good solution to differentiate the new independent sector for financial investigations in relation to the regular affairs of the Tax Administration. Namely, it is the current Independent Sector for the detection of tax fraud, the Colloquial Named Tax SCIK, which will be transferred to the Tax Administration in the new establishment. The provisions which are now complemented by the law allow for the continuation of the work of this sector in the same way as self-employed in the work, all the necessary powers and conditions and the implementation of the security of first-degree verification for sector officials, as already implemented for existing officials, thus guaranteeing that the new officials will also be subject to the same criterion. So we think that this is an excellent provision and that every new official must be as qualified as any who are already there. So this addition of the law on the trail is what we've been pointing out all along to keep the IRSO independent in the work and to carry on uninterruptedly with its activities either as a body self-discovering fraud, either as a body carrying out a financial investigation in cooperation with law enforcement authorities. And here's their success today, let's call it that, is an indication that we have to be on the trail of this law in this way that we've made it possible for them to remain independent and do their job because it's the only possible right way. And in this respect, I thank you for accepting and commenting on one open dialogue that has led to one such solution. We also stress that, in the constitutional acts of the future regulations, the internal structure and the Internal Order Regulation on the basis of the new law, provisions guaranteeing the continuity of work and of course of this sector need to be laid down. Furthermore, I stress the importance of the tax administration's partnership with all honest, let's call honest taxpayers. Many taxpayers complain that there is no two-way communication and waiting for a written reply in five, six months, and sometimes the answer doesn't arrive. They are then left to themselves in making decisions in certain doubt situations, especially in dealing with other entrepreneurs from the EU, which can cost them in cases of errors. We stress the importance of developing better communication with taxpayers to make greater use of modern information technologies and the development of systems that will allow taxpayers to get non-binding opinions within the shortest period of time that counts in days, not months, in order to actually do what is right. Instructions related to the most frequent tax offences and education in this respect would also make it very easier for entrepreneurs, mostly small ones who do not have the means to finance such education themselves. Also in the implementation of the Law on Financialisation in Cash, formal errors made by entrepreneurs should be sanctioned by a warning, and only by such essentials as intentional non-accounting should be punished by high criminal penalties and other appropriate measures. We therefore propose to regulate these issues with the relevant rules and internal acts of the Tax Administration. We would also like to thank you this way and for accepting, in the framework of the Law on Administrative Taxes, the suspension of the tax, i.e. it will be lifted by a corresponding regulation that should have been paid by ship crew members on circular voyages who, due to high altitude and administrative fees of 140 kuna, have been solidarity and have not gone out on land in Croatia, but have done so in neighbouring destinations, such as Montenegro, such as Italy and, of course, have left their money there. Some calculations show that by abolishing such an obligation, around 100 million kuna per year will be injected into the Republic of Croatia's economy somewhere around 30 million kunas indirectly into the state budget through various taxes that will be paid to our economies. Here's our thanks in that sense. Thank you.
ParlaMint-HR_2016-11-30-0.u20320	Thank you very much, fellow Christian. I don't think we have any replicas. And on behalf of the SDP club, the esteemed representative of Peja Grbin.
ParlaMint-HR_2016-11-30-0.u20321	Dear Madam Vice President, esteemed colleagues and colleagues, Mr. Minister. During the morning, we discussed the first group of laws that make up this tax reform, specifically laws relating to value added and profit taxes, and of course those laws caused far greater public interest than this group that could be called some kind of technical implementing laws on the first ball. However, these laws are equally important for the implementation and functioning of this tax reform. Since we have already discussed them in the first reading, that numerous remarks have been made, we have also talked about them on committees, we will concentrate on certain errors of the illogicality that exist in these laws which, in our opinion, are not sufficiently or at all correct between the two readings, and they shed a lot of bad light on the feasibility of this tax reform, and in a particular segment and on the intention of the proposer himself. The first remark, and I touched it in the replica I gave to the Honorable Minister, concerns the question so-called. the tax USKOK or an independent sector for the detection of tax fraud which, even today, the minister has mentioned very nicely, and today it has proved that there is indeed a reason for the existence of such a service and for its independence. However, we at the SDP Representatives' Club believe that the place for the service is not part of the IRS. Why? Because, among other things, this service should also be controlled by the work of certain tax administration workers, which, of course, stems from the fact that certain tax fraud, let's be completely honest with themselves, can only happen with the cooperation of people from the tax administration. And it is not even in Croatian practice that it was the people of the tax administration who, by their work and action and how they damaged the tax system, made it possible to act against the law. Let us remember the Dubai affair and certain tax workers who, who were found to have huge funds that they could not achieve with their salaries. In this context, we believe that the solution that has existed so far, and that is the solution that this is about an independent sector within the Ministry of Finance, is directly subordinated to the Minister of Finance, a better solution than what you are proposing. With this, Minister, we must point out that we from the Club of Representatives of the SDP have confidence in you personally as Minister because we believe that you are the person who should be directly in charge of such a body. Now, in relation to the first reading, it is necessary to acknowledge this, there is some progress in the proposed legislative solution. In what you said in the opening statement and in what has been said in the past few days in public, progress is far greater than what is written in the law itself. Because all of what you've been saying, for example about the position of the chief of this service, etc., the head, excuse me, as deputy director of the tax administration, there's no word in that form in the law. However, the way that said service mentioned in the law is very inadequate. She only appears in one place. It shall be further discussed when we talk about the issue of a card identifying officials or, for example, security checks, but the structure of that service itself is not mentioned anywhere except where it is said that the transactions referred to in point 11 of Article 9(1). The tax administration law implements this very independent sector. How he'll be set up, etc. It has not been solved and therefore we point out that there is a certain problem with the way in which this service is defined in the law in question. I'm glad you further explained your statement on professionalization, although I don't think it's what that service needs any further professionalization. That service is already highly professionalized. It is about persons who have been through extremely, extremely useful vocational training and in cooperation with other our friendly and partner countries. What is needed is, above all, the preservation of their independence. However, we are now experiencing a serious problem in the law regarding the transitional and final provisions of Article 32 of the Law, which would resolve the status of taxpayers. Therefore, the way in which the status of existing tax administration employees will be maintained is resolved, however, not a single word mentions the status of employees of the Ministry of Finance who are not employees of the tax administration, which is, of course, precisely, the ones coming from the independent sector for the detection of tax fraud. And there is not a single word in this law on how their status and their transfer from the Ministry of Finance to the IRS will be resolved. And I believe that this question really casts a certain shadow on a legal solution or indicates that the legal solution in question is not fully thought out and we fear that it will in practice create certain problems. I'm gonna do it again, so I'm gonna do it again. Minister, if you have followed this debate, you will see that, however, at the SDP's Club of Representatives, we have a certain amount of trust in you, and this is not about anything else but about wanting one service which, by its work and how it justified its establishment, remains independent and continues to achieve excellent results as it has so far. Since this is a united debate, I will conclude with the Tax Administration Act, and I will try to refer to other laws, above all to the Customs Service Act, so the Law on Amendments and Supplements to the Customs Service Act. The minister, in the introduction, said it was a minor change, but unfortunately, I have to say, unfortunately, far from the truth. Dear gentlemen of power, therefore, gentlemen of the Most and HDZ. Since the first constitutional session since the first day of work of this Croatian Parliament, this ninth term of the Croatian Parliament, we have indicated that from the professionalization of the public administration that you declared in the pre-election campaign there will be nothing. The first evidence was, of course, the introduction of state secretaries who were not followed by the abolition but by the detention of ministerial assistants. After that, we saw what you did with the Employment Regulation in public enterprises where you abolished the tender for the management of companies of strategic interest owned by the Republic of Croatia. We had a story about the godfather, we had a story about a person who in no 20 days had made progress to the secretary of the ministry even though he did not meet the legal requirements for that job. And why do I mention all this in the context of this law? Well precisely because in this law you have abolished the provisions which prescribed the obligation to conduct a public tender for the posts of deputies, assistant directors of the customs office and head of the district offices. So, gentlemen, from the professionalization of the public administration there is nothing, however, you are introducing in this law that these persons will, therefore, repeat once again: Deputy Director, Assistant Director and Head of the District Office will be elected in a way that is proposed by the Director, and then appointed by the Minister. We've had a public competition so far. Now we have direct, political appointments that go up to the level of head of the customs administration's field office. I don't think this is the right way, and especially not in service like the customs service that has a certain negative past. I'll only mention one last name, Mr. Barisic's last name. And we know we have to deal with special attention here. The following problematic law, from which I will also single out only one provision, which shows that, when adopting or proposing this tax reform, you did not take public interest, is the General Tax Law and this provision of Article 108(8). So, it's a statute of limitations. First of all, I have to be completely open and say that the way it's obsolete as such is better in this general tax law than in so far. It's definitely a step up. Furthermore, the step is very positive that the provisions on limitation applicable in the General Tax Law are applied to the Law on Contributions, to the Law on Administrative Taxes, we are left with court fees, and after that, for all public duties of the statutes of limitations will be arranged more or less equally at the level of the Republic of Croatia, which is extremely positive. However, paragraph 8 of Article 108 of the Law is a little specific. Why? Because it predicts for the first time that the person who pays the tax debt will find himself in a situation where he can ask the state to pay back that money. So there's no confusion, with interest. So I'll do it again. This bill provides for the possibility for an individual to pay the tax debt that exists, and that after he realizes that this debt is obsolete, it may require that he return and not only return to him but the state pay him interest on the debt he was obliged to settle. Now, first of all, there has been no such solution so far, and I'm going to show you that there is something called the Law on Mandatory Relations in which we have the same age. And we also have a situation where the debtor pays the claim that's out of date. I'll read you exactly what article 221 reads. Mandatory relationship law. If the debtor fulfils an outdated obligation, he shall not have the right to claim back what he has given even if he did not know that the obligation is obsolete. What does that mean? It means that if I'm in some civil-law relationship with the state, for example, I bought from the state real estate, and I don't pay, and the state against me doesn't run the process and my obligation falls into obsolescence. I'll pay after that. That money stays with the state. But if I'm obliged to pay real estate taxes for that same property, so I'm late to pay, so I pay when I pay the amount of the purchase price for that property in obsolescence, I have the right to have that money returned to me by the state. I'm afraid this solution is not good. I'm not going to alludate that someone is comfortable with this. I think this is about a mistake. Now, how we're all in a dual role when we come to a political stage, so we're on one side of an individual and we take care of what we used to do. And I look at my colleague Bošnjakovic on purpose because he comes from the same profession. As a lawyer in the interests of my clients, of course, I will welcome this decision because it will make the debtors I worked for in a more favourable position. But as a state official, as someone who receives salary from the Republic of Croatia's budget, I cannot accept such a provision, and I ask you to amend it as well as the customs service officer, and in order to make it easier for you to do so for the customs service and for this matter of Article 108 and the statute of limitations, we have submitted the amendment, we hope that you will accept these amendments. What I'm going to end up with, and I don't have much time left, I wouldn't say this professionally, is primarily a political issue and it's about the fiscalization law. And I'm just going to ask you a simple question and ask you to answer it. Which is why you abolish the notion of a small fiscalisation obligor and therefore impose an obligation on small entrepreneurs to purchase expensive fiscal devices. So there's a reason why small bonds of fiscalization were introduced. From the explanations we received on the board and from the reasoning of the law, you say they simplify their position from the VAT base, the way books are kept, the threshold for entering the VAT system is raised and all that stands. But the fact is that small bonds of fiscalisation are the smallest, those entrepreneurs treated at European Union level as micro-entrepreneurs and I believe that imposing these obligations is not good. And I believe this is a big mistake that I think the government should correct. In short, given that all these laws represent one package of tax reform, none of them alone can be viewed separately from others, and in this respect, the SDP Representatives Club cannot support these laws and will not vote for them as well as for others concerning this tax reform. Thank you very much.
ParlaMint-HR_2016-11-30-0.u20322	Thank you, fellow coat of arms. We have several replicas on your exhibit. The first replica is the esteemed representative of Nikola Grmoy.
ParlaMint-HR_2016-11-30-0.u20323	Dear Vice President, here's a colleague of the Grbin, you have well noticed that from that original proposal that there have been some significant improvements means in the talks with Minister Maric we have assured that the taxpayer USKOK remains an independent body that will not drown in the tax administration. We have ensured that, we have fought for the sector to be specifically defined, that the descriptions of jobs are particularly highlighted, that officials have the necessary powers, that the conditions for working in the sector are a security check of the first step, and all of this was not in that previous version, meaning the first version. Everything else can be provided by additional regulations. And what's good, so now that we've secured some kind of independence of the taxpayer's BOOK within the tax administration, I think it's even going to be an advantage that the taxpayer's BOOK is inside the tax administration because it's going to have additional databases and it's going to make his job easier. All of this other stuff that isn't mentioned in the law itself can be further defined by regulations and I think this is one big breakthrough. And in the interview with employees, the ICCOK means they themselves are satisfied with this proposal and believe that their work and these excellent results that we have today will not be compromised in any way. When you mention the incarceration and the godmothers, I think you'd better keep your mouth shut, so no godfather of the MOST has damaged the state budget, cost a single kuna, means Croatian citizens, and your godmothers, let's just remember your Minister Jakovina who's hired a singer three times, his wife's godfather. When you mention Mr. Barisic, then you mention your head of the tax administration that damaged the state by nine and a half million kuna. This was attended by former Minister Vrdoljak, even your Europarliamentary Borzan. So, when you mention Mr. Barisic then mention your case. MOST's godmothers that you like to mention like this haven't damaged anyone. and have not damaged what is most important to Croatian citizens. [[Intruder Opačić: Time.]] Thank you.
ParlaMint-HR_2016-11-30-0.u20324	Time. Thank you very much. I'm asking you to take care of the weather. Injury of the Rules of Procedure Gordan Maras.
ParlaMint-HR_2016-11-30-0.u20325	Thank you, Madam Vice President. He defends his fellow bush in his own style indefensibly. So the article is 32. - 38. There are several of them so I won't mention them individually, but Mr. Grumoja defends indefensibly and mentioning people who are beyond the general context of the whole story, and prejudges that someone will pass in court. And what did he do? So, I'm no one's lawyer here, but I'd like to say we don't pull off people who are still in court like this. When the lady is convicted, then you can say this automatically. And so far, I don't think that's necessary. [[Intruder Opačić: colleague Maras.]] Godfather hasn't damaged He didn't hurt because he may not have had the chance to damage it. [[/Intruder Opačić: Please. It's not... the Rules of Procedure...]]
ParlaMint-HR_2016-11-30-0.u20326	Please, it's not a breach of the rules of procedure. I'd like to ask my colleague Pejo Grbin to have an answer to the replica.
ParlaMint-HR_2016-11-30-0.u20327	Thank you, Madam Vice President. Dear colleague of the Grmoi. You didn't listen very carefully to my exposure. No, because if you'd listened carefully to my exposure, then you'd have noticed that I didn't mention the MOST's best man's best man, but I mentioned the best man. And being recognized by you at the same time, it speaks more of you than of me. Now, as for those persons you mentioned, if any of them have broken the law, he will be sanctioned for it, and it really does not serve them or that political party they come from. But with those of us who have sinned against the law, we sort of deal with ourselves by doing what we can. We exclude them from the party and prevent them from having any further political action within the SDP. You didn't do it. Yes, of course. But the problem is, you haven't made any sense of what I'm really talking about. And I was talking about a very serious problem, that since this coalition came into force, which is not now in the 10th month, but in January of this year, there have been continuous procedures to deprofessionalise and remove a public competition from political and public life. So I'll do it again. Commercial companies owned by the Republic of Croatia, customs service. Let's just think of the Prime Minister, Mr. Petrov, who, contrary to the law, went into the employment of his co-worker. After that, you change the Statute of Croatian Waters to hire a person who has no conditions. You in the ministry hire a secretary who has no conditions. And you have the nerve to rise up and preach to anyone. No, please, Mr. Grmoya.
ParlaMint-HR_2016-11-30-0.u20328	Thank you very much. We're done with the replicas. The next club is the HDZ Club, the distinguished representative of Grozdana Perić.
ParlaMint-HR_2016-11-30-0.u20329	Thank you very much, Madam Vice President. Dear colleagues and colleagues. Here at the end of this working day is one and a new positive that we can also commend both the minister and the entire team and the entire government. Croatia's economy has been announced on the government's pages in the 3rd quarter of 2.9% since last year, which is the fastest growth in the last eight years. Here is the freshness published by the State Statistics Office, which still gives hope that all the changes that seem to be made, and according to this and all those that are now in the process will bring and how the expected growth of the economy continues. In fact, by discussing and preparing for these nine laws, what's unique to say for everything, we're actually hoping that with these changes we'll improve and simplify the whole of the legislation, this administratively. That we will regulate many relationships that will provide for some tax-law predictions and that we will manage to reduce the overall burden, tax burden, and also certain taxes that are otherwise regulated in this way. In the Excise Taxation Act, it is already mentioned, it is pleased that however small OPGs, cooperatives and farmers will have a lower rate of excise duty on those products, i.e. brandy and products which, as small distilleries, have very high rates. In this case, it will be only 50% of that standard rate and will actually facilitate their business and contribute to the overall economy. Also, this administrative simplification includes this that annual excise accounting patterns will actually be abolished, and when we translate that it is still 41 thousand such producers, then it is certainly important to simplify the entire system. As well as the fact that, instead of small winemakers, the customs administration will actually carry out these formalities when wine is sent to other EU Member States. In fact, there is a change in excise taxation compared to heated tobacco products, our liquids, and some of these tobacco products. For motor vehicles, we hope this is actually going to be a modernization of the taxation system, and everything in line with the provisions we have in relation to CO2 emissions. What may not have been mentioned is that motor vehicles produced more than 30 years ago have been given the status of an old timer and are not subject to taxation. That's what those who do it will look forward to. And what's still a change is that motor vehicles with nine seats have a 75 percent reduction, while the one with eight by 50 percent. The minister mentioned the same thing in relation to the first reading that increased percentage amounts to pay at the cost of motor vehicle excise duties that are over 300 thousand or 300 thousand and one lip, and these are the range of 9-30 percent, so all the more valuable cars that are taxed additionally are significant shifts, these are luxury cars that thus contribute to the budget. The Customs Service Act shows that certain details are, in fact, just a clearer position of the management structures of customs, while retaining the appointment of directors through a public tender. The Tax Administration Act also provides for the rights and responsibilities of tax administration officials where they actually become, in the context of systems and regulations on civil servants, if some other law is not otherwise prescribed. The collective contract for civil servants and tenants and according to the rules on civil servants is also implemented for these tenants. It also amended the name and function of the internal audit where it was separated from the internal control function, which is very important under the Law on the Internal Control System in the public sector. Here we see in the fiscalization law itself that here is also criticism on account of it, and the obligation is prescribed by means of the device and for taxpayers who are actually in the system, or who pay the flat tax where we can be for and against such provisions, but here is the newspaper. In the general tax code, the intervention here is indeed that until now it has not been known to the Institute to write down a small tax debt. That's now the nine-pound write-off for that kind of debt. Automatism has been gone so far. We also want to make it easier in this small-value intervention because the units of local and regional self-government, especially local ones, are conducting procedures based on the General Tax Code. And really in this way, when they are up to 5 thousand kuna, then this implementation is much simpler and easier to implement because they are actually being assigned directly to the FIN, although in the implementation of the performance, the local unit was really a lot of difficulty, and here it is trying to make it easier and actually clear as many balance sheets as possible, which are pretty crowded with claims. It is also very good that this threshold of value prescribed from 200 to 500 thousand for publication in the daily press actually enables not to generate additional costs for those debtors where it is not necessary, but in fact, this way is accelerated and facilitated. Likewise, when we talk about administrative cooperation in the field of tax, there have been no specific changes. While the Law on Administrative Taxes is really good that Article 12 of the Law of all public administrations is actually governed in the way that it is arranged for the General Tax Procedure. And it is very good to respect this observation by the Ministry of Science and Education to free the payment of administrative fees by an unemployed person who appears in a tender for the issuing of certificates or diplomas as evidence of professional preparation and education. It is, however, important to those who are unemployed and in this status, every kuna is significant and this is how it is made easier. In the Tax Advisory Act, there were a lot of interventions from their chambers and the like. Here is article 6 of the Law which actually added that as a tax advisor he can also be an expert specialist with a degree recognised in the Republic of Croatia. Therefore, it is also accepted that in the Tax Advisory Act, it is in fact possible for Article 16 to extend the adjustment period to companies referred to in this Article from 6 months per year in which these companies are obliged to coordinate their business and meet the conditions laid down in this law. In this way, here and that request is fulfilled. We hope that exactly all of these interventions, as well as proposals that have been in the package with everything else so far, will really contribute to what I said at the beginning that the economy has grown, or that GDP has increased by 2.9%, which I hope then will actually continue to act positively in this year.
ParlaMint-HR_2016-11-30-0.u20330	Thank you very much. We have two replicas on your exhibit. The first replica of the distinguished representative Ljubica Lukačić.
ParlaMint-HR_2016-11-30-0.u20331	Thank you very much, Madam Vice President. Dear counterpart Peric, you said that this tax reform will make everything more positive, so that some shifts can be seen. I'll briefly look back on one of these regulations that we're discussing at this point, which is the Law on Special Tax on Motor Vehicles. I want to say that when this tax reform comes into force, it will also be necessary to amend some sublaws. This law has previously established that this special tax is not paid on vehicles specially adapted for persons with disabilities or for the transport of persons with disabilities. However, the regulation limited, so people with disabilities had to pay that tax, and associations or some institutions that imported a custom vehicle did not have to pay that tax. I would also like to express my satisfaction and special gratitude to both Mr. Minister and his associates for understanding the problem in which we found ourselves and agreed that we would solve this problem so that people with disabilities whose car was orthopedically aided would be free of that tax. Thank you.
ParlaMint-HR_2016-11-30-0.u20332	Thank you very much. Would you like a reply to the replica?
ParlaMint-HR_2016-11-30-0.u20333	... So, I hope by regulation or regulation, I don't know what can be arranged, but in any case it's positive and hopefully it'll be appreciated. Thank you.
ParlaMint-HR_2016-11-30-0.u20334	Thank you. We have another replica of your exposure. Representative Bernarda Topolko.
ParlaMint-HR_2016-11-30-0.u20335	Thank you. My colleague Peric, you have noted that in the amendments and additions to the Law on Special Tax on Motor Vehicles, it is abolished on vehicles over 30 years of age. But it's only partially true. It shall be withdrawn by virtue of Article 2, the old timer of the vehicle shall be withdrawn. However, Article 8 states that all motor vehicles manufactured 30 and more years ago which are not classified according to specific regulations in the category of older vehicles are to be accounted for. A special tax is paid in a flat-rate amount of 2 thousand kuna, which I believe is quite high because we all know that if the legislator already allows us to buy and sell or trade such vehicles, such a vehicle can cost 2,000 or 3,000 kuna. And then pay another tax on that 2,000 kuna is very much. More generally, such a vehicle uses the lowest layer of the population. Thank you.
ParlaMint-HR_2016-11-30-0.u20336	Thank you very much. Replication response.
ParlaMint-HR_2016-11-30-0.u20337	Then define actually clearly then the notion of the oldtimer himself, is it, so-called? If it's going to be fixed for years then I think that's how he should be unequivocal and defined because that's what the proposal said, right?
ParlaMint-HR_2016-11-30-0.u20338	Thank you very much. We're moving on to a debate on behalf of the HSS Club, Mr. Mladen Mader.
ParlaMint-HR_2016-11-30-0.u20339	Dear Vice-Presidents of the Croatian Parliament, colleagues and colleagues, I would like to point out on behalf of the Club of Representatives of the HSS some indifference regarding the Law on Road Motor Vehicle Tax, which the HSS Club will surely submit to the amendment. I would like to point out that paragraph 3 says that the solutions will be presented in registration, which will probably be as an environmental compensation, which will be found at the Technical Review Station and must be paid immediately. That is what paragraph 3 states. Paragraph 4 states that the collection is carried out by a legal person whose composition is the technical inspection station. It should be said that the technical inspection stations normally carry out collection operations as an economic activity. They account for 25% of VAT on their services in such a way as to charge the service double. And the fact that they charge the legal person a favor, as well as the citizens, is the price of 17 and of the citizens of 17 kuna 24 plus VAT. What I want to warn you is that the price indicated is four and a half times more expensive than the price that citizens can pay in FINI. Paragraph 5 of this Tax Act on Road Motor Vehicles says that in the extension of the traffic permit, the condition is proof of payment so that the owner of the vehicle can only hand over the payment certificate, which he made on it in the most favourable way, meaning that the payment could be made via the Internet or through the FINE where there is no compensation. And a road fee according to this proposal only that it will be possible to pay only at the technical inspection station. Therefore, I ask you to amend Article 46(4) to change the way taxes are paid on road motor vehicles so that the payment can be resolved in another way, and not just in the technical inspection stations. Maybe it's a little bit when it comes to 21 kuna and 55 limes, but I'm asking you that there are about a million-and-a-half vehicles in Croatia, this price, and now imagine what the price of the station for the technical examination is, practically, the amount of 30 million kuna. 30 million kunas, dear colleagues and colleagues, I don't think it's a small amount and I don't know if that tax reform helps our citizens of the Republic of Croatia, or whether we're helping individuals, or maybe a certain group, or the owner of a technical inspection station. And that's why I'm asking this House, and the Ministry of Finance, to warn this guy, to look at a little bit more of that road vehicle tax article to really enable our citizens to pay a lower price, not to have to pay 30 million kuna to make individuals rich again. And that's why the HSS Club will surely submit to this its amendment.
ParlaMint-HR_2016-11-30-0.u20340	Thank you very much for your presentation. There's no replica. We're moving on to individual debates. Gordan Maras, Your Honor.
ParlaMint-HR_2016-11-30-0.u20341	Thank you very much, Madam Vice President. I'll look back on a few things from a few of these laws. First of all, in the Excise Act. What I am particularly pleased that the promoter has seen here, as of course, and so far the difference and progressiveness associated with luxury or excess money. And those who want to pay more to be taxed more. As far as the car is concerned, we see that there's a cost of 8 percent, ending up at about 30 percent. I say it all together to see that in some parts we use the tax rate or in taxes, and in some parts we go over the flex, i.e. to determine unilaterally one tax class and all pay depending on it. In the car, however, the situation is such that unfortunately we do not follow the very market and that many people buy cars outside Croatia and then import them into Croatia. For example, in Bosnia and Herzegovina, a car that costs a little more than 25 per cent to 30 per cent cheaper than in Croatia, so it would even ask whether the state budget would be more useful to say lower rates than those lower. Why, for example, would someone go to buy a car where there is no excise duty at all or the excise duty is much lower than the Republic of Croatia if our excise duty is 30%, for example, for some small expensive car. The second thing that bothers me is that it mentions it, and it is also related to certain contributions and taxes on road vehicles, which is why in Croatia, and this is a serious issue and would very much help citizens and companies, which is why in Croatia, of course, it is related to some other laws, which is why we have to go to Croatia immediately the first year after we buy the car for a technical examination. So, the factory gives us a guarantee of 3 years you don't have to come or 30 thousand kilometers, but as soon as you buy a car immediately for a technical checkup, pay 500, 700 or 1,000 kuna depending on what the price is, and in this way we de facto burden citizens not only with a waste of time but also with unnecessary money loss. Of course, I'm saying all this because it's connected to road vehicles and, of course, it's connected to other laws, and it should come up with a message to the Home Secretary, to see if it's really mandatory for a man to buy a new motor vehicle to go straight to the technical inspection to see if it's right. So, on this side, a lot of citizens have complaints and a lot of citizens are spending money that I don't think should be spent at all. If we wanted to relieve citizens and companies, we could have done it this way. Also related to the ICCOK, my concern or the sector that has been moving from the Ministry to the IRS, which has done a really big job in the past few years since it was formed, where former Minister Lalovac has been collecting experiences from both American colleagues and today we see even certain arrests, not only arrests but also the prosecution of some cases that have been untouchable for years. Because they were moving in certain circles, being good with political elites, maybe funding their campaigns, but no one could do anything to them. And now, finally, those things are coming for payment. Although such individuals still think that they are above all untouchable and send messages through the public, they mock the state, but I am deeply convinced that the state will drive out its own. That someone who has earned hundreds of millions of euros can't go through tax evasion or ignoring the law or trying to make money, that his trail is not caught or that the state doesn't get what it's supposed to be. And on that side, I have a certain reserve. I think and taught by the experience that the tax administration has acted so far, unfortunately in 2011, it was tens of billions of unpaid taxes that were mostly distributed throughout Croatia and the tax administration chiefs were small gods and they were de facto deciding whether or not they were going to be paid tax or not. I think that the role of this sector in the Ministry of Finance was much stronger when it was directly under the minister rather than now when it would be transferred to the tax administration and in this way I think that his role would be reduced or that he would not have so much, I would say, and visibility, and in some way and influence as he had so far. And on the other hand, I'm going to be a little restrained about this law because I think some things that work well shouldn't change them, and some things that are now changed are at risk of working much worse in the future than they've done so far. So unlike the other laws that I think are much more controversial and that I can't support, I'm a little more restrained here because these are some technical things, some things are simply corrected depending on time, and some things are new solutions that I don't know how it's going to work in the future. And on that side, it's my restraint, but I say we carefully monitor whether the taxpayer who had his own and who had his part and who would pay off very quickly to the state. Just let one of these famous football managers charge 100 million kunas allegedly damaged by a football club, and indirectly so 20 and something million kunas to the state, let it be charged. I think the whole idea has paid off and no one ever thinks about playing with our country, with the tax administration, and all together with all Croatian citizens. Thank you very much.
ParlaMint-HR_2016-11-30-0.u20342	I thank my esteemed colleague, Maras, for this debate. The following came up for discussion by distinguished counterpart Zeljko Jovanovic. Here you go.
