ParlaMint-FR_2017-11-16-O1058.u1	I'm going to suspend the meeting for a few moments.
ParlaMint-FR_2017-11-16-O1058.u323	Mrs Emilie Cariou has the floor.
ParlaMint-FR_2017-11-16-O1058.u324	I would like to reply to Mr Woerth on the impact in terms of corporate tax on the abolition of the CICE. If we replace this tax credit with reductions in direct charges, it is not for companies to form a pact – in which case they will have to pay taxes on it. There will not simply be an effect of communicating vases: the decrease in costs must allow companies either to hire additional employees or to invest – but these investments will be reflected as depreciation, i.e. operating expenses. The removal of the CICE and the effects on corporate tax will therefore not be symmetrical.
ParlaMint-FR_2017-11-16-O1058.u325	We didn't say otherwise!
ParlaMint-FR_2017-11-16-O1058.u326	[[Applause on a few benches of the REM and MODEM groups]] I maintain that a decrease in expenses, which reduces the flow of expenditures into operating income, is more interesting and less complicated for businesses than a tax credit reported the following year, and which can be challenged by tax controls. The reduction in charges is simpler, more legible for businesses. It allows them to make new investments or hire other people: in both cases, companies will not pay corporate tax on the money they will save as a result of lower expenses.
ParlaMint-FR_2017-11-16-O1058.u327	But that's not the point!
ParlaMint-FR_2017-11-16-O1058.u328	The Minister has the floor.
ParlaMint-FR_2017-11-16-O1058.u329	I do not want to prolong the debates, but this is a major issue; I will also add some additional elements. First of all, I repeat how important the provisions adopted this afternoon are for the Government's economic strategy.
ParlaMint-FR_2017-11-16-O1058.u330	It would be better if it were for the country's economic strategy!
ParlaMint-FR_2017-11-16-O1058.u331	All the choices we make in terms of competitiveness and enterprise size development depend largely on the reduction in corporate taxes, which we want to increase from 33.3% to 25%. Mr Carrez, you are right to stress the European dimension of the problem, but to be honest, it must be recognised that this is a difficult fight – we all know that. It is not enough for France to press a button so that all the states comply, put their finger on the seam of the trousers: it is a fight. Everyone can still recognize that with the President of the Republic, we are fighting this fight. And even if things move too slowly to my taste, they move. With regard to the taxation of digital giants, for years we have been totally blocked at the OECD – the Organisation for Economic Co-operation and Development – with a basic tax-payable corporate tax project that was no longer moving forward. We set a big kick in the anthill by putting forward a new proposal, at the Tallinn Council of Finance Ministers, to tax digital giants on the basis of turnover. Immediately, everyone shouts loudly saying that this is not the right tax base. Perhaps, but it has a merit: we know it, so we can tax it, while corporate tax requires knowing the profits, which is not the case. I am sorry to be very pragmatic about this, but at least we have advanced, with, I would like to point out, four driving states: Germany, France, Italy and Spain. The European Commission has sent us a formal proposal, which includes the French proposal and also envisages a company tax with a harmonised basis. Things are progressing, and it is France that has unlocked the situation. I would like to commend the efforts of the European Commission, Mrs Vestager, to be quite specific. The Commission has shown a courage in the taxation of digital giants, which I would like to welcome, in particular by demanding that Apple pay what this company owes to the European Union. This is still the first time in the history of the European Union that a digital giant has been ordered to pay a fine of more than EUR 10 billion. This is not negligible, and I can tell you that it takes political courage to reach such a decision. Finally, with regard to tax harmonisation, you are right to point out that we have been talking about it for years. One of the first to put the subject on the table was the President of the Republic Nicolas Sarkozy, saying that there was a need to harmonize the tax on companies between France and Germany. I spent an infinite amount of time looking at why things had not progressed, why neither the German treasury nor the French treasure had advanced this proposal. First of all, there are national interests, there are also technical problems – it is difficult to establish exactly the basis of corporate tax in each of the two countries. However, I promise you, Gilles Carrez and all the parliamentarians present here, we will move forward in the coming months on the fiscal convergence between Germany and France. Together with Germany, we have set up a working group to examine the smallest technical details, because that is what the great political ambitions in tax matters are about. Big statements are great; The results are even better. The very nature of this majority is to want results for the French.
ParlaMint-FR_2017-11-16-O1058.u332	All right!
ParlaMint-FR_2017-11-16-O1058.u333	Mr Joël Giraud, in support of Amendment No. 1834, has the floor.
ParlaMint-FR_2017-11-16-O1058.u334	This is a precise amendment, Mr President.
ParlaMint-FR_2017-11-16-O1058.u335	On Article 41, I am seized by the Group of the Democratic and Republican Left of the United Kingdom of Great Britain and Northern Ireland of a request for a public vote. The vote is announced in the National Assembly. Mrs Pires Beaune has the floor to support Amendment No. 1721.
ParlaMint-FR_2017-11-16-O1058.u336	Our assembly voted, under the previous legislature, to reduce the IS rate from 33 to 28 per cent by 2020, but gradually expanding its scope according to the size of the companies and the profits generated. The objective was obviously not the same as today, since it was a matter of favouring SMEs as a matter of priority, which are, as we know, penalized in relation to the major groups. With Article 41, the new majority retains the target for 2018 but goes much further since it is envisaged to lower the rate of the IS up to 25% by 2022, and moreover for all companies. Our amendment proposes to maintain the mechanism voted last year, which was supposed to apply on 1 January 2018: the extension to all SMEs of the 15% reduced rate, now reserved for companies with a turnover of less than EUR 7.6 million.
ParlaMint-FR_2017-11-16-O1058.u337	What is the opinion of the committee?
ParlaMint-FR_2017-11-16-O1058.u338	I stress that we really need to link the maintenance of the current 7.63 million turnover cap with the increase in the reduction in the normal rate, now set at 25% instead of 28%.
ParlaMint-FR_2017-11-16-O1058.u339	But that was already voted on last year!
ParlaMint-FR_2017-11-16-O1058.u340	It is because the normal rate will be reduced by 3 points that the reduced rate ceiling is maintained at 7.63 million euros.
ParlaMint-FR_2017-11-16-O1058.u341	We are not asking to change that!
ParlaMint-FR_2017-11-16-O1058.u342	Would you listen to me? From 166,000 euros of profit, the new trajectory proposed in this PLF is more interesting than the one adopted last year. It is indeed more advantageous to be taxed at 25% on the total profit than to be taxed at 15% on the first 38120 euros and 28% on the rest. I would point out that 166,000 euros of profits correspond to a turnover of between 2.5 million and 3 million euros, which is very much below the ceiling of 7.63 million euros which the Government intends to maintain.
ParlaMint-FR_2017-11-16-O1058.u343	But so do we!
ParlaMint-FR_2017-11-16-O1058.u344	The opinion is unfavourable, as it will be on the following withdrawal amendment.
ParlaMint-FR_2017-11-16-O1058.u345	I can't leave these words unanswered!
ParlaMint-FR_2017-11-16-O1058.u346	What is the Government's opinion?
ParlaMint-FR_2017-11-16-O1058.u347	Unfavorable.
ParlaMint-FR_2017-11-16-O1058.u348	Mrs Valérie Rabault has the floor.
ParlaMint-FR_2017-11-16-O1058.u349	Mr General, I cannot let you say that because that is not true. Our amendment tends to retain the mechanism voted on last year, not to crush the one you are proposing.
ParlaMint-FR_2017-11-16-O1058.u350	I did not say that your amendment was crushing it.
ParlaMint-FR_2017-11-16-O1058.u351	But if: you said a 28% drop would be less good than 25%. However, we propose to stay exactly on the path you set out in section 41. On the other hand, there is a super-reduced rate – call it as you like – at 15% for the first 38120 euros of net profit of companies with less than 7.63 million euros of turnover. However, this ceiling does not correspond to anything in the European definitions. That is 50 million francs, but we gave up the franc 16 years ago! We can now reason in euros, which means adopting the European definition of SMEs, which sets a turnover ceiling of EUR 50 million. We have tabled two amendments on the subject. In the latter, No 1721, we say that, in order to give a real signal to companies, the super-reduced rate must apply to the first 100,000 euros of net profit. This is what is being done in the United States and Canada: there is a clear franchise on the first amounts earned for SMEs, which pay zero. We do not propose to go that far but, I agree with you, even a super-reduced cost will cost a little money: 1 billion euros.
ParlaMint-FR_2017-11-16-O1058.u352	A billion and a half!
ParlaMint-FR_2017-11-16-O1058.u353	I said 1 billion euros. But perhaps it is not this amendment that should be given priority. Hence our withdrawal amendment: let us return to the provision voted last year, which applied this super-reduced rate to all SMEs! While you, with section 41, crush part of the device by excluding 20,000 SMEs.
ParlaMint-FR_2017-11-16-O1058.u354	Please come to a conclusion.
ParlaMint-FR_2017-11-16-O1058.u355	I'm finishing, Mr. President. We want a super-reduced rate for all SMEs. This will cost EUR 200 million, twice the cost of the amendment on the free actions that you voted in half an hour, which will benefit many fewer companies.
ParlaMint-FR_2017-11-16-O1058.u356	Mrs Véronique Louwagie has the floor.
ParlaMint-FR_2017-11-16-O1058.u357	Mrs Émilie Cariou spoke on our amendments proposing to reduce the rate of the IS, to say that there was no reason to link the evolution of the corporate tax with the CICE, as Mr Eric Woerth had done.
ParlaMint-FR_2017-11-16-O1058.u358	Exactly!
ParlaMint-FR_2017-11-16-O1058.u359	I would like to reply to him because I believe that it is necessary to adopt such an overall view when discussing business taxation, especially in view of the effects of the arrangements made by the majority. Thus, the reduction of the CICE by 1 point, from 7 % to 6 %, represents EUR 3.2 billion, and its transformation into a reduction in social charges will have an impact on the performance of enterprises in proportion to their increase. There will therefore be an effect on corporate tax. Let's take a 25 per cent corporate tax rate: of the 6 points, that's 1.5 percentage points, which means you're cutting aid from 7 per cent now to 4.5 per cent.
ParlaMint-FR_2017-11-16-O1058.u360	Yes!
ParlaMint-FR_2017-11-16-O1058.u361	No one can deny this reasoning: it is the figures that will apply to companies. That is why we propose to go further in the area of IS.
ParlaMint-FR_2017-11-16-O1058.u362	Mr Jean-Noël Barrot has the floor.
ParlaMint-FR_2017-11-16-O1058.u363	[[Applause on several benches of MODEM and REM groups]] Mrs Rabault, I agree with the rapporteur-general. Your intention to extend the super-reduced rate of the first 38120 euros of results in order to make companies benefit from it up to 50 million turnovers is of course commendable. But let us be a little realistic: even for the SME at the limit of the current ceiling of €7.6 million, the maximum threshold of the first 38120 euros is not really considerable! For a company that carries out 50 million business, it is even very symbolic. Perhaps it would be better if we refrained from voting on measures of the order of the symbol.
ParlaMint-FR_2017-11-16-O1058.u364	We can go up to 100 million! I'm in!
ParlaMint-FR_2017-11-16-O1058.u365	Mr Laurent Saint-Martin has the floor.
ParlaMint-FR_2017-11-16-O1058.u366	I fully agree with what Mr Barrot has said. I just want to answer Mrs. Louwagie that she's thinking at constant perimeters. It is true that a reduction in charges mechanically increases the base and the pre-tax income, and thus leads to a higher corporation tax. But it is not to understand how a tax policy is developed for businesses, not to understand that not all things are equal elsewhere, when the CICE is abolished and when a reduction in direct charges is created.
ParlaMint-FR_2017-11-16-O1058.u367	Except for the I.S.
ParlaMint-FR_2017-11-16-O1058.u368	A drop in direct charges increases the margins of companies, allowing them to invest, to hire, so indirectly to increase their turnover of tomorrow and their pre-tax results. It must be understood that we are creating a dynamic of growth, not just a higher pre-tax base. In addition, you are forgetting, Mrs Louwagie, an extremely important point: the reduction in corporate tax to 25% by 2022 will in any case lead to a lower tax than that paid by businesses today.
ParlaMint-FR_2017-11-16-O1058.u369	On Amendment No 1722, I have a request from the New Left Group for a public vote. The vote is announced in the National Assembly. Mrs Valérie Rabault has the floor to support Amendment No. 1722.
ParlaMint-FR_2017-11-16-O1058.u370	Defendant.
ParlaMint-FR_2017-11-16-O1058.u371	Mr Gilles Carrez has the floor.
ParlaMint-FR_2017-11-16-O1058.u372	The rapporteur-general has just said that Amendment No 1721 would cost too much: 1.5 billion. Amendment No 1722 would cost a little less.
ParlaMint-FR_2017-11-16-O1058.u373	200 million!
ParlaMint-FR_2017-11-16-O1058.u374	[[Smile]] Straw!
ParlaMint-FR_2017-11-16-O1058.u375	I will repeat Mrs Louwagie's reasoning, which Mr Saint-Martin is absolutely wrong to challenge. She explains that by reducing the CICE from 7% to 6%, the state is saving 3.2 billion euros compared to the current situation. And next year, by turning the CICE into a drop in costs, it will mechanically increase the profits of companies by almost 20 billion euros, which, on the basis of a rate that I already assume – out of generosity – by 25%, will allow it to benefit, all other things equal, from additional tax revenues of 5 billion euros.
ParlaMint-FR_2017-11-16-O1058.u376	That's a total of $8 billion!
ParlaMint-FR_2017-11-16-O1058.u377	[[Smile]] In the space of two seconds, I have just made an addition with a result of 8 billion savings. You will not tell me, Mr Saint-Martin, that with these 8 billion savings, we cannot finance the 200 million of Mrs Rabault's excellent amendment! The double decision to lower the CICE and then turn it into a drop in costs would allow more than much to finance the decline in the IS rate by 2022. It's arithmetic, Mr. Saint-Martin.
ParlaMint-FR_2017-11-16-O1058.u378	The Minister has the floor.
ParlaMint-FR_2017-11-16-O1058.u379	[[Smile]] My speech will give everyone time to return to their place to vote. It will also give me the opportunity to respond to Mr.Carrez's arguments, which I have known in the past, more concerned about public accounts. It's not that simple, Mr. Carrez, I think you know as well as I do. I could come up with figures other than those just presented. I believe, however, that Mr Saint-Martin's reasoning was quite convincing.
ParlaMint-FR_2017-11-16-O1058.u380	I put to the vote Amendment No. 1722.
ParlaMint-FR_2017-11-16-O1058.u381	I put rule 41.
ParlaMint-FR_2017-11-16-O1058.u382	All right!
ParlaMint-FR_2017-11-16-O1058.u383	I have before me an amendment No 1658, which is the subject of a sub-amendment No 1916. The next speaker is Mr Thomas Rudigoz, in support of the amendment.
ParlaMint-FR_2017-11-16-O1058.u384	My amendment is aimed at correcting a tax anomaly: as you know, Article 15 of the NOTRE Act – the new territorial organization of the Republic – has transferred the transport competence of the departments to the regions. In order to accompany this transfer and the resulting costs, Article 89 of the Finance Act for 2016 provided for the shift to the benefit of the regions of 25 points of the contribution on the added value of enterprises – the CVAE –, which was collected by the departments. However, the city of Lyon has not transferred any of the tasks referred to in Article 15 of the NOTRE Act, either because they are missions it does not carry out, or because this Act recognizes the special status of the metropolitan community and provides for specific derogations concerning this transfer of powers. In addition, the Lyon metropolis has the full economic powers normally vested in the departments and, in its territory, it is the main community in terms of economic strategy. Thus, logically, in the absence of any substantial transfer of powers, the metropolis of Lyon should not be subject to the transfer of tax revenues for the benefit of the Auvergne-Rhône-Alpes region. That is why Amendment No 1658 aims to clarify that the share of the contribution on the value added of enterprises devolved to the metropolis of Lyon is not affected by the provisions of Article 89 of the Finance Act for 2016.
ParlaMint-FR_2017-11-16-O1058.u385	Mr Joël Giraud has the floor to support sub-amendment No. 1916 and give the committee's opinion on Amendment No. 1658.
ParlaMint-FR_2017-11-16-O1058.u386	The committee is in favour of Amendment No 1658, subject to the adoption of my sub-amendment, so that the arrangements you are planning are not retroactive, my colleague.
ParlaMint-FR_2017-11-16-O1058.u387	But that's not possible!
ParlaMint-FR_2017-11-16-O1058.u388	[[Exclaims on the benches of the LR group]] Indeed, as drafted, your amendment would apply to the distribution of the overall product in 2018, but on the basis of the taxes due for 2017.
ParlaMint-FR_2017-11-16-O1058.u389	We can't let this go!
ParlaMint-FR_2017-11-16-O1058.u390	Mrs Emilie Bonnivard has the floor.
ParlaMint-FR_2017-11-16-O1058.u391	This amendment goes back to the conditions for financing, provided for by the NOTRE Act, of the transfer to the regions of departmental responsibility for non-urban transport. It lays down a new specific compensation rule between the Auvergne-Rhône-Alpes region and the metropolis of Lyon, to the detriment of the former and to the benefit of the latter, it is perfectly clear. It would result – just that – in introducing a Lyon exception by depriving this region and its inhabitants of the dynamics of the CVAE, while all the other French regions benefit from it. This amendment is therefore particularly serious because it introduces a break in equality between the Auvergne-Rhône-Alpes region and all the other French regions. It also introduces a break in equality within the Auvergne-Rhône-Alpes region, since the twelve departments that make up it share their CVAE for transport with the region, calculated on the basis of 2016. On the other hand, for the city of Lyon alone, the reference period chosen would be 2017. Furthermore, as has been said, Amendment No 1658 would be retroactive since it would apply as early as 2017, in violation of a budgetary principle. This is therefore a very good budget rider. [[Applause on the benches of the LR group]] Minister, the Government has spent its time explaining to us, in recent days, that it was impossible to change the rules of local taxation, in particular the FPIC, the National Fund for Equalization of Intercommunal and Communal Resources. This afternoon, if this amendment is adopted, you are about to contradict everything we have said for two days. It introduces an unacceptable injustice within the Auvergne-Rhône-Alpes region and between all the regions of France. It would be very appropriate to reject him.
ParlaMint-FR_2017-11-16-O1058.u392	Is Mr Collomb one of the signatories to the amendment? We'd have to check it out!
ParlaMint-FR_2017-11-16-O1058.u393	Mr Gilles Carrez has the floor.
ParlaMint-FR_2017-11-16-O1058.u394	We had this debate at the end of last year, in December: we had then discovered a specific provision, totally derogating from the common law, in favour of the urban community of Lyon, which created a real breach of equality that would pose a problem to the Constitutional Council if it had been adopted.
ParlaMint-FR_2017-11-16-O1058.u395	Scandalous!
ParlaMint-FR_2017-11-16-O1058.u396	At the time, the majority honoured themselves by refusing to accept this custom-made derogation system, without any justification whatsoever, proposed in the form of an amendment by the Government: it was legitimately rejected by our Assembly. [[Applause on the benches of the LR group]] I am very surprised to see this measure come back in the course of the examination of the non-attached articles and to hear the rapporteur-general simply say that it should not be retroactive. It's really not a way to work. If the majority votes, it will not be in her honour, while she prides herself on voting fair laws.
ParlaMint-FR_2017-11-16-O1058.u397	Mr. Thomas Rudigoz has the floor.
ParlaMint-FR_2017-11-16-O1058.u398	[[Exclaims on the benches of the LR group]] Mr. Carrez, you're doing a little too much.
ParlaMint-FR_2017-11-16-O1058.u399	Everyone has the right to express himself, however!
ParlaMint-FR_2017-11-16-O1058.u400	Please, ladies and gentlemen, listen to Mr Rudigoz.
ParlaMint-FR_2017-11-16-O1058.u401	This measure is not unfair. I would like to remind you that the metropolis of Lyon is a specific community: it is the only territorial community in our country to combine the competences of a departmental council and an urban community. Its creation was the result of a long and intelligent work, led at the time by Michel Mercier, president of the department, and Gérard Collomb, mayor of Lyon and president of the urban community. As a result, the MAPTAM law – the law on the modernization of territorial public action and the affirmation of metropolises – has created a separate territorial community, indeed a little original, of which I hope that the model will, in the future, be copied to other territories. As far as taxation is concerned, I would point out that the region must make payments for the benefit of the metropolis, because some of its powers are not exercised in the territory of the metropolis: non-urban and school transport.
ParlaMint-FR_2017-11-16-O1058.u402	Collomb's been there!
ParlaMint-FR_2017-11-16-O1058.u403	Apart from interdepartmental school transport, i.e. between the metropolis and the Rhône department, which cost 1 million euros, the Auvergne-Rhône-Alpes region gives the metropolis of Lyon almost all the 130 million euros it collects. [[Applause on a few benches of the REM group]] Therefore, we would honour ourselves above all by avoiding this type of financial and tax transfers, by allocating the proceeds of the contribution on the added value of enterprises to the community that really exercises the skills in economic development in its territory, that is, the metropolis of Lyon.
ParlaMint-FR_2017-11-16-O1058.u404	Not like that!
ParlaMint-FR_2017-11-16-O1058.u405	Mr François Pupponi has the floor.
ParlaMint-FR_2017-11-16-O1058.u406	During a whole evening, we heard the Minister of State, Minister of the Interior, Gérard Collomb, explain, besides Lyon is the center of the world, that we should never derogate from any rule,...
ParlaMint-FR_2017-11-16-O1058.u407	Exactly!
ParlaMint-FR_2017-11-16-O1058.u408	...that special revenue should not be allocated to metropolitan groupings or suburban towns...
ParlaMint-FR_2017-11-16-O1058.u409	Exactly!
ParlaMint-FR_2017-11-16-O1058.u410	...and Corsica, which is also a separate community since the region and the two departments will merge on 1 January.
ParlaMint-FR_2017-11-16-O1058.u411	Exactly!
ParlaMint-FR_2017-11-16-O1058.u412	The FPIC doesn't move!
ParlaMint-FR_2017-11-16-O1058.u413	And, after hearing Gérard Collomb tell us this a whole evening, today, when he is not there, we should, as far as Lyon is concerned, derogate from the common law.
ParlaMint-FR_2017-11-16-O1058.u414	Exactly!
ParlaMint-FR_2017-11-16-O1058.u415	[[Applause on the benches of the LR group]] If it is in this way that the Republic on the move conceives the territorial balance, bravo!
ParlaMint-FR_2017-11-16-O1058.u416	All right!
ParlaMint-FR_2017-11-16-O1058.u417	Minister, would you like to speak?
ParlaMint-FR_2017-11-16-O1058.u418	[[Exclaims on the benches of the LR, NG and GDR groups]] Favourable opinion.
ParlaMint-FR_2017-11-16-O1058.u419	We've been there all night!
ParlaMint-FR_2017-11-16-O1058.u420	It's outrageous and vicious!
ParlaMint-FR_2017-11-16-O1058.u421	I hope that our debates will regain their serenity.
ParlaMint-FR_2017-11-16-O1058.u422	Mr Guillaume Larrivé has the floor for a point of order.
ParlaMint-FR_2017-11-16-O1058.u423	Mr President, if there is total serenity, the Rules of Procedure apply, in particular Rule 58. It is customary, after the Minister has given the Government's opinion, for a speaker to speak. That is why the Republican Group is asking for the floor. If it is not granted to us, we will be led to request a suspension of the sitting.
ParlaMint-FR_2017-11-16-O1058.u424	I give you the floor again, Mr. Larrivée.
ParlaMint-FR_2017-11-16-O1058.u425	Mr. Minister of Economy and Finance, I know you are committed to history. So you know that the privileges were abolished on the night of August 4, 1789. The amendment before us is an amendment of privilege, drawn up in the secret of Place Beauvau to please the Prince of Lyon.
ParlaMint-FR_2017-11-16-O1058.u426	Exactly!
ParlaMint-FR_2017-11-16-O1058.u427	That is the technical reality of this amendment, which derogates from ordinary law.
ParlaMint-FR_2017-11-16-O1058.u428	He's not totally derogatory.
ParlaMint-FR_2017-11-16-O1058.u429	[[Conciliabules]] I am not a member of the Committee on Finance but a member of the Committee on Laws: I believe it is up to us to uphold the fundamental principle of the Republic's laws, the principle of equality.
ParlaMint-FR_2017-11-16-O1058.u430	Of course!
ParlaMint-FR_2017-11-16-O1058.u431	I am speaking to the Members of the La République group on the move: as you claim to embody the new world and progress, what is this practice of the old world of defending a totally derogatory status in order to please the great leader of the metropolis of Lyon, who is still today the Minister of State, Minister of the Interior, Gérard Collomb? For our part, we defend the interest of all the inhabitants of France: there is no reason for the inhabitants of the Auvergne-Rhône-Alpes region to be disadvantaged whether or not they live in the metropolis of Lyon.
ParlaMint-FR_2017-11-16-O1058.u432	It's the people of Isère who'll be happy!
ParlaMint-FR_2017-11-16-O1058.u433	[[Applause on the benches of the LR group]] This amendment is a villainous amendment, a partisan amendment, a Collomb amendment. We ask you to reject it and we are very surprised that the Minister of Economy and Finance does not express himself, contenting himself with a favourable opinion, as if he had thus admitted the deal between Bercy and Place Beauvau on this subject.
ParlaMint-FR_2017-11-16-O1058.u434	All right!
ParlaMint-FR_2017-11-16-O1058.u435	Before suspending the sitting at the request of Mr Bruneel, who has received a delegation from his group, I should like to inform you that, on Amendment No 1658, the Republicans have requested a public vote. The vote is announced in the National Assembly.
ParlaMint-FR_2017-11-16-O1058.u436	The meeting was suspended.
ParlaMint-FR_2017-11-16-O1058.u437	The meeting was resumed. I shall first put to the vote, by show of hands, Subamendment No 1916, which has received a favourable opinion from the Committee and the Government.
ParlaMint-FR_2017-11-16-O1058.u438	I now put to the vote, by public vote, Amendment No 1658, as amended.
ParlaMint-FR_2017-11-16-O1058.u439	No, no, no, no, no, no, no, no, no, no, no, no, no, no,
ParlaMint-FR_2017-11-16-O1058.u440	This is outrageous!
ParlaMint-FR_2017-11-16-O1058.u441	We're leaving!
ParlaMint-FR_2017-11-16-O1058.u442	[[Mrs. and Mr. Members of the LR, NG, FI and GDRquitten Groups are present in the Chamber, followed by several Members of the MODEM Group.]] We'll leave you two to each other!
ParlaMint-FR_2017-11-16-O1058.u443	Several speakers are inscribed on rule 42. Mr Xavier Roseren has the floor.
ParlaMint-FR_2017-11-16-O1058.u444	Mr President, Minister, ladies and gentlemen, Article 42 is a campaign commitment. As the President of the Republic announced during the presidential election, as well as the candidates of the Republic running during the legislative campaign, and as the Prime Minister recalled in his general policy speech on 4 July, we want to abolish the CICE – a tax credit for competitiveness and employment – and replace it with a direct reduction of burdens. Through this reform, we are responding to a long-standing demand from professionals. It will reduce labour costs and maximize the impact on employment by increasing wage reductions. It will also simplify the system: no more reporting formalities specific to the CICE, no longer any delay before benefiting from the relief, no more procedures for setting up credit pre-financing files. Finally, it will improve the cash flow of companies and ensure equality between them, since the reliefs will apply to all companies, including those involved in the social and solidarity economy, and not only to companies liable for corporate tax or income tax. You understand this: this article is part of our project to free energy, strengthen the competitiveness of our companies and promote employment.
ParlaMint-FR_2017-11-16-O1058.u445	Mrs Marie-Christine Verdier-Jouclas has the floor.
ParlaMint-FR_2017-11-16-O1058.u446	Article 42 aims to remove the competitiveness and employment tax credit, the CICE, and to replace it with a reduction in employer contributions from 1 January 2019. This relief, introduced by the Social Security Funding Bill for 2018, will be to permanently reduce employer contributions by 6 points for wages below 2.5 times the SMIC, with an increased reduction of 3.9 points at the SMIC level. In order to organize the transition from one system to another, the rate of the tax credit will be reduced from 7 % to 6 % for remuneration paid as of January 1, 2018, the rate applicable in 2016. This choice contributes to the sustainability of the budget without seriously penalising companies. This measure will make it possible to increase the support to enterprises in practice, by making immediate, in the form of an exemption, aid which has so far been delayed because it was received in the year following the year in which the wages were paid. It will thus improve the cash flow of enterprises, maximising its effect on employment by increasing the reliefs on low wages, by facilitating employers' approaches, which will thus be issued specific reporting formalities to the CICE, and by extending its scope to all employers, beyond only those liable for corporate tax or income tax. It is a reunification of the cost of work for all: companies, private employers or associations. This is a clear reform with a articulation that allows companies to avoid a white year in which they would not benefit from any reduction in labour costs. As the Prime Minister had the opportunity to recall, companies will benefit from a cash gain of around €21 billion in 2019, which alone could create some 35,000 jobs that year.
ParlaMint-FR_2017-11-16-O1058.u447	Thank you, my dear colleague.
ParlaMint-FR_2017-11-16-O1058.u448	Let us not be mistaken about the debate. All these measures systematically bring us back to the goal with a great O: job creation.
ParlaMint-FR_2017-11-16-O1058.u449	Mr Stéphane Little has the floor.
ParlaMint-FR_2017-11-16-O1058.u450	This article is excellent news since it aims to remove the CICE. The reports and evaluations published by various bodies, first and foremost France Strategy, showed the waste of public money that this tax credit represented: 100,000 jobs created or saved, i.e. 400,000 euros of public money per job; The figures are striking.
ParlaMint-FR_2017-11-16-O1058.u451	[[At 19:00, Mr. Sacha Houlié replaced Mr. Sylvain Waserman in the Chair]]
ParlaMint-FR_2017-11-16-O1058.u452	We welcome the fact that the executive finally hears the arguments put forward by communist parliamentarians for years. We believe that this financial manna must be used for other purposes: the development of territories, public services, housing, job creation and investment support. In fact, by replacing the CICE with a substantial and lasting reduction in wage and employer contributions, the Government does not learn any lessons from the assessments made by independent bodies. The Social Security Funding Bill provides for a 6-point reduction in employer contributions for wages below 2.5 SMIC and their total elimination for salaries at SMIC. This is a real incentive to mispay employees. Beyond that, in 2019, the CICE and this reduction in contributions will be combined to waste 40 billion euros of public money. Ladies and gentlemen, we propose that you keep this money and use it usefully for the country: for investment and support to the real economy, in support of the order book of our companies.
ParlaMint-FR_2017-11-16-O1058.u453	Mr Jean-Paul Dufrègne has the floor.
ParlaMint-FR_2017-11-16-O1058.u454	The CICE has been totally ineffective in generating investment and fighting unemployment. The numerous studies carried out on the subject have shown this, and I will not go back to this absolutely insane figure, which shows that it took 400,000 euros of public money to create or maintain a job. With 100,000 jobs created or saved, we are far from the figure of 1 million jobs proudly announced on a pin's. Where did the CICE money go? Difficult to say, given the lack of conditionality of the device and the absence of any dangling. However, it can be seen that the CICE has gradually settled in the tax landscape, becoming an unconditional public policy for the reconstruction of business margins. Today, you are proposing not to transform but to perpetuate this policy, when many of our citizens remain permanently away from employment. You talk to us about competitiveness and attractiveness, but your tax bets are not based on any sound economic theory. In any case, they will once again increase the cost of capital to our businesses, to employment and to the State. As the many social and restructuring plans announced this week – at Castorama, GE Hydro – show, it is the financial requirements that impose their laws on businesses. Positions will be abolished and redundancies will take place, while the groups in question are profitable, but insufficient in the eyes of their shareholders. Behind them, families will experience tragedies and territories will undoubtedly suffer. Your tax choices will unfortunately amplify this movement.
ParlaMint-FR_2017-11-16-O1058.u455	I have before me four amendments, Nos 518, 1396, 1527 and 1821, which can be discussed jointly. I call Mr Thibault Bazin to support Amendment No. 518.
ParlaMint-FR_2017-11-16-O1058.u456	I cannot begin to defend this amendment without going back to what has just happened with the scandalous amendment No 1658. I am the only one in my group who has remained in the Chamber, and even our MODEM colleagues have left. What we have just experienced is not worthy of national representation; It is an old political manoeuvre and a shameful arrangement. Having said that, Article 42 refers to the strategic direction you are taking to improve competitiveness. We share this goal, but we question the means you imagine, especially the increase in the CSG. In the short term, you will even increase the cost of labour, by reducing the competitiveness and employment tax credit from 7 to 6%. With this amendment, of which our colleague Damien Abad is the first signatory, we propose to create a competitive shock, replacing the CICE with a reduction in the burden on work. This would have a massive and immediate effect, and it would improve wages. This measure would be financed by an increase in the VAT standard rate, in the framework of a competitive VAT system, whose revenue would be divided between a reduction in employers' costs, by two thirds, and a decrease in wage costs, for the remaining third. This measure would have the dual advantage of having an immediate effect on the reduction of the burdens of companies without setting up a gas plant, unlike the CICE, which was criticized until most of the time. Moreover, it would have no impact on the intermediate VAT rate and would therefore not penalise labour activities. This is therefore a much fairer choice for the French – for the most modest of them, the two main items of expenditure are rent and food, which would not be affected by this increase in VAT. By adopting our amendment, you will allow more jobs and more purchasing power. This is a real proposal for our debate, which does not involve an increase in the CSG, which is denied by honourable senators.
ParlaMint-FR_2017-11-16-O1058.u457	Mrs Danièle Obono has the floor to support Amendment No. 1396.
