ParlaMint-FR_2017-12-12-O1094.u1	Mrs Laurence Dumont has the floor for the New Left Group.
ParlaMint-FR_2017-12-12-O1094.u314	Mr Frédéric Reiss, for the Group of the European People's Party, has the floor.
ParlaMint-FR_2017-12-12-O1094.u315	Members of the Republican Group consider this text on student success to be a missed opportunity. In an effort to avoid talking about selection at all costs, the Government proposes a complex and bureaucratic system, a gas plant, which will not solve the current problems of the university. The motion that Patrick Hetzel has just brilliantly defended, however, proposes measures of common sense, and a list of ten wishes without any hierarchy will not be the solution to the drawing of lots of the PDB. Where is the place of Republican merit? It is obvious that efforts will need to be made to improve orientation, and the unique identifier, which Patrick Hetzel talks about, would already be a step towards better assignment of bachelors, particularly professionals. This student plan, announced at EUR 1 billion in the quinquennium, is not in line with the respect and development of university autonomy. It is about raising the quality of our higher education, our research and our vocational training, obviously building on the advantages of digital technology. [[Applause on several benches of the group The Republicans]] Patrick Hetzel's arguments were very convincing; That is why the Republican Group will vote in favour of this motion of rejection.
ParlaMint-FR_2017-12-12-O1094.u316	The next speaker is Mr Philippe Berta, for the Group of the Democratic and Related Movement.
ParlaMint-FR_2017-12-12-O1094.u317	[[Applause on several benches in the REM group]] The MODEM Group, which I represent, discovers with surprise this motion of rejection from our university colleague Hetzel, and cannot understand it or associate with it for a minute. Why? Because the only interest we're discussing here is that of the student, and just the student. [[Applause on a few benches of the REM group]] [[Applause on several benches in the REM group. – Exclaims on the benches of the LR group]] As an academic, I cannot continue to accept – you have even proposed to reduce this discussion to 2020 – the massacre that I experience every year from 60 to 70 per cent of students, who fail on a bachelor's degree because of a lack of information and guidance. I cannot accept repeating what we have been through this year, namely a draw in 200 licences. It is not possible to wait because we are in an emergency situation. On behalf of the MODEM Group, I cannot, of course, associate myself with this rejection motion for a minute. I'm very sorry, because I don't understand your arguments, Mr. Hetzel, and you, who are a university student, I wouldn't like to meet your students tomorrow.
ParlaMint-FR_2017-12-12-O1094.u318	The next speaker is Mr Christophe Naegelen, for the IDU Group, Action and Independents.
ParlaMint-FR_2017-12-12-O1094.u319	The last academic year has been characterized, this is an euphemism, by major dysfunctions, which have affected thousands of young bachelors. In an attempt to solve the insoluble equation of the tensioned streams, the former government resorted to drawing lots, an unfair system that rewards luck instead of the merit of our students. Moreover, on 21 September last, the Bordeaux Administrative Court ruled illegal the circular authorizing the drawing of lots. The APB platform is also far from being free of reproach. Indeed, the candidates had no information on the rules of assignment, and in the non-selective channels, the system operated without human intervention through an algorithm, which was the subject of a notice from the National Commission on Informatics and Freedoms – CNIL – on September 7. As a result, action must be taken as quickly as possible to correct the shot. The bill we are looking at today may not be perfect, but it has the merit of trying to solve this equation in a fairer way, valuing our most deserving students, while leaving the choice of their future orientation to all bachelors. Rejecting without any other form of trial this bill would certainly not serve the thousands of high school students who are preparing this year to return to higher education, and who more than ever need clarity and serenity in this crucial year for their future. [[Applause on a few benches of the REM group]] The UAI Group will vote against this motion for a preliminary rejection, of course counting on you to listen and take into account the proposals of everyone in the general interest.
ParlaMint-FR_2017-12-12-O1094.u320	I have received a motion from Mr Jean-Luc Mélenchon and members of the La France group to refer the matter back to committee pursuant to Rule 91(6) of the Rules of Procedure. Mrs Sabine Rubin has the floor.
ParlaMint-FR_2017-12-12-O1094.u321	[[Applause on the benches of the FI group]] Madam President, Madam Minister, ladies and gentlemen, before I begin my remarks, I extend my full support to the representatives of university staff, students and high school students who have come this morning from all over France to the National Assembly. I don't think they crossed the country just to protest. They were there, Madam Minister, ladies and gentlemen, so that you could hear them, and not just listen to them. I would now like to introduce my presentation with a personal anecdote. I did not first encounter the difficulties experienced by actors in the academic world in numerical reports; they presented themselves to me shortly after I took office. During my first permanence, a student came to see me; A BTS holder, he had been denied access to university for the second year in a row to pursue his studies. We all share this view of injustice here. This motion for referral to committee provides a wonderful opportunity for our group to resume a substantive debate, which is too often absent from this House; This debate is about the diagnoses and reasons behind the bill before us. It offers us a time to develop the reasons for our opposition to the logic of your projects, beyond any trial of intent. I therefore welcome this referral to committee and propose here to outline the axes of this future exchange. But before I go into the content of this bill, allow me, minister, ladies and gentlemen, a precondition that I want to share with you once again, by deepening it. Understand that our opposition is not, as we like to make it seem, systematic or partisan. It's a fundamental opposition. Don't be afraid, any democracy emerges from a free, contradictory and reasoned debate. Nevertheless, this is a serious enough subject – the future of youth – so that we can overcome the usual divides! Then why do we diverge? We are defending a project of society at the service of all human beings, to which none of us can be indifferent. And, of course, we do not have a monopoly on the heart. This project is based on the values of freedom, equality and fraternity, which our republican motto expresses and which you share, I am sure. But from word to thing, from an abstract motto to its concrete translation, there is an abyss in which many stumble. So, do you find our society fraternal, when we keep talking about competition? Can we still talk about equality when we organize the selection? It is this reaffirmation of our republican values that will serve as a thread for my group's challenge of this bill. As a reminder, this bill, on the orientation and success of students, deals, on the one hand, with the terms of access to university and, on the other hand, with the provision of new conditions for student life. As mentioned in committee, only the title of this law is acceptable to us. How, in fact, do we not adhere to the need to help young people to orient themselves, especially since the world is in total disorientation? How to not subscribe to the idea of the success of all students, stating that, for the occasion, the success we are talking about lies in obtaining a diploma that recognizes certain knowledge, knowledge and skills. But the consensual title of this law cannot deceive us about its content, to which we say "no", three times "no". Not to the interpretation of the findings that motivate it, and therefore to the remedies that you propose. Not to its feasibility in terms of the resources allocated. No to the societal project and the values it underpins. The first observation is the increase of 40,000 students per year for three years. This year, it required the setting up of the unjust drawing by lot in the fields in tension and left on the tile more than 3000 high school students. It's hard to deny that. But when it falls under the common sense that, to avoid drawing lots, just increase the number of places, you prefer to make a selection on file.
ParlaMint-FR_2017-12-12-O1094.u322	That's not true!
ParlaMint-FR_2017-12-12-O1094.u323	On file, yes! The second finding is that 60% of young people enrolled in the first year of their studies do not pursue in the second year. In the face of this observation, which you interpret as a failure, you orchestrate a sorting, even in tension-free channels, that is, you condition the registration of certain bachelors to their acceptance of refresher modules. A "yes" for some and a "yes, but" for others, based on prerequisites related to obtaining a bachelor's degree, transcripts, advice from principal teachers, etc. To be quite honest, this "yes, but" is already practiced in practice, and universities refuse files that receive a "yes" elsewhere. The bill therefore invents nothing and worsens the selection; he installs it everywhere and, above all, he sanctuaries it, with a trait of these sentences inscribed in article L. 612-3 of the Code of Education: "Every candidate is free to register in the institution of his choice (...). The provisions relating to the distribution between establishments and trainings exclude any selection".
ParlaMint-FR_2017-12-12-O1094.u324	Yes!
ParlaMint-FR_2017-12-12-O1094.u325	Mass is said! And now that we can "call a cat a cat," let's see how selection is not the right solution for students' success. [[Applause on the benches of the FI group]] First, it is based on an inflexible interpretation of otherwise incomplete statistics. Of the 60% of first-year students – L1 – who do not register in L2, 24% repeat, 11% reorientate after using this first year to prepare competitions, for example. Only 25% give up or leave permanently, which is already too much, you will tell me. But these figures, constant since 1960, are also far from being synonymous with failure: for most students, this first year of bachelor's degree – because it is open to all – allows them a kind of self-orientation and an adjustment by experience and not by selection a priori. Finally, it is good to recall that 80% of French university students graduate with a diploma when the OECD average is 70%. Next, selection does not prevent abandonment. For example, in selective courses there are 10 per cent exits in BTS, 15 per cent in IUT, 22 per cent in preparatory classes and 37 per cent in large schools. Finally, the production of modular licences – some with refresher courses, internships or online courses, others with the traditional teaching units of the industry – is tantamount to organising multi-speed licences. And for those who wish to extend their studies, it is to prepare them for the exclusion of Masters now selective. In short, the selection from the start of university, and on the basis of an already selective academic path, organizes a sorting between excellence and the second zone, between the universities of excellence with licenses and then masters of excellence, and the declassified universities issuing declassified degrees. [[Applause on the benches of the FI group]] Madam Minister, ladies and gentlemen, for people who advocate individual freedom and freedom of choice, this way of channelling young people on predetermined, almost pre-built paths is surprising! What freedom of choice? What equality of opportunity when children are placed on the tracks of social determinism? As everyone knows here, selection at university only prolongs and reinforces social discrimination already existing in primary and secondary education. The school fails, in fact, to break with socio-economic and cultural determinisms. And it seems to me important to make it clear that the school system fails, not the young or the teachers! A few figures illustrate this fact: at the end of the race, 12.7% of children of workers study under a bachelor's degree and just 6% reach a doctorate. Of course, this does not date from today, but this law will relay, reinforce or even amplify this social discrimination in higher education. I'd even say more: she's putting this state of affairs in the marble. For what is certain is that it is the high school students of the popular classes who, once again, will be affected. Coming from low-prestigious high schools, they will be the first to undergo the "no" in selective fields, without having a family or personal environment able to build the dossier adapted to the expectations of the universities. They will still be the first to see their file stamped with a "yes, but" in non-selective fields, which will make them enter a kind of low cost curriculum. And what about when there's only one bachelor's degree left in high school, as you prepare it with the reform of the baccalaureate? We are convinced, therefore, that, instead of upgrading high school students, these accompaniment schemes may discourage more than one of them. As for those who are forced to work to ensure their daily lives, these personalized journeys are likely to lead them to a licence in four or five years. At a cost of 10000 euros the cost of the university year, the most disadvantaged students will necessarily be inclined, if not forced, to stop on a bachelor's degree. That's for the selection that never dares to say his name. As for the articles concerning the shift of student social security towards a general scheme and the implementation of student social contribution, they give rise to several reflections in us: a positive remark and three questions. We are in favour of providing students under the age of 20 with a social security system that is independent of that of their parents. We are aware that this administrative autonomy allows for the emancipation of parental guardianship. On the other hand, we doubt that this measure, coupled with that of the student social contribution, produces for all the announced effect of an increase in purchasing power. As a reminder, students under the age of 20 did not already have to contribute to the general social security scheme. As for doctoral students, who are often employed, they are already covered by the general scheme. Therefore, while these young people were previously exempt, they will now have to pay this famous contribution. What about purchasing power gain for these students? Furthermore, we remain cautious about the quality of the preventive measures to be implemented by the general system. To date, there is no guarantee that this expertise acquired by mutual students will be put in place. In the same way, we will remain vigilant about the total resumption of staff who managed the student regime, having little more certainty than your commitments in this area to date. Finally, we remain puzzled about the difference in the price of the social contribution between licenses, masters and doctorates. Why fix it at 60, 120 and 150 euros respectively? What complicated accounting behind this measure! In any event, it seems to us that it would be up to the State to finance the implementation of actions dedicated to sports and cultural activities, that the State should be the real guarantee of equal access to all public services within the university. Madam Minister, ladies and gentlemen, to close this first line of my presentation, I would like to assure you that I understand that everyone will have a warm place at university, at least I hope, because I learned this morning that the University of Picardie was reducing its training offer by 25%, and that the universities of Paris 8 and Toulouse were losing jobs and resources. The list grows every day. However, I have also understood that all young people, in their diversity, as you yourself say, will not have access to the training of their choice. Those who will be excluded or discouraged in pursuing their studies will be young people from the popular classes. As for the sabbatical year proposed to them in this bill, this will again be a variable geometry, but with a constant: not for the most disadvantaged. I now turn to the second reason for saying no to this law: its feasibility on almost constant means. No, minister, I have not forgotten the additional EUR 15 or 20 million you negotiated with Bercy for the implementation of this bill. However, in doing the calculation again, I realized that this obole would simply be insufficient, if not ridiculous. Let me demonstrate it to you. When studying the 2017 finance bill, I noted that only EUR 194 million of the € 700 million increase granted was for higher education. I also heard that this increase was going to cover the famous GVT – the technical old age slide – which put a number of universities on the brink of bankruptcy. But do you really think that this increase will allow for the mass reception of the additional students, the opening of the necessary classes and the recruitment of a sufficient number of teachers? For my part, I think, like many of the people concerned, that this is insufficient, and I am already afraid, because it is known in advance, the recipe that you will apply: crowded amphitheater courses instead of directed work, during which teachers can precisely take the time to accompany the students; QCMs, as I recently heard from an economics student, in place of essays, comments or presentations. There's no need for upgrades here. The recipe also includes the call for individual contractors paid 30 euros per hour, and sometimes paid one year after the performance. Finally, the last magic ingredient of our recipes,...
ParlaMint-FR_2017-12-12-O1094.u326	Free the energies!
ParlaMint-FR_2017-12-12-O1094.u327	...to release the energies. The beautiful formula! While teachers, whether full-time or not, are on the verge of exhaustion, and you know that, Madam Minister, they will have to dedicate the few additional hours devoted to research to designing courses, MOOCs – online courses that are open to all and free of charge – modules, to analyzing files, writing reasoned answers, following guidance, etc. That is already the case. Madam Minister, ladies and gentlemen, when it is claimed that young people will succeed and excellence, all this is not reasonable.
ParlaMint-FR_2017-12-12-O1094.u328	On the contrary! It's a bad knowledge of universities, dear colleague!
ParlaMint-FR_2017-12-12-O1094.u329	On the orientation, which appears in the title of the text, if it does not appear in its content, what means do you plan to deploy with your partner the Minister of National Education? As a reminder, in my department, the Seine-Saint-Denis, which I often mention, one third of the IOC – information and guidance centres – have disappeared in ten years. ONISEP – the National Information Office on Teachings and Professions – has alerted us to these declines in human resources since 2013, as these services face a considerable increase in the number of calls since the announcement of this reform. Finally, there is no word in the text on the role of guidance counsellors and psychologists, which are essential on these issues. It seems that you prefer to make solutions with string tips. You propose, for example, to devote two weeks of the year to orientation; the beautiful business when you know that this is a process that is built in the long run. Another proposal is to appoint a second senior teacher per class, which already exists in the ex-ZEP – priority areas of education. The two principal professors will fill out the future sheets for which, by their own admission, they have not been prepared or trained. It's not serious either. Let's go back to this famous APB platform, which was unfairly blamed for the malfunctions of last year, because as you recalled, and everyone agrees, APB was working well. In 2015, 93% of the first wishes expressed were satisfied by the platform. What is missing, in fact, are simply places to adapt to the wishes of high school students. And these wishes are easily foreseeable: in 1996, they were already 35,000 candidates for 7,000 places in STAPS, the science and technology field of physical and sports activities. But it doesn't matter. In reality, replacing PDB with Parcoursup reduces the student's number of possible wishes from 24 to 10 while removing their ranking. Finished for high school students the classification strategies that opened up the prospect of obtaining at least one training at the closest to their aspiration. In addition, and in the latest news, this lack of hierarchy of wishes could lead to serious congestion in the final acquisition of training. Let us hope that these algorithmic problems will be resolved on January 15, according to your schedule, Minister.
ParlaMint-FR_2017-12-12-O1094.u330	It's ambitious!
ParlaMint-FR_2017-12-12-O1094.u331	In this regard, I would like to reiterate my astonishment: the law is not yet passed that teachers are already working on its implementation. How do we interpret this rush, this forced start? Would the democratic debate be purely formal? In any case, you're proving it here.
ParlaMint-FR_2017-12-12-O1094.u332	Exactly!
ParlaMint-FR_2017-12-12-O1094.u333	Beyond this denial of democracy, the hasty and powerless implementation of this law certainly organizes the cover-up, the confusion, the overload of work for all, and the success for no one. For this second reason alone, it would seem wiser to refer this law back to committee. However, we have a third reason to say no to this law: it is about the company project that inspires it and that it is working to build it. To understand this, I suggest you take a step back and look at the process of evolution of the university for about fifty years, starting from three quotations and a guess.
ParlaMint-FR_2017-12-12-O1094.u334	Ah! Nice!
ParlaMint-FR_2017-12-12-O1094.u335	First quote: "To the insufficient internal efficiency of the university, characterized by obviously unacceptable percentages of failure, is added the insufficient efficiency of the adjustment between the education system and working life. » Second quote: "It is currently worrying to see growing scepticism about our university degrees, while the prestige of the great schools, whose system is based on selection, is not only maintained, but is growing. » Third quote: "University: why so many failures? [...] Every year tens of thousands of young people are left on the roadside after spending a few months or years at university. While [the Minister] presented his plan for successful bachelor's degrees, the Student addressed the causes of massive failure at the university. » And here's the guess: when did these three quotations date?
ParlaMint-FR_2017-12-12-O1094.u336	The one on the LRU is 2007!
ParlaMint-FR_2017-12-12-O1094.u337	Respectively from 1968, 1973 and 2007. However, these lines could have been written yesterday by you, Madam Minister. Finally, for fifty years, governments have always made the same observation: the university is the broom car of higher education, it fails to insert graduates into working life, it generates abandonment and failure in the first cycle. And for fifty years, they have been applying the same recipes: selection, professionalization, "adequacy". This interpretation of the facts and remedies to be provided, which derives from a liberal vision of society, makes it possible in truth to justify reforms that gradually disengage the State. And this took place in two stages: first by setting up the autonomy of universities and their regionalisation, then, in an apparently contradictory movement, by grouping around poles of excellence. There is, however, a constant in this liberalizing process: the progressive entry of great capital into the academic world.
ParlaMint-FR_2017-12-12-O1094.u338	We were waiting for the big capital!
ParlaMint-FR_2017-12-12-O1094.u339	Yes, you have to call a cat a cat! [[Applause on the benches of the FI group]] Thus, from the desire for self-management of 68 to the autonomy promised by the Edgar Faure law, from pedagogical autonomy to self-management, dreams of freedom paved the way for widespread competition. And while the dismemberment of the national framework continues to accelerate, the law on the freedoms and responsibilities of universities, known as LRU, and project financing encourage institutions to set up themselves at high speed V in poles of excellence. The competition of all against all at the international level, between European countries, between regions, between universities, between fields and finally between students, this is the project of society that underlies this reform,...
ParlaMint-FR_2017-12-12-O1094.u340	Bravo!
ParlaMint-FR_2017-12-12-O1094.u341	...that's what leads us straight into the wall. We are also for excellence, but for all. We are also in favour of autonomy, but that which guarantees the student, through an allowance, to emancipate himself from family and financial constraints. That's what distinguishes us. The university must no longer – and I did not say "do not" – reproduce existing inequalities. It must enable everyone to flourish by realizing the path most in line with his or her aspirations. That is the progressive path of the twenty-first century. And that is the whole meaning of the amendments that we tabled at the sitting. For example, we will propose not to condition entry into the superior to a refresher. For us, it is only the result under examination that determines the relevance of the student's choice. Another amendment is to allow all, including fellows, to take a year out of university to carry out a professional or citizen project. This is also the meaning of the costed project that we carry for the university: total free of charge from the university, recruitment of 5000 teachers with tenure of the precarious, increase of the budget up to 2% of the GDP and autonomy allowance of 800 euros for the 18-25 year-olds subject to income condition. I will end by quoting an excerpt from Lepeletier de Saint-Fargeau's national education plan.
ParlaMint-FR_2017-12-12-O1094.u342	It's the guillotine!
ParlaMint-FR_2017-12-12-O1094.u343	I am not surprised by the words of such violence.
ParlaMint-FR_2017-12-12-O1094.u344	Please continue, dear colleague!
ParlaMint-FR_2017-12-12-O1094.u345	"Between equal citizens of the same republic, these various advantages of education must be distributed to all: for one can say, these nuances, when they exist, create incalculable differences, and establish too real inequalities between men. [...] Reducing the needs of indigence, reducing the superfluousness of wealth, is a goal to which all our institutions must strive [...]. » [[Applause on the benches of the FI and GDR groups]] This noble republican was not only addressed to the contemporaries of the 18th century; He spoke to all the lights of all the ages, to all the forces of progress that do not give up. And like Sisyphus, tirelessly, we will continue to realize these values every day. Sometimes forgotten in the meanderings of history, these are nevertheless the benchmark of our political project for the future.
ParlaMint-FR_2017-12-12-O1094.u346	All right!
ParlaMint-FR_2017-12-12-O1094.u347	The minister has the floor.
ParlaMint-FR_2017-12-12-O1094.u348	You know that, Madam Member, because we have discussed it: we are increasing the number of places available at the university. Thus, we plan to open an additional 20,000 places as of the start of 2018. You know that because we have discussed it: the choice of the sector will indeed be the responsibility of the student, because we are absolutely aware that motivation is an essential part of success. You know that because we have discussed it: we know since the year 2000 that a demographic peak will take place. However, I am certainly not among those in this House who were able to take decisions more than six months ago. As I have already had the opportunity to recall, I am not able to build gymnasiums in six months. I support universities that rent them in and around cities in order to increase the capacity of the science and technology fields of physical and sports activities – STAPS – but I do not know how to build gymnasiums in six months. There are probably people in this House who could have done so in the past, but unfortunately I am not. You estimate the failure rate at 24%, the dropout rate at 25% and the proportion of students competing at 11%. So we say the same thing: 30% of students pass their first year. On this point, we agree. You estimate the cost of a university year for a student at 10000 euros.
ParlaMint-FR_2017-12-12-O1094.u349	It's an investment for the future!
ParlaMint-FR_2017-12-12-O1094.u350	Of course, but a university year costs a student 10000 euros – you're the one who said so.
ParlaMint-FR_2017-12-12-O1094.u351	There's no autonomy allowance!
ParlaMint-FR_2017-12-12-O1094.u352	This year also represents an investment of 10000 euros for the company. Its cost therefore amounts to more than EUR 20000. [[Applause on the benches of the REM and MODEM groups and on a few benches of the UAI group]] With regard to my absolute respect for the parliamentary debate and the law, I will simply reply to you, Madam Member, that in any event the knowledge of the expected, the increase of the information available to future students and the accompaniment of their orientation will be that already! If this bill is not passed by Parliament, we will proceed next year, as this year, by lot, because I do not know how to build a university in six months. For all these reasons, I call for the rejection of this motion for referral to committee.
ParlaMint-FR_2017-12-12-O1094.u353	The rapporteur has the floor.
ParlaMint-FR_2017-12-12-O1094.u354	Mrs Rubin, I was delighted to hear that you were tabling a motion to refer the matter back to committee after the committee discussion, during which the members of your group did not make any proposals separate from those of the government bill and defended by the majority.
ParlaMint-FR_2017-12-12-O1094.u355	There are amendments, Mr rapporteur!
ParlaMint-FR_2017-12-12-O1094.u356	Indeed, you have tabled amendments aimed at removing the measures it provides for. We don't go very far like that! We have adopted one of your amendments to include in the law, among the missions of the university, the development and openness to the world. This is a very good measure and we have adopted it. On the other hand, what other solution does your presentation offer, dear colleague? I listened carefully, because I expected it, but I did not hear the draft alternative proposal.
ParlaMint-FR_2017-12-12-O1094.u357	There were!
ParlaMint-FR_2017-12-12-O1094.u358	[[Applause on the benches of the REM and MODEM groups]] I therefore come to a conclusion which disappoints me greatly, because objectively I did not expect it: you are in favour of drawing lots. Perhaps you consider this to be the most right solution in the end?
ParlaMint-FR_2017-12-12-O1094.u359	What do you escape from the notion of budgetary means?
ParlaMint-FR_2017-12-12-O1094.u360	With you, it's plague or cholera!
ParlaMint-FR_2017-12-12-O1094.u361	Perhaps you consider that the draw is fair, because it has at least the merit of placing everyone on an equal footing? If that is your conviction, you must assume it! Opposing the bill involves the continuation of the drawing of lots next year. You don't guarantee it! Say it clearly! You reduce the subject to a question of places, but you forget – as the minister has reminded you – that creating enough to welcome all the bachelors who request it from the beginning of 2018 implies opening at least three new universities. [[Applause on the benches of the REM and MODEM groups]] How do we do it? We're not in Asterix, Cleopatra mission! We don't have a magic potion! We can't create universities in six months! You have to say something a little realistic! You are therefore in favour of maintaining the draw, Mrs Rubin! You have to take responsibility for it! [[Applause on the benches of the REM group]] The real surprise of your speech – because there is one – is that it allows us to discover that you are opposed to accompanying devices intended for students with less baggage than others to succeed in higher education.
ParlaMint-FR_2017-12-12-O1094.u362	Thanks to the upgrade devices!
ParlaMint-FR_2017-12-12-O1094.u363	[[Applause on the benches of the REM group]] This is objectively a surprise! Mr Mélenchon said earlier – and you after him – that diplomas have something strict and rigid preventing them from modulating them, encouraging transdisciplinarity, allowing students to specialize gradually and be accompanied to university. As for students who arrive at university with a less extensive background than others, you are therefore opposed to the measures to provide them with educational support! Assume it! Say it clearly! However, I am not sure that your electorate fully supports this position! [[Applause on the benches of the REM and MODEM groups]] I would obviously call for the motion for referral back to committee to be rejected, and hope that the continuation of the debate will allow you to imagine proposals relating to our higher education, ladies and gentlemen of the La France group, allowing at least an end to the drawing of lots as soon as next autumn. Beyond our interest in the debates taking place in this Chamber, it is a matter of giving the bachelors and students what they deserve as early as 2018. You'll see!
ParlaMint-FR_2017-12-12-O1094.u364	On the motion to refer the matter back to committee, I am seized of a request for a public vote by the La France group. The vote is announced in the National Assembly. We come to the explanations of vote on this motion for referral to committee. The next speaker is Mr Régis Juanico, for the New Left Group.
ParlaMint-FR_2017-12-12-O1094.u365	The text contains measures which could bring together on all the benches of this Chamber – Sabine Rubin mentioned them – in particular those aimed at improving the prior orientation of students, better informing the students and better accompanying them in the framework of the "bac - 3/ baccalaureate + 3" system. The same is true of the provisions to combat undergraduate failure which provide for more time for some students to pass their course, including through a year of caesure. But these measures require budget resources to match them!
ParlaMint-FR_2017-12-12-O1094.u366	There!
ParlaMint-FR_2017-12-12-O1094.u367	The major challenge, the challenge we face, is to welcome 40,000 students from next year and 30,000 students each year until 2025. It is certainly not a question of opening three universities in six months, which is obviously impossible, but of creating a sufficient number of reception places. You are planning to create 20,000, Madam Minister: that is not enough! There is also a need to ensure a high level of teacher supervision, so that students are welcomed in good conditions. You plan to invest EUR 1 billion in five years, but it would take between EUR 500 million and EUR 1 billion each year for five years to finance measures to accommodate students in good conditions. We are in favour of stopping the draw, which Pascal Deguilhem and I had proposed for the STAPS as early as 2016 to our government. However, the device you are proposing for the voltage circuits is not acceptable. The possibility of a "yes, if" or a "no" introduces a sort of high school students through certain filters. This is a disguised selection, through discouragement, which will increase inequalities in access to higher education, to the detriment of lower- and lower-middle-class bachelors.
ParlaMint-FR_2017-12-12-O1094.u368	Visionary!
ParlaMint-FR_2017-12-12-O1094.u369	[[Applause on the benches of the FI group]] It may spread in oil stains to other channels over time and then become more widespread, as they will not have sufficient capacity and will be out of date. Thus, this selection system will gradually be extended to all tensioned circuits. In view of the fact that the reform of the PDB system obliges us to work urgently, I nevertheless call on the members of the New Left Group to vote on the motion to refer the matter back to committee.
ParlaMint-FR_2017-12-12-O1094.u370	Mr Loïc Prud'homme, for the Group of the European People's Party, has the floor.
ParlaMint-FR_2017-12-12-O1094.u371	Here we are at the heart of your project for the university, Madam Minister! Under the pretext of ending an unfair drawing of lots applied to the few fields most requested, it clearly introduces an unfair selection for entry into all fields of higher education. As our colleague Sabine Rubin recalled, he removes the fundamental right of every student – once he has obtained his baccalaureate, which is already a filter – to choose or explore his path. This bill is based on lies. Our system works better than the OECD average: the failure rate is 19% compared to an average of 30%. So how can we deny the obvious risk of discrimination? Your bill takes note of the end of the national baccalaureate. The original high school will be the first criterion – unconvinced – of selection. The next step will be to set up the fields of excellence, the university at two speeds and then the free registration fees. You take the problem backwards and you know it very well, Madam Minister. By 2025, an additional 40,000 students will apply for higher education each year, equivalent to the University of Nantes. What will we do with those who are slammed in the nose because they don't go to the best neighborhoods, so the best high schools? You don't know, and you don't care!
ParlaMint-FR_2017-12-12-O1094.u372	We don't care?
ParlaMint-FR_2017-12-12-O1094.u373	Or rather, you know too well: they will be confined to short lines. The solution is simple, but you do not want to see it blindly ideologically, or to hear it – obviously, the rapporteur has hearing problems! It consists of investing in research and higher education in order to devote 3% of GDP, such as Japan and Germany, to recruiting teachers and titularising individual contractors – in plain terms, to giving ourselves the means to welcome our young people! This is the price to pay to train tomorrow's minds in decent conditions and to end the precariousness of many teachers-researchers! [[Applause on the benches of the FI group]] Here you are concretizing the dream of a very old world, from Peyrefitte in 1968 to Devaquet in 1986, which failed to have such measures adopted in the face of the unanimous rejection of the population and youth of that time, which you have before you today, Madam Minister. You are implementing a funnel and social segregation policy. Know that for our children as for yours, we will demand a welcoming university, entirely dedicated to emancipation! We invite our colleagues to vote on the motion for referral to committee.
ParlaMint-FR_2017-12-12-O1094.u374	Mrs Elsa Faucillon has the floor for the Group of the Democratic and Republican Left.
ParlaMint-FR_2017-12-12-O1094.u375	I call on Mr Attal to vote on the motion for referral back to committee with the members of my group, because he is still hungry for proposals that we could make in favour of a university for all! If he still has many hours to spend on this matter, we propose that he come back to the committee where we will make our many proposals!
ParlaMint-FR_2017-12-12-O1094.u376	Bravo!
ParlaMint-FR_2017-12-12-O1094.u377	More seriously, the reason why we voted to refer the text back to committee is the need to work on an ambitious bill that will make it possible for everyone to succeed and for everyone to be emancipated. In your remarks, Madam Minister, rapporteur, I hear a confession of failure: we cannot build three universities right away, you say! Of course, the PDB system had to be discontinued. On this point, we agree. However, while you say that the bill does not introduce any selection at university, you limit the number of places. So we are waiting for you to assume that this is a selection bill!
ParlaMint-FR_2017-12-12-O1094.u378	No, no, no, no, no, no, no,
ParlaMint-FR_2017-12-12-O1094.u379	It's your turn to take over!
ParlaMint-FR_2017-12-12-O1094.u380	In this regard, my ears have suffered to hear Pierre Bourdieu, author of La distinction, cite to justify a bill of selection that we know will accentuate social reproduction, therefore inequalities.
ParlaMint-FR_2017-12-12-O1094.u381	That's exactly the opposite!
ParlaMint-FR_2017-12-12-O1094.u382	Even if this one is not exactly observable at all times, you know how much the principle of selection blocks imaginations and possibilities, Madam Minister!
ParlaMint-FR_2017-12-12-O1094.u383	It is above all your imagination that is blocked!
ParlaMint-FR_2017-12-12-O1094.u384	This text will be a powerful accelerator of inequalities.
ParlaMint-FR_2017-12-12-O1094.u385	That's exactly the opposite!
ParlaMint-FR_2017-12-12-O1094.u386	[[Applause on the benches of the GDR and FI groups]] We will therefore vote on the motion to refer the matter back to committee.
ParlaMint-FR_2017-12-12-O1094.u387	Mrs Cécile Rilhac, on behalf of the Group of the European People's Party, has the floor.
ParlaMint-FR_2017-12-12-O1094.u388	Madam President, Madam Minister, the chairman of the committee, the rapporteur, the draftswoman for opinion, ladies and gentlemen, we are starting today to consider the bill on guidance and, above all, on student success. The words I've heard for a while are simply "you don't do" and "you don't know the notion of success." Currently, 60% of students fail. The provisions that we bravely try to put in place are not only to combat the drawing of lots, but also to promote student success. I would like to recall the eloquent observation made in the first cycle of higher education: only 40% of students are in the second year of their studies.
ParlaMint-FR_2017-12-12-O1094.u389	Free the energies!
