ParlaMint-FR_2017-11-14-O1054.u1	The next item is the discussion, for final reading, of the 2017 amending finance bill (No. 379).
ParlaMint-FR_2017-11-14-O1054.u332	Mr Gérard Collomb, Minister of State, has the floor.
ParlaMint-FR_2017-11-14-O1054.u333	Mr President, I believe that you have given us an initial answer to our difficulties, as we will see during the examination of the amendments. What did you say? That perhaps there is a general lack of reflection on a reform that everyone considers essential. Everyone thinks it is necessary, yes, but everyone is trying to shape it so that it can benefit its kind of community. We will see this when we consider the amendments: a series of amendments often correspond to a series of communes or other local and regional authorities that could almost be named one after the other!
ParlaMint-FR_2017-11-14-O1054.u334	Lyon!
ParlaMint-FR_2017-11-14-O1054.u335	It can be seen as a sign of very specific concerns.
ParlaMint-FR_2017-11-14-O1054.u336	It's called free administration.
ParlaMint-FR_2017-11-14-O1054.u337	On the day when the associations of local and regional authorities agree on a number of joint proposals, and agree to try to think both of the diversity of the territories and of their complementarity, there may be a real tax reform on that day. I certainly hope that the Richard-Bur mission will make real proposals and not only juxtapose conflicting interests. [[Applause on the benches of the REM and MODEM groups]] This is the real reform of local taxation that we must undertake today. You Members of Parliament, whatever benches you sit on, go ahead! Think, make proposals, make that France finally has a real local tax!
ParlaMint-FR_2017-11-14-O1054.u338	We conclude the questions with that of the New Left Group. Mr Olivier Dussopt has the floor.
ParlaMint-FR_2017-11-14-O1054.u339	Local authorities, as the Court of Auditors says, have been the only public actors in the last three years to have met their commitments, sometimes voluntarily, to reduce public expenditure. These same communities have allowed the public deficit to decline, particularly in 2017. These efforts could have been rewarded, and the relative stability of the DGF or investment endowments could have been seen as such a reward. Unfortunately, all this is accompanied by a sense of distrust, particularly with regard to the efforts that are still being requested, and by questions about the very structure and fragility of the budget before us. The positive measures that were presented and that you recalled earlier, Minister of State – an increase in the allocation of urban solidarity, the allocation of rural solidarity and the allocation to communities hosting biometric boundaries for the publication of secure titles – are, of course, of interest to those who will benefit from them, but they are funded in the gilded envelope, at constant scope and by the increase in the rate of reduction of adjustment variables, as has unfortunately been the case for a long time. This year, a special element has been added to this increase in the rate of reduction of adjustment variables: the extension of these same adjustment variables to the allocation of compensation for the reform of the vocational tax, which is perceived by the most economically fragile territories.
ParlaMint-FR_2017-11-14-O1054.u340	All right.
ParlaMint-FR_2017-11-14-O1054.u341	Mr. Minister of State, my question is simple: your colleague, Minister of Public Action and Accounts, made a commitment, by the second reading, to resolve this issue by providing a solution in order to avoid a counter-perceived effect on the integration of DCRTP into adjustment variables. Where are we today? More broadly, the systematic extension of the scope of adjustment variables, the systematic increase in adjustment variables, raises the question of the viability of our local government financing model.
ParlaMint-FR_2017-11-14-O1054.u342	That's right.
ParlaMint-FR_2017-11-14-O1054.u343	I am a member of the Richard-Bur mission mentioned earlier, which is responsible for making proposals to recast the entire financing of local authorities and to address the reform of local taxation. It would be useful to know the position of the Government, and of your department in particular, on the possibility of introducing community funding legislation, so as to improve the readability, visibility and predictability, at least for the fiscal year, of community finances.
ParlaMint-FR_2017-11-14-O1054.u344	That's a good idea.
ParlaMint-FR_2017-11-14-O1054.u345	Mr Gérard Collomb, Minister of State, has the floor.
ParlaMint-FR_2017-11-14-O1054.u346	Mr President, you are raising the question of DCRTP, which has so far not affected the communal bloc and which is now down by €232 million.
ParlaMint-FR_2017-11-14-O1054.u347	It's the incendiary talking.
ParlaMint-FR_2017-11-14-O1054.u348	You know that the payment appropriations provided for in programme 119 for allocations and investments increase by EUR 244 million to the municipal block.
ParlaMint-FR_2017-11-14-O1054.u349	They are not the same beneficiaries.
ParlaMint-FR_2017-11-14-O1054.u350	There is therefore no overall decline: the proposed system is balanced. The second part of your question was about the interest of voting each year for a special finance law for local authorities only. For my part, as a former president of a metropolis and former mayor of a large commune, I would think twice about it.
ParlaMint-FR_2017-11-14-O1054.u351	Lyon again!
ParlaMint-FR_2017-11-14-O1054.u352	Indeed, I have seen the difficulties of a number of our German colleagues, who are obliged to go to the federal government every year to negotiate their credits. If we go this way, you'd risk having limits imposed on you every year. This would eliminate the financial autonomy to which we are extremely attached and for which I will always fight, because it is better to have the possibility to collect a number of local taxes than to make expenditure at national level.
ParlaMint-FR_2017-11-14-O1054.u353	It's a height!
ParlaMint-FR_2017-11-14-O1054.u354	That's not the point!
ParlaMint-FR_2017-11-14-O1054.u355	The housing tax should not be abolished!
ParlaMint-FR_2017-11-14-O1054.u356	[[Applause on a few benches of the REM group]] This is in any case the position that I, for my part, will defend in the future.
ParlaMint-FR_2017-11-14-O1054.u357	We're done with the questions.
ParlaMint-FR_2017-11-14-O1054.u358	I call the appropriations of the mission "Relationship with local and regional authorities", listed in state B. On these appropriations, I have several amendments before me. Mrs Pires Beaune has the floor to support Amendment No. 1464.
ParlaMint-FR_2017-11-14-O1054.u359	This amendment, which I mentioned earlier, proposes to transfer 70 million, in commitment authorisations and payment appropriations, from the programme "Specific assistance and administration" to the programme "Financial assistance to local authorities and their groups". It is a question of parallelism of forms: since last year we had 150 million euros for 15 metropolises, this year we need 70 million euros for 7 metropolises. All we would do would be to respect the words of the Prime Minister and the Minister of State, the Minister of the Interior, who had committed themselves to giving new cities credits equivalent to those of the previous fifteen. Or you should not create the additional metropolises! They were. In fact, I had not signed the amendment to create the metropolis in my department. These metropolises, therefore, must be treated fairly. There's no reason not to dart those 70 million. In particular, prefects should not contract using DSIL money, the amount of which is already not very large.
ParlaMint-FR_2017-11-14-O1054.u360	Exactly!
ParlaMint-FR_2017-11-14-O1054.u361	Mr Christophe Jerretie, Special Rapporteur of the Committee on Finance, the General Economy and Budgetary Control, has the floor to give the Committee's opinion.
ParlaMint-FR_2017-11-14-O1054.u362	Mrs Pires Beaune, last year was indeed decided to create seven additional metropolises, but they do not have the "urbanistic" vocation of being real metropolises. This has therefore not been taken into account in the DSIL. If a specific envelope were provided for these metropolises, it would be to the detriment of the others, or these appropriations would be taken from other programmes, in particular the one involving the endowments of the former parliamentary reserve and the allocations for the overseas. The committee gave an unfavorable opinion on this amendment.
ParlaMint-FR_2017-11-14-O1054.u363	What is the Government's opinion?
ParlaMint-FR_2017-11-14-O1054.u364	Of course, I agree with the rapporteur. Mrs Pires Beaune, we could create infinity metropolises, and equip them in just as infinite a way: what sense would that have?
ParlaMint-FR_2017-11-14-O1054.u365	These metropolises have already been created!
ParlaMint-FR_2017-11-14-O1054.u366	For me, the real metropolises are those that allow France to stand up to comparison with the major European metropolises.
ParlaMint-FR_2017-11-14-O1054.u367	That's not the point! These metropolises exist!
ParlaMint-FR_2017-11-14-O1054.u368	[["Ah! Lyon! » on the benches of the LR group]] This gives them a number of responsibilities. Thus, when we created the metropolis of Lyon, we brought together an urban community and a department.
ParlaMint-FR_2017-11-14-O1054.u369	A bit of a department, a bit of a department.
ParlaMint-FR_2017-11-14-O1054.u370	Let me remind you that in compensation, we pay the Department 72 million a year!
ParlaMint-FR_2017-11-14-O1054.u371	It was 100 million!
ParlaMint-FR_2017-11-14-O1054.u372	If all the metropolises did the same and took over not only their own territory, but also the peripheral territories, then perhaps the contradiction between urban and rural territories would have been removed a little.
ParlaMint-FR_2017-11-14-O1054.u373	It will be the metropolization of rural areas!
ParlaMint-FR_2017-11-14-O1054.u374	[[Applause on a few benches of the REM group]] That's why I'll be fighting in the next few years.
ParlaMint-FR_2017-11-14-O1054.u375	Mr Sebastien Jumel has the floor.
ParlaMint-FR_2017-11-14-O1054.u376	We will not support this amendment because we consider metropolitan areas to be catch-all territories, that they are often a pretext for accelerating the move of the territory, which we denounce. I would like to emphasize once again, but calmly, the clarity of the government project: a state crunched over its regal functions, which renounces its protection of the territories and its role as a strategist; regions transformed into Länder; metropolises that serve to accelerate, accentuate and precipitate the end of the departments – the example of Lyon is eloquent from this point of view. In the end, what you are proposing to us, Minister of State, this ongoing dialogue with the municipalities, is the equivalent of the contracts for returning to financial balance for public hospitals, which have led to the effective supervision of health facilities – just as you are recommending that the communities with which you will contract be placed under supervision. You know very well that your project is an important infringement of the constitutional principle of the free administration of local authorities.
ParlaMint-FR_2017-11-14-O1054.u377	Yes!
ParlaMint-FR_2017-11-14-O1054.u378	[[Applause on the benches of the GDR and FI groups, as well as on several benches of the LR group]] To circumvent this obstacle, you tell the mayors that they will have the opportunity to continue to levy the tax – but if they do, they will not get any additional revenue. It is mocking the mayors, and it is a way of asserting, on the eve of the congress of mayors, that we will end the assassination of the communal fact.
ParlaMint-FR_2017-11-14-O1054.u379	Mrs. Christine Pires Beaune has the floor.
ParlaMint-FR_2017-11-14-O1054.u380	[["Yes! » on the benches of the LR group]] Minister of State, the metropolises, in fact, exist! They were created! So there's a problem. Either you put everyone on an equal footing and you add money for the new metropolises, or you share the 150 million envelope between the twenty-two metropolises. But you can't say we have seven new metropolises, but we don't care, they're not like the others, they won't have anything!
ParlaMint-FR_2017-11-14-O1054.u381	He said they weren't real metropolises...
ParlaMint-FR_2017-11-14-O1054.u382	What's a real metropolis?
ParlaMint-FR_2017-11-14-O1054.u383	Mr Marc Fesneau has the floor.
ParlaMint-FR_2017-11-14-O1054.u384	Mrs Pires Beaune, I would like you to say that the ways and means of financing these seven new cities are not planned, but it is not up to us to complain! At the time these metropolises were created, no one ever wondered!
ParlaMint-FR_2017-11-14-O1054.u385	They didn't exist yet!
ParlaMint-FR_2017-11-14-O1054.u386	They're new metropolises!
ParlaMint-FR_2017-11-14-O1054.u387	As you have pointed out with some honesty, we can ask ourselves questions about these metropolises that were created without ever questioning their financing and status. [[Exclaims on the benches of the LR group, as well as on the benches of the NG and GDR groups]] Finally, I would like to alert all colleagues about a tropism that we all have: the communities of communes dream of being communities of agglomeration, the communities of agglomeration themselves dream of being urban communities... In short, everyone is trying to climb a ladder! Why? Because there is sometimes a boon effect, on DGF or subsidies.
ParlaMint-FR_2017-11-14-O1054.u388	Not at all!
ParlaMint-FR_2017-11-14-O1054.u389	That's the mechanism you're proposing. Every time we change the step, the staffing increases! For my part, I'd like us to stop...
ParlaMint-FR_2017-11-14-O1054.u390	Oh, yes, it's time to stop, Mr. Fesneau!
ParlaMint-FR_2017-11-14-O1054.u391	...this scallop race. [[Applause on the benches of MODEM and REM groups. – Exclaims on the banks of the NG Group and the LR Group]] I wish one day there were only communities of communes, or call it as you wish, instead of four categories of IEP. One category is enough, not worth doing gradations, especially financial ones!
ParlaMint-FR_2017-11-14-O1054.u392	Oh, that's interesting!
ParlaMint-FR_2017-11-14-O1054.u393	Mr Olivier Dussopt has the floor.
ParlaMint-FR_2017-11-14-O1054.u394	At the moment, some arguments would be worth a little more serious.
ParlaMint-FR_2017-11-14-O1054.u395	That's right!
ParlaMint-FR_2017-11-14-O1054.u396	When, in 2016, we decided, at the request of most of the elected representatives concerned, to create seven metropolises – Clermont-Ferrand, Dijon, Metz, Orléans, Saint-Étienne, Toulon and Tours – we wrote in the law that this creation would be effective on January 1, 2018. Sorry, Mr.Fesneau, but at the time, we were not reviewing the 2018 Finance Bill! Similarly, at the time of the adoption of the NOTRE law in 2015, we had specified that by 1 January 2017 the new departmental schemes for intercommunal cooperation, with communities of communes that would become urban communities, would come into force. I don't think that at the time you blamed the government for not planning to finance the rise in power of certain intercommunities! And some, you know, have benefited from the financing of this rise in power, which was insured in the Finance Act for 2017. Today, we are on the eve of the creation of the new metropolises and the logic is that the finance bill for 2018 would provide the same funding conditions as for the metropolises created in 2016.
ParlaMint-FR_2017-11-14-O1054.u397	I call Mr Pupponi to support Amendment No. 1420.
ParlaMint-FR_2017-11-14-O1054.u398	[["It's a show! » on the benches of the LR group]] Over the past 24 hours, the President of the Republic has been making major announcements on the city's policy. We can only be in favour of this: to increase from 5 billion to 10 billion the appropriations of the National Agency for Urban Renewal, to generalize free jobs, to launch testing operations in certain neighbourhoods... However, having had the opportunity to meet with him yesterday, I told him that between his statements and his actions as they come out of the finance bill, there is a huge difference.
ParlaMint-FR_2017-11-14-O1054.u399	Oh, my God! It's the same on every subject!
ParlaMint-FR_2017-11-14-O1054.u400	I challenge you to contradict me, Minister of State – and if you want to do so, you will have to bring us the simulations we have requested. If we take the 150 poorest municipalities in France, those that are eligible for the DSU target, I assure you that if the finance bill is not amended, they will see their revenues decline in 2018. This would be the first time in ten years, as all this time, thanks to vertical and horizontal equalization and the VPD, and as all other communities saw their staffing decline, these municipalities are seeing their revenues increase. Why am I convinced of this? You have to look at what's growing. The DSU earns 90 million euros. But this is the first year that FPIC and FSRIF are stagnating. As for the DPV, you post it at 150 million euros, but you only expect 100 million payment credits! Fifty million less, now! I don't think that's a good measure. On the same day as the President of the Republic says that he wants to take care of the suburbs, his majority plans to cut by 50 million euros the payment appropriations of the DPV, intended for the poorest municipalities!
ParlaMint-FR_2017-11-14-O1054.u401	He's in a bad position to say that, but he's right!
ParlaMint-FR_2017-11-14-O1054.u402	Minister of State, I am making a twofold proposal: to increase the budget from 150 million to 200 million; and if you refuse this first amendment, enter the 150 million that are promised to these poor municipalities in payment credits, and spend them as early as 2018.
ParlaMint-FR_2017-11-14-O1054.u403	All right!
ParlaMint-FR_2017-11-14-O1054.u404	What is the opinion of the committee?
ParlaMint-FR_2017-11-14-O1054.u405	Mr Pupponi, we have already had this debate in committee, and we do not have the same opinion. That of the committee is unfavorable. In 2015, there were EUR 100 million in commitment authorisations; Last year, 150 million; This year, another 150 million. The DPV is intended for projects: the time to set up a project and consume it, you have to count a year! Beyond that, you are well aware that payment credits are never fully consumed: we're about 80 million each year. I therefore think that payment appropriations should be left to the tune of 100 million, given all that will be programmed through the VPD. The DPV is not the DSU, even if some components overlap. Given your knowledge of the subject, I have the impression that you are deliberately mixing the two. The VPD is a payment credit or commitment for projects: projects studied, made and that will succeed. We only pay when they're finalized. [[Applause on a few benches of the REM group]] Finally, it should not be said that the appropriations are decreasing, since the allocation of commitment authorities is retained, and that it is then which allows the commitment of payment appropriations, which can be abounded in the middle of the year if necessary. For the time being, since its existence, this allocation has never been consumed in payment credits.
ParlaMint-FR_2017-11-14-O1054.u406	That's the problem!
ParlaMint-FR_2017-11-14-O1054.u407	What is the Government's opinion?
ParlaMint-FR_2017-11-14-O1054.u408	Mr Pupponi, the rapporteur's arguments are quite valid. We refer to appropriations which are used to finance actions which must have been committed. However, as you know, this is not always the case. As the rapporteur has pointed out, you are confusing between the DPV and the DSU, which, overall, is increasing to take into account the poorest municipalities. In recent years, the target of the DSU has been reduced: a number of municipalities have moved out so that only the poorest municipalities can reach more, in order to compensate for their handicap. All this implies, once again, global projects, not organised jointly by communes. It is indeed within a global framework, that of the agglomeration or the metropolis for example, that one can rethink the city and the social mix – which must be the objective of the politics of the city that we lead.
ParlaMint-FR_2017-11-14-O1054.u409	Mr François Pupponi has the floor.
ParlaMint-FR_2017-11-14-O1054.u410	Mr Minister of State, Mr Special Rapporteur, I am very surprised by your answers. The political endowment of the city, it was we who invented it! In fact, it is a grant that the prefects give on file. What happens every year, and again this year? While 150 million were available in June, 75 million were taken over by the prefects and not distributed! It's the prefects who don't distribute that money! The files are filed with the prefectures, and the prefects do not allocate the subsidies! For more than five years I have had the experience of this practice, I can talk about it! I have tabled an amendment to make it a real endowment, which will be allocated to the municipalities at the beginning of the year and which they will have to spend. But today it is the prefects who block, Minister of State! Honestly, I practiced it!
ParlaMint-FR_2017-11-14-O1054.u411	We both practiced it, Mr. Pupponi!
ParlaMint-FR_2017-11-14-O1054.u412	In the finance bill, you anticipate that only $100 million will be spent. But the plans are coming, Minister of State, and I'm willing to bet they will rise to 150 million! On the day when the President of the Republic announces major measures for the suburbs, I do not think it is a good policy to abolish 50 million payment credits for the poorest cities.
ParlaMint-FR_2017-11-14-O1054.u413	Mr Sebastien Jumel has the floor.
ParlaMint-FR_2017-11-14-O1054.u414	All the arguments put forward by Mr Pupponi bear our conviction. That is why we will vote for this amendment. [["Congratulation! »on the benches of the LR group]] I also want to give testimony from a mayor who has used the DPV for many years. First of all, I stress that mayors are usually asked at the end of June, with an obligation to respond for the very beginning of July, to calls for projects which are in the hands of the prefects.
ParlaMint-FR_2017-11-14-O1054.u415	Yes!
ParlaMint-FR_2017-11-14-O1054.u416	He's right!
ParlaMint-FR_2017-11-14-O1054.u417	The conditions for the installation of the files therefore generate in themselves arbitrations, calibrations and rationings that you propose to institutionalize by planing the payment credits. On the other hand, Mr Minister of State, with all due respect, saying that these projects will now have to incorporate a more global, more inter-communal vision is evidence of a real lack of knowledge of the territories.
ParlaMint-FR_2017-11-14-O1054.u418	All right? Come and see the metropolis of Lyon! We'll compare what I've done with what you've done!
ParlaMint-FR_2017-11-14-O1054.u419	[[Applause on several benches in the LR group]] In my territory, I have three sensitive urban neighbourhoods. And Lyon, Minister of State, is not the center, the lighthouse of France! The face of France is multiple! There are territories that have intelligence and projects, that know how to set up issues and that deserve as much attention as the Lyon capital. We have filed records of VPDs in intercommunities that have municipalities without neighbourhoods under city politics. How can we ask rural municipalities to give their opinion, without intercommunality, on sensitive urban areas when only the central city is concerned?
ParlaMint-FR_2017-11-14-O1054.u420	Thank you, Mr. Jumel...
ParlaMint-FR_2017-11-14-O1054.u421	The totality you're talking about is not possible in real life!
ParlaMint-FR_2017-11-14-O1054.u422	All right!
ParlaMint-FR_2017-11-14-O1054.u423	Has Amendment No 1421 been defended, Mr Pupponi?
ParlaMint-FR_2017-11-14-O1054.u424	Yes, Mr. President.
ParlaMint-FR_2017-11-14-O1054.u425	So I'll put it to the vote...
ParlaMint-FR_2017-11-14-O1054.u426	We have called for a public vote on this amendment!
ParlaMint-FR_2017-11-14-O1054.u427	It must be done in time, my dear colleague!
ParlaMint-FR_2017-11-14-O1054.u428	We did.
ParlaMint-FR_2017-11-14-O1054.u429	On Amendment No 1421, I therefore have a request from the New Left Group for a public vote. The vote is announced in the National Assembly. ............................................................................................................. I shall now put Amendment No 1421 to the vote.
ParlaMint-FR_2017-11-14-O1054.u430	Mr Yves Daniel has the floor to support Amendment No. 1311.
ParlaMint-FR_2017-11-14-O1054.u431	I will withdraw this amendment on civil sponsorship, because its wording does not correspond to the objectives we set ourselves. I would point out very simply that in 2016 we voted for an amendment on Republican sponsorship. The Senate had taken it over, and then it had been retaliated by the Constitutional Council. In short, I will resubmit this amendment in another legislative vehicle.
ParlaMint-FR_2017-11-14-O1054.u432	All right.
ParlaMint-FR_2017-11-14-O1054.u433	I call Mrs Emmanuelle Ménard to support Amendment No. 630.
ParlaMint-FR_2017-11-14-O1054.u434	The aim is to transfer 551826 euros from programme 122 to programme 119 – symbolic operation required by article 40. On 22 March 2017, Emmanuel Macron, in the midst of an electoral campaign, exclaimed to the Association des mayores de France: "I really want the commune to remain the reference level of our institutional organisation." We want to trust him, but the least we can say is that local authorities are dubious. Not a week goes by without an elected official, a mayor or a departmental association expressing his fear, with in the viewer the eventual abolition of the housing tax for 80 per cent of the taxpayers, suppression compensated by a reduction taken over by the State to the cent, if one believes the head of State. But, as I recall again, in 2017, the housing tax amounted to 20 billion euros for the municipalities, or 36% of their tax revenues. The municipalities are concerned about public money, since from 2005 to 2015 their expenditure increased by 22 per cent, compared with 32.5 per cent for the departments and 53.7 per cent for the regions. The purpose of this amendment, of which I recall the symbolic nature, is simple: not to deprive the communes, "the reference level of our institutional organisation" in the words of the Head of State, of the funding that makes them effective and popular with our fellow citizens.
ParlaMint-FR_2017-11-14-O1054.u435	What is the opinion of the committee?
ParlaMint-FR_2017-11-14-O1054.u436	A symbolic amendment, my dear colleague, which calls for some answers anyway. Contrary to what is said, I do not think that the communes are completely abandoned. We are quite aware of what is happening for the communities: with 40 billion global allocations, the envelope, it seems to me, has remained stable, except for the fraction of VAT which has evolved for the region and which leaves, of course, on the tax levy. Beyond that, communities are pretty well served this year, or at least have something to be satisfied with, including on the TVCF and investment endowments.
ParlaMint-FR_2017-11-14-O1054.u437	You mustn't exaggerate either!
ParlaMint-FR_2017-11-14-O1054.u438	Finally, remember that the housing tax relief – and the words have a meaning, as the Minister of State has said – involves full compensation. Unfavorable opinion.
ParlaMint-FR_2017-11-14-O1054.u439	What is the Government's opinion?
ParlaMint-FR_2017-11-14-O1054.u440	I would not have supported a simple compensation measure. If, during the election campaign, the President of the Republic spoke of a discount, it is because we wanted to be sure that the State's financing of the loss of profits represented by the exemption from housing tax would be included in the duration. Earlier, I explained the mechanisms at stake. I do believe that this is something important, because it allows the financial autonomy that we want to guarantee. As I said earlier, mayors will retain rate power. You said it makes them popular: you can have a different appreciation... I've always believed that campaigns are being conducted against tax increases. If, now, they make mayors popular, obviously, it changes the deal!
ParlaMint-FR_2017-11-14-O1054.u441	Mr. Minister of State is teasing!
ParlaMint-FR_2017-11-14-O1054.u442	Mr Olivier Dussopt has the floor.
ParlaMint-FR_2017-11-14-O1054.u443	Minister of State, I would like to ask you a question that the Minister for Budget has not answered. You say that the housing tax exemption will be treated as a relief, and that's a good thing: the rebate is the best way to offset a tax revenue lost by the communities, since it is ultimately a substitution of the state to the local taxpayer. The question is, in fact, whether you can commit yourself to the long-term registration of the compensation paid by the State under the relief scheme.
ParlaMint-FR_2017-11-14-O1054.u444	That's the whole question!
ParlaMint-FR_2017-11-14-O1054.u445	I ask you this question on purpose, because there are two contrary examples. In 2000, the then government abolished the regional share of the housing tax. This was compensated to the communities, in this case to the regions, in the form of a discount. In 2001, it became a simple compensation. In a more recent era, as you and I voted the budget in different chambers, we dealt with the exemption of the most modest retirees, one year off, and the next one off, with a change in the tax roles of the communities quite unpredictable.
ParlaMint-FR_2017-11-14-O1054.u446	Excellent remark!
ParlaMint-FR_2017-11-14-O1054.u447	It would therefore be useful for the Assembly if you made a commitment that the discount method should be applied well for several years, not only during the years of the reform or, worse, only in 2018.
ParlaMint-FR_2017-11-14-O1054.u448	Of course, that's where the trap is! The Minister of State will not commit, it's obvious!
ParlaMint-FR_2017-11-14-O1054.u449	Mr Laurent Furst has the floor.
ParlaMint-FR_2017-11-14-O1054.u450	I was a little shocked by the statement made by the Special Rapporteur. So, communities are well treated? I would remind you that for five years in a row, staffing in communities has declined sharply. Communities manage the daily life, and the state, overall, the regalian. They provided, or assured, three quarters of public investment in France. However, there has been a real collapse of public investment, amounting to 25 to 30 per cent, as a result of the decline in allocations.
ParlaMint-FR_2017-11-14-O1054.u451	That's right!
ParlaMint-FR_2017-11-14-O1054.u452	This year's budget generally stabilizes this situation.
ParlaMint-FR_2017-11-14-O1054.u453	Exactly!
ParlaMint-FR_2017-11-14-O1054.u454	After the purging of the local communities, how can you say that they are well treated? We may interrupt, we may mitigate a deterioration that has profoundly affected the lives of communities and their ability to invest. Do you know how long it takes in France to renew water and sanitation systems? At the current rate of investment, it would take one hundred and thirty years! Our departmental and communal roads, ladies and gentlemen, are ageing prematurely, because many communities no longer have the means to maintain their heritage.
ParlaMint-FR_2017-11-14-O1054.u455	That's right!
ParlaMint-FR_2017-11-14-O1054.u456	[[Applause on the benches of the LR group]] So to say that communities are well treated, I think, Mr Special Rapporteur, that this is at least a small mistake.
ParlaMint-FR_2017-11-14-O1054.u457	All right!
ParlaMint-FR_2017-11-14-O1054.u458	Mr Philippe Gosselin has the floor for a brief statement...
ParlaMint-FR_2017-11-14-O1054.u459	In fact, communities may be less poorly treated in this budget, but in reality, it follows years of diet for them. Today, a "mini-signal" may be sent, but for one thing, it's communication, and for the rest, let me have the expression, it's flan!
ParlaMint-FR_2017-11-14-O1054.u460	But what were you proposing?
ParlaMint-FR_2017-11-14-O1054.u461	Your silence on Mr. Dussopt's question about the commitment of the Government, Mr. Minister of State, is quite eloquent.
ParlaMint-FR_2017-11-14-O1054.u462	I'll answer it!
ParlaMint-FR_2017-11-14-O1054.u463	I stop for a moment on the housing tax because it's a real question – it's even the heart of the subject. Of course, you've planned a discount. Of course, its removal will have less weight for many of our fellow citizens. But to say that 80% of them will no longer pay it, to keep talking about "80-20", is to get the numbers out of a hat! It's a national number! You know very well that, given the rate of income tax liability, it is not 80% of taxpayers who will be exempt in some municipalities but 100%!
ParlaMint-FR_2017-11-14-O1054.u464	Yes!
ParlaMint-FR_2017-11-14-O1054.u465	All right, good for them. So you compensate by "rebate." Everyone here has grasped the nuance: a discount calls for compensation to the nearest euro. But the question of Olivier Dussopt is indeed excellent: how long will the discount regime be applied? It risks becoming a simple compensation, which will also impoverish communities, which have already made a lot of efforts over the past several years.
ParlaMint-FR_2017-11-14-O1054.u466	Stop!
ParlaMint-FR_2017-11-14-O1054.u467	They renegotiated their insurances, ragged on the quality of the roads,...
ParlaMint-FR_2017-11-14-O1054.u468	Thank you, my dear colleague...
ParlaMint-FR_2017-11-14-O1054.u469	[[Applause on the benches of the LR group]] ...cut public lighting much earlier... But today, they are exsanguous.
ParlaMint-FR_2017-11-14-O1054.u470	The next speaker is the Minister of State.
ParlaMint-FR_2017-11-14-O1054.u471	Clear question, clear answer!
ParlaMint-FR_2017-11-14-O1054.u472	I appreciate Mr. Dussopt's quality and sharing with him: continuity in ideas. At the time, as you said, we both sat in the majority,...
ParlaMint-FR_2017-11-14-O1054.u473	[[Smile]] Yes, and you were both socialists too!
ParlaMint-FR_2017-11-14-O1054.u474	... and we took part in joint press conferences, with Mr Baroin, to denounce a decline in the allocations that we considered unfair. And it is because I still think that this decline is unfair that the process chosen in Emmanuel Macron's program allows communities to manage how they reduce public spending. [[Exclaims on the benches of the LR group]] This process, I think, will be maintained for a long time. In any case, I can assure you that, if one day were to call him into question, I would no longer sit on the benches of the Government because that would be in contradiction with the commitment we made to the voters.
ParlaMint-FR_2017-11-14-O1054.u475	You eat your hat!
ParlaMint-FR_2017-11-14-O1054.u476	You didn't commit!
ParlaMint-FR_2017-11-14-O1054.u477	[[Applause on the benches of the REM group and on several benches of the MODEM group. – New exclamations on the banks of the LR group]] And we keep our commitments!
ParlaMint-FR_2017-11-14-O1054.u478	On the appropriations of the mission "Relationship with local authorities", I am seized by the Group of the Democratic and Republican Left of a request for a public vote. The vote is announced in the National Assembly. I have two identical amendments before me, Nos 1454 and 1422. I call Mr Michel Castellani to support Amendment No. 1454.
ParlaMint-FR_2017-11-14-O1054.u479	This amendment aims to abound Action 01 "Exceptional aid to local and regional authorities" under Programme 122. This request may seem singular, I admit, but the situation in Corsica is exceptional in terms of climate. Indeed, we are faced with a disastrous drought: October, the month of the maximum rainfall, did not see any drop of water falling. And this is the case on vast spaces, for several months. We all know, François Pupponi like me, farmers in great difficulty, some of whom have been destroyed by fires. With no more pasture, they are forced to import fodder and their crops are falling. The purpose of this amendment is therefore to grant exceptional aid to the community of Corsica, subject to the justified pressure of these professionals.
ParlaMint-FR_2017-11-14-O1054.u480	I call Mr Pupponi to support Amendment No. 1422.
ParlaMint-FR_2017-11-14-O1054.u481	He's being defended, Mr. President.
ParlaMint-FR_2017-11-14-O1054.u482	What is the opinion of the committee on these identical amendments?
ParlaMint-FR_2017-11-14-O1054.u483	Unfavorable opinion. A commitment authorisation of EUR 40 million and EUR 28 million of payment appropriations is foreseen, which seems sufficient to deal with the situation.
ParlaMint-FR_2017-11-14-O1054.u484	The Minister has the floor to the Minister of State, Minister of the Interior, to give the opinion of the Government.
ParlaMint-FR_2017-11-14-O1054.u485	Unfavorable opinion. The appropriations for the general allocation of decentralization, in particular the line "Maintenance of the national road of the city of Paris", you certainly know, gentlemen, are constitutionally due. It is therefore not possible to transfer from this line.
ParlaMint-FR_2017-11-14-O1054.u486	If that's all it is!
ParlaMint-FR_2017-11-14-O1054.u487	Mr François Pupponi has the floor.
ParlaMint-FR_2017-11-14-O1054.u488	I'm a little surprised at those answers.
ParlaMint-FR_2017-11-14-O1054.u489	Yes!
