ParlaMint-GB_2022-05-16-commons.u1	1. What steps he is taking to support local leaders in regenerating high streets and town centres.
ParlaMint-GB_2022-05-16-commons.u305	It is a pleasure to follow the hon. Member for Southport (Damien Moore), who is clearly a passionate supporter of Southport. I congratulate him: I am sure he will do well in today’s Conservative party This Queen’s Speech fails to address the immediate cost of living crisis and does little to end the longer-term issues of growing poverty and inequality in Wales as in the rest of the United Kingdom. That is the context of this debate and the cause of the hollow laughter at its title, “Making Britain the Best Place to Grow Up and Grow Old”. In Wales, we have high levels of poverty, and we have done for decades, particularly since the destruction of our heavy industries by the Conservative Governments of the 1980s. That is why we qualified for EU support on a par with the former Soviet bloc countries of the east—that is, until we were blessed with Brexit opportunities, when that support diminished Our levels of child poverty in Wales are the highest in the UK, affecting a third of Welsh children, as measured in 2019. As the Children’s Commissioner for Wales said over the weekend, the rate is now likely to be around 40%. This persistent poverty has consequences for children’s development, including damaging their mental health, and those consequences carry on into adulthood. At this point, if the Whips are listening, I would like to congratulate the Government on their intention to bring in a mental health Bill and say that, as a former social worker approved under the Mental Health Act 1983, I would be very glad of the opportunity to contribute to the scrutiny of that Bill Poverty carries on down the generations, but not, as some would have it, as something inherently bad or morally reprehensible about working people. It is poverty that damages lives and it is poverty that kills. The cost of living crisis is having a devastating impact on children all over Wales and elsewhere in the UK, and families are being forced to choose between eating and heating. Wales has the highest rate of food bank use in the UK, with over 4,000 food parcels distributed per 100,000 people per annum. People are turning to food banks because they have no other choice The cut of £20 per week to universal credit, which took away £286 million from the Welsh economy, was an utter disaster for children in low-income families. As to adults in Wales, one in three people of working age and almost one in five pensioners die in poverty. That is the highest rate in the UK. This disgraceful Victorian value must be banished for good. Smoking is the largest single cause of avoidable early death in Wales, and Plaid Cymru supports the introduction of a “polluter pays” levy on tobacco manufacturers to raise funds for tobacco control, to ensure that our smoke-free ambition for Wales is met The real game changer for Wales would be the devolution of social security so that we can build a system of support that meets our particular needs. Control over the administration of benefits would create a more flexible approach at a time when families need it most—for example, paying universal credit weekly to reflect the way that poor people have to budget and changing the current degrading sanctions regime. Welfare support could be delivered to meet the actual needs of people in Wales, with winter fuel payments linked to home energy efficiency. Cold weather payments could be improved to take into account rurality, which has particular effects on people in the uplands of my own constituency of Arfon. Devolution would enable us to create new ways of helping to top up existing benefits. We in Plaid Cymru believe that our Senedd should create a Welsh child payment similar to that in Scotland, and much more.
ParlaMint-GB_2022-05-16-commons.u306	One of the difficulties is that only a very small proportion of benefits—about 15%—have been devolved to the Scottish Government. With the situation that the hon. Gentleman is talking about, all benefits would need to be devolved so that they could be properly administered.
ParlaMint-GB_2022-05-16-commons.u307	I share the ambition of the hon. Lady and her colleagues to have a proper social security system that is tailored to the needs of our communities. The Scottish Government are leading the way, as far as I am concerned, and when we have that power, we will be emulating some of the measures that they have brought in Wales comes way down the priority list of this Conservative Government, whose eyes are glued both on their vulnerable red wall seats and their increasingly unhappy homelands in the south and east of England. But Plaid Cymru advocates bold policies for everyone, which will make Wales a good place to grow old and to grow up.
ParlaMint-GB_2022-05-16-commons.u308	The pandemic has been particularly difficult for young people. Research by the Education Policy Institute has shown that, despite the best efforts of teachers over the last two years, pupils have lost the equivalent of more than four months of learning, with those in the north and midlands most affected. There is a real danger that covid will end up exacerbating long-standing inequalities. According to the latest Ofsted inspection reports, only 55% of Derbyshire secondary schools are rated good or better, compared with the national benchmark of 80%. This inequality in opportunity simply is not good enough. We must do better In High Peak, we are making progress, with St Philip Howard Catholic Voluntary Academy in Glossop being upgraded to good in its latest Ofsted inspection, compared with its 2018 rating of requires improvement. We also secured capital funding to invest in Hope Valley College and to expand Harpur Hill Primary in Buxton. The £4 million expansion of Glossopdale School is under construction, which will create an extra 240 places for the town, due in September However, more can and must be done. So I welcome that the Government have designated Derbyshire as one of the new education investment areas, which means that Derbyshire schools will receive much-needed extra support, with additional money for the recruitment and retention of the best teachers. The Queen’s Speech aims to build on that progress with the Schools Bill to help drive up standards Our schools are not the only public service challenged by the pandemic. The NHS is still grappling with a huge covid backlog. A good example is the withdrawal of the mobile breast cancer screening unit in High Peak in 2020. I fought hard to get that vital service reinstated, and I am pleased to report that the mobile unit is back up and running locally, operating at 160% of pre-pandemic levels. However, we must do more than simply restore services if we are to build a more resilient, preventive health service. That is why I am pushing so hard for new urgent care centres for both Stepping Hill Hospital and Tameside Hospital. It is also why I am supporting Derbyshire Community Health Services bid for capital funding for a major new health centre for Buxton Of course, not all illnesses are visible. As we rebuild from the pandemic, we must deliver parity between mental and physical health services. The proposed Bill to reform the Mental Health Act will play a key role in this mission, giving patients greater control over their treatment and ensuring that they receive a more personalised level of care. I recently visited the construction site of the £4.8 million highly specialist mental health unit that is being built at Tameside Hospital. That will replace the existing psychiatric intensive care unit at Stepping Hill, providing short-term care for men over the age of 18 experiencing mental health distress. Once that new unit is built at Tameside, the current psychiatric intensive care unit at Stepping Hill will be refurbished to create a unit specifically for women. That is particularly good news given that this service is not currently available anywhere locally. It will allow women to receive specialist mental health care closer to their homes and loved ones Turning to social care, I am pleased that this Government have finally grasped the nettle and introduced reforms to try to ensure that no one will have to sell their home to pay for care in future. While those reforms are welcome, we need to get on with delivery and fleshing out the details of the improvement plans Tackling any of these challenges is only possible if we have strong public finances to pay for the world-class public services that we need, and that requires a strong and growing economy. As we all know, we are facing global rising energy prices, a war in Europe and we are still dealing with the enormous supply chain disruption caused by covid, all of which are driving high inflation and the rising cost of living. The Government’s long-term reform plans are the right ones, investing in infrastructure, skills and public service reform to create sustainable growth and well-paid high-skilled jobs, but we need to think very carefully about what more can be done in the short term to help people to cope with soaring costs now There are no magic solutions and those Members who pretend otherwise are deluding themselves and the people they represent. That does not mean that we cannot do more. We need honesty, creativity, pragmatism and compassion to deal with the challenges ahead. If we work together, I am confident that we will succeed. I am glad that the Queen’s Speech put forward a series of practical measures to make Britain the best place to grow up and grow old.
ParlaMint-GB_2022-05-16-commons.u309	This Gracious Speech should have been an opportunity for the Government to rise to the unprecedented challenges facing our country and, in doing so, to make Britain the best place to grow up and grow old. Its lack of ambition and its stony silence on some of the biggest challenges facing the UK speak volumes about a Government who are out of touch and out of ideas. Worse still, many of the challenges that we need to address are a direct consequence of 12 years of Tory Government—12 years in which, instead of stepping up with ambition for our country, the Government have run down our public services, undermined our economy, negotiated a disastrous exit from the European Union and mired themselves further and further in defending the indefensible current occupant of No. 10 Downing Street Our country has been left lacking resilience, both when the covid-19 pandemic struck and as global factors have brought pressure to bear on the cost of living. The Government cannot always prevent international shocks to our economy, but they have a primary duty to ensure that we are as resilient as possible when they come. In that duty, this Government have failed. The UK cannot be the best place in which to grow up or grow old while households across the country are struggling to make ends meet, while parents wake up in the morning and go to bed at night worrying about how they will feed their children and keep a roof over their head, and while pensioners worry about whether they will be able to eat and keep warm. Knocking on doors in my constituency in recent months, I have been really shocked to see increasing numbers of older people coming to the door wearing a coat on cold days. It is shameful that that is happening in Britain in the 21st century The Queen’s Speech includes new Bills to reform the regulation of social housing and private renting. Such legislation is long overdue. Next month is the fifth anniversary of the horrific Grenfell Tower fire, but tenants still cannot have confidence that changes have been made that will protect them. In the private rented sector, I have been calling for an end to section 21 evictions for the past six years, and it is very hard to understand what has taken the Government so long. Alongside the overdue reforms, it is clear that the Government have given up on the large-scale delivery of social housing that is urgently needed to address the housing crisis The UK cannot be the best place to grow up while children are condemned to live in poor-quality private rented accommodation that their parents can barely afford to rent or heat. I hope that the Government will consider accepting an amendment to the social housing regulation Bill along the lines proposed in my recent ten-minute rule Bill, the Social Housing (Emergency Protection of Tenancy Rights) Bill, which I called Georgia’s law Georgia’s law recognises the devastating impact that a threat of gang violence can have on family life. When a young person is threatened and their family have to move, they can lose all their stability, be placed in temporary accommodation and end up on a waiting list for a new social housing tenancy for years. That is what happened to my constituent Georgia, with catastrophic consequences for her family. Georgia’s law would place new duties on social housing providers to protect the tenancy of a tenant whose family are threatened with violence, helping to limit the harm of gang violence in our communities. It has cross-party support and would make a huge difference Finally, as a co-chair of the all-party parliamentary group on adult social care, I want to say how utterly unacceptable it is that this Gracious Speech contains no mention of adult social care. The Government have introduced an unfair and unaffordable tax hike, which they justified in terms of the urgent need to provide additional funding for social care. Funding for the NHS is, of course, welcome, although there are far fairer ways to raise it, but the social care sector, which was ignored, neglected and even blamed by the Government during the covid-19 pandemic, and which faces a workforce crisis and a funding crisis, will not receive any funding for at least three years The UK cannot possibly be the best place to grow old while across the country people fear losing their homes to pay for their care, and while the workforce tasked with caring for our loved ones are burned out, with staff leaving in their droves to work in retail and distribution because the pay is better. I ask the Government: where is the ambition? Where is the empathy and insight into the real and intolerable pressures that our communities face? Where are the solutions that we so desperately need to the problems that they have created?
ParlaMint-GB_2022-05-16-commons.u310	It is a pleasure to be called to speak in this debate to support the measures in the Queen’s Speech, focusing on the core Conservative value of opportunity. Education is key to giving people the best chance to make the most of their talents, and to Britain being the best place to grow up. One of my priorities since being elected has been visiting schools across my constituency to hear directly from teachers, teaching assistants and pupils about the challenges involved in improving literacy and numeracy standards, which are fundamental to young people going on to succeed I welcome the Schools Bill, which sets the ambition for 90% of children to achieve expected standards in reading, writing and maths, up from 65% in the most recent year that standard assessment tests took place. It is all very well setting targets, but there needs to be a plan to achieve them. Much will rest on the new parent pledge, which means that any child that falls behind in English or maths should receive additional tailored support. The best schools already do this, and sharing evidence on what works means that more children can now get the support they need and their parents will be more closely involved in their child’s progress One of the issues most frequently raised during visits to schools is access to speech and language therapy, which others have referred to. Spoken language underpins literacy development. It is key to learning across the curriculum, including in maths. The Royal College of Speech and Language Therapists highlights evidence from the Education Endowment Foundation that teaching with emphasis on spoken language enables an average of six months’ additional academic progress over the course of the year. I welcome the reassurance that my right hon. Friend the Secretary of State for Education gave me when the SEND paper was published that the parent pledge should ensure that children who need help with language and communication are supported. One of the calls that the royal college and other language organisations make, which I support, is to ensure that the new national professional qualifications in literacy, special educational needs and early years include a focus on developing and supporting spoken language skills As we learn to live with covid, a specific ask from a recent visit to Churchill Park Academy in King’s Lynn, which serves young people with special needs, is for tests to be made available for such schools. They have particularly vulnerable pupils who are not currently attending school due to concerns about covid prevalence. I would be grateful if Education and Health Ministers could carefully consider that request The focus of this debate, on making Britain the best place to grow up and grow old, also includes access to healthcare. It will come as no surprise to Ministers that I return to an issue I raised in my maiden speech in the first Queen’s Speech debate of this Parliament, and indeed in last year’s Queen’s Speech and on many other occasions—the need for a new Queen Elizabeth Hospital in King’s Lynn. QEH is now more than a decade beyond its planned 30-year lifespan, and due to its reinforced autoclaved aerated concrete planks, it now has 1,500 timber and steel supports holding up the cracking roof—it is the most-propped hospital in the country—and that number is likely to increase as further failsafe work is completed. Due to this concrete cancer, the trust’s risk register has a red rating for direct risk to life and to the safety of patients, visitors and staff due to the potentially catastrophic risk of failure of the roof structure Last month, some of my constituents once again came to Westminster talk about the need for QEH to be one of the additional eight new hospital schemes the Government have committed to building. A major issue they asked me to highlight is just how bad an experience being in a ward surrounded by props holding up the roof is for patients. Staff at the hospital stressed how it makes it harder for them to do their job to provide the care the patients need. I warmly welcome the funding from the Department of Health for a new endoscopy unit, and the new west Norfolk eye centre that opened last week at QEH, but now is the time to make a decision to build a new hospital for the 300,000 people across Norfolk, Lincolnshire, and Cambridgeshire that QEH serves. This is not about having shiny new buildings for their own sake; it is about better health outcomes in some of the most deprived areas in the country that the Government have recognised as a priority for levelling up. By committing to this vitally needed hospital, the inevitable requirement for a replacement will become part of a funded programme rather than an unplanned demand on the Treasury requiring emergency funding. That is better value for taxpayers and will deliver the improvements that people in North West Norfolk and beyond deserve. I hope that my right hon. Friend the Health Secretary has good news for my constituents soon, as they are rightly frustrated at the delay in this decision.
ParlaMint-GB_2022-05-16-commons.u311	It is an honour to speak in this very important debate Under this Government, living standards have plummeted to 1950s levels and life expectancy is falling. Office for National Statistics figures show that the inequality gap in the least deprived areas is growing even wider. Almost one in three children in Britain live in poverty. Britain is in decline under this Tory Government. Despite all this, the Government have the temerity to talk about levelling up. They can put this phrase at the front and centre of their rhetoric, but I saw nothing in the Queen’s Speech that will actually deliver it. Nothing the Prime Minister has announced in his legislative agenda will address living standards or the cost of living crisis, help people to pay for childcare, or meet the unmet care needs of over 1 million older people. His announcements will not bridge the gap between what people earn and spiralling inflation, tax rises and fuel price surges. To achieve a stronger economy, make this country fairer, make our streets safer, fund the NHS properly and improve schools and higher education, we will need to reverse the failed policies of successive Tory Governments of the last 12 years As I listened to the Chancellor’s spring statement in March, I thought of my constituent and his disabled partner, who is unable to work. He currently attends college to improve his skills, but earns well below the average wage. For them, living has meant relying on candles for heating and lighting, and they are not alone. It is a cruel snapshot of today’s Britain for many people—workers, pensioners and families with children—under the Tories I want Britain to be the best place to grow up in and to grow old in, but a baby growing up in Tory Britain today will have it harder than their grandparents. The Queen’s Speech does not go far enough to address the long-term problems facing children and young people throughout the UK, such as the frightening numbers of children and young people waiting for mental health support. The levelling-up White Paper does not include clear measures to tackle child poverty or children’s health inequalities. Where is the legislation to improve support for our most vulnerable children—those in care, care leavers and unpaid carers? Disabled young people cannot reach their full potential while they cannot access the health, care and other services they have a right to, such as respite care, therapies and specialist education The life-changing opportunity available a generation ago to go to university is being steadily eroded by the Government. The marketisation of higher education is a tragedy, and is hollowing out a sector that was once the envy of the world. Students who go to university are saddled with crippling debt. It is off-putting for so many who come from homes where household budgets are tight. Every child should have equal access to the education and training they desire, not have obstacles and the spectre of debt put in their way. They should not be persuaded that university is not for the likes of them Talking of children’s futures, the Queen’s Speech totally failed to deliver the urgent action required in response to the climate and nature emergencies. We desperately needed the Government to tackle the root cause of our energy and climate security problems and bring in legislation to speed up the transition from fossil fuels to renewables. Generations are being let down by a Government too short-sighted to plan for a more hopeful future, but who instead focus their attentions on themselves and how to keep the Prime Minister in office for another day. The Government have no new ideas and no real plan to fix their broken Britain or to build a better future for all, cradle to grave.
ParlaMint-GB_2022-05-16-commons.u312	The title for today’s debate is “Making Britain the best place to grow up and grow old”. With that in mind, I would like to be the first Member of this House to congratulate Jake Daniels on coming out today—the first active footballer in UK professional football to do so. It makes the UK an even better place to live and grow older. Many people like me, who grew up in a world where we looked for role models, will know that Jake can be very proud of the role that he will play as a role model for future generations In that vein, I welcome the Government’s commitment in the Queen’s Speech to ban conversion therapy, and I would gently push those on the Treasury Bench to remember that we included trans people in our original promise. We should include all LGBT people in that conversion therapy ban. Let me move on to education. I am pleased that 82% of young people in my constituency are now in schools that are good or outstanding. When I visit so many of my local schools—especially Balaam Wood; King Edward VI Northfield School for Girls, which used to be called Turves Green Girls’ School; Turves Green Boys’ School; Colmers Farm Primary School; and Hawkesley Church Primary Academy—I am always amazed by the dedication and commitment of so many of the teachers and by the young people, who have so much commitment to learning. I am also really pleased that the Edge Academy has been shortlisted for an award for its support for young people in that school right at the heart of Northfield Education concerns us all because it benefits young people and gives them the skills they need for the future. I am glad that there are measures in the Queen’s Speech to improve higher education. Julia Stevens from Cadbury College is pleased with the new investment in the north block and new labs. She is committed to lifelong learning, as is Principal Mike Hopkins from South and City College, which is doing good work. I was pleased to open the electric car centre there only a couple of months ago. That college is committed to ensuring that young people have the skills of the future When it comes to people in the Northfield constituency growing older, we have two ExtraCare retirement villages—one in Bournville and one in Longbridge—which are an amazing example of what we can do when we are creative with housing and the many activities and things people can do in those retirement villages. They live together in communities that I like to refer to as being like static cruise ships. They are amazing places to visit—as soon as I hit the age of 55, I would love to put my name on the waiting list for an ExtraCare retirement village. As Members of Parliament, we should lead from the front, which is why the other week I was keen to join so many local people in the conga line when the oompah band played at the Bournville retirement village. Such villages really are places of the future into which we can encourage many people to move as they grow older On social housing, I was born on a council estate in Birmingham that was one of the largest council estates in Europe when it was built. My brilliant team that assists me in the constituency has now done more than 20,000 items of casework, many of which refer to housing and housing repairs. I am glad that the social housing regulation Bill will make sure that we increase the standard of the social housing that people live in and expand tenants’ rights even further to people in the private rented sector We need to build more houses in the right places, in consultation with local people. When we have big projects in Birmingham, such as what was supposed to be the athletes village—unfortunately, it will not house any athletes during or after the Commonwealth games—it is unfortunate that we have a local authority that demands certain levels of social housing from private companies but falls really short of the expectation they encourage from people. At the last count, social housing made up only 4% of the thousands of houses being built under that scheme. We need to do more to make sure that the 22,000 people who are currently on the waiting list have the opportunity to get into social housing and on to the housing ladder I have only 10 seconds left. I would like to think that, in my near five hours of bobbing to catch your eye, Madam Deputy Speaker, I played some part in my ambition for the Government’s obesity strategy.
ParlaMint-GB_2022-05-16-commons.u313	It is a pleasure to follow the hon. Member for Birmingham, Northfield (Gary Sambrook), and it was interesting, too, because that Bournville retirement village would not have been possible had it not been for the endowment of the Bournville Village Trust, which was set up by my forebears before the welfare state and enabled the cost of the land and so on not to have to be covered. Most areas in this country do not have such an asset, which is why the Government need to support such provision If the Government really want to make Britain the best place to grow up in and provide the opportunities referred to by the Secretary of State for Education, they have to do far more than the thin gruel dished up in the Queen’s Speech last week. I am not sure that many of my constituents who are at school, college or university see much to celebrate in the Queen’s Speech. Schools in Labour-led Hounslow are all good or outstanding, but that is a challenge after a lost decade of underfunding. In our borough’s schools alone, £17 million has been lost—or £500 per pupil. Parents and teachers are trying to fill the gap from their own pockets, but fewer can afford the money as the cost of living bites ever deeper. Now we read that there is a risk to life because of disrepair in too many school buildings, which cannot be fixed with income from school fetes. School buildings need a properly funded commitment from Government, like the Labour Government’s Building Schools for the Future programme On covid catch-up funding, the Government have ignored the recommendations of Sir Kevan Collins, whom they appointed. He said that £15 billion was needed, but the Government agreed to spent only a fraction of that. Labour’s children’s recovery plan would fund significant and targeted extra investment for our young people who missed out most during the lockdowns Teachers’ morale has to be addressed. Teaching is already challenging and over the past decade teachers have had to take on more responsibilities as staffing levels are cut to respond to the annual budget round and yet more central Government edicts. During the pandemic, teachers and school heads, who were at the frontline, told me that they felt let down and ignored by this Government, with announcements made on the spur of the moment and the Government lurching from one fiasco to another. At the same time, welfare, mental health and special needs support is still being cut, despite warm words from the Government. Teachers and school staff were on the frontline during the pandemic but have been left behind by this Government, so it is no surprise that seven out of 10 teachers have considered leaving the profession in the last year. The Government need to wake up to the huge amount of anger and distrust that they have created among school staff. Investing in school staff and school buildings means investing in children’s learning and development, and in their future. Labour has a funded plan to invest in school staff, to enable all teachers and leadership teams to continue to access continuing professional development Students have been all but ignored by this Government. Practically the only time we hear Ministers talking about universities or students is when they want to create a distraction or a row. Perhaps if the Government talked to students and higher education staff, and actually listened, they would know that students are already struggling with the cost of living, with rising rents, energy bills and food costs. Many students in my constituency tell me that they have to work full time to fund themselves through university, supposedly on full-time courses. I have heard from 16 and 17-year-olds who are terrified that they will not be able to go to university because of the costs. So much for social mobility In conclusion, this Queen’s Speech is the proof that, after 12 years in power, the Government have no ambition or determination to fix the problems in the education system that they have created. On school funding, we hear “Computer says no” from the Chancellor. There is no plan to support school staff and leadership teams with adequate pay or proper mental health support, and certainly little sign of a coherent and evidenced schools policy. There is no plan to support students, just a carefully hidden rise in student loan interest payments in the last Budget and, as I said earlier, nothing for Muslim students who are unable to take out student loans Labour would take a different path—a better path. Families in my constituency would have a Government who were on their side, with a plan to tackle the cost of living crisis with a windfall tax on oil and gas producers; a Government with an ambitious catch-up plan for education, as described by my hon. Friend the Member for Houghton and Sunderland South (Bridget Phillipson). That is how we will make Britain the best place to grow up.
ParlaMint-GB_2022-05-16-commons.u314	It is a pleasure to follow the hon. Member for Brentford and Isleworth (Ruth Cadbury), my co-chair on the all-party parliamentary group for cycling and walking, where we so often agree—tonight we probably will not We are looking to make Britain the best place to grow up and grow old. I am delighted to represent the beautiful constituency of North Devon, which is certainly one of the most popular places to grow up and grow old, having had a surge of people move there during the pandemic, for their primary residence and for second homes. We are also an incredibly popular holiday destination, which has led to a surge in Airbnb short-term holiday lets. Although that is great for our tourism economy, it does mean that we have something of a housing crisis. Although I warmly welcome the Levelling-up and Regeneration Bill, I very much hope that, as it makes its passage through the House, we will see more done to tackle second homes and short-term holiday lets, to rebalance our housing economy in North Devon. While I have the opportunity to put this on record, I also hope that the long-awaited consultation on short-term holiday lets promised last June as part of the tourism recovery strategy will be forthcoming as the first step on the journey to sorting out our housing market. I am a former maths teacher and I have spent time in this place before talking about averages and variations. When it comes to education and the Schools Bill, I very much hope that we will look deeper than the average that says that Devon is okay, because when we look at the variants in a county the size of Devon, we can see that there are some issues in my constituency. If we were to look at the social mobility index, we would see that South Hams is 49th out of 324, Exeter is 81st, my North Devon constituency is 238th and my neighbouring area of Torridge—northern Devon, as we call it up there—is 283rd. We need to look deeper than at just the large local authority if we are to enable those children to have their education levelled up, because to date we have missed out on cold-spot funding I am delighted to welcome Multiply, but I do not know quite how it will be delivered in my constituency, where we have only one further education college and are 65 miles from the nearest university. My FE college, Petroc College, is utterly brilliant but please don’t tell me that Multiply will come in as an online course, because what we do not have in North Devon is broadband. The Queen’s Speech talks about the elimination of the barrier of digital exclusion, but when I talk about digital exclusion, it is not so much about the gadgets that the children have; it is that we cannot even connect to the outside world The inequalities that I talk about as regards levelling up are about rural and coastal communities. My theme throughout my few minutes’ speech tonight is how we can ensure that, as we level up the country, we reach into those pockets of deprivation in rural and coastal Britain. Health inequalities on the coast are perhaps better documented than educational ones, but I would like to sing the praises of my tiny North Devon District Hospital, the smallest on the mainland. It has done a fantastic job for the people of North Devon through the pandemic. We have also recently seen it merge with the Royal Devon and Exeter NHS Foundation Trust, which means that we are managing the flow of patients and medical professionals between that tiny hospital and the bigger one further south In Devon, we have retained our Nightingale hospital, and I am terribly proud that we will be the first to deliver our covid catch-up fund wards. On 23 May, the £1.9 million given to my hospital in December will mean that we can start to deliver operations and orthopaedic procedures such as knee and hip replacements. That is a remarkable achievement and the team is also ready to build our new hospital. We are one of the 40, and the plans are modular. While I have the attention of the Under-Secretary of State for Health and Social Care, my hon. Friend the Member for Lewes (Maria Caulfield), tonight, I want to ask whether there is any chance of bringing that forward. We are in the final phase, and we could build it now. Without those new theatres and the new housing element of the hospital, we are struggling to bring people to North Devon because of the housing crisis I described earlier I would not say that everything health-wise was rosy. It will come as no surprise to the Minister to hear that we are a little short of dentists. If any of them are listening tonight, let me tell them that the surf is fantastic, the countryside is beautiful and they will get the warmest of welcomes. I hear that the Indians have a lot of dentists looking for work, and we would welcome them with open arms. Also, this is a Department that has managed to deliver things in buses, so please may we have a mobile dental unit to visit our children in the coming weeks and months? As we look at how we can level up rural and coastal Britain, I hope that we can morality-check our policies, because many of them that work so well in Westminster have lost that certain je ne sais quoi by the time they reach us in rural and coastal North Devon.
ParlaMint-GB_2022-05-16-commons.u315	It is right that when the Government bring forward their programme, the Opposition criticise it, but it is slightly surprising that the Government make it so easy for us. When the world is quite obviously struggling, and the country is struggling with rising prices and a climate emergency, there are obvious measures that any Government could be taking, whether that means introducing a windfall tax or insulating our homes. The question I find myself asking is: why on earth are the Government not doing any of those things We have a ragbag of Bills before us, and I will comment on a few of them. One that has been mentioned is the data reform Bill. I was on the Committee for the Bill that introduced GDPR—the general data protection regulation—a couple of years ago, and at that time we on this side of the House made it clear that the Government needed to be much more ambitious and forward-looking. I would caution, though, that if we go in a different way from many of our neighbours, we should think hard about what that will mean for our businesses and research institutions. It is a coded message, but we should beware of what that might bring if we do not do it in the right way On education, the one thing that seems to link most of the Bills is the fact they rather miss the point. What I hear from my schools is that there is a real problem with the very young children coming in following the pandemic. They need the extra help and catch-up that other colleagues mentioned I cannot help but notice the references to families of schools. We used to have a family of schools within each local authority, but now, of course, we have predatory multi-academy trusts circling our schools and looking to take them over, which is no way to get the kind of co-operation we need Similarly, the higher education Bill’s lifelong loan entitlement is largely welcome, but there is very little detail at the moment. Many worry about how that will be introduced and what they will be asked to do. The issues for universities are much more pressing than some of the Government’s proposals, particularly the future of our collaborative funding with other parts of the world and the Horizon Europe programme. We need certainty on that, as a huge amount hangs on it. As I am sure the Secretary of State knows, it is linked to other things, but those are the issues that really worry universities For young people in my city of Cambridge, it is about housing. The Secretary of State effectively gave up on the housing targets last week, which does not exactly engender confidence in where the Government are going. My hon. Friend the Member for Dulwich and West Norwood (Helen Hayes) spoke passionately about the issues facing renters, and there is a huge set of issues in my city. Yes, the long-promised removal of section 21 is welcome, but we need much more What a state this country is in for people who are getting old. My hon. Friends the Members for Bradford South (Judith Cummins) and for Ellesmere Port and Neston (Justin Madders) spoke about dentistry, and I never imagined we would reach a state where people in acute pain can no longer get help—that is happening all over the country, and in my city, too On ambulance waits, again, we have reached a situation where people are paying for the national health service but can no longer rely on it. Over the weekend, I spoke to a paramedic who works for the East of England Ambulance Service. These people are working flat out, but she is haunted that she went to serve and help an elderly person who had been waiting 18 hours, and who died as a consequence—that is happening in this country now. Lives are being lost. Where is the urgency? The Secretary of State led on the virus, and we should have the same urgency in tackling the waiting-time crisis that is affecting everyone There are things that were not in the Queen’s Speech but, for an area like mine, should have been. We need to get the infrastructure right. For cities such as Cambridge to prosper and drive the UK economy, we have to get housing and transport right, which means we must stop prevaricating about East West Rail and finish it off directly to Cambridge Finally, we must stop laying into universities, which are one of our great success stories. The research excellence framework results over the past few days prove that point. This is something we are really good at. We do not need to pick fights with one another, having pointless arguments and stoking up culture wars; we should concentrate on what we are good at and start celebrating universities. Conservative Members should look at the weekend’s press reports, which are right that graduates are voting a certain way. Frankly, we are the future.
ParlaMint-GB_2022-05-16-commons.u316	The title of this debate is, “Making Britain the Best Place to Grow Up and Grow Old,” but it needs to be seen against the backdrop of our recent covid pandemic and the recovery. Throughout the pandemic, parallels were rightly drawn with surviving a war. Indeed, it was often called the battle against covid, whether in the coming together of our nation at the beginning of the pandemic, in the demonstration of national unity as we appreciated the key workers who delivered all the services we needed, in the unprecedented roll-out by volunteers of health programmes to protect the vulnerable or in the eye-watering expenditure. Every year, in November, we have a day to remember those who gave their life in war, and we rightly know that is a debt we can never repay, but I am conscious that there are millions of people in our society today to whom we owe a debt, as a result of the lockdowns and the privations of covid, that must be repaid—they are our children and young people We knew all along that those millions of children and young people were at the very least risk from the virus, yet we still as a House consciously chose to lock them away for the safety of others, and they have suffered. I have heard from young adults who never got the chance to do the things that are seen as a rite of passage for young people and define points in their lives. Many have never experienced the pressure of having to take exams, and they are not sure if they have the resilience to be able to cope with it. Others worry that their teacher-assessed grades may be seen as devalued qualifications. They did not get to go to their prom, did not get to go to their end-of-year assembly and did not get to say goodbye to their friends. All these things, both small and large, help prepare them for the challenges of adulthood. Despite the fact that, as a whole, they were at incredibly low risk from the virus, I do fear for their mental health and I fear for their resilience—and we owe them I have heard from secondary schools in my constituency that children moving up to them are far behind where the professionals would expect them to be both academically and socially. Giving children laptops to work from home during lockdowns was all well and good, but the work was not always appropriate and there was not always the correct parental support; some parents just did not have the skills or the time to support their children as we would have liked them to. Once again, those children were at little risk, and they have had precious years of their education taken away from them to protect others—and we owe them There are infants starting out on their educational journey far behind normal development targets. Local nurseries tell me that children cannot toilet themselves, and that they lack social skills and confidence. They have the longest time to catch up, but catch up they must or they will bear the scars of the covid pandemic longer than any of us. Primary schools are also noting deficits in social skills in all years, but significantly in year 2. Those children, due to covid, lost the foundation years that are so crucial for their development, and for those who did not receive sufficient parental support, the damage is even harder The Government must legislate to ensure every opportunity is made available for our children and young people to catch up. Over time, the price they will be paying will be higher than any of us will pay. There was a minimal risk to them, but they have lost huge opportunities. In a civilised society, I expect adults to make sacrifices for our children and young people; I do not expect our children and young people to make sacrifices for us. We owe a debt to them, and it must be repaid. All Government legislation must take into account the damage we have done, through pandemic recovery, to our children and young people, because our children and young people are the future of our country, and they need to be protected.
