ParlaMint-GB_2022-07-05-commons.u1	1. What recent assessment he has made of the adequacy of staffing levels in the probation service.
ParlaMint-GB_2022-07-05-commons.u334	I hate to pick my right hon. Friend up on this point, because he is much more knowledgeable than I am, but how can net zero be a net benefit to the economy unless achieving net zero comes with economic benefits? What would those benefits be?
ParlaMint-GB_2022-07-05-commons.u335	The economic benefit of net zero is a wholesale transformation in our industries, our manufacturing processes and the way we think about our world. The same debates would have been had over the introduction of the car, the introduction of electricity or the introduction of gas boilers to replace log burners in every house. Going through those wholesale transformations has led not only to new jobs, but to growth If there was one mistake in signing up to net zero, it was using the term “net zero”. We should have called it net zero growth, because it is not about eco-warriors or extremists committing themselves to decarbonisation; it is a pathway that shows us doubling our energy use by 2050. Committing to net zero is a manageable path that will ensure that our economy continues to grow.
ParlaMint-GB_2022-07-05-commons.u336	I do not want to deflect my right hon. Friend too far from the debate, but let me just pin this down. The automobile added to growth because it got people from A to B quicker than a horse and cart. The move to net zero essentially means taking certain off-balance sheet, off-profit and loss statement costs and putting them on the balance sheet or on the P&L. It will therefore act as a brake on growth unless the United Kingdom can expand our revenue opportunities, do things at a lower overall cost or shift behaviour patterns so that we can do things more efficiently. That is the piece that is missing from what has so far been said by my right hon. Friend and by the Committee on Climate Change. Those things are there, but should we not be honest with the public that without them, net zero harms growth rather than enhancing it?
ParlaMint-GB_2022-07-05-commons.u337	My hon. Friend is entirely right about one aspect of this. He mentioned efficiency and productivity. Obviously the UK faces a huge productivity challenge. We are speaking in Parliament and discussing the importance of politicians to making this energy transition, but it is already happening even without us. Private companies across the UK, and indeed the world, are saying that they would want to go to net zero even if there were not a climate crisis, because they recognise the opportunities for productivity, for disruption, for achieving better efficiencies, and for thinking differently. That is what makes net zero so important: the wholesale transformation, into the 21st century, which recognises that we cannot be dependent on unsustainable fossil fuels that will ultimately run out The Russian war against Ukraine has demonstrated that we cannot be held hostage by petrostates for the future. We must do something about that, and I think current messaging means that far more people support net zero. This is the year when climate change and net zero went mainstream. I think that all politicians, particularly certain politicians on my side of the Chamber, are at risk of not being on the public side of the argument. They need to understand that this has to happen, not just for the sake of the climate, but for the benefit of our economy.
ParlaMint-GB_2022-07-05-commons.u338	rose—
ParlaMint-GB_2022-07-05-commons.u339	rose—
ParlaMint-GB_2022-07-05-commons.u340	I will give way to the hon. Gentleman and then to the hon. Lady, but after that I must get on, because I do not want use up all my time with interventions.
ParlaMint-GB_2022-07-05-commons.u341	I agree with what the hon. Gentleman is saying, but I live in an agricultural community. I live on a farm, and all my neighbours are farmers. Let me give an example of the current pressures. Last week I spoke to the farmer next door, who is not just a very big dairy farmer but also a contractor. He has, I think, eight or 10 tractors and trailers on the road, and he employs 12 people. He told me that the cost of diesel was up by at least 100%, and the price of fertiliser by 300%. When it comes to the financial equations, he is staring at stark reality. With respect, speaking as someone who agrees with the objectives put forward by the right hon. Gentleman and others in the Chamber, maybe we need a wee bit more time, because at the moment some farmers are under so much pressure to make ends meet. They are faced with costs that they have never seen before in all their life. Does the right hon. Gentleman agree?
ParlaMint-GB_2022-07-05-commons.u342	With respect, I do not. We do not have any more time. We have 28 years until 2050. It has been 30 years since we began these discussions and since the formation of the United Nations framework convention on climate change. We have seen the emission, since 1990, of 50% of all carbon dioxide emitted by the world in the entirety of human history. The argument that we need to go more slowly belies the fact that net zero is the slowest possible path on which we can travel while hopefully retaining a chance of hitting 1.5°. The consequences of not hitting 1.5°, or 2°, or even 4°, God forbid, will be more catastrophic for local businesses, and for farmers such as the hon. Gentleman’s friend The Po valley, normally one of the wettest areas of Italy, is now dry because seawater is flooding into the river. That is the reality of what is happening. Farmers throughout the world are, because of climate change, becoming less productive, and are becoming unable to produce the food that they once could. We need to be able to look them in the face. We, the industrialised nations that have this leadership, need to take action to ensure that all countries take this opportunity while we still have time—and that time is, sadly, ticking away Let me turn to the details of the estimates. My right hon. Friend the Member for Ludlow (Philip Dunne) referred to the estimate from the Department for Business, Energy and Industrial Strategy, which is on page 9 of the Library pack. It claims that “£11.6 billion for the £400 energy bills reduction announced as part of the Cost-of-Living measures package” contributes to the net zero target. That is simply not true. The £400 that is going out of the door to subsidise gas and other fossil fuel usage is exactly the same amount that a household would save every single year in a property that was in band C of the energy performance certificate rating. This is the economic reality of net zero. Once a capital cost investment is made, we are looking at savings, year in, year out, whether that is through the production of renewable wind or solar energy, or through energy efficiency. That is what we need to be talking about when we are discussing net zero measures, not the false creative accounting that we see in the estimates We should also look at the Treasury’s spending plans for net zero. My right hon. Friend the Member for Ludlow mentioned the period 2023-24, when the plan is for spending to rise to £8 billion a year, before it falls back to £7.7 billion in 2024-25, so actually we are going backwards. Of course we want to ensure that private sector uptake and investment continues; it cannot just be the state making these investments. We have to look at how we can draw in greater private sector investment, and I will come on to that in a moment. The reality is that if we have such balance sheets without having a longer-term sustainable programme for delivering net zero, we will always have these measures We need a coalescing target, just as net zero-ers have been able to coalesce around a single target. When I was Science and Research Minister, we had a target spend of 2.4% of both public and private gross domestic product on research and development by 2027, although we may fall short of that. Other countries such as China are going to hit 3.5%, and countries such as Israel are already about to hit 5% of GDP, both public and private, on R&D. Yesterday, the Prime Minister talked about spending 2.5% of GDP on defence by 2050. Where is the GDP target figure for net zero? We should set ourselves a far-reaching goal, and commit ourselves to that spending, both private and public, to demonstrate the investment that is needed for net zero There are far too many small pots of funding—we have talked about the green homes grant—and that creates a concertina effect, whereby people apply for a funding scheme, but we do not have the skills to deliver the product that is needed. As a result, these programmes ultimately do not achieve the targets they set out to achieve. I believe that moving away from small pots of funding to longer-term plans through which we can finance net zero should be the way forward. To deliver that, we should think about setting a net zero finance target for the UK every year, and on estimates day, we should talk about that, rather than using false figures in our accounting to claim that we have delivered an additional budgetary impact on net zero.
ParlaMint-GB_2022-07-05-commons.u343	I thank the right hon. Member for Ludlow (Philip Dunne) for his thoughtful contribution. Coming from the highlands in the far north of Scotland, I have seen with my own eyes what climate change is doing in my lifetime. As a child, I took a huge interest in butterflies and recorded every butterfly I ever saw. I did not kill them; I recorded what they were. Today, we have species of butterfly in the highlands that we never saw there in the 1950s and 1960s, including the speckled wood and the orange tip, which are now quite common, but we are also seeing some species disappearing, particularly moths. That is because of global warming. It is there; it is real As is my wont, I shall make three points that are connected with the needs and requirements of my constituency. In recent days and weeks, there has been quite a lot of press coverage of a suggestion that, as and when a new wind farm is built, perhaps in England somewhere, the nearby households that might be affected would be given a grant of £350 per household. In my constituency in the highlands, we already have a large number of onshore wind farms, so my first plea, which is a pretty obvious one, is that if the Government ever did consider some sort of grant like that, it should also be afforded retrospectively to homes in the highlands and other parts of the UK where there are already wind farms. My part of the highlands is one of the coldest parts of the UK—the village of Altnaharra in Sutherland always has record low temperatures—and average incomes are not large. Transport and getting about are expensive, and given the inflationary situation and the cost of living, a wind farm payment like that would help families who are struggling to make ends meet I conclude my first point by saying that I am a great believer in the United Kingdom, and I believe that a family in the highlands, in Wales or in south-west England has the same rights as a family anywhere else. Therefore, if such payments were made, I think that in the interest of fairness, all parts of the UK should be considered, as should my suggestion about making retrospective payments I warmly encourage all Members to come and have their holidays in the highlands, but as they drive up the A9, as James Bond did in “Skyfall”, now and again they will come across a vast articulated lorry carrying part of a turbine up to where a wind farm is being constructed. Having those lorries going through the narrow villages of Sutherland, such as Golspie, Brora and Helmsdale, and negotiating the twisting roads is a problem, both for getting parts of the turbine where they are intended to go and because it discourages the local people My second point is an old favourite of mine. Recently, a man called Mr Frank Roach, who is a tremendous fellow for developing the use of railways, got a very large consignment of timber moved from Sutherland to markets further south on a very large train. For global warming and net zero, moving by rail makes the most enormous sense; Godspeed the day it is all electrified. My second plea, therefore, is that, where planning consent has been granted for a new wind farm, we should look quite hard at moving parts of wind turbines by rail and not by articulated lorry, consuming vast amounts of diesel as it burns its way up and down our roads. I earnestly recommend that officials in the Government contact Mr Frank Roach and talk to him, because it is really quite extraordinary the way he is getting us all in the north of Scotland thinking about the use of the railway My third point is that offshore wind has been proved by the construction of the Beatrice wind farm off the coast of Sutherland and Caithness. It works—it really does. It generates a huge amount of electricity. But there has been sensible talk by the Government and others—it has already been referred to in the debate—about establishing floating offshore wind farms. Let me make an unashamed plug for the Cromarty Firth in my constituency, which was the great anchorage for the fleet in the first and second world wars because it is such a large and deep anchorage, safe from the weather. It is no accident that some of the mightiest oil production platforms ever built were built there. I strongly advocate to the Government that offshore floating wind systems could be constructed in the area. They could be constructed in Wales and elsewhere, too, but the main thing is that it would be nice to see them built in the United Kingdom. I hope—I realise that I am really chancing my arm—that the Government will look favourably on the bid by the Cromarty Firth to become a green freeport In concluding, I want to make two small points. First, this debate is very much in keeping with what we all hear from young people in schools. To use a German word, it is the Zeitgeist—the spirit of the times. Young people are only too well aware of the urgent need to get to net zero. They know all about climate change, and I find that hugely encouraging Secondly, I want to pick up on what I think the right hon. Member for Kingswood (Chris Skidmore) was saying, if I understood him correctly. A good number of years ago, I was a member of Ross and Cromarty District Council. We went for a courageous money spending scheme called care and repair, which was deliberately targeted at some of the coastal villages of Wester Ross—Gairloch, Applecross and places like that. We threw what was known as block B capital allocation at doing up houses. That meant that people had their homes insulated This was quite a long time ago, but the point was that the money we spent, which was a lot, went into the local businesses—the joiners, the people who installed the solar panels, and so on. They then invested in more equipment and, in turn, bought locally. That money was pumped into the local economy of a remote rural area. That was a financial benefit that we saw in Wester Ross all those years ago. So the money that is spent is spent locally. It boosts the local economy. One could say that the Chancellor’s measures during the pandemic had the same effect; they boosted the local economy. All I am saying is that it is a mistake to think of it as being money down the drain. It is money spent in the UK, to the good of the UK, and that money is recycled, eventually supports the shops and helps to establish the businesses, which can go on to win bigger and better contracts I will conclude my remarks with that, other than to say that it is really good to hear a debate of this quality in this place. I know it will strike a chord with my younger constituents. I intend to send a copy of the Hansard record of this debate to my secondary schools as I think they will be interested.
ParlaMint-GB_2022-07-05-commons.u344	I rise in response to the challenge from the hon. Member for Caithness, Sutherland and Easter Ross (Jamie Stone): this debate has to be of such quality as he will send a copy of the Hansard to his young constituents. That puts me under pressure—
ParlaMint-GB_2022-07-05-commons.u345	But you will rise to meet it.
ParlaMint-GB_2022-07-05-commons.u346	I hope so This debate comes at a time when there will be significant problems for millions of ordinary people up and down this country, and indeed all over the world, in heating their homes and getting around. It is an opportune time for us to have this debate about decarbonisation. I should start by saying that I strongly support not only the Minister on the Bench, the Under-Secretary of State for Business, Energy and Industrial Strategy, my hon. Friend the Member for North East Derbyshire (Lee Rowley), who I know is a highly capable and effective Minister, but the Secretary of State, who is also that. The Minister is smiling. I am being nice to you, Minister. Indeed, it is a very effective Department that has had a huge amount to do and, broadly speaking, it is doing a very good job However, the context of oil and gas prices rising is a very complicated one. If the House would indulge me, I think it requires not just the Government, or this House, but international markets and other countries to think about decarbonisation differently. Oil and gas prices may rise structurally over the coming years due to an increase in demand from emerging market countries in particular. Many in the City of London, and many investment banks and energy analysts, think that will occur. If it does happen, in the short term, there will be a significant problem for millions of people across the world, including in this country The way to deal with that is to increase the pace of decarbonisation, and the pace of getting renewable energy used and in the ground. Indeed, that helps our energy security as well. However, at the same time, we must not demonise the major oil and gas companies, which have the skills, wherewithal and capital to help us to achieve that. Therefore, subtle and effective Government policy is required, working internationally with our partners, to ensure that we can give these major energy companies the confidence to invest in decarbonisation. They have the engineers, the capital and the know-how all over the globe to help us achieve that aim. I speak as someone who does a lot of work on these issues, as the House knows. There is no point in our demonising anybody who holds shares in an energy company, gluing ourselves to famous paintings or doing that sort of thing. All that happens is the price of oil and gas continues to go up, which makes people’s lives harder. There may well be a backlash to the decarbonisation agenda if people perceive that it is not something that will ultimately help their lives and the economy, and help them to heat their home.
ParlaMint-GB_2022-07-05-commons.u347	Obviously we will discuss the Ways and Means motion on the Energy (Oil and Gas) Profits Levy Bill, or so-called windfall tax, later, but does my hon. Friend agree that companies such as BP and Shell that have agreed to become net zero companies should put their money where their mouth is and maybe establish a net zero fund? Such a fund could be tapped into over a long period to help to pay for some of the energy efficiency measures, demonstrating that it is not just green levies that will pay for additional net zero support mechanisms, and that we can leverage in private finance. Let us look to create a fund that could be financeable over a long period, given that we are holding these companies to account for their net zero commitments.
ParlaMint-GB_2022-07-05-commons.u348	I thank my right hon. Friend for that typically well-made and excellent point. If the major energy companies established a long-term fund on that basis to make the investment that they say they are making—and which they are making, but which they say they want to make more of and which the Government want them to make more of—that would be helpful, not just as a signal to the market of where they were using their capital, but as a signal to the country that they were serious about putting their money where their mouth is.
ParlaMint-GB_2022-07-05-commons.u349	I am all in favour of fossil fuel companies creating funds, but would not another way of achieving that be for the Government not to give oil and gas companies such an extraordinary subsidy, as part of the windfall tax—the so-called 80% investment allowance, which incentivises precisely the opposite kind of behaviour that the hon. Gentleman is speaking so eloquently about?
ParlaMint-GB_2022-07-05-commons.u350	I thank the hon. Lady for her point. The intention behind subsidies—or, to use another word, support—for energy companies is to try to achieve what we want them to achieve. The investment allowances—there are various other things—should be tweaked or changed to incentivise more directly the sort of behaviours that we are talking about. On that, I support her.
ParlaMint-GB_2022-07-05-commons.u351	rose—
ParlaMint-GB_2022-07-05-commons.u352	I would like to continue, as I am being nodded at by various people because of the time, so I will make a little progress if I may We have heard a lot today about buildings and the need for a big insulation plan, for want of a better description. I strongly support that, but micro-measures to help individuals are also important. As Ronald Reagan said, the scariest words in the English language are: “I’m from the Government, and I’m here to help. ” We need big, macro ideas. We need the big plans, but at the same time we need to incentivise individuals and families who want to help with the transition, do the right thing and make their own decisions to decarbonise. We can use things such as smart household systems to allow users to manage when to charge their electric cars, optimise when their heating comes on, or when to turn their fridge up We could also use market reforms to allow small energy suppliers to supply local areas. When there is a proposal for something in my constituency and I say to the energy company or small supplier, “Can you do something for the local village or local community so that they can benefit from this? ” —whatever the form of energy is nearby—they say, “Look, the market isn’t really structured to allow that to happen. ” That is a big problem, because it means that we are not getting the support of the local community or tapping into the latent desire to decarbonise—yes, working with Government at a macro level, but also at a micro level.
ParlaMint-GB_2022-07-05-commons.u353	The hon. Member need have no fears: I shall put a large red star beside his contribution when I send off the copies of Hansard. If I pick him up right, surely the point is that anyone who thinks that the Beatrice wind farm, which I mentioned in my contribution, came into being without the expertise of oil firms, which have installed mighty things in the North sea, would be very much mistaken. These same oil firms that he is referring to will be crucial if we are to establish large-scale floating offshore wind energy generation.
ParlaMint-GB_2022-07-05-commons.u354	I thank the hon. Gentleman for that point; I could not agree more. It is a really difficult point to make, because it seems counter-intuitive, but we will need the major energy companies to do their bit and use what they have to achieve what we all agree we need to achieve, which is faster decarbonisation. We need macro measures from Government and we need to work much harder on buildings and insulation, but we also need micro measures to help individuals and small communities invest in decarbonisation and make those decisions themselves I commend these estimates. I am sure the money will be spent wisely, particularly if the Government have listened to the quality of this debate.
ParlaMint-GB_2022-07-05-commons.u355	It is a pleasure to follow my hon. friend and neighbour, the Member for Hitchin and Harpenden (Bim Afolami) When Parliament agreed in June 2019 to achieve net zero by 2050, it was probably the most expensive, uncosted piece of legislation that has ever been passed by this country. It was a “Star Trek” piece of legislation, asking the country to boldly go where no one had gone before. These estimates start to frame how much the costs will be—costs for taxpayers, costs for individuals, and costs for business. As we look at those things, we need to be pragmatic and not dogmatic about achieving net zero. Too often we talk about the great opportunities of achieving net zero without really being honest about whether they are opportunities or just a shifting of resources, which, when it comes down to economics, has no net benefit at all As I was saying earlier, the contribution of net zero to this country’s growth is highly questionable. Essentially, we are taking a cost, which we ignored in the past, and saying that we now need to take it into account and eliminate it as a cost in our production. Growth does not arise from that. Growth arises when we can do the same thing for a lower cost—through productivity improvements. Growth can arise when we increase the revenues, particularly for our own country. That could be achieved through import substitution, or it could be achieved through the creation of new green technologies that we can export to other countries. However, it is not guaranteed just because we have passed a piece of legislation that says, “Let’s all achieve net zero by 2015. ” It can be achieved by changing the ways that we do things into ways that are more productive. Finally, it can be achieved by reducing the costs of uncertainty, the most obvious of which when it comes to energy is hedging None of those things is guaranteed. As has been said, children and schools are enthusiastic about this, but that is because they are taught about net zero and because, quite naturally, young people have an interest in all things natural, such as the environment, diversity and the planet. Ultimately, though, the costs are what will matter in terms of whether and how we can achieve that ideological and scientifically justifiable goal. From my point of view, the most important thing for us as a country is that we need to work with the pace of innovation and be cautious about trying to exceed the costs of innovation. That is because when we try to move more quickly for a policy goal, ahead of the way that innovation is enabling us to get there, it means additional cost burdens on households and on taxpayers In the estimates, it will be interesting to hear from the Minister about the extent to which he appreciates those goals and the extent to which the Government are trying to increase the pace of innovation. I am talking not just about providing subsidies and support for people to change the way they do things, but about the way the Government are providing incentives for innovation to move at a faster pace.
ParlaMint-GB_2022-07-05-commons.u356	The Government also need to set a number of targets for the production of hydrogen and for the capture of carbon dioxide as part of their 2030 plans and the net zero strategy Build Back Better. Talking to HyNet North West, it is clear that it believes that it can go further, and it wants to call on the Government to double its opportunities to capture carbon dioxide. It wants to increase the current allocation of hydrogen from 1 GW to 2 GW. It would also like to see a doubling of the megatonnes of carbon dioxide captured per annum Does my hon. Friend believe that the Government should give HyNet, which says that it has the companies ready to go, the opportunity to double the amount of hydrogen and double the amount of carbon dioxide that it can capture now, because it believes that it can do it? I agree with my hon. Friend that we should follow the innovation.
ParlaMint-GB_2022-07-05-commons.u357	I appreciate my hon. Friend’s example of innovation, which could assist I wish to focus now on the particular issue of decarbonising home heating. We heard from my right hon. Friend the Member for Ludlow (Philip Dunne) in his opening speech that that is essentially a £20,000 cost for a household when it is combined with insulation. He quite rightly made the point that that is beyond almost every household. I think the hon. Member for Bristol North West (Darren Jones), the Chair of the Select Committee, also noted that it is beyond the expectation of the ability of households to pay for it We also know that the economies of scale when it comes to technologies for decarbonising home heat are challenging, because the technology is already established and therefore the production economies of scale are likely to be less than in other areas, and because a large part of the costs are in the service delivery, which is people. People efficiencies are harder to capture than production efficiencies Not only is the up-front cost high for everyone, but it means that, without Government action and direction, we would end up with certain households doing it that might not necessarily be those that make most sense for achieving our goal. I say this as a Conservative who believes in free choice, but if we want to achieve that goal, we have to own up to the fact that relying on individual choices by individual households to achieve the decarbonisation of home heating will mean that the overall cost to society of achieving that goal will be substantially greater than going through a process that has at least a very significant part of a community-based initiative Again, my right hon. Friend the Member for Ludlow was right to point to the issue of social housing. I am eager to see us move forward; we have a Bill coming and I think there is an opportunity to look at neighbourhood plans, which are about planning for our local communities. Maybe there is an opportunity there to put forward some of the suggestions for community decarbonisation of home heating. I hope that hon. Members who are interested in that will let me know, because I am thinking of tabling an amendment that would make that part of the way that we ask local communities, through the planning process, to start thinking about how they achieve the decarbonising of home heat on a community basis I must also urge the Government to come forward and say how they will harness patient capital to solve the economic equation of decarbonising home heat. The equation is that there is a big up-front cost and then the benefits accrue slowly each year, ideally through lower heating bills and certainly through less exposure to the volatility of carbon-based fuels. What are the Government going to do to structure a programme that can attract patient capital to do that? That is the sort of financial profile that pension funds invest in all the time Neighbourhood plans, a community-led approach and attracting patient capital into those community programmes seem to me to be one way in the estimates to try to get an approach to net zero, if I may coin a rather cheap phrase, at net profit to the British economy. Achieving net zero at net profit is a way to get a pragmatic answer to the idealistic but uncosted goals that this Parliament put in train in 2019.
ParlaMint-GB_2022-07-05-commons.u358	We now come to the winding-up speeches. I call John Mc Nally.
ParlaMint-GB_2022-07-05-commons.u359	I congratulate the right hon. Member for Ludlow (Philip Dunne) on securing this valuable debate Let me start by saying that I have here a reminder of why we are in this place debating our children’s future. It is a “Climate Comic”, produced by children in Windsor Park primary school in my constituency. I think the hon. Member for Caithness, Sutherland and Easter Ross (Jamie Stone) might be quite interested in having a look at it later on—I guarantee it will not go into Hansard. The children who helped to produce it all have sensory impairment problems; most of them are deaf, and they signed the presentation they made to us If we want to change the world, we must get busy in our own little corner, and that is exactly what those children have done. It is top-class work by the primary school. The children produced their climate-conscious comic as part of the Forth Valley Sensory Centre’s “Making Sense of Climate Change” project. I thank all who helped to produce the comic and raise awareness of the fact that time is not on our side. The narrative on climate change of, “We need to do this. ” , will soon become, “We should have done that. ” Here is why: the energy and security strategy presented a prime opportunity for the UK Government to tackle the dual climate and cost of living crisis, and they failed on both fronts. Their lack of ambition in setting meaningful policy to tackle that crisis was exemplified by their energy and security strategy in April, a strategy that was widely criticised and deemed inadequate by stakeholders. In the aftermath of the strategy being announced, the former chief of Ofgem noted: “One failure, that could’ve helped in the short to medium run, is a lack of focus on energy efficiency, on insulation, on improving the quality of people's homes—I think that is an opportunity missed. ” Simon Virley, KPMG’s vice-chair and head of energy and natural resources, no less, stated that “this strategy won’t get us to Net Zero at least cost to consumers. ” Given the importance of tackling the cost of living crisis, that is a missed opportunity. Other European countries such as Holland, France and Germany are doing this as a matter of urgency. The strategy fails to set out measures focused on improving energy efficiency in buildings, which has been described as a silver bullet by industry experts I am a member of the Environmental Audit Committee. I pay tribute to our excellent Chair—the right hon. Member for Ludlow—my colleagues on the Committee and the excellent standard of work by its Clerks. On the sustainability of the built environment, our report stated: “If the UK continues to drag its feet on embodied carbon, it will not meet net zero or its carbon budgets. ” The EAC also pointed to the lack of any evidence that the UK Government were taking action to prioritise retrofit or reuse of existing buildings. Furthermore, the chief executive of E.ON noted that “our plea to the government has always been to push hard on energy efficiency because that is the proven way, if you like the only silver bullet for this crisis”.
ParlaMint-GB_2022-07-05-commons.u360	The hon. Gentleman is making a powerful case. Does he share my surprise that in a debate on energy costs there has been no reference yet to nuclear power, which is eye-wateringly expensive? We are just hearing that Hinkley Point is going to be a year late and cost yet another £3 billion. Does he agree that the money that is being sunk into nuclear could be much better spent in exactly the kinds of ways he is describing, such roll-out of energy efficiency in homes and renewable energy?
ParlaMint-GB_2022-07-05-commons.u361	I absolutely agree. The money could be spent more quickly and efficiently, saving endless money that is wasted, is probably never going to be used properly, and is making someone somewhere very rich but certainly not putting energy efficiency into people’s homes or into businesses The UK Government’s failure to tackle the most basic measures that are crucial in helping to tackle the climate and energy crisis is emblematic of their broader failure to prioritise these issues. If Scotland is to stand any chance of meeting our ambitious climate targets, we simply cannot afford to be held back by inadequate Westminster policies for much longer. Scotland has the potential to become a global net zero energy hub. The UK Government’s lack of ambition cannot continue to jeopardise this. We have the perfect mix of skilled workers and natural resources to become a world leader in renewable energy. Our oil and gas workers have long been at the forefront of energy innovation. The Scottish Government are committed to a just transition that harnesses the expertise of these oil and gas workers and supports those currently employed in oil and gas to capitalise on the employment opportunities of net zero The Scottish Government’s national strategy for economic transformation sets out their ambition that by 2032 Scotland will be an international benchmark for how an economy can transform itself, decarbonise and rebuild natural capital. The Scottish Government’s climate emergency skills action plan sets out their ambitious approach to developing the current and future workforce to support the transition to net zero. The Economic Development Association Scotland has described the action plan as “a leading example of planning for sustainable skills against climate change targets. ” The Scottish Government’s just transition fund, alongside their strong commitment to achieving net zero, shows that unlike the UK Government they are matching their climate promises with action. That is in stark contrast to the UK Government, who have refused to match the Scottish Government’s £500 million just transition fund despite the Treasury benefiting from £350 billion in revenue from North sea oil The Government in Scotland recognise that climate change is the priority. That priority, desired by the people, is being met as best as it can be by the Scottish Government, and with reasons matching desires in nearly equal measures. Give Scotland the competencies and we will surely match that desire.
ParlaMint-GB_2022-07-05-commons.u362	I am mightily relieved to see that the Minister is still in his place. I hope he manages to hang on until 7 o’clock; he might find he is the last man standing on the Government Front Bench. If he does want to tell the House about his resignation when his time comes, rather than tweeting it, I am sure we would be delighted to be the first ones to know. There are times when we speak in this Chamber and we feel that the eyes of the world are upon us. I think it is fair to say that this is not one of those occasions, but it is an important debate, and I thank the right hon. Member for Ludlow (Philip Dunne), the Chair of the Environmental Audit Committee, for securing it I wish there was a bit more to discuss. As we have heard, last week the independent Climate Change Committee delivered its annual verdict on the Government’s climate strategy, or what there is of it. I think the Chair of the Select Committee let the Government off a little lightly in his quote from that report, which was an absolutely damning read. It talked about major failures in delivery programs and stated that “we are not seeing the necessary progress”, and “the Government is failing in…its implementation” It also said that the current strategy will not deliver net zero. The committee concluded that the Government have credible plans for achieving only 39% of the emissions reductions required. This comes less than a year after COP, when we still hold the COP presidency and ought to be showing international leadership. It is not just the Climate Change Committee saying that the Government have fallen short. The Public Accounts Committee report published at the beginning of March said that the Government still have “no clear plan for how the transition to net Zero will be funded”, or “how it will…replace income from taxes such as fuel duty…and…has no reliable estimate of what the process of implementing the net zero policy is actually likely to cost British consumers, households, businesses and government itself. ” It went on to say that the Government have “too often pursued stop-start strategies which undermine confidence for business, investors and consumers in committing to measures which would reduce carbon emissions, especially when some green alternatives are still significantly more expensive than current options. ” We heard that from a few speakers. I think the hon. Member for Hitchin and Harpenden (Bim Afolami) talked about how businesses need the confidence to be able to invest, how they need a sense of direction from the Government and how they need to know that they will be backed up We heard from the Chair of the Environmental Audit Committee that the global situation requires a rapid recalibration of the Government’s strategy, and that waiting for the right technology to turn up is not a strategy in itself. Again, that is a plea for a clearer sense of direction from the Government. He said—I hope I am quoting him right—that the Government prefer to delay substantive action to a future date, post election. We might find that comes a bit sooner than we were expecting when he made those comments, but let us see. I would certainly say that the time for action is now We have seen that day-to-day spending in BEIS has increased by 71% since the last supplementary estimate. That has mostly been driven by this increase of £11.6 billion for the energy bill support scheme. As has been said by several people, including the right hon. Member for Kingswood (Chris Skidmore) and the Chair of the Environmental Audit Committee, this is not a net zero measure unless it is linked to ending investment in fossil fuels, which we know it is not. I expect that we will shortly hear criticisms on that front. It was quite damning how the right hon. Member for Kingswood said that it was simply not true to say that this is a net zero measure. He talked about using false figures in our accounting; I thought those were strong words, but they are true. Once that figure is discounted, we see that little money is going on the most important measures that should be being put in place to deal with emissions. Several people mentioned the need to insulate and retrofit homes, which would simultaneously slash emissions and bring down energy bills. That should have been an urgent national priority as energy costs soared. As has been said, if we invested in that, it would bring down energy bills year on year.
ParlaMint-GB_2022-07-05-commons.u363	When it comes to future measures—I am conscious that some of these schemes were announced by a Chancellor who has resigned in the past half hour and is no longer here to defend them—we need to introduce the concept of conditionality. It has been done in France and other continental countries but not in the UK, and it means that an investment is made on the condition that it is seen through in future green investment I pointed out that the £11.6 billion is money out of the door with no consequential effect on delivering on net zero. That money—£400 a person—could have been delivered on the condition that it was later spent on green home improvement measures using a voucher scheme. We need to think carefully about how we deliver those schemes in future so that we can benefit people in a cost of gas crisis—it is not just a cost of living crisis—and see real change on the ground.
