ParlaMint-BE_2018-05-15-54-commissie-ic892x.u1	Mr Janssen is present and can ask his question. The questions of the other Members will lapse.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u110	Mr President, Mr Janssen, this is not an easy question. Before answering them, I think it is important to outline the context of the problem. Two legislations are involved with regard to the opening on Sunday of a retail trade. Firstly, the Act on Opening Hours in Commerce, Crafts and Services of 10 November 2006. The middle class organizations were strongly asking for that law. In particular, the law aims to strike a balance between respect for freedom of enterprise, meeting the needs of consumers and respect for the trader's right to private and family life. In concrete terms, this law imposes one closing day per week on each retail trade, which can be freely chosen. The second legislation falls within the competence of the Minister for Labour. It concerns the Labour Act of 16 March 1971. This law lays down the general principle of the prohibition of Sunday work with a view to the protection of workers. Deviations are provided for. The question of the NSZ, to which you refer, has a direct impact on these two legislations. It is not certain that all traders who employ six, eight or ten workers on Sundays want to open all day, for example for reasons of profitability of these few hours on Sunday afternoons. In this way, and in the light of the above-mentioned balance established by the 2006 Act, it seems necessary to me that any question of this balance in advance should be the subject of a broad consensus or a compromise between the representative organisations of the middle classes in the ABC and the distribution sector. Even if such a proposal were the subject of a consensus or compromise, it should be discussed with the Minister of Work, because it could de facto lead to a derogation from the ban on Sunday work.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u111	Thank you, Minister, for your reply. I believe that there is nothing more to it than that the ministers will sit around the table with the relevant organizations to see if a comparison is possible.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u112	Question No 23379 by Mr Friart is transformed into a written question.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u113	Mr President, Minister, last November I questioned you about the towering European milk powder stock that is on sale. According to figures from the European Milk Observatory, nearly 360 000 tonnes were then stored for public intervention. We all know very well what the consequences were: the dairy market was under pressure. Today, this problem is still not resolved, with an even higher stock of 380 000 tonnes. At the end of February, the European Commission therefore offered more than 4 300 tonnes of skimmed milk powder for sale at the bottom price of 110 euros per 100 kilos, while the current market price is 137 euros higher. The sector is right to fear that Europe wants to get rid of its large stock at all costs. When I asked for sustainable, forward-looking solutions, you replied that you would like a link to be established between the European Milk Observatory and the automatic activation of production control instruments when a certain threshold is reached in the future. Mr Minister, I have the following questions. How was your proposal received? Is there any evolution in this file? What is the exact state of affairs? Are the Commission taking steps towards a healthy dairy market?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u114	Mr President, Mrs Gantois, as you know, I take the evolution of the milk market to heart. The average price paid by the members of the Belgian Confederation of the Dairy Industry in December 2017 was 36.7 euros per 100 litres. Production in Belgium amounted to 3.8 billion litres for 2017. This is therefore an increase of 3.6 % compared to 2016. At European level, production, driven by high prices, is rising sharply in countries such as Ireland (+9.1 % between January and September), Poland (+4.7 %), the United Kingdom (+3.9 %) and Italy (+3,5 %). Although the milk price is rising in Belgium, I note that the number of tonnes of milk powder for public intervention remains very high. According to the latest figures from the European Milk Observatory, nearly 380 000 tonnes of milk powder have been stored for public intervention. This quantity of milk powder is currently threatening the European milk market. I believe that this stored milk powder will have to be brought back on the market very gradually once the situation has improved sustainably. I call for the future link between the European Milk Observatory and the automatic introduction of production control instruments when a specific threshold is reached. We must avoid a new crisis at all costs, such as the one in 2016. This has led to the storage of a large quantity of milk powder in the European Union. At the European Agriculture Council on 29 January last, the Agriculture Ministers adopted the regulation proposed by the European Commission. It reduces the ceiling to zero for fixed-price purchases under public intervention for skimmed-milk powder which entered into force on 1 March. In a note presented on the occasion of the same European Agriculture Council in January 2018, France, supported by Belgium, proposed several measures. All regulatory possibilities were examined. The objective is, on the one hand, to free volumes but, on the other hand, not to weigh on a market so that it would destabilise. France proposes to use traditional offers without fixed prices, but also to find market outlets in animal feed to help the most deprived and to fight against the malnutrition of hospitalised people. I regret that there is no solution at this stage to eliminate that surplus which is the subject of a consensus between the Member States that are members of the European Agriculture Council. Finally, what about the possibilities of exporting that milk? Certain third countries, particularly in Asia, are asking to import more milk, for example because their population is increasing and their standard of living is rising. That's an interesting slope.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u115	Thank you, Minister, for your reply. If I understand correctly, we are far from getting rid of these 380 000 tonnes. There is a threat of dumping on the market, a sale at very low prices. However, we must get rid of this stock, because that is a threat to our milk farmers in general. I am very sorry that we cannot find a solution at European level. Long ago we warned that we do not want to go back to the milk ponds and butter mountains of ancient times. The abolition of the quota has not done much good, because the market has not adapted to it. They're all short-term solutions. I think you should keep negotiating. If we want a future for our farmers, for our dairy sector, we will have to work on long-term solutions instead of short-term solutions. I may repeat myself, but I'm encouraged that we're not achieving a decent solution. I can't help it either. I would ask you to keep an eye on this and continue to negotiate with your colleagues so that milk powder stocks do not grow in the future, but that we create and use production control instruments so that we can stop stocks. They only cost money and simply do nothing.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u116	Mr President, before I ask my question, I would like to make the following point. You have tried to work very flexibly. I've been here since 9:30. I had seven questions, of which I will have difficulty getting three answered. Maybe we should work differently. If we move the questions from who cannot be here to the end of the sitting, then the questioners may still come to see their question dealt with. Agenda items 40 and 43 have been dealt with, for example, for this point. We're not here for the farce either. I'm sorry about that. One could reverse the working method and be flexible in this way. Anyway, it is what it is.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u117	If I can answer: of course, we have a lot of questions, but the last time we were able to ask was in September 2017. There's definitely a lot of them. Several colleagues have asked us to wait for their arrival. Some came and left. Several colleagues have turned their questions into written questions. When there are questions attached, the questions of the absent ones fall. There are not many questions left in the previous part of the agenda. Above all, we do not have time to deal with it. Indeed, we have been working since 9:41. It will be 2 p.m. soon. We are under agenda item 36. It is for this reason that I ask that we be able to set a new date soon enough to deal with the issues that could not be dealt with today.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u118	Mr President, of course I am not going to interfere with what has just been said. It's your business. I'm glad I had a long time with you. Apart from that, I would like to point out that if we have not been able to meet more often to deal with oral questions in this committee, it is because we were somewhat busy elsewhere. We've seen each other on a number of files. And there were plans. Mr President, I can tell you at any rate that I hope that we will be able to hold Question Sessions more regularly. You'll only see from the opening on my part in relation to that.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u119	We're the plaintiffs, Mr. Minister. No problem!
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u120	Ladies and gentlemen, Mrs Gantois, I will respond very quickly to the President's proposals in order to hold a further oral question-and-answer session extremely quickly.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u121	Minister, in January you and a delegation from the Federal Agency for the Safety of the Food Chain in Beijing had a meeting with the Chinese Deputy Minister of Agriculture. He promised to send a mission to Belgium to inspect the chain of the Belgian white and blue with a view to an export licence to China. That is a step in the right direction. After all, China's distrust of imported food is high, partly as a result of the outbreak of mad cow disease in the 1990s. For example, in 2016 an export certificate was signed after seven years, making the Chinese market accessible to pig heads and bodies. Now you have also obtained an agreement for pig legs, which is very good news. Still, there is a huge export potential for the Chinese population, which accounts for 20% of the world's population, but only 10% of the world's agricultural land. We must try to fill that out. I would like to have an update on the agreement. Is there any prospect of additional export opportunities?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u122	Mr. President, Minister, given the decline in our domestic meat consumption, you have undertaken an Asian tour to encourage our international partners to buy our meat, so boost our exports in order to sell our overproduction. You have closed your Asian visit to Vietnam, where the National University of Agriculture of Vietnam, partly financed by Belgium, which raises Belgian pigs of the Piétrain breed, is located. The Vietnamese University is trying, through a breeding and breeding program, to create a variety of pigfish adapted to the country's climate. Minister, we welcome your initiatives to promote our local agriculture and meat. Here we would like more information about your trip to Vietnam. Did the Vietnamese government seem seduced by our meat? How did the discussions take place with your Vietnamese counterpart? What about the discussions for future collaborations between the National University of Agriculture of Vietnam and our universities? What collaborations have been mentioned? When will they be realized? More generally, were you satisfied with your Asian tour?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u123	Mr President, I should like to point out that my question No 24964 in item 56 of our agenda is also turned into a written question.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u124	I take note of that, Mr. Flahaux.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u125	Mr President, Minister, an AFSCA agent will be posted to Beijing this summer 2018. The aim is to further open up certain markets for the export of Belgian agricultural products, including meat, particularly in China, where demand is growing. I can only welcome this opportunity for our Belgian farmers, as the meat sector in Belgium is faced with a decline in domestic sales, since in general the Belgian eats less meat. The same applies to beer. There is also the prospect of free trade agreements between the European Union and Mercosur (Brazil, Argentina, Paraguay and Uruguay) which may see an additional massive supply of meat on European markets. Hence new concerns for our farmers. Minister, I would like to draw your attention here to the fact that my question dates from 28 February, that is, before the Veviba crisis. Minister, beyond the different health rules between China and the European Union, what are the main technical barriers to the export of our agricultural products to China? What are the possible volumes that could be exported to China? Is the mad cow crisis still in the memory of the Chinese interlocutors, 20 years after it broke out? Today, I'm afraid they'll remember much more recent events. What measures, if any, are being taken to convince Chinese people of the quality and hygiene of our products? In addition to meat, what other agricultural products are likely to be exported to China? I imagine there is chocolate in particular.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u126	Minister, as I have just said in my question about your stay in Vietnam, your political action is to improve the export of our meats and therefore our overproductions, in the face of the downward trend in domestic consumption. China, for its part, is experiencing difficulties in meeting its meat demand due to its demographics. Therefore, the challenge is to blow up some locks in Chinese regulations such as the Belgian beef embargo or the health ban related to the mad cow disease of AFSCA. Other countries, such as France and Ireland, have also started a similar process with the Chinese partner. Minister, on these locks, how are discussions with our Chinese partners taking place? What other elements have been mentioned? What positive and negative elements have emerged from your discussions? Chinese and Belgian regulations need to be reformed to allow our meat to be exported to China. What are the main means of action? Do you see any other locks that prevent better cooperation in the sector? In the medium and long term, do you think that exporting our meats to China will become a growing opportunity for our agriculture? What objectives have you set yourself?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u127	The development of our exports of agricultural and agri-food products is a priority and is essential for the majority of the sector. Let us take the example of the meat sector: the level of self-sufficiency in Belgium is 162 per cent. For this sector and for many others, export is therefore a matter of survival. The introduction of health controls to help open markets is a particularly difficult issue for us. In order to speed up procedures and thereby our efficiency, the government released €1.5 million a year in 2016 in support of the AFSCA budget. As you say, Mr Flahaux, it has been decided to send a health officer to Beijing again this year to speed up the processing of our cases with China. The AFSCA Exports Unit informed me that more than 100 cases were being opened with the authorities of third countries. This is a major issue for Belgium. Of course, we continue to explain how effective our health standards are. Their recognition is an essential factor in being able to export. During my three-day mission to China, several ministerial meetings were held, including with the Deputy Minister of Agriculture and the Minister of Food Security. As you mentioned, this country represents almost 20 per cent of the world's population and, therefore, a colossal market. These meetings have enabled us to make tangible progress. Let us be clear: so far, the Chinese simply did not want to address certain issues – and I'm not just talking about beef! We were able to extend the list of slaughterhouses for pigmeat which will be able to export to China. Some operators will also be able to export pig's feet in the coming weeks. A proposal for a protocol for the export of pig's feet was sent to China on 8 April, after receiving a report from the Chinese administration for that category of products on 7 April. About two weeks ago, I met the Chinese ambassador to Belgium, who assured me that he would follow this aspect of the pig file and that he would continue to be one of the actors in the progress of this issue. We have an excellent working relationship and these are elements that count in such cases. As a result of the European Commissioner for Agriculture's visit this week to Beijing at the Shanghai agri-food fair, I asked him on 9 April to examine the possibility of signing this agreement in his presence. This will depend on the Chinese administration, but giving the European Commissioner a mandate to sign this agreement is done to speed things up. I think the time factor is important and I will soon know if the documents have been signed on our behalf in this context. As far as the beef and veal issue is concerned, we had an agreement in principle to reopen the export dossier in China, which was not relevant, while the French and Irish were able to unblock the situation. The situation is therefore also unblocked for Belgium. Since we have received the agreement in principle, a Chinese delegation will soon be going to Belgium with a view to a possible lifting of the "mad cow" embargo, which is still active today. It will be necessary to wait for this visit to draw definitive conclusions. With my firm and the AFSCA, we're following the case very closely. With regard to poultry meat, we have obtained an agreement for an inspection visit by a Chinese delegation by the end of the first half of 2018. This should normally take place shortly. I have also signed a Memorandum of Understanding on Electronic Certification with Mr. Zhi Shuping, Minister of Food Security. Electronic exchange of data on shipments of food products exported to China will reduce the risk of fraud and simplify the work of our administrations. Also during my visit to China, I visited the Chinese Academy of Agricultural Sciences, which, I am sure you know, maintains close links with Belgian universities, including Ghent and Liège. During my visit, I was also able to choose on the spot the stand Belgium will occupy at the Beijing International Horticultural Exhibition, which is in preparation and will be organised in 2019 on no less than 900 hectares for 5 months. So it's a very big "Libramont". Mr President, if we want to trade with China or with other countries, we will never remember enough how essential it is to bet on individual relations between the actors and how important it is to be present at a number of events, such as the horticulture fair or the Shanghai import fair in November. Belgium must make every effort to have its federations represented and the sectors that tend to increase trade with China. I repeat that the Chinese market accounts for 20 per cent of the world's population and that living standards are rising. This mission undoubtedly contributed to the progress. As I said, I did not necessarily expect all the results we achieved at the outset. As I said, good preparation work was done with the embassy in Brussels. Mrs. Galant, you're exaggerating by talking about "Asian tour". It lasted five or six days and it was two countries. It wasn't an Asian tour. I do not rule out going back to China by the end of the year, probably to the Shanghai import fair, which is the number one event in China, since the President's event, in terms of import. During my stay in Vietnam, I met with the Vietnamese Minister of Agriculture. As you said, Mrs Galant, there is already a very old collaboration between Vietnam and the universities of Liège and Gembloux. On this occasion, I took in my arms piglets of Pietrain at the University of Hanoi. Collaboration has already existed for some time. We are facing challenges as Belgian development cooperation ceases. Today, Vietnam's GDP and wealth mean that we will cease development cooperation with that country. It is a matter of continuing to work with them on other bases, which we have begun to address. I therefore pleaded, and obtained, an agreement allowing our producers to export our beef and pears. It's effective for pears. For beef, there is an opening that is substantially comparable to what has been done with China. So we are also beginning to talk about the export of beef and veal. So this is great news for the sector. Our delegation was able to visit the University of Agriculture in Hanoi, which has close ties with Belgium, as I said. Following this excellent contact, the Vietnamese minister, in turn, came to Belgium at the end of March. We visited Agro-Bio Tech University in Gembloux together. We also discussed the establishment of a sector-specific strategic partnership for agriculture. This partnership is currently under discussion. I have, of course, ensured that contacts with the Regions can also be made in this context. Work continues in this area. We have increased the number of AFSCA's FoodEx export cell in order to save time. I believe that having someone in place in Beijing to move the issues forward will save us a lot of time in the future.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u128	Thank you, Minister, for your reply and for your efforts. We close this morning in beauty. You know, as I do, that the white and blue sector is a sector in crisis, so it is very important for new opportunities to be explored and created. You rightly said that Chinese consumers' purchasing power is increasing. His interest in new foreign products is high and we must respond to that. Ensuring markets outside Europe and looking beyond our noses is a priority. You also mentioned Vietnam. Flemish Minister Bourgeois is present at the moment, with a number of representatives of the agri-food industry in his wake. It would be good to join forces and work together. This will produce a better and better result for our exports, which will only benefit our agricultural sector. I am very grateful to you for your efforts. We know that things are not going so fast, but we can only continue to try and insist. Mr President, perhaps we should organise a mission with this Business Committee, together with the Minister.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u129	I take note of your proposal, Mrs Gantois. Might as well finish in beauty! Mr. Minister is open. I'll take note of that. Mrs. Galant, do you also agree with the study trip?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u130	That's right, Mr. President. We can see that this mission has made some progress. Let's hope they succeed.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u131	Mr Flahaux, it is up to you to say the end of this long morning, which continued until the beginning of the afternoon.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u132	Mr. President, you're too kind. I am delighted with the Minister's response. China is indeed a large market, but it is also the case of Taiwan and Vietnam. We have just received information on the export of Belgian pears to the latter country. This shows how proactive you are, Minister, and I congratulate you on that. We know that there are a lot of niches in terms of quality for our agricultural and processed products. The hard work that has made Mr. Minister's reputation can therefore lead to good results.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u133	Mr President, I would like to add that there are important signals and that I am open to associate a few members of the committee, if you consider it desirable.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u134	Ladies and gentlemen, we come to the end of this question-and-answer session.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u135	Mr President, as far as our work is concerned, I do not know exactly where we are, but I imagine that all the issues before item 41 of our agenda fall.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u136	With the exception of questions from colleagues who requested their postponement or conversion into written questions.
