ParlaMint-BG_2019-02-20.u1	We have a quorum. I'm opening the meeting.
ParlaMint-BG_2019-02-20.u67	Thank you, Mr. Chairman. "COMMODITY" on the 2017 Annual Youth Report and the Draft Decision No 802-00-55 submitted by the Council of Ministers on 14 December 2018. At its regular meeting on 7 February 2019, the Committee on Health examined and discussed the Annual Report on Youth for 2017 and the Draft Decision No 802-00-55 submitted by the Council of Ministers on 14 December 2018. The meeting was attended by Mr. Kiril Ananiev, Minister of Health, Dr. Boyko Penkov and Mrs. Zheny Nacheva, Deputy Minister of Health, Mr. Stoyan Andonov, Deputy Minister of Youth and Sports, representatives of word organizations in the field of health, patient and non-governmental organizations. The annual youth report for 2017 was presented by Mr. Stoyan Andonov "Deputy Minister of Youth and Sports." The report shall be drawn up on the basis of art. 5, para. 2 of the Youth Act and approved annually by the National Assembly. Its aim is to show the specific problems for this target group, the lifestyle of young people and their attitudes and values, as well as to take into account the measures taken to achieve the objectives of public youth policy. The statistical data in the Report reports that Bulgaria follows the general trend of ageing of the population for the European Union. Young people between the ages of 15 and 29 are constantly decreasing, with about 40,000 young people per year for our country. The level of migration of young people from small towns to cities is preserved, with more than three quarters of young people living in cities and only a quarter in villages. During the reporting period, the Ministry of Health has implemented a significant number of health promotion and prevention activities in the country among children and students within the National Programme for the Prevention of Chronic Infectious Diseases (2014 - 2020).). The activities of the National Student Competition. Ambassadors of health. Supporting the healthy lifestyle of young people and in particular. The prevention and withdrawal of smoking continues in 2017. Partners in the framework of the competition are the Ministry of Health, Ministry of Education, Ministry of Youth and Sports, Ministry of Culture, Ministry of Environment and Water, as well as the representation of the European Commission in Bulgaria. In the field of youth activities and healthy lifestyle, the Ministry of Youth and Sports supports a new National Program, developed as an additional tool for promoting the socially responsible behavior of young people and preventing different types of addictions. In 2017, the percentage of young people suffering from chronic diseases in the country was maintained.6%, taking into account lower levels of commitment to health. With regard to preventive examinations, 53% declare that they benefit from their right to a profile examination and only 19% visit a dentist. Representatives of the target group, which define their health status as excellent and very good, compared to the same from the previous year, report a 90% increase in 2016 to 93% for 2017. As regards physical activity, the information shown in the document shows that 67% of young people in Bulgaria do not sport and only 38% of them are interested in healthy eating. The percentage of smoking Bulgarian young people is maintained. 46% and as the age progresses it increases. According to the report, 11% of young people used light drugs and 1% declared heavy drugs. The main conclusions in the document draw the attention of the competent institutions to the need to take coordinated and targeted actions to encourage and educate responsible behavior, corresponding to the modern policy oriented for the benefit of young people in Bulgaria. Following the discussion and the vote held on the following results: 12 votes for the 2017 Annual Youth Report, No 802-55, submitted by the Council of Ministers on 14 December 2018.............................................................................................................................................................................................................................................
ParlaMint-BG_2019-02-20.u68	Thank you, Mr. Ivanov. Opinions have been received on the 2016 and 2017 Annual Youth Report by the Internal Security and Public Order Committee. Who's gonna introduce us to them? Is there a Commissioner? Opinions have also been received from the Committee on Regional Policy, Public Works and Local Self-government. Mr. Iskren Veselinov will introduce us to the opinions of the Commission, of which he is President. Here you go, Mr. Vesselinoff.
ParlaMint-BG_2019-02-20.u69	Thank you, Mr. Chairman. Honourable Members, ♪ I can't believe for young people for 2017, No 802-00-55, submitted by the Council of Ministers At a regular meeting held on 31 January 2019, the Committee on Regional Policy, Public Works and Local Government discussed the Annual Report on Youth for 2017, No 802-00-55, submitted by the Council of Ministers on 14 December 2018. The meeting of the Commission was attended by representatives of the Ministry of Youth and Sports: Mr. Asen Markov, Secretary General, Mrs. Petar Mladenov, Director of the Directorate of Policies, Mrs. Panayotka Panayotova, Head of the Investment Policy Department, and Mrs. Gergana Roshmanova, Chief Expert in the Directorate of Policies. On behalf of the importer, the report was presented by Mr. Markov. The annual report on youth for 2017 shall be drawn up on the basis of art. 5 of the Youth Act. The report is a combination of aggregated information from all institutions whose activities relate to young people in the country, data from the National Statistical Institute, Eurostat and other national and international studies related to the topic of the document and the reporting period, and from a national representative survey among young people in the country, the Ministry of Youth and Sport is the contracting authority. The structure of the report is in line with the main priorities of the policy for young people in the country, laid down in the National Youth Strategy (2010 - 2020).), adopted by the Council of Ministers. The main aspects and priorities laid down in the National Youth Strategy (2010 - 2020)) are improving the quality of life of young people through sustainable mechanisms for investing in youth as significant social capital for the development of the country, promoting economic activity and career development, improving access to information and quality services, promoting a healthy lifestyle, preventing the social exclusion of young people in disadvantaged situations, developing youth volunteering, increasing civic activity, developing young people in small towns and rural areas, developing international and intercultural dialogue and enhancing the role of young people in crime prevention. The report presents structured and comprehensive information on the results of all main priorities and the measures and activities taken by the state institutions and municipalities in the country for their implementation for 2017. The relevant conclusions and recommendations for the activities of the individual priorities are made, providing for the actions to be taken by the responsible institutions to improve the conditions for life and realization of young people in the country. In the course of the discussion, questions were raised by Commissioners, who answered the representatives of the Ministry of Youth and Sports. On the basis of the discussion and as a result of the vote, the Committee on Regional Policy, Public Works and Local Self-government, with 9 votes in favour and 7 votes in abstention, proposed to the National Assembly to adopt the draft decision approving the Annual Youth Report for 2017, No 802-55, submitted by the Council of Ministers.
ParlaMint-BG_2019-02-20.u70	Thank you, Mr. Vesselinoff. We will now return to the Internal Security and Public Order Committee report. Mr. Nunev, you have the floor to introduce us to him.
ParlaMint-BG_2019-02-20.u71	Thank you, Mr. Chairman. "COMMODITY" on the 2016 Annual Youth Report and the Draft Decision No 802-00-19 submitted by the Council of Ministers on 20 April 2018. At its regular meeting on 2 May 2018, the Internal Security and Public Order Committee examined the Annual Report on Youth for 2016 and the Draft Decision No 802 00-19 submitted by the Council of Ministers on 20 April 2018. The meeting was attended by representatives from the Ministry of Youth and Sports: Petar Mladenov. The annual report was presented by Mr. Peter Mladenov. The report is summarized information from the competent institutions responsible for youth policies, as well as from the survey conducted "Establishment of the impact of youth policies on young people in the country" which aims to clearly show the specifics of the target group (15 years old) problems, socio-economic realities, the lifestyle of young people as well as their attitudes and values. The questions set out in the study follow the main topics and priorities set out in the National Strategy for Youth 2010 - 2020: promoting economic activity and career development of young people; improving access to information and quality services; promoting a healthy lifestyle; preventing the social exclusion of young people in disadvantaged situations; developing youth volunteering; increasing civic activity; developing young people in small towns and rural areas; developing intercultural and international dialogue and increasing the role of young people in crime prevention. Bulgaria's membership in the European Union applies the standards, values, criteria and principles of modern policy for the benefit of young people. Conceptual policy is based on the following points: youth is a valuable resource; every young person is important; encouraging youth potential; investing in youth; creating an opportunity and providing access to the formation and implementation of state youth policy. National Strategy for Youth (2010 - 2020) is currently in place in Bulgaria.) which represents the first long-term vision for the development of young people. The data referred to in the Annual Report outline the main conclusions drawn aimed at improving and laying the foundations for new youth policies, taking into account the dynamics in the development of the different profiles of young people and objectively existing socio demographic characteristics. With regard to internal security and public order, the study shows that the institutional authority of the police is stable. More than 50% of young people would turn to this institution. However, the study recorded a large share of passivity and inertness in terms of the responsible civil behaviour of young people regarding their response to an infringement that they witnessed. 48% of young people would file a complaint in court if their personal rights were violated. A relatively high share of 21 per cent would defend themselves, including through violence. The study shows rather latent and passive readiness for young people to participate in volunteering. In the presence of a good environment for attitude to the problem and activation of readiness, we can conclude that there is a great potential for involving young people in voluntary initiatives. The Ministry of Youth and Sport also supports the National Youth Information Page from which valuable information can be found for the benefit of young people. People's representatives Tsvetan Tsvetanov, Ivan Ivanov and Todor Bajchev took part in the debates. As a result of the debates held, the Committee on Internal Security and Public Order with 8 votes for the Council of Ministers, 4 votes against the Council of Ministers, and without abstention, supported the 2016 Annual Youth Report and the Draft Decision No 802"19 tabled by the Council of Ministers on 24 April 2018. "COMMODITY" on the 2017 Annual Youth Report and the Draft Decision No 802-00-55 submitted by the Council of Ministers on 14 December 2018. At its regular meeting on 19 December 2018, the Internal Security and Public Order Committee examined the Annual Report on Youth for 2017 and the Draft Decision No 802 00-55 submitted by the Council of Ministers on 19 December 2018. The meeting was attended by a representative from the Ministry of Youth and Sports: Petar Mladenov. The annual report was presented by Mr. Mladenov. The report is a summary of the implemented policies, measures and activities aimed at young people in the country implemented by the responsible institutions in order to meet the objectives of state youth policy. The report also contains detailed data from the national representative survey conducted among young people in the country, commissioned by the Ministry of Youth and Sports, as well as data from the National Statistical Institute, Eurostat and other national and international studies related to the topic of the document and the reporting period. Bulgaria's membership in the European Union applies the standards, values, criteria and principles of modern policy for the benefit of young people. Young people in Bulgaria face many challenges related to their education, realization and quality of life. Many European and global studies have shown a change in youth attitudes in recent years. Communication technologies, globalisation, change in the dynamics of life and thus have a major impact on the lives of today's youth. Their requirements in the sphere of security, professional realization and quality of life are increased. It is not to underestimate the problem of young people who remain marginalized, with low education and lack of work. Conceptual policy is based on the following principles and priorities: youth is a valuable resource; every young person is important; encouraging youth potential; investing in youth; creating an opportunity and providing access to the formation and implementation of state youth policy. With regard to internal security and public order, the study shows that the institutional authority of the police is stable. More than 50% of young people would turn to this institution. However, the study recorded a large share of passivity and inertness in terms of the responsible civil behaviour of young people regarding their response to an infringement that they witnessed. The study also shows a rather latent passive readiness for young people to participate in volunteering. In the presence of a good environment for attitude to the problem and activation of readiness, we can conclude that there is a great potential for involving young people in voluntary initiatives. The activities of the National Program "Work of police in schools" is an essential part of the preventive activities of police officers in relation to crimes committed by and against children. 8073 lectures were given in 1529 schools with the participation of 762 police officers. The police officer's hour was held in 6934 classes from I to XII in schools in the country. The brochures for prevention of the use of drugs, alcohol and cigarettes include rules on safe behavior of children and parents. The program is successfully carried out with the aim of children's police headquarters for value treatment of the laws, the formation of habits for safe conduct, building a civil position and increasing confidence in the police. There are also a number of municipal, regional and Republican competitions of young firefighters formed. The Academy of the Ministry of Interior has regular training courses and professional qualifications of the staff of the Ministry of Interior, related to specialized hearing of children victims or at risk of violence. The conclusions in the report suggest the need for coordinated and targeted actions of competent institutions, including legislative initiatives to educate and activate civil behaviour, adequate to the values and principles of modern policy towards young people. As a result of the vote, the Committee on Internal Security and Public Order with 9 votes for the Council of Ministers and 8 votes abstentions supported the submitted Annual Youth Report for 2017 and the Draft Decision No 802-55 submitted by the Council of Ministers on 14 December 2018.
ParlaMint-BG_2019-02-20.u72	Thank you, dear Mr. Nunev. These were all committee reports. I'm opening the debate. You have the floor. Are there any speeches? Mr. Ali, come in.
ParlaMint-BG_2019-02-20.u73	Thank you, Madam President. Dear Minister, Vice Minister, ladies and gentlemen of the House! I will start with a brief quote from the report, which reads: "Many European studies show a change in the attitudes of young people in the last decade. Yes, young people's attitudes have changed rapidly. The question is how quickly we have adapted to this change and what we have done over the past ten years. The fact that the 2016 report is being adopted almost three years later is, to put it mildly, illogical, and we of the DPS do not know how up-to-date this report is given the rapid change in the attitude of young people. The free time of young people is a field of development of personal choice, as long as the necessary infrastructure, quality services and information is available. But the necessary infrastructure is gone, it was not in the small settlements in 2016, it is not today, so the necessary infrastructure is gone. It follows that the finding of young people's free time in most small settlements in Bulgaria is currently not true. The realities and problems are clearly defined in the Report. The directions of action are clear and only the actions are very late, and for years. The report lists 275 thousand 136 young people up to 29 years of age who live in villages. This separate set, as you call it, has far different problems than young people, for example, who live in Sofia. Young people from different areas and cities should not and should not be placed under a common denominator, because unemployment and low incomes are a priority in small towns. When we talk about young people, we believe that the Movement for Rights and Freedoms must have a differentiated approach. Yes, all these statistics in the Report are necessary, but it rather shows that we have been treading together for years with a high rate of youth unemployment compared to previous years there are fewer and fewer young people, children, students who finish their secondary education in small towns. This is due to the difference in access to education in cities and villages, which is becoming more and more distinct. These are the facts, honourable Members, in the Report. Another disturbing fact in the report, according to which Bulgaria is among the countries in which at least young people have not smoked at least once in their lives - 55%. It's the same with alcohol and drugs. In Bulgaria, the percentage of 16-year-olds who tried some alcohol at least once in their lives retains about 86%, the difference between boys and girls, honourable colleagues, is only 3%. And here is the question: why are we writing these reports, if they are not helping and do not reverse the negative trend? I'll give you the following example right away. The report says that in the Children's Pedagogical Room there are nearly 9,000 young people. The point is that there is not a word in the Report about this, so what is the result of this conduct? In our opinion, according to the Movement for Rights and Freedoms, each of these worrying findings must be accompanied, firstly, by measures, but measures that are quick and effective and below each problem should indicate the results achieved. Thirty percent of Bulgarian youths declare that at the first opportunity they would go to live abroad. I am convinced that if an up-to-date consultation is made now, this percentage will be much higher. National programs, regulations, plans are written. The result of these annual reports is a huge amount of documents. Dear colleagues, paperwork is huge, and the effect of it is unfortunately inadequate. We at the Movement for Rights and Freedoms believe that there is no need for huge work to unite around several current annual programmes, those that are currently up to date. It is particularly important for young people to begin gradually the real work of dealing with the demographic problem. The colleagues who presented the 2017 Report, if you were impressed, compared to 2016, the population of Bulgaria decreased by nearly 52 thousand people, and this is a medium-sized municipality that has disappeared from the map of Bulgaria. That is why we believe that there should be a specific that builds rather than findings recorded in the reports. It is only so that these reports have their effect when accompanied by the concrete work of the institutions on which it depends the alarming tendency for young people's lives to be stopped. Thank you for your attention.
ParlaMint-BG_2019-02-20.u74	Thank you, Mr. Ali. Are there any lines? I won't. Are there any other statements? You have the floor, Mrs. Zhelyazkova.
ParlaMint-BG_2019-02-20.u75	Dear Madam President, dear Minister, honourable colleagues! Youth policy is not only a policy that connects with infrastructure, sports, art, culture, education, IT technology. Youth policy is a set of every aspect of our environment. Youth policies aim to help young people and the youth sector and enable young people to start their lives equally by supporting their activities, adapting them and enabling them to show their skills and competences. Many things can be said about what should be the policy pursued in this sector. Undoubtedly, young people are a priority of the government and the political party GERB. There are a number of examples that we can give, but I will not dwell on them because each of you sees them. I will refer to the two reports that we are dealing with today. For the first time the reports have a positive trend, reflecting the data on the activities carried out by all state institutions and their results. What is undoubtedly ahead of us is a lot of work so that we can strengthen the development of this sector. It is important to note that increasing civic activity is one of the priorities in public youth policy. Dear colleagues, when we talk about young people, we should not talk about negativity. Young people need optimism, a positive perspective and support the most. I welcome the efforts of the Ministry of Youth and Sports to be an inseparable partner to every activity of young people in the country. Thanks to the active dialogue that takes place with the non-governmental sector and numerous trainings and seminars are implemented aimed at raising awareness and supporting the sector. The projects and programmes by the institutions have largely managed to build competences and additional qualifications in young people. Each of us knows that the most important communication skills are being built precisely in this extracurricular activity in which they can gain additional knowledge. When education is, in parallel, the number one priority of the government, I am convinced that subsequent reports will also have the meaning of development in the positive direction. The reports concern several very important topics: the specific problems for this target group, the socio-economic realities, the lifestyle of young people, as well as their attitudes and values. They can see the information in terms of social status, education, employment and migration, rights, processes and communication in young people. With regard to employment data from the administrative statistics of the Employment Agency, it is shown that youth unemployment in our country has significantly decreased compared to 2016. The dynamics of youth unemployment in 2017 show that in December 2017 the unemployed are shrinking by almost 16% compared to January 2017. Forty-two percent of the working young people do not intend to change their jobs. Although it is not the scope of the report, I would like to share with you the statistics for 2018, which really tells us that the situation in the sector is following a consistent and positive trend. The number of unemployed people registered by the age of 29 at the age of 31 December 2018 is nearly 7,000 fewer than the number of young people registered by 31 December 2017. The share of unemployed young people by the age of 29 in the total number of unemployed also decreased by 13.2% in December 2018, compared to December 2017 by 14.2%. Last but not least, I would like to point out that young people in Bulgaria are no different from young people in Europe. They face the same challenges related to education, realization and quality of life. The young people's group is one of the most dynamic and rapidly developing because of the transition and the rapid role that they pass into each other's education, work, family and others. The movement from small towns to large cities is valid for the whole of Europe, not even just for young people. Freedom of movement is one of the fundamental rights of the European Union and is a normal element which is monitored by all countries in the Union. The penetration of information and communication technologies, globalisation, as well as the change in dynamics of life, have a serious impact on today's generation. Today they have increased requirements for what is happening around them, but mostly in the sphere of security, professional realization and quality of life. Therefore, in the efforts of all of us, the needs of the young generation need to be deeply involved in the fight against social inequality, social exclusion by creating more opportunities for personal, professional and social development, which is a guarantee of a full life. Young people need security, expressed in our support, independence and a chance for development. I welcome the 2016 and 2017 reports. I am convinced that together we can continue to fight the challenges facing the young generation. We need to listen to it, because it always has something to tell us. Thank you.
ParlaMint-BG_2019-02-20.u76	Thank you, dear Mrs. Zhelyazkova. Are there any lines? I won't. Are there any other statements? I won't. I'm closing the debate. We're going to vote. Mr. Atanasov, please read the decisions.
ParlaMint-BG_2019-02-20.u77	Madam President, ladies and gentlemen of the House, Mr. Minister! ? RESPONSIBILITY? approving the 2016 Annual Youth Report The National Assembly on the basis of art. 86, para. 1 of the Constitution of the Republic of Bulgaria in relation to art. 5, para. 1 of the Youth Act HAS DECIDED Approves the 2016 Annual Youth Report
ParlaMint-BG_2019-02-20.u78	We're going to vote. I put to the vote the decision that Mr. Atanasov just read. They voted 107 MPs: 96, none, abstention 11. The motion is accepted. Please read the next decision.
ParlaMint-BG_2019-02-20.u79	Thank you, Madam President! Dear Madam President, Dear Minister, Dear Members of the National Assembly! ? RESPONSIBILITY? approving the 2017 Annual Youth Report The National Assembly on the basis of art. 86, para. 1 of the Constitution of the Republic of Bulgaria in relation to art. 5, para. 1 of the Youth Act HAS DECIDED Approves the 2017 Annual Youth Report
ParlaMint-BG_2019-02-20.u80	Thank you, Mr. Atanasov. We're going to vote. We are voting on the decision just read from the National Assembly stands. They voted 102 MPs: 92, none, abstention 10. The motion is accepted. Dear Members of Parliament, we have finished the work for today. Tomorrow a regular meeting of the National Assembly at 9:00 p.m. We're adjourned. [[PHONE RINGING]]
