ParlaMint-NO_2020-06-19.ana.ud168e128	His Fredrik Gruvan will present a draft constitution.
ParlaMint-NO_2020-06-19.ana.ud168e3061	The government that is now sitting — and also the previous one, with the Progress Party — has for a long time reduced its preparedness throughout Norway, and in particular the police have been razed and heavily centralized by a near-police reform that the government adopted with an ambition to create a close and present police force, but which has instead led to a police that is distant from people and which takes longer before something serious has happened. We in the Central Party are giving priority to preparedness in our alternative budget. We give priority to preparedness in many areas, because it is something that needs to be seen as a whole for more disciplines, but in the field of justice we give priority to, among other things. an increase in free resources for the police districts, we give priority to strengthening fire and rescue in Civil Defense, and we give priority to strengthening helicopter preparedness in North Norway with a multi-purpose helicopter stationed in Kirkenes. After all, we have been told that there will be a police report – which has been waiting for a few years – but if the government keeps its word this time, it will come before summer, that is. during the next two weeks. There will be an exciting message, where the Center Party expects the government to end with explanations of the poor results of the police in terms of being close and being present. In the nations a few days ago, Secretary of State Kleppen Sättem wrote that police reform is not a near-police reform; it ‘is primarily a quality reform’. He's trying to change the story by getting away from the fact that you've completely failed to deliver a police force that's present where people live. The close police reform adopted by the Stortinget with the Right, the Progress Party and the Labour Party was not primarily a quality reform, if you read the documents – it was primarily a reorganization of the police against which the Central Party warned, but which the government itself thought would lead to a closer police force. The document adopted at that time states, among other things: There is an ambition to significantly improve the response time to the police. It has been no longer than yesterday that the Police Directorate provided new figures on response time up to this year, in 2020, and it is clear that the response time has increased from the police reform to the date of adoption. So you've been able to spend a lot of money, rage the organization of the police into the negative of most of our country's inhabitants, as well as the achievement of not improving the results, but on the contrary, exacerbating them. We have previously challenged the Minister of Justice that the 400 temporary police posts due to the Korona must be made permanent. I am very disappointed that has not happened in this alternative budget.
ParlaMint-NO_2020-06-19.ana.ud168e3076	I am pleased that both in the majority vote on the revised budget and in the comments of the Labour Party, emphasis is placed on recriminalism. That's all there's to it. The situation in the Oslo area is important for the whole country. We've now got a bunch that we've been afraid of for a long time, Satudarah, which is an international and dangerous MC-criminal crowd. The situation is also that Young Guns, an older group from the 1980s, now headquartered in Lørenskog, Romerike, strengthens and recruits young people. We have new, younger teams that everyone has probably read about in the media, like Young Bloods on Holmlia in the area of Oslo South, and we have even younger gangs on the Tøen and Greenland, among others. one that calls itself 313, where there have been a number of serious incidents between these frequencies in recent months. I am pleased that the Storting will be committed to making a better effort towards these serious relay environments, which can have a very crucial impact on development both in Oslo and elsewhere in the country ahead. The government parties and the majority add up to 25 million. NOK here, something also goes into the Workers' Party for its extra bet. You write that you're going to spend that money patrolling more often. I just want to say about the extra bet that it's important to understand that the gangs don't roll up by patrolling. Another type of quality is required in the effort, so I hope you will see how to use that money. The unit that does the most important job, which has done the most important job over many years, is called Special Operations. They are close to the crowds, have knowledge of them and know enough about how to work, to get them caught, prosecuted and convicted. This unit is halved, or they're far fewer than they were a few years ago, and they're used for a lot of different tasks now, so that the specific effort towards the rest of the world is weakened. That's what we need to strengthen, more than driving around the streets. Both parts are good, but we must be aware that the main characters here are not on a corner – they must be included in other working methods. It requires long-term work, and it's not done with $25 million. kr in year. The previous rendezvous project went over five years. It turned out that it was too short a time. We have to work long-term. Especially for the younger ones who have already become dangerous criminals, we need more places in what is called the Youth Unit, not normal prison, but in youth units, where they can get help to get out of their environments. We are proposing this today. And when they're going out of jail, out of prison, whether it's older gang criminals or these kids, they need an exit program, so they don't end up in the same environment, the same carousel. These things are missing in Norway today, so I hope the Stortinget will be able to follow up these proposals in the future.
ParlaMint-NO_2020-06-19.ana.ud168e3085	I have comments on a few specific suggestions in the configuration. First to the air ambulance crisis and preparedness in the north: We have been promised several times by the government that the audit would contain an overview of the economic consequences of the emergency failure of the ambulance flows after the change of operator in 2019. It hasn't come. The majority has also decided that Kirkenes should receive an increase in intensity, i.e. respiratory therapy. We also asked what this would cost. There is also no money in the revised version, and we do not get answers to questions about what this sums up to. So we're forced to make a proposal to get an overview of these conditions, and that's very important, because unless you treat the patient and take the money from there. So for alcohol policy: I am surprised to learn that the government has decided to nullify two proposals adopted by the Storting: one proposal for a national alcohol strategy to be put before the Storing and one proposal to lift the decision to set up a public selection to assess the social consequences of alcohol use in society. I couldn't predict when the Christian People's Party went into government, that they themselves were going to be involved and zero out important proposals for alcohol policy, for which they got multiples together with us and the Workers' Party and SV. The centre party disagrees that these proposals should be cleared. The third thing I want to raise is that one has been a few things about in the negotiations with the Progress Party on a priority of a children's hospice in Kristiansand, with 30 million. kr in annual ear-marked funds on the State budget. This is an offer that is highly debated, and both professionals and relatives are critical. A lot of people want to bet on children's palliative teams, but this isn't worth a penny. The store has also been sent a big message about palliation, which is to be addressed to the cottage. Now we are getting this priority today, which in a way short-circuits the whole professional-political debate on how we want the palliative field to develop in the future. Barnehospice was also not recommended in the NOU on palliation that came in 2017. It is not recommended in the Health Directorate’s 2016 guidelines, and children’s scholarships are opposed. The reason is that seriously ill children must be offered where they live, i.e. almost possible in the home. The most important thing to do first is to prioritize children’s palliative teams in public health. So we also have a proposal that goes on this.
ParlaMint-NO_2020-06-19.ana.ud168e3094	Think that in three months we went from having historically low unemployment in Norway to seeing unemployment rates we haven't seen since the war. On company visits we were told earlier this year that the main obstacle to growth in Norway was the lack of skilled labour. Within a few weeks, the picture turned upside down. A total of 431,000 people registered as jobseekers at Nav after 12 March. The point of light is that there are now 215 000 fewer lay-offs, and that the activity and labour demand are addressing themselves. The government's powerful, targeted action has worked. We have had stress tested our welfare state, and it has proved robust, but not without faults and defects. That being said, it is not a fault or a lack that it takes time to change the operating systems of the Nav for the payment of daily and pay compensation. When the government reduced the employer’s period of leave in order to save Norwegian jobs and people from becoming unemployed, the Stortinget – with the right votes – expanded this with a compensation that has never been used before. For example, during the financial crisis, the red-green employer period decreased to five days, without changes to compensate employees. In red-green language suits – the Workers’ Party, the Centre Party and SV – they reduced the employer’s period and sent the bill to ordinary workers. So there's a three-day difference between what they're criticising this government for today and what they did in 2008 or 2009. The size knew that the change would lead to delays. The working party received a clear answer to its question on 13 March in connection with Prop. 52 S for 2019 – 2020: The establishment of any new income protection scheme will not be possible in the short term, i.e. it may take several months to put in place new systems. Those who are waiting for money have every right to be frustrated and cursed, but the Storting has known this all the time, and a total greatness should be grown up enough to support the decisions we make. The parties cannot boast on the one hand of getting more money through to others without at the same time taking responsibility for the fact that it has led to problems for many. But since the government is committed to helping people, a temporary advance scheme was already completed on 30 March, before all other support schemes were in place. The government prioritises the employees, and 180 000 have been paid more than 3.8 billion in advance. kr pending the entry into force of the decision of the Storting. Prepayment arrangements apply for the year and average two to three days from application for payment. Nav is in the process of getting up to date, but again Red and the Workers' Party come up with proposals that will lead to further work that will delay the development of the hub and the payment to workers. The right goes against the proposals. We have an advance plan that works. Let Nav do his job. For the Right, the most important thing now is that people get the money they are demanding as soon as possible, so that we can not only wish each other happy glory, but also with a good conscience wish each other good summer.
ParlaMint-NO_2020-06-19.ana.ud168e3107	I'm concerned that the Progress Party and the government are proposing to cut resources for vaccines and the Cyber and Information Security Centers. SV suggests removing the cut. Today, I have tabled a proposal for an adult vaccination programme. People live tighter and tighter, and we travel far from farms to other countries – except under the corona pandemic. We don't have to cut vaccine resources. We need an adult vaccination programme to improve public health and minimise infection. SV wants everyone to get good health care throughout the country. We know that many families with sick children don't get the help they need. We have to listen to the lion mothers, who fight for their sick children. They say the offer is not good today. The Government and the Advance Party will spend money on a hospice one place, the furthest south of Norway. Many of these seriously ill children cannot travel far from farms. Why does a sick child and the whole family have to travel from Tromsø to Kristiansand to get help? SV suggests using this money to establish a children’s palliative team across the country to ensure that seriously ill children and their families get more time together at home. We want to move the money from one building so that all families with sick children can get better help across our country.
ParlaMint-NO_2020-06-19.ana.ud168e3116	When I've asked for the word completely at the bottom of one, long, comprehensive debate, it's to talk about an important industry: culture, and in this kind of special field of music. In the proposal on which we have four parties – the Government Party and the Advance Party – and which will have a majority today, we have the following decisions: ‘The government requests that subcontractors be included in the technology of the compensation scheme for cancelled cultural events, in order to be able to seek compensation for lost revenue in the event of cancellation or closure of events in the cultural sector. The Government lays down detailed terms and conditions for inclusion in the plan.» This is a seven-mile step in the right direction, and will last for the business that really feels the coronary action on the body, in a way that is far better than what has been the case at present. At the same time, we have to be humble enough to admit that even what we are doing today is not good enough given the entire food chain in the industry. On behalf of the four plural parties, I need to stress, as Mrs. Johnsen did earlier in the debate, that in close cooperation with the government, we will continue to work intensively and quickly, so that the final solution also takes into account the work of the artists.
ParlaMint-NO_2020-06-19.ana.ud168e3131	There has been a long debate, but it is also an important debate. For the Central Party, the discussion and what we have presented in our proposals on alternatives in the revised National Budget and Action Package 3 have been services close to people. The centre party goes in to strengthen the municipal economy so that municipalities do not have to cut down as a result of the virus outbreak. Let me stress that the most important tool we have to reduce unemployment and get people to work is that Norway should have profitable enterprises with sufficient jobs that workers need to do, and that the public sector should therefore be actively used to create this demand. Private business is crucial for value creation before, now and not least after the crisis. It must also be that the public has the means to initiate measures. The business compensation scheme is designed to make small enterprises disproportionately poor, and therefore many smaller enterprises do not receive any aid. It is particularly unfortunate in the districts, where both several of the smaller enterprises and not least companies with large seasonal variations in their incomes are involved, and the government’s package of measures is inadequate. When we see the payments that have occurred, and how much of the money that was set aside in the past has been used, the Central Party proposes to eliminate the excess both for March and April. In our proposal for changes to the revised national budget, we say that it should be granted over 9 billion. kr to the municipal sector in order to ensure the important service provision provided by Norwegian municipalities to the population. Municipalities will be able, as I was involved, to launch planned projects and not least to carry out projects in order to provide activity and employment for a period where this is particularly crucial. A good community economy and proximity between people and local people is a prerequisite for ensuring that everyone in Norway can live a good life and get the services they need. This spring we have had extraordinary challenges in our society, and the first line has been the one that has marked it the best. Then we talk about the health workers, teachers, kindergarten workers and cleaning workers who, together with a number of other public servants, have made an extraordinary effort to treat both the sick, provide care and care, develop new teaching arrangements and in other ways keep the wheels going. Together, they have shown that the municipalities are the crucial pillar of our welfare society both to everyday life and not least to a crisis. The centre party therefore believes that municipalities and county councils should be guaranteed full compensation for all additional expenditure and income losses associated with the corona epidemic. It will provide security for local politicians and thus provide security for future welfare services.
ParlaMint-NO_2020-06-19.ana.ud168e3144	SV and I would like the government to understand that it is now essential to stimulate green business rather than to carry oats to a horse that may not be completely dead, but that is old and lame and may not have so many years left. In the previous posts I talked about a green maritime industry, and it was perhaps the young, new, breeding horse we were going to carry a little more oats. I have a few more examples. Norway has very good prerequisites for becoming a nucleus of battery cell production. We have the world's leading process industry and competence and have well-developed, advanced technological environments that can make an absolute contribution to sustainable battery production 2.0. We've got most of it going on for the whole production chain. We also have a completely different production chain in Norway, the one for green hydrogen production in this country. Then it was difficult to see the government's hydrogen bet, which was presented a short time ago. It was quite foolish things, to say it like that, and it was also my colleague Haltbrecken on the inside. And isn't it now that we should bet on the railway, instead of this four-field highway mania that has ridden the government for years? The Nordics are flying as much as if we were a country with 50 million people, if we were an average country in Europe. It's not because we love to travel to airports, stand in a security queue and sit tight on the plane. No, it's simply because we don't have a real, environmentally friendly option to get quickly from Oslo to Bergen, Oslo to Stavanger or Oslo to Trondheim. The train has to advance faster, but unfortunately it does not expand. Right now, we should first, as in the short term, think about building up all clear small projects and maintaining everything that is possible by rail, while at the same time lifting our eyes and thinking about long-term and faster trains to Trondheim, Bergen and seafaring Stockholm and Gothenburg. Then we think of the environment, economic development and economic recession at the same time. What are we waiting for? Without going into concrete figures, I would like to sum up that SV will be investing more in the municipality. There are many alarming reports from Kommune-Norway about this, and other SV speakers have mentioned it. The second initiative is a green direction for Norwegian business, with much more money for such a bill – the project that SV calls green new deal. We've put off about 10 billion. kr to that field. It shall go to CCS, hydrogen research and funding through Enova, Nysnø, etc. and, in addition, for nature conservation and natural restoration. SV's policy is really a win-win for the red and the green, as it always has been.
ParlaMint-NO_2020-06-19.ana.ud168e3159	Let me start by saying that I agree with the last speaker that railway bets are important, and then like to go all the way to Tromsø – in the first round. But for the reason that I drew: I want to boast of the agreement we have made with the government parties. Now it's important for the first time to bring forward Nordic cultural history in a way that is different from what you've done in the past. It is a fact that what is the world's oldest liquid spare, which has its place of residence in Harstad, called «Anna Rogde», is a cultural-historical treasure, which should receive the same treatment as any other floating cultural-historical treasure we have in this country. Unfortunately, until the revised national budget this year, only floating cultural-historical taxes in South Norway have been prioritised. I am pleased that we are now also raising «Anna Rogde», and I hope and believe that there is something going on in the budget, so that there will be a permanent allocation from 2021. But then: I saw the need to draw myself to bring it up that at least from the point of view of the Progress Party is a clear point of view. The consensus we have reached with regard to the National Emergency Response Centre of the Police, which I was in the community, and now 32 million more people have been given to deliver the content – I repeat the content of the Centre – is about crews, it's about equipment, it's about enabling it to handle terror on Norwegian soil. This is not about the construction project, because it is fully financed and delivered on time and price. I just want to make it clear in this Chamber from this pulpit that our opinion is that this should go to the contents of the National Police Emergency Centre, because experience may be difficult to perceive in all parts of the justice system. If our partners are of a different opinion, I hope they will clarify it in the debate today. On the other hand, I believe that we have a common understanding, that it is about the content of the National Police Emergency Centre, so that it cannot be misunderstood at all, either by the Police Directorate, the Ministry of Justice or by the Oslo Police District, for that matter. That's the content we're talking about, and it's about enabling Norway to deal with terror on Norwegian soil. It's an important, amazing bet that's been made on Taraldrud, which is now being realized, and it opens December 15. Then everything should be in place, and I hope we get that 32 million. kr we get an impact for today.
ParlaMint-NO_2020-06-19.ana.ud168e3170	When I take the floor now, it is because it is not just in this debate that the time is running out. It is also running out of price support for students. It lasts only eleven more days, but the financial problems created by the coronary apathy for the students are going to persist. Throughout the crisis management process during the Korona outbreak, the Labour Party has stood for socially equitable solutions. The crisis aid to students would only have been a clean loan if the government had decided. Everyone knows that students have to work alongside the studies to do well. Without 12-month study support, it must be a political responsibility to find solutions for those who are particularly vulnerable when the labour market fails after Norway shuts down. Many students now experience that the summer job they had agreed to is no longer available. The students compete with many more about the jobs, and with high unemployment it is not the students who are in line. Someone's going to be okay with the family's help, but what about the others? In the Workers' Party, we do not accept that the pandemic should go most out on those who have the least in the past. We don't accept that students have to break off the studies because they can't feed on themselves. We view it as a rather sad discharge that the State Council for Higher Education in this difficult time is completely abdicated, and in full seriousness, the students are asking for social assistance. In this way, he himself contributes to the social distortion of the pandemic and increases disparities in Norway. The Norwegian student organisation has warned against this for a long time, and we in the Workers' Party believe that the Council of State urgently needs to find a socially fair and simple, unbureaucratic system in dialogue with the student organisations themselves. So finally, the Labour Party will use the crisis to create activity and facilitate forward-looking growth. We allocate funds to 4,000 new places of study as one measure. Another is to upgrade and adapt research and teaching areas of 100 million. kr. In order to ensure students a good welfare offer beyond the fall, we want to secure Student Relations, which is an actor who has fallen a little between two chairs here. We know that they made an invaluable effort when the campuses shut down, the revenues disappeared, and employees were on leave, while the students needed more follow-up than ever. Finally, many of the student communities' housing is out of date. We want to rehabilitate these old homes as a countercyclical measure, but in addition we want a permanent solution. In this way, the climate pressure can be kept down and students can also receive good and rehabilitated housing in the future.
ParlaMint-NO_2020-06-19.ana.ud168e3185	It is good that so many in the course of the debate are calling for green measures when we are about to leave the corona crisis. But we have a green package of measures – the government proposal – of 3.6 billion. kr, and it is based on a green conversion that we have had over many years, with the introduction of climate rate and support to municipalities. We've had 80 pst. increase in Enova every year, to 3.2 billion. kr – 1 billion. increase in last year and 2 billion. Now kr. We have established Nysnø and filled in every year. We're leading the world in zero-emission transport, whether it's almost 50 pst. electric car share, or that's the green shipping development we have. The collective share only increases and increases for each year. This is a policy that works. Last year we reduced emissions by 3.4 pst. We're now down to 50.3 million. tonnes of CO 2 equivalent in Norway. So now we have eye contact with the climate goal from the climate agreement in 2012. If we implement the same emission cuts in 2020 as we did in 2019, we reach the goal of reaching 48.6 million. tonnes. We're going to halve the emissions by 2030. That requires that we continue our efforts. Then we can't have parties like the Workers' Party that are already telling them to impose taxes on electric cars, until we know if we reach the targets of zero emissions in 2025. Then we can't have SV that doesn't have the courage to use biofuels and go forward to develop the advanced biofuels that we need to maintain the goal of bringing down the emissions. And we can't have the Center Party that will cut environmental taxes, and will not have the international cooperation we need to implement the necessary greenhouse gas emissions. It is precisely through international cooperation that we also get the economic development that we need in Norway. It is through cooperation that what we do in Norway – where we are at the forefront, where we have a large domestic market – provides an opportunity for our business to also export and use that technology internationally. Because it is a fact that perhaps the most important decision to be taken for Norway’s climate policy now in the coming year is when the EU decides on how much to strengthen its targets by 2030. Hopefully they will in September. We're going to end with fossil energy carriers by 2050. At the same time, we're going to have more of a nature, it's going to be 50 million. We are going to establish a global market economy within the sustainability of nature. And we're doing great.
ParlaMint-NO_2020-06-19.ana.ud168e3205	I think this has been a good debate. I think it has been informative about the revised budget, but also about the situation we are in. And it has been more recognizable than the debates on the major crisis packages. What's funny about the right is that they don't know exactly what foot they're going to stand on, what they're going to own, and what they're going to be against and what they're going to be for. So now we've come up with broad packages. The representative Nordby Lunde has written a lot of engagement in the media that the Workers' Party has only had one goal, and that's to add on all the packages. Well, there's packages that right now stand and say they're proud of -- they got good, they got socially fair, even though that wasn't the goal from the start. The party of progress is back where we know them, as the government's supporting party. Now it's drilling and drilling in the blessing of cutting the property tax. That's what's going to trigger activity, that's what's going to take us further. It's kind of depressing, but it's recognizable, and we recognize the policy before we go into the harvest. So it's also interesting to hear the representative from the Left, Ola Elvestuen, who's talking about the electric cars. It's also kind of recognizable. The climate policy that does not school for it to be fair is perceived by people to be a fair distribution of burdens. There is no point in having the community set up with great relief for the most expensive electric cars. It is not an attack on the prevalence of electric cars that we say that over a certain amount we are involved in paying the fees that can strengthen other parts of our efforts. For the opposition's part, we've taken responsibility for packages, it's been necessary. I want to say, on behalf of the Workers' Party, that we are back up when necessary, as we did when it was about saving the industry that brings us incomes, creating jobs, and that lay down for counting. Now that we've brought the oil and gas industry forward, we can also demand it to cut emissions, renew, bring new technology. Finally, I believe it is important to say that our municipalities, which are the first-line defense in so much in terms of health, safety and protection against vulnerability, must take good care of them. It is alarming that out of this revised budget they have a strong insecurity around their economy. Several of the municipalities are considering permitting them as we have called the heroes of this fight, and I don't think we should put them in that situation. Finally, I would like to thank the President for the way in which Stortinget has worked these months until now it is going to be summer. I believe that has been innovative and flexible. We've done our job, and it's not least the president's contributed to it. I wish all the representatives and members of the government a good summer.
ParlaMint-NO_2020-06-19.ana.ud168e3222	Then I take the freedom to say a thousand thanks to the representative Jonas Gahr Støre. Thanks in the same way, I really should have said.
ParlaMint-NO_2020-06-19.ana.ud168e3227	The pandemic is hitting businesses and workers hard, and we're using community money to get the security, profitability in companies, work to go to and income insurance on leave. But there is no political focus on private property. There is no focus on the social responsibility of private property owners. I want to give a daily example from the reality of how ownership is being practised today, and what a lack of governance the elected representatives have given it. The example is the ELKO company at Åmot in Modum. They produce electrical equipment, have 85 employees and a number of subcontractors who have employees from ASVO companies in three municipalities. It is owned by Schneider Electric — 150 000 employees in 100 countries. On 16 June, at the ELKO board meeting, it was decided to close the company, against the votes of the employees. All production ends during 2021. It is the only company that produces such electrical material. The national pension fund abroad is the second largest owner of the company, other than its own shares, and the holding has a market value of 13 billion. kr. Some people may think that the company is doing a bad job. Revenue in 2018 was 726 million. NOK and post-tax profits were on – hold on – SEK 187 million. kr. Schneider Electric has a strategy to buy up and shut down businesses. It's happened before in Norway, through the company Norwesco. Popular instruments have been weakened, at the latest by the abolition of the conversion law by the government parties, which was a further deterioration in the situation up to the end of 1994, when we had Chapter 3 of the Industrial Concession Act, which enabled the authorities to regulate the movement of real estate, i.e. industrial enterprises. It's gone now. The day after the company's closure, there was a absence at the company from the employees of 99 p.m. Production has stopped. This shows the seriousness, and I would like to say here from the Chair of the Storting that I understand very well the absence of employees. It's been a game, the whole thing. The closure of ELKO is a signalling matter. Now, community-building forces must wake up. We need to put in place a new law to ensure that elected representatives can control and ensure that such behaviour by multinational companies is not feasible in the Kingdom of Norway.
ParlaMint-NO_2020-06-19.ana.ud168e3242	I realize that we're really approaching the end here, and it wasn't meant to interfere with the summer greetings. But the representative Ebbesen from the Right, and to the extent that the representative Sivertsen, previously had some words about the Maritime Fund and the important revenue it represents for the coastal communities and our coastal communities, and tried to draw a picture that could not be disproved. There are so many other things I should also have gone into, but I will try to stick to this. The centre party therefore believes that income from the aquaculture industry should benefit coastal communities. I thought that was an agreed position on the part of Stortinget, but I note that the government parties and the support party for the Advance Party are of a different opinion. The government's proposal for the revision proposed changing the keys to the distribution of revenue from the sale of concessions between coastal communities, municipalities and the state. This would result in large decreases in revenue for these counties and municipalities. In fact, it should only be lacking that the government parties and the support party The Progress Party in their agreement then increases the transfer from the Maritime Fund by saying that a greater proportion should be attributed to the municipalities and the counties. It is in line with what was the intention of Stortinge when the conciliation was established. Although the budgetary agreement is a step in the right direction compared to the government's original proposal, I would like to stress that the distribution key to which the agreement provides is significantly worse for municipalities and counties than is the case with today's key. The intention was to ensure local communities throughout the country that more would be left for the area that was made available. So the new key means that the state takes a much larger share than you originally posted. In the government's proposal based on what was estimated for the sale of new concessions, the municipalities would reduce their transfers by 2.8 billion. kr. So the agreement is going to be a result of about 1.55 billion. kr i reduction. It is contrary to what was decided by the Storting, and it is contrary to the view that a unified municipality-Norway along the coast and not least the coastal states think is a fair distribution. The figures of how amazing this consensus is, especially from the point of view of the Progress Party, are in stark contrast to what is really the reality when we see the amount of money. Thus, these funds have been used to increase the nutrient funds in the municipalities – which are now in this crisis we are facing, have been used to shoot into important local measures to keep business going, and they have been used by the county municipalities, among others. building important economic pathways and ensuring that we have infrastructure in place to allow for increased value creation and to facilitate future entry into the market. The centre party insists that the key we have today should be maintained, and has also made suggestions on it. I would like more people to be able to support it.
ParlaMint-NO_2020-06-19.ana.ud168e3259	I would like to comment on a few suggestions from the Centre Party. The government’s starvation of police districts has many negative consequences. Some of them we've talked about before. These include: that the response time is rising throughout the country; it is also that students from the Police College are standing without a job. As of today, more than half of those who graduated from the Police College in 2019 are out of work, and in a situation where police districts lack police staff. The central party believes that we need to give priority to getting more policemen out to work in the districts. We can't have it like we have a staff of almost 1,000 policemen who don't have a job, when the police districts are yelling at that capacity. The difficult economic situation in police districts has also led to the almost total stoppage of police cars. It's not because the police car park in Norway is great. On the contrary, it is in quite a bad condition. It has a high average age, and you're struggling very hard with rust and breakdown, which is expensive. Maintenance costs a lot, and it costs a lot when a patrol doesn't have a car because the car needs to be in the workshop. It is simply wasted with money that we should rather spend on investing in new and better police cars. This situation has become even worse during the coronary crisis, and as part of our arrangement, the Centre proposes to exempt the police from VAT on specially equipped vehicles. It'll release about 60 million. kr, which the police can use to upgrade the car park to a greater extent than now – together with the increased appropriations we have for free access to the police districts. This is important for us to have an operational and visible police who are able to be out there among people around the country. There is also no particularly good continuity in the replacement of the police car park now, and we therefore suggest that the government should consider what measures can be taken to better understand when cars need to be replaced, in order to improve the continuity of both the police and the supply chain, which is now struggling with a very unpredictable order flow. I am very pleased that the government in the agreement with the Progress Party is adding 5 million. kr to a border police station at Magnor. There is something the government has promised since the adoption of the near-police reform, which would come as part of it. But it does not guarantee that it will actually come. We have called for a concrete progress plan. We have not received that, and I believe that the government will have to deliver it as soon as possible, because if not, this is still a project that is completely blue.
ParlaMint-NO_2020-06-19.ana.ud168e3275	I take the floor to give my clear and strong support for what Mr Lundtigen said. It's not common, as it says, for the Storting to handle individual things, and that's not a very unique example, what we're now facing in Buskerud, but I have to say that it's shaking me, what's happening. In a small company at Åmot, with now 85 employees, a few more a little bit earlier, who have contributed to a huge profit for decades after decades, the employees are just put on the street. It should remind the Storting about what is the reality of the balance of economic organisation, and it is about the fact that most workers have only their labour to offer. But it is not that the creation of value is created by capital, at least not alone – it is created by the combination of labour and capital. And I noticed, even after my last post, that the representatives of the right parties are not taking the debate in principle, but they are choosing to implement right-wing policies almost a bit silently. But the discussion about the principles of this and the impact on society does not take them. And it's a new development, which I'm almost sorry for, because we're not getting the debate we need here in this room, given the impact of right-wing policy. We're about to deal with it, and the majority of people here are going to give real estate tax reliefs that go to the kind of people who are now putting these people on the streets – completely unnecessary. And that's absolutely necessary to mark. I see that one of the councils now feels engaged, and it would be very nice if he came up here and said his, so maybe we could hear what the right side thinks about such a social development. It would benefit Stortinget that we got a debate on it.
ParlaMint-NO_2020-06-19.ana.ud168e3284	When I first signed – and this is due to the invitation from the representative of Kolberg, so I regret to extend the debate when there is such a fine field out there – let me first take the opportunity to say a little about local economy, because there are several representatives who have addressed it. We have been clear from day one that we are going to set up for the municipalities and enable the municipalities to provide good services both during this crisis and afterwards. Looking at the sum of new estimates for price and salary growth and the increase in appropriations that growth and government has contributed to these months, it sums up to nearly 26 billion. kr. Representative Andersen called it minimal on Wednesday – I want to say that there is a significant contribution to maintaining the activity in Norwegian municipalities, and of course we are concerned about that, and we are going to create more and include more, because the municipalities are definitely a very important part of it. When I drew, it was also about the example of ELKO. The representative Kolberg combines the reliefs made in the tax on working capital with the fact that non-resident owners choose to close down a business in Norway. Foreign owners do not pay the tax on working capital set down here. When we reduce the tax on working capital, it is precisely about strengthening Norwegian private ownership and laying the foundation that we have strong communities with committed owners with local belongings who care about just the ringing effects of their community. Stories are all over the country, all along the coast, about local businesses that set up their community far beyond what can be expected, but we need to do so – with reference to representatives Kolberg and Lundtägen – we need to strengthen private Norwegian ownership and facilitate it. I suppose, with the involvement of representatives Kolberg and Lundtigen now, that they will support the proposal to reduce the tax on working capital, because that is what this is all about. This is the core of what it's about. I expect the representatives to actually follow up on voting for a proposal as good as the government has put forward. And let me say that this debate has been relatively strange to follow. In the last few months, we've used – how much, I don't know – up to 200 billion. kr, one of them to reduce the tax on working capital. Nevertheless, today's whole debate has focused on the one billion, and not on the 180, 190, 200 billion. NOK that we've spent on other things. It has been a little strange to witness. And I'm sorry now if I have contributed to extending the debate beyond what was necessary.
ParlaMint-NO_2020-06-19.ana.ud168e3295	There's nothing to complain about. The representative Martin Kolberg has spoken twice in the past and is given the floor to a brief comment, limited to 1 minute.
ParlaMint-NO_2020-06-19.ana.ud168e3302	I'm a little bit unsure of what I hear, but of course we're not going to vote for it, because we have no illusions that it works as the right-hand side says. In their own documents to the Stortinget they say that there is no evidence that relief in the property tax creates jobs, so of course I am not going on. It's the finance minister's documents and not mine, so I'm asking the government council to deal with it, I think. We're going to agree quickly that it doesn't work, and that's what we're saying. But if it's in the government's posts that he agrees that it's bad that foreign owners do this, then these posts were actually quite useful, because then we might be more agreeable than we think. They don't normally want to say it, so it was good that he did it.
