ParlaMint-NO_2020-05-06.ana.ud68e28	The representative of Arild Grande will present a proposal for a representative.
ParlaMint-NO_2020-05-06.ana.ud68e1202	Yes, it is true that the Council of State likes to drive large machines. These contractors were actually in on yesterday. I have had dialogue with these precisely to understand the challenges they face when some of the machines are standing. They've also had to permite apprentices, who are very important when the industry comes up too fully again. Then one will also have the package of measures ready and allow apprentices to come back and finish the apprenticeship, which I believe is also important. Then ask the representative if it will be revised. For all the packages, we have to have a decision in Stortinget, but it is possible to work in parallel, because in that device we want to mainly use established regulations and at the same time work closely with the industry on how to turn this into a good way, so that once the decision is made, one can already be ready to spend that money. That's the way we think about working to get them out as quickly as possible.
ParlaMint-NO_2020-05-06.ana.ud68e1209	It is important that we manage to keep the forest layers going, but the centre part is occupied by the forest and wood industry on a broader basis. What has happened now is that a market is falling apart, and we need to stimulate on several points. We have to get on the other side of this crisis with a tree and forest industry that is intact, because it has to be the engine in the shift from the black carbon to the green carbon when we're going to have other values to build this country on. The Council of State was so much involved, but one of the things that is happening is that now you don't dare to take financial risks. It makes the demand for sawmills go down, the demand for pulpwork goes down. What is the government's intention to contribute to the building activity, to support the plans of the municipalities, etc. to keep that activity up? Can the Council of State say anything more about that?
ParlaMint-NO_2020-05-06.ana.ud68e1216	This government has had a lot of commitment to the three industries, and we came up with a forest strategy last year. It was one of the first things I did as a government council. In addition, we have a dialogue forum, which the forest industry itself has asked, precisely for at all times, both in good times and in worse times, to have a dialogue to see where the shoe is pressing, to ensure a good and future nourishment. If one thing I am convinced of is that this will be the green industry of the future. We have to use it, and not consume it, because I think it's a future both for the construction industry and for other industries to use wood. As counter-cyclical measures, this will be an important part of all the other measures, but wood will be linked to the other counter-cyclical measures that need to be taken to bring this industry up.
ParlaMint-NO_2020-05-06.ana.ud68e1228	These must not be large machines, but large institutions: ‘The government is to reopen society gradually and under control, but in universities and colleges there is now considerable uncertainty and varying plans for access and reopening, even within the same geographical area. The signals from the Council of State are perceived as unclear. Nearly 300,000 students do not know what the rest of the academic year will be, researchers need access to laboratories and infrastructure. A pandemic requires a national framework, for reasons of legitimacy and effectiveness. Does the Government have a plan to control the reopening of campuses?’
ParlaMint-NO_2020-05-06.ana.ud68e1237	First of all, I want to thank the colleges, universities and colleges, and the students and the employees who work there, for the amazing effort that is put down to make the best of a very difficult situation. Digital education and examination are carried out on a large scale, and a formidable effort is being made to maximise research. The representative asks about a plan for universities and colleges. I am also going to answer for the technical schools, which are an important part of the higher education sector for which I am responsible. For employees of vocational schools, universities and higher education institutions, the same rules apply as those of the rest of the world of work. This means that as many people as possible have to work at home, but access can be granted to employees who need it if the rules on the protection of infection can be enforced. Institutions need to assess for themselves who needs and how many access can be provided, in the same way that all other employers have to assess this. This may vary between institutions. For example, different office solutions and different dependency on public transport to and from work will affect what is possible. Until 27 April, the campus was completely closed for students, without exception. As of 27 April, a small group of students have access. These are students who need access to complete a graduation course this spring. Therefore, priority is given to disciplines where this is believed to be particularly relevant, such as laboratory subjects, subjects requiring training facilities and the like. We have had a close dialogue with the Board of Education and the Board of Universities on what was most important to give priority first. Of course, we've also started thinking about the next step. We have a good dialogue with the Council of Universities and Colleges about this. The government will come back to the details of this very soon. I still want to draw out some things I think we need to focus on in the next step. In order to combat non-retirement and delays in education, those who need to be at the training centre in order to maintain study progress should have access. This means that we should extend from today’s opening for departure students to those who need access to maintain the study progress and complete it later. We should also consider no longer restricting access to any subject area, but rather giving institutions the opportunity to assess access for all students irrespective of subject area, if this can be justified in terms of study progress. It must of course be assumed that this can be implemented at the same time as the provisions on the protection of infection are complied with. In addition, we should say something about the holiday start this autumn as soon as possible. My clear recommendation to all those who have applied for studies this fall is that they must accept and start working on finding a place to live. But we have to make sure that institutions have time to plan both the opening of a new semester and the educational situation from August. Of course, it would be positive for institutions to be able to open further before the summer holiday. I have now communicated some important considerations we need to include in the further plans, and then we will come back to this in a very short time from the government.
ParlaMint-NO_2020-05-06.ana.ud68e1254	I thank the Council of State for the answer. He mentioned the access that was given to «a smaller group of students» on April 27. In this context, some of the higher education institutions have developed on their own mandatory digital vector courses for students. At times, they have also prepared such a type of compulsory course for the employees, and I have noted that this is a bit of a discussion. Guidance on infectious diseases is not necessarily an area where there is an urgent need for autonomy, so I would like to ask whether the Council of State considers the development of a joint counsellor for universities, colleges and colleges.
ParlaMint-NO_2020-05-06.ana.ud68e1261	Yes. Whether we're going to create a common infectious disease supervisor, or whether we're going to ask each institution to update and have one in place, we haven't decided. I'm very much in favour of autonomy in a sector, but viruses rarely take into account the autonomy of the institutions. That's why there's something I'm very positive about, and something that we're also going to get back to quickly.
ParlaMint-NO_2020-05-06.ana.ud68e1266	Then I thank you again for the answer. We in the Workers' Party have criticized the government for largely entrusting the international students to themselves under the pandemic. We believe it is important to maintain student mobility as far as possible. In a letter to the university and higher education sector dated 30 April, the Ministry of Knowledge suggests that the institutions should facilitate entry and exit as normal during the autumn semester of the current disease protection measures in Norway and in the relevant cooperation countries. Foreign stays require sound planning and coordination between many actors and binding agreements. So I would like to ask: what does the Council of State do to reduce the uncertainty associated with the start of the study and the implementation of the harvester nationally and to consult internationally, so that the institutions get help to facilitate this student mobility?
ParlaMint-NO_2020-05-06.ana.ud68e1275	This is an important and very good question. We have a very close dialogue with the institutions right now, precisely because, as the representative Sandberg points out, here you have to be early on with information. And that's an uncertainty. I think most of us wish we could predict where the world and Norway are in August, but we can't do that right now. As I said, it's important to get information out early. What I have communicated abroad to the institutions, but also to various media, is that I want as united a response as possible. It would be a shame if there were very large local inequalities in which institution you study, because you get an exchange or not. That's why I've asked the institutions and the UHR to coordinate on this. At the same time, we see that the challenges for student exchanges are often that they need visas in time, and that we need to have control of who's coming. There you will get quarantined if you come to Norway, but it will be different from country to country. Finally, it is that when we have this dialogue, we also have our own dialogue with institutions that graduate students in Norway attend, which are not in exchange, and where our embassies have started a work against those institutions.
ParlaMint-NO_2020-05-06.ana.ud68e1289	Many Nordics are somehow involved in voluntary or non-profit organisations. Many of those organisations experience a very difficult financial situation after the Korona, because many events have been cancelled, and there are important sources of income. There are many who have employees and large, fixed financial costs that cannot be served, but are also not covered by the authorities, because they do not have an economic purpose in the organisation. Norsk Kennel Club, NKK, is a good example of this. They have 72 000 members and actually organise the whole of Dog Norway and are at risk of bankruptcy because they are not taken by government action packages. If a bankruptcy were to take place in the NKK, it would be critical for health and breeding work and for all dog owners throughout Norway. So my question to the Minister of Culture is: ‘Norwegian Kennel Club risks going bankrupt due to the coronary virus. [[NKK]] All events, which form a large part of the revenue base, have been cancelled. The situation in the NCC illustrates that many non-profit and voluntary teams and organisations across the country are in crisis because they are not taken by measures introduced by the authorities. A bankruptcy in NKK will have enormous consequences for all dog owners, registration, and health and breeding in dogs-Norway. What will the government do to save NKK and other teams and organisations in the same situation?’
ParlaMint-NO_2020-05-06.ana.ud68e1299	Thank you for the question. First of all, I want to take the opportunity to thank the Norsk Kennel Club for the amazing effort and effort they put into the whole community. I have read both your press release and have had dialogue with one of the members of their board of directors, no later than tonight. That's amazing numbers: 1.2 million Northmen live with dogs, and it's a great joy for many. But it's not just about that joy. They also make a significant contribution to society when we know that in Norway we need guide dogs, drug dogs, service dogs and search dogs. Here is a significant effort being made. There are a total of 72 000 dedicated members who put this effort to rest. I understand, as the Council of State for Volunteering, that this is a very difficult period for many non-governmental organisations, including the Norwegian Kennel Club. Planned events have been cancelled, the revenues from flea markets and other revenue-generating activities are not available, revenues arising from events are not available. At the same time, there is a high demand for services, activities and not least for the community of non-governmental organisations. We have seen an enormous will to turn around and meet the new everyday life – that that will is there. We can see this through the line of volunteering, where thousands have received answers to their questions, by the fact that different annual meetings have been conducted digitally, and in children and young people individual follow-up, for example. in the corps. We know that Norsk Kennel Club also maintains its hits digitally, the way they do it. It's an extraordinary situation to be in for volunteering, also for the Norsk Kennel Club, and I understand that this effort costs money. When society shut down, there was a breakdown in income. The government made 600 million available. kr to cover the cancellation of ticket receipts and participant fees. The size adjusted this scheme up to 700 million. kr through a broad settlement, and I am very pleased about that. I have always said, from the very beginning, that we may need to adjust the system if it does not come to a successful conclusion. Now we've had experience of that, and we've seen that the arrangement we've made with the criteria that were made available didn't work out as well as we thought. Now we're working to get these adjustments into the plan. What I see and am happy about is that there are a lot of people who have actually applied. I also see that Norsk Kennel Klub is among the applicants. But it does not cover up for the loss they have suffered – they have applied for $1.18 million. kr from the scheme. I have said that this system does not meet widely enough. The one I am now working on adjusting, and I hope and have good faith that when the scheme is adjusted, it will also meet the Norsk Kennel Club in a better way.
ParlaMint-NO_2020-05-06.ana.ud68e1314	It was a good description of how important the Norsk Kennel Club is, but I'm a little disappointed that you don't come up with any more measures than that system. As the council said, it's a little over 1 million. kr, which will help the Norsk Kennel Club there, but they have said they need 10 million. NOK not to go bankrupt. The problem is that they fall outside the cash support scheme and the loan guarantee schemes because they are not taxable. After all, the increase was decided when the cash support scheme for enterprises was dealt with, that there should be a similar scheme for organisations with significant economic activity, but that is not taken because they do not have an economic acquisition for their purpose. We'll wait for that. So the government has got a very clear order for that, and it's urgent, among other things. for the Norwegian Kennel Club. Then my question is, is there going to be such a solution, either as an extension of the existing schemes or as a new separate scheme for these organisations?
ParlaMint-NO_2020-05-06.ana.ud68e1321	After Norway had to close down on 12 March as a result of the coronary crisis, we know that there was an expansion in unemployment and the number of outpatients. I guess there's about 430,000 right now. A lot of people had to shut down their events, from concert halls to theater halls, and Norsk Kennel Club also had to shut down the activity because they put a restriction on the number of people who could meet. Then it's very difficult to wind up these events. The cash support scheme, which is under the Ministry of Finance and the Ministry of Industry, is concerned with the economy which is taxable and which is then covered by part of its unavoidable costs. Then we have created a compensation scheme for volunteering and sport, which I am now working on adjusting. It is at present worth 700 million. kr. Some of it's going to pay off, and the rest we're now working on adjustments in. As soon as it's clear, we'll report this and get to Stortinget in an appropriate way.
ParlaMint-NO_2020-05-06.ana.ud68e1328	It's good to hear that it's working. I hope it comes sooner than since, because now it's been almost two months since the coronary virus broke out. NKK is a voluntary organisation for no economic purposes, but there is still a significant turnover organisation with more than 35 employees and there is a need to ensure liquidity there and many other similar locations. The NKK is in a slightly special situation because it was as late as last year's dog epidemic, as the Minister of Culture may remember, when the organisation had to shut down similar to now for several months and then used up part of its buffer to deal with that situation. It's quite unique, because it went out on Dogs-Norway. What does the Council of State think about NKK's specialty because of the dog epidemic that hit last year?
ParlaMint-NO_2020-05-06.ana.ud68e1335	When I spoke to the principal board member at the Norsk Kennel Club last night, this was also a theme. I think I was informed that there were about 600 events that had to be cut as a result of the dog infection crisis they experienced. So for them, the crisis now comes to the top of the second, and I understand very well that they are in a very difficult situation. Of course, the voluntary part of this, which is under my department, I'll try to make the best possible effort through the adjusted scheme that we're working on. I can assure the President that I actually sat and worked with it just before I got here, and once I'm done here, I'm going to go back to the department and continue working on that particular arrangement. I hope we'll be done with it soon so that we can tell you about it. It is important to remember that Norsk Kennel Klub has many cooperation projects under many departments, including: The Ministry of Agriculture and Food, and it is important that we are also in dialogue with the other departments concerned with which they have cooperation projects.
ParlaMint-NO_2020-05-06.ana.ud68e1346	I have a brief and concrete question for the Minister for Oil and Energy: ‘What will the Council of State do to strengthen the preventive work many need to prevent flood damage and to advance this important work?’
ParlaMint-NO_2020-05-06.ana.ud68e1353	I want to start by thanking you for the question. The government takes people's security seriously. We have therefore strengthened the flood and scrapping appropriations in recent years. Norway has at all times been exposed to floods and incidents. In recent years, we've had more and more extreme weather situations, as we have, for example. then under the great flood of the Inland in 2018. We must also be prepared for that in the future. Flood and escape often have serious consequences. It is a threat to life and health, housing, industries, infrastructure and the environment. I have a very strong understanding that this is demanding for both municipalities and individuals. At the same time, we know that it won't be possible to fully secure everything, and we have to live with the fact that floods can lead to damage. The NVE assists municipalities in preventing damage from floods and escapes. With its significant competence, the NVE contributes to monitoring, spatial planning, securing existing buildings, monitoring and alerting. Here I also need to mention the solid support provided by the building to the municipalities in the management of major floods and events. Good cooperation between local and national actors is important. We also need to become better and better at handling floods and steps based on the evaluations we are doing. The NVE prioritises its assistance to municipalities according to socio-economic criteria. The community thus regains as much as possible in the form of a reduced risk of flood and tailoring damage. I think this is a principle it's important to hold on to. Based on monitoring and other information, a number of urban areas with a high risk of flooding and slippage have been identified. The state hazard monitoring has revealed so far that very many of us live to be exposed to floods or escapes. More extreme weather can make new areas more flood- and scrambled than they've been before. There is also an important monitoring job that needs to be done to prevent this. For the government, it's essential that people feel safe where they live. For this reason, this government has over time increased the appropriations for flood and scrapping prevention. A total of 505 million have been allocated for 2020. kr to NVE's work on flood and escape. Between 2014 and 2019, around 1.5 billion have been used. kr for the construction of physical security measures. The increased appropriations are a good basis for increasing the progress of a number of important hedging measures. In addition, Stortinget has recently granted 100 million. kr extra for this purpose. It'll be of immediate use. NVE works systematically and has a long-term perspective, and important flood and tailor-made measures are implemented annually across the country. Overwater is also a growing challenge that causes serious damage every year. From 2019 onwards, the NVE also assists the municipalities in preventing damage from flooding, through knowledge of run-off in densely built strips and guidance for municipal land planning. I can assure you that the prevention of floods and avalanches is a high priority task for the government. This work is long-term. We must continue to identify danger areas, have good spatial planning, build security measures and alert hazards, so that risks are minimised.
ParlaMint-NO_2020-05-06.ana.ud68e1376	I am happy to right that the Council of State says that she is busy with this and sees that the need for Flemish and tailoring protection is increasing. It is a good idea and cheaper to prevent than to repair. The Directorate for Social Security and Preparedness issued a report in 2017 on actions that should be implemented by 2022. NVE has calculated the cost of it, which is about 4 billion. kr. Then it'll be 500 million. kr, which the government itself defines as a commitment to the State budget for 2020, and the 100 million. kr extra from Stortinget, literally a drop in the sea. Then the question is, when we see that the weather is getting warmer, more wild, wetter and less dangerous, will the government come with promises that over a four-year period can meet the needs that NVE has calculated?
ParlaMint-NO_2020-05-06.ana.ud68e1383	There is no doubt that the need is very great. It takes a lot of money. But what I've been busy with in the period we've been in government, which I also pointed out in my post, is that the pace and framework of how large these appropriations have been over time, has been constantly increasing during our reign. Right now, it's extra important, because we know that these are measures that not only ensure life and health but also give good employment effect. So in many ways, donations to flood and tailor-made measures are win-win measures. I fully agree that it is important to keep pace up. I also believe that we have raised it considerably from where it was earlier. It's true that the NVE has mapped out the need to be closer to 4 billion. kr. But it is also important that NVE works on a priority list, and that you do the most important first and most important things for, both in terms of securing life and the most efficient use of money. But of course: keeping a high pressure on these appropriations will make the NVE able to do more, and make it faster. So that's 100 million. kr that comes from Stortinget now, very well. The NVE has just announced the projects that are now being supported.
ParlaMint-NO_2020-05-06.ana.ud68e1390	The councils were in the autumn flood in 2018 in Skåk, from which I came. Skåk became a hard frame, and the government councils came into the helicopter and saw. Now there's a new flood warning from the State of the Interior, based on NVE calculations, because of record snow in the mountains. The total cost of clean-up and flood prevention so far is 164 million. kr after the flood that was in 2018, with a large asset, which is cool for the municipalities. The work is planned and ready to be done, but NVE doesn't have funds, and one wasn't given priority now either. In addition, municipalities experience complicated legislation and a bureaucracy that will never end, they say. For this reason, I wonder if the Council of State will ensure that these plans that are clear are implemented – they were themselves in large and small communities, this is a small community, but they can have major consequences – and whether it will initiate a review to simplify a complex regulatory framework that often inhibits processes.
ParlaMint-NO_2020-05-06.ana.ud68e1397	I also think there are a lot of things that indicate that the NVE's implementation capability is very good. It hasn't been many weeks since Stortinget granted 100 extra million. They are already aware of the projects to be supported, now that more money has become available. All the projects that receive money in the allocation that came now are likely to be almost completed during the coming year. That's a pretty good and fast drive. We fully agree that we need to continue, of course, looking at how we can ensure that the money that is available is used quickly. When Skåk was hit by the flood, they asked the NVE for assistance immediately. They got it. The NVE was there and helped to reduce the damage. In retrospect, a major crisis response has also been completed at Skjøli i Skåk. It was finished in the autumn of 2019. In every way, I very much agree that this is a big challenge, and it's very important that we have a high pressure on it. But I also believe that it happens quite well.
ParlaMint-NO_2020-05-06.ana.ud68e1409	‘The Court of Auditors points out that it is highly critical that the Ministry has not sufficiently identified the consequences of changes, as required by the Administrative Act. Little consideration has been given to how the changes in the quota system have affected the fishing activity of coastal communities after they have been implemented. Why have changes in the fisheries policy not been properly assessed and is what is proposed in the quota notification now sufficiently identified?’
ParlaMint-NO_2020-05-06.ana.ud68e1416	I want to start by saying that I take the Riksrevisions report very seriously. The National Audit Office considers that, in some hearing notes, the Ministry has not sufficiently addressed issues that the Riksrevision believes should have been investigated. The national audit considers that the management needs to adequately monitor the effects of changes in the allowance system. The National Audit Board has been through a period of 15 years, with three governments and five magnifications, and has found four things that they think should have been better investigated. The National Audit Office sets out one example of a highly critical and deficient impact assessment. This concerns a 2008 consultation note. I take the Riksrevision's report very seriously and have therefore, in my comment to the Riksrevision, explained how I will follow up their recommendations. The representative of Moxnes also questions whether the proposals made by the government in the quota notification, which will be discussed tomorrow, are well assessed for consistency. I will answer yes to that. There is a long-standing process in place, starting in 2016, with the NOU of the Eidesen Committee and various hearings prior to the presentation of the quota notification last year. The debate that has taken place over the course of the year may also be seen as a sort of consultation. Chapter 2 of the notification discusses the objectives of the quota system, including employment and coastal settlement and the contribution of the quota system to the material basis for Sami culture. Chapter 3 discusses the government’s action on an effective, flexible and legitimate quota system. Chapter 4 elaborates the proposals and discusses the implications. In addition, there is a separate chapter on socio-economic, administrative and regional policy implications and climate and environmental impacts. The consequences for the Sami people and Sami culture are also discussed. The notification of allowances has been primarily criticised for the measures proposed. The message will indicate a direction forward. The Ministry will also assess the impact of measures before they are implemented, based on the Storting guidelines. I would like to stress once again that I take the Riksrevisions report in the utmost seriousness. However, it is important to stress that the Riksrevision report also points out that the profitability of the fishing industry has improved and that activity has increased in some fishing communities. It must also be said that we have succeeded in ensuring the sustainable management of fish stocks, which is a solid base for fisheries.
ParlaMint-NO_2020-05-06.ana.ud68e1444	The Riksrevision takes a tough judgment on Norwegian fisheries policy when it states: ‘Increasing quota prices has made it more difficult to recruit new fishermen. Changes in the smallest coastal fleet have a negative impact on coastal communities. Several fisheries-dependent municipalities have been reduced in fishing activity. Several changes to the allowance system are insufficiently determined by the ministry.» We then know that the fisheries management does not contribute to ensuring employment and settlement in coastal communities. At the same time, the Ministry has not been able to investigate the consequences of the fisheries policy. How, then, is it possible for the Council of State to stand here in the main hall and say that it is proper for the quota notification to be knocked through tomorrow, without the current policy being sufficiently determined?
ParlaMint-NO_2020-05-06.ana.ud68e1466	There are three objectives that have been important to the fisheries policy for a long time. One is to have sustainable management of fish stocks, so it's fish to catch next year as well. It is to increase profitability and value creation, which in turn will contribute to increased activity and employment along the coast. The last thing, points out the Riksrevision, has been only partially successful, because in some coastal communities it has been worse than in others. It's a very important challenge in the future. I think there is a cross-political consensus that there should still be an objective to achieve more activity and more employment in coastal communities.
ParlaMint-NO_2020-05-06.ana.ud68e1471	There's a coastal uprising in Norway for a reason. While it boils of fish in the sea, 29 municipalities have lost all the wild fish industry, nine municipalities have lost all their fish recipients, and a number of municipalities have lost many fishing receptions. The Trolls send the fish out of the country instead of creating jobs in Norwegian coastal communities. Seven out of ten fish go straight out of the country unprocessed. People along the coast have had enough of this and want the fish back to the people and not to the quota barons. In the nations this week, the Minister for Fisheries writes the following: ‘I have said in my reply to them that I will evaluate all recommendations for follow-up.’ Why does the government not draw the quota notification, review the National Audit Office's report and ensure a necessary investigation of the fisheries policy in the future?
ParlaMint-NO_2020-05-06.ana.ud68e1483	It's important for us to indicate a predictable and stable direction ahead for those who run in the industry. We can't see that postponing the message to impact more will have any effect. The most important thing is to indicate direction forward and to clean up and simplify a part of what has been problematic in the allocation of resources. It must also be said that fisheries are not solely responsible for overall social development. There are also other factors that affect the development of certain coastal communities. That's what we wanted to point out, without in any way minimizing the findings that the Riksrevision has made. A good economy in the fishing industry is the best starting point we can have for more development, more value creation and even more jobs.
ParlaMint-NO_2020-05-06.ana.ud68e1495	‘The experience with the reopening of kindergartens and schools shows that it requires increased resources and increased staffing. What concrete action does the Council of State now take to identify the extent of increased costs around the country, and what guarantees of compensation can the government give to schools and kindergartens that are now detonating their budgets to ensure safe and sound reopening?’
ParlaMint-NO_2020-05-06.ana.ud68e1502	On 19 March, the government asked the government to compensate municipalities and county councils for the undue effects of tax failures, loss of income and additional costs associated with dealing with the infectiveness situation and changes in economic development since the adopted State budget. Of course, the government will follow the decision of the Storting. In the revised national budget for 2020, we will return to Stortinget with an overall assessment of the economic impact on municipalities as part of the virus outbreak. We need to look at the need for compensation for kindergartens, schools and SFOs for additional costs during the period of infectious diseases throughout the period we have had the coronary outbreak, and for the municipal sector as a whole. We do not know how long this situation will last, and I believe that there is no basis for compensating specifically for this at this stage. For the time being, we do not have an overview that suggests that kindergartens and schools are not financially equipped to handle the increased costs they have incurred for cleaning and extra staff, but we will of course reconsider whether the situation is long-lasting. Kindergartens and SFOs in publicly funded schools receive compensation for the loss of income as a result of the failure of parents to pay when the offer was closed. For the first part of the period of closure, Stortinget granted 1 billion. kr for such compensation. Compensation for the remaining closure period will come back to me in the context of the revised national budget. The size has already allowed further around 4 billion. kr to the municipalities. Most of these are funds put in the municipal framework, and the municipalities have a responsibility to prioritise the funds properly. Municipalities are free to cover exceptional costs arising from the opening of kindergartens or schools. In this context, I am concerned that municipalities are assessing the situation of all their kindergartens, both private and municipal. There will also be different needs in different parts of the country. During the crisis, I have had regular contact with the organisations in the kindergarten and school sectors to keep me informed about the situation. Through the local authorities, the Directorate for Education and Training has contacts with the local government sector in order to monitor the progress of the reopening of kindergartens and schools. I would also like to point out that the government is going to set up a working group to assess how the coronary crisis has affected the local economy as a whole. The working group shall systematically review the types of expenditure and revenue affected by the outbreak of the corona virus and shall provide an estimate of the amount of the different types of expenditure and revenue. This working group shall be composed of representatives from several departments and from the KS. The Group shall issue a final report by 1 April 2021. In the course of the work, it is assessed whether the group is required to submit one or more interim reports. Then I want to finish by saying that the municipalities have an incredibly important job in this very demanding time. Local government officials throughout Norway are now making a tremendous effort, and it is clear that these new infectious guides to which schools and kindergartens have to deal require an extra amount of kindergarten and school staff every day.
ParlaMint-NO_2020-05-06.ana.ud68e1521	I want to thank you for the answer and say I fully agree with the latter. The most important thing now, which we are fully in agreement about, is to get a safe and sound opening. I am pleased that the Council of State is now much more aware of the need for increased resources than before, and is looking forward to a concrete overview when the revised budget comes. But the government is still pushing the problem ahead. In a way, the municipalities are already in a situation where they use all their resources to deal with this crisis, where the local economy has become worse, and where the municipalities still do not know how much of the extraordinary expenditure they have now will be reimbursed by the state. It is a discharge, I think, that the Minister of Knowledge does not address this. A rapporteur I spoke to said, "Now we're working on firefighting, one has no time to prevent, we're going to get rid of the most vulnerable students, we need the money." These are the consequences I'm a little concerned about, and I know that the Council of State has also been involved. But does the Council not see that promises and lack of extra resources have serious consequences for schools and kindergartens today?
ParlaMint-NO_2020-05-06.ana.ud68e1528	I would like to start by saying that I share the concerns of the representative Tvedt Solberg for the municipalities, and I want to be quite clear and say that the government and the state have to stand up for the municipalities. Then, together with the municipalities, we have to figure out when and how we're going to put in exactly what measures. However, the government is concerned that municipalities should have a good and predictable economy, and that is crucial for a good service provision for citizens in today's situation. We know, of course, that the municipal sector can expect both large additional expenditure and significant minor expenditure as a result of the coronary crisis. At the same time, it's still very uncertain what the consequences will be, but we know that they'll be big. I believe that the Stortinget made a wise decision on 19 March when the government was asked to compensate for both tax failure, additional expenditure and changes in economic development, and we follow this decision of course. And in the revised national budget for 2020, we will come back to Stortinget with an overall assessment of the economic impact on the municipalities of the virus outbreak.
ParlaMint-NO_2020-05-06.ana.ud68e1535	I agree that we in Stortinget were very wise when we made that decision, and that is perhaps what also makes us somewhat doubt that the government will come with all the answers when the revision comes, since the government did not have the same answers in the previous round. But I appreciate the fact that the Council of State is clearer now than she has been before. But even now, before the answers come, many principals and teachers around the country face difficult evaluations and decisions they have to make. They see that their budgets are already being used up, and they will have to decide whether to continue spending money they don't have, whether to prepare for school budget cuts for the fall, or whether to stop the work that has been started on reopening. What is the Minister of Knowledge's advice to the principals now standing up in such difficult elections?
ParlaMint-NO_2020-05-06.ana.ud68e1542	I understand the impatience of the representative, and I also want to say that the framework grants to the municipalities have already increased by almost 4 billion. NOK, plus the compensation they received for the cancellation of the parental payment. If the state is to be able to take effective action in the current situation, it is also important that we have a good professional assessment of the economic impact. We know that it will be very different, for example, in the different municipalities where it goes the most, both in terms of the loss of tax revenue and where they get the most expenses. For the time being, no one has a good enough number of what this really means. I tried to make sure instead of saying very clearly that the government is going to stand up for the municipalities, and I still do. It's important to bring it with you. But then I also think it's important to stress that it's actually not all the challenges money can solve. Although you have to divide into smaller groups in schools, it's not just to throw in extra teachers in a short time. It is important that we manage to find other solutions that will still give us a good offer.
ParlaMint-NO_2020-05-06.ana.ud68e1547	Then your case no. 2, the ordinary Question Time, at least.
ParlaMint-NO_2020-05-06.ana.ud68e1561	There is no record available. Thus, today's map has been processed. Does anyone ask for a word before the meeting is cancelled? It has not happened. - The meeting has been cancelled.
