ParlaMint-NO_2020-03-04.ana.ud555e28	The representative, Arne Nävra, will put forward a proposal for a representative.
ParlaMint-NO_2020-03-04.ana.ud555e1364	There is no secret of the primary view of the Right on the reform of the region. However, it is natural for me, as the Council of State, to tell what was the aim of the reform, which the Storting has actually adopted. I really feel that I have answered this question, because it was not an objective in itself that there should be one coherent housing and labour market within one region. If so, the Week is not alone in having more housing and labour markets within the same region. There are a number of the former counties as well as the new regions which have more housing and labour markets, but which nevertheless form part of a larger unit. Then I have already explained why Oslo is in a special position.
ParlaMint-NO_2020-03-04.ana.ud555e1371	I hear the council say that Oslo is in a special position in terms of land planning, public transport, road, etc. But it's actually like Oslo's public transport is managed by the company Router, which also has a large share of the route into old Akershus and Viken, and you're absolutely dependent on this being coordinated. The same applies to road and extension projects through Oslo, because the Vikings are constantly moving through here. And in terms of land-use planning, it's like Oslo essiers out, and into Lørenskog, Bærum and Asker. Is it also that the Right does not want to help Oslo merge with these states to get access to these regional advantages, which I do not see as a regional advantage for Oslo? You have chosen to join the County of Oslo and Viken, so you obviously have to see things together, but you don't do it at the political level, and to me it seems a little strange. I wonder why the Council of State does not see the same advantages at county level as he does at county level.
ParlaMint-NO_2020-03-04.ana.ud555e1378	There's a lot of good arguments that Oslo could be part of the Week, but there's also a lot of arguments that it shouldn't be. One of them is that Oslo already has two levels of government in the municipality, that they have both municipal and municipal tasks, and that it would be very difficult to get the City Council to agree that they should give up tasks for which they are currently responsible, among other things. in the field of higher education. Then it is quite clear that there is a need for coordination between Oslo and the Vikings when it comes to land and transport planning. This coordination is already taking place today. There's no doubt about it. There is close interaction between these two counties, and it still has to be in order for transport and land planning to function properly in the future. It is not easy how to solve Oslo structurally in this, and I believe that we have found a solution that is working.
ParlaMint-NO_2020-03-04.ana.ud555e1388	This question is from the representative Geir Adelsten Iversen, and as long as the Council of State writes chronicles in the Address Paper, the question goes to the Minister of Municipal Affairs and Modernisation.
ParlaMint-NO_2020-03-04.ana.ud555e1393	‘In a chronicle in the Address Paper on 21 February 2020, the Council of State refers to a two-year-old girl from Berlevåg who is one of six children in her year-old life in the municipality. The nearest neighbor to Berlevåg is the municipality of Båtsfjord, 90 km away. If the girl went to school in Båtsfjord, this would involve a travel time of approx. one and a half hours each way. Which municipalities do the Council of State Berlevåg think should join in order for the girl to receive a better school offer?’
ParlaMint-NO_2020-03-04.ana.ud555e1400	As I mentioned earlier today, changes in the municipal structure are based on volunteering and local processes in line with the Storting decision of 7 December 2017. The County of Finnmark wrote in its recommendation in the autumn of 2016 that the municipal structure in the county should in the long term consist of five municipalities, where Berlevåg joins six of the neighbouring municipalities of Varangerhalvøya. I am well aware that there are large distances in the county, and it can be a demanding climate in the winter months. But I also take it for granted that the County knows. For this reason, the recommendations of the County Council may also be the starting point for local discussions. Society has changed, and there are heavy trends that are taking place. Urbanisation is taking place worldwide, including in Norway, and this has not been new in recent years. This has led to major challenges for the smallest districts to maintain the population. In addition, ageing is greatest in the smallest districts. These developments also exist in our neighbouring countries, which also discuss solutions to organise public services, so that they are good and accessible to all. Then it is important to say that there are no simple solutions, but I believe that the municipalities must work actively to attract more people and a more varied local business. It is also important to bear in mind that bundling municipalities does not involve the relocation of services. Most local services like schools, hospitals and health centres stay where people live. However, a larger administration with greater capacity to drive the development and innovation of services could lead to a better school both in Berlevåg and the other municipalities in East Finland. My wish is that Mina get more classmates when she starts school in Berlevåg, regardless of the name of the municipality in which she lives. If this is to happen, the municipality must also be able to attract more people who find attractive, exciting and good professional environments, with two jobs that make young families want to live there. It's not a challenge that's solved overnight, but it's definitely something that we have to work with in the future, because we have a desire to live, work and live across the country. But we're not going to force people to live anywhere in this country. We're going to make sure that it's attractive to also live in Berlevåg. So homely is what we have to provide.
ParlaMint-NO_2020-03-04.ana.ud555e1413	Berlevåg school is a school with approx. 90 students, according to Berlevåg's website. Currently, areas of activity are assessment work and accounting in all disciplines. The vision for the school is: «Berlevag school creates good team players for the future». Berlevåg also has a very good LOSSA offer, which means that you have youth in the countryside all the time until high school. Does the council think Berlevåg Municipality should be scrapped?
ParlaMint-NO_2020-03-04.ana.ud555e1418	I mean what I said instead.
ParlaMint-NO_2020-03-04.ana.ud555e1423	The municipalities in Finnmark have spent a great deal of time working with municipal mergers. The municipalities – at least most of the municipalities, I guess there was one municipality that meant something else – have said that there is no desire to merge. You want development, not liquidation, and you want laws to be followed, so that the fish come back to the coast. Everyone in Finnmark is sorry that state councils tell us that we are not robust enough or big enough. What does it take for the Right and the Government to understand this?
ParlaMint-NO_2020-03-04.ana.ud555e1428	My goal is for municipalities like Berlevåg to be attractive, for an attractive community to attract new citizens, and for more citizens to move back home and contribute to building their community. I think that's a goal that the representative and I share. So the question is, how do we get it? Now there is a new project among several municipalities, where Berlevåg is also included, where there is a division of functions between different municipalities rather than a combination of municipalities. I think it's interesting to see what results it can give. But seeing them have to do it – this is a local initiative – is also a sign that we have to notice, because that means that as we work today, it cannot continue. The only people who seem to believe it are the representatives of the Central Party in this room. It's not an alternative. It's just one option, and that's changing. And then the question is, how are we going to change to be attractive in the future?
ParlaMint-NO_2020-03-04.ana.ud555e1438	‘It is liberating when the leaf is removed from the mouth by the right. Right-wing Secretary-General – now State Secretary, John-Ragnar Aarset, said at the Hallingdal Conference on 27 January this year: – The Future Municipality of Hallingdal is the municipality of Hallingdal. Does the Council of State work to realise this?’
ParlaMint-NO_2020-03-04.ana.ud555e1445	As mentioned, work on municipal structure is to be based on volunteering and local initiatives, and I am aware that there are politicians in Hallingdal who believe that this is a good idea in the long term. It is a debate that I am absolutely sure the politicians in Hallingdal are able to take for themselves and that they will come up with the solutions that they think are best for themselves and their own. Then I had the pleasure of, many, many years ago, visiting the seat of the representative. Then I asked the representative if he had ever considered voting on the right. Then the representative said, "No, until that I'm too conservative." I think the representative was in on a good point there, that he was too conservative for that, because we need to change. My definition of conservatism, I think, differs from that of the representative, because my definition is that we need to change in order to preserve. And what we're going to preserve is the ability of municipalities to provide good welfare services. We have to keep local democracy, decisions close to people, but to make it happen in a society that needs to change, maybe politics also needs to change, and then we have to be willing to look at municipal structure. If local politicians in Hallingdal want to look at the possibility of merging their municipalities into one and becoming a large municipality with 20,000 inhabitants, perhaps with municipal councils, well, then I think it should be possible for them to discuss it. And not only that – maybe it can also provide better solutions for the coordinated land and transport policy in Hallingdal. Just as the rapporteur from the Central Party said that Andebu is still going to be Andebu after they are joined together with Sandefjord and Stokke, Hemsedal will continue to be Hemsedal, Ål continues to be Ål, Gol continues to be Gol and Nesbyen still to be Nesbyen – regardless of which municipality they belong to. But as I said, this is a discussion that I leave to the local politicians in Hallingdal.
ParlaMint-NO_2020-03-04.ana.ud555e1456	I well remember the visit of the council of state on the setra; it was not in Hallingdal; it was in Numedal. What was the point then, was to learn about photosynthesis, and it didn't go so well. I can assure the Council of State that I am conservative in the sense that I will change to preserve. But what's happening now is that the Right is using the state power to centralize Norway. One uses the state power to change Norway so that Norway does not become Norway, in the sense that it is activity, power and authority throughout the country. The center part is said for change, because it's just dead things, stone and metals, that don't change. The question is how. What has been the Right and, in the past, the Central Party's line on this issue is that the County Municipality was the municipality's cooperative body. [[President clubs]]
ParlaMint-NO_2020-03-04.ana.ud555e1467	I am a strong supporter of local democracy, therefore I believe that the tasks should be solved close to the inhabitants, and therefore as much as possible in the municipalities. They're the ones who have the shoe on, who know where it's printing, and then the municipalities have to be able to do those problems in a good way. Therefore, it is necessary to look at municipal structure in the years to come. We're not changing Norway. Norway has changed. That means that we also need to have a discussion about how we organize ourselves in order to provide citizens with the services they expect, deserve and have a claim. So, of course, the government is concerned that there should be activity throughout the country. There is, of course, record low unemployment in many of our districts just because we have contributed to facilitating increased activity. This must also be the case in the future, but then you have to be willing to change policies too in order to facilitate activity.
ParlaMint-NO_2020-03-04.ana.ud555e1476	The problem is that the right does not dare to tell that one wants to change Norway in the sense that one wants to concentrate power, and that one wants to concentrate activity. People get a sense of it and they get a sense of amputation. Those who get over the amputation react with cursing, and they react by using better tools, which in this case is the Center Party. What is now adopted in the Great Britain, against the Right, the Advance Party and the Left's will, is voluntary, and that one should not use the economy to force people. What is then the Central Party's option is that we use the County Municipality to take up the tasks that municipalities are too small to solve. The county must be the co-operative municipality of the municipalities. It's been the previous line on the right. It is an organisational change that preserves municipalities as a basic organisation, providing safe welfare services in the health field, good schools and everything. Why doesn't the Right agree with that line today? They were in 1995.
ParlaMint-NO_2020-03-04.ana.ud555e1483	The right view of the county municipality has not changed that much since 1995. But what's interesting about the answer from the representative is that the Central Party here is calling for more tasks to be moved out of the municipalities, away from people and up to a higher level of government. I think that is perhaps one of the most eye-catching with the answer to the representative Lundtigen. This is – you can say – new tones: that you want to defuse local democracy in the way the representative Lundteigen here speaks of. I'm not of that opinion. I believe that we should ensure that the municipalities are able to solve the tasks that the inhabitants are most concerned about, almost where the inhabitants live, and that they are at municipal level, not at county level. So these were new notes from the Central Party, but absolutely interesting for the further debate. I think a lot of local politicians, not least from the Central Party, will notice that the Central Party here is calling for a large-scale transfer of tasks to the county because the municipalities are too small to solve them. And that the Center Party admits that the municipalities are too small to solve them. [[President clubs]]
ParlaMint-NO_2020-03-04.ana.ud555e1492	Ordinary brawl from the Council of State!
ParlaMint-NO_2020-03-04.ana.ud555e1500	‘In its debate in the Address Paper on 21 February, the Council of State said that the municipal reform had to continue. Reference is made to the fact that the Storting has decided that local initiatives and voluntary action should be based, but if the local authority structure does not change in line with society over time, other measures should be considered. In the case of southern Greece in the Nordic countries, it was considered that the municipalities of Bindal, Sømna, Brønnøy, Vega and Vevelstad were merged. This will provide a municipality with 13,000 inhabitants. Is this municipality the Council of State believes should be merged?’
ParlaMint-NO_2020-03-04.ana.ud555e1507	I agree with the representative Lundtigen that many municipalities have challenges in solving their tasks. So my answer is not to move tasks to the county council, but instead make sure that the municipalities are able to do the problems in a good way. Yes, there will be municipalities also in Northern Ireland that should discuss whether the municipal structure is suitable to meet the challenges of the future. But then, as I've said before, it's a local responsibility to make those assessments, and it has to be based on volunteering. But the County Council's recommendation can be a good starting point for the discussions that municipalities should have at regular intervals, including in the Nordic region. With that, I think I'm going to avoid repeating myself further.
ParlaMint-NO_2020-03-04.ana.ud555e1516	In these five municipalities, there are, among other things: five nursing homes. In general, residents and relatives are very satisfied with good care, good time, warm hands, proper food and short lines – that is, good services in practice, which is what the Centre Party believes is most important. Reforms and robust trade unions have so far meant centralisation and larger units, and the Council of State says that there is a need to learn from merged municipalities. But the ending of what's going to be the edges is the experience we've seen so far, even though the statesmen and the Right say the opposite. This has been referred to earlier today. In the same municipalities there are four ferry links, one has six points of call, there are four speedboats, one of which has 14 different points of call. We have to remember that the removal of the municipal border does not change the geography. What does the Council of State think about the closure of e.g. nursing homes will mean for these communities that both parents will be able to use their skills, and what does he think is acceptable travel time for that type of service provision in the districts?
ParlaMint-NO_2020-03-04.ana.ud555e1525	The aim of the community reform is to ensure that municipalities are able to provide the citizens with a good offer, and it also includes health care facilities. And then it's not that even if a municipality is large in area, the services are not to be provided where people live. So that's a prerequisite. So the question is, are you still able in a larger unit to attract more expertise, larger and stronger professional environments that can make municipalities even better able to provide services and precisely coordinate land and transport planning in an area in an even better way, to ensure that attractiveness increases, and to be able to maintain housing in the future? I believe yes – that many municipalities should make that assessment, and would like to take as a starting point the County Council’s 2016 assessment.
ParlaMint-NO_2020-03-04.ana.ud555e1532	The fact that few people live in a municipality should not be confused with local politicians, for example. from the Centre Party, not rates of digitisation and welfare technology, which are also mentioned in the post. Of course, state councils know about the Digital Helgeland project, a collaboration between 18 municipalities that do not require aggregation. Then I have to mention my home municipality, where it is completely uninteresting to expand broadband. Now fiber is added to the entire municipality, but it's done on its own. Half of the municipalities in the country have less than 5,000 inhabitants, and they deserve our respect. The fact that some of us from the Center Party don't want to create greater distances in all sorts of ways is not the same thing as looking back longingly. It's also not the same thing as being anxious or dogmatic, as the Council of State likes to call it. What new political action will the Council of State take to ensure growth and positive development where much of the value creation takes place and will take place in the future – in our districts? Finally, I would like to add that low-freedom is due to the fact that there is no movement, especially in the north.
ParlaMint-NO_2020-03-04.ana.ud555e1543	It is gratifying to hear that there is also a focus on digitisation in Helgeland. I think that's going to be very important to contribute to just growth and development in the years to come. Although this is done without merging the municipalities, digitisation efforts are not a barrier to the bundling of municipalities. Now we just heard the representative Lundtigen say that the smallest municipalities might have to move tasks up to the county council. I'm more of a fan of enabling the municipalities to solve the problems near people. Digitisation is also an effort to ensure that services can be provided close to people. It's not going to be any closer than when you get the services on the mobile phone or the PC in the living room. I am sure this debate is not over with. However, the fact that the municipality structure of the Helgeland coast has to be discussed in the years to come, I feel quite convinced that they should be able to provide the services that the inhabitants deserve, expect and have the right to do.
ParlaMint-NO_2020-03-04.ana.ud555e1559	‘Stavanger/Sandnes and several municipalities around are to a large extent a coherent bus and labour market region. Does the Council of State consider it desirable to merge these municipalities?’
ParlaMint-NO_2020-03-04.ana.ud555e1566	The representative Pollestad asked me if it would be desirable to merge several of the municipalities in Northern Ireland. Now there have been two major mergers in this area, and I want to praise the municipalities that have been through a merger and built new, strong municipalities. The challenge in this area is to achieve overall and balanced social development through good spatial planning, public transport and industrial development. A survey has been carried out by the county office of Rogaland among elected officials, administrations and trustees. At the base of 60 pst. responds to difficulties in efficient services in multi-municipal urban and residential areas. Near 60 pst. is also of the opinion that, to a very large extent and to a considerable extent, the combination of municipalities will be an action to address these border problems. In a chronicle in Stavanger Aftenblad recently points out the County of Rogaland: ‘The national soil protection strategy points out that changing municipal boundaries will help to strengthen soil protection where several municipalities form part of the same urban and labour market region. Especially because fewer municipalities give a more holistic and coordinated planning. Probably land had been saved in Rogaland with fewer municipalities.» There is now a danger that the presidency – not the President, because the President has just arrived – and at least the representatives are getting tired of me repeating myself. But let me add that with the device that the questions have, it is difficult to avoid repeating itself. Let me therefore state once again, to be quite clear that I am answering the question: The Storting has decided that the municipal merger during this large-scale period should be based on local initiatives and local decisions, and this is of course the basis of the government. Then I'm pretty sure that in the case of Northern Ireland, the time for several municipal mergers is working – simply because both business and residents see that the municipal structure is not appropriate over time, and that it will be more effective to organise the municipalities differently. But this is a discussion that I feel pretty sure you're going to take locally in the years that are coming.
ParlaMint-NO_2020-03-04.ana.ud555e1582	Interestingly, the Council of State is taking County as a revenue for its vision, all the time when the County is the Council of State and the Government is its representative in the county. There's something wonderfully democratic about this kind of truth witness. But my question really goes more at a basic level: Is it that the government and the Council of State think, from a principle point of view, that when there is a common bus and labour market area, there should also be one municipality, or can a bus and labour market area be divided into several municipalities? That's what I want to get an answer to with my question.
ParlaMint-NO_2020-03-04.ana.ud555e1589	The question is whether one housing and labour market can be divided into several municipalities, and the answer is yes. We have a lot of that, so it's quite obvious that it's possible. The question is: Is it more efficient and better for both residents and businesses to consider aggregations in what are already coherent housing and labour markets? I believe the answer to that is yes. But I think this is probably going to continue to discuss in Rogaland in the years that are coming, because even if you've had two big contractions, it's not going to solve all the challenges that the region has. I feel quite convinced that there are many residential and labour market areas in Norway that could have assessed aggregation to the benefit of the population and industry.
ParlaMint-NO_2020-03-04.ana.ud555e1596	In Rogaland and North Jären, there are almost two groups that are interested in municipal mergers. They are right-wing politicians and they are the government's local representatives in the county, that is, the county's representatives. But based on what has been said before, this is a question. In Sandnes, for example, we wonder whether the government will sit still or whether there will be new initiatives. Governments have repeatedly said that it should be based on voluntary and local initiatives. Then my question is: can local politicians and citizens in e.g. Sandnes is confident that no new initiatives will be launched by the government or by the State to impose processes, conversations or pressures with the aim of contributing to municipal convergence – that they should actually be voluntary and based on local initiatives? Is it possible, then, that there will be initiatives from central authorities?
ParlaMint-NO_2020-03-04.ana.ud555e1605	This is the fifteenth question I answer about the same thing, and in all my fifteen answers, I have stressed that it is the government's policy to follow the decision of December 2017, which says that mergers should be based on local initiative and volunteering. That is why I feel in many ways that I have answered the question. It is clear that sometimes things have to be done with tweezers, but I think the representative Pollestad has got the answer to the question. [[Laughter]]
ParlaMint-NO_2020-03-04.ana.ud555e1610	Pinsett or not – we now move on to the next question, from the representative Nicholas Wilkinson to the Minister for Transport.
ParlaMint-NO_2020-03-04.ana.ud555e1618	‘Person traffic on the northernmost part of the Main Line, the Dal-Eidsvoll route, was closed in 2004. From then on, the population and an overall political environment in Upper Rome have fought to re-establish passenger traffic and thus put in place the fastest and most environmentally friendly link between Eidsvoll and Jessheim. The rails are there, but repairs are needed at Eidsvoll station. SV has previously asked written questions about the matter. Will the Council of State take the initiative in finding a solution to this matter and ensure that the question of resumption of passenger services on the Dal-Eidsvoll route is included in the KVU?’
ParlaMint-NO_2020-03-04.ana.ud555e1625	As the representative Wilkinson here clearly says: SV has raised the same and important issue in a written question in the autumn of 2018. In the reply of the then Minister for Transport, Jon Georg Dale, it was called: ‘It is currently not possible to extend the Dal train to Eidsvoll because there is insufficient capacity to reverse the train at Eidsvoll station. Turning the train there would lead to reduced capacity for running freight trains because they cannot cross Eidsvoll, either at the new or old station, when standing passenger train material to the platform.’ So that was the answer from Dale in 2018. The rolling stock at Eidsvoll station is unchanged from 2018 until now. This means that there are no train tracks available with a platform at Eidsvoll station that can handle an extension of Dal-Eidsvoll without any significant restrictions on freight traffic on Dovrebanen. As of today, the Dal-Eidsvoll section is therefore lit by bus route 430 Jessheim-Eidsvoll. It is also important to note that by 2024 double-track work will be carried out on the Venjar-Langslet route, including Eidsvoll station. During the construction period Eidsvoll station will be closed for periods, which in any case requires alternative transport. The representative also refers to the ongoing work on the concept currency exchange, KVU, of the Main Railway Nord, Lillestrøm-Eidsvoll. The assignment is an order from the Ministry of Transport of the Directorate-General for Railways and must be the basis for assessing whether and when action on the Northern Main Railway is necessary or whether there may be other measures to address the needs of society. In connection with the KVU work, an assessment of the pendulum extension from Dal to Eidsvoll will be carried out, in line with the representative's wishes. So in that KVU, a pendulum extension will be considered, which will be important for what we can do with this distance.
ParlaMint-NO_2020-03-04.ana.ud555e1637	All the games at Eidsvoll will have the passenger traffic on the route between Dal and Eidsvoll. I am a little disappointed, since the head of the Transport and Communications Committee, Helge Orten from the Right, said in August 2019 that the government was conducting an investigation on trains between Dal and Eidsvoll. Was it optional bottle, or is there an investigation of the passenger traffic on the route between Dal and Eidsvoll? If there's an investigation, when will it come?
ParlaMint-NO_2020-03-04.ana.ud555e1642	So now we have a KVU going on. That is to say, we are now making a statement about a pendulum extension as a requirement for us to also have passenger traffic on this route. That is why I feel that with the answer I give here today, I come to the meeting that I experience is the representative Wilkinson's wish here. If we are going to have passenger traffic, we need to know if a pendulum extension is possible. So I'm asking in that KVU. I can also say that the Railway Directorate will arrange a new workshop for stakeholders on 24 March, where the possibility study and concept selection are the subject. So we have a click on real terms, but we're not going to do this if we can't do that study, and that's part of the KVU that we're now working on.
ParlaMint-NO_2020-03-04.ana.ud555e1649	People at Eidsvoll use cars a lot, because it takes 50 minutes between Dal and Eidsvoll every way if they use buses. The train from Dal to Eidsvoll will take 10 minutes. I understand that it is difficult for people to lose 80 minutes every day when the train does not go. SV is constantly working to cut greenhouse gas emissions. Then people in Eidsvoll should get the government on board and get trains between Dal and Eidsvoll. Will the government have the passenger traffic on the route between Dal and Eidsvoll? We're waiting for the investigation, but does the government want it, or are we going to postpone the matter again?
ParlaMint-NO_2020-03-04.ana.ud555e1654	I share the disgust representative Wilkinson has in this matter. Then we have to do that first, and just to be able to reverse the train is an assessment that we are now doing in the KVU. That assessment must come first. I don't want to answer that until I have that assessment, but what I can say here at Stortinget is that in order for one to turn the train, we have to do a pendulum extension. It's part of the assessment that's now happening in the KVU. When we have that KVU, we have to decide what we do. If this is the case, it may allow for passenger traffic on the Dal–Eidsvoll route, but I can only give that answer when we have the KVU.
ParlaMint-NO_2020-03-04.ana.ud555e1662	‘In the debate on taxi industries at Stortinget on 25 February, the Council of State stated: ‘... it is a challenge in the transport sector that we have had an increase in directorial positions. That means I'm an udder. This trend and trend must be reversed, even when it relates to salary levels. On 19 June last year, the NRK revealed that the number of directors of the railway companies has almost fivefold, from 11 to 49, and that the six top managers serve an average of 3.2 million. krones. What will the Council of State do with this omission, which is a direct consequence of the policies of its predecessors?’
ParlaMint-NO_2020-03-04.ana.ud555e1669	Let me stress that I mean the state not to be the wage leader in the wage development, but to show a wise and moderate line on this issue. I would also like to stress that I think it is important that the state be able to recruit good leaders in our companies, leaders who are to inspire, motivate and carry out important tasks for the development of society in Norway. Wages and salaries should not be the only motivation for that kind of leadership job, in which case it is not the right person for this type of important leadership job. It seems to me that some lease payments have been challenging for just re-emphasizing the sector, the sector that I am now looking at renting. The new organisation of the railway sector is a reindeer of responsibility and of the various tasks to be done in the railway sector, so that those who are best placed to do so are actually the ones who work with them. On the one hand, this means that the number of operators in the sector has increased. On the other hand, the new organisation in the sector contributes to increasing openness about which actors are responsible for what tasks. This means a greater openness around the level of leadership by making more explicit the organisational chart in the new activities, which was previously integrated into the major activities of the Railway Agency and the daring NSB AS. As owners, the Ministry follows up the organization and resource management of companies, and it is our job to challenge whether the resources of the company are being used as efficiently and efficiently as possible. When it comes to determining the remuneration of the lessee, this is the responsibility of the board of directors. However, owners have clear expectations of the Board’s work in the area of rents – it applies to the setting of salaries for the tenants and is expressed, among other things. in the country’s guidelines on remuneration and other evidence for the appointment of a lessor. Governments' authority in the companies in the transport sector is exercised by the General Assembly, where I, among other things, is responsible for examining the Board’s remuneration statement. In this context, I am busy that the board is open about how the fixing and adjustment of evidence has been designed to ensure that it is competitive, but not wage-leaving, and how the care of moderation is handled. There's something I'm raising at the general meeting.
ParlaMint-NO_2020-03-04.ana.ud555e1680	At the end of the debate on Norwegian taxi industry, I think the Council of State Hareide began to say what he really felt in the heart, when he said that he thought it was a clue that the number of directors in the railway sector had exploded. To take the old NSB, which had 11 directors: now that you've split up the company, there are 49, from 11 to 49 directors only in the split-up of NSB to Vy. We have the Railway Agency, which has been split up to Bane NOR and the Directorate of Railways, and I saw in a news article that there were ten communications managers only in Bane NOR, that is, a violent explosion. The average salary among the 49 – from NSB to Vy – was 3.2 million. kr, i.e. a heavy salary, a double salary from the Council of State. And the council then said it was a udder. Will the council do anything, or will he just talk and let it happen? If he thinks it's a udder, he has to get the number of directors down and get the pay down. What action will Hareide take in concrete terms?
ParlaMint-NO_2020-03-04.ana.ud555e1687	I'm very clear and say we should have moderation. The state should not be a payroll leader. I mean, naturally, when one gets more companies, one also gets more leaders. It's a natural development. But I'm busy with just moderation, and that evolution should be moderate. Then I say that it's my intention to bring this up at the general meeting, that's my tool – just when it's about the renter's wages. That's my lead, and it's my tool in this case to bring this up at the general meeting. That's what I also said in my answer. There is a reason, and it is my intention to address this when I come to the General Assembly. I challenge the director of the board, who is responsible for the salary of the company's rent, and just say that moderation must be taken care of when the rent discussion comes to the general meeting.
ParlaMint-NO_2020-03-04.ana.ud555e1692	We read earlier this winter about Wenche Bye, who until now is a cleaner on the Nordlandsbanen, and who loses his job because of competitive outsourcing. We know that those who are conductors on the train have had a worse pension, that cleaners in general have had a worse pension, and that those who do the practical job have had a more demanding working day. In the middle of this, we see a director-bonanza. We need to get the number of directors down. We have also seen that the salary level has exploded after the railway reform that the Christian People's Party was with and supported. Does the Council of State Hareide think it has been a good consequence of the rail reform that the director's wages have been going on, and that there have been many more directors, while those who actually do the job lose retirement and get a more demanding working day? And the Council of State will dry up in the General Assembly to really rule, to oblige the board to bring down the number of directors, and to say that it is voluntary to work as Director of Norwegian Railways, and that pay is going down, right?
ParlaMint-NO_2020-03-04.ana.ud555e1697	As a general meeting, I can give leadership in terms of salary, and I say clearly here that I want moderation. The state shouldn't be a leader on a payroll, and I say that very clearly. Then, naturally, I won't go and say something about the number of directors, also because when we've split up, it also leads to some more leaders. The competition we have seen has now cost us a lot. But yes, I'll follow up moderation. I mean, as I also said, that a development that has been challenging for the sector's reputation, I've got it under way, and I'll deal with that when I come to the General Assembly. That's the neat way for me to do it, and then I'm expecting moderation in this sector in the future when it's on the payroll.
ParlaMint-NO_2020-03-04.ana.ud555e1705	‘The power companies behind NorthConnect claim that the cable will result in a CO 2 reduction of 2 million tonnes per year. Others claim that NorthConnect will increase CO 2 emissions by two million tonnes per year, given that the same amount of electricity had instead been exported to the continent, where the CO 2 content of the electricity mix is twice that of the United Kingdom. What is the view on the CO 2 effect of NorthConnect that the Council of States is right?’
ParlaMint-NO_2020-03-04.ana.ud555e1724	I share the representative of Moxnes' commitment to reducing greenhouse gas emissions. That's why I'm a little surprised that Red's position is saying no to all the new power cables. Power cables from Norway to our neighbouring countries strengthen our security of supply and help replace fossil energy with clean, renewable electricity. It is an important contribution to reducing greenhouse gas emissions and clear climate targets both in Norway and in Europe. NorthConnect is not an exception in that context. Nevertheless, it is a bit difficult to quantify the climate effect of a single cable, which, after all, is only part of a large and complex system. The European mains power grid is still evolving as a result of changes in power generation. I also believe that the numbering of the climate effect of a single cable is of limited interest, precisely in view of the energy conversion reductions as a whole. NorthConnect is now in the oil and energy department. I have noticed that there are several views on how the reduction of CO 2 emissions is to be assessed for actions in the power sector. Common to all of them is that they are associated with considerable uncertainty and that they depend on the assumptions taken into account. One way to estimate the CO 2 effect is to use modelling. In this context, fundamental conditions such as demand, supply, support schemes and policies must be made in the run-up to today and decades to come. A different approach could be to assess the CO 2 effect taking into account the allowance market in Europe. The quota market places an overall ceiling on emissions in the quota sector, including the power sector. The EU has introduced a quota market deletion mechanism and measures can therefore under certain conditions have a positive impact on policy makers’ ability to lower the quota ceiling. For me, there is no doubt that increased power exchanges are positive for Europe's common ability to replace fossil power generation with renewable energy sources. So this is red. The representative of Moxnes and Red stands for an industrial policy which, in my view, is reactionary and which will lead to the loss of jobs and income if it is implemented. Red's prescription is to say no to power exchange, in the long run shutting down the oil industry, gambled with the oil fund on green technology and, in my view, have an activistic state ownership. I'm going to warn you about that. We've seen enough ghastly examples of how politicians are going to decide which technologies and industries we're going to bet on.
ParlaMint-NO_2020-03-04.ana.ud555e1744	I guess that wasn't a direct answer to the question. We know that we have more than enough capacity to export any conceivable surplus of power long before we build NorthConnect. The Council strongly argues that the climate effect is an important reason for building NorthConnect. In the answers to my written questions about the matter, the Council of State replied that neither the Department nor the NVE have assessed the climate impact of NorthConnect. We have one number, and that's the alleged cut of two million CO 2, which NorthConnect itself is spreading. When the government does not have its own calculations, can a claimed climate effect – presented by the applicants behind NorthConnect – be stressed at all during the current concessional treatment?
ParlaMint-NO_2020-03-04.ana.ud555e1756	First of all, the estimate referred to by the representative here is based on a report by the British system operator National Grid. It's not like it's just the owners of NorthConnect who have come up with these numbers themselves. I think there's something strange in the way the representative asks the question, because in my view it seems that he is very engaged in the possibility of reducing more emissions through the cable to Germany, and then I think: is it so that the representative Moxnes actually accepts the premise that cables contribute to cutting emissions, since through his question he seems to think that it is better than the planned cable NorthConnect? I think it's an inconsistent argument from the representative around these questions. I also react to the fact that it seems that the resistance to cables seems to be built on a clean, old-fashioned notion that our power is only an input in other industries, instead of also seeing that this is an innovative and important industry in many other ways and in itself.
ParlaMint-NO_2020-03-04.ana.ud555e1765	This is the point: if NorthConnect cuts emissions in England and Scotland, the construction of it will lead to increased emissions on the continent, which will reduce energy exports to Poland, Estonia and Germany. Now the cable for concessional treatment is in the department. The hearing period shall be 10 March. On 12 March, the Stortinget Committee shall make its views known in several cases concerning NorthConnect, including a Red proposal that NorthConnect should not be built. On 20 March the matter shall be referred to the debate and to the vote in the Grand Duchy. The government is in a minority, but can still decide to grant NorthConnect concession, even if the majority of the population is opposed. Can the Council of State guarantee that the government will not grant NorthConnect concession until the Stortinget has dealt with the matter and made its decision?
