ParlaMint-NO_2020-02-05.ana.ud231e28	The representative, Helge André Njåstad, will present a proposal for a representative.
ParlaMint-NO_2020-02-05.ana.ud231e1701	Any digitisation requires robust infrastructure. Eight out of ten Nordics say that broadband and mobile networks are as important as road and rail in a new survey conducted by Telenor. Two out of ten fears that the home might be hanging out in digital development. Now the Telenor Chief warns of major consequences for unridden districts. ‘The study shows that demands for digital solutions are growing and that the deployment of broadband and mobile networks has never been more important. We see that a quarter of the people living in the districts are afraid that the home will be hanging around in digital development. Offensive grip is necessary. Good Internet coverage is the key to preventing districts from being left behind.’ What measures will the Government and the Council of State responsible for this area take to ensure that the districts do not fall behind?
ParlaMint-NO_2020-02-05.ana.ud231e1711	When it comes to expanding broadband and broadband coverage throughout Norway, I have responded to it two or three times earlier today. Perhaps the representative of Asphjell has also heard that. I'm proud that we're world leaders in terms of coverage. The government is working with increased strength to contribute to good coverage across the country. The question asked by the representative of me was about competence. I am very pleased that the representative did, because in order for the districts to evolve, and in order for us to participate and build up under the violent creative power that is going on out there, the inhabitants must have the right skills, and businesses must have access to it. That is why I look forward to investing more in online, flexible and decentralised education services together with the Minister of Higher Education and Research.
ParlaMint-NO_2020-02-05.ana.ud231e1727	First, I would like to congratulate the Council of State on a new post. There will be many congratulations in a short time, but at least that is well meant. ‘There have been serious criticisms of child protection in several areas: violations of human rights, lack of health follow-up, lack of and large turnovers among staff, and the quality is variable. The Labour Party will have more designation of positions for municipal child protection and has proposed a broad and comprehensive reform. The right-wing government's answer is to merge even more municipalities, as Ørmen Johnsen has suggested. What will the Council of State do to ensure that children in districts have an equivalent offer of child protection, irrespective of where they live?’»
ParlaMint-NO_2020-02-05.ana.ud231e1736	I would like to thank Henriksen for his congratulations. We have worked a lot together to ensure that all children, wherever they live, are entitled to a good offer and help. All children and young people have the right to protection wherever they live in the country. The child protection requirements are governed by the Child Protection Act and the requirements are the same for all municipalities. We know that many municipalities have few employees in the Child Welfare Service – it makes them vulnerable – and that small professional environments and heavy work loads can give rise to a risk of failure in the provision of help to children and families. Therefore, a large and strong professional environment is important. All municipalities must put in place the necessary measures and services for vulnerable children and families. For many municipalities, cooperation with other municipalities will provide good solutions. Many municipalities have established common child protection services. Evaluation shows that employees often experience inter-municipal cooperation as positive, because it leads to a stronger professional environment and a wider range of competences and actions. It is good to have colleagues around them in a very difficult working situation that is demanding too many. I am aware that the Ministry of Children and Family is working on a bill on annual status reporting on the child protection of the local government. Such a requirement shall contribute to ensuring routine information for the administrative and political management of municipalities. And that's important. Here we need committed political elected representatives in the communities who demand and prioritise their child protection. I would also like to mention that the county councillors have important tasks to follow up on child protection in the municipalities and to provide advice and guidance to municipalities. The community also organises dialogue meetings with the political and administrative management of all municipalities to discuss the state of child protection. As part of the government's competence in the field of child protection, county councillors have been assigned the task of establishing cooperation networks between municipalities and managing funds for joint development projects. Last year, the government strengthened this measure by 22 million. In particular, in order to stimulate cooperation between municipalities on the establishment of good guidance and follow-up services for foster homes. The municipalities that face the greatest challenges in child protection are provided with specific follow-up and guidance under the direction of specific guidance teams that sort under the Children’s, Youth and Family Directorate. The aim is to help municipalities put in place good forms of work and measures. The results have been good. By 2020, this offer has been strengthened with a view to prioritising the municipalities of the northernmost counties. I can assure the representative that strengthening child protection is one of the government's most important challenges, and with which we work very closely.
ParlaMint-NO_2020-02-05.ana.ud231e1755	One of the key factors in achieving good child protection at municipal level is the municipal economy. The government repeats its mantra that there has never been so much money in the municipalities. And that's right, because the problems have increased. In the case of state councils, town councils: only in the area of child protection, six pages of new tasks have been completed. The government disagrees with giving earmarked funds – government money. I have not heard one rapporteur who does not say that they must have cut welfare services, and this particularly affects the children who live in previously poor municipalities. Now in the new position: What action will the Minister for District and Digitalisation take on the Minister for Municipalities to ensure good budgets for local welfare provision in individual municipalities?
ParlaMint-NO_2020-02-05.ana.ud231e1762	We have a good community economy, and it is strengthened under this government. We have to give municipalities the opportunity to employ child-restraint workers with the right skills and employ enough people. It's a heavy burden for those who work in child protection today. That is why since 2014, after we took over from the Workers' Party, the government has employed 1 000 more people in Child Protection. We have legalised post protection for 25 years, and we now know that new child protection law will impose on municipalities an annual status report where the number of employees, the need for competence and the number of cases must be presented to the municipal politicians, as I mentioned instead. Local political responsibility is important, and I have not met one municipal politician who does not say that child protection, which is one of the most vulnerable and vulnerable services, must be given priority. If there are people who are entitled to legal certainty and have the right access to help, it is the most vulnerable children.
ParlaMint-NO_2020-02-05.ana.ud231e1767	The last thing I think I can say is that the whole Storting is behind it. But it's not enough with good party speeches. The local economy we now have is too poor to provide the most vulnerable children with the help and support they need in their difficult situation. The working party has added over 3 billion. kr more to the local economy. This means, for example: Karasjok had received 1.6 million. NOK more, Kautokeino SEK 1.9 million. SEK and Kväfjord SEK 1.7 million. kr. It is important, because it is precisely in these areas that we have special challenges for children among the indigenous population. There is a great deal of distrust of the public system, and it is necessary for municipalities to really be able to initiate measures that will take individual children. Does the Council of State think that there is wasted money the Labour Party is putting on the table?
ParlaMint-NO_2020-02-05.ana.ud231e1774	The areas specifically mentioned by the representative, Finnmark and Nord-Troms, are part of the action area and have increased appropriations. The municipalities and county councils receive additional funds totalling EUR 2.9 billion. kr. I am concerned that those municipalities that are extra vulnerable and have additional challenges related to vulnerable children should be properly addressed. But this isn't just about money, it's about having to follow up closely with good and competent employees who have to give the opportunity for a good enough education. It's about strong trade unions. But then it's also about the children's rights, which may have been too weak. Child Minister Ropstad has now started work on assessing the health status of children. It should have been done many years ago, and I'm very happy that it's now in place.
ParlaMint-NO_2020-02-05.ana.ud231e1782	Let me also congratulate the Council of State and give her recognition for her standing and answering questions. She's got a lot, and that's because this is an important topic for people. My question is: ‘In eastern Finland, the population declines and public jobs disappear. At the same time, people feel that the state is withdrawing. An example is the provision of children. An overview of child-care skills in Finnmark, in addition to the municipal offer, shows that almost everything has been added to West Finland. One of the few areas of expertise in East Finland, Vadsø Youth Centre, is now being reduced. What will the Council of State do to ensure that the children of eastern Finland are guaranteed the same offers as children in the rest of the country and to reverse the decline in the population?’
ParlaMint-NO_2020-02-05.ana.ud231e1791	I thank the representative Gahr Støre for the congratulations, and I am very pleased that the Workers' Party wants to spend so much time on district policy and on the opportunities and challenges of the districts in Stortinget. I thank you for all the questions I have received today. All children and young people should receive a good offer in child protection, regardless of where they live. Young people in eastern Finland should have a good offer even if this institution is laid down. Buffetat duty to find the institution most suitable for each young person. In many cases, the youth living in an institution does not come from the district or region in question. Children’s protection institutions are specialised services where quality and internal control of operations are strictly required. Strict requirements for risk assessment and internal control and strict requirements for the competence and experience of managers are laid down. In the specialised institutions, which often have to take care of and help young people who may have been in numerous foster homes and childcare facilities before – where the specialised institutions are part of a number of homes where they have been – difficult childhood and difficult youth must meet with the highest quality in the field of child protection. This means that it is the best professionals and the best leaders in the field of child protection who are going to work at the institutions, because it is children – or young people, we are talking about in this case – who have complex, complex challenges, which have it very bad, and which it is very demanding to work with. Unfortunately, we have seen examples of professional demands and management requirements that have not been followed up, and that this has had fatal consequences. We're talking about a group of young people who need a protection, a treatment and an offer that's particularly good. That's why I'm concerned that the leaders who are going to work at the individual institutions should have a quality that keeps a high standard, and I trust that when the Stortinget, the Ministry and the government have told Bufetat that they are going to make a professional assessment here, it will be done in a good way. I understand that this is going to be challenging for East Finland. These are skills jobs that can have a significant impact on a local environment. There we also have to look at what other measures we can contribute to ensure that we live in East Finland.
ParlaMint-NO_2020-02-05.ana.ud231e1804	Large parts of this answer were really a review of how things should be, and everyone could agree on it. I visited this part of Finnmark a few weeks ago, and I visited municipalities that showed me maps of where there were child-care resources available to these vulnerable young people. There we see it drained in the east, and there's something left in the west. The answer is that Buffetat is responsible, and that the municipalities are responsible, but we also have a responsibility as a state for what is happening in this part of Norway, where the bulk of the population has forced through a merger of Troms and Finnmark. We now see that professional environments east of Finnmark are being tapped. My question is, what does the Council of State think is her responsibility as district minister to follow it up? This is a serious development where we are now talking about the establishment of an institution located in Vadsø in Alta. It's long distances and a particularly complicated state. I am a little more interested in what initiatives the Council of State intends to take – or whether she believes that this is something the Directorate intends to follow up.
ParlaMint-NO_2020-02-05.ana.ud231e1813	I hope the Labour Party and the representative Gahr Støre do not want to change the responsibility that the Stortinget and the government have delegated to Bufetat. Policy assessments are not to be based on who is best placed to lead an institution with such a special patient group that has major challenges. What we agree on is that East Finland is experiencing this as difficult because they are being depleted for skilled jobs when, on a professional basis, such an institution is being set up. That's why I'm going to go to East Finland. I'm going to visit public welfare services and businesses and talk to people and local politicians, because there's no doubt that East Finland has gone through a difficult period. As district minister, of course, my primary responsibility is to rejoice for those who do well, but not least also to be there and to be a support and a spokesperson in the work of government and central government to strengthen and maintain the districts in the best possible way.
ParlaMint-NO_2020-02-05.ana.ud231e1822	I would advise the Council of State to take that trip, and I would advise her not to say that she does not hope the Storting should rock in the delegation of responsibility in the case of Bufatat etc. That kind of language is not close to what people experience there. They feel that an institution is being laid down and skills jobs disappear. It's a theme. The second theme is that young people stay unsolicited. It's another big topic, and we need to see that. I would also like to add – so it is good for the Council of State to take that trip – that when the Minister of District is in East Finland, she should also consider that this is a neighbouring area not only to other parts of Norway but also to other parts of Europe. So here we have an area that is now experiencing a vulnerable situation with regard to government officials, and we're neighbors with Russia. I believe it is important to ensure that Norway has authority, approval and legitimacy in those border areas. This is, in fact, something that is bordering on foreign and security policy. A quick visit to that part of the country I strongly recommend.
ParlaMint-NO_2020-02-05.ana.ud231e1829	The first thing I did, two days after I was appointed Minister, was travel to North Norway. It won't be long before I travel to Finnmark, and I'll actually be there for many days. It is a privilege as a district minister to have the opportunity to be in the districts – close to people. I take seriously the concern of the people of East Finland, and I also take seriously the responsibility of the authorities for giving children the best offer in a vulnerable situation. It is not certain that the young people living with that institution are necessarily from East Finland, because Buffetat assesses which institutions throughout the country can offer the best possible range of services to the individual child based on the situation and the challenges and needs of the child. I am very pleased that, together with the Minister for Foreign Affairs, I am now responsible for the Northern Territory Communication, where Norway's geopolitical and strategic position is important in the further work, and I look forward to working on it.
ParlaMint-NO_2020-02-05.ana.ud231e1842	Like my colleagues, I would like to begin by congratulating the new minister and wish her every success in her work. My question is: ‘Holgeland is among the regions of the country which will have the largest increase in the number of older people, while at the same time the proportion of working age falls. How are we going to recruit more young people to the region, and how are we going to solve the problem with more and more older people, when the government cuts in decentralised educational services for both nurses and teachers in Helgeland?’
ParlaMint-NO_2020-02-05.ana.ud231e1851	Thank you very much for the congratulations from the representative Moflag. District Norway is doing a great job, but the representative is addressing two basic challenges that we are facing and that the government is taking seriously. It is the availability of sufficient and relevant labour and the challenges associated with the ageing of an increasing proportion of the population. In particular, the challenge is caused by a sharp increase in the proportion of older people, which is primarily affecting the thinnest parts of the country. The welfare needs of the future also require new working methods and increased use of technology. The public sector needs to work smarter, more efficiently, innovate and digitise more. However, this contrasts with the fact that too many small municipalities still lack the capacity and competence to provide their citizens with the services they require. The government will set down a public body to address the consequences of the demographic challenges in the districts – sorry, we have already done so, so they are in full swing. Maintaining and attracting younger age groups will be crucial for the future of districts. In this context, we have set up a youth panel to advise the government on future district policy. The government implements several measures to ensure good broadband services for all citizens in the future. The level of broadband subsidies is approximately: 250 million. kr both in 2019 and 2020 – higher than in many years. In the revised national budget for 2019 and in the 2020 budget, the Stortingen total allocated over 90 million. to strengthen access to flexible higher education throughout the country. The government does not belong in decentralised training for nurses and teachers in Helgeland. Universities and higher education institutions shall ensure good access to higher education throughout the country and decentralised and flexible services are important instruments. Universities and higher education institutions are themselves responsible for organising activities in order to best meet their needs. For example, Nord University collects and strengthens the activities of Mo i Rana, which is at Helgeland. The organisation of teacher and nurse training at the North University shall provide a sufficient number of qualified applicants from Helgeland, Lofoten and the West eel for annual admission. This should provide a predictable offer and contribute good candidates to the working life of Helgeland. Nord universitet will have good studies and an attractive study environment in Mo in Rana, so that more young people from Helgeland choose to take education in the region. Nord University justifies the structural changes with the need to redeploy resources from infrastructure to professional development.
ParlaMint-NO_2020-02-05.ana.ud231e1866	People live and live where values are created. I have listened to several of the questions here today, and the district minister has been involved in creating jobs. But it's not just jobs we're going to create, we're going to create community. In Luray municipality in Helgeland, there are fewer than 2000 inhabitants. That municipality had 0.5 billion. kr in tax access. It must have been in 2018, because the figures were from 2019. The companies here are transferring for 4.5 billion. kr. This is enough money that politicians would like to clear up, both tax revenue and turnover, but what should we do to create communities around these companies? It doesn't hold that we have the businesses if we don't have the kindergartens, the schools, the home services, etc. What will the district minister do to ensure that we build communities around these businesses?
ParlaMint-NO_2020-02-05.ana.ud231e1873	I fully agree with the representative, Mr Moflag. It's community, good community, that makes people want to live there. But the whole starting point is that you have to have a job, so leave it at the bottom -- it's absolutely vital that people can live and live in the districts. It is precisely good public welfare services that are the starting point for people to feel safe, to get help when they need it. That's why the government has now decided that Helgeland will have two hospitals, both in Brønnøysund and in Lake Sandness, and that there will also be a district medical centre, as far as I remember, in Mo in Rana. I am already invited to Lake Sandness and have agreed to go there, to Brønnøysund and to Helgeland. There's a lot of amazing value creation going on, but there's also another reason people live there, and that's all the great communities along the Helgeland coast.
ParlaMint-NO_2020-02-05.ana.ud231e1882	Yes, there is a hospital at Mo and in Lake Sandness and the District Medical Center in Brønnøysund that is the conclusion of the morbidity process. Many people are pleased that more hospitals are still being set up in Helgeland. But then let me give you a final question here. Many people have pointed out that the students who train in the region are staying in the region, that's what the whole gold of decentralised education is. Many people in Helgeland and especially in the municipality of Nesna, who have had high school teachers for over 100 years, fear: Are we able to recruit teachers to these coastal communities, where all this value creation is created? Does the district minister think that we can get more nurses and more teachers to build these communities now after the Nordic University change is brought about?
ParlaMint-NO_2020-02-05.ana.ud231e1889	Nord University collects and strengthens its education in Mo in Rana, and for the next five years, the university has an ambition to increase the number of students at Mo in Rana from approx. 500 to 1,000 students. I think that's ambitious, I think that's very good, and I really hope that they succeed. That being said, I have a great deal of understanding of the despair that has caused education to move, because it is a cornerstone of the communities and has meant a lot to both the workplaces and the transfer of students. That's why I'm concerned that now, in all such matters and processes, the district minister should be strongly involved in the future, precisely because the government in our whole work is going to make sure that the districts don't get bad out when such processes happen. Here it was not the government that made the decision, as everyone knows, but it is my job, and I am happy to take care of the districts in a good way in my future job.
ParlaMint-NO_2020-02-05.ana.ud231e1896	Then the Minister for Digitalisation will have a break after answering 17 questions in a row – it says that respect.
ParlaMint-NO_2020-02-05.ana.ud231e1904	I would first like to congratulate the Council of State on being the Council of State! My question is this: ‘The new Minister for Transport has stated that he will give priority to climate challenges and road safety and make the transport sector more resilient. Upgrading Bergensbanen is such a project. With the Ringeriksbahnen and new double track Bergen–Voss the journey time between Bergen and Oslo will be down to four hours, which will make trains a truly environmentally friendly alternative. Now both projects are threatened by releases. Will the State Council give priority to Bergensbanen with the start of the Ringerik tunnel and K5, as promised by the government?’»
ParlaMint-NO_2020-02-05.ana.ud231e1913	I would like to thank the representative Kjersti Toppe for his congratulations. I thought it was a constructive opposition that gave me the opportunity to debut just by being allowed to talk about Bergensbanen, and as a hordalizing also the important project K5. It is quite right that the representative Kjersti Toppe says. I think that climate challenges and road safety are two of the main challenges we have in the transport sector. In Norway, we have worked well in both areas, and within traffic safety we are in the tip of the world, but there is still room for improvement. If the transport sector is to be resilient, many of those travelling must be shifted to climate-neutral and efficient transport solutions. And as the representative pointed out, the railway is just a solution in that way. My ambitions for the transport area are great. At the same time, this means that we need to ensure that the opportunities for the sector are used in a good way and that there is good cost control in the projects. Both Ringeriksbanen and Vossabanen/Arna–Stanghelle have had a huge increase in costs. Several rounds have been needed, and everyone is aware that we are spending that time in the best possible way to get a solid basis for just confirming the control plan. The initiative on Bergensbanen with the construction of Ringeriksbanen and related double tracks Bergen-Voss are priority tasks for the government. Together, these two projects on Bergensbanen, together with a new Vossaban route model, will reduce travel time by about 1 hour and 40 minutes for the regional train. It will make the long distance train an attractive alternative to flights on the route between Oslo and Bergen, on which the representative Toppe points. At present, there is a proposal for a regulatory plan for the Ringeriksbanen for treatment in the Ministry of Municipal Affairs and Modernisation, and the government has a goal of ensuring that the regulatory plans can be confirmed in a short time. Such confirmation of the regulatory plan will facilitate further progress. The Ringeriksban will help to expand the Bu and labour market region in the Austland. In addition, the project will shorten the journey from Oslo to Bergen by less than an hour. For the Arna–Stanghelle section, which is the first step in the construction of the Bergen–Voss double track, about 25 million have been spent in the state budget. kr to the joint project E16 Stanghelle-Arna/Vossebanen. In the present National Transport Plan, the route is described with construction start for the second six-year period and completion after 2029. The ambitions of the NTP, they are fixed for these two projects.
ParlaMint-NO_2020-02-05.ana.ud231e1928	We are many who have great expectations of a state council from Hordaland when it comes to transportation. I want to say that it is the right government council, but unfortunately in the wrong government. There are also many in the Christian People's Party who have expectations of my very question about Bergensbanen. The government itself stood at the Arna station in 2017 and presented what was going to be the bet. Then it was met with disappointment in Hordaland, because it was a postponement compared to what was expected. I know that Hordaland Christian People's Party was among those parties that reacted strongly. The current State Council stated to the Bergensavisen in March 2017: ‘I have registered impatience and dissatisfaction from an overall annual meeting. This means that my task is to prioritize K5 road and track.» Now it's about an additional postponement, so does he want to repeat that insurance to us?
ParlaMint-NO_2020-02-05.ana.ud231e1938	There is no doubt that the K5 priority is fixed. So the complexity of this work has turned out. It is also a government plan for the project, and the regulation plan will work on it. This is a plan to present this during 2020. So it's a project – now I'm talking about what's west of the mountain – of 15 billion. kr, there is a large project that we are forced to have control of. There is no doubt that the two projects on which the representative Top points will give a whole new dimension to Bergensbanen and reduce travel time. We have prioritised these projects in NTP, and now we're working on a new NTP. It is the great work that the Ministry of Transport is working on. We're going to get our result in the spring of 2021. That's where we finally get progress on these projects, but our ambition is firm.
ParlaMint-NO_2020-02-05.ana.ud231e1943	It's not just the railway that's special about K5; it's that there's going to be a joint project between road and track. The E16 is in the NRK's investigation into Norway's worst road and, according to the State Road Service, is the fourth most racially dangerous road. Many people are just as busy with K5 because of the rabid road as if they wanted a more modern railway. The uncertainty in the West is that we hear there's a huge increase in costs between Arna and Stanghelle, from 14 billion. DKK to 25 billion NOK – at least that's the last thing I've seen. With a cost overrun on all railway projects, we wonder if the Council of State sees the value of prioritising life and health first because of the combined challenge of this particular route.
ParlaMint-NO_2020-02-05.ana.ud231e1948	I think this project is a good one, but we're familiar with the challenges of cost increases. Real building start is a little ahead of time. So we're going to have to do things now, so we're going to do things pretty fast. Therefore, in the short term, tunnels are to be upgraded and several measures against race are to be implemented on the Voss-Stanghelle route. By 2022, it may also be necessary to provide minor repairs and tailor-made fuses on the E16 Voss-Arna section, precisely from the perspective pointed out by the representative Toppe. Yes, this is an important project. Our ambition is firm. Obviously, this is a project that will clearly be part of the NTP, and it is the final definition when we get to NTP in a year, which gives the final results of these projects. But so far the ambitions of the government are fixed for these projects.
ParlaMint-NO_2020-02-05.ana.ud231e1958	I'd like to start by giving the best wishes to the Minister of Transport with a new job. Not surprisingly, my question today is on ferries: ‘Travelers in Hordaland and along the whole coast are in an unsustainable situation. From the new year, ferry fares have increased in the order of 35-40 pst. This extra cost is so great that the inhabitants of the districts now have to move or change jobs to make the economic game go up. In what way will the Council of State ensure that the ferries and county do not stand alone with the large additional costs incurred in the conversion to low and zero emission technologies?’
ParlaMint-NO_2020-02-05.ana.ud231e1967	I would like to thank you for the congratulations from one sun-hord landing to another. The representative Hans Inge Myrvold comes from a holiday municipality and will know exactly this challenge on the body. We have been through a period of competition with many ferries in both national and county road ferries. The results of this have been good in several ways, but we have also received a strong increase in costs in the last few years. There's more to it than that. One thing is the requirement for zero and low emission technologies where it is convenient. In this field, the state has done a great deal of work, and the municipalities follow. But the increase in costs comes from other things as well. New contracts also make better provision. Fuel prices and crew costs have risen, and not least we have seen a formidable renewal of the ferry fleet. The renewal has given a total of 60 new buildings and contracting entities after 2015. The cost shall be covered, but it is not such that only the traveller shall cover this. In national road ferries, the state covers about half of the costs. In addition, through Enova, Innovation Norway and the Norwegian Research Council, the State has spent more than 1.6 billion in recent years. kr to low and zero emission cycles. For example, Hordaland has received about 275 million. kr from Enova in the last years of such solutions. The county authorities cover substantially more than half of the costs of the state-owned ferries. This has given a strong growth in the budget for ferry operations, both in the state and in the county. But the travelers also pay more than before. This is particularly true of some county councils, which have raised rates more than the general price increase in society, and this has naturally caused a disturbance. From 2018, the government has compensated the county councils for 100 million. SEK for increased costs of ferry services. We will now look again at the calculations that were made. At the top comes the introduction of AutoPASS for ferries. The aim of the AutoPASS chip payment is simplification and efficiency, both for the ferry crew and for the travellers. There are no major changes in the transition to the AutoPASS chip payment except that staff ticketing falls away at the transition to the chip payment. The conversion is based on provenance neutrality. As a result, the cost level would be collected for road users only after the conversion. Some road users are better off than before, while others get worse out of the AutoPASS conversion. So I find reason to remind you that the discount schemes for those who travel by ferry are good. About two thirds of the travelers resolve discounted tickets. I'm happy to accept input. I am, like the representative Myrvold, concerned about the price developments we see, and I also want a dialogue with the county about this.
ParlaMint-NO_2020-02-05.ana.ud231e1984	There is no doubt that the signs and the councils speak much the same language in this matter, and the reports that the councils give us about the situation in the coastal districts are very serious. In a family that lives on the island of Varald Island in Kvinnherad, for example, the carers who are going to work have to spend about NOK 100,000 a year on holiday trips only to get to and from work. The holiday riot that is spreading across the country will not dampen until responsible politicians find solutions. Although the Minister for Transport sees a good understanding and is clear in response, I strongly doubt whether the Head of Government and the recently appointed Minister of State share this view. In several media lookups they both express that this is the state and indirectly the ferry traveller's responsibility one and one alone. Can the Council of State assure us that it follows adequately with funds and finances into the alert dialogue with the county councils?
ParlaMint-NO_2020-02-05.ana.ud231e1991	Yesterday I was with the state councillor Hofstad Helleland visiting the ferry state of More and Romesdal. There we got a lot of good reports, and we said that there were none of the solutions we wanted to say yes or no to. But we want to go into a dialogue with the state to see this. This is a composite image. There is no doubt that short-term climate solutions help to increase costs. But in the longer term, just elves will reduce operating costs. If one goes to the Anda-Lote connection, the operating cost from one ferry to the other is now less than the one paid for a coffee cup and a swallow on the ferry in operation, once the investment costs have been incurred. I am concerned that the county should have this responsibility, which I believe was a correct solution. But I want to go into dialogue, and then there are no solutions I want to reject so far.
ParlaMint-NO_2020-02-05.ana.ud231e2000	There's no doubt that the swallows are good on ferries, and I'm glad that one is invited to make recordings. But the Vestland County Municipality has not yet been contacted by the Minister on this dialogue. I just want to clarify when it's going to happen, and in what way it's going to result. After all, the predecessor of the Hareide State Council has also been in dialogue with the county councils without any significant results. How does the State Council dialogue now differ from the dialogue that has been conducted between the Ministry and the county councils in the past?
ParlaMint-NO_2020-02-05.ana.ud231e2005	State Council Hofstad Greece and the signatures will contact the state. It's natural enough the states that are big when it's about ferries, and that have a real challenge. It's a mixed image, because this is related to the bidding rounds and the time they have. It helps to provide some challenges that are now stronger for some ferries than for others. Nor am I sitting with a full picture of the increase in costs. I met a family myself yesterday, and it's clear that there's huge sums of money this is about. They had a holiday cost of NOK 40000 last year, and they now have to calculate the ferry costs of NOK 60000–65000 this year. It's a big boost. Before tax, it is part of the income up to NOK 110 000 to NOK 120 000, a large part of the family income. So we want that dialogue, and we want to meet with the ferries.
ParlaMint-NO_2020-02-05.ana.ud231e2015	I would like to ask the Minister for Transport the following questions: ‘The West states have a difficult economy after the merger. They have not received a financial transfer from the state, as the government has promised. The most acute is the extra costs of transition to zero emission from ferry and fast boat. 380 million. kr for ferries in Hordaland,» – Sorry, President! I think the right thing is 300 million. kr. There must be a typing error here. – ‘100 million. kr for fast boat between Sogn and Fjordane and Bergen. Soon the ferries in Sogn and Fjordane will be on their way. Does the Council of State want Westland to reverse the transition to zero emissions, or will the government grant the funds needed to obtain zero-emission ferries and quickboats?’
ParlaMint-NO_2020-02-05.ana.ud231e2024	The question raised by the representative of Navarsete relates precisely to price and cost developments related to the ferry business. I want to be clear. I think it's very positive what Hordaland has done. They've invested in forward-looking ferries. The representative of Navarsete has a very good ability to understand just this issue as a former municipal minister and Minister of Transport. I believe the reform for which the representative Navarsete was responsible, by giving the ferry business to the county, has been successful. She's been working. The county has been responsible for this, and that is exactly what the county should be responsible for. As I mentioned in reply earlier, Hordaland has received support from Enova to conduct electrification of its ferry fleet. In total, Enova has given 275 million. kr in favour of zero and low-emission ferries in Hordaland. I would like to remind you that the large cost developments in ferries are also compounded. It's climate, it's fleet renewal, and it's a better supply. But as I say, I would like the county to have this responsibility. I want the state to be able to do something about this. We took 100 million. kr in 2018. Let's look at those calculations, and I want a dialogue with the state about how we can go in and look at this problem. So to the AutoPASS introduction, which some places lead to extra costs. There is no doubt that there is an introduction that I believe is very positive to. It is a simplification that allows you to run on board only the holidays. But that makes that, for example. Møre and Romsdal have passenger revenues of 100 million. which they must in effect replace by the AutoPASS regime. One of the suggestions that came from the party colleague of Liv Signe Navarsete yesterday, Kristin Sørheim, was to look at the flexibility associated with the AutoPASS code. This is a complicated wholeness. We're going to go into it, and I hope that the State dialogue can make the reform that we carried out in 2009-2010 stand by and that the state will feel that this is a regulation, a possibility they have, to take care of it in a good way.
ParlaMint-NO_2020-02-05.ana.ud231e2037	Int. 78 S for 2015–2016 asked the Stortinget government to put in place actions to ensure that all county and municipal ferries and speedboats benefit from low- or zero-emission technology by new supply and routes in their own right. The Christian People's Party voted for this. The centre party was alone in a comment stating that one cannot support this submitted without additional costs being covered and that the requirement for new zero-emission technologies must be followed by a zero-emission scheme covering the additional costs. Actually, it boils all the way down to economics and giving resources in line with the tasks that one gets. Does the Council of State still mean that it was right for the majority to impose such an order without cost coverage?
ParlaMint-NO_2020-02-05.ana.ud231e2046	I'm very happy with the climate solutions that the state has chosen. It would be very strange if we had chosen some solutions for the state road ferries and completely different solutions for the state ferries. The climate challenge is here, and I want to pay tribute to the states that have gone ahead in this area. That's what I'm talking about. Obviously, economics is part of this whole thing, but not everything. And in the dialogue I've had with the counties so far, they point to several tools, including: flexibility in discount schemes. We're going to go inside and actually look at the different tools that the county now wants us to look at. So yes, economics is part of this. As I also said, we're going to go through the 2018 calculations to look at this. I believe we should find solutions together with the states, and I don't want to contribute to a blackmail game on this challenge that we all see.
ParlaMint-NO_2020-02-05.ana.ud231e2055	I hope you find a solution. A journey from Mannheller to Fodnes, as many commuters daily, now costs $16 million one way. In that case, even the tolls around Oslo may be small in value. In 2019, Sogn and Fjordane County had a cut of 279 million. kr following the changes in the income system made by the government in 2015. Hordaland had a cut of 55 million. kr. So it's going to be a total of over 300 million. kr i cut compared to one before the change. Annual extra cost — including investment and operations — is estimated at 468 million in a report ordered by KS. kr, plus insecurity with regard to operations. After feeding the county councils economically, the prime minister was here and owed the red-green counties, as she said, for lack of prioritisation. Does the Council of State think this is about poor ability to prioritise, or is it really about too little money from the government?
ParlaMint-NO_2020-02-05.ana.ud231e2066	There is no doubt that part of this issue is about money. I thought the county councils, which have prioritised climate solutions, have done a good and proper priority, and I want to engage with them in a dialogue on how to solve this challenge. As the representative Navarsete pointed out, I also see some cost increases for a ferry that is too high. I mentioned earlier an example of a family that went from having a cost of less than NOK 40000 last year to now having a cost of NOK 60000–65000. It's a very large increase, and they have no choice. Yes, we have had toll issues that have also created a great commitment, but there has often been a greater flexibility than one has when it relates to ferries. This also applies to many island municipalities. We want settlement across the country, and therefore this is a challenge we are forced to look at solutions for. I am no less optimistic about finding solutions after having been in dialogue with, among other things. Mora and Romsdal County yesterday.
