ParlaMint-BG_2022-03-16.u1	Honourable colleagues, please register. Colleagues online are: Eva Miteva?
ParlaMint-BG_2022-03-16.u193	Mrs. Parvanova, it's been a long time. If you want, some of the things you can then answer the questions to do.
ParlaMint-BG_2022-03-16.u194	I'm sorry. Okay. In terms of psychological care, psychologists at the Agency, unfortunately, there are two. They apply a questionnaire to identify people seeking protection with traumatic experience. We're in very good coordination with non-governmental organizations. Psychological support is provided by the International Organization for Migration We're recording the kids at school. We've got 110 kids enrolled in school this year. Since 2017, we have been actively working to include children in the Bulgarian education system. With regard to the translation, because it was explicit in the question, we currently have 18 contracts in force. They have been concluded 2020 and 2021 and 2022. They are mainly for the languages I said just now, and we have a contract concluded in Ukrainian. We are currently conducting a procedure and will conclude an emergency for three months for translation into Ukrainian. This is mainly based on the Agency's activities. And because Mrs. Belobradova raised the question of how the Agency reacted to the fugitives from the war in Ukraine, I would like to say here that citizens coming from Ukraine enjoy the right to a 90-day legal stay. They come with legal documents. They themselves are not sure whether they want to apply for international protection, for temporary protection, but the Agency is in close coordination as part of the coordination mechanism, an operational coordination mechanism established in the Council of Ministers. I am co-chair of the Interdepartmental Working Group, together with the Deputy Minister of Interior, who are responsible for border control, entry and protection. Yesterday we signed an agreement. We have trained 121 employees of the Ministry of Interior not only from Border, but from different ODMIs. The last 60 people yesterday were from Pernik, Kyustendil, Blagoevgrad, Sofia-district and I don't remember what the fifth city is, but it works around the clock anyway, it doesn't stop. Colleagues managed to upgrade the AIS. [[the President signals that time has run out]] which is administered by the Agency for Refugees, and that is why we need to train them and provide access, which we do. And there's training at the moment. Sorry it took so long. Thank you.
ParlaMint-BG_2022-03-16.u195	Nothing. Still, it was important to hear. If there are any questions, you will continue with some of the things you do not have time for now. Now we move on to the questions. We're continuing the Change? Here you go.
ParlaMint-BG_2022-03-16.u196	Dear Mr. Chairman, Mrs. Chairman of the State Agency for Refugees, ladies and gentlemen of the National Assembly! We live in dynamic times of military and humanitarian crises. A country's policy towards refugees also defines its values, and the concrete measures and actions we take for those in need define us as a society. The Scriptures say: "Because I am hungry, and you have fed me; I have become thirsty, and you have watered me; I have been a stranger, and you have taken me away. " - Considering that we are 15 years in the European Union and Ukraine is in Europe, we are giving our hand to European citizens. Mrs. Parvanova, in your response, I have heard nothing about the citizens of Ukraine seeking help. On 5 March I visited the Crisis Centre in Varna and there were no persons from the State Agency for Refugees to assist those seeking help. In this regard, my question is: how does the State Agency for Refugees participate in the mechanism coordinated at the level of the Council of Ministers to support those fleeing the war in Ukraine who have arrived in Bulgaria? As a representative of the district of Burgas and following the work closely of the Crisis Centre there, there are large queues for Ukrainian citizens who wish to gain status, based on that your employees are only two days a week. My question is: can a daily presence of your employees be provided there? And last but not least, I sent you an e-mail on March 9th, which I still don't have an answer to. Thank you.
ParlaMint-BG_2022-03-16.u197	Thank you, Mr. Tashev. Come in for an answer, Mrs. Parvanova. You have five minutes to respond.
ParlaMint-BG_2022-03-16.u198	Thank you. Dear Mr. Chairman! Mr. Tashev, under Order No. P-36 of 4 March 2022, an operational coordination group with six interdepartmental working groups, each with their duties, is responsible for, as I have already said, the Agency for Refugees together with the Ministry of Internal Affairs Yes, on 5 March there was no one in Varna yet, because we discussed and specified any possible legal, administrative, organisational and other measures that need to be taken in order to enable the upgradeed AIS system to work, so that decisions can be made to make possible registration of citizens seeking temporary protection, even at the border at the initial reception points, as well as to be able to prepare documents that need to be amended. How do we participate in the support mechanism? Yes, it is. Colleagues who are present come to Burgas to make a registration. Last night, they only registered for international protection. Until now, those seeking support in Bulgaria wanted international protection because health insurance for persons in international protection proceedings is in the order of the Bulgarian citizens, and that provided for those seeking temporary protection, provided only those under 18 and vulnerable groups. The Ministry of Health also had a meeting with them, they worked very actively. As far as I know, they are preparing an amendment to the Health Insurance Act so as to align these two rights under both types of protection. I just couldn't find out about anything since March 9th, I couldn't understand what you asked me, I just didn't hear, I'm sorry.
ParlaMint-BG_2022-03-16.u199	Thank you, Mrs. Parvanova. From GERB-SDS? Here you go, Mr. Gadget, for question one.
ParlaMint-BG_2022-03-16.u200	Mr. Chairman, ladies and gentlemen of the House! Mrs. Parvanova, first of all, I would like to start with one clarification, and it is for the two statuses which have.. one is international protection, which is the long process given under the different conventions to which Bulgaria is a member state and it takes a long process for its issuance and is therefore unlimited, while temporary protection is under the mechanism that is now being launched on 4 March, of the European Union. It was launched by the Bulgarian government on March 10th with RMS No 144, which is the short procedure and the quick procedure for this status to be given quickly, is for up to one year. By March 10 there is no way to give such temporary status for the simple reason that the decision of the Council of Ministers is from March 10th. The strange thing, by the way, in it, is that I quote: "The persons who entered the territory of Bulgaria from Ukraine receive temporary protection from 24 February until their express request for the use of temporary protection, but no later than 31 March 2022." My question is this: since until recently I am sorry if I exceed the time, but if I may, Mr. Chairman...
ParlaMint-BG_2022-03-16.u201	I'll let you.
ParlaMint-BG_2022-03-16.u202	...are there any documents at all, and in the process we found out. And yesterday we saw all the pompous opening of the border how the welcoming mechanism itself was done. By the way, it is described in the application of the RMS in question, but the RMS itself does not concern what is happening with the granting of temporary protection status within the territory of the country, i.e. for the people who entered before 10 March, or before 14 March "before the opening of these centres." People who are already on the territory of the country, according to public data from the media, there are about 38,000 Ukrainians, who may, some of them, ask for temporary protection status. Are there instructions, documents and procedures by the Council of Ministers how it is done to give temporary protection at the points either to the SAB or to the migration department or elsewhere to give temporary protection status to people who are already in the territory of the Republic of Bulgaria, i.e. who will not return to the border to be processed? Since when is this happening, if it is already happening, because I think that everyone who is interested in the topic and wants to help is coming up to 31 March so that people who want to have the opportunity to register. Thank you.
ParlaMint-BG_2022-03-16.u203	Come in for an answer, Mrs. Parvanova.
ParlaMint-BG_2022-03-16.u204	Thank you. Mr. Chairman, Mr. Gajev, yes, there are instructions to all who will be making registration under international protection, as you said, this is a much faster procedure. It states that at the moment when the person with documents he owns stands at the border and goes to any ODMI or regional management, he will be able to fill out the form at the moment, as provided for in the AIS. That's why we signed an agreement yesterday with the Ministry of Interior. As of last week, we are training employees of the Ministry of Interior. They will issue these temporary registration cards to a person with temporary protection. Maybe 50 more people will be trained right now and it's only a matter of days. With regard to the deadline that you have pointed out in March 31st, I assume that it will perhaps be discussed to be extended, because, when it was discussed, the number of people who arrived in Bulgaria because of the war was not that great. You already know 38,000 are those who have remained on the territory of the country, but the Ministry of Interior is also provided for by RMS No 144, has established an organization and are training these employees daily to the extent that we follow the trainer principle for training trainers, and they will train their colleagues accordingly. There are people from the Department of Migration from the Department of Identity Documents, who are very experienced and for them is not a problem. There are instructions on how to work with temporary protection, so these employees will hardly be a problem, and colleagues at the Agency are constantly issuing accounts and access to information. Since when? From the moment. In fact, yesterday the initial reception point in Ruse started, where there are two employees of the Agency and Durankulak, where there are two other employees of the Agency, but as I said, we are considered to be stationary work with territorial units. We have 25 registrars, of which five new ones. Some remain to work in the centers, others we send to train or to register, depending on what we can cover as a capacity. Thank you.
ParlaMint-BG_2022-03-16.u205	Thank you, Mrs. Parvanova. From the Movement for Rights and Freedoms? No question. From the BSP for Bulgaria? I won't. There is such a people? Here you go, Mrs. Mostrova.
ParlaMint-BG_2022-03-16.u206	Dear Mrs. Parvanova, a problem with the system of the State Agency for Refugees left hundreds of citizens today from Ukraine in Burgas without the opportunity to submit documents for temporary residence status. The reason your employees have indicated is that there is a problem with the software, and that there is currently a training of these employees of yours. Are you familiar with this problem? What legal and factual measures have you taken to resolve. Thank you.
ParlaMint-BG_2022-03-16.u207	Thank you, Mrs. Mostrova. Come in for an answer, Mrs. Parvanova.
ParlaMint-BG_2022-03-16.u208	Thank you, Mr. Chairman! Mrs. Mostrova, I don't know where you got this information. There was no problem with the software regarding international protection. As I explained earlier, IT specialists have been working in an area where I am by no means an expert to make it possible for temporary protection to work. The legal and technical measures taken are expressed in a signed agreement with the Ministry of Interior, approved models of the temporary protection card, continuous co-ordination actions in relation to the fact that the Agency for Refugees is the administrator of the AIS, and any other operational and technical activities that I could very hardly tell because they happen all the time. Even now, while I was waiting, we're sending people to train, they come to us to train and so on. Thank you.
ParlaMint-BG_2022-03-16.u209	Thank you, Mrs. Parvanova. Mrs. Belobradova, come in for a question on behalf of the Democratic Bulgaria.
ParlaMint-BG_2022-03-16.u210	Dear Mr. Chairman, honourable Members, dear Mrs. Parvanova! I do not know where to begin, but I will return to your initial report, which was within 15 minutes, I will comment on some of the things that you have touched on one by one. The provision of psychological and health care. All the NGOs I've talked to, all the refugees I've talked to, with every single person outside the State Agency for Refugees administration, including one or two of your employees and one or two former employees, say practical psychological assistance is not offered. Of course it's recorded, but it's not available. I've already commented on health care. I personally talked to a woman who had one kidney, and six months after four times she asked for a medical examination, she didn't get one. The manager couldn't give me papers on the fact that it wasn't true, because in the end, there must be medical records for this. Translators. I understand that languages are complex, however, as far as I know from all of them, a translator falls to 2000 people, and you are aware of what this means in terms of communication, the drafting of documents at all for status. As regards the established quarantine facilities. According to an official report, underage children were quarantined at the centers for 14 days on their own to stay in these new quarantine facilities.
ParlaMint-BG_2022-03-16.u211	Mrs. Belobradova, just to remind you that you need to ask a procedure.
ParlaMint-BG_2022-03-16.u212	Yeah, well, I'm gonna ask a question.
ParlaMint-BG_2022-03-16.u213	Then you'll have time for an opinion.
ParlaMint-BG_2022-03-16.u214	My question is regarding the NGO that you were so kind to mention that you are working with it very actively. After my visit, a month later, I was warned repeatedly that the Foundation's Mission Krile will be denied access to the RCC Harmanli. Is this true because, if so, what right do you have to mention it in your report right now?
ParlaMint-BG_2022-03-16.u215	Thank you, Mrs. Bellobradova. You have the floor to answer, Mrs. Parvanova.
ParlaMint-BG_2022-03-16.u216	Dear Mrs. Belobradova, I personally signed the letter with permission to access the Foundation. I simply cannot remember the date. Thank you.
ParlaMint-BG_2022-03-16.u217	A month ago.
ParlaMint-BG_2022-03-16.u218	There's no such thing. I know what I signed.
ParlaMint-BG_2022-03-16.u219	Was that the answer? Thank you. The question suggested a brief answer. Do you have a question? Here you are, Mrs. Mihailova, to ask your question.
ParlaMint-BG_2022-03-16.u220	Dear Mr. Chairman! Mrs. Parvanova, you have made a detailed statement. In it you mentioned that the capacity of the centers is busy 45%, in the meantime we observe how a huge wave of empathy has risen in Bulgaria and literally every Bulgarian is engaged in some way with support of refugees in this way, as we may consider these peoples to be brotherly peoples, as we from the AGE have been too many times from this tribune. My question is this: how do you as an Agency keep in touch with the centres that are formed by regions and with those people who are currently in need, because we ourselves as participants in this kind of campaign accommodate and know about many accommodated such citizens from Ukraine who come and seek asylum in Bulgaria, who are sheltered by private individuals, by non-governmental organizations, how do you actually lead statistics? What happens to their papers, is there such a statistic? Finally, do you have a profile of the people who arrive in Bulgaria because usually such a profile is given and removed, now the information we receive is obtained by NGOs and by personal observations rather than officially by the Agency? Thank you.
ParlaMint-BG_2022-03-16.u221	Thank you, Mrs. Mihaylova. You have the floor to answer, Mrs. Parvanova.
ParlaMint-BG_2022-03-16.u222	Thank you. Ms. Mihailova, I would like to draw attention to those fleeing from the war in Ukraine legally entering the territory of the country, they are entitled to a 90-day stay if they decide to transit if they decide to apply for temporary protection. Coordination with accommodation groups, social affairs and everything else is in the operational coordination mechanism. In each of the interdepartmental working groups participate representatives of the Agency at a sufficiently high level, I give an example: Vice-Presidents, Secretary-General, Directors of Directorates who are constantly in touch with their colleagues. In terms of profiles. Perhaps this has further delayed the establishment of the information system in temporary protection, as it is of a newer type and there will also be sufficient information inside about those who have received temporary protection concerning their profile.
ParlaMint-BG_2022-03-16.u223	Thank you, Mrs. Parvanova. Moving on to the second round of questions. Do you have a question? Here you go.
ParlaMint-BG_2022-03-16.u224	Thank you, Mr. Chairman. Dear Mr. Chairman, honourable Members! Dear Madam Head of the State Agency for Refugees, we have heard that there is still no profiling of the people who are arriving from Ukraine. I would like to ask you the question whether there has been an expert evaluation by the Agency for Refugees about how many people are expected to seek assistance from the Agency? In this regard, what part of the Agency's capacity will be mobilised in the Ukrainian refugee crisis? Are there also experts in countries of origin already? How many people are hired specifically for Ukraine? Are contests launched and how many people will they be for? Also with regard to social assistance to parents and children, as you know, even from the media is quite obvious one of the main categories of people seeking protection in Bulgaria are mothers with children. In this regard, do you think that 32 social workers are sufficient and have you taken measures to increase the Agency's capacity in this regard? Thank you?
ParlaMint-BG_2022-03-16.u225	Thank you, Mrs. Korcheva. You have the floor to answer, Mrs. Parvanova.
ParlaMint-BG_2022-03-16.u226	Thank you for your questions. This is a new approach that may indeed be more difficult to understand at the moment. An expert assessment of how much they will seek at this stage may be done jointly by all the working groups. The registration of the persons, as I said, will be carried out by the Ministry of Interior. Experts on countries of origin are already working on the information in Ukraine. We are constantly announcing competitions at the State Agency for Refugees. People come, train and go to more attractive places, ministries, where their career development can be better. With regard to social assistance work colleagues, from us... from social assistance Vice-President in the interdepartmental working group "Social activities." Thank you.
ParlaMint-BG_2022-03-16.u227	Thank you, Mrs. Parvanova. Second question from GERB's parliamentary group? Here you go, Mr. Dilov.
ParlaMint-BG_2022-03-16.u228	Thank you, Mr. Chairman. Dear colleagues! Dear Mrs. Parvanova, I suppose I'm going to put you in an awkward position, ask my question briefly, but after a little preamble. The modern problem with the refugees in Bulgaria is a relatively new problem for the last five years, although this is part of our historical destiny and two thirds of our ancestors are refugees from somewhere. I would like you to comment on the following, without giving assessments, just to tell us: where and what real problems the Agency is currently facing in collaboration with the other government services along with what is happening with the Ukrainian wave? Because, colleagues, pay attention, nine tenths of the people who are currently entering Bulgaria, and Mrs. Parvanova reported it, they do not want to be refugees. They have the right to sit here free 90 days without explaining to anyone where they go and what they do. I myself had amazing cases in Varna. Forty people stay in a hotel in the evening, a person accommodates them, voluntarily opens their doors. He brings in 40 bags of snacks this morning because there's no kitchen, and he wants to feed them, and there's none. They washed, made their beds, washed their floors and went somewhere without anyone knowing where they went and what it was, just continued their journey somewhere without giving any explanation. Our impression of terrain and places is that the government has been completely unprepared and so far for nearly two weeks after that it continues to reign an unbuilt chaos in everything that is happening. Quite naturally, because you are called the Refugee Agency, all eyes are on you and therefore all heavy words will be taken by you. We would be mutually beneficial if you are here now able and ready to tell us the measures you expect from us, legislatively, from the government in the executive power, if you need more people, tell us how much and what. If you need a bigger budget, let me know. I mean, otherwise I don't see the point of all this gathering we've been doing so far. What can Parliament do with many things, of course, perhaps a little slower as a procedure, but I will lock up with what the colleague previously asked: the assessments that are found in open sources, sites that deal with migration problems, say that Bulgaria will have between 300 and 400 thousand refugees from Ukraine, that is, an optimistic forecast, we can expect so much. Now, what are we going to call them, refugees, temporarily staying, seeking protection, non-seeking protection, these are the physical people who have come. For reflection, I will just tell you that at the moment the people who have come are just as much as they lost Bulgaria to a horse. Every crisis is also an opportunity to be mutually beneficial, and I very much hope that you can really tell us exactly what you need so that the services can work more effectively, and I hope, colleagues, such a hearing, which will undoubtedly be much more useful, to do with the newly established headquarters. Thank you.
ParlaMint-BG_2022-03-16.u229	We'll do it, just to see how it goes. Here you are, Mrs. Parvanova, for your answer.
ParlaMint-BG_2022-03-16.u230	That's the next point.
ParlaMint-BG_2022-03-16.u231	Yeah, it's the next point, only to see how far we get.
ParlaMint-BG_2022-03-16.u232	Thank you, Mr. Chairman. Dear Mr. Dilov, thank you for understanding. Thank you for your question. The difficulties we have actually encountered so far in connection with the development of this new software, in connection with the stick, because this is the first time such a thing has happened. I said, the previous ones came in illegals without papers in another order. These come legally with documents. Things really took a lot of effort from a lot of people, a lot of coordination. You have understood, as I have learned, that the Ministry of Health envisages this legislative change. It would be great if it could happen as soon as possible. We will continue to announce competitions with our capacity, including we have sent a request to the chief usher, because the costs we are making are unforeseen for the Agency, but we have assurance that they will be somehow provided. Indeed, at the moment when there is a need, under the Order of 4 March for the operational coordination group, a deputy prime minister has the opportunity to submit proposals to amend legislative acts, that is, anything that comes in that order will probably need support for more speed, efficiency in order to resolve matters. Thank you.
ParlaMint-BG_2022-03-16.u233	Thank you, Mrs. Parvanova. Moving on to the second round of questions. From the DPS? You have no question. BSP? I can't see. There is such a people? I won't either. ..Democratic Bulgaria, do you have a second question? No. Breeding? Here you go.
ParlaMint-BG_2022-03-16.u234	Mr. Chairman, ladies and gentlemen of the House! Dear Mrs. Parvanova, as we all know, there are perhaps half a million in Ukraine, and perhaps even 600,000 Bulgarians. Accordingly, we have repeatedly called for special attention to be paid to our compatriots in Ukraine and not only, at all, to all our fellow Bulgarians who live outside the borders of today's Republic of Bulgaria. Accordingly, our question is as follows: do you pay special attention to them? Is there a special focus on our countrymen from Ukraine who are fleeing the war there? Are there statistics on how many Bulgarians from Ukraine are against all refugees from Ukraine? How many of them want to stay in Bulgaria? How many of them, respectively, use Bulgaria only for transit to other countries. Accordingly, have you taken measures and actions for those of them who want to integrate into our society, because this can become much easier precisely because they are our compatriots? Have you taken such measures, what exactly are you planning, so that you can ease their integration or find work, settle permanently in our country? Once again, how many of our countrymen from Ukraine? Do you even have any statistics? Have you prepared one, have you worked on one that affects the Bulgarians from Ukraine? Thank you.
ParlaMint-BG_2022-03-16.u235	Thank you, Mr. Georgiev. Come in for an answer, Mrs. Parvanova.
ParlaMint-BG_2022-03-16.u236	Mr. Chairman! Mr. Georgiev, the statistics on passed and transited are contained in the arrays of the Directorate-General of Border Police. With regard to the categories of persons to whom temporary protection is granted, Bulgaria, as a Member State of the European Union, complies with the provisions of Directive 55, which was activated on 4 March with the implementing decision of the European Commission. With regard to work and under the Asylum and Refugees Act, the State Agency for Refugees has links with organisations offering work, respectively we provide the information to the residents in the centers. In this case, information about who offers work, what and all such information is located on the website of the portal "Bulgaria for Ukraine" which is centrally managed, coordinates in the Council of Ministers.
ParlaMint-BG_2022-03-16.u237	Thank you, Mrs. Parvanova. With this, we have exhausted the questions and are moving towards expression of attitude by the parliamentary groups. We're continuing the Change? Here you go, Mr. Ananiev.
ParlaMint-BG_2022-03-16.u238	Dear Mr. Chairman, honourable Members! We heard some answers we wanted to hear. Unfortunately, at least in person what I expected, somehow I didn't understand it. For example, the war began on February 24th. We understand that the first reaction of the State Agency for Refugees was on March 5th. In a word, after 4 March, after the European Commission's decision on the temporary directive on temporary protection came out. Given that permanent international protection has not stopped acting in any way, I am quite surprised, given that Mrs. Parvanova is... actually today she is doing seven years at the State Agency for Refugees. She was chosen exactly seven years ago. Before that she was the Ministry of Interior Minister and she should have had a lot of experience, I mean, the Agency should have been at the border crossings on 24 February so that they could enable all those willing to apply for refugee status, get it or start this procedure. I didn't hear that there was such a reaction. I heard that the first reaction was after the European Commission's decision. That we have a precedent, yes, it is a precedent, so far no such thing has been voted on, but given the experience it should have, we are beginning to ask the question: is there actually an administrative capacity for the Agency at the moment to carry out its duties? Somehow it turns out that maybe she wasn't fully prepared for the job she was supposed to do. Now, we know how the Agency operates, as we had other crises a few years ago. All arrivals are brought into a camp where no one sees them, and they begin one treatment. The only thing that bothers me is that the Agency can process about 30 applications a day. I don't know what capacity he has to process 30?! Now, if we have 40,000, of them we will see how much international or permanent protection will be declared, or temporary, but somehow it seems to me that the Agency was not prepared for what was supposed to be done, but should have been first on the front line, as they have the most experience and should be concerned. All this attitude that I say, I say it from the point of view that I have worked for the United Nations for two years, the Refugee Commissioner, and I have seen a well-organised work that, in times of crisis, reacts and acts. Unfortunately, some post-factum action. But the question is how are we going to stop now and quickly clear the case. I also received a signal from Burgas yesterday about a pregnant Ukrainian woman who was not given the documents she should have received. There's been some delay. I don't know if it's the software that my colleagues said or some other problem. So I would call on us to focus, if there is a need for administrative capacity, to give this request, to be organised so that we can meet the needs, because really more and more people will come, some of them may benefit from temporary protection, but others may also ask for permanent protection. And I disagree with one of the speeches here that international protection is a very slow process. When it is for humanitarian reasons, there is an opportunity to speed up this process, so it is a matter of organisation and of a political solution as a whole. Thank you.
ParlaMint-BG_2022-03-16.u239	Thank you, Mr. Ananiev. Attitude from GERB's parliamentary group? Here you go, Mr. Cholakov.
ParlaMint-BG_2022-03-16.u240	Mr. Chairman, honourable colleagues, dear Mrs. Parvanova! It would be very unpleasant if the government is currently erased by the State Agency for Refugees, which is likely to happen. As we assumed this would happen, you know that we submitted a Draft Law on Amendment and Supplement to the Asylum and Refugees Act, in which we envisaged, provided and hoped that you would examine it without contemptuously rejecting it before we read it, the procedure for how it should be acted in this situation, where not only the State Agency for Refugees but all state authorities, including local authorities, will, by the way, be faced with the limits of their powers. Clearly, such a situation never happened. It is clear that the State Agency for Refugees, as defined in the law and as it has worked so far, has not been consecrated, has not been designed for such a pressure on refugees and on such a situation. We, colleagues, very often in other discussions, use the words "decentralisation" and "subsidiaries" and this is one of the situations, in my opinion, in which we can actually show and prove how the principle of subsidiarities works and how effective decentralisation is done. It is clear that the main burden of the refugee flow falls on the mayors of municipalities. That's objective. The state agency with its three centers in the country cannot deal objectively with the situation. And what we have foreseen in our bill, which I ask you to read again, is actually the State Agency for Refugees to be a coordination information centre to coordinate the efforts of the municipalities. We have invited the State to note in the Bill that its authorities cannot cope with this task if they do not engage the municipalities. We have noted that the funds for refugees should be directed to municipalities, not to hoteliers, and we have paid attention to Ukraine's citizens with a Bulgarian self-awareness, indirectly responding to what the colleagues of aging said that there should still be, to say it, a special look and perhaps a faster track. So it seemed to us and it seemed... No, it does not seem to us, it is an objective fact that the government is not doing well. The government is not doing well because there is no capacity because there is no vision of how to deal with such a situation because they have been making an Internet site for a month now and they think that a website can deal with a refugee stream, we make software. I don't know why we decided that all social problems can be solved in virtual reality. They won't be solved in virtual reality, they're decided on the ground. And the mayors are on the field. That's the third time I've said it. So, Mrs. Parvanova, I'm sorry that you're taking the hit, I'm sorry that you're saying like Angela Merkel: And we really wanted to help you, we want to help both the State Agency and the entire state administration, by giving advice on how to handle a purely organisational and logistical issue that we are facing. It would be very unfortunate, again, if the government wiped their hands with the Refugee Agency, which wouldn't be fair, it wouldn't be fair, and the Agency doesn't deserve it, and I shouldn't take that shot. Moreover, it is a secondary authorising officer of a budget and, even for this reason alone, it is clear that the Council of Ministers, to which it is subordinate, bears full responsibility for what is happening. Thank you.
ParlaMint-BG_2022-03-16.u241	Thank you, Mr. Cholakov. DPS attitude? I can't see. From BSP? I can't see. Is there such a people who are dealing with the hearing? You won't. So, then, Democratic Bulgaria? Here you are, Mrs. Bellobradova.
ParlaMint-BG_2022-03-16.u242	Dear Mr. Chairman, honourable Members! The truth is that no one is ready for this crisis? not a single country that currently accepts refugees. But it is also true that we cannot use either the administrative or building resources of the State Agency for Refugees, because in seven years the management has not created any conditions for this. Mr. Cholakov is right to say that the Agency is not prepared for logical reasons, only we have to say that it has not been prepared since it was created, and it is very important to say. Let's say, for years, how do we escape the absolutely destroyed and unrepaired centers where refugees are accommodated, how does that happen? How do we constantly avoid talking about corruption for years, about obtaining fake addresses, about the money being given out, how do we always avoid having one translator for 2,000 people, how did minors who have been quarantined for 14 days escape us? How all these things escaped us when there was no war in Ukraine, when we had an absolute opportunity to deal with it, and we continued to have capacity even under the great influx that we claimed there was. In 2021, the Centre was 48% filled. And although it was 48% full, all the rooms in the centers were crowded with people, mixed children, men, women sleeping on each other? How does that work? I don't know how he managed to escape for seven years, and the fact that many of the centers are full of bedbugs, but instead of changing the mattresses, we buy pillows for them. The good thing is that people who have been working for a long time on issues with the Agency for Refugees do not go out now simply to use them for political purposes like myself, but have submitted more than a month ago a report on this to the Council of Ministers and the Council of Ministers has reacted with the appropriate verification by the State Financial Inspection for the Agency. So the problems he has with the Agency for Refugees are not from today, not from yesterday, they're seven years old. And these problems are currently seeing what the results of them are - a non-working administration and a leadership that must resign. Thank you very much.
ParlaMint-BG_2022-03-16.u243	Thank you, Mrs. Bellobradova. And attitude from the parliamentary AGE group. Here you go, Mr. Kostadinov.
ParlaMint-BG_2022-03-16.u244	Mr. Chairman, I mean, for the people who are here right now, and for those who are watching, a few short numbers. The total number of staff employed at the State Agency for Refugees receiving remuneration as of 14 February 2022. A total of 330 pieces. The amount of remuneration of the staff on 14 February 2022 for the period from 1 February 2021 to 31 January 2022 The Commission therefore concludes that the measure is compatible with the internal market within the meaning of Article 107 (3) (c) of the Treaty. 524 thousand. BGN 175. Report on service vehicles as of 14 February 2022 s 35 pieces, 49 thousand. BGN 456. For all this stuff, 5 million. BGN, we received answers that were sufficiently general, sufficiently unspecific. Personally, what I heard was that the question, which was clear, clearer, was there any prioritization of the Bulgarians who come as refugees, did not get an answer. It has been quoted that we respect some common commitments that we have to the international community and which we have signed as international treaties and agreements, which is a fact. However, I would like to remind you that in our history we have received refugee waves mainly from Bulgarians, of course, in the last 140 years several times, with the last such a big wave after World War II, when nearly 80 thousand refugees from Belomore Macedonia arrived in Bulgaria, expelled from the Greeks, and the Belomore Thrace, by the way. To them the Bulgarian state then, without having an Agency for Refugees, reacted in a much, much more human way. We here, of course, do not say that there should be any difference between Bulgarians and Ukrainians who come because they all run the same way from the war. However, we are Bulgaria, which means the country of the Bulgarians, and we must have a special attitude towards our compatriots, they must come first. This thing, Mrs. Parvanova... Mrs. Parvanova, hello! Because when I speak, you don't listen. You obviously don't care what the MPs say.
ParlaMint-BG_2022-03-16.u245	He's even listening to you.
ParlaMint-BG_2022-03-16.u246	What I actually heard here was general talk, lots of general talk, nothing concrete. And there were specific questions, not just from us, but from all the others who were here, from all the MPs. I do not see the point of the existence of this agency - another parasitic structure in the state administration. And I think we have supporters here in other political forces as well. We should not and should not in any way receive at this very moment when our society is most excited about what is happening at the borders, to receive such a kind of attitude, it is simply not respectful. And so we will raise the question of whether, indeed, as is, of course, this one, there are many other such agencies in our state administration, to what extent are they needed? Because if we look really, we'll see that what we once had as one or two departments has now developed a tree structure and it's become like a separate quasi-government, and we're not just talking about this agency. Three hundred and thirty pieces, almost five million, four and a half million budget. And what do we get for it? That's what I'm talking about. And look, check out our international commitments. We know them, but we do not see the Bulgarian commitment to the Bulgarians and to the suffering people. Thank you.
ParlaMint-BG_2022-03-16.u247	Thank you, Mr. Kostadinov. We are also running out of item four of today's agenda. Moving on to the next point: HEARING OF THE MANAGER OF THE OPERATING-COORDINATION GROUP FOR THE EVACUATION AND ACCOMPANYING OF THE EARTHERS FROM THE UKRAINE VALERS RACHEV OF THE BOARD 110 OF THE RULES ON ORGANIZATION AND WORK OF THE PEOPLE'S COLLECTION ON Government MEASURES RELATED TO THE BENEFICIARY WOLF. Importer is Desislava Atanasova on 15 March 2022. Just to remind you that there was a break requested by a parliamentary group, so the working time is up to 2:15 today. First, I would like to suggest that we grant admission to the room of the Head of the Operational Coordination Group for the evacuation and accommodation of the refugees from Ukraine. Please, voting mode. I ask the Quaestors to invite colleagues who have not understood and are in the hallway. I'm gonna wait ten more seconds because a lot of colleagues have come in, let's not disappoint them, let them exercise their right to vote. They voted 132 MPs: 132, no opposition and no abstentions. That's how the offer is accepted. Please invite Mr. Ratchev to the gym. I give the floor to Mrs. Dessislava Atanasova. Here you are, Mrs. Atanasova.
