ParlaMint-BG_2022-03-30.u1	Colleagues, I think we can start the registration now. Miroslava Petrova?
ParlaMint-BG_2022-03-30.u187	Thank you, Mr. Gechev. It is now the Commission's report on European Union matters. Who's gonna introduce him? Here you go.
ParlaMint-BG_2022-03-30.u188	Thank you, Mr. Chairman. ♪ I can't believe on the Draft Law on the ratification of the Letter of Amendment No 1 of the Financial Treaty between the Republic of Bulgaria and the European Investment Bank (Project Council Regulation (EC) No 1988/2006 of 22 December 2006 on the common organisation of the markets in agricultural products and repealing Regulation (EC) No 1234/2007 (OJ L 347, 20.12.2013, p. 965), and in particular Article 4 thereof. No 47-202-02-5, submitted by the Council of Ministers on 2 March 2022. At its regular meeting held on 24 March 2022, the Commission on European Union Affairs examined the Draft Law on the ratification of the Letter of Amendment No 1 of the Financial Treaty between the Republic of Bulgaria and the European Investment Bank (Project Council Regulation (EC) No 1988/2006 of 22 December 2006 on the common organisation of the markets in agricultural products and repealing Regulation (EC) No 1234/2007 (OJ L 347, 20.12.2013, p. 965), and in particular Article 4 thereof. No 47-202-02-5, submitted by the Council of Ministers on 2 March 2022. The bill was presented by Mr. Ivaylo Yaydzhiev, Deputy Minister of Finance. The meeting was attended by Mrs. Rositsa Dimitrova, State Expert at the Directorate of International Financial Institutions and Cooperation at the Ministry of Finance. In November 2014, a financial contract was signed between the Republic of Bulgaria and the European Investment Bank for a structural programme loan of up to 500 million. EUR (Financial contract) aimed at supporting the absorption of funds from the European Union Funds. The funds from the loan are entered into the central budget and are intended to partially cover the national co-financing of the projects implemented under the Operational Programmes The Republic of Bulgaria, acting through the Ministry of Finance, represented by the Minister of Finance, requested, by letter of May 2020, to include Operational Programme The scope of the loan includes OPIC, as eligible projects under priority axes 1, 2 and 3 of OPIC, as well as all projects under Priority Axis 1 of the ODA. The eligibility criteria for projects under OPEC, as well as projects in the field of the circular economy, energy efficiency and research and development, as well as vehicles and transport projects and the municipal waste sector are also introduced. With the ratification of the Letter of Amendment No 1 of the Financial Contract between the Republic of Bulgaria and the European Investment Bank for the financing of the project "Bulgaria.............................................................................................................................................................................................................................................. On 27 November 2014 the scope of the loan will be extended which, on the one hand, will help the Bulgarian government to cope with the needs of national co-financing for the implementation of OPEC projects and will contribute to the successful implementation of the measures taken by the Bulgarian government to overcome the economic consequences of the spread of COVID-19. The proposed bill does not lead to an impact on the state budget. It has not conducted public consultations and has not carried out an impact assessment since the bill falls within the category of acts under § 1a, i.e. 3 of the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the As a result of a ten-vote vote held after a discussion, the Committee on European Union Affairs asked the National Assembly to adopt a Draft for the ratification of the Letter of Amendment No 1 of the Financial Contract between the Republic of Bulgaria and the European Investment Bank (Project.................................................................................................................................................................................................................................. of 27 November 2014, No 47-202-02-5, submitted by the Council of Ministers on 2 March 2022.
ParlaMint-BG_2022-03-30.u189	Thank you, Mrs. Daneva. The report of the Committee on Economic Policy and Innovation is now in turn. Here you go.
ParlaMint-BG_2022-03-30.u190	♪ I can't believe Subject: Draft Law on the ratification of the Letter of Amendment No 1 of the Financial Treaty between the Republic of Bulgaria and the European Investment Bank (Project On 27 November 2014, No 47-202-02-5, submitted by the Council of Ministers on 2 March 2022. At its regular meeting held on 23 March 2022, the Committee on Economic Policy and Innovation examined the Draft Law on the ratification of the Letter of Amendment No 1 of the Financial Contract between the Republic of Bulgaria and the European Investment Bank of 27 November 2014. The bill was presented by the Deputy Minister of Finance Ivaylo Yaydzhiev. The financial contract between the Republic of Bulgaria and the European Investment Bank for a structural programme loan of 500 million. EUR was signed on 27 November 2014. The funds from the loan entered into the central budget and were intended to partially cover the national co-financing of projects implemented under the Operational Programmes The contract provides for the possibility to extend the scope of the loan to other operational programmes and sectors at the request of the borrower and after approval by the internal competent authorities of the bank. The use of funds is conditional on the Bank's approval of projects under eligible operational programmes. In 2015 and 2019, the first two instalments of the loan totalled 200 million were withdrawn. Euros. As part of the measures of the European Investment Bank in response to COVID-19 the Bank allows Bulgaria to withdraw the remainder of the loan without prior approval of projects. The amendment to the Financial Treaty implements Decision No 256 of the Council of Ministers of 14 April 2020 on the transfer of funds between operational programmes to support measures to minimise the negative effects of the epidemic spread of COVID-19. The loan was requested to include Operational Programme "Innovation and Competitiveness 2014" (OPIC) and all projects within Priority Axis 1 "Sustainable and integrated urban development" and "Regions in growth 2014 "2020" "To date, only projects implemented under investment priority "Sustainable urban transport" under Priority Axis 1 are eligible for funding with loans from the loan. In response to the request of the Bulgarian government is signed the proposed letter of ratification for amendment No 1 of the Financial Treaty, which includes OPIC as eligible for funding will be the projects under priority axes 1, 2 and 3 of the Operational Programme. The priority axis 1 limit of the "Regions in growth 2014' is removed and all projects under the Priority axis are already eligible for funding. The deadline for granting the draft approval of 31 December 2022 on 31 December 2026 and the deadline for granting the closure reports of 31 March 2025 on 31 July 2027 shall be extended. The eligibility criteria for financing OPEC projects, circular economy projects, energy efficiency and research and development, as well as vehicles and transport projects and the household waste sector, are also introduced. The activities which the European Investment Bank does not finance shall also be described. The extension of the scope of the loan will allow the Bulgarian government to deal with the needs of national co-financing for the implementation of OPIC projects, will allow the bank to obtain approval for the use of the loan to cover the national funding of a total amount covering the amount of the withdrawn instalments and will contribute to the successful implementation of the measures taken by the Bulgarian government to overcome the economic consequences of the spread of COVID-19. All other terms and conditions of the Financial Treaty shall remain unchanged. After presenting and discussing the bill, a vote was held which ended with the following results: On the basis of the above and on the basis of art. 85, para. 1, t. 5, 7 and 8 and para. 3 of the Constitution of the Republic of Bulgaria, the Committee on Economic Policy and Innovation, proposes to the National Assembly to adopt, in the first vote, a bill for ratification of the Letter of Amendment No 1 of the Financial Contract between the Republic of Bulgaria and the European Investment Bank of 27 November 2014, No 47-202-02-5, submitted by the Council of Ministers on 2 March 2022.
ParlaMint-BG_2022-03-30.u191	Thank you, Mr. Nasser. The report of the Committee on Regional Policy, Public Works and Local Self-government remains. Here you go.
ParlaMint-BG_2022-03-30.u192	♪ I can't believe Subject: Draft Law on the ratification of the Letter of Amendment No 1 of the Financial Treaty between the Republic of Bulgaria and the European Investment Bank (Project On 27 November 2014, No 47-202-02-5, submitted by the Council of Ministers on 2 March 2022. At a regular meeting held on 15 March 2022, the Committee on Regional Policy, Public Works and Local Self-government discussed Draft Law on ratification of a letter for Amendment No 1 of the Financial Contract between the Republic of Bulgaria and the European Investment Bank (Project On 27 November 2014, No 47-202-02-5, submitted by the Council of Ministers on 2 March 2022. On behalf of the importers, the bill was presented by Mrs. Rositsa Velkova, Deputy Minister of Finance. The financial contract between the Republic of Bulgaria and the European Investment Bank for a structural programme loan of 500 million. The amount of assigned revenue in accordance with Article 21 (3) of the Financial Regulation is estimated at EUR 150000. The funds from the loan are entered into the central budget and are intended to partially cover the national co-financing of the projects implemented under the Operational Programmes The financial contract provides for the possibility to extend the scope of the loan to other operational programmes and sectors at a later stage at the request of the borrower and after approval by the internal competent authorities of the bank. The amendment of the Financial Treaty was requested by a Bulgarian party in connection with Decision No 256 of the Council of Ministers of 14 April 2020 on the transfer of funds between the operational programmes 2014 - 2020 to support measures to minimise the negative effects of the epidemic spread of COVID-19 following an analysis of the implementation of the projects financed under the three eligible OPs, the payments made under them and the opportunities to use the loan to support the measures implemented under the operational programmes in response to COVID-19. [[OP]] The European Investment Bank is requested in the scope of the loan to include Operational Programme.Innovation and Competitiveness 2014 " 2020" (OIC) and all projects within Priority Axis 1 "Sustainable and integrated urban development" of the CFP, as currently only projects implemented under the investment priority "Sustainable urban transport" of the RDP's claim axis in question are eligible for funding with loans from the loan. In response to the request of the Bulgarian government was signed the proposed letter of ratification for amendment No 1 of the Financial Treaty, which included OPIC as eligible for funding will be the projects under the priority axes 1, 2 and 3 of OPIC. The limitation on the priority axis 1 of the CFP is also removed, by which all projects under the priority axis are already eligible for funding under the Financial Treaty. The deadline for granting projects for the approval of the European Investment Bank from 31 December 2022 shall be extended on 31 December 2026 as well as the deadline for the submission of reports on the closure of major projects from 31 March 2025 on 31 July 2027. The ratification of the amendment of the Financial Treaty will extend the scope of the loan, which will, on the one hand, provide additional resources to cover the national co-financing of projects implemented under OPEC and contribute to the successful implementation of the measures implemented under the Operational Programme to address the economic consequences of the spread of COVID-19. On the other hand, the inclusion in the scope of the loan of all projects within Priority Axis 1 "Sustainable and integrated urban development" of the CFP will contribute to their successful implementation and thus improve the urban environment, quality of life and growth in the cities in Bulgaria and especially in the current challenging situation. Following the presentation of the Draft Law, a vote was held, as a result of which the Committee on Regional Policy, Public Works and Local Self-government with 12 votes On 27 November 2014, No 47-202-02-5, submitted by the Council of Ministers on 2 March 2022, to be adopted in the first vote.
ParlaMint-BG_2022-03-30.u193	Thank you, Mr. Petkov. I'm opening a discussion on the bill. Is there anyone who wants to make a statement? I can't see. I must close the discussion then and move on to a vote on the Bill. I put to the first vote the draft Law on the ratification of the Letter of Amendment No 1 of the Financial Contract between the Republic of Bulgaria and the European Investment Bank (project Please vote regime. Mrs. Petrova?
ParlaMint-BG_2022-03-30.u194	Yeah.
ParlaMint-BG_2022-03-30.u195	Thank you. Abort the vote. A total of 127 MPs voted: 117 against 10, no abstentions. The motion is accepted. Here you go, Mr. Gechev.
ParlaMint-BG_2022-03-30.u196	Mr. Chairman, colleagues! On the basis of art. 76, para. 2 of the Rules of Procedure of the National Assembly I propose the first vote Draft for ratification of the Letter of Amendment No 1 of the Financial Contract between the Republic of Bulgaria and the European Investment Bank (Project No 47-202-02-5, submitted by the Council of Ministers on 2 March 2022, should also be adopted at a second vote in today's plenary session.
ParlaMint-BG_2022-03-30.u197	Thank you, Mr. Gechev. I also put to the vote the proposal to consider the bill at second reading. Mrs. Petrova?
ParlaMint-BG_2022-03-30.u198	Yeah.
ParlaMint-BG_2022-03-30.u199	Thank you. Vote 126 MPs: for a total of 116, against 9, abstention 1. The motion is accepted. Here you are, Mr. Gechev, to present the Second Reading Bill.
ParlaMint-BG_2022-03-30.u200	THE LAW OF THE on the ratification of the Letter of Amendment No 1 of the Financial Treaty between the Republic of Bulgaria and the European Investment Bank (Project This appropriation is intended to cover commitments remaining to be settled from previous years until the end of the financial year. A single member. He ratified Letter of Amendment No 1 of the Financial Contract between the Republic of Bulgaria and the European Investment Bank (project "Bulgaria's" co-financing under the EU Funds 2014 - 2020 The European Investment Bank (EFF) of 27 November 2014, signed by the European Investment Bank on 16 March 2021 in Luxembourg and by the Republic of Bulgaria on 19 March 2021 in Sofia. Final provision It's a one-of-a-kind paragraph. The law shall enter into force from the day of its promulgation in the Official Journal.
ParlaMint-BG_2022-03-30.u201	Thank you, Mr. Gechev. I'm opening the discussion on the bill. Is there anyone who wants to make a statement? I can't see. I'm closing the debate. We are going to vote at second reading of the bill presented by Mr. Gechev. Mrs. Petrova?
ParlaMint-BG_2022-03-30.u202	Yeah.
ParlaMint-BG_2022-03-30.u203	Thank you. They voted 126 MPs: 117 against 9, no abstentions. The bill was also adopted at second reading. Moving on to the next ninth item on the agenda: THE PRINCIPLE OF THE UNITED KINGDOM OF BULGARIA, THE MINISTERAGE OF THE REPUBLIC OF BULGARIA, THE MINISTERAGE OF THE NATION OF CANADA, THE MINISTERATION OF THE DESTROY OF THE REPUBLIC OF CROATIA, THE MINISTERAL MINISTERATION OF THE BORN OF THE UNITED KINGDOM OF GERMANY, THE MINISTERATION OF THE UNITED KINGDOM, THE DESTROY OF THE UNITED STATES, THE FEDERAL MINISTERATION OF THE BORN OF THE UNITED STATES OF THE UNITED STATES OF GERMANY, THE MINISTERITY OF THE REPUBLIC OF GERMANY, THE MINISTERATION OF THE REPUBLIC OF NATION OF THE REPUBLIC, Here you are, Mr. Zafirov, to present the Report of the Commission on this bill.
ParlaMint-BG_2022-03-30.u204	♪ I can't believe on a bill for ratification of a Memorandum of Understanding between the Government of the Kingdom of Belgium, the Ministry of Defence of the Republic of Albania, the Ministry of Defence of the Republic of Bulgaria, the Department of National Defence of Canada, the Ministry of Defence of the Republic of Croatia, the Ministry of Defence of the Czech Republic, the Ministry of Defence of the Kingdom of Denmark, the Ministry of Defence of the Republic of Estonia, the Federal Ministry of Defence of the Federal Republic of Germany, the Ministry of National Defence of the Republic of Greece, the Ministry of Defence of the Italian Republic, the Ministry of Defence of the Republic of Latvia, the Ministry of National Defence of the Republic of Lithuania, the Ministry of Defence of the Government of the Netherlands, the Ministry of Defence of the Republic of Northern Macedonia, the Ministry of Defence of the Kingdom of Spain, the Ministry of Defence of the Republic of the Republic of Norway, the Ministry of National Defence of the Republic of Poland, the Ministry of National Defence of the Republic of Romania, the Ministry of Defence of the Slovak Republic of Defence, the Ministry of Defence of the Ministry of the Ministry of Defence of the Republic of the Republic of Defence of the Republic of the Republic of the Republic of Slovenia of Defence, the Republic of Slovenia, the Ministry of Defence, the Republic of the Republic of the Republic of the Republic of Slovenia. At a meeting held on 10 March 2022, the Defence Committee examined that draft. The bill and its motives were presented by Brigadier General Radostin Iliev, Director of Defence Policy and Planning Directorate at the Ministry of Defence. The Memorandum of Understanding requires an agreement which governs the specific conditions for the organisation and administration of the International School (SIS) by participants, as well as those for the implementation of their financial contributions necessary to maintain the annual work of the General Service Unit. The Memorandum will replace the current Memorandum of Understanding with regard to the Agreement between the Headquarters of the NATO High Chief Command in Europe (SHAPE) and Belgium on the establishment and operation of the International School in this Headquarters of 13 July 1978. This Memorandum introduces a new methodology for calculating the annual contributions, which examines the participating countries equally, given that the costs of building the new buildings of the school are paid jointly by them, and is based on the actual average annual number of students trained during the current year. As a result, the annual share of the contribution to Bulgaria, defined as a percentage of the school's budget, will be 0.46587 per cent, which is lower than the current share of 0.86439 per cent. The participation of the Ministry of Defence in the Memorandum may lead to financial obligations, which shall be determined on the basis of the number of children trained at the International School. In addition, participation in the Memorandum sets up a different regime than the one regulated in the Ordinance on Long-term Missions abroad on the cost of basic/average education of children of long-term seconded staff to posts in the territory of SHAPE under the Ordinance. After the end of the discussion, a vote was held in which, with 12 votes for the Government of the Kingdom of Belgium, the Ministry of Defence of the Republic of Albania, the Ministry of Defence of the Republic of Bulgaria, the Department of Defence of the Republic of Hungary, the Ministry of Defence of the Czech Republic, the Ministry of Defence of the Republic of Latvia, the Ministry of Defence of the Republic of Lithuania, the Ministry of Defence of the Republic of Montenegro, the Minister of Defence of the Netherlands, the Ministry of Defence of the Republic of Northern Macedonia, the Ministry of Defence of the Republic of Norway, the Minister of the Republic of Poland, the Ministry of Defence of the Republic of the Portuguese Republic, the Ministry of National Defence of the Republic of Romania, the Ministry of Defence of the Slovak Republic of the Ministry of the Ministry of Defence of the Republic of the Slovak Republic of the Republic of the Republic of the United States of Great Britain and the United States of Great Britain of Great Britain, the United States of Great Britain of Great Britain, the United States of Great Britain of Great Britain and the United States of Great Britain.
ParlaMint-BG_2022-03-30.u205	Thank you, Mr. Zafirov. I'm opening a discussion on the ratification bill. While you were reading, I was wondering which country I was missing. May Luxembourg is not involved in this? Are there any statements on the bill? I can't see. I'm closing the debate. I don't know if it's okay for me not to read them again. I don't think that's necessary. I put to the first vote the presented Draft Law on the ratification of the Memorandum of Understanding between the listed governments and the Supreme High Command of the NATO United Armed Forces in Europe (SIS). Mrs. Petrova?
ParlaMint-BG_2022-03-30.u206	Yeah.
ParlaMint-BG_2022-03-30.u207	Thank you. They voted 126 MPs: for a total of 126, against and abstention there is no. The bill was passed at first reading. Here you are, Mr. Zafirov.
ParlaMint-BG_2022-03-30.u208	Mr. Chairman, ladies and gentlemen of the House! On the basis of art. 76, para. 2 of the Rules of Procedure of the National Assembly propose that the bill adopted in the first vote be adopted in a second vote.
ParlaMint-BG_2022-03-30.u209	Thank you, Mr. Zafirov. I put to the vote the proposal to adopt the Bill at second reading in today's sitting. Mrs. Petrova?
ParlaMint-BG_2022-03-30.u210	Yeah.
ParlaMint-BG_2022-03-30.u211	Thank you. They voted 122 MPs: for 111.. total, no 11 abstentions. The motion is accepted. Mr. Zafirov, we will learn most of the Member States. Please read it again.
ParlaMint-BG_2022-03-30.u212	Ladies and gentlemen of the House! THE LAW OF THE on the ratification of the Memorandum of Understanding between the Government of the Kingdom of Belgium, the Ministry of Defence of the Republic of Albania, the Ministry of Defence of the Republic of Bulgaria, the Department of National Defence of the Republic of Croatia, the Ministry of Defence of the Czech Republic, the Ministry of Defence of the Kingdom of Denmark, the Ministry of Defence of the Republic of Estonia, the Federal Ministry of Defence of the Federal Republic of Germany, the Ministry of National Defence of the Hellenic Republic, the Ministry of Defence of the Republic of Hungary, the Ministry of Defence of the Italian Republic, the Ministry of Defence of the Republic of Latvia, the Ministry of National Defence of the Republic of Lithuania, the Ministry of Defence of the Republic of Montenegro, the Ministry of Defence of the Kingdom of the Republic of Slovenia, the Ministry of Defence of the Kingdom of Spain, the Republic of Turkey, the Ministry of Defence of the United Kingdom of Great Britain and Northern Ireland, the Department of Defence of the United States of National Defence of Romania, the Ministry of Defence of the Slovak Republic of Defence, the Ministry of Defence of the Ministry of the Ministry of Defence of the Republic of the Republic of Defence of the Republic of the Republic of Slovenia of the United Kingdom of the United Kingdom of the United Kingdom of the United Kingdom of the United Kingdom of Great Britain and the United Kingdom of the United Kingdom (S) on the United Kingdom of the United Kingdom of Great. A single member. The Government of the Kingdom of Belgium, the Ministry of Defence of the Republic of Albania, the Ministry of Defence of the Republic of Bulgaria, the Department of National Defence of the Republic of Canada, the Ministry of Defence of the Republic of Croatia, the Ministry of Defence of the Czech Republic, the Ministry of Defence of the Kingdom of Denmark, the Ministry of Defence of the Republic of Estonia, the Federal Ministry of Defence of the Federal Republic of Germany, the Ministry of National Defence of the Hellenic Republic, the Ministry of Defence of the Republic of Hungary, the Ministry of Defence of the Italian Republic, the Ministry of Defence of the Republic of Latvia, the Ministry of National Defence of the Republic of Lithuania, the Ministry of National Defence of the Republic of Romania, the Ministry of Defence of the Slovak Republic, the Ministry of Defence of the Republic of the Republic of Slovenia, the Minister of Defence of the Kingdom of Spain, the Republic of Turkey, the Ministry of Defence of the United Kingdom of Great Britain and Northern Ireland, the Department of Defence of the United States of America and the United States of Defence of the United States of NATO Supreme Armed Forces in the United States of South East (S of State of South Africa), and the United States of State of State of South Africa in the United States of South Africa. Mons, Kingdom of Belgium.
ParlaMint-BG_2022-03-30.u213	Thank you, Mr. Zafirov. I'm opening a discussion on the bill. Are there any speeches? I won't. We close the discussion and move on to the vote at the second reading of the bill presented by Mr. Zafirov. Mrs. Petrova.
ParlaMint-BG_2022-03-30.u214	Yeah.
ParlaMint-BG_2022-03-30.u215	A total of 122 MPs voted: 122, no opposition and no abstentions. The proposal has been adopted and has thus been adopted at second reading the Law on ratification. We move on to item 10th of the agenda, where Mr. Gechev, I think there will be an opportunity to manifest himself. This is the LAW FOR THE RATIFICING OF THE AGREEMENT (COMMITMENT No 1) TO THE INTERNATIONAL AGREEMENT (LOA) BU-P-AAD There's a report from the Defense Commission. Here you go, Mr. Alexandrov.
ParlaMint-BG_2022-03-30.u216	Thank you, Mr. Chairman. ♪ I can't believe on the Law on the ratification of the Treaty (Written for the offer and acceptance of a tender/Letter of Offer and Acceptance.OA) on Supplement and Amendment No 1 (Amendment No 1) to International Treaty (LOA) BU-P-AAD.Sidewinder AIM 9X Block II rockets related materials and services (Sidewinder AIM 9X Block II Missiles, Associated Material and Services), No 47-202-02-6, submitted by the Council of Ministers on 2 March 2022. At a meeting held on 10 March 2022, the Defence Committee examined that draft. The bill and its motives were presented by Brigadier General Radostin Iliev, Director of Defence Policy and Planning Directorate at the Ministry of Defence. LOA BU-P-AAD A1 does not change the value paid by the Republic of Bulgaria of the contract LOA BU-P-AAD signed in 2019. The same provides that, at the expense of remaining non-spent funds under the contract, after the award of all orders on individual lines, 3 additional units of Sidewinder AIM 9X Block II rockets, container and spare parts for them will be acquired. The deadline for acceptance of the offer and completion of the ratification process for LOA BU-D-AAD A1 expired on 15 December 2021 and cannot be continued. LOA BU-P-AAD A1 is prepared according to the requirements of US military sales legislation under the Foreign Military Sales (FMS) program, which strictly regulates the opportunities for acquiring US military equipment and equipment. The legal framework of the FMS programme allows the US Government to change the content of FMS contracts by proposing additions and amendments to them and this is normal practice. The reason for this are the features of the FMS program transposed as standard contract terms (LOA Standard Terms and Conditions). The signing of additions and amendments to FMS contracts proposed by the US Government within the deadline set by the Programme (2 months) is very important because the delay and extension of this deadline may have negative financial reflections and delays in the implementation process. Despite the time constraints of the US requirements, the Bulgarian side should implement the national procedure for approving the draft amendments provided for in the International Contracts Act of the Republic of Bulgaria and their ratification, given that it is being amended by the National Assembly an international treaty. The US Government has requested that the signed LOA BU-P-AAD A1 be treated as containing controlled unclassified information (Controlled Unclassified Information-CUl) which should not be made public. This also excludes the possibility of promulgation in the Official Journal. Given the need to ensure confidentiality in art. 2 of the Bill is proposed that the National Assembly order international treaties not to be promulgated. Such an opportunity is foreseen in art. 25, para. 2 of the International Contracts Act of the Republic of Bulgaria, according to which the authority which gives consent to binding Bulgaria to an international contract may order that it not be promulgated. LOA BU-P-AAD A1 does not provide for an increase in financial obligations for the Bulgarian state, but allows for optimization of US supplies related to the implementation of the contract for acquisition of multi-purpose fighter. From the members of the Defence Committee participated in the discussion were Vice-Presidents Nikolay Drenchev, Hristo Gadzhev and Alexander Alexandrov. Following the end of the discussion, a vote was held in which, with 16 votes for a vote was held, without abstention and 1 of abstention, the Defence Commission proposed to the National Assembly to adopt, in the first vote, a Law on ratification of the Treaty (Sidewinder AIM 9X block, related materials and services (Sidewinder AIM 9X Block II Missions, as requested material and services), No 47-202-02-6, submitted by the Council of Ministers on 2 March 2022.
ParlaMint-BG_2022-03-30.u217	Thank you, Mr. Alexandrov. I'm opening a discussion on the bill. Mr. Gutsanov, come in, you have the floor.
ParlaMint-BG_2022-03-30.u218	Dear Mr. Chairman, honourable Members of the National Assembly! I was hoping that colleagues from GERB would be in the Chamber, as they were just reading the declaration. I'd like to introduce you to some data that's not classified. Bulgaria has bought F-16 Block 70 eight aircraft worth 1 billion. The Commission therefore concludes that the Bahrain, F-16 Block 70, 16 aircraft for a price of 1 billion. 200 million. The dollar. Slovakia supplied F-16 Block 70 14 pieces per 1 billion. 800 million. Greece is currently negotiating about 1 billion. The dollar. Greece, F-16 Block 50 and Block 52 plus for modernization from Block 50 and Block 52 plus to Block 70 for 1 billion. 450 million. The dollar. Poland supposes F-35A 32 pieces, negotiations are currently under way, for 1 billion. OJ L 347, 20.12.2013, p. The dollar. Dear colleagues, do you notice any difference in prices? Of course we'll be in favour of taking the three rockets that are being extra. That's perfectly normal. But how was this contract signed? Does anyone buy anything green at a much more expensive price than what it would be if the production was produced? [[Noise and lines.]] We do not comment that the planes were to be provided with weapons in the Republic of Bulgaria in 2023 and will be in 2025 with unclear who, where and how they will produce them, provided that these military planes are needed at the moment of Bulgaria. [[Noise and lines.]] It's really necessary! What are these planes and who signed this contract and how? I think it is high time for other authorities to start commenting on this deal and not for us here at the National Assembly to argue. This is really something close to national betrayal. Thank you. [[(Applause from BSP for Bulgaria.]]
ParlaMint-BG_2022-03-30.u219	Thank you, Mr. Gutsanov. Any lines to the statement? Here you go, Mr. Bikov, line one, you second and Mr. Gajev third, if there's no other group. I won't.
ParlaMint-BG_2022-03-30.u220	Dear Mr. Chairman, honourable Members! I'm not going to explain how many planes they bought before we even made this order F-16 and so on. I want you to answer me very briefly and specifically.... are you accusing someone of corruption, first? Secondly, who are you blaming the Bulgarian government or the US government? If you blame the Bulgarian government, it means that the US government has taken some bribe. If you blame American, it means it's corrupt in some way. [[Noise, lines and shouts: "Eee!" by BSP for Bulgaria.]] That's what you're saying. When you talk like that, now give the specific answers, see this deal, check it out from the bottom of the board who's been corrupted here and who's done embezzlement? [[Noise and lines.]] I hope you will answer me clearly as you have here clearly extracted some data from the context. These aren't pears, tell you, neither are apples, these are planes. And you can't compare prices like that, given that you'll see that the next batch of planes will be much cheaper because we already have a trade relationship that we didn't have. [[Noise, lines and shouts: "Eee!" by BSP for Bulgaria.]] By the way, and I will say this to my colleagues from the "Democratic Bulgaria" who are also missing, this happened despite your coalition partners from the BSP this deal, and thanks, despite their will, we will already have modern aviation armaments, and we will not drive Mosquich. [[Noise and lines from BSP for Bulgaria.]]
ParlaMint-BG_2022-03-30.u221	Thank you, Mr. Bikov. Here you go, Mr. Drenchev, for a second line.
ParlaMint-BG_2022-03-30.u222	Mr. Chairman, honourable colleagues, Mr. Gutsanov! I agree with you that this is an extremely vicious deal in which there are many doubts and which, despite the billions spent, does not fulfil its primary function, namely to give some opportunities to our aviation, which has been brought to a ridiculous and pathetic situation. I do not agree with you in one respect, precisely because you accused GERB. We must remind you that during their management they had a coalition partner whose signature as their deputy prime minister, I mean Mr. Karakachanov, stands under this contract and under this set of contracts that ultimately spend some money instead of giving any technical opportunity to our aviation.
ParlaMint-BG_2022-03-30.u223	Thank you, Mr. Drenchev. Third line? Mr. Gazhev, you have the floor.
ParlaMint-BG_2022-03-30.u224	Mr. Chairman, ladies and gentlemen of the House, Mr. Gutsanov! Mr. Chairman, this is what happens when there is no representative of the importer. I insisted on another point, but you take it as an example too, because there is no one to give examples at the moment and explain. Dear Mr. Gutsanov, by comparing some parameters of different transactions, it is nice to compare them in full, but you cannot compare them in full because each of them includes different packages. When buying a particular battle platform, you don't just buy a plane or a fuselage. You buy a lot of different things. The colleagues who were in the Forty-fourth National Assembly had the opportunity to get acquainted with the whole package, inside with the price parameters and so on. Unfortunately, at the time, BSP colleagues had no activity, perhaps only one MP had read them. As far as prices are concerned, as has been said, prices are set and are the same for all parties that have entered into similar types of contracts. By the way, Slovakia is exactly the same as it is for Bulgaria. Entering such speculation does not help a qualitative debate. And the other thing I would like to draw your attention to is when we talk about the purchase of paper, ask me, please, one manufacturer, country or company that holds one, two, five or eight planes in stock and waits for someone to buy them. By the way, even if you're buying a new car right now, you're waiting between six and eight months for them to produce it for you, so you're still buying it on paper. By the way, other things that the government has currently signed, despite the not very clever statements of Deputy Prime Minister Asen Vasilev, armaments are generally bought on paper because there is no country and there is no company that holds stocks. And in conclusion, I would like to inform you that a few weeks ago there was a meeting at the National Assembly with representatives of the US government, where the State Department expressed a desire to brief us on all the parameters, delays and various cases that arise under this treaty. I hope that the President of the Commission will organise this meeting. Thank you.
ParlaMint-BG_2022-03-30.u225	Thank you, Mr. Gadget. You have the floor for the dot, Mr. Gutsanov.
ParlaMint-BG_2022-03-30.u226	Dear Mr. Chairman, honourable Members of the National Assembly! Mr. Gazhev, I kind of agree with you, but no one pays 100% ahead. And the sum of 1 billion. 673 million, given by the weakest economic and poor country in Europe to the world's largest economy, I think that these talks and these negotiations could otherwise have been held. [[Noise and lines.]] As far as prices are concerned, I read about the same planes, with the same units, there is no difference. As for whether there is corruption or there is no corruption, Mr. Bikov, there are other authorities that need to say. I didn't say if there was corruption or there was no corruption, and I said that I hope other authorities will finally say what's going on with this deal. But I believe that there should have been a re-arming of our Air Force that is indisputable, but not in the way that this is happening, because with this money it could have been done so that the planes would already be here or be at other parameters and not those that we currently have. So I don't think there's anyone who doesn't know what could have happened or what happened. And it's no coincidence that there's still talk of airplanes on paper. I hope they come after five years. Thank you.
ParlaMint-BG_2022-03-30.u227	Thank you, Mr. Gutsanov. Are there any other statements on the bill? Here you go, Mr. Gechev.
