ParlaMint-BG_2022-02-02.u1	For registration colleagues online: Desislava Taneva?
ParlaMint-BG_2022-02-02.u274	Thank you, Mr. Kambarev. Here's a line for you, Mr. Bikov.
ParlaMint-BG_2022-02-02.u275	Dear Mr. Chairman, honourable colleagues, dear Mr. Kambarev! You didn't explain what I've done to undermine the prestige of the Commission, you just marked it. I said in my speech that I insisted that we call Mr. Tsatsarov and that was the case. You've also opened a theme for TSUMgate. One question you did not ask him about this topic when he came to his feet and answered all the questions that were asked him. I will call on you to speak in particular, because the position you are taking as Chairman of the Anti-Corruption Commission does not imply that you should repeat what you have read in your media, but that you should speak much harder and that when you say something, it becomes news and not repeat news that has already been written. You must say something serious if you are ever going to speak as Chairman of the Anti-Corruption Commission. I understand from your statement that you have an idea of politics, you have an idea of corruption, you have an idea of these things that you are dealing with. But they're very different from what you see on the surface, so keep that in mind. What is written in one newspaper or another is not enough to enter the depth of these problems, and they have depth. They're not just some surface that's what you see, it's what you see. That's a very complicated question. Because I'm going to ask you, and that's my question: define from this tribune what corruption is, but define it legally. How can it be brought into the law? Define it legally, and from there on out, let's start and talk. Because this is also one of the major problems in the fight against corruption, that it cannot be defined what this means. You mentioned a variety of examples here, but these examples do not define and serve nothing effectively. Thank you.
ParlaMint-BG_2022-02-02.u276	Thank you, Mr. Bikov. Are there any other lines to the statement of Lord Kambarev? Here you go, Mr. Ivanov, for a second line.
ParlaMint-BG_2022-02-02.u277	Dear Mr. Chairman, honourable colleagues, dear Mr. Kambarev! I really expected some revelations from this tribune to do even more as chairman of the committee dealing with these issues. Today's vision of the upcoming vote of resignation understands it, at least it is an act of personal volition by the resignor. But unfortunately, even my earlier line didn't have a duplicate, and I still have a sincere desire to hear from you examples that don't repeat newspaper clippings that may directly concern you. Because with great zeal you are defending the thesis of sure there is no country in the world that does not have corruption, I hope Bulgaria with your efforts, joint efforts, ours, will become the first country in the world with zero corruption to be Bulgaria. But on the occasion of a quote from you about the Mafia and the state, not to confuse it with the exact quote, I was looking for the early prime minister who is, the earliest, mentioning that the mafia has a country and it is Bulgaria, is Mr. Atanas Atanasov's. He is now your coalition partner, and he is these words that I found from an Internet reference he gives a statement to the "Times" of 2008. So when he talked about it, he may be talking about some then ruling the country with whom you are currently coalition partners. The country was then governed mainly by colleagues on the left side of the Chamber. Maybe if you had something to add to that, I'd be interested in hearing what you have on it. Thank you.
ParlaMint-BG_2022-02-02.u278	Thank you, Mr. Ivanov. Is there a third line? Here you are, Mrs. Atanasova, for the third line.
ParlaMint-BG_2022-02-02.u279	Thank you, Mr. Chairman. Mr. Kambarev, it was some newspaper punctuality that you think is the name of corruption. I expected you as chairman of this committee, albeit recently, to name names of people who have been proven corrupt or who you believe should be under the blows of Bulgarian justice for corruption. Unfortunately, I observe that not only with you, but also with many colleagues, the only plus to take a certain position in the composition of this National Assembly is that they are part of the change. Unfortunately, once again, Mr. Kambarev, the ones you serve with are neither legally nor logically justified. And at the Commission meeting, which I attended as a guest, I saw that for a very large part of the members of the Commission it is difficult to distinguish some of the terms with which anti-corruption legislation is used at all. But please make an effort, because obviously this slogan of zero tolerance for corruption is a slogan not only in the election campaign, but it will also be during the change, otherwise it will look pretty ridiculous. Thanks, guys. Since it is in two, please, Mr. Chairman, let us vote on Mr. Tsatsarov's resignation before closing the plenary session. Thank you.
ParlaMint-BG_2022-02-02.u280	Thank you, Mrs. Atanasova. The GERB Parliamentary Group is not entitled to any more speeches. For the coat, Mr. Kambarev, please.
ParlaMint-BG_2022-02-02.u281	Dear Mr. Chairman, honourable Members of the National Assembly! I'll be very quick in the interest of time. Mr. Bikov, you're right. There was a proposal for Mr. Tsatsarov's call. We called him, perhaps the uncertainty was that I was offended by the fact that the Commission had prevented Mr. Tsatsarov from calling, which was not the case. We said we wanted to get the materials first so we could listen to Mr. Tsatsarov. Then I let you ask questions that were off the agenda, so I think the Commission has a good tone and we understand each other. Mr. Ivanov and Mrs. Atanasova, I hear from both of you: I was expecting some names. I've been waiting for names for 12 years. I expect KKCONPI to work! [[Applause from "We are continuing the Change."]] Okay. How serious is this? Let's talk really openly. You're talking to some dummies here. They're young. That's one thing. We'll use the other prop that they don't understand what this is about.
ParlaMint-BG_2022-02-02.u282	Well, you don't understand!
ParlaMint-BG_2022-02-02.u283	Well, I can tell you, Mrs. Atanasova, and Mrs. Tsatsarov, that there is a difference between experience and it is very important here to intervene. Because one can have experience, but how to use this experience and this expertise is very important. An example with Mr. Tsatsarov we can laugh all we want, the example with Mr. Tsatsarov is great. A very expert person to whom no one questions his legal qualities for six years holds the position of Attorney General. We know what level the D.A.'s office is at right now, two years running KKCONPI, we know KKCONPI at what level it is.
ParlaMint-BG_2022-02-02.u284	What level is he on?
ParlaMint-BG_2022-02-02.u285	Go out into the streets and see what level he's on. [[Noise and lines from GERB-SDS:.........................................]] Okay.
ParlaMint-BG_2022-02-02.u286	Not from a place, colleagues, please. Go ahead, Mr. Kambarev.
ParlaMint-BG_2022-02-02.u287	Okay. I think those were the main points. [[Noise and lines from GERB-SDS.]] Is that enough?
ParlaMint-BG_2022-02-02.u288	Colleagues, please, not from the spot.
ParlaMint-BG_2022-02-02.u289	Okay. I'm done. Thank you. [[Applause from Continued Change.]]
ParlaMint-BG_2022-02-02.u290	Thank you, Mr. Kambarev. On the basis of art. 58, para. 2 of the Rules of Procedure will continue until 14.30 in view of the two interruptions which were requested by the parliamentary groups of GERB-SDS and of the rebirth. We continue with the speeches. Here you are, Mr. Arabadjiev. You have the floor. And then for a statement Yavor Bozhankov.
ParlaMint-BG_2022-02-02.u291	Dear Mr. Chairman, honourable Members! I think that the concerns of colleagues from GERB that there will be no discussion, did not take place. I have seen from the last 40 minutes a very nice and sweet discussion discussing Mr. Tsatsarov's resignation. Regarding the presence of Mr. Tsatsarov here, I think it is pointless because at the hearing last week in the Anticorruption Commission we witnessed a political speech, as if the answers were written by the groups of GERB and DPS. We have asked specific questions with numbers on the answers we have received from the Commission, but we have only received political speaking. Mr. Tsatsarov, however, admitted that the Commission is not working. The bad news is that he sees only the problem in the legislative framework and does not see the failure in its management. Thank you very much that through this resignation it helps us to start the reform we have planned for the Commission and, otherwise, together with Mr. Tsatsarov and Mr. Geshev, they are part of the model, which in the last 12 years, I will not say because there are more, politicians became millionaires with impunity on the back of the Bulgarian taxpayers, and he said that he will continue his professional career in the VKP. I welcome this decision of his to remain in the judiciary, only I would be more pleased if he remained in the form of a protected witness and told all the things he had understood the last eight years [[Applause from.. Continue Change..]] since he has certainly accumulated a lot of information that is not pleasant for many persons present here. Hypocritical are these requests of GERB and DPS that support our zero tolerance for corruption or that they will support our anti-corruption reform simply because on the first day we implement the reform, I am sure that half of the MPs will prove to be clients of the prosecution. [[Applause from "We are continuing the Change."]] But the problem is that without Mr. Geshev's resignation they will remain only customers and there will really be no effective verdict, because we know what is being said now: The court has released them, the court has justified them, only that in the case of unfit evidence no judge will be able to sentence effectively with a sentence. GERB now boasted that they had not ruled with BSP, but did not say anything about DPS. Were you in charge? [[Comments from GERB-SDS: "No. "]] You didn't? Then tell me, at which precinct did the star of a young boy rise up who became a millionaire or a billionaire, Mr. Peevsky? [[DPS lines.]]
ParlaMint-BG_2022-02-02.u292	At Oresharski's.
ParlaMint-BG_2022-02-02.u293	No, it was at your helm that his star rose up. Tell me which management Mr. Dogan took TPP Varna and took millions per year through the electricity bills of Bulgarian citizens, which you now say are very high. [[Applause from.. Continue Change..]] However, the current bill also includes the payment of the demand to the TPP of Mr. Dogan. The Legal Commission. [[Noise and lines from DPS.]] Well, by the end of February, we will submit a law that will reform KKCONPI.
ParlaMint-BG_2022-02-02.u294	Please, not from a place, colleagues.
ParlaMint-BG_2022-02-02.u295	We will introduce an effective fight against corruption. We will not limit ourselves to stopping corruption now and in the future, but we will go back and forth to find all the drawers and bars because the resources of Bulgarian citizens have been stolen for years. It's time to roll up our sleeves, start cleaning the Augian stables. But a little more expert to say also, last week at Mr. Tsatsarov's hearing we saw an extremely passive Commission. A Commission which has no analytical capacity to analyse and compare the property declarations submitted in thousands each year and does not establish any discrepancies. We will introduce such a reform in KPCONPI, which is effective and finally has effective claims for the forfeiture of property of persons holding senior public positions. Thank you. [[Applause from "We are continuing the Change."]]
ParlaMint-BG_2022-02-02.u296	Thank you, Mr. Arabadjiev. For lines? Mr. Hamid, come in for a first line. Mr. Manev for the second line and the third will be for Mr. Bojankov. [[Noise and lines.]]
ParlaMint-BG_2022-02-02.u297	Thank you, Mr. Chairman. Honourable Members of the National Assembly! Dear colleague Abadzhiev, sorry for the mistake, please, when you go out to make such fundamental statements, first, read the current legal framework........................................................................................... But there, a young colleague, if you check how much money your mentor Ivo Prokopiev gets from the Safety Fund, if you check how much money he gets for his solars, you will find out why people's accounts are so pompous. For your mentor, colleagues, for your mentor! And the reform you're going to make under this law is just one thing to save Ivo Prokopiev's skin and millions. [[Applause from DPS.]]
ParlaMint-BG_2022-02-02.u298	Thank you, Mr. Hamid. Mr. Manev, come in for a second line.
ParlaMint-BG_2022-02-02.u299	Mr. Chairman, fellow Members! My fellow Member, I will tell you a rule that is widely known, but it must be reminded clearly not because you are young, not because you do not know, but simply because some things clearly need to be reminded. Corruption is a problem for the government! Corruption is a problem for the government. [[(noise and lines from..) We continue The Change......................................................................................................]] Corruption, colleagues, is a problem for the government! You're running those guys over there who look more like service personnel than MPs, but... [[noise and lines from.. Continue Change............................]] But the important thing is...
ParlaMint-BG_2022-02-02.u300	Mr. Manev, please.
ParlaMint-BG_2022-02-02.u301	...it is important that you understand, colleague, that when from this tribune you are handing out sentences that others have done before you, you are not the first. Some have gone out of politics and are not an insurmountable factor in politics. Don't say that again! That's not okay. We have worked with such people both in the National Assembly and in other formats. It won't bring you anything. And last but not least, colleague, a line to you. [[He addressed Iskren Arabadzhiev.]] When you go out on the National Assembly stand to accuse the MPs, remember: you are also a member of parliament, and this is forever. That's what you're gonna be, and whatever bullshit we say from here, it sticks to all of us. Thank you.
ParlaMint-BG_2022-02-02.u302	Thank you, Mr. Manev. Are you here for a procedure? [[Reply.]] The third line is Mr. Bojankov.
ParlaMint-BG_2022-02-02.u303	I've dealt with Mr. Bojankov.
ParlaMint-BG_2022-02-02.u304	Here's a third line.
ParlaMint-BG_2022-02-02.u305	Thank you, Mr. Chairman. Dear ladies and gentlemen, Mr. Arabadzhiev! In order to be able to speak freely, democraticly here today, Mr. Dogan, long before you were born, has been in prison right about this freedom. [[Applause from DPS.]] Once again, the three letters DPS are not a spoon for your mouth, Mr. Arabadzhiev. Your fragile mouth cannot take on this great responsibility, which is called the Movement for Rights and Freedoms. [[Applause from DPS.]]
ParlaMint-BG_2022-02-02.u306	Thank you, Mr. Ademov. Would you like a duplicate, Mr. Arabadjiev? Here you go.
ParlaMint-BG_2022-02-02.u307	In order of speech, Mr. Hamid. Yeah, there's no more.Credit reserves, because it's changed its name only and it's called for the system frequency. For 2020 the TPP "Varna" received 21 million, from January to July, from 12 million. Mr. Dogan's death wish that he managed to become a millionaire through his political connections. [[Applause from "We are continuing the Change."]] Otherwise, Mr. Manev, GERB is still ruling through the independent regulators who are appointed through separate mayors in the local government, but yes, corruption is in the government. We are now ruling, so we will not show softness even to our individuals who are caught and there is doubt of corruption. So do not doubt that we will not be uncompromising to any form of corruption. And to Mr. Ademov, as GERB for many years under the flag of fallen communists kept themselves in power and did all these abuses, so Mr. Dogan for a long time abused the rights and freedoms of the citizens and kept a large part of the population in Bulgaria unfree. But what we have given as a request that we will be uncompromising to any form of corruption and we insist on making every Bulgarian citizen free and calm to be able to express his opinion even in the smallest settlements. Thank you. [[Applause from "We are continuing the Change."]]
ParlaMint-BG_2022-02-02.u308	Thank you, Mr. Arabadjiev.
ParlaMint-BG_2022-02-02.u309	Procedure.
ParlaMint-BG_2022-02-02.u310	Here you are, Mrs. Atanasova.
ParlaMint-BG_2022-02-02.u311	Thank you, Mr. Chairman. Dear Mr. Chairman, my procedure is in the manner of conduct.
ParlaMint-BG_2022-02-02.u312	I'm listening.
ParlaMint-BG_2022-02-02.u313	I waited for Mr. Abadjiev to take...
ParlaMint-BG_2022-02-02.u314	Arabadzhiev.
ParlaMint-BG_2022-02-02.u315	...a hole. Yes, forgive me, colleague, because I thought that during this time you would make a note to him regarding the threats made to the People's Representation without an address. The gentleman said, if I can just quote: "When there is a new composition of KKCONPI and a new law, then a large part of you will end up in the prosecution or half of you or in prison. " Dear Mr. President, first of all, and honourable colleague, long ago no sentences were given from the parliamentary tribune. It used to be. Yesterday was the Day of Memory of the Victims of the People's Court when someone said who without trial or judgment would be repressed, beaten or killed. If you're bringing us back to those dark times 77 years ago, that's fine. It's a change, even though it's a sinister totalitarian regime. Only don't let yourself do it anymore, because we are in European Bulgaria and no one accidentally came here and from the parliamentary stand to issue sentences. Please, Mr. Chairman, make a comment to your colleague. Thank you.
ParlaMint-BG_2022-02-02.u316	Ms. Atanasova, Mr. Arabadzhiev's statement was that a large part of the MPs would eventually become clients of the prosecution. [[Noise and lines from GERB-SDS.]] He didn't say they were going to jail. [[(Reply from MP Desislava Atanasova:]] To speak, Mr. Bojankov.
ParlaMint-BG_2022-02-02.u317	Thank you, Mr. Chairman. Although the debate has quite run away from its focus, Mr. Manev talks about who the staff looks like, and I can tell who looks like Kung Fu panda, but I won't say it because it won't contribute in any way to the debate. [[Applause and laughter from "We continue the Change."]]
ParlaMint-BG_2022-02-02.u318	Mr. Bojankov, please.
ParlaMint-BG_2022-02-02.u319	The focus of the debate is one. What's the real problem? The problem is that this government has not managed for eight months, but managed for a little more than one month as working days. Expectations for the government are high and they are mainly linked to corruption... [[Loud noise.]]
ParlaMint-BG_2022-02-02.u320	Colleagues, please be quiet.
ParlaMint-BG_2022-02-02.u321	Because this majority came to the wave of expectations for quick results precisely in the fight against corruption on the high levels of power. The problem, however, is that GERB, without blushing, say: Give examples, give specific examples. We won't have enough time in Parliament today, tomorrow and the end of the week to name everyone. The big problem is that all these scandals come to two institutions - the Anti-Corruption Commission and the prosecution. It is therefore understandable that when we talk about these two institutions and their leaders, GERB are particularly sensitive because it is these two institutions that keep them still on the surface. It is the change in them that will bring out the truth and bring about justice. However, it is disturbing for the majority is one way in which GERB speaks, because they say it is to us, colleagues from the majority: "Well, make a new anti-corruption body, start fighting corruption." Where is your zero tolerance? "I mean, they are absolutely calm at the moment and do not believe that this is going to happen to us, this is our big task. I want to reassure the Bulgarian citizens that the work on reforming the anti-corruption body is in an advanced phase. This should not soothe, naturally, GERB people have said:...... about what you wish for............................................................................................. I would like to conclude with this, my fellow Members, that the sensitivity to this debate gives you a questionable concern. [[Applause from "We are continuing the Change" and "BSP" for Bulgaria.]]
ParlaMint-BG_2022-02-02.u322	Are there any lines to Mr. Bojankov? [[Replication by the National Representative Manoil Manev: "Personal explanation. "]] Yeah, yeah, he'll wait for the personal explanation. [[Noise and lines.]] A line? Toma Bikov for a line, will not do procedure, okay. The line "Miroslava Petrova." The third line is Ljubchen Dilov.
ParlaMint-BG_2022-02-02.u323	Dear Mr. Chairman, honourable Members! Dear Mr. Bojankov, if it comes time to worry about you, then our work is done, let me tell you! [[Laughter at GERB-SDS.]] If we start to worry about you, then we just have to pick up our bags and never step into politics again. [[Voices: "Eee!" by "BSP for Bulgaria" and "We are continuing the Change." Loud noise.]] I'll tell you. Do you know why we're here? Because we've received three times more votes than you. [[Applause from GERB-SDS]] , and with the kind assistance of the one whose declaration that should outrage you as a person against abuse, the one in whose declaration there are undeclared bank accounts and discrepancies on the 19 properties! To this civil servant who served the state for 30 years and received 19 properties! But you don't care! And that is why you are saying now, I noticed it in other speeches: zero tolerance to corruption. I remember very well that in the election of this government and before it was elected in the election campaign you said "zero corruption." Now it has become zero tolerance for corruption and will eventually become zero tolerance. [[Applause and laughter by GERB-SDS.]] And that's how we're gonna smile here, 'cause that's how it's gonna happen and it's gonna happen for the following reasons. First, you believe your own propaganda. You are currently struggling with windmills because you have built some fake propaganda structures and are trying to combat problems that do not exist while missing real problems! You are dealing with nonsense at the moment. You are dealing with the investigation of propaganda people you have produced, you have believed in yourself over time because you have been in opposition for a long time and for this reason you have had enough time to believe these people and now you are making whole reforms on this occasion! And you will see, and because of that you will not be successful reforms, because you have no depth to understand this problem at all! And you're not gonna do anything, unfortunately you're just gonna waste people's time. Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-02.u324	Thank you, Mr. Bikov. Miroslava Petrova.
ParlaMint-BG_2022-02-02.u325	Mr. Chairman, ladies and gentlemen, Members of the House! How good it was that I took the word in that order. You want revelations, you want names. The revelation of today is this: do you know what we are voting on today, what we are about to congratulate each other in a moment, whose resignation we are going to vote on? I picked up a line after Mr. Bojankov because the BSP gentlemen are in this room longer and they know better than we do whose resignation we're voting today. Today we are voting. We have lived through the resignation of the one whose name has not been mentioned here until recently. [[Reply from the National Representative Manoil Manev.]] The one whose name wasn't mentioned here, and you know very well why. Because he became a symbol of the conquered state. The conquered state is not some magic show. The conquered state has specific dimensions, and they are not only considered in what the public is already ashamed of,.................... the semi-open drawers that sparkle from within, or the bags with which someone goes off a highway somewhere. The conquered state has specific dimensions. I want us not to miss it after the examples Mr. Bozhankov gave. The conquered state also means its disfigured nature from 4500 decares of dunes in the state 3700 are now private! This happened at whose time, for what reason, except for deep corruption? What happens to the forests of Bulgaria? Again, for deep corruption reasons, they are mutilated. And most of all, let's remember some basic principles by talking about definitions, yet this tribune deserves a slightly more serious attitude. What does it require because, if we are talking about corruption, the main pillars of free civil society: have you kept it, have you preserved it during your reign? [[the President signals that time has run out]] Have you secured the Bistro Act? No! [[Comments from GERB-SDS.]] Free media. What's our location? No! [[Comments from GERB-SDS.]] Accordingly, the visible results that you dreamed so much about.. they saw each other. Thank you. Let's just say hello to that guy's resignation.
ParlaMint-BG_2022-02-02.u326	The weather, Mrs. Petrova.
ParlaMint-BG_2022-02-02.u327	...whose name you didn't mention. Thank you. [[Applause from "We are continuing the Change."]]
ParlaMint-BG_2022-02-02.u328	Colleagues, the line should be aimed at the main speech indeed. Since it is 14.28 pm, before we go further in the discussion, I am making a procedural proposal to extend the meeting until the end of this item on the agenda. Please, voting mode. Desislava Taneva? Dimitar Gochev?
ParlaMint-BG_2022-02-02.u329	Yeah.
ParlaMint-BG_2022-02-02.u330	Yordan Majunkov?
ParlaMint-BG_2022-02-02.u331	Yeah.
ParlaMint-BG_2022-02-02.u332	And Peter Chobanov? 172 MPs voted in the Chamber and 2 online The motion is accepted. Is there a third line to Yavor Bojankov? I apologize, Mr. Dilov. Here you are, you were for the third line.
ParlaMint-BG_2022-02-02.u333	Thank you, Mr. Chairman. Colleagues! Mr. Bojankov, we really have no reason to complain about Mrs. Petrova's statement from her line. It was to you, to the BSP the restitution of the dunes ended in the term of BSP. Mr. Bojankov, however, you are wrong about the fact that we on the right hand side are not worried about reform. On the contrary, we're very worried! Because your ruling coalition came with two main pathos, one is zero tolerance for corruption, the other is the fight against the bloated administration, which is why you have 21 ministries and the administration is currently swelling up like a yeast thrown into a yard toilet. Pretty soon this will come out, and it will come after you. [[Laughter at GERB-SDS.]] So if the fight against corruption is in the same way, we have every reason to worry, agree, presumably. And a suggestion we can discuss. In any case, we will vote on Mr. Tsatsarov's resignation and vote on it and not vote on it, he has submitted it to himself. Why don't we elect Mrs. Laurer as chairman right away? I think she can get her hands on that responsibility. Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-02.u334	No such transfers are necessary to third parties who are not in the Chamber. Mr. Bojankov for the doppelganger.
ParlaMint-BG_2022-02-02.u335	Thank you, Mr. Chairman. In fact, one thing I may have missed in my speech is that the issue of corruption is not a matter of subjective feeling. He received his assessment and sanction far beyond Bulgaria monitoring reports, embassies positions, sanctions of foreign countries. Corruption in Bulgaria is corruption in Europe. As a member state, obviously spending European funds in the same way GERB did, has become a Bulgarian national problem into a European problem, and at some point obviously already overseas identified this as a major problem in our country. We are aware of our responsibility.. I assure you that we are working on it. With regard to my colleague's line on the bloated administration. What we see on the ground, and our fellow MPs can say it now, is terrifying: we have been nominally managing for one month, however, the structures that GERB have operated without a view from directors to cleaning women are appointed by party line, friendly line. I'm not gonna talk about ladybugs and all that. [[Replication by National Representative Anna Alexandrova. We are continuing the Change and the BSP for Bulgaria.]] There are state structures in Bulgaria where there are fictitious people who have not gone to work at all, who have just taken salaries, shared some salaries. The examples are many, the reforms that are ahead of us are severe. I can assure you that we are dealing with them and I am serious about this. [[Applause from "We are continuing the Change" and "BSP" for Bulgaria.]]
ParlaMint-BG_2022-02-02.u336	Thank you. Mr. Manev, your name has not been heard.
ParlaMint-BG_2022-02-02.u337	Oh, yeah?
ParlaMint-BG_2022-02-02.u338	No.
ParlaMint-BG_2022-02-02.u339	Let's check it out!
ParlaMint-BG_2022-02-02.u340	Let's. [[Noise and lines.]] He didn't mention your name, Mr...
ParlaMint-BG_2022-02-02.u341	My name's been said. Check it out.
ParlaMint-BG_2022-02-02.u342	All right, we'll check it out right away.
ParlaMint-BG_2022-02-02.u343	The name is mentioned, but not in a negative context!
ParlaMint-BG_2022-02-02.u344	Is it mentioned? I can call Mr. Manev how you are.
ParlaMint-BG_2022-02-02.u345	I didn't call him in any way, that's not true. Take out the transcript, I didn't call it anything! [[Definitions between President Nikola Minchev and the National Representative Manoil Manev. Noise and lines.]]
ParlaMint-BG_2022-02-02.u346	Mr. Chairman, they want you to read out loud what Bojankov said, and if there's a connection...
ParlaMint-BG_2022-02-02.u347	If you do, I'll assume you're trying to make qualifications too.
ParlaMint-BG_2022-02-02.u348	Let's see. Let's get this straight. It doesn't have anything to do with you.
ParlaMint-BG_2022-02-02.u349	I have nothing to say to you. I have nothing to talk to you about.
ParlaMint-BG_2022-02-02.u350	Let me get this straight.
ParlaMint-BG_2022-02-02.u351	There will be no personal explanation. Procedure in the manner of conduct.
ParlaMint-BG_2022-02-02.u352	To save people's representation time, because the whole procedure I asked for a personal explanation was just to say one thing. One short thing. You guys are getting ridiculous. Here, Mr. Chairman, you allow all kinds of exercise to be done in this room, and you did not allow us to see today the problem of electricity between people and municipalities. [[Noise and lines.]] Regarding what I wanted to tell you, Mr. Chairman, the fact that you're trying to cover up cartoon characters. [[noise and lines]] , practicing from this tribune, does not honor you. But then I want you to check it out and it turns out I was right that Mr. Bojankov abused my name, even though I really like this character. I love this character. He's positive, unlike some little heroes I can think of.
ParlaMint-BG_2022-02-02.u353	I'm not covering for anyone. Mr. Manev, do not give you the prerequisites for further tensions here. Are there any other speeches? Blavest Belev is enrolled for speech, but there is a procedure before that by Alexander Ivanov.
ParlaMint-BG_2022-02-02.u354	Dear Mr. Chairman, honourable Members! My procedure to you, Mr President, I have waited for you to take the chair's seat because from this morning our parliamentary group has asked you to address the Chairman of the Energy Commission and to consider a serious issue and to come out of his committee Mr. Ribarski to come out with a report on the important topic which GERB-SDS has submitted to be examined today in Parliament, namely: compensation for the Bulgarian churches, municipalities, kindergartens and hospitals for the high prices of electricity. So far, Mr. Chairman, even in the extended working hours of the National Assembly, such a report, is it ready to ask you, Mr. Ribarski, as Chairman of the Energy Commission, whether they gathered during the few interruptions that the National Assembly has made today, and is there such a prepared report? Because this was the only reason you came up with to justify yourself today, despite the regulations, that a parliamentary group of GERB-SDS has the right to submit an item on the agenda, precisely such a legislative initiative, so that, colleagues, I turn to the ruling majority, so that, colleagues, we can look at issues concerning the agenda of the Bulgarian society. Surely this resignation will be her turn, but today you have neglected once again with tricks from the way in which you interpret the Rules, not to consider once again the huge cost of electricity, which has plagued the normal functioning of all social institutions, kindergartens, hospitals and other municipal enterprises and spheres of influence. So please, Mr. Chairman, once again to Mr. Ribarski, come out and tell the Commission if he is ready. Thank you.
ParlaMint-BG_2022-02-02.u355	Thank you, Mr. Ivanov. There is not yet a report tabled, but given that we are in plenary, perhaps this is not so surprising, and the work of the MPs is currently in plenary. [[National Representative Georgi Svilenski wants the floor for procedure.]] Yes, Mr. Svilensky. [[Reply.]] I know. I'm aware of the facts.
ParlaMint-BG_2022-02-02.u356	Colleagues, I'm taking procedure in the manner of conduct. Dear Mr. Chairman, calm the colleagues from GERB and Mr. Ivanov. All these structures that you have outlined will be helped, only before that they will have to answer why they buy 6,000 lamps. BGN, by costing 1000 leva. When Sofia Municipality responded why it buys a lamp for 6000 BGN, which costs 1000 BGN and wants to stop the electricity in the district of Izgrev. When in Burgas they answer how much money they have on account and want to stop, then they will receive the corresponding aid! [[Applause from BSP for Bulgaria.]] You can't ask for benefits, you can't ask for bills in the accounts, so wait for everything to work out. The government is in session on this matter. He will take measures, help both churches and schools and kindergartens. Don't panic, which you've been doing since morning in the form of lines, personal explanations. Take it easy! Just calm and patience! Everything will fall into place when the corruption that we have been talking about for two hours has been revealed. [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2022-02-02.u357	Thank you, Mr. Svilensky. [[The National Representative Alexander Ivanov wants the floor.]] Procedure?
ParlaMint-BG_2022-02-02.u358	It's a personal explanation.
ParlaMint-BG_2022-02-02.u359	For a personal explanation?
ParlaMint-BG_2022-02-02.u360	Mr. Chairman, Mr. Svilensky took the procedure in the manner of conduct, but I was specifically mentioned in it. Mr. Svilenski, 90 municipalities are in the dark in Bulgaria. Children's gardens throughout Bulgaria, street lighting throughout Bulgaria. Go out and mention these 90 municipalities that you have a vision of how to conduct, what to conduct. When will you help them? When? Summer? Summer is already long and until 10:00 is bright, but now it's still winter time and it's getting dark at 17.00. If you don't mind what kind of domestic crime and how much, not to say, there have been crimes lately, you obviously don't care. We're talking serious criminal crimes here. Open a newspaper, a daily newspaper, to see how many murders are happening in Bulgaria, Mr. Svilenski. [[Noise and lines.]] Then talk to me with your mantras...
ParlaMint-BG_2022-02-02.u361	Mr. Ivanov, time's up.
ParlaMint-BG_2022-02-02.u362	...not with today's measures... My procedure, Mr. Chairman, was with you. Mr. Svilenski went out to make political statements that correspond to his vision of change. There's nothing wrong with that, but it should be timely measures, colleagues. I'm begging you, I'm asking you to take these measures to look at them today. Thank you.
ParlaMint-BG_2022-02-02.u363	Thank you. Statements on the subject? Goodness Belev.
ParlaMint-BG_2022-02-02.u364	Thank you, Mr. Chairman. I've heard brilliant speakers I admire. Unfortunately, like Mr. Tsatsarov, they are on the dark side of the Law. Mr. Ivanov, you opened Pandora's box. You heard what you wanted. You have heard from Mr. Kambarev about cases of corruption that stand and age in the Commission. You have also heard of cases which have not been self-inflicted by the Commission, unfortunately. I'll give you one more example. You've been to Varna, unfortunately, I think it's just the beach. If you want to come, I'll show you a great picture of 350 million. lv. realized something that was supposed to be a public procurement. Unfortunately, it's not a public procurement. There's some money going somewhere. It is about the dredging of the sea canal, as well as the lake of Varna. It is clear to all specialists that this activity, which aims to deepen the navigation part of the channel to 14 meters, serves a single place.............................................................................................. Everything else is pointless. The rest of the pier walls are unable to absorb such depth. 350 million. lv.! And I think that should be included in a definition for which Mr. Bikov appealed. Yes, it is really very difficult to define corruption. If it were that easy, it would have been done the last four years. Thank you. [[Applause from "We are continuing the Change."]]
ParlaMint-BG_2022-02-02.u365	Thank you, Mr. Belev. Are there lines in the first place? Ivan Chenchev, come in.
