ParlaMint-BG_2022-02-17.u1	Honourable Members of the National Assembly, please register. Colleagues online:
ParlaMint-BG_2022-02-17.u229	Thank you, Mr. Valchev. Here you go, Mr. Sandov.
ParlaMint-BG_2022-02-17.u230	Mr. Chairman, ladies and gentlemen of the House! Dear Mr. Valchev, I answered you yesterday, in the same way asked the question, and last time of parliamentary control here I answered you: I am not an accomplice in any penal activity because this is not a criminal action. If it was a punitive action, you know what I'd do? I was going to say that there is already an institute at the Bulgarian Academy of Sciences that is for climate research, atmosphere and water research, and I was going to say, let's just keep it here as a hydrometeorological service, not as a scientific organization. In fact, in the text that you will vote on, it says that it is a scientific organization and hydrometeorological service. Dear Mr. Valchev, I am, besides Minister of Environment and Water, Deputy Prime Minister of Climate Policy. Do you think I will deprive myself of the possibility of climate research in this country? Meteorology, hydrology, these are also directly related to climate and climate policies. Of course I won't. On the contrary, much more appropriate than the Minister of Education and Science, who is with... I mean he is an academic even, much higher scientific degree, but he is not in the area in which I have studied. Not only do I want to tell you that the scientific activity in the field of air conditioning should be strengthened and I even use this tribune to appeal to Sofia University, where it is only located outside BAS the possibility of doctorate and a master's degree for climate. I don't think the way you put it is appropriate. Unfortunately, I see a pretty good synchronization between what GERB says and what NIMH says. But the whole thing we are looking at today sounds like a politically motivated action, because the National Institute of Meteorology and Hydrology does not change its activities, does not change its structure, does not change its remuneration, it remains on a delegated budget. This is where you let the MPs down. The bill says it stays on a delegated budget. [[Comments from GERB-SDS: "No! "]] Well, how could I not?! Look at your lyrics. Please say it remains on a delegated budget. Why is all this political talk, in an attempt to set scientists and workers at the NIMH for something that is much more appropriate? You as a former Minister of Education and Science know how many units, secondary officers of funds, and employees who are under the hat of the Ministry of Education and Science, there are. Very. [[Reply.]] At the Ministry of Environment and Water... In memory, but I know it was about hundreds of thousands, so let's put it this way, because it's not my matter. With me at the Ministry of Environment and Water, we're talking about 1,800 people, and now the NIMH with another 721. Much easier to pay attention to what the NIMH is doing. The whole attempt to be almost an accessory to some kind of penal action. Is it not the idea of the state and the government to set its priorities, as it does with the structure of the Council of Ministers, and to arrange the responsibilities of the individual members of the Council of Ministers? I think that's what this bill, this initiative, is all about. And I'm asking you, really, really well-intentioned, do not take part in this political action to discredit this otherwise quite appropriate process. Thank you. [[Applause from "We are continuing the Change."]]
ParlaMint-BG_2022-02-17.u231	Thank you. Are there any lines to Krasimir Valchev? Andrei Chorbanov, come in.
ParlaMint-BG_2022-02-17.u232	Thank you, Mr. Chairman. Mr. Valchev, however, thanks for putting me down a little bit, which is not so scary. I've been a professor for almost two years. The problem is the idea of opposing at all the ratio and way of doing science in and out of the Academy of Sciences somehow does not sound good. The Institute of Meteorology came out of the Academy and they made a decision, which was quite controversially purely legal, because BAS is one, let's say, the oldest organization in Bulgaria, which has a little specific statute, a specific way of organization. They came out with some sort of uprising and were fully supported by the then government, in which there was nothing so dramatic and fatal. After all, if an institution wants to develop scientific activity and retains the right to do such scientific work, there is nothing scary about it. The question is: why should it be regulated by the Ministry of Education and Science, which much less concerns as an expertise on what this scientific institution does and not the portfolio ministry, which will mostly benefit from this entire resource? I would say that the vast majority of this, let it be scientific activity, if you will, of the National Institute of Meteorology and Hydrology, will benefit from the portfolio ministry. The Minister of Education and Science has no expertise in all that this institution is doing, and there is no reason for it to remain in this form. This has nothing to do with the Bulgarian Academy of Sciences and the way it deals with scientific activity, let's say the duplicate institute of the Academy. It has no national functions and has no functions to serve all these units in the country. Thank you.
ParlaMint-BG_2022-02-17.u233	Thank you, Professor. Are there any other lines to Krasimir Valchev? I won't. Here you go, Mr. Valchev, for the back.
ParlaMint-BG_2022-02-17.u234	Thank you. Dear Mr. Deputy Prime Minister, you said please choose me well, I also ask you kindly to understand. There is no political attack, these people went through a lot of emotions. You, if you listen to my words, will understand the reasons for these emotions and their reaction. Don't look at everything for some kind of political provocation. Yes, we then supported I as a minister supported the desire of the National Institute of Meteorology and Hydrology to go beyond the structure of the Bulgarian Academy of Sciences because I think they have the right to want to develop independently. By the way, in their 132-year history 72 years were outside the structure of BAS, of which 72 years 65 years were to the Ministry of Education in its different names. They were created by Stefan Stambolov's government at the Ministry of People's Enlightenment. Currently, the National Institute of Meteorology and Hydrology serves seven ministries and several other departments, meaning it needs to be equally distant from all these ministries. Yeah, right, it also serves the Ministry of Environment, but it also serves the Ministry of Energy. Why shouldn't it be the Ministry of Energy? To the Minister of Education and Science there are 430 minor ushers will become 429, it will be infinitely relieved by the fact that they will become 429 secondary ushers. Unfortunately, I know what the real reasons are, and unfortunately, I'm listening to these voices. Unfortunately, the management of the Ministry of Education listens first and foremost to these voices, at the root of which are destructive desires. I'm telling you the best I can, like you said. I apologize to Professor Chorbanov for demoting him. A previous National Assembly has taken a decision, I think informally, academic titles to remain for academic organizations, and here to be Mr. and Mrs., so we can also approach it this way. Thank you.
ParlaMint-BG_2022-02-17.u235	Thank you, Mr. Valchev. Hristo Gadget for speech. [[Noise and lines.]] Okay, at your discretion.
ParlaMint-BG_2022-02-17.u236	Mr. Chairman, Mr. Minister, honourable colleagues! I will also take account of § 2 in the bill under consideration. I mean, we're in some very strange hypothesis here. Once the government tries to transfer the National Institute of Meteorology and Hydrology from the Ministry of Education and Science to the Ministry of Environment with the State Budget Act for this year, which the National Assembly adopted in the first vote, where the financial autonomy of this Institute is even taken away. And a second time, to be safe, this transfer is done in the Water Act, and a second vote. Yesterday, the Committee on Environment and Water, which took place at an extraordinary meeting in three parts of the day, the government also did everything possible in the Water Act, which we are considering at a second vote, to propose and accept the passage of the National Institute of Meteorology and Hydrology to the Ministry of Environment and Waters after the expiry of the legal deadline for proposals between the first and second votes, as well as colleagues noted before me and in violation of the Rules. The Commission was also attended by representatives of the National Institute of Meteorology and Hydrology and expressed their negative opinion and disagreement about their move to the MoEW. From the beginning of January this year there is a position of the National Institute of Meteorology and Hydrology to the Prime Minister, to the Ministers Vassilev and Denkov, as well as to you, Minister Sandov, with signed arguments against their relocation to the Ministry of Environment and Water from all leading bodies in the NIMH, as well as 97% of the employees in all structures of the Institute throughout the country. Why is a national organization with a long history being removed from the Ministry of Education and Science and transferred to the Ministry of Environment and Water? As previously noted, the NIMH is working with seven other ministries and its scientific activities are related not only to the Ministry of Environment and Water, but also to the others. His scientific activity is related even to the Ministry of Interior under the Law on Disasters and Accidents, the Ministry of Energy, the Ministry of Regional Development and Public Works. Why should the Ministry of Environment and Water replace the National Institute of Meteorology and Hydrology? We must also answer separately questions about the financing of the Institute and this is also the question of the Rules of Procedure for its scientific autonomy. With colleagues from GERB-SDS parliamentary group, we will not support this shift because we believe it belongs to the Ministry of Education and Science. Thank you.
ParlaMint-BG_2022-02-17.u237	Thank you, Mrs. Alexieva. Here you are, Mr. Secretary.
ParlaMint-BG_2022-02-17.u238	Mr. Chairman, ladies and gentlemen of the House! I heard now that some strange attempts are being made through the Water Act......he is there, GERB there have put him in the Institute. Why didn't they put it in the Research Promotion Act, for example, is it a scientific organization, but it has to be outside the Bulgarian Academy of Sciences? So your group, your political party, did it, and now you're coming and saying that very strangely why with the Water Act, well, he's there, where to go? [[(Comments from GERB-SDS:]] I apologize very much, Mr. Valchev. You speak well a long time ago where he was... Well, it didn't have the Ministry of Environment and Water at that time, when it was there, the Institute at the Ministry of Education and Education and so on. There just wasn't such a ministry. If there was a Ministry of Environment and Water, it would have been to this institution. Why did they decide to leave the BAS? That's what they know. I can't tell if it's right or wrong, because it was their opinion at the time. You supported him, now there's just the logical move to the institution to which... And because here again, you said that one of the seven ministries that serves yes, but what does it serve most? Which one do you think it is? The Institute of Meteorology and Hydrology serves the most the Ministry of Environment and Water and this is normal. I hope it's not really about money. The arguments that are related to the strong desire of the director, strongly supported by you, you may have better communication from GERB with him, but I very much hope that it is not really about money. Because it might be easier for you to serve some ministries, and at the same time to account for this service in several places. I don't know, it'll come out. But the reasons for moving are logical, they're structural, they're prioritizing, and it's not about anything you're talking about, I'm sorry.
ParlaMint-BG_2022-02-17.u239	Any lines to Mrs. Alexieva? Here's a line. Mr. Valchev, wait and I'll give you the second one. Mr. Nankov, you? You for a statement, okay.
ParlaMint-BG_2022-02-17.u240	Mr. Chairman, Mrs. Alexieva! And you have nothing to wonder about, in the sense that the National Institute of Meteorology and Hydrology can be evident to various ministries. Today the government has decided to move quickly from one ministry to another. At first reading of the subject in the Water Act, it did not fall within this scope at all. We left a three-day deadline for proposals and suddenly very quickly yesterday, the Commission decided to fall within the scope of the second reading of the Law moving this institute. You have the right to, you decide, but the way this happens, it raises questions and challenges certain associations. There's one thing I can think of. Just now Minister Sandov said the following: that it is a very strange correlation in thinking, not to use the other word, and among the members of the National Institute of Meteorology and Hydrology are with the thinking of the GERB group. This means, colleagues, that there is some political element here and the idea is to change some leadership, the idea is to have a political punishment, the idea is to have political pressure, political changes. That's what the quadruple coalition decided. That's what they'll do. It's her right, but it's not the right approach to this case. Because it cannot, when you only have a three-day term, and within the first range of the Law, the way in which we have considered only changing river basin management plans and flood risks, we are currently looking at a subject of activity at second reading, which has nothing to do with what we have considered as first reading, but that is how it is managed. This is an example of how to manage and how to punish a political institute and how to change guides. You say you won't do it, but the time has come to show whether or not you will. I think you'll make changes, punish people, and all of this will be seen over time. Thank you. That's the reason. [[Applause from DPS.]]
ParlaMint-BG_2022-02-17.u241	Thank you, Mr. Ebatine, for the line. Second line, Mr. Valchev, come in.
ParlaMint-BG_2022-02-17.u242	Unfortunately, what we have heard, we do have reason to fear that there is also a political punishment. Unfortunately, and the leadership of the National Institute of Meteorology and Hydrology allowed itself to say that they have never been as good as the last three years. I hope this has not irritated the government, as it is forbidden to say that something good has happened in recent years. I never said there was no institutional logic to be with the Ministry of Environment and Water. I wanted to tell you what the background is and why this thing is being done because we're convinced that's the reason. Mr. Deputy Prime Minister, I never accused you of leading this penal action. You can convince us that as a possible future principal you will be well-intentioned and concerned, supporting the Institute if you do a few things. One is the Institute's autonomy, something you are now trying to limit for the second time, I repeat. The second, if you state that you will propose a Law on the National Institute of Meteorology and Hydrology, because its regulation in the Water Act is not sufficient, it concerns only a small part of its functions. And the third, if you say that his wages will be raised as much as the other scientists at the Bulgarian Academy of Sciences. Then I myself will be convinced that this is not a penal action, because the National Institute of Meteorology and Hydrology will not be harmed by this transformation. Of course, fourth, if you don't afford purely political penal action because someone has inadvertently spoken in sync with us. Thank you.
ParlaMint-BG_2022-02-17.u243	Thank you, Mr. Valchev. Is there a third line to Eugenia Alexieva? I won't. Here you go, Mrs. Alexieva.
ParlaMint-BG_2022-02-17.u244	Thank you, Mr. Chairman. Mr. Chairman, Mr. Minister, honourable colleagues! Since the intention is so noble and this institute is mainly related to the activities of the Ministry of Environment and Water, why not make this proposal in accordance with the Rules of Procedure? Why is this proposal made after the expiry of all deadlines without analysis, as colleagues say? Why was it done after our colleagues from GERB-SDS supported all the proposals in the Water Act in the first vote, and in those three days this proposal did not come, but was made at the Commission's meeting without prior knowledge of the members of the Commission? Why, since it belongs in the Water Act, is it previously done in the State Budget Act? Why is the financial autonomy of this institute cut off in the proposal in the State Budget Act, which you have all accepted in the first vote? If your intention is really good and not being punished at the moment the Institute of Hydrology and Meteorology for leaving the Bulgarian Academy of Sciences, then you must support our proposal in § 7, which we will do so that it can retain its financial autonomy. Thank you.
ParlaMint-BG_2022-02-17.u245	Thank you, Mrs. Alexieva. In accordance with procedure Georgi Ganev.
ParlaMint-BG_2022-02-17.u246	Thank you, Mr. Chairman. My procedure is the way it is. I beg you to inform me, I beg you, what are we discussing at the moment...................................................................................................................................................... Because in these three paragraphs, the words "meteorology and hydrology" are not mentioned. That is, anyone who speaks these two words does not speak on what we are discussing at the moment, and you should immediately take it away from him. I ask you very much to inform me what we are discussing at the moment................................................................................................... Because I've been listening to something else for 40 minutes and I don't know where I am. Thank you.
ParlaMint-BG_2022-02-17.u247	Thank you, Mr. Ganev. Honest Mitev.
ParlaMint-BG_2022-02-17.u248	Dear Mr. Chairman, honourable Members! As well as supporting Mr. Ganev, we see that the debate has gone in a completely different direction. I would like to propose an end to the debate. [[Applause from "We are continuing the Change."]]
ParlaMint-BG_2022-02-17.u249	Thomas Bikov, yes, come in.
ParlaMint-BG_2022-02-17.u250	Dear Mr. Chairman, honourable Members! I am making a reverse proposal and in relation to a clarification or question of Mr. Ganev.. The texts are intended to move this institute from one ministry to another. By the way, let me inform you, because you're obviously no longer interested in these things, there are protests. It's the first day there's no prognosis at all at this institute. Did you know there's a problem, or are you no longer interested in the protests? Because I know you're protesters. So far, we have three speeches. Now you're suggesting that we end this debate because it's very embarrassing for you. Look, you're gonna be laughing under the carpet here and this problem, like you're sweeping under the carpet all the rest of us, except the street's gonna be this problem, and it's not on the street, it's in an extremely authoritative institute. Scientists are protesting against you directly because you want to punish them. And you want to punish them, and you see it, but is it something with GERB? No, he's not with GERB. It's just that people understand that you want to punish them and it's normal to put up resistance. Whether we will support them with all our strength will support them! With all our strength, we will support them by all means. Not only them, absolutely everyone who protests against your incompetence will be supported by us with all our strength. [[(Replies from]] I suggest we continue the debate. If you'd like to speak up. You don't have a statement so far. What do BSPs think, continue Changing? We've heard what they think, Mr. Chorbanov. What do the others think? You don't need to speak clearly. Since you won't talk, they'll talk to you from somewhere else. Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-17.u251	We have a motion to vote, then I'll give you the floor for the procedures. We have a proposal that we need to vote on. We've also heard the opposite opinion. We are voting on the proposal of Iskren Mitev. Alexandra Milcheva?
ParlaMint-BG_2022-02-17.u252	Yeah.
ParlaMint-BG_2022-02-17.u253	Rosen Turtle?
ParlaMint-BG_2022-02-17.u254	Yeah.
ParlaMint-BG_2022-02-17.u255	Stefan Shilev?
ParlaMint-BG_2022-02-17.u256	That's against it.
ParlaMint-BG_2022-02-17.u257	Thank you. Vote in the House 168 MPs and online 3.. a total of 171: 118 and 2 online. 120 total, against 50 and 1 online.. 51 total, abstentions are not available. We're overreacting. Please, voting mode. Alexandra Milcheva?
ParlaMint-BG_2022-02-17.u258	Yeah.
ParlaMint-BG_2022-02-17.u259	Rosen Turtle?
ParlaMint-BG_2022-02-17.u260	Yeah.
ParlaMint-BG_2022-02-17.u261	Stefan Shilev?
ParlaMint-BG_2022-02-17.u262	That's against it.
ParlaMint-BG_2022-02-17.u263	Thank you. They voted in this House 133 MPs and 3 online.. 136 total: 118 and 2 online.. 120 total, 15 and 1 online.............................................................................................................................................................................................................................................. The motion is accepted. For the procedure are Georgi Ganev, Hristo Gazhev. Mr. Ganev also for a procedure?
ParlaMint-BG_2022-02-17.u264	Yeah.
ParlaMint-BG_2022-02-17.u265	I meant Tsoncho Ganev. First it's you, first it's Georgi Ganev.
ParlaMint-BG_2022-02-17.u266	Thank you, Mr. Chairman. I take the floor for a procedure exactly the way my colleague Bikov took it to explain and calm down. We are not currently discussing the proposal to move the National Institute of Meteorology. [[Comments from GERB-SDS.]] No, we're not discussing this right now. We are discussing § 1, § 2 and § 3. The transfer proposal is in § 7. [[Applause from DB.]] In § 7 is.. you look at the Commission report, in § 7 it is. Correct me if I am wrong. [[Loud noise.]]
ParlaMint-BG_2022-02-17.u267	Can we have quiet in the hall?
ParlaMint-BG_2022-02-17.u268	Then I'm obviously looking at some wrong report.
ParlaMint-BG_2022-02-17.u269	Colleagues, can we have quiet in the hall for a second?
ParlaMint-BG_2022-02-17.u270	I think we have in Paragraph 7 at least in the Report which is uploaded on the site is § 7. [[Loud noise.]]
ParlaMint-BG_2022-02-17.u271	Mr. Ganev, just wait a minute.
ParlaMint-BG_2022-02-17.u272	Thank you, so I'm confused. I apologize for that.
ParlaMint-BG_2022-02-17.u273	Just a second. Now, § 1 and § 3, which are by importer, are for the plans that are clear. The newly created § 2, which replaces the words "the Minister of Education and Science" with the Minister of Environment and Waters ", concerns the following text: art. 151, para. 3 states the Minister of Environment and Water through the Executive Director of the Environment Executive Agency, etc. 5 is: "Is issuing a periodic bulletin on the state of the water resources of the Republic of Bulgaria, based on the data from the monitoring of the ecological and chemical state of water and the water quantity data provided by the National Institute of Meteorology and Hydrology to.................................................................................................................................................................................................................................... This is by the newly born § 2. Did I clean up at least some of the procedures that would have been taken? Here you go, Mr. Gadget.
ParlaMint-BG_2022-02-17.u274	Mr. Chairman, you've cleared some of the procedure, but do you see what the Committee on Ecology's incompetent work leads to? Even colleagues can't tell which report they're reading.
ParlaMint-BG_2022-02-17.u275	Don't do this, Mr. Gadget, please.
ParlaMint-BG_2022-02-17.u276	Because it was done yesterday for today, and on its feet during the sitting itself, and so it came to such confounding moments from the stands. Thank you for reading the text. By the way, I had opened it to show that this is where the changes to the National Institute of Meteorology and Hydrology begin. But the other question to you is, in fact, because there are registered MPs, as has been the practice so far, I hope that you will give the floor for these speeches, which have been previously claimed, so that we can at least follow this procedure.
ParlaMint-BG_2022-02-17.u277	Yeah, I've got a name written down for you. [[Reply from the MP Hristo Gazhev.]] Really, here it is. When you raised your hand in the beginning, the three of you, Hristo Gazhev, Eugenia Alexieeva and Mladen Shishkov, and I asked you all three? You pointed two out to me. Really, I only recorded Hristo Gajev. Here you are, Mr. Gadget, for a statement. [[Noise and lines from GERB-SDS.]]
ParlaMint-BG_2022-02-17.u278	Dear Mr. Chairman, you're quite selective in recording.
ParlaMint-BG_2022-02-17.u279	Sorry, one second. Colleagues, if you file written applications, there will be no such cases. Maybe by e-mail, of course. After the hearing, I'll take a look at them. [[Laughter]] Here you go, Mr. Gadget.
ParlaMint-BG_2022-02-17.u280	Thank you, Mr. Chairman. I take, in essence, the proposals from the Commission, the creation of a new § 2. What we are offered here and subsequently the other members on which I will also speak should say so from now on, so as not to make a mistake in determining those who are going to speak. What is it really about? It is said that the members who have proposed, by the way, in the budget in the State Budget Act for 2022 are currently teleporting into the Water Act. That's what it's really about. Why? Because a political decision was made, which was the right thing to do. Why it has come to this is another problem that we may need to discuss during the debates on the State Budget Act, all the paragraphs that are not related to the State Budget Act, to drop from it and from watching it at second reading. I leave aside the speculation that the Council of Ministers can almost withdraw them, because, as you know very well the Rules, only changes already adopted at first reading in a bill can withdraw only by voting in a hall, they cannot withdraw from an importer. They can be rejected or accepted. And we instead look at these texts in the State Budget Act as it is right "because there, by the way, if we are looking for the reasons, because the Rules say that all these proposals, although in my opinion unacceptable to look at, must be motivated. Where are the reasons for these proposals? They're gone. Even the esteemed Mr. Ivo Atanasov was listed as an importer. And I was present at the meeting when he said he wasn't an importer and it was wrong to be recorded, that is, even importers are not clear who they are. It's getting pretty funny now. But there's no motive. Why? Where's the motive? The reasons are in the State Budget Act here are only the texts, the reasons are in another bill. This is an insane legislative practice that is happening right now. Even funding these changes, where is it? In the State Budget Act. And we instead of following a proper legislative practice to watch next week the proposals at second reading and then the hall to assess whether the Institute should be transferred from the Ministry of Education to the Ministry of Environment and Water, as the whole State Budget Act goes, we are looking here at a bill which has been submitted in a piece in another bill. They're being transported, they're just copied. If you see them, they're the same. They've just been transferred. Why? Well, in order for political promises to happen, there will be some hygiene of a legislative initiative by the Council of Ministers. Now the same hygiene is being violated by MPs so that the goal can still be achieved. It's outrageous what's happening. Okay, you've decided on the Ministry of Environment and Water. By this logic, as the proposals between first and second reading, without justification and so on a leg, are accepted, I can make a proposal in all the texts of the............................................. the internal affairs............................................................................................................................................................................................... It then means that you should allow it to vote, which, in my opinion, would not be right, but according to your logic, should be admissible. This is extremely wrong. Here I will take one last point to tell you that with my misinterpretation that it is possible to table proposals on foot during a Commission meeting, from now on you are opening the flood doors. Because, I am setting an example, the Budget Committee will shortly come up with proposals for the State Budget Act, the NHIF and the DEO, and this means that every single MP will be able to make hundreds more proposals during the meeting itself. That's what it means! So don't be mad at Mr. Karimanski after a while, when everyone starts making proposals during the Commission meeting itself, and he has to look at them and should allow them, and they should respectively enter the Report for a second read for next week. That's what you're doing right now, gentlemen and ladies.
ParlaMint-BG_2022-02-17.u281	Thank you, Mr. Gadget. Is there a line on Mr. Gajev? Mr. Shishkov, can you pick up Mr. Gazhev's line? No. Okay. Here you go.
ParlaMint-BG_2022-02-17.u282	Thank you, Mr. Chairman. There can't be a line when there's no statement. Five minutes we've been listening to thoughts on whether he's right or wrong, and you've been doing that for 20 minutes. Mr. President, my procedure is with you and I ask you to read on which basis, on which Rule of Procedure, after the Parliament has adopted a decision to end the debate, you give the floor. Perhaps I, as a longtime MP, have forgotten a member. Read the Rule of Rules on which you give reasons, after a decision of the National Assembly, to have some things happen in plenary. Thank you.
ParlaMint-BG_2022-02-17.u283	Thank you. Let's run out of lines and I'll respond to Mr. Svilensky. Tsoncho Ganev and Thomas Bikov afterwards.
ParlaMint-BG_2022-02-17.u284	Mr. Chairman, a week ago you allowed us to vote and three times to pass a law, which is in sharp violation of even the Constitution. Yesterday, at the request of "Democratic Bulgaria" or as exactly their coalition is named, you accepted and allowed to terminate the proposals that we wanted to enter between the first and second reading of the law. The examples I can give are not only these two, but there are many others. In this regard, I think that this whole thing, which you are continuing as a policy of what you came to govern as a counterpoint of GERB, is not happening. On the contrary, you observe absolutely everything that they did for 12 years and trampled on all the rules and did not tolerate anything from the opposition. We're looking at exactly the same thing right now. I very much ask that this practice, which you have in your coalition, be terminated with the requirement to end the discussions. If you don't, and if you decide to do it anyway, let's make it more comfortable for Iskren Mitev. Here, let's give him a voting chair and every speech to come out and end the discussions. We are a parliament, and as long as there is someone who needs us to say what his opinion is and express the opinion of the people who have given him their trust, we have the right to talk and you are stopping us. Specifically about what was just announced and the discussion was stopped.... we did not speak. We waited for everything to pass and waited for us to speak. What should we say now? You've stopped, we have no right. We have no right! You've restricted us from saying what we think and what we want to say. This is GERB's old practice. You're not changing anything. Everything's the same. [[(Calling from?) We continue the Change.)]]
ParlaMint-BG_2022-02-17.u285	Just a second. Where did that come from? We'll check it out later. Toma Bikov is for procedure.
ParlaMint-BG_2022-02-17.u286	Dear Mr. Chairman, honourable Members! I would rather take the form of a procedure in the manner of conduct I will try to help you because you are the first term in Parliament. What Mr. Svilensky says doesn't just surprise me, it stunned me, because he and I were in the Forty-fourth National Assembly. Then we were ruling, and he was opposition, and here all the people I can't believe the things he's saying. Back then, it was a practice of what was happening. The discussion is stopped and everyone who is recorded in advance is speaking and I remember it very well. Now, whether to believe my eyes and ears or Mr. Svilensky's, this question has a clear answer for me. I believe what I've seen and what I've heard. The way in which this is being done at the moment and such statements are being made in the Forty-fourth National Assembly, and this is to Mr. Ganev. In this way, we have never brutally broken any rules. We have not voted three times, except for the first item of the budget for which the Constitutional Court has given its opinion. We've never chosen a man who doesn't meet the requirements without him meeting those requirements. And what Mr. Svilensky is doing says he's forgotten himself. That's the only word I'm gonna say.
ParlaMint-BG_2022-02-17.u287	Stop qualifying for each other.
ParlaMint-BG_2022-02-17.u288	A man who's forgotten himself is easy to remember. Trust me.
ParlaMint-BG_2022-02-17.u289	Thank you. Just a second. This call from the back of the room was from Marin Shishev. I must make a note. [[Applause from ARGUING.]] Let's move on to the vote. [[Reply: "Procedure. "]] Here you are, Mr. Shishkov, for procedure.
ParlaMint-BG_2022-02-17.u290	Dear Mr. President, given what my colleague Gajev said to read the Rules once again and to find out whether the way the texts have been tabled is lawful and given the difficult discussion we have had so far, especially with our colleagues in the ruling majority and their strong arguments for the adoption of this law, I would like you to give half an hour's rest. Thank you. [[Noise and lines in the hall.]]
ParlaMint-BG_2022-02-17.u291	Fifteen minutes rest at the request of GERB-SDS, three minutes before the end of the meeting. [[After the break.]]
ParlaMint-BG_2022-02-17.u292	Dear colleagues, please take your seats. Yeah. Mrs. Atanasova, come in.
ParlaMint-BG_2022-02-17.u293	Thank you, Mr. Chairman. My procedure is the way it is, and it's for you. Keep in mind, Mr President, that the plenary session is broadcast online by not one media. In addition, microphones are particularly sensitive, Mr. Chairman. Something was very unpleasant before you gave a break, as you said. I therefore ask that, Mr. President, the Vice-President sitting next to you, of your choice, impose a remark. You know why. Thank you.
ParlaMint-BG_2022-02-17.u294	I don't know. I'll check it out myself, and if there's any real reason, I'll have to. May I? We are going to vote on § 1, 2 and 3 in accordance with the report of the Committee on Environment and Water. Please, voting mode. Colleagues online: Alexandra Milcheva?
ParlaMint-BG_2022-02-17.u295	Yeah.
ParlaMint-BG_2022-02-17.u296	Rosen Turtle? And Stefan Shilev? They voted 135 MPs in the House plus 1 online, total of 136: for 122 in the Chamber plus 1 online " 123" against 10 in the House abstentioned 3. The motion is accepted. To explain the negative vote. Here you go.
ParlaMint-BG_2022-02-17.u297	Mr. Chairman, thank you. I voted against it not because, as my colleague expressed himself, it makes no sense to move the National Institute of Hydrology and Meteorology to the Ministry of Environment and Water. However, honourable Members, as we said yesterday, as we did today, when we were looking at item one of the agenda, dealing with politics and being a parliamentarians is a very responsible thing. An extremely responsible thing, especially when you are taking the important position of President and not only being a Member of the National Assembly, of course. This requires that you suppress your emotions, and when for years you have condemned the government from previous governments that they are not making proper steps in legislation, that in final regulations they are changing other laws, today we see exactly the same steps of this ruling majority. That is why we are talking about the insaneness of this policy going on, and I am astonished at my colleagues on the left of me how they criticize previous rulers who have done exactly the same things in the old days, namely management is now repeating them. That's why we say short memory at the station. Mr President, that is why I voted against, because normality in politics requires a clear and correct attitude towards the laws. This morning, on the right side of the Chamber, we heard that when a law must be examined, it must be public discussion, the institutions should give their attitude to the law itself. We didn't hear that thing today under this Water Act. This is the double archin, this is the replacement we're talking about, fellow Members. You're not suggesting anything new. That's not the new one. This is the replacement we're talking about, and we're going to keep talking about until you really get to rule honorably and in the interests of society and the state. This is my negative vote, and that is why I voted against it.
ParlaMint-BG_2022-02-17.u298	Thank you, Mr. Ibryamov. Last place. Dear Members of Parliament, I propose that a decision be adopted on the basis of art. 42, para. 3 of the Rules of Procedure of the National Assembly as follows: The National Assembly shall hold an extraordinary plenary session on 22 February 2022, Tuesday, at 11.00 on the following agenda: 1. Second vote on the Draft Law amending and supplementing the Corporate Income Tax Act. Importers Lyubomir Karimanski and a group of MPs, adopted at the first vote on 9 February 2022. 2. Second vote on the Draft Budget Bill of the National Health Insurance Fund for 2022. Importer is the Council of Ministers, adopted in the first vote on 9 February 2022. 3. Second vote on the Draft Budget Bill of the State Social Security for 2022. Importer is the Council of Ministers, adopted in the first vote on 9 February 2022. Please, voting mode. Colleagues online: Alexandra Milcheva?
ParlaMint-BG_2022-02-17.u299	Yeah.
