ParlaMint-NL_2017-11-08-tweedekamer-11.u1	The next item is the debate on the Kingdom relations budget.
ParlaMint-NL_2017-11-08-tweedekamer-11.u205	Thank you, Mr. Chairman. Thanks to Members for their input, but also especially for the confidence I have felt. That creates obligations, as I fully realize, but I like to deal with them. As I indicated earlier, I would like to hang out with you in the near future. I have been asked a number of questions in the second term. Mr Bosman has asked if I could make a ruling on extending the general measure of state administration for Saint Martin in relation to prisons. A valid point, but Mr Bosman will be able to imagine that we are mainly working on other things at the moment. I'll take this point with me. We're gonna talk about this later. I will, of course, take this further. I'll let you know. Then there is Mr Bosman's question about the money of the Red Cross. How's that going to be spent? There has already been a brief debate on this subject. The public action after Hurricane Irma has already yielded almost 18 million euros. That is more than the 13 million previously mentioned. The Red Cross is indeed a self-employed organisation that owns it. There's no public money in that either. Of course, we are coordinating on the ground with the Red Cross, but that is all on a voluntary basis. They also use our logistics and defence capabilities. In this way coordination takes place, but they themselves are responsible for the use of these funds. Then there's the question of transferring budgets for the Interior Coast Guard to Defense. Mr Bosman is well aware that in a previous life I was firmly in favour of these tasks being transferred, so I am now going to do so completely loyally, as you know me. That goes through a letter of amendment. In principle, this will run from 1 January 2018. There are still some agreements to be made on this. Coast Guard building is badly damaged. There's still some transfer to be arranged. In combination with the additional 10 million set aside for the Coast Guard under the government agreement, this should be sufficient for a coastguard that is fully operational and operational again. Then there is Mrs Diertens' question about the fact that quality research is difficult without quantitative data. In general, you could put it that way, but UNICEF can also do research without those quantitative data. That's because they're used to it. They are used to doing qualitative research in this region, where quantitative data are often lacking. I now want to have this so-called situational analysis carried out in the Caribbean Netherlands. I will continue to inform you about this in the first quarter of 2018. Then the question of Mrs Van Tongeren van GroenLinks how much money is now available for the Team Combat Undermining. It was outside the microphone, but Mr Van Raak had the right answer: four times 12 million until 2021. In the budget this has been added to the series for the regular deployment of the detective capacity.
ParlaMint-NL_2017-11-08-tweedekamer-11.u206	I'm incredibly happy about that. I asked my question because somewhere in the budget I found cash slides and reserves for currency decline. But if this is the amount that is actually available and if there is no negative cash slip in it because of a deficit at the end of the year or something with currency amounts that brings it down, then I am just as satisfied as Mr Van Raak.
ParlaMint-NL_2017-11-08-tweedekamer-11.u207	Well, then I can make you happy. I come to the motions, starting with the motion in part No. 9 members of De Graaf and Wilders, in which they ask the government to temporarily transfer a number of powers to Bonaire's authority so that he can make investments in the road network. I understand that moral support for the authority to do exactly the things in the line, as I said earlier, that things need to be done that are necessary. However, I believe that this motion calls for the transfer of powers and, as a result, puts everything in motion in terms of structure. Each has its own role. I wouldn't want to get into that right now. I can promise Mr De Graaf that I will be happy to discuss this when I visit Bonaire. Then I can also hear how this goes in practice. If there's anything we can do, I'd like to act on that.
ParlaMint-NL_2017-11-08-tweedekamer-11.u208	In any case, I would like to thank the Secretary of State for that commitment.
ParlaMint-NL_2017-11-08-tweedekamer-11.u209	What about the motion?
ParlaMint-NL_2017-11-08-tweedekamer-11.u210	Excuse me, I almost forgot to tell you. Then I can hold the motion for a moment.
ParlaMint-NL_2017-11-08-tweedekamer-11.u211	At the request of Mr De Graaf, I propose his motion (34775-IV, No. 9), as last amended by Regulation (EC) No 40/94 of the European Parliament and of the Council. That is what is decided.
ParlaMint-NL_2017-11-08-tweedekamer-11.u212	Then there is the motion which, if I understand correctly, comes back regularly. In the motion in part No. 10 by Mr De Graaf, the government is invited to ensure that the citizens of the Netherlands are also free to decide independently whether to maintain ties with the former Antilles. It won't be surprising that I would also like to discourage that motion. I indicated earlier in my term that international law would not allow a unilateral exit by the Netherlands as an old colonialist. Then the motion to part No. Mr De Graaf asked the government to place the interests of the Dutch people before those of the residents of the other independent countries in the Kingdom and to break the ties as quickly as possible. If you have listened carefully to my speech, you have heard that I am in favour of tightening these ties and operating on the basis of equivalence. As far as I am concerned, the inhabitants of the Caribbean countries are all Dutch. I'm not gonna do that, so I'd like to discourage the motion. Then the motion to part No. 12, in which Mrs Van Tongeren invites the government to take initiatives together with the countries and the BES Islands to promote sustainable construction and inform the Chamber. If I may interpret the motion in such a way that hurricane-resistant building in reconstruction as much as possible is the starting point, you cannot use it as a rule, and we do not want to do so, and that we also use sustainable solutions as much as possible, then I can leave the judgement to the Chamber. Then the motion to part No. 13 by Mrs Van Tongeren, in which the government is asked to examine how arrangements can be implemented for the same purpose for the BES islands and to inform the Chamber of the House of the matter. If this motion will have budgetary consequences, I must, unfortunately, advise against it. When it comes to exploring the possibilities, I can leave the judgment to the Chamber. I would like to hear from Mrs Van Tongeren whether I can read the motion in such a way that it is a reconnaissance.
ParlaMint-NL_2017-11-08-tweedekamer-11.u213	Of course, they are simply municipalities with Dutch people, but the motion already states "investigations." Money doesn't have to be spent immediately, but it has to be looked at how that could be done so that you end up with something similar to what Dutch people in the Netherlands have. That is, of course, my wish.
ParlaMint-NL_2017-11-08-tweedekamer-11.u214	I understand that, but of course Mrs Van Tongeren is not simply tabling the motion. It also has a certain purpose. I'm very practical, as I just said. If the objective is research, then I would like to commit to it without raising any expectations. Then motion to part No. 14, also from Mrs Van Tongeren, who is invited to develop and support training courses for female top talent in close consultation with the relevant authorities. I was a little surprised at that motion, given the debate we had just had on this subject, in which I said that I liked it very much that there were many women at those last training sessions, but she herself indicated that it was a good mix. That would be my idea, too. So I have some difficulty with this motion, because I think we are already doing exactly what is written here. We encourage women to participate, but we also think it is important that men and women participate in these trainings. So I think she's really superfluous, and that's why I have to dissuade her. Then there is Mrs van den Berg's motion on item No. 15 on the agricultural initiatives, in which the government is invited, in consultation with the BES Islands and Wageningen University, to examine the possibilities for agricultural and horticultural policy so that the islands can provide their own food production as much as possible. That's an interesting motion. I have already indicated this in the debate. I would like to stress once again that it is not just research. Something has to be done, because I think there is a need for it. It should also not be limited the WUR, so that others can play a role in it. I don't have any names yet, but I wouldn't want to limit it to the WUR. If Mrs Van den Berg is the first to accept this, I would like to leave the judgment to the Chamber.
ParlaMint-NL_2017-11-08-tweedekamer-11.u215	Mr President, that is fine. We will amend the text accordingly.
ParlaMint-NL_2017-11-08-tweedekamer-11.u216	Okay. Thank you. Then the motion to part No. 16 by Mrs Van den Berg on the training programme, in which the government is invited to make proposals in consultation with the BES islands to implement training programmes for civil servants, including the possibility of an internship in the Netherlands. I agree with the thrust of that motion, because I really think it is important what is happening there. I would like to add that I believe that it should be customised, so we should not lay down a blueprint for how to do it. I'm also gonna go on my trip and talk to drivers about what good tools are. That could be different in one place than on the other. So if I can read her in such a way that it is a hand-out, a direction, but that there should not always be an internship in the Netherlands as part of that program, I can leave the judgment to the Chamber. Then the motion to part No. 17 by Mr Van Raak of the SP, who does not want to award a contract to a particular company. I welcome the motion in that sense that I fully subscribe to Mr Van Raak's thinking, which he has already understood, when it comes to ensuring that everyone has to comply with the rules and that companies that can be found not to comply with them and are condemned should not be rewarded. At the same time, I have a problem with it, and I would like to join Mr Bosman in mentioning the names of companies here, especially if there are still investigations going on. So for that reason, I have to discourage the motion. Once again, I can very well follow the thinking behind it. Then the motion to part No. 18 by Mr Van Raak, together with Mrs Kuik, asking for extra attention to be paid to people living on low incomes. That sounds very sympathetic. I have just said in the debate that we are naturally looking at the most vulnerable. They are not always low-income people, but they often have a problem when such a disaster occurs. I think the motion is a little too one-sided. So if it is not just about income, but about the most vulnerable, if Mr Van Raak would like to amend that in the operative part, I can leave the judgment to the Chamber. Otherwise, I'm gonna have to dissuade her.
ParlaMint-NL_2017-11-08-tweedekamer-11.u217	Mr Van Raak has until Tuesday, but he can also respond now.
ParlaMint-NL_2017-11-08-tweedekamer-11.u218	Of course, the most vulnerable. But they're almost by definition low-income people. I know very few people who are very vulnerable and who are multimillionaires. I'd like to change that. But the point is that the people who have to live with very little money are very badly affected and deserve special attention on the islands, because they are already having a hard time there.
ParlaMint-NL_2017-11-08-tweedekamer-11.u219	I have simply stated in my speech that this is important to me. I'm just a little reluctant, 'cause before you know it, everybody's gonna ride their own stickhorses. Then everything is important and with that everyone is equally important and there is no priority. I have focused in particular on these socio-economic elements. This is part of it. Just to highlight this one, there's my restraint. So I'm afraid I'm gonna have to dissuade her. Then the motion to part No. 19 by Mrs. Diertens and almost the entire Chamber. Well, I'll leave the judgment to the Chamber. I'd say there's a nice assignment for me to fill that out. I see it as a support in the back. Then the motion to part No. 20 by Mr Kuzu, inviting the government to work out a number of things. I won't mention them all again. The point is that this year is a special year, which gives rise to the situation that things are no longer on the specialist budgets, with the government agreement, with notes of amendment. My ambition is to have an insight into the respective budgets of the departments in the coming years. Those amounts will remain there as well. If it's okay, it's gonna work itself out next year. That's why I have to discourage the motion. The same applies to the motion in part No. 21, which also deals with: "see how departments' contributions to the budget of Kingdom relations can be made more transparent." It was just this year that it wasn't clear. I assume that this will be the case in the coming years. It will not be the case that contributions intended for the people there will be included in the budget of Kingdom relations. They remain, to some extent at least, on the specialist budgets. So I'm going to have to discourage that motion, too.
ParlaMint-NL_2017-11-08-tweedekamer-11.u220	In our budgetary cycle, we still have a moment when adjustments can be made, and that is in the spring note. In the motion in part No. 20 we also ask the government to inform the Chamber before the Spring Note. I understand this Secretary of State has only been working for two weeks, but we're just giving room to the Spring Note.
ParlaMint-NL_2017-11-08-tweedekamer-11.u221	I have understood Mr Kuzu's message very well, so I would also like to make a commitment here. Of course, it could be done with the Spring Paper, but it can also be done with the 2019 budget. I'm still having trouble keeping the operative part. This is without prejudice to the fact that I have taken the message which he has also brought to the debate to heart. Then I'm going to move to part number one. 22 by Mrs Van der Graaf on children's rights. I've already indicated that I'd like to await the evaluation. In that respect, I fully agree with the motion. It is very important, especially for young children, to continue to pay attention to this. That's one of those vulnerable groups. I want to inform the Chamber in the first quarter of 2018. I have already promised this in response to Mr Kuzu. Finally, there was an amendment tabled by Mr Kuzu. In fact, I have already commented on this in the debate. It's actually in the same line as the last motion. That is why I leave Mrs Van der Graaf's motion for a resolution to the House and Mr Kuzu's amendment, because he wants to add it now, while I would first like to await the evaluation.
ParlaMint-NL_2017-11-08-tweedekamer-11.u222	Thank you. That concludes this debate.
ParlaMint-NL_2017-11-08-tweedekamer-11.u223	I would like to thank the Secretary of State, the authorised ministers of Aruba and Sint-Maarten and their staff, the MPs, the staff and the people who have followed this debate through the Internet or any other medium. We will vote on the motions tabled next Tuesday.
