ParlaMint-NL_2017-06-06-eerstekamer-7.u1	I have already welcomed the Minister for Education, Culture and Science to the Upper House.
ParlaMint-NL_2017-06-06-eerstekamer-7.u150	I have a question about the division of public funds. What standard is used? For example, how many percent of the supporting device and the board of directors can be allocated? An inspection can't check until there's a set of standards. Is there a set of standards on the basis of which the inspection is to be monitored? Or can an institution itself indicate how it intends to organise this for education? Then the inspection is only next.
ParlaMint-NL_2017-06-06-eerstekamer-7.u151	No, but part of the law is that institutions have to make a proposal. They must indicate that the initiative for transnational education does not leak out Dutch public funds. That is why I have incorporated an consent requirement into the law. That happens in advance. The inspection checks afterwards.
ParlaMint-NL_2017-06-06-eerstekamer-7.u152	This means that costs for the deployment of the supporting device or the board of directors should not be attributed to foreign activities. That is the consequence.
ParlaMint-NL_2017-06-06-eerstekamer-7.u153	That is about Dutch public funds, yes. They must therefore finance this with additional resources. They should also provide insight into what happens to any additional revenue. Exactly how we do that will be included in the AMvB, which is under preparation. This concerns the parts that we have already included in the legislative proposal. In that sense, they are unnegotiable, but they must take technical form. That's what we do in the AMvB. It is therefore a question of distance quality, of dealing with financial risks, human rights, social relations and, in particular, of ensuring academic freedom. A draft decision shall be submitted to both chambers in or after the summer. I would like to say once again to Mrs Gerkens that human rights and social relations also play a role, so women's rights as far as I am concerned too. Women's rights are human rights, and vice versa. I hope that I have answered the questions about transnational education sufficiently.
ParlaMint-NL_2017-06-06-eerstekamer-7.u154	My essential questions were precisely about transnational education. I have heard the Minister in such a way that she shares the concerns I have expressed. I have also asked a number of very specific questions, with which the Minister's agreement on a proposal can be given a little more colour, in the direction of what I call the prevention of knowledge imperialism. I asked the Minister to consider how we could do better.
ParlaMint-NL_2017-06-06-eerstekamer-7.u155	I think that's a complicated one. We have now indicated that public funds from the Netherlands should not be misused and that we want to make sure that they contribute to the quality of the system here. I hesitate, because otherwise I am going to consider almost improper, almost foreign affairs arguments, where the question is when something will contribute to the development of a country. I think that's a very complicated one. I think we should be modest here. The measures I have just mentioned, such as academic freedom and quality care, contribute to the development of education for students there. If they now want to enjoy good Dutch education, they only have the opportunity to come here. This bill will make education more accessible to a group of students there.
ParlaMint-NL_2017-06-06-eerstekamer-7.u156	I find that a somewhat disappointing answer. Yes, it affects foreign policy and development policy. By definition, it does, because it is transnational. As soon as you talk about transnational education, you can't just look at it from Dutch education. That is precisely one of the characteristics of this debate. Hence my question as to whether the Minister is prepared to consider with the Minister for Development Cooperation how to promote it in the right direction. That is why I have asked whether she is prepared to ask the institutions that are applying to give a concrete indication of what their plans mean and how they have been set up, so that we can get a picture of them. I have given a number of concrete possibilities. It is about transnational education and therefore, by definition, it is not just about domestic policy.
ParlaMint-NL_2017-06-06-eerstekamer-7.u157	I fully agree with Mr Ganzevoort, but we must avoid turning this discussion into a development strategy and say that it should only be transnational education in a priority country in the context of development cooperation or if it is an instrument for promoting diplomatic relations between two countries. I really want to stick to the core element that it must contribute to and have added value for higher education in the Netherlands. I have formulated a requirement of consent, which means that an institution must always submit a plan to me first. It is therefore necessary to indicate how academic freedom is to be defined, how it is to be seen to have added value and how public resources are not to be leaked. It is also necessary to indicate what is being done with the additional financial resources that may be generated by this education. There are a lot of ingredients in this discussion. In many cases, there is also a need for agreement with the institution itself. So there are a lot of ingredients to have this discussion. I do not want to lay down what is the most important part of this legislation.
ParlaMint-NL_2017-06-06-eerstekamer-7.u158	Finally, Mr Ganzevoort.
ParlaMint-NL_2017-06-06-eerstekamer-7.u159	I wouldn't want to record the latter either, but that, for example, income should benefit the system here, you could very well explain that you can skim the markets elsewhere for the benefit of the system here. My concern is exactly that maybe we shouldn't want to go that way. The Minister also says in so many words that she doesn't want to. That is why I am asking what the Minister can say at some point: you can raise a lot of money elsewhere and put it into Dutch education, but perhaps that is not what we want. Perhaps a different kind of consideration should play a role in that. My question was whether the Minister could give that element a place in her consideration.
ParlaMint-NL_2017-06-06-eerstekamer-7.u160	I also had that discussion with the House of Representatives. There were MPs who said: all financial extra revenues should actually flow back to the Netherlands. I have said that I find that undesirable. Perhaps it is desirable to keep resources there too, because then you can make that extra contribution. I would not want that in advance in all cases, because it is a wide range, from a small medical education in Aruba or Curaçao to perhaps a whole campus elsewhere. Take the discussion about Yantai. This bill isn't about all those cases. This bill is about the structure that we guarantee to give public interests a place. We have indicated that this must provide an insight into what we are going to do with these funds. On this basis, I can say as a minister, and immediately my successor, that we consider this to be a sound proposal. In another case, however, it does not meet the standards we share. Again, how exactly we shape that, it will be in the promised AMvB, which will go to the Second and the First Chambers.
ParlaMint-NL_2017-06-06-eerstekamer-7.u161	A concrete suggestion in this complex matter: is it not possible to consider asking the universities that set up such a foreign establishment to explain in the coverage how they experience their own contribution to the local environment, how they have recorded and measured it, what good intentions were or are there in this area and what results they have produced? In this way, the Green Left's wish, as far as I am concerned, to hear a little more about this is somewhat met.
ParlaMint-NL_2017-06-06-eerstekamer-7.u162	It is not just about universities, it is about universities and colleges, because they both shape transnational education. They must already draw up a plan, because the Minister's approval requirement requires institutions to have a vision. What are you gonna do there anyway? This vision goes beyond merely an institutional interest. You need to think about who your students are gonna be. I can only imagine that the proposal that a university or a university of applied sciences should address this issue in detail. I will specifically involve this section in the development of the AMvB.
ParlaMint-NL_2017-06-06-eerstekamer-7.u163	I was talking not only about good intentions, but also about reporting.
ParlaMint-NL_2017-06-06-eerstekamer-7.u164	Sorry, I meant not only good intentions, but also accountability, because that's what it's all about.
ParlaMint-NL_2017-06-06-eerstekamer-7.u165	I do not know if the Minister would have gotten to it, but I still have something about the AMvB in relation to the consent rights. The University of Groningen has now committed it to the Faculty Council, the participation council. Does this also come back to the AMvBs in such a way that other universities are bound by these consent rights?
ParlaMint-NL_2017-06-06-eerstekamer-7.u166	In an AMvB, the minimum requirements are set. This does not alter the fact that institutions can always make further agreements on this, but the AMvB regulates what should be done in any case.
ParlaMint-NL_2017-06-06-eerstekamer-7.u167	Does that include consent rights?
ParlaMint-NL_2017-06-06-eerstekamer-7.u168	That includes the consent rights. The University of Groningen has indicated, in anticipation of the AMvB, that they are already working on it. The debate on digitisation and flexibilisation is extremely interesting and complex. We can talk about that for hours. Basically, this is the same as for transnational education: there can be anything. Anything's possible. The only question is how we intend to deal with it. I see that this development is taking place and that it is unstoppable. Online platforms influence the educational landscape, whether we like it or not. Virtual and augmented reality can have far-reaching consequences. The developments regarding online education innovation are extremely relevant. They're going very fast, too. We need to look closely at how we want to deal with that. I have Bert van der Zwaan's book "Has the university 2040?" Read with great interest. In that book, an image of far-reaching fragmentation is sketched, with not only the use of MOOCs, online lectures, but also of SPOCs, which, as it were, bring students together educational components. I also read the book "The platform society: Fight for public values in an online world" by, among others, José van Dijck, the President of the Academy. I find it interesting how they outline the opportunities and risks of, among other things, MOOCs and platforms such as Coursera where they are offered. I like the book by José van Dijck and others, and I recognize that in the end they say: a lot is happening, but just as for transnational education, together with other governments, we are the ones who tell us how far that is going and how public values are being secured. They outline two views in this respect. One is focused on education and bildung, which will appeal to Mr Bruijn, where universities and colleges will always exist as places where public values are promoted, such as equality, accessibility and critical citizenship. The other is learning online for almost nanodegrees, bringing together things, focusing on a labour market where employers determine the value of a diploma. Here too you do not necessarily have to choose one or the other. I therefore believe that personalised elements in education can be very useful, but in the end I believe that university and university of higher education will always have to defend those public values. The question is how much we want to make possible in this respect and how we deal with it, for example when it comes to the award of diplomas. My starting point is that we have to experiment in this respect, which is already happening in the Netherlands. Think of blended learning, where online education is combined with campus education. That will change the campus, but in the end it is mainly for the Bachelor's programmes, for a Lifelong Learning, perhaps a completely different story. That is perhaps precisely what it is about collecting SPOCs, collecting parts in a digital world. Perhaps that is very useful for education, but not for the educational function in which it relates, as I said at the beginning of my speech, to citizenship, to educating values for the future, to learning to gather knowledge with each other. I believe that we in the Netherlands are also taking steps in this respect. I'm proud of that, too. Last March I also received appreciation for it. I received the Leadership Award for Excellence from the Open Education Global Conference in Cape Town. I received it because we are experimenting with open online ambitions in higher education, also with the ambition that by 2025 all educational materials should be open. As far as I am concerned, as with open access, that is a crucial condition. That's what I learned from my work visit to Silicon Valley: make sure that private entrepreneurs don't run off with all that publicly funded knowledge and educational resources, but that those resources come back. In short, all these developments encourage reflection, just like Uber and Airbnb, because that is what we really need to compare. These new platforms can change the organization of education enormously. They can also undermine the traditional university, but I also believe in Mr Rinnooy's reasoning that the university has survived the printing arts and that it can survive these developments with some adjustments and a lot of discussion, if we think in good time about how we can continue to defend public interests, for example when it comes to making all educational materials public. I also say that this is not a discussion that has been concluded at some point, because technology is continuing and developments worldwide are continuing. So you can't say that you've finished the regulation at one time. So I think it is very good to continue to talk about this with each other. There we have the book by Bert van der Zwaan for and the book by José van Dijck. We have an opinion from the Education Council on "Created Digital" which also indicates how we can take sufficient account of the risks of digitalisation. I think there's a lot more possible. Mr Bruijn asked for further research and a follow-up. I'd like to take that suggestion, but in a different way. I think it would be more interesting to ask a number of people to write an essay, in addition to what Van der Zwaan and Van Dijck have already done, and to make their thoughts about what is actually coming to us and to include the international dimension. I can very well imagine that this will be an important part of the next strategic agenda, which will be drawn up by my successor. I hope that Mr Bruijn sees this as a commitment to address the debate on digitalisation, but not with one research report but with a live discussion, which will allow us to involve as many people as possible.
ParlaMint-NL_2017-06-06-eerstekamer-7.u169	Thank you for this commitment. It sounds like music to me. I would ask the Minister to at least include the possible scenarios. Of course, the university will continue to exist. That's not where my fear is. I think the answer to Bert van der Zwaan's question is "yes." I was concerned with the other sections that the Minister himself outlined, where you can see that students outside institutions are increasingly collecting their curriculum, then going to an employer and whether or not they are getting access to the labour market. That development is already there. This is a matter outside institutions, and it is also outside our sphere of influence as a collective sector, as a community. There are the risks of the curriculum being hollowed out when it comes to accessibility, affordability, socio-cultural education, bildung et cetera. If the Minister would at least like to include the scenarios that are conceivable, including these, in the mandate she is going to give for writing these essays, then that certainly meets what I have asked for.
ParlaMint-NL_2017-06-06-eerstekamer-7.u170	I'd be happy to. I just don't think in very sharp scenarios, but for example the scenario in which you let everything happen and the scenario in which you redefine public values much more at a time of digital society. Maybe we should also think of scenarios in which you wonder which group of digitization benefits now. So I often don't think from those public values as accessibility and quality for regular bachelor students. I believe that digital education can make a huge contribution, especially for those who want to learn parts later in their career, to obtain certificates and to be educated on a part. We also experiment with other forms, such as flex study. We will start with this next year at a number of colleges and universities, also at the explicit request of students. For example, students who have children, combine a sports career with studying or have already started their own business. How can you deliver more customization in that entire study programme?
ParlaMint-NL_2017-06-06-eerstekamer-7.u171	I agree with that, but I also heard the Minister say that there is already a partial population working outside the institutions themselves, pulling together the curriculum and perhaps finding the best teachers and paying for it. It is difficult to ask the question: are we going to do this or not? Because it happens, beyond our sphere of influence, in an international digital environment. You might wonder if you should let that happen. Then you should ban it. I don't think the Minister's thinking about that, but well, then we're already going down the road. But at least I want to highlight that part of the scenarios, because that's where the risks are. It avoids any form of supervision and also the importance of an answer to the question of whether we allow it. Because it happens, regardless of whether we want to allow it.
ParlaMint-NL_2017-06-06-eerstekamer-7.u172	In addition, I am pleased to listen to the Minister's idea of asking a number of stakeholders to assess, or give an assessment of, this digital future. I should like to urge that this group should include a number of representatives of the group that has just come into the picture, namely the young people themselves who, at some point, have found their way or perhaps just found their way and perhaps with very different expectations about their higher education on the labour market or the education market than we are used to. That seems to me to enrich the debate.
ParlaMint-NL_2017-06-06-eerstekamer-7.u173	I'll take that. In reply to Mr Bruijn's question whether we can only make it happen that students are already collecting diplomas in this way because we cannot send them in any way, I say: I do wonder. In an interrupting debate with Mr Rinnooy Kan, Mr Bruijn referred to the value of concepts such as meeting and diploma. Well, as long as we have examination committees, they will eventually have to approve a diploma. So you can gather anything from all over the world, but that doesn't give you a diploma. We know that the diplomas will only become more valuable. I am not so pessimistic, if we continue to attach ourselves to the inspection, to the NVAO and to regulation. Institutions must have examination committees, which we facilitate well, and quality management must be regulated. This means that we do have a lot of instruments in our hands to say: we consider this part of digitalisation desirable, but within a certain framework, which is defined by governments. The question is how you want to and can steer that. That's part of the discussions in those essays, among other things. Finally, a few other questions. Mrs Nooren wondered whether ensnaring would not lead to unequal opportunities. That's how I'm gonna sum it up. The current situation is that indeed many master's programmes are English speaking: 67%. That is in itself positive from the international classroom. It also brings with it dilemmas. It must not be at the expense of the quality of education. English must be good, and it must not be at the expense of the perspective of equal opportunities. Especially first-generation students, if Dutch is not their mother tongue, may have additional problems if they have to be very powerful in English on top of Dutch. I've asked the Academy to investigate these dilemmas. One will look at the different perspectives. The completion of the investigation is currently under way. Mr Rinnooy Kan asked where my fear of a negative influx of asking for a contribution came from in the selection. Research from the inspection shows that certain groups of students are already doing self-selection. An additional financial threshold does not contribute to accessibility and equality of opportunity. The report of last year's inspection has made us even more aware of the facts. I can say that it contained some unpleasant conclusions for me. I want to do everything in my power not to increase this inequality. By the way, I have no signals from large-scale no-shows.
ParlaMint-NL_2017-06-06-eerstekamer-7.u174	On the previous point, may I ask the Minister to send the Academy's report to the Chamber?
ParlaMint-NL_2017-06-06-eerstekamer-7.u175	Yes. So there are no signals from large-scale no-shows, and I'm also not aware of any subpoenas from the state. If there is one, I would not want to wait until the judge's ruling arrives, because we now have a situation in which we cannot ask for our own contribution. We just have to do something to make it better in the law. Then I can do two things: formalize that own contribution, or make sure we don't. I choose the latter.
ParlaMint-NL_2017-06-06-eerstekamer-7.u176	I am surprised to hear from the Minister that she is not aware of the legal initiative taken by a number of colleges. I think I know for sure that this is the case. Let me put it this way: if that were the case, would the Minister be prepared to wait for the judge's ruling before putting this article into effect?
ParlaMint-NL_2017-06-06-eerstekamer-7.u177	But there is now a great deal of uncertainty about the meaning of the law in practice. I think it is my responsibility to remove this ambiguity as quickly as possible. Then I do not think it would be desirable to wait for a judge's ruling on an unclear passage in the law. It is my responsibility to ensure that this ambiguity, which is contained in the law and which we now know exists, actually says that it is forbidden to ask for a contribution, is removed.
ParlaMint-NL_2017-06-06-eerstekamer-7.u178	But does the Minister at least recognise the financial problem that this could create for the colleges, especially if the real inhibition in the Minister's view is removed which makes its own contribution in terms of money and time span for the colleges that have to carry out the selection?
ParlaMint-NL_2017-06-06-eerstekamer-7.u179	Before I took this decision, there have been consultations. It's not allowed by the law now, and all I can do is make an AMvB in which it's allowed. I think this is a political decision, which I do not think is desirable, bearing in mind last year's inspection report. That certainly applies now, given our missionary status. I don't think it's appropriate to do that. There is one other possibility for me: to agree to do what is already in the law, removing the ambiguity and not asking for a contribution of our own.
ParlaMint-NL_2017-06-06-eerstekamer-7.u180	Finally, Mr Rinnooy Kan.
ParlaMint-NL_2017-06-06-eerstekamer-7.u181	Does the legal uncertainty to which the Minister refers have to do with the fact that, in her opinion, selection and selection costs should be part of the total cost of teaching?
ParlaMint-NL_2017-06-06-eerstekamer-7.u182	Yes.
ParlaMint-NL_2017-06-06-eerstekamer-7.u183	Is the Minister therefore insensitive to the argument that selection is not so much a part of education but is related to access to that education?
ParlaMint-NL_2017-06-06-eerstekamer-7.u184	But it's about accessibility. This is one of the essential elements of equal opportunities in education. We know from the inspection report that there are already groups of students who do self-selection and who say: if I have to pay my own contribution in order to be eligible for an education at all, I will not go to that programme. That's how you create inequality.
ParlaMint-NL_2017-06-06-eerstekamer-7.u185	I wholeheartedly support the Minister's position. I have received signals from the ISO, which has opened a hotline, that there have already been 40 reports in the last week of people facing selection costs. I therefore believe that the clarity which the Minister wishes to give is very important for the accessibility of higher education.
ParlaMint-NL_2017-06-06-eerstekamer-7.u186	Mrs Nooren also asked about digitisation and how I want to prevent institutions from opting out of purchasing digital teaching methods, because of the cost of purchasing them. This example concerns costs that may arise during training, i.e. after registration. That's different from what we were just talking about. I studied a letter to the Chamber in April 2015. After registration, a student is entitled to benefits, such as education, exams and so on. The development towards more digital means is desirable from the perspective of a student in itself, but they do not necessarily always have to be bought in from commercial parties. They don't need to be developed entirely by themselves either. I stimulate the development in higher education that individual teachers and specialist groups make a lot of material themselves. A good solution is therefore the much more parts of educational materials. That is what I advocate in the Strategic Agenda for Higher Education and Research. Again, we will double the funding for the Open and Online Education Incentive Scheme from next year. In this scheme special attention will be paid to the development, sharing and reuse of educational material in professional communities. So here too we do not just have to be guided by privatisation or the market. Ms Nooren asked about the consequences of Brexit on the position of EU students. There is a great deal of cooperation between the Netherlands and the United Kingdom, both in the field of education and research. The consequences of Brexit are uncertain for students. That depends on the negotiations. But I do know that a lot of students fear, especially for international exchanges and Erasmus grants. We will always try to maintain the good cooperation we have with institutions in the UK in the future. That could mean anything. It may mean that more students, who would otherwise go to the UK, will come to the Netherlands. It may also mean that English universities are trying to do so not simply to give transnational education in the Netherlands. This could have consequences for researchers working together in the framework of Horizon2020 and other European projects. It's pretty unmistakable. I hope that the Brexit negotiations will soon clarify this. Mrs Gerkens objected to the merging of parts. I find this difficult, because I see a lot of coherence between the parts, namely that there is a lot of change in the international world. Whether we're talking about a level playing field for promotional counselors or about making it possible to teach abroad: these kinds of influences play a role. That is why we have taken the different parts together. I myself felt the need not to be too fragmentary. Because if I had made a separate legislative proposal on all these parts, I fear this Chamber would have said that this should have been better involved. Let me give you an example of the bill on the study advance: that was not only about the basic grant, but also about a lot of other parts. We have also deliberately put this into one legislative proposal because of its coherence. However, I will take Mrs Gerkens' comment to heart, which also applies to the introduction to such a legislative proposal as this: we must once again state very clearly what the common denominator is and how the different parts relate to each other. We need to keep looking for the middle, which also applies to my successor.
ParlaMint-NL_2017-06-06-eerstekamer-7.u187	Mr. Chairman. Our group thanks the Minister for answering the questions and also for outlining the position and importance of higher education in the international context, including its developments. I would also like to mention the importance of internationalisation of higher education. The Group agrees with the Minister that this point requires constant attention, which should always be considered if any adjustment is required in the light of possible new developments. We endorsed the objective of the bill, and we still do. My group welcomes the clarifications and improvements to the original legislative proposal. We have taken note of the answer to the questions, and we are satisfied with that answer. We have also taken note of the remark about the danger of a sliding scale. The Minister says that we have a number of safeguards, but that this is, of course, ultimately the responsibility of the universities themselves, not least of the promotional college, and that also applies to the hand-outs proposed by the VSNU. As regards the AMvBs, I would like to thank the Minister for the state of play she has given. We are, of course, waiting for the results to be drawn up, and we are pleased that the Minister is still sending them to both Chambers. So we can still look into that. I am glad that the consent rights also end up in the AMvBs. Even after today's debate and considering everything, I will advise my group to vote in favour.
ParlaMint-NL_2017-06-06-eerstekamer-7.u188	Mr. Chairman. I thank the Minister for the clear answer and the debate. The Minister stressed the importance of an international attitude for the new generation, both in the socio-cultural and economic fields, and my group agrees with that. Internationalisation is also a real development, and it may be desirable, but we need to look at it, we need to go along with it, because the world is internationalising. I am therefore very happy with the answer. I welcome the commitment of an evaluation after five years of this law, which includes the transnational aspect, if I understand correctly. With regard to promotional responsibilities, I understand from the Minister that the WHW is not being changed at the moment. A professor can therefore not turn his back on a PhD candidate and say that he is not responsible for any further promotion, even if someone is appointed a promoter against his will. That's a comforting thought. If that WHW were to be changed and that professor was no longer responsible, my group would be able to agree, as long as it is clear where the responsibilities lie. Especially if this is increasingly a group responsibility, a PhD candidate needs to know who can be contacted if things are not going well. The fact that the promotional college and the promoter who is not a professor also have a very great responsibility for this is obviously clear, but as long as the WHW is not changed, that professor cannot at least say that a promotion is within his teaching assignment but that he does not interfere because he disagrees with it. That is an important clarity. Salute to the Minister for the space she gives to the secondary establishments for transnational education. I would like to comment on digitalisation. The diplomas concerned a scenario in which a student outside the institutions, without obtaining a diploma, collects a curriculum himself that is so beautiful that an employer wants that student to work with him. The Conservatory of Amsterdam sees this happening. A student finds a good teacher somewhere outside the conservatory, is trained to be a very good cellist, does so outside the institution and does not get a bachelor's degree. Then the employer can say, "Come on in." The question is what possibility do we still have in that case to monitor quality. It is, of course, a very extreme scenario, but it is a scenario that some people believe is not unrealistic. In any case, I am pleased that the Minister has promised to have essays on this subject. I will therefore advise my group to vote in favour of this proposal.
ParlaMint-NL_2017-06-06-eerstekamer-7.u189	Mr. Chairman. Internationalisation is a very old story: it is as old as the university and it is also a continuous story. The new chapter we are writing now contains a lot of positives. I thank the Minister for that and for her answers to the questions. I actually have three more points I want to share with her. First of all, she did not answer one question of mine entirely, namely that of the contribution we can expect for the Dutch institutions abroad. There are not so many anymore, but the institutions that are there are worth cherishing and there are still some concerns about their future funding. Maybe the Minister can say something about whether or not the Chamber can send something. My second point concerns the question of selection and selection costs. I understand what the Minister is saying: clarity in legislation and regulation is a great asset. But no matter how this change is realized, it is clear that there will be extra interest, including those who claim to be interested but do not show up. Those assessments can be made, too. I therefore ask the Minister whether she is prepared to discuss with the colleges of higher education the fight against additional selection costs which will result, especially if these costs could also increase dramatically in the coming years. Accessibility is, of course, extremely dear to us. My third point is about the future exploration we were just talking about. The minister's gonna have essays write about this. Earlier I suggested to give a next generation a chance to make themselves heard. Now that I think further about it, and in particular about the Dutch order, I would also like to consider considering the division of tasks and roles between universities and colleges in this future exploration. The Netherlands is also a separate country, with a very separate tradition that can be worth continuing or reconsidering. Today, for example, we talked a number of times about the role of colleges in various fields of research. An interesting ingredient seems to me to be the question to what extent that role should be distinguished from that of universities. I look forward to the Minister's response to these last three points. I thank her for her contribution to the debate. I have found it very enlightening, as is so often the case, and I look forward to seeing it in this circle perhaps again when discussing one last piece of legislation.
ParlaMint-NL_2017-06-06-eerstekamer-7.u190	Mr. Chairman. I would first like to respond to the Minister's comment that she regretted that the SP did not support the loan system, suggesting that the SP did not support that financial impulse. Our criticism of that bill was precisely that this was a cigar from its own box and not a financial impulse from the cabinet. In our view, this impulse is still insufficient. We believe that it would indeed be good to make more money available for research, for example, when we are talking about this debate on internationalisation. The SP sees no bears on the road, as the Minister said, and there is no fear of mixing money with us either. We do see the risk of brain drain, and we share Mr Ganzevoort's well-worded vision of the risk of imperialism. These are also our objections to this bill. In response to my question about culture and values and standards in other countries, the Minister says that these aspects are all secured and that she is looking at them. But in that case, it would mean nothing more than to whisper to the University of Groningen by now that it is better to stop the activities aimed at developing a university in China, given that China is the number one country in the world for human rights violations? It seems to me now almost a fact that we would not be able to start a university there. I would like to look at the question I have been asked about the autonomy of an institution. I would like to come back to that. I look at the expansion drive of, for example, Stenden Hogeschool. The question is whether this autonomy and the responsibility associated with it will always work out well. That means that I think we should continue to talk about this in politics, and I think it remains the question why you should put such a political discussion in a bill on PhD candidates. I welcome the Minister's reply on this point, and I see that she has taken this seriously. In the end, this makes it difficult for my group to decide which part of this legislative proposal weighs more heavily on us. You could argue that it does not go wrong now, at least for the Minister, because the vote against which my group is likely to vote has the minority, but the dime could also fall to the other side. I understand the Minister's remark that it would not be helpful if she had to put forward a lot of legislative proposals, as this might also cause irritation on our part. However, we can choose to deal with these legislative proposals at once. That gives us the space and the freedom to say: we fully support this part, but we would rather not support that part. It's still a difficult matter.
ParlaMint-NL_2017-06-06-eerstekamer-7.u191	Mr. Chairman. My group thanks the Minister for the comprehensive and convincing answers and for her strong commitment to higher education and scientific research and its further development. As far as my group is concerned, she has made it clear why international cooperation is necessary to enable and continue to enable top-level education and research. One question has not yet been answered: on the basis of what criteria will it assess in three years' time whether this bill has created the framework conditions to speak of "an improvement" or "an important step to stay in the world summit or to take a high position in it"? My group is pleased that the Minister for Internationalisation does not only want to see it as a commercial activity, but that it opts for a broader approach, focusing on bildung, sharing knowledge, cooperation and the personal development of students and researchers. My group welcomes the clarity about the division of roles between the promoter, the college of promoters and the incumbent professors. My group also welcomes the fact that the Minister has promised that she will look into how things are developing in the evaluation. It is then a question of "what does this mean for the quality of the research?" And "what impact does this have on the division of roles within the university?'. The Minister has promised that she will talk to the Promotions College in two years' time and that a broad evaluation will take place in five years' time. Does the Minister also wish to take into account in this evaluation the influence of the increasing number of English-language master's programmes and their connection to professional practice?
ParlaMint-NL_2017-06-06-eerstekamer-7.u192	Mr. Chairman. Actually, I had quite a good time this afternoon. I've learned a lot, too. I have discovered that Mr Bruijn is concerned as a real liberal about people who learn something without wanting a diploma and that he apparently wants to ban the use of autodidacts such as Leonardo da Vinci in the future. I need to think about that.
ParlaMint-NL_2017-06-06-eerstekamer-7.u193	Or Mozart.
ParlaMint-NL_2017-06-06-eerstekamer-7.u194	Oh, yeah, Mozart, too. Yeah, imagine!
ParlaMint-NL_2017-06-06-eerstekamer-7.u195	I have spoken of "a development in which there are enormous opportunities." I didn't put the word "forbidden" in my mouth. I just asked, how are we gonna handle this?
ParlaMint-NL_2017-06-06-eerstekamer-7.u196	It is actually found that there are people who learn something without wanting a diploma. There's always been one. I have also discovered that Mrs Nooren is following the Minister that I do not think that "I do not want any action to be taken to prepare or set up a transnational educational institution." That means that the board of directors should not put any energy into that, that it should not think about it and that there should not be any participation, because all this also takes time. Because that is a condition, that means that nothing is going to happen at all. That's interesting, too. I'm really thinking about that. I see Mrs Nooren now at the interrupting microphone. This is entrapment, isn't it?
ParlaMint-NL_2017-06-06-eerstekamer-7.u197	Shortly, Mrs. Noorden. Yeah, this is entrapment.
ParlaMint-NL_2017-06-06-eerstekamer-7.u198	I believe that the Minister has promised that all the activities of that party mentioned by Mr Ganzevoort should be financed by private funds.
ParlaMint-NL_2017-06-06-eerstekamer-7.u199	Then we're going to fund participation in private. That's interesting. Finally, I come to the ius PhD candidate. I'm a little surprised by the questions about that. Why would a dean or a promotional college appoint a senior university lecturer who has insufficient guidance skills as a promoter? I'm a dean myself. I just can't imagine that would happen. In fact, I can't imagine anyone like that being uhd. Quality monitoring is increasingly in graduate schools and in promotional regulations. Of course, as a faculty, you just want it to be well arranged. For us, internationalisation is the most important issue. I'm not convinced of the usefulness of ancillary facilities. I do not understand the argument of quality improvement, but I will not oppose it. I think we share the intention and the concerns. I regret, however, that it is difficult for the Minister to make that a reality. Public interests are not just Dutch public interests; they are also international public interests. However, through the intervention of Mr Rinnooy Kan, I understand that it has been promised that the intentions and reporting on the plans of the institutions will at least come into an AMvB. I take that as a commitment to my questions, and I thank the Minister for that.
ParlaMint-NL_2017-06-06-eerstekamer-7.u200	Does the Minister have an opportunity to answer directly? That's the case.
