ParlaMint-NL_2017-11-09-tweedekamer-16.u1	I give the floor to the Minister to first inform the Chamber of the letter requested this morning.
ParlaMint-NL_2017-11-09-tweedekamer-16.u711	Then I also have a motion on the financial sector. I do not think there have been any financial reviews in which I have not tabled a motion on the financial sector. That is also because it is very important for a healthy economy. Because there is now a new coalition agreement, the main choices in the field of taxation are so much agitated, and they require so much time for care, education and social security, it has not been so much about it. But it is nevertheless an important issue. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the government agreement does not make a clear statement on the buffers of banks;]] [[Whereas the lesson of the financial crisis is that banks must hold sufficient capital;]] [[calls on the Government to maintain the leverage ratio at least 4% and to work internationally to further increase buffer requirements,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Nijboer, Mr Snels and Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-63]]
ParlaMint-NL_2017-11-09-tweedekamer-16.u712	Mr. Chairman. The Secretary of State, who has had a nice first debate, has also indicated: yes, in that Tax Office I will have to make my own efforts in the coming period. We think that 'we' are in this case Mr Snels, Mrs Leijten and I think that, especially in those times when tax avoidance is so high on the agenda and where tax evasion is such a social problem, you do not just come up with a reorganisation of the Tax Administration but that you simply need more tax inspectors. Before that, this motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[predominantly that some individuals and businesses are exempt from taxation through tax avoidance and tax evasion;]] [[Mainly more controls are needed in the fight against tax evasion;]] [[whereas the CPB considers that investment in the control capacity of the Tax Administration is self-deserving;]] [[calls on the government to invest an additional EUR 100 million in control capacity at the Tax Administration,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Nijboer, Mr Snels and Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-64]]
ParlaMint-NL_2017-11-09-tweedekamer-16.u713	Mr. Chairman. It has been a lot about gifts these days, but this gift at the start of such a state secretariat with such a great mission I would like to accept, if I were the Secretary of State, with both hands, all the more so because it is really budgetary. Mr. Chairman. Finally, I would like to thank the Minister and the Secretary of State for the extensive debate. I look forward very much to the forthcoming debates. We're going to have a lot of differences of opinion. That's what politics should do. I look forward to it and I will support it if I agree with it. I'll never do that if I disagree, I'd almost say. No, I would almost say that, but I will swallow it and replace it with: I will support you if I agree and fight you if I oppose it. Thank you.
ParlaMint-NL_2017-11-09-tweedekamer-16.u714	Thank you very much, Mr Nijboer. Then I invite Mr Bruins from the Christian Union Group, who has three minutes left before his second term.
ParlaMint-NL_2017-11-09-tweedekamer-16.u715	Mr. Chairman. I would like to thank the Minister and the Secretary of State for the answers they have given. It was a real baptism of fire and they got through it patiently and convincingly. They had to jump right into the deep end: AFB and Tax Plan. I thank them for the answers, including on the housing market, rising healthcare costs, combating tax evasion and international uncertainties. In the second term, I will receive answers to my questions on investment in education by sector. And if it turns out that there is only one sector that would not benefit, I would very much like to receive the details in writing for dealing with the OCW budget, so that I can use it there. Mr. Chairman. My main point was that, with the current budgetary frameworks, we are virtually at the margins of the budgetary margins if this policy is still to be characterised as a policy in the spirit of Vice-President Josef. It's so nice that such a Bible story has come along so often these two days. I am pleased that the Minister has acknowledged this in his answers, because I would remind you just how abrupt the transition from economic prosperity to adversity was in September 2008. A small surplus in the budget was achieved in 2008 and a very large deficit in 2009. It is good that we are still receiving letters on the various European mechanisms and developments, as Mr Omtzigt has already reminded us. I will therefore finish with the story of the wheat barns in Egypt. Our wheat barn may look more filled than many other countries, but we all know that given the structure of our open economy, the threshing floor of our corn barn can be seen very quickly as soon as international optimism fails. I am therefore pleased that the Minister is acting as a strict treasury guard. I am confident that together we will stay focused on this: he as a treasurer, the Secretary of State as the treasurer and my colleagues and I as their controller. Mr President, thank you very much.
ParlaMint-NL_2017-11-09-tweedekamer-16.u716	Thank you, Mr. Bruins. Then I would ask Mr Van Rooijen of the 50PLUS Group. He's got seven minutes before his second term.
ParlaMint-NL_2017-11-09-tweedekamer-16.u717	Mr. Chairman. I would like to thank the two directors for their reply. I notice that this baptism of fire was certainly good in my eyes. That doesn't mean all over the field. Before I go any further, I would like to congratulate Mr Sneller on his maiden speech, which I left in the first term in all the hectic that was already here yesterday. I myself believe, without going into any further detail, that the debate on the dividend tax in this Chamber has gone out as a night candle in view of the discussion about it, but I predict that the fire will arrive next week for the fireworks. I will remain silent, but perhaps the Minister will be able to reply, or else the Prime Minister will be able to reply next week. What was the turning point? He may at some point still want to talk about those countries that are considering it, but we are also going to have discussions with the Minister separately. Then today's pièce de résistance: the abolition of the Hills Act. Mr Krol has already tabled a motion for a resolution which has been held in order not to abolish both the dividend tax and the Hillen Act. So now to the Hills Act, Mr President, very briefly. It's a tragedy in many companies. It began when I myself heard of this unholy plan and said: this ransom must be removed from the table; this cannot be done. Immediately there was a footnote in the coalition agreement: we go from 20 to 30 years. Playing hide-and-seek. In the end, after a great deal of pressure from my group, a separate draft law has been drawn up. To speak with the words of the Minister, then Senator, Hoekstra, I referred to his motion, which was unanimously adopted in the First Chamber. "Don't put things into a tax plan that doesn't belong there." Then box three, now the law hills. There's a separate bill. After a football fight in the Finance Committee, I understand from Mr Van Dijck that it is quite unique that there are 25 members in the Finance Committee at all, namely all of them, and that there is also a vote, but for me, as in football, the result is: we won that match; it was the first defeat of the cabinet. Tomorrow we will have to ask written questions about a bill that has just been drafted. To stay in the history of Mr Van Dijck: it has been historically rarely shown, an increase of more than 1 billion for 1 million people, an increase that is being chased by the Chamber with some sort of bulldozer tactic. So I would remind you of Article 104 of the Constitution: Chamber, lion or lamb? For us careful legislation is so important and so much the primacy of the Chamber that an execution test does not matter at all. He matters, but at the right time. It is now said that 1 January 2019 will just happen, no matter what happens in the world and in the Netherlands, that law Hillen disappears. And they say: yes, but there is an execution test. There is, and I fully support it. That means, if you're going to calculate back with computers and systems, that by November 23rd, this Chamber will just have to accord it as a stamp machine. Mr President, we do not want to cooperate in this; we do not think that this is democratic and is not fair to our citizens. We will ask those written questions tomorrow. I'm gonna have to do that tonight and in the morning. Mr Omtzigt said at the time: Mr Van Rooijen, you have already finished it, and he waved this bill, one piece of paper. He said, "God, you can easily take a stand on that and ask questions about it." Well, I've got all that to do. But this is, of course, a cloaking paper. This cloaking paper, this draft law, which I agree with Mr Omtzigt, is simply saying: we are going to abolish the Hills Act, but in the first year we are going to put in the law that it will only happen for 3.33% and that 96.66% of the law will remain in force. That is simply electoral deception, Mr President, but it is also deception on the part of the citizen. I will not dwell on it now, but we believe that careful legislation should first take place and then follow the implementation test. So if legislation takes more time than is currently the case in the cabinet's eyes, then the execution test means that it will have its own next effect.
ParlaMint-NL_2017-11-09-tweedekamer-16.u718	Mr Van Rooijen strongly opposed that bill. That is his right and he is extremely consistent with his party programme here. But he said one thing that I think is just not right, and I find that annoying, even for people who are following the debate, that that bill would only contain that one step. In my opinion, the draft law says neatly that the 1/30 part of the Hills Act will be phased out every year, with an annual kick-off. So I think this is the whole law. Mr Van Rooijen is against this once again, I respect that, but I think this is just the whole story. I don't think the atmosphere that this is a trick is right. That Mr Van Rooijen disagrees is his right.
ParlaMint-NL_2017-11-09-tweedekamer-16.u719	I have merely referred to the fact that 3.33% will go off in the first year. I did not say that this is not the case for the whole period. If it stays at 3.33% tonight, I'd like to make that deal with you. We'll be done soon. You know as well as I do what's going on here. I would like to say that the Chamber and, first of all, the Cabinet are better off halfway than completely lost. There has been a violation of trust and of improper administration. President. - I call the Group of the European People's Party (Christian-Democratic Group). [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to withdraw the proposal of the Law on the gradual phasing-out of deductions due to no or low household debt,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Rooijen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-65]]
ParlaMint-NL_2017-11-09-tweedekamer-16.u720	Finally, Mr President. Perhaps the Minister, but I suppose the Secretary of State, can go into another point of concern, and that is the text of the previous cabinet in the Millions Note, on page 26. It says that public compensation for the elderly in case of non-indexation by pension funds has advantages and disadvantages. But the conclusion is actually that it is said that the financial review framework is there and that it is a natural event: then there is no indexing and we will sometimes see if we do something about that purchasing power. I would like to draw your attention to the fact that, as I said earlier in the debate, 20 billion has already been earmarked for the reduction in working time. 20 billion, which is a doubling since 2013 with an average increase of 15% per year. As you can see, the tax rebates remain roughly the same in the budget, 20 billion, but only the labour rebate extra for the workers is another 20 billion. 20 billion more will be given to the workers in addition to the rates. This is a separate system of taxation for the workers, and that other system, for the elderly, is very serious. I hope that the rulers will be able to respond to that. Thank you.
ParlaMint-NL_2017-11-09-tweedekamer-16.u721	Thank you very much, Mr Van Rooijen. Then I would like to invite Mr Azarkan to his second term. He's got three minutes to do that, according to our count.
ParlaMint-NL_2017-11-09-tweedekamer-16.u722	Can I buy some time, Mr. Chairman?
ParlaMint-NL_2017-11-09-tweedekamer-16.u723	I'd almost consider it, but I'm afraid there's no point. Three minutes. I'm sure you can.
ParlaMint-NL_2017-11-09-tweedekamer-16.u724	Mr President, thank you. I would like to begin by thanking the rulers for answering all the questions. They tried that with a lot of fire. Yeah, tried. I don't have much time. I would like to point out one thing. I told you about the arrangement. Shell's lobbying work is, of course, formidable. We already saw that when the company was founded. Shell was founded on 16 June 1890 and two months earlier, on 18 April, it had been given the royal predicate by King William III. And why? Because of the morality of the activities. Mr. Chairman. I shall begin with a motion on the sustainability deficit. That's a nice transition. I realize that, too. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the government agreement has now transformed the sustainability surplus of EUR 1 billion into a sustainability deficit of EUR 3 billion;]] [[Whereas this will put pressure on long-term expenditure on health and education, pensions and safety;]] [[Whereas the roof needs to be repaired when the sun shines, that potting runs counter to this in the short term, and that it is wise to put a buffer on the budget of at least 1% of GDP, as recommended by DNB;]] [[calls on the government to aim for a long-term sustainability surplus and a sufficient short-term buffer,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Azarkan.]] [[She's getting No. kst-34775-66]]
ParlaMint-NL_2017-11-09-tweedekamer-16.u725	Mr Van Weyenberg asked a question about this motion.
ParlaMint-NL_2017-11-09-tweedekamer-16.u726	I assume that we will also have an amendment with the concrete cuts and burdens to achieve this. This is a noble cause, but butter with the fish, right?
ParlaMint-NL_2017-11-09-tweedekamer-16.u727	Is there an amendment, Mr Azarkan?
ParlaMint-NL_2017-11-09-tweedekamer-16.u728	This is an encouragement chairman, so an amendment is not included. But I can always consider that.
ParlaMint-NL_2017-11-09-tweedekamer-16.u729	I would be very pleased if Mr Azarkan would do so. Because this sounds nice, but just like there is no free money, there is no free shelf life surplus either. So I look forward to hearing what reversals, i.e. cuts or burdens, we're going to achieve this. I'm curious. Mr Azarkan, this AFB has not shown much of the budgetary soundness of DENK.
ParlaMint-NL_2017-11-09-tweedekamer-16.u730	I see Mr Weyenburg again, whom I knew a few months ago. He's really starting to talk about numbers and arguments. I missed that need with the 1.4 billion. This is real: the pot blames the kettle. It was just said that we are going to look for arguments. Mr Van Weyenburg, it is not strong what you are doing.
ParlaMint-NL_2017-11-09-tweedekamer-16.u731	It is: Mr Van Weyenberg, Mr Azarkan.
ParlaMint-NL_2017-11-09-tweedekamer-16.u732	Thank you, Mr. Chairman. It was an encouragement, and Mr Azarkan said he was going to consider it.
ParlaMint-NL_2017-11-09-tweedekamer-16.u733	Sure.
ParlaMint-NL_2017-11-09-tweedekamer-16.u734	I just said I looked forward to that. That's what I meant very kindly.
ParlaMint-NL_2017-11-09-tweedekamer-16.u735	I think you agree. You see this both as an encouragement and there may be an amendment. However, I would like to conclude with you that the submission of this motion is sufficiently supported. That's the case. That's another relief.
ParlaMint-NL_2017-11-09-tweedekamer-16.u736	Then I will move on to the motion on improving policy information. I spoke about this in my first term. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that an Azarkan motion was adopted in June 2017, inviting the government to launch an "quality understanding" operation in accordance with the opinion of the Budget Space Study Group;]] [[having noted that the Court of Auditors presented a report in September stating that the objectives and results of many tax reductions and tax subsidies are not clear;]] [[whereas the abolition of a given subsidy or tax or tax reduction is not evaluated by default;]] [[Considering that in 2011 the VBTB system was replaced by Responsible Budgeting, leading to a loss of policy information;]] [[calls on the Government to review more systematically tax reductions and the abolition of tax and subsidy schemes;]] [[calls on the Government to evaluate and compare responsible budgeting with the VBTB system,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the previous cabinet provided for an increase in reserves for banks, the leverage ratio, from 3% to 4%, and then possibly to 6%;]] [[Whereas this increase is reversed in the coalition agreement;]] [[calls on the government to bring the leverage ratio for banks in the Netherlands from 3% to 4%,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Azarkan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-67]] [[This motion has been tabled by Mr Azarkan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-68]]
ParlaMint-NL_2017-11-09-tweedekamer-16.u737	Then I have a motion on the CPB and the transfer of the effect on the demand side of the labour market. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that discussions with the CPB on the transfer of electoral programmes showed that the CPB is unable to identify certain behavioural effects on employers of certain measures, such as the hiring of more staff if the payment obligation in the event of illness would expire in the second year;]] [[Whereas this does not sufficiently reflect the effects on the demand side of the labour market, which does not sufficiently reflect the effects of certain measures aimed at improving the functioning of the labour market;]] [[calls on the Government to consult with the CPB in order to improve its models in such a way as to better reflect the behavioural effects of certain policies on employers,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Azarkan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-69]]
ParlaMint-NL_2017-11-09-tweedekamer-16.u738	I'm holding the last motion I wanted to table, Mr. Chairman, because I can see I'm running out of time. I've seen examples of MPs going two or three minutes over their time. I would just like to conclude with the creed of Mr Wiebes, Secretary of State and now...
ParlaMint-NL_2017-11-09-tweedekamer-16.u739	I have the impression he's Minister now.
ParlaMint-NL_2017-11-09-tweedekamer-16.u740	Yes, I dropped a silence for a moment, Mr. Chairman. In the meantime...
ParlaMint-NL_2017-11-09-tweedekamer-16.u741	Maybe that's wise, because you've been over your time for half a minute. I really need to hold you to that, so...
ParlaMint-NL_2017-11-09-tweedekamer-16.u742	Sure. He had as credo...
ParlaMint-NL_2017-11-09-tweedekamer-16.u743	Can you lock up?
ParlaMint-NL_2017-11-09-tweedekamer-16.u744	Yeah, sure, I'm gonna do that. I'm gonna cancel that credo. He said: constructive frustration is the whip of progress.
ParlaMint-NL_2017-11-09-tweedekamer-16.u745	Thank you. We're moving on to Mr. Baudet. According to our count, he's got 16 minutes left.
ParlaMint-NL_2017-11-09-tweedekamer-16.u746	Thank you. I have not yet received an answer from the Minister and his Secretary of State to my question, asked in the first term, which is the 3.3 billion one-off increase foreseen for 2019. I hope to get an answer to that soon. I think it is a very important item in the budget and it is still unclear where it comes from. Furthermore, our criticism of the budget as presented today and debated has led to four motions, which I would now like to table. The core of this is not giving 1.4 billion away to foreign investors and neighbouring countries, but making this money for the benefit of SMEs andzzp'ers, so that a real boost in the economy is created. We want to retain the 15% dividend tax, also reduce the rate in box 2 to 15% and also reduce the SME profit exemption to 15%. Three times 15%, all entrepreneurs pay the same rate and Rutte's friends at Unilever and Shell don't get special treatment. In addition, we propose to give Ib entrepreneurs a self-employed deduction of €10,000, to gradually increase the tax-free rate so that the minima also improve and keep the Hills Act so that people with their own home who have paid off their mortgage do not have to pay off. Motion one. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the cabinet intends to abolish the dividend tax on multinationals;]] [[noting that the Cabinet intends to increase the tax rate in box 2 forzzp's and SME entrepreneurs by e.g. from 25% to 28.5%;]] [[Whereas manyzzp'ers have already been overly seriously affected by the DBA Act, which has made it impossible for many of them to work in recent years;]] [[whereas the "usual wage scheme" also obligeszzp's and SMEs to pay a wage tax, e.g.;]] [[whereas, in combination with the new higher box 2 rates, this represents an unacceptable and unfair burden increase for these hard-working entrepreneurs andzzp'ers;]] [[calls on the government to ensure that the proposed reduction in charges of 1.4 billion as a whole will benefit from the reduction of the box 2 tariff forzzp'ers and SMEs by e.g. and to reduce the box 2 tariff from 25% to 15%,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Baudet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-70]]
ParlaMint-NL_2017-11-09-tweedekamer-16.u747	Thank you. Motion two. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the Netherlands has over 1 millionzzp'ers and thesezzp'ers are essential to our dynamic knowledge-based economy;]] [[Whereas, in recent years, the Rutte Cabinets have been disproportionately disadvantageous tozzp'ers with increased burdens and obstructive laws and regulations;]] [[Whereas reducing the burden onzzp'ers will give a tremendous boost to the Dutch economy and will greatly increase the Dutch economic dynamism;]] [[calls on the government to come forward within six months with a proposal to increase the self-employed deduction for Ib entrepreneurs, which is now €7.280, to €10,000 per year and to increase the SME profit exemption after self-employment deduction for Ib entrepreneurs from 14% to 15%,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the collective tax and contribution burden under the Rutte Cabinets increased from 35% in 2010 to almost 40%;]] [[noting that many Dutch people do not notice anything to little of the attracting economy due to the ever increasing tax burden and the slow development of disposable income;]] [[Whereas the introduction of a higher duty-free rate for all Dutch citizens, in particular for lower and middle incomes, has an exceptionally positive and direct effect on the improvement of purchasing power, improves economic dynamism and directly provides adequate compensation for the tax increases of the Rutte Cabinets;]] [[calls on the government to come forward within six months with a proposal setting a fixed tax-free rate of €10,000 for all Dutch as of 1 January 2018 and to increase this rate by €2,000 annually for a period of five consecutive years to finally a tax-free rate of €20,000 for all Dutch workers in the year 2023,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Baudet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-71]] [[This motion was tabled by Mr Baudet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-72]]
ParlaMint-NL_2017-11-09-tweedekamer-16.u748	Thank you. The final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Rutte III Cabinet intends to reduce the Hills Act, the deduction for no or minor property debt as provided for in Article 3.123a of the Income Tax Act 2001 over a period of 30 years, which means that people who have relieved their mortgage will be taxed unfairly and will have to pay rent over their own home and as such a tax fine will be paid;]] [[Whereas the reduction of the mortgage interest rate deduction is also accelerated, which in turn encourages the repayment of mortgage debt;]] [[calls on the Government to maintain Article 3.123a of the Income Tax Act 2001, i.e. the Hills Act, in its current unchanged form,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Baudet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-73]]
ParlaMint-NL_2017-11-09-tweedekamer-16.u749	Those were my motions, that is our input in the second half of this debate. Thank you.
ParlaMint-NL_2017-11-09-tweedekamer-16.u750	Thank you very much, Mr Baudet. This ended the second term of office. Looking at the rulers, I see that the answer is immediate. No, there'll be a comment from the Minister first. I give the floor to the Minister.
ParlaMint-NL_2017-11-09-tweedekamer-16.u751	Mr President, perhaps I may ask a procedural question. We need a little more time to make an assessment of the motions. However, a relatively large number of questions from Members of Parliament from the first term have also remained and a number of new questions have been asked. We have just tried to give a very careful answer, but if we are going to do all that, we will end up after twelve. If that is all right with you, and if that is all right with the Chamber, my proposal would be that we should answer a selection, that we should answer some of the questions in writing and that we should, of course, deal with all the motions. But I'll leave that to you.
ParlaMint-NL_2017-11-09-tweedekamer-16.u752	First of all, you can influence it yourself by indicating to me how short you want to suspend. I put it this way. I must be so polite as to grant you a suspension. That could be half an hour or 15 minutes. I assume you'll need half an hour after all. If we assume that, then your offer is that you would like to answer some of the questions in writing.
ParlaMint-NL_2017-11-09-tweedekamer-16.u753	Yes. Once again, I want to be as complete as possible and also to have all the questions addressed as far as possible. But I also realize that we've been at it for eleven and a half hours. I have enough energy to go on, no misunderstanding about that. But I would like to consider it for a moment, and I would also like to understand what the experience is, to use that word.
ParlaMint-NL_2017-11-09-tweedekamer-16.u754	We're gonna want an opinion on the motions anyway, I guess. It is difficult for me to assess which parts you would like to answer in writing. I should also like to look at the Members of Parliament who have been debating with you for eleven and a half hours. Mrs. Leijten.
ParlaMint-NL_2017-11-09-tweedekamer-16.u755	A judgment on the motions and what can be written, in writing. I do not know for others what debates they would like to have with the Minister, but I do not think that there is so much opportunity for me to discuss them in other debates.
ParlaMint-NL_2017-11-09-tweedekamer-16.u756	I recognize that from Mrs Leijten, but Mr Baudet, for example, has asked a number of specific questions, the two members of D66 have asked a number of questions and I think I am still failing a number of people.
ParlaMint-NL_2017-11-09-tweedekamer-16.u757	But Mrs Leijten's proposal could lead a number of other Members, I'll give you that. But that's what we're gonna do. Mr. Snels.
ParlaMint-NL_2017-11-09-tweedekamer-16.u758	I can hardly imagine that there are any questions that have not been answered. As far as they're left, it's fine in writing.
ParlaMint-NL_2017-11-09-tweedekamer-16.u759	Okay, so you'll agree in writing as far as the Minister's assessment is concerned. I thought I saw Mr Van Weyenberg first at the interrupting microphone, but that leaves the credit to Mr Baudet.
ParlaMint-NL_2017-11-09-tweedekamer-16.u760	If the Minister can indicate the time limit within which he can answer my questions, I can judge whether I can agree to that.
ParlaMint-NL_2017-11-09-tweedekamer-16.u761	Yeah, I think we'd be able to answer almost all the questions if we took our time. That also suggests that the answers to the questions should be there tomorrow or else the day after tomorrow, with perhaps an exception here or there.
ParlaMint-NL_2017-11-09-tweedekamer-16.u762	It's Thursday night now. In that case, I would advise you to do it on Friday.
ParlaMint-NL_2017-11-09-tweedekamer-16.u763	Excuse me. In my enthusiasm I thought the week had just begun.
ParlaMint-NL_2017-11-09-tweedekamer-16.u764	In a week or so, it'll be fine for me.
ParlaMint-NL_2017-11-09-tweedekamer-16.u765	Friday's okay. Then Mr Van Weyenberg.
ParlaMint-NL_2017-11-09-tweedekamer-16.u766	I would appreciate it if the Minister could reply very briefly to my colleague Mr Sneller's question about the overall Court of Auditors' capacity and my question about wage developments. For the rest, I think it is excellent in writing.
ParlaMint-NL_2017-11-09-tweedekamer-16.u767	In any case, I think it would be good to answer most of the questions raised again in the second period, if not technically.
ParlaMint-NL_2017-11-09-tweedekamer-16.u768	Let us try to take as a common thread that we will at least answer those questions.
ParlaMint-NL_2017-11-09-tweedekamer-16.u769	If you start your reply later, you can immediately indicate which block and which elements you are going to answer. Sorry, I actually have to go to Mr. Nijboer first. He was standing there the longest.
ParlaMint-NL_2017-11-09-tweedekamer-16.u770	The Minister asks what usance is. It is, of course, usance to answer everything in a debate, especially in the General Financial Reviews.
ParlaMint-NL_2017-11-09-tweedekamer-16.u771	Yeah, but we're asking what's right now.
ParlaMint-NL_2017-11-09-tweedekamer-16.u772	I don't mind moving a little. On the other hand, we have had almost no debates with a missionary cabinet for six months. So I do not think it is such a problem that the debate is taking a little longer.
ParlaMint-NL_2017-11-09-tweedekamer-16.u773	And I understand that, Mr President!
ParlaMint-NL_2017-11-09-tweedekamer-16.u774	I do like to get an answer to my question, because then I can also ask a follow-up question if that is not clear, especially about the rent payment, which I have been working on all day.
ParlaMint-NL_2017-11-09-tweedekamer-16.u775	We're not gonna respond from the audience. Mr. Nijboer, I think you're close to a good answer, too. Some of the questions are so technical and specific that the Minister has requested that they be answered in writing. I see from a number of Members of Parliament that there could be support for this, provided, I presume, that as many questions as possible and in particular the questions raised by Members of Parliament in the time limit will be dealt with shortly.
ParlaMint-NL_2017-11-09-tweedekamer-16.u776	Again, the question is what the Chamber needs. This is not intended to shorten the debate. In any case, I note that the rent allowance should also be returned.
ParlaMint-NL_2017-11-09-tweedekamer-16.u777	Okay. Then we go to Mr Bruins, to Mrs De Vries and to Mr Van Rooijen.
ParlaMint-NL_2017-11-09-tweedekamer-16.u778	I had one more question about investment in education. That point is so detailed that it may even be better written than oral.
ParlaMint-NL_2017-11-09-tweedekamer-16.u779	We'll do it in writing.
ParlaMint-NL_2017-11-09-tweedekamer-16.u780	I had one more question in my second term. I would have put it in my first term too, so I would appreciate it if it would be just answered.
ParlaMint-NL_2017-11-09-tweedekamer-16.u781	Yeah, I'm gonna answer that question, too. We're gonna answer that.
ParlaMint-NL_2017-11-09-tweedekamer-16.u782	I actually have the same question as Mrs De Vries. In the first term, on page 26 of the Millions Note, I asked what the government thinks about non-indexing and whether and how the purchasing power for the elderly is being repaired.
ParlaMint-NL_2017-11-09-tweedekamer-16.u783	It's a good thing you mention this. Here's what we're gonna do. It's 10:00 now. I'm gonna suspend the meeting for half an hour. Can we cut it short? I hear Members shouting that a suspension of 15 or 20 minutes is possible. Fine, Parliament is really a forum, but sometimes it is also a market.
ParlaMint-NL_2017-11-09-tweedekamer-16.u784	Twenty minutes?
ParlaMint-NL_2017-11-09-tweedekamer-16.u785	Good. Then I'll suspend the meeting for 20 minutes. I will see you again at 10.20 p.m., and you will first indicate what you can answer and what happens in writing.
ParlaMint-NL_2017-11-09-tweedekamer-16.u786	We have arrived at the second term of government. I give the floor to the Minister of Finance.
ParlaMint-NL_2017-11-09-tweedekamer-16.u787	Thank you, Mr President. I would also like to thank the Members of your Chamber for the constructive and very substantive debate. I might also say that time flies, because we started 11 hours and 55 minutes ago. I do not want to say that quantity is always a proof of quality, but at least I found it extremely constructive and substantive. I am going to try to answer as many questions as possible, of course together with the Secretary of State. I am going through it at a relatively high rate, without attracting too much of the structure. I shall begin with the raise, which Mr Van Weyenberg spoke about. In addition, we crawled towards each other step by step in three steps. I can live well with the wording as he has pronounced it. Mr Sneller asked whether we could make the notes of budgetary change even more transparent and provide even more information. I can imagine that question. I'm gonna make sure this happens, because I can imagine people having questions about that. Mrs De Vries referred to the phase-out and stressed the importance of a balance between the measures. That is the well-known discussion about the acid and the sweet. I agree with Mrs De Vries that it is preferable to regulate this as much as possible in a single legislative proposal. Of course, she is absolutely right about that. A large number of fiscal measures have been agreed in the coalition agreement. These measures all have different implementation years. The reason why some of the measures that are in force in 2019 are already in the law is purely implementing. I imagine she would have liked it to be different, but this is the logic behind it. Mr Baudet has asked about Italy and the TARGET2 balances and how I assess Italy's creditworthiness and the risks that the Netherlands is running. As I have already indicated, it is not for me to judge Italy's creditworthiness. Italy is one of the largest economies in the euro area. In my view, I have also said that Italy still has the room to grow and that there are no acute problems. What I have also said is that I can perhaps repeat briefly that there are indeed risks, both in terms of budgets above 60%, and in terms of so-called non-performance loans. Mr Baudet specifically asked about the risk of the Italian TARGET2 balance in relation to the Netherlands; I think I understood him correctly. As I said, there is no acute risk. The settlement of TARGET2 only takes place when a Member State leaves the euro area. I do not know if it is to Mr Baudet's disappointment, but that is not yet the issue. Or, let me put it precisely: that is not the issue. Mr President, another question from Mr Baudet. It was about the 3.3 billion other burdens. He was right to ask, but I think this is already reflected in the piece we have distributed. Let me add a few more sentences. The increase in charges of 3.3 billion in 2019 concerns in particular the increase in the low VAT rate and the reduction of the so-called 30% regime. If useful, we can put more on that on paper, but perhaps I can leave it at that for now. A further question from Mr Baudet. He was a little shaky, wasn't he?
ParlaMint-NL_2017-11-09-tweedekamer-16.u788	Before you go any further on this point, there is another interruption by Mr Baudet.
ParlaMint-NL_2017-11-09-tweedekamer-16.u789	I should like to hear the Minister offer to put some additional paperwork on it if necessary. I'd like to take advantage of that. I would like to explain these items in more detail.
ParlaMint-NL_2017-11-09-tweedekamer-16.u790	That's what we're gonna do. Mr. Chairman. I was already in the process of saying that Mr Baudet might have gotten a little carried away in the first period, because I have another question from him. I think he's repeated it again. This question is about the state of play in the Basel negotiations and about the position of the bank in Basel, where he also spoke specifically about the buffers and the capital floors. I have already said in a broader context that the negotiations are still ongoing. What I hadn't said yet, but what is important is that this is done by the central bankers and that De Nederlandsche Bank is sitting there at the table. The Dutch commitment has always been that the impact of these proposals should not be disproportionate. But I would like to repeat the answer that I said to Mr Snels: I think it would be wise to let the ball do the job there, otherwise we will find ourselves in a very complicated situation in terms of negotiations.
