ParlaMint-NL_2017-02-21-eerstekamer-6.u1	I would like to welcome the Minister of OCW to the First Chamber.
ParlaMint-NL_2017-02-21-eerstekamer-6.u280	Mrs Martens, I see that you wish to interrupt, but this seems to me a natural point to interrupt the Minister's reply for a dinner break. If there are any questions about what the Minister has just said, they can be asked after the suspension. Afterwards, the Minister will be able to raise the remaining issues.
ParlaMint-NL_2017-02-21-eerstekamer-6.u281	Mr. Chairman. Before the evening break, I went into the most important part of the bill, the sense of social responsibility in higher education. I would now like to try briefly to answer the questions on the other issues in the legislative proposal. I will begin with the question of naming. Mr Rinnooy Kan asked me whether I would like to make a commitment to examine in a number of years, for example three years, whether there have been problems with the positioning of colleges. I'd be happy to admit this. I would then like to take that study together with a commitment that I made to the Upper House during the examination of the Quality in Diversity Bill. This involves carrying out an evaluation of the communication on the introduction of the degrees "of Science" and "of Arts" in higher vocational education.
ParlaMint-NL_2017-02-21-eerstekamer-6.u282	I promise I won't intervene much, but let me get this straight. I asked for an assessment of the international impact. Colleges are located in an international environment that is sloppyly structured, with confusing naming in all countries. The only thing we want to avoid with each other is that these new rules will ultimately be at the expense of international expansion. I asked for particular attention to be paid to this. If, in a year or three, the Minister wants to see whether those concerns have been realized or, hopefully, have not been realised, I am satisfied.
ParlaMint-NL_2017-02-21-eerstekamer-6.u283	I admit that, with an emphasis on the international environment. That is what this is about, because our binary system is not recognised in the same way everywhere. Then it is important to see if we are on the right track. So that is broader, hence my reference to the Quality in Diversity Bill. Then we can take it with us in one go. Mrs Nooren had a question about popular universities and folk colleges. Are these names sufficiently recognizable and are they well-established concepts? We have not investigated this, but we do know that these institutions have existed for so long that you can expect them to have a great reputation. The popular universities have existed since 1913 and the folk colleges since 1931. They don't expect degrees. These institutions should, for example through their website, communicate clearly about their educational offerings. Mrs Nooren gave the example that she thought: if I'm in Zeist, I'll stop by sometime. I think that every incoming student will immediately discover that it is an intermediate year and not an institution where you can obtain a degree. That should be sufficiently clear. That is why I am not so afraid, as I say to Mrs Nooren, that we are opening the door to other organisations, which want to use the name 'university' or 'high school' to give cachet to their educational offerings. This bill does not open the door to that. It simply cannot be done; the legislative proposal clearly defines which organisations can call themselves that. Mrs Nooren already referred to an amendment by Mr Rog of the CDA to make an exception for these institutions (34412, No. 13). I understood the background but also said that there are no new exemptions or exemptions. What we now have are historically grown rights. Mrs Nooren and Mr Schalk asked whether the exception is now an objective of the law and how I look at a possible appeal to equal treatment. We have discussed in great detail in the House of Representatives the principle line on the one hand and the pragmatic line on the other. One could say that the exceptions for the Evangelical College and the Free University find the middle between the principle and pragmatic line, because these institutions have known and are known for such a long time. You can therefore expect everyone to know what you are and not offered there. I say to Mr Schalk that the inclusion of this exception is part of the pragmatic line and that there is therefore no other institution that can benefit from an exception. In this sense, the consequences are very limited.
ParlaMint-NL_2017-02-21-eerstekamer-6.u284	The Minister writes in her answer to a question from us that the Education Inspectorate is monitoring it. Since the name of the institution is enshrined in the law, I wonder what measures can be taken if it turns out to be different at the Free University of Applied Sciences or the Evangelical University of Applied Sciences. Then what is the role of the inspection?
ParlaMint-NL_2017-02-21-eerstekamer-6.u285	If the inspection receives signals that this particular position is being abused, it will investigate those signals. For example, it is a question of wrongly granting degrees or incorrect recruitment material. Of course, that cannot be the intention. In this case, the same framework applies to this institution as to other institutions, namely that an intervention ladder will then be created. The institution is reminded of the offence and if it does not do anything about it, there is the possibility of an administrative fine. If these institutions do not use the freedom they have been given, they can be brought to order by the inspection. In the context of naming, Mrs Bikker asked about the CROHO. Of course, the CROHO includes any accredited training with relevant information. It is important for students, employers and others that this information is clearly visible. I acknowledge that improvement is possible there, even when it comes to study choice123.nl. That discussion has been included and is well accessible, but I agree with Mrs Bikker that the public friendliness of the Croho can be improved. So I take this to heart. However, I would point out that this will require time and commitment from the Education Implementation Service. However, I would like to take Mrs Bikker's request to heart to see how we can improve public friendliness. However, I must warn you that all kinds of system adjustments may take some time.
ParlaMint-NL_2017-02-21-eerstekamer-6.u286	I am a patient person, but I do like to know at what point, after all that patience, the Minister thinks he has it nicely in the air.
ParlaMint-NL_2017-02-21-eerstekamer-6.u287	Perhaps Mrs Bikker will allow me to answer this question at the end of the first answer. I'm just looking at my officials who can answer this better than I can right now. Then you would have an unsubstantiated answer. As far as naming is concerned, no further questions have been asked. I'm here to talk about graduation. Mrs Martens asked how I see the risk of inflation of titles if there is no effective brake on carrying out an incomparable foreign degree in terms of level, for example PhD. The aim of this legislative proposal with regard to the granting of degrees is mainly to prevent deception. That is why I demand that an institution state the degree to which training is linked and the accreditation scheme on which this degree is based. This concerns the NVAO or a foreign scheme. I also deal with the draft law that criminalising the performance of a title without being entitled to do so. In my view, this is a better way of guaranteeing the acquisition and performance of titles than is currently the case. That is also very important to tackle diploma-mills, institutions that say: come here, you don't have to do much but you will get a diploma. However, it is an illusion to expect that there will never be any messing-up after all. I'm just saying a bit of domesticity with incomparable foreign degrees. For this we have the EP-Nuffic institution, which, as people, has obtained a degree abroad, looking at how it relates to the Dutch degrees. This is a very topical issue, with migrants, but also with asylum seekers. So I think we've secured it well. When I go to international conferences where I sometimes am and compare how we and other countries do it, we do it not bad at all. But, of course, we must always stay very focused on it.
ParlaMint-NL_2017-02-21-eerstekamer-6.u288	It seems very difficult. Our degrees are protected, and this bill will strengthen that. That's very good. This bill also regulates that if foreign universities in the Netherlands offer courses with foreign degrees, the naming of those foreign degrees applies. There's a logic to that, too. At the same time, it may be that a doctorate in Uganda has a very different value than a doctorate here. The question was whether you should almost say: I'm a doctor in Uganda, or Kampala. I can imagine it's hard to legally regulate that, but that was actually the concern. Of course, you can never prevent mess, but is there another line in what you hope people will do?
ParlaMint-NL_2017-02-21-eerstekamer-6.u289	We have, of course, started the Bologna agreements internationally in order to equalize the Bachelor Master. It took a lot of work in the Netherlands to convert the PhD title, which I myself had, into a bachelor master. And that still doesn't make us quite there. I'm talking to the House of Representatives about the position of masters. We actually want a real choice between master's programmes. That means you don't have to have a self-evident flow master, so if you've had a particular bachelor, you don't always pass to the same master. Well, that leads to new problems, for example in case we're dealing with selection. So there are all problems that arise. We need to see how we come about there by means of legislation or mutual agreements. For the specific problem of comparability of diplomas, I refer to EP-Nuffic. I also say that, for example, university diplomas obtained by people in other countries appear to be equivalent in our country to MBO-4. That also says something about our MBO. In any case, it must always be assessed at individual level, because that is not about countries but about institutions, and sometimes also about training. Mrs Nooren asked about the lecturer: is it known to me that universities and colleges of applied sciences need to clarify the English translations? She also asked whether I would like to ensure that that name is used properly. The bill contains no rules on the use of the translations of lecturer, no more than there are rules on the title of professor. It is reasonable for a professor and a lecturer to present himself abroad in such a way that the distinction in orientation between the two professions/officers is clear. This is in line with the binary system, the distinction between university and college, and its English translation. In English, however, a clear distinction is not always made between the professor and the lecturer. However, a distinction is made between, for example, a full professor and an associate professor. The latter assumes that someone is related to a regular professor. That does not rule out the fact that universities and colleges of applied sciences come to a different agreement, and I have put this down with them, which does justice to the distinction in orientation. The initiative lies with the institutions. I don't prescribe the settings. By the way, I also say to Mrs Nooren that the bill does not seek to ban the name 'lector' in the liturgy or in the gospel or as a name for the author of manuscripts at a publishing house. That, too, is an historically growing practice.
ParlaMint-NL_2017-02-21-eerstekamer-6.u290	The latter I hear with perhaps visible relief. But let's get to the first thing. I'd like to get this straight. I don't know the origin of the lecturer. In my opinion, "professor" is not a protected title in the Netherlands. In principle, therefore, anyone could feed them. Magicians like to do that at times. I'm just saying, it happens. "High teacher" is probably protected. Abroad, the title "associated professor" is usually used in a university environment, a kind of "pre-tenure track" designation which, if it is up to the person concerned, is converted into a regular professorship as soon as possible. So that parallel doesn't quite go on. I do therefore foresee potential problems in some of our lecturers who wish to present themselves internationally. Earlier I asked how a study in a year or three worked in practice. I would like to assume that the Minister will take this aspect with him.
ParlaMint-NL_2017-02-21-eerstekamer-6.u291	I think that's a good suggestion. In general, it has to do with the binary system that works well with us, which I am also really proud of, which I wouldn't want to get rid of, precisely because I think they both have to be judged on their own merits and have something to offer from their own position. It must, of course, be recognizable for the rest of the world. I therefore undertake to include this part in the evaluation already promised in the naming. Finally, Mrs Bikker's question on the complete cycle requirement: is it really necessary? I have also discussed this extensively in the House of Representatives. Among other things, we have been asked: does this not hinder the openness of our system? On the one hand, you want new institutions to be able to join, on the other hand, we have a balanced coherence of institutions in higher education in the Netherlands. If you completely open that up, it could threaten the existing institutions and, above all, the quality of the institutions. That's what this is all about. I think it is very important that the quality of institutions in higher education, old or new, should prevail. I also believe that the training of such an organisation must have proven itself in all aspects of quality assurance before I give the authority to grant legal degrees. With that authority, such an organisation becomes a non-costed higher education institution and is therefore part of our order.
ParlaMint-NL_2017-02-21-eerstekamer-6.u292	I understand the Minister's saying, "I stand for quality." At the same time, the people I spoke to could not remember any examples of cases where it had gone wrong in the period before 2002/2003, when this was not yet the case. The Minister is looking for security, but this clearly restricts access to the order. You've got to be a little capital-powered to keep it up. We are not going to get out of that tonight, and it is not the main theme of the discussion, but I would ask the Minister to look at access to the order in the evaluation. Who else is joining? Are these only the existing institutions with new training, are it only the capitalists or is it still possible for new institutions to join? It may happen that in those five years no one has a plan, but we'll see about that. We then keep in touch with each other with the question of whether our system remains open to new initiatives. My concern is that we really shut it down right now.
ParlaMint-NL_2017-02-21-eerstekamer-6.u293	I'd be happy to look into that. Moreover, I do not think that openness is an end in itself. I think that a widely accessible system, which takes account of important principles such as freedom of education, is very important. The system should remain open to this, but not unlimited. The accession of many institutions can be at the expense of quality. I would add that once an institution is in the system, it is very difficult to tackle and remove it. I have an example of a situation where I have unfortunately lost a lot of time in recent years: the EuroPort Business School. He had training of very poor quality. It took three years for accreditation to be withdrawn, while there were many reasons, based on quality, to do so. It was an institution that asked for a lot of resources from students. We were just talking about institutions that do not pay attention to social responsibility. I was horrified by this; I have had my eyes closed since I, as a minister, was unable to put an end to an institution that was short-sighted of all standards of quality. That is why I think this is very important. Prevention is better than having to deal with it afterwards.
ParlaMint-NL_2017-02-21-eerstekamer-6.u294	But prevention must not lead to the creation of a new institution. I think it is part of the freedom of education that new institutions have the opportunity to join. This does not alter the fact that existing institutions may also fail. Inholland is also an example that we can mention. Let us not pretend that it is just newcomers and let us ensure that the innovation, which has brought our education system to a fantastic level, does not shatter. I'm glad the Minister's agreed to take a look at that. She says: openness is not an end in itself. I say, however, that it is a prerequisite for the freedom of education to be freer.
ParlaMint-NL_2017-02-21-eerstekamer-6.u295	Yes, but then I say again: there is more than just freedom of education. Innovation, adapting to time, is not only about freedom of education in the sense of philosophy, but also about adaptation to new technological developments and wishes of students and employers. I dare say that there is no country in the world that has such a high level of density in higher education institutions. I am not afraid that we need this openness to maintain the quality of our higher education, because that is really something to write home about. This brings me to the end of my reply.
ParlaMint-NL_2017-02-21-eerstekamer-6.u296	Thank you. We have arrived at the second term of office.
ParlaMint-NL_2017-02-21-eerstekamer-6.u297	Mr. Chairman. I thank the Minister for the answers and the compact addressing of the main concern. There's been a lot of discussion. We are broadly satisfied with the Minister's answers to all our individual questions. In this second term, I would like to confine myself to what the Minister called the pièce de résistance, namely the concern in the Chamber that a minister might be able to judge fairly subjectively what discrimination is and how much it weighs in relation to other fundamental rights. We have noted with great appreciation the Minister's response to our concerns. It has made a very creative proposal which our group can understand. If I understand correctly, she will first consult an independent expert advisory committee on step one and two. That committee will issue a major opinion, the Minister will only be able to distance himself from it on a reasoned basis. It is a standing committee with three members: an expert in the field of equal treatment, one in the field of education law and one with experience as a judge. It wants to link the existence of the committee to a legislative proposal and thus give the committee a legal hook, a legal anchor. That is what she wants to work out in a ministerial arrangement. This legal anchoring then comes through a letter of amendment, as we understand, to a law which will soon or already be discussed in the House of Representatives, so that it can be implemented quickly. The Minister is prepared to confirm all this in the precise wordings in a letter to the Supreme Court. If the ministerial arrangement becomes final, it will be submitted to the Chambers. If I confine myself to this subject, which was the most serious issue, and if I have understood correctly, perhaps the Minister would like to reconfirm this later, I am prepared to present it with a positive opinion to our group.
ParlaMint-NL_2017-02-21-eerstekamer-6.u298	Mr. Chairman. I too would like to thank the Minister for his comprehensive reply. My group very much appreciates the commitment to look at the wider context and to discuss it with the cabinet. Perhaps the Minister could also take into account how this is regulated by other laws. I said something about it in a previous interruption. If we look more broadly at how discrimination is dealt with, it might also be possible to see if there are places where repair is still to be done, along the lines that we will eventually reach each other today. That's more of a question. The Standing Committee can certainly count on my group's support. My group was reluctant. We have confidence in the parliamentary system in itself. We have confidence in the checks-and-balances that are in there. We are not in favour of adding extra layers to it. So we hope that the Minister will keep that committee as small as possible. Three's already up to speed. I was curious to see exactly how the committee is put together, whether it is rotating and whether there is a maximum term of office. Maybe it's too early to say anything about it right now, but it's important to know. We have asked what legal title the committee will operate under. I understand the Minister's going to link the committee to another legislative amendment. We look forward to that and hope that it will be properly arranged. What is important is how the powers are regulated there. It is probably up to a next minister to decide to what extent that opinion is binding. It is not quite clear to my group whether the Minister means that the amendment of Article 1.3, paragraph 5, will be postponed. Since you can only postpone the whole of the article, the objection is that as long as that amendment is postponed, the extension to the unpaid part of the system will also be postponed. You can not only postpone the insertion of that second line, but not the change in the first line. These two different aspects play a role in this. Maybe the Minister can say something about it. My group hopes that the postponement will be superfluous. In any case, it will support it if the Minister does not postpone it. If that delay is a condition for the Minister, then we can go along with it, but it is not our preference. I would have liked to have discussed with the Minister the sustainability of legislation and the system in the context of digitisation of higher education. For the sake of time I have timed that; I hope that is a disappointment for some here. But I admit that I will return to that question when we discuss the draft law on internationalisation that we are about to discuss. The importance the Minister attaches to the binary system is also attached to the titles. A professor is ultimately someone who has had a promising career. The difference between a lecturer and a professor is, of course, that in the end a professor is someone who, unlike a lecturer, when he sees a solution somewhere still wonders: yes, that works in practice, but does it work in theory? We look forward to the Minister's second term.
ParlaMint-NL_2017-02-21-eerstekamer-6.u299	Mr. Chairman. I would like to endorse the words of previous speakers in the direction of the Minister for the way in which she has wanted to translate our concern into a constructive and creative proposal. I am very pleased to recall this debate. I have found it a privilege to participate as a member of this Chamber. We've done a job here with each other for which we're kind of meant, at least in my opinion. It is all the more striking to me that the House of Representatives has hardly paid any attention to this one aspect, which has swallowed up our full time, while, on closer inspection, we found a fairly fundamental issue hidden beneath the names and degrees. In my opinion, we have given this a very appropriate follow-up with indulgence and creativity that can only be appreciated. As far as I am concerned, that is a very nice conclusion to this evening and a conclusion to the debate. I look forward to the sequel. I believe that we have succeeded in helping the procedure, which is so fundamental and which has suffered from the tension between tempo and due diligence, to a better follow-up. I hope that will lead to the result that the Minister wishes. I would like to remind the Minister of her commitment to broadening this debate towards the rest of the public sector and, in particular, the rest of education. As serious and worrying as we think that a discriminatory educational institution has become a fact of life in higher education, we would be so concerned if it were to expand further, and perhaps even more concerned if it were to become a reality here and there in primary and secondary education. I would ask her, of course, first of all, through the inspection, to keep a close eye on whether this is happening and, if so, where. Secondly, I would ask her to anticipate this by considering how the procedure we have developed with each other could be transformed into a similar procedure in that part of education where children and young people could suffer much more damage than at a somewhat later age. So that's important. In fact, this has also provided the basis for a method that can also be relevant for other public institutions, for example hospitals, at some point, however much we may regret it. It would be a good idea not to be surprised and to take up the time we have now to think about how to deal with it and how to prepare for it. I hope the Minister will take part in this. I also look forward to that debate in advance.
ParlaMint-NL_2017-02-21-eerstekamer-6.u300	Mr. Chairman. My group thanks the Minister for her clear, comprehensive and very motivated answers. In my group's view, it has sufficiently argued that it wants to fulfil its system responsibilities and that, in terms of promoting the sense of social responsibility of all higher education institutions, it does not have enough on the way through criminal law, so that it needs more. She has convinced me and my group that the path we have taken to the College of Human Rights is not a desirable and feasible option. This concludes that setting up an independent Standing Committee is the best solution to make a good judgement on procedural and substantive matters and to give a serious and binding opinion to the Minister. Like Mrs Martens, my group would appreciate the Minister's commitment to the design, composition and working methods of the committee and, as Mr Bruijn said, to confirm its legal anchoring in a letter to the Chamber for the vote that we have, if it is right, on 7 March. My group's question was as to whether or not Article 15 (3) should enter into force in line with the question put by Mr Bruijn. Does it enter into force or does it not enter into force? It seems to me that the entry into force of the article in part would be strange, because then I think you fall back on the current article. I would like to hear the Minister's views on this or her proposal in this regard. I also ask her to submit the draft ministerial regulation here if there is one. I would also like to thank the Minister for explaining the position of lecturers and her commitment in response to a question from Mr Rinnooy Kan to place in the evaluation the position of the lecturers alongside the rest of the use of names and degrees in education. Like Mr Bruijn and Mr Rinnooy Kan, I welcome the fact that the Minister has promised that it will be looked at more widely in education and even in all institutions that carry out a private or wider public task, with social responsibility and whether or not to deal with discriminatory expressions in relation to other fundamental rights. My group welcomes the suggestion made by the Minister that the WRR should play a role in this. I will give my group a positive opinion on the legislative proposal. We are convinced that it contributes to the quality of the already good binary higher education in our country.
ParlaMint-NL_2017-02-21-eerstekamer-6.u301	Mr. Chairman. I thank the Minister for her reply. I think that in the first period I have explained quite clearly why my group is concerned about the new space that the Minister is getting. The Minister himself decides whether there is discrimination and then follows an administrative route. I have seen the Minister do a gesture which, in my view, is the most appropriate means of checking whether there is discrimination, namely the appointment of a committee of advice. My group does have difficulty with the role of the Minister. After all, it will be the same minister who has the responsibility for the appointment of such a committee, so that is something that continues to wring. If I understood her correctly, what she just said comes in a letter with a legal hook. It is one of the options she mentioned, but she can at least present it with a legal hook. I would encourage that. Moreover, if I understand correctly, the Minister can only deviate from the advice given by the committee concerned. Well, that seems to me in the choice we have tonight the best possible improvement of the proposal. Then, of course, the consideration is what you do with the proposal as a whole. We'll keep it in the air for a while. We have also talked about the problem in broad terms, which Mr Rinnooy Kan also spoke about: if we ban it now, it may be diving underground and hatred still spreads. I don't mind talking about real problems with the spread of hate, but I want to be careful to put elementary schools or whatever else in a suspect's corner where that's not necessary. Let's talk about the real problems. I think we can all point out some of the broines. I would also like to encourage the Minister to do so, and not to do all kinds of extensive fine exercises. Focus on where the problems really are, I'd like to say. I would like to thank the Minister for the commitment to the CROHO I would advise anyone who is only now engaged to look back on the debate, because then they will all discover what it means to improve. I'll hear from her when she's gonna do that. I really disagree with the Minister about the complete cycle. I think we're getting a status quo with the current design of the bill and that it's going to hinder renewal, except for commercial institutions. I urge her to keep a finger on the wrist in that area. Having said that, I await the Minister's response to exactly what she is going to put in that letter. I can say that I will advise my group more constructively on this legislative proposal than it had initially suspected.
ParlaMint-NL_2017-02-21-eerstekamer-6.u302	Then this debate has been useful for something, hasn't it? Then I give the floor to Mrs Gerkens.
ParlaMint-NL_2017-02-21-eerstekamer-6.u303	Mr. Chairman. This debate has certainly been useful for something. I can actually fully agree with what Mr Rinnooy Kan said. I am also pleased to have prepared this debate and see exactly what the Upper House is now for. It is a legislative proposal on which we all agreed in general, but we also agreed that there should be a little more guarantee. I thank the Minister for her generous commitment on this point. I think she's really been looking for a way to fix this with us. I also look forward to her putting this in writing for us, so that we can read it properly again. I believe that my group will be positive and will support the proposals that lie ahead.
ParlaMint-NL_2017-02-21-eerstekamer-6.u304	Mr. Chairman. I too would like to thank the Minister for the careful way in which we have responded to all our concerns on this day. I'd better get right on to today's concern. This is particularly important when I look back at the documents, because of the Minister's desire to keep pace. I still have reservations about this, because the withdrawal of recognition will always be a longer period than we might wish. That's just because the Minister has indicated that she doesn't want to get rid of students. This means that it could take a number of years before recognition is actually gone. The Minister has made it very clear that an advisory committee should be set up. The conditions have already been repeated by several of my colleagues. If that committee has done its job and the Minister comes to withdraw recognition, I honestly expect that almost always objections and appeals will be made. The Minister has already indicated that she will put this in a letter. I think it is important that this letter is available in good time before we vote. Perhaps the Minister could agree that the letter also sets out the main lines of action she sees, but also the routes to be provided if there is an objection or appeal. I'm asking for a timetable. To sum up, I am very curious about that letter, which my group will study very carefully in order to arrive at a balanced judgment. I was present at the commemoration at the VU of 100 years article 23. There I have heard the Minister in full in favour of Article 23, for now and for the future. I was pleased that she confirmed this today, pointing out that she does not see a ranking of fundamental rights.
ParlaMint-NL_2017-02-21-eerstekamer-6.u305	The Minister is able and willing to answer directly.
ParlaMint-NL_2017-02-21-eerstekamer-6.u306	Mr. Chairman. Mrs Martens, Mrs Gerkens and Mrs Nooren asked questions about the independent committee. I would be happy to send a letter to the Chamber about what that committee is going to look like. Of course, I do that before the votes. Furthermore, I am willing to send the ministerial arrangement to both chambers, but I am still struggling with the following. At the end of my first term, I said that I would be prepared to put this into a ministerial arrangement. Furthermore, if that helps to create broad support here, I am also prepared to legally ensure this by means of a letter of amendment. But I do not do that because I want to do so very much, because I do so because I hope that it will give me a broad support here. I have heard the Christian Union groups and the SGP say: we will then take stock of the situation. Look, if it doesn't help, I won't, because I'm not waiting for it personally. I actually want to make progress as soon as possible. But at the same time, I realize that this is a discussion that affects the heart of this Chamber, to which I wish to do justice. I am prepared to take steps to this end. It would be blackmail if I asked those Members to agree, but I would have liked to have said so. I'm gonna put that in a letter. It is quite uncertain: there will be elections in the Lower House, so there will be a new Lower House of which I do not know what she will do with my legislative proposals. I hope that this new House of Representatives is going to deal with them, and I think that the associate degree is not at all so conflicting and that everyone wants it to be. But I hope that the Chamber will take that into account in its final judgment.
ParlaMint-NL_2017-02-21-eerstekamer-6.u307	It is not for nothing that I have said quite diplomatically that I thought it was an extreme gesture of the Minister to make that hook. I would like to point out that I appreciate her efforts. My comments on the constructive attitude of my group can therefore be seen by the Minister in that light. It is true that this leaves something hanging over the market, because I indicated very firmly in the first term, after consultation with my group, which are our objections. But I see this step and I find it meaningful.
ParlaMint-NL_2017-02-21-eerstekamer-6.u308	In conclusion, perhaps it would be helpful if the Minister-in-Office of the Council were to discuss that part of the law relating to this would not enter into force just outside the scope of the meeting, rather than after the new amendment had been adopted. I forgot to mention that in my second term. Mr Ganzevoort asked very strongly about this, but he did not feel very well, so he left. On his behalf, I am free to ask if the Minister will agree to do the same.
ParlaMint-NL_2017-02-21-eerstekamer-6.u309	I am prepared to accept that in the letter. But I just want to say here I'm not gonna turn my heart into a killer's pit that I do. Mrs Bikker has replied clearly, for which I am very grateful. I'm not gonna ask her if she's gonna vote for it or not. But if I take that in the letter, I will do it because I attach myself to a broad consensus, including in this Chamber. Not because I think that is the best solution, but because I would like to make progress and because the law is well organized. In the meantime, I'm dealing with a Lower House asking for very different things from me. I just want to share that with this room. As far as I am concerned, that is enough, but I would have liked to have said so.
ParlaMint-NL_2017-02-21-eerstekamer-6.u310	I appreciate what the minister says, as well as her outstretched hand. Until this week we see very offensive two of the cases with which it all started. Those are really shocking things, and that is what this is all about. I imagine the Minister is considering that legal hook. But I strongly urge that we do not postpone that article. Because if we do put that legal hook, it still has to be done by the House of Representatives, and then you never know what will happen, because there is also very thorough and good work done there. Then it is still not possible to intervene where we all believe that intervention is needed. Moreover, I see no reason to postpone that article of the law if we have such a firm commitment from the Minister on that committee and that test. I also interpret it as saying that, if the Minister were to intervene in the present case, she would deploy such a committee, even if that legal hook had not yet been realized. Perhaps the Minister could agree to include such a committee in this case, possibly pending legislation. On behalf of my group, I am in favour of not postponing that article, not even because it is unnecessary. It is also very counterproductive.
ParlaMint-NL_2017-02-21-eerstekamer-6.u311	Mr Schalk was already waiting, but he first gave Mrs Martens the opportunity to interrupt.
ParlaMint-NL_2017-02-21-eerstekamer-6.u312	Our group has a problem if the article is not put into effect. I think I have understood that from other groups as well. In any case, it is already delayed: you cannot start tomorrow, but you can start quickly, if it can be followed by a law that is already in place and which is not expected to be controversial. That's the maximum. The Minister knows that my group had a lot of problems and had a different route ahead of it. We already put a lot of water on the wine. Then I'm assuming this stays postponed.
ParlaMint-NL_2017-02-21-eerstekamer-6.u313	The Minister made an urgent appeal to be as clear as possible. In my second term, I deliberately asked in the letter to show as clearly as possible which routes the Minister sees. I have said that I will then consider carefully what our final conclusion will be. Of course, the minister said she doesn't want to blackmail us, and I won't let him blackmail me. We simply need to look closely at the content of the letter; I will do so carefully and constructively.
ParlaMint-NL_2017-02-21-eerstekamer-6.u314	I have taken very good note of what has just been said. I take this into account in my considerations when writing the letter, which the Chamber will receive for the votes. I say to the Court that I also take into account what the appeal and appeal procedures may entail. If we go through the procedure in such a way that the hook and the letter of amendment will be changed to another law, as I say to Mr Bruijn, then it is ultimately up to both the Second and the First Chamber to ensure that it is dealt with as a matter of urgency. If we all think it's important, we have to make it happen in time. Mr Bruijn asked about the wider context. I have already said a few things about this. In primary and secondary education, the inspection already has more scope for monitoring. If schools fail to implement this, action can be taken. In other sectors, this is done in a different way, appropriate to age and so on. I have promised to talk to colleagues about the public sector. I also agree that the Chamber will be informed on behalf of the cabinet about the results of this deliberation. I very much look forward to what Mr Bruijn would like to say about digitisation in internationalisation. I will debate this tomorrow with the House of Representatives. I am very curious to see what will be brought into this Chamber in due course. That is a dynamic and exciting whole. Mr Rinnooy asked whether it would be extended to other sectors. I have already promised that the Chamber will be informed of this. That is in line with what I just said to Mr Bruijn. It is not just education, but it is being extended. That's what the Chamber's gonna hear about. Mr Rinnooy Kan also asked about the letter. I've just said a few things about that. Mrs Nooren asked for that too. I think I've indicated enough of what's in the letter. Mrs Bikker asked about the legal hook. We've already talked about that. It also asked about the reasoned deviation, the open cycle and the commitment to adapt the CROHO scheme. It is foreseen that the education registers will be built in 2018 and will be realised in 2019. It's being picked up step by step. We are starting with the MBO, but there are already discussions with schools on how to register exactly. Important changes are already being made. I consider the call for this to be an important point of attention from the very beginning, so that the Croho data can be easily accessed. Mrs Bikker also asked whether access to the order could be included in the evaluation. This is a repair of the law. The complete cycle requirement has been valid for years and years. I have just indicated that, in my view, our high-quality system is sufficiently capable of adapting to dynamic developments in the outside world. Nor does it raise too high a threshold, since institutions have joined the system over the past five to ten years. In this sense, I do not see any reason to carry out a major evaluation.
ParlaMint-NL_2017-02-21-eerstekamer-6.u315	It doesn't have to be a big evaluation. It can simply be determined whether the current threshold ensures that no or only capital-intensive parties join now. I do not think that is a comprehensive question. I'm not asking for a complete WRR study. I'm just asking you to keep the finger on the wrist so that our order doesn't get completely tight. That's all.
ParlaMint-NL_2017-02-21-eerstekamer-6.u316	I say to Mrs Bikker that I will look at who has recently joined and what kind of institutions they are. We can always look into whether this gives rise to further reflections. Then it becomes a factual representation. Mrs Gerkens made a comment on the letter. I think I have said enough about this. The same applies to Mr Schalk. That's what I've had all the questions about.
ParlaMint-NL_2017-02-21-eerstekamer-6.u317	I'm here to deal with the bill. We'll have recess next week, and there won't be any meetings. If this law is to be voted on, I suspect that a vote will be requested on 7 March. Minister, I've heard you say you're coming with a letter. It is important for the various parties that the letter is there before the vote is taken. It would be best if the letter could be sent by Thursday or Friday prior to the vote, i.e. on 2 or 3 March.
ParlaMint-NL_2017-02-21-eerstekamer-6.u318	I acknowledge that the Chamber will receive this letter by 3 March.
ParlaMint-NL_2017-02-21-eerstekamer-6.u319	Thank you. Does one of the Members wish to vote on the bill? That's the case. I propose that we vote on the bill on Tuesday 7 March.
ParlaMint-NL_2017-02-21-eerstekamer-6.u320	We will receive a letter from the Minister by Friday 3 March at the latest.
