ParlaMint-NL_2017-07-05-tweedekamer-5.u1	I give the floor to the Minister of Finance.
ParlaMint-NL_2017-07-05-tweedekamer-5.u227	I can suggest that, when that brief letter from the Minister of V and J is in, so that you can see exactly what the means have now been used for, you decide not to submit the amendment with this coverage or to indicate specifically in the explanatory statement of the amendment where you choose an alternative use. Suppose a piece of the money was spent on the police by the minister of V and J, but you think mediation is more important, you indicate that that part of the police should be used differently. I see Mr Nijboer enthusiastically shaking no. It was just a suggestion. You will receive further information on what these funds have been used for. I come to Mr Omtzigt's question about a court ruling which also deals with fines. I cannot give an adequate answer to that at the moment. I do not like to do that and I prefer to do it in writing, because then I am sure that we will give a good answer to Mr Omtzigt. I'll give you a letter from the Secretary of State for Finance. Then I'll get to the motions. The first motion by Mr Omtzigt, in part No. 4 deals with the powers of the General Court of Auditors with regard to police expenditure. I'll leave the verdict on this motion to the Chamber. In all cases, I am prepared to consult with the General Court on the operative part of this motion, because I believe that the General Court should have this power. If there's a limitation in that, we really need to look at it. That is my view. Judge Room, then. Mr Nijboer's motion and Mr Snels' motion for a resolution 5 is about a balanced income development. A balanced income development is the starting point of the cabinet. That is what we will do. The addition is very specific. That would be an effort obligation. I hope that we will succeed. Balanced income distribution is the start and end of our purchasing power discussions. I'll leave the verdict on the motion to the Chamber. Then the motion to part No. 6 by Mr Nijboer and Mr Snels on the 10 million. It's a call to Prince's Day. I have to be strict; that's my role. Motions must also be covered. This motion calls for money to be released for something, but motions are not free. I advise the motion because I don't see a hand-off on how we could find cover. The same applies to the motion in part No. 7 on educational backwardness policy. They're topics that are sympathetic to me. By the way, the motion is not entirely correct. The problem would be that the new system would be postponed. That's not the acute problem. The new system would in any case be a solution for a number of municipalities. The problem is that the budget has been brought in line with the number of low-skilled parents. And that's a lot lower than a few years ago. And so the budget has been adjusted downwards. That's where the big cut, if you like, is on the education deficit budget. This also applies to the fact that I do not have any coverage, and this is currently problematic in the Education budget.
ParlaMint-NL_2017-07-05-tweedekamer-5.u228	In itself, I agree that motions should always be covered. These are two themes, the backwardness policy and the culture, for which the House has always stated its support for amendments in recent times. It is true that the budgetary framework for this cabinet period has expired. It shall be re-established for 2018. What we are hopefully doing with broad support from the Chamber is saying to the Cabinet: these are the priorities that need to be taken into account in the new budgetary framework. Then there's really more room. It's getting better economically. Either way, there is more room in the budget, or there is more room for burden relief, or there is more room for expenditure. I think it'll fit in. If it does not work, then we are obliged to make amendments covered by the budget. We will certainly do that.
ParlaMint-NL_2017-07-05-tweedekamer-5.u229	That certainly happened before with the 10 million for culture. So that's conceivable. Of course we understand these signals from the Chamber, but once again, motions that are not covered will have to be discouraged. The same applies to the motion in part No. 8 by Mr Leijten and Mr Jasper van Dijk. This too, the guidance of pupils coming from secondary special education, practical education, seems to me to be a point which deserves absolute attention. It is about extra money without indicating where it is to be paid out. I'm dissuading the motion. I come to Mr Van Rooijen's motion on item No. 9 on the problem of the implementation of assistance by the municipalities. There would be a setback in relation to the previously available budgets. We are working with a macro estimate which is adjusted during the year, but in the end it is for better and for worse. In some years the municipalities are short, in others they have money left. That is not what we are here to pick up. I've talked to aldermen about it and they're divided about it. Now that there is a shortage, some say: this is a very bad system. Others remember that there was regular money left over in recent years and that they were allowed to keep it at that time. It's for better and for worse. You shouldn't throw that system overboard too quickly. Sometimes it's bothering you, sometimes it's an advantage. I'd like to discourage the motion.
ParlaMint-NL_2017-07-05-tweedekamer-5.u230	A motion was adopted on 14 June this year by the Assembly of Members of the Association of Dutch Municipalities, in which, despite the various points of view, all of them were asked to deal with the 270 million deficit. Only 90% of the macro budget is covered. Will the Minister take this signal to the next cabinet meeting? This is a big problem, because the municipalities that lack money are going to tell about all kinds of important things I have just mentioned. We shouldn't want that with each other. There are plus-municipalities, but there are also heavy-min-municipalities, and the aldermen have written us many letters. Fortunately, the Minister is also aware of this.
ParlaMint-NL_2017-07-05-tweedekamer-5.u231	I am also aware of this, as well as of the fact that there are differences of opinion. I'm not gonna change the system right now. We really need to be careful that, now that things are bad, we suddenly don't want that system anymore. In good years, no one has complained about it. So I'm in favour of us holding this. I can imagine that a new cabinet will discuss some of these issues with the municipalities: do we want to maintain this system? But then you have to hold on to that system again, and not ad hoc, if it's a problem, say: now I want a different system. That's my objection. I reached an agreement with the municipalities at the start of my period as Minister of Finance on a number of issues at once. That was for four years. That was about the Wet Hof, the VAT Compensation Fund and so on. There was one package and an agreement was reached on it. Then we don't deal with each other all the time, but that's how we do it. The same goes for this. A new cabinet may say that it will do this differently if the municipalities so wish, but that is consistently different.
ParlaMint-NL_2017-07-05-tweedekamer-5.u232	But I understand that you will take the message and, if you are involved, might consider a new agreement for the coming years.
ParlaMint-NL_2017-07-05-tweedekamer-5.u233	This question has several hypothetical investors, namely that I am involved, that I would then consider it et cetera. This cabinet is not going to revise that appointment. I can imagine that the next cabinet wants to weigh that again, but you are now asking the present cabinet. I'm not gonna go over upcoming Cabinets. The current cabinet will not change the system. I therefore advise against this motion.
ParlaMint-NL_2017-07-05-tweedekamer-5.u234	Please continue.
ParlaMint-NL_2017-07-05-tweedekamer-5.u235	In the motion in part No. Mr Azarkan's 10th question is a raise in wages. Sure, I called for that, but I'm not going to force it. I think this is up to the social partners, taking into account the differences between sectors. The motion has therefore been carried out, namely with my appeal, and I will continue to make that appeal because I think it is an important point. I can't carry out the motion further, so I have to discourage her. The motion in part No. Mr Azarkan's 11th report deals with the development of purchasing power. It is requested to convert estimated loss and forecast standstill into growth. I think I need to be consistent. On the motion by the Labour Party and the Green Left, I said that we are striving for a balanced purchasing power development; I also left the judgement to the Chamber. That should therefore apply to this motion. The cabinet approach is a balanced purchasing power development. We'll see about that in August. I shall therefore also leave this motion to the House. In the motion in part No. 12 calls for an analysis of purchasing power estimates in the spring notes. I'm not gonna do that. I would advise my successor not to. The CPB does indeed present a purchasing power image, so that people know how things are in reality. But as soon as the cabinet devotes its analysis, Mr Azarkan will also say: and what are you going to do about it? We do not want to have to adjust taxes, premiums, supplements and so on to all kinds of budgetary moments throughout the year. I'm deceiving the motion in part No. That's 12.
ParlaMint-NL_2017-07-05-tweedekamer-5.u236	The Minister's answer wasn't about your motion, was it, Mrs Leijten?
ParlaMint-NL_2017-07-05-tweedekamer-5.u237	No, it wasn't mine. But I would like to make the following point. When you submit an amendment with coverage for cultural institutions, it is not possible, because the coverage is not shared. If there is a motion with the same meaning and the call 'then arrange it at the time the government says it would be timely', it cannot be, because there is no cover. In this way we are going round and round and it is just very clear that if the Chamber wants something but the government does not yet want it, there are always arguments to be found in whether the cover or the missing cover to discourage it.
ParlaMint-NL_2017-07-05-tweedekamer-5.u238	I really disagree with Mrs Leijten. Eventually, the Chamber decides. It belongs to the craftsmanship of parliamentary membership to ensure that a proposal, an amendment, is supported by a majority. I'm sure Mrs Leijten will be able to do that.
ParlaMint-NL_2017-07-05-tweedekamer-5.u239	Thank you. This brings us to the end of this debate.
ParlaMint-NL_2017-07-05-tweedekamer-5.u240	The motions and amendments tabled will be put to the vote tomorrow. I thank the Minister and the MPs.
