ParlaMint-NL_2017-11-01-tweedekamer-3.u1	The Chamber is now speaking, starting with Mr Wilders on behalf of the PVV.
ParlaMint-NL_2017-11-01-tweedekamer-3.u217	I am starting to get nervous because I am being accused of arrogance by Mr Baudet. Well, then I've got it all figured out. I therefore think it would be wise to explain. I'm not saying people can't make a choice. They're very good at it. That is why we have a democracy, and that is why people are voting for parties that have a solid package and a world view that can weigh interests. That's why I hear a lot about it: "Oh, go do your job and don't bother us with it." I say that the decision-making model of one element every time without context is not a healthy way to govern the country. I find that personal and that is what a lot of Dutch people think with me. Mr Baudet feels differently, and that is fine. As far as the numbers of refugees are concerned, I have the feeling that there is a bit much added together, because I was only there for two and a half years, but all right. I didn't want those large numbers of people coming in. We didn't start a war that turned them into refugees. I have devoted a great deal of time to properly accommodating people who came to the Netherlands and spending even more time working with others in Europe to ensure that we have control over borders. I have spent time making agreements with Turkey, which means that hundreds of thousands of people came to Europe less and did not come to the Netherlands either. I have made agreements with the Balkan countries so that there was no free passage to Western Europe, and to ensure that this influx came down. I've spent more time on that. I am pleased that I have been able to contribute to the fact that the influx is now much lower.
ParlaMint-NL_2017-11-01-tweedekamer-3.u218	The key word in Mr Dijkhoff's answer is 'trying': I tried to do so and I tried to do so. I'm interested in the results. Those aren't right. Your party should have been dealt with and your policy could have been dealt with if we had a referendum and if the people had had a direct say in these matters.
ParlaMint-NL_2017-11-01-tweedekamer-3.u219	I will always try to make it better, even if I can only choose from solutions that also have disadvantages. I'll always try. Just as Mr Baudet will continue to try to do so at once, he has not succeeded in becoming the largest party and becoming the prime minister, I will continue to try to achieve my goals. To be honest, I would rather be blamed for trying something and not perfect than for never doing anything wrong because I was always on the sidelines screaming and never taking responsibility.
ParlaMint-NL_2017-11-01-tweedekamer-3.u220	Finally.
ParlaMint-NL_2017-11-01-tweedekamer-3.u221	We prefer people to rely on their results rather than their intentions and efforts.
ParlaMint-NL_2017-11-01-tweedekamer-3.u222	Mr Dijkhoff, congratulations. Mr President, I would like to ask a question about the outstretched hand. Mr Dijkhoff says here on behalf of the VVD: this is in fact just the beginning. People must start to feel it, and there must also be visible cooperation in Parliament. So you can deduce that the coalition agreement is not cast into concrete either. 'Cause if all we had to do was clap, I'm sure this wouldn't have been said. Then he said in Mr Roemer's question that the 500 million being cut off from the unemployed was not about money, not about austerity, but about another noble goal. That means the money here isn't dominant. So we don't have to worry about that. He was interested in employment. Now we come from the situation that the goals are actually being met, that the number of jobs is actually being created and that for the first time people understand that they were getting ordinary wages through the collective agreement, often minimum wage, but the wage we have appointed as a social minimum, that they were going to build up their pensions, that they were part of it. Now the VVD says here: I don't want that anymore, I just want employers to supplement it to a limited amount and then people get a level of assistance.
ParlaMint-NL_2017-11-01-tweedekamer-3.u223	And the question is?
ParlaMint-NL_2017-11-01-tweedekamer-3.u224	The question is this. Now that we know that he is not concerned with the money, that the coalition agreement has not been poured into concrete, could we talk about maintaining the employment objective for this group, to do it in a decent way, a way that corresponds to what has grown in this house and to which the VVD contributed in a, admitted, distant past?
ParlaMint-NL_2017-11-01-tweedekamer-3.u225	Yeah, you can always talk. So that would be the easiest answer. I only have an eye for those employers who say that the old regime was an obstacle to employing those people. I will not ask Mr Asscher to go along with that, but that is something we hear. Then I think: yes, this is also a way to make sure that it can do even more, including sheltered work, for which we also have eyes. That can't always happen in regular traffic. Anything to get these people to work even more.
ParlaMint-NL_2017-11-01-tweedekamer-3.u226	Those employers weren't asked to do it out of charity either, they got a wage bill that enabled them to hire people. In fact, that's what they're going to do, to a greater extent than the governments that should. In other words, something is growing. Instead of saying: yes employers, we make follow-up agreements, we're going to set the targets higher, you're actually taking it away from the people who just celebrated being part of it. That's very serious to me. There is always talk, Mr Dijkhoff says. Of course, that's a bit of a killer, because we're here to talk about it. The question is then very specific: I do not think it can be explained that, at a time of budgetary surplus, you are taking away 500 million, 500 million, the biggest cut that comes with it, from this vulnerable group that is finally part of it. Is there any way to talk about solving that?
ParlaMint-NL_2017-11-01-tweedekamer-3.u227	Again, we can talk about that, but I would point out that it is not as black and white as Mr Asscher says. I do not think that the new measure only has disadvantages. So I also want to keep an eye on those employers who feel it is a threshold. I would also like to talk about where to put the costs and whether this is, on balance, the most efficient way to involve people and to spend taxpayers' money from all the Dutch. These are aspects that our spokesmen must involve.
ParlaMint-NL_2017-11-01-tweedekamer-3.u228	Finally.
ParlaMint-NL_2017-11-01-tweedekamer-3.u229	Use of taxpayers' money is an argument that comes with it now. I think it's worth it that people deserve the social minimum. I hear that very clearly, and I am going to see if that is also apparent in the votes, should it come after so many parts of the day. 'Cause we're talking about it now, and then we can make choices. It's a little yes or no. If we were to be able to make a proposal that would maintain the same employment objective for this group, while maintaining the minimum social level and avoiding employers who could, for example, benefit from wage costs, that would be a conceivable alternative to the VVD as the owner of this coalition agreement. 'Cause I really think that's a move.
ParlaMint-NL_2017-11-01-tweedekamer-3.u230	In order to avoid disappointment in the future: I do not bring up the taxpayer's argument, you can assume that the sensible handling of taxpayers' money, including this tax money, is always an important argument for the VVD. That doesn't add up in one go. Then we can look at it. But yes, I did with that condition I just outlined.
ParlaMint-NL_2017-11-01-tweedekamer-3.u231	We all find the taxpayers, sure...
ParlaMint-NL_2017-11-01-tweedekamer-3.u232	That is the last point I should like to make on this point.
ParlaMint-NL_2017-11-01-tweedekamer-3.u233	Thank you, Mr. Chairman. Taxpayers in China, America and Russia will be relieved, we have seen that. We consider that to be the VVD point: 1.4 billion. Here 500 million is taken away from a group that's struggling, who doesn't make much money, they're not great earners, we've agreed on the minimum wage as what you earn when you work. These are people who work. The question is, leave all the rams aside, or talk about it, yes or no. I understand very well that we have to help employers. That's what we've always done. I understand very well that we also want them to participate, but not in this way, because in fact, you take the pension, you take the minimum wage and you print it to welfare level.
ParlaMint-NL_2017-11-01-tweedekamer-3.u234	I told you before, I'd be happy to take a look at it.
ParlaMint-NL_2017-11-01-tweedekamer-3.u235	Mr Klaver, with a new point.
ParlaMint-NL_2017-11-01-tweedekamer-3.u236	Thank you, Mr. Chairman. We've just been able to enjoy the battle on the right. The intermediate position is now 1-0 for Dijkhoff. My question, however, is about something quite different. We are talking about Mr Dijkhoff's speech. He actually said: things are going great in the Netherlands. Worldwide, we are one of the countries where it is best. I often hear the coalition say, when it comes to health, education or income: you hardly understand that people are dissatisfied with this. That also has to do with the debate in the Chamber. Can Mr Dijkhoff go into more detail on what he means by that? Does he mean to say that when people complain about how things are going in the Netherlands, they are not right?
ParlaMint-NL_2017-11-01-tweedekamer-3.u237	Extensive. I don't know.
ParlaMint-NL_2017-11-01-tweedekamer-3.u238	That is at the heart of the follow-up to my speech, which I am now in need of. I would like to do the same in that coherence.
ParlaMint-NL_2017-11-01-tweedekamer-3.u239	Then I'll wait for that.
ParlaMint-NL_2017-11-01-tweedekamer-3.u240	Then you can continue with your speech.
ParlaMint-NL_2017-11-01-tweedekamer-3.u241	Mr. Chairman. I was in the middle of a list of compliments. Technically, it would make sense to skip the rest, but I find that very annoying. In fact, when I realized that we are all here for the same purpose as MPs and working hard for that, I had just come to Mr Asscher and his Labour Party. They are willing to take difficult measures, even if they do not make you popular and even if you cost them seats, with perhaps the complete consolation that you know that in decades you will be written that you have done the right thing and that you have retained the Netherlands and the welfare state for the future. There are a lot of people here in the Chamber who, like myself, but I think we all have experienced that somewhere in a TV studio you do your best to explain what you're doing, that it's not good enough and how you want to solve the problem, and that you then check Twitter on the way home, just to read that you're a traitor. With lyrics like, if we're in charge, we're gonna get you first. Or, wait till such a fugitive rapes your daughter. And yet we all work through this with heart and soul. If we're here for all these Dutch people, why aren't we working together anymore? Then why should we all go for our own equal? Then why choose one point, take it out of context, and then take action very hard and say it's no good without sketching the whole story? 'Cause that doesn't work, of course. Actually, we all know that. The people we're here for already know that, and yet we sometimes act like they're crazy. And they're not. They also know that if there had been another party at the table, compromises had also been made and that not everything in the Netherlands would have been perfect at once. There's something to take responsibility for, Mr. Chairman, and that's guts. I hope more parties will show that. I just saw a nice start on that. In the coming years, too, not everything will go well. In the systems we make here, mistakes will creep and in the execution people will make mistakes and I will also make mistakes. I will also lose myself once in a fitness in The Hague with my friends from the coalition, who seems very important to us here, but doesn't matter to the rest of the Netherlands. But at least these four parties that have joined the coalition have said that they are going to do things and this cabinet will roll up its sleeves every day and work hard to make people's lives in the Netherlands better step by step. Not standing on the sidelines and yelling, but tackling and solving problems, even if a solution is not perfect. I understand that there are parties that would rather shout than tackle things anyway, that's their choice, but I think most parties in the Chamber were founded to make the Netherlands better, from a different background and vision, but to make it better. I hope that the Dutch will be able to count on these parties in the coming years and that the Dutchman who is still a bit hesitant and looks out of the tree will see who is here for them and who is most for himself. Madam President. I believe that the coalition agreement is a good basis for this. No, it's not the VVD election program, unfortunately. But at one point it might be better than the VVD election programme and that is that this coalition agreement is being carried out more broadly, that we are heading in the right direction, in the direction I as a VVD like to see: more investing in security, doing our best and making sure that fewer refugees come to Europe and therefore to the Netherlands, more money for roads and sports and more money in the wallet of Dutch people, so that they can decide for themselves what to do with it. It may be going at a lower pace than I would have liked, but at a pace that the Netherlands can have and that fits better with what Dutch people want. Because democracy isn't about counting heads and doing what half plus one wants. Democracy is taking into account all interests and opinions in society and ensuring that as much of the Dutch as possible can find a solution and that they also have confidence that they will be taken into account if the party on which they voted is not in charge. Mr. Chairman. I'm curious, because we're actually just getting started. Are we going to see in this Chamber how we can make ourselves useful to all Dutch people, how we can honor this beautiful country and guard our freedoms and values, how we can settle things fairly and make people give each other something, or are we all going to do our own thing? Are we going to fight for our own millimeter and then pretend it is a debate club with a price at the end of the day for those who made the sharpest remark? We can do that. I do not think that will make the Netherlands any better. I think people will wonder what the hell we're doing here. Finally, Mr President. I would like to call on the Cabinet to bear in mind the motto of the coalition agreement 'trust in the future' and to ensure, in all its work, that people's confidence in politics also grow. I would like to call on the parties in the Chamber to see with us how we can do the best things for the Netherlands and not find the difference on the square millimetre. I would like to ask the people at home to keep the parties on which they voted, including the VVD, sharp in where we are before this, namely for them and not for ourselves.
ParlaMint-NL_2017-11-01-tweedekamer-3.u242	I can hear the VVD group rumbling on the benches. I also liked the story of my colleague Dijkhoff. It creates expectations that you not only want to talk about it, but also want to change things with each other. I'd like to hold him to that, too. First of all, I have a question about something that I did not find in the coalition agreement, but which was on the formation table. This is also something that Dutch people should not have so much of, namely the relaxation of the bonus rules. That's not written down. May I therefore assume that we simply stick to the strict bonus rules introduced by Jeroen Dijsselbloem after the banking crisis?
ParlaMint-NL_2017-11-01-tweedekamer-3.u243	Yes, I also assume that there is not a majority for that very quickly, but if that had been done, that would have been in the agreement as far as the VVD is concerned.
ParlaMint-NL_2017-11-01-tweedekamer-3.u244	My second question concerns the following. The new Minister for Social Affairs, whom I wish him good luck and good luck, said on his very first day of work he was coldly installed for an hour, I think, that there should be a social agreement. Of course, this can only happen if he is given the room, within the cabinet but above all by the coalition partners, to fill in the agreements differently. There are agreements in the labour market paragraph that I like, but there are also agreements that can affect people's security of existence, for example the five-month probation period. You're sending the minister out as the owner of the coalition agreement. Does he also get the room to come back with improvements?
ParlaMint-NL_2017-11-01-tweedekamer-3.u245	Just to clarify: five months of probation sounds long, but that is, of course, only for an indefinite contract. It is not that this is always the case and that it is also the case of shorter contracts. It means someone gets a permanent contract right away and then gets five months probation. I say that in order to remove the negative a bit, because of course it has been thought about. It's about constructive probations related to the contract. A social agreement will be judged on the outcome, on the balance sheet that is in it and on the content. On the contrary, I want to prevent us from getting back into the game that an agreement is good because everyone was in pain, but the same amount. I want it to be good for the people who suffer from it: the ordinary Dutch.
ParlaMint-NL_2017-11-01-tweedekamer-3.u246	You're going to assess a social agreement on the content. That's right. I'll do the same. But my question was: will this minister have the opportunity to make other agreements in relation to the coalition agreement, which we all know will never be implemented one-on-one? Because otherwise there's no point at all and you might as well not do it. If the trade unions and employers had already been thrilled, they would have signed it by now. So the question of whether he gets the space is important in that sense. After that, we all have the freedom to judge the result. Is the answer to that question yes or no?
ParlaMint-NL_2017-11-01-tweedekamer-3.u247	It sounds like the Minister is doing a service through this discussion, but if you're gonna let someone negotiate with tough negotiating partners, that's what a social agreement is like, it's not gonna help if we're gonna pre-negotiate here. There's a coalition agreement. That's the base. A minister will then have to work and negotiate. Then we will see whether something is feasible and whether we can support it as a coalition and as a VVD. But it's in that order.
ParlaMint-NL_2017-11-01-tweedekamer-3.u248	Finally.
ParlaMint-NL_2017-11-01-tweedekamer-3.u249	But you're not gonna do that with half plus one, because that was the whole point of your speech?
ParlaMint-NL_2017-11-01-tweedekamer-3.u250	I don't even have one. I only have 33.
ParlaMint-NL_2017-11-01-tweedekamer-3.u251	No, that's bad enough.
ParlaMint-NL_2017-11-01-tweedekamer-3.u252	Yeah, that's why.
ParlaMint-NL_2017-11-01-tweedekamer-3.u253	But the question was: will the Minister be allowed to make other arrangements? So the answer is yes, only you reserve the right to oppose it. I think that's good news, because then there's a chance of success. I would advise you to wait until that social agreement is in place, unless it has been established that that is not possible.
ParlaMint-NL_2017-11-01-tweedekamer-3.u254	I notice that one part of my speech is more popular than the other. One part, cooperation, is eagerly accepted. I hope we keep telling the whole story here when we're criticizing something. I would like to say to Mr Klaver that he is always entitled to complain, but then you have to complain about everything and not about a particle. I'm not sure that's a good advice, by the way.
ParlaMint-NL_2017-11-01-tweedekamer-3.u255	I do not know whether this accusation of me is entirely justified. I was just very complimentary of your input and supported the applause. I asked the question as a result of your own speech or working together also means that a minister will be given the space. Yes, if that is already complaining, then you will have a difficult time in your own group. I'm just asking a question...
ParlaMint-NL_2017-11-01-tweedekamer-3.u256	No, it was not a reproach on Mr Asscher.
ParlaMint-NL_2017-11-01-tweedekamer-3.u257	...and then I get a cat from Mr. Dijkhoff. I don't know him like that.
ParlaMint-NL_2017-11-01-tweedekamer-3.u258	It was more of a general remark, which I linked to the interruption of Jesse's complainant.
ParlaMint-NL_2017-11-01-tweedekamer-3.u259	Mr. Klaver.
ParlaMint-NL_2017-11-01-tweedekamer-3.u260	It was lame. Sorry.
ParlaMint-NL_2017-11-01-tweedekamer-3.u261	At the beginning of his speech, Mr Dijkhoff spoke finely that he too wanted the children to have a healthy environment in the Netherlands later. He said they should be able to smell the grass. Now I have a more specific topic on Brabant. That is something Mr Dijkhoff has to address. In Brabant about half of the number of pigs is kept in the Netherlands. Half of the 13 million pigs in the Netherlands are kept in Brabant. The government agreement states that these pig farmers will be bought out for EUR 200 million if they keep their pigs in vulnerable areas. That is an excellent measure from the coalition agreement. This means that these pig farmers are bought out with taxpayers' money. Does this mean, I would ask the VVD Group, that the rights to produce are withdrawn?
ParlaMint-NL_2017-11-01-tweedekamer-3.u262	This is a question at a technical level that I have not yet made mine. Mrs Thieme is simply better informed about this than I am. It's about a warm clean-up. A clean-up usually reduces it and not in another place anymore. That it costs tax money is one of the things that we as VVD of course didn't all come up with ourselves. But climate and sustainability ambitions often cost money. That costs tax money, it costs companies money, but also individuals, like people who notice it on their energy bill. Luckily, there's a lot on the other side. But this change in sustainability doesn't go without effort and money.
ParlaMint-NL_2017-11-01-tweedekamer-3.u263	I understand from the words of Mr Dijkhoff that he agrees, with us, that if you clean up the pig farmers, it cannot be that somewhere else in the Netherlands with the so-called pig rights, production rights, they can start a business to pollute the place. Because that is what I hear Mr Dijkhoff say.
ParlaMint-NL_2017-11-01-tweedekamer-3.u264	I believe that this paragraph in the coalition agreement focuses specifically on the most beautiful province in the Netherlands and not necessarily on the rest of the country. I think this is something that the Agriculture Minister, who is now full, should discuss with the sector: how exactly do you deal with this and how can you best take action? The Minister for Agriculture then comes back with a proposal.
ParlaMint-NL_2017-11-01-tweedekamer-3.u265	Finally, Mrs Thieme.
ParlaMint-NL_2017-11-01-tweedekamer-3.u266	It is very important to know this. It is a good thing that I inform Mr Dijkhoff that we are going to give 200 million tax dollars to pig farmers. It can't be that the pig farmers are going to start up a business somewhere in Overijssel, and that's where they're going to pollute? This would mean that we would buy out EUR 200 million for pig farmers, while the problem would simply be postponed. Mr Dijkhoff agrees with me that this is an undesirable situation.
ParlaMint-NL_2017-11-01-tweedekamer-3.u267	You're gonna have to look wider. If they're just across the border in Overijssel, we don't get much progress in terms of sustainability. But this is, I honestly admit, really a point from my in-work dossier, which counted 270 pages, where I didn't quite manage to memorize it. I would like to refer this question to the Minister for Agriculture.
ParlaMint-NL_2017-11-01-tweedekamer-3.u268	I have another question to ask Mr Dijkhoff on a point to which he has referred a number of times and to which he would come back in his speech, but I will be a bad listener because I have not heard it at all. He started by saying that things are going very well in the Netherlands. He said that it is almost incomprehensible that people are dissatisfied with politics and he wondered why and why people complain about it. Is he actually saying that it is wrong for people to criticize what is happening in the Netherlands or if they say that they are not yet well enough? How should I interpret Mr Dijkhoff's words?
ParlaMint-NL_2017-11-01-tweedekamer-3.u269	No, not at all. I note that there is a problem with the confidence of Dutch people in politics. I also note that I cannot easily derive it from a list because it is so much better in the rest of the world. Of course, people also have complaints because of their personal living conditions, but it probably has something to do with the way we deal with each other in politics. I then built my speech on that. I think that the way we do and explain things and whether or not we promise things that we can't all live up to are part of confidence. I can think of a lot of countries where, I can imagine, you complain about politics for a very long time because it is terrible there. Most of the time, in those countries, you can't complain about that and people don't complain about it. And we have it very well, but we have a problem with trust.
ParlaMint-NL_2017-11-01-tweedekamer-3.u270	If you look at all kinds of international lists, you can see that the Netherlands is doing very well in all these comparisons. But I'd rather watch what happens in society than look at those lists. If you see that children can go to school here happily, but that parents have to contribute extra money because of the privatisation in education, I get that you think: does my child still have the same chance as I do? If you see that on the one hand messages in this country are getting more expensive and on the other hand this sinterklaas gives Dijkhoff 1.4 billion to Wall Street investors, I understand that people are wondering if this government is there for them and that they are not satisfied with how things are going. We must always look at ourselves as politicians, at how we conduct the debate and at how we treat each other properly. I agree with that, but I understand that people are dissatisfied when too easily people's concerns are ignored that they cannot make ends meet because they have seen the cost of their living rise over the last few years but have not improved themselves. I understand that people say: I demand more from politics.
ParlaMint-NL_2017-11-01-tweedekamer-3.u271	I understand that, too, but I understand that it doesn't help if we take certain measures because of a fear that suits us well. Of course, it doesn't work that the VVD ever invents together with the coalition: gosh, those investors from abroad are pathetic and we're going to give money to that. We do not abolish the dividend tax out of pity. I don't even know a foreign investor. Or I don't know that it invests; let alone that I feel sorry for it. You take that measure because you're making a risk assessment. That does not sound very nice to those multinationals, so that is where Mr Klaver is going to choose where they should be. We see in countries around us, for example in Belgium, that activist shareholders put pressure on those organisations, which companies: get out of that country, go to another country. You can make two choices. You can maintain the dividend tax. I can't guarantee that this will happen and I hope not. That puts you at risk of these companies leaving. Then you have no income from the dividend tax and so you can not compensate at all. When you're not there, you don't pay taxes. And a lot of people who work there lost their jobs. That's a risk. We see what is happening in countries around us, what is happening and what is happening and there is competition. We don't need to like this competition between countries and I certainly don't like the Brexit, but I can see that it's moving. By abolishing a dividend tax, I can reduce the risk of companies leaving and I can increase the risk of companies coming. I don't even find that exciting, but these companies offer Dutch people jobs. I would rather have a Dutchman with a job without a dividend tax than a fictitious dividend tax that doesn't yield anything because companies are gone and we have to explain to people that they have become unemployed, but that our principles are still standing.
ParlaMint-NL_2017-11-01-tweedekamer-3.u272	That is a lot of words to explain exactly what the dividend tax would mean. The Central Planning Bureau has looked at this and cannot say what its effect is. It has no idea how this should contribute: the abolition of the dividend tax does not contribute to employment, as Mr Dijkhoff outlined here. I see it's not in any election program. If this reasoning is correct, it could have been in the VVD's election programme, but it is not even in its election programme. I think she understood herself that it might be a bit strange to give 1.4 billion to those foreign investors. So it has no effect. The question is, therefore, why the abolition of the dividend tax is ultimately included in such an agreement. If you look at the palette of measures, you will see that this measure is not necessary at all for employment. Mr Dijkhoff raised the issue of discontent. I saw 50,000 teachers in the Zuiderpark demonstrating to get EUR 1.4 billion for their salary and the workload in education. If development cooperation money, as the Christian Union would call it, is then given to American investors, I do not understand that choice. I understand that people in this country get angry. I get that discontent when you see that gifts like this are being given to foreign investors, while your messages are getting more expensive and the salaries in education aren't going up as far as they could. That's what politics has to charge for.
ParlaMint-NL_2017-11-01-tweedekamer-3.u273	Mr Klaver understands this discontent, but he also feeds it by sketching a one-sided story. I'm sorry about that. His view is that the CPB cannot calculate the effect. No, there is no calculation model that shows the impact this measure has on the decision in the boardrooms in and outside the Netherlands. You can't calculate how much more likely it is now that company X is coming to the Netherlands or that company Y stays there. I think it is a bit of an economical view of Mr Klaver to limit it to that. What I do see is that we take these teachers seriously, too. That's what we're paying for. At the same time, we must also pay attention to our locational climate. That's what's in our election program. Then I'm not gonna shoot down the measures we didn't come up with on our own if they can help, because you'll have more companies. That means more people have jobs. They pay tax, they have an income from it and they can also pay the groceries.
ParlaMint-NL_2017-11-01-tweedekamer-3.u274	The whole coalition agreement and all the measures that are being taken will always look at the effectiveness. Then we look at all the state studies. It looks at the CPB and also at all kinds of other studies to see what its effectiveness would be and whether we know whether it's going to work or not. We know from this measure on dividend taxation that it does not contribute to increasing employment. So just because he thinks there's a chance, so a chance, that we'll get companies to the Netherlands with this, Mr Dijkhoff says: that's worth me 1.4 billion euros. I cannot understand that choice, especially in the light of all the other wishes we have for our society, for example better wages in education or in care.
ParlaMint-NL_2017-11-01-tweedekamer-3.u275	You've made your point.
ParlaMint-NL_2017-11-01-tweedekamer-3.u276	From the fact that an organisation says that you cannot predict or calculate the effect, Mr Klaver makes that the measure has no effect. Those are two different things. I told you before, it's not a law of Medes and Persians. I don't mention numbers of jobs either. I only see what is happening around us: that companies leave other countries because of the location climate. Then it's a risk you're taking. It's a guess; it's an opportunity. I prefer to be safe by ensuring that we have those jobs but no dividend tax than that I will end up without dividend tax, because those companies are gone, and without jobs.
ParlaMint-NL_2017-11-01-tweedekamer-3.u277	It's going to be a repeat of moves, Mr. Klaver.
ParlaMint-NL_2017-11-01-tweedekamer-3.u278	Finally, really. So Mr Dijkhoff is actually saying here: I do not know what the effect of this dividend tax is, which costs us 1.4 billion, but I think it will create more jobs. If it is really about employment in the Netherlands, I do have an opinion for Mr Dijkhoff: invest it in defence, police and healthcare. Then you have guaranteed jobs. With that 1.4 billion saying, "I'm guessing this is gonna work out," it's not a responsible policy.
ParlaMint-NL_2017-11-01-tweedekamer-3.u279	We do all those investments that Mr Klaver calls them. He's joking about the word "gambling." That's fine. He makes a caricature of that, but Mr Klaver assumes that companies are not responding and are not mobile, that the revenue of 1.4 billion has been poured into concrete and that there are no companies that say because of the climate of establishment: perhaps we are going to settle somewhere else. Then the Dutch no longer have work there, then we have zero dividend tax revenue and then we are completely empty-handed. Then you have your principles up and running; I admit that to Mr Klaver, but I am not going to explain that to those people who have become unemployed.
ParlaMint-NL_2017-11-01-tweedekamer-3.u280	In between, I hear Mr Klaver in the direction of the VVD saying that more can be invested in defence. Well, that's news.
ParlaMint-NL_2017-11-01-tweedekamer-3.u281	I can see the Secretary of Defense gloating. So that's good. Compliments for the maiden speech as group chairman, a nice general consideration with a dose of Dutch sobriety in it, but I would like to focus on the concern. That's very good indeed. We are grateful to note this, but at the same time we also see in our work visits and in conversations with citizens that unfortunately there is also a lot going wrong and that people say: yes, on your papers in The Hague it is all true, but the mental health care for my manic depressed daughter is getting more and more difficult to get or in the neighborhood care really does go wrong. How does Mr Dijkhoff deal with this from the Chamber in the coming period?
ParlaMint-NL_2017-11-01-tweedekamer-3.u282	We need to look very closely at the fact that you are reserving the right resources, even with the ever-growing need for care. So it's going to be bake with more money anyway, because you want to keep that care for the future as well. That is also the difficult task of the health minister in our country. You should also see if it gets to the right place. That's also a big assignment we have. That is why we also have these broad agreements with the providers, because the worst thing you can do is say from The Hague 'there is a problem; there is more money here' and two years later to hear from the people that they do not know where the money has turned out but that it has not gotten better for them. You're gonna have to look closely at that.
ParlaMint-NL_2017-11-01-tweedekamer-3.u283	I hope that in practice this will also lead you to choose a dualist attitude from the Chamber and that it will not only be 'if the government agreement is properly implemented' but also to the question of how we can regain the confidence of citizens in the country in these areas over the coming period.
ParlaMint-NL_2017-11-01-tweedekamer-3.u284	That is dualism based on the confidence that the members of this cabinet are also fighting for the same purpose. The aim is to ensure that people who need care are given good care in such a way that we can also pay good care for our children and grandchildren.
ParlaMint-NL_2017-11-01-tweedekamer-3.u285	I hear Mr Dijkhoff talking about confidence in politics, which is falling. That's lower than it used to be, and that's falling all over the western world. We see that as a problem. Mr Dijkhoff sees this as a problem; we see it as a problem. A very large part of the people in the Netherlands, an overwhelming part, want less Brussels. Mr Rutte wants to go to Brussels. The VVD agrees with more European Union. The majority of people in the Netherlands want less immigration. During the period you were Secretary of State, you yourself brought a record number of 333.000 non-Western immigrants to the Netherlands. Something about Switzerland. Switzerland is not in the European Union, it does not have the dramatic euro coin and it has much less immigration.
ParlaMint-NL_2017-11-01-tweedekamer-3.u286	And your question is?
ParlaMint-NL_2017-11-01-tweedekamer-3.u287	In Switzerland, 89.9% of the population have a sense of pride about their own political system. 93.7% support direct democracy and more than 80% have confidence in the government. Do you know what a difference is between Switzerland and the Netherlands? They have direct democracy there. They have binding referendums and the population participates massively in them. That's the difference. Less immigration, less EU and much more confidence in politics.
ParlaMint-NL_2017-11-01-tweedekamer-3.u288	That wasn't a question. Do you want to comment on this or do you want to make a statement?
ParlaMint-NL_2017-11-01-tweedekamer-3.u289	What other elements need further explanation? What element in this don't you understand?
ParlaMint-NL_2017-11-01-tweedekamer-3.u290	I do not need a more detailed explanation from Mr Baudet of his own views.
ParlaMint-NL_2017-11-01-tweedekamer-3.u291	Can't you see the causality?
ParlaMint-NL_2017-11-01-tweedekamer-3.u292	No. I see the correlation. You list things and there is also a referendum. They also have other types of cheeses and cows. A referendum there is a tradition that is embedded; this way of making decisions is embedded in their history. They have also accepted that they are not a member of the EU, but a donor. Because they do want to deal with the EU. Mr Wilders' research also assumes that the rest stays together in the Union, with one large market, which the Netherlands then joins. That's what Switzerland does. They'll have nothing to say. During the Dutch Presidency, I was also able to chair meetings on migration. Then first we had a meeting with the people who decided it. After that, other countries, like Switzerland, were allowed to join. They would hear what we had just decided, and they would sign for it. I would not like to bring the Netherlands into this situation.
ParlaMint-NL_2017-11-01-tweedekamer-3.u293	This is bullshit.
ParlaMint-NL_2017-11-01-tweedekamer-3.u294	It's the truth. Sorry.
ParlaMint-NL_2017-11-01-tweedekamer-3.u295	Look at the amount of rules the European Union makes. This is all kept up by the European Free Trade Association in Luxembourg. For example, in the period 2000-2013 there were over 50,000. Countries such as Norway and Switzerland take over around 10% of them. So it is really bullshit that if you are not in the EU but want to deal with EU countries, you should adopt all the rules. That's just factually wrong.
ParlaMint-NL_2017-11-01-tweedekamer-3.u296	What I just said was all right. If Mr Baudet wishes to clarify a specific point, I am, of course, very willing to give it.
ParlaMint-NL_2017-11-01-tweedekamer-3.u297	I don't think this is a way to argue.
ParlaMint-NL_2017-11-01-tweedekamer-3.u298	I have a brief question concerning Mr Dijkhoff's speech on health care. There too, the outstretched hand applies. In the neighbourhood nurses there has been enormous unrest because of the 100 million which the Central Planning Office has shown as a cut in the basic agreements. We all know that the total cost of care is increasing. That's something that needs to be dealt with. But this is a group that has very important work to do. Fortunately, 2 billion goes to the nursing homes, but now 100 million goes less than the growth would require to the district nurses, who care for three quarters of our elderly, chronically ill and disabled. So the question is: would the VVD be willing to do so, I proposed it three weeks ago, but then it wasn't so much to exempt the district nurses from that austerity, so that they could just do their job? That's heavy enough as it is.
