ParlaMint-NL_2017-11-30-tweedekamer-8.u1	We will continue to deal with the budget of Justice and Security.
ParlaMint-NL_2017-11-30-tweedekamer-8.u330	In the written replies the Minister wrote: the conditions for the establishment of the experiments have not yet been determined. This is the way democracy works: we do not think one experiment is an experiment? We want to learn. We want to know what is good for the fight against crime and for the promotion of public health. So you can leave it to the Court to decide whether there will be one or more experiments. That would also be in line with the written reply.
ParlaMint-NL_2017-11-30-tweedekamer-8.u331	It is also part of democracy that I advise you not to take this motion. I have outlined to you in the first term, I am not going to do it to you to repeat all that I have a whole journey over the next few weeks, and I will finally return to you in an AO on the 20th. I therefore still dissuade the adoption of the motion. Then I come to the Van Nispen/Van Raak motion. 61, on the retirement age. Police officers regularly go to dangerous or otherwise far-reaching situations to ensure the enforcement of the rule of law or to provide assistance to those who need it. This creates an additional responsibility for the employer, with special attention to safe and personal care, then we come back to that point of healthy work. The policy on safe and healthy working is a recurring theme in consultation with police unions. Finally, the 2015-2017 Working Conditions Agreement has given a strong impetus to this. We are also working on measures aimed at sustainable employability, but it is also inevitable, in the light of social developments, that police officers will continue to work longer. I advise against this motion. Before I come to the motion of the Member Verhoeven concerning the cybersecurity institute, I will first address his question as to whether I would like to involve the Minister of VWS in the discussion on cybersecurity. I would like to say again that I will certainly do so. I thought I'd confirmed that in the first term, but here's the thing. Then there's the motion in part No. 68, which requested the government to examine the possibility of setting up a cybersecurity research institute. I assume that this can be read if I seriously put this item on the agenda with the other departments involved in this discussion. If so, I shall leave the motion to the House's judgement. Then I come to the supplementary questions put by the Member of Parliament, Mr De Graaf. Can the Minister, in general terms, indicate more about counter-terrorism measures? As indicated in the written reply, I can tell you that there are several hundred jihadists in the Netherlands and several thousands of sympathizers. How many are classified as dangerous shall not be made publicly available. Jihadists can secretly come to Europe in various ways, regularly using a false identity. Sometimes the same routes can be used as those used by asylum seekers. Several concrete cases of misuse of the migration flow by ISIS have now been identified in Europe. For example, part of the attackers in Paris and Brussels came with the flow of migration from Syria to Europe. In some cases, ISIS supporters have also applied for asylum in European countries. There are investigations in the Netherlands into persons in the asylum procedure who may have terrorist motives. On operational matters, I cannot make any announcements here in public. The Dutch government, including the implementing organisations, is alert to signals of misuse of migration flows and asylum procedures by jihadists and other terrorists. Where appropriate, investigations shall be carried out. Although the Dutch authorities are alert to the risks and asylum seekers are screened by the organisations concerned, it cannot be excluded that terrorists still manage to abuse the asylum procedure. And again, I can't make statements about individual cases in public.
ParlaMint-NL_2017-11-30-tweedekamer-8.u332	There was a bit more content, but no new information, because it is already known from the media. I don't think we're getting anywhere with this either today. So we're gonna take another shot at that. Can the Minister then inform the Chamber of the ongoing incident surrounding the Balie Terrorist, so to speak, as soon as possible after the investigation has been completed and at least on how and what happened and what the outcome of the investigation has been? You can do that in a letter.
ParlaMint-NL_2017-11-30-tweedekamer-8.u333	At the moment, I am not going to make a commitment to you on any individual matter. This also applies to what I said in the first term: there is also a balance to be struck in the area of detection and, in particular, safety. I'm not going to repeat it all, because that's annoying for you, too. At least I can imagine. But I would like to repeat once again very clearly the essence of my speech, and that is that our services are extremely alert to everyone, whether he is Syrian or originally Dutch, who has been in that region or in jihadist war zone and is going to the Netherlands. To that alertness you may always address me.
ParlaMint-NL_2017-11-30-tweedekamer-8.u334	Finally, without repeating itself.
ParlaMint-NL_2017-11-30-tweedekamer-8.u335	Without repetition, but one step further. In the answer in the first term, the Minister said: I cannot provide information on current cases or on individual cases. We believe that this can be done, because it has happened more often. But this too is repetition. The Chamber can't control what an ongoing case is if we don't know what an ongoing case is. So we have a double backlog in this way. I just asked about the Balie Terrorist's ongoing case. When that case is over, that's not an ongoing case anymore. Surely the Minister will be able to provide more information? I think it's fine to do that by letter.
ParlaMint-NL_2017-11-30-tweedekamer-8.u336	Firstly, as you know, a 30-member debate requested by you and others is planned. In that we can talk again about what is actually possible or not possible. Secondly, I have said this to you before, and I cannot provide any further information here on matters involving our services.
ParlaMint-NL_2017-11-30-tweedekamer-8.u337	Not after, I understand.
ParlaMint-NL_2017-11-30-tweedekamer-8.u338	Well, I'd certainly like to come back to that in a letter. I would like to say to Mr De Graaf that you really shouldn't think of it as unwillingness, that you shouldn't say anything about it from, seriously, the considerations that are at issue in relation to the issue of the safety and also the working methods of our service. I would like to assure you that I will return to this later in a letter.
ParlaMint-NL_2017-11-30-tweedekamer-8.u339	Please continue.
ParlaMint-NL_2017-11-30-tweedekamer-8.u340	Good. Then there was also a motion by Mr Kuik and Mr Buitenweg on the report of sexual crimes. In September of this year, your Chamber received a WODC study on the factors and considerations of adult victims of sexual crimes to report to or not report to police or assistance. In last week's letter on sexually unwanted behaviour and sexual violence, which I sent to your Chamber on Friday, I announced that I will see in the coming period how possible thresholds for victims to make notifications can be lowered. I can assure you that the victim perspective and the treatment of victims will be explicitly addressed. That is precisely why we are going to involve Victim Support The Netherlands and the Centres Sexual Violence. The focus of the investigation into desirable and feasible improvements in the criminal proceedings of sex cases is also on the victim's position. I'll leave the verdict on this motion to the Chamber.
ParlaMint-NL_2017-11-30-tweedekamer-8.u341	Judgement Room, what more do you want, Mrs. Buitenweg?
ParlaMint-NL_2017-11-30-tweedekamer-8.u342	Oh, I forgot the part number and that's 69.
ParlaMint-NL_2017-11-30-tweedekamer-8.u343	Yes, from Mrs. Chicken.
ParlaMint-NL_2017-11-30-tweedekamer-8.u344	"Judge Room" is also very good. I'm gonna come back on the WODC report. It is not satisfactory in that sense, firstly because it was only a limited number of victims and secondly because the investigation was carried out for 2016, the year in which the moral instruction was introduced. "Judge Room" is good and then we can perhaps at a later stage see how, even in the future, the newer experiences can be taken into account.
ParlaMint-NL_2017-11-30-tweedekamer-8.u345	Next move.
ParlaMint-NL_2017-11-30-tweedekamer-8.u346	Yeah, that's the motion in part no. 70. It is a motion by Mr Van der Staaij, Mr Kikken and Mr Van der Graaf, in which the government is asked to promote the high priority given to the handling of alcohol-induced driving and to bring its urgency to the attention of the police and the public prosecutor. I also leave this motion, which I consider to be a support for my policy, to the House for its assessment. The Van der Staaij motion in part No. 71 calls on the Government to maintain the criteria set on the resident criterion and on the regulated growing of weed. Madam President, with regard to the experiments, the coalition agreement is leading, because further conditions and principles have not yet been defined. I will not anticipate that. That's why I advise against this motion. The national tolerance framework is formed by the Opium Act and the designation of Opium Act of the Public Prosecutor. As of 1 January 2013, the resident criterion shall form part of it. As I have already pointed out, prioritising enforcement is a matter for the local triangle. It is decided in administrative law that I cannot force a mayor to actively maintain the resident criterion. Almost all mayors have adapted their coffeeshop policies to the national framework, including the resident criterion.
ParlaMint-NL_2017-11-30-tweedekamer-8.u347	Mr Van der Staaij, brief question.
ParlaMint-NL_2017-11-30-tweedekamer-8.u348	A brief question, yes. Mr President, the Minister states that he cannot simply force a municipality to maintain these conditions, because there are also local priorities. I agree. Does the Minister also agree with me that such an experimental framework would allow us to say that only those municipalities that are in order can participate in an experiment? It's not my experiment, but it would be an opportunity to strike straight with a curved stick.
ParlaMint-NL_2017-11-30-tweedekamer-8.u349	That is a fairly local sport, but then I will come to the same area as I have just discussed with Mr Van Nispen and I will talk about the implementation of the experiments. Well, at least I took the thought well into my head. I have taken due note of that, but I am not going to make any further commitments.
ParlaMint-NL_2017-11-30-tweedekamer-8.u350	The motion in part No. 72.
ParlaMint-NL_2017-11-30-tweedekamer-8.u351	The motion Bishop c.s. in piece No. 72 on that police criterion. That has been discussed before. I may not have expressed myself very well this morning. Well, that's my fault. I referred to the explanatory statement to Article 38a, which was also included by Mr Bishop's party at the time. Then it concerns at least one district agent per 5,000 inhabitants per regional unit and not per municipality. The division of district agents within the unit is to the mayors and prosecutors within that unit. If this motion is passed, we get a tightening up of the law and the explanation for it, and we go to at least one district agent per 5,000 inhabitants per municipality. I was going to report that, but maybe I didn't say that right this morning. I would suggest that this motion be retained and involved in the evaluation of the Police Act. You know that my position will be on this in spring 2018.
ParlaMint-NL_2017-11-30-tweedekamer-8.u352	Mr Bishop, what is your answer to that? You can think till Tuesday.
ParlaMint-NL_2017-11-30-tweedekamer-8.u353	If I do, that evaluation will come next spring.
ParlaMint-NL_2017-11-30-tweedekamer-8.u354	Yes, spring 2018.
ParlaMint-NL_2017-11-30-tweedekamer-8.u355	Then I can get this involved, and I'm going to take this motion now.
ParlaMint-NL_2017-11-30-tweedekamer-8.u356	At the request of Mr Bishop, I propose his motion (34775-VI, No. 72). That is what is decided.
ParlaMint-NL_2017-11-30-tweedekamer-8.u357	Then I come to the motion on part No. 76 of Mr Azarkan, who asked to identify the additional instruments which could be used to change culture in the police. I'd like to advise against that motion. In the progress letter I will inform the House of Representatives about the cultural change, also in relation to the diversity policy in the police. That letter will, as I have already announced, land before Christmas in the Chamber. So I advise against this motion. The principle of legality is the last thing I want to do. First of all, I would like to come to the motion on the penalty for hate-sowing. That's the motion in part No. 78. I'll come back later on to the motion on part No. 77.
ParlaMint-NL_2017-11-30-tweedekamer-8.u358	You are with Mr Hiddema now.
ParlaMint-NL_2017-11-30-tweedekamer-8.u359	Yes. The motion Hiddema wants to reverse the doubling of the sentence. The amendment of the law doubles the penalty. The seriousness of the crime is differently appreciated in this society, and that is what is called for, as explained in more detail in the coalition agreement, for a firmer approach. The motion in part No. 78 is therefore not recommended. Then the motion to part No. 77 on the amendment of Article 137d. Here, too, dissuade. Inciting hatred would disappear and thus the essence of the article would disappear. The coalition agreement speaks very clearly. The cabinet believes that there should be strong action against hate-stowing and that the criminal justice system should be given more room for the most serious forms of hate-stowing in order to impose an appropriate punishment. Before I finish with the answers to Mr Krol's questions, I shall be the last of the motions for resolutions to be put to the vote. 77, on the principle of opportunity. I would like to expressly distance myself from the image outlined by the MP Hiddema of the prosecution and the police as officials who, on occasion, would prefer to withdraw the declarations or notifications from their office instead of going ahead with it. My experience as a citizen, but also in the past five or six weeks as a minister, is that the D.A. and the police are highly motivated organisations with people who see their profession as a kind of vocation, pick up reports, track down and prosecute perpetrators. If, in certain categories of offences, this leads to a lower percentage of packing or a lower level of clarification, we must first of all, as a society, look at how that is done, and not suggest that this could get away from the state attorney and the police who have a quiet job and leave things behind.
ParlaMint-NL_2017-11-30-tweedekamer-8.u360	Now the motion.
ParlaMint-NL_2017-11-30-tweedekamer-8.u361	The principle of opportunity is one of the principles of the system of criminal procedure. The prosecution may waive further prosecution on grounds of public interest. The idea is that criminal prosecution is not always an adequate response to a criminal offence. In that decision, the Public Prosecutor is bound by general principles of law, such as a prohibition of arbitrariness, and is under the control of this Minister and ultimately the Parliament. If you introduce the principle of legality, all kinds of gag cases should also be brought before the courts. In short, our OM currently has a conscientious core task, and it must remain so. Germany has such a principle of legality, but research shows that there are not all cases of persecution there either. This is also apparent from all kinds of legal comparisons with similar systems. A contribution to the acceleration of lead times, as the MP Hiddema assumed, is certainly not giving up the principle of opportunity. I therefore do not consider an investigation necessary and advise against this motion. Finally, I would like to ask Mr Krol who is in charge of maintaining public order as a whole. Municipalities draw up a local security policy. The mayor is responsible for law and order. I can't and I don't want to go in there either. I would like to say, however, that I am the one who sets the framework for the powers of violence and the like. That concludes my contribution. Thank you.
ParlaMint-NL_2017-11-30-tweedekamer-8.u362	Thank you. Mr Hiddema has another question. Go ahead, Mr. Hiddema. You can say it in the microphone, otherwise we can't hear you.
ParlaMint-NL_2017-11-30-tweedekamer-8.u363	I would just like to say that, in my best view, the Minister is not yet ready. The issue is as follows: there is a motion for a resolution which includes the introduction of additional penalties, denial of driving rights.
ParlaMint-NL_2017-11-30-tweedekamer-8.u364	That's what my colleague's gonna talk about in a minute.
ParlaMint-NL_2017-11-30-tweedekamer-8.u365	That's good. Mr Markuszower has another question.
ParlaMint-NL_2017-11-30-tweedekamer-8.u366	I have also tabled a motion which, in my opinion, would lie with the Minister.
ParlaMint-NL_2017-11-30-tweedekamer-8.u367	Which one is that?
ParlaMint-NL_2017-11-30-tweedekamer-8.u368	Yeah, I don't know.
ParlaMint-NL_2017-11-30-tweedekamer-8.u369	That's the motion in part No. 47, I hear behind the scenes.
ParlaMint-NL_2017-11-30-tweedekamer-8.u370	The motion in part No. 47 is about the elected judge and the prosecutor's office. We believe that this subject belongs in particular to the Minister for Legal Protection.
ParlaMint-NL_2017-11-30-tweedekamer-8.u371	So that motion is still under discussion. We'll keep track of it, too, Mr. Markuszower and Mr. Hiddema. I now give the floor to the Minister for Legal Affairs.
ParlaMint-NL_2017-11-30-tweedekamer-8.u372	Mr. Chairman. Let me start by echoing what my colleague has just said. It is great to see how hard and also how much knowledge and skills are being worked on JenV, also to make this debate work. You could say it's not just the three of us, it's a whole team. I hope that also the Chamber will not be able to do it with the three of us, nor with 76. As far as I am concerned, we are doing it as widely as possible in many areas. I have a number of questions and then I will make the recommendations on the motions. Firstly, Mrs Buitenweg's question whether I would like to give the price tags or the calculations for all possible legal aid scenarios. I'm not going to do that. What I can promise is that if we come up with the contours of a new framework by the summer, we will also have a sound financial transfer, so we will show that this will eventually be within the budgetary framework.
ParlaMint-NL_2017-11-30-tweedekamer-8.u373	Mrs Buitenweg asks a short question.
ParlaMint-NL_2017-11-30-tweedekamer-8.u374	I asked my question because I feel that there are a lot of alternatives and therefore I simply do not believe that this could amount to 127 million. It therefore protects that there are alternatives, but in my view it is simply a matter of cutting back.
ParlaMint-NL_2017-11-30-tweedekamer-8.u375	No, we'll take the frames as they are. "There is an end to this," Mr Van Nispen now calls from the audience. I agree with him.
ParlaMint-NL_2017-11-30-tweedekamer-8.u376	Please continue.
ParlaMint-NL_2017-11-30-tweedekamer-8.u377	But starting point is we're doing it in there. Mrs Buitenweg's question now is: does it fit? I assume that, when we come up with a plan later, Mrs Buitenweg will be the first to pierce the interrupting microphone into the spreadsheets on that financial transfer. However, I will make sure that there is a pass-through. But I would find it really a waste of time to pre-calculate all kinds of alternatives that we haven't discussed with the field yet. I come to Mr Van Nispen's question about lowering the right to register for SMEs. I understand the point, but the consequences of the reduction of registry fees are also difficult to assess. Because in the category of claims between €500 and €12,500 there are actually a lot of things. So if you were to lower the Registry fees, it would soon involve a considerable amount of money. In total, it's about 18 million. In order to remain within existing budgets, a significant increase in other rates will therefore have to be achieved. And there are also some choices to be made, because what other categories are you going to increase? I would like to say that I am at least going to present the consequences and inform the Chamber about them. In doing so, I can identify several options to compensate for the financial consequences of a possible reduction with an increase elsewhere. That does not mean that I am immediately enthusiastic about it, but at least we have the scenarios here a little bit.
ParlaMint-NL_2017-11-30-tweedekamer-8.u378	Such an investigation alone would be very good. So thank you for this commitment. The suggestion is to also look at the possibility of an extra stem. For it has not been said that the claims of €12,500 also necessarily require lower registry fees. Then it does cost a lot of money. But it would be very wise to include the proposal to add an extra standard in that investigation. Such a proposal has been made in the past.
ParlaMint-NL_2017-11-30-tweedekamer-8.u379	I make a number of scenarios, all budget neutral. But you could put it in there. Mr Krol asked about the age dismissal of judges and about the investigation that is under way. That research will come in spring 2018. He also asked a question about article 220 of the Civil Code, and about structural hate-sowing versus once. Maybe I can take that along with the bill coming to the Chamber in the course of next year. Then I come to the motions, first to the ones in part No. 47 by Mr Markuszower. It is about the elected judge and, by the way, elected prosecutors. We don't recommend that motion. Perhaps it would be nice to look at the investigations of the Social and Cultural Planning Bureau. It asks people in the country, citizens, how they look at different target groups and whether they trust them. There's a fantastic graphic in the last report. This shows that the trend for judges is rising. So trust in judges is increasing. Unfortunately, this trend is in the opposite direction among politicians. So let's be careful and not do all kinds of crazy things around elected judges, because that trust is going well. Then the motion to part No. 50. It belongs to Mr Van Oosten and a very sad other Members. That's a broad-based motion. I can say that I believe that we share the principle that those who deserve punishment should also be punished. And I understand perfectly well that the sense of justice is at stake in the statute of limitations of penalties. So I can leave the judgment here to the Chamber. Mr. Chairman. Then there is the motion by Mrs Buitenweg and Mr Van Nispen and Mr Azarkan on legal aid and ZSM.
ParlaMint-NL_2017-11-30-tweedekamer-8.u380	The motion in part No. 51.
ParlaMint-NL_2017-11-30-tweedekamer-8.u381	That's the motion in part No. 51. I think there has been a misunderstanding, and I myself caused it at first instance. There's just a budget for these things from 2018. That is why I can leave this motion to the House's judgement. Then I can come your way with the investigation and the plan. The motion in part No. 52 by Mrs Buitenweg, Mr Van Nispen and Mrs Kuik, I recommend. In my opinion, we should not be puzzled in the old framework of legal aid anymore, but really look for something new. It's gotta have all the energy in it. The motion in part No. 58 by Mr Nispen, Mrs Kuik and Mrs Buitenweg...
ParlaMint-NL_2017-11-30-tweedekamer-8.u382	Van Nispen.
ParlaMint-NL_2017-11-30-tweedekamer-8.u383	Van Nispen, sorry. We have discussed this for a long time in the first term. I therefore advise against this motion. The motion in part No. 59 is about moving the budget from 2017 to 2018. The point is that that really goes against all the budgetary rules. I don't want to argue with our finance minister either. So I'm going to dissuade this motion, but maybe I can promise you something else, and maybe that'll make you happy too. The question has been discussed for a long time: is it for one year or is it structural? There is also a motion by former MP Recourt, who said: try to arrange this in a structural manner. I do not want us to be in such a discussion again next year and we will do so at the very last minute. So perhaps you would like to withdraw this motion or at least forgive me for betraying it, with the promise that I will do my best to find a structural solution to this. The motion is being held, I see. Thank you.
ParlaMint-NL_2017-11-30-tweedekamer-8.u384	Well... Mr. Van Nispen.
ParlaMint-NL_2017-11-30-tweedekamer-8.u385	However, this motion seeks to increase the 1 million made available to the desirable 1.5 million, as we have already agreed in the past: adopted amendment, adopted motion. So if the Minister's commitment is that he is going to do his utmost to make EUR 1.5 million structural, then I can indeed continue this motion. But not if he says he's going to make EUR 1 million structural, because that doesn't add anything to the amendment that's going to be adopted.
ParlaMint-NL_2017-11-30-tweedekamer-8.u386	That last scenario is about the one million. Just as formal: with an amendment you can arrange one year and not a structural transition. That is why I tried to give the latter with that commitment. It's up to you what you do with the motion.
ParlaMint-NL_2017-11-30-tweedekamer-8.u387	Are you gonna keep her on?
ParlaMint-NL_2017-11-30-tweedekamer-8.u388	The commitment is very good, but that phrase was also included in the amendment. I looked very closely at that. So the commitment is good, but I hope the Minister will also promise that he will do his utmost to see if the budget will be able to move towards that 1.5 million for next year.
ParlaMint-NL_2017-11-30-tweedekamer-8.u389	I'm afraid I can't. The amendment really takes care of 1 million. I'm gonna do my best to see if we can make that structural.
ParlaMint-NL_2017-11-30-tweedekamer-8.u390	Please continue.
ParlaMint-NL_2017-11-30-tweedekamer-8.u391	The motion in part No. 62 of Mr Van Nispen, Mr Buitenweg and Mr Kuik on the inadmissibility of cases, I recommend. The judge may, where appropriate, make exceptions. The law leaves that space. Complementary legislation will not solve this problem. The motion of Members of the Grand House, Van Dam and Van der Graaf can be left to the House's discretion.
ParlaMint-NL_2017-11-30-tweedekamer-8.u392	That was the motion in part No. 65, right?
ParlaMint-NL_2017-11-30-tweedekamer-8.u393	Yes, in part No. 65.
ParlaMint-NL_2017-11-30-tweedekamer-8.u394	I have one question about that. At the end of the request it says: "Around the summer recess of 2018.' Can't that have any financial consequences, I ask the Minister.
ParlaMint-NL_2017-11-30-tweedekamer-8.u395	No, because the task was: within the budgetary framework.
ParlaMint-NL_2017-11-30-tweedekamer-8.u396	Please continue. Mr. Van Nispen?
ParlaMint-NL_2017-11-30-tweedekamer-8.u397	I would like to know what the consequences will be if this motion is not adopted. Because what does it say other than what you have already promised and written down in your letter?
ParlaMint-NL_2017-11-30-tweedekamer-8.u398	We're gonna get to work on this. I tasted from Mr Grothuizen that he would like to see support in the back coming from the Chamber. I have no objection to that and therefore leave the judgment to the Chamber.
ParlaMint-NL_2017-11-30-tweedekamer-8.u399	However, you must adhere to the five methods of assessment in the assessment framework for motions.
ParlaMint-NL_2017-11-30-tweedekamer-8.u400	Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, Then there is Mr Grothuizen's motion on probation. When I read her like that, this motion is in line with RSJ report on reintegration. A number of considerations are given in relation to the report, namely that all prisoners are screened against the five basic conditions and, secondly, that the probation is given an advisory role. With regard to the first point, I am currently exploring how as many prisoners as possible can be screened. I do not consider screening all prisoners realistic in advance, for example because in some cases detention is simply too short, the regime makes this difficult or prisoners simply do not want to cooperate. Two pilots have now been completed with regard to the advisory role of probation. In it, DJI and the parole board worked closely together and jointly examined which inmate at which stage of parole was exactly needed to draw up such a reintegration plan. On the basis of the positive results of these pilots, a method of nationalisation will be developed in the coming period, with cooperation and tailor-made delivery being the starting point.
ParlaMint-NL_2017-11-30-tweedekamer-8.u401	The verdict is?
ParlaMint-NL_2017-11-30-tweedekamer-8.u402	The judgment is therefore as follows. If the motion seeks to continue what we have set in motion, then I can take over the motion. Then I will go into that in the view on the prison system. Otherwise, I would like to ask Mr Groothuizen if he wishes to continue the motion until the debate on the RSJ report.
ParlaMint-NL_2017-11-30-tweedekamer-8.u403	I can imagine. I'll hold the motion.
ParlaMint-NL_2017-11-30-tweedekamer-8.u404	At the request of Mr Grothuizen, I propose his motion (34775-VI, No. 66). That is what is decided.
ParlaMint-NL_2017-11-30-tweedekamer-8.u405	Then there is Mr Azarkan's motion on diversity. That's the motion in part No. 73. In calling for diversity, I can certainly imagine something, but very formally I am now exercising my new role, and I am not talking about the appointment of judges. That's why I'm deceiving the motion. I know that Mr Azarkan had to go to another meeting, but for the Acts I would like to tell him that the Council itself considers this to be a very important point in the case of justice.
ParlaMint-NL_2017-11-30-tweedekamer-8.u406	And your judgment is?
ParlaMint-NL_2017-11-30-tweedekamer-8.u407	I must discourage the motion because we are not dealing with the appointment of judges. Then there is the motion by Mr Azarkan and Mr Van Nispen and Mr Buitenweg on the Committee on Disputes, on item No. 74. I advise against it, also because of the lack of cover. I'll come to the motion in part No. 75. It's about zero readings. I'd advise against that, too. Then I come to the very last motion for a resolution before me: the motion in part No. 80 by Mr Hiddema. Maybe I'll do that in the short version: under the motto "I'll keep the theater for later."
ParlaMint-NL_2017-11-30-tweedekamer-8.u408	Under the motto? What did you say?
ParlaMint-NL_2017-11-30-tweedekamer-8.u409	"I'll hold the theater for later." Mr Hiddema started every motion with a motto, so now I come with my motto.
ParlaMint-NL_2017-11-30-tweedekamer-8.u410	However, it is important to add arguments, as with all motions. The same goes for this motion.
ParlaMint-NL_2017-11-30-tweedekamer-8.u411	I can say something about that. Look, it is not reasonable to deprive the driving licence of the offences involved which are not directly related to traffic. Moreover, the question is whether this actually solves something. Recent research has shown that members of criminal motorcycle gangs do not really like to comply with the law and that a significant part of them do not already have a driving licence.
ParlaMint-NL_2017-11-30-tweedekamer-8.u412	Thank you. Mr Hiddema wants to ask a question.
ParlaMint-NL_2017-11-30-tweedekamer-8.u413	We're kind of in the back, and right when something humorous happens, I can't understand it at the back. Your introduction was a joke, but I didn't understand. Can I hear it again?
ParlaMint-NL_2017-11-30-tweedekamer-8.u414	Ah... but now it's not a joke.
ParlaMint-NL_2017-11-30-tweedekamer-8.u415	Oh. Shall we get rid of that then? What I do not understand, however, is your explanation of your objections to this motion. I understand that you are lightly aware that a lot of people in the motorcycle club do not have a license and that it would therefore have little effect. It could be. I've also had a few people on duty who didn't really represent the essence of the club, but who did a very useful job. They'd be club members. That's how you could take it. Yeah, that could be. But a criminal motorbike gangster because that's the only stature that's criminal, really has a driver's license. It does not take away its engine and it derives its entire stature and the criminal setting in which it wishes to dwell from that possession of its engine. So as long as you think this doesn't make sense, for reasons you mention now, I would think: look at how the real world works in that environment. And then it's so simple. I'm not on the market here, and I don't need to sell any more. But why should you leave what can be simple? How much cost, ambition, effort and dedication have the prosecutors already stopped trying to ban the motorcycle gangs? Well, then you get the members out with the simple removal of the driver's license and Kees is done.
ParlaMint-NL_2017-11-30-tweedekamer-8.u416	The Minister.
ParlaMint-NL_2017-11-30-tweedekamer-8.u417	Then you say that you can't, because the crimes they commit have nothing to do with the Road Traffic Act. But it's not that simple.
ParlaMint-NL_2017-11-30-tweedekamer-8.u418	The Minister.
ParlaMint-NL_2017-11-30-tweedekamer-8.u419	There are already criminal provisions in the Code that are linked to the special penalty of taking away from the Road Traffic Act, while there is no need for a road traffic offence at all. Just so you know.
ParlaMint-NL_2017-11-30-tweedekamer-8.u420	If the members of this kind of criminal motorcycle gang were to abide by the law, namely by not having a driver's license either, they probably wouldn't do a lot of other and worse things. The point I want to make is that it is written in recent research that a lot of members of criminal motorcycle gangs have no license and still sit on those things. So, apart from all the other concerns, I very much wonder if it will have any effect if driving licences are taken away from them...
ParlaMint-NL_2017-11-30-tweedekamer-8.u421	Yes. Finally, Mr Hiddema.
ParlaMint-NL_2017-11-30-tweedekamer-8.u422	Short and simple, believe me. Anyone who gets his status from his whole macho and impressive appearance within the club really does make sure that he doesn't lose his motorbike because of an asshole traffic trespass if I may call it that. If you think that's a real situation: success.
ParlaMint-NL_2017-11-30-tweedekamer-8.u423	Thank you.
ParlaMint-NL_2017-11-30-tweedekamer-8.u424	Thank you. I now give the floor to the Secretary of State for Justice and Security.
ParlaMint-NL_2017-11-30-tweedekamer-8.u425	Thank you, Mr President. I would also like to thank some Members of Parliament for thinking for a moment about the officials who worked last night and last night and this morning. I have now seen with my own eyes how many people are working on it. Let me be honest: I was never so aware of that in my time as a Member of Parliament. I'm glad this is appreciated in the house, too. Mr President, I am passing the motions in my area. Then I will answer a few remaining questions. I'll start with the motion in part No. 43 which calls for the closure of the Dutch borders. I don't support that. First of all, I do not do so because of what I said in my introduction: the importance I attach to providing care for people who need protection under the Refugee Convention or the ECHR. I have argued in detail that we are taking a number of measures to control migratory flows and to reduce security risks in the Netherlands, but I cannot support this motion. That's why I'm dissuading her. The Fritsma motion in part No. 44 is about no bed-bath-bread-care and no children's pardon scheme. To be honest, I also think that the PVV Group here does not recognise that the national immigration services that the government intends to set up are being set up to work on the departure of foreigners from these locations. By the way, it is not the case that we support bed-bath bread as a government financially. Then I come to the other part of the motion, the children's pardon. A part of that scheme is that it is assessed whether there has been genuine work on departure. This condition ensures that the scheme does not unduly trigger or conflict with the return policy. So that's balanced again. I therefore advise against the motion on both parts. The Fritsma motion in part No. 45 calls on the government to criminalise illegality. The cabinet wants to reduce illegal residence. For this reason, it also focuses more strongly on preventing illegal migration and on the departure of illegally staying foreign nationals. The cabinet is therefore also committed to releasing additional capacity for the Return and Departure Service. Cooperation with municipalities is also crucial. However, the Cabinet considers that criminalising illegality in the context of these proposed measures will not contribute to sufficient additional costs. That's why I'm dissuading the motion. The Fritsma motion in part No. 46 asks the government to withdraw the temporary asylum permits of Syrians residing in the Netherlands. We had a somewhat more detailed debate earlier. The assessment of whether the security situation in Syria has improved in such a way that our asylum policy can be adapted in part, I really want to base it on the facts. I therefore propose that we wait for the message of office to be delivered in 2018. That's why I'm dissuading the motion. I'll come to the motion in part No. 53. That is a motion by Mr Van Ojik and Mr Van Dijk and Mrs Kuik.
ParlaMint-NL_2017-11-30-tweedekamer-8.u426	Mr Fritsma has another question on the previous motion, apparently.
ParlaMint-NL_2017-11-30-tweedekamer-8.u427	It is not so much about the motions, but I still have an important question for the Secretary of State. Today we have heard from the Christian Union that MPs are working behind the scenes on all kinds of housing issues. That is, of course, unacceptable. It's uncontrollable backroom politics.
ParlaMint-NL_2017-11-30-tweedekamer-8.u428	And your question to the Secretary of State?
ParlaMint-NL_2017-11-30-tweedekamer-8.u429	Can the Secretary of State therefore indicate how often this happens, who the MPs involved are, how often these contacts have led to residence permits, and what he does to stop that back-room politics? Can he report it to the Chamber every time another MP comes to him for residence permits? This cannot be left out of sight. Part of the room is completely excluded.
ParlaMint-NL_2017-11-30-tweedekamer-8.u430	The Secretary of State.
ParlaMint-NL_2017-11-30-tweedekamer-8.u431	And chairman, last...
ParlaMint-NL_2017-11-30-tweedekamer-8.u432	Very briefly. We're not gonna start another debate.
ParlaMint-NL_2017-11-30-tweedekamer-8.u433	No, Mr President, but you should also support me, because this is where part of the Chamber is put out of play.
ParlaMint-NL_2017-11-30-tweedekamer-8.u434	You will have the opportunity to say this.
