ParlaMint-BE_2016-05-25-54-commissie-ic428x.u1	Mr Dallemagne has decided to remain on a commission of inquiry.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u150	Mr Minister, in the wake of what has just been said, we actually realize – it is not at all abnormal if necessary – that it is a centralisation, a coordination of different things that already exist but can be improved, as you have explained, on the basis of the exercises that have been done (interaction between services, etc.).). All this will be applied in a national emergency plan. To make the link with what is being said, is being done and is being audited in a committee of inquiry, we note, as you also say, that several types of improvements (coordination, communication, decision-making channels, etc.) are possible at several levels. We realize that there is room for improvement and that a national plan with regularly conducted and tested exercises is certainly necessary, especially in the light of what is being debated in the committee of inquiry. We will, of course, be attentive to this, as we have always been. I think it is very interesting that this is also done in parallel with the committee. As I said in my question, we will not wait until the end of the year to react. It is interesting to do this exercise and we will look in more detail when we can have the detailed document.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u151	Mr Minister, like others, I was particularly questioned at the meeting of the Special Committee on Combating Terrorism – I am not therefore talking about the Commission of Inquiry into the Attacks – on 13 May last, which received the investigating judge Claise. He told us that no more files were entrusted to the OECDFO – and God knows if we talked about them extensively at the time of the dismantling of this cell. I quote: "It is a duck to which the wings have been cut and which will be evaluated in a year by saying that it is no longer necessary". However, on December 23, Minister Geens indicated that it had been agreed to maintain an investigative capacity in the ODCFO's ODCFO's corporate office table and that an agreement had been reached between him and yourself to retain a staff of sixteen – there are currently 36 officers. Minister, what are these people doing? Do you confirm Mr. Justice Claise's statements? What is the current workforce in OECDFO? How many cases were assigned to him in 2015 and in the first months of this year? What are the government's actual intentions with respect to OECDFO? On the other hand, I learned that no more money laundering cases were assigned to him. To which police services are they therefore assigned? We discussed the financing of terrorism with this magistrate. However, apparently, OECDFO has not been mandated to address these issues. That's why I'm asking you who's taking care of it. These are information that the judge delivered in a public committee meeting. So there's nothing secret. Furthermore, what will be the means of investigating money laundering and financing, knowing that money laundering was a substantial part of the work of OECDFO in the past? I wish I had clear answers. At the time, we had denounced the dismantling of the OECDFO and, if you confirm this information to me, in the same way, I would denounce the fact that we have an extremely specialized unit in the fight against financial and economic crime and that it is a pity to waste staff who are able to deal with extremely sharp cases.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u152	Mrs Matz, it is quite clear, when it comes to terrorist financing, that there is no sense in having a cell separate from the "terrorist" cell. In order to have a comprehensive and integrated view, the "terrorist" cell must deal with the financing of terrorism and not with another cell, where the situation is lost.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u153	[[...]]
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u154	DG SOC, "tro" cell. She's the sister or brother of OECDFO.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u155	Isn't that DR3?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u156	No, we are talking about DG SOC in which there is OECDFO and a large "terrorist" cell. Everything concerning the financing of terrorism has been eliminated from economic and financial crime and has been moved to the "terrorist" cell. They are part of the same management and can therefore exchange skills. The Central Office for Combating Economic and Financial Delinquency is part of the Serious and Organized Crime Directorate (DG SOC). DG SOC comprises 292 jobs, including 18 full-time equivalents for OECDFO, as set out in the Royal Decree of 27 October 2015 on the distribution of federal police personnel. The composition is as follows: 16 investigators (2 teams of 8) and 2 judicial coordinators (one within the support unit for combating VAT fraud and the other within the support unit for combating serious and organised social fraud). In addition to this, OECDFO can also call on 16 tax officers who are available to the federal police and who are outside the organic picture. The second question. For 2015, 35 files were opened within OECDFO. For 2016, 21 cases have already been opened. These are self-sustaining files and files in support of the integrated police. Your third question. It was agreed to maintain an investigative capacity in the OECDFO organic table. The decision to deconcentrate in part the investigative capacity is based on the following considerations. On the one hand, deconcentrate what can be and maintain at the central level what must be. On the other hand, either to simplify structures or to avoid duplication and to exclude competition between central services and deconcentrated directorates. This idea of deconcentration does not come from politics but from the police themselves. It's a demand from the locals. These considerations are part of a broader vision to strengthen the operationality of the federal police and to ensure better policing, service and support. The Minister of the Interior and the Minister of Justice have thus followed the proposal made by the Federal Police Steering Committee after consultation with the College of Attorneys General. The opinions all supported the idea of deconcentration with the maintenance of a central investigative capacity with well-defined tasks. OECDFO continues to consult with its internal partners to determine the respective investigative capabilities and to define a new management of research in economic and financial matters, based on concerted commitment criteria clearly specifying the respective competencies and responsibilities of the departments concerned.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u157	Minister, there's still something I don't understand. You told me about the financing of terrorism. What about bleaching?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u158	I think these are the tax 16 practitioners that I mentioned. But I'm not sure. I'll give you the answer.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u159	Because it was a substantial input from their files. The numbers, you say 35 and 21. Of course, it is a question of knowing exactly what is meant by "dossier". I am told that these are tiny files that are not of the magnitude of those they were dealing with in the past and that they must "clean up" the past. Laundering records that were opened prior to the new structure must be cleared. But there are not, in particular, any new money laundering cases entrusted to OECDFO, which is naturally a bit special. You yourself say that the tax 16 people can be in support of everyone. They're at the federal police. They come in support of OECDFO, but they can also be in support of another service.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u160	I hope that the different services work together and help other services if they have specific skills. I hope so. We must abandon this old vision of the organization where we have different pillars that do not speak with each other. For this reason, we bring together much larger organizations to tackle a phenomenon, not small ones.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u161	These are not small issues that OECDFO has dealt with in the past. Of course, people need to talk to each other. This is obvious, but there are also specializations in tasks that make that at some point Paul cannot handle the same task as James. They do not all have the same degree of competence. When a relatively well-informed investigating judge makes this kind of statement before a parliamentary committee in open session, a series of questions can be asked. I know that the proposal came from the federal police on "deconcentration" at the service level. I simply refer you to your first general policy note. However, I think you are concerned about the commitments you are making, unless we are told that the general policy notes are written on a corner table and that the next day we forget the content. In your first policy note, it was still a clear commitment that you made, in particular, to the investigative capacity of OECDFO, saying that you do not intend to change it. You'll tell me there's only fools who don't change their minds. Probably, but, on the other hand, it's important... I'm very surprised you didn't "save" me exactly where the money laundering files are going. They are still files, as you know, which bring a lot of money to the state and which are not anodized. As far as this specialized unit is concerned, "specialised" does not mean that it does not coordinate with others, it means that there are people who are able to handle such cases. I wish you could perhaps in writing tell me where the money laundering cases are going in a certain way. In any case, they no longer go to OECDFO. This was the bulk of his work. So for the files you're talking about, we don't have to lift the secret of the investigation, but I would still be curious to know what it is. As far as I know, these are minimal files that are objectively not up to the competence of the officers of the OECDFO.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u162	Mr President, Minister, the threats we face with regard to terrorism require greater vigilance with regard to the trafficking of false identity documents and, more specifically, with regard to what is curiously referred to as "false true" identity documents. These are documents issued as a result of a false declaration of loss of identity card, for example, by producing the photograph of a third party and not the photograph of the applicant. Your services recalled the instructions for electronic identity cards, including an update dated March 1st. More broadly, on 30 June 2015, a reminder of the guidelines of the circular of 26 March 2014 was also made. This recall provided for a number of initiatives for administrations such as training, helpdesk or a manual. This is a rather crucial issue since it directly targets our National Register. Minister, has the circular dated March 26, 2014 been assessed following the June 30, 2015 reminder? Has specific training been provided? If so, with which municipal officials, with whom? Was the manual also analyzed? Has the proposed helpdesk been solicited? Has BELPIC been recently evaluated with federal departments and local officials? How much data is currently available in the electronic identity card checkdoc? Is it possible to know the number of searches carried out in this system since January 1, 2015? How many requests for documents based on false information were registered in 2015-2016? What is the number of files forwarded to the Federal Police RFMO-D? Finally, is an attempt to obtain forged identity documents currently punishable? If so, have such acts already been punished since January 2015?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u163	Mr Pivin, I would like to inform you that a ministerial circular on a coordinated approach to preventing and combating identity fraud at the federal and local level will be sent to the municipalities by the end of the month. It is the result of a collaboration between the services of the Internal FPS and the Foreign Affairs FPS. This circular will serve as a guide for the municipal SPOC designated in each municipality, in the event that it suspects fraud involving a Belgian electronic identity card, a kid-ID, a Belgian residence permit for a foreigner, a passport, a travel document or a civil status document. It is divided into four main points: the structures put in place to prevent and combat identity fraud; identity fraud techniques and basic checks; the procedure to be followed by the Municipal Consular SPOC in the face of an identity fraud index; and the support and accompaniment of municipalities and consular posts. Following the circulation of this circular, the municipal SPOCs will be invited to a general information session on the fight against identity fraud, to be held next September. This session, coordinated by the Federal Task Force "Prevention and Combating Identity Fraud", will be the starting point for training courses which will be developed in the provinces by small groups of municipalities by the end of September. Practical arrangements for this general information session and training to share knowledge and strengthen expertise in the fight against identity fraud will be provided in due course. The Task Force will also hold a further consultation meeting with the Unions of Kingdom Cities and Communes and some municipalities, as it did last December, to take into account their comments and expectations in this area, following the circulation of the circular, and in view of the formations that will take place in the province. The procedure to be followed by a municipality when one of its officials suspects identity fraud is described precisely in the circular. At the federal level, it should be noted that a single front-line contact point – the national SPOC – for municipal officials has been created. It will serve as an information channel for the various services involved in the fight against identity fraud and will also be a strategic instrument through which the Federal Task Force can form an idea of the cases of identity fraud found in the municipalities. As for the BELPIC system, it is developing in regular consultation with the municipalities and also, in the context of preventing and combating identity fraud, with the Federal Task Force. Recently, a new version of BELPIC has been made operational in the municipalities, in particular to combat possible fraud and to protect the identity of citizens. The photo of the last activated citizen card is now automatically displayed on the screen when requesting: activation, cancellation and reporting of loss, theft or destruction of a card. This allows the municipal official to better control the identity of the citizen, for example in the case of the production of the photograph of a third party and not that of the person holding the document. In Belgium, there is no commonly accepted definition of identity fraud. It is multifaceted and can be linked to various criminal phenomena such as illegal immigration, trafficking in human beings, terrorism, economic and financial crime. The punishment of identity fraud is mainly based on the articles of the Criminal Code punishing forgery or falsification of identity documents and the wearing of false names. These are articles 198, 199, 199 bis, 202, 231 and 496 of the Criminal Code. As far as convictions of such acts are concerned, this falls within the competence of my colleague, the Minister of Justice, to whom I refer you.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u164	Minister, thank you for the answer.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u165	Minister, it appears that acts of identity card theft in municipal governments and federal government buildings have increased considerably in recent years between 2013 and 2015. We should not recall the particular attention we need to pay to the crimes committed as a result of these thefts and especially in the area of terrorism, as we saw during the dismantling of the Verviers cell. Can you tell us if there were 44 cases of identity card theft in 2013, 69 in 2014 and 91 in 2015? Is a specific federal police service dedicated to this issue and is it directly linked to the local police services? What procedure is in place in this context between local and federal police? How many flights have been elucidated? Has there been a significant number of cases involving internal complicity in the administration to commit these robberies and robberies? And finally, what are the elements used by the police to identify links between these thefts and terrorist networks, on the one hand, and the migrant crisis, on the other?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u166	Mr Pivin, I confirm the figures, but I want to nuance things. First, since 2006 (e-id introduction), theft of blank identity cards is no longer possible. Secondly, in the Police Data Bank (BNG), it is impossible to distinguish between the different types of flights taking place on the premises of the administrations. With regard to identity documents, the Federal Police has two central units providing the necessary support and expertise to the local police, if they so wish. The central DJSOC/theft service is organized when identity documents are stolen in an organized setting. This service is responsible for the creation of images, coordination between the various boroughs and the provision of expertise and support. In this respect, it also has an international network. Contacts between the relevant actors (parquet, judicial and federal police) are carried out through the structures provided for in confidential circular COL1/2008 on the approach of itinerant groups of authors. For example, each district judicial police service has a project manager and each police area has a point of contact. The Counterfeit Enforcement Division (DJT/OCRF), and in particular the OCRF-D Central Office, mainly active in the area of authentication of false passports, identity cards and driver's licenses from around the world. He manages the DIFF database, which provides expertise to the local and federal police for the following topics: overview of all new documents, new trends in falsification and theft, new techniques, and tricks and tricks to recognize fakes. In the event of theft, the statement must be made to the local police of the place where the theft is found; the local police will immediately report the stolen documents. In the case of organized theft of identity documents, a judicial file is opened through the Federal Judicial Police of the District. The exchange of information between local and federal police shall be carried out in accordance with the procedures laid down in accordance with MFO-3 and through channels such as the borough information hub. With regard to your questions 4 and 5, the answers to these questions fall within the competence of my colleague, Mr Koen Geens, Minister of Justice. As far as your sixth question is concerned, there is first of all the evidence from all the findings (including witness statements, traces, neighbourhood investigation, etc.).). Next comes the results of investigations, both from the investigations carried out as a result of these thefts of identity documents and from investigations conducted for terrorism (including telephony, confrontations, searches, etc.).). Please also be aware that any investigation into such flights is taken seriously. The police are fully aware of the fact that these robberies are carried out each time with a view to also permitting one or other form of organized crime. To this are added the persistent efforts to obtain the necessary information via "HumInt" (source information). Often, information also reaches us through intelligence services or from abroad. Finally, all stolen documents are subject to alerts that allow them to be intercepted in case of use (e.g. at the border crossing during a trip). The information gathered in the context of these interceptions, in turn, leads to the initiation of an investigation. Thus, the various possibilities are constantly combined. In some cases, a link can be demonstrated with terrorist records or records relating to trafficking or trafficking in human beings. In other cases, however, it turns out that there are completely different forms of crime. For this reason, identity fraud is taken up as a cross-cutting priority in the new National Security Plan (NSP).
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u167	[[...]]
