ParlaMint-BE_2017-07-18-54-commissie-ic717x.u1	Question No 19272 by Mrs Renate Hufkens is transformed into a written question.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u119	Mrs Van Camp, my answer is still the same. Preparatory work on price transparency is ongoing. We need not only scientific assessments but also price negotiations. In addition, the exercise should be carried out by product group. In addition, they are also looking for a tool that gives a clear view of the tools delivered in Belgium. There are a lot of different orthics. We have seen in the pact on medical devices how many different tools exist in Belgium. So this takes a lot of time; people are working on it.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u120	Thank you, Madam Secretary. I'll keep following up on the file.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u121	Madam President, Minister, this question has been going on for some time. They were waiting for the advice of the Supreme Health Council. In the meantime, some advice would have already arrived, but not that about HPV vaccination in boys. Have you received it in the meantime? When are the results expected? What is the advice on zona vaccination? Is that inside or are we waiting for it?
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u122	Madam President, Mrs Van Camp, the two opinions of the High Health Council on which you are speaking, namely an opinion on vaccination against human papillomavirus and the opinion on vaccination against herpes zoster, are currently being finalised. The Supreme Health Council has validated it at its last meeting and will be published after translation. We asked the High Health Council when that would happen, and that would be at the end of August or early September. The knowledge centre has also planned a study to evaluate the cost-effectiveness of gender-neutral vaccination against human papillomavirus. It concerns the KCE study 2017-04 "Possible benefits of vaccinating boys against human papillomavirus. It will be launched after the summer and will cover at least 150 research days. Normally, we will already be able to indicate a direction on the basis of the other two recommendations of the High Health Council.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u123	Madam Minister, you can expect me again with a question about this after the summer recess, at the beginning of the parliamentary year.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u124	Madam Secretary, this is once again a follow-up question. In April I asked you a question about the daily hospitalizations, and in particular about the missed opportunity because some of them were apparently not included in the list. We discussed, for example, gallbladder operations without complications. The KCE had cited several examples in a study. You replied that you, with your administration, the FOD and the RIZIV, looked at what could be changed. Meanwhile, we are a few months later and I would like to know if the list of interventions for daily hospitalization has been modified? If so, in what way?
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u125	Mrs Van Camp, the administration of the FPS Public Health, the RIZIV and the knowledge centre are indeed working together on a procedure to automate the list of interventions eligible for funding through a daily surgical hospital, as it were. There is little point in updating the list on a one-off basis without interfering with its implementation. If, one or two months later, a change is made to the nomenclature of medical benefits through the Medicomut, the list is already obsolete. That is why I have the opportunity to examine whether a method of systematically updating the list of benefits in kind, whenever the nomenclature changes, is possible. Then it's about a lot more than just gallbladder surgery. In view of the trend to work more with day hospitalization, for example in knee surgery, I think that we need to develop a very dynamic method, which allows the list to be adjusted automatically every time technological progress makes it possible to do an intervention by day hospitalization.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u126	Madam Secretary, that looks like a good slope. I hope it gets fixed fast.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u127	Madam Minister, this too is a follow-up question, because I have already asked several questions about Natulan, the latest one in April. You replied that the budget exercise had delayed the dossier somewhat. In the meantime, we are a few months further away. Madam Secretary, is the outcome of that file known in the meantime? Is the repayment of that plea, in particular, a fact?
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u128	Mrs Van Camp, I had replied to you that the Committee on Medicinal Products had not yet started its work on the budget. Fortunately, the committee has done so in the meantime, thank goodness, because there are already new budgetary negotiations taking place. Work on the evaluation of procarbazine in Chapter 4a was started. I am awaiting the opinion of the Committee on Medicinal Products.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u129	Madam Secretary, I'll wait for that with you.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u130	Madam Secretary, the FAGG regulates access to medicines with us. Apparently, a zero-based budgeting exercise has been launched for a few years to ensure a more accurate remuneration of the agency, more according to workload per file. That exercise would have been completed by now. If so, can you tell us about the results? I wonder which stakeholders or stakeholder groups are currently contributing in exactly what way, and whether the exercise in question will change anything about it, and if so when. I am told by people involved in the exercise that spending increases year after year. I understood that the budget would be maintained or even reduced in a zero-based budgeting exercise. Is it true that this is not the case? What exactly are the amounts involved? It could be expected that costs will increase if the number of files also increases. On the ground I hear that this would not be the case at all. On the contrary, the number of files, such as new marketing authorisations, would just fall. Is this true? How is that possible because costs are increasing? In this context, I would like to focus on your broader vision of the future of the FAGG. If it is true that the number of files is stagnating or falling, but costs are rising, it may be necessary to review the vision of this. Which direction does the agency ideally go for you as Minister? How do you intend to achieve this and when?
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u131	The FAGG has carried out a zero-based budgeting exercise which was also the basis of the 2018 budget submitted. This zero-based budgeting exercise is based on the fee-for-service principle. This means that those who benefit from the benefit of the service provided by the FAGG also bear the costs. Stakeholder groups contributing to the funding of the Agency are still the same, in particular the pharmaceutical industry in the broad sense, the homeopathic industry, the medical devices sector, pharmacists and wholesalers. However, the application of the zero-based budgeting methodology will lead to shifts in the burden of contributions between different sectors. The application of zero-based budgeting will, however, lead to shifts in the contribution burden between the different sectors. This results in a more equitable distribution of contributions by the various stakeholder groups, depending on the services provided by the FAGG. No upward trend in FAGG's expenditure was observed in previous years. An increase in the budget is usually due to the extension or deepening of the Agency's tasks. I am thinking, for example, of all the measures taken following the PIP affair in the medical devices sector, i.e. breast implants that were harmful to health, or the implementation of the Clinical Trial Regulation. As far as your second question is concerned, neither can there be any clear trend over the last three years. There are different types of marketing authorisation applications, depending on the procedures they follow, i.e. national, decentralised, mutual recognition or central. For some types of files an increase is noted and for others a decrease is noted. The assessment of costs has only taken place in the context of the zero-based budgeting project with the aim of drawing up the budget for 2018. The FAGG cannot currently comment on a possible trend, decrease or increase in the amount of costs. The identification of the revenue and cost structure under zero-based budgeting was a first step in a continuous process. The ultimate objective is also to make the FAGG a performant and flexible organisation. Given that the FAGG is funded for more than 80% by private stakeholders, it is also a question for them to have transparency and a central concept when they talk about financing the FAGG. In this respect, a number of improvements were made by the consultants accompanying the zero-based budgeting exercise, which will therefore be implemented in the short term. I would like to go even further in this and also have a business process regenerate within the FAGG, namely how the realizations of the output of the FAGG can gain efficiency. The management of the FAGG will soon be commissioned to do so. Moreover, I would like to take the experience of this exercise with me in evaluating the management of the other institutions for which I am responsible.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u132	Thank you. I will ask for the exact figures by means of a written question.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u133	Madam Secretary, dental CBCT is a new radiological and dental technique. This technique can be applied by dentists or radiologists. However, if I am well informed, there is a separate nomenclature number for both groups, while it is about exactly the same scan. The scope of application is also diverse. For dentists, this is limited to 70-plussers with an existing dental prosthesis requiring a revision of the anchorage. Radiologists, on the other hand, are far more extensive. Why is there a separate nomenclature number for radiologists and dentists, when it is exactly the same scan and operation? Why is there another indication in dentists? More specifically, why is the indication in dentists so limited? I have some examples that I think a dentist could use such a CBCT, for example a benign cyst, enclosed fangs or the preoperative placement of dental implants. Finally, the decision was apparently taken in the medical-technical council of July 2016. Was advice sought from dentists and radiologists and what was the advice of both professions on this matter?
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u134	Mrs. Van Camp, I must disappoint you. Your question arrived yesterday morning, along with your six other questions. We have asked for an answer from the RIZIV services, but we have not yet received it. It is also possible that it is due to vacation. After all, it is not because we continue to work in politics that the staff of the administration should not be allowed to take holidays. I propose that we send you the reply in writing.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u135	Madam Secretary, thank you.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u136	Question No 19983 by Mrs Fonck is transformed into a written question.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u137	Minister, I tabled this question in order to understand the reasons for the cancellation by the Council of State on December 8, 2016 of the Royal Order of April 2, 2014 setting out the standards that a child care program must meet in order to be approved. In the meantime, I went to read this stop. It follows that this decision was taken because of the reorganization of powers. Different technical aspects are not easy to understand. What are the consequences? What follow-up will you give to this cancellation? There is concern that the maternity, paediatric and M sectors may not be part of the same discussion during the formation of hospital networks. Interhospital networks fear being left without a pediatric section. The Royal Order stated that the M Service was part of a hospital with a licensed child care program and a licensed local neonatal care function. What will happen to this objective now that this text has been cancelled? Finally, concerns are raised about the quality of care, as the Order provided for standards of supervision in emergency and intensive care services with different levels of management.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u138	Ms Gerkens, the Council of State notes that the opinion of the National Council of Hospital Institutions points to the need to develop specific accreditation standards for the function of intensive paediatric care. The provisions of the annulled Royal Decree concerning the intensive paediatric care unit have not been submitted to the opinion of the National Council of Hospital Institutions, now the Federal Council of Hospital Institutions. The Council of State considered that the failure to submit these provisions to the opinion of the National Council of Hospital Institutions constitutes a substantial element and, on this basis, declared the cancellation. I have read the decision of the Council of State and have examined its consequences. In the meantime, however, the sixth reform of the State has taken place. In doing so, as Federal Minister of Public Health, I am no longer competent to make a new royal decree. The competence to set accreditation standards for hospital care programmes having been transferred to the Communities in the context of the abovementioned reform, it is for the Community authorities and not for the federal authority to take measures to comply with the cancellation order. I confess that the situation is complicated.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u139	That's what I was also thinking for reviewing the texts. Nevertheless, the fears they express in connection with the reorganisation of hospital networks and whether or not to take into account the paediatric dimensions in these networks remain something important that is linked to the reform that you are going to carry out. I would like, Madam Minister, through this question, to convey this need to take this into account in the reform, which is necessarily linked to the federated entities and their programming powers.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u140	Minister, we have dealt with all the issues. Our committee has sometimes been stigmatized for too much time reserved for questions/answers. However, we have reached the end of the agenda. So we can't be blamed anymore.
