ParlaMint-HR_2012-07-10-0.u6085	I see a hand in the air, a respected representative. Here you go.
ParlaMint-HR_2012-07-10-0.u12828	Bring in the end, Your Honor.
ParlaMint-HR_2012-07-10-0.u12829	I'm done. And in any case, it's about the jurisdiction of the local self-government unit. Thank you very much.
ParlaMint-HR_2012-07-10-0.u12830	Thank you, too. A replica of the respected representative, Jasen Mesic, has been reported at your presentation. Here you go.
ParlaMint-HR_2012-07-10-0.u12831	Well, my dear colleague, I'm glad you mentioned that you were here on the occasion, before you started working on the student square outside the cathedral, you had to conduct studies of a certain archeological nature because they were made as I recall the test probe. I know that the Ministry of Culture has been involved in this with certain means, of course, of the city of Djakov. It was a very smart move because we came up with data we didn't know we'd find there. How clever was what recently happened in the Vinkovci when silver treasure, silverware considered equivalent and... It was very clever to do so and therefore such provisions must exist and therefore we cannot allow certain things to be legalized over protected archaeological zones. [[The speaker doesn't understand.]] That's one thing. It is sad to say, however, that there is no division of archaeology for the first time since 1967. As if it were gone, but as soon as something with the efforts and work of archaeologists and according to the regulations of law, something is found immediately, the whole set of officials will remember to paint around it as if they had found it, not archaeologists on the ground. So I really think this was a good move for you to decide, Mayor.
ParlaMint-HR_2012-07-10-0.u12832	Thank you very much. And a reply to the replica, the esteemed representative Zoran Vinkovic.
ParlaMint-HR_2012-07-10-0.u12833	Well, you see, fellow Mesic of me as mayor, you can't expect bad moves, certainly. However, I will return to this very law that I say facing fairies, apartments, villas with swimming pools, etc. I hope they're not in protected areas of cultural heritage, but I'll take only one island or peninsula that's connected to the bridge, for example, Vir. There are several tens of thousands of illegally built buildings. So, the state is not the one, it will collect that fee, not to mention other tourist destinations throughout the Adriatic, the state is the one who wants to collect 50% of this fee in this way. The second thing is that these units of local self-government will have to and... illegally built buildings that do not serve for housing but serve primarily for rest, some are on 5.6 floors etc. There was that little crash I saw myself, but only the Hungarians died there. I hope no one is looking for a break to insult the national minorities again, but the fact is that the Hungarian owners of those cottages died. But I just want to say that the local self-government unit is going to have to solve the entire municipal infrastructure, and it won't have enough funds, not even through the collection of the municipal contribution, because that contribution will be extended through 25% of the fee. So if someone could build a villa with swimming pools, I don't know how many million euros then they can suddenly pay this fee. This does not apply to agricultural facilities. Thank you.
ParlaMint-HR_2012-07-10-0.u12834	Thank you, too. Now I know you don't suffer from modesty. Let's move on with the debate in order. Honorable representative Ante Babic and 10 minutes.
ParlaMint-HR_2012-07-10-0.u12835	Thank you very much, Mr. Vice President, the esteemed assistant minister with associates, colleagues and colleagues. The reasons why illegal construction occurred in Croatia is clear to everyone in unresolved property-legal issues, but also the lack of spatial-planned documentation as a basic document. Another reason is the concreteisation of the Croatian coast, and this problem has tried several times over the last 30 years. Now we have received a second reading of this law and I believe that it will legalize what is in space and what can be legalized, and the law prescribes that buildings can be legalized and that they have to be recorded in space. What I am interested in and what interests 55 of my colleagues in Split-Dalmatia County and 34 in Dubrovnik-Neretva County are the following things, and they tell us where the tears will be already on the eye, as well as with Mr Vinkovic about local self-government. In fact, it has been said that solutions can be issued, i.e. permits without paying the municipal fee to local self-government units because they allegedly did not count on it, which they could agree on. In practice, however, we know that this is not feasible and that we will happen to get solutions and that those needs and obligations resulting from units of local self-government will not be respected by citizens. So they propose a temporary solution to this legalisation until the final payment of obligations to local administration and self-government units. I see that's not what we're talking about. And the other thing I see that hasn't changed in this second reading is Article 35 paragraph 1 of the amendment of the law which says among other things: "The Katastrian Office will record the completed building in the cataract according to the special regulation governing the cadastre." The question is, will the geodetic elaborate of the building, or will the catastrian offices do so on official duty without additional costs for the party, also be paid after obtaining a solution on the state of play? In this case, if the party does so, they will increase the cost by 3 to 5 thousand kuna. We should certainly keep an eye on these things and make it clear by law. And the third thing that interests all the mayors and mayors is whether it is legalisation, or whether objects are legalized by the law or whether they become a solution to the administrative legal procedure. Thank you very much.
ParlaMint-HR_2012-07-10-0.u12836	Thank you, too. We have on your presentation of the registered replica, the respected representative of Zoran Vinkovic. Please.
ParlaMint-HR_2012-07-10-0.u12837	A humble representative. So, here's a colleague right here is important, so this article 22, which in many ways refers to units of local self-government as well as the conclusion of the Committee on Local Self-Government. I mean, what do we need a board if we don't respect the opinion of the Parliament Committee on Local Self-Government? So the ministry did not respect the opinion of the parliamentary committee at all, but simply rejected it. But given that I have also spoken to the mayors of cities and municipalities and mayors of the Kukuriku coalition, they will probably not say it publicly, but they also disagree with this distribution. So, this Article 22, we directly enter into the functioning of local self-government units. So, if you want to legally build a building, get a building permit, then you'll have to pay immediately for the first work of the municipal contribution, if you have a good mayor, and he's allowed you to pay in the wars. If you don't have a good mayor, then you'll have to pay at once. Now we're going into legalization, so the law says, "E year I'm giving you more gratis, because you illegally built an object or a building.". This does not apply to agricultural facilities because we have asked for the permission of local self-government units to free even fees, and not only the payment of the municipal contribution, which is therefore the jurisdiction of local self-government. And let's think in the ministry about the amount of water contribution, which depends on the size of the municipal contribution unit far greater than the municipal contribution itself, and the money doesn't know where they're going.
ParlaMint-HR_2012-07-10-0.u12838	Thank you very much. Replicate response, respected representative Ante Babic. Here you go, Your Honor.
ParlaMint-HR_2012-07-10-0.u12839	So I agree with my colleague Vinkovic, however, here from the Constitution of the Republic of Croatia, Article 137 says: "In carrying out operations from local administration units and self-government they have the right within, excuse me, the area of regional self-government are independent and subject only to the supervision of the constitutionality and legality of authorised state bodies.". Thank you.
ParlaMint-HR_2012-07-10-0.u12840	Thank you, Your Honor. The next speaker is the respected representative Josip Boric. Here you go.
ParlaMint-HR_2012-07-10-0.u12841	Thank you very much, Vice President. Well, I've already spoken on behalf of the club, and now I'm going to try a few more of my thoughts and individual examples, which is why I'm going to say in the debate I'm going to say that we're going to be abstentions, and I'm personally going to be abstention in voting on this law. I must say, here at first we heard that we were passing a law that was unfair. I think it's hard and it's not good for us in the House to speak as Parliamentarians, to pass an unfair law. This is our attitude towards the citizens, and then perhaps, I say that by a colleague from the SDP, it might be better to say that we did not respect this law equally, all that is in the territory of the Republic of Croatia, and it can be legal. I personally am not a supporter of absolute knowledge, and I find it difficult to accept all these arguments that you have given us on all fifty of the remarks that we have made from the board, so the representatives' clubs themselves, to the individual objections of the MPs themselves. Only a dozen were accepted, in my opinion insignificant. From the availability of the orthophoto map, to the extent I do not know, reduced documentation related to the outcome of the certificate or the solution to the state of play. The most important remarks that are still being read after 20 days from this final draft of the law. The definition of rough constructive works, payments ratios for the benefit of the state, means in relation to local self-government and regional self-government, protected coastal belt and payment of contributions to legal, or illegal builders. This law certainly deserved and had a lot of attention to the Croatian public, because the fact that we have several hundred thousand illegal objects says that there are equally many times a few, 3 or 4 citizens who are interested in this issue because they don't care what happens to those areas where they live, who have been hard building for years. However, here I am going to go back to some of these questions and ask some questions to the esteemed deputy because we see that through this law we have now expanded the number of cases in which the number of illegally built objects is legalized. So we started on traffic and communication corridors, and then even more into strict reservations, special reservations, monuments of nature and monuments of park architecture. Now I don't understand how we remembered all these protected parts, and do we today, in the spatial plans of the local self-government unit, have construction areas in these protected areas? Or were they really the whims of individuals, I don't know the great politicians, the prominent social figures, so we remembered now to insert these protected areas in relation to what we've had so far, because we've entered both cultural heritage and agricultural land and forests, etc. And then at one point you speak in some areas you can return to your original state, i.e. You can achieve a function of purpose, I'm talking about public social areas. Areas of public use or tourist zones, and in other areas it makes it impossible for us to do so. I don't think that's fair. There is also injustice in the section that says that those who are recorded as lawless builders, who have a solution to the destruction, are 30,000 people, and they are guilty only because someone recorded them and reported them. Compared to all those who didn't, and they know that we were illegally building, and we cut them by almost a year, so they could file a request, while everyone else has a year more. I think that provision should have been evened out and that it should have made it clear that all the lawless builders, regardless of the solutions that will not be realized, and we ourselves say that it will not happen if they apply, that they are all equalized in that part. I've got, I'm saying a lot of remarks and emails from people who are really in trouble. Here's one of Mrs. Zivkovic, who writes to me and says, "I've been doing something my whole life and I've been trying to do something, next door there's a neighbor, a rich neighbor who has money, he's built a house with apartments in town, etc. I am only up to the foundation of the foundation and the first plate he has his house beside me under this law will succeed in legalizing, I will succeed in my foundation and possible desire to have final residential space cannot legalize because the definition of rough constructive works simply does not cover and that part means only the foundation and the first part that connects means... and the board. The second part that remained also questioned, which I said to the committee, what about those people who in 1968 said in certain areas or social public purposes or tourist or catering and tourist purposes were authorised i.e. Under the law they acquired a legal object that may have been upgraded years after that and perhaps two years ago, he in this time became an illegal object that had one time his license he will no longer be legalised under this law. Why do we not allow this by supplementing Article 6 and we say given the documentation that is indisputable to enable these people because these people have a lot, and they know for themselves that in one part of the wrong one they went but they had before that rolling documents. I say there have been different remarks and people really see this as a very important topic for themselves, and they don't need it against them, and we're here to say and make those remarks and the government is there to try to fit all of that into some article. I know it's hard to agree because there are a number of examples which are different areas, but let's do everything we can to make sure that once this law is passed, that those injustices we're talking about are as little less than possible. Thank you very much.
ParlaMint-HR_2012-07-10-0.u12842	Thank you, too. We have on your exhibit a correction of an incorrect assumption. Hope Turina Đuric. Here you go, pals.
ParlaMint-HR_2012-07-10-0.u12843	Thank you, Mr. Vice President. Well Mr. Boric said one thing I would say is a very heavy accusation and a lie, which is that he declares this bill unfair. Arguing all this together, I guess it was the law that passed the HDZ because I guess it was all the best when they passed the laws that he was just. I must say that in order to be fair, the law must first and foremost be enforceable, and it is feasible and beneficial for most of the citizens of the Republic of Croatia. Unfortunately, the facts also speak for the situation that we have come to power is such that the law in the good part has not been enforceable and that somewhere around 10 thousand requests have come to legalisation in relation to the figures available to have illegal facilities and that they move on to some estimates and figures over 700 thousand of such objects. Therefore, we cannot talk here about a bill that is unfair in relation to the law that you have passed which you claim to be just and which in reality was not enforceable and which did not benefit the citizens of the Republic of Croatia.
ParlaMint-HR_2012-07-10-0.u12844	Thank you. We have a breach of the Rules of Procedure. Please welcome fellow Boric.
ParlaMint-HR_2012-07-10-0.u12845	Article 209 of the Honorable Vice President because the lady corrects something I didn't say. I said that's what a colleague from the SDP said when he started a preliminary explanation of his part of this law then he said that this law was unfair. And then I said that we mustn't speak in the House that he is an unfair law but to seek out the best concept and say that maybe this law doesn't go the same way to everyone who's been in the room and illegally built.
ParlaMint-HR_2012-07-10-0.u12846	Thank you. That means we all have to listen more carefully together. But the intensity I realized to my fellow Turin not to defend but she probably overlooked this part that you repeated what your colleague from the SDP said she heard as if it were your saying. [[I'm thinking the same thing.]] Believe me, I'd warn you. I'd like to ask Deputy Minister Taritash. Here you go.
ParlaMint-HR_2012-07-10-0.u12847	Thank you very much, Mr. Vice President of the Croatian Parliament, ladies and gentlemen of the Parliament. Here's to the end after all this discussion I think we may need once again some of the topics that this law defines and the provisions emphasize. So it's a law that defines the treatment of illegally built buildings. So dealing with buildings that exist in space is a fact that none of us can ignore that we have hundreds of thousands of illegally built buildings in space. We want to put them in this country's legal system, put it in that response system that was here in the discussion can become a fundamental solution to the state of play. Based on a solution to the state of play, the illegally built building has its own cargo charge that has done what needs to be paid in the space. In the same way, it must pay the municipal and water contribution, so this law does not provide for any way to exempt it from its obligations. Based on this, the building can be connected to the municipal infrastructure because you who are participating and at local level well know that an illegally built building today cannot be connected to the plumbing and sewerage in which case this building can be done, and it can also get solutions to carry out activities according to a specific regulation. And in the process of determining the compensation, therefore, in the process of determining the municipal contribution, it is then to determine what is the amount of the compensation and, in accordance with the specific regulation of that jurisdiction, of the units of local self-government. This law provides only the possibility of a one-year delay, which again depends on the owner's request, or again, on the authority of local self-government units. There's something I'd like to say about article 6. So a lot of discussion caused Article 6 which defines the way and which are buildings that cannot be legalised. There's still a series of buildings left in areas that can't be legalized. The fact is that this law has increased the number of buildings that can be legalized and the other buildings are so-called buildings. conditional legalization. What does conditional legalization mean? A conditional legalisation means that buildings located in areas protected from cultural heritage can only be legalised if they have prior confirmation of the competent body to perform the conservator's tasks so that they can be kept in the space under the same conditions under which the location permit would be granted, so the conditions for the location permit and the decision on the conditions of construction. Similarly, buildings located on the planned or explored corridors and surfaces of transport energy and water buildings of importance for the Republic of Croatia and units of the regional, regional and local ones may be legalised only if the public authority responsible for the management of that building has issued a confirmation that it has been built in accordance with the specific conditions laid down by that body under specific rules in the procedure of issuing a local permit or a decision on the conditions of construction. So there's so-called. the conditional legalisation of buildings which are only possible after the public legal authority which manages this area under the jurisdiction of a specific regulation gives special conditions for such buildings, and hence the same conditions that it would give in the process of issuing a local permit, i.e. building conditions solutions. This law divided the building according to its demand into four groups, and defined four groups in relation to the documentation needed to be submitted to the four groups. It also defined the way in which parties participate in the proceedings, defined who the parties are in the process and said that the legalisation of the buildings is only interrupted in cases where there is a litigation in terms of ownership. This means that in these cases the building is not, so the request is not rejected but the whole procedure is terminated until the court dispute is resolved. Similarly, a discussion on the subject of work to be done by the geodetic and elaborate for building law has been restarted, and is an integral part of the design that serves to enroll that building in the catastro. So it's not about double payment, it's not about repayment, it's about this elaborate that's going to be used to get a solution to the state of play, it's about to be a lab that's going to become part of the building's enrollment lab. Similarly, what is important to stress is that all the documentation that has been submitted today, all the documentation that has been made in accordance with the current law, which is much more complicated than what has been proposed by this law, will be able to serve to act in accordance with this law. For the end, I would go back to the fourth group, or fourth category. The fourth category of buildings that we allow legalization is so called. Auxiliary buildings. These auxiliary buildings are a special category, special categories are for the following reason. The condition is that they are located on a formed building particle, the condition that the building building on that building particle is legal, regardless of which purpose is residential or business, and if then we have an auxiliary building of up to 50 m2 with a one-time fee without paying the municipal contribution, without paying the water contribution, with a one-time fee which will be said in the regulation that building is legalised. So it's about garages, auxiliaries, not to tell pigs, chickens, where rural economies, which become a solution to the state of play, but the first and basic condition is that the existing building particle and that the existing building on it is legally based on a building permit or act that was valid at the time that this building was built. So that's the fourth category for the simple reason that once we've analyzed the space we've done, we've determined that about 70% of the illegal buildings in the space of that character. Therefore, in one simple way there must be a building in space, it must be recorded on... and these buildings up to 50 m2, an auxiliary building, provided that the particle is legalized by this law. Here I think I've been through the basics. For the end, I wouldn't want her to stay in the dilemma, which means legalizing 100 meters from the coast line. So on several occasions the Barcelona Convention was mentioned. Following the 2008 Barcelona Convention, a Protocol on coastal management was signed in Madrid. Croatia was a signator of the protocol, Croatia did not ratify the protocol, but was accepted by the European Union, more than five countries in the Mediterranean, and therefore we are under its obligation. When a decision was made at all whether it was possible and how to make legalisation 100 meters possible, then we carefully and carefully consulted the protocol. The protocol says that the Member States need to regulate their national legislation, i.e. the construction ban within 100 m, but it is about new construction, so it is about something we are planning but it also says that Member States need to compare the existing found construction that is defined in 100 m and see what is with it. So when there was a decision at all what to do with those 30, 40 thousand buildings that were built in 100 meters then we absolutely consulted the Protocol on coastal management of the Mediterranean and we also did certain consultations with people involved in the whole process and it was said that any legislation can through its laws, but it is important that the laws are at national level, to be defined and how they will do with the existing ones found, regardless of whether they are legal or illegal buildings and construction in 100 m. I think that I am on the basic things that have been explained here, yet once again, and here is this proposal, the final proposal of the law that we have submitted in the follow-up procedure. Thank you.
ParlaMint-HR_2012-07-10-0.u12848	I thank the Deputy Minister. We have a correction to the incorrect quote, Zoran Vinkovic. Here's my colleague Vinkovic.
ParlaMint-HR_2012-07-10-0.u12849	Thank you. I'm correcting an incorrect quote, and before that, let's let the pigs and chickens go so the auxiliary buildings don't have pool villas. But I am correcting exactly what is related to Article 22. It's not true what the deputy minister said because the law says that the local self-government unit will not allow for a year and have that opportunity. This is in the law where it definitely writes a solution to determine the municipal contribution and water contribution, a delay in the payment of the contribution, or a delay in the start of its payment in the event of payment, is granted for one year from the date of execution of the solution if requested by the applicant or the owner of the building. Whoever asks local self-government in this case and that means directly that whoever goes legally builds has to pay for the first war communal contribution if it's good..., if it's not paid at once will. And the one who legalizes his law allows him, so by law you interfere with the jurisdiction of local self-government.
ParlaMint-HR_2012-07-10-0.u12850	Thank you, colleague Vinkovic.
ParlaMint-HR_2012-07-10-0.u12851	And I wish you'd answered what's going on with the possibility of relief. And the last thing, and it connects to all local self-government units, I don't know how many states...
ParlaMint-HR_2012-07-10-0.u12852	You're done with your colleague Vinkovic.
ParlaMint-HR_2012-07-10-0.u12853	The state gets tired of this 50%.
ParlaMint-HR_2012-07-10-0.u12854	You're done. Thank you. .../The Intruder doesn't understand. We're done arguing. We'll vote when the conditions are met.
ParlaMint-HR_2012-07-10-0.u12855	Final draft law on the treatment of illegally built buildings, second reading, PZ No. 95, the debate on the text of the law is over. The bench is divided into a review of the amendments. I would like to ask the Deputy Minister of Construction and Spatial Planning Mrs Anka Mrak-Taritash now to show herself about the proposed amendments. First, the amendment of Parliament of Ruža Tomasic to Article 3.
ParlaMint-HR_2012-07-10-0.u12856	It is not accepted since the amendment in question has changed the essence of the law as it proposes the introduction of studies and solutions on the temporary retention of illegally built buildings.
ParlaMint-HR_2012-07-10-0.u12857	Thank you very much. I'm asking the amendment promoter to manifest himself.
ParlaMint-HR_2012-07-10-0.u12858	Thank you very much, Mr. President. The proposed concepts and, in accordance with their actions, the law is simply incomplete and incomplete and subject to malfeasance. I'm looking for a vote.
ParlaMint-HR_2012-07-10-0.u12859	Who's in favor of an amendment the government doesn't accept? The amendment didn't get the required majority. Amendment 2 to Article 5 of the same proposal.
ParlaMint-HR_2012-07-10-0.u12860	It is not accepted for the simple reason that it would not be possible to legalise buildings that were built against the plan at all, and that was the purpose of the whole law to enable legalisation and these buildings.
ParlaMint-HR_2012-07-10-0.u12861	Thank you very much. Ms. Ruza Tomasic, the amendment promoter.
ParlaMint-HR_2012-07-10-0.u12862	Thank you very much. Mr. Vice President, we are the same for legalization but not under any circumstances and not all buildings. I'm looking for a vote.
ParlaMint-HR_2012-07-10-0.u12863	Who's in favor of an amendment the government doesn't accept? He didn't get the necessary majority. Amendment 4. The SDP representative's club shall be referred to in Article 6.
ParlaMint-HR_2012-07-10-0.u12864	There's another amendment to Mrs. Rose Tomasic.
ParlaMint-HR_2012-07-10-0.u12865	Excuse me. Amendment of the 3rd Parliament of Ruža Tomasic to Article 6.
ParlaMint-HR_2012-07-10-0.u12866	It is not accepted because this law allows legalisation in a 100-metre area. It's explained on several occasions what it's about. So a 100-metre area from the coastal line. In this way, those who are there would be in an unequal position. It's unacceptable.
ParlaMint-HR_2012-07-10-0.u12867	Please, Mrs. Tomasic.
ParlaMint-HR_2012-07-10-0.u12868	And here we are, since we are proposing to draw up recovery plans, not legislation by applying laws directly in case of building buildings contrary to plan. The categories referred to in Article 6 should then be linked to the development of a recovery plan, not to the issuing of a retention solution. I'm looking for a vote.
ParlaMint-HR_2012-07-10-0.u12869	Who is Mrs. Ruza Tomasic's amendment that the government does not accept? He didn't get the necessary majority. Amendment 4. The SDP representative's club shall be referred to in Article 6.
ParlaMint-HR_2012-07-10-0.u12870	It's acceptable, but it'll be nomotechnically incorporated into the law. We suggest that it be unambiguously incorporated into the law as Amendment 5, which will also be accepted in such a way as to be incorporated into the law.
ParlaMint-HR_2012-07-10-0.u12871	Does the applicant's representative accept this explanation? So the amendment was accepted in changed form. Amendment 5. HNS representative's club on Article 6?
ParlaMint-HR_2012-07-10-0.u12872	Sustained.
ParlaMint-HR_2012-07-10-0.u12873	Accepted. It becomes an integral part of the law. Amendment number 6 from your list of representatives of Walter Bolunčić has been withdrawn. Amendment 7. SDP and HNS representatives' clubs, as referred to in Article 6.
ParlaMint-HR_2012-07-10-0.u12874	Sustained.
ParlaMint-HR_2012-07-10-0.u12875	It becomes an integral part of the law. Amendment of the 8th Parliament of Ruža Tomasic to Article 7?
ParlaMint-HR_2012-07-10-0.u12876	It is not accepted because the word is thus what a certain conditional legalisation is proposed. It's unacceptable.
ParlaMint-HR_2012-07-10-0.u12877	Proposer of the amendment.
ParlaMint-HR_2012-07-10-0.u12878	I said before, I'm asking for a vote.
ParlaMint-HR_2012-07-10-0.u12879	Who is Mrs. Ruza Tomasic's amendment that the government does not accept? He didn't get the necessary majority. Amendment of the 9th Representative, Ruža Tomasic, to Article 8.
ParlaMint-HR_2012-07-10-0.u12880	It is not accepted because it again proposes a temporary solution to the retention of illegally built buildings.
ParlaMint-HR_2012-07-10-0.u12881	Proposers of the amendment.
ParlaMint-HR_2012-07-10-0.u12882	In addition, Article 8 requires the proposed amendment in Article 3 by introducing the concept of a temporary solution for the resolution of social and economic cases of illegal construction. I'm looking for a vote.
ParlaMint-HR_2012-07-10-0.u12883	Who is Mrs. Ruza Tomasic's amendment that the government does not accept? He didn't get the necessary majority. Amendment 10 of the same applicant to Article 8.
ParlaMint-HR_2012-07-10-0.u12884	It is not accepted for reasons because, therefore, the re-installation of a solution to temporarily illegally built buildings is because the recovery projects or everything else that has been proposed have not been incorporated into the law. Then this can't be the same anymore.
ParlaMint-HR_2012-07-10-0.u12885	Proposer of the amendment, MP Ruza Tomasic.
ParlaMint-HR_2012-07-10-0.u12886	I'm looking for a vote.
ParlaMint-HR_2012-07-10-0.u12887	Who's in favor of an amendment the government doesn't accept? He didn't get the necessary majority. Amendment 11 of the same applicant to Article 11.
ParlaMint-HR_2012-07-10-0.u12888	It is not accepted for the reasons why four groups of buildings are clearly structured which are necessary for them and in this way the whole mess in that structure has been introduced and it would not be possible to implement the law.
ParlaMint-HR_2012-07-10-0.u12889	Proposer of the amendment.
ParlaMint-HR_2012-07-10-0.u12890	Mr Vice-President, issuing a statement on meeting the essential requirements of mechanical resistance and stability is not possible without additional, as a rule of expensive testing, and authorised engineers will be under investor pressure to issue a statement based on an assessment that puts them in an unfavourable position. If it asks for additional price surveys, it will rise and be blamed for the collection of legislation. It is therefore considered that if the party itself does not have credible evidence from the time of the construction to issue an assessment declaration. I'm looking for a vote.
ParlaMint-HR_2012-07-10-0.u12891	Who's in favor of an amendment the government doesn't accept? He didn't get the necessary majority. Amendment of the 12th Parliament of Ruža Tomasic to Article 18a.?
ParlaMint-HR_2012-07-10-0.u12892	It is not accepted, since it is again a matter of temporary detention of illegally built buildings for a specific category of population.
ParlaMint-HR_2012-07-10-0.u12893	Proposer of the amendment.
ParlaMint-HR_2012-07-10-0.u12894	I'm not gonna waste my time explaining, I'm just asking for a vote.
ParlaMint-HR_2012-07-10-0.u12895	Who's in favor of an amendment the government doesn't accept? He didn't get the necessary majority. Amendment 13. HNS representative's club on Article 23?
ParlaMint-HR_2012-07-10-0.u12896	Sustained.
ParlaMint-HR_2012-07-10-0.u12897	It becomes an integral part of the law. Amendment number 14. The Committee on Spatial Planning and Construction?
ParlaMint-HR_2012-07-10-0.u12898	It's unacceptable. The applicant shall remain with the provision of Article 31 using 20% of the compensation exclusively for the purpose of administrative law enforcement bodies, 30% for local self-government units in the area where this is due to the devastation and 50% of the state budget for the implementation of this law and the resolution of space.
ParlaMint-HR_2012-07-10-0.u12899	Representative of the board, are you withdrawing the amendment or requesting a vote?
ParlaMint-HR_2012-07-10-0.u12900	I couldn't withdraw the amendment since it was voted by the board, so I don't have to withdraw that mandate on behalf of the board, so I would ask the vote, because it's because it's that we've estimated that it's fairer to share that fee on equal terms than 50% of the state, 30% of the city, 20% of the county for the simple reason why that division didn't find a foothold in some formula to say, who's working in that process, so we thought it was a third fair thing so that I would beg the vote on behalf of the Committee of Amendments.
ParlaMint-HR_2012-07-10-0.u12901	Who's in favor of an amendment to a board that the government doesn't accept? He didn't get the necessary majority. Thank you very much, Madam Deputy Minister. We move on to the Final Bill on dealing with illegally built buildings, second reading, P.Z. No. 95. The debate on the text of the law is over. The bench is divided into a review of the amendments. I'm calling the Deputy Minister of Construction and Spatial Planning. I'm sorry, we just did this. I'm voting on the final draft of the law. Who's in? Against? Restraint? I'm asking for a result. I find that the law has been passed by 85 votes for and 50 abstentions.
ParlaMint-HR_2012-07-10-0.u12902	We move on to - Final bill on amendments and additions to the Law on socially encouraged housing, emergency procedure, first and second reading, P.Z. No. 122. The legislator is the Government of the Republic of Croatia. You've received the motion for an act in boxes. In accordance with Article 159 of the Treaty, the The Rules of Procedure unites the first and second readings, and amendments can be submitted by the end of the debate. The debate was conducted by the Committee on Legislative Affairs, the Committee on Spatial Planning and Construction. You received the reports at the session. Does the Proposer want a representative? Deputy Minister, come in.
ParlaMint-HR_2012-07-10-0.u12903	Thank you very much. Dear Mr. Vice President of the Croatian Parliament, ladies and gentlemen of the Parliament. This is about the Proposal for a Law on Amendments and Supplements to the Law on Social Encouragement. It is a law passed by the Croatian Parliament on 30 November 2001. Since then, the law has experienced several changes and additions. However, with these changes and additions it has been continuously spent in recent years, however, with significantly reduced intensity. Since 2002, a total of 5 and a half thousand apartments of total investment value have been built around 2 and a half billion kuna. These figures absolutely show about a POS model that is feasible, justified and financially sustainable. To date, POS has included 72 cities and municipalities. A non-profit state agency APN participates in the implementation of POS and four cities have also established their promotional housing agencies. It's about Rijeka, Dubrovnik, Koprivnica and Varazdin. What is the theme of these changes and additions? The theme of these changes and additions is to introduce specific programs so-called POS plus, and the word is to enable the sale of newly built apartments on the market. Therefore, the POS programme also allows the fact that we have a number of newly built, unsold apartments on the market, that they can be included in this programme. Then the possibility, which was also in the basic law of 2001, is that at one hour, changes and additions were put out of effect, which is that you are a direct construction company that has the property possible without a public tender and offers apartments to the agency and is therefore possible to offer construction land and construction at the same time. Then, the ban on alienation is lifted within 10 years. What's this about? Now the law has been, is a provision that says that since 10 years is a ban on alienating such apartments. What we need to know is that so far, 21% of these apartments have been paid up to now. These provisions are made possible by amending and supplementing it when the apartment is paid prematurely, so all that should be paid off so that it can also be alienated from such an apartment. Similarly, this law, therefore, amends and complements the more detailed issue of financing the construction and sale of garages and parking garages, if the construction of such sites, i.e. such operations in space, is foreseen by a spatial plan. What is important to say is that this law also introduces a single newspaper, which is the possibility of making a pre-contract with a 5% corporal of the intended sale price, because in this way the state also has a certain guarantee that all those interested in buying apartments under this POS project will indeed buy such apartments. These are the important things that are regulated by this amendment and by supplementing the law. The reason for the emergency procedure is this specific programme which allows and allows the housing that exists on the market to be purchased by the state and put into the POS programme as an incentive programme. Thank you very much.
ParlaMint-HR_2012-07-10-0.u12904	Thank you, Deputy Minister. Do any of the rapporteurs want to take a word for it? No, I don't. I'm opening a debate. On behalf of the SDP club, Vedran Babic. Here you go, buddy.
