ParlaMint-NO_2012-06-15.ana.ud2276e160	The representative, Mr Höglund, wishes to make a proposal for a representative.
ParlaMint-NO_2012-06-15.ana.ud2276e2053	It was the representative of Alf Egil Holmelid that made me extend the working year by 3 minutes. He fabricated a little bit about Right Double Communication. It is relatively easy to clarify the obvious misunderstanding. Holmelid was in the seed funds – and they adopted the seed funds. Yesterday we had a long and thorough debate on the Tool for Growth Communication, of which the Seed Funds were part. That's where the right and most of the parties have written together. It's agreed. So the right is for seed funds. In the context of the revised national budget, we have three seed funds – one more than the government has recapitalised. To clarify the misunderstanding where Holmelid accused Right of double-communing: It is such that the last seed fund has Peter Skovholt Gitmark geographically sold to Agder, which is right behind. So here we haven't double communicated, we haven't promised anyone else. We believe it is an amazing region that will accept such a tool.
ParlaMint-NO_2012-06-15.ana.ud2276e2061	It's always exciting to listen to the representative Martin Kolberg. He often has a slightly different angle of incidence than the rest of the working party group. Because while the Labour Party's representatives have in turn gone up to the pulpit and said that the bourgeois parties are talking down Norway, Martin Kolberg could state that we have a cross-political capacity on the Stortinget to rejoice that much is going well in Norway. While Irene Johansen could establish that the bourgeois will lead Norway in a completely different direction, Martin Kolberg could state that the bourgeois parties are breaking in their criticism. What I think is perhaps the most striking thing in this revised debate is that the Workers' Party is increasingly starting to act as an opposition party – and I will be allowed to add, a rather surreal opposition party – where the most important task is to criticize others and to scare with other parties. So to Martin Kolberg's question -- he has obviously let himself be bothered that I chose to give praise to the Advance Party, rather than dissociating the Advance Party when the party went, as I see it, in the right direction. For the first time, the Progress Party was clear that there is a need for some sort of action rule. They want to spend less on operations and more on investment. But that does not mean that the Right Party and the Progress Party agree on the rule of action – just as the Workers' Party and the Center Party do not agree on the rule of action either. I am absolutely convinced that there will be a playoff from Per Olaf Lundtägen this summer that he wants to spend more money on transportation – or from the head of the Center Party, who has addressed something of the same thing as the Progress Party has done. But that doesn't make me suspect the Workers' Party to be on the run. In that question, I actually trust that the Workers' Party will stick to the rules of action. Let me also remind you that the Right in Government, together with other civil parties, has been cleared up in the Norwegian economy from 2001 to 2005. We strengthened the competitiveness of businesses, while it has been weakened every year under red-green rule. Yes, we provided a basis for growth in the private sector, which meant that the daily newspaper throughout the first page of 2005 stated that Jens Stoltenberg came to the table. In the revised national budget, the Right actually proposes using two billion oil crowns less than the government adds. We are following up what was one of the foundations of the rule of action: that oil money should increasingly build up under the growth capacity of the economy through investment in knowledge, infrastructure and growth-enhancing tax relief. There, Martin Kolberg and the Workers' Party failed, and he was unable to refute his post.
ParlaMint-NO_2012-06-15.ana.ud2276e2076	Much of this debate has been about the framework of economic policy. I think that is very good, because the Progress Party has stated in the last few months that today's rule of action is full of holes. Many billions of dollars are spent annually on the outside of this rule, even though the government later becomes as if everything were prioritised within. We have shown that the large investment of the oil industry is not included when one sets a framework for the rest. We have asked the question: what happens to oil money if oil investments increase by 50 billion. kr more than provided? The answer is that the oil money usage will be adjusted by NOK 0. The red-green counter-arguments in this debate have been to distort the policies of the Progress Party, rather than to deal with our claims. So nothing is rejected – and that was not expected either, because everything we claim here, we have asked written questions to the Ministry of Finance and seen how a reasoning officer. Then, however, there are claims that the Progress Party has two rules of action, and Dag Ole Tegen claims that the rule has also been changed along the way. It's completely wrong. We have one rule of action. Unlike the current rule of action, the use of oil money is included in the State budget, but it is also related to an oil money use outside the State budget. In practice, when government parties give the impression that there must then be two rules of action, there is a recognition that they themselves do not have a rule for the use of oil money that goes on the outside of the state budget. Then it creates an artificial false security for economic policy, when one towards people later like everything here is being handled, while there are actually tens of billions on the outside of the state budget every year, without counting it. Then it's a better rule to say that we're counting all things, but that we're still defining things a little bit differently. We want to limit the growth of the government budget's expenditure side on consumption, but then we say that the projects that are socially profitable investments need to be implemented when that makes sense. It makes sense to try to accelerate the expansion of the intercity triangle around Oslo. Societal economic profitability will be improved by having a slightly more intense use of oil for ten years, rather than spreading it over 30 years. Then it's about what makes sense for the Norwegian economy, instead of letting a rule govern economic development, so that we actually have to outsource reasonable investments over a 30-year period, over ten years. I find it pointless when we sit here and later as it's the responsible economic policy that SAS can get billions of dollars outside of the rule of action, but once an icy airplane has a working uniform to asphalt, it creates inflation. But as long as you go in the skirt and go serving peanuts on a plane, it's not inflation. That is not the way we are going to discuss economic policy. In fact, I believe that many people in the SV and the Central Party do not understand how the rule of action works today, when they allow the Workers' Party to define how the debate should be.
ParlaMint-NO_2012-06-15.ana.ud2276e2089	There has developed an interesting discussion about the rule of action. So far as I have read the attitude of the Progress Party and heard the spokesman for fiscal policy today, the most important concrete change in the rule of action of the Progress Party is that they transform the State Road Administration and the Railway Agency into a state limited liability company according to the Avinor model. It's a fundamentally big change that has a number of challenges in addition to the purely budgetary one. Firstly, it greatly reduces popular governance in relation to what we have today. There will be a less possibility for the Storting to use the entire country on the basis of the priorities of elected bodies under today's system, and of course this will mean that the Railway Agency and Vegvesen, as state limited liability companies, will be able to borrow the company and thus push the expenditure in these areas ahead. Overall, this is a poor solution, because what goes on rail and state roads is crucial for Norway’s appearance. That is why it is vital that it is within the political governance that we have today. But, of course, in relation to the rule of action, taking out the two key areas of society will reduce the cost of the state budget, thus providing more money within the framework of the rule of action. I have a sober analysis of why the Right Today is sitting quietly and does not say anything about this, and it is based on the fact that the Right agrees with the Advance Party on this issue – but does not want to flag its position now. When the Progress Party says that with what they do, a person can maintain an action rule, but a person changes the content so that a real person is in a completely new situation. This is a central question to clarify further in the discussion.
ParlaMint-NO_2012-06-15.ana.ud2276e2100	I have a few brief comments on the debate and one of the most central points raised by the representative Sanner at the end – a few minutes ago. I think you have to decide whether the Workers' Party – and the government parties – is a hidden opposition party, as Mr. Sanner points out, or whether we are defenders of it existing – that we have no good ideas, that everything is still, and that we have enough to explain and argue for what we are doing. It is quite striking – Helga Pedersen was also involved in this earlier today – that every time the government parties allow themselves to point away from what we call the teflon coating to parts of the opposition, you slip away almost anything, and all questions are pushed into the future. A realistic alternative in key economic policy areas cannot be presented. Yes, then we get angry, and then we become black-painting, and then we become the opposition party right away – I don't think that's a reasonable explanation. With regard to the central point around the rule of action, I fully agree with Per Olaf Lundtigen – not necessarily that the Right really agrees with the Advance Party, but that they have a political side and a self-interest in keeping this theme out as far as possible, for it is of course demanding to agree overnight. In the case of Solvik-Olsen, it is not I, the Minister of Finance, the Prime Minister, the entire economic environment in Norway and the Ministry of Finance, who have the burden of proof. The degrees are then checked in the tone – if it is parliamentary – and manage the truth, and all of us have misunderstood completely, in a country that has stood by a rule for many years, which a broad majority in the United Kingdom has stood behind. It has been followed and today has the economic results to which the country can refer. Is the rule of action full of holes? I don't want to say. But of course, that there's a lot that's inside and outside the rule of action, is true. What about investments made by individuals and enterprises in the mainland? There are hundreds of billions of dollars a year. The representative of Solvik-Olsen does not propose to regulate it at all. I almost get the impression, when I hear the representative Solvik-Olsen argue against the rule of action, that because there is so much crime in society, we should allow ourselves a little bit more. Finally, with regard to the discussion about whether or not to invest in companies, I remind you that SAS is for sale. But it's not because we don't have great-looking flight attendants and other employees in these companies. I think the representative could stop talking about some professional groups doing a good job in the Norwegian community.
ParlaMint-NO_2012-06-15.ana.ud2276e2117	The representative Ketil Solvik-Olsen has spoken twice, and gets the word for a brief remark, limited to 1 minute.
ParlaMint-NO_2012-06-15.ana.ud2276e2120	My debate is about oil money. So that's what the state uses inside and outside the state budget. In this way, private consumption is irrelevant, because it cannot be tapped into the oil fund. The centre party and SV have argued in many debates outside this room that we need to finance the infrastructure in a different way. That's why I'm sure this is going to happen even if the Workers' Party screams against it. But in the case of Avinor and Petoro, today they are allowed to invest at their own discretion. Of the 26 billion. kr that Petoro has to invest, has 17 billion. have never been politically treated. The fact that you have political control of all oil money usage today is wrong. The Progress Party does not say that we should take out the road and the railway and maintain the funds to use in the state budget. Of course, this reduces accordingly. What you have to do is take the road and the railways out of the state budget and make them your own companies, you have to be able to invest more than what you would have done in the state budget, because it's socio-economically profitable. But it's going to be based on orders from big business and government, not without political governance.
ParlaMint-NO_2012-06-15.ana.ud2276e2129	The President may think that ‘admission’ is a parliamentary expression, but that is not correct, because the Stortinget deals with all investment plans of given companies. - For the record. The representative Per Olaf Lundtigen has had the word twice, and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2012-06-15.ana.ud2276e2134	Infrastructure funding is an important topic. It is quite right that the Centre Party discusses thoroughly alternative ways of financing this that will safeguard the overall social economy. When I asked for the floor, it was because it is strong to learn that the Right fiscal spokesman, Jan Tore Sanner, who is very eloquent and very committed, after repeated challenges, does not want to clarify the Right's position on this matter. This suggests that there are things that are below, that we can wait with joy – probably. I would say that it is natural to believe that the Right will land in the same position as that of the Progress Party, we know that from other political areas. It is strong that no clarification can be obtained at the end of the debate.
ParlaMint-NO_2012-06-15.ana.ud2276e2141	Several have not asked for the floor for case No. Two and three. We are now dealing with cases No. 4 to 22 in total. All cases relate to the second processing of legal acts.
ParlaMint-NO_2012-06-15.ana.ud2276e2339	No one has asked for the word to any of these matters.
ParlaMint-NO_2012-06-15.ana.ud2276e2353	The case concerns third time treatment. No one has asked for the floor.
ParlaMint-NO_2012-06-15.ana.ud2276e2361	Then we are ready to go to the vote on the matter on today's map.
ParlaMint-NO_2012-06-15.ana.ud2276e2386	A total of 66 proposals have been put forward during the debate. It's the proposals No 1-4, from Ketil Solvik-Olsen on behalf of the Progress Party, the Right, the Christian People's Party and the Left proposals No. 5 and 6, by Mr Solvik-Olsen, on behalf of the Group of the European People's Party, on the Right and Left proposal No. 7, by Mr Solvik-Olsen, on behalf of the Group of the European Progressive Democrats and the Group of the European People's Party (Christian Democrats) and European Democrats, and in particular Mr Solvik-Olsen, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, and of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf of the European Liberal, Democrat and Reform Party (Christian Democrats). 8 and 9, by Ketil Solvik-Olsen on behalf of the Progress Party, the Christian People's Party and the Left Proposals No. 10-13, from Ketil Solvik-Olsen on behalf of the Progress Party and the Christian People's Party, the proposals No. 14-16, from Ketil Solvik-Olsen on behalf of the Progress Party and the Left proposals No. 17-34, by Mr Solvik-Olsen, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 35 and 36, from Jan Tore Sanner on behalf of the Right and Christian People's Party, the proposals No. 37 and 38, by Jan Tore Sanner, on behalf of the Right and Left proposals No. 39 to 44, by Jan Tore Sanner on behalf of the Right-wing Proposal No. 45 and 46, from Hans Olav Syversen on behalf of the Christian People's Party and the Left Proposals No. 47–49, by Hans Olav Syversen on behalf of the Christian People's Party, the proposals No. 50-66, from Borghild Tende on behalf of the Left There is a vote on the proposals Nos. 50 – 66, from the left Proposal No. 50 sounds ‘The State budget for 2012 shall be amended as follows: 20Statsminister’s office1Driving expenditure, increased by 400 000 000 from €92 800000 to €93 200 00021Special operating expenditure, the July 22 Commission, can be transferred, increased by 5 400 000 from €12000000 to €12000000 from €17 400 00021Stats council1Operating expenditure, increased by 8 300 000 from kr 139 100 000 to kr 147 400 00024Government expenditure, increased by 2 400 000 from kr 80 80 000 from kr 80 80 8 000 to kr 83 20 000100highlights from kr 51 400 000 from kr 52 900 00021Special operating expenditure, increased by NOK 14 900 000 to kr 16 400 00061Highlights, increased by 2 400 000from kr 80 80 80000 from kr spent, increased by kr 80 80 80 8 000 to kr 83 2000000 [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] 4 in adult education law, the estimate of the budget for the budget for the year 2000 is reduced by 6 046 000 from NOK 161 008 000 to NOK 154 962 00075Private schools for disabled students, the estimate of the budget, increased by 10 314 000 from NOK 184 720 000 to NOK 195 034 000230Competition centres for special education1operational expenditure, increased by 27 767 000 from NOK 655 894 000 to NOK 628 127 000 from NOK 6 400 000 to NOK 19 400 0002252EU programmes for the lifetime of learning70Supplemented, reduced by 25 890 000 from NOK 210 207 000 to NOK 184 317 000255Additions for peace and human rights centres etc.71Fabulities of 47 000 to NOK 19 400 000 can be added to the budget for the budget for the year 2000 to NOK 157 000 for the budget for the year 2000 to NOK 1000 for the budget for the year 2000 to 20000 [[New]] [[New]] [[New]] 441 item 1, increased by 130 600 000 from NOK 9 738 170 000 to NOK 9 868 77000021Special operating expenditure, increased by 4 700 000 from NOK 193 485000 to NOK 198 185 00072 Contribution to the Mosaic religious community, granted by 7 200 000441Oslo Police District1Operating expenditure, can be used under Chapter. 440 item 1, reduced by 26 300000from €93 30 000from €93 30 000from €93 30 000from €93 30 000from €93 30 000from €93 30 000from €93 30 000from €93 30 000 from €2 117 30 000from €2 090 99 2 000 445 000from €1 800 000 from €570 065 000 from €57 065 000 from €571 6 000 000 from €6 6 647 000 from €20 647 000 to €20 647 000 from €2 647 000 from €2 770 000 from €370 000 from €10 10 385 000 from €269 600 000 from €2 626 340 000 from €2 40 000 from €2 496 000 from €2 496 000 from €2 996 50 000 from €2 996 50 000 from €3 30 000 from €2 330 000 from €330 30 30 000 from €370 070 000 from €296 50 000 from €296 000 from €296 000 from €2 096 30 30 30 30 30 30 30 30 30 000 from € from € from €2 096 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 000 from € from € 821 Item 60, increased by 3 100 000 from €6 526 000 to €9 626 00075Travel costs for refugees to and from abroad, can be transferred, increased by 3 738 000 from €14 415 000 to €18 153 000491Exchange of assets1Operating expenditure, increased by 15 000 000 from €249 032 000 to €264 032 000500Ministry of Commerce and Regional Affairs1Operating expenditure, increased by 500 000 from €152 890 000 to €153 390 0005551Regional development and innovation60Addition to county councils for regional development, reduced by 75 000 000 from €1,500 950 000 to €1,425 950 000552National cooperation for regional development72National regional development measures, can be transferred, reduced by 500 000 from €484 100000 to NOK 483 600 571Rame grants to municipalities60Population grants, increased by NOK275 950 000 from NOK10 000 from €10 526 000 from €10 573 000 from €10 573 000 from €10. 572.140 000, increased by 14000000.......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] 2429 item 70, granted by 40 000 00074 Arrangement of transitional arrangements for CIRR-qualified loans, granted by 80 000 00075 Expenditure on the acquisition of loans, granted by 9 000 0001020Labour Research Institute1Operating expenditure, increased by 12 000 000 from NOK 338 700 000 to NOK 350 700 0001050Various fishing purposes72Aids for the safety training of fishermen, increased by 1 200 000 from NOK 13 700 000 to NOK 14 900 0001062Coastal expenditure, usable under item 45, increased by 30 000 000 from NOK 1 499 703 000 to NOK 1 529 703 0001070Samfunknet Jan Mayen and Loran-C1Operating expenditure, increased by 223 000 from NOK 43 646 000 to NOK 45 969 0001112Knowledge development and preparedness, etc. in the food field51Knowledge development, knowledge dissemination and preparedness, Bioforsk, reduced by 20 000 from 63 760 000 to €63 740 00096 Shares in Rogaland Agricultural partner SA, granted by 20 0001115Matthewages22Regulation premium for municipal and county pension funds, increased by 760000 from €725000 to €7 9850001143Member States' agricultural administration, operational expenditure, reduced by 220 000 from NOK 174 975 000 to NOK 45 000, can be transferred, increased by 1 000 000 from €6 958 000 to €7 958 000 to €7 958 000.82Radioactivity measures, can be transferred, reduced by 1 000 000 to €150 000 from €1 500 to €1148Natural damage - substitutes71 [[New]] [[New]] [[New]] [[New]] [[New]] 1311 entry 71, reduced by 30000000 from 300000 to 300000 from 100 000 from NOK 705 600 000 to NOK 675 600 000 from the roads23Operation and maintenance of highways, road safety and vehicle surveillance etc. can be transferred, can be used under entry 29, entry 30, entry 31 and entry 72, increased by 78 700 000 from NOK 7 437 400000 to NOK 7 516 10000029Availability for OPS projects, can be transferred, can be used under item 23 and item 30, can be used under budget heading 23 000 000, can be reduced by 20 000 from NOK 434 000 to NOK 414 000 000, can be used under item 23, item 31 and item 72, can be increased by 144 000 000 from € from € 5 6 10 to 400 000 € to NOK 575 000 from NOK 575 000 from transport measures in the counties, can be used under budgets can be spent, can be used under budgets from NOK 50 000 to NOK 50 000 [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] 1760, entry 45, increased by 45 200 000 from 922 061000 to 967 261 00045Larger equipment acquisitions and maintenance may be transferred under cover. 1761 Item 45, increased by 60 018 000from 100 000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 from 1000 to 1000 from 1000 to 1000 from 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 1000 from 1000 to 1000 from 1000 from 1000 to 1000 from 1000 from 1000 to 1000 from 1000 from 1000 to 1000 from 1000 from 1000 to 1000 from 1000 to 1000 from 1000 to 1000 from 2000 to 1000 from 1000 from 2000 to 1000 from 1000 from 2000 to 2000 to 2000 from 2000 from 2000 to 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 to 2000 from 2000 from 2000 to 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 to 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 to 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 to 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 from 2000 [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] in the course of work and education, increased by 10000000from €170000000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000from €300,000 from €300,000from €300,000 from €300,000from €300,000from €300,000 from €300,000 from €300,000 from €300,000 from €300,000 from €300,000 from €300,000 from €300,000 from €300,000 from €30 to NOK300,000 from €300,000 from €300,000 from €300,000 from €300,000 from €300,000 from €30 to NOK300,000 from €300,000 from €30 to NOK 303030 to NOK300,000 from €300,000 from €300,000 from €30 to €30 to €30 from €30 from €30 from €30 from €30 from €30 from €30 to NOK 3030 to NOK 3030 from €30 from €30 from €30 from € Add from €30 from €30 from €30 from €30 from €30 from €30 from €30 from €30 from € Add from € Add Add Add Add Add Add Add Add Add Add Add Add Add Add Add Add Add Add Add to € 3030 3030 3030asse [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] [[New]] from the State Financial Fund, reduced by 8 000 000 000 from NOK 8 000 000 from NOK 30 000 from NOK 30 000 from NOK 30 000 from NOK 50 000 from NOK 50 000 from the State pension fund80 from interest, reduced by 4 000 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 50 000 from NOK 30 30 30 000 from NOK 30 000 from NOK 30 000 from NOK 30 30 30 000 from NOK 30 000 from NOK 30 000 from NOK 30 000 from NOK 30 000 from NOK 30 000 from NOK 30 000 from NOK 30 000 from NOK 30 000 from NOK 30 000 from NOK 30 000 from NOK 30 000 from NOK 30 000 from NOK 30 000 from NOK from NOK 30 000 from NOK 30 000 from NOK 30 000 from NOK 30 000 from 30 000 from NOK 30 000 from 30 000 from NOK 30 from NOK 30 000 from NOK 30 000 from 30 000 from NOK 30 000 from NOK 30 000 from NOK 30 000 from NOK 30 000 from 30 000 from 30 000 from 30 000 from 30 from 30 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from NOK from 30 000 from 30 000 from 30 000 from 30 000 from NOK from 30 000 from 30 000 from 30 to 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from 30 000 from NOK from NOK from Proposal No. 51 sounds: ‘The government is asked to return to the national budget in 2013 with a case that ensures that Norway takes greater responsibility for international refugee work by increasing the quota for refugees by 500.’ Proposal No. 52 sounds: ‘The government is asked to submit a plan for a guided closure of the fur animal industry in Norway.’ Proposal No. 53 sounds ‘As from 1 July 2012, the Decision of the Stortinge of 24 November 2011 on value added tax is amended as follows: Section 3 is replaced by the following: § 3 Reduced rate by 16 pst. VAT is equal to 16 per cent of turnover, withdrawals and imports of food referred to in the VAT Act § 5-2. Section 4 the following new second paragraph is added: VAT is equal to 8 per cent of turnover, withdrawals and imports of newspapers as referred to in the VAT Act § 5-12.» Proposal No. 54 sounds: «The government asks the government to increase the duty-free import limit of goods from abroad to NOK 1000, and to establish an arrangement that regularly adjusts the amount with regard to price growth.» Proposal No. 55 sounds: ‘As from 1 July 2012, the Decision of the Grand Duchy of Luxembourg of 24 November 2011 on a levy on alcohol is amended as follows: Section 1 the following new second paragraph is added: From 1 July 2012, a levy shall be paid to the treasury on the importation and domestic production of the following goods with the following amounts: Alcoholic drinkVolume percentage of alcoholKrt.o.m. 0,7 is charged according to the rules for non-alcoholic beverages.Brenner wine-based over 0,77,32 per. volume percentage and litreOther than 0,7 t.o.b. 2,73.00 per month. liters above 2,7 up to and including 3,711,31 per month. liters above 3,7 up to and including 4.719.59 p.m. liters above 4,7 up to and including 223.98 p.m. % vol. and litreEthanol for technical uses greater than 0,7 % as for alcoholic beverages’» Proposal No. 56 sounds: ‘The Government is requesting the immediate termination of the duty-free arrangements for tobacco products.’ Proposal No. 57 sounds: ‘As from 1 July 2012, the decision of the Stortinge of 24 November 2011 on the excise duty on fuel shall be amended as follows: Paragraph 1, first paragraph, point (a) is replaced by the following: 1st petrol 2nd sulphur-free petrol NOK 5,19, 3rd low sulphur petrol NOK 5,23, 4th second petrol: NOK 5,23.» [[(less than 10 ppm sulphur):]] [[(less than 50 ppm sulphur):]] Proposal No. 58 reads: ‘From 1 July 2012, the decision of the Stortinget of 24 November 2011 on the user charge for automotive diesel is amended as follows: Paragraph 1, first paragraph, point (b) is replaced by the following: b) oil for the propulsion of the motor vehicle kr 4,18, 2. low-sulphurised mineral oil kr 4,23, 3. other mineral oil: kr 4,23, 4. biodiesel: kr 0.» [[(less than 10 ppm sulphur):]] [[(less than 50 ppm sulphur):]] Proposal No. 59 reads: ‘From 1 July 2012, the decision of the Stortinget of 24 November 2011 on the base charge for mineral oil, etc. is amended as follows: \t\t You can change the settings of the grid. \t\t \t Paragraph 1, first paragraph, first sentence, is replaced by the following: As of 1 July 2012, Law 19 May 1933 provides that: 11 on excise duties are paid to the State Treasury upon introduction and domestic production of mineral oil at NOK 1.999 per person. litre.’» Proposal No. 60 sounds: ‘As from 1 July 2012, the decision of the Stortinge of 24 November 2011 on the CO2 tax is amended as follows: the first paragraph of Section 1 is replaced by the following: As of 1 July 2012, Law 19 May 1933 provides that: 11 on excise duties, CO2 tax is paid to the treasury on imports and domestic production of the following mineral products with the following amounts: (a) mineral oil at NOK 0.70 per year. litre of mineral oil for domestic quota aviation: kr 0,52 per. litres of other domestic aviation and non-commercial private flights: NOK 0,80 per. litres for the wood processing industry, the herring and fishmeal industries: DKK 0.41 per year; litre (b) petrol: NOK 0,99 per tonne. litre (c) natural gas: DKK 0,55 per year; Sm3 c) LPG: NOK 077 per year. litre» Proposal No 61 sounds: [[(general rate):]] ‘As from 1 July 2012, the Decision of the Stortinge Decision of 24 November 2011 fixing fees, etc. is amended as follows: to social security for 2012: Employers’ fee Paragraphs 4 and 5 are replaced by the following: § 4 Special rules on apprentices For remuneration and other remuneration for work and employment in and outside employment relationships such as the employer's obligations to report to apprentices and employees after 1.7.2012, no employer's fee shall be calculated in any zone. § 5 Special rules for start-ups For wages and salaries and other compensation for work and duties in and out of employment as an employer's obligation to report, for enterprises which started after 1.7.2012 with up to 5 employees, half of the employer's contribution is calculated in all zones for up to three years after the first registration of the enterprise. Original § 4 becomes § 6 etc.» Proposal No. 62 sounds: ‘The government is requesting, at the latest, from the government budget for 2013, a tax deduction scheme for energy efficiency measures in private buildings of up to SEK 50000.’;» [[material and labour costs]] Proposal No. 63 sounds: «The government is asking the government to raise the wage-earning obligation limit of non-governmental organisations to $8,000 per year. employed.’ Proposal No. 64 sounds: ‘The government asks the Government as soon as possible, and at the latest in the context of the State budget for 2013, to investigate and promote proposals for a 20 per cent tax deduction for personal, permanent investments in companies of up to SEK 500000.’ Proposal No. 65 sounds: ‘The government is asked, at the latest in the context of the 2013 State Budget, to come back to the Stortinget with proposals for a legislative amendment so that self-employed persons can use minimum deductions in the same way as private individuals.’ Proposal No. 66 sounds: ‘The government is asked to return to Stortinget, at the latest in the context of the 2013 State Budget, with a legislative proposal on the introduction of rules on the provision of a fund scheme for individual enterprises in accordance with the Swedish system of ‘expansion funds’.’»
