ParlaMint-NO_2012-06-13.ana.ud101e55	The representative Snorre Serigstad Valen will present a draft constitution.
ParlaMint-NO_2012-06-13.ana.ud101e1758	I thank you for the question, because then I get the opportunity to say something that I didn't get to say in my post. The point of this is that when you decide, it is important that the matter is well informed that you have received good information. But as others have also said in the debate, it is important that we, as consumers or investors, use our own common sense in what we want to do. It's like there's a risk associated with most, and if you get an offer for some product that has a big upside, and that's kind of just gold and green forests, there's all sorts of reason to use common sense.
ParlaMint-NO_2012-06-13.ana.ud101e1765	First, I have to say that it is rare that I hear the Minister of Finance being so on with the Storting as what we have experienced today, and I think that is very good. There is a lot of what the Minister of Finance mentions about the Financial Supervisory Authority and the Financial Complaints Department, which is in line with what the Progress Party also wants. But there is one thing that received little attention from the Minister of Finance, and it was the Consumer Council. Does the Council of State consider that the Consumer Council should also be strengthened in this context, so that a more competent person can be gathered there – since they are also part of the complaint panel and thus will be able to make the consumer's name appear even more credible for the consumers who enter it, and that they not only experience that the Financial Complaints Board acts as a defence body for the financial industry?
ParlaMint-NO_2012-06-13.ana.ud101e1772	Now I believe that on various occasions I have stressed that good proposals are the Minister of Finance for whether they come from one or the other. They will be subject to a good assessment, to say it that way. But I am pleased that there is a broad consensus that we should now strengthen consumer protection in this area. As far as the Consumer Council is concerned, I should be a little careful to express myself. It belongs to another State Council. Some of this has to be able to reserve for any fights for budget crowns. However, in general, I am concerned that one in different areas should have the highest possible level of consumer protection, and the Consumer Council plays an important role in this respect. It is clear that in assessing how to deal with this in the future in relation to the financial sector, one will also be able to assess the role of consumer protection. But what I'm concerned about is that we get a recognition solution that gets good for those who are going to deal with their issues, and that you have confidence that the denominator treats matters in a good way – so that's essentially the answer.
ParlaMint-NO_2012-06-13.ana.ud101e1781	In his speech – which I think was positive in many ways, even though we on the part of the Christian People's Party have great impatience on this point – the Minister of Finance said that he would look at the subject of the Financial Complaint and the framework for their activities. One of the issues that, in my opinion, has proved to be extremely problematic is that, according to their mandate, the name should not lay down any of the things that have been said orally between the buyer and the seller, on the basis of their assessment of the various issues they receive. I know that the industry so that those degrees have adjusted in relation to, so that everything verbal comes first, and then something in writing finally comes that is used in the denominator. Will there also be a question for assessment by the Council of State?
ParlaMint-NO_2012-06-13.ana.ud101e1788	I noticed what the representative Syversen said in his statement about that. It will also be part of the assessment that we now have to make, including: The Ministry of Justice will be involved, because it is the Ministry of Justice that is formally contracting entity, or that owns the name, to say it that way, politically.
ParlaMint-NO_2012-06-13.ana.ud101e1793	I want to show that many people claim that now everything is so much better than it was, after we got a new regulation. A study carried out by the Financial Supervisory Authority and the Consumer Council conducted by ordinary consumers, known as the ‘Mystery shopping’ test, shows that 30 customer meetings had been carried out. 14 of these customers were advised to borrow money to put them in complicated savings products. In 11 of the customer meetings, customers were encouraged to pledge the dwelling. This is after the new regulations that we have adopted in this room. My question to the Council of State is in the light of the test carried out by the competent team: is there still a lot of evidence that the industry itself has a way to go in order to have a self-justice in its meetings with consumers and the recommendations they actually make?
ParlaMint-NO_2012-06-13.ana.ud101e1802	An important part of the task of the Financial Supervisory Authority is also to oversee complex products according to what has been determined. As far as I remember, about 75 local supervision were carried out last year, and in part of those inspections it was revealed that one had not followed up when, among other things. concerns the type of questions currently raised by the representative Syversen. So this is an area that we're occupied with, and which we also in our conversations and our orders, to put it this way, through the letters of assignment to the Financial Supervisory Authority, will be particularly aware of.
ParlaMint-NO_2012-06-13.ana.ud101e1807	Just a brief question: Does the Minister of Finance think that there is something formal in the way of – or does he has serious arguments against – establishing a similar scheme to that in Sweden, as I mentioned in my post, with an independent, publicly funded complaint subject under the Swedish Financial Supervisory Authority?
ParlaMint-NO_2012-06-13.ana.ud101e1813	Now I don't think I'm going to advance the assessment that we're going to do with the Ministry of Justice, but there we're going to evaluate different solutions. A variant may be an independent denominator, but there may also be other variants that you should look at. When we're done with our assessment, we'll, of course, present this to the Stortinget. I also aim to ensure that we are able to maintain the broad consensus that prevails, in so far as, in the discussion today on the road further, because these are issues that deserve great political impetus in terms of the solutions we choose.
ParlaMint-NO_2012-06-13.ana.ud101e1820	So the chord change is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2012-06-13.ana.ud101e1825	I am pleased that this matter is being raised here to the Chamber. It is not only important to look at whether the legislation is good enough, whether the apparatus dealing with these matters is working well enough. It's also a weather alert poster to people that it can go very wrong if you're not careful when buying structured savings products. For joy can really be short - there are an incredible number of examples of it. The products that were bought in particular earlier should never have been sold. There was low competence on the type of product at both the seller and the buyer. The information material was poor, and people were lured into aggressive marketing. It could seem that financial institutions put their own interests ahead of customers. Fortunately, much has been done by the government to put an end to the unprofessionalism of this industry. In 2008, the government introduced stronger requirements for structured savings products. More stringent requirements have been imposed on those who sell the products through regulations, and the industry itself has established an authorisation system for financial advisors, which was absolutely necessary. The sellers would like to be people from local banks who had confidence in the people, but who might not have the best knowledge of what they sold, and the consequences for the customers in focus. Sales-based remuneration systems, which were contrary to the law, have also been addressed and also reduced the offensiveness of the sales processes. And the Financial Supervisory Authority has strengthened its focus on the consumer market. But to me, there's still something going on. Because when someone spends 300,000 kroner on legal bills to get their case tried in the Financial Complaints Department, as several have claimed, my conclusion is that someone might have been tricked again. Could it be that even lawyers see their cut to profit from these assignments, or is it because the system does not work after the intention to be a low-threshold offer? There are questions I have asked myself. It's probably not that easy to know the answer yet. I have therefore been in contact with the Financial Complaints Department to get more information about the practice that is here, and asked a number of questions, including: in relation to the type of form used, the duration of the proceedings, the average time of appeal, etc. There's a lot of things to look at here when the Council of State is going to take a review. Finally, I would like to say that Norway has a well-regulated financial sector, but there are clearly opportunities for improvement, and they have been taken along the way. But it has to go on, and I'm incredibly happy that there are so clear signals that you're doing that job further. Here it's been focusing for a long time, but it needs to be strengthened, and we need to be socially critical in this area. I'm looking forward to what's going to happen here.
ParlaMint-NO_2012-06-13.ana.ud101e1842	Norway is a country of particular interest. The financial market is not scary. I think all the speakers today have been up and said that these are very scary things. What's scary is not getting enough information about the risk you take when you invest. So I'd like to remind you that speculation is okay, as long as you know what you're doing. Tipping is okay, then the state gets 50 pst. Lotto's okay, then the state gets 50 pst. Casino is also ok, but it is not allowed here in this country. Anyway, taking risks with information is completely okay, as long as you know what you're doing. When I asked the Council of State instead if he agreed that someone would be protected from himself, he became a little uncertain, because then the ideology of the Workers' Party wails. On the one hand, they will be on the consumer side, including the silly consumers, on the other hand, they will also say that the market is going to work. The stock market, the stock market, it's really great. The absolute best way to control the private market is through shares. So it's ownership of the private companies. You could have other ways to do it. You can have state ownership – not always as successful. And you can only have capitalists who own industry and businesses – and not always as successful. But when you have a spread of ownership, like through the stock exchange, it makes sense. You take a risk, and don't come and tell me that most people don't realize that there's a risk of this, they do. I think it would be better to say that it is the duty of information that must be clear. You have to know what you're doing, but you're allowed to be stupid as long as you know you're actually stupid.
ParlaMint-NO_2012-06-13.ana.ud101e1855	I do not agree that Norway is a country of particular interest. Norway is a country for very many lucky people who have great opportunities, much greater opportunities than many others. It was the exchange of lines between the Minister of Finance and the representative of Tybring-Gjedde and also the last post that made me take the floor. For this debate, there is no need to be a debate on the question of whether it is allowed to take risks when all the information is provided, as Tybring-Gjedde put it. That's not what the question is about when the Christian People's Party travels – praiseworthy – this case, and fortunately the Minister of Finance and Government answer as openly as you do. The main question has to be: should it be allowed to sell a product when you have provided all the information in many ways, in some form? I was so curious here during the day that I went into DNB Markets’ pages to learn what ‘warrants’ really were for something, and it’s not that easy to understand. But I looked at all the conditions that stood there, and to the extent that the description of the product, and if you read it very carefully, you don't want the product. It says that you can risk losing everything – these are very risky things. But that's not the challenge in these matters. The challenge here is that a good part of the people that people have seen as very good advisors in their private economy over many, many years, suddenly change faces and come with a whole new product with the same credibility and say that this is what you should put all your money in. We're not talking about lotto, we're not talking about tipping, we're talking about all the savings into a product, and then all of a sudden things go wrong. I also want to challenge the Minister of Finance and take it back – because I am pleased with the transparency and believe that we can get a good result out of this – that you actually underline the obligation of the seller in this market to discourage, to advise a product and say that I recommend that you not do this, and not just say that this is this product. Looking at new solutions to meet such a complex market, with so incomprehensible products – yes, in many ways it is almost like buying air – I also think it is very important to look at dispute resolution mechanisms that can benefit from outside the ordinary courts, which are faster and more reasonable, and that you look at the cost perspective very clearly, so that the consumer is able to go through the case. It should also be a challenge – when the government passes through the new legal aid legislation – to ensure that more people receive legal assistance, that this area is caught up in terms of free legal assistance for those with the lowest income, without increasing the proceeds in relation to free legal assistance, but that there are more people who have the opportunity to receive legal assistance, who contribute to getting the case through. But first of all, there is a question for all those who sell these products: Should you and you are allowed to sell them?
ParlaMint-NO_2012-06-13.ana.ud101e1873	Several have not asked for the floor on case No. 3rd@item: inlistbox
ParlaMint-NO_2012-06-13.ana.ud101e1887	At the request of the Financial Committee, the President will propose that speaking time be limited to 5 minutes to each group and 5 minutes to the Council of State. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to three lines with replies after contributions by members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted. Mr Kambe makes contributions to Mr Gunnar Gundersen, who is the rapporteur on the subject.
ParlaMint-NO_2012-06-13.ana.ud101e1898	I am then a substitute for the case rapporteur, who is ‘on assignment’, as it is called so fine, outside the Storting today. I think that the proposers have a good and important point, because it is important for the tax morals of people that they know that they get something left for tax money, and rather something concrete. States, counties and municipalities issue a number of reports on this. They are widely and easily available both in paper form and online, but we should have no illusion that they have become popular reading. We also see that every year, at least in the years when there were open tax equations, different media generate examples of how many meters of highway, highway and county road were financed – yes, the individual taxpayer could even be informed of how many percentages of annual compensation paid by a contributor to the individual’s tax. It's probably not all possible examples that will inspire taxpayers the same amount. A distinction must always be made between knowing what is good for citizens and what is necessary to know, not least against who is going to pay for all this information, when we also have an ambition for fewer public employees within just such information tasks. I am concerned that as much information as possible should be open to all. The majority of the Committee, with the exception of the members of the Progress Party, agrees with the proposers that it is important that the taxpayer understands and knows what the tax money is spent on. The State budget is difficult to obtain information for many, but a simple production there could provide everyone with a reliable and simple insight into the use of each individual contribution to the treasury. Information related to tax settlements is obviously an option, because information is then sent out to all taxpayers in any case – in a few weeks we get tax settlements. However, the majority also see significant challenges in achieving this. It's the Minister of Finance inside. It is not a direct link between the taxes and taxes paid and the offer the Norwegian State maintains, for the country's revenues are, fortunately, not just personal taxes and taxes. For example, for Norway: the large revenue generated by the oil sector is central and, in fact, more central to the economy of the country. The majority also believe that it would also be useful and appropriate to make this visible to the individual. It is also important to remember that studies show that many taxpayers do not fully understand the information they receive today. The majority of the Committee, consisting of all parties other than the Progress Party, sees it as important that new information in the future should not give the result that tax settlements become more difficult to obtain. The Committee notes that the Minister of Finance has a positive basic position to look at how simple information on the use of tax money can be designed. The Committee awaits the deliberations of the Ministry and, where appropriate, the presentation thereof to the Grand Duchy. The proposers believe that the government in its consultation response is too concerned about problematizing — some and each of them may recognize themselves when they have representative proposals. However, they are pleased that the Committee is partly in favour of the proposal. Neither the government parties nor the other civil parties reject the proposal but recommend that the minutes be attached. I recommend the Committee's attitude.
ParlaMint-NO_2012-06-13.ana.ud101e1917	I also think it is worthwhile to issue information to the population about what the tax money is going to do. It's important. But I have a feeling that some of us – at least we from the red-green side – may have a somewhat different approach to this issue than the ones that proposers actually have. Basically, I think it can be assumed that most people in Norway have quite a good understanding of what our tax money is going to do. We see it in repeated tax-related measurements, but also in particular with regard to taxes and excise duties, that this has much more confidence in the population than it sometimes gets when you hear the opposition describe the taxes and taxes as such. That gives me an indication that people actually have more bearing than we sometimes think they have. It seems to me that it is important to have at the bottom of such a debate. When we from the Workers' Party believe that there are still opportunities to do more to inform the population — and then there may be an intermediary between writing something on some tax note and attaching to the national accounts — there are two reasons that particularly report. Firstly, it is important to strengthen legitimacy and trust in public and tax as an instrument of policy, that people are well informed about what the money is actually spent on. In this way, it is important to be informed about the purposes for which public spending is made. That's the one. The second is to a large extent the distribution policy of tax collection. It's about the role that the tax plays in order to be able to distribute and have a chance that those who have the most, also pay the most, and that you pay by ability. It's a little bit harder to show with pie charts, a short explanation. But I still want it to be brought with me when we have to assess whether there are any opportunities to provide more information to the citizens about this. A few aspects relating to the concrete design of such information and what kind of framework it should be around this, I would like to mention. Firstly, and this is what most people think – let us not now set up schemes that will be very burdensome and bureaucratic and delay much of the work of tax havens and other authorities. You have to be able to do this easily and in such a way that if people actually want even more information, we'd better link them to that information. The second point is that I think it's dangerous to go into a path where you individualize this kind of information. I say that a little bit on the basis of what I think is the reason for providing such information, among other things. from the point of view of distribution policy. Tax money, such as: I personally pay, is not the money that will go to finance the costs of having me walking around in this amazing country. I'm strongly opposed to an individualized information related to this, and I also think it's going to be very difficult. We do not pay taxes to finance – above all – the costs of our seas, but we pay by ability. It is difficult to explain, but the more important it is to have a good and general description of how the money is used. That is why I am in favour of the response that has come from the government that you will look at this.
ParlaMint-NO_2012-06-13.ana.ud101e1934	It's been interesting to hear the posts so far, but I'll try to individualize a little, despite the great mountain's slightly skeptical attitude to it. Who in this room would have accepted to give away half of their income without getting a specification on what to spend the money for? The answer to that question is all of them. That's exactly what we and all the other taxpayers in this country do every day. We're going to make $100 and we're going to give 30, 40, or 50 of these heads to the state. We give them away without any guarantee that they are used in a reasonable way. No, we actually don't even know what the money is used for. Then, of course, it can be argued that the annual government budget is publicly available and that those interested can obtain information there. That's not enough. Of course, as the representative of Storberget, most people know what the money is spent on, because they see this amazing country, but I think it's a little special attitude to have 700 billion. kr. The total public expenditure currently amounts to a little over 1000 billion. kr. They confiscate more than 50 pst. GDP of mainland Norway. One third of this money is money that you and I have to give away – without receiving a receipt. The tax system does not operate with the designation of individual tax payments for specific expenditure purposes, nor is it likely to be desirable. But that taxpayers get a certain relationship with how the state and municipalities manage the money that is taxed should be fair and fair. If other agencies had put in place similar arrangements, we would protest. Yes, there would have been a breach of the applicable legal provisions. Tax payments are a spice layer, and the Nordics most of them are obligating, and we obey. Ask the government to get every two kroner of your income, we'll pay. The Civita organisation has made a calculation that suggests that those who currently have an income of DKK 500000 pay on average approximately. 160,000 kroner in taxes. It's 32 pst. For example, if you distribute this money to various public expenditures, as the public budget itself prioritizes, you will find that of these 160 000 kroner goes about. NOK 64 000 for social protection, i.e. Sickness, disability, old age, children, family, social support, approx. NOK 28 000 goes for different health purposes, approx. NOK 22000 goes to education, approx. NOK 17 000 went to the public service, approx. DKr 13 000 for industrial policy purposes, approx. NOK 6000 is in defence, etc. Of course, the question we have to ask ourselves is: does public welfare return to the population in line with what is paid for? Should we expect more? Is there anyone else who can make these tasks better and/or more reasonable? The Progress Party believes that the public should have an obligation to inform about what the money is spent on. It is of interest to taxpayers that, while the police, fire services, prison services and courts receive approx. Dr. 3000 of the 160 000 tax credits mentioned above, receives culture, leisure and religion approx. NOK 4000. Together with an overview of how the government manages large parts of the population's wage income, it should be clear how much tax is levied, how much the government saves or borrows, and what areas it maintains at all times relatively high priority and what it prioritises. If increased tax access indicates that the government does not need to prioritize anything down, this is also interesting information for taxpayers, as, for example, increased tax revenues from oil and gas could have been accompanied by lower income taxes for most people, which in turn could have led to lower taxes — a debate we have been through. The representative Storberget said he feared an individualized overview of this. But it's actually individuals we are. We're not another individual. We're not a lot where everyone is going to collect into a big pot, and then we're going to distribute again. We are individuals from cradle to grave, and therefore individuals should also be told how much they contribute. We agree that it should be a progressive tax system – the Progress Party also agrees. But we think that the information should actually be given. I think that might be good, not only for the one who taxes a lot, but also for the one who taxes relatively little, so that you can see that services are actually sponsored by others. That's also an important point.
ParlaMint-NO_2012-06-13.ana.ud101e1957	The majority, all with the exception of the Progress Party, refer to the finance minister’s positive basic attitude and willingness to look at the theme, how to inform about the use of tax money. That's good. The proposal of the Progress Party is as follows: 'The Government is asked to implement a system [[...]] In the opinion of the Centre Party, providing key data information to taxpayers in the context of the tax settlement is positive. For example, one should also provide information to the taxpayer about what taxpayers have now paid in terms of tax compared to what is gross taxable income. Then more people will be admitted that what the Progress Party has just mentioned, 50 pst. tax, that it's now a reality for many, is something that lives on the mouth of the people. The truth is, there's a reality too few, when you look at what an actually pays in relation to its gross taxable income. The point of the Progress Party to get more information is good. There aren't many times I refer to the United States, but there's been a long practice that there's been a sign along the way with the text 'Your tax money at work'. That's good -- your tax money at work. As mentioned earlier here, we should be able to go further. But then we should go further, for example. on universal well-being – not individual schemes, but universal schemes. What are we all universally given in public assistance for medical visits? What are we all getting in assistance with a nursery place? What is it that we all get in aid in connection with a nursing home? That's interesting information. Medical visits are a very good example, where very few have clarity about what government pays, and what a sail pays. However, when it comes to looking at taxes in terms of employment and business, it is much more difficult and almost impossible to do so properly. Because in the context of the country's use of labour and business, one cannot look at the tax money regardless of the organisation of business and working life. Organisation through laws, regulations, competition law and the whole of it is of great importance to the ability of the different labour and business sectors to earn profits. So in that area, it would be completely irrelevant to talk about how a person spends public tax money. Finally, it is an interesting proposal. The Progress Party says that a system should be put in place. Well, then it's up to the government, which is positive about it, to give it its content, to contribute to greater public information and a greater understanding of just this, that one should pay taxes according to ability, and that one should also meet their needs according to the community's ability to do so. That's a very good policy.
ParlaMint-NO_2012-06-13.ana.ud101e1972	Several have not asked for the floor on case No. 4th@item: inlistbox At the request of the Financial Committee, the President will propose that cases be brought before the Court of Justice of the European Communities. 5 and 6 are treated together. – It shall be deemed to have been adopted.
ParlaMint-NO_2012-06-13.ana.ud101e1999	At the request of the Financial Committee, the President will propose that speaking time be limited to 5 minutes to each group and 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines with replies after contributions by members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2012-06-13.ana.ud101e2008	As the president said, we are now dealing with two things at a time. The one thing, if so-called ROT and RUT deductions, is also discussed just one year ago, when we debated her during the revision debate last year. At that time, everyone voted against, except the Advance Party, and the Christian People's Party voted in favour of one part of the proposal. This year, only the Progress Party is adjusting to introduce ROT and RUT deductions. I'm going to repeat some of the arguments for why we don't support the proposal this year either. The second proposal is from the Right, on tax deductions for energy measures in barley. There are also proposals for energy checks in residential buildings and an assessment of the reversal of VAT for the construction industry. Tax fraud is dealt with in the revised national budget, and one does not go in to introduce it. I'll start with the proposal on ROT and RUT. That proposal has a clear provenance of consequence. The Swedish Ministry of Finance states in its 2012 Spring Proposition that the tax costs related to ROT and RUT are estimated at 14.4 billion. Swedish krona. In 2011, the Swedish Tax Agency paid 15.3 billion. Swedish krona. There is a basis for believing that if a corresponding deduction were to be introduced in Norway, there would have been a large amount of tax expenditure here too. The Swedish deduction is only available to owners. Norway has fewer inhabitants than Sweden, but a much larger part that owns its own housing. The deduction was introduced in Sweden, for example: as a result of high unemployment. Norway has a lower unemployment rate, rather than a shortage of craftsmen. This means that one had had a less employment effect and thus a higher net tax expense. In the worst case, we could risk that large parts of the tax cut were consumed by an increase in the price of craftsmanship services. Today I could read in my own local way that in Akershus the companies are now missing 2,425 people – and a large part in the construction industry. The deduction could help to make housing investments even more advantageous. It's not wise in a situation where housing price growth is already high. One also sees that such deductions will have adverse distribution effects. I have examined how the so-called RUT deduction – i.e. the deduction that applies to services in the world – works in Sweden. There are most people with high incomes who can benefit from that deduction. If you trust income, you don't get a deduction, because then you don't pay taxes. There is considerable uncertainty about the employment effect of that scheme. I have to say, if people want to buy help for the home, it's okay. But I'm not so sure if someone should use the community's resources to give tax cuts to those who can afford to buy such services. So to the proposal on tax deductions for climate-friendly investments in own housing. As I see it, this is a modified proposal of the ROT deduction. Climate-friendly investments are positive, but I think it must be possible to use already established social benefits, such as: Enova and the House Bank. When it comes to the proposal on energy checks of dwellings, I have to mention that energy labelling requirements have already been introduced in halls, rentals and construction of buildings. In addition, AMS – advanced power meters – must be installed with all consumers by 2017. It can help raise awareness of energy consumption and stimulate more energy saving. Both the ROT, RUT deduction and the deduction of climate-friendly investments have in common that they can have adverse distribution effects. There is reason to believe that high-income taxpayers will make more use of the deduction than those with low incomes. Furthermore, on investment deductions, there will be no right of deduction for tenants. It is argued that you can reduce black work if you introduce a ROT deduction, and we agree that we should work towards black work. But I wonder if one should pass by to keep the promise.
ParlaMint-NO_2012-06-13.ana.ud101e2029	The case spokesperson made some statements that I would like to comment on first. A happy jump over the tax income you get from this. It's just the tax expense you're busy with. Yeah, we have low unemployment here in Norway, but we actually have black work too. Do you want to do something about it? So about help in the world: we want it to be in order relationship. We don't want anyone to have bad working conditions to help you in a home. This was the beginning, but then: In the last week, we discussed here in the hall the thorough employment message about a decent working life, which is very important. All were some that the employment in Norway is good. Nevertheless, there are some major challenges. One of them is black work. That's why the Progress Party wants to come up with measures - just to reduce and get rid of undeclared work. Sweden, Denmark and Finland have introduced tax exemptions for different types of work in their own housing, including: rehabilitation, maintenance, childcare, cleaning and target species testing. After three years of ROT deduction in Sweden, black work, according to a report from the Construction Industry in Collaboration and the Entrepreneurs, dated October 2011, has fallen by 90 pst. in the construction industry. The party of progress notes that the majority in the committee argue that they have reason to believe, but they lack evidence of this threat when they argue against the proposal. The majority also indicate that in Sweden it is those with high incomes that benefit from the deduction. There is also a lack of thorough evidence here for this claim. Here's a quotation from the setting: ‘The majority also see that such a deduction would have adverse distributive effects, as there is reason to believe that taxpayers with high incomes would make more use of the deduction than those with low incomes, as is the case in Sweden.’ I would say that the rich in Norway buy their services, regardless of whether they get tax deductions. This deduction is used to help those who are young children’s parents, who are in time together and need services – those who are in the middle when it comes to income. The Swedish Confederation was in favour of the introduction of the ROT deduction because unprofessional competitors threaten workers with missing collective agreements and lacking serious conditions, such as taxes and safety at work. Isn't it nice that the tradesmen chose to look at the scheme as a good solution to clean up a market of unprofessional activities? They reasoned that the benefits of a serious labour market are better than the argument that the proposal exists for a few, rich, who can reconstruct their kitchen more often than others. The proposers point out that this was said in an article at a meeting where the theme was «Fight against Black Work – Swedish experience with ROT deductions», which was held with the National Association of Building Industries on 21 February this year. The Progress Party indicates that the Tax Payer Association, the Construction Masters Association and the National Association of Construction Industry have been in charge of such a scheme also in Norway. The arguments for the scheme are based on the positive conclusions drawn in other countries. In Norway, industry expects such a deduction scheme to reduce undeclared work, increase the number of jobs, and private households to be affected by energy-efficient measures in their housing. The government is using the term ‘social dumping’ in any case where there is a breach of the Working Environment Act, and they have also been busy fighting black work in different industries, such as the maintenance and hotel industry and not least the construction industry. This proposal has more aspects in itself than just tax deductions. We know that unemployment in Europe is high, especially among young people. The Prime Minister himself has said that we must expect that the economic downturn in southern Europe will also affect us, as the Minister of Finance also mentioned in the financial speech of the year. It is amazing that the other parties are unable to see the wholeness and context of such a proposal. In Denmark, researchers say that one can lose a whole generation due to unemployment, in Sweden, the corresponding system has led many without education to get a job, while in Norway, there is someone alive to put in place the corresponding system, because they think it only applies to the rich. In recent times it has been a children's egg debate in the media. In this proposal, there is a real way of thinking about children's eggs that can be set aside for a better working life. You get a job arranged for a lot of people. One more job, and the state gets more into tax money. Can we really say no? I then take up the Progress Party's proposals and the proposals we share with others.
ParlaMint-NO_2012-06-13.ana.ud101e2062	The representative Laila Marie Reiertsen has addressed the proposals she referred to.
ParlaMint-NO_2012-06-13.ana.ud101e2065	In Norway, in the Right’s view, there is not exactly the same need to stimulate increased employment in the construction industry through broad tax deductions within the sector. In Sweden, therefore, according to the proposer, there is a tax gain on housing sales under the ROT and RUT schemes. You don't have that in Norway. It follows a logical symmetry principle that one should not have a deduction if one does not have a levy, and so the Right does not want to impose taxes on the sale of a dwelling, such as: SV has proposed. The right has made a similar proposal but limits the right to deduct labour due to environmentally friendly conversions with good effect. Against this background, the Right will not vote in favour of the proposals of the Progress Party on the one proposal. Private households make up 68 pst. of energy consumption in the building mass of Norway. In the view of the Right, the individual owner of the dwelling must be given good incentives to streamline his own energy use by investing in effective measures. That's not so much the case today. Enova currently has a template-based support scheme, which in practice means that Enova’s funds are not available to private homes and smaller housing companies, but actually focus more on the large ones. NOK 10000 to replace an oil fire with geothermal heat to NOK 200000–300000 is not exactly the high stimuli, and the right believes targeted tax deductions can produce a better, positive – and unbureaucratic – effect. It is appropriate to focus on socio-economical and priority actions that can contribute to meeting the objectives of the Climate Change Agreement. Of course, the right will also have a ceiling on this tax deduction of NOK 50 000, so that we do not get the huge consequences that they have in Sweden. We think that a good alternative is therefore tax relief exclusively for energy efficiency measures, a scheme that has gradually become called EnergyFunn. Some of the aid currently channelled through Enova’s support schemes may instead be tax credited to households. Climate 2020 recommends the use of the tax system to stimulate such measures through its own deductions. Five main energy efficiency improvement measures are mentioned and should be considered. It is energy follow-up, insulation and sealing, technical equipment, energy management and low energy solutions – all of which, of course, in combination – and that windows are replaced. Of the five measures, three point to socio-economic profitability. These are energy follow-up, insulation, sealing and low energy solutions. Many of these solutions are so expensive that the aid schemes currently in place by the State do not trigger them, even though households would like to see them reasonable. Thus, by having a ceiling of NOK 50000, several households would have been able to afford, the economy and want to do something about this. The right is not fully convinced that the type of communication that Enova has had makes Norway’s population queue to take the necessary measures: post-insulation, window shifting and other major measures. Arrangements are needed which are much more provocative. EnergyFunn is a mechanism that allows one to receive tax deductions for documented costs related to energy efficiency measures in owner-occupied dwellings. If the scheme is put in place, private owners and housing companies could deduct 50 pst. of documented labour costs of energy efficiency measures implemented from taxable profit — limited to NOK 50000. In the opinion of the Court, the introduction of such a deduction would increase investment in measures cutting energy consumption. It will be a very good measure to cut the energy consumption of 2.3 million owner-occupiers in Norway. In a recent study by Sentio Research for Norsk Technology — and where the results are presented on the web site båktualt.no — it states that two of the three owner-occupiers who have not planned to implement power saving measures state that they would have taken action to cut their electricity consumption if any of the investments could be deducted from the tax. These results indicate that the EnergyFunn scheme will be highly effective if it is introduced. That is the background to the proposal that the Right has with the Christian People's Party and the Left, and that I take up.
ParlaMint-NO_2012-06-13.ana.ud101e2095	The representative of Arve Kambe has taken up the proposal he referred to.
