ParlaMint-NO_2005-06-15.ana.ud2566e113	The representative Heikki Holmås has asked for the word to withdraw a private proposal.
ParlaMint-NO_2005-06-15.ana.ud2566e1516	Now the President's forgiveness is starting to go on and on. However, let me say that what I meant by the desire for openness, does not apply primarily in relation to the organisation. This is true in relation to the public debate in Norway. I think it's very important that everyone engages, and that it becomes as wide as possible. I haven't been particularly in touch with the NGOs in this area, but I expect them to feel like others at least there are enough positions to take hold of. We have also given some talks on this, so it will be possible to go back and check some of the positions. I want to add that it is also important to be in dialogue with other countries, and not least the so-called Human Security Network, in which Norway has enjoyed participating, is now focusing on some aspects, particularly on the human rights side. So we're trying to build alliances to get results in some areas.
ParlaMint-NO_2005-06-15.ana.ud2566e1525	This with funding has been discussed earlier this year, and it is of course important that the UN has funding. I was so inspired by the up-to-date information provided by the Minister of Foreign Affairs. I believe that if we are to get people in Norway to be interested in the United Nations, there must be something that is real, so that people believe that here we can hunt for reforms, for example. in the Security Council. We could, for example, suggest that any new country to enter could have a moratorium that they should not have veto rights for a certain number of years. What's the last thing that happens in this very important debate? If we get into real political reforms, the debate can actually start going out among people as well, then just let us not have him.
ParlaMint-NO_2005-06-15.ana.ud2566e1532	Several have not asked for the floor on case No. 10th@item: inlistbox [[Fotation, see page 2947]]
ParlaMint-NO_2005-06-15.ana.ud2566e1549	No one has asked for the floor. [[Fotation, see page 2947]]
ParlaMint-NO_2005-06-15.ana.ud2566e1565	In 2004, there was a general decline in exports to several of the traditional beneficiaries of Norwegian defence equipment. The value of the total exports of weapons and military equipment in 2004 was slightly above NOK 2 billion, slightly above NOK 3 billion in 2003. In particular, the beneficiaries of defence equipment from Norway were NATO member countries, as well as Sweden and Finland. Weapon exports can be measured in crowns and ears or bullets and powder, and which countries receive such exports, but the problem is not that simple. As long as potentially unstable countries, groups or individuals hold weapons and are willing to use them, Norway and allies should also have the opportunity to defend themselves. You have to want a better world and peace on earth, but it doesn't keep asking the parties in a conflict to keep peace, but it's also the will of the world community to use, if necessary, power to stop fighting acts that go against innocent people. It's not that easy that the world is being kind and good just to stop dealing with weapons or to limit it strongly. An overall committee is pleased that the notification is now more detailed than previous notifications and that an examination of the export control legislation has been carried out in 2004, leading to a number of amendments to the export control regulations. The Committee is also pleased that, in the context of its Communication of the Year, a number of measures have now been put in place to increase information and transparency on exports of defence equipment. This is important in order to avoid suspecting these exports. This review has also been important with a view to strengthening the control of terrorism. It is important to have better control over exports of sensitive goods and technologies and services that can be used for terrorist purposes. Today, there is a development in which one does not know what an enemy or terrorist will use in his struggle to achieve a goal. But it must not prevent us from doing what can be done, in order to prevent conventional weapons and ammunition from getting into the hands of people who want to kill to achieve a goal. We are also facing people and groups who cynically employ new technologies to produce weapons for the purpose of hitting innocent people. The time we knew where the enemy was is over, but it must not make us see ghosts in every hook. It is important to take precautions, and that we become more careful about who we sell weapons to. It is a saying that ‘no longer has peace than the neighbour will’, and this is what one has to deal with, whether it is politics, religion, tribes, peoples, poor and rich or fighting for land and water. An ever-increasing population and the difference between poor and rich do not make the situation brighter. The Committee welcomes the fact that the regulatory changes on arms exports aim to simplify legislation and make it more adapted to current challenges. These changes aim to strengthen the control of all goods, including goods not on the checklists, to countries which are under arms embargo adopted by the UN Security Council. Multilateral export control in recent years has become an increasingly important tool to prevent the proliferation of weapons of mass destruction and the building of conventional military capacity that could threaten stability and security in an area. It is therefore gratifying that most developed countries, and hence the largest suppliers of sensitive goods and technology, participate in the cooperation. In this context, it is important to exchange relevant information, with the development of control lists of goods and technology relevant in the context of terrorism. The Committee is also pleased that intensive work is now under way with a view to strengthening international cooperation to prevent terrorists from accessing chemical, biological or production and dissemination equipment precursors. Many of the armed conflicts in the world are becoming more bloody and prolonged through the supply of smuggled weapons, especially those that are easy to make, hidden and easy to smuggle, including explosives. What is also worrying is that there is a quantity of unregistered and illegal weapons that pose a serious problem in conflict areas, particularly in countries with unstable governance and in countries with civil war. This is a global security problem. It is therefore important to develop measures against illicit arms trafficking, including: better border control against countries in conflict. Export control and illicit international trade in small arms are current issues in the UN, EU, OSCE and Wassenaar cooperation. The Committee welcomes the adoption of substantive guidelines to strengthen the control of handgun deliveries by participating countries and to facilitate arms supply. In the autumn of 2003, the UN General Assembly decided to launch negotiations in 2004 on an international agreement on the marking and tracing of small arms, which, in the Committee's view, would improve the control of these types of weapons. The Committee also considers that the removal of unregistered weapons must be part of international cooperation. Therefore, it is gratifying that Norway has carried out the collection of unregistered and illegal weapons, which, in addition to terror, can also be used for criminal activities, and we hope that other countries will follow the example. It is also important that Norwegian military weapons stocks are better secured, for example. to use mountain storage to a greater extent. Finally, the party of progress is of the opinion that the real threat today is not the one we associate with conventional weapons, but the weapons you can't see, and you don't know where. I am thinking here of fanatical groups, who, in order to achieve their objectives, might think of using nuclear, chemical and bacteriological weapons and explosives that hit largely innocent people. They don't care to get a say in their case, no matter what it may be. Therefore it is better to be led was than for quick. But the most dangerous thing is to close your eyes and hope that everything is okay when we open them again.
ParlaMint-NO_2005-06-15.ana.ud2566e1603	What has happened internationally, the last time we discussed this matter, is that there have been initiatives from the United Kingdom that they will probably support Arms Trade Treaty – ATT – i.e. a weapons convention. I'm not going to start that debate in any way, but I think what happened last time we had that debate here in the house is interesting. We will come back to this from the SV side, and we hope, of course, to receive support from the other parties and, of course, from the Government that getting to an international arms convention is an important work. The last numbers from the Swedish Institute SIPRI also show that we are in a way going in the wrong direction. It is produced and it is sold more weapons than ever, even though I have also registered that the weapons store in Norway has fallen so far in the last year. I'm not going to start a debate on it, but there's at least work going on on the Arms Convention. We can see that in the Swedish version that we will have to deal with more thoroughly later here in the Chamber.
ParlaMint-NO_2005-06-15.ana.ud2566e1610	Several have not asked for the floor on case No. 12th@item: inlistbox [[Fotation, see page 2947]]
ParlaMint-NO_2005-06-15.ana.ud2566e1626	I guess the minority will take up and justify their proposal, so I won't comment on that. I will just give a brief explanation of the reasons why the majority of the committee, all except the representatives of the Progress Party, is in favour of rejecting Document No. The 8th proposal. It's after Norwegian constitution so that it's the King, i.e. the government, which has full and complete responsibility for foreign and security policy, and it is the Stortinget that is usually responsible for correcting the government, supporting it or opposing it, all because the elected representatives believe that the government presents is adequate for the Norwegian needs or not. One can get the impression that the proposers believe that there is a general lack of foreign policy debate in Norway and that there is a special lack of foreign policy debate in the UK. It is according to my concepts as far away from the actual conditions as it is possible to get. There is no area where the government communicates more forcefully in relation to the Storting than in this area. Firstly, we have our own consultative body, where the government continuously consults the Stortingen in the process towards the position on Norway's behalf in important international negotiations. Secondly, the Minister for Foreign Affairs makes regular general statements on foreign policy for the Stortinget, and the Stortinget has a completely open and free, even unlimited, debate. There is hardly any other matter in Stortinget. Then it becomes quite unreasonable to make the claim that there is a lack of treatment of foreign policy issues politically. Nor is it part of the Norwegian state practice to develop policies either on behalf of the government or on behalf of the Storting through party-groups, or selections composed of interest groups in the Norwegian community, combined with research environments, organisations or other sizes. It is of course the case that the government is making continuous use of the available expertise in Norwegian research environments. It was just supposed to be missing. It is also the case that the government always communicates with the heavy players, for example. in the case of Norwegian business, in respect of the international pursuit of the interests of Norwegian business. In the same way, of course, the parties in this house make use of the skills they believe you need before they outsource the parties' policies both here in the Chamber and in the programme work carried out by the political parties. All of this is, in my opinion, an adequate response to the wishes of the proposers. The answer is that competence is exploited. The general public debate is present. The parties of the Great Britain have a separate responsibility to develop their foreign policy and priorities, because, in my opinion, the main argument against the idea of a selection to develop Norwegian foreign policy is that it shifts the purely political task of prioritising all the good purposes. That's what politics is about. It cannot be ‘outsource’ either from the Storing or from the Government, because then both magnification and government really become superfluous. It must be the political parties' own responsibility, whether in the government position or in opposition in the Storting, to do as robust work on foreign and security policy as in other policy areas, and it must be the political parties' own responsibility, at their own expense and risk, to do the priorities in this area. It would, in my view, create very unfair responsibilities if collapse and government were to start serving such a model as this, because it would have strong corporate features, which would be directly contrary to what is the basic principles of the Norwegian democratic state.
ParlaMint-NO_2005-06-15.ana.ud2566e1643	I understand that the proposal that we have made, to the extent that has aroused some reactions, perhaps not the greatest debate, but nevertheless so strong reactions that Prime Minister Kjell Magne Bondevik saw the need, through the VG on 23 April, to ask me to draw up the proposal. It was strange to read that message through the VG. I would have liked to have thought that the government was dealing with the treatment in Stortinget and did not go through the media that way. I felt a need to say this. I found it a little tidy on the part of the Prime Minister. We're interested in getting a more general discussion about what kind of foreign policy we're going to have, what priorities, what leads. We recognise, of course, that we have foreign policy debates, not least in this room, look and often — often good debates — but they are often limited to the subject area concerned, or the issues that lie in the air internationally. The big debate on Norwegian foreign policy and long-term priorities, and the priorities perhaps in the shorter term, is not a debate we feel that we are often part of, but it is possible that we have a problem in this way. We'll see about that. We also note that in other important areas, tax policy, pension issues, etc., it is not unusual to ask outside input for these processes and choices. This does not mean depriving a government of the responsibilities of these bodies. It's not about outsourcing. We also record that there has been a debate, not least in ours, which was, of course, driven by the tragic tsunami disaster, where there have also been recordings of this. I'll be allowed to make some of these recordings to light up a little bit of the debate that's going on outside this house, and maybe outside the government offices as well. In the evening post on January 8, this year, Nils Morten Udgaard had a comment. When he talks about the Ministry of Foreign Affairs, he says that ‘The clarity of the target has become more and more impaired. It is also a consequence and a contribution to the diffusion of foreign policy itself.’ You might disagree with this, but at least that's a point of view. He continues that there is a «lack of priority – among politicians». We wanted to contribute to such a priority debate. In a chronicle in Dagbladet on February 3rd this year, Janne Haaland Matlary has a recording where she writes: ‘We have a tradition of pragmatic foreign policy adaptation without strategic analysis. The slogan is to ‘manage’ incoming ‘problems’ only when they occur or to ‘do something operational’. However, tactics and operationalisation are of little use without strategy.’ This is again an input from a person who has well documented his understanding of foreign policy. Researcher Nils Holme writes in a line in the Evening Post on April 28th this year: ‘If the tsunami crisis were to lead to something good, it must be the search light directed in the process towards the main tasks of the Ministry of Foreign Affairs and the way in which they were done. Nils Morten Udgaard points out that the U.D. has prioritised peace mediation and other activities on behalf of other peoples to the extent that our own Norwegian interests seem to come second. He called for a certain return to the ‘political substance’ of foreign policy.’ I will be allowed to conclude this round of quotations with an article by two researchers at NUPI, Nina Gräger and Halvard Leira, who wrote in a discussion paper in Dagbladet on 10 April this year: ‘We believe that the problem is more about the lack of overall and clearly defined thinking around Norwegian foreign policy.’ What I'm trying to elucidate is that there's been a debate out there. It's a debate. There are several people who point out that maybe you should have sat down and done some work here. So it could be that the sample form that we're proposing is disc bombs. That's what you're saying. But I haven't seen anyone else come in to handle this in any other way. So it was interesting to go back and read the book that Bjørn Tore Godal joined in 2003 «Outlooks – Big Little Norway in a New World». Here writes Bjørn Tore Godal: ‘However, the entirely systematic attempts at a comprehensive discussion of Norwegian foreign policy are quite rare. The last government and Storting took on the roof and carried out something like this, was just at the entrance of the epoch I describe in this book. In Stortingsbericht nr. 11 [[1989-90]] This message provided the basis for a more general strategy and was widely endorsed by the Stortinget. I have no illusion that it is our criticism of the diplomacy of aid and of the diplomacy of peace that will necessarily win. But I think it would have been good to get it anchored in Stortinget. I am a little surprised when you consider that everything is very well and that, to some extent, you do not see that the need we point out can be there, that at least you have the respect for the proposal. I understand that you don't think this is the right way to go, but I don't see, as I said, that you come up with concrete ideas about how this could be handled differently and better. The form we have is an enlarged Foreign Affairs Committee, there are presentations in the Chamber, and that's what you should continue to have – without taking the more general debate that we are calling for. We'll get back to that when we meet again – hopefully – after the election. I refer to the proposal from the Progress Party.
ParlaMint-NO_2005-06-15.ana.ud2566e1690	The representative of Morten Höglund has taken up the proposal he referred to.
ParlaMint-NO_2005-06-15.ana.ud2566e1693	The Central Party agrees with the Progress Party that a major debate in Norway on the road choices we make in foreign policy is desirable and the choices we can make in foreign policy. We do not at all agree with all the premises underlying the document under consideration, but we think it is good that the debate should be raised, and that we also make representations on how we can get this kind of debate on the road choices up. When you listen to the representative, you get the impression that the world is static, but it's actually not like that. International cooperation is undergoing major changes. The world appears unstable in many respects. It is a fact that the traditional distinction between domestic and foreign policy is increasingly being expanded. That is why we believe that it is a wise idea to invite a wide debate on Norwegian foreign policy. And there's a need. For us in the Center Party, it might seem like we're on a promontory when it comes to international law. We need a debate on how to deal with aspects of international law in the future. We definitely need a debate on how to take advantage of the space we have in relation to the EU to mention something. It is true, as the proposers say, that in most policy areas analyses and recommendations are made by a grouping of people – recommendations that come to the political environment – and then it is maritimely the political environment that deals with this and draws its conclusions. In this way we have had a good example here in the hall today. It is certainly true that the Orheim Committee's setting has been useful for the work that has been done in Northern Region policy. I think it is very wise to facilitate a wide-ranging debate on the road choices in Norwegian foreign policy, and to seek help in those environments where you have great knowledge, to create a starting point for that debate. But then the point is that it must be up to the government to initiate such a process, and therefore we cannot support the proposal that lies here from the Progress Party. There's no point in trekking this down your head on a government, this is what the government has to figure out. But in what I say, there is also a clear recommendation: it is wise thoughts that lie in the proposal for the Progress Party.
ParlaMint-NO_2005-06-15.ana.ud2566e1704	I interpret the posts of the representative, Høglund, so that even he is not very strong in the belief that the proposal that has been made is in the middle of the flash, to say it with an understatement. I think that's fair and proper. However, it was from Høglund's side a description of what is the state of play regarding the treatment of foreign policy in the Stortinget, which I think was so incomplete that it needs to be corrected. Høglund said it's right that we have general foreign policy statements from the Council of State at regular intervals, and that's good and good. And it's right that there's a consultation body, and that's good and good. And we have a number of single things, and that's all right. But what he then forgets is that during the last six months, the Stortinget has only been presented with several very important big business messages and related basic work. Most recently, we have used most of today to deal with such a communication, which has been drawn up on the basis of expertise, competence and usual political processes, where the Government is flagging its priorities and its views – in this case in the North Region policy. A similar even wider and comprehensive debate has been held on the whole of development and aid policy, which is another very central issue of Norwegian foreign policy. If one ignores this, the picture becomes directly misleading, and then the justification for the proposed proposal also becomes correspondingly weak. Then, for a moment, I had some doubts about whether the Central Party really belonged to the majority in the committee position or actually supported the minority in the committee. After all, I understood that the country was finally said to be part of the majority in the position, but with a purely formalistic justification. It surprises me a little, I have to say, because it may happen when basic debates on foreign policy choices and priorities are called for, as the representative Haga did, that the reason for the announcement is that one simply did not participate in the important debates we have had in the House on road choices, at the latest the very extensive debate on the Government's agreement with Sweden and Finland on a joint EU action force. As far as I remember, the representative Haga was not in the hall at all when the important choice was dealt with. So, finally, the reason why I think, for my part, that the idea of a public body, reduced by either government or magnificence, for the purpose that the proposers want, is that this is not just about a partial investigation. It is not a matter of special competence, but it is the most comprehensive of all, namely the overall profile of Norwegian foreign policy. Of course, it is right to listen to all the voices, including those quoted by the representative Höglund – that should be lacking, that is why we have a public debate – but there is no reasonable reason to invite the participants in the public debate to sit together in a selection of priorities. It is and will be the cursed duty of the political parties – I had almost said. You can, for example. start by deciding to have an opinion of Norwegian membership of the EU. It would be a good start.
ParlaMint-NO_2005-06-15.ana.ud2566e1719	Yes, it was «closely said».
ParlaMint-NO_2005-06-15.ana.ud2566e1722	Yes, it is our duty to have opinions and opinions and to highlight the course of Norwegian foreign policy, but we therefore think it would be a good idea to draw these forces from the outside. The representative's salary almost implied that I did not believe on my own proposal. You can't make a suggestion to reduce a sample to a principle or not. I think there are several ways to that goal, and the aim here is, after all, important, to get the cross-sectoral debate. I think there's different ways to get to it. Until I see other proposals that I think can be good in that way, I think the proposal that we have made, at least is a constructive input, and the best input I have seen in that way. I am sorry that I did not mention the message in particular. We had a good discussion around the Northern Territory Communication, so all credit for it having arrived, but it is nevertheless sector-oriented, so it does not take into account what was our appeal point, namely to get the overall debate.
ParlaMint-NO_2005-06-15.ana.ud2566e1731	The representative of the Wage says to my great amazement that the Centre Party is resigning from the major foreign policy debates in this Chamber. Then I simply have to ask that the salary clarify what it is he means. What are the major foreign policy debates that he believes the Central Party has signed up for? Now it's the way in the Central Party, I don't know what it's like in the Right, but it's the way in the Central Party that we actually think about the same things, whether it's a parliamentary leader who's having a debate, or whether it's a member of the Foreign Affairs Committee who's having a debate. And Inge Wohnning will live in confidence that when our parliamentary leader, Marit Arnstad, addresses the issue of the EU's battle groups in this Chamber, it is an expression of the views of the Centre Party, including mine. I understand that it doesn't necessarily work the same way in the right. We're going to have to take note of that.
ParlaMint-NO_2005-06-15.ana.ud2566e1743	I have listened to the debate, but I am not quite sure if I can get hold of it, because it does not take into account, firstly, that the representative, Mr Höglund's document, No. Eight proposals, of course, involve much more than the debate that has been going on so far. And the issues that have not now been raised in the debate may also be the main weaknesses of this Document No. The 8th proposal. I think it is deserving that we do not go round about that part of it, but I just want to point out that there is one important aspect to this debate. When it comes to the Norwegian foreign policy debate in general, I think it is very important that no myths about the myth are now created that a thorough foreign policy debate is not taking place in Norway. It is clear that a lot of research is being done in Norway. There's a lot of writing in research environments. What is written often forms the basis for debate, and it is enough that politicians can direct the debates only to a limited extent. Here we are in many ways admitted both that there are media that are willing to take it, and that there are people who are willing to participate in it, but I have not experienced any political parties that are particularly hard to pray about participating in foreign policy debates. We are now in the process of purchasing for a four-year cycle where the batches have just carried out their thorough programme processing, where they have just taken the overall grip on what they think should be the country's foreign policy. And that's the overall grip that's about to be tested in the election that's coming. So here we've had a lot of thinking and a lot of debate. Now that we have a debate here in the Chamber that is based almost on the premise that nothing is being debated, it becomes quite peculiar. And once we've been given examples at this meeting's opening, that's a debate that just assumed that we asked scientists to come up with a few points of view, it turned out that even that part of reality isn't confirmed by what's actually happening out there. So we've also used professionals to provide us with a basis for the debate. But the fact that you don't have an overall grip, I'm going to reserve myself against that. There's something the parties really take on the greatest seriousness, and that's why we've been briefed as we have, because we believe in the ongoing debate that is, we have a good grasp of what the main priority must be. It is also quite instructive that in the setting all parties give a powerful response to the opinion of the Progress Party on how the priority is. That is precisely what the Committee is responding to in the committee position, and that is an expression of both the thought and the existence of the debate.
ParlaMint-NO_2005-06-15.ana.ud2566e1757	Debates on whether a debate is taking place are rarely the most rewarding debates. However, the nature and justification of the proposal makes it necessary, because the whole proposal is based on the assumption that there is no qualified foreign policy debate in the Grand Duchy, and therefore such an initiative must be taken. I asked for the floor just to reply to the representative Haga. The reason I did that was because she herself, in her speech, complained that there was no debate about important foreign policy choices. I think it was close to remembering that we had such a debate a very short time ago in Stortinget, and even about a road choice that her own party prioritises more than anything else, if I have understood correctly, that is, the fight against obliging Norwegian cooperation with the EU on security and foreign policy issues. Then I allowed myself to suggest that the explanation that she lacks a debate on road choices may have been that she did not find the opportunity to be present. It is all the more striking, since she, as a party leader, wrote in the country's largest newspaper just before that debate took place in the Stortinget, that the majority of parties in this Chamber are acting unconstitutional – that is a very strong accusation – by making the foreign policy choices that this is about. Among the parties that were accused of this is the party that she herself has advertised that she wants to cooperate with in government, and that makes it even more eye-catching. It is generally assumed that if elected voters act in breach of the Constitution, it should be subject to a national court action. In any event, it is common to assume that the person who considers it to be unlawful is justified. That's what I pointed out, it'll be quite striking when you don't find any reason to justify it, doesn't think there's any reason to participate at all in the debate on that choice, and then after that, there's a debate on choice.
ParlaMint-NO_2005-06-15.ana.ud2566e1766	It should really not be necessary to take this post, but now I think it is time to ask the representative's salary to think and take a break. The representative on the payroll in his previous post was simply accusing the centre party of not being interested in an international debate because Åslaug Haga was not in the hall. It was a debate following a presentation by the Minister of Defence, who signed as a defence-policy spokeswoman. It was a debate which the Central Party took part in with its parliamentary leader. I did not see the Right parliamentary leader for a moment in the Chamber that day, but I could not for that reason dream of accusing the Right of not being interested in the debate that took place in the Chamber. Now it's time to take it easy!
ParlaMint-NO_2005-06-15.ana.ud2566e1775	This debate was an extremely important foreign and security policy debate. It was marked by the fact that all the other parties in this room defined it as just that, a foreign policy debate. Then it becomes a little special when the party that didn't define it this way then, obviously, is calling for a fundamental debate on foreign policy choices. I would assume that you can agree whether you are sitting in one or another department on the Stortinget, or have one or other title, that it is the content of the matter and how you prioritise the importance of the content of the matter, it is about that. I have not registered that the Right parliamentary leader has called for debate. On the other hand, the leader of the Centre Party has done so, even in a completely demonstrative way. That is when I think it must be allowed to put back the expectation that in the debates that are actually taking place priority is given to participation, and especially when the majority of the majority in the Grand Duchy has been accused of acting unconstitutional to the Norwegian public just before the bigotry debate in question. Then, according to my concepts, you owe it to me to justify the position where it belongs: in the Stortinget, and not in the newspapers.
ParlaMint-NO_2005-06-15.ana.ud2566e1782	Several have not asked for the floor on case No. 13th@item: inlistbox [[Fotation, see page 2947]]
ParlaMint-NO_2005-06-15.ana.ud2566e1798	The question of making 24 October, the UN Day, an official flag day in Norway for the 60th anniversary of the UN was put on the map in a Document No. Eight motions for resolutions, document Nos. 8:78. I have also registered the involvement in the matter both inside and outside the Wall of the Storting. The proposal focuses on the key role played by the UN for international peace and security, and the Committee points out that Norway should continue to have a very strong commitment to the UN. The issue of making UN Day an official flag day will, according to the Committee, be a good symbolic way of marking the Norwegian UN exposure. The letter from the Minister for Foreign Affairs informed the Committee that the flag regulation of 21 October 1927 is under review. The majority of the Committee supports the Ministry of Foreign Affairs in the fact that it would be premature to introduce a fixed flag day before this audit work has been completed. Whereas it was not possible to unite the Committee into a common position when the matter was referred to it, it has subsequently been possible to reach a common position on the Annex to the Protocol. I would therefore recommend a proposal which will be presented in this Chamber later. I expect that the issue of the UN Day as an official flag day will be raised in the context of the audit work, and that the matter will be clarified in such a way that a good decision can be made when that time comes. Furthermore, the Committee is pleased that the Ministry of Foreign Affairs will consider recommending State activities as a separate flag on 24 October of this year, indicating that the UN is 60 years old in 2005. In the view of the Committee, Norway will be able to mark the 60th anniversary of the United Nations in a worthy and symbolic manner.
ParlaMint-NO_2005-06-15.ana.ud2566e1815	I do not promote the proposal of the minority in the vote, but I am promoting a proposal on behalf of the Labour Party, the Right, the Progress Party, the Socialist Left Party, the Christian People's Party and the Central Party. That is proposal No. 2, which has been distributed, and that is that Document No. The 8 proposal will be annexed to the Minutes.
ParlaMint-NO_2005-06-15.ana.ud2566e1820	The representative, Bjørn Jacobsen, has put forward the proposal to which he referred.
ParlaMint-NO_2005-06-15.ana.ud2566e1823	As the rapporteur said, it has been an commitment both outside and within this house, earlier, and now also this year, to get the UN Day as official flag day, to mark the international importance of the United Nations. Among other things, the United Nations has been committed to this issue. That is why, as one of the proposers, I was committed to bringing together a broad political majority behind such a proposal, and politicians from various parties were contacted to stand behind. When the representatives from the government parties together with SV were behind the proposal, I was therefore optimistic about the fact that a majority here in the Stortinget would express a clear willingness towards the Government to do what was necessary in order for the UN day from this year onwards to appear on the list of official Norwegian flag days. In the position of the Committee on Foreign Affairs that we are discussing today, an overall committee expresses the fact that the United Nations plays a central role in international peace and security, and the Committee agrees with the proposers that it is important to bring the global perspective into Norway's 100th anniversary of maritime stability and Union resolution. An overall committee also expresses the joy of making the UN Day an official flag day would be a good symbolic way of marking Norway’s UN exposure. An overall committee also requests that, in the ongoing work on the revision of the flag regulation, it be considered that the UN Day be introduced as an official flag day, expressing its agreement that there will be a special flag on 24 October of this year, thus indicating that the UN is now celebrating its 60th anniversary in 2005. These are opinions and attitudes I fully share. However, despite all these positive comments from an overall Foreign Affairs Committee, the majority of the Committee, all except SV, concludes in the present position that the proposal is rejected – a conclusion which, as I see it, is very little in line with the positive comments in the vote. That's why I'm very happy that all the parties in this room now for the twelfth hour seem to have gathered on the proposal that Bjørn Jacobsen has just made, which is based on that Document No. The 8th motion is appended to the minutes. It also has the consequence that SV does not promote its primary proposal, a request proposal, which is included in the vote, as Jacobsen also explained. By the fact that the proposal is now annexed to the Protocol, the clear will of the Storting, as expressed in the comments of a Joint Committee on Foreign Affairs, will have to be of great importance to the conclusion of the Ministry in the revision of the current flag regulation. My legitimate hope is therefore that we will see that it will be flagged both from public buildings and from private flag bars on the UN day of the harvest, and that this will also happen every year on 24 October.
ParlaMint-NO_2005-06-15.ana.ud2566e1832	Several have not asked for the floor on case No. 14th @item: inlistbox [[Fotation, see page 2947]]
ParlaMint-NO_2005-06-15.ana.ud2566e1848	It is a very important theme, SV, which is addressed in its document proposal. If we are to achieve sustainable development, we must do something about deforestation and illegal logging. The extraction of tropical timber is far from safe. At least 150 000 km2 of rain forest disappears each year. According to FAO, the rainforest has decreased by 10-12 pst. annual since 1990. Illegal maximum is the main reason. The placing on the market of illegally harvested timber in tropical rainforests leads to loss of biodiversity and prevents countries from combating poverty. Norway must take its share of the responsibility for not disappearing from the rainforest. The government has previously asked all departments to stop buying tropical timber that is not environmentally certified. It is therefore very unfortunate that state buildings used tropical wood in the National Museum’s exhibition facilities at Tullinøkka. It shows that we need better and more effective control over the import of tropical timber. The Minister of Modernisation has now reinvigorated this. The industry has also been recommended to follow the example of the country, but many have failed to follow it. Voluntary measures alone are not considered sufficient in the fight to reduce the harvest and use of tropical timber. The Ministry of the Environment is therefore examining the legal instruments involved in reducing the use of wood from threatened rainforests in Norway. This is to be done within the framework of our own law and international obligations. The Minister for the Environment has promised to take concrete action and will carefully assess all alternatives. In a press release on 13 May 2005, the Council of State states that one will investigate what other countries are doing, and that in this context it is natural to take a closer look at the measures taken by Germany. In this context, strict measures were recently proposed to combat the import of illegally harvested timber. The Ministry has also had a meeting with the Rain Forest Fund to discuss the matter in more detail. The aim is to identify instruments that can reduce the use of wood from threatened rainforests. Later, businesses and other actors will also be invited into the work. In particular, importers and dealers of rainforest timber and rainforest products shall be given the opportunity to meet for greater acceptance and digestion to stop imports of illegally harvested and unsustainable tropical timber. In the proposal for the new Nature Diversity Act, the Biodiversity Law Committee proposes to introduce a general authorisation to regulate the introduction of endangered species where this is provided for in legal agreements Norway has acceded to. This will also include tropical timber. As both the Minister for the Environment and the Minister for Foreign Affairs have explained earlier, the path to an import ban or other restriction is challenging. The WTO International Trade Code sets strict limits on what Norway can do by national measures. National measures for the placing on the market of timber must be non-discriminatory, verifiable and consistent with our obligations under the WTO Agreement. An overall committee believes that the Government must also take the initiative to work internationally to find bilateral and multilateral solutions that ensure legal and sustainable forestry. The government is currently doing this bilaterally to timber-exporting countries, in cooperation with the EU through the EEA Agreement. A new agreement on tropical timber is now being worked on in Geneva. The Norwegian requirements here are that in a new negotiated agreement, new environmental and social requirements must be taken into account, including work on the certification of timber, measures against illegal logging and trade, as well as for indigenous people and workers’ rights. It is important to stress that measures considered to prevent the placing on the market of illegally harvested timber should not inadvertently affect poor countries engaged in sustainable forestry with timber exports as an important source of income. I also refer to the treatment of this theme in the Inner. S. No 228 for 2004-2005, from the Committee on Energy and the Environment, on the Government's environmental protection policy and state of the state of the state of the state of the state of the state of the state of the state and the state of the state of the state of the state. S. No 122 for 2002-2003, by the Foreign Affairs Committee, on environmental certification of timber and timber. Finally, on behalf of the Labour Party, the Right, the Advance Party, the Socialist Left Party, the Christian People's Party and the Central Party, I would like to raise the proposal that has been distributed in this Chamber today, that Document No. 8:79 is appended to the minutes.
ParlaMint-NO_2005-06-15.ana.ud2566e1877	The representative Lars Rise has taken up the proposal he referred to, and then the president expects the suspension to lapse.
ParlaMint-NO_2005-06-15.ana.ud2566e1880	The President is starting to get tired of me, because this is the second time today that I'm going to draw a proposal from a minority, and I am doing so.
ParlaMint-NO_2005-06-15.ana.ud2566e1885	It's just driving! It can end well, it can. Several have not asked for the floor on case No. 15th [[Fotation, see page 2947]]
ParlaMint-NO_2005-06-15.ana.ud2566e1895	Then we're ready to go to voting.
ParlaMint-NO_2005-06-15.ana.ud2566e1963	During the debate, Mr Höglund put forward four proposals on behalf of the Progress Party.
ParlaMint-NO_2005-06-15.ana.ud2566e2120	During the debate, Mr Höglund put forward a proposal on behalf of the Progress Party. The proposal reads as follows: ‘The Government asks the Government to appoint a wide-ranging selection to address the foreign policy challenges facing Norway and to propose priorities and establishment of Norwegian foreign service to meet these challenges.’ Alternatively, this proposal and the referral by the Committee shall be voted on.
