ParlaMint-NO_2005-12-13.ana.ud1051e57	The representative of Bjørg Tørresdal will make a private proposal.
ParlaMint-NO_2005-12-13.ana.ud1051e1567	It's going to be a string change.
ParlaMint-NO_2005-12-13.ana.ud1051e1570	The representative Skei Grande said that the Children’s Ombudsman has an important role in society as a spokesman for children’s rights. The entire Committee agrees that the Children’s Ombudsman should be able to conduct a bramless and direct speech. Then it is a little strange that the opposition in the committee position presents the free role of the children’s ombudsman while pointing out the importance of the Ombudsman ‘not being perceived as a participant in ideological and party political debate’. In view of the fact that this issue arose from time to time in the Bondevik II government, the question goes to Left's Skei Grande: Where does the Children's Ombudsman's engagement go? What should happen if the child ombudsman makes a comment that can sort under the concept of political, and is incidentally in line with the position of one or more political parties?
ParlaMint-NO_2005-12-13.ana.ud1051e1580	If an agent is unable to distinguish between what is a political reasoning and what is a party political reasoning, he should not be an agent. I want political representatives. I have worked in party-political neutral organizations that have pursued a lot of politics, but in their form of communication have striven not to be assigned one party vision or one political ideology. That's what I think any agent should do. That's what I think a lot of representatives have done in the past, and I think there's a lot of representatives in the other areas as well. But it's a warning that you should stay away from being viewed as a party political actor in a game. Here you have to take care of all children, no matter what background the children have.
ParlaMint-NO_2005-12-13.ana.ud1051e1587	The conflict around the child ombudsman started in the last period, when the ombudsmen were actually called up on the carpet because they were political. It's asking who's assessing what's partisan politics, and what's not. If the ombudsmen are not to have a political role, it will be quite difficult. I wonder if the Left's representative can say anything about it. So I'll take question number. two, which I put to the representative Olemic Thommess, and which he did not respond to. It is true that municipalities do not use the same in kindergartens in a nominal way as before. There are several studies showing that the kindergarten reform is overfunded. So the left in the setting says they want to increase entry 65 by 50 million. kr earmarked income graded parental allowance for families with low income. The municipalities have received money for this. In the previous period, the Left would place the entire nursery transfer in the frame. What is it that makes the left ear mark these means? This is the responsibility of the municipalities.
ParlaMint-NO_2005-12-13.ana.ud1051e1596	In fact, I distinguish between being a party politician and being a politician. I believe it is important to be political – we are all political people – but that is not all the roles in which we should be party politicians. So now I get an opportunity, because I have 46 seconds, to present the following: In Oslo in ‘old days’ it was like having less than 150,000 kroner in income, then a 730 kroner paid for his child in kindergarten. Served over 655000 kroner, paid a NOK 3 700 for having a child in kindergarten. Introducing 1500 kroner for everyone means that single mother with 150 000 kroner of income actually doubles her child's garden expenses, while a family with 655000 kroner of income at the top of the Holmenkol lock gets to travel on two additional South trips. Introducing this kindergarten reform in Oslo costs almost $1 billion. The introduction of new income upgrading costs approx. 200 million. kr. The 200 million. The municipality must then take off its post, which they could have used for other things. That's what's distracting us, and that's what I think is fundamentally unfair in that way of thinking.
ParlaMint-NO_2005-12-13.ana.ud1051e1603	Several have not asked for the word for a line.
ParlaMint-NO_2005-12-13.ana.ud1051e1606	Equality is an important area for the new government. One of the major challenges facing us is that women still serve less than men. The government has therefore set aside 1 million. in 2006 for an equal pay commission. However, we do not want to achieve full equality until men take more responsibility at home, and until we have a babysitting system that allows both men and women to combine working life and care for their own children. The government is therefore considering presenting a separate report on gender mainstreaming and gender equality. I want to say that I fully agree with the representative Knudsen that the family is an essential pillar of our society. That's why it's important for this government that everyone, no matter what form of life, is included in the family concept. I also received a challenge from the representative of Trine Skei Grande about the work for solitude. It is quite obvious that when we think about family, we also think lonely, and I can assure the representative that this government will continue to work on the problems of the same. What form it will be presented to Stortinget, we have to come back to, but at least I can promise that the department is working on this question. For this government, homopolitics are important, and we are very pleased that we in this budget can finally follow up on the measures that include: was located in St.meld. No 25 for 2000–2001, the so-called gay message. We also increase support for LLH, for anti-discrimination work and for Blikk. The representative Thommess presented the challenge of modern anti-discrimination legislation that captures societal changes. I believe it goes without saying that every government in every area has to strive to have a modern law that captures the needs of society. Then, of course, we will be very responsive to the recordings that the Stortinge gives in relation to this, and hope that we can get a good process in the time that comes. Child protection has been through a major and important reform. The quality of institutional services has been increased and foster home services have been extended and partly decentralised. Work on community-based interventions has been prioritised. During the autumn of 2005 and next spring, five new behavioural institutions are opened for children aged 14 to 18 with serious behavioural problems. In view of the growth in the number of clients and the costs associated with the conversion and necessary quality of the service, it has been necessary to increase the appropriations for the protection of children by the State. The government wants to improve the conditions for single minor asylum seekers who come to our country and transfer responsibility to child protection. Lone minors are a vulnerable group of children and young people. They're alone, without parents, and they're asking for asylum. They need our protection, care, security and close follow-up. The Ministry has started an investigation into the issue of the transfer of care responsibilities from the non-resident authorities to the protection of children, and we will come back with a detailed statement on the matter in the revised national budget. The cohabitation measures we know there's an exposure to here in the hall. There is no doubt that they can contribute to the reduction of life conflicts. But we don't have to look at this blindly and think that only we're going to grant an x of millions of dollars for different types of measures, we've solved the problems. In this way, I would like to say to the Progress Party and to the Knudsen that what will be important for this government is to look critically at the use of the money in this field. We're continuing appropriations for next year. We believe that the problems of living are important, but our starting point is that we're willing to turn some rocks, maybe we have new research and new methods that make us do things a little bit differently in the future. But it's going to be presented in a proper way when we're done with that work. Finally, the time goes by quickly: I also received a challenge from the representative from the Right in relation to proposal No. 23, which is about quotas and penalties. I would like to say that what this government has done in a very short time is to take a little seriously the envelope that has been made, among other things. from the right in this case, considering that we are looking at the possibility of imposing fines on a specific basis. But what's important now, and for which I really expected an engagement from the Right, is that one stands upright on the importance that one has actually received a historic decision through in the Storting with the help of the Right in the Government.
ParlaMint-NO_2005-12-13.ana.ud1051e1632	It's going to be line change.
ParlaMint-NO_2005-12-13.ana.ud1051e1635	I have a great deal of understanding that the Council of State does not get through all of its fields in a relatively short time, and that is why I want to ask questions about the reform of contributions. The previous government announced that there would be an evaluation in the harvest of the new contribution reform and of the various consequences, positive but also negative, it has received. I would therefore like to hear from the Council of State whether she has a time perspective when we receive an evaluation of the contribution reform.
ParlaMint-NO_2005-12-13.ana.ud1051e1641	I would like to thank you for that very question, because it is a matter for which there is a very great commitment, and it has been since the Grand Duchy adopted the reform. I was the Council of State that put forward the rules on contributions, and I said at the time that it would be important that we evaluate and look closely at the experience. We have a lot of pressure on this matter in the department, but at the same time I have said that the government will give itself time to go into it carefully, so that we get to put forward a proposal that is well worked out. At this point we also hope to have a good dialogue, among other things. with the Progress Party, which has had a strong commitment for many years. I can at least promise that our starting point is for men and women to be treated equally in our contribution system.
ParlaMint-NO_2005-12-13.ana.ud1051e1646	I thank the Council of State for its positive feedback on issues of discrimination, and I interpret it to her that this also applies to the general approach in the legislation. But to equality and to the governments: Yes, we are upright, yes, we are upright in our desire to do so, but does the Council of State see the day when she or one of her colleagues is actually going to break up a big business? It's not really an alternative. Substantial societal considerations are going to appear every single time, if it ever happens. Then it is not worth it that you run a race so striped that you are perceived as being quite extreme. If there is some gender equality work that has suffered over the years, it is ridicule. What we're on our way into now is inviting ridicule. It invites ridicule in those rooms and in those forums where it's important that it's not just to be ridiculed, but really taken seriously. It doesn't serve this solution.
ParlaMint-NO_2005-12-13.ana.ud1051e1651	I think we could have had our own debate today on this very topic. But I want to tell the representative that it is clear that there is criticism. That there are counterpowers, we have traditionally always seen when we talk about equality and women's place in society. What I have repeatedly praised for many years, and which has been quite invaluable in getting this matter through in the Storting, is that the Right agreed to present this law, also with sanctions provisions that dealt with forced resolution. That's why it's going to be directly alarming. I have studied the legal work, the assessments and the hearing opinions carefully, and I believe that the government of Bondevik and Ansgar Gabrielsen had a lot of reason to come along. But we're making some changes that make there might be some flexibility in the system. I hope that the proposal will be sent, because the Minister of Justice will start work on going through the instruments of sanctions in terms of the use of fines. I hope that the Government will be able to complete that work, and that we will present a matter for the spring.
ParlaMint-NO_2005-12-13.ana.ud1051e1658	The Minister for Children and Gender Equality has been seen to manage cash support, which has been debated today. I see that there are slightly different interests in the Government when this is the case. One argues that it is important to give priority to financial measures other than cash support. One has found a lot of financial supplements for different purposes, but has a lot of cuts of 273 million. NOK in cash support. It does little to help – as I have said before – that a good thing is to save a principle, if at the same time it is not a good thing to send some signals to young children's parents about how much they intend to reduce cash support. Will the Council of State guarantee that the cash support in the proposal for next year's budget will be kept at at least the same level until a full babysitting is provided?
ParlaMint-NO_2005-12-13.ana.ud1051e1663	Actually, it would have been enough to refer to the representative from the Central Party's answer to that question today. It is clear that we are not going in and saying anything about the budget we have now started working on. But it has been important for the Government to make some changes in the course that the previous government had in this field. So we're talking about an amount of a little over $300 a month. That's why I'm a little surprised by the crazy commitment we're experiencing from the Christian People's Party now, when we know that they actually cut the baby supplement, when we know that the SFO price has increased, when we know that our municipalities have poor framework conditions for children, and when we also know that there are a lot of kids who don't get the help they should have at school because the school has been down-prioritized. Here it should be freedom of choice if the previous government had used the power it has had for many years, to raise these issues. We are therefore very upright in relation to the marginal cut we have made in the cash support. The scheme is attached to the construction of kindergartens.
ParlaMint-NO_2005-12-13.ana.ud1051e1672	I have a question to the Council of State that I also asked in my post, and as I, as she had it a little busy, will give her the chance to respond to now in the line exchange. It goes on the investigation of the so-called gender-neutral marriage law. Can the Council of State say anything about progress? And have you decided on the model already now? Or in the investigation, can you be open to what models to go for?
ParlaMint-NO_2005-12-13.ana.ud1051e1677	The government has started work, but I can't be clear from the time perspective. There are many ways to put up such a big and extensive work. We have to have it for treatment in a proper way first. But I want to say that we've noticed the recordings that the left has in this field. The Ministry has already started work on the evaluation of the proposals made by the Left, and they will be involved in a careful assessment of the conclusions reached by the Government.
ParlaMint-NO_2005-12-13.ana.ud1051e1682	Both in the statements of the Council of State and in previous contributions from the Workers' Party today, we have heard that men should take more responsibility at home. I want to ask you why we, as politicians, are going to interfere in how men and women divide the problems between themselves within the four walls of the house. Besides, there are more and more men in our society washing clothes, washing houses, ironing, cooking, looking after children, etc. On the part of the Progress Party, we believe that it must be up to each couple to decide for themselves how to divide the tasks between them. One place must the limit of the private sphere go, and I will ask the Council of State question: Where does she think the limit of the private sphere should go? Does she imagine any concrete legislative proposals to regulate the work within the four walls of the house? Otherwise, I register that today it is impossible to get a clear answer to what you want to do with the cash support.
ParlaMint-NO_2005-12-13.ana.ud1051e1691	I think everyone in this room many times thinks that as politicians we shouldn't care about many things that the individual should have handled himself, but that's not the way it is. Democracy needs frameworks, laws, rules and guidelines in relation to how to address difficult situations between people. I believe that of course there are things that it is absolutely impossible to go in and regulate by law, and we should not get there either. But I must say to the representative Knudsen that it is absolutely impossible for me to give a fascist response to where the limit goes for the private sphere. What's important is that we add up to a society where both men and women have equal opportunities. There were also many years ago who thought that establishing kindergartens was something that the individual, mother and father, should take care of themselves. Today, the Progress Party is an important adherent of kindergartens, and that means that society is moving forward, and that we are all changing gradually.
ParlaMint-NO_2005-12-13.ana.ud1051e1700	An important part of the work we do on Stortingen is to try to make children and young people's everyday lives and grow up a little bit easier. One way to do this is to always have the United Nations Children's Convention on the desk next to it, regardless of whether it's a budget, a legislative change or a message we're dealing with. Remember, as political representatives, the main content of the Children's Convention, I think we have already done a good job. The Progress Party has fought on many occasions for better child protection. Not least, John I. Alvheim was a champion of child protection children and their relatives. Many turn to us big-time representatives with their stories about child protection. We believe that the innumerable cases we hear testify that there is not enough child protection in Norway. First, too many children stay in homes where their parents rush. This should be a simple matter for the public to intervene in. No child, absolutely no child, should grow up in heavy drug users, which unfortunately happens today. Secondly, the protection of children should take into account the comments made by the previous committee in relation to the notification of child and young people's growth, namely that close family members should be assessed only when children are to be placed away from home. Too many times, however, I have received telephones from desperate grandparents, aunts and uncles saying that they have their applications to take over the care of children with whom they are related. Reasons are rare, but you can imagine that it has something to do with their having too good contact with their biological parents. Yes, and that is exactly why we wanted the children to come to their grandparents. It had not become such a traumatic experience as it is to move to total strangers, or possibly to institutions. Then we're at the next topic, the purchase of external institutional space. We see that in the ejaculation you have to increase this post once again, this time by 215 million. kr. For the next year, the Government proposes once again to increase this item, or the previous item 70 under the same chapter, despite the fact that extensive conversion work has been undertaken to reduce the cost growth of the sector. It is worrying when the state assumes responsibility in January 2004, and two years later it can still be written in St.prp. No 21 for 2005-2006: ‘However, it has been shown, after one has now been given more information on actual cost developments in 2005, that ensuring a good professional activity was more necessary than previously foreseen, while at the same time shifting has not had as much savings in 2005 as one assumed.’ What are you really trying to say here? The 2005 budget increased by 300 million. In the revised summer of 2005, an increase of approx. One hundred million. kr and thus in the new age 215 new millions. Then it's actually timely to ask, what's going on with public child protection? Are there no critical reviews of what these budgets are drawing up, when full awareness was given to the activities in 2004 to gain better control? I think it is relevant to ask, especially when you are contacted by foster children who are in foster homes with both four, five and six other foster children: do you have control of the business? Does it have official control over what happens to thousands of children who are being removed from their biological family every year? I don't think the government has control. And that bothers me. In fact, I do not demand that the child protection in each municipality should be able to have an overview and an insight into whether all the children you have placed around are doing well. They probably have more than enough to do with getting away from all the concerns they get and all the acute issues they get caught daily. Because I'm not saying I want to criticize the child protection workers as such. It's the existing system I want to live on. Child protection workers do a great job for very many children in this country, but that is not satisfactory. This is what the Progress Party wants to do. It is not to suspect the public Norwegian child protection, nor to throw down on the county councillors, but to take care of the children and to ensure that those children who have a slightly worse prerequisite than others are raised in a safe and healthy environment. That is why we are proposing free and independent child protection. We know that the supervision of child protection, the county councils, the child protection institutions, nursing homes, foster homes, etc. not being sufficiently implemented today. It may not be necessary to wait until the Riksrevision examines the supervision, or the media reveal a scandal, until we put in place a better supervision. Let's raise supervision and get free and independent child protection. Maybe the Council of State thinks this seems a little scary, but that's not it. There is a place where the children can contact, the relatives can contact them, and not least both professionals and caregivers can contact them when they feel that something is not right in the public child protection system, so that the guard can take care of the case in an unwarranted way and investigate it. This is how we would have thought, and everything just to ensure a good and safe growth for all children in Norway. Then it's that I take a look at my desk and see that I have both Articles 9, 18 and 20 of the United Nations Children's Convention.
ParlaMint-NO_2005-12-13.ana.ud1051e1722	This government has put the fight against poverty high on the priority list. It has often been said that poverty has many faces and that the problem of poverty is so complex that it does not benefit from simple explanations about causality or solutions. But we know that poverty often has bad companions, such as addiction, mental problems, unemployment and social isolation. And then we know that those children who don't get care and support from parents or other close adults are the ones who strongly advocate the most desperate face of poverty. It's these kids we now have to take a thank-you for. The government will address the fight against poverty by strengthening child protection. The need for child protection work and efforts has increased in recent years. The number of children under the care of child protection has increased significantly. It could either mean that there are more children in need of assistance and help, or that, in cooperation with other institutions, child protection has the power to reach several of the children in need of child protection. The figures for the government child protection in the third quarter of this year show the need for additional funds for the next year. It is important that the Government assess all aspects of this additional consumption by, among other things. to look at the significant number of commercial private institutions for the placement of children, which currently account for approximately 50 % of the total number of private institutions. 45 pst. of the total institutional positions on a national basis. The government has proposed an increase of 7.6 million. kr for the next year's budget to be directly committed to the fight against child poverty through the protection of children. In the last few years, there has been work on local and regional measures aimed at developing good models of child protection work on monitoring and coordination of services aimed at poor children and families. Several regional conferences have been held in cooperation with the regional offices of the Children’s, Youth and Family Budget, focusing in particular on regional challenges, prevention and cross-sectoral cooperation. More than 20 municipalities have participated in this work, with guidance and follow-up to key research environments. The experience with this work is good and the Government now wants to continue this effort on a larger scale. The municipalities that have participated will receive increased funding and several municipalities will now participate in the work. Local and regional measures need to be seen in the context of the work on poverty in metropolitan areas. The budget for urban action against poverty is 21.5 million. kr for 2006. It is important that this work is systematically followed up by raising the level of knowledge and competence of employees at all levels of child protection. It is also important that the authorisation and supervision responsibilities of the child protection measures, which are entrusted to the county office, are followed up in a qualitatively good manner. The work of child protection depends on an overall and systematic effort. During January/February 2006, the Directorate-General for Social Affairs and Health and the Directorate for Children, Youth and Family Affairs will draw up a separate plan for the implementation of measures to enhance child protection competences at national level, in the form of knowledge dissemination and national and regional conferences. In particular, it will be important to increase knowledge of multicultural families and their situation at national, regional and local level. Both the Soria Moria Declaration and the Government's additional proposal now outline an important initiative. Responsibilities of lone minor asylum seekers shall be transferred from the foreign authorities to the protection of children. The stories of children who have disappeared without a trace from Norwegian asylum recipients and may have been kidnapped and trafficking in human beings have made a strong impression on most of us. Minors and single asylum seekers, many with traumatic experiences behind them, must have the same follow-up and protection as other ethnic Norwegian children. They need child protection more than anyone else. The protection of children in North Norway, like health companies, universities and cultural institutions, has for a long time been in broad contact with North-West Russia. The children’s, youth and family status of Region Nord can refer to a five-year very successful cooperation with public child protection authorities in Karelen. This is an important part of the inter-peopleal cooperation in the north to which the Government has committed. Karelia has major challenges in many areas of society, not least in health and well-being. It is therefore gratifying that the Government has aimed at strengthening and continuing this important interpersonal cooperation in the field of child protection. The fight against poverty has many facets. When children are involved, it touches many strings in most of us. It is a human right to have a safe and caring childhood. It's important for the individual human being and for society. Children who lack care and who are deprived often enter the vicious spiral of lack of schooling, intoxication and crime. Preventive measures are important, including: in the form of good welfare services that reach all: reasonable kindergartens, good schools and school leisure schemes, and sports and cultural services in which all children, regardless of background, can participate.
ParlaMint-NO_2005-12-13.ana.ud1051e1742	The government's objectives in kindergarten policy are full child care coverage, high quality and low price. The budgetary proposal submitted by the Government to the kindergarten sector is a right and important priority in order to achieve the objectives set by the Government for this sector. As several speakers from the position have said, the nursery sector was one of the budget winners who received a significant increase in their budget in the proposal submitted by the Government. It was probably the individual sector that got the best out of it, with a very ambitious bet. The government's bet on kindergartens was raised in the Soria Moria statement, and in some areas, explicit targets were set. One was linked to reduced parental pay. Lower parental pay is essential for the family’s economy to determine whether or not children can go to kindergarten. In the 2006 draft budget, the Government therefore proposes to reduce the maximum price to NOK 2250 per year. months and 24 750 kroner per month year from 1 January 2006. The Bondevik II Government proposed in its budget to increase the maximum price to NOK 2830 per year. months. The proposal of the new government therefore reduces the parental payment by a total of NOK 6 380 per year. in relation to the draft budget submitted by the previous Government. The reduced parental benefit is financed by an increase in the State operating grant. This gives predictability to kindergarten owners, both in relation to the level of compensation and, for private owners, in relation to the timing of payment from the municipality. In addition, unlike the previous government, the government has invested funds at full price adjustment of the State operating grant rates from 2005 to 2006. Reduced price, of course, is not enough. We also have to make sure that anyone who wants it can fit in a kindergarten. The former government provided funds for the creation of 7,600 new full-time posts in 2006. The municipality's reporting on the number of waiting lists in the autumn of 2005 shows that the demand for kindergarten places is much higher than that foreseen by the previous government's draft budget. The government’s proposal for a reduced maximum price will also help to further increase demand. Therefore, a significantly higher number of kindergartens will be required in 2006 than previously foreseen. Therefore, on the basis of experience gained in 2004 and 2005, a capacity increase of 11 000 full-time seats was assumed in the 2006 budget. We have to assume that part of the capacity growth will continue to increase the residence time of those who are already in kindergarten. This is due to the fact that almost 70000 of a total of 215 000 kindergarten children do not have full-time space, many of whom are likely to wish to increase residence time by reducing the maximum price. About 73 pst. Today, children have a kindergarten offer. This implies that there is still room for significant growth in demand at a reduced price, and we have to assume that this will happen. ECON Analysis, commissioned by the Municipal Councils Central Association, has examined how the demand for nursery places will develop when the price is reduced to NOK 2 250 per year. month(s) If this survey gives a correct picture, it means that the demand for space in kindergarten in 2006 will be much higher than that so far foreseen. The government's goal is that all children who want to do so will be offered children's playgrounds. The 2006 budget includes funds based on one per cent. the realistic dimensioning of capacity growth today. I would like to stress that it is the responsibility of municipalities to facilitate full child care coverage. If private developers do not expand, it is the responsibility of the municipality itself to do so. When the price is now lowered, demand could increase in municipalities with full coverage at today's maximum price. I therefore believe that the reduced maximum price could give a positive pressure on the development of these municipalities. Nevertheless, full childcare by the end of 2007 is a formidable challenge, and the reduced maximum price does not reduce the challenge. We have high ambitions, but I believe that we're going to be able to do it. We would like, among other things: identify the factors that may hamper the development of municipalities, and if necessary I will come back with measures to stimulate further development. We have a formidable task in front of us in the next few years to make sure that all parents who want kindergarten space for their children get it. Our government has set this as one of its top priority tasks, and it will be a real pleasure in cooperation with the Storting to succeed with these ambitious goals.
ParlaMint-NO_2005-12-13.ana.ud1051e1768	It's going to be line change.
ParlaMint-NO_2005-12-13.ana.ud1051e1771	I wish the Council of State luck on the road to full child care coverage and full freedom of choice for all parents. But that's not what I took the floor for. Fortunately, we can read in the Evening Post today that the Council of State has not canceled Christmas in kindergarten as long as it does not have a religious averaging. But as the councils are also familiar with, we adopted in our new kindergarten law a Christian purpose paragraph. Then it becomes very close to us in the Progress Party to ask the Council of State: When has the Council of State planned to remove the Christian purpose paragraph in the kindergartens?
ParlaMint-NO_2005-12-13.ana.ud1051e1778	Of course, kindergartens and schools should learn about the cultural heritage we're part of. And Christmas is an infinitely important occasion for both kindergartens and schools to think through both our cultural heritage and not least the religious aspect of Christmas and Advent time as such. Of course, children should participate in and learn about this. It's an important part of the cultural heritage that we have as a nation. In the law that we are set to administer, it is very clear that you should not preach, in the sense that you should have the opportunity to exempt the children who do not share the dominant church. This is also how it is practised in most kindergartens and in most schools. This is handled wisely and sensibly locally. This is also how our government wants it to be handled – wisely and sensibly locally.
ParlaMint-NO_2005-12-13.ana.ud1051e1785	I'll follow up the previous line a little bit. A true knowledge minister shows respect for those who are well-advised. Minister of Knowledge Øystein Djupedal has been storming around a lot after he became the Council of State and made various plays. Some of it is attached to those who have chosen different from what the new government might have thought desirable. Infant parents who voluntarily choose care solutions other than kindergarten for one- and two-year-olds have felt less respectful. Elevar and parents who want the Christian cultural heritage to be seen in school and kindergarten have felt ignored in the debate that has ours. Today, a strong negative signal has been sent to all those who want an alternative school for their children. Does the Minister of Knowledge agree that care for own children is of great value, even if it does not indicate gross domestic product, and will the Government take seriously the signals sent by a consensual committee to the Government that it is important to pursue a family policy that is tailored to the wishes and needs of the family?
ParlaMint-NO_2005-12-13.ana.ud1051e1792	Of course, I agree with the heart. One of the great joys of life – with responsibility and duty – is raising children. And being with children and family is one of the most important qualities in our society. But family is gradually a complex concept. Families are as diverse as the society we're part of, and that's also good. That means that our government, and not least I, underlines this responsibility very clearly, and of course I am very pleased that this responsibility is part of our society. It also means that we will, of course, respect it in the institutions for which the public is responsible, but at the same time the law is also such as to understand that it should not be preached. It is an important premise on the basis of which all governments have been governing the law since 1969, and so should this law continue to be governed. That means that knowledge is infinitely important also about different kinds of faith that might exist. That's how this is understood. And the family that the arena is the most important arena associated with many of these relationships.
ParlaMint-NO_2005-12-13.ana.ud1051e1799	In the extension of the question to the representative Woldseth: I do not think the representative Woldseth got any clear answer from the Council of State, whether it might be appropriate to remove the Christian purpose paragraph in kindergarten, perhaps when the Council of State plans to do so. We record that the Council of State believes that it is doing a lot of good and sensible locally, but then there are also questions about why – if it is done very wisely and sensibly locally – we still have these reports from the Council of State about dechristening Norway: no to prayer, Christmas can be marked as long as there is not too much religious content, etc. It seems that you don't quite know which profile to have on this, whether it's allowed at all to have a Christian content in our kindergartens and schools.
ParlaMint-NO_2005-12-13.ana.ud1051e1806	The government will review the purpose paragraph in kindergartens, primary and secondary schools. We will come back to that after a comprehensive process. It should be an inclusive process, with everyone in Norwegian society. This will be a good debate on the value anchoring we are going to have. Such a debate will, of course, address the cultural heritage of which we are part, and the multicultural nature of Norwegian society. The starting point is that Norwegian society is changing. I welcome this debate with great interest. I believe that in Norwegian society, regardless of what position you might have on matters of faith, a debate on this is good and wise. It's a debate we'll come back to, and we invite the Norwegian community to join in. Of course, kindergartens, schools and other actors should be part of this debate. Finally, the Stortinge will get this back when one has concluded in one way during the debate. I imagine a broad, inclusive and consensus-oriented approach to this, so that everyone will see that it will be good for the school, for kindergartens and the Norwegian community to review such a debate.
ParlaMint-NO_2005-12-13.ana.ud1051e1813	Now we're getting closer to an answer with some degree of content. I assume that the Department of Knowledge does not have unlimited resources, and that such an investigation and debate are not initiated without a plan and a thought. It is relatively obvious that one does not investigate such a question if one does not wish that the conclusion is to remove Christian purpose paragraphs. Can the Council of State confirm that it is his desire to conclude that the Christian purpose paragraphs should be removed?
ParlaMint-NO_2005-12-13.ana.ud1051e1820	As I said in my previous reply to the representative Knudsen, the school, kindergartens and our society have once and for all the good of having a debate on the anchoring of values in our society. This debate has been opened up by the Government. We want to invite many people with different positions, different beliefs and different approaches to a debate on value anchoring. For example, when it comes to many important value issues today, the UN has a role that is quite different from what it was just a few decades ago. The UN and the Council of Europe Conventions on Human Rights are increasingly part of this debate to which we wish to invite. The government will have a broad approach to this. I welcome the contribution of the representative Knudsen and others in a debate on the value anchoring we want for the school. It is initially a debate that should have an open, inclusive and consensus-oriented approach. I can assure the representative Knudsen that in such a selection there will be many prominent representatives from Norwegian church life, who will certainly care for what I perceive is the main issue of Knudsen in this.
ParlaMint-NO_2005-12-13.ana.ud1051e1829	What I understand is that the minister of knowledge really has contributed to this debate, when he says that a debate on anchoring values is good, is creating security around a lot of what has to do with our Christian cultural heritage: are we allowed to sing before the food? How many times can we sing the Christmas seasons before they are seen as preaching? And so on. What I feel is that this government has contributed to so far is creating insecurity around what has to do with a Christian anchoring of values. That's what I thought was very unfortunate. So finally about this with kindergartens, which the Council of State was in on. There's a big job ahead of us. Many have been done in kindergarten. DKr 13.5 billion had the previous government set aside for kindergarten purposes. We know that there's one piece left before anyone who wants kindergarten gets it. But doesn't the Council of State think that lowering the maximum price now will take much longer – that more people who have short-term space will have full-time space because it costs less to have flexibility?
ParlaMint-NO_2005-12-13.ana.ud1051e1837	Experience has shown that 1.4 places have to be built to get one new child into the nursery. The reason for this is that many people who have short-term or half-day space would like full-time space when they are made available. That means that, in order to achieve the ambitious goals we have set, we need to build more places all the time. Now when we lower the price, it makes what has been an invisible queue visible. There are a lot of parents who want space for their children when it's possible and the price is affordable. We have always assumed that when the price goes down, it will make a need that was previously not visible. It will put an extra and greater responsibility on government and magnification. We have great ambitions in this field. Over the next two years, we're going to build a lot of kindergartens in our society. In the Ministry of Knowledge, we do what we can to facilitate it. But it is the municipality that has the primary responsibility to facilitate the existence of kindergartens in the municipality. We will help the municipalities, together with private developers, to ensure that there is an offer for all those who would like a nursery place for their child. But again, it's a voluntary offer. However, municipalities must provide the opportunity for those wishing to do so to have a kindergarten.
ParlaMint-NO_2005-12-13.ana.ud1051e1846	The cord shift is over. The scheduled time for the morning meeting is also late. Evening meeting is set at 2.30 p.m. 18th@item: inlistbox
